MAT.1.1	Chichato hen natontonan hen nangingganà an Jesu Cristu way ganà Arey David way narpon Abraham.
LUK.2.50	Yaha hen enalen hen anchi onga way Jesus ngém iggaycha ma-awatan hen laychénay aryén.
LUK.2.51	Angkay hiyachi yag nìfangad ah Jesus hen chinàcha-arna ah fabréycha ad Nazaret yag enafurotna amin hen laychéncha. Yag ah inana, annag inliméd way cha manmamanmà hen amin anchichay cha mekamakaman. 
LUK.2.52	Ya ah Jesus, cha homeéheén way cha chumuachuar agé hen hamhamàna. Ya cha omam-améd hen layad hen tatagu an hiya, ya umat agé hen layad Apudyus an hiya.
LUK.3.1	Angkay hiyachi way émmé-émméy hen tawén yag nan-are ah Tiberio ad Roma way ma-ahemporo ya lemay tawén hen nan-areyana. Ya hen gubérnador ad Judea hen hiyachi, wat ah Poncio Pilato way eRoma, ya ah Herod way ihay Judio hen nantoray ad Galilea, ya ah Felipe way sonodna hen nantoray ad Iturea ya ad Traconite. Ya ah Lisanias way Judio agé hen nantoray ad Abilene. 
LUK.3.2	Ya hen anchichay kangatowan way pachi hen hiyachiy tempo, wat cha Anas an Caifas.
LUK.3.2	Angkay hiyachi, wacha hen imfagan Apudyus an Juan way anà Zacarias way ini-inggaw hen anchi chanak, 
LUK.3.3	yag yachi hen nanginlugiyana way mantudtuchu. Wat émméy hen aminay sakopon hen anchi wangwang way Jordan way cha mangimfaga hen tatagu way mangaliyén, “Masapor ifafawiyu ya manchùganyu hen anchi laweng way a-ammayu, ya mampafunyag-ayu ah mangempàil-anyu way nanchùganyu tot-owa, wat pakawanén Apudyus chàyu.” 
LUK.3.4	Yaha hen intudtuchuna te yaha chillu hen imfagan hen anchi profeta way Isaias ad namenghan hen nangensoratana way ekatnéén,
LUK.3.4	“Wacha hen anchi ini-inggaw hen anchi chanak way mangèngaw hen anchichay tatagu way mangaliyén,
LUK.3.4	‘Naway hen Ap-apo wat iyam-ammayu hen hamhamàyu ya manggadngényu hen ekamanyu, kaman hen anchi manginyam-ammaan hen charan non an umat yag naway hen Are. 
LUK.3.5	Hen ammaanyu, kaman afafényu amin hen tappo, ya tòyapanyu amin hen tagéytéy ya filig ta mantanapcha. Manggadngényu hen anchichay nanteko way charan ya iyam-ammayu hen anchichay na-ag-agitortor, 
LUK.3.6	ta aminay katagutagu hen antoy lotaat ilancha amin hen anchi homarà way marpon Apudyus.’ ”
LUK.3.6	Yachi hen ensorat Isaias mepanggép hen ammaan Juan.
LUK.3.7	Angkay hiyachi, anchag chuar hen anchichay tatagu way émméy an Juan way mampafunyag. Yag ah nangenlasinana hen hamhamàcha, ekatnéén, “Pakay chàyu way ammag nan-asilib, ay ammoh ekatyuwén anggay hen mampafunyaganyu yag ilisiyanyu hen chusan Apudyus way tég-angay mepachah. 
LUK.3.8	Achi, te masapor angkay atofunyu paat hen a-ammayu ah mangempàil-anyu way nanchùganyu tot-owa hen chayu fumasoran. Yag achiyu agé ekatén gapo ta ganà chàyu an Abraham wat achi chàyu chuséén an Apudyus, te hen ifagà an chàyu, uray hen antochay fato wat mamfalinén Apudyus ah ganà Abraham no laychéna. 
LUK.3.9	Yag hen miyaligan hen manusaan Apudyus hen tatagu, wat kaman hen na-a-awid way potaw way aminay away way achi mamunga ah ammayay funga, annag longhon yag enapoyana.”
LUK.3.10	Yachi yag senarudsud hen anchichay tatagu an Juan way mangaliyén, “Wat nokay hen ammaanni nò.” 
LUK.3.11	Yag imfagana way mangaliyén, “Hen anchi tagu way chuwa hen lumfongna, idchatna hen iha hen anchi maid lumfongna. Ya umat agé hen anchi wachay anéna, umidchat agé hen anchi maid anéna.”
LUK.3.12	Yachi yag wachacha agé hen émméy an Juan way i mampafunyag way chicha hen anchi cha mangam-among ah furor, yag ekatchéén, “Apo, chàni kaỳ, nokay agé hen ammaanni nò.” 
LUK.3.13	Yag ekatnéén, “Achiyu ammag cha sorokan way mangamong hen ustoy furor hen tatagu.” 
LUK.3.14	Ya hen anchichay tapen hen sorchachu way i mampafunyag, ekatchéén, “Chàni kay agé, nokay hen ammaanni agé nò.” Yag ekat Juan an chichéén, “Achiyu ammag cha ilémrém hen tatagu ah maid katot-owana, ya achiyu agé ilémrém chicha ah mangar-anyu ah laylaychényu, ta nongham hen labfuyu yag napnek-ayu.”
LUK.3.15	Angkay hiyachi, gapo ta hahahadchén hen anchichay tatagu hen umaliyan hen anchi empopostan Apudyus way umale way mantoray, chacha ekat ah hamhamàchéén, “Ay hiyato ngata hen anchi hahadchéntaaw way Cristu.” 
LUK.3.16	Ngém senongfatan Juan chicha way mangaliyén, “Haén, chanum yanggay hen ifunyag-o an chàyu, ngém wacha hen meparég an haén way nangatngato way térén no haén way uray lawa anta man-alepan an hiyéén achì karébféngan. Te hiya, ifunyagna an chàyu hen Espiritun Apudyus ya hen apoy. 
LUK.3.17	Yag no umale, henhenéna hen anchichay ammay way tatagu hen anchichay laweng way kaman hen anchi mantéép way manenhen hen anchi nafégahan hen anchi maid fégahna. Yag hen anchi nafégahan, tarpénéna ah arangna. Waman hen anchi maid fégahna, etongona hen anchi apoy way ammag achi madmachép.”
LUK.3.18	Maid achi enkaman Juan way nangintudtuchu hen anchi ammayay chamag mepanggép an Apudyus hen tatagu ah mangafurotancha koma. 
LUK.3.19	Yag anna agég enamhew ah Gubérnador Herod gapon namréhana an Herodias way ahawan hen sonodna ya gapo agé hen anchichay tapenay enammaana way laweng. 
LUK.3.20	Yachi yag ammag henéphép Herod hen fasorna te annaat agég imfarud ah Juan.
LUK.3.21	Angkay hiyachi way nafunyagancha amin hen anchichay tatagu yag nafunyagan agé ah Jesus. Yag hen chana manluwaruwan, ammag namfuat ad uchu 
LUK.3.22	yag inémhép hen Espiritun Apudyus an hiya way kaman karopate. Yag wacha agé hen nan-ale ad uchu way mangaliyén, “Hea hen anchi laylaychê paat way anào ya hea hen cha mangemparaylayad an haén.”
LUK.3.23	Hen nanginlugiyan Jesus way mantudtuchu, nantoronporo hen tawénna. Ya ah hamhamà hen tatagu, anchag ekatén hiya ano hen anà Jose. Ya ah Jose, hiyan anà Eli 
LUK.3.24	way anà Matat. Ya ah Matat, hiyan anà Levi. Ya ah Levi, hiyan anà Melki way anà agé Jane way hiya agé hen anà Jose. 
LUK.3.25	Ya ah Jose, hiyan anà Matatias way anà Amos. Ya ah Amos, hiyan anà Nahum way anà Esli way hiya agé hen anà Nage. 
LUK.3.26	Ah Nage, hiyan anà Maat way anà Matatias. Ya ah Matatias, hiyan anà Semei way anà Jose ya ah Jose, hiyan anà Juda. 
LUK.3.27	Ya ah Juda, hiyan anà Joana way anà Resa. Ya ah Resa, hiyan anà Zorobabel way anà Sealtiel way hiya agé hen anà Neri. 
LUK.3.28	Ya ah Neri, hiyan anà Melki way anà Addi. Ya ah Addi, hiyan anà Cosam way anà Elmodam way hiya agé hen anà Er. 
LUK.3.29	Ya ah Er, hiyan anà Josue way anà Eliezer way anà agé Jorim. Ya ah Jorim, hiyan anà Matat way anà Levi. 
LUK.3.30	Ah Levi, hiyan anà Simeon way anà Juda ya ah Juda, hiya agé hen anà Jose. Ya ah Jose, hiyan anà Jonan way anà Eliakim. 
LUK.3.31	Ah Eliakim, hiyan anà Melea way anà Mena way hiya agé hen anà Matata. Ya ah Matata, hiyan anà Natan way anà David. 
LUK.3.32	Ya ah David, hiyan anà Jesse way anà Obed. Ya ah Obed, hiyan anà Boaz way anà Salmon way hiya agé hen anà Naason. 
LUK.3.33	Ah Naason, hiyan anà Aminadab way anà Admin way anà Arni. Ya ah Arni, hiyan anà Esrom way hiyan anà Fares way hiya agé hen anà Juda. 
LUK.3.34	Ah Juda, hiyan anà Jacob way anà Isaac ya ah Isaac, hiyan anà Abraham. Ya ah Abraham, hiyan anà Tare way anà Nacor. 
LUK.3.35	Ah Nacor, hiyan anà Serug way anà Ragau way hiya agé hen anà Peleg. Ya ah Peleg, hiyan anà Heber way anà Sara. 
LUK.3.36	Ah Sara, hiyan anà Cainan way anà Arfaxad way hiya agé hen anà Sem. Ya ah Sem, hiyan anà Noe way anà Lamec. 
LUK.3.37	Ah Lamec, hiyan anà Metusela way hiyan anà Enoc way hiya agé hen anà Jared. Ya ah Jared, hiyan anà Mahalaleel way anà Cainan. 
LUK.3.38	Ya ah Cainan, hiyan anà Enos way anà Set. Ya ah Set, hiya agé hen anà Adam way anà Apudyus.
LUK.4.1	Angkay hiyachi way nafunyagan ah Jesus, lommayaw hen anchi wangwang ad Jordan way ammag iné-égnanan hen Espiritun Apudyus hen hamhamàna. Yachi yag enetnod hen Espiritu hiya hen anchi lugar way maid fummabréy 
LUK.4.2	yag hen unig hen opatporo way ag-agaw, cha pachapachasén Chumunyu way mangawis an hiya. Wat iggay mangmangan ah Jesus hen ini-inggawana ahchi. Angkay ommanongoh yag ammag amchan hen henaangna.
LUK.4.3	Yachi yag anat ekat hen anchi ap-apon hen ongtan way Chumunyu an Jesusén, “No hea tot-owa hen anà paat Apudyus, wat mamfaliném hen antochay fato ah aném.” 
LUK.4.4	Ngém senongfatan Jesus way mangaliyén, “Nesosorat hen alen Apudyus way ekatnéén, ‘Achi ummat hen ma-an ah iyatagun hen tatagu.’ ”
LUK.4.5	Angkay hiyachi yag anat ete-ed Chumunyu ah Jesus hen anchi akayyang way filig yag yachi way iggay nahen-emad, empàilanaat an hiya hen egachay toray hen katagutagu hen antoy lota, 
LUK.4.6	yag annaat ekatén, “Mafalin man-ap-apowê hea hen annachay aminay tatagu ya idchat-o agé an hea hen kenafaknangcha, te ilamat, lébféng-o way mangidchat an cha nahha hen heno way laychê te looh ninidchat chillu an haén. 
LUK.4.7	Wat ayé, ta man-awam amin cha nahha no annowat an chayawén haén.” 
LUK.4.8	Ngém senongfatan Jesus way mangaliyén, “Hen nesosorat way alen Apudyus, ekatnéén, ‘Ammag maid chillu kasen chayawényu no faén yanggay ah Apudyus way Apoyu, ya hiya yanggay agé hen afurotonyu.’ ”
LUK.4.9	Yachi yag anat iyéy Chumunyu ah Jesus ad Jerusalem yag empatùchuna hen anchi tabfongan hen Templo yag annaat ekatén, “No hea tot-owa hen anà Apudyus wat mampêchag-a, 
LUK.4.10	te nesosorat hen alen Apudyus way ekatnéén, ‘Ifagan Apudyus hen anchichay a-anghelna ta ayuwanan cha-a,’ 
LUK.4.11	yag ekatna agéén, ‘Ancha-ag hèmatén way uray hen he-emén achi mepetag hen fato.’ ” 
LUK.4.12	Ngém senongfatan Jesus way mangaliyén, “Oo a, ngém ekat agé hen alen Apudyusén, ‘Achiyu cha padpachasén hen kafaelan Apudyus way Apoyu.’ ”
LUK.4.13	Angkay hiyachi way maid achi empachas Chumunyu way mangawis an Jesus, yag ammag lommayaw way i agé nanhééd ah kasen tempona.
LUK.4.14	Angkay hiyachi way namfangad ah Jesus hen provinsiyan hen Galilea, ammag nawawà-acha hen kafaelan hen Espiritun Apudyus an hiya. Ya nanhemamag hen chamag mepanggép an hiya hen amin hen yachiy lugar. 
LUK.4.15	Yag chan tudtuchu hen anchichay sinagoga way cha ma-am-amongan hen Judio, wat aminay tatagu, chacha chayawén hiya.
LUK.4.16	Angkay hiyachi, émméy ah Jesus ad Nazaret way yachin fabréy way chummakrana, yag hen anchi ngilin way Safachu, i nìyamong hen anchi chacha ma-am-amongan way Judio te yachi chillu hen gagangaycha. Yag tommàchég ah Jesus way mamasa hen alen Apudyus. 
LUK.4.17	Wat inidchatcha an hiya hen anchi libnu way ensorat profetay Isaias yag annaat fùyagén way manganap hen anchi fasééna yag annaat ifasa way ekatnéén,
LUK.4.18	“Wà-acha hen Espiritun Apudyus an haén te penelena haén way i mangimfaga hen anchi ammayay chamag hen anchichay tatagu way maid mafalinna. Hennagà way i mangempagngar hen anchichay kaman nifafarud way mahara-ancha, ya hen anchichay kaman nabfurag way maka-an hen finuragcha, ya hen anchichay nèmehan agé, wat matàchégancha. 
LUK.4.19	Yag hen ifagà agé, inumchah hen tempon hen manorongan Apudyus hen tataguna.”
LUK.4.20	Narpaschi way finasan Jesus yag inumfana hen anchi libnu yag imfangadna hen anchi nangidchat an hiya yag anat tumùchu way ammag finéfétég amin hen tatagu hiya. 
LUK.4.21	Yachi yag annaat ekat an chicha way mangaliyén, “Hen yahay enalen Apudyus ad namenghan way an-owat finasa, cha angkay tomot-owa ad uwananto hen antoy nangngaranyu.” 
LUK.4.22	Yag amin hen anchichay tatagu way nangngar, enafunancha hen kenaham-an Jesus yag nahaangcha agé hen kena-ammay hen anchi enalena. “Oo a,” way chacha ekat, “ngém ay ammoh faénto hen anchi anà Jose tà.”
LUK.4.23	Yachi yag anat ekat Jesus an chichéén, “Oo a, kapeletan way aryényu hen anchi ma-aleyu mepanggép an haén way no choktorà, agahà unna hen achar-o ta an-owat agahan hen tapena. Yag ifagayu agé ta ammaà ahtoh fabréy-o hen kaskascha-aw way kaman hen anchichay chengngaryu way enammaà ad Capernaum. 
LUK.4.24	Tot-owa hen antoy ifagà an chàyu way achi tot-owa mangiggéén hen kailiyan hen profeta hiya. 
LUK.4.25	Wat chàyu, an-ayug kaman hen anchichay anap-otaaw ad namenghan hen kawad Elias. Te iggay umud-uchan ahtod Israel hen unig hen toroy tawén ya kagudwa, wat anchag nabtel amin hen tatagu hen antoy lota. Wat kapeletan chuarcha hen anchichay ka-as-ase way nà-amfaro hen hiyachiy tempo, 
LUK.4.26	ngém faén chicha hen imfagan Apudyus way matorongan, te hennagna ah Elias hen safali way lota ta ina torongan hen anchi nà-amfaro way faén Judio ad Serepta way sakop hen Sidon. 
LUK.4.27	Ya hen iha, hen kawad-an hen anchi profeta way Eliseo agé, chuarcha hen Judio way nakkonet ahtod Israel, ngém maid naka-an ah saketcha, te naka-an yanggay hen saket hen anchi faén Judio way ah Naaman way iSiria.”
LUK.4.28	Hen nangngaran hen anchichay tatagu hen anchi penanin Jesus, anchag ommaningarngar way térén te na-awatancha way chicha hen chana aryén. 
LUK.4.29	Wat hililigwatcha way i manlàéy an Jesus way mangenlayaw hen hiyachiy fabréy. Wat lenakrakcha hiya way manginyéy hen anchi napoayan hen chéprah way penget hen fabréy ta epég-ahcha koma. 
LUK.4.30	Ngém ammag namfiliwit ah Jesus yag chaat lomaylayaw way nanwa-awà an chicha.
LUK.4.31	Angkay hiyachi yag nan-éhég ah Jesus way éméy ad Capernaum way fabréy hen provinsiyan hen Galilea. Yag hen anchi ngilin way Senafachu, hinénggép hen anchi chacha ma-am-amongan way i manudtuchu hen tatagu. 
LUK.4.32	Yag hen anchichay tatagu, nascha-awcha way nangngar hen enkamanna way mangintudtuchu te naelasin hen katot-owaan hen chana aryén. 
LUK.4.33	Yachi agé yag wacha an nadchi hen ihay am-ama way nahurugan ah ongtan. Yag ammag nan-ongaw way mangaliyén, 
LUK.4.34	“Aw, nokay hen ammaam an chàni, heay Jesus way eNazaret. Ay ummalea way i manachael an chàni. Te inni-ilà angkay hea way hea hen anchi na-apudyusan way empopostan Apudyus way umale.” 
LUK.4.35	Yag menancharat Jesus hiya way mangaliyén, “Iginangno man ta lomayaw-aat ta taynam hen annay nihurugam.” Yachi yag empa-adhar hen ongtan anchi am-ama way nempafàtad hen sangwanan hen tatagu, yag anat lomayaw way maid sinugatana. 
LUK.4.36	Wat anchag nahahaang amin hen anchichay nangila yag chachan ahetennopà way mangaliyén, “Nokay lawatoh chan tudtuchu way kafaelana amin, te tàén ongtanén menancharna way mangemparyaw yag lommayaw tot-owa.” 
LUK.4.37	Wat nanhemamag hen mepanggép an Jesus hen amin hen hiyachiy lugar.
LUK.4.38	Angkay hiyachi way lommayaw ah Jesus hen anchi chacha ma-am-amongan way Judio yag émméy ah faréy cha Simon way mamPedro. Yachi yag imfagacha way chan saket ah atogangan Simon way amchan hen pochotna. 
LUK.4.39	Wat i inughongan Jesus hiya hen anchi ébfégna yag imfagana way maka-an hen anchi pochotna, yag naka-an tot-owa. Wat fummangon yag hiyaat agé hen i nan-alekatto ah anéncha.
LUK.4.40	Angkay hiyachi way nalihnug hen init, aminay tatagu way wacha hen masaket an chicha way uray heno way saket, inyéycha amin an Jesus. Wat tenchàna amin chicha wat naka-an hen aminay saketcha. 
LUK.4.41	Yag emparyawna agé hen anchichay nihuhurug way ongtan hen chuaray tatagu, yag hen anchichay cha lomayawan hen anchichay nihuhurug, chacha èngaw way mangaliyén, “Hea hen anchi anà paat Apudyus.” Ngém menanchar Jesus chicha way mangempawa hen manginhugchayancha te chicha, inni-ilacha way hiya tot-owa hen Cristu way empopostan Apudyus way umale.
LUK.4.42	Angkay na-apeh, fummangon ah Jesus yag lommayaw ad Capernaum way i ommanig way émméy hen anchi lugar way maid tatagu. Yag na-awni, anchag chuar hen tatagu way i manganap an hiya. Yag hen nangchahancha, peneletcha way achi koma lomayaw ah fabréycha. 
LUK.4.43	Ngém imfagan Jesus an chicha way mangaliyén, “Achiyà koma lomayaw ah fabréyyu, ngém masapor éméyà chillu hen anchichay tapenay fabréy agé way i mangempagngar hen anchi ammayay chamag mepanggép hen mantorayan Apudyus, te yachi chillu hen ganchat Apudyus way nannag an haén hen antoy lota.” 
LUK.4.44	Wat hiyachi, cha tarontonon Jesus hen anchichay cha ka-am-amongan hen tatagu hen hiyachiy provinsiyan hen Galilea way i mangintudtuchu hen chana itudtuchu.
LUK.5.1	Angkay hen-argawan, tommatàchég ah Jesus hen penget hen anchi fayfay way ekatchéén Genesaret way chana itudtuchu hen alen Apudyus, yag hen anchichay lonay way tatagu, chacha yémyémén hiya ah mangngarancha koma hen chana itudtuchu. 
LUK.5.2	Yachi yag innilan Jesus hen chuway fangka way nepapattàchang hen tarantag way ginugumhad hen anchichay nangimfangka te incha inurahan hen tafukorcha. 
LUK.5.3	Wat hinénggép ah Jesus hen anchi iha way awan Simon yag imfagana ta iturturchunna koma ah aket. Yag anat tumùchu way manudtuchu hen anchichay tatagu.
LUK.5.4	Angkay narpas hen nantudtuchuwana yag annaat ifaga an Simon way mangaliyén, “Epàpàéyyu hen antoy fangka hen anchi iggaw hen anchi ka-adcharéman hen chanum yag emporwakyu hen anchi tafukor wat wachay aranyu ah gachiw.” 
LUK.5.5	“Oo a, Apo,” way ekat Simon, “ngém enlabrafini met ad arubyan way nanafukor yag maid paat ennani ah ihà-an, ngém no hea hen mangale wat tàén yag emporwakni.” 
LUK.5.6	Wat emporwakcha yag ammag pommeltangat agé hen anchi tafukorcha wat ammag tég-angay magissay. 
LUK.5.7	Wat enayagancha hen ifacha way ininggaw hen anchi ihay fangka ta umalecha way tomorong way manlapchù. Yachi way tommorongcha yag ammag napno hen anchi chuway fangka way tég-angaycha lémnéd ah kachaghén hen anchichay gachiw. 
LUK.5.8	Yachi yag na-awatan Simon Pedro hen nekaman, yag anat ammag nampalentomang hen henagong Jesus way mangaliyén, “Apo, achia cha homag-én an haén te anà ammag menangfasor way tagu.” 
LUK.5.9	Te cha Pedro ya hen anchichay ifana, anchag nahahaang amin ah kachuar hen anchichay gachiw way tenafukorancha. 
LUK.5.10	Yag umat agé hen anchichay ifana way cha Jaime an Juan way anà Zebedeo, nahahaangcha agé. Yachi yag ekat Jesus an Simonén, “Achia cha émégyat, Simon, te manepod ad uwan, falewà hen yahay chunum ta hen tatagu hen atenglém ah omafurotancha an haén.” 
LUK.5.11	Yachi way entàchangcha hen fangkacha yag anchag tenaynan hen angamin yag netnodchaat an Jesus.
LUK.5.12	Angkay hen-argawan, wachah Jesus hen ihay fabréy way kawad-an agé hen ihay tagu way nakkonet. Yag hen nangil-ana an Jesus, ammag nampalentomang hen henagongna way nampangpanga-ase way mangaliyén, “Apo, afurotò way wachan kafaelam way manga-an hen antoy saket-o no anno paat an ka-asiyan haén.” 
LUK.5.13	Yachi yag tenchà Jesus hiya way mangaliyén, “Oo, ka-asiyà hea ta maka-an hen annay saketno.” Yag hen hiyachi, ammag naka-anat tot-owa. 
LUK.5.14	Yag anat téngténgén Jesus hiya way mangaliyén, “Achim kay paat cha haphapeténto ah uray heno way tagu ta in-aat mampàila hen anchi pachi ta ilana way naka-an tot-owa hen annay saketno. Yag an-aat i manchaton hen anchi inyurchin Moses way michaton ah manot-owaan hen tatagu way naka-an tot-owa hen annay saketno.” 
LUK.5.15	Ngém ammag kaskasenat hen niwarawagan hen chamag mepanggép an Jesus, wat chummùchùarcha hen anchichay cha ma-amoamong way i mangngar hen aryéna ya hen cha i mangempaka-an hen sasaketcha. 
LUK.5.16	Ngém hen aw-awniyanén émméy ah Jesus way i omanggay way manluwaru.
LUK.5.17	Angkay hen-argawan way chan tudtuchu ah Jesus, wachacha agé way nìtutùchu hen tapen anchichay siguchay cha mintudtuchu hen orchin ya anat hen anchichay na-achar way ekatchéén Fariseo way anchag nahibhib-at way narpod Jerusalem ya anat hen kafabréfabréy hen provinsiyan hen Galilea ya Judea. Ya hen hiyachi agé, wacha hen kafaelan Apudyus an Jesus way manga-an hen saket.
LUK.5.18	Yachi yag inumchahcha hen anchichay nanginya-atang hen ihay tagu way napàroy hen acharna. Yag chacha pachasén way mangempaghép ta epasangocha koma an Jesus, 
LUK.5.19	ngém ammag maid én-énnéncha te naposekcha hen tatagu. Wat incha tenòwap hen atép hen anchi faréy yag inuy-uycha hiya hen henagong Jesus way ginagawan hen tatagu. 
LUK.5.20	Yag hen nangil-an Jesus way anchag nanchinlan amin hiya, imfagana hen anchi napàroy hen acharna way mangaliyén, “Heay sonod, napakawan hen fasorno.” 
LUK.5.21	Ngém hen anchichay Fariseo ya siguchay cha mintudtuchu hen orchin, ekatcha ah hamhamàchéén, “Heno ay paat hen katatagun nahha way annag cha pérhén hen kena-apudyus Apudyus, te ah Apudyus met yanggay hen mafalin way mamakawan ah fasor.” 
LUK.5.22	Yag yachi way enlasin Jesus hen anchi chacha hamham-én, yag annaat ekatén, “Pakay kaman ahnay hamhamàyu. 
LUK.5.23	Ay ammoh ekatyuwén narakraka hen maka-anan hen fasor no hen kaka-anan hen saket. 
LUK.5.24	Ngém ta wachay manot-owaanyu way haén way Pangorowan hen Tatagu, wacha hen lébféng-o hen antoy lota way mamakawan hen fasor hen tatagu, wat ka-anê agé hen antoy saketna.” Yachi yag annaat ifaga hen anchi napàroy hen acharna way mangaliyén, “Hen ifagà an hea, fumangon-a yag inaram hen annay allakwangno yag ommanamot-a.” 
LUK.5.25	Yag hen hiyachi, ginsannaat way tommàchég hen sangwanancha amin yag innarana hen anchi allakwangna yag ommanamot way cha manayachayaw ah Apudyus. 
LUK.5.26	Yag amin hen anchichay na-a-among way tatagu, anchag nahahaang way térén ya chachaat agé émégyat. Yag chacha agé chayawén ah Apudyus way mangaliyén, “Maid mempaniyan hen innilataaw ad uwananto way ag-agaw.”
LUK.5.27	Angkay narpaschi way lommayaw ah Jesus yag innilana hen ihay cha mangam-among ah furor way tummutùchu ah opisinana way ah Levi hen ngachanna. Yag anat ifagan Jesus an hiya way mangaliyén, “Waynowat ta somorot-a an haén.” 
LUK.5.28	Yag ammag nallanigwat ah Levi way inyanggayana hen egad yag sommorot an Jesus.
LUK.5.29	Yachi yag namparte cha Levi ah faréycha ah chakaray lagsak ah mangempàil-ana ah layadna an Jesus, yag nìyamongcha agé hen chuaray ifana way cha mangam-among hen furor ya hen anchichay tapenay tatagu.
LUK.5.30	Angkay hiyachi, hen anchichay tapen hen Fariseo ya hen anchichay tapen hen ifacha way siguchay cha mintudtuchu hen orchin, chachan ngangayutongot way mangimfaga hen anchichay pasorot Jesus way mangaliyén, “Henon pa-ayu mèan hen annachay cha mangam-among ah furor ya hen annachay tapena way menangfasor.” 
LUK.5.31	Yachi yag senongfatan Jesus chicha ah pani way mangaliyén, “Hen anchichay tatagu way maid saketna, achicha masapor hen choktor. Waman hen anchichay chan saket, chichachi hen makasapor ah choktor ah ka-agahan hen saketcha. 
LUK.5.32	Yag hen miyaligana, haén, iggayà ummale hen antoy lota way manudtuchu hen anchichay ammay way tatagu te hen ummaliyà, ta iyà tudtuchuwan hen anchichay menangfasor ah mangentagayancha hen anchi lawengay a-ammacha.”
LUK.5.33	Wachacha hen anchichay tapenay tatagu way émméy an Jesus way mangaliyén, “Pakay hen anchichay pasorotno wat achichan langan way mangan hen chachan luwaluwaruwan. Waman hen anchichay pasorot Juanat kankanayén way chachan langan ya umatcha agé hen anchichay pasorot hen Fariseo.” 
LUK.5.34	Yachi yag nampani ah Jesus way mangaliyén, “Ay ammoh achicha mangan hen anchichay tatagu way i mèkasar no wà-acha hen anchi komasar. Mamangngancha met. 
LUK.5.35	Ngém umchah chillu hen anchi tempo way melayaw hen anchi komasar, wat yachi hen manlanganancha way mangan.”
LUK.5.36	Kasen nampani ah Jesus agé way mangaliyén, “Maid tagu ah ammag mangissay hen kà-amma way lumfong ta wachay id-opna hen anchi nagigissay. Te no yachi, ayyua hen anchi ammay yag achina agé chillu epaknég hen anchi nagigissay. 
LUK.5.37	Ya hen iha, maid agé mangimfongofong ah finénar hen anchi nausar way gadchang way amoto te achi met kasen matantan hen anchi nausar, wat ammag fumtà yag ayyua hen anchi finénar ya hen anchi gadchang agé. 
LUK.5.38	Te hen finénar, masapor mifongofong yanggay hen anchi gadchang hen kappaparte way mafalin matantan. 
LUK.5.39	Ya hen anchi nangempaengha hen anchi chacha-an way fayah, achina agé laychén hen anchi kà-amma, te ekatnéén am-ammay ano hen anchi nafayag.”
LUK.6.1	Angkay hen-argawan way Safachu way ngilin chillu hen Judio, cha manaran cha Jesus hen ihay chacha murmur-an ah pagéycha way terigo, yag hen anchichay pasorotna, chacha umarah otteméncha. 
LUK.6.2	Yag anat ekat hen tapenay Fariseo an chichéén, “Pakay chayu labsengén hen anchi orchintaaw way Judio way mangempawa hen mamfat-an hen tempon hen ngilin.” 
LUK.6.3	Yag senongfatan Jesus way mangaliyén, “Ay ammoh iggayyu faséén hen enammaan Are David way apotaaw ad namenghan hen hommenaangana ya hen anchichay sorchachuna. 
LUK.6.4	Anna met ammag hinggép hen anchi faréy Apudyus yag innarana hen anchi tenapay way nichachaton an Apudyus way anggay koma hen pachi ah mangan an nadchi, yag annag entàén yag enanna, yag enadchana agé hen anchichay ifana. Wat maid met ekattaawén fasornachi.” 
LUK.6.5	Yachi yag inyanongoh Jesus way mangaliyén, “Haén way Pangorowan hen Tatagu, haén hen nangimfiyang way mangimfaga hen ma-ammaan hen ngilin way Senafachu.”
LUK.6.6	Angkay kasen Safachu agé way ngilin chillu, hinénggép ah Jesus hen anchi chacha ma-am-amongan way Judio way i mantudtuchu. Yag niyaphor way wacha agéhchi hen ihay larae way nàis-is hen anchi awanay limana. 
LUK.6.7	Yag wachacha agé an nadchi hen tapen anchichay siguchay cha mintudtuchu hen orchin ya hen anchichay Fariseo agé way chacha amin iyanap hen ekamancha way mangempafasor an Jesus ta wachay lasoncha way manginchérém an hiya, wat chacha sepsepotan no tàén ngilin yag kena-anna hen anchi inis-is hen anchi taguwanchi. 
LUK.6.8	Ngém ah Jesus, inni-ilana hen hamhamàcha ngém ekatna chillu hen anchi nàis-isén, “Tomàchég-a yag ummaleahtoh sangwanà.” Wat émméy hen anchi tagu. 
LUK.6.9	Yag anat ekat Jesus hen anchichay mangi-ila an hiyéén, “Wacha hen sarudsuchù an chàyu no heno hen eparufus hen orchintaaw way ma-ammaan hen tempon hen ngilin. Ay ammaantaaw hen ammay ono hen laweng. Ay tomagutaaw ono antaaw pomchit.” 
LUK.6.10	Yachi way finéfétég Jesus chicha yag annaat ekat hen anchi nàis-isén, “Uyachém hen annay limam.” Yag inuyadna tot-owa yag ammag ommammayat agé. 
LUK.6.11	Wat hen anchichay Fariseo ya hen anchichay siguchay cha mintudtuchu hen orchin, anchag pommelang ah aningarngarcha an Jesus yag inlugicha way man-a-atopàpà no heno hen ekamancha an hiya.
LUK.6.12	Angkay hiyachi yag émméy ah Jesus hen ihay tagéytéy way lommabrafi way manluwaru an Apudyus. 
