GEN.1.1	Gër ỹanar, Kaxanu nëcëtëguk
GEN.23.16	Ata Abëraxam ga wël ko er re baxo Efëroŋ in, fënën këŋo koɗi in ang fënëta baxo ak, ogës od ɓërandëw̃ëra and Het: ɓatama okeme onax ɓand koɗi, ang bani nëmbënd gër ɓëfandëran ak.
GEN.23.17	Ata Abëraxam yëc ko oŝënga or Efëroŋ ol, or gër Makëpela ol, or mopaɓër gë Mamëre ol, gë oxel ak, do gë ɗek ɓatëx ɓand ex gër ed sëlëk oŝënga ak. 
GEN.23.18	Ata xwën ko ɗek ogës od ɓërandëw̃ëra and Het, do ogës od ɗek ɓër bax lilënd gër ebët ed angol andeɓën.
GEN.23.19	Ga xucak eŋo, Abëraxam w̃ëxëta këŋo alindaw̃ Sara, lëf gër oxel or gër oŝënga or gër Makëpela, or mopaɓër gë Mamëre ol, mëne ngëŋ gër Ebëroŋ, gër ebar ed Kanahaŋ. 
GEN.23.20	Awa Abëraxam mondako ri baxo ɓanapëra ɓandexëm ɓaŋ gër oxel or hik gër oŝënga or yëc ko gër otaxan od ɓërandëw̃ëra and Het ol.
GEN.24.1	Ga niyitarak, 
GEN.24.2	Akey amat, Abëraxam w̃ac këŋo axarëk ar okaɗëp od gër ekun edexëm an, ar bax nëkonand ɗek napul irexëm an, do fel këŋo: «Këla, ɗilaliw tan ataxan andeƴ aŋ gër emef endam
GEN.24.3	Awa gërëgako yaŝarël gër ow̃ac or Axwën Kaxanu, mëŋ ar rik orën do gë ebar an, mëne din aƴëŋo cala na asoxari ar asëñiw̃ën an gër odënaw̃ od gër ebar ed 
GEN.24.4	Ƴeyiɗ xali gër ebar edeɓi, gër ed rëw̃ këne fën, eƴo calaw asoxari ar asëñiw̃ën 
GEN.24.5	Yaka këŋo xaɗëp in: «Ɓamat asoxari an, aŋo ñandiɗ na exe tëfëgu xali gër ebar elo ro. Mo ɓakaliɗ nde fën asëñix?» 
GEN.24.6	Yaka ko Abëraxam: «Adokiŋ, din këreƴëŋo ɓakaliɗ na ɗe! 
GEN.24.7	Axwën Kaxanu, mëŋ ar ex gër orën an, nëcëtëgu ke gër ekun ed faba, gër ed rëw̃ këne. Mëŋ w̃acëgu ke do yaŝar ko mëne ayël këɓi yël oxwën or ebar elo ro ol, ɓërandëw̃ëra andam ɓën. Mëŋ dëŋ këŋo law̃ënëgu meleka irexëm in exi ɗëngweli. Awa fën këƴo ŝotëguɗ asoxari ar asëñiw̃ën an. 
GEN.24.8	Eyaŝar ed nëỹali këmi elo, ax bo na ga sëra ki, angëmëne asoxari an aŋo ñandi ex na exi tëfëgu. Ɓari din këreƴëŋo ɓakaliɗ na fën asëñiw̃ën.» 
GEN.24.9	Ata xaɗëp in lilali ko ataxan aŋ gër emef end Abëraxam, axwën arexëm eŋ. Mondako yaŝar baxo mëne ari ko ri er fel këŋo in.
GEN.24.10	Ga xucak eŋo, xaɗëp in w̃eɗ këɓi ogelemba epëxw gër kece ir ogelemba od axwën arexëm, do kwël ƴe ko, gë ɗek ɓeɓëxëɓënaxik ɓër fëxwëndëra baŋo axwën arexëm ɓën. Ƴe ko kwël ond gër ebar ed Mesopotami oŋ, xali gër angol and Naxor. 
GEN.24.11	Mondako ƴe bani ɓakey ɓakey, h̃ataxën këni ɗam gër angol, ler në andu. Ata xaɗëp in foxin këɓi ogelemba ok eni pedaraxën ɓër enga endexëm ɓën. Amëd aŋo bani ƴowërawënd genëka, ɓësoxari ɓën gër edëmb ed men.
GEN.24.12	Ata xaɗëp in ŝale ko mondako: «Axwën, wëj ex Kaxanu, ar yata këŋo 
GEN.24.13	Wëno ro këme xwëŝa, gër ed këni ƴowënd odënaw̃ od ɓela ɓër gër angol aŋo ok, eni dëmb men oŋ. 
GEN.24.14	Endënaw̃ end këmo fel: “Axara xara këmi, ñëw̃ël eput edeƴ el me ceɓaxën men ond lapara këƴ oŋ”, do mëŋ exe yaka: “Awa ceɓël, arëmbën rëmbënëgu ɓëte ogelemba odeƴ ok eni ceɓ!” Gilexo asoxari ar sanan këƴo 
GEN.24.15	Xaɗëp in axo ŋata bana pere cale iŋo ga h̃atëgu ko gë eput el monapara, Rebeka aɓiw̃ ar Betuwel asëñiw̃ ar Milëka, asoxari ar Naxor, aɓaỹe ar 
GEN.24.16	Endënaw̃ end yek mbaŋ ebaxo, emeja fo ɓayi baxo, do gë asoŝan ani nangër bana. Mëŋ ŝëla bax gër andu rëmbëgu ko men oŋ. 
GEN.24.17	Xaɗëp in hër ko, fed këni, do re ko: «Axara xara këmi, ñëw̃ël eput edeƴ el, me ceɓaxën men ond lapara këƴ oŋ.» 
GEN.24.18	Yaka ko endënaw̃ eŋ: «Ceɓël faba, ceɓël!» Ỹëw̃ ko aỹand eput el, exo ceɓaxën xaɗëp in. 
GEN.24.19	And fed këŋo aŋ, endënaw̃ eŋ re ko: «Arëmbën këmëni rëmbënëgu ɓëte ogelemba odeƴ ok eni ceɓ xali eɓi ped.» 
GEN.24.20	Ata xat ko aỹand gër aceɓa men ond ɓayita bax gër eput oŋ. Ɓaka ko aỹand exo dëmbëgu ɓëte polo gër andu. Rëmbëndëra këɓi mondako ɗek ogelemba ok. 
GEN.24.21	Ata asoŝan an ko yëlarand ba Axwën Kaxanu dëŋ nde rik eŋo ex yexën fëña irexëm in.
GEN.24.22	And ŝeɓ këni ogelemba xali fed këɓi aŋ, asoŝan an yëpëtën këŋo anëna atiɓax and kaŋe, gë ɓëŋwën ɓëtiɓax ɓënd kaŋe, do ɓakëra këŋo endënaw̃ eŋ gër onëxar. 
GEN.24.23	Xaɗëp in w̃ëka ko: «Wëj endënaw̃ end noỹo wa hi këƴ? Axara xara këmi, pelële. Aŝot nde këmi ŝot gër ndewën në er këɓo xey?» 
GEN.24.24	Yaka ko endënaw̃ eŋ: «Wëno itox ind Betuwel hi këme. Faba iram, asëñiw̃ ar Milëka, alindaw̃ ar Naxor, hi ko.» 
GEN.24.25	Re ko ɓëte: «Er këni ƴamb ogelemba in ax gi ex na mopaỹ gër ndeɓi. Ɓëte aŝot kën ŝot gër ed këŋun xey.»
GEN.24.26	Ata asoŝan an ga rëngw ko, foxi ko gër lëngw ir Axwën Kaxanu. 
GEN.24.27	Re ko: «Aye ri ko Axwën Kaxanu, mëŋ ar yata këŋo Abëraxam, axwën aram an. Gayikwa alëkaya lëkaya ko eter ed yata këŋo axwën aram el. Axwën Kaxanu w̃ëlaw ke ŝëw̃ gër ɓëmaỹe ɓënd axwën aram.»
GEN.24.28	Ata endënaw̃ eŋ hër ko eŋo tëfëtanëx nëm ɗek endeƴ eŋo. 
GEN.24.29	Rebeka, imaỹe itoŝan ebaŋo na ind bano w̃acënd Labaŋ. Labaŋ hërëgu ko gër ed ebaxo asoŝan ajo, ler gër andu. 
GEN.24.30	Ga wateli baŋo aɓinëm Rebeka anëna aŋ, gë ɓëŋwën ɓëŋ, do wël baŋo ga ko reƴa ɓend felëgu baŋo asoŝan ajo ɓeŋ, ƴowaxënëgu baxo Labaŋ gër asoŝan ar h̃atëgu bax gë ogelemba ok, ler gër andu. 
GEN.24.31	Ata re ko Labaŋ: «Ƴow wëj ar gë oɓetak or Axwën Kaxanu an! Inew̃a ɓayixën këƴ gër ed h̃atëgu këƴ ro? Ƴene gër ndeɓi, aŝotën këmëni ŝotën ogelemba ok gër ed këni hi.»
GEN.24.32	Asoŝan an h̃at ko gër iciw̃. Labaŋ fel këɓi odexëm enëɓi pëtëra ogelemba ok, do enëɓi kwëtindëra olëɓ oŋ. Xoɓëndëran këɓi ondës do gë enenar. Yël këɓi ɓëte asoŝan ajo do gë ɓela ɓër laŋëtagu baŋo ɓën men ond eni neɓaraxën osapar oreɓën oŋ. 
GEN.24.33	Ata rëɗën kënëɓi ecemar el. Ɓarikan asoŝan ajo re ko: «Wëno pere fo këme reƴa olaw̃ën ol ɗamana mi ƴambëraxën.» Yaka këŋo Labaŋ: «Awa deƴal!» 
GEN.24.34	Ata re ko: «Wëno xaɗëp ir Abëraxam hi këme. 
GEN.24.35	Axwën Kaxanu mbaŋ yël këŋo oɓetak ol axwën aram an, do ala ar gapak hi ko. Ayël yël këŋo oɓeci, gë opeỹ, gë oxeƴ, gë koɗi, gë kaŋe, gë ogelemba, gë opali, gë okaɗëp otoŝan, do gë okaɗëp otoxari. 
GEN.24.36	Sara, alindaw̃ ar axwën aram an, gand oxar go dëŋ rëw̃ën këŋo itoŝan. Do axwën aram an, asëñiw̃ ijo yël këŋo ɗek er xwën ko in. 
GEN.24.37	Wëno ayaŝar yaŝar këme gër axwën aram mëne ari këme ri ang fel ke ak: “Këreƴo calaɗ na asoxari ar asëñiw̃ën an gër odënaw̃ od gër ebar ed 
GEN.24.38	Ɓarikan ƴeyiɗ gër ɓër hi këmi ekun eɓat, gër ɓër ɓar këmi andëw̃ëra. Fën këƴo ŝalagu asoxari ar asëñiw̃ën an.” 
GEN.24.39	Wëno yaka këmo axwën aram an: “Ɓamat asoxari an axo maɗ na exe tëfëgu.” 
GEN.24.40	Yaka ke: “Wëno din këme rind er re ko Axwën Kaxanu in, mëŋ dëŋ këŋo law̃ëneliwëgu meleka irexëm in exi dëca ex ye fëña ireƴ in. Calaguɗo asoxari ar asëñiw̃ën an gër ɓër ɓar këmi andëw̃ëra, gër ɓër hi këmi ekun eɓat. 
GEN.24.41	Angëmëne ah̃at h̃at këƴ gër ɓër ekun edam, ax bo na ga sëra ki eyaŝar ed yaŝar këƴ elo. Ɓëte angëmëne ɓën eni ŋëp eni yëlëgu endënaw̃ eŋ, oŝëɓa ax bo na ga sëra ki gë eyaŝar ed yaŝar këƴ elo.” 
GEN.24.42	Doro ga h̃atëgu këme gër andu, ŝale këme: Kaxanu, wëj ar yata këŋo Abëraxam, axwën aram an, dëcale ex ye fëña iram in. Axara xara këmi, masinële asoxari ar asëñiw̃ ar axwën aram an. 
GEN.24.43	Nëkoɗ ga xwëŝa këme ler gër andu ro, endënaw̃ end kë ŝanëgu edëmb ed men do wëno mo mëka: Këla ñëw̃ël eput edeƴ el me ceɓaxën men ond lapara këƴ oŋ, 
GEN.24.44	do mëŋ exe yaka: “Awa ceɓël, arëmbën këmëni rëmbënëgu ogelemba odeƴ ok eni ceɓaxën ɓën ɓëte!” Gilexo asoxari ar sanan këƴo asëñiw̃ ar axwën aram an! 
GEN.24.45	Ɗamana me ŋata cale indam iŋ, h̃atëgu ko Rebeka, eput el monapara. Ŝëla ko gër andu do rëmbëgu ko men oŋ. Ata wëno re këme: “Axara xara këmi, ñëw̃ël eput edeƴ el me ceɓaxën men ond lapara këƴ oŋ.” 
GEN.24.46	Ỹëw̃ ko aỹand eput ed lapara baxo el, do re ko: “Ceɓël, arëmbën këmëni rëmbënëgu ɓëte ogelemba odeƴ ok eni ceɓ!” Wëno ŝeɓ këme, do ɓëte rëmbënëgu këɓi ogelemba ok ŝeɓ këni. 
GEN.24.47	W̃ëka këmo: “Endënaw̃ end noỹo wa hi këƴ?” Yaka ko: “Aɓiw̃ ar Betuwel hi këme! Faba iram, asëñiw̃ ar Naxor hi ko, itoŝan ind rëw̃ këŋo Milëka iŋ.” Wëno ataŋ ɓakëra gë amocën aŋ, do gë ɓëŋwën ɓëŋ gër onëxar. 
GEN.24.48	Axwën Kaxanu, mëŋ ar yata këŋo Abëraxam, axwën aram an, w̃ëlaw ke sëw̃ wëno ar ocal od asoxari ar asëñiw̃ ar axwën aram an. Mëŋ ŝëxwëndër këɓo gë endënaw̃ end aɓinëm ar axwën aram eŋ. Ata ga rëngw këme, foxi këme gër lëngw ir Axwën Kaxanu, ŝëkwa këmo. 
GEN.24.49	Awa gërëgako angëmëne kwël lëkaya kën do aɓayeli ɓayeli këŋun aminëmëra and gë axwën aram aŋ, peline. Angëmëne ax gi ex na mondako, ɓëte peline me gi gë enang nang.»
GEN.24.50	Ata Labaŋ do gë Betuwel yaka këni: «Endeƴ eŋo gër Axwën Kaxanu xaniwëk, ɓiyi ami kor na mi de aw̃a w̃a këmi ba ami ma ex na. 
GEN.24.51	Nëkoɗo Rebeka, meɗëlo en ƴe. Gilexo alindaw̃ ar asëñiw̃ ar axwën areƴ an, ang re ko Axwën Kaxanu ak.»
GEN.24.52	Xaɗëp ir Abëraxam in ga wël ko eŋo, foxi ko, gër lëngw ir Axwën Kaxanu, eƴiỹ el ŋëŝ gër ebar. 
GEN.24.53	Yëpëtëgu ko oỹënga or eñaŋënan or koɗi, gë or kaŋe, do gë ɓanjëm, yëlëra këŋo Rebeka. Yëlëra këɓi ɓëte ɓeɓëxëɓënaxik aɓinëm ar Rebeka do gë nëm irexëm.
GEN.24.54	Ga xucak eŋo, xaɗëp ir Abëraxam in do gë ɓër laŋëtagu baŋo ɓën ƴambëra këni, ŝeɓëra këni, ata lakira këni. Ga xeyëk, and nëngëtara këni aŋ, xaɗëp in re ko: «Teɓine ngwa me ɓaka gër axwën aram.» 
GEN.24.55	Yaka këno aɓaỹe ar endënaw̃ do gë nëm: «Ɓayileɓo wa pere endënaw̃ eŋ ɓakeƴ epëxw, do gwëre ngwa en ƴeɗ.» 
GEN.24.56	Yaka këɓi: «Kërene cac na ɗe gayikako Axwën Kaxanu rik ye ke fëña iram in. Teɓine me maỹi gër axwën aram.» 
GEN.24.57	Yaka këno: «Macënëŋone endënaw̃ eŋ enëŋo mëkaye er yëla ko in.» 
GEN.24.58	Awa ga w̃ac këno Rebeka, w̃ëka këno: «Ỹandi ki nde en ƴe gë ala ajo?» Yaka ko: «Iyo aỹandi ỹandi ke.» 
GEN.24.59	Ata w̃a këni enëɓi teɓ eni ƴe gë Rebeka, ar ekun edeɓën an, mëŋ do gë xaɗëp isoxari irexëm in. Kwël sëfër këni gë xaɗëp ir 
GEN.24.60	Ɗamana eni ƴexën, ŝalen këno Rebeka mondako:
GEN.24.60	«Wëj aɓaỹe areɓi an,
GEN.24.60	oɓaŝ oreƴ ol gilexëni owëli owëli!
GEN.24.60	Ɓërandëw̃ëra andeƴ ɓën
GEN.24.60	kwënindëlexëni ɓangol ɓand ɓërangoỹëra andeɓën ɓaŋ!»
GEN.24.61	Rebeka do gë okaɗëp otoxari odexëm ok ga ỹëpara këni ƴaŋ gër ogelemba, kwël sëfa këno asoŝan an. Xaɗëp ijo, mondako w̃ëla baŋo Rebeka.
GEN.24.62	Amëd aŋo, rëfa baxo 
GEN.24.63	Genëka, Isak ŝan ko exo nëkonaraw gër apuỹ. Ga rënëta ko, wat këɓi ogelemba ga këni ƴow endexëm eŋ. 
GEN.24.64	Ata Rebeka ga rënëta ko, wat këŋo Isak. Ga raɗ ko, feda ko gër gelemba, 
GEN.24.65	do w̃ëka këŋo xaɗëp ir Abëraxam in: «Noỹo ex wa asoŝan ar gër apuỹ ar këɓo xacagund ajo?» Yaka ko xaɗëp in: «Axwën aram Isak ex.» Ata Rebeka laɓaya ko anjëm and baxo laɓayarand aŋ. 
GEN.24.66	And fed këni aŋ, xaɗëp in sëfëtandëra këŋo Isak ɗek er riw baxo in. 
GEN.24.67	Na ex Isak h̃ateli këŋo Rebeka gër aner and Sara, nëm irexëm. Mondako xana baŋo Rebeka, do mëŋ hi ko alindaw̃ ar h̃an këŋo. Mondako fuŋara baŋo end nëm ir seɓëta baŋo eŋ.
GEN.25.1	Ga xucak eŋo, 
GEN.25.2	Rëw̃ën këŋo ɓëtoŝan ɓëŋo: Simëraŋ, gë Yokëŝaŋ, gë Medan, gë Majaŋ, gë Yiŝëbak do gë Ŝuwa. 
GEN.25.3	Yokëŝaŋ rëw̃ këɓi Saba do gë Dedan. Ɓosëñiw̃ ɓor Dedaŋ exëni: andëw̃ëra and Aŝur aŋ, gë and Letuŝ aŋ, do gë and Lewum aŋ. 
GEN.25.4	Ɓosëñiw̃ ɓor Majaŋ exëni: Efa, gë Efer, gë Anok, gë Abida, do gë Elëdaha. Ɓën ɗek ex andëw̃ëra and Ketura aŋ.
GEN.25.5	Abëraxam yëlëra këŋo asëñiw̃ 
GEN.25.6	End ɓosëñiw̃ ɓor rëw̃ën bano ɓësoxari ɓër ỹëpa bani aỹëpa fo ɓën cëŋ, Abëraxam yëlëra këɓi ɓeɓërëmar do fel këɓi eni eno ŋaw̃ëta asëñiw̃ Isak. Ata ɓën ƴe këni apën-eñan.
GEN.25.7	Abëraxam er sëk baŋo, ɓëniy këme gë ofëxw ocongoxi gë ɓënjo. 
GEN.25.8	And ŝës ko aŋ, moped fed baŋo oxar or gë onënga ol, ɗamana ɓaraxën këni gë ɓëxarëk ɓërexëm ɓër ŝësëk elod anëka fo ɓën. 
GEN.25.9	Ɓosëñiw̃, Isak do gë Isëmayel, w̃ëxëta këno gër oxel or Makëpela, mopaɓër gë Mamëre, gër oŝënga or Efëroŋ, asëñiw̃ ar Tësohar, arandëw̃ëra and Het an. 
GEN.25.10	Oŝënga olo yëc baxo Abëraxam gër ɓërandëw̃ëra and Het. Fën w̃ëxëta kënëɓi mëŋ do gë alindaw̃ Sara. 
GEN.25.11	Kaxanu yël këŋo mbaŋ oɓetak ol Isak, asëñiw̃ ar Abëraxam, and ŝës ko sëm aŋ. Amëd aŋo lëg baxo Isak ler gër andu and Laxahi Rohi.
GEN.25.12	Mondako ex andëw̃ëra and Isëmayel aŋ, asëñiw̃ ar 
GEN.25.13	Mondako ex omac od ɓosëñiw̃ ɓor Isëmayel ok, ang sëfër këni gër acël andeɓën ak: Nebayot itoŝan iñanar ind Isëmayel iŋ, gë Kedar, gë Adëbehel, gë Mibësam, 
GEN.25.14	gë Miŝëma, gë Duma, gë Masa, 
GEN.25.15	gë Xadad, gë Tema, gë Yetur, gë Nafiŝ, do gë Kedëma. 
GEN.25.16	Ɓën ex ɓosëñiw̃ ɓor Isëmayel, gë omac odeɓën ok, gë ɓëngol ɓëndeɓën ɓëŋ, do gë ɓakwëndaya ɓandeɓën ɓaŋ: ɓemun epëxw gë ɓeki, enëng gë enëng. 
GEN.25.17	Isëmayel ga liya ko ɓëniy keme gë ofëxw osas gë ɓënjongëɓëki, ŝës ko. Ata ɓar këni gë ɓëxarëk ɓërexëm ɓër ŝësëk elo anëka fo ɓën. 
GEN.25.18	Ɓërandëw̃ëra and Isëmayel ɓën lëgëra këni, elod gër ebar ed Afila, xali gër ed Ŝur. Ebar elo faɓërëk gë ed Misëra el, gand ed Asiri. Mondako lëgëra bani ɓërandëw̃ëra and Isëmayel ɓën mopaɓër gë ɗek ɓër aminëmëra andeɓën ɓën.
GEN.25.19	Mondako ex andëw̃ëra and 
GEN.25.20	And sëk këŋo Isak ɓëniy ofëxw onax aŋ, ỹër këŋo Rebeka, aɓiw̃ ar Betuwel, aɓaỹe ar Labaŋ. Sëm ireɓën ebax Betuwel, arandëw̃ëra and Aram an, do lëg baxo gër ebar ed Padaŋ-Aram. 
GEN.25.21	Isak aŝalendëra baŋo ŝalendërand alindaw̃ gër Axwën Kaxanu gayik abaxo rëw̃ na. Ata Axwën Kaxanu yakali këŋo cale indexëm iŋ. Rebeka, alindaw̃, hi ko gë acël. 
GEN.25.22	Ɓëtox ɓëŋ këni h̃ëƴërënd gër acël and nëm ireɓën. Ata nëm ireɓën ko yëlarand ba në end ine këŋo hixënënd mondako. Ƴe ko eŋo mëka Axwën Kaxanu. 
GEN.25.23	Axwën Kaxanu yaka këŋo:
GEN.25.23	«Ɓenëng ɓeki hi këni gër acël andeƴ,
GEN.25.23	ɓandëw̃ëra ɓaki kë ŝapër
GEN.25.23	and këni ŝanëgu gër acël andeƴ aŋ.
GEN.25.23	Andëw̃ëra akinëm këŋo xuca ojaw̃ ok añanar aŋ,
GEN.25.23	do andëw̃ëra and aɓejanak aŋ kë wëña and axarënak aŋ.»
GEN.25.24	And h̃atëk orëw̃ aŋ, watik mëne ɓëŝa dëŋ ex gër acël and Rebeka. 
GEN.25.25	Yatir orëw̃, iñanar iŋ ŝanëgu ko eman eŋ yer omban fo, ang acuɗ and anar fo. W̃ac këno 
GEN.25.26	Ŝanëgu ko aɓinëm, ga sëraw ko etak ed Esawu el. W̃ac këno 
GEN.25.27	Oɗëmëta ok raf këni. Esawu hi ko kamara isëm, ar gër apuỹ. Yakob mëŋ cëŋ hi ko, anambik, ar kë ɓayirand gër ɓaner. 
GEN.25.28	Isak xwël këŋo Esawu gayik anëngan baŋo nënganënd end ow̃acar or baɓi law̃ëgund eŋ. Rebeka mëŋ, xwël këŋo Yakob.
GEN.25.29	Akey amat, Yakob ko ŝemërand. Ata h̃atëgu ko Esawu ga hiw ko gër apuỹ, aloxo ɗek. 
GEN.25.30	Esawu re ko: «Yakob, këla dëtënële wa me ƴamb ecemar ed warëgeƴan ed këƴ ŝemand elo, (Iyo ecemar ed warëgeƴan elo) gayikwa ɗek loxo këme.» Mëŋ nëngwëtaxën këno Esawu «Edom», mëne ngëŋ «Warëgeƴan». 
GEN.25.31	Yaka këŋo Yakob: «Nëmbëre pere gë oxarënak oreƴ ol
GEN.25.32	Yaka ko Esawu: «Wëno ar kërex cës ajo nde, inew̃a ke feca oxarënak olo?» 
GEN.25.33	Ata re ko Yakob: «Yaŝarël pere.» Esawu yaŝar ko. Esawu, mondako nëmb baŋo Yakob, oxarënak orexëm ol. 
GEN.25.34	Ata Yakob rëtën këŋo Esawu ecemar ed gë oŝoɗ el, do gë mburu iŋ. Esawu ƴambëra ko, ŝeɓëra ko, do kwël xani ko ƴe ko. Ata Esawu mondako ƴepën baxo oxarënak orexëm ol.
GEN.26.1	Ga niyitarak, h̃atëguk enjo gër ebar ed 
GEN.26.2	Axwën Kaxanu ga ŝanaxën këŋo, re ko: «Ñëpal gër ebar ed këmi fënëtan, këreƴ cëlaɗ na gër Misëra. 
GEN.26.3	Ɗëgiɗ gër ebar elo ang aliyer fo. Wëno gë wëj këme hi, do ayël këmi yël oɓetak oram ol. Gayikwa wëj do gë ɓërandëw̃ëra andeƴ ɓën yël këmun ɗek owar oŋo. Mondako këme h̃ata er yaŝar këme arin këmo rin sorix Abëraxam in. 
GEN.26.4	Aŝënan këmëni ŝanën ɓërandëw̃ëra andeƴ ɓën ang ow̃al or gër orën fo. Do ɗek owar oŋo këmëni yël. Do ɗek ɓenëng ɓend gër ebar ɓeŋ kë ɓeta paɓ gë andëw̃ëra andeƴ aŋ. 
GEN.26.5	Gayikwa Abëraxam aɓaxët baxe ɓaxëtënd, do asëf baxo sëfënd ɓapela ɓaŋ do gë ɓacariya ɓandam ɓaŋ.» 
GEN.26.6	Ata Isak rëfa ko gër ebar ed Gerar.
GEN.26.7	Ɓësoŝan ɓër lëg bax gër ebar elo ɓën këno w̃ëkarand end alindaw̃ eŋ. Er baɓi yakand: «Aɓaỹe iram ex». Ayëda baxo yëdand exo de: «Asoxari aram ex», këdi këno law̃ ɓësoŝan ɓër ebar elo ɓën në end Rebeka, gayik mbaŋ ye baxo. 
GEN.26.8	Ata Isak nëka ko mbaŋ na gër ebar elo. Akey amat Abimelek, emun end Ofilisëteŋ eŋ, ko ƴëkwand gër fonetër, wat këɓi Isak gë Rebeka, alindaw̃, ga këni nëxira. 
GEN.26.9	Abimelek w̃ac këŋo Isak do re ko: «Awa ajo asoxari areƴ nde ex! Mondake cëŋ rexën këƴ: “Aɓaỹe iram exo!”» Yaka ko Isak: «Wëno mondako yeƴan bame, ga bame yëland mëne alaw̃ këne law̃ në endexëm.» 
GEN.26.10	Ata re ko ɓëte Abimelek: «Ine ex end ri këƴëɓo eŋo? Tëkër fo ɓayi bax asoŝan ar gër ɓulunda iram eni ɗaki gë asoxari areƴ an. Wëj lënanëdoɓo eñëŋënax eŋo!» 
GEN.26.11	Ata Abimelek yël këɓi acariya aŋo ɗek ɓulunda in: «Ar këŋo sëka asoŝan ajo, ba alindaw̃, ar eɗaw̃ ex.»
GEN.26.12	Ga xucak eŋo, Isak ỹandëra ko na gër ebar elo, ŝotëra ko ɗëm aniy aŋo. Axwën Kaxanu yël baŋo oɓetak ol. 
GEN.26.13	Ata Isak ŝotëra ko. Napul irexëm in kwël dëŋ bax ỹëmbërënd xali hi ko ar gë napul isëm. 
GEN.26.14	Aŝot ŝot baxo okece od oɓeci do gë opeỹ, gë okece od oxeƴ, do gë okaɗëp odanjëm. Ata Ofilisëteŋ ok ỹana këni këɓi ƴakëraxind endexëm eŋ.
GEN.26.15	Ɗek ɓandu ɓand nac bani angwën and hi baxo 
GEN.26.16	Ata Abimelek fel këŋo 
GEN.26.17	Isak ƴe ko ŝëxwayax ko gër epesa ed Gerar, do lëgëx ko fën. 
GEN.26.18	Ata Isak lëmëtëra ko ɓandu ɓand nac baxo Sëm Abëraxam ɓaŋ, and ɓayi baxo mopër aŋ. Ofilisëteŋ ok lëmëra bax, and ŝës ko Abëraxam aŋ. Ang w̃acëra baxo sëm ɓandu ɓaŋo ak w̃acëra baxo mëŋ ɓëte.
GEN.26.19	Akey amat, okaɗëp od Isak ok bax nacënd ɓëte andu gër epesa. Sëkën këni añësa and gë men ond mbaŋ. 
GEN.26.20	Ɓarikan ɓëxaɗac ɓër gër ebar ed Gerar ɓën sakëreli kënëɓi ɓëxaɗac ɓër Isak ɓën. Er bani rend: «Ɓiyi xwënëk men oŋo!» Ata Isak w̃ac ko andu aŋo «Esek», mëne ngëŋ «Atakëra» gayik asakëreli sakëreli bano në end andu aŋo. 
GEN.26.21	Okaɗëp od Isak ok nac këni ɓëte andu acëxe, sakëreli kënëɓi gaŝëxe. Isak w̃ac ko andu aŋo «Sitëna», mëne ngëŋ «Ekandër». 
GEN.26.22	Ata Isak ga xani ko na, rëfa ko, do nacëx ko andu acëxe, and ala aŋo takëreli bana. W̃ac ko andu aŋo «Rexobot», mëne ngëŋ «Wur iỹangax». Gayikwa are re baxo: «Gërëgako Axwën Kaxanu anëka xwët këɓo gër ed këne xëñe. Axor këne xore ene cotëraye gër ebar elo.»
GEN.26.23	Isak ga xani ko na, rëfa ko kwël ƴaŋ ƴaŋ, end Berëŝeba eŋ. 
GEN.26.24	Ata Axwën Kaxanu ŝanayaxën këŋo gëmëɗ ijo, do re ko: «Wëno ex Kaxanu, ar yata këŋo sorix Abëraxam an. Gë wëj hik këme, këreƴ yëdarand na. Wëno ki yël oɓetak ol, do me cënan andëw̃ëra andeƴ aŋ në end Abëraxam, ariyenin aram eŋ». 
GEN.26.25	Ata Isak ri ko na angëɓ, do ŝale këŋo Axwën Kaxanu. Na ri baxo ɓaner ɓandexëm ɓaŋ, do okaɗëp odexëm ok nac këni ɓëte andu.
GEN.26.26	Abimelek do gë Ahusat, alaŋëtaran arexëm an, do gë Pikol, alëngw ar ocoroɗa odexëm an, nëngaw këno Isak, ga xaniw këni gër ebar ed Gerar. 
GEN.26.27	Ata w̃ëka këɓi Isak: «Inew̃a nëngaxënëgu këne xarak aŝus ŝus këne, do aw̃ayëgu w̃ayëgu këne gër ndewën?» 
GEN.26.28	Yaka këni: «Ɓiyi aye wat këmi mëne Axwën Kaxanu gë wëj hi ko. Mëŋ ƴowaxënëgu këmi mi pel: Axara xara këmi, yatarëne eter wëj gë ɓiyi, eter ed këne yaŝare mëne afëɓ këne fëɓe. 
GEN.26.29	Yaŝarël mëne wëj aƴëɓo mereli na, gayikwa ɓiyi eñëŋënax gematak ami dinanëgu ex na. Wayët enjekax fo rinëgu këmi, do seɓëgu këmi rëfaw këƴ gë aketëxeta fo. Gërëgako Axwën Kaxanu yël ki oɓetak ol.» 
GEN.26.30	Ata Isak rin këɓi ñambëran, ƴambëra këni do ŝeɓëra këni. 
GEN.26.31	Ga xeyëk, mopëɗ, yatar këni eter el, do yaŝar këni ala kala. Isak seɓ këɓi, kwël ƴe këni gë aketëxeta fo.
GEN.26.32	Kwël yatijo fo ƴow bani okaɗëp od Isak ok, fel këno end andu and bani nacënd eŋ: «Anëka sëkën këmi men oŋ!» 
