MAT.1.1	Lùu ŋwaꞌlə kɔ̀ŋ ŋiꞌ ŋii Yeso Kristo, wee Deyvid, wee Abraham. 
LUK.10.29	Wə ghɔ́ nəə kəə fi tɔ ki fɨ ghɔ Yeso, gì tɨ́ ŋwə laa, «Wənjɨɨ ŋwaa sii lùu ndə?» 
LUK.10.30	Yeso bəŋsə tɨ́ ŋwə laa, «Wuu Jus mɔ́ꞌ nə ndɔ̀ fɨ ntɨꞌ Jerusalem, kɨ siꞌ gə ntɨꞌ Jeriko, ŋìi taa ghɔ vəndɔꞌ. Vəŋ shoꞌtə njwi si, sàŋ ŋwə, mɔ̀ꞌ ŋwə nsi, nyɨŋ, mèꞌtə ŋwə shɔ, ŋwə nə kəə ku. 
LUK.10.31	Wuu məfeꞌ Nwi mɔ́ꞌ siꞌ jwì, kɨ shɔɔ fɨ maa jɨɨ yɔ́, kee kɨ̀ɨ nə nu kɔ́ me, kɨ ye, yè wə ghɔ́, bàŋnə shɔ̀ɔ nə ŋwaa ŋgwinə. 
LUK.10.32	Wuu faꞌ Nwi mɔ́ꞌ fɨ taa ŋwaa vɨɨ Levi jwi zìꞌ maa shəŋ kɔ́ nɨzi, yè wə ghɔ́, bàŋnə shɔ̀ɔ nɨzi. 
LUK.10.33	Wə mɔ́ꞌ fɨ shɨ Samaria jwi, (faŋ vɨɨ Jus ghɔ vɨ vɨɨ Samaria kee yaa kɨ zɨnə me). Wuu Samaria ghɔ́ jwi, ziꞌ yɨ wə ghɔ́, ye ŋwə, kèe gəŋ si, 
LUK.10.34	gə yɨ ŋwə, kwàŋ məŋgwə, ndɔ twèy vədɨꞌ vi vɔ́, kɨ nii ndì ŋwə, kòꞌsə ŋwə fuu nyaa ŋwə, gə̀ nə ŋwə taa ŋii vəndɨə, nùŋ ŋwə, vɨ nə shuꞌ ŋwə. 
LUK.10.35	Fu kɨ lee ŋwə ndɔ, kɔ̀ ka tɨ́ tɨɨ ŋii vəndɨə ghɔ́, gì laa, «Gaŋtə wə ŋwə̀, shuꞌ za ki! A ndɔ kɨ luu bɨ̀sə fa faŋ ŋkə shɔ̀ɔ ki ka ŋwə̀ faŋ mə kɔ̀ tɨ́ ghɔ nə, buu mə ndɔ kɨ bəŋ jwì, kɔ tɨ́ ghɔ.»
LUK.10.36	Yeso nə fɨ̀ꞌtə yigisə tii yɔ́, kɨ nii bìtə tɨ́ wuu mədeesə ŋwaꞌlə Nwi ghɔ́ laa, «A sii bɨ̀ꞌtə laa wənjɨɨ wə ntɨə faŋ ŋwə nə ŋìi taa ghɔ vəndɔꞌ nə, lùu ndə fɨ taa ŋwaa vɨɨ vì vətia nə?» 
LUK.10.37	Ŋwə gi laa, «Maa lùu wə ntɨə faŋ ŋwə nə gàŋtə wə ghɔ́ nə.» Yeso gi tɨ́ ŋwə laa, «Ɔŋ, lùu nɨniŋ, gə kɨ yɨ sheꞌ nɨniŋ!»
LUK.10.38	Yeso ghɔ vɨ vɨɨ vi baa kɨ gə, gə̀ zìꞌ maa ntɨꞌ yimɔ́ꞌ, wəzwi mɔ́ꞌ ndi ŋwə, ghɔ ŋwə gə taa ŋii ŋwə. Yizii wəzwi ghɔ́ luu Marta. 
LUK.10.39	Weenshu Marta nə luu shɔ nɨzi, yizii yi luu Meri. Meri duꞌ ghuu tɨta Yeso, kɨ zɔ nu ŋkɨə faŋ ŋwə gisə. 
LUK.10.40	Marta bɨŋ ŋkee dɨdɨꞌ maa məkəə vətɔ maa məkɔ tɨ́ Yeso, shə̀ŋtə jwi yɨ ŋwə, gì laa, «Tɨta, maa a ye laa weenshu ŋwaa mèꞌtə mə, mə nə fàꞌ nɨnɔŋ? Bàw a gi ŋwə jwi gàŋtə mə.» 
LUK.10.41	Tɨta Yeso bəŋsə tɨ́ ŋwə laa, «Aŋ Marta, a bɨŋ ghaysə ŋwaa wə maa vətɔ vəyaŋvə. 
LUK.10.42	Luu sheꞌ nu kəmuꞌ faŋ ŋkə lùu nu kwalə. Ŋkə lùu laa wə kɨ zɔ yigisə Nwi. Gə fɨ maa Meri, ŋwə shoꞌ kwiŋ jəənə, kaꞌ wə kee fì fɨ ghɔ ŋwə me.»
LUK.11.1	Shi mɔ́ꞌ Yeso baa dùꞌ maa shəŋ kəmɔ́ꞌ, kɨ shɔꞌtə Nwi. Ŋwə shɔꞌtə Nwi mètə, wə mɔ́ꞌ fɨ taa ŋwaa vɨɨ məzwetə nu ki gi tɨ́ ŋwə laa, «Tɨta, deesə yia maa məshɔꞌtə Nwi, sheꞌ faŋ Jɔn nə dèesə vɨɨ məzwetə nu ki nə nɨzi.» 
LUK.11.2	Ŋwə gi tɨ́ vəŋ laa, «Viŋ taa kɨ shɔꞌtə Nwi, viŋ gì laa lee,
LUK.11.2	«Tɨta Nwi, məbəŋsə lùu maa yizii yə.
LUK.11.2	Bàw yifwàŋ yə jwi.
LUK.11.3	Kɔ yia shi shi nə fazɨ faŋ ŋkə kùꞌnə maa shi.
LUK.11.4	Ndenə vənu vəbwəvə faŋ yia nə yɨ̀sə nə,
LUK.11.4	fɔnə yia ndenə vənu vənshə faŋ vɨɨ gù maa yia nɨzi.
LUK.11.4	Kɨ ghɔ biŋ yia ŋii məmɔŋ maa məyɨ nu bwə me.»
LUK.11.5	Yeso baa gì tɨ́ vəŋ laa, «Sii lùu ndə taa ŋwaa viŋ, faŋ ŋwə kìi wuumba wi, gə̀ fu ŋwə nɨndɨɨ mbi, gì tɨ́ ŋwə laa ŋwə shwaꞌ yighɨsə bee tɨ́ yi yitia, 
LUK.11.6	buꞌ laa wuumba wi mɔ́ꞌ jwì, faŋ ŋwə ndɔ̀ fɨ shɨ tɔŋ day, yi kee kìi fazɨ, kɔ tɨ́ ŋwə me. 
LUK.11.7	Maa kaꞌ wuumba wə kee bəŋsə fɨ taa ŋii, gì laa, «Kɨ ghɔ ghaysə mə me. Vɨ duꞌtə vɨ fay shuufɔ, yia vɨ vaŋ vaŋ nɔŋ mɔ́ꞌ. Kaꞌ mə kee baa ndɔ, kɔ̀ fa tɨ́ ghɔ me.» 
LUK.11.8	Mə gì tɨ́ viŋ laa, wuumba wə kɨ luu kee taa ndɔ, kɔ fa tɨ́ ghɔ buꞌ nu vɨɨmba me, buu ŋwə taa kii ndɔ, kɔ tɨ́ ghɔ buꞌ faŋ a kɔ ŋɨꞌ tɨ́ ŋwə nə.»
LUK.11.9	Yeso baa gì laa, «Viŋ zɔ! Mə naysə tɨ́ viŋ laa, viŋ kɨ bitə, buu vɨ taa kɔ tɨ́ viŋ. Viŋ kɨ kəə, buu viŋ taa ye. Viŋ kɨ buꞌtə, buu Nwi taa ŋaꞌsə tɨ́ viŋ. 
LUK.11.10	Viŋ kɔꞌ kɨɨ laa wə tɨ̀ me wə faŋ ŋwə ndwaŋ Nwi, buu Nwi taa kɔ tɨ́ ŋwə. Wə ntɨə faŋ ŋwə kəə jɨɨ Nwi yinsəŋ, buu ŋwə taa ye. Wə faŋ ŋwə buꞌtə, buu vɨ ŋaꞌsə tɨ́ ŋwə.
LUK.11.11	Weembwa kɨ luu ndwaŋ su fɨ ghɔ tii wi, kaꞌ tii wi kɔ zɔ tɔ su yɔ́ tɨ́ ŋwə mu? Wə lùu shɔ taa ŋwaa viŋ, faŋ ŋwə yɨsə nɨniŋ mu? 
LUK.11.12	Wee mɔ́ꞌ ndwaŋ yighɔŋ ŋgu, tii wi kɔ luu ŋaa tɨ́ ŋwə mu? - Bey, kaꞌ tɨɨ weembwa kee yɨ̀ nɨniŋ me. 
LUK.11.13	Nɨniŋ, faŋ viŋ kɨ̀ɨ maa məkɔ vətɔ vəjəəvə tɨ́ vaŋ viŋ, faŋ viŋ kɔlə lùu vɨɨ bwənə nə, buu tɨta Nwi faŋ ŋwə lùu yizɔ nə, kɨɨ kɔ jəə shɔ̀ɔ viŋ. Ŋwə taa kɔ Zwitə Ley ki tɨ́ vɨɨ mbɨə faŋ vəŋ ndwaŋ fɨ ghɔ ŋwə.»
LUK.11.14	Kɨ lùu maa yighee yɔ́, Yeso fuusə zwitə bwə mɔ́ꞌ fɨ maa wə mɔ́ꞌ, faŋ zwitə bwə kɔ́ nəə yɨsə wə ghɔ́ gu bɨbɨ. Zwitə bwə kɔ́ kɨ fuu, wə ghɔ́ zi kɨ gisə. Shuu vɨɨ mbɨə faŋ vəŋ nə yè, yɔŋ. 
LUK.11.15	Luu nə, vɨɨ mɔ́ꞌ fɨ taa ŋwaa vɨɨ vɔ́ gi laa, «Tɨɨ vəzwitə vəbwəvə yiba jɨŋ ŋwə, buu ŋwə kɨ fuusə vəzwitə vəbwəvə fɨ maa vɨɨ.»
LUK.11.16	Vɨɨ mɔ́ꞌ nəə kəə mɔŋ ŋwə, gì laa ŋwə də shwenə mɔ́ꞌ faŋ ŋkə ndɔ̀ fɨ yizɔ, tɨ́ kaꞌ vəŋ kɨɨ fɨ fuŋ laa ŋwə ndɔ fɨ ghɔ Nwi mu. 
LUK.11.17	Luu nə, ŋwə nəə kɔꞌ kɨɨ nə nu ŋkɨə faŋ vəŋ nəə bɨꞌtə. Ŋwə gi tɨ́ vəŋ laa, «Yifwàŋ kɨ luu sèenə vəway vəbɔɔ, buu yifwàŋ yɔ́ ndɔ ndi. Ŋii gu tɔ liŋ wi, ŋii gu tɔ liŋ wi. 
LUK.11.18	Yifwàŋ Satan, tɨɨ vəzwitə vəbwəvə, nəə toꞌ gaasə ŋwaa wi vəway vəbɔɔ, buu kaꞌ yifwàŋ yi tɨŋnə kɨkə? Nɨniŋ, kaꞌ viŋ kee baa kɨ gisə laa Satan yiba jɨŋ mə, buu mə kɨ fuusə vəzwitə vəbwəvə nə me. 
LUK.11.19	Mə nəə toꞌ fuusə vəzwitə vəbwəvə fɨ maa vɨɨ maa wutə Satan, buu vaŋ viŋ sii fuusə mbə-vəŋ maa wutə ndə? Nɨniŋ, vaŋ viŋ vɔ́ ndɔ luu vɨɨ məshia nsɔꞌ tɔ viŋ.
LUK.11.20	Luu nə, mə kɨ luu kɨ fuusə vəzwitə vəbwəvə nə wutə Nwi, buu ŋkə lùu laa nu yifwàŋ Nwi zìꞌ ghɔ viŋ.
LUK.11.21	Wuu weꞌ kɨ luu shùŋ vətɔ və yighaw vi, kɨ shii ntoꞌ yi, buu vətɔ vi taa duꞌ shəŋ ghi. 
LUK.11.22	Luu nə, wə mɔ́ꞌ kɨ jwi faŋ ŋwə weꞌ shɔ̀ɔ ŋwə, jwì ghɔ̀ꞌ ŋwə, kèꞌtə vətɔ və yighaw vɔ́, faŋ ŋwə yaa nuŋ fwi yi shɔ nə, buu bwilə vətɔ vi, gàatə.
LUK.11.23	Wə faŋ ŋwə kee lùu yiba jɨŋ mə me, lùu yiba jɨŋ wuu mbeenə ŋwaa. Wə faŋ ŋwə kee baytə vɨɨ vaŋ yia ŋwə me, saynə vɨɨ vaŋ sɨsaynə.»
LUK.11.24	(Yeso baa gì laa,) «Zwitə bwə yaa kɨ fuu fɨ taa ŋwaa wə, ŋkə kɨ nii gə̀ kɨ toꞌ fɨ taa vəshəŋ vəyɔŋvə, toꞌ kəə shəŋ məshəŋ ŋwaa, toꞌ nɨniŋ, kee ye me, buu ŋkə taa gi laa, «Bàw mə baa bəŋ gə taa ŋii mə, faŋ mə nə fùu fɨ fuŋ nə,» 
LUK.11.25	gə̀ ye taa ŋii ghɔ́, tɨ́ vɨ jiasə, nùŋ vətɔ maa vəshəŋ vi. 
LUK.11.26	Nɨniŋ, ŋwə gə ndì vəzwitə vəbwəvə vəmɔ́ꞌ faŋ mbə bɨ shɔ̀ɔ ŋwə kwatia, ghɔ vɨ mbə jwi, ŋìi taa ŋwaa wə ghɔ́, kɨ shi shɔ. Nu yiba wə ghɔ́ ndɔ bɨ shɔ̀ɔ ŋkə vɨsɨ.»
LUK.11.27	Faŋ Yeso nə gi nɨniŋ, wəzwi mɔ́ꞌ fɨ taa ŋwaa vɨɨ vɔ́ gi tɨ́ ŋwə nə gɨ yishaꞌsə laa, «Mənɔŋ-bwaŋnə tɔ njyoꞌ njyə faŋ nyə nə bì ghɔ, baa nə tɨ́ məŋ ŋgɨə faŋ ŋə nə nyɔŋsə ghɔ nə!» 
LUK.11.28	Ŋwə gi ŋkii laa, «Bey, mənɔŋ-bwaŋnə tɔ vɨɨ mbɨə faŋ vəŋ zɔ nu Nwi jia!»
LUK.11.29	Faŋ vɨɨ nə baa kɨ yaŋ yɨ Yeso, ŋwə tey kɨ gisə tɨ́ vəŋ laa, «Ŋgwisə nyə̀ luu ŋgwisə yibwə. Viŋ kəə shwenə fɨ ghɔ mə, luu nə, vɨ kee ndɔ də shwenə tɨ́ viŋ me, tɨ̀ lɨꞌ sheꞌ shwenə nu Jona, nshiiŋii-sɔghɔ wì. 
LUK.11.30	Faŋ Jona nə luu shwenə tɨ́ vɨɨ Ninevee nə, sheꞌ nɨniŋ, Wuu yinsəŋ Nwi ndɔ luu shwenə tɨ́ ŋgwisə nyə̀.
LUK.11.31	Ŋkee fɨshi fwàŋ mɔ́ꞌ, faŋ nə luu fwàŋ wəzwi, nə ndɔ̀ fɨ kwiŋ yitəŋ ŋkee fɨ maa vəndwə və mbi, jwì maa məzɔ yitɔfə fwàŋ Solomon. Gə fɨ maa ŋgwi nyə̀, viŋ yè wə ntɨə faŋ ŋwə shɔ̀ɔ fwàŋ Solomon ghɔ́. Nɨniŋ, fwàŋ fɨ yitəŋ ghɔ́ ndɔ tɨŋnə maa shi məshia nsɔꞌ, faŋ Nwi ndɔ shia nsɔꞌsə vɨɨ vənshə nə, ŋwə ndɔ tɨŋnə, gì nu nsɔꞌ kiŋ, yɨsə vɨ shia nsɔꞌ tɔ viŋ, buꞌ laa viŋ kee zɔ̀nə wə ntɨə faŋ ŋwə shɔ̀ɔ fwàŋ Solomon nə me. 
LUK.11.32	Sheꞌ nɨniŋ, vɨɨ fɨ shɨ Ninevee ndɔ tɨŋnə yizɔ, mɔꞌ nsɔꞌ tɔ ŋgwisə vɨɨ və̀, vəŋ ŋii nsɔꞌ, buꞌ laa vɨɨ Ninevee vɔ́ nə kwìinə fwisə vəŋ, faŋ Jona nə fɨꞌtə nu Nwi tɨ́ vəŋ nə. Gə fɨ maa viŋ, viŋ kee kwìinə fwi siŋ me, faŋ viŋ kɔlə yè wə ntɨə faŋ ŋwə shɔ̀ɔ Jona nə.»
LUK.11.33	«Kaꞌ wə kee shùꞌ kiꞌ, nùŋsə maa shəŋ vəndenə me, tɨꞌnə me, shìtə nə ntɨɨ me. Maa ŋwə taa nuŋ lùu fuu fa mətə kiꞌ, tɨ́ kaꞌ vɨɨ faŋ vəŋ ŋìi taa ŋii, kɨ ye vədɨꞌ fuŋ. 
LUK.11.34	Kiꞌ ŋwaa wə luu sɨ ghi. Sɨ ghə kɨ luu, lùu jəə, buu ŋwaa wə nshə kìi məley. Kɨ luu sɨ ghə bɨ, ŋwaa wə fə̀ŋ. 
LUK.11.35	Məley Nwi faŋ ŋwə lùu taa fwi ghɔ, luu sheꞌ nɨndɨŋ. Kɨ tɔfə laa məley Nwi ghɔ́ kee mè fɨ taa fwi ghɔ me! 
LUK.11.36	Fwi yə kɨ luu ley yinshə, tuu wee-shəŋ fəŋ kee luu taa tey yi me, buu nshinə yə luu ŋkee yiley. Luu sheꞌ faŋ kiꞌ yaa kɨ bee, kɔ məley tɨ́ ghɔ.»
LUK.11.37	Yeso gi nɨniŋ, wuu Farisii mɔ́ꞌ tii ŋwə laa ŋwə jwi, ghɔ ŋwə zɨ. Ŋwə gə ŋìi taa ŋii wə ghɔ́, dùꞌ nsi maa məzɨ. 
LUK.11.38	Wuu Farisii ghɔ́ ye, shuu wi yɔŋ, buꞌ faŋ ŋwə dùꞌ nsi maa shəŋ məzɨ, kee bɨ sɔ ghɔ ghi, buu kɨ zɨ me. 
LUK.11.39	Tɨta Yeso gi tɨ́ ŋwə laa, «Aŋ viŋ, vɨɨ Farisii, viŋ sɔ ndawsə fɨ mbɨɨ yi nə vəkay, luu nə, fwi siŋ lwaŋ nə vənu vəbwəvə, nə mbeenə. 
LUK.11.40	Viŋ lùu vəmfaw. Maa wə ntɨə faŋ ŋwə nə bɔ̀ŋ mbɨɨ fa, nə bɔŋ sheꞌ ŋwə bɔ̀ŋ taa tey wi nɨzi. 
LUK.11.41	Nɨniŋ, bàw viŋ ywiitə kɔ̀ŋ fwi siŋ nɨzi. Viŋ ndì vətɔ mbɨə faŋ mbə lùu taa vəkay viŋ, kɔ̀ tɨ́ vɨɨ ŋɨꞌ. Viŋ yɨ nɨniŋ, buu fwi siŋ ley vɨsɨ Nwi.
LUK.11.42	Wii, vɨɨ Farisii! Viŋ kɔ way fa kəmuꞌ fɨ taa vətɔ yighuŋ tɨ́ Nwi, ŋkee fɨ taa vəmbasə və biisə viŋ, nə vətɔ vəghilə faŋ viŋ fuꞌ fɨ taa biisə. Luu nə, viŋ shiasə nu loomə nə ŋkawnə Nwi. Bàw viŋ kɨ yɨsə nu loomə nə nu ŋkawnə, kee kɨ manə vənu mbii-wə me.
LUK.11.43	Ndwaŋ tɔ viŋ, vɨɨ Farisii! Viŋ kaw maa məduꞌ fuu vəŋkaw vəkwalə taa ndɔꞌ Nwi, baa kàw shɔꞌtə məgwenə taa vəshəŋ və yiwiŋ.
LUK.11.44	Ndwaŋ tɔ viŋ! Viŋ lùu yaa təswi faŋ vɨ kee yishwenə me, faŋ vɨɨ toꞌ fɨ fuu yi, kee kɨɨ me.»
LUK.11.45	Wə mɔ́ꞌ fɨ taa ŋwaa vɨɨ mədeesə ŋwaꞌlə Nwi bəŋsə tɨ́ ŋwə laa, «Tɨta, a gì nɨniŋ, ndà luu yia nɨzi.» 
LUK.11.46	Ŋwə bəŋsə tɨ́ wə ghɔ́ laa, «Ndwaŋ tɔ viŋ nɨzi, vɨɨ mədeesə ŋwaꞌlə Nwi, viŋ kɔ ntɨ yiweꞌ tɨ́ vɨɨ, koꞌsə biꞌ jɨŋ vəŋ nɨniŋ, faŋ ŋkə luu kəweꞌ maa məshaꞌ, faŋ nshɨ-tɔ wiŋ kee bee nesə wee-ghɔ wiŋ muꞌ maa məbaa luu shaꞌ biꞌ kɔ́ me.
LUK.11.47	Ndwaŋ tɔ viŋ! Viŋ bɔŋ təfuŋ təjəətə tɨ́ nshiisə-ŋii sɔghɔ, ŋkee vəŋ faŋ vətɨɨ viŋ nə zwilə nə. 
LUK.11.48	Viŋ kəə bəŋsə nshiisə-ŋii sɔghɔ sɔ́, luu nə, viŋ də sheꞌ vənu vəbwəvə mbɨə faŋ vətɨɨ viŋ nə yɨsə nə ntee. Mbɨꞌtə yiŋ luu sheꞌ yaa njyə-vəŋ. Vəŋ nə zwilə nshiisə-ŋii sɔghɔ sɔ́, viŋ metə faꞌ vəŋ ghɔ́, bɔŋ təfuŋ tə vɨɨ vɔ́. 
LUK.11.49	Buꞌ nu kɔ́ Nwi gì fɨ maa yitɔfə yi laa yi taa tɔŋ nshiisə-ŋii sɔghɔ nə vɨɨ ntɔŋsə tɨ́ vəŋ, vəŋ taa zwilə vəmɔ́ꞌ, shoꞌ ghuu vɨɨ mɔ́ꞌ. 
LUK.11.50	Nɨniŋ, nsɔꞌ Nwi buꞌ nu məzwilə nshiisə-ŋii sɔghɔ ndɔ luu tɔ vɨɨ fɨ taa mbi ndee nyə̀, buꞌ nshiisə-ŋii sɔghɔ vənshə, faŋ vɨ nə zwilə vəŋ shù fɨ nə faŋ mbi nə tey nə, 
LUK.11.51	zì faŋ vɨ nə zwi Abel, gə ziꞌ tɨ́ Zakaraya, faŋ vɨ nə zwì ŋwə nɨntəŋ ŋii Nwi yɨ shəŋ məkɔ Nwi. Maa yinsəŋ, mə naysə tɨ́ viŋ laa, vɨ ndɔ kwaŋ vɨɨ mbi ndee və̀ taa nsɔꞌ buꞌ vənu vɔ́.
LUK.11.52	Ndwaŋ tɔ viŋ, vɨɨ mədeesə ŋwaꞌlə Nwi! Viŋ fəŋ vɨɨ fɨ maa nu məkɨɨ nə nu yinsəŋ Nwi nə mədeesə wiŋ. Nshɨ-tɔ wiŋ kee toꞌ maa jɨɨ yinsəŋ Nwi yɔ́ me, baa fəŋ vɨɨ mbɨə faŋ vəŋ nəə kəə kɨ toꞌ fuu jɨɨ yɔ́.»
LUK.11.53	Faŋ Yeso nə fùu fɨ maa shəŋ kɔ́, vɨɨ mədeesə ŋwaꞌlə Nwi nə vɨɨ Farisii tey kɨ lulə ŋwə ŋkee bwə, bìtə vənu tɨ́ ŋwə vəyaŋ, 
LUK.11.54	kəə jɨɨsə maa məyɨ laa ŋwə gi nu gù, vəŋ jia ŋwə.
LUK.12.1	Kɨ lùu maa yighee yɔ́, vɨɨ ŋkaŋsə ŋkaŋsə nə baytə shəŋ muꞌ, wə toꞌ fɨ fuu ŋwaa liŋ wi, wə toꞌ fɨ fuu ŋwaa liŋ wi. Yeso bɨ gì tɨ́ vɨɨ məzwetə nu ki laa, «Viŋ ndɨɨnə maa nu vɨɨ Farisii, faŋ vəŋ yaa kɨ boꞌ ŋwaa, buꞌ laa lùu nu faŋ kaꞌ ŋkə yasə saynə taa ŋwaa vɨɨ, sheꞌ faŋ fənsɨŋ yaa kɨ saynə taa bee, ŋkə mwa. 
LUK.12.2	Kaꞌ fa kee ndɔ ndenə maa shəŋ, kee ndɔ fuu ntee me. Nu kee ndenə maa vɨɨ ndɔ kɨɨ me. 
LUK.12.3	Vənu vənshə faŋ viŋ gisə taa vəshəŋ vəfəŋvə, vɨɨ ndɔ kɨ zɔ ntee taa vəshəŋ vəleyvə. Nu ŋkɨə faŋ viŋ shumə taa ŋii, vɨ ndɔ kɨ luꞌ ntee fɨ fuu tɔ-ŋii.
LUK.12.4	Viŋ zɔ! Mə naysə tɨ́ viŋ, faŋ viŋ lùu vɨɨmba vaŋ nə, laa kɨ viŋ kɨ fee vɨɨ mbɨə faŋ vəŋ zwilə yiŋwaa yiŋ me, buꞌ laa kaꞌ vəŋ yɨ̀ nɨniŋ, taa kee baa kìi nu day yɨ̀sə me. 
LUK.12.5	Mə taa tɨ viŋ nə wə ntɨə faŋ kaꞌ viŋ kɨ fee. Bàw viŋ kɨ fee Nwi, faŋ kaꞌ ŋwə zwì wə, baa kìi wutə maa məkwaŋ ŋwə taa wisə bwənə. Yinsəŋ, mə gì tɨ́ viŋ laa viŋ kɨ fee Nwi. 
LUK.12.6	Maa vɨ fìŋ vəndwaŋ tee sheꞌ maa vəfɨlaŋ muu-mbɔɔ. Luu nə, kaꞌ tuu ŋkee ndwaŋ muꞌ kee bee ndenə fɨ vɨsɨ Nwi me. 
LUK.12.7	Gə fɨ maa viŋ, vɨ nə say ŋkee nyuŋsə tɔ siŋ sənshə. Nɨniŋ, kɨ viŋ fee me. Viŋ ndɔ̀ŋ shɔ̀ɔ vəndwaŋ vəyaŋ.
LUK.12.8	Viŋ zɔ! Mə naysə tɨ́ viŋ laa, wə ntɨə faŋ ŋwə bìŋ mə taa ŋwaa vɨɨ, buu Wuu yinsəŋ Nwi ndɔ biŋ ŋwə nɨzi vɨsɨ nshiisə-ŋiisə Nwi. 
LUK.12.9	Wə ntɨə faŋ ŋwə twèy mə taa ŋwaa vɨɨ, buu vɨ ndɔ twey ŋwə nɨzi vɨsɨ nshiisə-ŋiisə Nwi.
LUK.12.10	Wə tɨ̀ me wə faŋ ŋwə gì bwə kɔ̀ŋ Wuu yinsəŋ Nwi, buu vɨ ndɔ ndenə yibɨsə yi tɨ́ ŋwə. Gə fɨ maa wə faŋ ŋwə nə ndà Zwitə Ley Nwi, kaꞌ vɨ kee ndɔ baa ndenə nu bwə ki kɔ́ me. 
LUK.12.11	Kɨ luu vɨ ndɔ ndi viŋ, gə̀ nə viŋ taa ndɔꞌ nsɔꞌsə, nə vɨsɨ məshəŋtə kwalə, kɨ viŋ lɔꞌ, kɨ kwaꞌtə laa viŋ sii taa fi tɔ kiŋ kɨkə me, tɨꞌnə me laa viŋ taa gi laa kə me. 
LUK.12.12	Zwitə Ley Nwi taa deesə nu ŋkɨə faŋ viŋ taa gi tɨ́ viŋ sheꞌ maa yighee yɔ́.»
LUK.12.13	Wə mɔ́ꞌ fɨ taa nwaa vɨɨ vɔ́ gi tɨ́ Yeso laa, «Tɨta, gi tɨ́ weenshu ŋwaa laa yia ŋwə gaatə vətɔ və ŋku tii wia!» 
LUK.12.14	Yeso bəŋsə tɨ́ ŋwə laa, «Aŋ ghɔ, sii nùŋ ndə nùŋ mə maa wuu məshia nsɔꞌ yiŋ, tɨꞌnə me maa wuu məgaatə vətɔ viŋ tɨ́ viŋ?»
LUK.12.15	Ŋwə baa kɨ nii gì tɨ́ vɨɨ vɔ́ laa, «Viŋ kɨ ndɨɨnə, shiinə yiŋwaa yiŋ laa, kɨ fwi yiŋ kɨ ndɔ maa vətɔ me, fɔnə wə kee yaa kɨ bwey buꞌ laa vətɔ yàŋ ghɔ ŋwə bə̀ me.» 
LUK.12.16	Ŋwə nə gì nɨniŋ, fɨꞌtə yigisə tii yimɔ́ꞌ tɨ́ vəŋ, gì laa, «Tɨɨ ka mɔ́ꞌ nə luu shɔ, fazɨ nə ta ŋkee kəyaŋ taa ndɨɨ si. 
LUK.12.17	Ŋwə bɨꞌtə fɨ tɔ ŋwə laa yi sii taa yɨ kɨkə, faŋ yi kee kìi shəŋ, nùŋsə vətɔ vəzɨvə vi vɔ́ shɔ vənshə me? 
LUK.12.18	Ŋwə nə bɨ̀ꞌtə nɨniŋ, gì laa, «Mə kɔꞌ kɨɨ nə nu ŋkɨə faŋ mə taa yɨsə; mə taa sɔꞌ təshia taa, baa fìa ŋkee təkwalə, buu kaꞌ mə taa nuŋsə vətɔ vəzɨvə vaŋ, nə vətɔ vaŋ vənshə shɔ. 
LUK.12.19	Mə yɨ nɨniŋ, buu mə taa gi fɨ taa fwi mə laa vətɔ vaŋ faŋ mə nuŋsə, yaŋ, kùꞌnə maa ŋuꞌsə səyaŋ, kaꞌ mə shəŋ ŋwaa, kɨ nu, ndɔ zɨ, ŋaytə.» 
LUK.12.20	Ŋwə nə gì nɨniŋ, Nwi gi tɨ́ ŋwə laa, «Ebee mfaw, vɨ taa ndi fwi yə vətuꞌ ndee. Taa zɨ ndə zɨ vətɔ və faŋ a nə nùŋsə nə?» 
LUK.12.21	Lùu nu ŋkɨə faŋ ŋkə gay maa wə tɨ̀ me wə faŋ ŋwə yaa kɨ baytə vətɔ vəyaŋ, fwi yi kee kɨ luu maa Nwi me.»
LUK.12.22	Yeso baa kɨ gì tɨ́ vɨɨ məzwetə nu ki laa, «Viŋ zɔ! Mə gi tɨ́ viŋ laa kɨ viŋ kɨ saŋ ŋwaa wiŋ buꞌ nu məbwey kiŋ, laa viŋ sii taa zɨ kə me, kee kɨ saŋ ŋwaa wiŋ buꞌ nu ŋwaa kiŋ, laa viŋ sii taa shuŋ kə me. 
LUK.12.23	Maa məbwey wə shɔ̀ɔ fazɨ ki. Ŋwaa wə shɔ̀ɔ njwi si. 
LUK.12.24	Viŋ ye vəŋaaŋaa. Mbə kee yaa kɨ bia fa me, kee shwi me, kee bee kìi shəŋ mənuŋ fazɨ me, tɨꞌnə me kìi ndɔꞌ me. Luu nə, Nwi zəsə vəŋ. Maa viŋ shɔ̀ɔ mənwə ghee yaŋ. 
LUK.12.25	Lùu ndə taa ŋwaa viŋ tɨ́ kaꞌ ŋwə kùꞌsə wee-fɨ-kuŋtə yighee maa məbwey wi? Wə kɔlə saŋ ŋwaa wi kɨkə, kaꞌ ŋwə kee kuꞌsə me. 
LUK.12.26	Faŋ ŋkə lùu nɨniŋ, faŋ kaꞌ viŋ kee kuꞌsə wee-fɨ-fa maa kəŋ fa yiŋkii nə me, sii yɨ kə buu viŋ kɨ bɨŋ maa vənu vəmɔ́ꞌ?
