GEN.1.1	Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, 
2SA.16.15	Absalɔm yee ye Jerusalɛm in gíí o be 
2SA.16.16	Ŋgimbi nɛ Husai be Ark, sɛm ko David hɔɔ ti Absalɔm, a̧ tɔ̧ɔ̧ ha̧ a̧: «Wannu kànà nɛ́ ɛ́nɛ́ ɓɛɛ, ɛ̀nɛ̀ kásí a̧!»
2SA.16.17	Absalɔm aka Husai: «
2SA.16.18	Husai kifa nú ha̧ Absalɔm: «Bo hegɔ na; wi nɛ̀ GASA WAN in dukbíí ká bá nɛ̀ gíí o be 
2SA.16.19	Kóó bòò so hegɔ na, nɛ́ o a̧‘m tɛ de tom ha̧ a̧ o? Bo nɛ ha̧ bem kɔ̧-a̧ na? Mi tɛ de tom h’ɛ́nɛ́, hee mɔ'ɔ n'am dee so nɛ̀ tom ha̧ dáà k’ɛ́nɛ́ ga.»
2SA.16.20	Absalɔm tɔ̧ɔ̧ ha̧ Ahitɔfɛl: «Ɛ̀nɛ̀ tɔ̧́ wen zu mɔ n’ɛɛ tɛ de.»
2SA.16.21	Ahitɔfɛl kifa nú ha̧ Absalɔm: «Mɛ̀ nɛ́ɛ̀ ɔ in o zɔŋa-kóò ko dáà kɔ-mɛ n'aa ee kɔ̧ kira mɛ pɛm mɔ. Hegɔ o be 
2SA.16.22	Wa yaia tua-laa e nù ha̧ Absalɔm zu gasa tua-wan, ɓɛɛ nɛ́ fara'i a̧ Absalɔm duk sɛnɛ, ɔ nɛnɛ in o zɔŋa-kóò ko dáà kɔ‘i nɛ̀ yí o be 
2SA.16.23	Mbɔrɔ nɛ Ahitɔfɛl tɔ̧ɔ̧ tɛ ŋgimbi nɔ‘i lɛŋ duka hee wen ko Sɔ̧ ga. David in Absalɔm mbɛt duka so mbo nɛ̀ zu tɛ o mbɔrɔ nɔ‘i.
2SA.17.1	Ahitɔfɛl tɔ̧ɔ̧ ha̧ Absalɔm: «Ɛ̀nɛ̀ é war ha̧‘m hok o wi-biro booro-ɓu-zua-yiitoo, ha̧‘m kai wa ndak nɛ̀ ɗoŋ David mɛ zɛ hɛ̧ɛ̧. 
2SA.17.2	Mi tɛ hɔ kpa a̧ ŋgimbi n'aa tɛ mbɔi, ɓɛɛ mi pi̧i̧ kíì tɛ-a; o wi-biro kɔ̧-a̧ lɛŋ tɛ yu mɔ, ɓɛɛ mi gbɛɛ wannu ŋgimbi n'aa tɛ ɓɔn ɛ̀nɛ́-a. 
2SA.17.3	Hegɔ mi tɛ fo o bíí lɛŋ pii ɗoŋ tɛ‘nɛ́. K’ɛ̀ɛ̀ gbɛ wi n’ɛnɛ kii'i, ɓɛɛ o bíí lɛŋ tɛ pii ɗoŋ. O bíí lɛŋ tɛ ya tɛ ga̧a̧mɔ.» 
2SA.17.4	Wen'i dee tɛ Absalɔm in o gasawi 
2SA.17.5	Nɛ́ mɔ'ɔ nɛ̀ Absalɔm tɔ̧a̧: «Ɛ̀ɛ̀ sá Husai be Ark, ɛ̀ɛ̀ zíí mɔ n'aa a̧a̧ nɛnɛ mɛ tɔ̧ mbɛt.» 
2SA.17.6	Husai nɛ̀ɛ̀ tɛ Absalɔm, ɓɛɛ Absalɔm tɔ̧ ha̧ a̧: «Wen nɛ̀ Ahitɔfɛl tɔ̧a̧ nɛ́ mɔ'ɔ. Ɛ̀ɛ̀ dé nɛ mɔ n'aa tɔ̧a̧‘i nde? Kà a̧ bòò hegɔ na, mɛ̀ tɔ̧́ kɔ-mɛ ɛ̀ɛ̀ zìì.»
2SA.17.7	Husai kifa nú ha̧ Absalɔm: «Ɛ̧ɛ̧ mbɔrɔ nɛ̀ Ahitɔfɛl tɔ̧a̧'ɛ de na.» 
2SA.17.8	Ɓɛɛ Husai tɔ̧ siti: «Ɛ́nɛ́ nɛ̀ tɛ‘nɛ́, ɛ́nɛ́ iŋa dáà k’ɛ́nɛ́ in o bíí kɔ‘i; wa nɛ́ o ŋgaŋa-wi, ɓɛɛ wa a̧a̧ nɛ̀ ɗaŋ hee ŋma bókó-nam
2SA.17.9	Dáà k’ɛ́nɛ́ hu̧sa̧ kinii, kóó kɔ̧ ŋma kɔ̧, kóó sɛn ŋma fara. Ŋgimbi nɛ o bíí be tɛɛ ku̧ naŋ fea-a mgbara yɛ, ŋma bíí tɛ zii nyɛrɛ-a, ɓɛɛ tɔ̧a̧: ‹O bíí kuma mgbara o bíí nɛ nɛ́ in Absalɔm;› 
2SA.17.10	ɓɛɛ kóó nɛ́ ŋga bíí nɛ̀ a̧a̧ nɛ̀ see dila, tɛ-a tɛ gbin wen o be 
2SA.17.11	Mbɔrɔ kɔ‘m n'am tɔ̧ nɛ mɔ'ɔ: o be 
2SA.17.12	Ɛɛ tɛ kpa a̧, kóó a̧ hu̧sa̧ déè. Ɛɛ tɛ ai a zu a̧, hee mɔ nɛ mbɛŋ ai nɛnɛ a nù'ɛ ga. Ɛɛ beka e a̧, kóó ŋma bíí kɔ̧-a̧ mɛ duk kpasa na. 
2SA.17.13	Kà a̧ nɛ́ yuu mɔ hu̧si tɛ ŋma ye, o be 
2SA.17.14	Absalɔm in o be 
2SA.17.15	Nɛ́ mɔ'ɔ nɛ̀ Husai nɛ̀ɛ̀ tɔ̧ ha̧ o wi-ɗafi-sɔ̧ Sadɔk in Abiatar: «Mɔ nɛ Ahitɔfɛl tɔ̧ɔ̧ ha̧ Absalɔm in o gasawi 
2SA.17.16	Kinii, ɛ̀nɛ̀ tóm mbaŋ tɛ David nɛ̀ haya-a, ɛ̀nɛ̀ tɔ̧́ ha̧ a̧, ká a̧ yor nú ŋga-gbárà mɛ zɛ hɛ̧ɛ̧ na; kà nɛ́ nyɛma, a̧ a̧ ɓír ɓir yak; kà bó hegɔ na, wa tɛ kum wannu in o bíí nɛ̀ nɛ́ in a̧ yinɛ war kpɔk.»
2SA.17.17	Yɔnataŋ in Ahimas yaa so sɛn Ɛn-Rogɛl zɛm nɛ̀ ŋma kó-de-tom, ɓɛɛ nɛ́ kó-de-tom'i a̧ duk so we nɛ̀ ɗoŋ mɔ ha̧ wa, sɛka wa nɛ̀ɛ́ tɔ̧ ha̧ wannu David, wen wa nyɛm so mɛ ye saaye na, ka bíí tɛɛ zɔk wa. 
2SA.17.18	Ŋma wese, ŋma be-ŋgaiwi zɔka wa, ɓɛɛ nɛ́ɛ̀ dali ha̧ Absalɔm. Wa yuu mɔ wa yiitoo lɛŋ nɛ haya-a si tɛ ko ŋma bíí saaye Bahurim. Kɔ̧-yì duka so bee-gara kɔ̧-a̧, ɓɛɛ wa ye hu̧si sɛnɛ. 
2SA.17.19	Kóò ko wi’ɛi baa ndàrá kpe nɛ nú kɔ̧-yì‘i, ɓɛɛ tati o gba̧a̧-nyɔnɔ sɛnɛ. Wi iŋ‘e ŋma mɔ a̧a̧ hi̧i̧ na. 
2SA.17.20	Nɛ́ mɔ'ɔ nɛ̀ o ŋgaiwi ko Absalɔm tɛɛ ye kɔ̧ tua ko kóò‘i, ɓɛɛ ak mɔ: «Ahimas in Yɔnataŋ a̧a̧ déè nde?»
2SA.17.20	Kóò‘i kifa nú ha̧ wa: «Wa kuu yì yak kaɗi.»
2SA.17.20	Wa kia mɔ fara'i lɛŋ, wa kpa wa na, ɓɛɛ wa si ɗoŋ si Jerusalɛm. 
2SA.17.21	Ɗoŋ nɛ o wi-kii-mɔ ko Absalɔm yaka kaɗi, Yɔnataŋ in Ahimas gboa nɛ kɔ̧-yì nɛ́ɛ̀ mbaŋ tɛ wannu David. Wa tɔ̧ɔ̧ ha̧ a̧: «Ɛ̀nɛ̀ yak! Ɛ̀nɛ̀ kú yì nɛ̀ haya-a, wen mbɔrɔ nɛ̀ Ahitɔfɛl tɔ̧ɔ̧ wen zu'nɛ́ nɛ́ mɔ'ɔ.» 
2SA.17.22	David baa yuwar in o bíí lɛŋ nɛ a̧a̧ in a̧, ɓɛɛ wa ku Jurdɛn. Mɛ gɔna ndaa-zan, ɓɛɛ bíí lɛŋ kuu yì kaɗi.
2SA.17.23	Ŋgimbi nɛ̀ Ahitɔfɛl zɔka'e, bíí ba mbɔrɔ kɔ‘i de nɛ̀ tom na, a̧ hɛra tuifuu kɔ̧-a̧, daŋ ɓɛɛ a̧ ba war yak si saaye kɔ̧-a̧. A̧ tɔ̧ɔ̧ wen ha̧ o bíí kɔ̧ tua kɔ̧-a̧, ɓɛɛ a̧ ga̧i̧ tɛ-a nɛ nyak. Ɗoŋ fio kɔ̧-a̧, wa guna a̧ kɔ̧ pɛsi ko dáà kɔ̧-a̧.
2SA.17.24	David hɔɔ sɛn Mahanayim, ɓɛɛ ká Absalɔm in o be 
2SA.17.25	Absalɔm ee so Amasa hee gasawi ko o wi-biro ga oi Jɔab. Amasa nɛ́ bem ko ŋma bíí nɛ̀ nin-a nɛ́ Yitra be 
2SA.17.26	Nɛ́ mɔ'ɔ nɛ̀ o be 
2SA.17.27	Ŋgimbi nɛ David hɔɔ nɛnɛ sɛn Mahanayim, o bíí taar tɛ̀ɛ̀ mɛ zɔk a̧: kuti-a nɛ́ Sɔbi, bem ko Nahas be Raba ye-wan ko o be Amɔŋ; yiitoo-aa nɛ́ Makir, bem ko Amiɛl be Lo-Dabar; sɛka Barzilai be Rogɛlim sɛn nú Galad. 
2SA.17.28	Wa kaia o mɔɔ-ɔ-nɛnɛ, o mɔɔ-gu-tɛ, o nyɛk-nyɔŋ-mɔ, alkamaari, be-fon,
2SA.17.29	gɔrɔ, nɔ̧́, o sami in kpoo-ndai tɛnɛ ha̧ David in o bíí nɛ ya in a̧, wen wa tɔ̧ɔ̧ so, o bíí mbɔia, wa zɔka bɔnɛ wɔ in wɔ-yì sɛn ŋga-gbárà.
2SA.18.1	David tɔra o wi-biro nɛ̀ yaa in a̧. A̧ ee gasawi zu bíí booro-booro, in zu bíí gɔmŋmaa-gɔmŋmaa. 
2SA.18.2	Nɛ́ mɔ'ɔ n'aa ha̧a̧ nú wen yaka-a. A̧ kɛ̧ɛ̧ bíí tɛ fara taar, a̧ ha̧a̧ dùk-aa kpɔk ha̧ Jɔab, kpɔk ha̧ Abisai bem ko Sɛruya nya Jɔab, ɓɛɛ a̧ ha̧ kpɔk ha̧ Itai be Gat. Wannu tɔ̧ɔ̧ ha̧ dukbíí: «Mi kɔ̧ɔ̧ kànà mɛ yak biro in'nɛ̀ɛ́ mbɛt.» 
2SA.18.3	O wi-biro kifa nú ha̧ wannu: «K’ɛ́nɛ́ nɛ́ k’ɛ́nɛ́ biro na. K’ɛ̀ɛ̀ yu mɔ, ɓɛɛ bo nɛ ŋma mɔ na; kóó reeta ɛɛ kuma, beka de ŋma mɔ na mbɛt. Ɓɛɛ k’ɛ́nɛ́, ɛ́nɛ́ nyɛma ŋmaa in wi-biro booro-ɓu; gana so ɛ̀nɛ̀ dúk k’ɛ́nɛ́ saaye wen gbaka yɛ.»
2SA.18.4	Wannu tɔ̧ɔ̧ ha̧ wa: «Mi tɛ de nɛ mɔ n’ɛnɛ kɔ̧a̧.» Ɓɛɛ a̧ yor ká̧ nú garo ŋgimbi nɛ o wi-biro gbo nɛnɛ tɛ fara gɔmŋmaa-gɔmŋmaa in tɛ fara booro-booro. 
2SA.18.5	Wannu tɔ̧ɔ̧ ha̧ Jɔab, Abisai in Itai hee mɔ'ɔ ga: «Ɛ̀nɛ̀ dé mɔ mɔktɛ in Absalɔm bem kɔ‘m.» O wi-biro lɛŋ zia wannu fara ha̧a̧ heembea'i ha̧ o gasawi wen zu Absalɔm.
2SA.18.6	Nɛ́ mɔ'ɔ nɛ̀ wa gboo a zaŋbɛɛ, we nɛ̀ ti o be 
2SA.18.7	O wi-biro ko David gbina biro'i ti o be 
2SA.18.8	Biro bìì dam zu nù‘i lɛŋ; o bíí nɛ̀ fee ɓɔn kɔ̧ kombo gana wan nɛ fee nú gba-paa.
2SA.18.9	Absalɔm nɛ̀ɛ̀ tó zu nɛ̀ o wi-biro ko David. A̧ daŋa so nɛ́ sunda, ɓɛɛ sunda ye ɗɔɔ da̧a̧ gbaa-er ŋma gasa te
2SA.18.10	Nɛ́ mɔ'ɔ nɛ̀ ŋma bíí zɔka a̧, ɓɛɛ nɛ́ɛ̀ tɔ̧ ha̧ Jɔab: «Mi zɔka Absalɔm fara ga̧i̧a-a tɛ ŋma gasa te mɛ‘i.»
2SA.18.11	Jɔab kifa nú ha̧ wi nɛ tɛ̀ɛ́ tɔ̧ wen'i ha̧ a̧‘i: «Mɛ zɔka a̧ nɛ gbaayí-mɛ, sa mɛ gɔm a̧ gbɛ ɓɔn bɛɗɛ na wen ge? Mi tɛ̀ɛ́ ha̧ so kɔya bu-mbɔi ɓu in kanda ha̧ mɛ gɔ.»
2SA.18.12	Wi’ɛi kifa nú ha̧ Jɔab: «Kóó ɛ́nɛ́ ha̧a̧ so nɛ́ kɔya bu-mbɔi booro ha̧‘m, bo nɛ mi tɛ̀ɛ́ nyɛm mɛ ba er-am gbɛ nɛ̀ bem ko wannu na! Wen wen nɛ wannu tɔ̧ɔ̧ h’ɛ́nɛ́ in ha̧ Abisai ká bá nɛ̀ Itai'i, ɛɛ lɛŋ zia; a̧ tɔ̧a̧ ndé, ɛ̀nɛ̀ kásí zu'nɛ́ ká ŋma bíí tam tɛ bem kɔ‘i Absalɔm na. 
2SA.18.13	Kà‘m de so ŋma ɗaŋmɔ in a̧ hee mɔ'ɔ n’ɛnɛ kɔ̧a̧ ga, bo nɛ tɛ̀ɛ́ hu̧si hu̧si na; wen ŋma mɔ nɛ ɓɔn nɛ hu̧sa̧-a̧ ɓɔnsɛnɛ nɛ wannu iŋ na bo na. Ɛnɛ tɛ̀ɛ́ kafi k’ɛ́nɛ́ e zu'm.»
2SA.18.14	Ɓɛɛ Jɔab tɔ̧: «Mi beka ɗáŋ ŋgimbi in mɛɛ na.» Ɓɛɛ a̧ kai sɛ́ɛ̀ taar, tok nɛ̀ yí-see Absalɔm fara ga̧i̧a-a nɛ kpasa tɛ te. 
2SA.18.15	O baka-nyaŋa ko Jɔab ɓu kɛra Absalɔm, ɓɛɛ gɔm a̧ gbɛ.
2SA.18.16	Nɛ́ mɔ'ɔ nɛ̀ Jɔab dɔma zak, ɓɛɛ biro kaɗi ndaka pata o be 
2SA.18.17	Wa baa Absalɔm pi̧ sɛn kɔ̧ gasa gboŋgo sɛn kɔ̧ kombo hi̧i̧, ɓɛɛ wa kin o ta nɛ̀ dɔka-a a zu a̧. O be 
2SA.18.18	Ŋgimbi nɛ Absalɔm ɓɔna so nɛ̀ kpasa, a̧ mboo so ŋma ta-zu-nù nɛ̀ duk kɔ̧ ɗɔŋgɔ ko Wannu, wen a̧ tɔ̧ɔ̧ so: «Mi kpa be-wiwii ha̧ nin-am mɛ duk ɓɔnsɛnɛ na.» Nɛ́ mɔ'ɔ n'aa aa nin-a ha̧ ta-zu-nù‘i, nɛ wa sa hɔ sɔsɔɔ‘e, «Ta-zu-nù ko Absalɔm.»
2SA.18.19	Ahimas bem ko Sadɔk tɔ̧a̧: «Ɛ̀nɛ̀ é ha̧‘m ma yì nɛ́ɛ̀ tɔ̧ de nyɛrɛ ha̧ wannu ndé, GASA WAN kifa er oi nú-a zuɗi nɛ a̧ yinɛ er o wisɛn kɔ̧-a̧.»
2SA.18.20	Jɔab tɔ̧ɔ̧ ha̧ a̧: «Mɛ beka duk wi-tɔ̧-de nyɛrɛ sɔsɔɔ na. Mɛ tɛ nɛ̀ɛ́ tɔ̧ tɔ̧a̧-a̧ ŋma wese, wen sɔsɔɔ‘i beka duk nɛ de nyɛrɛ na, wen nɛ̀ duk nɛ́ fio ko bem ko wannu.» 
2SA.18.21	Nɛ́ mɔ'ɔ nɛ̀ Jɔab tɔ̧ɔ̧ ha̧ ŋma be Kus:
2SA.18.22	Ahimas bem ko Sadɔk tɔ̧ɔ̧ ha̧ Jɔab woyo: «Mɔ nɛ tɛ de a̧ dé. Ɓɛɛ ɛ̀nɛ̀ é ha̧‘m ma yì nɛnɛ ɗoŋ be Kus'i mbɛt.» Jɔab tɔ̧a̧: «Bem kɔ‘m, mɛ tɛ ma yì wen ge? Bo nɛ ŋma de nyɛrɛmɔ nɛ mɛ tɛ kpa ŋma mɔɔ-oi-aa kpaa na.»
2SA.18.23	Ahimas kifa nú: «Mɔ nɛ tɛ de a̧ dé! Mi tɛ nɛ kànà!» Hegɔ Jɔab tɔ̧ɔ̧ ha̧ a̧: «Mɛ̀ nɛ̀!» Ɓɛɛ Ahimas ba war bɔkɔ-nú Jurdɛn nɛ wara yì, ɓɛɛ nɛ gan be Kus'i.
2SA.18.24	David duka so nù mgbara nú garo yiitoo. Wi-pɛm-mɔ nɛ̀ɛ̀ si fara-pɛm-mɔ nɛ̀ ŋgɔn sɛn zu garo. A̧ baa yí-a nɛ̀ ŋgɔn, ɓɛɛ a̧ zɔk ŋma bíí fara maa yì tɛnɛ ɛ̀nɛ̀. 
2SA.18.25	Wi-pɛm-mɔ hiɗa mɔ nɛnɛ sitɛ David; ɓɛɛ wannu tɔ̧: «Kà wi’ɛi nɛ́ duka ɛ̀nɛ̀, ɓɛɛ a̧ ba nɛ de nyɛrɛmɔ tɛnɛ.» Ɓɛɛ hee mɔ'ɔ nɛ wi’ɛi hɛɗi nɛ mɔ tɛnɛ ga, 
2SA.18.26	wi-pɛm-mɔ zɔka ŋma ɓii bíí fara maa yì tɛnɛ woyo. Wi-pɛm-mɔ hiɗa mɔ tɔ̧ nɛnɛ ha̧ wi-pɛm-nú tua: «Ŋma mbe bíí a̧ ma yì tɛnɛ ɛ̀nɛ̀‘i.» Wannu tɔ̧a̧: «Wi’ɛi ba nɛ de nyɛrɛmɔ tɛnɛ woyo mbɛt.»
2SA.18.27	Wi-pɛm-mɔ tɔ̧a̧: «Mi iŋa naŋ wara yì ko 
2SA.18.27	Ɓɛɛ wannu kifi nú: «Wi’ɛi nɛ́ wi-de-demɔ; a̧ ba nɛ de nyɛrɛmɔ tɛnɛ!»
2SA.18.28	Ahimas tɔ̧ɔ̧ nɛ̀ hee ger ha̧ wannu: «Mɔ yaka nɛ̀ de-a.» A̧ guu nù ti wannu ba yi-a gu nù, ɓɛɛ tɔ̧: «Zɔnamɔ a̧ dúk nɛ ko GASA WAN Sɔ̧ k’ɛ́nɛ́ nɛ aa o wi nɛ dee so ŋgazu in'nɛ̀ɛ́ kɔ̧ er yɛ.»
2SA.18.29	Ɓɛɛ wannu ak mɔ: «Bem kɔ‘m Absalɔm duk nɛ̀ de-a nde?»
2SA.18.29	Ahimas kifa nú ha̧ wannu: «Mi zɔka gasa foo mɔ ŋgimbi nɛ Jɔab toma nɛ̀ ɛɛ in ŋma bíí pii tɛ‘nɛ́, ɓɛɛ mgbák mɔ nɛ̀ a̧a̧ sɛnɛ‘i, mi iŋ na.»
2SA.18.30	Wannu tɔ̧a̧: «Mɛ̀ nɛ́ mɛ̀ dúk mɛ‘i.» A̧ yaka nɛ́ɛ̀ yor nɛ ɗoŋ. 
2SA.18.31	Nɛ́ mɔ'ɔ nɛ̀ be Kus'i hɔa, ɓɛɛ tɔ̧: «Dáà wannu, ɛ̀nɛ̀ zíí de nyɛrɛ n'am tɛ mɛ tɔ̧ h’ɛ́nɛ́: GASA WAN dee mɔ nɛ̀ yuwar-a in'nɛ̀ɛ̀ sɔsɔɔ, tɛ dea-a h’ɛ́nɛ́ mɛ gbo ɗɔɔ er o wisɛn k’ɛ́nɛ́.»
2SA.18.32	Wannu aka be Kus: «Bem kɔ‘m Absalɔm duk nɛ́ de-a nde?»
2SA.18.32	Be Kus'i kifa nú: «Mɔ nɛ kpaa be-ŋgaiwi'i a̧ kpá o wisɛn ko nyaa, wannu kɔ‘m in o wi-ba-zu we nɛ̀ ɛ́nɛ́ nɛ̀ kɔ̧ɔ̧ ha̧ ɗaŋmɔ mɛ kpa so'nɛ́‘i.»
2SA.19.1	Ɗɛɗɛ wannu ŋmana. A̧ daŋa si kɔ̧ gɔna-bɛr-tua zu nú-garo-ye, ɓɛɛ a̧ ŋma nú-a tɛ kɔ̧a̧. A̧ taŋa kɔ̧a̧ tɔ̧ nɛnɛ: «Oee bem kɔ‘m Absalɔm, oee bem kɔ‘m wa! Mi tɛ̀ɛ́ fe so oi nú mɛ ɓɛɛ wa. Oee Absalɔm bem kɔ‘m, oee bem kɔ‘m wa!»
2SA.19.2	Wa mbaŋa tɛ Jɔab ndé, wannu ai nɛ́ nú, hi̧i̧ nɛ̀ kɔ̧a̧ Absalɔm. 
2SA.19.3	Gbina-biro wese'i kifa nɛ́ zima-fio, wen bíí lɛŋ zia wese'i ndé, wannu duk nɛ̀ tu̧u̧-see nyɛmna, wen zu bem kɔ‘i. 
2SA.19.4	O wi-biro lɛŋ sii nɛ̀ hu̧sa̧-a̧ si saaye, hee o wi-biro nɛ̀ yuu biro ɓɛɛ nɛ̀ foe ba ga.
2SA.19.5	Wannu kpee so mɔ yí, hiɗi nɛ̀ mɔ nɛ̀ ŋgaya-a: «Oee Absalɔm bem kɔ‘m! Oee bem kɔ‘m wa!» 
2SA.19.6	Nɛ́ mɔ'ɔ nɛ̀ Jɔab yee tua sitɛ wannu, ɓɛɛ tɔ̧ ha̧ a̧: «Ɛnɛ pi̧i̧ foe zu o wi-biro k’ɛ́nɛ́ nɛ foo fio zu'nɛ́ yinɛ sɔsɔɔ. Wa kpasa'nɛ́, wa kpasa o bem k’ɛ́nɛ́, be-wiwii-a in be-okoo-a ká bá nɛ̀ o kóò k’ɛ́nɛ́ lɛŋ. 
2SA.19.7	Ɛ́nɛ́ kɔ̧ɔ̧ nɛ́ o wi nɛ sɛn'nɛ́, ɓɛɛ ɛnɛ sɛn o wi nɛ kɔ̧ɔ̧‘nɛ́. Mɔ n’ɛnɛ usa h’ɛ́ɛ́ sɔsɔɔ, mɛ̀ nɛ́ wen nɛ tɔ̧‘e, o gasawi in o wi-biro k’ɛ́nɛ́ lɛŋ nɛ́ geemɔ sɛn ti'nɛ́. Mi iŋa sɔsɔɔ‘i, kà Absalɔm a̧ duk so kpasa, ɓɛɛ ɛɛ fee k’ɛɛ lɛŋ, ɛnɛ tɛ̀ɛ́ zɔk k’ɛ́nɛ́ mɔ‘i nɛ́ demɔ nyɛmna. 
2SA.19.8	Ɓɛɛ kinii, mi ai nú h’ɛ́nɛ́, ɛ̀nɛ̀ gbó, ɛ̀nɛ̀ zɔ́n o wi-biro k’ɛ́nɛ́. K’ɛ̀nɛ̀ gbo na, mi kan mɔ nɛ̀ nin GASA WAN ndé, ŋma bíí kpɔk nɛ tɛ ɓɔn in'nɛ̀ɛ́ mɛ zɛ hɛ̧ɛ̧ bo na, ɓɛɛ tɛ duk nɛ́ gasa bɔnɛ gan o dɔka-a nɛ̀ kpaa'nɛ ku̧u̧naŋ-a nɛ̀ ŋgaiwi k’ɛ́nɛ́ hɔ nɛnɛ sɔsɔɔ.» 
2SA.19.9	Nɛ́ mɔ'ɔ nɛ̀ wannu kura nɛ́ɛ̀ duk nù sɛn nú garo, ɓɛɛ wa mbaŋ tɛ o wi-biro lɛŋ‘e: «Wannu gboo zan duk nú garo.» Ɓɛɛ o wi-biro lɛŋ mɔi̧ pii ti wannu.
2SA.19.9	O bíí lɛŋ yuu so mɔ, o ndé si kɔ̧ tua kɔ‘i. 
2SA.19.10	Mgbara zuduk o be 
2SA.19.11	Ɓɛɛ nɛ̀ war ko Absalɔm n’ɛɛ tɛna nɔ̧́-wan a zu a̧ wen ha̧ a̧ mɛ ɔ wan zu yɛ, a̧ fea tɛ biro mɛ kaɗi. Ɛnɛ zɛm nɛ ge h’ɛ́ɛ́ mɛ nɛ̀ɛ́ mgbɔ wan k’ɛɛ piinɛ ge?»
2SA.19.12	Wannu David toma nɛ́ɛ̀ tɔ̧ ha̧ o wi-ɗafi-sɔ̧, Sadɔk in Abiatar: «Ɛ̀nɛ̀ tɔ̧́ ha̧ o gasawi Juda ndé, mɔ nɛ o be 
2SA.19.13	Ɛ́nɛ́ nɛ́ o nya'm, ɛ́nɛ́ nɛ́ tɔk-tɛ‘m; wen ge ɛ́nɛ́ tɛ ɓɔn nɛ́ o sɔŋkur wi nɛ̀ tɛ kur mɛ mgbɔ wannu piinɛ ge? 
2SA.19.14	Ɛ̀nɛ̀ nɛ́ɛ̀ ak Amasa'e, a̧ bo nɛ tɔk-tɛ‘m na nde? Sɔ̧ a̧ dé ŋgamɔ in am, kà‘m nɛ́ baa a̧ e oi Jɔab hee wi-duk-zu o wi-biro kɔ‘m ga na ɓɔnsɛnɛ.»
2SA.19.15	David kpaia taamɔ ko o bíí Juda lɛŋ hee taamɔ ko kpɔk bíí ga, ɓɛɛ wa tom tɔ̧ ha̧ wannu: «Ɛ̀nɛ̀ píí ɗoŋ in o bíí k’ɛ́nɛ́ lɛŋ.» 
2SA.19.16	Wannu pia ɗoŋ hɔ nú Jurdɛn, ɓɛɛ ká o bíí Juda hɔɔ so kɔ-wa sɛn Gilgal mɛ we ti a̧ kaɗi, wen mgbɔɔ a̧ ku nɛ̀ Jurdɛn.
2SA.19.17	Simɛi bem ko Gɛra, bezaŋ Bɛnjamin saaye Bahurim zira nɛ̀ haya-a in o be Juda mɛ we ti wannu David.
2SA.19.18	O bíí nù ko Bɛnjamin nɛ̀ nɛ̀ɛ̀ in a̧ nɛ́ bíí booro-kpɔk. Ɓɛɛ Siba wi-de-tom kɔ̧ tua ko Saul kur in o bem kɔ‘i ɓu-zua-mɔɔrɔ gu nɛ̀ o wi-de-tom kɔ̧-a̧ ɓu-yiitoo mbɛt. Wa yaka mɛ we ti wannu si nú Jurdɛn, 
2SA.19.19	ɓɛɛ ka kombon ku nɛ́ yì mɛ nɛ̀ɛ́ kai o bíí nutua ko wannu, in ha̧ o wi-ba-kombon mɛ de o tom lɛŋ nɛ̀ wannu tɛ kɔ̧. Ŋgimbi nɛ wannu kuu Jurdɛn kaɗi, Simɛi bem ko Gɛra tika nù ti a̧, 
2SA.19.20	ɓɛɛ tɔ̧ ha̧ a̧: «Ká nyaa pi̧ nú tɛ yɔɔ-kaya kɔ‘m na! Ká tɛ‘nɛ́ mbaŋ ɗoŋ ɗaŋmɔ kɔ‘m n'am dee in'nɛ̀ɛ́ wese n’ɛnɛ gboo nɛnɛ Jerusalɛm yak na. Ká wannu e mɔ‘i sɛn kɔ̧ see na.
2SA.19.21	«Wi-de-tom k’ɛ́nɛ́ iŋa ɗaŋmɔ n'aa dea. Mi dee ɗaŋmɔ, ɓɛɛ sɔsɔɔ, mi yaka ti ha̧ o bíí nutua ko Jozɛf lɛŋ ha̧‘m mɛ we ti nyaa wannu kɔ‘m.»
2SA.19.22	Abisai bem ko Sɛruya gɔna nú a̧, ɓɛɛ tɔ̧: «Bo nɛ Simɛi nyɛma so mɛ fe wen n'aa da̧a̧ so wi nɛ GASA WAN tɛna nɔ̧́ a zu a̧ na nde?» 
2SA.19.23	David tɔ̧a̧: «Ŋma mɔ a̧a̧ mgbara mɛ in am, wen ha̧ mɛ mɛ kii war mɛ duk nɛ wisɛn kɔ‘m sɔsɔɔ nde, bem ko Sɛruya? Wi tɛ gbɛ ŋma bíí sɔsɔɔ sɛn 
2SA.19.24	Hegɔ wannu tɔ̧ɔ̧ ha̧ Simɛi: «Mɛ beka fe na.» Ɓɛɛ wannu kan mɔ ha̧ a̧.
2SA.19.25	Tɛ ŋgimbi'i, Mɛfibosɛt bem ko Saul zira mɛ we ti wannu; a̧ fɔr naŋ-a na, a̧ kpui zera na, a̧ fɔr laa kɔ̧-a̧ na mbɛt, ku̧u̧naŋ-a nɛ̀ wese nɛ̀ wannu yaka nɛnɛ hɔ wese n'aa pia nɛ̀ ɗoŋ, mɔ kpa wannu na.
