MAT.1.1	Koi kani'imari a susunganna puli ni Yesus Kristus, men lee' ni Daud ka' lee' ni Abraham.
LUK.16.31	Kasee ia simbati i Abraham taena, ‘Kalu i raaya'a sian momorongori pisiso' ni Musa ka' nabii, raaya'a bude' mamarasaya mau uga' isian mian men nolapusmo kasi tumuo' soosoodo ka' taka na ko'ona i raaya'a.’ ”
LUK.17.1	Yesus norobumo na murit-Na taena, “Sabole isian upa-upa men manggau'kon mian mangawawau dosa. Kasee silaka' a mian men manggau'kon mian sambana sida baradosa!
LUK.17.2	Porena bona mian iya'a kalu toure'na kootiion watu pinggiling
LUK.17.3	Mbali' iya'a, maka'amat!
LUK.17.3	Kalu utusmuu sa'angu' kaparasaya'an baradosa, bantili i ia. Kalu ia minsosol, ampuni i ia.
LUK.17.4	Mau mune' ia baradosa na ko'omuu piripitu' a sangilio, ka' piripitu' ia mule'kon na ko'omuu ka' mangaan taena, ‘Yaku' mintisala',’ ampuni i ia.”
LUK.17.5	Kasi poposuu' iya'a norobu ni Tumpu Yesus taena, “Tumpu, popomoonggor a imaanmai.”
LUK.17.6	Ia simbati Tumpu tae-Na, “Kalu i kuu imaanan mau tongko' koi kobalaki'na watuna sasawi, kuu sida morobu na kau ara kani'i taemuu, ‘Bi kobubut i koo ka' tontanom na tobui,’ ka' sabole kau iya'a bo mongololo' posuu'muu.”
LUK.17.7	“Too isian i kuu men montombonoi sa'angu' ata' men bapajeko na ale' kabai montotobo' domba. Kalu ata' iya'a mule'konmo, isian mbali' i kuu morobu na ko'ona, ‘Mai, kumaan kutung’? 
LUK.17.8	Sabole sian! Kasee i kuu bo morobu na ata' iya'a taemuu, ‘Toropoti a kakaanku. Pamake pakean men moloe', ka' peperai pataka yaku' moko daa kumaan ka' ba'inum. Moko daasi iya'a kasi i koo sida kumaan.’ 
LUK.17.9	Ata' iya'a mosoo tunde'on gause ningilimangmo posuu'na tanaasna, taasi' koiya'a?
LUK.17.10	Koiya'a uga' i kuu. Kalu i kuu daamo nangawawau giigii' men niposuu'kon, bantilkon a koi kani'imari inta': ‘Kai tongko' ata' men sian kana'na. Kai tongko' nangawawau upa men tio wawauonmai.’ ”
LUK.17.11	Na rae'an mae' na Yerusalem, Yesus nosumalan na kosupuanna Samaria tia Galilea. 
LUK.17.12	Tempo i Ia baasi minsoop na sa'angu' kampung, ia pootuungimo sompulo' mian men kustaon. Raaya'a potokerer na ko'oloaan, 
LUK.17.13	ka' mangkakaro' taena, “Yesus! Guru! Kolingu'konon i kai!”
LUK.17.14	Tempo i Yesus nimiile' i raaya'a, Ia norobumo tae-Na, “Rae' na imam. Pa'ase' kada' i raaya'a mamaresa wakamuu.”
LUK.17.14	Potorae' i raaya'a, kustana na'anumo.
LUK.17.15	Sarataa sa'angu' mian men isian na sompulo' mian iya'a ninginti'i se' kustana na'anumo, ia nomule'konmo ni Yesus ka' nuntunde' Alaata'ala tia wurung men kamporongoran. 
LUK.17.16	Kasi ia nobanintuur na sarat ni Yesus ka' nobasukuur na Ko'ona. Mian iya'a samba Samaria.
LUK.17.17	Kasi i Yesus norobu tae-Na, “Taasi' isian sompulo' mian a men nilesi'i? Aanamo a men sio' mian iya'a? 
LUK.17.18	Nongko'upa se' tongko' mian men sa'angu'an lipu' kani'i a nomule'kon ka' nuntunde' Alaata'ala?” 
LUK.17.19	Kasi i Yesus norobu na mian iya'a tae-Na, “Kekerermo ka' rae'. Gause i koo mamarasaya i Yaku', mbaka' i koo nisalamatkonmo.”
LUK.17.20	Toropii mian Farisi nimikirawar ni Yesus se' ipimo a kotakaanna Batomundo'anna Alaata'ala. Ia simbati i Yesus tae-Na, “Kotakaanna Batomundo'anna Alaata'ala sianta isian oosan men sida piile'onna mian, 
LUK.17.21	pataka mian morobu taena, ‘Piile'! Ni'imo a Batomundo'anna Alaata'ala!’ kabai taena, ‘Piile'! Kara'amo a Batomundo'anna Alaata'ala!’ Gause Batomundo'anna Alaata'ala isian na ko'omuu.”
LUK.17.22	Noko daa koiya'a i Yesus norobumo na murit-Na tae-Na, “Bo taka tempona i kuu mingkira' mimiile' sangilio na tempona Anak Manusia, kasee i kuu sianmo mimiile'. 
LUK.17.23	Mian bo morobu na ko'omuu taena, ‘Piile' itu'u! Isian i ia.’ Kabai taena, ‘Piile' ini'i! Isian i ia.’ Kasee i kuu alia umuar mansarak ka' lumolo' i ia. 
LUK.17.24	Gause koikoimo tia bongki-bongkit tumilep ringkat na puusna langit pataka puusna langit, koiya'a uga' ni'imarian na iliona kotakaanna Anak Manusia. 
LUK.17.25	Kasee i Ia tio mungurumpaki kutung biai' repaan ka' sian labotionna mian men tumuo' na tempo koini'i.
LUK.17.26	Koi men nosida na tempo ni Nuh, koiya'a uga' a men bo sida ni'imarian na iliona kotakaanna Anak Manusia.
LUK.17.27	Mian kumaan ka' ba'inum, mosuo' ka' mompoposuo' anakna. Koiya'a pataka na ilio ninsoopan ni Nuh na lalomna kapal ka' tano' balaki' ia limbusi weer ka' ninsilaka'i i raaya'a giigii'.
LUK.17.28	Koiya'a uga' na tempo ni Loot. Mian kumaan ka' ba'inum, mobaluk ka' mingili, mo'ale' ka' mangawawau laigan.
LUK.17.29	Kasee tempo i Loot no'umuar na Sodom, na ilio iya'a no'usanmo apu tia balerang nda'amari langit ninsilaka'i raaya'a giigii'. 
LUK.17.30	Koiya'a uga' ni'imarian na iliona Anak Manusia pipiile'konon.
LUK.17.31	Na ilio iya'a mian men monda'a na wawona laiganna, alia mangala upana men isian na lalomna laiganna. Koiya'a uga' a mian men isian na ale', alia mule'kon na laiganna.
LUK.17.32	Inau' a upa men nosida na boroki' ni Loot!
LUK.17.33	Mian men mampari-pari mansalamatkon wakana na dunia kani'i sian mantausi tutuo' men pore. Kasee mian men mongorookon wakana na Ingku', ia bo mantausi tutuo' men pore.
LUK.17.34	Bantilkonon-Ku na ko'omuu se' na malom iya'a rua' mian pototokol na sa'angu' tokolan, sa'angu' bo wawaon ka' men sa'angu' bo parereion. 
LUK.17.35	Rua' wiwine pintanga' minggiling gandum. Sa'angu' bo wawaon, ka' men sa'angu' bo parereion. [ 
LUK.17.36	Rua' mian pintanga' balimang na ale'. Sa'angu' bo wawaon, ka' men sa'angu' bo parereion.]”
LUK.17.37	Murit ni Yesus nimikirawar taena, “Tumpu! Maana a men bo sidaanna men koiya'a?”
LUK.17.37	Ia simbati i Yesus tae-Na, “Aana a men isian bangke, ino'o moriwut a sapu' men mangkaan bangke.”
LUK.18.1	Noko daa koiya'a i Yesus nuntundunkonmo sa'angu' timbaani' bo mimisiso' murit-Na kada' i raaya'a sinampang sambayang, ka' alia kobangaran. 
LUK.18.2	Taeni Yesus, “Na sa'angu' kota isian pungukumi men sian layaonkon Alaata'ala, ka' uga' mau imepo sian angga'ionku. 
LUK.18.3	Na kota iya'a uga' isian sa'angu' balu men sinampang taka na pungukumi iya'a mama'ase' moki salangi parakalana. Taena balu iya'a, ‘Tulung i yaku' na mian men mintimbangi yaku'.’
LUK.18.4	Toropii tempo a nau'na pungukumi iya'a sian nuntulung balu iya'a. Kasee komburi'na pikiranna pungukumi iya'a koi kani'imari, taena, ‘Mau mune' yaku' sian layaonkon Alaata'ala ka' uga' mau imepo sian angga'ionku, 
LUK.18.5	kasee ka' balu iya'a sinampang mungkulen i yaku', bagia salangionkumo a parakalana dako' i ia sataka-taka mengerepai i yaku'.’ ”
LUK.18.6	Kasi taena Tumpu, “Intoomkon a upa men taena pungukumi men kelo-kelos iya'a! 
LUK.18.7	Alaata'ala sian mbali' mangapaki parakalana mian-Na men Ia rurukimo men ilio malom miki tulung na Ko'ona? Isian mbali' i Ia monsompo' muntulung i raaya'a? 
LUK.18.8	Bantilkonon-Ku na ko'omuu se' i Ia liuliu mangapaki i raaya'a! Kasee kalu Anak Manusia taka na tano' balaki', too daa dauga' rumpakion-Na a mian men parasaya?”
LUK.18.9	Yesus uga' nuntundunkon timbaani' kani'i men Ia patukkon na mian men sian mangangga'i mian sambana, kasee munsurikon se' wakana daa pore. 
LUK.18.10	Taeni Yesus, “Isian rua' mian mae' sambayang na Laiganna Alaata'ala. Men sa'angu' mian Farisi, men sa'angu' pagawena pajak. 
LUK.18.11	Mian Farisi iya'a nokumekerer ka' nosambayang na noana taena, ‘Oo Alaata'ala! Yaku' basukuur na Ko'omuu gause yaku' sian koi mian sambana men puraga, men ba'idek a gau'na, men muntumpangkon samba-sambana, kabai se' koi pagawena pajak kaya'a. 
LUK.18.12	Yaku' ba'apata pinduan sa'angu' minggu, ka' i yaku' mongorookon na Ko'omuu sangobosan na lalomna sompulo' obosan basarakanku.’
LUK.18.13	Kasee pagawena pajak iya'a nokumekerer olo-oloa ka' ia sian momoko lumelengea'. Ia numurusi sara'anna ka' norobu taena, ‘Oo Alaata'ala, kolingu'kon i yaku', mian men dosaon kani'i!’ ”
LUK.18.14	Taeni Yesus, “Bantilkonon-Ku na ko'omuu se' na tempo mule'kon na laiganna, pagawena pajak a men popokana'onna Alaata'ala taasi'po mian Farisi iya'a. Gause sanda' mian men mompopodaa wakana bo popokoo'on, ka' mian men mompopokoo' wakana bo popodaaon.”
LUK.18.15	Isian mian men nangawawa anak morio' ni Yesus kada' i Ia mengepetkon lima-Na na ko'ona i raaya'a. Tempo murit ni Yesus nimiile' men koiya'a, raaya'a nongkomaso'imo mian iya'a.
LUK.18.16	Kasee i Yesus nengeleelo' mian iya'a kasi norobu na murit-Na tae-Na, “Patalai anak karaanono' taka na Ingku'! Alia mantaankon i raaya'a, gause mian men koi anak karaani'i a men bo mianna Batomundo'anna Alaata'ala. 
LUK.18.17	Imamat a men taeng-Ku', ka' uga' bantilkonon-Ku na ko'omuu se' mian men sian mangalabot Batomundo'anna Alaata'ala koi pangalabotna anak morio', ia sian minsoop na Batomundo'an iya'a.”
LUK.18.18	Sa'angu' tanaasna lipu' Yahudi nimikirawar ni Yesus taena, “Guru men pore! Tio mangawawau upa kada' i yaku' mantausi tutuo' men pore pataka sidutu?”
LUK.18.19	Ia simbati i Yesus tae-Na, “Nongko'upa i koo se' mangaan i Yaku' pore? Sianta men pore saliwakon Alaata'ala.
LUK.18.20	Ai koo ninginti'imo potoona Alaata'ala: ‘Alia muntumpangkon samba-samba, alia mampapatei mian, alia mamangan, alia momborekkon mian, ka' angga'i a tamaam tia sinaam.’ ”
LUK.18.21	Taena mian iya'a, “Giigii' potoo men koiya'a yaku' poko loloikonmo tempopo i yaku' nopoo'inti'imo.”
LUK.18.22	Nongorongor koiya'a, Yesus norobumo tae-Na, “Dauga' isian sa'angu' kaliangan a men tio wawauwoon. Balukkonmo a giigii' upaam ka' obo-oboskon a doi'na na mian talalais. Kalu koiya'a, koo bo mokosue kupang na surugaa. Moko daa kasi taka mongololo' i Yaku'.”
LUK.18.23	Kasee sarataa nongorongor men koiya'a, mian iya'a nasiongo'mo tuu' gause i ia kupangon tuu'.
LUK.18.24	Yesus ninginti'i se' mian iya'a masiongo' tuu' a noana. Mbali' iya'a, Ia norobumo tae-Na, “Marepa tuu' a mian kupangon minsida mianna Batomundo'anna Alaata'ala! 
LUK.18.25	Bagiakon sa'angu' unta minsoop na bolo'na pakaut a daana, tia sa'angu' mian kupangon minsida mianna Batomundo'anna Alaata'ala.”
LUK.18.26	Biai' a mian men nongorongor i Yesus nangaan koiya'a nimikirawar taena, “Ka' koiya'a, ai ime ansee a men sida salamatkonon?”
LUK.18.27	Ia simbati i Yesus tae-Na, “Men sian pokoonna mian, pokoonna Alaata'ala wawauon.”
LUK.18.28	Kasi i Petrus norobu taena, “Piile'! Kai namarereimo giigii' upamai ka' nongololo' i Kuu.”
LUK.18.29	Taeni Yesus, “Tuutuu' mba'a. Ka' bantilkonon-Ku na ko'omuu se' mian men mamarereim laiganna, kabai boroki'na, kabai utusna, kabai minti'ina, kabai anakna gause Batomundo'anna Alaata'ala, 
LUK.18.30	mian iya'a tempo koini'i uga' bo mangalabot walosna men labi tia upa men ia parereimo, ka' na tempo men bo rumpakion ni'imarian, ia bo mantausi tutuo' men pore pataka sidutu.”
LUK.18.31	Yesus ningirimpungmo murit-Na men sompulo' rua' ka' nintisaal kasi norobu tae-Na, “Imamat ini'imari! Kita koini'i banta-bantang mae' na Yerusalem. Giigii' men ia tulismo nabii men muntundunkon Anak Manusia bo sida inda'a. 
LUK.18.32	Ia bo kalaakonon na mian men taasi' Yahudi. Ia bo irokion, idekion ka' inorion. 
LUK.18.33	Raaya'a bo mansasali ka' mampapatei i Ia, kasee na ilio kotolu'na i Ia bo tumuo' soosoodo.”
LUK.18.34	Giigii' iya'a titiu'po sian inti'ionna murit ni Yesus. Aratina wurung-Na iya'a niwunikon na ko'ona i raaya'a. Raaya'a sian ninginti'i panduungna tundunan-Na.
LUK.18.35	Tempo i Yesus torumpakmo na Yerikho, isian sa'angu' mian men mampisok poto'oruang na soripi'na salan ka' mo'ase-ase' upana mian men lumiu. 
LUK.18.36	Sarataa mian iya'a nongorongor se' biai' a mian men lumiu, ia nimikirawarmo taena, “Isian upa?”
LUK.18.37	Taena i raaya'a na ko'ona, “Yesus, mian na Nazaret iya'a, lumiu.”
LUK.18.38	Mbaka' nangkakaro'mo a mian men mampisok iya'a taena, “Yesus, lee' ni Daud! Kolingu'konon i yaku'!”
LUK.18.39	Mbaka' i raaya'a men pototumpang olukon nongkokundakon i ia ka' nomosuu' kada' mimporokot. Kasee ia tongko' kaekae' momboolaki mangkakaro' taena, “Lee' ni Daud! Kolingu'konon i yaku'!”
LUK.18.40	Kasi i Yesus notumataan ka' nomosuu' mian kada' mangawawa mian mampisok iya'a na Ko'ona. Sarataa mian iya'a karani'mo ni Yesus, Yesus nimikirawarmo tae-Na, 
LUK.18.41	“Upa a men kikira'am wawauon-Ku na ko'oom?”
LUK.18.41	Ia simbati mian mampisok iya'a taena, “Tumpu, yaku' mingkira' bi poopiile'!”
LUK.18.42	Taeni Yesus, “Bi poopiile'mo! Gause i koo mamarasaya na Ingku', koo nopoopiile'mo.”
LUK.18.43	Tempo iya'apo uga' ia nopoopiile'mo, kasi ia nongololo' i Yesus ka' nobasukuur na Alaata'ala. Sarataa mian biai' nimiile' men koiya'a, raaya'a giigii' nuntunde'mo Alaata'ala.
LUK.19.1	Yesus ninsoop lumiu na kota Yerikho. 
LUK.19.2	Na kota iya'a isian sa'angu' mian kupangon men tanaasna pagawena pajak. Ngaanna i Zakheus. 
LUK.19.3	Ia mingkira' mimiile' too ime i Yesus iya'a, kasee i ia pepende' ka' mian uga' biai' tuu', mbaka' ia sian namaka'ala nimiile' i Yesus. 
LUK.19.4	Zakheus notumetende'mo nongolukoni mian biai', kasi nimenek na kau ara kada' sida mimiile' i Yesus men boomo lumiu indo'o. 
LUK.19.5	Sarataa i Yesus nolumiu na kau iya'a, Ia nolumelengea'mo kasi norobu tae-Na, “Zakheus, palau dongan! Gause i Yaku' bo tuuk na laigaan ilio kani'i.”
LUK.19.6	Kasi i Zakheus nalau donga-dongan ka' nangawawa i Yesus tia noa beles. 
LUK.19.7	Giigii' mian men nimiile' se' koiya'a noramumukmo gause kokoo'an montookon i Yesus notuuk na laigan ni Zakheus. Taena i raaya'a, “Nongko'upa se' i Ia daa tuuk na laiganna mian men sian malolo' na aturanna agama?”
LUK.19.8	Kasee i Zakheus nokumekerer ka' norobu ni Yesus taena, “Tumpu, piile'! Sangobosan na lalomna ruangobosanna kupangku bo rookononku na mian talalais, ka' imepo a men yaku' too akalimo, na ko'ona bo ule'kononku parapaat paku'!”
LUK.19.9	Kasi taeni Yesus, “Na ilio kani'i koo tia giigii' poto'utusaan na laigan kani'i ia salamatkonmo Alaata'ala, gause i koo uga' lee' ni Abraham. 
LUK.19.10	Gause Anak Manusia taka bo mansarak ka' mansalamatkon mian men sian mamarasaya Alaata'ala.”
LUK.19.11	Pintanga' a mian dauga' momorongori i Ia, Ia nuntundunkonmo sa'angu' timbaani'. Na tempo iya'a Ia nda'amo karani' na Yerusalem, ka' mian mansarui se' Alaata'ala boomo mimpipiile'kon Batomundo'an-Na na tano' balaki'.
LUK.19.12	Taeni Yesus, “Isian sa'angu' mian lee'na tomundo' men bo mae' na dodongoan men oloa bo nakaton sida tomundo' na lipu'na, ka' moko daa iya'a, kasi ia mule'kon. 
LUK.19.13	Koo'po tia ia rumingkat, ia nengeleelo'mo sompulo' mian tutulungina, kasi nantarai i raaya'a sanda-sanda' toro sa'angu'an doi' mosoni, kasi taena, ‘Doi' kani'i ala bo pobalu-balukmuu pataka yaku' mule'kon soosoodo.’
LUK.19.14	Kasee mian men sa'angu' lipu' tii ia ka'idekan i ia. Sarataa i ia nomae', raaya'a nomosuu'mo mian men bo pambantilkon taena, ‘Kai kunda tomundo'ionna mian kani'i.’
LUK.19.15	Kasee lee'na tomundo' iya'a ninakatmo ka' nosidamo tomundo', kasi nomule'kon na dodongoanna. Ia liuliu nengeleelo' tutulungina kada' inti'ionna se' pipii a ule' men ia tausimo i raaya'a.
LUK.19.16	Tutulungi men tumbena notakamo ka' norobu taena, ‘Tuan, sa'angu' doi' mosoni men kuu rookon na ingku', yaku' sidakonmo sompulo' doi' mosoni.’
LUK.19.17	Taena tomundo' iya'a, ‘Pore tuu' a men koo wawau. Koo tutulungi men pore! Gause i koo daa sida ooskonon mau tongko' na upa titiu', mbaka' i koo poposidaonkumo bo pinginti'i na sompulo' kota.’
LUK.19.18	Tutulungi men korua'na notakamo ka' norobu taena, ‘Tuan, sa'angu' doi' mosoni men kuu rookon na ingku', yaku' sidakonmo lilima' doi' mosoni.’
LUK.19.19	Tomundo' norobumo na tutulungi iya'a taena, ‘Koo poposidaonku bo pungkuasai lima' kota.’
LUK.19.20	Tutulungi men sambana notakamo ka' norobu taena, ‘Tuan, ni'imo a doi'muu. Yaku' tuummo tia lenso ka' ninaa'. 
LUK.19.21	Yaku' layaonkon i kuu, gause i kuu mian men maso'on. Kuu mangala men taasi' kuu limang, ka' mangala ule' na ale' men sian kuu asoki.’
LUK.19.22	Tomundo' iya'a norobumo na ko'ona taena, ‘Koo tutulungi men ba'idek! Ka' sintutu' tia wuruung mbaka' koo bo ukumionku. Koi taeem se' yaku' mian men maso'on. Taeem se' yaku' mangala upa men taasi'po yaku' a ningilimang ka' mangala ule' na ale' men taasi'po yaku' a nangasoki. 
LUK.19.23	Kalu koiya'a nongko'upa mbali' i koo sian nanganaa' doi' iya'a na baang kada' kalu yaku' mule'konmo, yaku' mangalabot doi' iya'a tia bungana?’
LUK.19.24	Kasi tomundo' iya'a norobu na mian men potokerer iraando'o taena, ‘Alamo a doi' kanooro'o na ko'ona ka' rookon na tutulungi men no'isianmo sompulo' doi' mosoni iya'a.’
LUK.19.25	Kasee taena i raaya'a, ‘Tuan, ia noko isianmo sompulo' doi' mosoni.’
LUK.19.26	Ia simbati tomundo' iya'a taena, ‘Bantilkononku na ko'omuu se' sanda' mian men isianmo upa ia tombonoi bo taraion soosoodo, kasee mian men sianta upa tombonoionna, toro tiu'po men dauga' isian na ko'ona bo alaon.
LUK.19.27	Ka' koini'i wawamo le'emari a giigii' mian men maso'kon i yaku' men bude'kon i yaku' a men bo pontomundo'i i raaya'a. Papatei i raaya'a giigii' piipiile' i yaku'!’ ”
LUK.19.28	Noko daa nangaan giigii' men koiya'a, raaya'a nomae'mo. Yesus a na olukon, kasi ia tuntuni i raaya'a mae' paraas Yerusalem. 
LUK.19.29	Sarataa montorumpakimo Betfage ka' Betania na buu'na men ngaanon Buu'na Zaitun, Ia nomosuu'mo murit-Na rurua' mae' olukon, 
LUK.19.30	ka' nomotoo tae-Na, “Rae' na kampung katu'u men torumpakionta. Kalu i kuu minsoopmo intu'u, kuu bo mungurumpaki sa'angu' keledai rundara men nitoongkon. Keledai iya'a sianpo ia toolakiti mian. Alaka' kakai a kokootna ka' wawa tu'umari. 
LUK.19.31	Ka' too isian mian mimikirawar na ko'omuu taena, ‘Nongko'upa i kuu se' mangalakai keledai iya'a?’ bantilkon inta', ‘Tumpu mamaraluui.’ ”
LUK.19.32	Rua' murit ni Yesus iya'a nomae'mo ka' i raaya'a nantakai giigii' sintutu' koi men taeni Yesus. 
LUK.19.33	Pintanga' mangalakai kokootna keledai rundara iya'a, norobumo a tombonona keledai iya'a taena, “Nongko'upa mbali' i kuu se' mangalakai kokootna keledai kanono'?”
LUK.19.34	Ia simbati i raaya'a taena, “Tumpu mamaraluui.”
LUK.19.35	Kasi i raaya'a nangawawa keledai rundara iya'a mbaatu'u ni Yesus. Komburi'na i raaya'a nangalatasikonmo pakeanna i raaya'a na sengke'na keledai iya'a ka' nomolakit i Yesus. 
LUK.19.36	Pintanga' i Yesus lumiu laki-lakit na keledai iya'a, mian biai' nanggampalkonmo bokukumna i raaya'a na salan.
LUK.19.37	Sarataa i Yesus karani'mo Yerusalem, na salan men toku-tokuru na Buu'na Zaitun, giigii' murit-Na men biai' iya'a nuntumbeimo nokamporongoran muntunde' ka' basukuur na Alaata'ala gause giigii' upa kosamba' men ia piile'mo i raaya'a. 
LUK.19.38	Raaya'a mangkakaro' taena,
LUK.19.38	“Barakaatan a Tomundo' men notaka ia pokau Tumpu!
LUK.19.38	Bi pore na surugaa!
LUK.19.38	Tunde' a Alaata'ala men na ko'alayo'an!”
LUK.19.39	Toropii mian Farisi men isian na mian biai' iya'a norobu ni Yesus taena, “Guru, kokundakon a murit-Muu kada' mimporokot.”
LUK.19.40	Ia simbati i Yesus tae-Na, “Bantilkonon-Ku na ko'omuu se' kalu i raaya'a mimporokot, watu karaaya'a bo mangkakaro'.”
LUK.19.41	Tempo i Yesus karani'mo na Yerusalem, ka' sarataa nimiile' kota iya'a, Ia nowirimo. 
LUK.19.42	Tae-Na, “Kolingu' i kuu mian na Yerusalem! Kaporeanna kalu ilio kani'i kuu minginti'i upa men daa mantakakon pooka'amatan! Kasee koini'i kuu sian mimiile' iya'a. 
LUK.19.43	Sa'angu' tempo kuu bo mungurumpaki repaan. Mian men maso'kon i kuu bo mangawawau ompot na tiku-tikumuuu. Raaya'a bo mangalawui i kuu ka' mongompot i kuu tiku-tikum. 
LUK.19.44	Raaya'a bo minsilaka'i i kuu ka' uga' giigii' mianmuu, ka' sianta sa'angu'po watu a men bo dalaionna i raaya'a dauga' pootapi' na kekelaanna, gause i kuu sian ningimamat tempona Alaata'ala taka mansalamatkon i kuu!”
LUK.19.45	Yesus ninsoop na Laiganna Alaata'ala ka' numbuse'i giigii' mian men mobalu-baluk indo'o. 
LUK.19.46	Taeni Yesus na ko'ona i raaya'a, “Na Alkitaap isian nitulis koi kani'imari: Alaata'ala nangaan tae-Na, ‘Laigan-Ku bo sida laigan basambayangan.’ Kasee kuu wawaumo bo dodongoanna mian puraga!”
LUK.19.47	Sanda' ilio i Yesus nimisiso' na Laiganna Alaata'ala. Tanaasna imam ka' wawa ukum Torat tia tanaasna lipu' Yahudi mingkira'amo mampapatei Ia,
LUK.19.48	kasee i raaya'a sian nantausi salan bo mangawawau men koiya'a, gause giigii' mian mingkira'kon i Ia ka' mo'uus momorongori wurung-Na.
LUK.20.1	Na sa'angu' tempo pintanga' i Yesus mimisiso' ka' mengelelekon Lele Pore men ringkat na Alaata'ala bona mian biai' men na Laiganna Alaata'ala, isian tanaasna imam, wawa ukum Torat, tia motu-motu'a notaka indo'o. 
LUK.20.2	Raaya'a norobu ni Yesus taena, “Io, bantilkon na ko'omai se' upa a pimpu'uaan nangawawau men koiya'a? Ka' ime a nantarai i Koo kuasa mbali' nangawawau giigii' iya'a?”
LUK.20.3	Ia simbati i Yesus tae-Na, “Yaku' uga' mingkira' mimikirawar na ko'omuu. Pinginti'imuu, 
LUK.20.4	Yohanes nansarani mian nimpu'u na kuasa ni ime, Alaata'ala kabai mian?”
LUK.20.5	Raaya'a nopootunduniimo kasi taena i raaya'a, “Kalu kita mangaan, ‘Kuasana ringkat na Alaata'ala,’ mbaka' simbation-Na, ‘Nongko'upa i kuu se' kosian mamarasaya upa men taeni Yohanes?’ 
LUK.20.6	Kasee kalu kita mangaan, ‘Nimpu'u na kuasana mian,’ giigii' mian karaale'e bo mangalapak i kita tia watu, gause i raaya'a mamarasaya se' i Yohanes mase nabii.” 
LUK.20.7	Mbaka' ia simbati i raaya'a taena, “Sian inti'ionmai.”
LUK.20.8	Mbaka' norobumo i Yesus na ko'ona i raaya'a tae-Na, “Kalu koiya'a Yaku' uga' sian mambantilkon na ko'omuu se' kuasa ni ime bo pimpu'uan-Ku mangawawau koiya'a.”
LUK.20.9	Kasi i Yesus nuntundunkon na ko'ona i raaya'a timbaani' men koi kani'imari: “Isian sa'angu' mian no'ale' ka' ale'na ia asoki anggur. Ale' iya'a ia tamboikonmo na toropii mian papalimang, kasi ia nomae' na lipu' sambana ka' nodumodongo pataka nanau'.
LUK.20.10	Temponamo pumpupuan woo'na anggur iya'a, tombono ale' iya'a nomosuu'mo tutulungina mae' na papalimangna ale'na iya'a mama'ase' obosna ule'na. Kasee papalimang iya'a tongko' numukul tutulungi iya'a ka' nomosuu' nomae' tia lima sompulo'. 
LUK.20.11	Mbaka' tombono ale' iya'a nomosuu'mo sa'angu' tutulungina men sambana. Kasee iapo uga' tongko' nipukul ka' ia iroki papalimang iya'a, kasi niposuu' mule'kon tia lima sompulo'. 
LUK.20.12	Tombono ale' iya'a nomosuu'mo soosoodo tutulungi men kotolu'na. Kasee iapo uga' tongko' ia pukul i raaya'a ka' nitibarkon waale'e na liwana ale' iya'a.
LUK.20.13	Komburi'na tombono ale' iya'a norobumo taena, ‘Upa a men tio bo wawauonku soosoodo? Yaku' bo momosuu' anakku men kolingu'ku. Sabole ia kolayaonna i raaya'a!’
LUK.20.14	Kasee tempo papalimangna ale' iya'a nimiile' anakna iya'a, raaya'a nopootunduniimo taena, ‘Iamo kaya'a a men bo pontombonoi giigii' upana tamana. Mai kita papateia i ia kada' kitamo a pontombonoi budelna.’ 
LUK.20.15	Mbaka' ia tibarkonmo i raaya'a a anak iya'a waale'e na liwana ale' kasi nipapatei.”
LUK.20.15	Yesus nimikirawarmo na ko'ona i raaya'a tae-Na, “Koi upa a tombono ale' iya'a? Upamo a wawauonna na papalimangna ale'na iya'a? 
LUK.20.16	Sabole ia bo taka ka' mampapatei papalimang iya'a, kasi mongorookon ale' iya'a na papalimang men sambana.”
LUK.20.16	Nongorongor men koiya'a, mian biai' norobumo na Ko'ona taena, “Ansee, amo' sida a men koiya'a!”
LUK.20.17	Yesus nintiokimo i raaya'a kasi nangaan tae-Na, “Kalu koiya'a, upa aratina isiina Alkitaap men koi kani'imari:
LUK.20.17	‘Watu men ia balo'konmo tukang
LUK.20.17	nosidamo watu tuko men bo pandasi’?
LUK.20.18	Ime a men mandawo' na watu iya'a bo koraso-raso', ka' ime a men utunonna watu iya'a bo magampial.”
LUK.20.19	Kasi wawa ukum Torat ka' tanaasna imam nampari-pari mangarakop i Yesus na tempopo iya'a, gause ia inti'i se' tundunan ni Yesus umba'a mintimbaani'kon i raaya'a koi papalimang ale'na anggur men ba'idek. Kasee i raaya'a layaonkon mian biai'.
LUK.20.20	Wawa ukum Torat ka' tanaasna imam iya'a nanganasaimo i Yesus. Raaya'a nomosuu'mo mian men mimpipiile'kon tatakana koi se' mian maloos, mimikirawari i Yesus kada' Ia sala' wurung, kasi i raaya'a nangarakop ka' namarawootkon i Yesus na gubernuur. 
LUK.20.21	Mbaka' i raaya'a men niposuu' norobumo ni Yesus taena, “Guru, kai inti'i se' giigii' men Kuu ngaan ka' Kuu pisiso'kon iya'a tuutuu', ka' i Kuu sian momposasala'kon mian, kasee i Kuu mimisiso'kon pingkira'na Alaata'ala men tuutuu'na. 
LUK.20.22	Kalu na aturanna agamanta, daa patalaion a mambayar pajak bona Kaisar
