MAT.1.1	Magtub ke ɔje dè girkà le Jésu-Krist ngonnkà David, ngonnkà Abraham, 
MAT.27.52	Tà be-ɓadege teein ade danra njétaakêm-Kristge bule ke ndɔ ke weii undei loo teei dann njé ke koo’t a tɔ. 
MAT.27.53	Loo ke Jésu unde loo tee dann njé ke koo’t ɓá ɓaa, njétaakêm-Kristge ke ndɔ ke weii undei loo teei pan awi kêm ɓee-bò ke tò se ninn’n adi dooge bule ngain an-in de. 
MAT.27.54	Loo ke njèkan dè njérɔge ke aru karé se njérɔge ke ngonmi Jésu se’n, ei an-in nang ke yei ɓuk-ɓuk se nyange ke teei nè nga ɓaa, ɓel unde ndàt gang dè ade tami edi nè:
MAT.27.54	– Loo naje’n goto, doo nè nga è Ngonn Nube kerɔte kuwe.
MAT.27.55	Dinyege bule ke unni gir danni Jésu ɓeekon ke Galilée nga ndai heb, ei an-in nyange ke teei nè nga. Dinyege nè nga, ndɔ ke ei njé ra se Jésu dè nyange ke è aw ndoo’n. 
MAT.27.56	Marie ke ɓee le’n è Magdala se Marie ke kon Jacques se Joseph se kon ngannge le Zébédée géa ei dann dinyege’t nè nga tɔ.
MAT.27.57	Loo ke loo sɔl ɓá ɓaa, dingem karé ke è baw ree. Doo nè nga géa è njèkuwe-gir-Jésu tɔ. Ri’n nè Joseph. Ɓee le’n è Arimathée. 
MAT.27.58	Dingem nè nga aw ra Pilate’t deje’n ninn Jésu. Pilate unn ndu’n le kade d’ade Joseph ninn Jésu. 
MAT.27.59	Joseph unn ninn Jésu aw’n um’n ngire se tà kubu ke kige ke ra lênd-lênd. 
MAT.27.60	E unn ninn Jésu aw unde ndeĵ kêm bolè mbal ke ade dé son kige ɔje’n dè’n è Joseph kuwe. Go’t gugu, è ndubri kuberi her ke bòi utu’n tà be-ɓade nè nga ɓita ɔte aw ɓai. 
MAT.27.61	Marie ke ɓee le’n è Magdala se Marie ke karé ke rang ndii nang turi kum de ke tà ɓade’t.
MAT.27.62	Barè lookar’n à è ndɔ ke njè kutu go ndɔ kuwe dè nja nyange. Maw njékuje nyan-mese se Pharisienge ɔsi nja nan awi se ra de ra Pilate’t edi nin edi nè:
MAT.27.63	– Ngar ke maje, kêm jé olé dè tà’t le njè libe kum dooge nè. Kété ke ndii’n se dè’n dɔ ɓai nga, è tam ede nè: «Ndɔ ke njékon’t mute ɓaa, m’a m’unde loo tee dann njé ke koo’t.» 
MAT.27.64	Unn ndui ade njérɔge ngonmi dè ɓade nè nga tchên sár ndɔ ke njékon mute, nè bainléa njékuwe-girége à reei kɔri ninné se ɓoge ɓaa, à teli kawi kedi kosdooge kedi nè: «Jésu nga unde loo tee dann njé ke koo’t ɓá.» E ke nè á è tà libe kum dooge ke à majelé ngain dum ke kété nga ɓai.
MAT.27.65	Pilate ede de ede nè:
MAT.27.65	– An-in! njérɔge á ndai nè. Awi ɓaa i ngonmi dè ɓade nè nga tchên titeke sei ooi se mbi si.
MAT.27.66	Maw njékuje nyan-mesege se Pharisienge ɔti awi ndubri kuberi her ilei tà be ɓade’t, taɓai, lon-in tà langt-langt ɓita undei njérɔge tà’t kade ngonmi ɓai.
MAT.28.1	Ndɔ ke njè kutu go ndɔ taa kebe nga, Marie ke ɓee le’n è Magdala se Marie karé ke rang teei tàgir loo’t karè awi le kan-in dè ɓade. 
MAT.28.2	An! ke loon’t nè kuwe nang yei ɓuk-ɓuk. Kuwe-ɓee ule doo le’n ade in danrán ree ndubri her ke bòi ke d’utu’n tà be ɓade nè nga ile rang al ndi dè’t. 
MAT.28.3	Ra’n ndoin tite ndi ke têl a, kubu ke rann’t nda káng-káng tite kew bè a tɔ. 
MAT.28.4	Ɓel ra njé ngonm looge ngain ade ndebi nginn-nginn teli tooi asinan se ninnge bè. 
MAT.28.5	Doo ke danrán ke Kuwe-ɓee ule’n nga ede dinyege ede nè:
MAT.28.5	– Sei ɓaa, i ɓeli lé. Ma m’ger titeke sei sangi Jésu ke dé ɓer’n kàde kage-ke-dese’t nga. 
MAT.28.6	E goto loo ke nè ta, tede è unde loo tee dann njé ke koo’t titeke è tam’n kété nga. I reei an-in loo ke kété tò tutu nga. 
MAT.28.7	Awi law-law edi njékuwe-girnge edi nè: «Jésu nga unde loo tee dann njé ke koo’t ɓá. An-in! è aw non si’t kété kêm ɓeekon ke Galilée. E á à è loo ke sei a kan-in nin tutu nú.» E ke nè á è tà ke man m’ede sei.
MAT.28.8	Ke loon’t nè kuwe ɓel ra dinyege nè ngain ade ɔsi nang in-in dè ɓada se ngɔde awi. Nè ra de nel de ngain. Ei awi se tàge nè edi njékuwe-gir-Jésuge. 
MAT.28.9	Jésu unde loo tee pan ke ra de’t ede de ede nè:
MAT.28.9	– M’ra sei lapya.
MAT.28.9	Dinyege nè agi ngɔr reei rann’t uwei nja’n, ɗɔyi nin.
MAT.28.10	Jésu ede de ede nè:
MAT.28.10	– I ɓeli lé ta. Awi edi ngakonmge ade awi gar-gar kêm ɓeekon ke Galilée. E á è loo ke à an-in man tutu nú.
MAT.28.11	Loo ke nja dinyege nè nain rebe ɓai ɓaa, njérɔge ke nange ke njé ngonm dè ɓadege teli awi kêm ɓee-bò’t ɔri ser nyange malang ke teei nga kété adi maw njékuje nyan-mesege ooi. 
MAT.28.12	Maw njékuje nyan-mesege awi ɔsi nja ngatɔgege le kosdooge ke Israel nan’t ɔri nan tà. Loo ke umi tà le de nan’t ɓá ɓaa, go’t gugu ɔyi nar ɓuk adi njérɔge ɓaa, ei edi de edi nè:
MAT.28.13	– Awi i tami edi nè: njékuwe-girnge á reei ndɔɔ ɔri ninn’n se ɓoge loo ke sei i tooi ɓi. 
MAT.28.14	Ke nè á tà nè nga oso mbi njékonɓee’t ɓaa, jè kuwe j’à ger loo k’ee der gir si kade kêm si too’n lom.
MAT.28.15	Njérɔge taai nar nè nga ɓaa, ei rai titeke d’ede’n de kété nga tɔ. Titeke bè á tà nè nga oso’n se loo mbit-mbit dann Juipge’t sár tee kêm ndɔ ke ɓila.
MAT.28.16	Njékuwe-gir-Jésu ke dɔg-gidé-karé ɔti awi kêm ɓeekon ke Galilée dè mbal’t ke ndɔ ke Jésu unn ndu’n ade de le kade d’inge’n tutu nga. 
MAT.28.17	Loo ke d’an’n ɓá ɓaa, d’ule dè de nang dé ɗɔi’n, nè kêm njé ke nange nda geng dènn’t ɓai. 
MAT.28.18	Jésu aw ngɔr ke ra de’t ede de tàge titeke bè ede nè:
MAT.28.18	– Man nga, d’ade’m tɔgmong dè nyange malang ke danrán se ke dè nang nè. 
MAT.28.19	Awi, i teli dooge malang ke ei Juipge lé ke njékuwe-girmge. Ulei de manné njonm se ri Bɔ’m a, se ri Ngonn a, se ri Ndil-Kêmnda a tɔ. 
MAT.28.20	I ndói de loo kile koje dè ndukunnge malang ke kété m’unn m’ade sei nga. An-in! man nga géa m’a m’ee der gir si se ndɔ karé-karé malang sár ndɔ ke ngeinn’t.
MRK.1.1	Tà ke Maje le Jésu-Krist, Ngonn le Nube nga unn gir’n titeke bè.
MRK.1.2	Dé ndang kêm magtub’t le Esaie njèribe-dè-tà ke tà Nube’t d’ede nè:
MRK.1.2	«An! m’ule njèkawkule le’m noin’t.
MRK.1.2	E à gɔl rebe lei.
MRK.1.3	E ndu dingem karé ke njèkile mber kêm dile’t ede nè:
MRK.1.3	I gɔli rebe le Kuwe-ɓee Krist,
MRK.1.3	i rai kile rebe le’n adi asenan lêtêt.»
MRK.1.4	Jean ke njèkule dooge manné njonm unde loo tee kêm dile’t ile mber ede nè:
MRK.1.4	– I turi hal si adi d’ule sei manné njonm. Titeke bè á Nube à inye’n go kaiyage le si.
MRK.1.5	Dooge ke ɓeekon ke Judée bere mbak se njé ke kêm ɓee-bò ke Jérusalem malang awi rann’t ɔri gir kaiyage le de ke nata adi ule’n de manné njonm dann ba ke Jourdain loo ke ɔri gir kaiyage le de ke nata.
MRK.1.6	Jean ule kubu ke ngal ke d’ojo se bin lugman rann’t, è dɔ ɓede’n se ndar; ganrin dɔg-ge se wubu tuju ke walé á ke nyankuse’n. 
MRK.1.7	E ede doobulege ndàt ede nè:
MRK.1.7	– E ke à ree goom’t gugu non nga tɔgmong le’n dum dè le’m; man m’ase tutu kule gabang-ge ke njann’t lé. 
MRK.1.8	Ma m’ule sei manné njonm, nè è ɓaa à ɔr sei kunde sei se ninn’n se Ndil-Kêmnda.
MRK.1.9	Kêm ndɔnge’t nè nga, Jésu in Nazareth ɓeekon ke Galilée ree ade Jean ule’n manné njonm dann mann ke Jourdain. 
MRK.1.10	Loo ke à unde loo dann mann’t le tee ɓaa, ke loon’t nè kuwe è an kum danran teen halal, Ndil ree ndi dènn’t tite der-nda bè. 
MRK.1.11	Ndu Nube ɓar danran nú ede nè:
MRK.1.11	– I i Ngonn’m ke m’tári ngain, i nyan ranel le’m a tɔ.
MRK.1.12	Ke loon’t nè kuwe, Ndil ɔse’n aw se’n kêm dile’t. 
MRK.1.13	E ra ndɔ kɔr-sɔ kêm dile’t, Sú ree rann’t ule kêm’n. E ra ɓee se dange ke walé, nè dooge ke danrán rai se’n dè nyan ke aw ndoo’n.
MRK.1.14	Loo ke d’uwe Jean d’ile’n dangai’t ɓá ɓaa, Jésu in ree ɓeekon ke Galilée, è ile mber Tà ke Maje le Nube, ede nè:
MRK.1.15	– Ndɔ ke Nube ɔje nga ase deĵ ɗarinè ta, Konɓee le Nube nain ngɔr. I turi hal si, undei kêm si dè Tà ke Maje’t a tɔ.
MRK.1.16	Loo ke Jésu à njiye tà ba ke Galilée ɓaa, è an Simon se ngokon’n André ndai à ilei bure le de dann ba’t tede ei mbawge ke njékɔse kanjege. 
MRK.1.17	Jésu ede de ede nè:
MRK.1.17	– Unni rebe goom’t, m’a m’tel sei ke njéndon dooge ɗarinè ta.
MRK.1.18	Ke loon’t nè kuwe, d’inye burege le de, d’unn rebe goon’t. 
MRK.1.19	Loo ke è aw ndêin ke kété ɓaa, an Jacques ngonn le Zébédée, se ngokon’n Jean, ndii kêm ngonn bato’t à gɔli burege le de. 
MRK.1.20	Ke loon’t nè kuwe, Jésu ɓar de ɓaa, ei inyei bɔ de Zébédée kêm ngonn bato’t se njékulege le’n unni rebe go Jésu’t.
MRK.1.21	Jésu se njékuwe-girnge awi kêm ɓee ke Capernaum. Ke loon’t nè kuwe, Jésu aw kêm kei kebe nan’t se ndɔ taa kebe, è unn gir ndó dooge nyan. 
MRK.1.22	Tà ige de sêl dè gos nyan-ndó’t le’n. E ndó de nyan se tɔgmong ke Nube ade’n m ndó de nyan tite le njékɔrgir gute-nduge karè lé.
MRK.1.23	Dingem karé ke ndil ke majelé tò kêmn’t ndi kêm kei kebe nan’t nè nga tɔ. Ke loon’t nè kuwe, è tam tà se ndu’n ke bòi ede nè:
MRK.1.24	– Ké usi ri ra jé’t wa? I Jésu ke Nazareth. Ké i ree le tuju jè kɔke ta wa? Man m’geri mbak, i i ke njè maje kɔr njêt le Nube.
MRK.1.25	Jésu in se ndil ke majelé ndáng’n ede nè:
MRK.1.25	– Ade asi, unde loo i tee kêm dingem’t nè kɔke.
MRK.1.26	Ndil ke majelé sure dingem nè mbangang-mbangang a, ade non ɓerer-ɓerer ɓita unde loo tee kêmn’t ɓai. 
MRK.1.27	Ndil dooge malang tee an-in soin-soin ade deji nan tà edi nè:
MRK.1.27	– Ké nyan nè nga è ri wa? E nyan-ndó ke gai se tɔgmong ke in ra Nube’t. Ndilge ke majelé géa Jésu on de njanm-njanm ade ulei dè de adii.
MRK.1.28	Ke loon’t nè kuwe, kɔbe nyan ke Jésu ra nga oso se loo mbit mbit kêm ɓeekon ke Galilée bere mbak.
MRK.1.29	Loo ke Jésu unde loo tee nata kêm kei kebe nan’t ɓaa, ke loon’t nè kuwe è se Jacques se Jean, awi kêm kei le Simon se André. 
MRK.1.30	Wum Simon ke dinye tò nang se ratur. Ra’n taa por làm-làm. Ke loon’t nè kuwe, dé ree d’ede Jésu tà’n. 
MRK.1.31	Jésu aw rann’t, uwe ji’n ute’n dɔ. Ra’n ke taa làm-làm nga in kengeng. E unn gir ra nyan kuse ade de. 
MRK.1.32	Tà loo sɔlé, loo ke kàde ur ɓá ɓaa, d’oto njératurge malang se njé ke ndilge ke majelé rai kum de ndoo dé ree se de som-som ra Jésu’t. 
MRK.1.33	Dooge ke kêm ɓee-bò’t nè bere mbak kebi nan tàbit kei rebe’t. 
MRK.1.34	Jésu ɔr ratur ra njératurge’t ke raturge gai-gai rai kum de ndoo. E rɔ ndilge ke majelé kɔke bule kêm dooge’t. E inye loo ade ndilge ke majelé tami tà lé, tede ei nè nga geri Jésu mbak.
MRK.1.35	Tà gir loo’t, loo ke loo ar lé ɓai, Jésu in gir ɓi’t unde loo tee kêm kei aw ngang loo’t nata. E unn gir kɔje tà se Nube. 
MRK.1.36	Simon se njé ke ei se’n ndolèi go Jésu. 
MRK.1.37	Loo ke ingei nin deĵ ɓá ɓaa, edi nin edi nè:
MRK.1.37	– Dooge malang sangi nin.
MRK.1.38	Jésu ede de nè:
MRK.1.38	– Ade j’awi kêm ɓeege ke rang ke tooi kɔte nan’t nè, le kade m’ile mber tà le Nube tutu tɔ. E tede è ke nè á m’unde loo m’tee’n kêm ɓee-bò’t.
MRK.1.39	Jésu aw ile mber kêm kei kebe nange’t le de ke ɓeekon ke Galilée bere mbak. E rɔ ndilge ke majelé kɔke a tɔ.
MRK.1.40	Dingem karé ree ra Jésu’t. E ɔse keje’n nang nonn’t, ndête’n ɓɔk-ɓɔk ede nè:
MRK.1.40	– Kɔkrɔ karè, ke nè á i ndige se’m le kade banje ɔr ram’t ndát-ndát ɓaa, ram à tel tò karè ndát-ndát kuwe tɔ.
MRK.1.41	Jésu an kumndoo le dingem ke njèbanje. E ule ji’n ɔde’n ra njèbanje, ede’n ede nè:
MRK.1.41	– M’ndige bè kuwe, maje kade rai tel tò karè ndát-ndát.
MRK.1.42	Ke loon’t nè kuwe, banje ɔr ra dingem’t nè nga nyonk. 
MRK.1.43	Jésu ede’n tàge ke rang ngain ɓita inye’n ade aw ɓai. 
MRK.1.44	Go’t gugu, è ede dingem ke banje ɔr rann’t nga ede nè:
MRK.1.44	– I tam tà nè nga ade doo karé bè géa oo lé nè aw ra njèkuje nyan-mese’t, i tɔje’n rai ade an. Go’t ɓita unn nyan-noje ade se go gute-ndu ke Moise ndang. Titeke bè á i tɔje’n njékuje nyan-mesege titeke banje ɔr rai’t ɓá ta.
MRK.1.45	Nè loo ke dingem nè ɔte aw ɓaa, è unn gir kɔrgir nyan ke tee nè nga ase’n loo nák-nák. Gir’n ke nè á Jésu ase kum kaw ɓee-bò’t tàkum dooge’t ndái-ndái lé. E ndi ngang loo’t nata nè dooge in-in se loo-loo reei rann’t som-som.
MRK.2.1	Ase ndɔ bule go’t gugu ɓaa, Jésu tel ree kêm ɓee-bò ke Capernaum. Dooge ooi ser’n titeke è ndi kêm kei karé bè. 
MRK.2.2	Kosdooge ngain njin nan rann’t njàng-njàng kêm kei ade loo ube de bang sár tee’n tà kei’t nata. Jésu ndi ede de Tà ke Maje. 
MRK.2.3	Dingemge sɔ unni doo karé ke ra’n wei tonrin mari reei se’n ra Jésu’t. 
MRK.2.4	Dingemge nè nga asikum kawi se njèdɔgemete nè ra Jésu’t lé, tede doobulege rusi loo táp-táp. Dé d’al dɔ d’ɔr dè kei ke sɔbe dè loo ke Jésu ndii’n tutu. Go’t gugu d’unn dingem ke ra’n wei tonrin nè nga d’ule’n yêrêr se nyan too’n bere mbak se kum bolè. 
MRK.2.5	Loo ke Jésu an kundekêm le de titeke bè ɓaa, è ede doo ke ra’n wei tonrin nè nga ede nè:
MRK.2.5	– Ngonn basa, kaiyage lei ɔr dèi’t ɓá ta.
MRK.2.6	Njékɔrgir gute-nduge ke nange ndii loon’t nè nga tɔ. Ei giri tà dè ɓengre de’t edi nè:
MRK.2.7	– Ké bain á doo-nyan le doo nè nga tam tà titeke bè wa? E nede Nube. Ké Nube kuwe karé bere á asekum kɔr kaiya dè dooge’t lé wa?
MRK.2.8	Ke loon’t nè kuwe Jésu ger tàgirge le de ke kêm ɓengre de’t mbak. E deje de ede nè:
MRK.2.8	– Ké bain á sei giri tàge ke titeke bè dè ɓengre si’t wa? 
MRK.2.9	Kede doo ke ra’n wei tonri kede nè: «Kaiyage lei ɔr dèi’t éké ɔse nang in dɔ, i ɓir nyan tooi, ɔte i njiye.» Ké è ke ra á è tà ke loo tam’n tur dum made wa? 
MRK.2.10	Nè m’a m’tɔje sei le kade i geri titeke man Ngonn doo m’aw se tɔgmong le kɔr’n kaiya dè dooge’t dè nang nè.
MRK.2.10	Jésu ede doo ke ra’n wei tonrin ede nè:
MRK.2.11	– M’edi, ɔse nang in dɔ, i ɓir nyan tooi ɓaa ɔte aw kêm kei lei.
MRK.2.12	Ke loon’t nè kuwe, dingem nè nga ɔse nang in dɔ, ɓir nyan too’n, unde loo tee tàkum dooge’t malang ade teli ndii giw. Dooge malang ulei ndubra dè Nube’t edi nè:
MRK.2.12	– Jè j’an nyan ke titeke bè nja karé ndan lé ɓai.
MRK.2.13	Ndɔ karé bè Jésu tel aw tà ba-bò ke Galilée gugu. Kosdooge malang reei rann’t ade ndó de nyan. 
MRK.2.14	Loo ke Jésu à dere le kaw ɓaa, è an Lévi ngonn Alphée ndi tà kei taa tirge’t. E ede’n ede nè:
MRK.2.14	– Unn rebe goom’t.
MRK.2.14	Lévi ɔse nang in, unn rebe go Jésu’t. 
MRK.2.15	Ndɔ karé bè, Jésu se njékuwe-girnge ndii à usei nyan kêm kei le Lévi. Njétaa tirge se njé ke d’an de ke njé ra majelége bule ndolèi go de awi usei se de nyan. 
MRK.2.16	Njékɔrgir gute-nduge le Pharisienge ke nange géa ndii tutu tɔ. Loo ke an-in dooge ke d’an de ke njé ra majelége a, se njétaa tirge a tɔ, tà nyankuse’t se Jésu ɓaa, ei deji njékuwe-girnge edi nè:
MRK.2.16	– Ké bain á n’gang keng ke dann dooge’t nè nga n’use se de nyan wa?
MRK.2.17	Loo ke Jésu oo tà ke dé tam nga bè ɓaa, è ede de ede nè:
MRK.2.17	– Njé ke ra de mong maj-maj nga, awi ndoo njèkuge kaje ra de’t lé. Nè è njératurge á awi ndoo’n. M’ree dè nang nè le ɓar njé ke an-in ra de ke njé ra nyan se dè najennge lé. Nè m’ree le ɓar njé ke d’an de ke njé ra nyan majelége.
MRK.2.18	Ndɔ karé bè, pajage le Jean ke njèkule dooge manné njonm se njé ke le Pharisienge ɔgi kêm de ɓo. Pharisienge ke nange reei ra Jésu’t deji nin edi nè:
MRK.2.18	– Pajage le Jean se njé ke le jé ɔgi kêm de ɓo. Ké bain á i ɓaa, njé ke lei ɔgi kêm de ɓo lé wa?
MRK.2.19	Jésu deje de ede nè:
MRK.2.19	– Dooge ke njè taa dinye kige ɓar de loo taa nan’t le’n nga, ké asikum kɔgi kêm de ɓo wa? Ḿ-m̀, è bè lé! Kêm ndɔge malang ke ei nain-in se’n ɓai nga, ei asikum kɔgi kêm de ɓo lé. 
MRK.2.20	Nè ndɔ ke d’a d’uwe njè taa dinye kige dann de’t wont kɔr’n ɓita, d’a d’ɔge kêm de ɓo kêm ndɔn’t nè ɓai.
MRK.2.20	Jésu tel ede de ede nè:
MRK.2.21	– Doo à kunn tà kubu ke kige kile’n kum è ke ndise lé. Ke nè á doo karé unn tà kubu ke kige ile’n kum è ke ndise ɓaa, tà kubu ke kige à uwe è ke ndise le til’n banjáng-banjáng dum ke kété ɓai. 
MRK.2.22	Doo à sur yibe nduu ke sɔl ke unn gir pà kêm sɔlge ke mari’t lé, tede yibe nduu ke sɔl ke unn gir pà nga, à unde sɔlge ke mari ndàt gang kade yibe ule nang gɔngong-gɔngong a, sɔlge géa ei nyange ke tuju a tɔ. Gar-gar, i suri yibe ke sɔl ke unn gir pà kêm sɔlge ke kige’t ta.
MRK.2.23	Ndɔ taa kebe karé bè, Jésu se njékuwe-girnge unni rebe ke tee kêm ndɔrge’t. Njékuwe-girnge unni gir têti dè ko tonmi usei dɔ-dɔ. 
MRK.2.24	Pharisienge deji Jésu edi nè:
MRK.2.24	– Ké bain i se njékuwe-girige ali tà tà gute-ndu’t le jéi wa?
MRK.2.25	Jésu tel deje de ede nè:
MRK.2.25	– Nyan ke ndɔ ke David ra nga, ké i tutei tà’n an-in ndan lé wa? Ndɔ karé bè, ɓo ra de se dooge le’n. Nè nyan ke kade usei goto. 
MRK.2.26	David ur lêbêt aw kêm kei kubu’t le Nube koto ngurwalge use a, ade dooge le’n usei a tɔ. Ngurwalge ke tooi se ninn de nè nga ɔji dè njékuje nyan-mesege kuwe karé bere. E kêm ndɔn’t ke Abiatar ee’n maw njèkuje nyan-mese.
MRK.2.27	Taɓai Jésu ede de ede nè:
MRK.2.27	– Nube unde gir ndɔ taa kebe tede le doo. Nè doo nga, Nube unde’n tede le ndɔ taa kebe lé. 
MRK.2.28	Gir’n ke nè á man ke m’ee Ngonn doo nga, m’ee ngar dè ndɔ taa kebe.
MRK.3.1	Ndɔ karé ke rang, Jésu tel aw kêm kei kebe nan’t. Dingem karé ke ji’n wei tonrin ndi kêm kei kebe nan’t nè nga tɔ. 
MRK.3.2	E ndɔ taa kebe. Dooge kêm kei kebe nan’t undei kum de lêr -lêr le kan ké Jésu ayé kaje dingem nè nga se ndɔ taa kebe wa? Dé ra titeke bè le kile’n tà dènn’t. 
MRK.3.3	Jésu ede doo ke ji’n wei tonrin nga ede nè:
MRK.3.3	– Ɔse nang in dɔ ade d’an-in malang.
MRK.3.4	Jésu deje de ede nè:
MRK.3.4	– Ké ndɔ taa kebe nga, tò tede le ra’n maje se dooge éké le ra’n se de majelé wa? Ké ndɔ taa kebe tò tede le kaje’n doo éké le kinye’n doo kade tuju wa?
MRK.3.4	Nè d’ile’n dè’t lé.
MRK.3.5	Jésu an de ɗêrêr-ɗêrêr ɓaa, wur’n ndir’n njàk-njàk tede kêm majelé le de. Go’t gugu è ede dingem ke ji’n wei tonrin nè nga ede nè:
MRK.3.5	– I ndaje jii.
MRK.3.5	Dingem nè nga ndaje ji’n ɓaa, tel tò karé titeke kété. 
MRK.3.6	Ke loon’t nè kuwe, Pharisienge undei loo teei kêm kei kebe nan’t teei awi ɔri nan tà se pajage le ngar Hérode Antipas dè rebe ke ayé tɔli Jésu.
MRK.3.7	Jésu ɔr ra’n se njékuwe-girnge awi tà ba-bò ke ɓeekon ke Galilée. Kosdoo-bulege ndolèi goo’n. Kosdoo-bulege nè nga njé ke nange in-in kêm ɓeekon ke Galilée se Judée. 
MRK.3.8	Kêm ɓee-bò ke Jérusalem se ɓeekon ke Idumée, njé ke in-in gide ba’t ke Jourdain se njé ke in-in ngann ɓeege le ɓeekon ke Tyr se Sidon géa ndolèi go Jésu tɔ. Kosdoo-bulege nè nga reei ra Jésu’t tede ooi ser nyange malang ke è ra. 
MRK.3.9	Jésu ede njékuwe-girnge kade uwei dè nja ngonn bato undei konn tede le kade doobulege mboin-in de nang lé. 
MRK.3.10	Jésu ɔr ratur ra dooge’t bule kêm ndɔn’t nè nga. Gir’n ke nè á njé raturge malang nanri nan loo tede kɔde ra’n lêm. 
MRK.3.11	Dɔ-dɔ loo ke ndilge ke majelé an-in Jésu ɓaa, ei osoi nang njann’t ɓari nin kaláng-kaláng edi nè:
MRK.3.11	– I, i Ngonn Nube kerɔte kuwe.
MRK.3.12	Nè Jésu ndáng de le kade d’ɔr gir’n ɗarinè titeke è Ngonn Nube lé ɓai.
MRK.3.13	Go’t gugu, Jésu al dè mbal’t dɔ. E ɓar njé ke è aw ndoo de ade undei loo dann doobulege’t teei reei rann’t. 
MRK.3.14	E tɔr dooge dɔg-gidé-joo unde de ke njékawkulege. Jésu tɔr de unde de le kade umi se’n nan’t bɔk a, le kule de loo kile mber’t a tɔ. 
MRK.3.15	Taɓai è ade de tɔgmong le rɔ’n ndilge ke majelé kêm dooge’t a tɔ. 
MRK.3.16	Dooge ke dɔg-gidé-joo ke Jésu tɔr de unde de ke njékawkulege nga, ri de á tò nè: Simon ke Jésu ile ri tɔy’n nè Pierre, 
MRK.3.17	Jacques ngonn le Zébédée se ngokon’n Jean ke Jésu ile ri tɔy de nè Boanergès (tel se tà koje jéi ɓaa, è ngann ndi ke ndang), 
MRK.3.18	André, Philippe, Barthélemy a, Matthieu a, Thomas, Jacques ngonn le Alphée a, Thaddée, Simon doo ke ɓee le’n è Cana a, 
MRK.3.19	Judas Iskariot ke njèkunn dè Jésu.
MRK.3.20	Jésu tel aw kêm kei karé’t bè. Doobulege teli ɔsi nja nan rann’t ade è se njékuwe-girnge an-in loo kuse nyan lé. 
MRK.3.21	Loo ke njénojege le Jésu ooi tà ke ɔje dè’n bè ɓaa, in-in awi le kɔr’n dann doobulege’t le tel ree se’n ɓéee. Ei giri kêm de’t edi nè:
MRK.3.21	– Tà gir le’n ke maje tel waks.
MRK.3.22	Njékɔrgir gute-nduge ke in-in kêm ɓee-bò ke Jérusalem reei tami edi nè:
MRK.3.22	– Jésu nga, ngar le ndilge ke majelé ke ri’n nè Béelzébul tò kêmn’t. E takul ngar le ndilge ke majelé nè á è rɔ’n ndilge ke majelé kɔke.
MRK.3.23	Jésu ɓar njékɔrgir gute-nduge rann’t deje de se gos ede nè:
MRK.3.23	– Ké Sú asekum tel rɔ se ra’n titeke bain wa? 
MRK.3.24	Ke nè á ɓeekon le ngar karé kaya ra’n danné loo joo ɓaa, ɓeekon nè nga à aw mbɔr ndan lé. 
MRK.3.25	Ke nè á dooge ke kêm ɓee karé kayai nan loo joo le rɔi nan ɓaa, ɓee nè nga à aw mbɔr ndan lé. 
MRK.3.26	Ke nè á Sú ɔse nang in dɔ se ra’n è kuwe ɓaa, è kaya ra’n loo joo, tɔgmong le’n à aw mbɔr lé a, gir’n à gang ɗás a tɔ. 
MRK.3.27	Doo karé à kin se dè ra’n kaw kêm kei le njétɔg ndur nyange le’n lé. Maje kade uwe’n tɔ’n njanm-njanm kété ɓita à inge loo kɔi nyange le’n kei ráw-ráw ɓai. 
MRK.3.28	Kerɔte kuwe, man m’ede sei ndàt, kaiyage malang ke dooge rai se tàge ke majelé ke dooge tami dɔ-dɔ se Nube nga, Nube à ade kêm’n à tin mbit dè’t ɓai. 
MRK.3.29	Nè nanan ke nede Ndil-Kêmnda nga, Nube à ade kêm’n à tin mbit dè’t ndan lé sár se non.
MRK.3.30	Jésu tam tà titeke bè se njékɔrgir gute-nduge tede tam ke tami edi nè: «Jésu nga ngar le ndilge ke majelé tò kêmn’t.»
MRK.3.31	Kon Jésu se ngakonnge ke ndêin reei ndai nata, ulei kule ɓari nin. 
MRK.3.32	Doobulege njin nan ra Jésu’t njàng-njàng. Doo karé ree ede Jésu ede nè:
MRK.3.32	– An, koin se ngakoinge ndai nata non à deji nin.
MRK.3.33	Jésu deje de ede nè:
MRK.3.33	– Ké dooge ke bain á ei konmge se ngakonmge wa?
MRK.3.34	E unn kum’n an njé ke ndii gan-in dè’n wàk ɗêrêr-ɗêrêr ɓaa, ede de ede nè:
MRK.3.34	– An-in konmge se ngakonmge á ndii nè. 
MRK.3.35	Nanan ke ra nyan ke kêm Nube ndige ɓaa, è nè nga è ngokon’m, se kon nann’m a tɔ.
MRK.4.1	Jésu tel unn gir ndó dooge nyan tà ba’t. Kosdoo-bulege ngain njin nan rann’t njàng-njàng. E al ndi kêm ngonn bato’t. Kosdoo-bulege malang ndii nang rip-rip ngang ba’t. 
MRK.4.2	E unn sertàge ndó’n de nyan ngain. Loo ke è ndi à ndó de nyange ɓaa, è ede de ede nè:
MRK.4.3	– Uri mbi si maje ooi tà nè. Njèkunde ko tee aw le kunde ko. 
MRK.4.4	Loo ke è ndà à unde ko ɓaa, njar ko ke nange tée toso nang ka-rebe’t ade helge reei kotoi on-in kɔke. 
