GEN.1.1	Mula-mula Tuhan Allah bekin langit deng bumi.
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Ahas barana sang Heskia,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Heskia barana sang Manase,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Manase barana sang Amos,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Amos barana sang Yosias,
MAT.1.6+MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Yosias barana sang Yekonya deng dia pung adi dong waktu dong kaná buang pi Babel.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Waktu dong kaná buang pi Babel sampe di Yesus, ada 14 turunan lai, andia:
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Yekonya barana sang Saltiel,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Saltiel barana sang Serubabel,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Serubabel barana sang Abihut,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Abihut barana sang Elyakim,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Elyakim barana sang Asor,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Asor barana sang Sadok,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Sadok barana sang Akim,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Akim barana sang Eliut,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eliut barana sang Eliasar,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Eliasar barana sang Matan,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Matan barana sang Yakob,
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	ais Yakob barana sang Yusuf.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Yusuf tu, kawin deng Maria. Maria tu, yang barana sang Yesus Kristus.
MAT.1.17	Jadi mulai dari Abraham sampe Daud ada 14 turunan; dari Daud sampe dong kaná buang pi Babel ada 14 turunan; deng dari waktu kaná buang pi Babel sampe barana sang Kristus, ada 14 turunan.
MAT.1.18	Maria barana sang Yesus tu, dia pung carita bagini:
MAT.1.18	Maria su batunangan deng Yusuf. Dong dua balóm parná tidor bakumpul sama ke laki-bini, ma tau-tau te, Maria su dudu parú dari Tuhan Allah pung Roh yang Barisi.
MAT.1.19	Waktu Yusuf dapa tau bagitu ju, dia mau bekin putus dong dua pung hubungan. Ma dia sonde mau bekin malu sang Maria di muka orang banya, tagal dia pung hati barisi. Andia ko dia mau bekin putus deng diam-diam sa.
MAT.1.20	Ais, waktu dia masi bapikir pi-datang, satu malam ju, dia mimpi. Dalam itu mimpi, dia dapa lia Tuhan Allah pung ana bua dari sorga datang kasi tau sang dia bilang, “We, Yusuf! Lu ni, raja Daud pung turunan. Lu jang ragu kawin ame sang Maria. Te itu Ana yang ada dalam dia pung parú tu, itu Tuhan pung Roh yang bekin. 
MAT.1.21	Nanti Maria barana satu ana laki-laki. Ais lu musti kasi nama sang dia, 
MAT.1.22	Ini hal nanti jadi bagitu, tagal Tuhan Allah su kasi tau memang dari dolu. Dia parná pake Dia pung jubir Yesaya ko tulis bilang,
MAT.1.23	“Bosong dengar, ó! Nanti ada satu nona yang masi parawan,
MAT.1.23	tau-tau te dia su dudu parú.
MAT.1.23	Ais dia barana satu Ana laki-laki.
MAT.1.23	Dong ju kasi nama sang Dia, 
MAT.1.23	(Dalam bahasa Ibrani, ‘Imanuel’ pung arti:
MAT.1.23	Tuhan Allah ada sama-sama deng kotong.)
MAT.1.24	Yusuf mimpi abis, ju dia bangun. Tarús dia iko memang Tuhan Allah pung pasán tu. Dia ame sang Maria jadi dia pung bini, 
MAT.1.25	ma dia sonde tidor bakumpul sama ke laki-bini sampe Maria su barana abis itu Ana. Barana abis ju, Yusuf kasi nama itu Ana, 
MAT.2.1	Waktu Yesus lahir di kampong Betlehem di propinsi Yudea, raja Herodes ada pegang parenta. Itu waktu, ada barapa orang datang di kota Yerusalem dari tampa jao di sablá matahari nae. Dong tu, orang yang pintar lia bintang. 
MAT.2.2	Waktu dong sampe di Yerusalem, dong batanya pi-datang bilang, “Orang Yahudi pung raja yang baru lahir tu, ada di mana, é? Botong su dapa lia satu bintang di sablá matahari nae, yang kasi tanda bilang, Dia su lahir. Andia ko botong datang ko mau sémba sang Dia.” 
MAT.2.3	Waktu raja Herodes dengar dong pung omong bagitu, ju dia pung hati tar enak. Andia ko samua orang di Yerusalem dong ju rasa bagitu.
MAT.2.4	Ais ju raja Herodes kumpul ame kapala agama Yahudi pung bos-bos deng guru agama dong samua, ko dia tanya sang dong bilang, “Coba bosong kasi tau sang beta dolo! Itu Kristus, yang Tuhan Allah su janji memang tu, Dia mau lahir di mana, é?”
MAT.2.5	Ju dong manyao bilang, “Bapa raja. Dia lahir di kampong Betlehem, di propinsi Yudea. Te Tuhan pung jubir Mika su tulis memang dari dolu bagini:
MAT.2.6	‘We, bosong orang Betlehem, di propinsi Yudea sana.
MAT.2.6	Bosong jang kira, bosong pung kampong tu,
MAT.2.6	cuma satu kampong kici yang sonde ada pung arti.
MAT.2.6	Te nanti ada satu orang bésar yang datang dari sana.
MAT.2.6	Nanti Dia jadi gambala kasi Beta pung orang Israꞌel dong.’ ”
MAT.2.7	Dengar abis bagitu ju, raja Herodes pange diam-diam itu orang yang pintar lia bintang dong. Ju dia tanya sang dong bilang, “Kapan bosong dapa lia itu bintang muncul di langit?” Ju dong kasi tau sang dia. 
MAT.2.8	Ais Dia kirim sang dong pi Betlehem. Dia kasi tau bilang, “Bosong pi ko cari kuliling itu Ana di sana. Kalo bosong su katumu sang Dia, na, bale datang ko kasi tau sang beta. Te beta ju mau pi sémba sang Dia.” 
MAT.2.9	Dengar abis raja pung omong, ju dong pi. Tau-tau te, dong dapa lia lai itu bintang yang dolu dong su parná lia di sablá matahari nae tu. Itu bintang muncul di dong pung muka, ais dia jalan sampe barenti pas di atas itu Ana pung tampa tenga.
MAT.2.10	Lia bagitu ju, dong sanáng mau mati. 
MAT.2.11	Ais dong maso pi dalam itu ruma, ju dong dapa lia itu Ana deng Dia pung mama Maria. Ju dong tikam lutut ko sémba sang Dia. Ais dong buka dong pung bungkusan hadia barang-barang mahal, ko kasi pi itu Ana. Dong kasi mas, kamanyán, deng dara kayu wangi.
MAT.2.12	Sonde lama, ju dong dapa mimpi dari Tuhan Allah bilang, “Bosong jang kambali pi raja Herodes lai.” Andia ko dong pulang pi dong pung negrí iko jalan laen.
MAT.2.13	Waktu itu orang yang pintar lia bintang dong pulang, ju Tuhan pung ana bua satu dari sorga datang kasi tau sang Yusuf dalam mimpi bilang, “Usu! Bangun capát su! Angka bawa lari itu Ana deng Dia pung mama pi negrí Masir sana. Tenga tarús di situ sampe Beta kasi tau kapan bosong bole pulang, te raja Herodes ada cari ko mau bunu itu Ana!”
MAT.2.14	Ais Yusuf bangun. Ju dia bawa ame dia pung bini deng itu Ana malam-malam, ko dong lari pi negrí Masir. 
MAT.2.15	Dong tenga di sana sampe Herodes mati. Deng bagitu Tuhan Allah pung omong jadi, sama ke Dia pung jubir Hosea su kasi tau memang dari dolu bilang,
MAT.2.15	“Beta pange pulang Beta pung Ana, ko kaluar dari Masir.”
MAT.2.16	Waktu raja Herodes dapa tau bilang, itu orang yang pintar lia bintang dong su pakaneꞌo sang dia, ju dia jadi mara mau mati. Dia parenta dia pung tantara dong bilang, “Pi di kampong Betlehem deng kampong-kampong yang badeka di situ. Bunu bekin mati samua ana laki-laki kici dong, yang umur dua taon pi bawa.” Herodes parenta bagitu, tagal dia inga itu orang pintar dong pung carita. Dia itong mulai dari partama kali dong lia itu bintang muncul di langit.
MAT.2.17	Ini hal samua jadi, iko apa yang Tuhan Allah pung jubir Yeremia su tulis memang dari dolu bilang,
MAT.2.18	“Ada suara orang manangis maskakeduk di kota Rama.
MAT.2.18	Rahel ada manangis makarereu,
MAT.2.18	tagal dia pung ana dong su mati abis.
MAT.2.18	Dia sonde mau orang datang kokoe sang dia,
MAT.2.18	tagal dia pung ana dong su sonde ada lai.”
MAT.2.19	Lama-lama ju raja Herodes mati. Itu waktu Yusuf dong masi ada di Masir. Ju Tuhan Allah pung ana bua satu dari sorga, datang kasi tunju rupa sang dia dalam mimpi. 
MAT.2.20	Itu ana bua bilang, “Usu! Bangun su! Angka bawa pulang itu Ana deng dia pung mama, ko pi Israꞌel su. Te orang yang mau bunu itu Ana su mati.” 
MAT.2.21	Dengar bagitu ju Yusuf bangun. Ais dia bawa pulang sang dong pi negrí Israꞌel.
MAT.2.22	Ma waktu dia dapa dengar bilang, raja Herodes pung ana Arkalaus sakarang ada pegang parenta di propinsi Yudea, ju dia taku pulang pi situ. Ais Tuhan Allah parenta sang dia dalam satu mimpi lai bilang, “Yusuf, lu jang tenga di Yudea.” Andia ko dia pi tenga di propinsi Galilea, 
MAT.2.23	di satu kampong nama Nasaret. Deng bagitu, Tuhan Allah pung omong tu, su jadi parsís, iko apa yang Dia pung jubir su tulis memang bilang, “Nanti dong pange sang Dia, Orang Nasaret.”
MAT.3.1	Waktu Yesus su bésar, ju Yohanis Tukang Sarani mulai ajar orang di tampa sunyi, di propinsi Yudea. 
MAT.3.2	Dia kasi tau bilang, “Sodara sayang dong! Bosong musti mangaku deng kasi tenga bosong pung sala-sala, ko kambali pi Tuhan Allah su. Te sakarang, samua orang su bisa maso jadi Tuhan Allah pung orang.”
MAT.3.3	Dolu Tuhan Allah pung jubir satu, nama Yesaya su tulis soꞌal Yohanis bilang,
MAT.3.3	“Nanti ada orang yang batarea di tampa sunyi bilang,
MAT.3.3	‘Samua orang siap-siap bekin bae jalan,
MAT.3.3	ko sambut Tuhan Allah pung datang!
MAT.3.3	Bekin lurus jalan kasi sang Dia!’ ”
MAT.3.4	Yohanis ni pung cara idop sama ke Tuhan pung jubir dolu-dolu dong. Dia pung pakean, bekin dari binatang onta pung bulu. Dia pung ika pinggang, bekin dari binatang pung kulit. Dia pung makanan, kalamak deng madu utan.
MAT.3.5	Itu waktu orang banya datang ko mau katumu deng Yohanis. Dong datang dari kota Yerusalem, deng dari anteru propinsi Yudea. Dong ju datang dari kampong-kampong yang badeka deng kali Yarden. 
MAT.3.6	Dong buka hati deng mangaku dong pung sala-sala samua, ais ju Yohanis sarani sang dong di kali Yarden.
MAT.3.7	Itu waktu, orang-orang dari partei agama Farisi deng partei agama Saduki ju datang ko minta Yohanis sarani sang dong. Ma waktu dia lia sang dong, ju dia masparak bilang, “Heh! Bosong ni sama ke ular yang tukang putar-balek! Tuhan Allah nanti hukum sang bosong tagal bosong pung bekin-bekin yang jahat dong. Weh! Jang kira bosong bisa lari kaluar dari Dia pung hukuman.
MAT.3.8	Jadi lebe bae bosong kambali pi Tuhan Allah, deng kasi tenga bosong pung sala-sala dong samua. Ais itu, bekin hal-hal yang bae, sama ke pohon yang kasi kaluar bua yang bae. 
MAT.3.9	Jang kira kata bosong su aman, tagal bosong ni baꞌi Abraham pung turunan. Parcaya sang beta! Te Tuhan Allah bisa bekin ini batu dong jadi baꞌi Abraham pung turunan.
MAT.3.10	Awas, é! Te ada Orang yang pegang kapak ko siap-siap mau potong samua pohon yang pung bua sonde bae. Potong ais, Dia lempar buang pi dalam api.
MAT.3.11	Sakarang beta sarani sang bosong pake aer, ko jadi tanda bilang, bosong su bale balakang kasi tenga bosong pung sala-sala dong. Ma nanti satu Orang yang lebe hebat dari beta mau datang. Biar cuma jadi Dia pung tukang suru-suru sa ju, beta sonde pantas. Nanti Dia bekin ponu bosong pung hati deng Tuhan pung Roh yang Barisi. Dia ju bekin bosong jadi barisi, sama ke orang pake api ko bakar buang kotoran.
MAT.3.12	Te Dia su pegang nyiru yang ada isi barás, ko mau tapis buang dia pung uuk. Ais Dia kasi maso itu barás pi dalam sokal. Ma itu uuk dong, Dia lempar buang pi dalam api yang manyala sonde tau abis-abis.”
MAT.3.13	Itu waktu, Yesus turun datang dari Galilea pi kali Yarden. Dia datang minta Yohanis sarani sang Dia, 
MAT.3.14	ma Yohanis sonde mau. Dia protes bilang, “Karmana ko beta musti sarani sang Bos? Sonde tabale ni, ko? Bos ni yang musti sarani sang beta. Te itu yang beta parlú na!”
MAT.3.15	Ma Yesus manyao bilang, “Aman sa. Ma buat sakarang, biar bu yang sarani sang Beta sa. Deng bagitu kotong iko Tuhan Allah pung mau.”
MAT.3.15	Dengar bagitu ju Yohanis manyao bilang, “Dari-dari sa.” Ju dia sarani sang Yesus.
MAT.3.16	Sarani abis, ju Yesus kaluar dari kali. Ma takuju sa, ju langit tabuka. Ais Dia dapa lia Tuhan Allah pung Roh turun datang pi sang Dia, sama ke burung pompa datang hinggap di Dia. 
MAT.3.17	Ais dong dapa dengar Tuhan Allah pung suara dari langit bilang,
MAT.3.17	“Ini Dia, Beta pung Ana sayang.
MAT.3.17	Dia salalu bekin sanáng sang Beta.”
MAT.4.1	Ais itu, Tuhan Allah pung Roh antar bawa sang Yesus pi tampa sunyi, ko biar setan dong pung bos bésar goda sang Dia.
MAT.4.2	Ju Dia puasa 40 siang 40 malam di situ. Ais itu ju, Dia lapar mati pung. 
MAT.4.3	Waktu Dia su lapar bagitu, ju setan dong pung bos bésar datang goda sang Dia bilang, “Lu ni, batúl-batúl Tuhan Allah pung Ana, ko? Kalo batúl, na, parenta ini batu dong ko jadi makanan su.”
MAT.4.4	Ma Yesus manyao bilang, “Ada tatulis dalam Tuhan Allah pung Tulisan Barisi bilang:
MAT.4.4	‘Manusia sonde idop dari makanan sa.
MAT.4.4	Ma dong ju musti dengar Tuhan Allah pung Kata-kata,
MAT.4.4	deng bekin iko Dia pung mau.’ ”
MAT.4.5	Tarús, itu setan bawa sang Yesus pi kota Yerusalem, andia Tuhan pung kota barisi. Ais dia bawa nae sang Yesus pi atas Ruma Sambayang Pusat pung tampa yang paling tinggi. 
MAT.4.6	Ju itu setan bilang, “Kalo Lu memang batúl-batúl Tuhan Allah pung Ana, na, coba Lu malompa turun pi bawa su. Te ada tatulis di Tuhan Allah pung Tulisan Barisi bilang,
MAT.4.6	‘Nanti Tuhan Allah parenta Dia pung ana bua dari sorga dong,
MAT.4.6	ko jaga sang Lu.’
MAT.4.6	Di Tuhan Allah pung Tulisan Barisi ju ada tulis bilang,
MAT.4.6	‘Nanti dong tada ame Lu deng dong pung tangan,
MAT.4.6	ko biar Lu pung badan sonde saki, deng Lu sonde sonto batu ju.’ ”
MAT.4.7	Ma Yesus manyao bilang, “Ada tatulis ju dalam Tuhan Allah pung Tulisan Barisi bilang,
MAT.4.7	‘Tuhan Allah tu, yang hak parenta sang lu.
MAT.4.7	Andia ko lu jang coba sang Dia.’ ”
MAT.4.8	Tarús, itu setan bawa sang Yesus pi atas satu gunung yang talalu tinggi. Ju dia kasi tunju samua negrí di dunya, deng dong pung hebat samua. 
MAT.4.9	Kasi tunju abis itu samua, ju itu setan kasi tau bilang, “Asal Lu tikam lutut ko sémba sang beta, nanti beta kasi itu samua-samua pi di Lu.”
MAT.4.10	Ma Yesus masparak bilang, “Heh, setan! Lu iskarobis dari sini su! Te Tuhan Allah pung Tulisan Barisi ada bilang,
MAT.4.10	‘Lu musti sémba sang Tuhan Allah,
MAT.4.10	deng lu musti karjá kasi sang Dia sa.’ ”
MAT.4.11	Dengar bagitu, ju itu setan angka kaki kasi tenga sang Yesus. Ju Tuhan Allah pung ana bua dari sorga dong datang ko urus sang Dia.
MAT.4.12	Itu waktu, raja Herodes kasi maso Yohanis Tukang Sarani dalam bui. Waktu Yesus dapa dengar bagitu, ju Dia pulang pi Galilea.
MAT.4.13	Dia pi Dia pung kampong Nasaret, ais Dia jalan tarús ko pi tenga di kampong Kapernaum. Itu kampong ada di dano Galilea pung pinggir, di Sebulon deng Naftali pung tana.
MAT.4.14	Deng bagitu, Dia bekin iko apa yang Tuhan Allah pung jubir Yesaya su tulis memang bilang,
MAT.4.15	“Di Sebulon pung tana, deng Naftali pung tana,
MAT.4.15	yang deka di dano Galilea, di kali Yarden pung sablá,
MAT.4.15	orang yang bukan orang Yahudi ada tenga di situ ju.
MAT.4.16	Dong ada idop dalam galáp,
MAT.4.16	ma sakarang dong su dapa lia Taráng.
MAT.4.16	Te Taráng su basinar
MAT.4.16	kasi samua orang yang balóm kanál sang Tuhan Allah.”
MAT.4.17	Mulai dari itu waktu, ju Yesus mulai ajar orang bilang, “Bosong musti bale balakang deng kasi tenga bosong pung sala-sala dong, ko idop barisi su! Te sakarang samua orang su bisa maso jadi Tuhan Allah pung orang.”
MAT.4.18	Satu hari, Yesus ada jalan iko dano Galilea pung pinggir. Dia nae katumu dua orang adi-kaka. Yang satu nama Simon, ma orang biasa pange sang dia, Petrus. Deng dia pung adi nama Anderias. Dong ada jala ikan di dano, tagal dong dua tu, nalayan. 
MAT.4.19	Ju Yesus pange sang dong bilang, “We, mari ko iko sang Beta su! Bosong biasa cari ikan, ma sakarang Beta mau ajar sang bosong, ko bosong jadi tukang cari jiwa.” 
MAT.4.20	Dengar abis bagitu, ju dong dua kasi tenga dong pung jala, ko iko memang sang Yesus.
MAT.4.21	Ais itu, Yesus dong jalan tarús sadiki lai, ju Dia dapa lia Sabadeus pung ana. Yang kaka pung nama Yakobis, deng dia pung adi nama Yohanis. Dong dua ada ator bekin bae pukat dalam parahu sama-sama deng dong pung bapa. Ju Yesus pange sang dong dua ko iko sang Dia. 
MAT.4.22	Dengar bagitu, ju dong jalan kasi tenga dong pung bapa deng dong pung parahu, ko dong iko memang sang Dia.
MAT.4.23	Ais itu, Yesus dong bajalan kuliling propinsi Galilea, ko Dia ajar di orang Yahudi pung ruma sambayang dong. Dia ajar soꞌal Tuhan Allah pung Kabar Bae, deng kasi tau cara karmana ko orang bisa iko Tuhan Allah pung parenta. Dia ju bekin bae samua orang dari dong pung panyaki macam-macam.
MAT.4.24	Sonde lama, ju kabar soꞌal Yesus tu, tasiar kuliling sampe di anteru propinsi Siria. Ais ju orang bawa datang dong pung orang saki macam-macam pi sang Dia. Dong ju bawa orang yang takaná setan, yang gila kambing, deng yang lumpu. Ju Dia bekin bae dong samua. 
MAT.4.25	Itu waktu, orang bam-banya datang iko sang Dia. Dong datang dari propinsi Galilea, deng dari daꞌera Sapulu Kota, yang dong subu bilang, 
MAT.5.1	Waktu Yesus dapa lia orang bam-banya datang iko sang Dia, ju Dia nae pi satu gunung kici, ko dudu di situ. Dia pung ana bua dong yang Dia su pili tu, datang deka-deka ko dengar sang Dia. 
MAT.5.2	Ais Dia mulai ajar sang dong bilang,
MAT.5.3	“Orang kasian yang rasa parlú sang Tuhan dong ontong,
MAT.5.3	tagal Tuhan Allah sandiri, dong pung Raja yang bae.
MAT.5.4	Orang yang rasa dukacita dong ontong,
MAT.5.4	tagal Tuhan Allah sandiri yang kokoe sang dong.
MAT.5.5	Orang kici dong ontong,
MAT.5.5	tagal nanti dong tarima samua berkat yang Tuhan Allah su janji.
MAT.5.6	Orang yang talalu rindu sang Tuhan Allah pung jalan lurus dong, ontong,
MAT.5.6	tagal nanti Dia bekin puas sang dong.
MAT.5.7	Orang yang kasi tunju rasa kasian dong ontong,
MAT.5.7	tagal nanti Tuhan Allah ju jato kasian sang dong.
MAT.5.8	Orang yang pung hati barisi dong ontong,
MAT.5.8	tagal nanti dong sandiri dapa lia Tuhan Allah.
MAT.5.9	Orang yang tukang bekin dame dong ontong,
MAT.5.9	tagal nanti Tuhan Allah bilang, ‘Dong tu, Beta pung ana.’
MAT.5.10	Orang yang kaná siksa tagal iko sang Tuhan Allah dong ontong,
MAT.5.10	tagal Tuhan sandiri tu, dong pung Raja yang bae.
MAT.5.11	Kalo orang laen bekin sangsara sang bosong tagal bosong iko sang Beta, bosong ju ontong. Kalo dong omong jahat sang bosong, deng bacarita putar-balek bekin busuk bosong pung nama, bosong ju ontong.
MAT.5.12	Biar bagitu, ma bosong musti bekin diri sanáng deng hati babunga sa, tagal Tuhan Allah su sadia balas kasi bosong pung bagian, satu malꞌunuk di sorga. Ma inga, é! Bukan cuma bosong sa yang dapa sangsara bagitu, te dolu-dolu orang dong ju bekin jahat bagitu sang Tuhan Allah pung jubir dong.”
MAT.5.13	“Kalo kotong mau bekin enak makanan, na, kotong parlú taro garam dolo. Bagitu ju orang yang idop di ini dunya, dong parlú sang bosong. Ma kalo garam su jadi tawar, na, dia pung guna apa? Cuma angka buang di jalan ko kaná inja sa.
MAT.5.14	Bosong ju musti idop sama ke lampu, ko biar orang banya dapa lia deng bae-bae. Bosong musti manyala taráng-taráng, sama ke kota yang ada di atas gunung, yang samua orang dapa lia.
MAT.5.15	Orang yang kasi manyala lampu teꞌoek, sonde kasi maso itu lampu pi dalam pareu tana. Ma dong taro itu lampu di tampa tinggi, ko bisa bekin taráng ruma pung isi samua.
MAT.5.16	Bosong ju musti idop bagitu. Bosong musti bacaya, ko biar orang laen dong dapa lia bosong pung idop yang bae. Deng lia bagitu nanti dong puji sang Tuhan Allah bilang, ‘Awii! Bosong pung Bapa di sorga tu, talalu hebat, ó!’ ”
MAT.5.17	“Bosong jang pikir kata, Beta datang di ini dunya, ko mau hapus buang Tuhan Allah pung atoran yang Dia kasi sang baꞌi Musa. Deng jang kira Beta sonde toe deng apa yang Tuhan Allah pung jubir dong su omong memang dari dolu. Te Beta datang ni, mau bekin samua jadi parsís sama ke samua hal yang dong su omong memang. 
MAT.5.18	Tagal itu, dengar bae-bae, é! Langit deng bumi balóm bisa ancor buang, kalo samua balóm jadi, iko Tuhan Allah pung atoran dong. Biar satu titi ko koma ju, sonde ada yang bisa tahapus buang.
MAT.5.19	Dari Tuhan pung orang dong samua, kalo ada yang langgar Tuhan pung atoran, tagal dia pikir bilang, ‘Hee! Ini atoran ni, kici sa, sonde ada pung guna apa-apa!’ Ais dia ajar bagitu kasi orang laen, nanti Tuhan Allah di sorga bekin dia jadi orang kici sa. Ma orang yang bekin iko Tuhan Allah pung atoran samua, ais dia ajar bagitu kasi orang laen, nanti Tuhan Allah bekin dia jadi orang yang ada pung guna. 
MAT.5.20	Parcaya sang Beta! Kalo bosong sonde idop lurus lebe bae dari itu guru agama deng orang partei Farisi dong, na, bosong sonde bisa maso jadi Tuhan Allah pung orang.”
MAT.5.21	“Bosong su tau baꞌi Musa pung atoran yang dia kasi tau memang sang kotong pung nene-moyang bilang, ‘Jang bunu orang, te sapa yang bunu orang, nanti dia kaná hukum.’
MAT.5.22	Ma Beta mau kasi tau bagini: jang bamara, te sapa yang mara sang dia pung sodara, nanti dia kaná hukum. Orang yang maruak sang dia pung sodara bilang, ‘Lu otak kea!’ nanti itu orang musti mangada di muka tua-tua agama dong. Deng orang yang masparak sang dia pung sodara bilang, ‘Bodo, é!’, nanti dia kaná hukum di api naraka.
MAT.5.23	Jadi, kalo lu ada bawa persembahan kasi sang Tuhan Allah, ma lu inga bilang, ada sodara yang masi mara sang lu, 
MAT.5.24	na, jang taro itu persembahan dolo. Lu pi badame deng lu pung sodara dolo, ais itu baru lu pi taro itu persembahan kasi sang Tuhan Allah.
MAT.5.25	Kalo ada orang yang mau bekin parkara deng lu, na, lebe bae lu pi urus dame capát-capát deng dia dolo. Kalo sonde, nanti itu orang hela bawa sang lu pi mangada di hakim. Ais hakim sarakan sang lu pi di polisi, ju dong sese maso sang lu pi dalam bui. 
MAT.5.26	Beta omong batúl ni! Nanti lu tenga tarús dalam bui sampe bayar abis lu pung utang samua.”
MAT.5.27	“Bosong su tau baꞌi Musa pung atoran yang bilang, ‘Jang maen serong.’
MAT.5.28	Ma Beta mau kasi tau bagini: orang yang angka mata ko lia satu parampuan, ais dia pung hati kapingin tidor bakumpul deng dia, na, itu laki-laki su maen serong deng itu parampuan dalam dia pung hati. 
MAT.5.29	Kalo lu bekin sala pake lu pung mata kanan, na, doꞌi buang sang dia sa. Te lebe bae lu maso pi dalam sorga deng lu pung mata satu sa, ko biar dong jang lempar buang sang lu pi api naraka deng lu pung mata biji dua-dua.
MAT.5.30	Deng kalo lu bekin sala pake lu pung tangan kanan, na, potong buang itu tangan sa. Te lebe bae lu maso pi dalam sorga deng lu pung tangan sablá sa, ko biar dong jang lempar buang sang lu pi api naraka deng lu pung tangan dua-dua.”
MAT.5.31	“Bosong su tau baꞌi Musa pung atoran bilang, ‘Orang yang cere buang dia pung bini, na, dia musti kasi surat cere sang itu parampuan.’
MAT.5.32	Ma Beta kasi tau bagini: kalo ada orang yang cere buang dia pung bini, padahal dia pung bini sonde parná maen serong, ais, itu parampuan kawin ulang, na, itu sama deng dia pung laki partama bekin dia barsina. Deng kalo ada laki-laki yang kawin ame sang satu parampuan yang parná kaná cere buang, na, dong dua su barsina ju.”
MAT.5.33	“Bosong su tau baꞌi Musa pung atoran yang dia kasi tau sang kotong pung nene-moyang dong bilang, ‘Kalo lu angka janji pake sumpa deng Tuhan Allah pung nama, na, lu su taꞌika deng itu janji.’
MAT.5.34	Ma Beta kasi tau bagini: kalo lu angka janji, na, jang pake sumpa. Jang sumpa pake sorga pung nama, tagal sorga tu, Tuhan Allah pung tampa tenga.
MAT.5.35	Jang sumpa pake bumi pung nama, tagal bumi tu Tuhan Allah pung alas kaki. Deng jang sumpa pake Yerusalem pung nama, tagal Yerusalem tu, Raja Bésar pung kota.
MAT.5.36	Jang sumpa deng bosong pung kapala. Te bosong sonde ada pung kuasa ko parenta rambu satu daon ko jadi itam ko puti. 
MAT.5.37	Jadi kalo bosong mau angka janji bilang, ‘hoo’, na, kasi tau bilang, ‘hoo’ sa. Ma kalo sonde, na, bilang ‘sonde’ sa. Kalo bosong bilang lebe dari itu, na, itu su baꞌakar dari setan.”
MAT.5.38	“Bosong su tau baꞌi Musa pung atoran bilang, ‘Kalo ada orang bekin rusak lu pung mata, na, balas bekin rusak dia pung mata. Deng kalo ada orang bekin rubu lu pung gigi, na, balas bekin rubu dia pung gigi ju.’
MAT.5.39	Ma Beta kasi tau bagini: jang balas jahat deng jahat. Kalo orang tampeleng lu pung pipi sablá, na, kasi tenga ko dia tampeleng pipi yang laen lai. 
MAT.5.40	Kalo ada orang yang mau bekin parkara deng lu, ko mau ame lu pung baju, na, kasi pi lu pung baju panas lai. 
MAT.5.41	Kalo ada tantara satu paksa sang lu, ko jalan pikol bawa dia pung barang satu kilometer, na, pikol bawa tarús sampe dua kilometer. 
MAT.5.42	Kalo ada orang minta lu pung barang apa, na, kasi pi sa. Deng kalo ada orang yang mau pinjam lu pung barang apa, na, kasi pi sa.”
MAT.5.43	“Bosong su dengar orang bilang, ‘Sayang sang lu pung sodara, deng binci orang yang binci sang lu.’
MAT.5.44	Ma Beta kasi tau bagini: lu musti sayang sang orang yang binci sang lu. Deng minta ko Tuhan kasi berkat sang orang yang bekin sangsara sang lu. 
MAT.5.45	Kalo lu bekin bagitu, na, lu kasi tunju bilang, lu ni Bapa di sorga pung ana. Tagal Dia bekin matahari basinar kasi orang bae, deng Dia ju bekin matahari basinar kasi orang jahat. Dia ju kasi turun ujan kasi orang yang bekin iko Dia pung parenta sama-sama deng orang yang malawan Dia pung parenta. 
MAT.5.46	Jadi, kalo lu cuma sayang sang orang yang sayang sang lu, na, lu kira Tuhan Allah musti balas deng berkat kasi sang lu, ko? Sonde! Te orang jahat ju sayang dong pung tamán yang sayang sang dong. 
