GEN.1.1	Ese agafare Anumzamo monane mopane trohu'ne. 
GEN.24.50	Anage hige'ne Labanike, Betuelike ana kemofo nona'a asmina'e, Ra Anumzamo amanahu'zana higu, tagra mago'a havigeo tamageo osugahu'e hu'na'e. 
GEN.24.51	Rebeka ama kavuga mani'neanki, Ra Anumzamo ke hiaza hunka avrenka vugeno, ozafa kamofo ne'mofo nenaro'za hino. 
GEN.24.52	Abrahamu eri'za ne'mo nentahino, kepri huno mopafi rena reno Ra Anumzamofo muse hunte'ne. 
GEN.24.53	Abrahamu eri'za ne'mo avasese hu'zana silvare'ene, golire tro hu'naza zane, kukenane Rebeka nemino, anazanke huno mago'a knare'nare zantmina zgo'amo mreri'nea zana nesarone, nererane znami'ne. 
GEN.24.54	Zamiteno ana eri'za ne'ene agrane e'naza naga ene kave'ene tinena nete'za mase'naze. Ko'atige'za o'neti'za nanterampi amanage huno zamasmi'ne, Hunantenke'na ozafa'nimo nehirega va'neno hu'ne. 
GEN.24.55	Hianagi, nempu'amo'ene nerera'kea anage hu'na'e, A'o atrenkeno mago'agna maniteno, 10ni'agna azana agaterete'na, avre tma vugahaze. 
GEN.24.56	Anage nehakeno, a'o nazeri rentrako osi'o. Ra Anumzamo naza nehigeno eri'za nami'nemo knare hu'negu, hunantenke'na ete ozafanimo nehirega va'neno hige'ne, 
GEN.24.57	ana mofa'mofo avesi antahigeta kesu'e nehu'ne, 
GEN.24.58	Anante Rebeka ke hakeno ege'ne antahige'na'e, Kagra ama ne'enena vugahano? Ana mofa'mo huno, ozo vugahu'e hu'ne. 
GEN.24.59	Anantera zamagra nezmasaro Rebekana huntageno vu'ne, kegvama hunentea a'ene, Abrahamu eri'za ne'ene, agrane e'naza naga'ene ana maka vu'naze. 
GEN.24.60	Rebekana asomu ke hunente'za amanage hu'naze, Kagra, tagri nersaroga, Kagripinti tusi'a vahe krerfa fore hugahaze. Hagi kagri kagehe'za zamesi ozmantesaza vahe'mokizmi rankumazmi zamahe'za hanregahaze. 
GEN.24.61	Rebeka'ene, mago'a agri eri'za a'nene oti'za kemori agumpi mreri'za, ana ne'mofo amage vu'naze. Higeno Abrahamu eri'za ne'mo Rebekana avreno vu'ne.
GEN.24.62	Aisaki'a Ber-lahai-roiti eno, Negev agra emani'ne. 
GEN.24.63	Aisaki'a mago kinaga vuno hofage kopi umani'neno agesa antahi antahi nehuno kesga huno keana, kemori'zga neageno ke'ne. 
GEN.24.64	Rebeka'a kesga huno Aisakina negeno kemori agumpinti erami'ne. 
GEN.24.65	Eri'za ne'ku amanage hu'ne, aza amanu nera tavrenakura ne-e? Higeno eri'za ne'mo huno e'i nagri ozafe higeno. Anante Rebeka tavrave erino avugosa refite'ne.
GEN.24.66	Eri'za nemo Aisakina hakare zama hu'nea zana asmi vare'ne. 
GEN.24.67	Ana hutegeno Aisaki'a Rebekana avreno nerera Sera seri nompi ome antegeno nenaroza higeno, avesintene. Aisakina nerera'a fri'nere amena eme arentinti hu'ne.
GEN.25.1	Menina Abrahamu aru a' erine, agi'a Ketura'e. 
GEN.25.2	Ana a'mo kse zamante'nea naga'mokizmi zamagi'a Zimran, Joksan, Medan, Midian, Ispak, Suaki'e, huno zamante'ne. 
GEN.25.3	Joksani'a, Seba'ne, Dedani kizni neznafaza hu'ne. Hanki, Dedani mofavre nagara Asurimi'e, Letusimi'e, Leumimi'e. 
GEN.25.4	Hanki, Midiani mofavre zamagi'a Efa'ma, Eferi'ma, Hanoki'ma, Abita'ma, Elda'ma, Ana maka'mo'za Ketura agehe'za mani'naze. 
GEN.25.5	Menina, Abrahamu'a maka zama'a Aisaki ami'ne, 
GEN.25.6	ana hu'neanagi henka eri'nea a'nemokizmi mofavre nagara, Abrahamu ksefa mani'neno muse'za nezmino huzmantege'za, Aisaki atre'za afete'are zge hanati kaziga umani'naze.
GEN.25.7	Amai Abrahamu mika zgegfu hu'neana 175fu'a zgegfu hu'ne. 
GEN.25.8	Abrahamu ozafa'rfa reteno hakare'a zgegfu hu'neazanku muse nehuno, vgare asimu anteteno frino naga'ane umani'ne. 
GEN.25.9	Hanki agri mofavre Aisakike, Ismaelikea Abrahamu kerfa eri'nea Makapela havegampi ome asente'na'e. Hiti mopa Zohari nemofo Efroni ami'nefi Mamre kaziga avugosa huntene. 
GEN.25.10	Abrahamu, Hiti mofavremofo mopa miza hu'nea mopafi, nenaro Sera asente'nefi Abrahamuna ome asente'na'e. 
GEN.25.11	Hanki, Abrahamu fritegeno'a Anumzamo agri ne'mofavre'a Aisakina asomu huntegeno, Aisaki'a Ber-hai-roi mani'ne.
GEN.25.12	Hega Isipi a'mo Sera eri'za enerino Abrahamunteti, Ismaelina ksente'nea mofavremofo naga'mokizmi naneke. 
GEN.25.13	Ismaeli mofavre nagamofo zamagi'a ama'ne, Ismaeli mofavre fore'ma hu'nazare zamagi'a ante'ne, Ismaeli agonesa mofavre Nebaioti'e, Kedari'ki, Adbiliki, Mibsami'e. 
GEN.25.14	Misma'ma, Duma'ma, Masa'e, 
GEN.25.15	Hadadi'ki, Tema'ki, Jetuki, Nafisi'ma, Kedema'e. 
GEN.25.16	Amai Ismaeli ne'mofavre nagamofo zamagine, kuma'zmine, 12fu'a kva zamine, nofite nagate hu'za mani'naze. 
GEN.25.17	Ama maka Ismaeli mani'nea zgegfu'a 137ni'a zgegfu huteno, vgare asimu anteno frino, fri'naza naga'ane umani'ne. 
GEN.25.18	Hanki, Ismaeli agehe'za Havilati mani'za Suri uhanati'naze, zge hanati'tega Isipi tvaonte, Asiri'a kaziga vu kamofo, zamagonaru'za zamagraku arure umani'naze.
GEN.25.19	Abrahamu'a Aisaki nefa'e. Aisaki'pinti fore hu'naza naga'mokizmi naneke. 
GEN.25.20	Aisaki 40ti'a zgegfu huteno Rebekana Betueli mofa erine, Lebani'a Aramea nera, Mesopotamia mopareti ne'mofo nesaro erigeno, nenaro'za hu'ne. 
GEN.25.21	Aisaki'a Ra Anumzantega nenaro agi' erino nunmu hu'ne. Na'ankure Rebeka mofavre ontegeno, ana higeno Ra Anumzamo nunmuma'a antahi'migeno Rebeka amu'ene hu'ne. 
GEN.25.22	Hianagi tare mofavremo arimpafinti knime nerakeno, amazana na'a nehie nehuno Anumzamofo antahige'ne. 
GEN.25.23	Ra Anumzamo amanage huno asmi'ne,
GEN.25.23	tare kumamoke krimpafi mani'na'e,
GEN.25.23	hankino tare'mokea arure arure kvufga'finti vune ene hugaha'e,
GEN.25.23	mago'mo'a hanvetina, mago'mo'a hanve otigahie,
GEN.25.23	hanigeno ramo'a, osimofo katoza hugahie.
GEN.25.24	Mofavre ksente kna'ma egeno'a, tare kugaveza mofavre arimpafi mani'na'e. 
GEN.25.25	Kota mofavrema ksenteana koranke avufgane ante'ne, hakare avufgamo'a azokake hu'nege'za agi'a Isoe hu'za ante'naze. 
GEN.25.26	Hanki amefiga'a negna ksentegeno, Iso agiare azerino atiramigeno, agi'a Jekopu'e hu'za antemi'naze. Ana knarera Aisaki'a 60ti'a zgegfu hutegeno nenaro mofavre kse znante'ne.
GEN.25.27	Ana mofavre'moke nena hute'ne, Iso'a zgagfa hofa trampinti ahe ne' mani'negeno, Jekopu'a rimpa frune, kzone ne' seli nompi mani'ne. 
GEN.25.28	Aisaki'a Isona avesinte'ne, na'ankure agrama zgagfa aheno eme amigeno nenea zankure, hagi Rebeka'a Jekopu avesinte'ne.
GEN.25.29	Jekopu'a ne'za negregeno Iso'a trampinti agaku nehuno e'ne, 
GEN.25.30	Iso'a, Jekopu amanage huno asmi'ne, ame'ama hunka antu koranke migri (sup) ne'zana eri namige'na na'neno, na'ankure naganetege'na nehue, ana hu'negu agi'a Idomu'e. 
GEN.25.31	Higeno Jekopu amanage hu'ne, zge mofavremo eri asomura kota'zana nagri nmitegeno. 
GEN.25.32	Iso amanage hu'ne, Negano nagra friza nehue, zge mofavremofo asomumo'a na'a hunantegahie? 
GEN.25.33	Jekopu amanage huno asmine, kotazana huvempa hutegeno higeno, agra huvempa hunteno zge mofavremo eriga asomura Jekopu ami'ne. 
GEN.25.34	Jekopu'a bretine, lentol koheki huno amigeno neteno atreno vu'ne. Iso'a, agra'a asomukura antahi amneza se'ne.
GEN.26.1	Agatekna ko'ma Abrahamu knafi fore hu'neankna huno ana mopafina fore higeno, Aisaki'a Gerari kumate, Abimeleki, Filistia kini ne'tega vu'ne. 
GEN.26.2	Ra Anumzamo agrite fore humino amanage huno asmi'ne. Isipia ovuo, Nagrama kasmisua mopare manigahane. 
GEN.26.3	Ama mopafi mani'nege'na, Nagra, kagrane mani'ne'na asomu hunegantane'na, kagri ene kagehe'ine ama mopa mika neramina, Nagrama huvempa negfa Abrahamunku hunte'noa ke eri knare ha'neno. 
GEN.26.4	Nagra kagehe'ina zamazeri ra ha'nenke'za monafi hanafi kna hanage'na, Nagra ama mopa kagehei zamisugeno kagehe'impinti, miko mopafi vahe'mo'za asomu erigahaze. 
GEN.26.5	Na'ankure Abrahamu namage Nagri anteno, kema huankea amage huno, Nagri kasege amage anteno, ruga'a nanekea amage anteno, tra ke'nia avariri'ne. 
GEN.26.6	Ana higeno Aisaki'a Gerari mani'ne. 
GEN.26.7	Ana kumate vahe'mo'za nenaronku antahi kageno, agra amanage hu'ne, A' nimo'e huno huzankura koro huno agra nensaroe hu'ne. Agesama antahiana Rebeka'a vahe'mofo anunu hu'are manigeno, ana kumate vahe'mo'za ahezanku anage hu'ne. 
GEN.26.8	Zaza kna anampi umniteno, Aisaki'a nenaro Rebeka agzafene'geno, Abimeleki Filistia kinimo nomofo avo kampinti ke'ne. 
GEN.26.9	Anante Abimeleki'a, Aisaki kehuno amanage hu'ne, Antahio, tamage huno ami kagri a' mani'ne! Nahigenka kagra nensaroe hunka hu'nane? Aisaki amanage huno asmi'ne, Na'ankure nagra agriteku hu'na fri'zanku anage hu'noe. 
GEN.26.10	Abimeleki'a amanage hu'ne, Amazana naza hunerantane? Mago vahe'mo negnaro ene msere'sina, kagra mago knaza eri tamisine. 
GEN.26.11	Ana huteno Abimeleki'a hakare vahe mago kasege antezmanteno, aza'o ama nero, nenarono avako'ma hanimo'a frigahie hu'ne. 
GEN.26.12	Menina Aisaki ana mopafi avimza hozafima hankre'neana ana kfufina 100ti'a agatereno hamre'ne. Ana higeno Ra Anumzamo asomu hunte'ne, 
GEN.26.13	ana ne'mo feno ne' fore nehuno, mago'ene ra huno tusi'a feno anteno, mika fenona ante agatere'nea ne' mani'ne. 
GEN.26.14	Aisaki'a sipisipi zgane, memeki zgane, Bulimakane, eri'za vahe'ene, rama'a ante'negeza, Filistia vahemo'za zamasigu hunte'naze. 
GEN.26.15	Menina mika tinkeri agri nefa eri'za vahe'mo'za Abrahamu knafi kafinte'naza, Filisti'a vahe'mo'za mopa kate'za refite'naze. 
GEN.26.16	Abimeleki amanage huno Aisakina asmi'ne, Kagra tagri'pintira atrenka vuo, kagra tagrira tgaterenka hanve'nentake hane. 
GEN.26.17	Ananteti Aisaki'a atreno Gerari agupofi seri no anantega omegino mani'ne.
GEN.26.18	Aisaki eteno korapa Abrahamu kafinte'nea tinkeri kafi'ne. Nefa fritege'za Filistia vahe'mo'za refite'naza tinkeri tmina kafiteno, nefa ami'nea agi'a eriksefa huno antetere hu'ne. 
GEN.26.19	Aisaki eri'za vahemo'za ana agupofi tinkeri nesageno, anampinti ti fore huno mreri'ne, 
GEN.26.20	Gerari afu kva vahe'mo'za, Aisaki afu kva vahera frage huzmante'za amanage hu'naze. Ama tagri tine! E'inage hzageno agi'a Eseki'e 
GEN.26.21	Aisaki eri'za vahe'mo'za mago'ane ru tinkeri nesageno, esaza hu'za Gerari vahe'mo'za fra vazizmente'naze. Fra vazizageno negeno, Aisaki'a ana tinkerimofona Sitne huno agia ante'ne. 
GEN.26.22	Aisaki'a ana tinkeria atreno ru' tinkeri ome kafige'za, hafra huontageno ana tinkerimofo agi'a Rehoboti'e huno ante'ne, 
GEN.26.23	Aisaki'a ana kumara atreno mrerino Bersiba kumate uhaniti'ne. 
GEN.26.24	Ana'ma uhanitia kenegera Ra Anumzamo'a efore humino amanage huno asmi'ne, Nagra Abrahamu nafaka'amofo Anumzane, e'igu korora osuo. Nagra kagrane mani'nena asomura hugante'na henka'a kagripinti kegehe'za fore hnamoki'zminena zamazeri hakare hugahue. Na'ankure Abrahamu'a Nagri eri'za vahe mani'negu ana hugahue. 
GEN.26.25	Aisaki'a ana kumatera kre sramna vu ita trohuno, Ra Anumzamofo agi hanta vzino ana kumateke seri no azeri onetige'za, Aisaki eri'za vahemo'za mago tinkeri kafi'naze.
GEN.26.26	Abimeleki'a Aisaki ome kenaku Gerari nevuno, magora knare antahintahi nemia ne' agi'a Ahusati'e, hanki magora ha' vahe'amofo kva ne' Fikoligizni neznavreno vu'ne. 
GEN.26.27	Aisaki'a zmantahigeno, Tamagra na'anku nagritega neaze, ko'ma mopa tmifintira tamesra hunanteta nahe nati'nazanki? 
GEN.26.28	Ana kemofo nona'a anage hu'naze, Ra Anumzamo'a kagrane mani'neno kaza nehigeta negeta, tagra anage nehune, Kagri ene tagri ene amu'notifina tamage hunka huvempa naneke hugeta kagrane, tagra hagerfi mneno. 
GEN.26.29	Kagra, tagrira tazeri havizana osugahane, tagra, kagrira kazeri haviza osuta, trimpa frune hugantonkenka e'nane. Menina Ra Anumzamo knare huneganteno asomura hunegante. 
GEN.26.30	Ana kezmi nentahino Aisaki'a ra kave kre zamentege'za tine ana ne'zana ne'naze. 
GEN.26.31	Nantera'me oti'za huvempage hugantugma hute'za, anante Aisaki'a huzmantege'za zamarimpa frune vu'naze. 
GEN.26.32	Ana'ma huzamtege'za vaza zupa Aisaki eri'za vahe'mo'za amanage hu'za eme asmi'naze. Hago mago tinkeri kafinompinti tina fore hie. 
GEN.26.33	Ana tinkerimofo agi'a Siba huno ante'ne. 
GEN.26.34	Iso'a 40ti'a zgegfu maniteno Hiti ne'mofo mofa' eri'ne, agi'a Judi'e, nefa'a Beri'e. Hanki mago a'a mofo agi'a Basemati'e, Eloni mofare, agra enena Hiti ne'mofo mofare. 
GEN.26.35	Ana atremokizni mani'zamo Aisakine Rebeka gizni znarimpa znata znami'ne.
GEN.27.1	Aisaki ozafarfa regeno avumo'a osi'a asu higeno, zge mofavre'a Isonku amanage huno asmi'ne, mofavrenige higeno, Ama mani'noanki nahie huno higeno, 
GEN.27.2	Aisaki agra anage hu'ne, antahio menina nagra ozafarena fri knania ontahinoe. 
GEN.27.3	Menina vunka ati keveka'a erinka hofa trampinti zga ahenka eme namio. 
GEN.27.4	Nagri'ma navenesia ne'za kre haga hunka eme namige'na nene'na, nagu'areti manu regantete'na, mani'ne'na henka'a frineno.
GEN.27.5	Rebeka'a agesa anteno antahi'ne Aisaki'a nemofo Isoma asmia kea, higeno Isoma trampinka zga aheno eme krenteku nefreana, 
GEN.27.6	Rebeka Jekopuna mofavre'a asmi'ne, Antahio, negfa'a negfu Isonkura nentahugeno amanage huno asmi'ne, 
GEN.27.7	zga ome ahenka kre haga hunka eme namige'na nene'na Anumzamofo avure manu regantete'na fri'neno, nehigena antahi'noe. 
GEN.27.8	Hanki mofavre'niga kasmisua kea antahio. 
GEN.27.9	Menina vunka afu kevufinti tare onensa meme avrenka eme namigena negfama avenesia ne'za kre haga hugami'nena, 
GEN.27.10	negfa'na erinka ome amisnankeno neteno, manu aregenteteno mani'neno frino. 
GEN.27.11	Hianagi Jekopu'a kenona'a Rebekana hunte'ne, Ke'nano, nempunimo'a avufga azokake ne' mani'ne, nagrira navufga nazokara ore'ne. 
GEN.27.12	Hu'neanagi nafanimo navakoma hunoma kesige'na agri avufina, nagra havige revatga nehuna, nagra nvufare manuna e'origahuanki, kna eri kofigahue. 
GEN.27.13	Anage higeno nerera'a amanage huno asmi'ne, Kagri knazamo'a nagrite egahie. Mofavre'nimoka, ke'nia erizafa hunka, vunka ome erinka eme namio.
GEN.27.14	Anante ke hiaza huno tare mementre ome avreno nererante egeno nefama avenesia kavera kre haga huteno, 
GEN.27.15	Rebeka'a Iso zge mofavre'amofo knare kukena, nompima me'neama'a erino Jekopu hankrente'ne. 
GEN.27.16	Rebeka'a meme akru'a tga huno, tarega azantrempi antenenteno, azoka onte avufgare anankempi antente'ne. 
GEN.27.17	Kave'ma kre haga huntea ne'zane, bretima troma hunteana nemofo Jekopu ami'ne.
GEN.27.18	Nfa'amofonte Jekopu uhanitino amanage huno hu'ne, Nfa'o, higeno, nfa'amo amanage hu'ne, kma ama mani'noanki, Kagra izaga, ina mofavrenimoka nehane? 
GEN.27.19	Jekopu nafa'amofo asmi'ne, zge mofavre kamona Nagra Isone, ke hunantanaza hu'na neza kreri'na neoe. Muse (plis) hugantoanki otinka maninenka erinka nezanka'a nenenka manurenanto. 
GEN.27.20	Hianagi Aisaki'a nemofonku amanage huno asmi'ne, mensi hugantogenka vu'nananki, inankna hunka ame' hunka neane, mofavre nimoka? Na'ankure Ra Anumza, kagri Anumzamo naza huno eri fore hunamige'ne.
GEN.27.21	Aisaki'a asmi'ne, muse (plis) hugantoanki tvaonte e'nege'na kavufga kvako hu'na ka'neno. Tmage Isoga mani'nampi? 
GEN.27.22	Higeno Jekopu'a nefa tva'onte egeno avufgare azerino ke'ne. Kagerumo'a Jekopu ageru kna nehie. Hanki kazamo'a Iso azankna nehie. 
GEN.27.23	Aisaki'a ke so'e osune, na'ankure azamo'a azokake huno nefu Iso azankna hu'negeno, Aisaki'a Jekopu manu rentene. 
GEN.27.24	Aisaki amanage hu'ne, Tmage hunka kagra mofavre ni'a Isoga mani'nano? higeno, Jekopu revatga huno, Izo nagra anane. 
GEN.27.25	Hanki ana ne'za erinka eme nmige'na nene'na manu reganta'neno higeno, Ana ne'zane, waeni tine erino eme amigeno ne'ne. 
GEN.27.26	Anante nefa Aisaki'a nemofonku anage hu'ne, Muse (plis) hugantoanki mofavre' nimoka nagrite enka eme nantako huo. 
GEN.27.27	Eazamo eme antako nehigeno, kena'aretima mna nevigeno nentahino'a, anante manu renenteno amanage hu'ne,
GEN.27.27	Ko, mofavreni'amofo mna.
GEN.27.27	E'i ana mnamo'a hozamofo Ra Anumzamo asomu huntegeno, nevia kna mna nevie.
GEN.27.28	Nagri'ma navesiana, menina Anumzamo'a monafinkati ata' kora kamisigeno,
GEN.27.28	mopa aru fru hanigeno,
GEN.27.28	nezamo'a hakare nehuno, rga nerenkeno ksefa wainimo enena hakare hugahie.
GEN.27.29	Veamo'za kagri eri'za enerisageno,
GEN.27.29	maka moparegati vahe'mo'za zamarena reza kagrite zamagena hantgigahaze.
GEN.27.29	Kagra kafuhe'ina razimi manigahane,
GEN.27.29	negrera mofavre zgamoza zamarena re'za kepri hugante'saze.
GEN.27.29	Kagrima sifna hugantesamo'za zamagranena sifna erigahaze,
GEN.27.29	asomu hugante'samo'za, asomu erigahaze.
GEN.27.30	Aisaki'a Jekopuna manu rente vgaregeno, hagi Jekopu'a Aisakina anama atreno atirmino arugagino nevigeno, Iso'a zga zantetira e'ne. 
GEN.27.31	Agranena haga'ane ne'za tro huno nefante erino e'ne. Iso'a anage huno asmi'ne, Nfa'nimoka otinka negamofo zgagfa netenka, henka manurenanto. 
GEN.27.32	Nefa Aisaki amanage huno kenona hu'ne, Kagra azage? Nagra Iso'ne, zge mofavre kamo'ne higeno, 
GEN.27.33	Aisakina tusi'a ahirahi neregeno amanage hu'ne, Aza' zga aheno kreno eme nmige'na nete'na, asomura huntogeno vigenka kagra henka neane? Ne'zama'a eri'na nete'na koma manu rente'noa manuna anante megahie. 
GEN.27.34	Iso'a nafa'amo hianke nentahino tusiza huno rimpamo haviza nehigeno, tusiza huno zavira neteno nfa'amofona asmi'ne, Nfa'nimoka! Nagri'enena ana zanke hunka manurenanto! 
GEN.27.35	Hianagi naganakamo havige eme renavatga huno kagrima kamiku'ma hu'noa manuna ko emerino vu'ne. 
GEN.27.36	Iso amanage hu'ne, Jekopu'e hunka agima ante'minanana tamage, tare zupa nagri ku'ma eri'ne? Kota mofavre'mona asomura agra eri'ne, menina ko, nagri asomura agrake e'nerie. Nehuno amanage hu'ne, Menina mago'a manuni'a eri nante'nano? 
GEN.27.37	Higeno, Aisaki'a Iso ke'are nona hu'ne, Antahio hago kva vaheka'a azeri oti'noe, hakare naga'a eri'za vahere hu'na huzmante'noe, ana nehu'na hoza kave ene ksefa wainimo agri azeri sga hugahie. Hanki mofavre'niga, nagra na'a hugantegahue? 
GEN.27.38	Iso'a nefa asmi'ne, Nafanimoke, kagra magoke manutfana erinano? Nagri'ene manurenantogu nehue, nenfao huno nehuno Iso'a krafa huno tusi zvi ate'ne.
GEN.27.39	Anante nefa Aisaki kenona huno asmi'ne,
GEN.27.39	Antahio, kagra msavema'a omnesia mopafi manigahane.
GEN.27.39	Anagamu monafinkatira, ata'mo mopakafina oramigahie.
GEN.27.40	Ama mopare manisnanana ha' nehunka manigahane,
GEN.27.40	ana nehunka nganakamofo katoza humigahane.
GEN.27.40	Hinkenka mani rva osunka, agra kaomofo anankempi agare namare zafa anteno azeri kante nehiankna zafa knankempima ante'neana, kagra eri hantagi atregahane.
GEN.27.41	Aisaki Jekopuma manu rente'nea zanku, Iso'a nagna'a mofo antahi haviza hunteno asi vazinte'no, amanage huno hu'ne, Nafa'nimofonku'ma nasunku husua kna egofta hie, hankina henka'a nagra naganani'a Jekopuna kegahue. 
GEN.27.42	Zge mofavre'amo Iso'ma hianke Rebekana eme asmi'zageno, anante mofavre'a Jekopu agi higeno egeno anage huno asmi'ne, Kma antahio, negafu Iso'a rimpa antefru huteno, kagrira kahe frinaku ke retro hie. 
GEN.27.43	E'igu menina mofavre'nimoka keni'a erizafa hunka, otinka frenka Harani nensaro Labani nehirega vuo! 
GEN.27.44	Mago'a gna agrane umani'negeno, negfuna rimpa ahezamo'a ravaheno, 
GEN.27.45	Kagrima rimpa ahegante'neama fru huno ageknina, anante ke ha'nenkenka egahane, nankna huna tarega'motna magoke'zupa frisnake'na nasunkura hugahue?
GEN.27.46	Rebeka'a Aisakinku hu'ne, Nagra navesra hie manizankura, na'ankure Hiti vahe'mokizmi mofa'negura, agra Jekopu Hiti vahe'mokizmi mofanefinti a' erizankura, nankna huno knarera mani'zanimo'a hugahie?
GEN.28.1	Hanki Aisaki'a ke higeno Jekopu egeno asomu hunenteno, hanvenentake ke asmino, kagra mago Kenani vahe'mokizmi mofara e'origahane. 
GEN.28.2	Otinka Padan-aram (Mesopotemia), Betuel nontega vuo, e'i negrerana nefa'e, anantegati a' ka'a erisanana Labani negrera nesaro mofanefinti mago mofa a'ra erio! 
GEN.28.3	Ana'ma hanankeno Hanvenentake Anumzamo asomu huganteno, kazeri hakare nehuno, kazeri hakare hugante'na tusi'a vahe fore hunka manigahane. 
GEN.28.4	Nagri'ma navesiana Anumzamo Abrahamu hunte'neaza huno kagri'ene, mofavreka'ane asomu hugantesnie, ama vanoma nehana mopa, Anumzamo Abrahamu ami'nea mopa eri nafa'a hugahane. 
GEN.28.5	Aisaki'a Jekopuna huntegeno Padan-aram (Mesopotemia) Labanintega vu'ne. Betueli Aramia nemofo mofavre, Rebeka nesaro, Jekopune Iso gizni neznarera'e.
GEN.28.6	Iso'ma antahigeno, Aisaki'ma Jekopu asomu hunenteno Padan-aramuti a' erinogu huntegeno nevigeno, hanvenentake ke asmino amanage hu'ne, kagra Kenani vahe'mokizmi mofa'nefintira ara e'oriogahane. 
GEN.28.7	Higeno Jekopu'a nefane nerera ke erizafa huno Padan-aram vu'ne. 
GEN.28.8	Isoma keana nefa Aisaki'a Kenani mofanegura musena osu'ne. 
GEN.28.9	Ana higeno Iso'a Ismaelintega vu'no a'nema zamante'nefi aru mago'ene a' omeri'ne, Ismaeli mofa agi'a Mahalati'e, Ismaeli'a Abrahamu nemofo'e. Mahalati'a Nebaioti nenunkna'e.
GEN.28.10	Jekopu'a Bersiba atreno Harani kaziga vu'ne. 
GEN.28.11	Nevigeno kantega zge ufreno hani ome higeno, have fita erinteno mse'ne. 
GEN.28.12	Anante mseneno ava'na ke'ne, ana avanafima keana mago ratamo'a eramino, agafamo'a mopare regrigeno, amuzamo'a anagamu monafinka mreri'negeno ke'ne. Anantema keana Anumzamofo ankeromo'za mareri'za tamiza anante nehzageno ke'ne. 
GEN.28.13	Ana huno nezmagegeno Ra Anumzamo anante ontino mani'neno asmi'ne, Nagra Ra Anumzane, negageho Abrahamune, negfa Aisakigizni Anumzane, Menima mase'nana mopa kagri'ene, kagehe'ine tamigahue. 
GEN.28.14	Kagripinti'ma fore hnaza vahe'mo'za kasepakna hu'za fore huhakare hu'za manigahaze. Zge fre kazigane, zge hanati kazigane, ruga raga agentega vu'za e'za hu'za mani titipa hu'za manigahaze. Kagri ene kagehe'impinti ama mopafi vahe'mo'za asomura erigahaze. 
GEN.28.15	Hanki antahio Nagra, kagrane mani'nena, inantega vanoma hananana, kva hunegante'na, ete kavre'na ama ana mopare egahue. Hanige'na Nagra onkatre'na, kema huvempa hugante'noa kea eri knare huvgaregahue.
GEN.28.16	Jekopu'a avu msenereti otino anage hu'ne, Tmage huno Ra Anumzana amafi mani'negena nagra ontahi'noane. 
GEN.28.17	Agra amnogu nehuno amanage hu'ne. Ama mopa ruotge huno me'ne! Ra Anumzamo mani'nea nompi e'noe. Hankino ama mona kafa me'ne. 
GEN.28.18	Jekopu'a nanterame otino, fitaruno mse'nea havea erisga huno retru renteteno, masve tagino agofetu frente'ne. 
GEN.28.19	Agra ana nonkura Beteli'e huno agia antemi'ne. 
GEN.28.20	Jekopu'a amanage huno huvempa hu'ne, Afete kama nevnugeno Anumzamo nagrane nevuno nagu'vazino ne'za ni'ane kukena'ni'ane naza nehanigena, 
GEN.28.21	mago knazamo navate osanige'nama nafa'nimofo kumate ete rukrahe hu'na uhanati su'na, Ra Anumzana, nagri Anumzane hugahue. 
GEN.28.22	Ama have eri retruroana, Anumzamofo no mesie. Mika'zama nami'sankeno'ma 10ni'ama fore'ma hanige'na, anampintira refko huna magoke kevua kamitere hugahue.
GEN.29.1	Jekopu'a anage nehuno masetere hume vuno, zge hanati kaziga vahe'mofo mopafi uhnati'ne. 
GEN.29.2	Agra kesga huno trazampi keana tinkerire tagufa afu kevu masenageno ke'ne, ana tikerireti sipisipi ramina tina afi nezmize. Hanki ana kerimofo agitera ra have runkni rente'naze. 
GEN.29.3	Anante mika sipisipi kva vahe'mo'za utru hute'za, kerimofo agiteti havea atufe ante'ne'za, tina afi'za sipisipi zamia amite'za, ete ana havea atufe'za ana kerimofo avazare runkani rentetere nehzane.
GEN.29.4	Jekopu'a zamagrikura amanage hu'ne, Nafuheta tamagra igatire hige'za? Kenona hu'za tagra Haranitire hu'naze. 
GEN.29.5	Agra amanage huno zamasmi'ne, Nahori negehona Labanina ke'nazo? hige'za, zamagra amanage hu'naze. Tagra agrira ke'none hu'naze. 
GEN.29.6	Jekopu zamagri zamasmino, Labani knare huno mani'nefi? hige'za, zamagra huza agra knare huno mani'ne, antu ko, agri'mofa Resoli sipisipi zga'ane ne-e. 
GEN.29.7	Jekopu'a zamasmino keho, zgea anamifi me'ne, hagi afu'zgarmina eritru hukna omne'ne, ti sipisipi nezmita zamavreta vinkeno traza neho huno nehige'za, 
GEN.29.8	zamagra amanage hu'naze, E'inahura osu'nenunkeno mika'a emetru hutena, tinkeri havea avaza'a eritreta tina afi zamisunke'za negahaze.
GEN.29.9	Jekopuma naneke zamagrane nehigeno, Resoli'a nefa sipisipi zamareno ene, agra sipisipi kva a're. 
GEN.29.10	Jekopu'a nenogo Labani mofa Resoli sipisipi'ane ne-egeno, negeno Jekopu'a vuno tin kerireti havea rekrehe huno, agri nerera nesaro Labani sipisipia ti afizmi'ne. 
GEN.29.11	Anante Jekopu'a Resolina antako hunenteno ranke huno zvi ate'ne. 
