MAT.1.1	Ho’oy tulurn empo de Mori Yésus Kristus, wa’u di Daud, wa’u di Abraham. 
MRK.4.12	kudut:
MRK.4.12	Koném po ita lisé, maik toé idep
MRK.4.12	koném po séngéts lisé, maik toé tingo,
MRK.4.12	kudut isé néka tesérs agu ampong ndékokd.”
MRK.4.13	Itu kali mai taé Diha ngong isé: “Toé pecing le méu betuan rapang ho’o? 
MRK.4.14	Émé nenggitu co’o kolés pecingd ba kréba de Mori Keraéng. 
MRK.4.15	Sanggéd ata situt lupi salang, baté wécakn wini hitu ngong isét dengé curup hitu og main jing da’at agu emi curup situ oné mai iséd. 
MRK.4.16	Nenggitu kolé siot weri oné watu nampar, ngong ata siot lélak kétas te dengé curup hitu 
MRK.4.17	maik toé wakéy agu ce koé kauty. Émé poli hitu cai denet data ko mosé céncés ali curup hitu, isé hedongs. 
MRK.4.18	Agu situt iwod ngong siot weri oné bahi-réha remang karot, hitus ata dengé curup hitu, 
MRK.4.19	wajo le simpung de lino ho’o agu ali nggopét de bora agu belek sanggéd apa bana, ngo nggere-onés agu kecé curup hitu wiga toé wuas. 
MRK.4.20	Agu cemoln siot weri oné tana beheng ngong ata siot séngét agu tiba reweng hitu, itug kali wuad, manga ata alép telumpulud, manga ata alép enempulu agu mangas ata alép ceratusd.”
MRK.4.21	Mai Mori Yésus curup agu isé: “Ata ba culu toé kudut pésék wa roto be way ko be wan wongka tokoy, maik kudut pésék oné bongga run. 
MRK.4.22	Ai toé manga can situt cehas ata toé ita si’angs, agu toé can situt bonés ata toé cirik pecings. 
MRK.4.23	Céing ata manga tilun te séngét, séngétm ga!” 
MRK.4.24	Mai kolé taé Diha: “Pinga di’a koé hitut dengés! Tongka hitut paka méu latang te méu, agu manga kolé te tambang oné méu. 
MRK.4.25	Ai céing ata mangan, te téing oné hia, maik céing ata toé mangan, apa kaut ata mangan oné hia, kudut emi oné mai hiad.”
MRK.4.26	Mai taé de Mori Yésus: “Nenggo’oy Adak de Mori Keraéng hitu: cama ného ata weri wini oné uma, 
MRK.4.27	itug kali le wié hia ngo tokoy agu le gula hia to’on, agu wini hitu gumuky agu gélang langkasn, co’o ko co’o kaut tara nenggitun, toé pecing liha hitu. 
MRK.4.28	Tana lino le run pandé wuan, laring cain olong tokorn, poli hitu kétén, poli hitu wuan repas cengkali oné kétén. 
MRK.4.29	Émé té’é kéta gi ata hitu pu’ung akon, ai cekeng ako cai gi.”
MRK.4.30	Mai kolé taé Diha: “Co’o kéta koléy kudut tomingn lité Adak de Mori Keraéng hitu, ko ali rapang ného nia koléy lité? 
MRK.4.31	Adak hitu rapangn cama ného wini sawé ata weri wa tana. Bo kali wini hitu kéta ata merikn oné mai sanggéd wini ata mangad oné lino. 
MRK.4.32	Maik émé weriy, todoy agu ciri céwé mésé oné mai sangged uté bana agu génggam kéta dangkan, wiga kaka lélap éta awang ngancéng pandé cewo bonén.”
MRK.4.33	Do kéta tarad rapang nenggitun Hia tombo oné isé lorong agu tingo disé, 
MRK.4.34	agu toé kéta manga ata toé le rapang moléd Liha curup agu isé, maik latang te ata nungku Diha, tombo dungka taungs Liha sanggéd cao-ca émé hanang koéd.
MRK.4.35	Léléng leso hitu kin, du manég tana, Mori Yésus taé agu isé: “Mai ga ité ngo be sinat.” 
MRK.4.36	Isé ledong ata do situ agu ngod, agu dadé Mori Yésus cama laing agu isé oné wangka agu ngai lonto kin, agu sanggéd wangka cebana kolé lut Hias. 
MRK.4.37	Rodo tuan warat agu bombang mésé kawo wangka disé wiga wangka hitu penong le waé. 
MRK.4.38	Du hitu Mori Yésus lari tokon bemusin wangka hitu oné ca wongka. Mai ata nungkun kéngko Hia agu mai taéd: “Tuang Guru, toé kéta pinga Lité, kudut te copélt ite?” 
MRK.4.39	Itu kali to’on Hia wa mai, kenta warat hitu agu curup nggere-oné sano hitu: “Lik hau ga! Leteth ga!” Itug kali likn warat hitu agu sano hitu letet tu’ungy. 
MRK.4.40	Og kali mai taé Diha ngong isé: “Co’o tara rantang kétas méu? Co’o tara toé imbin le méu?” 
MRK.4.41	Isé rantang kétas agu curup cama taud: “Céing kéta péng hia ho’o, wiga warat agu sano lorong kaut perénta Dihas?”
MRK.5.1	Itus kali caid isé sano besinad, oné tana data Gerasa. 
MRK.5.2	Ného itun di Mori Yésus wa’u oné mai wangkan, main cengata ata henag le jing da’at oné mai boa kudut cumang Hia. 
MRK.5.3	Ata hitu ka’éng nituy agu toé kéta manga cengatan ata ngancéng te pongo hia, koném po le ranté, 
MRK.5.4	ai poli dongkalin hia pengkutn agu rantéy, maik pandé beté taungs ranté liha agu tepo taungs langki situt pengkut hia, wiga toé manga cengatan ata remo koé mberesn te kukut hia. 
MRK.5.5	Wié-leson hia labok oné boa hitu agu labok golo cang agu ciékn agu ongga weki run le watu. 
MRK.5.6	Du ita liha Mori Yésus déu main, mburuk hia te cumang agu suju Hiay, 
MRK.5.7	agu reweng mésén hia kepokn: “Kudut co’og aku Lité Mori Yésus, anak de Mori Keraéng? Moro matan Mori, néka wahéng aku!” 
MRK.5.8	Ai poli dé’it curupn le Mori Yésus agu hia: “Oe poti jing da’at! Pé’angh ga oné mai ata ho’o!” 
MRK.5.9	Poli hitu Hia réi agu ata hitu: “Céi ngasang de hau?” Mai walén: “Ngasang daku hi Légion, ai ami ata dokm.” 
MRK.5.10	Hia geso kéta tegin kudut Mori Yésus néka wur sanggéd jing situ oné mai tana hitu.
MRK.5.11	Manga nitu oné ampak golo do kétas ela rémé kawé hangd, 
MRK.5.12	mai sanggéd jing situ tegi agu Hia, mai taéd: “Jera koé ami te ka’éng oné sanggéd ela situ!” 
MRK.5.13	Mori Yésus sendo tegi disé. Itug kali pé’angd sanggéd jing situ agu ngo oné sanggéd ela situs. Ca néwas ela situt am sua sebu dod woncek oné mai tado ngampang nggere-wa sano agu mata taungs oné itu.
MRK.5.14	Og kali losi kéta taungs ata situt lami ela situ agu tombo apa hitu oné béndar agu oné béo baling main. Ali hitu wiga mai kéta taung ata kudut lélo apa hitut poli jarin. 
MRK.5.15	Isé mai oné ranga de Mori Yésus agu ita ata hitut henang le jing da’at ngai lonton, polig paké bajun agu ina gi, ata hiot hena le Légion hitu. Wiga rantang kéta taungs isé. 
MRK.5.16	Sanggéd ata situt poli ita le rud pandé hitu, tombo agu isé co’oy ata poli jarin oné weki data hitut henang le jing hitu agu sanggéd ela situ. 
MRK.5.17	Itug kali isé soka Mori Yésus kudut Hia legong tana disé hitu.
MRK.5.18	Du kudut ngo nggere-oné wangkan Mori Yésus, mai kolé ata hiot poli henang le jing bao tegi kudut sendo koéy te lut Hia. 
MRK.5.19	Toé sendo le Mori Yésus, maik mai taé Diha ngong ata hitu: “Koléh ga nggere-oné mbarum, nggere-oné haé béom, agu tombo oné isé sanggéd cao-ca ata poli pandé de Mori Keraéng oné wekim agu co’o Hia poli momang haun!” 
MRK.5.20	Ata hitu koléy agu pu’ung wéro-émbongd liha oné temu tana Dékapolis sanggéd cao-ca ata poli pandé de Mori Yésus oné wekin agu sanggéd isé lenget kéta taungs.
MRK.5.21	Du poli ngo besina sanon kolé le wangkan Mori Yésus, ata do lusut kétas maid cewur oné Hias. Lari Hia manga oné lupi sanon, 
MRK.5.22	tuan kolé cengata kepala mbaru ngaji, ngasangn hi Yairus. Du cumangn liha Mori Yésus, tikul hia wa wa’i Diha, 
MRK.5.23	agu geso kéta tegin oné Hia: “Anak inéwai daku lari betin, éta bokak nain ga, cala ngancéng koé ngot agu témba koé limé Dité bétan, kudut cébon agu kong mosén.” 
MRK.5.24	Itug kali ngon Mori Yésus agu ata hitu. Do cengkali ata lut Hia agu pémpét nia-niad baling Hias.
MRK.5.25	Manga kolé nitu cengata inéwai ata campulusua ntaung’g béhéngn hena le ru’u gogang. 
MRK.5.26	Hia poli dong kalin rewos le doktér, wiga cipot taung paéngn ata manga oné hiad, maik kéba bod kaut, ngot tambang molé betin. 
MRK.5.27	Hia poli dengé tombo datan latang te Mori Yésus, o kali oné bahi-réha lawa do situ, hia lut Mori Yésus musi main agu cau juba Dihay. 
MRK.5.28	Ai nuk diha: “Am cabi kaut laku juba Diha, ina muing betig.” 
MRK.5.29	Du hitu kéta muing meti-jit kaut daran, agu noing’g liha, te weki diha polig inan oné mai betin. 
MRK.5.30	Du hitu kéta muing kolé pecingn le Mori Yésus te manga kuasa ata pé’angn oné mai weki Diha, itug kali holés nggere-musin oné beréha lawa do situ agu mai réin: “Céing ata cau juba Daku?” 
MRK.5.31	Mai walé de ata nungku Diha: “Bom toé itas Lité lawa do so’ot dudi ruis weki Dité, agu mai weli Ité réi kolé: Céi ata cau Aku?” 
MRK.5.32	Og kali énam Liha lawa do situt baling main kudut te lélo céi hitut poli cabi juba diha. 
MRK.5.33	Inéwai hitu rantang da’aty agu jejer du pecing liha apa ata poli jari oné wekin, mai agu tikul wa ranga de Mori Yésus agu molor kéta tombon sanggéd cao-ca agu Hia. 
MRK.5.34	Mai taé Diha ngong inéwai hitu: “O anak Daku, le imbim tara di’am hau. Koléh ga agu nisang naim, ai poli inan betim!”
MRK.5.35	Rémé kéta curupn Mori Yésus, caid ata oné mai mbaru de kepala mbaru ngaji hitu agu mai taéd: “Anak dité rowa gi, te co’o koléd ité cégotn keraéng Guru?” 
MRK.5.36	Maik Mori Yésus toé pinga laing curup disé agu curup oné kepala mbaru ngaji hitu: “Néka rantang, imbi kaut!” 
MRK.5.37	Itug kali Mori Yésus toé sendo cengatan ata lut, bo hi Pétrus, hi Yakobus agu hi Yohanés asé-kaé di Yakobus. 
MRK.5.38	Isé cai oné mbaru de kepala mbaru ngaji agu nitu ita Liha ngai-ngaok kétas ata, rétang agu jéjéngs. 
MRK.5.39	Du cai onén Hia, mai taé Diha ngong ata do situ: “Co’o tara ngaoks agu rétangs méu? Anak koé ho’o toé matay, maik ata tokoy!” 
MRK.5.40	Maik tawa laing molé lisé Hia. Og kali jera ngo pé’angs Liha sanggéd ata situ, itu kali dadéd Liha ema agu endén anak koé hitu agu isét cama-cama agu Hia, nggere-oné lo’ang de anak koé hitu. 
MRK.5.41	Itug kali cau Liha limé de anak koé hitu, mai taén: “Talita kum,” ngong: “Oé anak, Aku taé agu hau, to’oh ga!” 
MRK.5.42	Du hitu kéta muing anak koé hitu to’on agu lakoy, ai campulusua ntaung’g umurn. Sanggéd ata situt manga nitu lenget kéta taungs. 
MRK.5.43	Langi tu’ung Liha agu isé, kudut néka cengatan ata pecing pandé hitu, og kali jeras Liha isé téing hang anak koé hitu.
MRK.6.1	Poli hitu Mori Yésus ngo nitu main agu cai oné béo Run, ngai ata nungkun lut Hias. 
MRK.6.2	Du leso Sabat, Hia pu’ung toing oné mbaru ngaji agu lawa do nitu lenget taungs du dengé toing Diha agu mai taéd: “Nia maid kéta Diha sanggéd apa situ? Nggalas apa kéta kolé situt téing oné Hias? Agu sanggéd tanda lenget situ, co’os Liha pandéd? 
MRK.6.3	Toé weli Hia ata tukang hajuy, anak di Maria, asé-ka’én hi Yakobus, hi Yosés, hi Yudas agu hi Simon? Agu toé weli weta Diha manga cama-cama agu ites?” Itug kali majan lisé agu doét Hias. 
MRK.6.4	Og kali mai taé de Mori Yésus ngong isé: “Cengata nabi hiang lata nia-nia kaut wan, maik toé oné béo run, oné bahi-réha haé kilon agu oné mbarun.” 
MRK.6.5	Hia toé manga pandé can koé tanda lenget nitu, bo pandé ina pisa taus ata beti le témba limé Diha bétan isé. 
MRK.6.6	Hia lenget koléy ali toé imbi disé.
MRK.6.6	Itu kali Mori Yésus lako léok béoy cang agu toing atan. 
MRK.6.7	Hia bénta isét campulusua rasul situ agu wuat isé sua-suas. Hia téing isé kuasa te mbér sangged jing da’at, 
MRK.6.8	agu pedé oné isé kudut néka ba apa-apa oné salang, bo dongkar, roti kolé néka, bokong kolé néka, 
MRK.6.9	ngancéng paké sendal, landing néka paké suan baju. 
MRK.6.10	Mai kolé taé Diha ngong isé: “Émé oné ca osang méu poli tibas oné ca mbaru, ka’éng nitum dengkir méu kolé oné mai mbaru hitus. 
MRK.6.11	Agu émé manga ca osang ata toé tiba méu agu émé isé toé ngoéngd te séngét méus, kolé nitu mais agu péntang kaut kebok situ wa wa’is latang te langi agu isé.” 
MRK.6.12	Og kali ngod isé te ba keréba kudut sanggén ata tesérs 
MRK.6.13	agu isé mbér do jing da’at agu doés do kolé ata beti le mina agu pandé ina isé.
MRK.6.14	Hi raja Hérodés kolé dengé taung tombo ngasang de Mori Yésus ai pecing taung lata ngasang Diha agu mai taé data: “Hi Yohanés Cebong poli to’o kolé oné mai ata matan agu itu tara mangan do kéta kuasa oné hia.” 
MRK.6.15	Ata iwod nggo’o taéd: “Hia hitu hi Elia!” Ata iwon kolé nggo’o taéd: “Hia hitu cengata nabi cama ného isét nabi-nabi médé.” 
MRK.6.16	Du dengén li Hérodés tombo hitu, mai taén: “Toé ta, hia hitu hi Yohanés hiot poli kepu bokakn laku agu to’o koléy.”
MRK.6.17	Ali weki run muing hi Hérodés, jera ata kudut deko hi Yohanés agu pengkut hia oné bui landing manga raja di Hérodias, wina de asé-ka’én hi Pelipus, ai hi Hérodés poli roko hian te ciri winan. 
MRK.6.18	Ai hi Yohanés poli dé’it renti hi Hérodésn: “Toé kéta kopn hau emi wina de asé-ka’ém!” 
MRK.6.19	Ali hitu hi Hérodias rangkat kétay agu hi Yohanés agu mek kin te ala hia, maik toé ngancéng, 
MRK.6.20	ai hi Hérodés, sengang kolé agu hi Yohanés, ai pecing liha te hi Yohanés cengata ata molor agu nggeluk, wiga kémbén liha. Maik émé séngét liha toing di Yohanés, mbu-mbek kin nain, maik lélak kin te séngét hia.
MRK.6.21	Cemoln ga cain sokor di’a latang te hi Hérodias du hi Hérodés pandé ramé leso dadingn latang te gatang pegawé-pegawé mésé agu kepala tentera agu sanggéd ata tu’a oné tana Galiléa. 
MRK.6.22	Du hitu anak molas di Hérodias ngo oné sa’éy, agu hia pandé nisang nai di Hérodés agu sanggéd mekan. 
MRK.6.23	Mai taé de raja ngong ata molas hitu: “Apa kaut ata tegi de hau, téing kauts laku, koném waga cecupun tana ho’ot perénta daku!” 
MRK.6.24	Anak hitu ngo réi oné endén: “Apa ata di’an tegi daku?” Mai walé de endén: “Tegi ulu di Yohanés Cebong!” 
MRK.6.25	Itug kali gélang-gélangn hia ngo nggere-oné raja agu tegin: “Ngoéng daku, paka ho’o muing lité téing oné akun ulu di Yohanés Cebong lobo kepar.” 
MRK.6.26	Itu kali wéong kéta nain raja, maik landing poli wadan agu ali sanggéd mekan, hia toé gorin te doét. 
MRK.6.27	Raja gélang-gélang jera cengata pegawén agu perénta kudut emi ulu di Yohanés. Ata hitu ngoy agu poka bokak di Yohanés oné bui. 
MRK.6.28	Hia ba ulu hitu oné kepar agu téing oné anak molas hitu agu anak molas hitu téing agu endén.
MRK.6.29	Du dengén alan hi Yohanés le ata nungkun, mais isé téti rapun, agu boaky lisé.
MRK.6.30	Poli hitu sanggéd rasul kolés, impung agu Mori Yésus agu tombo oné Hia sanggéd ata poli gori agu toing disé. 
MRK.6.31	Itu kali mai taé Diha ngong isé: “Mai ga, ngo oné osang ata lingotn, kudut hanang koéd, agu asi cekoén!” Ai do bail ata haluk pé’ang oné, wiga latang te lompong kaut toé manga lingad. 
MRK.6.32	Os ngod isé te hedong, léti wangka nggere-oné osang ata lingotn. 
MRK.6.33	Maik du ngod isé, do kéta ata ita isé agu pecing nggere-nias ngod. Wajo kaut lako loléng sanos, rodo tuad maid ata do oné mai sanggéd béndar nggere-oné osang hitu wiga cai olos. 
MRK.6.34	Du wa’un Mori Yésus ita Liha nunggu-nengger kéta lawa do, itug kali wéong kéta nain ali momang isé, ai isé cama ného jimbal siot toé manga ata lamid. Itug kali pu’ungn Hia toing do kéta oné isé.
MRK.6.35	Du manén tana ga, mais ata nungku nggere-oné Hia agu mai taéd: “Osang ho’o lingot kétay agu manég tana. 
MRK.6.36	Co’om jera kolés ga, kudut isé ngancéng weli hang oné béo-béo agu mukang ata ruis cé’é ho’o.” 
MRK.6.37	Maik mai walé Diha: “Méu paka téing hang ata do so’o!” Mai kolé taé disé agu Hia: “Ma’ut, lami kétas tau weli roti ata améng sua ratus dinar te cakong isé?” 
MRK.6.38	Maik mai taé Diha ngong isé: “Pisa mongkod roti ata manga oné méu? Damangs di lélod!” Poli nggo’o lélod lisé, mai taéd: “Lima mongkod roti agu suad ikang.” 
MRK.6.39	Og kali jeras Liha lawa do situ kudut lonto néténg liups lobo remang lebo. 
MRK.6.40	Agu du poli emid Liha lima mongkod roti agu suad ikang situ, 
MRK.6.41	Hia conga nggere-éta awangy agu wan berkak, itu kali pu’il sanggéd roti situ agu téings Liha oné ata nungkun, kudut pati oné lawa do situ; nenggitu kolé ikang situt sua mongkod, pati kéta taung oné sanggéd lawa do situ. 
MRK.6.42	Agu sanggéd isé hang wiga becur kéta taungs. 
MRK.6.43	Poli hitu ligots lisé ropo roti situt récid campulusua rotod, toé bilang nitus ikang ata récid. 
MRK.6.44	Ata hangd roti situ manga lima sebud ata rona.
MRK.6.45	Poli hitu Mori Yésus jera muings Liha ata nungkun paka léti wangka agu ngo olos nggere-sina Bétsaida, lari nggitun Hia jera lawa do situ kolé taung. 
MRK.6.46	Woko poli bécang Hia agu isén, Hia ngo nggere-éta goloy te ngaji. 
MRK.6.47	Du wiég tana, wangka hitu manga oné bahi-réha sanoy, maik Mori Yésus ka’éng hanang koén pé’ang tana masa. 
MRK.6.48	Du itas Liha hempe-hut kétas bisé wangkad wajo le pamper buru olo mai, niat ongga telu le wié, Hia mai oné isé, lako lobo waéy agu Hia kudut lagé iséy. 
MRK.6.49	Du itan lisé Hia lako lobo waéy, bet disé poti, wiga isé ciék da’ats, 
MRK.6.50	ai sanggéd isé ita kéta taung Hia, agu isé rantang taungs. Maik gélang-gélang mai taé Diha ngong isé: “Néka simpung! Aku ho’o, néka rantang!” 
MRK.6.51	Og kali Hia ngo nggere-oné wangka, cumang agu isé, agu lik kolég buru. Isé lenget kétas agu bules taung nukd, 
MRK.6.52	koném po poli mantén lisé tanda lenget roti hitu, toé kin nipu lisé, agu nai disé ngegil kid.
MRK.6.53	Du caid besina, Mori Yésus agu ata nungkun wa’u oné Génésaréts agu asi nitus. 
MRK.6.54	Du pé’angd oné mai wangka, gélang kéta pecingn lata Mori Yésus. 
MRK.6.55	Itu kali mburuk kétas isé nggere-oné temu tana hitu agu pu’ung muing berotongd sangged ata beti nggere-oné Mori Yésus, nia kaut wan mangan Hia. 
MRK.6.56	Nia kaut liba Diha, oné sangged béo, oné sanggéd béndar ko oné sanggéd mukang peher lata sanggéd ata beti oné amba, agu tegi oné Hia, kudut isé sendo koés am tamat te cabi lindi juba Diha. Agu sanggéd ata situt cabi Hia ina kéta taungs.
MRK.7.1	Manga cangkalin ca liups ata Parisi agu pisa taus ata pecing Taurat oné mai Yérusalém mai cumang Mori Yésus. 
MRK.7.2	Ita lisé te manga pisa taus ata nungku Diha hang déméng limé sakid, ngong toé olong samo liméd. 
MRK.7.3	Ai sanggéd ata Parisi cama ného ata Yahudi, toé ngancéng hangs émé toé olong samo liméd, ai isé lorong ruku éta mai empod; 
MRK.7.4	agu émé kolé oné mai ambad toé rodo hangs, émé toé olong samos. Do kolé wintuk bana ata cau disé, ného rapang nawi cangkil, gelo agu kembokang. 
MRK.7.5	Ali hitu ata Parisi agu ata pecing Taurat situ réi oné Hia: “Co’o tara ata nungku Dité toé mosé lorong wintuk de adak disé empo dité, maik hang déméng limé sakid?” 
MRK.7.6	Mai walé Diha agu isé: “Getok tu’ung curup di nabi Yésaya latang te méu, oé ata pisik! Ai nggo’o tulisn:
MRK.7.6	Wa’u so’o hiang Aku éta lobo wiwird,
MRK.7.6	maik naid tadang kid oné mai Aku,
MRK.7.7	oké bod sanggéd taung suju disé agu Aku,
MRK.7.7	ngai toing hitut toing disé pandé lata manusia.
MRK.7.8	Adak de Mori Keraéng kebang le méu kudut cau kéta adak de manusia.”
MRK.7.9	Mai kolé curup de Mori Yésus agu isé: “Cedek tu’ung méu te doét Adak de Mori Keraéng, kudut méu ngancéng kémbéng adak de rus. 
MRK.7.10	Ai hi Musa poli taén: Hiang ga emam agu endém! agu: céing ata mawang eman ko endén paka matay. 
MRK.7.11	Maik mai taé de méu: Émé manga cengata ata curup agu eman ko agu endén: Apa kaut ata manga oné aku, ata ngancéng te tinu méu, poli taungs bolad laku te takung -- ngong takung agu Mori Keraéng -- 
MRK.7.12	itu kali méu te sendo hia te pandé hitu-ho’o te tinu eman agu endén. 
MRK.7.13	Le wintuk hitu reweng de Mori Keraéng le méu toé pingay, hanang lut kaut adak hitut cau de méu. Agu do kolé wintuk bana nenggitu, ata pandé de méu.”
MRK.7.14	Og kali Mori Yésus bénta kolé ata do agu curup oné isé: “Sanggés taung méu séngét Akum agu na’a koé oné nais: 
MRK.7.15	Apa kaut pé’ang mai ata ngo nggere-oné weki data, toé pandé rinek hia laingy, maik apa ata losa oné mai weki data hituy kali ata pandé rinek laing hia.” [
MRK.7.16	Céing ata manga tilun te séngét, séngét ga!]
MRK.7.17	Du poli ngo nggere-oné mbarun Hia te hedong oné mai ata don, ata nungku Diha réi agu Hia betuan rapang hitu. 
MRK.7.18	Mai walé Diha: “Toé kolé pecing le méu betuan? Toé pecing le méu te sanggéd cao-ca situt mai pé’ang maid nggere-oné weki data, toét pandé rinek laing hia, 
MRK.7.19	ai toé lako pala naiy maik oné tukay wan, poli hitu losa oné jambangy?” Le hitu kudut toing Liha te sanggéd hang toé manga irengd. 
MRK.7.20	Mai kolé taé Diha: “Apa ata losa oné mai weki data, hitut pandé rinek hia laing, 
MRK.7.21	ai situt oné mai, mai oné mai nai data, losa sanggéd nuk da’at, loma ata, tako, ala ata, 
MRK.7.22	ngoéng ata, kanang-kanang akun, gauk da’at, sehak, belek da’at, mét tau, mbécik, mésé nai, sembutar. 
MRK.7.23	Sanggéd pandé da’at so’o, tua oné mai naid agu hitus ata pandé rinek atad.”
MRK.7.24	Og kali Mori Yésus téti nitu main agu ngo nggere-oné tana Tirus. Hia ngo oné ca mbaru, agu toé ngoéngn te pecing lata, maik cai Diha toé kong lépéngn. 
MRK.7.25	Manga ca endé ata anak molasn hena le jing da’aty, gélang dengén cai Diha, og kali main agu suju wa wa’i Diha. 
MRK.7.26	Inéwai hitu cengata ata Yunani oné mai Siro-Fénisia. Tegi liha oné Mori Yésus te mbér jing da’at hitu oné mai anakn. 
MRK.7.27	Itu kali mai taé de Mori Yésus ngong Hia: “Kong olong becurs di anak koé, ai toé patun emi roti ata poli améng latang te anak koé agu peké nggere-oné acuy.” 
MRK.7.28	Maik mai walé de inéwai hitu: “Tu’ung Mori, maik acu hitut wa ngaung méja kolé hang rewok roti situt pa’u de anak koé.” 
MRK.7.29	Og kali mai taé de Mori Yésus ngong inéwai hitu: “Landing le curupm hitu, ngo muingh ga, ai jing da’at hitu poli losan oné mai weki de anakm.” 
MRK.7.30	Inéwai hitu kolé nggere-oné mbarun, ita liha anakn hitu halas kin éta lobo wongka, agu jing da’at hitu polig losan.
MRK.7.31	Poli hitu Mori Yésus legong kolé tana Tirus agu lako palé Sidon ngo nggere-oné sano Galiléa, oné bahi-réha tana Dékapolis. 
MRK.7.32	Cai nituy, dadé lata oné Hia cengata ata nenteng agu dopel agu tegi oné Hia, kudut témba koé limé Diha bétan ata hitu. 
MRK.7.33	Agu du poli kentong dion hia le Mori Yésus oné mai ata do, wiga hanang koéd isé, Hia puci limé rempan nggere-oné tilu data hitu, poli hitu loa ipo Diha agu cabi lema data hitu. 
MRK.7.34	Rémé nggitun, cang agu conga nggere-éta awangn, Mori Yésus do’éng nai mésén agu curup oné hia: “Éfata!” ngong cengka ga! 
MRK.7.35	Og kali léngan tilu data hitu agu du hitu muing kedok kolé cawi leman, wiga getas kéta curupn. 
MRK.7.36	Mori Yésus pedé agu sanggéd ata manga nitu, kudut néka tombo agu ata céi-céing kaut. Maik koném ré’ing ného nia kaut isé Liha, danga-danga molé lisé tombon. 
MRK.7.37	Isé lenget agu nganga ca béka mu’ud agu mai taéd: “Hia pandé di’a taung sanggén cao-ca, ata nenteng pandé nilors Liha, ata dopel pandé curups Liha.”
MRK.8.1	Du hitu manga kolé ata lawa do kéta nitu, agu ali isé toé manga hangd, Mori Yésus bénta ata nungkun agu mai taén: 
MRK.8.2	“Mohas kéta nai Daku ita ata do so’o. Telu lesog musi main isé lut Akus, agu isé toég manga bokongd. 
MRK.8.3	Agu émé jera kolé mbaru isé Laku déméng daremd, aram te boats oné salang, ai manga ata mai déu maid.” 
MRK.8.4	Mai walé data nungku Diha: “Co’o kéta téi hangd ata do so’o wiga becurd oné osang ho’ot lingi-lengot?” 
MRK.8.5	Mori Yésus réi agu isé: “Pisa mongkot roti de méu?” Mai walé disé: “Pitud.” 
MRK.8.6	Itu kali Hia jera ata do situ lonto wa tanas. Poli hitu Hia emi roti pitu mongko situ, ngaji wali di’ay, pu’ils agu téing oné ata nungku Diha latang te patis agu téing lisé oné lawa do. 
MRK.8.7	Isé kolé manga pisa mongkod ikang, agu du poli berkakd, jera kolé Liha kudut pati taungs ikang situ. 
MRK.8.8	Agu isé hang wiga becurd. Poli hitu ligots lisé roti situt récid pitu rotod. 
MRK.8.9	Isé situ am manga pat sebu atas. Og kali jera koléd le Mori Yésus. 
MRK.8.10	Hia lampuk tuké nggere-éta wangka agu ata nungkun agu lajar nggere-oné tana Dalmanuta.
MRK.8.11	Os kali maid ata Parisi agu sina-cé’é kétas curupd agu Mori Yésus. Kudut damang Hia, isé tegi oné mai Hia ca tanda éta mai Surga. 
MRK.8.12	Itug kali gesar oné nain Hia agu curup: “Co’o tara tegi tandad ata uwa so’o? Aku taé agu méu, moro matan, latang te ata uwa so’o toé kéta téing tandas.” 
MRK.8.13	Hia legong isé nitu; Hia léti kolé wangkay agu ngo besinay.
MRK.8.14	Musi main po baé te ata nungku de Mori Yésus hémong te ba rotis, hanang ca kanang ata manga oné isén, oné wangka. 
MRK.8.15	Og kali Mori Yésus jér isé, mai taén: “Néka témo agu jerék latang te ragi data Parisi agu ragi di Hérodés.” 
MRK.8.16	Ngasang kenanu lisé, agu mai curup cama taud: “Tara nenggitun curup Diha, ai ité toé manga rotid.” 
MRK.8.17	Agu du pecing le Mori Yésus apa hitut curup disé cama taud, mai taé Diha: “Co’o tara curup laing le méu toé manga roti? Toé tara ita oné nais ko? Ko ata tingul méu? 
MRK.8.18	Méu manga matas, toé ita le méu, agu méu manga tilus, toé kin dengé le méu ko? Toé nuk kolé le méu, 
MRK.8.19	du pu’ild Laku lima mongkod roti latang te lima sebu ata du hitu, pisa rotod penong ata récid?” Mai walé disé: “Campulu sua rotod.” 
MRK.8.20	Réi kolé le Mori Yésus: “Agu du pitu mongkod roti te cakong pat sebu ata du hitu, pisa rotod ligot le méu situt récid?” Mai walé disé: “Pitu rotod.” 
MRK.8.21	Og kali mai taé Diha ngong isé: “Toé kéta tara tingo le méu oné nais?”
MRK.8.22	Poli hitu cai Mori Yésus agu ata nungkun oné Bétsaida. Nitu dadé lata nggere-oné Mori Yésus cengata ata buta kudut cadi koé Liha. 
MRK.8.23	Mori Yésus cau limé data buta hitu agu dadé hia pé’ang mai béo. Og kali Hia iso mata data hitu agu témba limén lobo ata hitu agu réi Liha: “Poli itad le hau cao-ca?” 
MRK.8.24	Ata hitu lélo nggere-oloy, mai taén: “Aku ita atak, ai ita isé lari lakod, maik itad ného pu’u hajus.” 
MRK.8.25	Mori Yésus entep kolé limén oné mata data hitu, itu kali ata hitu ita tu’ung kétay agu poli inan, wiga hia ngancéng ita si’ang kétas sanggén cao-ca. 
MRK.8.26	Poli hitu Mori Yésus jera hia kolé mbarun agu pedén: “Asi di kolé béom!”
