MAT.1.1	Man buk me kwari a Yecu Kricito, akwar Daudi, akwar Iburaim. 
MAT.25.43	ame rik a welowu, mom itera wunu i ot; ame atye onoro, mom iruka wunu; a rik koma lit onyo ame atye i buc, mom ilima wunu.’ 
MAT.25.44	Cite gin daŋ obino gamo ni, ‘Rwot, rik oneni awene ame kec aneki, onyo ame oryo pii ciri, onyo ame i welo, onyo ame itye onoro, onyo ame komi lit, onyo ame itye i buc, mom okonyi?’ 
MAT.25.45	En bino dokkigi iye ni, ‘Ateni akobbiwu ni, Gin a mom itimo itimo wunu i kom ŋattoro acel i akina jo-ni atino-ni, mano nwoŋo mom itimo wunu i koma,’ 
MAT.25.46	Cite gin bino wot i can a mom tum, ento jo ame kitegi atira bino wot i kwo a perakino odoco.”
MAT.26.1	Ame Yecu doŋ otyeko kobo kop magu luŋ, en te kobbi jo mere a lube ni, 
MAT.26.2	“Wun iŋeo wunu ni odoŋ nino aryo me te bedo ecuban me Kato, eka ote bino miyo Wot a dano me gure i kom yataria.”
MAT.26.3	I kare-nu olamdog adoŋo kede odoŋe me Ojudaya ocokere karacel i dyekal alamdog adwoŋ ame nyiŋe Kayapa, 
MAT.26.4	ote poro kop karacel me mako Yecu kede ryeko me ote neke. 
MAT.26.5	Ento gin te kobo ni, “Pe i kare me ecuban, mio lwak bino tugere.”
MAT.26.6	Ame Yecu tye i Betania tuŋ a Cimon adobo, 
MAT.26.7	dako moro obino baŋe kun tye kede adomo moo a ŋwece kur ame wellere dwoŋ, oonyo i wie kun en tye i dog cam. 
MAT.26.8	Ka jo a lube oneno, yigi owaŋ, ote kobo ni, “Man obalo nono piŋo? 
MAT.26.9	Pien kono ocato moo man, kono okelo lim abup me amia baŋ ocan.” 
MAT.26.10	Ka Yecu oŋeo, okobbigi ni, “Kara icano wunu dan-ni piŋo? En otio tic aber i koma. 
MAT.26.11	Ocan itye wunu kedgi nino luŋ, ento an mom abino bedo kedwu nino luŋ. 
MAT.26.12	Moo man en oonyo i koma me eyik kede koma me ayika. 
MAT.26.13	Ateni akobbiwu ni, i wi podo luŋ kan ame obino tito iye amut aber-ri, obino kobo iye gin a dako-ni otio, me poyo en.”
MAT.26.14	I kare-nono dano acel i akina jo apar wie aryo, nyiŋe Juda me Keriot, owoto baŋ olamdog adoŋo, 
MAT.26.15	te penyogi ni, “Ibino miya wunu ŋo, ka an abino miye baŋwu?” Gin te cule kede ciliŋ me kare naca pyeradek. 
MAT.26.16	Cakere i kare-naca en te yenyo kare aber me miyo Yecu baŋgi.
MAT.26.17	I nino me agege me camo Ogati a Tobi Mom iye, jo a lubo Yecu obino baŋe te penye ni, “Imito ni owot oyik tuŋ kwene me icam iye cam me Kato?” 
MAT.26.18	En te gamo ni, “Wot wunu i Jerucalem baŋ ŋadi ite kobbe wunu ni, ‘Apwony okobo ni, karena doŋ ceggi. Abino camo Kato baŋi, karacel kede jo a luba.’ ” 
MAT.26.19	Jo a lube te timo acalo Yecu ocikogi, ote yubo cam me Kato.
MAT.26.20	Ame piny doŋ oyuto, en obedo piny i dog cem karacel kede jo a lube apar wie aryo. 
MAT.26.21	A doŋ gin tye ka cam, Yecu te kobo ni, “Ateni akobbiwu ni, ŋat acel i akinawu bino keto erupe i koma.” 
MAT.26.22	Gin te conne meicel, eka ote ero penye acel acel ni, “Apwony, an ce?” 
MAT.26.23	En te gamo ni, “Dano ame ogweo wan kede i tabo acel, en a bino keto erupe i koma. 
MAT.26.24	Wot a dano awot acalo yam ocoo i kome; ento dano ame aketo erupe i kom Wot a dano-nu, kite ame ebino neno can kede! Onwoŋo kono obedo ber, dano-nono kono rik pe onywalo.” 
MAT.26.25	Juda ame oketo erupe i kome te penye ni, “Rabbi, an ce?” En te dok iye ni, “Yin ikobo giri.”
MAT.26.26	Ame gin pwod acamo cem, Yecu omako ogati; ka doŋ okwao iye winyo, onyinyilo, omio baŋ jo a lube kun kobo ni, “Gam icam wunu, man en koma.” 
MAT.26.27	Otiŋo ikopo; ka doŋ opwoo, omiogi kun kobo ni, “Wun ducu mat wunu man; 
MAT.26.28	pien man en remona me cikere, ame oony pi jo apol me gonyo bal. 
MAT.26.29	Atittiwu ni, cakere amanni, mom dok abino mato pig olok, ituno i nino ca ka ate bino mato anyennere karacel kedwu i loc a Pappa.” 
MAT.26.30	A doŋ gin otyeko wer, ote wot oko i wi kidi me Jeituni.
MAT.26.32	Ento ka doŋ ocera, abino telliwu yo me wot i Galilaya.” 
MAT.26.33	Petero te kobbe ni, “Kadi bed jo ducu bino kwanyo gengi oko i komi, cite an mom abino kwanyo.” 
MAT.26.34	Yecu te kobbe ni, “Ateni akobbi ni, tin, i dyewor man, a twon gweno pe ru okok, yin ibino kwera tyen adek.” 
MAT.26.35	Petero te kobbe ni, “Kadi bed to, mom abino kweri.” Jo a lube ducu te kobo kite-nono.
MAT.26.36	A doŋ Yecu owoto kedgi i kabedo ame olwoŋo Gececemane, en te ciko jo a lube ni, “Bedu kan koŋ, pwod awot kwayo Obaŋa kano.” 
MAT.26.37	En te tero Petero kede itino a Jebedayo aryo, eka te ero conne oko kede kumo adwoŋ. 
MAT.26.38	Te kobbigi ni, “Waŋcuny atek amito neka oko. Bed wunu kan, ikiu piny karacel keda.” 
MAT.26.39	Te wot i nyim anok, oryebere piny, te kwayo ni, “Pappa, ka twerre, wek ikopo man kat oko i baŋa: cite kur bed acalo an amito, ento acalo yin imito.” 
MAT.26.40	Te dwogo baŋ jo mere a lube, onwoŋogi doŋonino oko, te kobbi Petero ni, “Kara mom itwero wunu kiyo piny keda pi caa acelloro? 
MAT.26.41	Kiu piny, kwa wunu Obaŋa, me kur idony wunu i abita a Catan. Cuny mito ta, ento kom nyap.” 
MAT.26.42	Tedok wot tyen me aryo, te kwayo Obaŋa kun kobo ni, “Pappa, ka ikopo man mom twero kato ame pe ru amato, wek gin ame imito timere.” 
MAT.26.43	Te dok dwogo, onwoŋo doŋ gin onino oko, pien onwoŋo nino onuro waŋgi. 
MAT.26.44	Te dok wekogi, owoto okwao Obaŋa tyen me adek, kun kobo kite kop acellaca. 
MAT.26.45	Ka otum, en te dwogo baŋ jo mere a lube, te penyogi ni, “Pwod inino wunu? Pwod iweo wunu bo? Nen, ca doŋ ceggi, Wot a dano otye a miye iciŋ obalo. 
MAT.26.46	Ya wunu malo, owotu. Nen dano ame oketo erupe i koma doŋ ceggi.”
MAT.26.47	A pwod etye ekop, nen, Juda te pello, en dano acel i akina jo apar wie aryo-ca. En obino kede lwak jo apol ame oya ibaŋ olamdog adoŋo kede odoŋe me Ojudaya, kun gin tye kede pale me romo kede abiriŋ. 
MAT.26.48	Dano ame oketo erupe i kome nwaŋ omiogi anyut, kun kobo ni, “Dano ame abino moto kun anoto leme, nwoŋo en ennono ikome; make wunu.” 
MAT.26.49	Te onyakino baŋ Yecu, te mote ni, “Rabbi, itye?” Onoto leme. 
MAT.26.50	Yecu te gamo ni, “Awotta, i bino piŋo?” Eka gin te bino poto i kom Yecu, ote make oko. 
MAT.26.51	Nen, dano moro acel ame tye baŋ Yecu oryeo ciŋe, owoto pala romo mere, te toŋo i yit opii alamdog adwoŋ, ŋolo oko. 
MAT.26.52	Yecu te kobbe ni, “Dwok pala batti i akuro mere; pien jo ducu amako pala me romo obino tyekogi i pala me romo. 
MAT.26.53	Onyo itamo ni mom atwero kwayo Pappa me mia omalaika ame kato eryoŋet apar wie aryo oko, i caa man? 
MAT.26.54	Kara coc a yam ocoo bino cobere kakare niŋo, ni myero bed amannono?” 
MAT.26.55	I kare-nono Yecu te kobbi lwak ni, “Ibino wunu i koma kede pale me romo kede abiriŋ, bala ibino wunu mako ayak? Nino luŋ nwaŋ abedo kedwu i ot Obaŋa kun apwonyo, mom imaka wunu. 
MAT.26.56	Ento mano ducu otimere wek coc a yam ocoo cobere kakare.” I kare-nu jo a lube ducu oriŋo, ote weke oko.
MAT.26.57	Jo ame omako Yecu otere baŋ Kayapa, alamdog adwoŋ, kan ame opwony-cik kede odoŋe ocokere iye karacel. 
MAT.26.58	Petero obedo lubo yore me icecen ituno naka i dyekal alamdog adwoŋ. Odonyo iye te bedo piny karacel kede otic me enen kit a bino gik kede.
MAT.26.59	Olamdog adoŋo kede okiko ducu te yenyo caden me kel kop goba i kom Yecu me oneke, 
MAT.26.60	naka mom onwoŋo, kadi bed caden apol okelo kop me goba. Me agikki mere jo aryo te bino, 
MAT.26.61	kun okobo ni, “Dano man okobo ni, ‘Atwero ke to ot Obaŋa, eka ate dok gero i nino adek.’ ” 
MAT.26.62	Alamdog adwoŋ te putte malo, te penye ni, “Mom idok iye kopporo? Man kop aŋo ame odoti kede-ni?” 
MAT.26.63	Ento Yecu te liŋ gire aliŋa. Alamdog adwoŋ te dok kobbe ni, “Amito ikwoŋ i nyiŋ Obaŋa akwo, itittiwa ka yin i Kricito, Wot Obaŋa.”
MAT.26.66	Itamo wunu nino iye?” Gin te dokke iye ni, “Ballere romo to.”
MAT.26.68	“Yin i Kricito, yin adwarpiny do, tucciwa! Kara ŋa ojwati?”
MAT.26.69	Petero onwoŋo tye oko, obedo piny i dyekal. Aŋeca moro te bino baŋe, te kobo ni, “Yin daŋ woki itye wun kede Yecu me Galilaya.” 
MAT.26.70	Ento en okwero i nyimgi ducu kun kobo ni, “An mom aniaŋ gin ikobo.” 
MAT.26.71	En te kato i dog paco, aŋeca ocele te nene te kobbi jo a tye kuno ni, “Dano man woki tye gin i Yecu me Najaret.”
MAT.26.72	En dok te kwero oko kun kwoŋo akwoŋa, akobo ni, “An gira mom aŋeo dano-naca.” 
MAT.26.73	Kare te kato anok, jo ame ocuŋ kuno te bino baŋe kun okobbe ni, “Ateni yin daŋ dano acel i akinagi, pien kite me koppi nyuti.” 
MAT.26.74	En te dok kwoŋ kun lamere kene akobo ni, “An gira mom aŋeo dano-naca.” Cucuttono twon gweno te mwoco koko.
MAT.26.75	Petero te po i kop a rik Yecu okobbe, ni, “Ame pe ru twon gweno okok, ibino kwera tyen adek.” Okato oko, okok kun cunye waŋ meicel.
MAT.27.1	Ka piny oru, olamdog adoŋo kede odoŋe me Ojudaya oporo kop karacel me neko Yecu; 
MAT.27.2	ote tweye, tere, ote miye baŋ Pilato aloc.
MAT.27.4	kun kobo ni, “An abalo pi keto erupe i kom remo a mom i bal.” Ento gin te dokke iye ni, “Mannono kopwa bo? Koppi giri.” 
MAT.27.5	En te bolo lim piny i ot Obaŋa, te wot deye oko. 
MAT.27.6	Olamdog adoŋo te tero lim-mu kun okobo ni, “Pe myero oket i akina lim me ot Obaŋa, pien owino kede remo.” 
MAT.27.7	Cite gin oporo kop karacel, ote wilo kede poto acwegulli, te bedo me yiko wele. 
MAT.27.8	Pi mano ote lwoŋo poto-nu ni, Poto me Remo, anaka tin. 
MAT.27.9	Kittono kop a yam adwarpiny Jeremia okobo ocobere kakare, ni, “Rik gin otero ciliŋ pyeradek, i wel a dano ame jo mogo i akina ikwae Icrael oŋolo wellere, 
MAT.27.10	ote miyo poto acwe-gulli, acalo Rwot ocika.”
MAT.27.11	Yecu ocuŋ i nyim aloc, aloc te penye ni, “Yin Abaka Ojudaya?” Yecu te kobo ni, “Yin ikobo giri.” 
MAT.27.12	Ento ka olamdog adoŋo kede odoŋe odote kede kop apol, en mom odok i kopporo. 
MAT.27.13	Pilato te penye ni, “Yin mom iwinyo kop apol ame odoti kede-ni, ce?” 
MAT.27.14	Ento kop ducu ame okelo en mom odok i moro acelloro; man omio aloc owuro meicel.
MAT.27.15	I kare me ecuban aloc yam goŋnyi lwak abuccoro acel ame gin omito. 
MAT.27.16	I kare-nono onwoŋo gin tye kede abucoro a ŋeye, a nyiŋe Baraba. 
MAT.27.17	A doŋ gin ocokere karacel, Pilato te penyogi ni, “Imito ni agonnyiwu ŋa, Baraba, onyo Yecu ame olwoŋo Kricito?” 
MAT.27.18	Pien en oŋeo ni gin omie baŋe ni nyeko.
MAT.27.19	Ame en doŋobedo i wi kom me ŋolo kop, dako mere ocwao kwena baŋe ni, “Kur itim ginnoro i kom dano-nu ame kite atira, pien tin i waŋ lek aneno can adwoŋ meicel pire.”
MAT.27.20	Ento olamdog adoŋo kede odoŋe te cupo lwak oko me gin kwa ka Baraba, omi nek Yecu oko. 
MAT.27.21	Aloc te dok penyogi ni, “I kom jo-ni aryo-ni imito wunu ni gonnyiwu ŋa?” Gin te dok iye ni, “Baraba.” 
MAT.27.22	Pilato dok openyogi ni, “Kara Yecu ame olwoŋo Kricito abino timo nadi?” Gin ducu ote gamo ni, “Myero gure i kom yataria.” 
MAT.27.23	En te kobo ni, “Kara piŋo? Gin aŋo arac ame otimo?” Ento gin omedde i redo ni, “Myero gure i kom yataria!” 
MAT.27.24	Pilato ka oneno ni mom doŋatwerre, woo amedde ka ameda, te kwanyo pii, logo kede ciŋe i nyim lwak kun kobo ni, “Bal me remo a dano man mom i koma gira; kop mewu giwu.” 
MAT.27.25	Jo luŋ te gamo ni, “Remo mere bed i wiwa kede i wi ikwaewa.” 
MAT.27.26	Eka te doŋgonnyigi Baraba, te pwodo Yecu kede del, te miye me agura i kom yataria.
MAT.27.27	Cirikale aloc otero Yecu i Praitorion, eka ote coko eryoŋet megi ducu i nyime. 
MAT.27.28	Gin te gonyo boŋo mere oko i kome, ote ruke kede jor arema. 
MAT.27.29	Ote kado alukana me okuto, rwako i wie, ote keto ogada i ciŋe tuŋ cem. Orumo congi i nyime, oŋale kun okobo ni, “Oreme ba, Abaka Ojudaya!” 
MAT.27.30	Opato lao i kome, okwanyo ogada, ote jwato i wie. 
MAT.27.31	A doŋgin otyeko ŋale, ote doŋgonyo jor i kome oko, ote ruke kede boŋŋi mere ikome, ote tere me wot gure i kom yataria.
MAT.27.32	Ame onwoŋo gin adonyo oko, orwatte kede dano moro me Kurene nyiŋe Cimon, ote diye me ye yataria a Yecu. 
MAT.27.33	Ame gin otuno i kabedo a nyiŋe Golgota, ame te koppere ni, kabedo me Cogo Wic, 
MAT.27.34	ote miye kono ame orubo kede epio ni mati; ka obilo, mom oye mato.
MAT.27.36	gin te bedo piny kuno kure. 
MAT.27.37	Kop ame opide pire oguro malo i wie; ocoo ni, “Man Yecu, Abaka Ojudaya.” 
MAT.27.38	Ogure karacel kede oyakkogo aryo, dano acel i laŋete tuŋ cem, acel tun cam.
MAT.27.40	ame okobo ni, “Yin ame iketo ot Obaŋa ite gero i nino adek, larre keni koŋ. Ka yin i Wot Obaŋa, yitto piny, iya i kom yat oko!” 
MAT.27.41	Anaka olamdog adoŋo kede opwonycik kede odoŋe daŋ oŋale amannono kun okobo ni, 
MAT.27.42	“Yam laro jo ocele, mom twero larre kene. En Abaka Icrael do; koŋ yitto piny, ya i kom yataria amanni, cite obino ye en. 
MAT.27.43	En geno Obaŋa, koŋ larre amanni, ka en mito; pien yam okobo ni, ‘An a Wot Obaŋa.’ ” 
MAT.27.44	Anaka oyak ame oguro karacel kede daŋ acoc amannono.
MAT.27.45	Cakere i caa abicel piny te doko col i wi lobo luŋ, tuno anaka caa aboŋwen. 
MAT.27.46	I akina me caa aboŋwen Yecu oredo kede dwon aloŋo ni, “Eli, Eli, lama cabaktani?” ame te koppere ni, “Obaŋana, Obaŋana, iweka piŋo?” 
MAT.27.47	Jo mogo ame ocuŋ kuno, ka gin owinyo, ote kobo ni, “Lo-ni alwoŋo Elia.” 
MAT.27.48	Cucuttono dano acel i akinagi oriŋo, te kwanyo abwaŋarot, te luto i kono awac, orwako i wi tir, te miye ni jwi. 
MAT.27.49	Jo okene okobo ni, “Weku koŋ onen ka Elia abino me larre.” 
MAT.27.50	Yecu te dok redo i dwon aloŋo, te doŋ jalo kwo mere oko.
MAT.27.52	dog lyele daŋ te yabere oko, kom jo acil apol a yam oto te cer oko. 
MAT.27.53	Gin odonyo oko i lyelegi; ame Yecu doŋ ocer, gin te wot i boma acil, jo apol onenogi. 
MAT.27.54	Adwoŋ me cirikale karacel kede jo a rik tye kede kun okuro Yecu, ka oneno piny oyeŋere kede gin ducu ame otimere, lworo omakogi atek, ote kobo ni, “Ateni, man kara onwoŋo atin Obaŋa!”
MAT.27.56	I akinagi onwoŋo tye Maliam me Magdala. Maliam tota a Yakobo kede Yucepu, kede toto otino a Jebedayo.
MAT.27.57	Otyeno te bino dano moro ame alonyo, me Arimataya, nyiŋe Yucepu; en ikome daŋ onwoŋo alub Yecu. 
MAT.27.58	En owoto baŋ Pilato, okwao kom Yecu. Pilato te ciko ni mie. 
MAT.27.59	Yucepu otero kome, te boye kede cuka camanini acil, 
MAT.27.60	te pyele i lyellere ikome a pwod nyen ame oboro abora i lela, oloro kidi adwoŋ, ogacakino i doge, te wot oko.
MAT.27.61	Maliam me Magdala kede Maliam ocele-nu onwoŋo tye kuno, obedo gigi piny i nyim lyel.
MAT.27.62	Odiko mere, ame en nino a lubo ceŋ me Yikere, olamdog adoŋo kede Oparicayo te cokere karacel baŋ Pilato, 
MAT.27.63	ote kobbe ni, “Adwoŋ, doŋ opo ni dano ame agoba ca, ame rik pwod kwo okobo ni, ‘A doŋ nino adek okato abino cer oko.’ 
MAT.27.64	Pi mannono, cik me gwok lyel ituno i nino me adekkere, me jo a lube kur bin dyewor ote bino kwalo oko, eka ote kobbi jo ni, ‘En doŋ ocer oko i akina jo oto’; mano mio bwol man me agikki bino doŋ bedo arac akato me agege.” 
MAT.27.65	Pilato te kobbigi ni, “Wun itye wunu kede okur; wotu, igwoke acalo itwero wunu.” 
MAT.27.66	Gin ote wot cego lyel aber a kun omwono anen iye i kom kidi, ote keto iye okur me gwoko.
MAT.28.1	Ame cabit doŋ otum, ka ibayi i nino ame lubo cabit Ojudaya. Maliam me Magdala kede Maliam ocele ca owoto me neno lyel. 
MAT.28.2	Oyeŋo te yeŋo piny meicel, pien omalaika a Rwot oyitto piny ame oya i polo, obino ocoro kidi teŋe, te bedo i wie. 
MAT.28.3	Nennere nen bala lutkot, rukkere tar bala pee. 
MAT.28.4	Omyelo kom okur meicel pi lworo, ote doko bala jo oto. 
MAT.28.5	Amalaika te juko mon, ni, “Kur ilwor wunu; pien aŋeo ni iyenyo wunu Yecu a yam oguro i kom yat. 
MAT.28.6	En mom tye kan, pien ocer oko acalo rik okobo. Biye inen wunu ka buto mere. 
MAT.28.7	Wot wunu oyotoyot, ikobbi wunu jo a lube ni, en otyeko cer oko i akina jo oto. En doŋ atelliwu yo me wot i Galilaya, ibino nene wunu kuno. Nen, atyeko tittiwu.”
MAT.28.8	Gin te ya oko oyotoyot i lyel kun otye i lworo kede yomcuny adwoŋ meicel, ote riŋo tito kop man baŋ jo a lube. 
MAT.28.9	Cite nen, Yecu te rwatte kedgi, te motogi ni, “Oreme wunu ba,” Gin obino baŋe, ote mako tyene, ryebere piny i nyime. 
MAT.28.10	Yecu te kobbigi ni, “Kur ilwor wunu; wot wunu, ititti wunu omegona ni gin owot i Galilaya, gin bino nena kuno.”
MAT.28.11	Ame gin awot oko, jo mogo i akina okur te wot paco me dwoko kop pi gin otimere baŋ olamdog adoŋo. 
MAT.28.12	Eka gin te cokere karacel kede odoŋe, oporo kop, ote miyo lim abup baŋ ocirikale, 
MAT.28.13	ote cikogi ni, “Kobbi wunu jo ni, ‘Jo mere a lube obino dyewor, ote kwale oko ame wan onino.’ 
MAT.28.14	Ka kop-pi bino winyere baŋ aloc, wan obino bibito en, me cannoro kur pot i komwu.” 
MAT.28.15	Gin te gamo gigi lim, ote timo kite acalo opwonyogi kede; omio kop man olal i akina Ojudaya, winyere naka tin.
MAT.28.17	Ka gin onene, oryebere piny i nyime, ento jo mogo okalo akala. 
MAT.28.18	Yecu te bino baŋgi, te kop kedgi kun kobo ni, “Twer luŋ aluŋa i wi podo kede i lobo doŋ omio baŋa oko. 
MAT.28.19	Doŋ ba, wot ilok wunu jo ducu odok jo a luba; ibatijagi wunu i nyiŋ Apap, kede Wod, kede Cuny Acil, 
MAT.28.20	kun ipwonyogi wunu mako gin ducu a rik acikowu. Nen ba, atye kedwu kare luŋ, ituno i agikki piny.”
MRK.1.1	Man en ageyi me amut aber i kom Yecu Kricito, Wot Obaŋa, 
MRK.1.2	acalo nwaŋ adwarpiny Icaya ocoo, ni,
MRK.1.2	“Nen, acwao aorra i nyimi;
MRK.1.2	en bino gero yo piri.
MRK.1.3	‘Ger wunu yo pi Rwot,
MRK.1.3	yik wunu gudo mere cuŋ atira.’ ”
MRK.1.4	Amannono Lakana Abatija obin onen i tim kun rabo kop ni, “Ŋut wunu, me batijawu, me Obaŋa wek balwu.” 
MRK.1.5	Jo rik ya i lobo ducu me Judaya, kede jo luŋ me Jerucalem, ciro bino baŋe. Gin tuco balgi, en batijagi i kulo Jordan.
MRK.1.7	En rabo kop kun kobo ni, “Ŋattoro tye ame alubo ŋea, en tek, kata oko; an mom aromo guŋo gonyo del amukkere. 
MRK.1.8	An abatijawu kede pii, ento en bino batijawu kede Cuny Acil.”
MRK.1.9	I kare-nono Yecu rik obino kun oya i Najaret me Galilaya, Lakana obatija en i Jordan. 
MRK.1.10	Ame en pwod oya ayaa i pii, oyotoyot Yecu oneno polo obarre, Cuny Acil obino acalo amam, olyao piny, opoto i kome. 
MRK.1.11	Dwonnoro te ya i polo kun kobo ni, “Yin Woda ame amaro, cunya yom i komi.”
MRK.1.12	Cucuttono Cuny Acil te cwaye itim. 
MRK.1.13	Obedo i tim nino pyeraŋwen kun Catan bite. Leyi me tim onwoŋo daŋ tye kannono, omalaika okonye.
MRK.1.14	I kare a doŋ otweo Lakana i buc, Yecu obino i Galilaya kun rabo amut aber ame oya i baŋ Obaŋa, 
MRK.1.15	kun kobo ni, “Kare doŋ oromo, loc Obaŋa doŋ onoko ceggi; ŋut wunu, iye wunu amut aber.”
MRK.1.16	Ka cen owoto i dog nam me Galilaya, oneno Cimon gin ominnere Anderiya; otye ka ciko bwo iyi nam, pien ceŋ gin ocik rec. 
MRK.1.17	Yecu okobbigi ni, “Biye iluba wunu, abino lokowu ocok jo akaka rec.” 
MRK.1.18	Oyotoyot gin oweko bwoyigi, ote Lube. 
MRK.1.19	Dok owoto i nyim anonok, te neno Yakobo gin ominnere Lakana itino a Jebedayo, kun obedo i yee, oropo bwoyigi. 
MRK.1.20	Cucuttono olwonogi, gin oweko papagi Jebedayo odoŋ kede opakaca i yee, ote lube.
MRK.1.21	Gin owoto i Kapernaum. Ka ceŋ me cabit oromo, Yecu odonyo i kacokere, opwonyogi. 
MRK.1.22	Gin owuro pwonnyere atek, pien opwonyogi acalo ŋat a tye kede twer, pe acalo opwony-cik. 
MRK.1.23	I kacokeregi onwoŋo tye iye dano moro a tye kede cen arac. 
MRK.1.24	En oredo ni, “Kara ilaro ŋo kedwa, yin Yecu me Najaret? Ibino pi tyekowa atyeka bo? An aŋei, yin Ŋat Acil Obaŋa.” 
MRK.1.25	Ento Yecu tejuke ni, “Liŋiti, ya oko i kome.” 
MRK.1.26	Cen arac omie oryeye, oredo kede dwon aloŋo, te ya i kome. 
MRK.1.27	Omio jo luŋ owuro atek, kun openyere kengi kengi ni, “Man ŋo kara? Man pwony anyen, tye iye twer! En ciko anaka cen areco, owinyo doge.” 
MRK.1.28	Cucuttono rwoŋe te rwo i kabedo ducu i lobo Galilaya ame omano kuno luŋ.
MRK.1.29	Yecu oya i kacokere, te wot i paco a Cimon kede Anderiya; Yakobo kede Lakana daŋ owoto kede. 
MRK.1.30	Maro a Cimon onwoŋo obuto, kun tye kede lyeto i kome; cucut otitte pire. 
MRK.1.31	En owoto baŋe, omako ciŋe, otire malo, lyeto oya i kome, te cako konyogi.
MRK.1.32	Otyeno ka ceŋ doŋ opoto, jo okelo baŋ Yecu otwo ducu, kede wegi cen areco; 
MRK.1.33	jo boma-nu luŋ ocokere i dog ot! 
MRK.1.34	En ocaŋo otwo apol ame kwon toogi papat, oryemo cen apol. Pe oye ni cennoro kob kopporo, pien oŋee.
MRK.1.35	Odiko con meicel ame piny pwod col, Yecu odilo, okato oko. Owoto kan a jo pe iye, orio ka kwayo Obaŋa kuno. 
MRK.1.36	Cimon kede owote mere owopo yore. 
MRK.1.37	Ka gin onwoŋe, okobbe ni, “Jo luŋ tye ka moyi.” 
MRK.1.38	En odokkigi iye ni, “Owotu dok i boma mogo ocele ame ceggiceggi kede kan, me arab kop kuno daŋ, pien cen abino pi koppono.” 
MRK.1.39	Owoto i dye Galilaya luŋ, orabo kop i kacokeregi, kun ryemo cen.
MRK.1.40	Adobo moro obino baŋe, obako doge kun rumo piny, te kobo ni, “Ka imito, itwero lonya.” 
MRK.1.41	Kica omako Yecu, te ryeyo bade, te gude kun kobo ni, “Ee, amito; lonyere giri.” 
MRK.1.42	Cucuttono dobo te ony i kome oko, te lony. 
MRK.1.43	Yecu ocwae kun cike atek, 
MRK.1.44	kobbe ni, “Winy ba, kur ikob i dano moro, ento wot giri, inyutte keni baŋ alamdog, imi mot pi lonyere meri acalo rik Muca ociko, obed anyut baŋgi.” 
MRK.1.45	Ento en owoto, oero rabo pire atek, kede lalo koppono. Pi mannono omio Yecu pe dok twero donyo i boma moro kannaler, ento bedo teŋe kan a jo pe iye; jo ya i kabedo ducu bino baŋe.
MRK.2.1	Ka nino okato anok, Yecu dok odwogo i Kapernaum, jo te winyo ni en tye paco. 
MRK.2.2	Ote cokere apol, omio kabedo te dokkigi adiŋ oko, anaka atot i doggola daŋ; en obedo ka rabo kop baŋgi. 
MRK.2.3	Jo moro te bino kun okelo baŋe dano ame two too me akwea kom, ame jo aŋwen odyelo. 
MRK.2.4	Ka yo me tere i nyim Yecu oloogi pi pol a lwak, gin te tuco wi ot kan a en tye iye; ka doŋ omuko, ote cwayo gi-buto ame atwo obuto iye. 
MRK.2.5	Yecu ka oneno iyeegi, te kop kede atwo ni, “Awobi, balli doŋ oweko oko.” 
MRK.2.6	Opwony-cikkogo ame onwoŋo obedo kuno opyem i cunygi kengi ni, 
MRK.2.7	“Dano man kobo aman piŋo? En ayeto Obaŋa! Ŋa ame twero weko bal, kono Obaŋa keken gire?” 
MRK.2.8	Piopio-nono Yecu te niaŋ oko i cunye ni gin otye ka tamo amannono i yigi, te penyogi ni, “Piŋo ipyem wunu i cunywu amannono? 
MRK.2.9	Kara ayottere mene, ka okobbi atwo ni, ‘Balli doŋ oweko oko’, onyo ni, ‘Ya, itiŋ gibutoni, iwoti?’ 
MRK.2.10	Ento an amito iŋe wunu ni, Wot a dano tye kede twer i lobo me weko bal.” En te kobbi lo ame two too akwea kom ni, 
MRK.2.11	“An akobbi ni, ya, itiŋ gi-butoni, iwot giri paco.” 
MRK.2.12	En oya, otiŋo gi-buto mere oyotoyot, odonyo oko kun kato i nyimgi ducu, omio gin luŋ owuro meicel, daŋ ote pako Obaŋa a kun okobo ni, “Anaka cene mom ru oneno gin acalo man.” 
MRK.2.13	Yecu dok te wot oko i dog nam me Galilaya; lwak ducu obino baŋe, en opwonyogi. 
MRK.2.14	Ka okato iyo, oneno Levi, wot a Alipayo ame obedo piny i ka rayo ocoro; okobbe ni, “Luba,” En oya, olube. 
MRK.2.15	Ame Yecu obedo piny i dog cem i ot a Levi, ora-ocoro apol anaka obalo obedo piny karacel kede Yecu kede jo a lube, pien onwoŋo kodi jo-nono apol tye a lube. 
MRK.2.16	Opwony cik ame i akina Oparicayo oneno ni en acem karacel kede obalo kede oraocoro, ote penyo jo a lube ni, “Kara piŋo en cemo karacel kede ora-ocoro anaka obalo-gu?” 
MRK.2.17	Ka Yecu owinyo, te kobbigi ni, “lo a komgi yot mom mito dakatal, kono ka jo a komgi lit. An mom abino me cwano jo a kitegi atira, ento obalo.”
