GEN.1.1	Ne waro Õꞌacʉ̃ ʉꞌmʉse, tojo nicã diꞌtare bajurẽcʉ niwĩ. 
MAT.9.4	—¿Deꞌro weerã mʉsã yʉꞌʉre ñaꞌarõ wãcũti? 
MAT.9.5	¿Deꞌro nise peꞌe diasatibutiati? ¿“Mʉꞌʉ ñaꞌarõ weeꞌquere acobojonoꞌtojaꞌa” o “Wãꞌcãnʉꞌcã, sijawãꞌcãña” nise peꞌe diasaweti? “Mʉꞌʉ ñaꞌarõ weeꞌquere acobojonoꞌtojaꞌa” nicã ĩꞌatimirã, ẽjõpeoya marĩꞌi. “Wãꞌcãnʉꞌcã, sijawãꞌcãña” nicã peꞌema, cʉ̃ sijasere ĩꞌatojarãpʉ “Diacjʉ̃ta niꞌi”, ni ẽjõpeoꞌo. 
MAT.9.6	Tojo weegʉ yʉꞌʉ Õꞌacʉ̃ macʉ̃ masʉ̃ weronojõ upʉtigʉ yʉꞌʉ tutuasere ĩꞌogʉ̃, ãꞌrĩ sijamasĩtigʉre yʉꞌrʉogʉti. Te meꞌrã mʉsã yʉꞌʉ masã ñaꞌarõ weeꞌquere acobojomasĩsere masĩrãsaꞌa, nicʉ niwĩ.
MAT.9.6	Beꞌro sijamasĩtigʉre aꞌtiro nicʉ niwĩ:
MAT.9.6	—Wãꞌcãnʉꞌcãña. Mʉꞌʉ cũñaꞌcarore tuutũrẽ, miiwʉa tojaagʉsaꞌa mʉꞌʉ ya wiꞌipʉ, nicʉ niwĩ.
MAT.9.7	Cʉ̃ tojo nicã, sijamasĩtigʉ wãꞌcãnʉꞌcã, cʉ̃ ya wiꞌipʉ tojaa waꞌacʉ niwĩ. 
MAT.9.8	Masã cʉ̃ tojo waꞌasere ĩꞌarã, ʉpʉtʉ ʉcʉacãrã niwã. Tojo weerã Õꞌacʉ̃ ʉꞌmʉsepʉ nigʉ̃rẽ aꞌtiro nicãrã niwã:
MAT.9.8	—Mʉꞌʉ tutuase masʉ̃pʉre oꞌoꞌque añuyʉꞌrʉaꞌa, nicãrã niwã.
MAT.9.9	Jesú sijamasĩtigʉre yʉꞌrʉóca beꞌro waꞌagʉ, yʉꞌʉre ĩꞌabocawĩ. Yʉꞌʉ romano masã wiogʉre niyeru wapaseebosari wiꞌipʉ daꞌragʉ dujiwʉ. Yʉꞌʉre ĩꞌagʉ̃, “Yʉꞌʉ meꞌrã aꞌtia”, niwĩ. Cʉ̃ tojo nicãta, cʉ̃ meꞌrã waꞌawʉ.
MAT.9.10	Beꞌro ya wiꞌipʉ cʉ̃ buꞌerã meꞌrã baꞌagʉ waꞌawĩ. Na baꞌari cura ãpẽrã quẽꞌrã pãjãrã niyeru wapaseeri masã, tojo nicã judío masã “Ñaꞌarõ weeri masã nima” ninoꞌrã quẽꞌrã baꞌarã ejawã. 
MAT.9.11	Fariseo masã tojo weecã ĩꞌarã, cʉ̃ buꞌerãrẽ sẽrĩtiñaꞌwã:
MAT.9.11	—¿Deꞌro weegʉ mʉsãrẽ buꞌegʉ niyeru wapaseeri masã, ãpẽrã ñaꞌarõ weeri masã meꞌrã baꞌati? niwã.
MAT.9.12	Na tojo nisere tʉꞌogʉ, Jesú aꞌtiro niwĩ:
MAT.9.12	—Duti moorã ocoyedutirã duturure aꞌmatisama. Dutitirã pũrĩcã aꞌmasama. 
MAT.9.13	Õꞌacʉ̃ ye queti ojáca pũrĩpʉ na ojaꞌquere buꞌerã waꞌaya. Õꞌacʉ̃ cʉ̃ ucũꞌquere aꞌtiro ojacãrã niwã: “ ‘Yʉꞌʉ ãpẽrãrẽ pajañaꞌdutiꞌi. Waꞌicʉrã ʉ̃jʉ̃amorõpeosere ʉaweꞌe’, nicʉ niwĩ Õꞌacʉ̃”, ni ojanoꞌwʉ̃. Yʉꞌʉ “Añurã niꞌi” nirãrẽ aꞌmagʉ̃ aꞌtitiwʉ. Ãpẽrã “Ʉ̃sã ñaꞌarã niꞌi” nirã́ peꞌere aꞌmagʉ̃ aꞌtiwʉ. Na ñaꞌarõ weeꞌquere bʉjaweti dʉcayudutigʉ aꞌtiwʉ, niwĩ Jesú. 
MAT.9.14	Beꞌro Juã masãrẽ wãmeyeri masʉ̃ buꞌesere siruturi masã Jesú tiropʉ sẽrĩtiñaꞌrã etawã:
MAT.9.14	—¿Deꞌro weerã ʉ̃sã weronojõ, tojo nicã fariseo masã weronojõ mʉꞌʉ buꞌerã peꞌe Õꞌacʉ̃rẽ ñubuerã, beꞌtiweti? niwã.
MAT.9.15	Na tojo nicã, Jesú yʉꞌtiwĩ:
MAT.9.15	—¿Deꞌro weeacjʉ omocã dʉꞌtegʉ na meꞌrã nígʉ̃, cʉ̃ pijioꞌcãrãrẽ bʉjaweti, beꞌtidutibosari? Beꞌro cʉ̃rẽ ãpẽrã aperopʉ miáca beꞌro pũrĩcãrẽ bʉjaweti, beꞌtirãsama. Jesú, yʉꞌʉ na meꞌrã niꞌi yujupʉ; yʉꞌʉ na meꞌrã niticã pũrĩcãrẽ, beꞌtirãsama nígʉ̃, tojo niwĩ.
MAT.9.16	Apeye queose meꞌrã narẽ ninemowĩ. Tojo nígʉ̃, maꞌma cʉ̃ buꞌese meꞌrã todʉporopʉ na weesetiꞌque aꞌmesʉꞌamasĩtisaꞌa, nigʉ̃ weewĩ. Aꞌtiro queose oꞌowĩ:
MAT.9.16	—Mejã suꞌtiro maꞌma casero coeya marĩrĩ casero meꞌrã sereõꞌota basioweꞌe. Tojo weecãma, maꞌma casero coecã wejedʉꞌo, mejã suꞌtirore maata wejetʉ̃ꞌrẽsaꞌa. Nemorõ pajiri pe tʉ̃ꞌrʉ̃nemosaꞌa. 
MAT.9.17	Tojota waꞌasaꞌa maꞌma vino mejã ajuro waꞌicʉrã casero meꞌrã wééca ajuropʉ poseyecã. Pãꞌmʉyʉꞌrʉ, ti ajuro tʉ̃ꞌrʉ̃, vino piostepeꞌtia waꞌasaꞌa. Tojo waꞌacã, vino bajudutia waꞌasaꞌa. Ti ajuro quẽꞌrã cõꞌa waꞌasaꞌa. Tojo weero maꞌma vinorẽ maꞌma ajuropʉ poseyenoꞌo. Aꞌtiro weecã vino, tojo nicã ti ajuro queoro tojameꞌrĩcãꞌsaꞌa, niwĩ Jesú. Dʉporopʉ weesetiꞌque meꞌrã Jesú cʉ̃ niꞌcãrõacã maꞌma buꞌese morẽta basioweꞌe nígʉ̃, tojo niwĩ.
MAT.9.18	Jesú Juã wãmeyeri masʉ̃ buꞌerãrẽ ucũrĩ curare niꞌcʉ̃ judío masã nerẽrĩ wiꞌi wiogʉ etawĩ. Jesú pʉꞌto ejaqueꞌa, niwĩ:
MAT.9.18	—Yʉꞌʉ macõ niꞌcãrõacã wẽrĩa waꞌamo. Tojo waꞌamicã, ya wiꞌipʉ waꞌa, core ñapeocã, masãgõsamo tja, niwĩ.
MAT.9.19	Cʉ̃ tojo nicã tʉꞌogʉ, Jesú cʉ̃ meꞌrã waꞌawĩ. Ʉ̃sã cʉ̃ buꞌerã quẽꞌrã baꞌpatiwãꞌcãwʉ̃.
MAT.9.20	Maꞌapʉ ʉ̃sã waꞌari cura niꞌcõ numio doce cʉ̃ꞌmarĩ dí mejãrẽ dutitigo aꞌtico niwõ. Co Jesú sẽꞌemapʉ aꞌti, cʉ̃ yaro suꞌtiro yapapʉ ñeꞌeñaꞌco niwõ. 
MAT.9.21	Aꞌtiro wãcũco niwõ: “Yʉꞌʉ cʉ̃ ya suꞌtirore daꞌrañaꞌseacã meꞌrã yʉꞌrʉgosaꞌa”, nico niwõ. 
MAT.9.22	Co ñeꞌeñaꞌcã tʉꞌoñaꞌgʉ̃, Jesú core majãmiĩꞌa, niwĩ:
MAT.9.22	—Wãcũtutuaya. Mʉꞌʉ ẽjõpeotjĩagõ, yʉꞌrʉonoꞌcopʉ tojaꞌa, niwĩ.
MAT.9.22	Cʉ̃ tojo nicãta, dí wijamiꞌque bʉꞌanʉꞌcã peꞌtia waꞌacaro niwʉ̃.
MAT.9.23	Beꞌro Jesú wiogʉ ya wiꞌipʉ ejagʉ, na weewʉaronojõpʉma wẽrĩꞌcore yaari cura basapeorãrẽ bocaejawĩ. Tojo nicã masã quẽꞌrã ʉpʉtʉ uticã ĩꞌawĩ. 
MAT.9.24	Cʉ̃ ti wiꞌi poꞌpeapʉ nirãrẽ “Wijaaya. Co wẽrĩtimo. Cãrĩgõ weemo”, niwĩ.
MAT.9.24	Tere tʉꞌorã, masã cʉ̃rẽ bujicãꞌwã. 
MAT.9.25	Jesú narẽ wijaadutiwĩ. Beꞌro wẽrĩꞌco pesari tucũpʉ sãjãa, co ya omocãpʉ ñeꞌecʉ niwĩ. Tojo weecã, co wãꞌcãnʉꞌcãco niwõ. 
MAT.9.26	Beꞌro nipeꞌtiro ti diꞌtapʉre Jesú core masõꞌque queti seꞌsa waꞌacaro niwʉ̃.
MAT.9.27	Jesú wiogʉ ya wiꞌipʉ níꞌcʉ wijaari cura pʉarã caperi ĩꞌatirã cʉ̃rẽ caricũsirutuwã.
MAT.9.27	—Davi pãrãmi nituriagʉ, ʉ̃sãrẽ pajañaꞌcureya, ni caricũwã.
MAT.9.28	Beꞌro wiꞌipʉ sãjãcã, caperi ĩꞌatirã cʉ̃ pʉꞌtopʉ ejawã. Narẽ sẽrĩtiñaꞌwĩ:
MAT.9.28	—¿Yʉꞌʉ mʉsãrẽ ĩꞌacã weemasĩsere ẽjõpeoti? niwĩ.
MAT.9.28	—Ẽjõpeoꞌo, ni yʉꞌtiwã.
MAT.9.29	Na tojo nicã tʉꞌogʉ, Jesú na caperipʉ ñapeowĩ.
MAT.9.29	—Mʉsã ẽjõpeoꞌcaronojõ queoro waꞌato, niwĩ. 
MAT.9.30	Tojo nicãta, na ĩꞌawã. Beꞌro “Yʉꞌʉ mʉsãrẽ tojo weesere ãpẽrãrẽ wereticãꞌña”, niwĩ.
MAT.9.31	Cʉ̃ tojo nimicã, na wijááca beꞌroacãta nipeꞌtiro ti diꞌtapʉ cʉ̃ narẽ yʉꞌrʉoꞌquere werestepeꞌocãꞌcãrã niwã.
MAT.9.32	Caperi bajunoꞌtiꞌcãrã wijaari cura aꞌtiro waꞌawʉ. Ãpẽrã Jesú tiropʉ niꞌcʉ̃ ucũmasĩtigʉ wãtĩ sãjãnoꞌcʉre miiejawã. 
MAT.9.33	Jesú cʉ̃rẽ ĩꞌagʉ̃, wãtĩ cʉ̃pʉre nigʉ̃rẽ cõꞌawĩrõwĩ. Tojo weecã, cʉ̃ ucũmasĩtiꞌcʉ ucũnʉꞌcãwĩ. Tocjãrã tere ʉpʉtʉ ĩꞌamarĩatjĩarã, aꞌtiro niwã:
MAT.9.33	—Marĩ aꞌto Israe curuacjãrã tiropʉre tojo waꞌacã, ne niꞌcãti ĩꞌatirã nicãti, niwã.
MAT.9.34	Fariseo masã peꞌe aꞌtiro niwã:
MAT.9.34	—Wãtĩa wiogʉ tutuaro meꞌrã ãꞌrĩ wãtĩarẽ cõꞌawĩrõsami, niwã.
MAT.9.35	Jesú nipeꞌtise macãrĩpʉ judío masã nerẽse wiꞌserinʉcʉ̃ buꞌecusiagʉ waꞌawĩ. Añuse queti Õꞌacʉ̃ masãrẽ yʉꞌrʉose quetire werewĩ. Tojo nicã Õꞌacʉ̃ wiogʉ nimi nise quetire weregʉ waꞌawĩ. Dutitirãrẽ deꞌro na pũrĩnoꞌsere yʉꞌrʉowĩ. 
MAT.9.36	Masãrẽ ĩꞌagʉ̃, pũrõ pajañaꞌwĩ. Na bʉjawetirã, wãcũtutuatirã ovejare coꞌtegʉ moorã weronojõ niwã. 
MAT.9.37	Tojo weegʉ Jesú ʉ̃sã cʉ̃ buꞌerãrẽ niwĩ:
MAT.9.37	—Diacjʉ̃ta niꞌi. Marĩ otese peje pĩꞌrĩ dʉcatiꞌi. Tere miirã peꞌe marĩbocurema. 
MAT.9.38	Tojo weerã te otese wiogʉre ãpẽrã miitamuajãrẽ sẽrĩnemoña, niwĩ Jesú. Aꞌte weronojõ Õꞌacʉ̃ ye quetire masĩsĩꞌrĩrã, pãjãrã waro nima. Mejõ te quetire wererã peꞌe pejetirãcã nima. Tojo weerã ãpẽrã cʉ̃ oꞌónemocã, Õꞌacʉ̃rẽ sẽrĩña, niwĩ Jesú.
MAT.10.1	Jesú masãrẽ buꞌéca beꞌro ʉ̃sã cʉ̃ buꞌerã docere besewĩ. Ʉ̃sãrẽ masãpʉ nirã́ wãtĩarẽ cõꞌawĩrõmasĩsere oꞌowĩ. Tojo nicã nipeꞌtise duti yʉꞌrʉomasĩsere oꞌowĩ.
MAT.10.2	Ʉ̃sã cʉ̃ beseꞌcãrã doce aꞌtiro wãmetiwʉ. Ne waro Simó niwĩ. Apetero cʉ̃rẽta tja Pedro pisuwã. Beꞌro cʉ̃ acabiji André niwĩ. Cʉ̃ beꞌro Santiago, tojo nicã cʉ̃ acabiji Juã, na pʉarãpʉta Zebedeo põꞌrã niwã. 
MAT.10.3	Apĩ Felipe, apĩ Bartolomé, apĩ Tomás niwã. Yʉꞌʉ Mateo romano masã wiogʉre niyeru wapaseebosagʉ níꞌcʉ quẽꞌrã na meꞌrã niwʉ̃. Apĩ Santiago Alfeo macʉ̃ niwĩ. Tojo nicã Tadeo niwĩ. 
MAT.10.4	Apĩ Simó celote curuacjʉ̃ niwĩ. Apĩ Juda Iscariote, beꞌropʉ Jesure ĩꞌatuꞌtirãpʉre oꞌoacjʉ quẽꞌrã niwĩ.
MAT.10.5	Cʉ̃ beséca beꞌro ʉ̃sã docere aꞌtiro niwĩ:
MAT.10.5	—Judío masã nitirã tiropʉ waꞌaticãꞌña. Tojo nicã Samaria diꞌtapʉ nise macãrĩpʉre waꞌaticãꞌña. 
MAT.10.6	Israe curuacjãrã tiro peꞌe waꞌaya. Na Õꞌacʉ̃ cʉ̃ dutisere sirututirã, oveja na wiogʉre duꞌtiwija wisiꞌcãrã weronojõ nisama. 
MAT.10.7	Narẽ wererã waꞌaya. “Cãꞌrõacã beꞌro Õꞌacʉ̃ beseꞌcʉ wiogʉ sãjãgʉ̃sami”, niña. 
MAT.10.8	Dutitirãrẽ yʉꞌrʉoya. Wẽrĩꞌcãrãrẽ masõña. Cãmi boarãrẽ yʉꞌrʉoya. Wãtĩa sãjãnoꞌcãrãrẽ cõꞌawĩrõña. Yʉꞌʉ mʉsãrẽ weemasĩsere wapamarĩrõ oꞌoꞌo. Tojo weerã narẽ yʉꞌrʉorã, wapaseeticãꞌña.
MAT.10.9	»Mʉsã waꞌarã, ne niyeru miaticãꞌña. 
MAT.10.10	Ne ajuronojõ miaticãꞌña. Suꞌti, tojo nicã sapatu mʉsã sãñase meꞌrã diaꞌcʉ̃ waꞌaya. Tuacjʉ miaticãꞌña. Daꞌrari masã na daꞌrase wapa wapataꞌabaꞌamasĩma. Tojo weerã mʉsã buꞌerã waꞌacã, mʉsãrẽ baꞌase weetamurãsama.
MAT.10.11	»Macãpʉ etarã, “Ãꞌrĩta añutʉꞌsami” mʉsã nigʉ̃́ tiro tojaqueꞌaya. Mʉsã to nirṍ ejatuaro cʉ̃ ya wiꞌipʉ niña. 
MAT.10.12	Cʉ̃ ya wiꞌipʉ sãjãarã, ti wiꞌicjãrãrẽ põtẽrĩ añudutiya. 
MAT.10.13	Mʉsãrẽ ñeꞌecã, “Mʉsãrẽ añurõ waꞌato”, niña. Mʉsãrẽ ñeꞌeticã, niticãꞌña. 
MAT.10.14	Mʉsãrẽ ñeꞌeti, mʉsã buꞌesere tʉꞌosĩꞌrĩticã, ti wiꞌipʉre wijaarã, o ti macãpʉre wijarã, ti macã cjase diꞌta mʉsãrẽ wãꞌaꞌquere paastecõꞌaña. Tojo weerã mʉsã aꞌti macãcjãrã buꞌiritima, ni ĩꞌorãsaꞌa. 
MAT.10.15	Diacjʉ̃ mʉsãrẽ wereꞌe. Õꞌacʉ̃ masãrẽ beseatji nʉmʉ narẽ ʉpʉtʉ waro buꞌiri daꞌregʉsami. Todʉporopʉ Sodoma, Gomorra wãmetise macãrĩcjãrãrẽ buꞌiri daꞌreꞌcaro nemorõ narẽ buꞌiri daꞌregʉsami, niwĩ Jesú.
MAT.10.16	Cʉ̃ apaturi ninemowĩ:
MAT.10.16	—Masĩña. Yʉꞌʉ mʉsãrẽ wioro waꞌteropʉ oꞌógʉ weeꞌe. Ovejare yaiwa waꞌteropʉ oꞌógʉ weronojõ oꞌóꞌo. Tojo weerã mʉsãrẽ ñaꞌarõ weeri nírã, pʉa capeatiya. Mʉsãrẽ ñaꞌarõ weemicã, añurõ weeya narẽ. 
MAT.10.17	Añurõ ĩꞌaña. Mʉsãrẽ ñeꞌe, judío masã wiorã tiropʉ miarãsama. Na nerẽse wiꞌseripʉ mʉsãrẽ tãrãrãsama. 
MAT.10.18	Tojo nicã yʉꞌʉre ẽjõpeose buꞌiri to cjase diꞌta wiorã tiropʉ miarãsama. Narẽ yé quetire wereya. Tojo nicã ãpẽrã judío masã nitirãrẽ wererãsaꞌa. 
MAT.10.19	Mʉsãrẽ miacã, mʉsã ucũatjere “¿Deꞌro waꞌarosaʉ? ¿Deꞌro nirãsari?” ni wãcũqueꞌtiticãꞌña. Mʉsã ucũrĩ cura Õꞌacʉ̃ mʉsã ucũatjere oꞌogʉsami. 
MAT.10.20	Tojo weerã mʉsã basu mejẽta ucũrãsaꞌa. Espíritu Santu marĩ pacʉ oꞌóꞌcʉ mʉsãrẽ ucũdutisere ucũrãsaꞌa.
MAT.10.21	»Masã yʉꞌʉre ẽjõpeocã ĩꞌarã, na acawererã warore wia, wẽjẽdutirãsama. Na põꞌrã quẽꞌrãrẽ tojota weerãsama. Põꞌrã quẽꞌrã na pacʉsʉmʉarẽ mejãrõta weerãsama. 
MAT.10.22	Yé buꞌiri nipeꞌtirã mʉsãrẽ ĩꞌatuꞌtirãsama. Noꞌo yʉꞌʉre ẽjõpeoyapatigʉnojõ yʉꞌrʉgʉsami. Cʉ̃ yʉꞌʉ pacʉ tiropʉ catinuꞌcũcʉ̃sami. 
MAT.10.23	Niꞌcã macãpʉ mʉsãrẽ ñaꞌarõ weecã, ape macãpʉ duꞌtiya. Diacjʉ̃ta mʉsãrẽ wereꞌe. Nipeꞌtiro Israe curuacjãrã nise macãrĩpʉ mʉsã werecusiabiꞌati dʉporo yʉꞌʉ Õꞌacʉ̃ macʉ̃ masʉ̃ weronojõ upʉtigʉ apaturi aꞌtigʉsaꞌa tja, niwĩ Jesú.
MAT.10.24	»Ne niꞌcʉ̃ buꞌegʉ, cʉ̃rẽ buꞌegʉ yʉꞌrʉoro nímasĩtisami. Mejãrõta daꞌracoꞌtegʉ quẽꞌrã cʉ̃ wiogʉ yʉꞌrʉoro nímasĩtisami. 
MAT.10.25	Buꞌegʉ, cʉ̃rẽ buꞌegʉ weronojõ nigʉ̃ti, nirõʉaꞌa. Mejãrõta daꞌracoꞌtegʉ cʉ̃ wiogʉ weronojõ nigʉ̃ti, nirõʉaꞌa. Buꞌeri masʉ̃, wiogʉ, na ñaꞌarõ yʉꞌrʉcã, buꞌenoꞌgʉ̃, daꞌracoꞌtegʉ quẽꞌrã ñaꞌarõ yʉꞌrʉsama. Tojo weero yʉꞌʉ mʉsãrẽ buꞌegʉre “Beelzebú, wãtĩa wiogʉ nimi” nicã, ¿deꞌro weerã mʉsã yʉꞌʉ buꞌerãrẽ tojo nitibosabaʉ? niwĩ Jesú.
MAT.10.26	Jesú aꞌtiro werenemowĩ:
MAT.10.26	—Mʉsã yʉꞌʉ meꞌrã niꞌi. Tojo weerã mʉsãrẽ ʉatirãrẽ uiticãꞌña. Ne bajuyoropʉ weetise ĩꞌanoꞌticã weesome. Ĩꞌanoꞌrõsaꞌa. Ne ĩꞌatiropʉ weeꞌque quẽꞌrã masĩnoꞌticã weesome. 
MAT.10.27	Yʉꞌʉ mʉsãrẽ tʉꞌotiropʉ níꞌquere ãpẽrã tʉꞌoropʉ werestepeꞌocãꞌña. Masĩnoꞌña marĩꞌquere masãrẽ masĩcã weeya. 
MAT.10.28	Mʉsã upʉre wẽjẽcõꞌarãrẽ uiticãꞌña. Na upʉ diaꞌcʉ̃rẽ wẽjẽcõꞌamasĩsama. Õꞌacʉ̃ peꞌe upʉ, ejeripõꞌrãrẽ pecameꞌepʉ cõꞌabutiamasĩsami. Cʉ̃ tojo weegʉ́ pũrĩcãrẽ uiya, niwĩ.
MAT.10.29	Jesú queose meꞌrã cʉ̃ pacʉ marĩrẽ maꞌisere werenemowĩ:
MAT.10.29	—Pʉarã mirĩcʉ̃a oꞌmajãrãcã cãꞌrõacã wapatisama. Na tojo wapatimicã, Õꞌacʉ̃ narẽ añurõ coꞌtesami. Ne niꞌcʉ̃ mirĩcʉ̃acã yucʉgʉpʉ pesagʉ marĩ pacʉ “Tocãꞌrõ wẽrĩgʉ̃sami” niticã, wẽrĩtisami. 
MAT.10.30	Apeyema tja Õꞌacʉ̃ marĩ poarire “Ticʉse niꞌi”, ni masĩpeꞌocãꞌsami. 
MAT.10.31	Mʉsã pãjãrã mirĩcʉ̃a yʉꞌrʉoro wapatisaꞌa. Tojo weerã mʉsãrẽ ñaꞌarõ weesĩꞌrĩrãrẽ uiticãꞌña. Õꞌacʉ̃ mʉsãrẽ añurõ coꞌtegʉsami, niwĩ Jesú.
MAT.10.32	Jesú werenemowĩ:
MAT.10.32	—Noꞌo masã tʉꞌoropʉ yʉꞌʉre “Ẽjõpeoꞌo” ni werecã, yʉꞌʉ quẽꞌrã narẽ yʉꞌʉ pacʉ ʉꞌmʉsepʉ nigʉ̃rẽ añurõ ucũgʉ̃saꞌa. 
MAT.10.33	Niꞌcʉ̃ masãrẽ uigʉ, masã tʉꞌoropʉ yʉꞌʉre “Ẽjõpeoweꞌe” nigʉ̃rẽ yʉꞌʉ quẽꞌrã cʉ̃rẽ yʉꞌʉ pacʉ ʉꞌmʉsepʉ nigʉ̃rẽ “Yagʉ mejẽta nimi”, nigʉ̃saꞌa, niwĩ Jesú.
MAT.10.34	Apaturi werenemowĩ:
MAT.10.34	—Mʉsã yʉꞌʉre “Añurõ nisetiatjere miitigʉ weepĩ”, ni wãcũticãꞌña. Yʉꞌʉ tere miititiwʉ. Yʉꞌʉ aꞌtise wapa aꞌpepũrĩato nígʉ̃ aꞌtiwʉ. Ãpẽrã yʉꞌʉre ʉatirã, yʉꞌʉre ʉarã meꞌrã aꞌmetuꞌtirãsama. 
MAT.10.35	Tojo weerã niꞌcʉ̃ cʉ̃ pacʉ meꞌrã aꞌmetuꞌtigʉsami. Apego quẽꞌrã co paco meꞌrã mejãrõta weegosamo. Tojo nicã macʉ̃ nʉmo co mañecõ meꞌrã aꞌmetuꞌtirãsama. 
MAT.10.36	Tojo weerã niꞌcã wiꞌicjãrã, yé buꞌiri aꞌmetuꞌtirãsama.
MAT.10.37	»Yʉꞌʉre maꞌirõ nemorõ mʉsã pacʉsʉmʉa peꞌere maꞌiyʉꞌrʉnʉꞌcãrã, yarã nímasĩtisaꞌa. Tojo nicã pacʉsʉmʉa quẽꞌrã na põꞌrãrẽ maꞌiyʉꞌrʉnʉꞌcãrã, yarã nímasĩtisama. 
MAT.10.38	Apetero weegʉ niꞌcʉ̃ “Yʉꞌʉ Jesure ẽjõpeogʉ, wẽrĩbosaꞌa” ni uigʉ, yʉꞌʉre ẽjõpeoduꞌusami. Tojo weegʉnojõ yagʉ nímasĩtisami. 
MAT.10.39	Yʉꞌʉre ẽjõpeose meꞌrã ñaꞌarõ yʉꞌrʉsĩꞌrĩtigʉ, yʉꞌʉre ẽjõpeoduꞌugʉnojõ pecameꞌepʉ buꞌiri daꞌre bajurionoꞌgʉ̃sami. Apĩ wẽjẽsere uiti, yʉꞌʉre ẽjõpeonuꞌcũgʉ̃nojõ peꞌe yʉꞌʉ meꞌrã catinuꞌcũgʉ̃sami, niwĩ Jesú.
MAT.10.40	Jesú werenemowĩ:
MAT.10.40	—Mʉsãrẽ eꞌcatise meꞌrã ñeꞌerã, yʉꞌʉre ñeꞌerãta weema. Yʉꞌʉre ñeꞌerã quẽꞌrã, yʉꞌʉ pacʉ yʉꞌʉre oꞌóꞌcʉre ñeꞌerãta weema. 
MAT.10.41	Niꞌcʉ̃ Õꞌacʉ̃ weredutiꞌquere wereturiari masʉ̃rẽ cʉ̃ Õꞌacʉ̃ oꞌóꞌcʉ niyucã, ñeꞌegʉ̃rẽ aꞌtiro waꞌarosaꞌa. Õꞌacʉ̃ cʉ̃rẽ oꞌosenojõrẽta cʉ̃rẽ ñeꞌegʉ̃ quẽꞌrãrẽ oꞌogʉsami. Niꞌcʉ̃ masʉ̃ añugʉ̃rẽ ñeꞌegʉ̃, cʉ̃ añugʉ̃ niyucã, cʉ̃rẽ ñeꞌegʉ̃rẽ aꞌtiro waꞌarosaꞌa. Õꞌacʉ̃ masʉ̃ añugʉ̃rẽ oꞌoꞌcaronojõta cʉ̃rẽ ñeꞌegʉ̃ quẽꞌrãrẽ oꞌogʉsami. 
MAT.10.42	Niꞌcʉ̃ apĩrẽ Jesucristore ẽjõpeogʉ nimi nígʉ̃, acowʉogʉre acotĩagʉ̃ diacjʉ̃ta añuse bocagʉsami, niwĩ Jesú.
MAT.11.1	Jesú ʉ̃sã docere wéréca beꞌro waꞌa waꞌawĩ. Galileapʉ nise macãrĩrẽ buꞌecusiagʉ waꞌawĩ.
MAT.11.2	Juã masãrẽ wãmeyeri masʉ̃ buꞌiri daꞌreri wiꞌipʉ nicʉ niwĩ. Topʉ nígʉ̃, Jesú masã waꞌteropʉ weesere tʉꞌocʉ niwĩ. Tere tʉꞌogʉ, ãpẽrã cʉ̃ buꞌesere siruturãrẽ cʉ̃ tiropʉ waꞌaduticʉ niwĩ. 
MAT.11.3	Aꞌtiro narẽ sẽrĩtiñaꞌduticʉ niwĩ:
MAT.11.3	—“¿Mʉꞌʉta niti ‘Masãrẽ yʉꞌrʉoacjʉ aꞌtigʉsami’ ninoꞌcʉ, o apĩpʉre yucuerãsari yujupʉ?” ni sẽrĩtiñaꞌña, nicʉ niwĩ.
MAT.11.4	Jesú tiro etarã, Juã sẽrĩtiñaꞌdutiꞌquere sẽrĩtiñaꞌwã. Na tojo nicã tʉꞌogʉ, Jesú narẽ yʉꞌtiwĩ:
MAT.11.4	—Yʉꞌʉ weecã ĩꞌasere, mʉsã tʉꞌosere Juãrẽ wererã waꞌaya. 
MAT.11.5	“Caperi ĩꞌatimiꞌcãrã niꞌcãrõacãrẽ ĩꞌapãama. Sijamasĩtimiꞌcãrã sijama. Cãmi boarã yatipeꞌtianoꞌma. Oꞌmeperi tʉꞌotiꞌcãrã tʉꞌoma. Ãpẽrã wẽrĩꞌcãrã masãma. Pajasecʉorã añuse masãrẽ yʉꞌrʉose quetire tʉꞌoma. 
MAT.11.6	Yʉꞌʉre ẽjõpeoduꞌutigʉnojõ eꞌcatigʉsami”, ni wererã waꞌaya Juãrẽ, niwĩ Jesú.
MAT.11.7	Na waꞌáca beꞌro Jesú Juã ye cjasere masãrẽ werenʉꞌcãwĩ:
MAT.11.7	—Mʉsã masã marĩrõpʉ Juãrẽ ĩꞌarã waꞌapã. Topʉ waꞌarã, uigʉnojõrẽ, wãcũtutuatigʉre ĩꞌarã waꞌatipã. Cʉ̃ tutuatigʉ tábuti wĩꞌrõ wẽecʉaro weronojõ nitimi. 
MAT.11.8	Tojo nicã añuse waro suꞌti sãñagʉ̃rẽ masã marĩrõpʉ ĩꞌarã waꞌatipã. Suꞌti añuse sãñarãnojõ wiorã ye wiꞌseripʉ nisama. 
