MAT.1.1	Dabíii, Aavaráaa, íjcyámútsiúvúj tsɨɨménémúhaabéhjáa Jetsocríjtó íjcyáábé ɨhdé múnáaúvú ílluúme:
MAT.12.30	Muurá oke ɨpɨ́aabóné ímílletúmé táwákimyéí íllure imíllé óhdivu ityútávajtsóne. Aame tahñéjté íjcyáíyómeke íllure óhdityu mútátsohíjcyáhi.
MAT.12.31+MAT.12.32	Muurá panéváré ímityúné mɨ́amúnaa méénuhíjcyáronéhjɨ́ Píívyéébe ábájɨ́ɨ́veé diityédí ɨɨ́dáátsóvénema. Áhdure íñe Mɨ́amúnáájpidívúu o ípívyéévéébedítyú ímityúné íhjyúvárómedi ɨ́dáátsóvéiíbye. Áánetu ihdyu dííbyé Apííchotu ímityúné íhjyúvahíjcyámedi tsá dibye múijyú ɨ́dáátsóvéityúne.
MAT.12.33	Muurá bajtsóháñetu ɨ́mɨááhé ímí neeváhi. Áánetu átéréehe tsá ímí néévatúne. Áánetúré méwaajácú keehé ɨ́mɨááhé íjcyane. 
MAT.12.34	Ahdu ɨ́ɨ́vane ¿ɨ́mɨáámejɨ́ɨ́va ámuha ímí méihjyúváiyá ííñimyémúeméjtéré ámuha meíjcyame? Muurá ímityúné ɨ́ɨ́ɨ́búwá pañe íjcyámedítyú téénere ijchívyéhi. 
MAT.12.35	Muurá ɨ́mɨáábé ɨ́mɨáánéré ihjyúvá ɨ́mɨá ɨ́jtsaméí ípañe íjcyanéjuco. Áánetu ímítyuube ímityúnéré ihjyúvá ímítyúné ɨ́jtsaméí ípañe íjcyanéjuco. 
MAT.12.36	Aane muurá pámeere mɨ́amúnaa úúbálleé Píívyéébeke muhdú iíhjyúvahíjcyanéhjɨ́ dibye páneere muhdú ditye ícyahíjcyáné diityémá ímíbájchócoóca. 
MAT.12.37	Muurá tsáápiitsámá ímíbájchóiibye muhdú ditye íhjyúvahíjcyádújuco. Ɨ́mɨáánéré íhjyúvahíjcyámé hallúrí tsá ɨɨná íjcyáityúne. Áánetu ímityúné íhjyúvahíjcyámé ɨ́cúbáhráméiíhi. Ehdúu Jetsóó néé paritséómuke.
MAT.12.38	Aamée tsiiñe taúhbájú uwáábojtémá Jetsóo éllevu itsááne néé dííbyeke:
MAT.12.38	—Uwááboóbej, cána bo méénúráítyuróné meenu muha maájtyúmɨ́ne menéé ɨ́mɨááné diibyéjuco Críjto Pájtyetétsoobe u íjcyane.
MAT.12.39	Áánélliihyée neébe:
MAT.12.39	—¿Ɨ́veekí ámuha méimíllé teene o méénune ámuha mecáhcújtsokíjɨ́ɨ́vari? Óvíi ihdyu Píívyéébé ihjyú uubálle múnáajpíi Jonáake pájtyedu nééne oke pájtyénetu ámuha méwaajácú diibyéjuco mɨ́amúnáake o pájtyetétsoobe o íjcyane. 
MAT.12.40	Muuráhjáa amóóbé pañe téhí déjúcori ijcyaabe 3 coojɨ́va. Ahdu muurá íñe Mɨ́amúnáájpidívúu o ípívyéévéébeke ditye cúúuube ííñújɨ́ pañe 3 coojɨ́vá o íjcyátsihdyu tsiiñe ó bóhɨɨ́hi. 
MAT.12.41	Aane muurá Níínibé cóómi múnaa ámúhadívú néétsoó íñe ícyooca íjcyáné mɨ́amúnaa ámuha mecáhcútsohíjcyátúmedívú Píívyéébe mɨ́amúnaa muhdú ícyahíjcyáné ímíbájchócoóca. Muuráhjáa técoomí múnaa diibye Jonáaúvú úwaabóné icyáhcújtsóne ímíbaavyé ímityúné iícyahíjcyánetu. Áánáa dííbyeúvú ehnííñevu o íjcyaabe ámúhakye o úwááboróné ¿ɨ́veekí tsá ámuha oke mecáhcútsohíjcyatúne? 
MAT.12.42	Áhdure tsáápille tsííñé iiñújɨ múnáalle ámúhadívú néétsoóhi. Muuráhjáa tsíhyullétú tsaalle Tsaromóó úwaabóné illééboki. Aallée muurá ímí cáhcujtsóhi. Áánáa dííbyeúvú ehnííñevu o íjcyaabe o úwaabóné ¿ɨ́veekí tsá ámuha mecáhcútsohíjcyatúne?
MAT.12.43	Muurá naavéné tsaaté pañétú íjchívyeebe pehíjcyá iíjcyáitsíí néhcoobére. Aabe iíjcyáíyotsíí iájtyúmɨ́túnéllii íllu ɨ́jtsámeíhi: “Tsiiñe éhne bɨwáábé pañévúré ó óómií ópée o íjchívyéébé pañévu.” 
MAT.12.44	Ahdújuco muurá óómiibye ájtyumɨ́váné diibye ípyée iíjchívyéébeke imíwu pevéébé éhne múu jaa llíjyahdu néébeke. 
MAT.12.45	Áánéllii múúne nahbévaabe tsijtye 7-meváké éhnííñevu ímítyúmeke diityémá tsiiñe iúcááve dííbyé pañévu. Áábeke muurá ɨ́hdée ɨɨ́cúbáhráné ehnííñevu ɨ́cúbáhraábe. Ehdu muurá ímityúmé íjcyame ɨ́dátsó ɨ́cúbáhráméiíhi.
MAT.12.46	Ehdúu Jetsóó íhjyúvánáa íñahbémú tsɨ́ɨ́juma dííbye éllevu tsááme wajtsɨ́ tétsihvu áachívu. Aamée imíllé iíhjyuváné dííbyema. 
MAT.12.47	Aanée tsaate úúballé dííbyeke. Néémépeé:
MAT.12.47	—Áátye éhtsíhyi áachi díñahbémú dɨ́ɨ́tsɨ́ɨ́juma íjcyamévá imíllé úúma iíhjyuváne.
MAT.12.48	Árónáacáa neebe diityéke:
MAT.12.48	—¿Aca caatyé táátsɨ́ɨ́juú, táñahbémuu, táñaallémuu, íjcyame?
MAT.12.49	Ehdúu iñétsihdyu múúhakye úúbácyunúúbéré nééhií:
MAT.12.49	—Áánerá téhdure ámuha pámeere wahárómú, táñahbémú, táñaallémú, méijcyá íñe múhdumé tahñéjté ámuha meíjcyame. 
MAT.12.50	Muurá Llihíyó níjkyéjɨri íjcyáábeke cáhcujtsómé dibye ímillédú íjcyame ɨ́mɨááné tahñéjté táñahbémú, táñaallémú, wahárómu.
MAT.13.1	Ehdúu Jetsóó diityéké nétsihdyu muha dííbyema meíjcyájatu mepéé únéú úniúvu. 
MAT.13.2	Átsihyíi muha meíjcyánáa idyé mítyane mɨ́amúnaa píhcyaavéjucóó dííbyedívu. Aamée téhíwájú hallúrí íjcyánáa mɨ́ɨ́né pañévú úcááveébe. 
MAT.13.3	Aabée téémɨ́ pañétú diityéké mítyane panévatu iúwaabóné úúbállehíjcyá tsíeménéhjɨtu. Téijyúu tsaapi bájtsónetu úwááboobe íllu úúballéhi:
MAT.13.3	—Tsaapíhjyáa íwajcyóhá tríígoúúhá bájtsoobe íllure wávárajcóhi. 
MAT.13.4	Aanéhjáa dibye wávárájcónetu tsáuhjɨ juuváj pɨɨnévú dójcone coomɨ́mú méhdojéhi. 
MAT.13.5	Ááné tsiúhjɨ́hjáa néwayúúné raahóvú dójcoúhjɨ́ ɨ́ɨ́cúíwuúré iiñé tétsii iiñu imíchi íjcyátúnélliíhye. 
MAT.13.6	Áróhiibájɨ́hjáa chemé núhbá allóócori hállúháñeríyé tébajkyéjɨ́ íjcyánélliíhye. 
MAT.13.7	Ááné tsiúhjɨ́hjáa tsuhjɨ íjcyátsihvu dójcóné hallúvú tene wááménéneri ííñeróné duhcúvatéhi. 
MAT.13.8	Áánetúhjáa ihdyu tsáuhjɨ dojcó imíwu ííñujɨ nétsihvu. Aanéhjáa imíwu píívyénetu tsáhiibájɨ́ neevá mítyane. Ááné tsihííbájɨ́hjáa llííñevúré neeváhi. Ááné lliiñévuréjucóhjáa tsíhiibájɨ́ néévane. 
MAT.13.9	Aane ihdyu óvíi lléébome icyáhcújtsóne tehdu ijcyáhi.
MAT.13.10	Ehdúu dibye néénéllii muha dííbyeke menééhií:
MAT.13.10	—¿Aca ɨ́veekí tsíeménetu ú úúbállehíjcyá u úwaabóne? 
MAT.13.11	Áánélliihyée múúhakye neébe:
MAT.13.11	—Muurá ihdyu ehdu ó úwáábohíjcyá Píívyéébe ámúhakye iwáájácútso muhdú íavyéjú íjcyanévu. Áánetu oke cáhcújtsótúmeke tsá dibye wáájácútsotú téénevu eene ámúhakye iwáájácutsódu. 
MAT.13.12	Muurá ɨ́mɨáájú imíllémedívú bóhówájtsóiibye éhnííñevu ditye iwáájácuki. Áánetu teene ímíllétúmedívú tsá dibye bóhówájcaáyóityúne. Tsáijyu múu áyánéwu ditye wáájácuróné muurá íllure dojtúcúiibye diityédítyu. 
MAT.13.13	Ehdu néénéllii muurá o úwaabóné tsíeménéhjɨtu ó úúbállehíjcyáhi. Muurá o úwaabóné lléébójúcoorómé ícyahíjcyá lléébótúmeúvúdu. Áhdure teene ájtyúmɨ́júcoorómé ícyahíjcyá ájtyúmɨ́túmeúvúdu. 
MAT.13.14	Ehdu ícyahíjcyámé Píívyéébé ihjyú uubálle múnáajpíi Itsaíá íllu néhdújuco:
MAT.13.14	Uwáábó lléébójúcoorómé tsá cáhcújtsóityúne. Áhdure iájtyumɨ́júcooróné tsá ditye wáájácúityúne. 
MAT.13.15	Dityé ɨ́jtsaméí ímí néétúnéllii tsá ditye ímíñeúvú lléébohíjcyatúne. Aame ícyahíjcyá wáájácúmeítyúmé éhne múúne hállúvatúmé íjcyadu. Aaméjɨ́ɨ́va tehdu óhdi íjyácunúmekéjɨ́ɨ́ ó ímíjpyetétsóiyáhi.
MAT.13.15	Ehdúu neebe Itsaía.
MAT.13.16	Áánetu ihdyu ímí ámuha melléébónéllii tsúúca méwaajácú ɨɨná tene nééiyóne. Áhdure muurá ámuha maájtyumɨ́né tsúúca méwaajácú ɨɨná íjcyane. Áánéllii ihdyu méimíjyúú tééneri. 
MAT.13.17	Muuráhjáa éíjyuúvú íjcyame Píívyéébé ihjyú uubálle múnáama tsijtye Píívyéébeke úráávyehíjcyámé imíllehíjcyará iájtyumɨ́né íñe ícyooca tsúúca ámuha maájtyumɨ́ne. Árónáacáa tsá téijyu diityédívú tene ajtyúmɨ́dú néétune. Áhdurée imíllehíjcyarómé illéébone íñe ícyooca ámúhakye o úwáábohíjcyáné uwááboju. Árónáacáa tsáhái téijyu tene bóhówáávetúne.
MAT.13.18	Cáhawáá ímíñeúvú meɨ́jtsó bajtsó múnáájpidítyú íjcyáné uwááboju ɨɨná nééiyóné o bóhówajtsóne. 
MAT.13.19	Muurá níjkyéjɨri íjcyaabe Píívyéébé avyéjutu íjcyáné uwááboju tsaate lléébójúcooróné Naavéné diityédívú mútátsohíjcyáhi. Aane nééiyóné eene juuváj pɨɨnévúhjáa dójcoúhjɨ́ coomɨ́mú méhdojéne. 
MAT.13.20+MAT.13.21	Áánetu teene illéébone tsúúca ímí úraavyéjúcoorómé páhduváré nééné mávaríjchojúúné íjcyanéhjɨ́ iáábucújúcóótúnetu ílluréjuco teene ɨ́hvejtsóne. Aane nééiyóné eene néwayúúnéhjáa íjcyátsihvu dójcoúhjɨ́ imíwu ííñeróné núhbá allóócori chémene. Ehdu muurá patyéhijcyáné ímí cáhcújtsótúmema. 
MAT.13.22	Áánetu tsaate tsúúca ímí tééné uwááboju llééborómé mítyane ɨ́jɨ́ avyéjuríyé itsúúrámeíñéllii ténejcu ábájɨ́ɨ́vehíjcyáhi. Aane nééiyóné eene tsuhjɨ́ pañévúhjáa dójcoúhjɨ́ ííñeróné íllure dúhcúvaténe. 
MAT.13.23	Áánetu ihdyu ijcyámé tsaate teene illéébone cáhcujtsómé ímí tehdújuco úráávyehíjcyáme. Aame muurá eene imíwuúhjáa ííñujɨ nétsihvu dójcoúhjɨ́ ííñedu. Áámedítyú ijcyámé tsaate éhnííñevu ímí Píívyéébeke úráávyehíjcyámé eenéhjáa teene tríígóhiibáné imíwu píívyene mítyane néévadu néémeé. Áánetu ijcyámé tsaate ɨhtsútáwu ímí Píívyéébeke úráávyehíjcyámé eenéhjáa llííñevúré nééváhiibájɨ́dú néémeé. Áámedítyúi muurá ijcyámé tsaate diityé llííñevúréjuco úraavyémé eenéhjáa máɨhtsúnéré nééváhiibájɨ́dú néémeé. Ehdúu Jetsóó bóhówajtsó bajtsó múnáájpidítyú íjcyáné uwááboju.
MAT.13.24	Téhdurée tsiiñe úwááboobe tsaapi íúmɨhe bájtsónetu. Neebépeé:
MAT.13.24	—Muurá Píívyéébé avyéjú tsaapíhjyáa íúmɨhe bájtsojédu. 
MAT.13.25	Dibyéhjáa ibájtsójéne óómíñe déjuvu tsaapi dííbyeke múnáátsohíjcyaabe bájtsojé bɨɨva tríígo dibye bájtsóné raahóri. 
MAT.13.26	Aanéhjáa keemévé teene ɨ́mɨááné ikyéémévéne nééváné tujkéveríye. 
MAT.13.27	Aanéhjáa diibye tépallí aabájáábé úníu múnaa iúújéjéne néé dííbyeke:
MAT.13.27	—Ávyéjuúbej, ááneráhjáa ɨ́mɨáánéré méúmɨhe mebájtsónáa ¿kiátú íjcyane bɨɨva iiñé tééné raahóri? 
MAT.13.28	Áánélliihyéhjáa neébe:
MAT.13.28	—Tsaapíubá oke múnáátsohíjcyaabe ehdu meenúhi. Áánélliihyéhjáa nééme dííbyeke:
MAT.13.28	—Cána muha mewáámíuki. ¿Mityá óvíi ijcyánej? 
MAT.13.29	Ehdúhjáa ditye néénéllii neébe:
MAT.13.29	—Tsáhaá. Muurá ámuha teene metábáhcyóhajchíí bajtsóháñé ámuha métútávájtsoóhi. 
MAT.13.30	Áánéllii ihdyu óvíjyucói meɨ́hvéjtsoíñé tsanéécú ikyééméveki. Tsanééréi teene ɨ́mɨááne néévá maááhɨ́vétsócooca ámúhakye ó neé ámuha metábahcyóné pájtsuuhójɨ́ mechíjchu mecóvájtsoki. Áánetu ihdyu ɨ́mɨááné maááhɨ́vétsóne ímíñeúvú mépícyoóhi. Ehdúu Jetsóó úwaabó tsaapi íúmɨhe bájtsónetu.
MAT.13.31	Áhdurée tsiiñe úwááboobe ‘mojtáátsa’ némeíñé uméhetu. Neebépeé:
MAT.13.31	—Téhdure idyé muurá Píívyéébé avyéjú éhne múúne ‘mojtáátsa’ némeíñé neeváúwu tsaapi bájtsone ɨ́ɨ́né imíjyaú ávyétá mityáhé kéémevédu. 
MAT.13.32	Muurá panévá neváúúné lliiñévúré íjcyáróúwúutu ííñehe keemévé panévá bajtsóhééné ehnííñevu bájú uméhedúhe. Ááhé pañévú muurá wahpéjté ijcyóváhi. Ehdúu Jetsóó úwaabó mojtáátsáhetu.
MAT.13.33	Téhdurée pááá ooríchotu úwááboobe nééhií:
MAT.13.33	—Muurá tsáápille haríínállíjyutu pááa imyéénúcooca áyánéwu tééné ooríchotu pícyooróné páneeréjuco óórichódú idyé teene Píívyéébé avyéju.
MAT.13.34	Ehdúu Jetsóó tsíeménéhjɨtu iúúbállénej tééveri úwáábohíjcyá mɨ́amúnáake ímíñeúvú iwáájácútso ɨɨná íuwááboju nééiyóne. Tsáháa dibye pevénéré úwáábohíjcyatúne. 
MAT.13.35	Ehdúu úwáábohíjcyaabe Píívyéébé ihjyú uubálle múnáajpíhjyáa íllu néhdújuco:
MAT.13.35	Muurá tsíeménéhjɨtu o úúbállénej tééveri ó waajácútsoó táuwááboju ɨɨná nééiyóne. Muurá ó bóhówájtsoó íñée ííñújɨma páneere Píívyéébe ípívyéjtsóijyújuco íjcyáronéhjɨ́ múha wáájácútunéhjɨ.
MAT.13.35	Ehdúhjáa Píívyéébé ihjyú uubálle múnáajpi néhdújuco Jetsóó úwáábohíjcyáné tsíeménéhjɨtu.
MAT.13.36	Átsihdyúu ílluréjuco mɨ́amúnáake ipítyájcóne dibye ááhɨvu pééneé. Áhullévúu muha dííbyeke menééhií:
MAT.13.36	—Áyu cána múúhadívú bóhowájtsó úmɨhé pañe bɨɨva íjcyánetu íjcyáné uwááboju ɨɨná nééiyóne. 
MAT.13.37	Áánélliihyée múúhakye neébe:
MAT.13.37	—Eene ɨ́mɨá bájtsó bájtsoobe muurá oo Mɨ́amúnáájpidívúu o ípívyééveébe. 
MAT.13.38	Áánetu teene úmɨhe ‘páneere ííñújɨri mɨ́amúnaa íjcyane’ nééiyóne. Muurá eene ɨ́mɨá bájtsó Píívyéébé avyéjúejte íjcyane nééiyóne. Áánetu bɨɨva ‘Naavéné icyánéjcuríyé íjcyáné mɨ́amúnaa íjcyane’ nééiyóne. 
MAT.13.39	Áánetu eene tépallí múnáájpikye imúnáájtsóne bɨɨva bájtsoobe muurá páñetu diibye Naavéne. Áánetu ‘íñe ííñújɨma páneere ílluréjuco nɨ́jkévaíñé’ nééiyóné eene bajtsóháñé ááhɨ́vétsómeíñe. Áánetu diitye eene bajtsóháñé ááhɨ́vetsómé ‘níjkyéjɨ múnaa íjcyane’ nééiyóne. 
MAT.13.40	Muurá éhne múúne úmɨhé pañe bɨɨva mepíhñune mecóvajtsódú pajtyéiñe diitye Naavéné icyánéjcúejtéma. Aame wágóóóveé cúújúwá pañévú íñe ííñújɨri múhdurá mɨ́amúnaa ícyahíjcyáné diityémá nɨ́jkévácoóca. 
MAT.13.41	Muurá Mɨ́amúnáájpidívúu o ípívyééveebe ó táúhbaá tahñéjté níjkyéjɨ múnáake ditye íhdyúétsihvu ipíhjyúcu diitye ímítyúmeke táavyéjúejtéké ímítyúnejcúvú ɨ́búwátsohíjcyámeke. 
MAT.13.42	Áameke cúújúwá pañévú ditye wájojcómé tééwá pañe íjcyame íhwáñeene ɨɨ́hdóne taá ɨɨ́cúbáhrámeíñeri. 
MAT.13.43	Áánetu ihdyu Píívyéébe ímillédú ícyahíjcyámé dííbyé avyéjú pañe íjcyame cádiúcúnuú éhne múúne nuhba cóójɨ́ejpi ájchúcunúdu. Aane ihdyu óvíi ámúhadítyú lléébome icyáhcújtsóne tehdu ijcyáhi.
MAT.13.44	Téhdure idyé Píívyéébé avyéjú ílluú:
MAT.13.44	—Tsaapíi tsátsii ííñújɨ́ pañe ávyétá mityáné wájyúmeíñé tsíeméné iájtyumɨ́né tétsihvúré ɨ́hvéjtsoíñúhi. Ááneríi iímíjyúúvéne páneere ítsíeméné iñáhjɨ́hénúne dsɨ́ɨ́dsɨma tétsii ííñujɨ áhdoobe iiyéjuco téénema iíjcyaki.
MAT.13.45	Téhdure muurá Píívyéébé avyéjú éhne múúne tsaapi náhjɨ́he múnáajpi imíwu nééné newáyúúné mítyane áhdótsámeíúhjɨ́ néhcohíjcyádu. 
MAT.13.46	Aabe muurá tsau iájtyúmɨ́cooca páneere ítsíeméné iñáhjɨ́hénúne dsɨ́ɨ́dsɨma teeu ahdóhi.
MAT.13.47	Téhdure Píívyéébé avyéjú éhne múúne tsɨ́ɨ́núúri amómeke meújcudu. 
MAT.13.48	Muurá múúne tsɨ́nú múnaa ɨtsɨ́núúmeke técoohóríyé téhí úniúvú itsájtyéne pihcyú ɨ́mɨá amómeke. Áánetu doorátujtéké ílluréjuco ditye wámiúúne. 
MAT.13.49	Ehdu muurá pajtyéiñe mɨ́amúnáama Píívyéébe páneere ííñujɨ nɨ́jkévátsócoóca. Muurá níjkyéjɨ múnaa dówajcároó ɨ́mɨáámedítyú ímítyúmeke. 
MAT.13.50	Áámeke cúújúwá pañévú ditye wájojcómé tééwá pañe íjcyame íhwáñeene ɨɨ́hdóne taá ɨɨ́cúbáhrámeíñeri.
MAT.13.51	Ehdúu Jetsóó iúwáábóné nɨ́jcáutu néé múúhakye:
MAT.13.51	—¿A ícyooca ámuha mélleebójucóó ɨɨná nééiyóné o úwáábohíjcyáne? Áánélliihyée muha menéé:
MAT.13.51	—Éée Ávyéjuúbej, ímí muha mélleebó ícyooca ɨɨná tene nééiyóne.
MAT.13.52	Áánélliihyée neebe múúhakye:
MAT.13.52	—Muuráhjáa tujkénúene Píívyéébé taúhbaju úwáábohíjcyámema ícyooca tsúúca ijcyáné míñéécu uwáábó ɨ́hdéénema béhne Píívyéébé avyéjutu íjcyane. Aane muurá teene ɨ́hdéene Píívyéébé waajácúháámɨ́ pañe ijcyáhi. Áánetu íñe béhne ámúhadívú ó bóhówátsohíjcyáhi.
MAT.13.53	Ehdúu Jetsóó tsíeménéhjɨtu iúúbállénej tééveri iúwaabóné nɨ́jkevádú muha mepéé tétsihdyu. 
MAT.13.54	Aamée muha méúújeté Natsaréevu dibyée píívyécoomívu. Áijyúu idyé úwaabójúcoobe tétsíi múnáake pihcyáávéjá pañévu. Áábedíi iúllévenúne néjcatsímye:
MAT.13.54	—¿Aca kiátú aabye iújcúné waajácuri panéváré méénúráítyúronéhjɨ́ méénuhíjcyáhi? 
MAT.13.55	¿Aca tsá éhne aabye úméhewááné wákimyéi múnáájpí hajchi íjcyatúne? ¿Aca tsá éhne tsɨɨju Maaríá íjcyatúne? Muurá dííbyé nahbémú Jacóóboo, Jotséee, Tsimóoo, Jóódaá, éhdume. 
MAT.13.56	Áhdure muurá íñaallémú íchihyi. Aabéjɨ́ɨ́ muhdú ¿kiátú waajácú ehdu nénehjɨ múu méénune?
MAT.13.57	Ehdúhjáa dííbyedítyú iñééne tsá ditye cáhcútsohíjcyatú dibye diityéké úwáábohíjcyaróne. Áámekée neébe:
MAT.13.57	—Tsijtye muurá ihdyu avyéjuullé Píívyéébé ihjyú uubálle múnáájpiíkye. Áánetu ihyájkímú íjcyarómé tsá ávyejúúlletú dííbyeke.
MAT.13.58	Ehdúu dííbyeke ditye cáhcútsohíjcyátúnéllii tsá éhnííñevu dibye méénújúcootú méénúráítyúronéhjɨ́ tétsihvu.
MAT.14.1	Aanéhjáa dííbyedítyú tsaate úúballé Gariréá iiñújɨ́ avyéjuube Heróódeke. 
MAT.14.2	Áánélliihyéhjáa neebe íúníu múnáake:
MAT.14.2	—Tsáijyu múúne tsojtsó múnáajpi Jóáa tsiiñe bohɨ́ɨ́hií. Téénéllii muurá eene piivyéteebe méénúráítyúronéhjɨ́ imyéénune.
MAT.14.3	Diibyée muurá Heróódé nééjuri dsɨ́jɨ́vetsómé Jóáákeé. Muuráhjáa dííbyedívú iékéévétsóne úwááñéhiyi ichíjchútsóóbedívú cuvéhoojánútsoóbe. Ehdúhjáa méénuube íñahbe Perípé taaba Herodíá dííbyemáyéjuco íjcyalle nééjuri. 
MAT.14.4	Diibyéhjáa Heróódeke íllu nehíjcyaabe Jóáa íñáhbé táábama dibye íjcyánetu:
MAT.14.4	—Tsá muurá tene ímityú díñáhbé táábake u táábaváne.
MAT.14.5	Ehdúhjáa dibye néhíjcyáné hallútú imílléroobe téijyúréjuco ɨdsɨ́jɨ́vetsóné dííbyeke. Árónáacáhjáa nuhnéveebe Píívyéébé ihjyú uubálle múnáajpi dibye íjcyane iwáájácúne mɨ́amúnaa dííbyeke ávyejúúllehíjcyánélliíhye. 
MAT.14.6	Áijyúhjáa ɨ́tsɨɨmávajcóójɨ́ úújeténéllii diibye Heróódé wáñehjɨ́vatéhi. Ááné pañéhjáa ɨ́dsɨ́dúelle Herodíá ajyúwá wahtsɨ́ pámeere úúbámyé úmɨwávu. Aanéhjáa dííbyeke ávyéta ímí pájtyéneri ímíjyúúveebe mítyane. 
MAT.14.7	Áánélliihyéhjáa díílleke neebe ɨɨná dille dííbyeke táúmeíñevu iájcuíñé ɨ́mɨááné állítyuubére. 
MAT.14.8	Áánélliihyéhjáa tsɨɨju úwaabódújuco dille nééne dííbyeke:
MAT.14.8	—Ó imíllé oke u ájcune tsojtsó múnáajpi Jóáá níívaúvú bohtájɨri.
MAT.14.9	Ehdúhjáa dille nééne kímóhcó dííbyeke pajtyéráhi. Árónáacáhjáa iállíityúné dibye nééne pámeere dííbyé uubámyé lléébójúcóónéllii tehdu méénuúbe. 
MAT.14.10	Aabéhjáa tsúúca tsaatéké wallóó diibye Jóáa cúvéhóójari íjcyáábeke ditye ikípíyuúcuté íhñíwau. 
MAT.14.11	Ahdújucóhjáa pééme ikípíyuúcújeu tsívane bohtájɨri. Ááuvúhjáa ajcúmé diille bádsɨ́jcájake. Ááuvúhjáa ájculle tsɨ́ɨ́juke.
MAT.14.12	Áánélliihyéhjáa dííbyeúvú mamyémú tsááme dííbyeúvú ɨɨtémeho iújcújéne cuuúhi. Átsihdyúhjáa Jetsóo éllevu ipyééne úúballémé ehdu Jóááke tene pájtyene.
MAT.14.13	Átsihdyúu muha mepéé mɨ́ɨ́neri tsíhyullévú múha íjcyátúhullévú múúhaye meíjcyároki. Árónáacáhjáa tsúúca mɨ́amúnaa waajácújucóó kiávú muha mepééneé. Áhullévújucóhjáa ditye péécunúné íjchityu pacóómivá múnaáre. 
MAT.14.14	Aanée téhullévú muha meúújeténáa mɨ́ɨ́né pañétú Jetsóó íjchívyeebe ɨɨtécunú tétsihyíjyuco mɨ́amúnáácóbaúvú íjcyane. Áámedíi ɨɨ́dáátsóvéne bóhɨ́ɨ́tsoobe chéméméhjɨkéhjáa ditye tsájtyémeke. 
MAT.14.15	Áijyúu tsúúca cúvéhréjuco tene néénéllii muha menéé dííbyeke:
MAT.14.15	—Tsúúca cúvéhréjuco teene múubárá íjcyátútsihyi meíjcyánáaáca. Ílluréjuco wallo íjtyéke íchííj pɨɨhɨ́rí íjcyájáhjɨ múnáadítyú tsíeméné iújcune ditye imájchoki. Muurá tsá imájchoma ditye íjcyatúne.
MAT.14.16	Áánélliihyée neebe múúhakye:
MAT.14.16	—Ɨ́véémekéami ó wálloóij. Ámuháyé bo mémajchótsoj.
MAT.14.17	Áánélliihyée muha menéé dííbyeke:
MAT.14.17	—Árónáa méhdi tsáhojtsɨ́hováré páahóónema míítyétsiye amóóbemútsi.
MAT.14.18	Áánélliihyée neebe múúhakye:
MAT.14.18	—Áyu cána metsívaj.
MAT.14.19	Ehdúu múúhakye iñééne diityéké neebe ditye iáhcúbaki. Átsihdyúu teene páahóóné amóóbemútsima iékéévéne téhdújtsoobe Píívyéébeke cáámevu icyárúúvénema. Áánemáa teene idyóhdáhɨ́nunévú múúhakye dibye ájcune muha méwajtú pámeekére. 
MAT.14.20	Aanée muha memájchónetu pámeere méoovéhi. Áánetúu coéváné 12-rujtsívá úvérujtsíñe wáhpe. 
MAT.14.21	Aamée eene diityémá muha memájchome wajpíímúré 5,000-meváubáhjáa walléémuháñema tsɨɨme éévémeítyúrónáaáca.
MAT.14.22	Ááné boonétúu Jetsóó múúhakye néé muha dííbyé ɨhde mɨ́ɨ́neri mepájtye tsíñejcúeúvú dibyéi mɨ́amúnáake pítyájcóné hajchóta. 
MAT.14.23	Aabéhjáa diityéké ipítyájcótsihdyu péé iiye múha íjcyátúhullévú cáméhbaúvú Píívyéébema iíhjyúvaki. Aabéhjáa ííjyunú téhullévu. 
MAT.14.24	Áánáacáa muha tsúúca pɨ́ɨ́nééuríjyuco meíjcyánáa ávyétá ɨhnáhó kííjyébama nohjɨ múúhakye wájojcóhi. 
MAT.14.25	Aaméikyée muha mepéépíñáa cóójɨ́ pañévú diibyéhjáa Jetsóó tsájucóó múúhá tujkévetu nújpácyó hallúrí úlleebére. 
MAT.14.26	Áábekée muha maájtyúmɨ́ne meíllityéne menéjcatsíhi:
MAT.14.26	—¡Áyúúj, naavénécobáubá bo eene aabye tsáá métujkévetuj!
MAT.14.27	Árónáacáa neebe múúhakye:
MAT.14.27	—¡Méíllityédíñe, oóre!
MAT.14.28	Áánélliihyée Péédoro néé dííbyeke:
MAT.14.28	—Ávyéjuúbej, áyu cána ɨ́mɨááné diibyéjuco u íjcyáhajchíí o péé diéllevu ehdu nújpácyó hallúri.
MAT.14.29	Áánélliihyée neébe:
MAT.14.29	—Cáhawáá dichaj.
MAT.14.29	Ahdújucóo Péédoro mɨ́ɨ́netu níítyeíñúné nújpácyó hallúrí úlleebéré dííbye éllevu. 
MAT.14.30	Árónáacáa kííjyeba ávyétá ɨhnáhó nééneri iíllityéne ílluréjuco dibye búuuvéne. Aabée dííbyedi wáníjcyámeííbyé nééhií:
MAT.14.30	—¡Ávyéjuúbej, oke ihdyu pájtyetétso!
MAT.14.31	Áánélliihyée íhyójtsɨtu iékéévéébeke neébe:
MAT.14.31	—¿Aca ɨ́veekí tsá oke ímí u cáhcújtsotúne?
