GEN.1.1	I muan tan tatanik, tan nainy te kat faruak e Gov a gormirmir an puputaa, 
MAT.13.54	Ana Ya tabin fatabin enato tana ngats fan tsuan. Ya faatsuts to tana numaa iny fafaatouf tsuri, ana ri to te nongoiny Ya saar ser rangat, “Fei te nom a mes to na nat ana parits iny kat a foka iny faatok reits to ei? 
MAT.13.55	Ayei koraa na guei tsoiny tana tsoiny fatsun numaa! Ai Meri, na tsinan Ya, ai ere Jemis me Josep ai Saimon me Judas fuainy famuinyasiny Tsunia! 
MAT.13.56	An fuainy fafinen Ya te kaa kan ror tovei! Fei te nom Ya na nat ana parits iny kat a fo mamatsiny ka to, ei?” 
MAT.13.57	Ana fokinai fataivou Towa. Jisas tsue to tsuri, “A kuigin te natiny famaari rori tan fo mamatsiny pan sai tana ngats fan tsunia fatoobing ai tana fo nuatsin ya fatoobing, a sikia.” 
MAT.13.58	Ayei gima kat a fo binun iny faatok reits na aya, tana saa, ri na sikia ta faaman.
MAT.14.1	Tan nainy to aya Herot a aatouf tana gum fan iny Galili nongoiny e Jisas te kat finy ya na foka. 
MAT.14.2	Ya tsue to tan tsoiny binun tsuan, “Ayei koraa Jon a Tsoiny Fapeenan to te tsun fatabin tana mat to sana fo mamatsiny parits iny faatok tapokaa ising me tsunia.”
MAT.14.3	Tabuiny mat non e Jon a Tsoiny Fapeenan, ai Herot faan iny ton tsue ma nots ari ya, ri te nai kotskots ya, er fakei naa towa tana numaa iny kotskots. Ayei kat kat to ma kat fapaparei ya Herodias, ten Herodias peits fiisok iny e Jon, 
MAT.14.4	tana saa, Jon a Tsoiny Fapeenan tsue ets'ets e Herot, “Te sikia non ma toobing tsumanyi ma fipisui fiisen me natsun Filip a famuinyasiny tsuam!” 
MAT.14.5	Herot pon ma atsuiny famat e Jon sana ayei te oraav ir a taa Jiu, tana saa, a taa Jiu te faamainy e Jon ayei na kuigin.
MAT.14.6	Tan nainy tsian te fakats fatabiny arin nainy agiir ten Herot ana guei moun ten Herodias tajiat to matar vainy faavot. Herot kaa mito na paparaa tsian, 
MAT.14.7	ana ya fakei ton tsuen man tana guei moun to, “Man non jias nyo nai faan marom Anyi na foka te rangat iny rom anyi tsonyo!”
MAT.14.8	Tan fakats tana tsinan a kooviou to sa tsue of ya, ma tsue of ya Herot, “Nyo komainy marom anyi ma poote me na patsuun e Jon a Tsoiny Fapeenan tan kobuu ana nyi te faan vanyo ya.”
MAT.14.9	Ana aatouf reesik fiisok to, san tan tsuen man tan tsue man non jias te kat ya matar a fokinai ya vovou iny ton koman tana kooviou to. 
MAT.14.10	Ana ya faan iny ton tsue ma govaar mi ri na patsuun e Jon koman a numaa iny kotskots. 
MAT.14.11	Ri govets mito na patsuun e Jon gagon poote mi rin kobuu, ri faan iny towa tana kooviou, ana ya govets naa towa ten tsinan. 
MAT.14.12	Matisian ten Jon naa me, ri nom to na puan ya, ser nai kats iny ya, ri naa to ser tsue of e Jisas.
MAT.14.13	Te nongoiny fakap bus e Jisas vaanan to, Ya naus osing to na fan to aya ana Ya jias to tan puak sa naa fi en nanaa tana pan a uur ayei patsukanen. Tagin nongoiny e Jisas te naa fi naa Ya, ri naus osing to na fo ngats fan tsuar ser vovou iny naa Ya sanaan. 
MAT.14.14	Te sung naa ri ai Jisas of osing ton puak ai tan nainy te tagei Ya na vainy a kinai fiisok aaven Ya kaa miton tagtag tsuri, ana Ya tsipaar to na fo faadis tsuri.
MAT.14.15	Te touraf busen an matisian Tsunia naa mito Tsunia ser tsue na ka, “Te kat iny ananerof osto ana pan a uur tovei, jiat ra naa na vainy ma naa ri tana fo fan er foiny to ta kainy ainy ma ainy ari.” 
MAT.14.16	Jisas biny ratuari sa tsue, “Ri sikia ror ma naa. Mi patsukanem yam ma faan rari ta kainy ainy.”
MAT.14.17	“A ka te kaa tsun miromam to, a ngim a koinykoiny ana fuan a jian,” biny finy ari Jisas. 
MAT.14.18	Jisas tsue to, “Faan Vanyo yam.” 
MAT.14.19	Ya tsue of ton tagin ma gum ari tana aufing: ana Ya nom to na ngim a koinykoiny ana fuan a jian, Ya matoong fi naa to Gormirmir, sa faarof naa ten Gov. Ya ivoo ton koinykoiny, sa fafaan iny ya tan matisian Tsunia, ri tatafas iny towa tana vainy. 
MAT.14.20	Fokinai te ainy ser viits. An matisian Tsunia nom to na safunuu an fuan a koverok ser fau favei yan ainy osing. 
MAT.14.21	Onots toromainy a ngim a tapan mes to te ainy gima as'as faavot ramen moun min guei kakaii.
MAT.14.22	Ai Jisas jiats raton matisian Tsunia ma jias ari tan puak er mumua fi naa to tan mes panaan nana naaman, Tsunia te komainy ma fataasua tsom ir a fokinai er vavakas to. 
MAT.14.23	Te fataasua fakap Ya na vainy, Ya paas fi to tana painy tet a tou faakats, Ayei tsivon. Te uurup bus a pan ana Ya kaa to tsivon na aya, 
MAT.14.24	tan nainy to aya puak kan kaa busen fapoopoan nana naaman faton naa non tan kakai tana saa, ainysat tapoor me imus nan puak.
MAT.14.25	Fapoopoan nana fopis a kilok ana aunom a kilok tana patsuu na nainy, Jisas naa fi to tsuri taan ising naa patsun a naaman. 
MAT.14.26	An matisian Tsunia tagei Towa te taan fi mi Ya patsun a naaman ana ri oraav faavot rato. “A amatsuan” te tsue fi ri, ri rorojiainy faavot rato.
MAT.14.27	Sen tsun Jisas vegiau naa to tsuri sa tsue na ka, “Kaa faparits yam! Anyo vaa ei aa. Oraav vaare yam!”
MAT.14.28	Ai Pita tsue to, “Tsunaun, ma Nyi koraa Ya, jio, tsue of you ma taan fi naa nyo Tsumanyi patsun a naaman.”
MAT.14.29	“Taame!” biny finy ya Jisas. Ai Pita of osing ton puak ya tanik iny taan fi naa to ten Jisas, taan naa patsun a naaman. 
MAT.14.30	Sai tan nainy te tagei e Pitan rau sa oraav, ya tanik iny ruk busen nato koman a naaman. “Saup you, Tsunaun!” tangis fi ya.
MAT.14.31	Sen tsun Jisas faarua naa to na niman ya ras towa sa tsue, “A faason tsumanyi Tsonyo na kakaii! Kat fei sa nyi vaa'ets rom ei?”
MAT.14.32	Ri jias faavot to koman puak ana ainysat sariof to. 
MAT.14.33	An matisian te kaa koman puak fatukun to, ser faatouf e Jisas. “U man ovei, Anyi na Guei Tsoiny ten Gov!” te tsue fi ri.
MAT.14.34	Tan nainy te guas naa ri, ri nai sung to tana pan iny Genesaret 
MAT.14.35	ana vainy inainy to Jisas. Ri kuar vavis ton mamatsiny fan ser nom ir a men vainy faadis ten Jisas. 
MAT.14.36	Ri sing maamaa Jisas ma famanat rarin vainy faadis ma saras tsuiny korei arin nguen vau ten Jisas, ana ri to te saras nguen vau Tsunia tsipaar rato.
MAT.15.1	Ri na tee Farasi ana rin tsoiny fifaatsuts tan Faun te kirkir iny e Moses to te poo fi me tana ngats fan tsian iny Jerusalem vaaguam faavot fi to ten Jisas, ri rangats Towa, 
MAT.15.2	“Kat fei san matisian Tsumanyi gim ror ma vovou iny kat tan fuainy tsuvurara ei? Tana saa ri gim ror ma garus faarof tsom a nimar, vou ri te see ainyainy.”
MAT.15.3	Jisas biny ratuari, “Kat fei sam gim rom ma vovou iny Faun ten Gov to sam vovou iny rom kat tan fuainy tsuvumami ei? 
MAT.15.4	Gov te tsue, ‘Fatsiitsii yam e tamamami ai tsinamami,’ ai ‘Sei na mes te fijiar non e taman ge tsinan ee ma atsun famat ravaa!’ 
MAT.15.5	Sana mi tsue faarof rom a mes ma kaa me ta ka te onot non tan faakouts ya taman ge tsinan, sana ayei tsue, ‘A ka to te asang of bus anyo Gov.’ 
MAT.15.6	Sana ayei gim non ma faakouts e taman, tan kat to aya mi kat rom vegiau ten Gov ka babainy mi vovou iny ton kat tsumi patsukanem yam. 
MAT.15.7	Amin vainy kat mapam vegiau tsumi an kat tsumi gima senviir! E Aisaia na kuigin te tsue fatoobing en muan to te pokei fi mami ya!
MAT.15.8	‘A vainy to te faatouf Varonyo tana pengot nana ngue rari, sana aave rari veevian osing Varonyo.
MAT.15.9	Ri fafaatouf babainy tsun Varonyo, tana saa, ri fafaatsuts iny ror faun tana mes tsun sa faarei non Faun ten Gov!’” 
MAT.15.10	Ai Jisas fikoo rato na fokinai sa tsue tsuri, “Nongon yam am natiny towa! 
MAT.15.11	Sikia ta ka iny jiarasan te onot non ma naa koman a mes a kat fifiiring towa, a sikia, a ka te tafuts ising minon koman a mes te kat fifiiring non ya.”
MAT.15.12	An matisian Tsunia naa mito ser tsue, “Nyi nat kan ir a taa Farasi te koma iring iny vegiau te pokei Anyi?”
MAT.15.13	Jisas biny ratuari, “A fo mamatsiny fareevreev te gima reev e Tamanyo Gormirmir nai pat ravaa ror. 
MAT.15.14	Fakats vaare ir yam! Arin tsoiny mumuan mata kio ai tovei te ras fi naa non a isen a mes a mata kio na mesmes tsuan, ri ina fuan tsidup faavot eraror koman a gaguur.”
MAT.15.15	Pita tsue to, “Tsue of mamimam kifon tsue fapapaar.”
MAT.15.16	Jisas tsue to tsuri, “Mi fapinpin kanem marom? 
MAT.15.17	Mi gim rom ma nat fi nei, a ka iny jiarasan te naa fi non koman na mes naa fi naa non tan mokoor ana ya te nai taagio ravainy ya. 
MAT.15.18	Sana ka te ruak ising minon nguen a mes poo fi minon koman ya, ito ayei te kat fifiiring non a mes. 
MAT.15.19	Ito te ruak minon aaven a mes, ton fakats iring, an kat iny fitokon, kat iny tsikoor, fifiinaum, fipisui, kakabuts, gamgam an tsue fifiiring a mesmes. 
MAT.15.20	Fo kat iring to aya poo ising minon koman a mes, ya te kat fifiiring ya. Sai tan nainy ainy men niman gima garus ayei na ka te gim non ma kat fifiiring a mes.”
MAT.15.21	Jisas naus osing to na pan to aya sa naa fi en naa naa tana pan panan a fuan a ngats fan iny Taia ai Saidon. 
MAT.15.22	A muiny Kenan a sikia ma faarei na muiny Jiu to te natiny kaakaa non tana pan naa to aya naa mito Tsunia sa tsue na ka, “Tsubnaain ten Devit tagtag vame! A guei moun tsonyo na tutuei iny masarau ana ayei gima kaa faarof non.”
MAT.15.23	Sen Jisas gima vegiau vaarik ta ar vegiau tsunia. Matisian ten Jisas naa mito Tsunia ser tsue na ka. “Gargar naa! Ayei vovovou rarora fiisen men goonen kinai!”
MAT.15.24	Jisas biny ratuari, “Gov jiats fi Vaminyo tan guei nun iny Isrel.”
MAT.15.25	Kat to ana moun naa mito sa fatukun en matan Ya, “Faakouts you, Tsunaun!” tsue fi ya.
MAT.15.26	Jisas biny towa sa tsue na ka, “Te gim non ma toobing tan fa'ainy ir kas a kainy ainy tan guei kakaii.” Jisas tanaf fakats tana moun.
MAT.15.27	Ya biny Towa sa tsue, “Man ovei Tsunaun, san kas natiny ainy ror ainy farurus tan guei kakaii fain a taran.”
MAT.15.28	Ai Jisas biny towa, “Moun faason tsumanyi Tsonyo na karap! A ka te komainy anyi nai ruak enanon tsumanyi.” Ai tan ar nainy to aya guei moun tsunia tsipaar fatabin enato.
MAT.15.29	Jisas naus osing a pan to aya Ya taan ereer fi enato tana naaman iny Galili. Ya paas fi naa to tana painy tet ana Ya vaagum to. 
MAT.15.30	Tagin naa mito Tsunia mei men fo mou ra pengong, fo mata kio, fo mour mat, fo baaruu, fo teinar kuupio ana fo mes fo viir faadis to ser fakaa rari moun e Jisas ana Ya tsipaar ratuari. 
MAT.15.31	Vainy saar fiisok te tagei finy ari na fo baaruu te vegiau fatabin, fo mou ra pengong rof fatabin ner, fo mou ra mat tataataan fatabin ner ana fo mata kio tagaa fatabin ner, to ser vamarits a Gov tana taa Isrel.
MAT.15.32	Jisas fikoo ir matisian Tsuan ma naa mi ri Tsunia sa tsue na ka, “Nyo tagtag fiisok roun vainy a kinai to, tana saa ri kaa fiisen bus Vaminyon fopis nainy, ser sikia ma kaa me ta kainy ainy ma ainy ari. Nyo baainy rou ma jiat vesves ra naa ri fan tsuar, tana saa kat ror ser matauts ra naa sanaan.”
MAT.15.33	Matisian Tsunia rangats Towa, “Fei nom roran a kainy ainy ta onot tana pan babainy ana uur tovei ei ma fa'ainy ara na vainy?”
MAT.15.34	“A fis a koinykoiny te kaa miromi?” Ri biny Towa ser tsue, “A fits a koinykoiny ana tee mar jian a fo kakaii.”
MAT.15.35	Ai Jisas tsue of ratuari na fokinai ma gum ari tan puputaa. 
MAT.15.36	Ana Ya nom to na fits a koinykoiny ana tee mar jian a fo kakaii tsue faarof naa to ten Gov, Ya ivoo towa, Ya faan iny towa tan matisian an matisian tatafas ratuarin tagin. 
MAT.15.37	Ri na fokinai ainy, ser viits. An matisian nom to na fits a koverok a via taptap tan ainy osing. 
MAT.15.38	U as'as nar tsoiny te ainy onots fats a tapan, gima as faavot ramen moun an guei. 
MAT.15.39	Ai Jisas jiats ranaatuari na vainy, Ya jias to tan puak, Ya naa fi enato tana pan iny Magadan.
MAT.16.1	A tee vainy Farasi ana tee vainy tana taa Jiu natiny faamainy ror a mes te gim non ma tsun fatabin tana mat koo rorin Sadusi naa me ten Jisas. Ri pon to ma fataraatsua Ya, ser rangats Ya ma kat of rari ta ka iny faatok, “Mam komainy nat rom to te poo faman fi mirom Anyi ten Gov.” 
MAT.16.2	Ai Jisas biny ratuari, “Te ruk naa non a nuaf mi te tsue, ‘Ra kaa miror a madaav a rof tamanainy, tana saa, a koroo te a'aun en.’ 
MAT.16.3	Ge tana voinyvoiny ovei mi tsue rom a ka, ‘Te nai ruat non, tana saa, a korosuu na a'aun ai te kum.’ Ami onot rom ma tsue fa'arasainy tou tatagaa tsumi tana korosuu, sana mi gim rom ma onot ma tsue fa'arasainy a foka te tagei romi ma kat Anyo tan nainy roman! 
MAT.16.4	Amin aatai iny roman, amin ngi'arapaar an gima kaa fasuu ten Gov! Mi rangat Varonyo ma kat kainy faatok, sana sikia ta ka ta foun iny faatok mami sana kainy faatok tsun to ten Jona na kuigin muan.” Ai Jisas naus osing ratuari sa naa en.
MAT.16.5	Te sepuu faguas naa ri tan mes panaan nana naaman, ri anofe to ma tamaar iny naa tu koinykoiny. 
MAT.16.6	Jisas tsue to tsuri, “Taatag yam, am tatanamots ton yis tana taa Farasi ana ri na taa Jiu te gim ror ma faamainy a tou tsun fatabin tana mes tana mat koo rorin Sadusi.”
MAT.16.7	Ri tanik iny favevegiau buser rato fapoopoan narari, “Ayei te tsue na ka to, tana saa, ra gima tamaar iny me tu koinykoiny.” 
MAT.16.8	Jisas natiny a ka te vegiau tsuk iny ari ana Ya rangats ratuari, “Kat fei sam favevegiau rom fapoopoan namami ei te sikia ma kaa fi tu koinykoiny ei? Faason tsumi Tsonyo na kakaii! 
MAT.16.9	Mi tabuiny nat rom ge? Fakats fatabin yam tan nainy to te ivivoo Nyo na ngim a koinykoiny tan ngim a tapan mes, fis a koverok a via taptap tan ainy osing te fau ami? 
MAT.16.10	Fakats fatabin yam tana fits a koinykoiny tana fats a tapan mes? Fis a koverok a via taptap tan ainy osing te fau ami? 
MAT.16.11	Kat fei sam gim rom ma nat faarof ei? Tsonyo te gima vegiau tsuk mami tan koinykoiny. Tatanamots yam a tsivom tan yis tana taa Farasi ana tee vainy tana taa Jiu te koo rorin Sadusi!”
MAT.16.12	An matisian natiny Towa te gima vegiau tsuk iny yis faman nan koinykoiny to tsuri ma tatanamots ari, a sikia, sana fo faatsuts te poo minon tana taa Farasi ana rin vainy tana taa Jiu te gim ror ma faamainy a tou tsun fatabin tana mes tana mat te koo rorin Sadusi.
MAT.16.13	Jisas naa fi naa tana pan iny Sesaria Filipai, ana Ya rangats raton matisian Tsunia, “A vainy tsue rora Guei Tsoiny te Bobot e Gov sa ruak iny Mes me, e sei ee?”
MAT.16.14	“Mesapan tsue ror, Anyi Jon a Tsoiny Fapeenan,” biny finy ari Ya, “Ana mesapan te tsue ror, Anyi Ilaija, ana mesapan tsue ror, Anyi Jeremaia ge na isen tan mes panainy kuigin to te toto fatabin me.”
MAT.16.15	“Ana mi pas?” rangat fi rari Ya, “Mi tsue Varonyo sei?”
MAT.16.16	Saimon Pita biny Towa, “Anyi na Krais, a Mes to te pisainy e Gov ma Tsoiny Fiisaup Ya tana vainy, a Guei Tsoiny tana Gov a toto.”
MAT.16.17	“Gov faparits bus manyi Saimon, a guei tsoiny ten Jona,” biny finy ya Jisas, “tana saa, a man nan vegiau to gima poo fi me tana mes, sai te naa fatoobing fi me tsumanyi poo fi me ten Tamanyo i Gormirmir. 
MAT.16.18	Ana Nyo tsue of marom, Nyo koo marom anyi na fats a marats, Pita, ana fats a marats to te faarei non a man, ai patsun a man to ayei, Nyo nai fatsuiny rou a numaa iny fafaatouf Tsonyo ito na gum iny vainy fafaaman te faason Ronyo, an parits tana mat iny Hel gim on ror ma fabiu ya. 
MAT.16.19	Nyo nai faan marom anyi na fo popue tana Waan iny Gormirmir, kat te gim rom anyi ma famanat iny nei petoo, Gov kan gim on non ma famanat iny ya i Gormirmir, an kat te famanat iny rom anyi petoo, Gov kan nai famanat iny non ya Gormirmir.”
MAT.16.20	Ai Jisas vusvus faparits raton matisian Tsunia ma tsue of vaare ri ta mes Ayei na Krais a Mes te pisainy e Gov ma Tsoiny Fiisaup Ya tana vainy.
MAT.16.21	Tan nainy to aya Jisas tanik iny tsue fanat of raton matisian Tsunia, “Nyo ma naa fi Jerusalem ma saraa kamits fatsian Anyo nimar tsunaun tana taa Jiu, an tsunaun tan tsoiny faakor ana rin tsoiny fifaatsuts tan Faun te kirkir iny e Moses. Ri nai atsuiny famat Varonyo, ai tan fafofopis nan nainy Nyo nai tsun fatabin varou.”
MAT.16.22	Pita mei naa Towa tatangin ana ya tsue ets'ets Towa, “Tsunaun, Gov famanat vaare iny a ka to ma ruak on ya Tsumanyi,” te tsue fi ya!
MAT.16.23	Jisas takopis to sa tsue ten Pita, “Fataanis osing you, Satan! Nyi bei ot iny rom a sanaan Tsonyo, tana saa u fakats tsumanyi nato ayan fakats tana mes tsun sikia ma fakats ten Gov!”
MAT.16.24	Ai Jisas tsue of raton matisian Tsuan, “Sei na mes te komainy vovou Varonyo ee, ayei ma anofe na tsivon, ayei ma fa'orovus iny a tsivon, ana ya te vovou Vanyo, 
MAT.16.25	tana saa sei na mes te komainy makok faarof non a toto tsuan ee, nai nun enanon, san e sei te fa'orovus non a toto tsuan ee tan vovou Vanyo nai nom non a toto na suu. 
MAT.16.26	Ta isen ta mes te mauts non a fo masun tana ratsuu iny peto ana toto tsunia te iring a nun enato, fo masun to aya te faakouts fi non ya ei? A sikia. A saf a tafan tana mes to na to te pats fi non ya na toto na suu tana masun tsuan na? A sikia ovei. 
MAT.16.27	A Guei Tsoiny te Bobot e Gov sa ruak iny Mes me naa minon fiisen minon fo morena Tsunia koman siinaiv ten Taman ana Ya te nai tafan ir a fokinai vainy vovou tsun iny non kat te kat ari nei petoo. 
MAT.16.28	Nyo tsue faman of maromi te kaa miror mesapan te tsutsun ror tovei tabuiny mat ror nai tagei nats ror a Guei Tsoiny te Bobot e Gov sa ruak iny Mes me naa minon faarei minon a Aatouf.”
MAT.17.1	Voun gonom nainy Jisas nom rato ere Pita, ai Jemis me famuinyasiny tsuan e Jon ana Ya mei ratuari tana tobeer a nainy jig, ri patsukaner. 
MAT.17.2	Te tagaa ri ana puan Ya ruak iny pangis enato; ana nain Ya kanaf to sa faarei na nuaf an vau Tsunia faarei ton goseen kafof kakanaf. 
MAT.17.3	Sen tsun ana rin matisian tagei to Moses ai Ilaija ruak ser favevegiau fiisen me Jisas. 
MAT.17.4	Ai Pita tsue to ten Jisas, “Tsunaun, rof non te kaa fi rora nei te koman fi rom Anyi mam te kat ta fopis ta tovaar nei, isen Tsumanyi, ana isen ten Moses, ana isen ten Ilaija.”
MAT.17.5	Te vegiau farokot ya, ana koroon kafof kakanaf pau ratuari an vegiau poo mito koroo sa tsue, “Tovei na Guei Tsoiny Tsonyo, te kaa non koman tsian Tsonyo. Anyo koma rof iny rou Ya; nongon yam Tsunia!”
MAT.17.6	Te nongoiny matisian vegiau tovei, ri oraav fakap rato ser fagotsiny nato na nair peto tan puputaa. 
MAT.17.7	Jisas naa me tsuri Ya saras ratuari sa tsue na ka, “Tsun yam, oraav vaare yam!” 
MAT.17.8	Ri matoong fi to jias ser gima tagei ta mes, e Jisas tsun Tsivon.
MAT.17.9	Te of osing mi ri na tobeer Jisas tsue tap ratuari, “Pokei vaare yam a ka te tagei ami onot non te tsun fatabin fi non a Guei Tsoiny te Bobot e Gov sa ruak iny mes me tana mat.”
MAT.17.10	Ana rin matisian rangats to Jisas, “Kat fei san tsoiny fifaatsuts tan Faun te kirkir iny e Moses tsue Ilaija na kuigin ma mumua me ei?”
MAT.17.11	“Eye, Ilaija na kuigin te naa faamuan naa me,” Jisas biny rari, “ana ya te kakouiny onots fo mamatsiny ka. 
MAT.17.12	Sana Nyo tsue of maromi na ka to a mes te faarei non e Ilaija na kuigin te naa ename ana vainy gim to ma inainy fanatnat iny ya, ri kat a fo mamatsiny ka na fo iring tsunia ito na sanaan te paparaa iny mi ri. Jesan kan tana Guei Tsoiny te Bobot e Gov sa ruak iny mes me nai kat non fo mamatsiny ka na fo iring Tsunia.”
MAT.17.13	Ana rin matisian natiny Towa te tsue tsuk iny non e Jon a Tsoiny Fapeenan.
MAT.17.14	Te tabin mi ri tan tagin ana mes naa mito ten Jisas fatukun to matan Ya, 
MAT.17.15	ya tsue to na ka, “Tsunaun, tagtag a guei tsoiny tsonyo! Ayei kokonos non ai te gima kaa faarof tana saa ayei natiny gotsiny of non guaf ana aurom. 
MAT.17.16	Nyo mei mi ya tan matisian Tsumanyi, ri gim to ma tsipaar ya.”
MAT.17.17	Jisas biny ratuari fiisen me na seeve, “Amin aatai iny roman, min vainy vavaajets an iring! Fis nainy ma kaa fiisen Vanyo mi? An fis nainy ma govets patang fiisen Vanyo mi? Mei mi yam a vurots nei Tsonyo!”
MAT.17.18	Jisas buur to na masarau sa bus osing ya sen tsun ana vurots to tsipaar enato.
MAT.17.19	Kat to An matisian naa mito tana uur ten Jisas, ri rangats Towa, “Kat fei sa mam gima onot ma buur ravainy masarau ei?”
MAT.17.20	Jisas biny ratuari, “Tana saa, mi na sikia ta faason Tsonyo. Fakats yam a ka to! Te kaa fi miromi na faason a kakaii faarei non fuan kakaii nan Mastat, mi onot rom ma kat a fo mamatsiny ka! Mi onot kan rom ma tsue of a tobeer to, ‘Tasas osing a pan to nyi te naa fi unya!’ ana ya te tasas. 
MAT.17.21	[San faakats an tavtaav tsun onot non tan buur ravainy kainy masarau to aya.]”
MAT.17.22	Te naa faavot men matisian tana gum fan iny Galili, Jisas tsue to tsuri, “A Guei Tsoiny te Bobot e Gov sa ruak iny Mes me nai faan iny naa rori nimar vainy te kaa miror a parits, 
MAT.17.23	ri te atsuiny famat Ya, san tan fafofopis nan nainy nai tsun fatabin enanon.” Ana rin matisian reesik fiisok tsun rato.
MAT.17.24	Te naa me Jisas an matisian Tsunia tana ngats fan iny Kapeniam, rin tsoiny nonom takis tana saape naa mito ten Pita, ri rangats towa, “Tsoiny fifaatsuts tsumi te foiny takis of kainy non a saape?”
MAT.17.25	Ai Pita biny ratuari sa tsue na ka, “Eye!” Te sof naa Pita numaa Jisas tsue faamuan to, “Saimon, saf fakats tsumanyi na? E sei foiny non takis tana fo gotouf tan vainy petoo ee? Rin vainy tana gum fan fatoobing ge arin vainy sagoor?” 
MAT.17.26	Pita biny Towa, “U vainy sagoor.”
MAT.17.26	Ai Jisas tsue to tsunia, “Te kat fi non nei, u vainy tana gum fan fatoobing to te gim ror ma foiny takis. 
MAT.17.27	Sana ra gim ror ma fatsitsien fiisen ramiri. Kua fi naaman nyi te tats iny naan goraa, ras a vaamuan nana jian pue na nguen ya, nyi sab rom a painy moni onot non tan foiny takis tana saape of Vanyo ana nyi kan, nom naa nyi foiny of ratuaran takis.”
MAT.18.1	Tan ar nainy to aya matisian naa mito ten Jisas, ri rangats Towa, “E sei te karap non tana Waan iny Gormirmir ee?” 
MAT.18.2	Jisas fikoo to na guei a kakaii, sa fatsutsuiny ya fapoopoan narari, 
MAT.18.3	Ya tsue to na ka, “Fakats yam a ka to! Mi gim rom ma onot ma sof on tana Waan iny Gormirmir onot romi ma takopis am faarei ton guein kakaii. 
MAT.18.4	A mes te karap fiisok non tana Waan iny Gormirmir to na mes te fauf non a tsivon a faarei to na guei a kakaii tovei. 
MAT.18.5	Ai sei na mes te faakouts non guei kakaii faarei non ya to ee tana asanga Vanyo, ayei faakouts Varonyo.”
MAT.18.6	“E sei ta isen ta mes te ras raror guein kakaii to te faaman ror Tsonyo, tan kat iny aveto ee, te rof fafis non tan tang iny ta marats tsian googon a mes to aya, ai te nai faruk namaan bong. 
MAT.18.7	Saf a fasaraa tsian fiisok to na tana mes tan puputaa to te amus raror vainy tan kat kat iny aveto! Fo amus te kat fa'aveto non a mes nai ruak minon sana saf a fasaraa tsian fiisok tana mes te amus non a mesmes to na!
MAT.18.8	“Te amus fi marom anyi na nimam ge na moum tan kat kat iny aveto, kobus ravainy am ravaa ratuari. Te rof fiisok non tan nom a toto na suu, te kaa fiisen mirom anyin sen niman an sen mou, sai te gim non ma mamatan faarof tan kaa men fuan niman an fuan mou, kat ror ser ras manyi tan guaf te sikia non ma mote. 
MAT.18.9	Ai te amus fi marom anyi na matam tan kat kat iny aveto, fas ravainy, nyi te ravainy naa ya! Te rof fiisok non tan nom a toto na suu te kaa mirom anyin sen matan, sai te gim non ma mamatan faarof tan kaa men fuan matan kat ror ser ras manyi tan guaf iny Hel te gim non ma natiny mote.”
MAT.18.10	Ai Jisas tsue to na ka, “Kat rom sam pon fi nei vainy kakaii to te faarei rora ka babainy. Nyo tsue of maromi, u morena tsuri te kaa ror Gormirmir natiny tagei fatoobing ror e Tamanyo i Gormirmir. 
MAT.18.11	[Tana saa, a Guei Tsoiny te Bobot e Gov sa ruak iny Mes me, te naa me ma saup ir Ya na vainy te nun farokot ror.]
MAT.18.12	“Saf fakats tsumi na? A saa te nai kat non a mes te kaa minon natus siip tsuan ana isen tsurin siip te kuar fuainy a nun to? Ayei fakaa raror sian safunuu ana sia to te gima nun er ainy to tan tet ya te nai tsikoo na mes a isen to te nun. 
MAT.18.13	Nyo tsue faman of maromi te sab finy non ya na isen to te nun, ayei mamagat fiisok non fis non a mamagat tan sian safunuu ana sia na siip to te gima nun. 
MAT.18.14	Jesan kan ten Tamamami te kaa non Gormirmir tsugainy non ta isen tan vainy kakaii to ari ma nun tana mat a suu.”
MAT.18.15	“Vamuinyasiny tsumanyi te kat non kat iring tsumanyi, kua tsunia nyi te tsue fatoobing of yan kat iring te kat ya, kat yam tana uur fapoopoan namami. Te nongoiny fi marom anyi ya, eye, nyi nom fatabiny bus ya. 
MAT.18.16	Sai te gim finy non ya ma nongoiny manyi nom ta isen ge ta fuan ta mes, am naa faavot to ma nongoiny faarof ari tan fo vegiau te faraarar fi romi tana ina fuan, jesan te tsue fin Vegiau Ten Gov. 
MAT.18.17	Sai te gim finy non ya ma nongon rari pokei yam a fo vegiau to tan gum iny vainy fafaaman. Ai to te gim fi non ya ma nongoiny a gum nar vainy fafaaman, aspeer yam, ma faarei ya na mes a vavaajets ge na tsoiny nonom takis.”
MAT.18.18	Ai Jisas tsue pis to, “Nyo tsue faman of maromi na fokinai, A ka te gim romi ma famanat iny nei peto, Gov kan gim non ma famanat iny ya Gormirmir; ana ka te famanat iny romi nei petoo, Gov kan nai famanat iny non ya Gormirmir.
MAT.18.19	“Nyo tsue faman of pis maromi te fatangan faarof fi ror a ina fuan tan ta ka te komainy faakats of rori, Tamanyo te kaa non Gormirmir te kat non koman tsuri, 
MAT.18.20	tana saa ai to te vaaguam faavot ror a ina fuan ge ta ina pis er fakats vatuanyo tana asanga Vanyo, Nyo kaa rou fapoopoan narari.”
