MAT.1.1	Jisu Krista rui ryzâm dân chu: David sapâ, Abraham sapâ kyntâ: 
MRK.2.28	Hamâtâsiknin, Maniâ Sapâ chu ryngamni chunga tenka khawm mylal â chang,” a ti.
MRK.3.1	Senagok (Rubumnâ ina) â lut nok a, hanân chu luka kutzeng a hai awm. 
MRK.3.2	Khanung, ai rysyl yng man thyi rangnin, Ryngamni kyn a midam maw midam mak tinin yng mit le morongnin yng awm. 
MRK.3.3	Khanung, atak chu kutzeng rang, “Hinân la hawng raw,” a ti. 
MRK.3.4	Khanung, yng kyn, “Ryngamni kyn â tha tho mi maw â tha, tha mak tho? Midam mi maw â tha, that mi?” tinin yng na rythang.
MRK.3.4	Imyitinung, yngni chu dep yng dâi ta. 
MRK.3.5	Khanung, phingsirnin yng tyng rawdawnnin a en a, yng mulung khyu tâsik, a mulung â na ia, hanung, hamâ rang, “Nu kut dawm raw,” a ti a. A kut a dawm kale sadim kân a dam ta. 
MRK.3.6	Pharisai ngyi yng sok a, atak rang that thyi rangnin vawikazawk Herod mi ngyi bila lutnin ryvaknâ yng va sym tâk.
MRK.3.7	Jisu a nungzui ngyi le tuipui kol tyng yng sê ia; hanung Galili ram atâ mipui tamka, yng ruzul tâk. 
MRK.3.8	Khanung, a tulsin chawp tho rang hoinin Judai ram atâ, Jerusalem kho kyntâ, Idumia ram atâ, Tura le Sidon kyntâ ngyi khawm mipui tamka a kyn yng hawng vang, 
MRK.3.9	mipui yng tam rymâk tâsiknin, et a tawng mak rang kânin mawlawng miridik pêk rangnin a nungzui ngyi rang yng na rep. 
MRK.3.10	Mi tamka yng na midam ta ia; hamâsiknin rikho nyi khoka atak rang yng ton thyi rang kânin ur yng va redel tâk. 
MRK.3.11	Rythasy rono ngyi khawm atak rang yng mu kale a makunga rukhupnin, launin, “Nyngma Pathyn Sapâ tou ni chang!” tinin yng mêhêt sin.
MRK.3.12	Khanung, a retep chu atu rang khawm mihoi mak rang tâsiknin rêk rang yng na khap.
MRK.3.13	Jisu chu tânga a vâ lui a, ai nom khoka rang yng na kou a; hanung a kyn yng sê ia. 
MRK.3.14	A kyn yng awm thyi rang kân le chawng ril angnin yng na dep thyi rang kânin. 
MRK.3.15	Hanung, khori lut ngyi rang khawm misok thyinâ yng nyi thyi rang kânin; lu sawm lyi nika ngyi rang yng na zen tâk.
MRK.3.16	Hâ lu sawm lyi nika ngyi chu, Simon, Peter ai timi, 
MRK.3.17	Jebidai sapâ Jakob le a nâupâ Johan, (hi ngyi rang, Boanerge tinin riming yng na pêk himâ chu, “khori synâu ngyi,” tinâ â chang.) 
MRK.3.18	Andria, Philip, Bartholomai, Matthai, Thoma, Alphaia sapâ Jakob, Thaddai, Kanaan mi Simon, 
MRK.3.19	a mi manmi Juda Iskariot ngyi yng chang.
MRK.3.20	Ina a vâ lut a; mi tamka a kyn yng hawng ribil nok tâsiknin bu tenka ngan ne tik nyi thyi khâi ma ngyi. 
MRK.3.21	A sokpui ngyi hamâ yng hoi kale, “A taw tou a taw ta,” tinin va man rang tâsiknin yng sê ta.
MRK.3.22	Jerusalem kyntâ lekhasuimi â hawng ngyi chu, “Beelzebul ai zol tou tâk hi,” “Rythasy mylal ai chang tâsik tou rythasy rang a misok sin,” yng ti.
MRK.3.23	Jisu chu lekhasuimi ngyi rang a dema yng na kou a, rekhennâ mangnin yng na ril a, “Setan sêknin Setan rang te hakhanin maw la misok thyi at? 
MRK.3.24	Ram khawm amân tâ amân a rutuk nung, hâ ram te ding thyi nâni. 
MRK.3.25	Indong sung khatka kyn khawm yngni le yngni yng rutuk nung, hâ indong chu zil thyi nâni. 
MRK.3.26	Setan khawm amân tâ amân a rutuk nung ding thyi nâni a, rymangnâ mitou tung at.
MRK.3.27	“Ato khawm â râtmi ina a sum chu la thyi sin ma ngyi, hamâ rang mânsânin thep khit zounin tou; a in chu lawngnin khiring mirawng thyi iyng.
MRK.3.28	“Chawngtaktênin nyng na ki ril hi. Maniâ synâu ngyi yng na rysylnâ tinka le Pathyn rang lam dang dang kân yng mêtêknâ ngyi kyntâ chu mawzawk la chang thyi iyng a; 
MRK.3.29	imyitinung, mi atu khawm Rythâ Rythyng rêlê a mêtêkmi rang chu, siring mawzawk man nâ ni a, kumkhoka rysylnâ kyn mitou dikmakmi la chang at,” a ti. 
MRK.3.30	“Rythâ rono tou a zol tâk,” yng ti tâsiknin ai ti â chang.
MRK.3.31	Jisu a nu le a nâupâ ngyi yng hawng a, pêna yng ding a, va kou rangnin mi yng dep. 
MRK.3.32	A dema mi tamka yng hai awm, hanung a kyn. “En ta pêna ny nu le ny nâupâ ngyi ny iyng hawng rawk saw,” yng ti.
MRK.3.33	Atak chu yng kyn, “Atu ngyi maw ku nu le ky nâupâ ngyi chu yng chang?” tinin yng na rythang. 
MRK.3.34	Khanung, a dema â sung ngyi tyng rawdawnnin a en a, “En rou ta, hi ngyi tou ku nu le ky nâupâ ngyi yng chang hi! 
MRK.3.35	Mi atu khawm Pathyn nom kân â tho khoka tou, ky nâupâ, ky sarnu, ku nu yng chang ha,” a ti.
MRK.4.1	Dil kola yng na rysyi nok tâk a, mi tamka a kyn yng hawng rubum a, dil kyntâ mawlawnga luinin â sung a; mi tamka ngyi chu tuikola yng awm. 
MRK.4.2	Khanung, rekhennâ le chawng tamka yng na rysyi a; yng na rysyinâ kyn chu yng kyn,
MRK.4.3	“Ryngâi nang en rou ta, sachi khêrêpâ chu sachi khêrênin â sê ia; 
MRK.4.4	hanung, hikhan â chang a, a khêrênâ kyn chu lawkka lampui dunga â tâk a, vâ ngyi hawngnin pheng yng sâk tak, 
MRK.4.5	Khanung lawkka chu lung chung nêng ryphântê kyn â tâk a; nêng ai ryphân tâsiknin harawkhra a kek ta ia; 
MRK.4.6	Imyitinung ni a hawng lum kale nung a hawng thêm ta, a ruzung ai mythâk thyi mak siknin a châr ta. 
MRK.4.7	Lawkka chu riling bila â tâk a, chyk chu a hawng syi a, a hawng dip tâk a, dep vui thyi khâi mak. 
MRK.4.8	Khanung lawkka chu nêng thâ kyn â tâk a, â chyu a, â lyn a, a vui ta; sawm thumka, sawm rukka, ryzâka tenka khawm a vâng ta,” a ti.
MRK.4.9	Atak sêk ngan, “Mi atu khawm hoinâ rang nâ â nyimi khoka chu hoi se!” a ti.
MRK.4.10	Aruthup kyn a mân a awmnâ kyn sawm lyi nika ngyi le a nungzui midang ngyi chu a kyn hawngnin rekhennâ ngyi chu chyng taknin yng rythang. 
MRK.4.11	Atak chu yng kyn, “Pathyn ram chawng ruthup chu nyng hoi chu phal â chang a, imyitinung pêna mi ngyi tâ rang chu atinka rekhennâ le ril â chang; 
MRK.4.12	hanung chu, ‘Mu te yng mu thyi a, imyitinung hoi chu hoi thyi mak rangnin le, nâ le chu yng hoi thyi khawm synang, a awmzy yng hoi thyi mak rang kânin, hamaknung chu hawng kir yng ti a, mawzawk zat hawng chang yng,’ ” a ti.
MRK.4.13	Atak sêk ngan yng kyn, “Hi rekhennâ chawng ki ril hoi thyi mak chou maw? Hangkhan a chang nung chu rekhennâ dang kipka ngyi rang te hangkhanin maw hoi thyi ta nyng? 
MRK.4.14	Sachi a khêrêmi chu chawng a khêrê. 
MRK.4.15	Lampui dunga chawng khêrê tinâ chu hi ngyi hi â chang: chawng yng hoi kale Setan chu yng mulung sunga chawng khêrê sai chu vawikazawk ngan yng na lâk pêk sin. 
MRK.4.16	Hamâ kuvangnin, lung pherphâ chunga khêrê chu hi ngyi hi â chang: chawng yng hoi kale vawikazawk â pawm ngyi hi; 
MRK.4.17	imyitinung, yng kyn ruzung reng ngan la nyi ma ngyi a, tawtkatê reng yng awm a; hamâ zounin chu Pathyn chawng tâsiknin mytaknâ maw ronnâ maw a hawng tung kale nung vawikazawk ngan yng na chul ta sin. 
MRK.4.18	Khanung, midang ngyi chu riling bila khêrê ngyi yng chang a: ha ngyi chu Pathyn chawng te yng hoi ta ia, 
MRK.4.19	imyitinung, khawmol lyknâ ngyi, nyinâ, mêkhêlnâ ngyi a hawng lut nung chu, chawng rang chu a hawng dip a, myrâ nyi lounin a hawng awm ta sin. 
MRK.4.20	Khanung, nêng thâ kyn khêrê chu hingyi yng chang: Pathyn chawng chu hoinin, pawmnin alyi sawm thumka, alyi sawm rukka, alyi ryzâka a myrâ ngyi hi yng chang,” a ti.
MRK.4.21	Atak sêk ngan yng kyn, “Châti chu syknâ mun kyn syk lounin char noi kyn maw, tapawng noi kyn maw, syk lom rangnin maw yng hawng choi sin ai? 
MRK.4.22	Ropong mak zât tharo ruthup i awm thyi mak a; rylang mak zât chawng ruthup khawm i awm thyi mak. 
MRK.4.23	Mi atu khawm hoinâ â nyi khoka chu ai hoi chang se!” a ti.
MRK.4.24	Khanung, atak sêk ngan yng kyn, “Nyng ryngâi sai chu imaw â chang rikimnin awm rou; nyng rytânâ le sêk ngan nyng na rytâ pêk yng a, âtamnin mitou nyng na pe iyng. 
MRK.4.25	Mi atu khawm â nyimi rang chu hanung la pe iyng a; nyi makmi rang chu ai nyi saitê rang ngan la sut yng,” a ti.
MRK.4.26	Atak sêk ngan, “Pathyn ram chu hi khanin hi â chang, atu mychang nênga chi khêrê tar synang, 
MRK.4.27	zâna innin nusuna thou sin synang, a chi chu, i hoi lounin, keknin hawng lyn ta synang hakhavang tou â chang. 
MRK.4.28	Nêng hi amân tâ amân myrâ â nyi sin; mânsâ chemnin a kung, hamâ zou nung chu avui; hanung hamâ zou kale nung chu avui kyn chu athyi a hawng chang ta sin. 
MRK.4.29	Imyitinung, avui chu a hawng min tâ nung chu, ât zo ai chang tâsiknin, sekhra a mang ta sin,” a ti.
MRK.4.30	Atak sêk ngan, “Pathyn ram chu hikhanin maw rekhen yi ai? Achang mak kale i rekhennâ le maw rekhen yi? 
MRK.4.31	Ancham chi muka rênêng chunga khêrê chang tar synang, rênêng chunga atinka chi nêknin âtom chem khawm; 
MRK.4.32	khêrê zounin chu a hawng kek a, anchawr tinka dang nêknin a hawng lyn chem ta ia, a mychang lyn ngyi a hawng nyi a, hanung chu chungrêl vâ ngyi chu a rubuk kyn yng ryk thyi sin; hikhan tou â chang,” a ti.
MRK.4.33	Imyitinung, himâ kuvang rekhennâ tamka mangnin yng hoi thyi dân kânin yng kyn chawng a ril sin. 
MRK.4.34	Imyitinung, rekhennâ le chang lou chu yng kyn chawng ril sin mak, a nungzui ngyi rang chu mun ruthup kyn atinka sadim kân yng na ril sin.
MRK.4.35	Hamâni sêk khylou a, atak chu yng kyn, “Thou chatyng râla va rykan yi ti,” yng na ti. 
MRK.4.36	Khanung chu, mipui ngyi rang chu yng na manin, atak chu ai hai awm sai kuvangnin ngan mawlawng le yng sêpui tâk a, mawlawng dang ngyi khawm a bylap yng awm. 
MRK.4.37	Khanung, thâivo put â hawng a, tuipukpak ngyi chu mawlawnga thyi a hawng lut a, mawlawng chu tui ai hawng bit deng tou tâk. 
MRK.4.38	Atak chu mawlawng pin tyng khak khabawnga khabawngnin innin â awm a; hanung, yng va mythou a, a kyn, “Pumâ kyi nai rymang hi i ngan nyng chang pêk mak maw?” yng ti.
MRK.4.39	Khanung, atak chu a hawng sang a, thâivo rang chu a hal a; tui rang khawm, “Ryngamnin thir kân awm raw!” a ti. Khanung, thâivo chu mawngnin a ryngam ta. 
MRK.4.40	Atak chu yng kyn, “Itâ maw hazikpui te nyng chi tâk ai? Khymnâ siring la nyi mak chyu hi na?” a ti.
MRK.4.41	Khanung, bykka yng chi chang khâi mak a, “Himâ hi atu maw â chang ai, thâivo le tui tenka ngan a chawng yng ryngâi hi?” yng ri ti zylai tâk.
MRK.5.1	Dil râl, Gerasin mi ngyi ram chu yng hawng tung ta. 
MRK.5.2	Khanung, mawlawng kyntâ sok zounin mi luka rythasy â lutmi, thân kyntâ hawng soknin vawikazawk a hawng pan tâk a; 
MRK.5.3	hamâ chu thân ngyi kyn ngan â awm sin a, mi atu khawm atak rang chu sikawl le ngan khit thyi khâi ma ngyi a; 
MRK.5.4	a phyi le a kut kyn khawm sikawl le yng khit ta sin a; imyitinung, sikawl ngyi chu phyk phyk a sat zou a, phyi le kut rykhitnâ sikawl ngyi khawm a khyk sin a; maniâ atu khawm atak rang a mook zou awm khâi mak, 
MRK.5.5	Sun le zân thân ngyi kyn le tâng ngyi kyn pat a mêhêt sin a, lung ngyi le khawm a ryât sin.
MRK.5.6	Khanung, âla kyntâ Jisu rang a mu kale rytounin a va pan a, a va lau a; 
MRK.5.7	a thyi tykka mêhêtnin, “Jisu, Pathyn rysâng chemmi Sapâ, kyima le nyngma te yi na rutunâ imaw â awm? Kyi ron hâm mak rangnin Pathyn rimingnin nyng ki u,” a ti. 
MRK.5.8	Jisu ha a kyn, “Nyngma rythasy, maniâ sung kyntâ sok raw,” a ti.
MRK.5.9	Atak chu, “Ni riming imaw?” tinin a rythang a, atak chu, “Ki riming chu Nuaia â chang, tamka ki chang siknin,” a ti. 
MRK.5.10	Khanung chu, hâ ram kyntâ yng na um mak rangnin Jisu kyn rik titnin a u tâk.
MRK.5.11	Hâ tânga vawk châk yng awm. 
MRK.5.12	Khanung, rythasy ngyi chu, “Vawk sung kyn lut rangnin kyi na dep raw, yng kyn kyi lut thyi rang kân,” tinin a kyn yng zawng. 
MRK.5.13	Khanung, yng na dep a, hanung rythasy ngyi chu yng sok a, vawk sung ngyi kyn yng lut a; hanung vawk châk ngyi chu (Sasi nika yng chang) haurak kân rytounin, tuili kyn pheng yng va rochom a; hanung tui kylyknin yng na thi ta.
MRK.5.14	Khanung, â vul ngyi yng rytou a, kho ngyi kyn le in ngyi kyn yng va ril a, “Imaw a chang tâk?” tinin en rangnin yng hawng. 
MRK.5.15	Jisu kyn yng hawng tung a, rythasy lut, Nuaia ai manmi ha, pon silnin, maniâ dik tak mulung nyinin ai sung yng hawng mu ia; hanung yng chi ta. 
MRK.5.16	A hoi ngyi chu rythasy â manmi chunga tharo ai tung dân le, vawk ngyi retep khawm hangyi rang yng nyng hai ril tâk.
MRK.5.17	Khanung chu, hangyi ha yng ram kyntâ rykhai rangnin yng mêthêm tâk.
MRK.5.18	Mawlawnga a lut tona hâ rythasy ai manmi ha Jisu bylap pat awm rangnin â zawng.
MRK.5.19	Imyitinung, Jisu phal mak a, a kyn, “Ni ina ny sokpui ngyi bylap va kir nang, Pumâ ny chunga a tulsin dân le ryng na mu dân hi va ril raw,” tinin mitou a ril tâk. 
MRK.5.20	Khanung chu, â se ia, Dekapoli kho ngyi kyn chu Jisu a chunga a tulsin dân chu a va ril tâk a; khanung chu, mi ngyi pheng ngan luk yng na chawp pêk ta.
MRK.5.21	Jisu chu mawlawng le râlka tyng a hawng rykan nok nung, maniâ tamka a kyn yng rubum a; hanung, atak chu dil kola â awm a.
MRK.5.22	Khanung, Senagok kyntâ ulyn ngyi bil kyntâ luka a riming Jaira chu â hawng a; Jisu rang a mu kale a phyi makunga a va rukhup a, 
MRK.5.23	“Ky sanu nâupangtê thi rodonnin â awm a; hawng sangnin a hawng dam thyi rang kân hawngnin a chunga nu kut bâng rang tâsiknin nang ki u hi,” tinin mulung tytak le â u ia.
MRK.5.24	Khanung chu Jisu a bylap â sê a, hanung mi tamka yng ruzul a, yng na va reet zik zuk ta.
MRK.5.25	Khanung, nupang luka, kum sawm lyi nika thi rysarnin syrang mak a, 
MRK.5.26	Daktawr tamka kyn a ry ennâ luk ngan a tor ta, ai nyi tinka khawm a mythâm zou ta ia, tha rang tyng nêknin a rawngawk tyng mitou a pan rylyk a; 
MRK.5.27	hamâ ha Jisu retep hoinin, a nunga mi tamka bil kân â hawng a, a pon chu a hawng ton. 
MRK.5.28	“A pon ngan tonnin, kyi dam thyi at,” ti ha a mulung ryvak chu â chang.
MRK.5.29	Vawikazawk ngan a thi rysar chu a hawng dam ta ia, a rikho chu a dam ta tinin atak chunga a rohoi thyi ta.
MRK.5.30	Jisu chu a sung atâ sinthothyinâ ai sok sin chu â sok tinin â hoi a, vawikazawk ngan mipui ngyi tyng â ngat a, “Atu maw ky pon â tonmi ha?” tinin a rawk.
MRK.5.31	Khanung a nungzuimi ngyi chu a kyn, “Mi tamka ngyi ny iyng et hi ni mu korok, ‘Atu maw ka ton? Hakhanintâ ni ti maw ai?’ ” yng ti a.
MRK.5.32	A tonmi rang mu rangnin pheng tyng a en, 
MRK.5.33	hanung chu, hâ nupang chu a chunga sin ai tho pêk chu hoinin chinin chun bylamnin â hawng a, a makunga rukhupnin, a kyn chawng dik pheng a ril tâk. 
MRK.5.34	Atak chu nupang kyn, “Ky sanu, nykhymnânin na dam ta, sungdâi taknin sê ta raw, ny rikho kyntâ chu nyng dam tar se,” a ti tâk.
MRK.5.35	Chawng a la ril lâizing kyn Senagok ulyn in kyntâ chu mi yng hawng a, “Ny sanu a thi ta; imaw nget Pumâ rang te ron lom khâi?” yng ti.
MRK.5.36	Imyitinung, Jisu chu yng chawngril ngyi ryngâi lounin senagok ulyn rang chu, “Chi ma raw, khym lam khym raw,” a ti tâk. 
MRK.5.37	Khanung, Peter, Jakob nâupâ Johan ngyi reng chang lou chu atak rang zui rang tânin phal khâi mak. 
MRK.5.38	Khanung, senagok ulyn in a vâ tung a, Jisu chu yng nai hai rawkhawl remrum le yng chap ir ur, yng hai pung ur ur a va mu ta. 
MRK.5.39	Khanung, a vâ lut a, yng kyn, “Itâ maw pung er urnin nyng chap tâk? Hi nâupang ai thi chang mak, ai in tou hi,” a ti.
MRK.5.40	Yngni chu nuihêk yng thâk a, imyitinung, atak chu pheng yng na misok a, nâupang nu le pâ le a bylap â awm ngyi rang khawm yng na roi a, nâupang awmnâ kyn a vâ lut. 
MRK.5.41	Khanung, hâ nâupang kut a man a, a kyn, “Talithakumi!” a ti a. (Hamâ tinâ chu, “Alit, thou raw, nyng ki ti hi!” tinâ â chang).
MRK.5.42	Hâ nâupangtê chu â thou a, vawikazawk a kal thyi ta; atak chu kum sawm lyi nika a chang ta. Yngni chu bykka yng nai chawp pêk chang khâi mak. 
MRK.5.43	Khanung, yng kyn, “Himâ hi atu rang khawm mihoi ma ngyi se,” tinin rik titnin a ril a; hanung chu nêk sâk pe rangnin yng na rep.
MRK.6.1	Hanântâ chu â sok a, a awmnâ kho kyn chu a tung ta ia; a nungzui ngyi khawm thyi yng zui. 
MRK.6.2	Hanung ryngamni â chang a, Senagok kyn yng na rysyi tâk a; hanung, mi tamka yng awm a; yng ryngâi a, luk yng na chawp pêk ta. “Hi ngyi hi hangkyntâ ai man maw ai? I singnâ maw a kyn pêk â chang ai? A kut le hazikapui kâmchawp ai tho thyi i tâ maw ai? 
MRK.6.3	Himâ hi Mari sapâ, Jakob, Joseph, Juda, Simon ngyi parolpâ, sunduk â symmi chang mak maw? A sarnu ngyi khawm yi kyn â awm ngyi chang ma ngyi maw?” yng ti a. Luk yng na chawp pêk ta. Hanung chu, a chunga yng mulung kân chang khâi mak.
MRK.6.4	Jisu yng kyn, “Zawlnyi chu a kho ngyi tyng, a sokpui ngyi kyn, a in ngyi kyn reng chang lou chu, mawsawr man lounin awm sin mak,” a ti.
MRK.6.5	Dam mak mi byka ngyi chunga tonnin ai midam reng chang lou chu; hanân te sin chawp reng tho thyi mak. 
MRK.6.6	Yng khym mak tâsiknin luk a chawp pêk ta.
MRK.6.6	Khanung yng na rysyi bylampânin kho ngyi kyn chu lêngnin a rêvêl ta.
MRK.6.7	Sawm lyi nika ngyi rang chu yng na kou a, a bawpnin yng na dep tâk a; rythâ thamak rono ngyi chunga kutnyinâ khawm yng na pêk tâk. 
MRK.6.8	Khanung, yng sêna lom kyn lâthâ reng chang lou chu, i ngan bai khawm, sawlâ khawm, sum zuli khawm rawkawl rang tânin tit yng na phal mak; 
MRK.6.9	Imyitinung, phyikawk chu sir rangnin a phal a, kanchili pâk nika sil ma rou khawm a ti. 
MRK.6.10	Atak sek yng kyn, “Nyng tungnâ in khoka kyn ngan hanântâ nyng sok mak tenka chu hanân ngan awm ta rou. 
MRK.6.11	Khanung, atu kho khawm nyng nyng lawm mak nung chu, nyng chawng yng lâk maknâ kipka kyn chu, hâ kho kyntâ nyng sok tikân chu yng na mihoinâ rangnin, nyng phyi myzâ noi kyntâ philphut chu thik rou!” a ti.
MRK.6.12	Hanung, yng va sok ta ia risirnâ chawng yng ril a; 
MRK.6.13	rythâ thamak tamka khawm yng misok a, dam mak tamka rang khawm saryk yng phul a, dam khawm yng midam.
MRK.6.14	Khanung mylal Herod chu â hoi a, a riming chu a hawng thang ta ia; “Baptistma â pemi Johan ha ai thi kyntâ a hawng thou nok ta ia, hamâsiknin hamâ kuvang sinthothyinâ ngyi ha a kyn sin ai tho chang tiat,” a ti.
MRK.6.15	Lawkka chu, “Elija yng ti a,” hanung lawkka ngyi, “Zawlnyi tou, zawlnyi ngyi sung atâ luka chang at,” yng ti.
MRK.6.16	Imyitinung, Herod chu a hoi kale nung, “Johan a lu ki tanmi rêlê ha, a hawng thou nok ta,” a ti.
MRK.6.17	Herod rêlê ngan a nâupâ Philip nupui Herodi tâsiknin maniâ yng na dep a, Johan rang yng na miman a, jil ina khitnin a hai khum sai tâk a, Herodi rang khawm nupui rangnin a hai lâk sai ta ia; 
MRK.6.18	Johan chu Herod rang, “Ny nâupâ nupui rang ni lâk hi dik mak,” tinin a hai ti sai.
MRK.6.19	Hamâsiknin, Herodi khawm atak rang a mumâknâ, that rang khawm â nom a, imyitinung, thyi mak. 
MRK.6.20	Herod chu Johan hi mi dik le mi rythyng tak â chang tinin ai hoi tâsiknin atak rang ha â chi, sadim kân a rung a; a chawng a ryngâi nung luk a sung â rêng sin a; imyitinung, zâipâr taknin a ryngâi sin.
MRK.6.21	Khanung, Herod rizirni kyn chu a milyn ngyi, sipai ulyn ngyi, Galili ram kyntâ milyn ngyi tâsik pantâ a tho lâi tak kyn zo thâ a nyi ta ia. 
MRK.6.22	Herodi sanu rêlê a hawng lut a, â lâm a, Herod le a bu nêk champui ngyi rang khawm yng zâi a mipâr tâk a; khanung chu, mylal chu nupang nâupangtê kyn, “Ni nom khoka kyi zawng raw, nyng pe ket,” a ti a. 
MRK.6.23	“Ki ni zawng tinka chu, ky ram phalka tenka khawm nyng pe ket,” tinin khawm a kyn samâi â ton. 
MRK.6.24	Khanung, atak chu â sok a, a nu kyn, “Imaw zawng ket?” a va ti. Atak chu, “Baptisma â pemi Johan lu,” a ti.
MRK.6.25	Khanung, rang taknin mylal kyn chu pylat â lut a, “Mâirâng le Baptistma â pêkmi Johan lu atun ki ni pêk ki nom,” tinin â zawng.
MRK.6.26	Mylal chu a mulung luk a na ta ia; imyitinung, a samâiton le a bu nêk champui ngyi tâsik ha khap ngam khâi mak. 
MRK.6.27	Khanung, mylal chu a myrykmi sipai luka rang a dep tâk a, a lu hawng kui rang tâsiknin chawng a pêk. Atak chu jil sunga sênin a lu a va tan tâk a, 
MRK.6.28	a lu chu mâirâng le a hawng kui tâk a, nâupangtê rang a hawng pêk tâk, hanung, nupang nâupangtê chu a nu rang a hawng pêk tâk. 
MRK.6.29	Khanung, a nungzui ngyi chu yng hoi kale nung a rok chu va lanin thâna yng va phum tâk a.
MRK.6.30	Koudep ngyi chu Jisu kyn yng hawng rubum a, atinka, yng tho kipka le yng nyng rysyi tinka ngyi yng va ril a, 
MRK.6.31	atak chu yng kyn, “Nyngni ngyi reng ramchâr muna a chawrainin hawng nang tawtka rang hawng ryngam, rou,” a ti. (Mi tamka yng rêkhêl zek zuk, bu ngan ne tik nyi ma ngyi). 
MRK.6.32	Hanung chu, ramchâr mun tyng pan rangnin mawlawng le a chawrainin yng sê ta.
MRK.6.33	Khanung, mi ngyi yng sê lâi tak kyn yng nyng mu ia, mi tamka yngni rang yng nyng risin a, kho tinka kyntâ hanân phyi le munkân sênin yng va rubum a, yng tung mâna yng va tung ta. 
MRK.6.34	Hanung chu, tuikola a tung nung mi tamka yng na mu ta ia, a myryk bou tâ merâ tamka ngyi kuvang yng chang tâsiknin luk ryng yng na mu ta, chawng tamka yng na rysyi tâk.
MRK.6.35	Khylou chu a hawng chang ta ia, a nungzui ngyi a kyn yng hawng, “Hina hi ramchâr mun â chang khylou khawm a hawng chang ta ia; 
MRK.6.36	yngni ngyi rang hi yi dema lou ngyi kyn le kho ngyi kyn sênin, nêk sâk yng nêk yng va sâk thyi rang kânin yng na dep ta raw,” yng ti.
MRK.6.37	Imyitinung, atak chu yng kyn “Nyngni ngyi lam ne lom sa lom chu yng na pe rou,” tinin yng na ril. Yngni ngyi chu a kyn, “Baitêp duli ryza nika man va rawchawnin maw nêk sâk yng na pe kyi?” yng ti a.
MRK.6.38	Hanung, atak chu, yng kyn, “Baitêp hazika maw nyng nyi? En rou ta,” yng na ti. Yng nyi zyrâ yng hoi kale nung, “Baitêp ryngâka le ngâ inika,” yng ti.
MRK.6.39	Khanung, atak chu yng châknin chyk chunga a dawl dawlnin yng na misung rangnin yng na rep. 
MRK.6.40	Khanung, tângka kyn ryzâka, sawm ryngâka ngyi kânin yng sung ta. 
MRK.6.41	Jisu chu baitêp, ryngâka le ngâ inika chu a lâk a, ryvân tyng rawdawnnin bor a pêk a, baitêp ngyi chu a kham a, yng makunga sem rang tânin a nungzui ngyi rang yng na pêk tâk, ngâ inika le reng khawm mi tamka ngyi rang yng na sem. 
MRK.6.42	Yng châknin yng sâk a yng na khawp ta. 
MRK.6.43	Khanung, bai nyng le ngâ nyng ngyi chu tapawng sawm lyi nika bitnin yng rut. 
MRK.6.44	Bai â sâk ngyi chu upâ ulyn zir sasi ryngâka yng chang.
MRK.6.45	Atak rêlê ngan mipui ngyi rang yng nyng michin sunga râlka tyng Bethsaida kho kyn mânsâ hai se rangnin; a nungzui ngyi ang romonin mawlawnga lui rang tânin yng na rep a. 
MRK.6.46	Yngni rang yng na michin zou nung chawngmychai rang tânin tânga a sê ta. 
MRK.6.47	Khylou tyng nung, mawlawng chu dil mylâi taka a hai awm ta, atak chu amân reng ngan tânga â awm a, 
MRK.6.48	yng mawlawng vai atâ reng ngan yng mulung a sung â rêng kân â mu ia, (thirthi ha aletlam tyng ai nam tâsiknin) khozingrubup kyn dil chunga a phyi le lam sênin yng tyng khak a hawng pan; yng na êl rang a rawthawk. 
MRK.6.49	Imyitinung yngni chu dil chung kyn a phyi le lam sênin yng hai mu nung chu, pathynsy rinim maw sonnin, khaichymnin yng mêhêt ta, 
MRK.6.50	yng châknin atak rang yng mu ia, luk yng rythâ a vai ta. Imyitinung, atak chu yngni rang tyk ngan yng na moson tâk a, yng kyn, “Sungdâi taknin awm rou; kyima tou ki chang; chi ma rou,” a ti. 
MRK.6.51	Mawlawnga yng bylap a va lut ta, thâivo chu a mawng ta. Khanung, yng mulung le chu luk yng na chawp pêk ta ia; 
MRK.6.52	bai retep chu i hoi thyi ma ngyi a, yng mulung ai khyu tâsiknin.
MRK.6.53	Râl dang tyng yng rykan zou nung Genesaret ram tânga yng tung ta. Tuikola mawlawng chu yng khit a, 
MRK.6.54	mawlawng kyntâ yng chin zou nung chu mi ngyi atak rang vawikazawk ngan yng hai risin thyi ta, 
MRK.6.55	hâ rama mun tinka kyntâ vu vu yng sê ta ia, â awm tinin yng hoinâ kipka kyn, dam mak ngyi rang yng in mun ngyi le rozonnin yng nyng roi tâk. 
MRK.6.56	Khanung, khotê ngyi kyn, kho lyn ngyi kyn, lou ngyi kyn, mun tinka kyn ngan a lutnâ kipka kyn dam mak ngyi rang bâzar ngyi kyn yng nyng mi in a, a ponmortê lo ton rangnin luk yng zawng a; hanung, atak rang â ton kipka chu thyi yng na dam ta.
MRK.7.1	Pharisai ngyi le lekhasuimi ngyi sung kyntâ atu ngyi mychang, Jerusalem kho kyntâ â hawng ngyi chu, a kyn yng hawng rubum a. 
