MAT.1.1	Maketourou gel ka dooudjé lo Jésus Christ, ngon lo David, ngon lo Abraham.
MRK.2.5	Tokou Jésus wo ko mè té lodè, nè mpa ke doou ke debe rè woei, Ngonem, né ke madjang loi goto nga.
MRK.2.6	Mare ndjè da maketourou ndedjidjé éh nou, dèdè dounda mèdè dè té, dèdè mpa mèdè té,
MRK.2.7	Mbata di a doou nèn pa tokou ban wa? Nè mpa tar sa ke Allah. Doou di a ase ta kïya né ke madjang sè Allah kadaba ang wa?
MRK.2.8	Loshénè loshénè ba Jésus geré mèa té tar ke tokou dèdè dao mpa mèdè té, nè mpa naredè, Mbata di a edjidjé tar nèn mèsè té wa?
MRK.2.9	Di baa to né ke ngeng wota wa, tokou ma mpa mare doou ke debe rè woei, Madjang loi goto nga, aséh ta pana, I tarr oun twa loi ndja ke gòli wa?
MRK.2.10	Ta karesè egeridjé Ngon lo doou éh ke singa ta kïya né ke madjang ke nange nèn, nè mpa ke doou ke debe rè woei,
MRK.2.11	Ma mpa mari, ï tarr, oun twa loi, ao kei loi.
MRK.2.12	Loshénè loshénè doou ï oun twa la, ntéh horodè té toï, tokou ban mèdè toï ounda dò bia, dèdè dòsou gadji Allah, dèdè mpana, Djo né tokou bé leo ang.
MRK.2.13	Jésus ao ke daka, ntél nao kare tòkou man té, dooudjé tokou baya baya ao rè té, nè mpa tar naredè.
MRK.2.14	Tokou nè nao ndai nè no Lévi, ngon lo Alphée, ke isi kei kouka narè lʼimpôt té, Jésus pa arè, Edé gom té. Nè nï tarr nao go Jésus té.
MRK.2.15	Tokou Jésus isi ta table té ta kön mourou mè kei té lo Lévi, dooudjé ke ndjè taa narè lʼimpôtdjé ke ndjè né da ke madjangdjé baya disi ke Jésus ke ndjè kao gè tédjé, mbata dèdè ntokou baya ke dao gè té.
MRK.2.16	Tokou ndjè da maketourou ndedji lo Pharisiendjé wo Jésus ao ön mourou ke ndjè né da ke madjangdjé ke ndjè taa narè lʼimpôtdjé, dèdè mpa dare ndjè kao gè tédjé, Mbata di a nön mourou ke naih ke dooudjé ke ndjè taa narè lʼimpôtdjé ke ndjè né da ke madjangdjé wa?
MRK.2.17	Tokou Jésus wo tar nèn, nè mpa naredè, Ndjè ke isi ke rò too ang ndiki ndjè kouma ang, a doou ke ndjè rò too a ndikè. Mam ndé ta bar dooudjé ke gaté gaté ang, mam ndé ta bar dooudjé ke ndjè né da ke madjangdjé.
MRK.2.18	Ndjè kao go Jean té ke Pharisiendjé dao dïya mourou, dooudjé dé rò Jésus té, dèdè mpa darè, Mbata di a ndjè kao go Jean té ke ndjè kao go Pharisiendjé té dïya mourou, a ndjè kao goi té ïya mourou ang wa?
MRK.2.19	Jésus pa aredè, Ndò ke tokou basä taa dènè, a bo ndjè bokoradjé la dé rè té, a da mbeté mourou wa? Ndò toï ke dèdè disi ke basä dèdè dase ta kïya mourou ang.
MRK.2.20	Ndò ao dé ke dèdè da kòrou basä horodè té, bana bokoradjé la a kïya mourou ndè tén lé.
MRK.2.21	Doou kada a koun koubou ke siki ta kila né kem koubou ke konè ang, tokou noun koubou ke siki ta kila né kem koubou ke leo, a tir bo boui.
MRK.2.22	Doou kada a kongou vin ke siki bar bòl vin té ang, tokou nda ban vin ke siki a tir bòl vin ke vin a nai, ke bòl vin a nai to. Dèdè dongou vin ke siki bòl vin té ke siki.
MRK.2.23	Ndò sabbat kada Jésus ndai mè ndòò ndakiri té, tokou dao ndai ndjè kao gè tédjé ao tete ndakiri.
MRK.2.24	Pharisiendjé pa arè, Wo, mbata di a dèdè nda né ke tar ndedji pana ase ta da ang ndò sabbat té wa?
MRK.2.25	Nè mpa naredè, Etouraidjé maketourou té ang wa, né ke David da leo, tokou boo dè a mourou la goto ke dèdè ke déh sa.
MRK.2.26	Tokou nè nao mè kei Allah té ndò ke Abiathar to to mbai lo ndjè kòrdjé, nè nousa mourou ke ngem dare Allah mè kei Allah té ke nare dooudjé ke ndja sa tò? Mouroun lé ke tar ndedji pana dooudjé ke to ndjè kòrdjé kadaba ase ta kousa?
MRK.2.27	Nè mpa naredè, Nda ndò sabbat mbata lo doou, nda doou mbata lo ndò sabbat ang.
MRK.2.28	Tokou ban Ngon lo doou to to Mbaibé ke ndò sabbat té to.
MRK.3.1	Jésus tél ao mè kei Allah té, doou kada éh nou ke dja woei mbä nga.
MRK.3.2	Dèdè dao daa Jésus nya mbata dèdè ndiki ta ko tokou nè na kòrou rò too lo doou ndò sabbat té, mbata dèdè ndiki ta toula dè.
MRK.3.3	Jésus pa are doou ke dja woei, Ï horodè té.
MRK.3.4	Nè mpa naredè, Tar ndedji pana ase ta da madji ndò sabbat té, aséh ta da madjang wa? Ta kadji doou aséh ta tòl doou? Dèdè disi yim.
MRK.3.5	Jésus aadè kada kada ke ongou, mèa tooè nya mbata lo mèdè ngeng, nè mpa nare dooun lé, Ndòdjou dji. Dooun lé ndòdjou dja tokou ban dja dé madji.
MRK.3.6	Pharisiendjé ao daka, loshénè loshénè dèdè ke Hérodiendjé dao dom tar mè naaté ta sange deo ta tòlè.
MRK.3.7	Jésus ke ndjè kao gè tédjé dao tokou man té, ke dooudjé baya ke nange té ke Galilée ao gè té.
MRK.3.8	Dooudjé baya ke nange té ke Judée ke Jérusalem té ke Idumée ke maredjé toura Jourdain té, ke maredjé ngosiba ke Tyr ke Sidon, tokou dèdè do né toï ke nè nda, dèdè dao rè té tò.
MRK.3.9	Nè mpa nare ndjè kao gè tédjé ta kare ngebè ke to mbata dooudjé ndiki ta dousou na sa ngosiba.
MRK.3.10	Mbata nè nòrou rò too lo dooudjé nya, tokou ban dèdè toï ke disi ke rò too ndé ngosiba sa dase ta korè.
MRK.3.11	Tokou ndildjé ke madjang woè, dèdè ntoso nange nòè té, dèdè mpa ke tarr, I to ngon lo Allah.
MRK.3.12	Jésus ndangedè ngeng ta kare dèdè mpa tar la dare dooudjé ang.
MRK.3.13	Jésus al do err té ke nè mmar dèdè ke nè ndikidè, dèdè dao rè té.
MRK.3.14	Nè mmardè ke daka dòkou gérè djo, tokou ban dèdè dase ta kisi sa, ke nè nase kouladè ta karedè ntòdjou tar ke daka.
MRK.3.15	Nè naredè tè ta kare ntouba ndildjé ke madjang.
MRK.3.16	Nè mmar Simon ke nè nounda ria na Pierre,
MRK.3.17	Nè mmar Jacques, ngon lo Zébédée, ke Jean ngokö Jacques. Nè nounda ridè Boanergès, ri nèn pana, Dooudjé ke to tokou lo ndi ke ndange.
MRK.3.18	Nè mmar André ke Philippe ke Barthélemy ke Matthieu ke Thomas ke Jacques, ngon lo Alphée, ke Thaddée ke Simon Cananite,
MRK.3.19	Ke Judas Iscariot, doou ke ndjè ndoko Jésus.
MRK.3.20	Goukoudang Jésus ao kei la. Dooudjé baya tél mbòna tokou ban dèdè dase kon mourou ang.
MRK.3.21	Tokou ndjè bokoradjé la wo tar nèn, dèdè dao ta kwèè mbata dèdè mpana, Dè tourou mbä.
MRK.3.22	Ndjè da maketourou ndedjidjé ke ï Jérusalem té, dèdè ndé mpana, Nè néh ke Béelzébul, nè ntouba ndildjé ke madjang deo mbai té lo ndildjé ke madjang.
MRK.3.23	Jésus bardè ndé rè té, mpa naredè ke tar gousou, Deo di wa Satan a touba Satan wa?
MRK.3.24	Tokou dooudjé béh ko kada kaina mbä, béh ase ta to ke madjè ang.
MRK.3.25	Tokou dooudjé kei kadaba kaina mbä, kei a to ang nga.
MRK.3.26	Tokou bo Satan ï mbeté rè ndja a kai rè mbä, nè na karr ang, tar la a keo.
MRK.3.27	Doou kada ase ta kao mè kei té lo ndjè singa ta toudjou né la ba ang, tokou nè nto ndjè singa dongor ba, gè té goukou nase toudjou kei la.
MRK.3.28	Tokoro ma mpa maresè, né ke madjang toï ke ngan lo dooudjé da, ke tar sä ke madjang toï ke dooudjé pa, Allah a kïya toï.
MRK.3.29	A doou ke pa tar sä ke Ndil ke madji toï dase kïya madjang la ngadji ang, a saria to dè té ke ndò ke ndò.
MRK.3.30	Mbata dèdè mpana, Nè nisi ke ndii ke madjang.
MRK.3.31	Kö Jésusdjè ke ngaköèdjé ndé, dèdè darr daka, dèdè doula ta bar Jésus.
MRK.3.32	Dooudjé baya baya isi mbòrè té, dèdè mpa darè, Köindjè ke ngaköidjé darr daka dao mmari.
MRK.3.33	Nè ntél ke tar naredè, nè mpa, Endjè ke ngakömdjé to na wa?
MRK.3.34	Jésus aa loou ke mbòrè té dèdè ke disi ngosiba sa, nè mpana, Woidjé, yèn to endjè ke ngakömdjé.
MRK.3.35	Doou ke da né ke Allah ndiki, nè nto to ngoköm ke dingao ke kònanem ke dènè ke endjè.
MRK.4.1	Jésus tél ao tòdjou tar dooudjé kare tokou man té. Dooudjé tokou baya ke dousou loou mbòna sa, tokou ban nè nao mè to té, nisi né mè man té. Dooudjé ke tokou baya disi ta kongo té.
MRK.4.2	Nè ntòdjoudè né baya ke tar gousou, mè tar té ke nè mpa naredè, nè mpana,
MRK.4.3	Woidjé, doou kada ao ta doubou kandé ko.
MRK.4.4	Tokou nè nao ndoubou ko mare kandé ko gaï mbòr deo té, eldjé dé dèdè dön ko.
MRK.4.5	Ke marè oso do err té, loou ke nange ourou ke té nya ang, loshénè loshénè ntéh mbata nange ourou nya ang.
MRK.4.6	Tokou kade òsou boui a noungè, ntoutou mbata ngirè ourou nya ang, nè noei.
MRK.4.7	Marè oso horo konn té, konn lé dé tokou nya siri dè té, nè nan ang.
MRK.4.8	Marè oso nange té ke madji, dèdè ntéh ndou tokou madji, kada kada an dòmouta, marè an dòmisä, marè an dòdòkou.
MRK.4.9	Jésus pana, Nè ke néh ke mbi ke ka ko, ase kare nè no.
MRK.4.10	Tokou Jésus éh ke kadèba, dèdè ke disi sa ngosiba ke dèdè dòkou gérè djo, dèdè ndoudjè mbata tar gousou.
MRK.4.11	Nè mpa naredè, Daresè ta kare egeridjé tar béh kö lo Allah ke yarè, mbata lo dèdè ke déh daka mpa né ke tar gousou daredè.
MRK.4.12	Mbata dèdè do dase ta geré gelè ang, tokou dèdè do dase ta ko ba, dèdè ngeré gelè ang, mbata mare ndò dèdè mbeté deo lodè baa ta kare dïya né ke madjang lodè.
MRK.4.13	Jésus pa aredè, Sésè egeridjé tar gousou nèn ang wa? Tokou ban sésè asidjé ta geré tar gousou toï da wa?
MRK.4.14	Doou ke doubou kandé ko ndoubou tar lo Allah.
MRK.4.15	Dèdè ke mbòr deo té, loou ke ndoubou tar ke madji kendé, tokou dèdè do tar, loshénè loshénè Satan dé òrou tar ke madji ke ndoubou mèdè té.
MRK.4.16	Tokou ban dèdè ke ndouboudè do err té, tokou dèdè do tar ke madji, loshénè loshénè doun ke koukou.
MRK.4.17	Mbata gòl tar lé to mèdè té ang dèdè ngem ndò nya ang, gè té tokou né ongou aséh ngätar dé mbata tar nèn, loshénè loshénè dèdè doso.
MRK.4.18	Maredjé to to dèdè ke ndouboudè horo konn té, to to dèdè ke do tar ke madji,
MRK.4.19	Goukoudang koula lodè ke ta da né lodè nange nèn, ke kere ka né kinga, ke boo mare né dé mè té siri tar lé a an ang.
MRK.4.20	Yèn to dèdè ke ndouboudè nange té ke madji, dèdè ke do tar ke madji doun mèdè té a an, kada kada an dòmouta, marè an dòmisä, marè an dòdòkou.
MRK.4.21	Jésus pa aredè, Doou oun lampe dé ta kiyaa kò karè té aséh kò twa té wa? Doun ta kounda do kake té ke tarr ang wa?
MRK.4.22	Mbata né toï ke iyaa mbä ase ta téh daka, ke né ke yarè a téh daka lokarè té.
MRK.4.23	Tokou doou éh ke mbi ke ka ko, ase kare nè no.
MRK.4.24	Jésus pa aredè, Ngemidjé madji né ke woidjé, dèdè da kòdjousè deo kadaba tokou mare ke òdjidjédè to, dèdè da karesè wota.
MRK.4.25	Mbata nè ke néh ke né da karè marè dè té, nè ke néh ke né ang, lé né ke to dja té ka da taa.
MRK.4.26	Nè mpana, Béh ko lo Allah to tokou ban, tokou doou ao ta doubou kandé ko nange,
MRK.4.27	Nè nao nto tilti, nè nï kade, kandé ko téh ndou tòkou, doou geré deoè ang.
MRK.4.28	Nange an ke mèa ndja, dongor kam, gè té kaadè, goukoudang kandé ndakiri téh kaadè té.
MRK.4.29	Tokou kandè tòkou mbä, loshénè loshénè doou ao ke kiaa mbata ndò koudja kandé ko ase.
MRK.4.30	Jésus pana, Djèdjè ngeré béh ko lo Allah to tokou di wa, aséh djèdjè dja geré tòdjou tar la ke tar gousou di wa?
MRK.4.31	Nè nto tokou kandé sénevé kada, tokou ndoubè nange nto së ba, mare kandé kodjé toï ke nange nèn wotè.
MRK.4.32	Gè té ndoubè nange mbä, nè ntéh nè ndou boui wota mare kandé kodjé toï, nto barkem nya, tokou ban eldjé ke ao tarr ase kisi ndilè té.
MRK.4.33	Nè mpa naredè ke tar gousou ban nya, tokou dèdè dase ta ko.
MRK.4.34	Nè mpa tar naredè ang tokou nè mpa tar gousou ang, tokou nè nisi ke ndjè kao gè tédjé ke kadèba, nè ntòdjoudè gel tar gousou tesèrè.
MRK.4.35	Ndè té ke nou tokou kade woei mbä, Jésus pa aredè, Aredjè djao toura man té.
MRK.4.36	Gè té dèdè dïya dooudjé ke baya baya, dèdè dwèè ke mè to té tokou nè néh ke tén. Mare to éh ke tén to.
MRK.4.37	Lél ke tokou boui dé oula, man ï ongou mè to té tokou ban man ao dousou to.
MRK.4.38	Jésus to koutou to té, ntibi do koubou té, dèdè ndolè mpa darè, Ndjè tòdjou tar, mei tooi ang tokou djèdjè djoei wa?
MRK.4.39	Nè nï tarr ndange lél lé, mpa nare tòkou man. Eo, ïya. Lél gange, ke loou to dèkèkè.
MRK.4.40	Jésus pa aredè, To di baa isidjé ke bel tokou ban wa? Ko mè té losè goto wa?
MRK.4.41	Bel dadè ngeng wota, dèdè mpa horodè té, Yèn to doou di wa ke lél ke man wo tar la tokou ban?
MRK.5.1	Dèdè ntéh toura tokou man té, nange té lo dooudjé ke Gadara.
MRK.5.2	Gè té nè ntéh mè to té, doou ke isi ke ndii ke madjang téh kon dèbare té, ndé rò Jésus té.
MRK.5.3	Dooun lé to kon dèbare té, doou kada ase ta tèè ang, koulaa narè ase ta tòè ang tò.
MRK.5.4	Dèdè dilè kake ke ntòè ke koulaa narè gar baya, nè nti koulaa narè toï ke nè ntete kake ke dilè tò. Doou kada ase ta kotè ke singa ang.
MRK.5.5	Til toï ke kade toï nè nao nourouki kon dèbare té ke dò err té tò, ke nao ntounda rè ke err.
MRK.5.6	Tokou nè nao no Jésus nai deo bo eo, nè naïngòrou nongou mekedjé gèlè nò Jésus té.
MRK.5.7	Nè mpa ke tarr, Di a to horodjè té, i ke ma wa, Jésus Ngon lo Allah ke wota toï? Mam ndoudji ke ri Allah, edam are säm ang.
MRK.5.8	Mbata Jésus pa arè mbä, Etéh mè doou tén ke dang, i ndii ke madjang.
MRK.5.9	Jésus doudjè, Ri na na wa? Nè mpa nare Jésus, Rim tokou Bayabaya, mbata djèdjè nto to ke baya.
MRK.5.10	Nè ndoudjou Jésus nya ta kare ouladè mare loou té ang.
MRK.5.11	Berredjé tokou baya ousa né kare err té nou.
MRK.5.12	Ndildjé ke madjang doudjou Jésus nya, dèdè mpana, Ouladjè rò berredjé té, tokou ban djase ta kao mèdè té.
MRK.5.13	Jésus ndiki gè, ndildjé ke madjang téh, dao mè berredjé té. Berredjén lé ï ke do err té daïngòrou ke ngòrou dongou man. Dèdè déh ngosiba ke dourou djo, dèdè doei mè tokou man té.
MRK.5.14	Dooudjé ke ndjè ngem berredjén lé, dèdè daïngòrou mpa dare dooudjé ke tokou béh té ke ngan béh té to. Dooudjé dé ta ko tarn lé.
MRK.5.15	Dèdè ndé rò Jésus té, dèdè do doou ke ndjè ndii ke madjang ke leo lé, nè nisi ke koubou rè té, nè nto to mbe ang nga, bel dadè.
MRK.5.16	Dèdè ke do Jésus da né nèn lé, dèdè ntòdjou gel tar lo doou ke isi ke ndii ke madjang ke leo, ke gel tar lo berredjé tò.
MRK.5.17	Dèdè ndoudjou Jésus nya ta kare ao ke dang nange té lodè.
MRK.5.18	Tokou Jésus ao mè to té mbä, doou ke ndii ke madjang to mèa té leo doudjou Jésus nya ta kao sa.
MRK.5.19	Jésus mbeté, nè mpa narè, I ao kei loi, epa are ndjè bokoradjé loi tokou né ke Mbaibé Seigneur da mbata loi, deo di a nda mè madji sei.
MRK.5.20	Nè nao mpa ke daka béh Décapole né ke boui ke Jésus da mbata la, mè dooudjé toï ounda do biä.
MRK.5.21	Tokou Jésus tél gange man ke to, ntéh toura man té, dooudjé tokou baya mbona sa. Nè néh kare tokou man té.
MRK.5.22	Mbai kada ke kei Allah té dé, ria na Jaïrus, tokou nè no Jésus nè noso nange no gòlè té.
MRK.5.23	Nè ndoudjè nya, mpana, Ngon ke dènè lom dé ngosiba ta kwoei. Mam ndiki ta kari dé ila dji dè té, tokou ban rò too la ase ta goto ke nè na kisi tébe.
MRK.5.24	Jésus ao sa. Dooudjé ke tokou bayan lé dao gè té mbona sa.
MRK.5.25	Dènè kada éh tén ke rò too mese dè bal dòkou gérè djo.
MRK.5.26	Nè ninga ongou nya dji ndjè koumadjé té, ntoudjou narè la toï mbä nga, ke nè ndé madji ngadji ang, bana rò too la dé madjang wota.
MRK.5.27	Tokou no tar lo Jésus nè ndé horo dooudjé té go Jésus té, nè nòrou koubou lo Jésus.
MRK.5.28	Mbata nè mpana, Tokou ma mase kòrou koubou la ba rò too lom a goto.
MRK.5.29	Loshénè loshénè mese gange mbä nga, bana nè ngeré mè rè té rò too la goto.
MRK.5.30	Mbata Jésus geré mèa té ndja singa téh rè té mbä, loshénè loshénè nè ntourou rè horo dooudjé té, nè mpana, Doou di a òrou koubou lom wa?
MRK.5.31	Ndjè kao gè tédjé tél pa arè, Wo dooudjé tokou baya baya mbona sei, ase pana, Doou di a òroum wa?
MRK.5.32	Nè ntourou rè ta ko doou ke da nèn.
MRK.5.33	A dènè geré né ke da mèa té mbä, ndé ke bel ke rè isa, noso no gòl Jésus té, nè mpa narè tar ke tokoro toï.
MRK.5.34	Jésus pa arè, Ngon ke dènè, ko mè té loi da ròi madji mbä nga, ao ke mè woul ke rò ke madji.
MRK.5.35	Tokou Jésus nai ao pa tar, dooudjé ke mè kei té lo mbai dé pana, Ngoni woei mbä. Mbata di a i djòkou ndjè tòdjou tar bai wa?
MRK.5.36	Tokou Jésus wo tar ke dèdè mpa, Jésus pa are mbai ke kei Allah té, Eda bel ang, wo mei té kadaba.
MRK.5.37	Jésus are mare doou ao gè té ang, sè Pierre ke Jacques ke Jean ngokö Jacques.
MRK.5.38	Tokou nè ntéh ta kei té lo mbai ke kei Allah té, nè no ki ke dèdè ke no ke ongou nya.
MRK.5.39	Tokou nè nao mè kei té, nè mpa naredè, Mbata di a ouridjé ki enòidjé ke ongou bé wa? Ngon nèn woei ang, nè ntibi.
MRK.5.40	Dèdè nkoukè. Jésus aredè ntéh daka toï, nè nare bò ngon ke këndjè ke ndjè kao gè tédjé dao sa mè kei té loou ke ngon to té.
MRK.5.41	Jésus waa dji ngon lé, mpa narè, Talitha cumi, yèn pana, Ngon ke dènè, ma mpa mari, ï tarr.
MRK.5.42	Loshénè loshénè ngon ke dènè ï tarr, nao ndja, mbata man la ase dòkou gérè djo. Loshénè loshénè mèdè ounda do biä nya.
MRK.5.43	Jésus ndedjidè nya ase kare doou kada geré tar nèn ang. Nè mpa naredè ta kare dare mourou ngon ke dènè lé.
MRK.6.1	Jésus ï nou ao béh la ndja, ndjè kao gè tédjé ao gè té tò.
MRK.6.2	Tokou ndò sabbat nè nao ntòdjou tar dooudjé kei Allah té. Tokou ban dooudjé tokou baya ke wo tar la mèdè ounda do biä, dèdè mpana, Doou nèn inga tar nèn da wa? Kemkarè nèn na arè wa? Nè nda tòkou koula tokou ban ke dja.
MRK.6.3	Nè nto ndjè koudja kake ang wa, ngon lo Marie ke ngokö Jacques ke Joses ke Jude ke Simon, ke ngakönanè isi horodjè té nèn ang wa? Mèdè toodè sa.
MRK.6.4	Jésus pa aredè, Prophète inga piti loou té toï, bè ndja mè béh té la horo ngaköè té ke mè kei té la ndja ninga piti kendé ang.
MRK.6.5	Jésus ase da tòkou koula nou ang, bè ndja ta kila dja dò dooudjé té ke ndjè rò toodjé kada kada, ke ta kòrou rò too lodè.
MRK.6.6	Mèa edji nya mbata dèdè do mèdè té ang.
MRK.6.6	Nè ndja béh té dang dang ta tòdjoudè tar.
MRK.6.7	Jésus bardè dòkou gérè djo, nè nao nouladè djo djo, nè naredè tè ta kare ntouba ndildjé ke madjang.
MRK.6.8	Jésus ndedjidè ta koun né kada kao né ang, sè kake ndja kadaba. Ta koun mourou ang ke bòl ang, ta koun narè bòl té lodè ang.
MRK.6.9	Nè naredè ta kare doula ndar gòldè té, ke ta kao ke koubou djo ang.
MRK.6.10	Nè mpa naredè, Loou ke abidjé mè kei té kada, isidjé mè kei tén sar ïyaidjé béhn.
MRK.6.11	Tokou béh ke ntaasè ke té ang, aséh dèdè mbeté ta ko tar losè, tokou ïyaidjé béhn etoundaidjé boum nange ke gòlsè té mbata tar nadji dodè té.
MRK.6.12	Tokou ban dèdè dao mpa ke daka to tar lo dooudjé ta mbeté kedji né da ke madjang lodè.
MRK.6.13	Dèdè ntouba ndildjé ke madjang nya, dila oubou dò dooudjé té nya ke isi ke rò too, dèdè dòrou rò too lodè.
MRK.6.14	Mbaibé Hérode wo tarn lé mbata ri Jésus bar nya. Nè mpana, Jean ndjè da baptême leo téh mè bwa yo té, mbata yèn singa mongou ban da koula mèa té.
MRK.6.15	Mare dooudjé pana, Nto to Élie. Maredjé pana, Nè nto prophète tokou lo mare prophète ke leo.
MRK.6.16	Tokou Hérode wo tarn lé, nè mpana, Jean ke moudja gosè leo ï mbä nga.
MRK.6.17	Mbata Hérode ndja oula leo are dwaa Jean nilè kei koula té, mbata tar lo Hérodias, dènè lo Philippe ngoköè, mbata Hérode taa Hérodias to dènè la.
MRK.6.18	Mbata Jean pa are Hérode leo, Tar ndedji pana to tar loi ta taa dènè lo ngoköi ang.
MRK.6.19	Tokou ban mè Hérodias tooè sa nya, ndiki ta tòl Jean a nè nase ang.
MRK.6.20	Mbata bel da Hérode mbata Jean, mbata nè ngeré Jean to doou ke gaté gaté ke madji toï, bana nè ngemè madji. Tokou nè no tar lo Jean mèa sangè nya, sa no tar la ke koukou.
MRK.6.21	Ndò ase ta kare Hérodias da né, ndò koudjou Hérode ase, a emëre laa, mmar nè tokou dooudjé la ke padjadjé ke mare tokou dooudjé ke Galilée té.
MRK.6.22	Tokou ngon lo Hérodias ke dènè téh arr dana laa, a are koukou Hérode nya ke ndjè ke ön sa mourou, mbaibé lé pa are ngon ke dènè lé, Edoudjoum né ke i ndiki a ma kari.
MRK.6.23	Nè noubou yo nare ngon ke dènè lé, Né ke edoudjoum a ma kari, aséh béh ko lom ba ndiki ka mam nkai mari.
MRK.6.24	Nè ntéh daka, nè mpa nare këndjè, Di a ma doudjou wa? Këndjè pana, Dò Jean, doou ke ndjè da baptême.
MRK.6.25	Ngon lé aïngorou loshénè loshénè nao rò mbaibé té, mpana, Mam ndiki ta kari arem do Jean, doou ke ndjè da baptême, mè tokou sèmbé té loshénè.
MRK.6.26	Mbaibé lé ongou dè nya, a mbata nè noubou yo mbä, ke mbata dooudjé ke ön sa mourou no deo ta mbeté tar lo ngon lé ang.
MRK.6.27	Mbaibé oula ndjè pourou kada loshénè loshénè mpa narè ta dé ke do Jean ndjè da baptême. Nè nao ngange gòbou Jean mè kei koula té.
MRK.6.28	Nè ndé ke dè mè tòkou sèmbé té, narè ngon ke dènè lé. Ngon lé ao né are kêndjè.
MRK.6.29	Tokou ndjè kao go Jean té wo tar lé, dèdè ndé doun ninè ndoubè bwa té.
MRK.6.30	Ndjè kouladjé tél mbona rò Jésus té, dèdè mpa darè né toï ke dèdè nda ke tar toï ke mpa dare dooudjé.
MRK.6.31	Nè mpa naredè, Edéidjé djao djisi ke kadadjè mè mou té, waaidjé ròsè ngadji. Mbata dooudjé baya dé ke tél tokou ban dèdè dase kön mourou ang.
MRK.6.32	Dèdè eléldè ta kao mè mou té loou ke doou goto ke té.
MRK.6.33	Dooudjé wodè dèdè dao dao, dèdè ngerédè, tokou ban dooudjé ke béh toï aïngorou ao loou té ke nou, dèdè ntéh nou dongor.
MRK.6.34	Tokou Jésus téh mè to té nè no dooudjé tokou baya. Nè ndiki ta da mè madji kedè mbata dèdè nto tokou lo batidjé ke ndjè kouldè goto. Nè nao ntòdjoudè né tokou baya.
MRK.6.35	Tokou kade ndai mbä ndjè kao gè tédjé dé rò Jésus té, dèdè mpana, Loou nèn to mè mou, kade ndai mbä,
MRK.6.36	Are dooudjé nèn ao ndòò aséh mè béh té ke ngosiba ta ndoko mourou mbata lodè ndja.
MRK.6.37	Nè ntél mpa naredè, Sésè aridjédè mourou dön. Dèdè mpa darè, Ndikidjè ta kare ndoko mourou ke denier
MRK.6.38	Nè mpa naredè, Isidjé ke mourou ban wa? Abidjé woidjé. Tokou dèdè do mbä dèdè mpana, Mourou mi ke kaindji djo.
MRK.6.39	Jésus pa aredè ta kare disi dang ke kotè dang dang do mou té.
MRK.6.40	Tokou ban dèdè disi, maredjé isi dòdòkou dòdòkou, maredjé dòmi dòmi.
MRK.6.41	Nè noun mourou ke mi ke kaindji ke djon lé, nè naa loou ke dara, mmar tar ke madji dè té, nè nkai mourou lé dana nare ndjè kao gè tédjé ta kare dare dooudjén lé. Nè nkai kaindji dana naredè toï.
MRK.6.42	Dèdè toï dön mèdè ndan.
MRK.6.43	Dèdè mbòn kese mourou dousou karè dòkou gérè djo ke kese kaindji to.
MRK.6.44	Dèdè ke dön mouroun lé dooudjé dourou mi.
MRK.6.45	Loshénè loshénè nè nare ndjè kao gè tédjé ao mè to té, dao dongor darè toura man té ke Bethsaïda tokou nè ndja nare dooudjé ke tokou baya ta kare dao béh.
MRK.6.46	Gè té mpa naredè dao, nè nao do err té ta doudjou Allah.
MRK.6.47	Tokou kade woei mbä, to ao do tokou man té, Jésus ndja isi nange.
MRK.6.48	Nè nodè dao elél to ngeng mbata lél òkou deo lodè. Ngosiba ke do bakebé té nao ròdè té. Nè nao ndja dò tokou man té, nata ndaidè.
MRK.6.49	Tokou dèdè doè nao ndja do man té, dèdè dedji to to ouma, dèdè dourouki.
MRK.6.50	Mbata dèdè toï doè ke bel dadè nya. Loshénè loshénè nè mpa tar kedè, mpana, Aridjé mèsè isi dèkèkè, yèn to ma, ïyaidjé bel.
MRK.6.51	Nè nao ròdè té mè to té, lél eo. Mèdè ounda do biä nya.
MRK.6.52	Mbata dèdè ngeré gel tar mouroun lé ang mbata mèdè ngeng nya.
MRK.6.53	Tokou dèdè dourou man mbä nga, dèdè ntéh nange té ke Génésareth, dèdè nto to kare kongo té.
MRK.6.54	Tokou dèdè ntéh mè to té mbä nga loshénè loshénè dooudjé gerè.
MRK.6.55	Dèdè daïngòrou béh té nou toï, dèdè dao doto dooudjé ke ndjè rò toodjé mè twa té lodè, dèdè dao kedè loou té ke do Jésus éh kendé.
MRK.6.56	Loou toï ke nè nao tokou mè béh aséh mè tokou béh aséh mè ndoo, dao dongou dooudjé ke ndjè rò toodjé nata. Dèdè dao ndoudjè nya baa dèdè dase ta kòrou ta koubou la. Baa dèdè toï ke dòrou ta koubou la da dé madji.
MRK.7.1	Tokou Pharisiendjé mbona ke Jésus ke mare ndjè da maketourou ndedjidjé ke dé ke Jérusalem té,
MRK.7.2	Dèdè do mare ndjè kao go Jésus té ön mourou ke djidè yèdo, ke djidè ke ntoko ang.
MRK.7.3	Mbata Pharisiendjé ke Juifdjé toï tokou ntoko djidè ang a dön mourou ang tò, mbata dèdè ngem tar ndedji lo kadèdè.
