MAT.1.1	Taki̱da ki̱kuwang Yesu Masiya, buke Dauda, wu n ki̱n buke Yibrayime.
MRK.12.32	Yinu naba ni̱bu yungku yili̱ne a yi Yesu ko, “N fwa bi̱yili̱m, naba yungke, n Kwama wiin, a ne wukane we. 
MRK.12.33	Ke ki̱ni ni̱ru kwang, ki̱ni ti̱kuri mwitu kwang, ki̱ni dukan munu kwang, yinu mi̱la kemo yinang yimwi. Ti̱tu a la ti̱niriti kwang n ti niku ki̱tumang.”
MRK.12.34	Kangu n Yesu a yim ko nii wu ki̱ni yingkangu, a yi ki̱n ko, “N kwatuwe yaa Kwama.” A kuteng ki̱ku a ne ni a ma ki̱mi̱n di̱kan di̱bi̱de we.
MRK.12.35	Yinangu n Yesu yaki̱ ma yungki̱ku we Kan Kwamana Wurchalimanu, a ma di̱bi̱du ko, “Kanodu ni̱bu yungku yili̱ni̱mu ki yidu ko m Masiya bwe Dauda n wure? 
MRK.12.36	N Dauda n ki̱fwan, we dukan Fi̱ki̱m Kwamami̱nu a yi ko,
MRK.12.36	‘Tewuduwe a yi Tewuduwe mi ko,
MRK.12.36	N swe a kang ki̱yilamangu
MRK.12.36	ka lammi̱nti̱ ki̱dangu mang chau ki̱la ki̱ni fwakwarbu mumu
MRK.12.36	we nani mwiyangu.’ ”
MRK.12.37	Yo n Dauda ki̱fwan, a fwa ko, “M Masiya Tewuduwe, yinu ka kaddi yire m Masiya ka kau bwe we di̱Dauda?” Ni̱bu nabwen a ma furi mwemwen, ki̱ni ya̱m Yesumu.
MRK.12.38	We yungki̱ku, n Yesu a yi ko, “Ti̱ma dandan ki̱ni ni̱bu yungku yili̱ni̱nmu, n chi ki̱do lukei yiswa̱mi, ki̱bwali ki̱n, ki̱baddu ni̱bu ka ni̱n sii chidu a kwa̱ma̱ri. 
MRK.12.39	Ki̱bau fanti yiyili we kambi murakitu, ti fanti yiyili we yo ni̱bu ki̱ma yeniye. 
MRK.12.40	N chi nang bi̱bu ki̱chau kuli̱n nati̱bu kwartabu chimu a bwaran ni̱mu. Ki̱twa̱ba̱ buni chitu swa̱n swa̱n ko ke ni̱bu a yim chi. Aya n chi ka ya mwataku ki̱duwang.”
MRK.12.41	N Yesu a swe we Kan Kwama di̱dunu, a kwatuwe finu ni̱bu ki̱kurin ka̱mbi̱r. Ki̱da̱ngdu yinangu ni̱bu ki̱kur kambi̱ritangu, kuli̱nmu a kur ka̱mbi̱ru nabwen. 
MRK.12.42	Yinu wuka nabune a bete, a kur ki̱nuti ka̱mbi̱ri yurabu, ka nang chi kiye a ni̱ni yurau.
MRK.12.43	Yinu, n Yesu a yale miyari̱n ki̱mu, a yi chi ko, “Bi̱yili̱m, min fwa chimi̱nu, chi nabune wu a kure a la ni̱bi kwang. 
MRK.12.44	Ni̱bu bi̱bu a chake we kuli chitu a ni, aya nabune wu, a chake we kwalan kiti kwang a ni.”
MRK.13.1	Yo n Yesu a chire we Kan Kwama di̱dune, wukane we miyari̱m ki̱mu a yi ki̱n ko, “Naba yungke, da̱ng ki̱duum kalim bi̱bu ti yinang ku ti̱mubanta lengu!” 
MRK.13.2	N Yesu a yi ki̱n ko, “Ka we ti̱ku ti̱muban ti̱yili ti̱te? Ki̱swi ki̱bedu wu a ne kale ka swedu a di a keko we, ka tungadi kwang.”
MRK.13.3	Kangu n Yesu a swe we Kun di̱du a tini Setuniye, di̱du ki̱da̱ng Kan Kwamana Wurchalimanu, m Biti̱r, n ti Yakubu, n ti Yowana, n ti Andi̱riya a bi̱u ki̱n a bura ko, 
MRK.13.4	“Fwa ni̱mi̱n, ti̱chitu wu ka fwedi fere? Nang ku di̱mwal di̱du i yire yoko ti̱tu kanodu yaka fwede?”
MRK.13.5	Yinu n Yesu a yi chi ko, “Ti̱twar, wuka ni a buti̱du chi̱n we. 
MRK.13.6	Ni̱bu nabwen ka bedu ki̱ni di̱n mi̱n, ka yidu ko n chi nangki̱n, ka butu ni̱bu nabwen. 
MRK.13.7	Ka ti̱ nwe ya̱mi kumbiyu n ti ya̱mi ki̱ngasiyu a kunniye, ti̱wulu we. A kau ti̱chitu wu ka fwedi yiko. Aya di swa̱n kute a lanbu didin. 
MRK.13.8	Kuu ka makadu n ti kuu. Yaa ka kuladu n ti yaa. Ti̱mu ka mi̱kadu we fantiyu dangtidangti, sunu ka ma ni̱bu. Aya ti̱tu n ke riye siine. Ti̱tu mweku riyeng.
MRK.13.9	“Ti̱ma dandan ki̱ni dur chi̱nu, ni̱bu ka tau chi̱nu ka yikan kambi mwataki̱, ka twala chi̱nu we kambi murakitu, ni̱bu ka yikadu ki̱ni chi̱n a kakku mati̱m, we fiko ta kau chi mi̱n ni̱bu di̱mwari̱m. 
MRK.13.10	Aya di̱mwar ya̱m bi̱li̱mi̱nu ka mwedu ka le ki̱teli ni̱biyu didiin we kuuti ki̱ni kwang. 
MRK.13.11	Yo ni̱bu ka tau chi̱nu ka yikan bwana kan mwataki̱ne, ti̱wulu tayi we, ti ta fwadu ko wule. Chi ka chiredu a yii chi̱ne ti̱fwa, di̱ne n ke bi̱chim, ya̱m Fi̱ki̱m Kwamam.
MRK.13.12	“Ke ka ni keko ni̱bu ka chidu. Te ka madi yiko n ti bweko, bwesi̱mu ka makadu n ti tebi̱bu ka nebe, ka yo bwa chi. 
MRK.13.13	Ni̱bu ka ko chi̱nu di̱ne di̱n mi̱ne. Aya nii wu ka mu ni̱ru ka lami̱nti̱ di swan kute, ka swidu.”
MRK.13.14	N Yesu a chakakku ko, “Ki̱swi ki̱bedu yo ta ku chi danduriye ti̱tu ki̱bedu ki̱ni kaiyakitu we fi a no dakabe. (Nii ki̱ kii ya̱m bi̱be a swaan) bi̱ba ti̱m Yafudiya a wul a fi̱l kuni.
MRK.13.15	Nii wu a ya, a fi̱l kwere a yifi̱la, a ki̱ladu lo we ko da̱a̱ ti̱kan chi.” 
MRK.13.16	Nii wu a ya, a chir kuuwe, a ki̱ladu lo we ko beka da̱u luke. 
MRK.13.17	A no chi̱n! Nati̱m lubimu n ti bi̱bu ki̱ka̱r bwesi̱mu we ki̱swi wuko. 
MRK.13.18	Ti̱twa̱ba̱ bunitu, ti̱chitu a fweduwe yi sa̱nang. 
MRK.13.19	Nangki̱n, riye diti yikiye ka bwiladu, a ne ni swe ki̱nu ki̱ni wuka riye yinangu n Kwama a yo mi̱ne ti̱ti̱nitangu. A neka fwenti̱nuwe ki̱da. 
MRK.13.20	Ki̱kumang ka n ke, n Tewuduwe ka ki̱tu ki̱swi riye, kuuti ti̱ti̱niyu ki̱ni kwang ka twiyadu. Aya di̱ne bi̱suti̱ri̱m ki̱mu, n ki̱n ka ki̱tu ditiyu a dubi bayim.
MRK.13.21	“We ki̱swi wuko, ka ni a ya̱n ko, ‘Da̱ng m Masiya nang wuwe, Ka ka yidu ko da̱ng n nang wu a bwa, ti̱kedu we.’ 
MRK.13.22	Nangki̱m Masiyati ti̱kwaniyu n ti fa̱kubu ti̱kwanimu ka chiredu ka yung di̱mwal chi ka̱ta̱kitu n ti chi ya̱r yiitu ke a butu ni̱bu, kasi no nang bi̱suti̱ri̱m Kwamamu ka, ka kadde. 
MRK.13.23	Di̱ne yiko, ti̱ti yinang! Di̱ne n tu n fwa chimi̱n yo ki̱swi a tibi̱ lande.
MRK.13.24	“Aya we diti riye yikiyu, a kuteng riyengu,
MRK.13.24	Dii ka madi chitu,
MRK.13.24	swangu a ne yii ti̱mu
MRK.13.25	Ki̱switiyu ka twakadu,
MRK.13.25	kwali̱n chi̱n di̱du a dii twiyenu
MRK.13.25	ka mi̱kadu.
MRK.13.26	“Yinu ka nang wuwule niye ka ku Bwe Nii ka fwedu a ti̱twini ki̱ni nabwe dukane n ti dwiyen. 
MRK.13.27	N ki̱n ka tum ni̱bu ti̱tumbi̱ri ki̱mu ka mure bi̱suti̱ri̱mu Kwamamu we fwiti̱neti ti̱ti̱niyu, we bwa ti̱ti̱nitu a kur mi̱ne n ti bwa ti̱ti̱ni twiyetu a kur mi̱ne.
MRK.13.28	“Ki̱ka̱ngu ti̱miya chi we tiyang sinangu; ka ki̱yange ti kiyu a mwe ki̱sute yikiye, yinu lwangi̱n kitu a mwe ki̱twa̱de, ti̱yindu tiko didi̱be a mwatawe. 
MRK.13.29	We yiko, ka ti̱ku ki̱chitu wu a mwe ki̱fwede, taswan ti̱nu tiko ki̱laki̱ kangu a mwatawe, a lam kwa̱r. 
MRK.13.30	Mi̱n fwa chimi̱n bi̱yili̱m, yo ki̱dang ki̱ku a tibi̱ sude, ki̱chitu wu kwang ka fwedu. 
MRK.13.31	Dii n ti ti̱mu ka twiyadu. Aya ya̱m mi̱mu a ne ka twiyadu ki̱diya kwadu.
MRK.13.32	“A ne nii a yim di n ti ki̱swi ki̱lake we, kono nang ni̱bu ti̱tumbi̱ri Kwamamu, ka Bwe Kwama, aya kana Kwama Te n ki̱kun. 
MRK.13.33	Aya yo ta yimbu yo ki̱chitu wu ka fwede, ti̱swe sobu ti̱nang ma ki̱yolang.”
MRK.13.34	“Ni swe ki̱laki̱ Bwe Nii yangu ki̱ni nii wu a du loko a yika di̱bwale. Yo yaka yikade, a kera ni̱bu nanganmu mi̱n nangangitu n kawure ka madangu. Yinu a yi naba nii ki̱to kwa̱re ko a ma ki̱yolang we di ki̱lake ko.
MRK.13.35	“Di̱ne yiko, ma ki̱yolang yinang, di̱ne ta yimbu ki̱swi Tewuduwe ka ki̱lade, ka menge, ka kume, ka ki̱tangti̱lang kumange, ka kunsine ka si̱ne. 
MRK.13.36	A yanuwe mun da duum, di̱ne ka ki̱ladu a ne di̱mwar we. 
MRK.13.37	Chi mi̱n mang fwa chimi̱ne, n fwa ka nang wuwule niye mi̱n ti̱n. Ti̱ma ki̱yolang!”
MRK.14.1	Yo du ditiyu yurabu ni̱bu ka ma Yiye Yabake n ti Yiye ki̱dani yiyu a fubufuweye. Tikaketi fansetiyu n ti ni̱bu yungku yili̱n Musayimu, ki̱babba fi̱li wu ka tan Yesu ka chide. 
MRK.14.2	N chi a kekan ko, “A bwin ki̱dang Yiye Yabakengu, di̱ne ke ki̱la yo kulangkulange.”
MRK.14.3	Ki̱dangu n Yesu a lon Simun a Betani, ni wu ki̱ni burang mwa̱liye. Yo n Yesu ki̱chau chabte, wuka naye a be ki̱ni ki̱nung ki̱ki fi̱rfi̱ra̱ng, wa tiyang nardiyang, ki̱ku ki̱ni kwa̱ti̱rang a lure wu ni̱bu a mubbi ki̱ni kale alabasta. N ki̱n a wur lure ki̱nunge a kur ki̱mi̱n we duru.
MRK.14.4	Bi̱kamu ni̱bu n chi ware we fikonmu a kai ni̱r ko, “A mayire ki̱kai ki̱nunge? 
MRK.14.5	A no ka midu a sure kuuliti ti̱ta, a no ni ti̱lusani.” N chi a kai ni̱r ko a mayire ka kai ki̱nun yi ki̱n kwa̱ti̱riye.
MRK.14.6	Aya n Yesu a yi chi ko, “Ti̱du bwe naye, ti̱yidu ya̱m we. Naye wu a mami chi ti̱yili. 
MRK.14.7	Ti̱n ware ti ti̱lusaniti kwadu, ta medu ta maka chi we ki̱dangu ti̱baddangu. Aya a ne tike, ne mang swedu n ti chi̱ni kwadu. 
MRK.14.8	N ki̱n a ma chi ka maditu, a wa bwimiyu mi̱n ki̱nung ki̱ku ki̱doyu di̱ne furemang. 
MRK.14.9	Mi̱n fwa chimi̱n bi̱yili̱m, bwa ni̱bu ka mwan ya̱m bi̱li̱m mi̱me we ti̱ti̱niti kwang, ni̱bu ka kur chi naye wu a maatu.”
MRK.14.10	Yinu n Yafuda Yiskariyoti wu we miyari̱mi kub chiri burabi̱me, a ya we tikaketi fansetiyu di̱ne ke ki̱ni Yesu. 
MRK.14.11	N chi a nwe ta̱ma̱ng ki̱ni ya̱m bi̱bu, n chi a dokan we yichiyu ka ni Yafuda ka̱mbi̱r. A ri, n ki̱n a le ki̱babba da ka niin Yesu we.
MRK.14.12	We di wu wiine wu a yiye ki̱daniye, di wu ni̱bu ki̱ma niku ki̱ni kwani we Yiye Yabake, miyari̱m Yesumu a bi̱u ki̱n ko, “Mun baddu nang do mi̱n Yiye Yabake a fi̱re?”
MRK.14.13	Yinu n ki̱n a tum miyari̱m ki̱mi burau ko, “Ti̱le bi̱n Wurchalimanu, ta tekandu n ti wukane nii ki̱ni suur mwen a dur ti̱bungan n ti ki̱n. 
MRK.14.14	Lo wu ka lede, ti̱le ti̱yi naba loko, ‘Naba yungke ki̱bi̱du ko, a bwa̱le kan rungkonu, di̱du Mang chan, Yiye Yabake n ti miyari̱m mi̱mi̱nu?’ 
MRK.14.15	N ki̱n ka yung chi̱n di̱kan kan di̱duun di̱du a tu a do ki̱ni fantiyi sweri. Ti̱do chabtu Yiye Yabaketu a fiko.”
MRK.14.16	Yinu miyari̱mi burabi̱mu a kun, a le mure bi̱ne, a ya ya̱mu we yinangu n Yesu a fwa chimi̱nangu. N chi a do chabtu Yiye Yabake a fiko.
MRK.14.17	Ki̱ni me, n Yesu a ya lo wu n ti miyari̱mi kub chiri burabi̱mu. 
MRK.14.18	Yo n chi a le ki̱chau chabti̱te, yinu n Yesu a yi chi ko, “Bi̱yili̱m mi̱n fwa chimi̱nu, wuka nii we tibe chi̱n ka miyu, wu ni̱n chau chabti̱tu ware ti ki̱ne.”
MRK.14.19	Miyari̱mu a kai ni̱tu, n kawure ki̱yidu ko, “M mi̱na?”
MRK.14.20	N Yesu a yi chi ko, “Wiin we tibe chi̱n, n ki̱n nang wu a di̱ku falang we kwa̱se ti mi̱ne. 
MRK.14.21	Bwe Nii ka yikadu yinang ka a mwal we dur ki̱nangu. Aya a no nii wu ka mii Bwe Nii! A no la ki̱mi̱n chi ka ni̱bu a no bi̱bu ki̱ne.”
MRK.14.22	Yo n chi a le ki̱chau chatti̱te, n Yesu a da̱u ki̱dane a wana Kwama, a dwa̱kan a ni miyiri̱m ki̱mu a yi ko, “Ti̱yiu ti̱tu nang bwimiyu.”
MRK.14.23	A kuteng ki̱ku, a da̱u kwa̱se wu a mwe yinabi a ma di̱wan we di̱Kwama, a ni chi, n chi kwang a no we mure.
MRK.14.24	Yinu a yi chi ko, “Bi̱bu nang ki̱tum bwa̱ki̱ mi̱mu, bi̱bu mang kuru di̱ne ni̱bu nabweni̱mu.” 
MRK.14.25	Mi̱n fwa chimi̱n bi̱yili̱m, nemang noti̱ mwe yinabe wu we ki̱da, ka lami̱nti̱ di wu mang no wu fwiye a Yaa Kwama.
MRK.14.26	Yinu yo n chi a kau tee, a chir a fi̱l Kun di̱du ki̱ni tini Setuniye.
MRK.14.27	N Yesu a yi miyari̱m ki̱mu ko, “N ti̱ni ki̱ni kwang ta wulu ta dwiyu we. Yinangu a mwal we ya̱m Kwamamu ko,
MRK.14.27	‘Mang chi̱u naba toke
MRK.14.27	Kwantiyu ka yaradu.’
MRK.14.28	Aya we kuteng ki̱ku n Kwama ka kukiyu we furangu, mang tu chi̱nu we yikaku Ka̱lili yangu.”
MRK.14.29	M Biti̱r we fiko kabdu ko, “Kasi no n chi kwang ka yaradu, m mi̱n ne mang dunnu.”
MRK.14.30	N Yesu a yi ki̱n ko, “Bi̱yili̱m mi̱n fwa mi̱nu Biti̱r, a ne lami̱nti̱ yo kware ka ta̱ru ki̱da yurabe, mwang kwilayu ki̱da yitta mwi mwang yimbu mi̱n.”
MRK.14.31	Aya m Biti̱r ki̱fundu ki̱fwadu ki̱ni dukan ko, “Kasi no ni̱bu ka chiyu ware n ti mun nemang kan yinku mwangu ko bayim.” Bi̱kamu miyari̱m ki̱mu a fwa ti̱ni yiko.
MRK.14.32	N chi a yika wukane fi ni̱bu ki̱yalu ko, “Kesemani.” Yinu n Yesu a yi miyari̱m ki̱mu ko, “Ti̱swe a finu Yamang twa̱ba̱ buni.” 
MRK.14.33	N ki̱n a bungan n ti Biti̱r, n ti Yakubu n ti Yowana. Ni̱r ki̱nu a mwe ki̱kaiyadu, bwiyu a fwi kangu n ki̱n a yim chi yaka fweditangu. 
MRK.14.34	Yinu a yi chi ko, “Ki̱lliye wu a ni̱r mi̱ne ka medu ka chiyu, ti̱swe a finu ti̱ma ki̱yolang.”
MRK.14.35	Yo a yika kakki bayi̱me, a sung a ti̱m a twa̱ba̱ buni ko ka mwang kenge, yo n nwedu riye we. Aya n ke di̱ne ki̱ke mi, ma ki̱kemo. 
MRK.14.36	A yi ko, “Wa, Tete, a ne chi ka bwane we, ka mwang kede, da̱mi kwa̱se riye wu. Aya bunti̱ ki̱ke mo, n ke wumi.”
MRK.14.37	Yo n ki̱n a ki̱lawe, a be ya miyari̱m ki̱mu a da duum. N ki̱n a yi Biti̱r ko, “Simun, mun da duuma? Wule yo wu a ne ta medu ta swedu kasi no awa wiine? 
MRK.14.38	Ti̱ma ki̱yolang, ti̱twa̱ba̱ buni ke ti̱yaru we, yo fwakware ka swe chi̱ne. Kasi ki̱ku fi̱ki̱mu we ki̱ni dukanangu aya bwiyu a fwi.”
MRK.14.39	Yinu a ki̱latuwe ki̱da, a twa̱ba̱ bunitu, ki̱fwa ya̱mu ka bi̱biini̱m. 
MRK.14.40	Yinu a ki̱lawe, a be ya chi a dati̱ dumuwe. kwalangi chiyu a yi̱lteni ki̱ni duumu. N chi a kwala chi ka fwa ki̱mi̱nditu.
MRK.14.41	N ki̱n a yikatuwe yinu a ki̱lawe ki̱dang tarang, a yi chi ko, “A lanta ki̱kang n ti̱n we duma, n ti̱n we ti̱fi̱kada? A ri! Ki̱swi a be, ni̱bu a ni Bwe Nii a fa̱li ni̱bu bi̱bwilame. 
MRK.14.42	Ti̱kun, ni yikan! Wu ka miye nang wu a lam fiye.”
MRK.14.43	Yo n Yesu we ki̱fwa ya̱me, n Yafuda wu we miyari̱m ki̱mi kub chiri burabi̱me n ti ki̱tuu ni̱be nabwen wu ki̱ni kuli n ti dwamiye. Tikaketi fanseti n ti ni̱bu yungku yili̱ne a tume chi. 
MRK.14.44	N Yafuda, wu ka mi Yesuwe a tu a dokan n ti chi ko, “Nii wu mang sidu ki̱ni kwarke, n nang wu ta tadde, ti̱tau ti̱yikani ki̱n, ti̱to yinang.” 
MRK.14.45	Yo n ki̱n a lam fi a di̱Yesuwe, a kwar Yesu ko, “Tete, naba yungke!” A kwar ti̱n. 
MRK.14.46	Bi̱nabi̱na ni̱bu a tau Yesu, a tituwe ki̱ri̱ng. 
MRK.14.47	Aya wuka ni a chaku kul ki̱nu, a swi ka̱be wuduwe fansetiyeye mi̱n ki̱tele wad.
MRK.14.48	N Yesu a yi chi ko, “Ti̱chire ki̱ni kulitu n ti dwamiyu be ta tayu yinang dakuwa? 
MRK.14.49	Kanang wuwule diye n mi̱n we ti chi̱n we Kan Kwaman Wurchalimanu mi̱n ma yungki̱ku ta taibu, aya ti̱tu a fwe ke a ri chitu a mwal we ya̱m Kwamamitu.” 
MRK.14.50	We fiko miyari̱m ki̱mu ki̱ni kwang a du ki̱n a yarani yak.
MRK.14.51	A ya wuka bwele we fiko n ti bi̱bu ki̱bunti̱ Yesumu, n ki̱n a ne luke we bwikiyu kana kwadu. Yo ni̱bu a tau ki̱ne, 
MRK.14.52	m bwele a wuli ti̱ri̱m a du kwadu ki̱nu we a fa̱li chiyu.
MRK.14.53	N chi a yikani ki̱ni Yesu a kakku wuduwe fansetiyeyu. Tikaketi fansetiye n ti seli̱bu n ti ni̱bu yungku yili̱n Musayimu a muran we fiko. 
MRK.14.54	M Biti̱r a bunti̱ Yesu, aya a marti̱ ki̱twalang a le mure tare lo wuduwe fansetiyeye. A swe we fiko n ti bi̱bu ki̱to Kan Kwama di̱dunu ki̱wul ki̱rang.
MRK.14.55	Tikaketi fansetiye n ti kwa̱l yili̱nu a muran ki̱bau nii wu ka mwe ti̱kwanitu a dur Yesunu ko a ma ki̱le ko ke chi chi̱u Yesu, n chi a yabu fi̱li ka mang ti̱te. 
MRK.14.56	Ni̱bu nabwen a mwe ti̱kwanitu we dur ki̱nu. Aya ya̱mi chiyu dangtidangti.
MRK.14.57	A kuteng ki̱ku, bi̱kam a kun a fwa bi̱chimu ya̱m ti̱kwanimi ying; 
MRK.14.58	“Ni̱n nwe a fwa ko, ‘Mang wur Kan Kwamana Wurchalimanu ni̱bu a mubbi̱nu, a ditiyi yitta mang mu di̱kan di̱du n ke nangang Fa̱liyang.’ ” 
MRK.14.59	Ki̱ni ye ya̱m chimu a beba fi wiine.
MRK.14.60	Yinu wuduwe fansetiyeye a kun a ti we tibe chi, a bi̱u Yesu ko, “M mun n ne di̱kan di̱ki̱li̱n yiin wenga? We a ya̱miyu ni̱bu a fwa dur muniya?” 
MRK.14.61	N Yesu a yibu ya̱m.
MRK.14.61	Yinu tikake Fansetiye a bi̱ti̱ ki̱n ki̱da ko, “M mun nang Masiya Bwe Kwama naba delaka?”
MRK.14.62	N Yesu a ke ko, “M mi̱n nang ki̱n. Aya ta ku Bwe Nii ka swedu we kang ki̱yilang Kwamangu, ki̱ni dukan Naba Wuduwenu wu ti̱ti̱nitu a fa̱la̱ng kange, ka suwedu a dii, a ti̱twini we twiye.”
MRK.14.63	Tikake fansetiye a ngi̱ra luke ko, a kur a bwa yinu a yi ni̱bu ko, “Ni bau di̱di̱le di̱kwa̱l, we ya̱m bi̱bu? 
MRK.14.64	A ta nwe yinang kangu a swa̱ba Kwamangu, ti̱kama wureni?”
MRK.14.64	Ni̱bi kwang a ke ko, “A lwe bwa.” 
MRK.14.65	Bi̱kamu bidum fanseti fal, a mwe ki̱tibe ki̱nu ki̱ni ki̱tum, a bwa̱u ki̱mi̱n kwalangi kiyu, ki̱ngaddu ki̱ni fa̱la̱ng yinu ki̱bi̱du ko, “N ma fa̱kuitu we chi a fwe.” Yinu ni̱bu toki̱mu a yikani ki̱n ki̱twaladu.
MRK.14.66	M Biti̱r a ki̱ti̱bang we lo, yinu wukane be fwa̱ne wu ki̱ma nangang we lo wuduwe fansetiyeye a be fiko. 
MRK.14.67	Yo n ki̱n a ku Biti̱r ki̱wul ki̱range, a da̱ng ki̱n yinang, a yi ko, “A mi ka n mun we wa̱re n ti Yesu Banasa̱rete?”
MRK.14.68	Aya m Biti̱r a kwilan ko, “Mang yimbu chi mun fwaditu fal! Mang swanbu ki̱n!” Yo a fwa ye, a yikati̱ sa̱ngka, bi̱nabi̱na, kware a ta̱r chitu.
MRK.14.69	Yo fwa̱n ka̱be wu a ku ki̱n we bwako, a fwa ni̱bu bi̱bu a tirana fikomu mi̱n ko, “Wu wetuwe tibe chi.” 
MRK.14.70	M Biti̱r a kwila ti̱n ki̱da.
MRK.14.70	We kuteng ki̱ku bi̱bu a ti we fikomu a mwe ki̱fwati̱nu, ko, “A mwintuwe m mun we ti chi, m mun naba Ka̱liliye ti̱n.”
MRK.14.71	Aya m Biti̱r a mwe ki̱ni ka ti̱turan ki̱twa̱mati̱ chitu we kakku chiyangu, ko, “Mang yimbu chi ti̱fwaditu.”
MRK.14.72	Bi̱nabi̱na kware a ta̱r ki̱dang robang yinu m Biti̱r a kur ya̱m bi̱bu n Yesu a fwa ki̱mi̱ni̱mu ko, “Yibe a neka ta̱ru ka lam ki̱dang robangu, mwang kwilayu ki̱da yitta.” Yo a kur ya̱m bi̱be a mwe ki̱ni wi.
MRK.15.1	Ki̱ni kunsin, tikaketi fansetimu n ti bi̱kamu seli̱bu n ti ni̱bu yungku yili̱ni̱mu n ti kwa̱l yili̱nu kwang a do ya̱m chimu we dur Yesunu. N chi a kwaba Yesu, a yikan kakku Bi̱latu wu ki̱chau mati̱n Romate.
MRK.15.2	M Bi̱latu a bi̱u ki̱n ko, “M mun nang Mai ni̱bu Yafudama?” N Yesu a ke ko, “A mwan fwa.”
MRK.15.3	Tikaketi fansetiyu a le ki̱swita ki̱nu. 
MRK.15.4	Yinu n Bi̱latu a bi̱ti̱ ki̱da ko, “A ne mwang fwa ya̱mma. Mwang nwebu nabwe ya̱miye, ni̱bu ki̱fwadu a dur muniya?”
MRK.15.5	We chik, n Yesu a fwabu chi. Ti̱tu a ya̱r Bi̱latu yii.
MRK.15.6	We da chi, m Kwabna Bi̱latu ki̱maiye naba di̱bi̱nti̱le wiin wu n chi ki̱bade we ka nang wuwule ki̱swi Yiye Yabake. 
MRK.15.7	We ki̱dang kangu, wuka nii we di̱n ki̱nu n Barabas wu ni̱bu a kwau a di̱bi̱nti̱le n ti bi̱bu a chi̱u ni̱bu a ki̱dang bi̱ngaiyimu. 
MRK.15.8	Ki̱tu ni̱be a bulawe bwa di̱Bi̱latuwe ko a mar chimi̱ne ni wiin yinangu n ki̱n ki̱madi kwadangu.
MRK.15.9	M Bi̱latu a ki̱nta chi ko, “Ti̱badu mang mai chimi̱n Mai ni̱bu Yafudama?” 
MRK.15.10	Di̱ne n ki̱n a swan ko tikaketi fansetiyu a tau Yesu di̱ne kati̱ne. 
MRK.15.11	Tikaketi fansetiyu a suu ni̱bu ko a yi Bi̱latu a mare Barabas, a bwin Yesu.
MRK.15.12	Yinu n Bi̱latu a bi̱u chi ko, “Yinu fal, mang ma wu ti̱yidu ko n ki̱n Mai ni̱bu Yafudame yire?”
MRK.15.13	N chi a yibi kuuu ko, “Ti̱kukan ki̱n!”
MRK.15.14	M Bi̱latu a yi chi ko, “Di̱ne wule? A ma ki̱le wureni?” N chi a su keru ki̱yidu ko “Ti̱kuka ki̱n!”
MRK.15.15	Di̱ne m Bi̱latu ki̱baddu ka li̱ma ni̱bu mi̱n ni̱te, n ki̱n a mar chimi̱ne Barabas. A yo ni̱bu a twala Yesu yinu a ni ni̱bu Yesu ko a ya kukan.
MRK.15.16	Ni̱bu kuni̱mu a lengi ki̱ni Yesu a lon Kwabna. N chi a yo kwa̱l di̱dun ni̱bu kuni̱mu we fiko.
MRK.15.17	Yinu a do ki̱mi̱n wuka luke wu wurwure ki̱duum bi̱bu mati̱m ki̱yadi̱mu. A bwa̱u ki̱mi̱n di̱ki̱ri̱n kwa̱da, a do ki̱mi̱n we duru. 
MRK.15.18	Yinu n chi a le ki̱fita ki̱nu, ki̱sidu ko, “Saki Mai ni̱bu Yafudame.” 
MRK.15.19	N chi ki̱twalu ki̱twalang we duru ki̱dati kwang, ki̱ti̱bi̱ti̱nu ki̱ni ki̱tum, a sung ki̱ma ki̱mi̱n di̱siir ti̱kwani̱n. 
MRK.15.20	Yo n chi a ri ki̱fiye, a suku ki̱mi̱n luke mati̱ne wurwure, a do ki̱mi̱n luke ko, a chir ki̱ni ki̱n yaka kukadu.
MRK.15.21	Yo n chi we wa̱re ki̱yikade, n chi a tekan n ti Simun naba Sairin, n te Aleksanda n ti Rufu. N chi a yo ni wu mi̱n ki̱tiyang bwangi ki̱ng ko a da̱u. 
MRK.15.22	N chi a yikani ki̱ni Yesu a finu ni̱bu ki̱yalu ko Kolkota ka nang chikiye finu a kasire. 
MRK.15.23	We fiko ni̱bu a ni ki̱n mwe yinabe a se ti mur. Aya a ko a nobu. 
MRK.15.24	Yinu n chi a kuka ki̱n we ki̱tiyang bwangu. N chi a keran luketi kiyu, n chi a ma suti̱ku we bwiti chiyu ko ke chi yim, ki̱ti̱me wu n kawure ka yade.
MRK.15.25	N chi a kuka ki̱ni si̱n yo ki̱swi a awa turkube. 
MRK.15.26	N chi a mwal ki̱le wu n chi a yo Yesu mi̱ne we di a ki̱tiyang bwange ko, “Mai NI̱BU YAFUDAME.” 
MRK.15.27	N chi fal a kuka ki̱n ware n ti dabi̱kuumi burau, wu wiine a kang ki̱yilang kang, yinu wukane a kwatakwelang kang. 
MRK.15.28	Ya̱m Kwamamu a ri, bi̱bu a fwa ko, “A ki ki̱n a ni̱bu bi̱bwilam.”
