MAT.1.1	Iyan haini mga gin-apuan hi Cristo Jesus. Si Jesus kaliwat hi David sa kaliwat daan hi Abraham.
MAT.24.16	Duun asem taena ha panahun sa mga etaw diyà ta Judea mamamulaguy duun hu bubungan. 
MAT.24.17	Sa mga etaw diyà ta atep hu balay dan harì en lumugnà hu pagtimù hu mga butang dan. 
MAT.24.18	Sa diyà ta uma harì en daan umulì hu pagtimù hu ig-apid ha pinaksuy dan. 
MAT.24.19	Pinakahaluhid-u gayed sa agkangabedes daw saena ha amin din pa igpasusu duun taena ha panahun. 
MAT.24.20	Mag-ampù kaw ha harì haena makatagaed hu lendeng daw hu Aldaw hu Paghimlay 
MAT.24.21	ta saena ha mga pinakahaluhaldek ha kasamukan labaw pa dì hu nangahitabù en sugud dà su tanghagaen hu Dios sa kalibutan daw hurà en daan isab mahitabù ha iling taena. 
MAT.24.22	Ku harì pababaan hu Dios haena ha panahun maamin matay sa mga etaw. Ba tumenged hu mga pinilì din pababaan din dà haena.
MAT.24.23	“Duun taena ha panahun ku amin umikagi diyan ta inyu, ‘Ahà kaw, taini en su Misiyas’ daw ‘Diyà en’ harì kaw gayed taena agtuu. 
MAT.24.24	Ta makauma sa mga biduen ha mag-ikagi, ‘Iyan ad en su Misiyas’ daw ‘Iyan ad prupita’ daw magpaahà daan sidan hu mga timaan daw belenganen ta daw bisan sa mga pinilì hu Dios ku mahimu malimbungan dan pa gayed. 
MAT.24.25	Timan-an nuy ta daan kud en haini ag-ikagiyen inyu.
MAT.24.26	“Aman ku amin umikagi inyu, ‘Ahà kaw, duun en haena hu lugar ha pinakabulung-bulung’ harì kaw gayed dumiyà, daw ku amin daan mag-ikagi, ‘Dini en haena agseled’ harì kaw daan tumuu taena. 
MAT.24.27	Ta siak sa Batà hu Etaw sa paglikù ku agkailing hu kilat ha pakailaw ta tibuuk ha kalibutan daw agkaahà hu alan ha kaet-etawan. 
MAT.24.28	Ku hindu duun sa mga minatay duun daan tag-amul-amul sa mga wakwak.
MAT.24.29	“Ku maiwas en haena sa pinakahaluhaldek ha kasamukan sagunà sumukilem sa aldaw daw harì en daan umanlag sa bulan, mangahulug daan sa mga bituen ta agkahuyung sa kalangitan.
MAT.24.30	“Duun asem taena maahà diyà ta langit sa timaan ha pakauma ad en siak sa Batà hu Etaw daw maglugul sa alan ha kaet-etawan dini ta kalibutan. Maahà a ha magbulus diyà tayà ha gabunan ha magpangaluanlag daw maahà daan sa pagkagamhanan ku. 
MAT.24.31	Mapaliman sa lageng hu trumpita daw suguen ku sa mga balinsuguen hu Dios ha amulen dan sa mga pinilì ku ha dini agkangapuun ta tibuuk ha kalibutan.
MAT.24.32	“Timan-i nuy haini sa igtudlù ku inyu mahitenged hu kayu ha igira. Ku manalingsing en haena daw lumabung en matun-an nuy ha madani en sa gulabung. 
MAT.24.33	Iling daan taena ku maahà nuy asem ha matuman en sa alan ha inikagi ku inyu matun-an nuy ha madani ad en aglikù. 
MAT.24.34	Laus gayed sa ag-ikagiyen ku inyu ha harì pa alan matay sa mga etaw maamin en haena matuman. 
MAT.24.35	Mahanaw pa sa langit daw sa kalibutan ba sa mga lalang ku harì gayed mahanaw.
MAT.24.36	“Hurà nakatuen hu panahun ku kan-u haena agkahitabù bisan pa sa mga balinsuguen ta langit daw siak, ta iyan dà gayed sa Dios ha Amay ku nakatuen taena. 
MAT.24.37	Sa paglikù ku asem mailing hu panahun hi Noe 
MAT.24.38	ha su hurà pa lenepi sa tibuuk ha kalibutan sa mga etaw bà dà tagkaenà daw tag-inumà daw namangasawa hangtud en ha sumineled si Noe duun ku arka. 
MAT.24.39	Hurà gayed sidan tuu ha aglenepan sa tibuuk ha kalibutan hangtud ha nangalemes sidan. Iling daan taena sa paglikù ku siak sa Batà hu Etaw. 
MAT.24.40	Duun asem taena ku amin daruwa ha maama diyà ta uma sa sabuwa matimù ba sa sabuwa makatabun. 
MAT.24.41	Ku amin daruwa ha bahi ha tagpanggaling, sa sabuwa matimù ba sa sabuwa makatabun.
MAT.24.42	“Aman magbantay kaw gayed ta harì nuy agkatun-an sa panahun ku kan-u a makalikù siak sa Ginuu nuy. 
MAT.24.43	Ba henhenaa nuy haini ha ku agkatun-an pa ngaay hu tagibalay ku kan-u makauma sa takaw magbantay gayed ta daw harì makaseled su takaw. 
MAT.24.44	Aman kinahanglan gayed ha magpangandam kaw ta siak sa Batà hu Etaw makauma a dini hu panahun ha harì nuy tagsalapen.
MAT.24.45	“Sa suluguen ha kasaligan iyan ipagbayà hu agalen din hu pagpakaen taena ha mga duma din ha suluguen duun hu hustu ha panahun. 
MAT.24.46	Ku makaulì sa agalen din malipayen gayed haena sa suluguen ha migtuman hu alan ha insugù kandin. 
MAT.24.47	Laus gayed sa ag-ikagiyen ku inyu ha su agalen igsalig din sa alan ha mga butang din duun ku kasaligan ha suluguen. 
MAT.24.48	Ba ku madaet sa suluguen iyan dà henà-henà din sa, ‘Malugay pa ag-ulì su agalen ku’ 
MAT.24.49	aman bà din dà paman agpamunali sa mga duma din daw bà dà daan magkaenà daw mag-inumà duma hu mga beleng-beleng. 
MAT.24.50	Ku tigkan makauma su agalen din duun hu panahun ha harì din tagsalapen 
MAT.24.51	saena ha suluguen himatayan gayed ku agalen din daw ipaamul duun taena ha mga etaw ha bà dà tagpasibù-sibù. Duun taena ha lugar makag-ulahuay sidan hu kalugul daw magkakangget sa mga ngipen dan hu kasakitan.
MAT.25.1	“Duun taena ha panahun sa tagharian hu Dios agkailing hu sampulù ha mga laga ha natukid hu mga sulù ta tag-angat hu agpangasawa. 
MAT.25.2	Sa lalima kandan buang-buang daw sa lalima mga matatau. 
MAT.25.3	Saena ha mga buang-buang amin dan sulù ba hurà dan pasubrahi sa tubil din. 
MAT.25.4	Ba saena ha mga matatau amin dan sulù daw amin pa gayed igtutubil dan ha duun hu butilya. 
MAT.25.5	Tumenged ta nalugay nakauma su agpangasawa nakatiduga sidan.
MAT.25.6	“Ba su maliwarà en sa daleman amin migkulahì, ‘Nakauma en sa agpangasawa. Dalì kaw en daw talagbua nuy.’
MAT.25.7	“Dayun napukaw su mga laga daw susiya sa mga sulù dan. 
MAT.25.8	Su mga buang-buang ha mga laga minikagi duun ku mga matatau, ‘Ilahi kay hu igtubil day ta agkapedengan en sa kanay ha sulù.’
MAT.25.9	“Ba su mga matatau tuminubag, ‘Harì mahimu ta tumanan day dà haini. Bà kaw en diyà ta tindahan daw palit.’
MAT.25.10	“Su taghipanaw pa haena sa mga buang-buang ha mga laga ta agpalit hu igtubil dan nakauma en haena sa agpangasawa. Su mga laga ha matatau tuminalagbù ku agpangasawa daw pamaneled duun ku balay ha agkaamulanan dayun sinirahan haena.
MAT.25.11	“Su malugay-lugay nakalikù en su duma ha mga laga daw pamangumaw, ‘Ginuu, puwai kay man.’
MAT.25.12	“Ba saena ha agpangasawa tuminubag, ‘Laus gayed sa ag-ikagiyen ku inyu ha harì ku inyu agkakilala.’
MAT.25.13	“Aman” kagi hi Jesus “pangandam kaw gayed ta harì nuy agkatun-an ku kan-u a aglikù.
MAT.25.14	“Sa tagharian hu Dios agkailing daan hu etaw ha aghipanaw aman inamul din sa mga sinaligan din ta igpiyal kandan sa mga salapì din. 
MAT.25.15	Sinaad din kandan su salapì sumalà hu mahimu dan ha pagpatigayun, sa sabuwa inilahan din hu lalima ha libu daw sa sabuwa daruwa daan ha libu daw sa sabuwa nangkalibu dà. Dayun huminipanaw su etaw. 
MAT.25.16	Su sinaligan ha inilahan hu lalima ha libu sagunà din dà haena impatigayun aman nakaganansiya hu lalima daan ha libu. 
MAT.25.17	Saena ha inilahan hu daruwa ha libu nakaganansiya daan hu daruwa ha libu. 
MAT.25.18	Ba saena ha inilahan hu nangkalibu bà din dà inlebeng su salapì ku agalen din.
MAT.25.19	“Su malugay en uminulì haena sa agalen ku mga sinaligan, pagsusi hu mga salapì din. 
MAT.25.20	Saena ha sinaligan ha inilahan hu lalima ha libu inuwit din su in-ila kandin ha salapì lagkes en sa ganansiya daw uminikagi, ‘Inilahan a ikaw hu lalima ha libu na saena impatigayun ku. Ahaa nu, taini daan sa lalima ha libu ha ganansiya din.’
MAT.25.21	“Inikagiyan haena ku agalen din, ‘Maayad gayed tungkay sa binuhat nu. Tumenged ta kasaligan ka hu atiyuay dà ipiyal ku ikaw sa madakel pa. Sumeled ka dini ta daw makalagkes ka hu kalipay ku.’
MAT.25.22	“Nakauma daan haena sa sinaligan ha inilahan din hu daruwa ha libu daw minikagi daan, ‘Inilahan a ikaw hu daruwa ha libu. Ahaa nu, taini sa ganansiya din ha daruwa daan ha libu.’
MAT.25.23	“Inikagiyan daan taena ha agalen, ‘Maayad gayed tungkay sa binuhat nu. Tumenged ta kasaligan ka hu atiyuay dà ipiyal ku ikaw sa madakel pa. Sumeled ka dini ta daw makalagkes ka hu kalipay ku.’
MAT.25.24	“Dayun nakauma daan su sinaligan ha inilahan hu nangkalibu saena minikagi, ‘Natun-an ku ha manlulupig ka ha etaw ta aglegtayen nu sa kenà ikaw ha insawed daw agtimuen nu daan sa kenà ikaw ha inukapan. 
MAT.25.25	Tumenged ta nahaldek a ikaw bà ku dà inlebeng su salapì nu. Ahaa nu, taini dà su nangkalibu.’
MAT.25.26	“Ba inikagiyan taena ha agalen din, ‘Buang-buang ka gayed daw pugulen ha sinaligan. Natun-an nud man diay ha aglegtayen ku sa kenà kanak ha insawed daw agtimuen ku daan sa kenà kanak ha inukapan. 
MAT.25.27	Maayad ngaay ku imbangku nu hayana sa salapì ku ta daw maisaban ku lumikù a.’
MAT.25.28	“Aman inikagiyan din su lain ha suluguen din, ‘Timua nu hayana sa nangkalibu diyà ta kandin daw iila duun taena ha nakatimù hu sampulù ha libu. 
MAT.25.29	Ta sa etaw ha amin en kandin mailahan hu tungkay pa gayed madakel dì hu kinahanglanen din, ba saena ha hurà din en hu kandin bisan su iyan-iyan din dà timuen pa gayed haena diyà ta kandin. 
MAT.25.30	Daw ilambeg nu su suluguen ha hurà din pulus duun hu kasukileman diyà ta guwà ha duun makag-ulahuay hu kalugul daw magkangget sa mga ngipen din hu kasakitan.’
MAT.25.31	“Siak sa Batà hu Etaw ku lumikù a dini ha tagpangaluanlag duma hu alan ha mga balinsuguen hu Dios minuu a duun hu trunu. 
MAT.25.32	Umatubang kanak sa alan ha kaet-etawan daw bahinen ku sidan iling hu magbalantay hu karniru ha igtapid din sa kambing duun hu karniru, 
MAT.25.33	sa mga karniru dini dapit ta kawanan ba sa mga kambing dini ta gibang.
MAT.25.34	“Dayun siak sa Harì umikagi a duun hu mga etaw dini dapit ta kawanan ku, ‘Sinyu sa napanalanginan hu Dios ha Amay ku, dini kaw daw dawata en sa pagharì ku inyu ha inandam kud en inyu sugud dà su tanghagaen sa kalibutan. 
MAT.25.35	Ta su mauhul a impakaen a inyu daw su malauwan a impainum a daan inyu. Su langyaw a diyan impaseled a inyu duun hu balay nuy 
MAT.25.36	daw su tagkinahanglan a hu pinaksuy inilahan a inyu. Su madaluwan a pigtanul a inyu daw su maprisu a pigbisitahan a inyu.’
MAT.25.37	“Dayun manginginsà su mga etaw ha matareng, ‘Ginuu, kan-u day ikaw naahà ha nauhul daw ku nalauwan ba na impakaen day ikaw daw impainum day ikaw? 
MAT.25.38	Kan-u day ikaw impaseled duun hu balay day ta langyaw ka daw ku kan-u day daan ikaw inilahi hu pinaksuy ta migkinahanglan ka? 
MAT.25.39	Kan-u day ikaw pigbisitahi ta nadaluwan ka daw ku naprisu ba?’
MAT.25.40	“Duun taena siak sa Harì tumubag, ‘Laus gayed sa ag-ikagiyen ku inyu ha bisan inu sa binuhat nuy taena ha kinaminusan en gayed ha suled ku binuhat nuy en daan haena dini ta kanak.’
MAT.25.41	“Dayun ikagiyan ku daan sa mga etaw ha dini dapit ta gibang ku, ‘Sinyu sa hinukuman en hu Dios, paman-awà kaw dini daw duun kaw hu hapuy ha harì en gayed agkapedengan ha intagana ki Satanas daw hu mga ginsakupan din. 
MAT.25.42	Ta nauhul a ba hurà a inyu ipakaen daw nalauwan a ba hurà a inyu ipainum. 
MAT.25.43	Langyaw a diyan ta inyu ba hurà a inyu ipaseled duun hu balay nuy. Migkinahanglan a hu pinaksuy ba hurà a inyu ilahi. Nadaluwan a daw naprisu a ba hurà a inyu bisitahi.’
MAT.25.44	“Dayun manginginsà sidan kanak, ‘Ginuu, kan-u day ikaw naahà ha nauhul ka daw ku nalauwan ba daw ku langyaw ka dini ta kanay daw ku migkinahanglan ka hu pinaksuy daw ku nadaluwan ka ba daw ku naprisu ka daan ha hurà day ikaw buligi?’
MAT.25.45	“Duun taena siak sa Harì tumubag, ‘Laus gayed sa ag-ikagiyen ku inyu ha bisan sin-u haena sa hurà nuy buligi duun taena ha kinaminusan gayed ha suled ku iyan ad en hurà nuy kabuligi.’
MAT.25.46	“Dayun saena ha mga etaw ilambeg diyà ta Impirnu daw silutan hu hurà din katapusan, ba sa matareng mailahan hu kinabuhì ha hurà din katapusan.”
MAT.26.1	Su makapenga en si Jesus magtudlù inikagiyan din sa mga tinun-an din, 
MAT.26.2	“Natun-an nuy ha makaduwa iman iyan en pagsaulug hu Aldaw hu Paglabay daw siak sa Batà hu Etaw itugyan a duun hu mga etaw ta daw makalansang a kandan duun hu krus.”
MAT.26.3	Mig-amul-amul sa mga labaw ha sinaligan hu paghalad daw sa mga magulang duun hu balay hi Caifas sa tungkay labaw ha sinaligan hu paghalad 
MAT.26.4	daw miglalang-lalang sidan ku in-inuwen dan sa pagdakep ki Jesus ha harì matun-an hu mga etaw ta daw mapatay dan. 
MAT.26.5	Ba minikagi sidan, “Harì taw dakepen duun hu pagsaulug ta kan ku magubut sa mga etaw.”
MAT.26.6+MAT.26.7	Su tagkaen si Jesus diyà ta Betania duun hu balay hi Simon ha sanglahen su anay amin bahi ha uminubay diyà ki Jesus. Saena ha bahi tag-uwit hu pahumut ha tungkay mahal ha intagù duun hu butilya ha alabastru dayun inhudhud din haena diyà ta ulu hi Jesus.
MAT.26.8	Ba su maahà hu mga tinun-an din napauk gayed sidan ha tagyanaen, “Imbà din bà dà kalkali hayana sa pahumut? 
MAT.26.9	Maayad pa ngaay ku imbalegyà hayana hu tungkay mahal daw sa halin din in-ila duun hu mga makaluluuy.”
MAT.26.10	Ba natun-an hi Jesus sa tagsubayen dan aman inikagiyan din sidan, “Imbà nuy agsamuka haini sa bahi? Sa binuhat din dini ta kanak madagway tungkay. 
MAT.26.11	Sa mga makaluluuy sigi dà diyan ta inyu ba siak harì ad en maglugay dini ta inyu. 
MAT.26.12	Binuhat din haini dini ta kanak hu pagpangandam hu kalebenga kanak. 
MAT.26.13	Laus gayed sa ag-ikagiyen ku inyu ha bisan hindu asem duun isangyaw sa Maayad ha Tultulanen dini ta tibuuk ha kalibutan sa binuhat taini ha bahi harì gayed malipatan daw itultul daan.”
MAT.26.14	Si Judas Iscariote sa sabuwa duun hu sampulù daw daruwa ha tinun-an duminuun hu mga labaw ha sinaligan hu paghalad 
MAT.26.15	daw nanginginsà, “Pila sa isuhul nuy kanak ku itugyan ku diyan ta inyu si Jesus?” Sagunà dan haena inilahan hu katluan ha salapì. 
MAT.26.16	Sugud taena nan-ahà si Judas hu paagi ha makatugyan din si Jesus diyà ta kandan.
MAT.26.17	Su mauma en sa panahun ha agsaulugen sa Pagkaen hu Supas ha Hurà Duun Igpatulin nanginginsà sa mga tinun-an diyà ki Jesus, “Hindu sa agkabayaan nu ha elegan day hu pagpangandam hu igpanihapun taw hu pagsaulug?”
MAT.26.18	Tuminubag si Jesus, “Dumuun kaw hu sabuwa ha etaw diyà ta banuwa daw ikagiyi nuy, ‘Sa Manunudlù tag-ikagi ha ubay en sa natugun ha panahun ha matay aman agpanihapun hu pagsaulug duma hu mga tinun-an din diyà ta balay nu.’” 
MAT.26.19	Binuhat hu mga tinun-an sa insugù kandan hi Jesus dayun nangandam sidan hu pagkaen taena ha pagsaulug.
MAT.26.20	Su daleman en mininuu si Jesus daw sa mga tinun-an din hu pagkaen. 
MAT.26.21	Su kamulu pa sidan tagkaen inikagiyan sidan hi Jesus, “Laus gayed sa ag-ikagiyen ku inyu ha sa sabuwa inyu iyan maglimbung kanak.”
MAT.26.22	Nangaguul gayed su mga tinun-an din aman sa kada sabuwa kandan nanginginsà, “Ginuu, iyan a ba?”
MAT.26.23	Tuminubag si Jesus, “Iyan sa sabuwa diyan ta inyu ha nakigsalu kanak. 
MAT.26.24	Siak sa Batà hu Etaw matay a gayed sumalà hu insulat ha lalang hu Dios mahitenged kanak. Ba kahid-u gayed hu etaw ha maglimbung kanak. Maayad pa ngaay ku hurà en haena ibatà.”
MAT.26.25	Dayun minikagi si Judas sa miglimbung kandin, “Manunudlù, iyan a ba?”
MAT.26.25	Tuminubag si Jesus, “Sa inikagi nu na iyan en.”
MAT.26.26	Su kamulu pa sidan tagkaen tuminimù si Jesus hu supas daw ampui. Dayun pinangebing din haena daw ipan-ila duun hu mga tinun-an din ha tagyanaen, “Timua nuy haini daw kan-a ta iyan en haini lawa ku.”
MAT.26.27	Dayun tinimù din sa tasa daw ampui daan haena. In-ila din diyà ta kandan, kagi din, “Alan kaw inum duun 
MAT.26.28	ta iyan en haini langesa ku ha igpamalas hu mga salà hu kaet-etawan ha iyan timaan hu bag-u ha kasabutan hu Dios daw hu kaet-etawan. 
MAT.26.29	Ikagiyen ku inyu ha daw ad en asem isab ag-inum hu bag-u ha binu duma inyu ku magharì en sa Dios ha Amay ku.”
MAT.26.30	Su makagkanta en sidan hu pagdayè hu Dios duminiyà sidan ta Buntud ta Ulibu.
MAT.26.31	Inikagiyan hi Jesus su mga tinun-an din, “Alan kaw sumuway kanak taini ha daleman ta sa insulat ha lalang hu Dios tagyanaen, ‘Aghimatayan ku sa magbalantay daw makagsusuwayà sa mga karniru.’ 
MAT.26.32	Ba ku mabanhaw ad umuna a inyu diyà ta Galilea.”
MAT.26.33	Minikagi si Pedro, “Bisan ku sumuway ikaw sa duma ba harì a gayed hu kanak.”
MAT.26.34	Ba inikagiyan hi Jesus, “Laus gayed sa ag-ikagiyen ku ikaw ha taini ha daleman sa harì pa managauk sa manuk katatulu kad en makaikagi ha harì a ikaw agkakilala.”
MAT.26.35	Tuminubag si Pedro, “Bisan pa ku himatayan a duma ikaw ba harì ku gayed hayana ikagiyen.” Iyan daan haena inikagi hu alan ha mga tinun-an hi Jesus.
MAT.26.36	Si Jesus daw sa mga tinun-an din duminuun hu lugar ha tagngaranan ta Getsemane daw inikagiyan din sidan, “Dini kaw dà taini magpinuu ta agdayun a diyà ta unahan hu pag-ampù.” 
MAT.26.37	Dinuma din si Pedro daw sa daruwa ha batà hi Zebedeo. Suminakit gayed sa gahinawa din hu kalugul 
MAT.26.38	aman inikagiyan din sidan, “Miglabay gayed kasakit sa gahinawa ku ha bà su agkabugtù en. Dini kaw dà daw magbantay kaw duma kanak.”
MAT.26.39	Su makadiyà en si Jesus ta unahan luminuhud daw dunghuy diyà ta bugtà ha mig-ampù ha tagyanaen, “Amay ku, ku mabaluy ngaay harì a ikaw ipaagi duun taini ha mga alantusen. Ba iyan sa ikaw ha pagbayà matuman kenà iyan sa kanak.”
MAT.26.40	Dayun linikuan hi Jesus su tatulu ha tinun-an din ba naahà din ha tagtidugahà en sidan. Aman inikagiyan din si Pedro, “Imbà kaw harì pakagbantay bisan ngaay nangkauras dà? 
MAT.26.41	Magbantay kaw gayed daw mag-ampù ta daw harì kaw madaeg hu panulay. Agkabayà ngaay sa henà-henà nuy ba maluya kaw.”
MAT.26.42	Luminikù dà paman si Jesus daw mig-ampù ha tagyanaen, “Amay ku, ku mabaluy ngaay harì a ikaw ipaagi duun taini ha mga alantusen. Ba iyan sa ikaw ha pagbayà matuman kenà iyan sa kanak.”
MAT.26.43	Su likuan din dà su mga tinun-an din naahà din ha tagtidugahà gihapun ta harì gayed sidan pakaantus. 
MAT.26.44	Aman inawaan din sidan daw luminikù en paman hu ikatulu ha mig-ampù iling ku nauna.
MAT.26.45	Dayun linikuan din dà paman sa mga tinun-an din daw ikagiyi sidan, “Tagtidugahà kaw pa ba diay? Ahaa nuy, iyan en haini panahun ha siak sa Batà hu Etaw itugyan ad en duun hu mga makasasalà ha etaw. 
MAT.26.46	Bangun kaw ta aghipanaw kuy en. Ahaa nuy, taini en sa etaw ha taglimbung kanak.”
MAT.26.47	Su kamulu pa tag-ikagi si Jesus nakauma en sa sabuwa duun taena ha sampulù daw daruwa ha tinun-an ha iyan si Judas duma hu madakel ha mga etaw ha tag-uuwit hu mga ispada daw mga bunal ta sinugù sidan hu mga labaw ha sinaligan hu paghalad daw hu mga magulang. 
MAT.26.48	Amin timaan ha inikagi kandan hi Judas ha tagyanaen, “Sa hadekan ku iyan en haena aman dakepen nuy dayun.” 
MAT.26.49	Sagunà inubayan hi Judas si Jesus daw ikagiyi, “Manunudlù” dayun hinadekan din.
MAT.26.50	Tuminubag si Jesus, “Agpasa en sa agbuhaten nu.”
MAT.26.50	Dayun si Jesus dinakep ku mga etaw. 
MAT.26.51	Ba sa sabuwa duun hu mga tinun-an hi Jesus duminagtù hu ispada din daw tigbasa sa suluguen hu tungkay labaw ha sinaligan hu paghalad aman nalapungan haena.
MAT.26.52	Ba inikagiyan hi Jesus su tinun-an, “Isakeb hayana sa ispada nu ta sa tag-ibit hu ispada ispada daan sa igpatay din. 
MAT.26.53	Hurà nu ba katun-i ha ku magpabulig a hu Dios ha Amay ku sagunà din dà ipadini sa libu-libuwen ha mga balinsuguen din? 
MAT.26.54	Ba ku buhaten ku haena harì gayed matuman sa insulat ha lalang hu Dios.”
MAT.26.55	Dayun inikagiyan hi Jesus su mga etaw, “Agalen a ba hu mga tulisan imbà kaw tag-uuwit hu mga ispada daw mga bunal hu pagdakep kanak? Aldaw-aldaw migpinuu a diyà ta Timplu daw nanudlù, imbà a hurà inyu dakepa diyà? 
MAT.26.56	Ba saena nahitabù ta daw matuman sa insulat hu mga prupita.” Dayun inawaan si Jesus hu mga tinun-an din ta nangakapulaguy sidan.
MAT.26.57	Inuwit si Jesus ku mga etaw ha migdakep kandin diyà ta balay hi Caifas sa tungkay labaw ha sinaligan hu paghalad ta diyà en tag-amul-amul sa mga manunudlù hu Kasuguan daw sa mga magulang. 
MAT.26.58	Si Pedro taglupug daan kandan ba madiyù dà daw diyà dà nataman ta lama. Uminamul haena duun hu mga bantay ha tagpinuu diyà ta ag-ahaen din ku inu sa maul-ulahan hi Jesus.
MAT.26.59	Sa mga labaw ha sinaligan hu paghalad daw sa alan ha duma dan ha mga labaw ha agalen hu mga Judio nan-ahà gayed hu mga bidù ha katarengan ta daw mahimatayan dan si Jesus. 
MAT.26.60	Ba hurà dan gayed agkaahà ha katarengan bisan ku madakel en sa nanistigus.
MAT.26.60	Su malugay-lugay amin daruwa ha 
MAT.26.61	minikagi, “Sayana ha etaw agkagasen din kun haini sa Timplu hu Dios ba duun hu tatulu ha aldaw agbalayen din dà.”
MAT.26.62	Dayun huminitindeg su tungkay labaw ha sinaligan hu paghalad daw insai si Jesus, “Inu sa makatubag nu taini ha sumbung dan ikaw?” 
MAT.26.63	Ba si Jesus hurà en magtubag.
MAT.26.63	Minikagi dà paman su tungkay labaw ha sinaligan hu paghalad, “Duun hu atubangan hu Dios ha bubuhay ipanumpà nu daw ikagiyi kay ku iyan kad ba su Misiyas ha Batà hu Dios.”
MAT.26.64	Tuminubag si Jesus, “Iyan ad en su inikagi nu. Ba ikagiyen ku inyu ha siak sa Batà hu Etaw maahà a asem inyu ha minuu a duun hu kawanan taena ha gamhanan ha Dios daw maahà a daan inyu ha makabulus diyà tayà ha gabunan.”
MAT.26.65	Su mapaliman haena hu tungkay labaw ha sinaligan hu paghalad pigyahà din su pinaksuy din ta tungkay napauk ha tagyanaen, “Hurà en kinahanglan ha amin pa manistigus ta napaliman taw en sa lalang din ha pigpasipalahan din gayed sa Dios. 
MAT.26.66	Inu man sa inyu ha henà-henà?”
MAT.26.66	Tuminubag sa mga etaw, “Angayan hayan ha silutan hu kamatayen.”
MAT.26.67	Dayun inileban dan sa weleng hi Jesus daw sinumbag dan. Sa duma miglaparu kandin 
MAT.26.68	daw minikagi, “Sikaw sa Misiyas, tagnai ku sin-u kanay sa miglaparu ikaw.”
MAT.26.69	Su tagpinuu si Pedro diyà ta lama amin bahi ha suluguen ha uminubay diyà ta kandin daw ikagiyi, “Iyan ka man diay duma hi Jesus ha taga-Galilea.”
MAT.26.70	Ba duun hu atubangan taena ha mga etaw miglimud si Pedro, “Harì ku agkatun-an ku inu sa tagsubayen nu.”
MAT.26.71	Dayun guminuwà si Pedro payanaen diyà ta pultahan. Amin lain en paman ha bahi ha nakaahà kandin daw minikagi duun hu mga etaw diyà, “Iyan haini duma hi Jesus ha taga-Nazareth.”
MAT.26.72	Ba si Pedro miglimud en paman daw nanumpà, kagi din, “Harì ku agkakilala ku sin-u hayana.”
MAT.26.73	Su malugay-lugay inikagiyan si Pedro ku mga etaw ha tagtiyadeg diyà, “Duma ka gayed tayaa ta agkatun-an ta duun hu inikagiyan nu.”
MAT.26.74	Nanumpà gayed si Pedro, kagi din, “Harì ku agkakilala ku sin-u hayana.”
MAT.26.74	Dayun tuminagauk sa manuk. 
MAT.26.75	Sagunà nahenhenaan hi Pedro sa inikagi hi Jesus kandin, “Ku harì pa managauk sa manuk katatulu kad en makaikagi ha harì a ikaw agkakilala.” Aman guminuwà si Pedro daw mag-agalaay.
MAT.27.1	Su maselem en sa alan ha mga labaw ha sinaligan hu paghalad daw sa mga magulang miglalang-lalang daw mig-uyun ha himatayan dan si Jesus. 
MAT.27.2	Aman binakus dan haena daw itugyan diyà ki Pilato ha gubirnadur.
MAT.27.3	Su matun-an hi Judas ha si Jesus hinukuman en hu kamatayen nakagbasul gayed haena hu paglimbung din. Aman luminikù duun hu mga labaw ha sinaligan hu paghalad daw mga magulang ta iglikù din ngaay haena sa katluan ha salapì 
MAT.27.4	daw minikagi, “Nakasalà a gayed ta piglimbungan ku sa etaw ha hurà din salà.”
MAT.27.4	Ba saena ha mga agalen tuminubag, “Hurà day en labet ta ikaw dà hayana ha kasamuk.”
MAT.27.5	Aman inlambeg hi Judas su salapì diyà ta Timplu daw awà diyà dayun mighiket.
MAT.27.6	Su matimù hu mga labaw ha sinaligan hu paghalad su salapì minikagi sidan, “Masupak taw sa Kasuguan ku saini ha salapì iugsak taw duun hu talaguay hu salapì dini ta Timplu ta saini imbayad en para hu paghimatay hu etaw.” 
MAT.27.7	Aman nauyunan dan ha saena ha salapì ipalit dan hu bugtà taena ha mamumuhat hu tadyaw ta agbuhaten ha panlebengà hu mga langyaw. 
MAT.27.8	Iyan haena hinengdan ha pigngaranan hu Bugtà ha Pigbayaran hu Langesa hangtud iman ha panahun. 
MAT.27.9	Aman natuman sa lalang hu Dios ha impaikagi din ki Jeremias sa prupita ha tagyanaen, “Tinimù dan su katluan ha salapì ta iyan haena nauyunan hu mga kaliwatan hi Israel 
MAT.27.10	daw impalit dan hu bugtà taena ha mamumuhat hu tadyaw.”
MAT.27.11	Su diyà en si Jesus ta atubangan ku gubirnadur ininsaan din si Jesus, “Iyan ka ba Harì hu mga Judio?”
MAT.27.11	Tuminubag si Jesus, “Iyan ad en su inikagi nu.”
MAT.27.12	Su magsumbung sa mga labaw ha sinaligan hu paghalad daw sa mga magulang diyà ki Pilato hurà en magtubag si Jesus. 
MAT.27.13	Dayun inikagiyan haena hi Pilato, “Harì nu ba agkapaliman sa alan ha mga sumbung dan mahitenged ikaw?” 
MAT.27.14	Ba hurà en gayed magtubag si Jesus aman su gubirnadur tungkay gayed nabeleng.
