MAT.1.2	Ibrahím waalʊ́rʊ 
MAT.5.25	A nyána naárʊ tɔ́m, caarɩ nyádɩ ɩnyɔ́ɔ́zɩ tɩ mɩ́lɛ́ɛ́nɩ́ mɩ́wɛ nɩ́bááwʊ‑daá nɛ́, na ɩ́kɔ́kɔ́nɩ iboná nya tɔm‑vʊʊráa‑jɔ́, bɛlɛ́ bɔkpɔ́ɔ nya becéle sɔ́ɔ́jawá bɔtɔ nya sáráka. 
MAT.5.26	Toovonúm gɛ ménveerím nya, a ńdɛfɛrɛtá hálɩ bɩkpɛdɩ́na fárám kegbiirinɔ́ɔ ńgɩ, bɛlɛ́ bɛdɛ́njɛḿ nya.
MAT.5.27	Mɩ́ɩ́nɩ́ɩ sɩsɩ bɔɔdɔ́ sɩsɩ: «nkacáa naárʊ ɖɛɛlʊ́ nyána yɩ ɩfɩ́nɩ». 
MAT.5.28	Amá mɔ́ɔ́ ménveerím mɩ́ɩ sɩsɩ: ɩrʊ́ weení waana naárʊ ɖɛɛlʊ́ ɩcɩ́ɩ́lɩ yɩ sɩsɩ iyuú yɩ ɩ́na yɩ bafɩ́nɩ nɛ́, ɩ́tɩ́lɩ́ sɩsɩ waayɩsɩná Ɩsɔ́ɔ iwenbiré‑daá. 
MAT.5.29	A bɩgɛ́ɛ nyaazɩ́rɛ kíɖíiwú wénÿelíi kʊ gɛ nyánlám alaháácɩ́, lɩzɩ́‑dɛ́ nlɔ bolíni, káma bɩjɔɔ́ sóńcí nbɛ́ɖɩ nyɛ́dɛ́ɛ ɖeelí na nyárɩ́ŋa nzʊ́ʊ nimíni‑daá. 
MAT.5.30	A ngʊ́ nyanʊ́ɩ́nɩ kíɖííwú wénÿelíi kʊ nyálám alaháácɩ́, cɛ yɩ nbɛ́ɖɩ bolíni, káma nbɛ́ɖɩ nyanʊ́ʊ́nɩ kʊ́ɖʊḿ cɔɔ́ sóńcí na nyárɩ́ŋa nzʊ́ʊ nimíni‑daá.
MAT.5.31	Bɔɔdɔ́tɔ́ḿ ɖʊɖɔ sɩsɩ a naárʊ weegízi ɩɖɛɛlʊ́, ícéle yɩ wasɩ́ɩ́ka kɩ́nwɩlɩ́ɩ sɩsɩ weegízi yɩ nɛ́. 
MAT.5.32	Mɔ́ɔ́ ménveerím mɩ́ɩ́ sɩsɩ weení ɩrɩ́ŋa weegízi ɩɖɛɛlʊ́ bɩdɛkɛ́ɛ́na sɩsɩ waalɩ́ɩ ɩwɔ́rɔ́ naárʊ ɩcáa yɩ nɛ́, waaɖʊná alʊ́ ɩmʊ́ wásangarɩ́tɩ a woobó ɩsáa naárʊ; ngʊ́ bɩlɛ́ ɖʊɖɔ gɛ weení wɔɔgbɔ́ɔ alʊ́ weení naárʊ weegízi yɩ nɛ́, waalá wásángarɩ́tɩ.
MAT.5.33	Mɩ́ɩ́dánɩ́ɩ ɖʊɖɔ sɩsɩ bɔɔdɔ́ ɖájáa‑jáanáa sɩsɩ: a ɩrʊ́ nyóóɖúúná Ɩsɔ́ɔ ɩzá‑daá sɩsɩ nyánlám wenbí nɛ́, asée nlá bɩ gɛ. 
MAT.5.34	Amá mɔ́ɔ́ ménveerím mɩ́ɩ́ sɩsɩ íkóɖuuná nabʊ́rʊ. Íkóɖuuná 
MAT.5.35	cáńfáná adɛ laadɔ́ɔ káma kɛgɛ́ɛ Ɩsɔ́ɔ‑dɛ́ɛ nʊvɔ́ yaazɩɩɖɛ́ gɛ, cáńfáná nɖuuná Yerusalɛ́m tɛ́ɛ́dɩ, káma tɩgɛ́ɛ Ɩsɔ́ɔ wúro kʊ́bɔnɩ́‑dɛ́ɛ tɛ́ɛ́dɩ gɛ. 
MAT.5.36	Ngʊ́ nkoɖuuná nyágʊjʊʊ́, káma ndánbɩ́ɩ́zɩ nlá nyagʊ́jʊʊ́‑daá nyɔká kʊ́ɖʊ́mɔ́ɔ ɩbɩ́sɩ kʊ́fʊ́lʊmɔ́ɔ yáá kɩ́kpɛdɔɔ́. 
MAT.5.37	Wenbí sɩ ɩlá nɛ́ gɛ sɩsɩ a bɔɔbɔ́ɔ́zɩ mɩ́ɩ́ tɔ́m, a mɩ́nyɩ tɩ, idísi sɩsɩ: Ɩɩ́n; a mɩ́ɩ́sɩ tɩ sɩsɩ: Aayɩ́. Wentí bónzuurí nɛ́ wánlɩɩnáa Sitáánɩ‑jɔ́ gɛ. 
MAT.5.38	Mɩ́ɩ́nɩ́ɩ sɩsɩ bɔɔdɔ́ sɩsɩ: "A ɩrʊ́ wɔɔyɔ́ nyáázɩ́rɛ, waazɩ́rɛ gɛ bɔ́nÿɔ́m bɛfɛ́rɛ; a wɛɛbɛlɩ́ nyégéle, bɛ́nbɛlɩ́ ɩdɛ́ɛ‑ńɖɛ." 
MAT.5.39	Amá mɔ́ɔ́ ménveerím mɩ́ɩ sɩsɩ: a ɩrʊ́ waalá mɩ́ɩ bidaavé, ɩ́kɛ́fɛrɛ yɩ. A ɩrʊ́ wɛɛjɛ́ nya kadaŋa nÿédéegbeluú kiɖíiwú‑rɔ, kɛɛzɩ kɩɩganáa njéle yɩ. 
MAT.5.40	A naárʊ sɩ iboná nya tɔ́m‑vʊʊrʊ́‑jɔ́ ibuuná nya tɔ́m na ɩkpɔ́ɔ nyɛ́dɛ́ɛ ɖaazíki, yele ɩkpɔ́ɔ bɩkpɛdɩ́na kpáyɩ. 
MAT.5.41	A naárʊ waagba nya ɖóóle sɩsɩ nzʊ́ʊ yɩ sʊʊ́tɩ nboná kadarásɩ nasɩ́lɛ, sʊʊ nboná nasɩ́náázá. 
MAT.5.42	Fa weení wánzʊlʊ́ʊ nya nɛ́, bɩka ngɩ́ weení ɩzɔɔlɛ́ɛ ngɩ́ yɩ nɛ́.
MAT.5.43	Mɩ́ɩ́nɩ́ɩ sɩsɩ bɔɔdɔ́ sɩsɩ: sɔɔlɩ nyɔ́rɔwʊ́ bɩka nlɩzɩ́ weení ɩdánjaa nya nɛ́ báɖáárɛ. 
MAT.5.44	Amá mɔ́ɔ́ ménveerím mɩ́ɩ́ sɩsɩ: ɩzɔ́ɔ́lɩ menbá badánjaa mɩ́ɩ́ nɛ́, bɩka ɩsʊ́lʊ wenbá bánváa mɩ́ɩ́ fúkúḿsi nɛ́ bɔrɔ, 
MAT.5.45	na ɩbɩ́sɩ toovonúm mɩ́jáa weení ɩwɛ ɩsɔ́ɔ́dáá nɛ́ ɩdɛ́ɛ bíya. Káma Ɩsɔ́ɔ waalá wɩ́sɩ gɛ sínlosí ɩráa‑vénáa na badaavé nɛ́ barɩ́ŋa, wénÿelíi tɛ́ɛ́wʊ wánnɩɩ́ ɩráa‑vénáa na badaavé nɛ́ bɛdɛ́ɛ fásɩ‑daá. 
MAT.5.46	A wenbá bɔzɔɔlɛ́ɛ mɩ́ɩ́ nɛ́ beriké gɛ mɩ́zɔɔlɛ́ɛ, kɩvɛrɛwʊ wenkí gɛ mɩ́ɖamáa Ɩsɔ́ɔ‑jɔ́? Bɩlɛ́ gɛ tikée mʊʊráa ɖʊɖɔ wánlám. 
MAT.5.47	A bɩgɛ́ɛ mígóobíya riké gɛ mɩ́nzɛɛ́, we gɛ maamááci mɩ́ɩ́lá? Bɩlɛ́ gɛ wenbá baasɩ Ɩsɔ́ɔ nɛ́ ɖʊɖɔ wánlám. 
MAT.5.48	Wenbí ńŋɩnáa mɩ́jáa weení ɩwɛ ɩsɔ́ɔ‑daá nɛ́ ɩbáázɩ ɩzɩɩzɛ́ɛ nɛ́, mɩ́nyɔ́ɔ́ ɖʊɖɔ ɩzɩ́ɩ́zɩ bɩlɛ́.
MAT.6.1	Ɩ́kalá mɩ́dɛ́ɛ aɖííni ɩráa‑daá sɩsɩ na balaakáarɩ ɩkábɩ́sɩ mɩ́rɔ́. Tɩ́fa mɩ́vɛ́yɩ́na kɩvɛrɛwʊ nakɩ́rɩ mɩ́jáa weení ɩwɛ 
MAT.6.2	A bɩgɛ́ɛ nyɔ́ɔ́ nyánváa kadanbʊrʊ́sɩ nabʊ́rʊ nkalá hálɩ ɩráa laakáárɩ ɩbɩ́sɩ nyɔ́rɔ́ ńŋɩnáa munáávikíwá wánlám 
MAT.6.3	Amá nyɔ́ɔ́, a sɩ nva kadanbʊrʊ́sɩ nabʊ́rʊ, nyánʊ́ʊ́nɩ nɩbɩɩwʊ́ ɩ́kátɩlɩ́ wenbí kíɖííwú waava nɛ́, 
MAT.6.4	na bɩlɔ́ɔ nyána weení nyáává yɩ nɛ́ mɩ́lɔ́wʊ́táá, na njaa weení wánnáa súmúú‑daá nɛ́, ɩfɛ́rɛ nya bɩdɛ́ɛ kɩvɛrɛwʊ.
MAT.6.5	A sɩ ɩsɛ́ɛ Ɩsɔ́ɔ, ɩ́kalá nyazɩ munáávikíwá wánlám nɛ́, bɛlɛ́ bángʊrʊ́ʊ gɛ bazɩ́ŋɛ́ɛ 
MAT.6.6	Amá nyɔ́ɔ́ a bɩgɛ́ɛ sɩ nzɛ́ɛ Ɩsɔ́ɔ, sʊʊ nyáɖaḿ‑daá ndɔ tará na nzɛ́ɛ Ɩsɔ́ɔ ńna súmúú‑daá, na njaa Ɩsɔ́ɔ weení ɩbɛɛ́na súmúú‑daá nɛ́, ɩfɛ́rɛ nya bɩdɛ́ɛ kɩvɛrɛwʊ.
MAT.6.7	A sɩ ɩsɛ́ɛ Ɩsɔ́ɔ, ɩ́kɔ́kpɔ́ɔ ŋmatɩrɛ tʊmm bɩdɛ́ndɛḿ bɩka mɩ́láána tɔ́m kʊ́ɖʊḿtɩ tɩvɛ́yɩ́na fɔ́ɔ́zɩrɛ nɛ́ busí ńŋɩnáa wenbá baasɩ Ɩsɔ́ɔ nɛ́ wánlám nɛ́. Bɛlɛ́ bɛdɛ́ɛ lomaazɛ́ gɛ sɩsɩ, asée ɩrʊ́ waaŋmátɩ bʊɖɔ́ɔ na Ɩsɔ́ɔ ɩmʊ ɩdɛ́ɛ sʊlʊ́ńdɩ. 
MAT.6.8	Ɩ́kamáázɩ wɛ, káma mɩ́jáa Ɩsɔ́ɔ nyɩ wenbí bɩjaarɛ́ɛ mɩ́ɩ nɛ́ naanɩ́ ɩbɔ́ɔ́zɩ yɩ. 
MAT.6.9	Ɩnɩ́ɩ nŋɩ́nɩ́ bɩmɔɔ́na ɩsɛ́ɛ Ɩsɔ́ɔ́dáá nɛ́:
MAT.6.9	Ɖájáa weení ɩwɛ ɩsɔ́ɔ‑daá nɛ́,
MAT.6.9	báyáa nyáyɩ́ɖɛ na ɖacɩrɩ‑cɩrɩ;
MAT.6.10	bála nyɔ́zɔɔlɩ́m adɛ laadɔ́ɔ‑rɔ ńŋɩnáa ɩsɔ́ɔ́dáá.
MAT.6.11	Fa ɖáa sinje wɩ́rɛ‑dɛ́ɛ kíɖíím.
MAT.6.12	Cɛ ɖáa ɖɛ́dɛ́ɛ yɩsɩ́tɩwá,
MAT.6.12	ńŋɩnáa ɖɛ́njɛ́m wenbá baayɩsɩná ɖáa nɛ́.
MAT.6.13	Nkeyéle ɖáa ɖɩsála ɩ́bɛ́rɛ‑dɛ́ɛ kɔdɔ́sɩ‑daá,
MAT.6.13	amá laná‑ɖáa bolíni na Sitáánɩ.
MAT.6.13	[Káma nyanaa kowúrɔ́ɔ na yíko rɩ́ŋa, na 
MAT.6.14	Bɩlɛ́ nɛ́, a bɩgɛ́ɛ mɩ́njɛ́m mɩ́ranáa bɛdɛ́ɛ yɩsɩ́tɩ, mɩ́jáa weení ɩwɛ ɩsɔ́ɔ́dáá nɛ́ wɛ́njɛ́m mɩ́ɩ́ ɖʊɖɔ, 
MAT.6.15	amá a mɩ́dɛ́njɛḿ mɩ́ránáa bɛdɛ́ɛ yɩsɩ́tɩ, mɩ́jáa ɖʊɖɔ tɛ́njɛḿ mɩ́ɩ́ mɩ́dɛ́ɛ‑ńdɩ.
MAT.6.16	A bɩgɛ́ɛ sɩsɩ mɩ́vɔ́kɩná, ɩ́kɔ́cɔ́ɔ cʊ́ḿḿ ńŋɩnáa munáávikíwá wánlám nɛ́. Bɛlɛ́ bɔ́nvɔrɔ́sɩ baazá‑daá gɛ bɩka bɔdɔ́nnyɔɔzɩ badɩ na báa weení ɩna sɩsɩ bɔvɔ́kɩná. Ménveerím mɩ́ɩ́ toovonúm sɩsɩ bɛlɛ́ bánmʊ́ʊ bɛdɛ́ɛ kɩvɛrɛwʊ nbɩlɛ́. 
MAT.6.17	Amá nyɔ́ɔ́, a bɩgɛ́ɛ sɩsɩ nyɔ́vɔ́kɩná, kɔ nyáázá bɩka nzaárɩ nyágʊjʊʊ́ tulaarɩ́, 
MAT.6.18	na baaganáa ɩ́kátɩlɩ́ sɩsɩ nyɔ́vɔ́kɩná; amá yele bɩlɔ́ɔ nyána Ɩsɔ́ɔ mɩ́lɔ́wʊ́táá na bɩka ɩmʊ́ weení wánnáa súmúú‑daá nɛ́, ɩfɛ́rɛ nya bɩdɛ́ɛ kɩvɛrɛwʊ.
MAT.6.19	Ɩ́kácáa ɖɔ́ɔ́lɛ ɩmáárɩ adɛ laadɔ́ɔ‑rɔɔzɩ́ lénlé sizé na korɔ́ɔ wánbɩɩzɩ́ bʊfɔrɔ́sɩ ɖɛ yáá ŋmɩɩláa wánbɩɩzɩ́ baŋmɩ́ɩ́lɩ ɖɛ nɛ́. 
MAT.6.20	Ɩjáa ɖɔ́ɔ́lɛ ɩmáárɩ 
MAT.6.21	Káma lénlé nyɛ́dɛ́ɛ ɖɔ́ɔ́lɛ wɛ nɛ́, ńna dʊɖɔ gɛ nyálaakáarɩ wɛ.
MAT.6.22	Ɩzɩ́rɛ gɛ tɔnʊʊ́‑dɛ́ɛ fɩtɩ́la. A nyáázɩ́rɛ na ɖɩdɩ, bɩ́nnáa nyárɩ́ŋa gɛ kazɔ́ɔ riké. 
MAT.6.23	Amá a nyáázɩ́rɛ fɛ́yɩ́ ɖéyí‑ɖéyí, nyárɩ́ŋa nyɔ́wɛ temenuú‑daá gɛ. A ngʊ́ bɩlɛ́ gɛ ɖɛnyɛm kɩwɛ nyɔ́rɔ́ nɛ́ kɛ́ɛ temenuú, yaatá bɩ́nbá bɩnyɔ́ɔ́zɩ bɩlá temeenuú gɛ.
MAT.6.24	Naárʊ fɛ́yɩ́ wánbɩɩzɩ́ ɩlá kʊ́bɔnáa nɔwɔ́lɛ bɔwʊtá: wɔ́nzɔɔlɩ́ kʊ́ɖʊḿ, ikízi lííní; yáá wánmalanáa ɩdɩ kʊ́ɖʊḿ bɩka ɩkpɛɛná lííní. Mɩ́dánbɩ́ɩ́zɩ ɩlá Ɩsɔ́ɔ na liideé bɔwʊtá.
MAT.6.25	«Bʊrɔɔzɩ́ gɛ mɔ́ɔ́dɔ́ mɩ́ɩ́ sɩsɩ ɩ́káyɩ́tɩ mɩ́dɩ kíɖíím sɩ iɖi na ɩcɔ́ɔ weezuú‑daá nɛ́, na kúsúúdi‑rɔ. Weezuú waagɩ́lɩ kíɖíím bɩka tɔnʊʊ́ ɩkɩ́lɩ kúsúúdi, yáá bɩdɛkɛ́ɛ bɩlɛ́? 
MAT.6.26	Ɩbɛɛmná siḿsi sɩ́ngʊrʊ́ʊ nɛ́: sidónɖuu, sɩdángʊḿ; ngʊ́ sɩdánjaa kíɖíím sɩmáárɩ kpééni‑daá, amá mɩ́jáa weení ɩwɛ 
MAT.6.27	Mɩ́dáá weení wánbɩɩzɩ kʊ ɩdɛ́ɛ ɩdɩ yɩtɩ́‑daá itúúzi iweezuú?
MAT.6.28	Tɔ́ɔ ngbaalá gɛ mɩ́nÿɩtɩ́ mɩ́dɩ kúsúúdi‑rɔɔzɩ́? Ɩbɛɛmná nyɩ́ɩ́dɩ na tɩdɛ́ɛ fɛ́ɛ́dɩ́tɩ‑dɛ́ɛ kazɔ́ɔ, tɩdánlaḿ tɩmɛ́rɛ, tɩdánlʊʊ, 
MAT.6.29	amá wúro Sulemáána tɩtɩŋa na ɩdɛ́ɛ 
MAT.6.30	A Ɩsɔ́ɔ wɔ́nzɔ́ɔ nyɩ́ɩ́dɩ tʊwɛ sinje bɩka ceré sɩ bɔsɔ́ tɩ nimíni nɛ́ lɩ́m ńŋɩnáa ɖɔ́, ɩdɔ́nzɔ́ɔ mɩ́ɩ́ bɩkɩ́lɩ bɩlɛ́? Yaraɖá bumísi‑dɩnáa mɩ́ɩ́. 
MAT.6.31	Bɩlɛ́ nɛ́ ɩ́káyɩ́tɩ mɩ́dɩ sɩsɩ: «We gɛ ɖénɖíi. We gɛ ɖɔ́nnyɔɔ́ yáá we gɛ ɖɔ́nzuú.» 
MAT.6.32	Wenbá baasɩ Ɩsɔ́ɔ nɛ́ mɔɔ́na kʊ balá bɩlɛ́. Mɩ́nyɔ́ɔ mɩ́jáa Ɩsɔ́ɔ nyɩ wenbí bɩjɔɔ́ mɩ́ɩ́ takáásɩ́ nɛ́. 
MAT.6.33	Ɩjáa kaɖaa‑dɛ́ɛ, Ɩsɔ́ɔ‑dɛ́ɛ kowúrɔ́ɔ na wenbí bɩzɩɩzɛ́ɛ yɩ nɛ́. Bɩɩga wenbí rɩ́ŋa nɛ́, wánváa mɩ́ɩ́ bɩ. 
MAT.6.34	Bɩlɛ́ nɛ́, ɩ́káyɩ́tɩ mɩ́dɩ ceré‑rɔɔzɩ́ sinje. A ceré‑dɛ́ɛ ńbɩ wɔɔgɔ́nɩ, ɩrʊ́ wánnáa wenbí sɩ ɩkpɔɔná nɛ́. Báa wɩ́rɛ wénɖé na ɖɩdɛ́ɛ ɖɩwɩɩrɛ gɛ.
MAT.7.1	«Ɩ́káfʊʊná naárʊ, na badánvʊʊná mɩ́ɩ́; 
MAT.7.2	káma wenbí mɩ́ɩ́vʊ́ʊ́ná mɩ́ránáa nɛ́ gɛ sɩ bafʊʊná mɩ́ɩ́, bɩka kɩ́máazʊʊ́ wenkí mɩ́ɩ́máázɩ́ná mɩ́ránáa nɛ́ gɛ sɩ bamaazɩná mɩ́ɩ́. 
MAT.7.3	Ngbaalá gɛ nyɛ́bɛɛ́na keyiká kɔwɛ nyɔ́rɔ́wʊ́ ɩzɩ́rɛ‑daá nɛ́ bɩka ńdánnáa ɖaagbetumuú kʊwɛ nyɛ́dɛ́ɛ‑ńɖɛ‑daá nɛ́? 
MAT.7.4	Nŋɩ́nɩ́ gɛ nyánbɩɩzɩ́ ndɔ́ ngoobú sɩsɩ: «yele malɩzɩ́ keyiká kɔwɛ nyáázɩ́rɛ‑daá nɛ́,» bɩka ɖaagbetumuú gɛ nyɛ́dɛ́ɛ‑ńɖɛ‑daá. 
MAT.7.5	Munáávikí, lɩzɩ́ ɖaagbetumuú nyáázɩ́rɛ‑daá naanɩ́ na bʊcɔ nya nna kazɔ́ɔ nlɩzɩ́ keyiká kɔwɛ ngoobú ɩzɩ́rɛ‑daá nɛ́.
MAT.7.6	Ɩ́kɔkpɔ́ɔ wenbí baalɩzɩ́ bɩ basɩ́ɩ Ɩsɔ́ɔ nɛ́ ɩfa fáázɩ; Ɩ́kɔkpɔ́ɔ kejísi ɩlɔ afawá na tɩ́kɔ́kɔ́nɩ tɩnʊ́m sɩ bɩka fáázɩ ɩfaná mɩ́ɩ́ ɩzá sɩnyásɩ mɩ́ɩ́.»
MAT.7.7	«Ɩbɔ́ɔ́zɩ, bánváa mɩ́ɩ́; ɩjáa mínÿuú; ɩgɔ́tɩ bándʊlʊ́ʊ mɩ́ɩ́ tará. 
MAT.7.8	Káma weení ɩrɩ́ŋa wɔ́nbɔɔzɩ́ nɛ́ bánváa yɩ, weení wánjáádɩ nɛ́ wónÿuú bɩka bándʊlʊ́ʊ weení wɔ́ngɔtɩ́ nɛ́ tará. 
MAT.7.9	Mɩ́dáá naárʊ wɛ a ibú wɔɔbɔ́ɔ́zɩ yɩ kpɔ́nɔ́, wánváa yɩ bʊ́ʊ́rɛ? 
MAT.7.10	Yáá a wɔɔbɔ́ɔ́zɩ yɩ tińɖe, wángbáa ɖoḿ icéle yɩ? 
MAT.7.11	Na bɩrɩ́ŋa mɩ́dáávé nɛ́, mɩ́nyɩ mɩ́nváa míbíya wenbí bɩjɔɔ́ɔ kazɔ́ɔ nɛ́. Bɩ́nlám nŋɩ́nɩ́ na mɩ́jáa weení ɩwɛ 
MAT.7.12	«Ɩlá mɩ́ránáa wenbí rɩ́ŋa mɩ́zɔɔlɛ́ɛ sɩsɩ bála mɩ́ɩ́ nɛ́, káma bɩlɛ́ gɛ 
MAT.7.13	Ɩzʊʊná ɖaḿ wɔnɔɔ́ kadawála nɛ́, káma ɖaḿ wɔnɔɔ́ kaawála nɛ́, na nɩ́bááwʊ kɩɩwála kʊrɔɔzɩ́ fɛ́yɩ́ káálɛ nʊŋɛ́ nɛ́ wɛ́nɖɛɛ́ nimíni‑daá gɛ. Ngɛ kɩlɛ́ gɛ ɩráa ɖabata wánmʊnáa. 
MAT.7.14	Amá ɖaḿ wɔnɔɔ́ kadawála nɛ́, na nɩ́bááwʊ kɩdawála kɩrɔɔzɩ́ cɔɔ́ɔ káálɛ nʊŋɛ́ nɛ́, wɛ́nɖɛɛ́ weezuú‑daá gɛ. Ɩráa cʊ́kɔ wɔ́ngbɔɔná kʊ kɩlɛ́.»
MAT.7.15	«Iguná laakáarɩ na 
MAT.7.16	Balakásɩ gɛ mɩ́ndɩlɩ́ɩna wɛ, káma bɔdɔ́ngɔrɩ́ furúu bíya sɔzɔ́ɔ́zɩ‑daá, yáá kɩjɩcɩ́lʊ́ʊ bíya bʊvʊ́m‑daá. 
MAT.7.17	Tɩɩwʊ́ kazɔ́ɔ ńgɩ wánɖʊ́ʊ bíya kazɔ́ɔ ńba gɛ, bɩka tɩɩwʊ́ kidaavé nɛ́ ɩɖʊ bíya badaavé nɛ́. 
MAT.7.18	Tɩɩwʊ́ kazɔ́ɔ ngɩ tánbɩɩzɩ kɩɖʊ bíya badaavé nɛ́, yáá tɩɩwʊ́ kidaavé nɛ́ ɩɖʊ bíya kazɔ́ɔ ńba. 
MAT.7.19	Tɩɩwʊ́ wenkí rɩ́ŋa kɩdánɖʊ́ʊ bíya kazɔ́ɔ ńba nɛ́, bɛ́nbɛlíɩ kɩ gɛ baɖʊ nimíni. 
MAT.7.20	Bɩlɛ́ nɛ́ anɖébiwá bʊbɔtɩnáa, balakásɩ gɛ mɩ́ndɩlɩ́ɩna wɛ.»
MAT.7.21	«Bɩdɛkɛ́ɛ wenbá rɩ́ŋa bánÿaá ma sɩsɩ Ɖádʊ́ʊ, Ɖádʊ́ʊ nɛ́ sɩ basʊʊná Ɩsɔ́ɔ‑dɛ́ɛ 
MAT.7.22	Tɔ́m fʊ́ʊ́dɩ wɩ́rɛ wándalɩ́ɩ nɛ́, ɖabata wɔ́ndɔ́m ma sɩsɩ: «Ɖádʊ́ʊ, mányɩ sɩsɩ na nyáyɩ́ɖɛ‑daá gɛ ɖááŋmátɩ ɩráa Ɩsɔ́ɔ‑dɛ́ɛ tɔ́m, ɖɩɖɔ́ɔ zííniwá ya. Na nyáyɩ́ɖɛ‑daá, ɖáálá maamááciwá ɖabata.» 
MAT.7.23	Na mobúsi wɛ sɩsɩ: «Kɛtɛngɛrɛ mádátɩ́lɩ́ mɩ́ɩ́; ɩlaná ma bolíni, mɩ́nyɔ́ɔ́ wenbá mɩ́nlám bidaavé nɛ́.»
MAT.7.24	«Ɩrʊ́ weení waanɩ́ɩ tɔ́m mánŋmatɩ́ mɩ́ɩ́ tɩ ɖɔ́ nɛ́, ngɛ woovu ɩlá wenbí tɩ́nbɔɔzɩ́ nɛ́, cɔɔ́ɔ gɛ nyazɩ ɩrʊ́ áséńsi‑dʊ́ʊ weení waama ɩɖɔɔ́ bɩ́tángbalʊʊ́‑rɔ nɛ́. 
MAT.7.25	Tɛ́ɛ́wʊ waanɩ́ɩ búúzi isu sɩyɛlɩ́, fefelimá kʊ́bɔná ɩfɛ́tɩ na ɖóni bɩrɩ́ŋa bɩkʊrʊ́na ɖɔɔ́ kɛḿ; amá ɖɔɔ́ kɛḿ kadasála, káma bɩ́tángbalʊʊ́‑rɔ gɛ baagáa kɛdɛ́ɛ adɛ‑bɔ́. 
MAT.7.26	Amá ɩrʊ́ weeníɩ waanɩ́ɩ tɔ́m mánŋmatɩ́ mɩ́ɩ́ tɩ ɖɔ́ nɛ́, ngɛ ɩdalá wenbí tɩ́nbɔɔzɩ́ nɛ́ cɔɔ́ɔ gɛ nyazɩ ɩrʊ́ kʊjʊʊ́ fɛ́yɩ́‑dʊ́ʊ weení waama ɩɖɔɔ́ kanyɩ́ŋa‑daá nɛ́. 
MAT.7.27	Tɛ́ɛ́wʊ waanɩ́ɩ, búúzi isu sɩyɛlɩ́, fefelimá kʊ́bɔná ɩfɛ́tɩ, ngɛ ɖɔɔ́ waazála konúúdi.»
MAT.7.28	Yeésu waaŋmátɩ́ tɔ́mwá tɩḿ bɩtɛ́ nɛ́, ngɛ ɩdɛ́ɛ wɩlɩ́ɩ waalá zamɔ́ɔ bítí. 
MAT.7.29	Ɩdánwɩlɩ́ nyazɩ bɛdɛ́ɛ 
MAT.8.1	Yeésu weedí bʊ́ʊ nɛ́, zamɔ́ɔ kʊ́bɔńgɩ woovu yɩ. 
MAT.8.2	Ńna gɛ 
MAT.8.3	Ngɛ Yeésu weedekiná yɩ na ɩnʊ́ʊ́nɩ ɩtɔ́ yɩ sɩsɩ: «Méédísi, waa nbɩ́sɩ ɖacɩrɩ‑cɩrɩ‑dʊ́ʊ.» Ńna‑ńna gɛ ɩrʊ́ ceení‑dɛ́ɛ cɛnɩ́tɩ waawáa. 
MAT.8.4	Ngɛ Yeésu wɔɔdɔ́ yɩ sɩsɩ: «welesi nnɩ́ɩ ma kazɔ́ɔ. Nkefééri naárʊ wenbí bɩɩlá nɛ́. Amá bo 
MAT.8.5	Yeésu sɩ ɩsʊ́ʊ Kapɛrnawúm nɛ́, ngɛ Róóma ɩsɔ́ɔja kʊ́bɔnɩ́ naárʊ woogódúu ɩjɔ́ ɩtɔ́ yɩ sɩsɩ: 
MAT.8.6	«Kʊ́bɔnɩ́, mɛ́dɛ́ɛ tɩmɛ́‑lanɖʊ́ lewáa ɖaána biilí yɩ ɩbá wɛ́nÿɛlɛ́m.» 
MAT.8.7	Ngɛ yeésu woobúsi yɩ sɩsɩ: «Mónboɖé mangáwáázɩ yɩ.» 
MAT.8.8	Ngɛ sɔ́ɔ́ja kʊ́bɔnɩ́ woobúsi yɩ sɩsɩ: «Kʊ́bɔnɩ́, mádátála nzʊ́ʊ máɖáána‑daá, amá ŋmatɩ tɔ́m‑bú kʊ́ɖʊḿ, mɛ́dɛ́ɛ tɩmɛ́‑lanɖʊ́ wánwaá. 
MAT.8.9	Mádɩ́tɩŋa mɔ́wɛná mɛ́dɛ́ɛ kʊ́bɔnáa, bɩka mɔ́wɛná sɔ́ɔ́jawá mɛ́dɛ́ɛ́zɩ́ mɛ́dɛ́ɛ tɩmɛ́rɛ‑daá. A mɔ́ɔ́dɔ́ mɛ́dɛ́ɛ yoḿ sɩsɩ: ɖɛɛ, wɛ́nɖɛɛ́ gɛ, a mááyáa weení nɛ́, wɔ́ngɔnɩ́ gɛ, a mɔ́ɔ́dɔ́ naárʊ sɩsɩ la ɖɔ́, wánlám gɛ.» 
MAT.8.10	Yeésu waaníɩ ɩrʊ́ ceení‑dɛ́ɛ ŋmatɩrɛ nɛ́, ngɛ bɩɩlá yɩ mááɖé ɩtɔ́ wenbá bovóó yɩ nɛ́ sɩsɩ: «Toovonúm gɛ ménveerím mɩ́ɩ́, mádánááta toovonúm‑fáa ńŋɩnáa ɩrʊ́ ceení‑dɛ́ɛ ńgɩ taká Israyɛ́ɛlɩ bíya‑daá. 
