GEN.1.1	Pakuyamba Mulungu adalenga dzulu napantsi. 
GEN.26.4	Nin'zawandisa m'badwe wako kulingana nanyenyezi zakudzulu, nin'zapeleka kum'badwe wako madziko yentse. M'badwe wako un'zachitisa kuti madzinza yentse yapadziko yadalisiwe, 
GEN.26.5	pakuti Abhurahamu akhatetekela fala langu, achiteyeza bzandikhamuwuza kuti achite, nakuchengeta mitemo yangu.”
GEN.26.6	Nakutenepo Isaki adazakhala mu Gerari. 
GEN.26.7	Wanthu wamudziko limwelo paadam'bvunza nabzankazi wake iye adati, “Ninana wangu.” Iye alibe kufuna kuti bzidziwike, kuti akhali nkazi wake, pakuti akhagopa kuti angamuphe achitola Rabheka, pakuti akhadakoma nkhope kwene-kwene. 
GEN.26.8	Isaki paakhali kumweko kwanthawe itali, Abhimeleki mambo waa Filistia adanyangana napazhanela, nkuwona Isaki achiphata-phata nkazi wake Rabheka. 
GEN.26.9	Pamwepo Abhimeleki adachemelesa Isaki nkuti kwayiye, “Mangwesa uyu ninkazi wako! Thangwe lanyi ukhalewa kuti ninana wako?”
GEN.26.9	Isaki adati, “Ndikhagopa kuphewa ndipo pandidazati ninana wangu.”
GEN.26.10	Abhimeleki adati, “Thangwe lanyi kuchita bzatenepo kwayise? Ko ninga mwamuna munango akhadagona nankazi wako, ukhachitisa kuti ise tikhale namulandu ukulu.” 
GEN.26.11	Nakutenepo Abhimeleki adachenjeza wanthu wentse, iye adati, “Munthu amphata-phata mwamuna uyu panango nkazi wake am'phewa.”
GEN.26.12	Isaki adabzala mbewu zake mudziko limwelo, mugole limwelo adakolola kadapetewa kadzana pakuti Chawuta adamudalisa. 
GEN.26.13	Mwamunayo adakhupuka kwene-kwene, adapitiliza kusumukila mpaka adazakhala wachuma. 
GEN.26.14	Akhana bzifuwo bzake bzizinji, akhana ng'ombe namabila naalanda azinji bzidazachitisa kuti a Filistia ayambe kumuchitila nchanje. 
GEN.26.15	Tsapano a Filistia adafuchila nadongo michela yentse idafukuliwa naalanda waapayi wake, muntsiku za Abhurahamu apayi wake.
GEN.26.16	Abhimeleki adati kwa Isaki, “Chokani muno, pakuti mwawa namphamvu kuposa ise.” 
GEN.26.17	Nakutenepo Isaki adachoka kumweko, achikamanga matenti yake muchigowa cha Gerari, kwaadakakhala. 
GEN.26.18	Isaki adafukula pomwe michela ikhadafukuliwa muntsiku zaapayi wake Abhurahamu, pakuti Abhurahamu paadafa, a Filistia adafuchila michela imweyo. Michelayo adazayipasa madzina yakhadambapelekewa naapayi wake.
GEN.26.19	Koma alanda wa Isaki paadachela n'chela muchigowa, n'chela umwewo ukhamala lini madzi. 
GEN.26.20	Anyakabusa wamu Gerari adayamba kushupana naanyakabusa wa Isaki, iwo akhati, “Madzi aya niyathu.” Isaki adazapasa n'chelawo dzina lakuti, “Kushupana.”
GEN.26.21	Tsapano alanda wa Isaki adazachela pomwe unango n'chela, koma adayamba pomwe kushupana naanyakabusa wamu Gerari pan'chela umwewo. N'chelawo Isaki adazawupasa dzina lakuti, “Chizondo.” 
GEN.26.22	Isaki adazachoka pamwepo achikachela unango n'chela, pan'chela umwewo alibe kuzashupana. Adazawupasa dzina lakuti, Rehobhoti, bzichilewa kuti, “Ntetete,” adati, “Chawuta watipasa mbuto ikulu kuti tiwande.” 
GEN.26.23	Tsapano Isaki adazachoka pamwepo nkuyenda ku Bheeri-shebha. 
GEN.26.24	Chawuta adabziwonesa kwayiye usiku umwewo, iye adati, “Ndine Mulungu waapayi wako Abhurahamu, leka kugopa pakuti ine ndikukutsogolela. Nin'zakudalisa, ndichizachita kuti m'badwe wako uwande nathangwe lamulanda wangu Abhurahamu.” 
GEN.26.25	Nakutenepo iye adamanga mbuto yakupelekela ntsembe pamwepo, nkupemphela Chawuta. Adazika tenti yake pamwepo, alanda wake nkuchela n'chela.
GEN.26.26	Pamwepo Abhimeleki namanduna yake Ahuzati na Pikoli nkulu wankhondo yake, adachoka ku Gerari, nkuyenda kwa Isaki. 
GEN.26.27	Isaki adati kwayiwo, “Mwabwelelanyi kwayine? Imwe muchidziwa kuti munin'zonda, pomwe mudandithamangisa kwanu?”
GEN.26.28	Iwo adati, “Ise tawonelatu kuti Chawuta ana iwe, tsapano ngapakhale lumbilo pakati payiwe nayise, ngatichiteni chibvano nayimwe, 
GEN.26.29	kuti iwe un'zachita lini chakuyipa kwayise, ninga bzatidachita kuleka kukuphata-phata, kunja kwabzabwino bzokha-bzoka, tidakuyendesa mwabwino. Tsapano ndiwe wakudalisiwa na Chawuta.” 
GEN.26.30	Nakutenepo Isaki adaachitila feshita, adadya nakumwa. 
GEN.26.31	Machibese-bese adachita chibvano chawo ali awili, Isaki adaapelekeza iwo nkuyenda mwabwino. 
GEN.26.32	Ntsiku ibodzi-bodziyo alanda wa Isaki adafika kwayiye achimuwuza nabzan'chela waadachela achiti, “Taphata madzi.” 
GEN.26.33	Isaki adapasa dzina n'chela umwewo lakuti, “Shibha.” Nakutenepo dzina laguta limwelo lin'chemelewa kuti Bheeri-shebha nalelo.
GEN.26.34	Esawu paakhana magole makumi manayi (40), adaloola, Judhisi mwana wa Bheeri mu Hiti na Bhasemati mwana wa Eloni mu Hiti, 
GEN.26.35	akaziwo adawumisila Isaki na Rabheka.
GEN.27.1	Isaki paadakalamba maso yake yadachita khungu, nakutenepo akhawona lini, adachemela Esau mwana wake wakuyamba, adati kwayiye, “Mwanangu.” Iye adati, “Ndili pano.”
GEN.27.2	Isaki adati, “Ine ndakalamba, nindziwa lini ntsiku yakufa kwangu. 
GEN.27.3	Tsapano iwe utakule bzombo bzako bzakusodzesa, chola chamisewe nawutati, yenda n'thengo ukandiphele nyama. 
GEN.27.4	Undiphikile chakudya chabwino chaninfunisisa, undibwelesele ndidye ndichizakudalisa ndinati ndafa.”
GEN.27.5	Tsapano Rabheka akhatetekela Isaki paakhalewa-lewa namwana wake Esau. Nakutenepo Esau paadayenda n'thengo kasodza nyama yan'thengo kuti abwele nayo, 
GEN.27.6	Rabheka adati kwamwana wake Jakobho, “Ndabva apayi wako achilewa-lewa nankulu wako Esau, achimuwuza kuti, 
GEN.27.7	‘Ndibweleseleko nyama yan'thengo undiphikile chakudya chabwino, ndikadya ndichizakudalisa patsogolo pa Chawuta ndinati ndafa.’ 
GEN.27.8	Tsapano mwanangu, unditetekele bzandikukuwuza kuti uchite. 
GEN.27.9	Yenda kuthanga undibwelesele tuwana twambuzi tuwili twakunenepa, ndizaphikile apayi wako chakudya chabwino chaanfunisisa. 
GEN.27.10	Iwe uchizayenda nacho kwaapayi wako, akadya achizakudalisa anati afa.” 
GEN.27.11	Koma Jakobho adati kwaamayi wake Rabheka, “Nkulu wangu Esau ana ukuse thupi lake lentse, koma ine ndilibe ukuse. 
GEN.27.12	Ko peno apayi an'zandiphata, achizadziwa kuti ndikuwanamiza, an'zanditembelela lini pana kuti andidalise.” 
GEN.27.13	Koma amayi wake adati, “Mwanangu, tembelelo limwelo ngalibwele kwayine, iwe yenda ukachite bzandakuwuza.” 
GEN.27.14	Nakutenepo Jakobho adayenda katakula tumbuzi, achitupeleka kwaamayi wake. Amayi wake adaphika chakudya chabwino chaakhafunisisa apayi wake. 
GEN.27.15	Pamwepo Rabheka adatola bzakubvala bzabwino bza Esau mwana wake nkulu, bzaakhanabzo munyumba mwake, nkubzibvadzika Jakobho, mwana wake mung'ono. 
GEN.27.16	Adam'bvadzika makanda yatumbuzito m'manja nan'khose mwake. 
GEN.27.17	Rabheka adatola chakudya chaakhadaphika nazingwa achibzipasa Jakobho. 
GEN.27.18	Jakobho adayenda nacho kwaapayi wake, iye adati, “Apayi.” Iwo adati, “Ndiwe yani?”
GEN.27.19	Jakobho adati kwaapayi wake, “Ndine Esau mwana wanu wakuyamba. Ndachita bzamwalewa, khalani mudye nyama yan'thengo yamunfunisisa, mukadya mundidalise.”
GEN.27.20	Koma Isaki adati kwamwana wake, “Wakulumiza tani kuyiwona nyama imweyo mwanangu?” Iye adati, “Pakuti Chawuta Mulungu wanu ndiye wanditsogolela.” 
GEN.27.21	Tsapano Isaki adati kwa Jakobho, “Fika pafupi ndiphate thupi lako ndibve kuti chadidi ndiwe mwana wangu Esau panango nee.” 
GEN.27.22	Nakutenepo Jakobho adafendela pafupi naapayi wake. Iwo adam'phata thupi lake nkuti, “Fala likubveka kuti ndiwe Jakobho, koma m'manja mukubveka kuti ndiwe Esau.” 
GEN.27.23	Isaki alibe kuzadziwa kuti ni Jakobho pakuti m'manja mwake mukhana ukuse ninga mwankulu wake Esau. Nakutenepo Isaki adadalisa Jakobho. 
GEN.27.24	Isaki adati, “Ndiwe chadidi mwana wangu Esau?” Jakobho adati, “Ndine.”
GEN.27.25	Isaki adati, “Bwela nayo kwayine kuti ndidye nyama yan'thengo yamwana wangu, ndikudalise.” Jakobho adapeleka nyama imweyo iye nkudya, achiwapasa vinyu iwo nkumwa. 
GEN.27.26	Pamwepo apayi wake adati kwayiye, “Fika pafupi mwanangu undipsopsode.” 
GEN.27.27	Jakobho adafendela pafupi achiwapsoda. Isaki paadabva kununkhila kwabzakubvala bzake, adamudalisa. Koma iye adati,
GEN.27.27	“Kununkhila kwamwana wangu ninga,
GEN.27.27	kudandolingana nathengo lidadalisiwa na Chawuta.
GEN.27.28	Mulungu ngaakupase maweto yakudzulu,
GEN.27.28	akulise mbewu zako, akupase chakudya chizinji navinyu.
GEN.27.29	Wanthu ngaakutumikile,
GEN.27.29	mishowo mizinji ikukotamile.
GEN.27.29	Ukhale ntongi waazimano wako,
GEN.27.29	wana waamayi wako akukotamile,
GEN.27.29	Ngaatembelelewe awo ankutembelela,
GEN.27.29	ngaadalisiwe wentse ankudalisa!”
GEN.27.30	Isaki paadandoti malizeni kudalisa Jakobho, Jakobho paadandoti chokeni patsogolo paapayi wake, nkulu wake Esau adafika achichoka kasodza. 
GEN.27.31	Esau adaphikambo chakudya chabwino kwene-kwene achikayipeleka kwaapayi wake. Iye adati kwaapayi wake, “Lamukani mudye nyama yan'thengo yamwana wanu, kuti mundidalise.”
GEN.27.32	Koma apayi wake adati, “Ndiwe yani?”
GEN.27.32	Iye adati, “Ndine Esau mwana wanu wakuyamba.”
GEN.27.33	Isaki adayamba kutetemela kwene-kwene nkuti, “Ko mbani wasodza nyama yan'thengo yandadya iwe unati wabwela, ndichimudalisa? Ndiye an'zawa wakudalisiwa.”
GEN.27.34	Esau paadabva mafala yaapayi wake adalila, kwakushupika kwene-kwene, adati kwaapayi wake, “Apayi ndidalisemboni!” 
GEN.27.35	Koma Isaki adati, “M'bale wako wabwela achindinamiza ndiye watola madaliso yako.” 
GEN.27.36	Esau adati, “Ko sindibzo bzidachitisa kuti apasiwe dzina lakuti Jakobho? Tsapano aka kawa kachiwili kundinamiza. Pakuyamba adanditolela ukulu wangu, lelo uno wanditolela madaliso yangu.”
GEN.27.37	Isaki adati kwa Esau, “Ndatomuchita mbuya wako, abale wake wentse achawa alanda wake, ndamukhupusa nachakudya navinyu. Pachalibe chaningachite kwayiwe mwanangu.” 
GEN.27.38	Esau adati kwaapayi wake, “Ko madaliso yamweyo ndiyo yokha yamukhanayo? Ndidalisenimbo apayi!” Esawu adalila bzikhabvesa ntsisi.
GEN.27.39	Isaki adati kwayiye,
GEN.27.39	“Minda yako in'zachosa lini chinthu,
GEN.27.39	maweto yakudzulu yan'zagwa lini m'minda mwako.
GEN.27.40	Umoyo wako wentse un'zawa wamadipa,
GEN.27.40	un'zatumikila mung'ono wako;
GEN.27.40	pawun'zatsudzuka,
GEN.27.40	un'zachosa joko lake kuchoka nkhosi mwako.”
GEN.27.41	Esau adazonda Jakobho nathangwe lamadaliso yaadapasiwa naapayi wake. Koma Esau chamuntima mwake adati, “Ntsiku zakulila apayi wangu zawa pafupi. Nakutenepo m'bale wangu Jakobho nin'zamupha.”
GEN.27.42	Koma Rabheka paadabva bzikhakumbukiwa na Esau mwana wake nkulu, adachemela Jakobho mwana wake mung'ono, nkuti kwayiye, “Nkulu wako Esau anfuna kubzinyamaliza nakukupha. 
GEN.27.43	Tsapano mwanangu, tetekela bzandikukuwuza. Iwe uthawile ku Harani kwamano wangu Labhani, 
GEN.27.44	ukakhale kumweko kwakanthawe mpaka ukali wankulu wako wamala. 
GEN.27.45	Ukali wake ukamala akayebwa bzawudamuchita, nin'zatuma munthu kuzakuchemela kuti ubwelele. Pakuti ine ningatayikiliwe lini nawana awili pantsiku ibodzi?”
GEN.27.46	Rabheka adati kwa Isaki, “Ndakolewa naazikazi wachi Hiti. Jakobho akaloolambo akazi wachi Hiti ninga awa, nkazi wamuno mudziko, umoyo wangu un'zakhala lini chinthu kwayine.”
GEN.28.1	Pamwepo Isaki adachemela Jakobho nkumudalisa, adati kwayiye, “Leka kuloola nkazi wachi Kenani. 
GEN.28.2	Yenda, ku Padhanamu kunyumba kwa Bhetuyeli apayi waamayi wako, ukaloole kumweko m'bodzi wawana wa Labhani mano waamayi wako. 
GEN.28.3	Mulungu wam'phamvu ngaakudalise akupase wana azinji, kuti m'badwe wako uwande ukhale nawanthu azinji. 
GEN.28.4	Ngaapeleke madaliso ya Abhurahamu kwayiwe, nakum'badwe wako, kuti azatole dziko lawukukhala ninga mulendo, lidapasiwa Abhurahamu na Mulungu.” 
GEN.28.5	Nakutenepo Isaki adayendesa Jakobho ku Padhanaramu, kwa Labhani mwana wa Bhetuyeli mu Aramu, mano wa Rabheka, amayi wa Jakobho na Esau.
GEN.28.6	Tsapano Esau adadziwa kuti Jakobho adadalisiwa, achimuyendesa ku Padhaniramu kuti akaloole kumweko, paadamudalisa adamuwuza kuti, “Leka kuloola nkazi wachi Kenani.” 
GEN.28.7	Esau adadziwa kuti Jakobho adatetekela apayi wake naamayi wake nkuyenda ku Padhaniramu. 
GEN.28.8	Pamwepo Esau adadziwa kuti apayi wake akhafuna lini akazi wachi Kenani. 
GEN.28.9	Pamwepo Esau adazayenda kukhana Ishimayeli mwana wa Abhurahamu, kwaadakaloola mwana wake wachitsikana akhachitiwa Mahalati nana wa Nebhayoti.
GEN.28.10	Jakobho adachoka pa Bheeri-shebha nkuyenda ku Harani. 
GEN.28.11	Paadafika pambuto inango, adagona pamwepo usiku umwewo. Jakobho adatola mwala pambuto imweyo, adatsamila nkugona. 
GEN.28.12	Paakhadagona tenepo, adalota pachita mathambiko, yakhadayimisiwa padziko, yachifika kudzulu. Adawona ngilozi za Mulungu zichikwila nakubuluka pamathambikoyo. 
GEN.28.13	Chawuta akhadayima padzulu pamathambiko yamweyo, iye adati, “Ndine Chawuta, Mulungu waapayi wako Abhurahamu na Mulungu wa Isaki, mbuto yawudagona ndayipasa kwayiwe nawana wako. 
GEN.28.14	M'badwe wako un'zawanda kulingana napfumbi lapadziko. An'zamwazikila kumadziko yentse yakumabveladzuwa nayakumadokelo kufika nachakudzulu mpaka kunyantsi. Wanthu wentse an'zadalisiwa nathangwe lako iwe nam'badwe wako. 
GEN.28.15	Wona, ndina iwe, nin'zakuchinjiliza kwentse kwawun'zayenda. Nin'zakubwezela pomwe mudziko lino. Nin'zakusiya lini mpaka ndachita bzandidalewa kwayiwe.”
GEN.28.16	Jakobho adapalamuka kutulo nkuti, “Chawuta ali pambuto ino, koma ine ndikhalibe kudziwa.” 
GEN.28.17	Pamwepo iye adaphatiwa namantha nkuti, “Mbuto ino in'gopsa! Infunika kukhala nyumba ya Mulungu. Uwu ninsuwo wakudzulu!”
GEN.28.18	Nakutenepo Jakobho adalamuka machibese-bese, nkutola mwala waakhadatsamila nkuwuyimisa nkuthulula mafuta padzulu pawene. 
GEN.28.19	Mbuto imweyo adayipasa dzina lakuti Bheteli,
GEN.28.20	Tsapano Jakobho adalumbila achiti, “Mulungu akanditsogolela, akandichinjiliza pawulendo wangu wandikuyenda, akandipasa chakudya nabzakubvala, 
GEN.28.21	ndichibwelela pomwe kumuyi kwaapayi wangu mwabwino, Chawuta an'zakhala Mulungu wangu. 
GEN.28.22	Mwala uwu, wandayimisa, pan'zakhala nyumba ya Mulungu, nin'zapeleka chakhumi pabzentse bzamun'zandipasa.”
GEN.29.1	Pamwepo Jakobho adayenda ulendo wake, nkufika mudziko lawanthu wakumabveladzuwa. 
GEN.29.2	Paadanyangana adawona n'chela m'munda, adawona mititi mitatu yamabila yakhadagona pambali, pakuti pan'chela umwewo ndipo pakamwela mabila. Koma mwala ukhadafunga pamulomo wan'chelawo ukhali ukulu. 
GEN.29.3	Anyakabusa paakhakocheza mabila yawo pan'chelawo, ndipo paakhachosa mwalawo achimwesa mabila yawo, achibwezela mwalawo pomwe pan'chela. 
GEN.29.4	Jakobho adati kwayiwo, “Abale wangu mukuchoka kuponi?” Iwo adati, “Tikuchoka ku Harani.”
GEN.29.5	Jakobho adazati kwayiwo, “Ko mungadziweko Labhani mwana wa Nahori?” Anyakabusawo adati, “Tinimudziwa.”
GEN.29.6	Jakobho adazati, “Ko iye ali bwino.” Iwo adati, “Yinde iye ali bwino, wonani mwana wake Rakelo ndiye uyo ali kubwela namabila!” 
GEN.29.7	Jakobho adati, “Wonani, pakuti yachali masikati, nthawe yakukocheza bzifuwo inati yakwana, mwesani mabila yanu muyende mukayadyese.” 
GEN.29.8	Koma iwo adati, “Tingakwanise lini kufikila mabila yentse yakochela pabodzi, mwala wakungulusiwa pamulomo wan'chela; pamwepo tingamwese mabila.”
GEN.29.9	Jakobho paakhali kulewa-lewa naanyakabusawo, Rakelo adafika namabila yaapayi wake, pakuti ndiye akhali nyakabusa wayene. 
GEN.29.10	Tsapano Jakobho paadawona Rakelo mwana wachikazi wa Labhani, mano waamayi wake namabila ya Labhani, Jakobho adayenda kakungulusa mwala ukhali pan'chela nkumwesa mabila ya Labhani mano waamayi wake. 
GEN.29.11	Pamwepo Jakobho adam'psoda Rakelo nkuyamba kulila kwakukondwa. 
GEN.29.12	Jakobho adati kwa Rakelo, “Ndine mwana wa Rabheka nana waapayi wako.”
GEN.29.12	Rakelo adathamanga kunyumba achikawuza apayi wake, Labhani. 
GEN.29.13	Labhani paadandobva mpfeso za Jakobho, mwana wanana wake, adathamanga kachungulana naye. Labhani paadafika pakhana nz'ukulu wake Jakobho adamukumbatila achimuphsoda. Adatola Jakobho achiyenda naye kunyumba kwake. Pamwepo Jakobho adalongosolela Labhani bzikhadachitika, 
GEN.29.14	Labhani adati kwayiye, “N'chadidi, iwe ndiwe wabondo langu nawanyama yangu!” Jakobho adakhala na Labhani kwamwezi.
GEN.29.15	Labhani adati kwa Jakobho, “Pakuti ndiwe m'bale wangu, ko ungandiphatile basa palibe mpagalo? Ndiwuze mpagalo wawungafune?” 
GEN.29.16	Tsapano Labhani akhana wana awili wachikazi; dzina lankulu likhali Liya, dzina lamung'ono likhali Rakelo. 
GEN.29.17	Maso ya Liya yakhali yakuthima, koma Rakelo akhadakoma wathupi labwino.
GEN.29.18	Jakobho adafuna Rakelo; iye adati, “Ninkuphatilani basa kwamagole manomwe muchizandipasa Rakelo mwana wanu mung'ono.”
GEN.29.19	Pamwepo Labhani adati, “Bzili bwino kuti ndimpeleke kwayiwe pana kuti ndimpeleke kwamunangombo munthu bzake, tsapano iwe khala nayine pano.” 
GEN.29.20	Nakutenepo Jakobho adaphata basa kwamagole manomwe kuti apasiwe Rakelo, kwayiye magole manomweyo yakhadandolingana nantsiku zing'ono-ng'ono pakuti akhafuna Rakelo kwene-kwene.
GEN.29.21	Pamwepo Jakobho adati kwa Labhani, “Ndipaseni nkazi wangu ndipite naye panyumba pakuti ntsiku zatidabvana zakwana.” 
GEN.29.22	Labhani adazakocheza wanthu wentse akhali pafupi naye, achichita feshita. 
GEN.29.23	Usiku umwewo Labhani adapeleka Liya kwa Jakobho, Jakobho nkudziwana naye. 
GEN.29.24	Labhani adapeleka mulanda wake Zilipa kwa Liya kuti akhale nyabasa wake. 
GEN.29.25	Machibese Jakobho adazadziwa kuti wagona na Liya, iye achiti kwa Labhani, “N'chinyi chamwachita kwayine? Ko ine sindidaphatila basa Rakelo? Ko thangwe lanyi mwandinamiza tenepa?”
GEN.29.26	Labhani adati kwayiye, “Ntemo wathu ise tiniyamba lini kulooza mung'ono nkulu anati waloodwa. 
GEN.29.27	Maliza sondo yawuyu, nin'zakupasa pomwe munango wache, wawun'azaphatila basa kwamagole yanango manomwe.”
GEN.29.28	Jakobho adachita tenepo, adamaliza sondo ya Liya; pamwepo Labhani adampasa mwana wake Rakelo kuti akhale nkazi wake. 
GEN.29.29	Labhani adapeleka mulanda wake Bhiliha kwa Rakelo kuti ambam'phatila basa. 
GEN.29.30	Nakutenepo Jakobho adazadziwana na Rakelo, adamufuna kuposa Liya. Adazaphatila pomwe basa Labhani kwamagole yanango manomwe.
GEN.29.31	Chawuta paadawona kuti Liya akhafuniwa lini, adafungula mimba yake; koma Rakelo akhalibe mbeleko. 
GEN.29.32	Liya adaphata pathupi achibala mwana wachimuna achimpasa dzina lakuti Rubheni, pakuti iye adati, “Pakuti Chawuta wawona kushupika kwangu; chadidi mwamuna wangu ati andifunembo.” 
GEN.29.33	Liya adaphata pathupi nkubala pomwe munango mwana wachimuna, iye adati, “Chawuta wandipasa pomwe munango mwana, pakuti adabva kuti nin'zondewa, wandipasa pomwe mwana uyu, achimpasa dzina lakuti Simiyoni.” 
GEN.29.34	Adazaphata pathupi pomwe, iye adati, “Ulendo uno mwamuna wangu ati andifunembo, pakuti ndam'balila wana atatu, mwanayo adampasa dzina lakuti Levi.” 
GEN.29.35	Liya adaphata pathupi pomwe nkubala mwana wachimuna, iye nkuti, “Ulendo uno nin'zadumbiza Chawuta.” Nakutenepo mwanayo adampasa dzina lakuti Judha, pamwepo adayima kubala.
GEN.30.1	Koma Rakelo paadawona kuti akubalila lini Jakobho wana, adachitila nchanje nkulu wake Liya. Rakelo adati kwa Jakobho, “Ndipase wana, ukaleka ninifa.”
GEN.30.2	Koma Jakobho adakalipila Rakelo nkuti, “Ko ine ndatola mbuto ya Mulungu?” Pakuti ndiye adachitisa kuti uleke kubala. 
GEN.30.3	Pamwepo Rakelo adati kwa Jakobho, “Tola mulandakazi wangu Bhiliha ugone naye, kuti andibalile mwana.” 
GEN.30.4	Rakelo adapeleka Bhiliha kwa Jakobho kuti akhale nkazi wake. Nakutenepo Jakobho adadziwana naye. 
GEN.30.5	Bhiliha adaphata pathupi nkubalila Jakobho mwana wachimuna. 
GEN.30.6	Rakelo adapasa mwana umweyo dzina lakuti Dhani nkuti, “Mulungu wandiyenzanisa pomwe wabva fala langu, wandipasa mwana wachimuna.” 
GEN.30.7	Bhiliha mulanda wa Rakelo adaphata pathupi pomwe nkubala mwana wachimuna wachiwili. 
GEN.30.8	Pamwepo Rakelo adati, “Ndapolowana nanana wangu, ndichimukunda.” Nakutenepo mwanayo adampasa dzina lakuti Nafitali.
GEN.30.9	Liya paadawona kuti wayima kubala, adapeleka mulanda wake Zilipa kwa Jakobho kuti akhale nkazi wake. 
GEN.30.10	Mulanda wa Liya Zilipa adabalila Jakobho mwana wachimuna. 
GEN.30.11	Liya adati, “Ndachita mwayi!” Mwanayo adampasa dzina lakuti Gadhi. 
GEN.30.12	Mulanda wa Liya Zilipa adabalila Jakobho mwana wachimuna wachiwili. 
GEN.30.13	Pamwepo Liya adati, “Ndikukondwa, akazi wentse an'zandichemela kuti kukondwa, adampasa dzina lakuti Asheri.”
GEN.30.14	Munthawe yakukolola tiligu, Rubheni adayenda kumunda kwaadakawona yamichelo yamandirekisi,
GEN.30.15	Liya adati, “Ko kunditolela kwawudachita mwamuna kwachepa? Lelo uno waakufuna kunditolela pomwe mamandirekisi yandabweleselewa namwana wangu.” Rakelo adati kwa Liya, “Ukandipasa mamandirekisi yawabweleselewa namwana wako, Jakobho an'gona nayiwe usiku walelo.”
GEN.30.16	Chakumawulo Jakobho paadachoka kumunda, Liya adati kwayiye, “Usiku walelo unkagona kunyumba kwangu, ndapagali kale kwa Rakelo mamandirekisi yandabweleselewa namwana wangu.” Jakobho usiku umwewo adayenda kagona naye.
GEN.30.17	Mulungu adabva pemphelo la Liya, iye adaphata pathupi, nkubala mwana wachimuna wachishanu. 
GEN.30.18	Liya adati, “Mulungu wandipasa mpagalo wangu, pakuti ndapeleka mulanda kwa mwamuna wangu.” Mwanayo adampasa dzina lakuti Isakari. 
GEN.30.19	Pamwepo Liya adaphata pomwe pathupi, achibala mwana wachitanthatu. 
GEN.30.20	Liya adati, “Pakuti Mulungu wandipasa mfupo yabwino; tsapano mwamuna wangu achandilemekeza, pakuti ndam'balila wana wachimuna atanthatu.” Mwanayo adampasa dzina lakuti Zebhuluni. 
GEN.30.21	Liya adazabala mwana wachikazi achimpasa dzina lakuti Dhina.
GEN.30.22	Mulungu adazakumbukila Rakelo, nkubva pemphelo lake, achifungula mimba yake. 
GEN.30.23	Rakelo adaphata pathupi achibala mwana wachimuna, iye adati, “Mulungu wachosa kunyazisiwa kwangu.” 
GEN.30.24	Mwanayo adampasa dzina lakuti Jozefi kulewa kuti, “Chawuta ngaandipase pomwe munango mwana wachimuna.”
GEN.30.25	Rakelo paadabala Jozefi, Jakobho adati kwaatebzala wake Labhani, “Lekani ndiyende, ndibwelele kwathu kudziko langu. 
GEN.30.26	Ndipaseni akazi wangu nawana wangu wandidaphatila basa kwayimwe ndiyende, pakuti imwe mun'dziwa kuti ndidakuphatilani basa.” 
GEN.30.27	Koma Labhani adati, “Leka ndikuwuze, ndidabzidziwa nakulotela kuti Chawuta adandidalisa nathangwe layiwe. 
GEN.30.28	Ulewe mpagalo wawukufuna ndikupase.” 
GEN.30.29	Jakobho adati kwayiye, “Imwe mun'dziwa kukuphatilani basa kwandidachita, nabzifuwo bzanu kukhala kwabzidachita nayine. 
GEN.30.30	Pandidafika pano, mukhana bzifuwo bzing'ono-ng'ono, koma bzidazawanda. Chawuta adakudalisani nathangwe layine. Tsono ine nin'zaseyenzelambo lini nyumba yangu?” 
GEN.30.31	Labhani adati, “Ko ndikupase chinyi?”
GEN.30.31	Jakobho adati, “Palibe chamungandipase, koma mukandichitila ibzi, nimpitiliza kukubusilani mabila yanu; 
GEN.30.32	Koma ine lelo lekani ndipitemo mumabila yanu, ndichosemo mabila yentse yamawala-mawala nayamadodo-madodo namapsipa nambuzi zamadodo-madodo nazamawala-mawala, bzimwebzi ndibzo bzikhale mpagalo wangu. 
GEN.30.33	Kukhulupilika kwangu kun'zawoneka patsogolo, pamun'zabwela kuzanyangana mpagalo wangu. Mbuzi zentse zin'zawoneka zilibe mawala, namabila mapsipa, bzikazawoneka nayine, mun'zadziwa kuti ndidakubelani.” 
GEN.30.34	Labhani adati, “Bzili bwino! Ngabzichitike ninga bzawalewa.” 
GEN.30.35	Koma ntsiku imweyo Labhani adachosa mbuzi zikono zikhana mitsetse-mitsetse nazamadodo-madodo, nambuzi zikazi zikhana mawala-mawala nazamadodo-madodo, nazentse zikhana mawala machena, namabila yentse mapsipa, achibzipasa wana wake, 
GEN.30.36	achiwayendesa kuwulendo wa ntsiku zitatu. Pamwepo Jakobho adasala achibusa mabila ya Labhani yakhadasala.
GEN.30.37	Jakobho adatola tumiti tuwisi twamupopula natwamualimondi natwamupuleni, akhati apa wakwatula apa wasiya apa wakwatula apa wasiya, kuwonesa magamba machena patumitito. 
GEN.30.38	Adayikha tumitito twaadakwatula mukhamwela mabila, pakuti kumweko ndiko kukhakwililana mabila, payakhabwela kuzamwa madzi, 
GEN.30.39	mabilayo payakhakwililana patsogolo patumitito, mabilayo yadayamba kubala wana wamitsetse-mitsetse nawamawala-mawala nawamadodo-madodo. 
GEN.30.40	Jakobho adapatula mabila makazi nambuzi zikazi pazikhakwililiwa, akhabzinyanganisa kumabila ya Labhani yamitsetse-mitsetse, nayentse mapsipa, kuchitila kuti yazabale wana wamitsetse nawamadodo-madodo. Nakutenepa Jakobho adachitambo mabila yake, achiyayikha payokha.
