MAT.1.1	Ísu Káráísitini akúníꞌo uráan-aai. Ísun-aíwáꞌná Téfítin-iye. Téfítin-aíwáꞌná Émbaramun-iye.
LUK.4.34	Ísu Násaretifakewi óne. Kentáá nórawa ínewaꞌono tasínkambaisaawa taiꞌáínono. Embá awánáúndawi Maníkóní kawe-kísáú-wáásígó óne súwana 
LUK.4.35	Ísu sáwí-amutankontafena óraaka séna aseré minkwáásí auwé kóuwo súwana misáwí-ámútánkó minkwáásí faméꞌauwowana túrankaꞌa tanaa fówana ímba sáwíꞌo uwánkomba úwoi kóúwasa 
LUK.4.36	awánésa táátafesa ésa keáímbá sésa nóran-aaiya wésiyo. Fasiꞌaén-ááí sáwí-amutantafena óraaka simátímísasa tirumpinkémbá wégowe suwaná 
LUK.4.37	miyán-ááí Ísun-aai mináémpáꞌá wété úwasa ísaraawe.
LUK.4.38	Ísówana Ísu minámáán-dáúmpáꞌá tuwéna Sáímonini naaúmpaꞌo iyúmba Sáímonin-áráandaomba áuiya kówana mérowasa Ísumba simámúwana 
LUK.4.39	iséna wempáꞌá téna áuiyagontafena séna taiꞌaaó súwana mináúíyá taiꞌówana íyáfasinkwena tómbá agaimái tímakaiye.
LUK.4.40	Úwasa fenómpinkaꞌa fíꞌo-fiꞌon-tiꞌo ún-kwaasi tíꞌmaesa Ísumpaꞌa tuwaná ayáámba taꞌótorowasa asófaraawe. 
LUK.4.41	Miyá úwasa sáwí-amutantomba sáwífaꞌ-waasi tirumpinkémbá tiyuwésa óraaka sésa Maníkón-ááninko óne simásuwesa kóuraawe. Sáwí-amutamba imáyáa ésa Ísuntafesa Maníkómó íyáfasinankaraiwai iyé-ímáyáá untáféna Ísu aséráaro súwasa tiyuwésa kóuraawe.
LUK.4.42	Kóuwana aafáúmó íyáúsunkaꞌa Ísu mindáópaꞌa tuwéna Maníkómpáꞌá inaimó síndasafena ímba waásimo méropaꞌa komérowasa ayaafáí úmai awánésa sésa kónafo keséta méraao suwaná 
LUK.4.43	Ísu séna fíꞌon-daopimpaꞌwaraꞌa ásé-aai Maníkó wení waásimo kawáánin-aai kosimátimenaumne. Miyámó ondasáféna Maníkó siꞌmákaisaꞌa kunkáumne séna 
LUK.4.44	tiyuwéna Yúndiyaa-aempaꞌa koména ámáán-daumpimpaꞌa simátímaꞌmaena iyáiye.
LUK.5.1	Moórá-kanaa Ísu nonkwaaúnkóní áwáífaꞌ-awiꞌa Kénésárétifaꞌa mérowasa Maníkón-aai isánae sésa tóso ésa faméꞌmaesa tuwaná 
LUK.5.2+LUK.5.3	kaeꞌá káriꞌ-nompin-taomba nonáámááífaꞌa wérowana moórá Sáímoninde wérowana awánówasa mófááꞌo tóróyan-kwaasi mindómpín-táómba tuwésa mareꞌmareꞌ-únámbá wénonkwiyuwana mintáómba úwoi wérowana awánéna Sáímonini nompín-táómpimba íyátena Sáímonintafena séna ewaaꞌá maimaé waaó súwana ewaaꞌá fafúsúmaena nonáwáífaꞌa kúwana Ísu mimpímbá maraꞌ-ména seyaafáꞌ-wáásí simátímakaiye.
LUK.5.4	Simátimena Sáímonintafena séna nompín-táómba fafúsúmae nonafufumpáꞌá kuré ewé ení waásiye mareꞌmareꞌ-únámbá túwéwana nompímbá kumínaꞌa mófááꞌa fasínáaro súwana 
LUK.5.5	Sáímoni séna óraakoo káféꞌ-noꞌwaamba miyámó úmae iyúndasa ínta mófááta toráúndasa úwoisa méraumpo emó séndantemba ónaumne séna 
LUK.5.6	nonafufumpáꞌá wésa mareꞌmareꞌ-únámbá túwówana nompímbá kumúwana sáwífaꞌ-mofaaꞌa minúnámpímbá ówitena tarárááráántamba úwasa 
LUK.5.7	moórá-nompin-taompimba miwítí waási mérowasa awánésa tiyáán-tuwaaꞌa ésa tasúwaꞌnai oro suwasá tésa minkáé-táómpimba mófááꞌa mósá márówana ówitena umbaí téna nompímbó kúwáférááraantamba úwana 
LUK.5.8	Sáímoni Pítaa miyámó úmba awánéna Ísu óraakon-iye séna aísamaifimba kífaena séna Fasiꞌaénkóo sáwí-waasi úmpo siyuwé waaó siyáiye. 
LUK.5.9	Sáwífaꞌ-mofaaꞌo tóróntafena Pítaawe weséꞌo méron-kwaasiye táátafesa uwasá 
LUK.5.10	Sáímoniye mófááꞌo toꞌmaésarai núyawi Sépétin-ááninkai-tuwiꞌa moóráwigo Yémísi úwana moóráwigo Yóni mindáraiye táátafesarai uyaná Sáímoni Pítaa Ísuntafena séna Fasiꞌaénkóo sáwí-waasi úmpo siyuwé waaó súwana Ísu séna ímba ááꞌa íno. Mófááꞌo toꞌmaé wénomba minkísáú ifátuweꞌa káféꞌa waási tafisíyasa kesiráái wáéro súwasa 
LUK.5.11	mindómpín-táómba tafisímaesa nonáámááífaꞌa mámaresa miwítí kísau ifátuwesa Ísumba arááíwakaawe.
LUK.5.12	Moórá-kanaa Ísu moórá-naopaꞌa mérowana moóráwigo seyaafáꞌ-áúfáꞌó námombo kón-kwaasi Ísumba awánéna óraakon-iye séna aísamaifimba takífaena séna kentáfénamo ankáínamo e kanaaꞌá aúíꞌa uwásinkainone súwana 
LUK.5.13	Ísu ayáámba aneꞌá taꞌótorena séna miyá ónaumpo enáúraꞌa karefóꞌa kawáúwiye súwana minúwóíyáámbá kawáúguwana 
LUK.5.14	Ísu óraaka séna enáúraꞌa kawáúwifo naaófáꞌó Mósesemo siyáintemba ámáán-kisau-waasifaꞌa wéma enáú máaraatime póíma tímínasa Maníkóntáfésa ísámai tufúꞌmai agaíyasa seyaafáꞌnánká awánésa áúrakemba kawáúwiye sénááwe. Énifo enáúraꞌo uwánkaunda-aai simátimunafo sé waaó Ísu súwana 
LUK.5.15	ifátuwena kaweꞌó uwánkon-aai simátímaꞌmaena iyúwana minááígó naaóꞌ-naoꞌa wété úwasa sáwífaꞌnanka tóso ésa wenáái wéiseꞌa onaná tíꞌo
LUK.5.15	in-kwáásí asófatinkainkwae sésa tóso uwaná 
LUK.5.16	énifo Ísu Maníkómpáꞌá inaimó síndasafena máásai-marafaꞌa kógo uráiye.
LUK.5.17	Moórá-kanaa tuwímbai ámáán-kawaa-waasiye ámáámbo sun-kwáásíyé Yérúsaremu-naopakene Káríri-aempakene Yúndiyaa-aempakene tóso ésa Ísu moórá-naumpaꞌa aaimó wésimatimumba taísaraawe. Maníkó Ísumba asófatinkainda-fasiꞌaemba amúwana mérowasa 
LUK.5.18	tuwímbai aísamaimo pukówimba wandaaifímbá marésa taawiyaꞌmaé tésa Ísumpaꞌa máánkáananasa kaweꞌá ínkwae sésa tumbá 
LUK.5.19	mindáúmpáꞌá sáwífaꞌ-waasi sisipáá uwasá ímba kanaaꞌó íyóraantamba ésa naanamifaꞌá taawiyaꞌmaé imésa afaaꞌá aúsámaresa ándára taꞌótoresa túwówana kumémena waásifimbo Ísumo mérompimba aúrankaꞌa kumúwana 
LUK.5.20	Ísu taawiyaꞌmaésamo tun-kwáásímó éraiꞌa kaweꞌá uwánkainiye-imayaamo umbá Ísu tuwánéna aísamaimo pukón-kwaasigontafena séna kesí waásiyo ení sáwí-imayaa maiyauwáúmne súwasa 
LUK.5.21	ámáán-kawaa-waasiye ámáámbo sun-kwáásíyé keáímbá sésa Maníkó weyáá sáwí-imayaa maitiyuwáínífo waási ímba miyá ónááfo Maníkómbá karaánááꞌa ánkáíye suwaná 
LUK.5.22	Ísu minímáyáámó umbá iséna séna nóra séra miyán-ímáyáá wéoo. 
LUK.5.23	Moóráwigo aísamaimo pukáindawintafena sénamo ení sáwí-imayaa maiyauwáúmne sínasamo ésa éraira sí karorá síyó sénááwe. Énifo moóráwigomo aísamaimo pukáindawintafena sénamo eyááríkaꞌa íyáfasine waaó sínasamo ésa éraira sí karorá síyó awánánááwe. 
LUK.5.24	Kemá waási úranko marapáꞌó méraunda waásiti sáwí-imayaa maitiyúwáanda-fasiꞌaemba tokáumpo aráátíménda awánánááwe séna aísamaimo pukón-kwaasigontafena séna isaaó. Íyáfasine ení wandaaí maimaé ení naaópaꞌa waaó súwana 
LUK.5.25	túrankaꞌa íyáfasinkwena wení wandaaí wémaena Maníkón-áwíꞌa mósá maréna wení naaópaꞌa kúwasa 
LUK.5.26	seyaafáꞌnánká táátafesa ésa Maníkón-áwíꞌa mósá marésa sésa ímbo awánáúnda-iꞌa isatá awánáúmne sésa táátafesa ésa tiyáámba tóipimba fáákaawe.
LUK.5.27	Ánaaemba Ísu aampaꞌá wéwena awánómba taakisi-kísáúmó maúwain-awiꞌa Rífái taakisimó máún-daumpaꞌa mérowana Ísu awánéna séna íyáfasine keséꞌa tiyó súwana 
LUK.5.28	íyáfasinena seyaafá-tántááꞌá tuwéna wembá arááíwaꞌmae wéna 
LUK.5.29	Ísuweꞌo náíndasafena wení naaúmpaꞌa óraa-tomba agaúwasa taakisimó máún-kwaasiye fíꞌo-fiꞌon-kwaasiye Rífáini naaúmpaꞌa tamésa mindáraiseꞌa tamésa tawémandowasa 
LUK.5.30	ámáán-kawaa-waasiye miwítí ámáámbo sun-kwáásíyé Ísuni kísau-waasisafesa aaisambá tiyésa tísai esa sésa taakisimó máén-umen-kwaasiye sáwíꞌo on-kwáásíséꞌa tómbá wénaao suwaná 
LUK.5.31	Ísu iséna séna tíyofaan-kwaasi kaweꞌ-úmaimo méraan-kwaasi ímba wétuwaꞌnai-ofo tíꞌo in-kwáásí wétuwaꞌnai-owe. 
LUK.5.32	Mindásafeꞌa arupíse úmaimo méraan-kwaasi táántaanasa Maníkómpáꞌá tíwae séꞌa ímba kunkáumpo sáwíꞌo úmaimo méraan-kwaasi táántaanasa Maníkómpáꞌá tíwae séꞌa kunkáumne
LUK.5.32	Ísu siyáiye.
LUK.5.33	Suwasá tuwímbai Ísuntafesa sésa Yóni nombó maitínkáíwaini kísau-waasi moórá-mora-kanaa Maníkóntáfésa imáyáa ésa tómbá ímba wénesa inaí aantemba wésewasa ámáán-kawaa-waasiti kísau-waasiwaraꞌa miyá wéofo ení kísau-waasi ímba miyá ombá tóné noné úwoi wénaawe. Nóra sésawa miyá wéoo suwaná 
LUK.5.34	Ísu séna moóráwigo aaremó maíndawi amááraasomba tanómbo kautimínda miwíséꞌa mérainasa aamoí ésa mintómbá ímba aꞌáo sénááfo úwoi nánááwe. 
LUK.5.35	Ánaaemba minkwáásígómbá áíꞌmae kóíyana minkánáá amááraasomba tirunkó sáwíꞌa ínasa tómbá aꞌáo sénááwe Ísu séna wemó ánaaemba tiyuwénamo iyíndasafena minááí siyáiye.
LUK.5.36	Ísu minááí simátimena maarán-ááí waéꞌmai-aai séna ááéraan-ampantamo afaaꞌó wéraisasamo ombá aú-ampanta ímba kárámai wéfaruwowe. Miyámó íyana aú-ampantago sáwíꞌa ínana ááéraan-ampantago aú-ampantaraamba ímba íníye. 
LUK.5.37	Aú-anda-aran-domba ááéraa-sipisipi-asi-anafeumpimba ímba wéfatimaraawe. Miyámó íyanamo éna aú-anda-aran-donko óraaꞌa éna ááéraan-anafeumba kafaména sáwíꞌa ínana mindómbá úwoifaꞌa fatíwiniye. 
LUK.5.38	Mindásafesa aú-anda-aran-domba aú-sipisipi-asi-anafeumpimba wéfatimaraawe. 
LUK.5.39	Ááéraan-anda-aran-dombo naawímó ombá sésa ááéraan-anda-aran-donko ásé wéiye sésa aú-anda-aran-domba ímba sínkáíye wésewe.
LUK.6.1	Moórá-kanaa Yúndaa-waasimo saagon-kánááráꞌá Ísuwe wení kísau-waasiye kísaufaꞌa wíti-ton-kisaufaꞌa wéwesa wení kísau-waasi wíti-aramba kútúmai ási pítuwesa nowasá 
LUK.6.2	ámáán-kawaa-waasi tuwímbai tuwánésa sésa saagaan-kánáá aambá fáíꞌmakaawaꞌa nóra séra miyá wéoo suwaná 
LUK.6.3	Ísu séna naaófáꞌá Téfítimo uráimba aúfáífimbo agaimakáin-aaigoni áwáu ímba ísaraawe. Téfítiye wení waásiye táái tówana 
LUK.6.4	Téfíti Maníkóní ámáán-daumpaꞌa iyéna Maníkón-aúrankaꞌo makón-tomba imaiyéna wénena wení waási timúwasa naráawe. Mintómbá úwoi-waasi ímbo néꞌómbanifo ámáán-kisau-waasi aantembo néꞌómbaniye. Téfíti mintómbá imaiyéna timúwasa nonkáꞌá Maníkó ímbo aaisambá siyáimbanifo kesí waási miyá owaꞌá aaisambá ímbo seráámbá wésewe. 
LUK.6.5	Wíyómpakemba waási úranko póꞌa saagaan-kánááráꞌó káráwiyaundawi úmpo saagaan-kánááráꞌó waásimo kísau máémba kendén-iye Ísu siyáiye.
LUK.6.6	Moórá-kanaa Yúndaa-waasimo saagon-kánááráꞌá Ísu ámáán-daumpaꞌa iyéna wésimatimuwana moóráwigo ayáánúrapaꞌ-ayaambo kemporarón-kwaasi mérowasa 
LUK.6.7	ámáán-kawaa-waasiye ámáámbo sun-kwáásíyé mésa Ísuntafesa saagáíyá póna minkwáásímó kaweꞌó uwánkainataamo éta taꞌótoꞌmaisa aaifintá maiyankánaumne sésa Ísumba awánomba 
LUK.6.8	Ísu minímáyáámó umbá iséna ayáámbo kemporarón-kwaasisafena séna íyáfasine kemó méraundaraꞌa imauwó súwana íyáfasinena Ísumpaꞌa túranka imaúwana 
LUK.6.9	Ísu miwísáféna séna moórá-aaisafeꞌa tísai ónaeꞌa súne. Kentáásí ámáán-aaifimba nóin-aaiya wéraiyo. Saagaan-kánáárá póta kawe-kísáúsááwá máúm sáwí-kisausaawa wémaumno. Waási túwaꞌnai onasasááwá kawerá óna tínkamonasasaawa puwónááo tísai ena súwasa ímba aaí suwaná 
LUK.6.10	Ísu mótuwana-metuwana éna ayáámbo kemporarón-kwaasisafena séna enayáámba fárútuwaao súwana ayáámba fárútuwowana kaweꞌá uwánkowana 
LUK.6.11	miwí tirumbá áfááraumai sáwíꞌa úwasa nóra úmaisaawa tufuwónaumno sésa kemó mérompimba keáímbá siyáawe.
LUK.6.12	Minkánááráꞌá Ísu fenómpinka omápaꞌa iména ímba aúmá waéna Maníkómpáꞌá inaí símae wéiyuwana 
LUK.6.13	siyarówana Ísumbo arááíwaꞌmae kun-kwáásí táántowasa íyúwana minkwáásífínkémbá sísamaifakemba kaeꞌá kumbaimái-waasi toráumai séna kesí aantá-waasin-owe séna túwíꞌa siyáiye.
LUK.6.14	Miwí túwíꞌa séna moóráwigo Sáímoniye séna
LUK.6.14	aú-awiꞌa Pítaawe simánkena moóráwigo Pítaan-áfáko Énduruni moóráwigo Yémísini moóráwigo Yónini moóráwigo Fírípini moóráwigo Pátóromiyuni 
LUK.6.15	moóráwigo Mátíyuni moóráwigo Tómaasini moóráwigo Áráfíásin-ááninko Yémísini moóráwigo Sáímoni wemá Rómu-kamani-waasi tiꞌmátuwanae siyáiwaini 
LUK.6.16	moóráwigo Yémísin-ááninko Yúndasini moóráwigo Yúndasi-Ísakerioti wemá ánaaemba Ísumba wení namuro-wáásímó aráátímakaiwai miyáumai-waasi Ísu táántaraiye.
LUK.6.17	Omápakemba Ísu miwíséꞌa arúfáꞌá kumbérowasa wembó arááíwáún-kwaasi sáwífaꞌnanka Yúndiyaa-aempakene Yérúsaremu-naopakene Táyaa-naopaꞌe Sáíndóni-naopaꞌ-non-awaifakene sáwífaꞌ-waasisomba tamésa 
LUK.6.18	Ísun-aai isánae sésa tíꞌo ún-kwaasiwaraꞌa asófatinkainkwae sésa tóso ésa sáwí-amutamba tirumpimbó méron-kwaasiwaraꞌa tóso uwaná Ísu sáwí-amutamba tirumpinkémbá maitiyuwówasa 
LUK.6.19	tíꞌo ún-kwaasi Ísun-aneꞌá taꞌótoraanana síꞌa taiꞌáínkwae sésa miyá uwaná fasiꞌaémbá tokéna póna mintíꞌá asófatinkaraiye.
LUK.6.20	Ísu miyá uwátinkena wení kísau-waasi tuwánéna séna kembiwí Maníkó súwaꞌnai ínkwaemo sewí Maníkó miwí kaweꞌá uwátinkena miwíyáꞌá wégawaaniye. 
LUK.6.21	Káféꞌa tááimo wétaiwai tirunkó fetóí ínaꞌa méraaro. Maníkó kanaá uwátinkainiye. Káféꞌa tirunkó sáwíꞌa isaꞌá ifiꞌó wétaawi tirunkó fetóí ínaꞌa méraaro. Tirunkó kaweꞌá ínaꞌa wíyáái ónááwe. 
LUK.6.22	Kembiwí kemá waási úranko kumpaápé uráundawintafeꞌa fasiꞌámaimo méraawi waási tínaaembo uwátinkesa tíyámbo uwátinkesa sáwí-aaimo simátinkesa sáwí-waasin-owemo síyamba tirunkó fetóí ínaꞌa méraaro. 
LUK.6.23	Miyá íyaꞌa tirunkó kaweꞌá ínaꞌa imá wéteꞌa wíyómpakemba kentí kaweꞌ-méyámbá maénááwe. Naaófáꞌá miwí tíwáꞌná miyá ésa Maníkón-aaimo simátímakaawi sáwíꞌa uwátínkaraawe. 
LUK.6.24	Énifo marapákén-tántááꞌó makáawi káráwiyoro. Tirunkó kaweꞌó wéin-tantaaꞌa éꞌa makáamba póꞌa ímba moórá kaweꞌ-méyámbá maénááwe. 
LUK.6.25	Káféꞌa tímúꞌo faiwáí káráwiyoro. Ánaaemba táái táíníye. Káféꞌa wíyááímo owí káráwiyoro. Ánaaemba ifiꞌá tánááwe. 
LUK.6.26	Naaófáꞌá kentíwáꞌná karoꞌ-ááímó simátímakaawi-tuwiꞌa mósá makáamba pósa miyámó sésamo kentúwíꞌo mósá máréwaꞌo éꞌa káráwiyoro Ísu siyáiye.
LUK.6.27	Ísu simátimena séna kemó simátíménda-aai ísáaro. Kesááimo iséꞌo éꞌa kentí namuro-wáásí tirumbá kaweꞌá uwátinkeꞌa tíyámbo uwátínkéwi kaweꞌá uwátínkáaro. 
LUK.6.28	Sáwí-aaimo simátínkéwi kaweꞌá uwátínkáaro. Sáwíꞌo uwátínkéwimo éꞌa Maníkómpáꞌá inaí símai miwí túwaꞌnai oro. 
LUK.6.29	Tááꞌo tuwaumíyaꞌo éꞌa ímba anondáá tínkameꞌa anekaꞌá waé-tíméro. Kentí unáánkwátói maiyésa sésa anekaꞌá maénae síyaꞌo éꞌa ímba aꞌáo seró. 
LUK.6.30	Moórá-tantaaꞌa simiyó síyaꞌo éꞌa úwoi tíméro. Kendémó moórá-tantaaꞌo maíyaꞌo éꞌa ímba fuwafí séꞌa síméro seró. 
LUK.6.31	Kembó tirááímo táínda-iꞌo úmaimo túwaꞌnai íyaꞌa miwí miyáumai túwaꞌnai oro Ísu siyáiye.
LUK.6.32	Ísu simátimena séna seyaafáꞌnánká kentí waási-imayaamo owasamó ombá anondáá miwí-ímáyáá wéowe. Sáwíꞌo on-kwáásí ímba kaweꞌ-wáásí ombánifo miwítí waási-imayaamo owasamó ombá anondáá miwí-ímáyáá wéowe. Miyáumaimo kentí waási-imayaa aantembo íyanamo éna Maníkó ímba kaweꞌ-méyámbá timínífo kentí namuro-wáásíwáráꞌá imáyáa tíméro. 
LUK.6.33	Seyaafáꞌnánká kaweꞌó uwátínkáán-kwaasi kaweꞌá wéuwatinkaawe. Sáwí-waasiwaraꞌa miyá wéowe. Miyámó onten-úmai kaweꞌó uwátínkáán-kwaasi aantembo kaweꞌó uwátínkéwanamo éna Maníkó ímba kaweꞌán-owe síníye. Kentí namuro-wáásíwárá kaweꞌá uwátínkáaro. 
LUK.6.34	Sáwí-waasi ánaaemba siménááwe-imayaa ésa wétimewe. Ánaaembo timíyan-kwaasi aantembo timíyanamo éna Maníkó ímba kaweꞌán-owe síníye. Ánaaemba siménááwe-imayaa ímbo íyamba úwoi tíméro. 
LUK.6.35	Kentí namuro-wáásí kaweꞌá uwátinkeꞌa imáyáa tíméro. Anondáá simíwae-imayaa ímbo íyamba úwoi tíméro. Miyámó íyambo éꞌa Maníkómpákémbá kaweꞌ-méyámbá maénááwe. Maníkó wentáfésa ímba súwimo sen-kwáásí úwoi túwaꞌnai ena sáwí-waasiwaraꞌa miyá isasá pósa waási kembiwí miyámó ombá tuwánésa sésa Maníkó wíyómpakewin-áánintomban-owe sénááwe. 
LUK.6.36	Kentifo arumbó uwátínkáíntemba miyán-oro Ísu siyáiye.
LUK.6.37	Tuwánéꞌo éꞌa sáwí-waasiye síyanamo éna Maníkó kentáfénawaraꞌa miyá sínífo tuwánéꞌo éꞌa sáwí-waasiye sefó. Umbai-tántááꞌó timíyanamo éna Maníkó kenkwáráꞌá miyá ínífo umbai-tántááꞌá tíméfo. Sáwíꞌo uwátinkaiyaꞌo éꞌa mintántááꞌá ímba imáyáamo íyamba ifátúwáaro. Miyámó íyanamo éna Maníkó kemó sáwíꞌo ombá maitiyuwáíníye. 
LUK.6.38	Timíyantemba Maníkó anondáá kembá timíníye. Tómbó tíméwasamo nawááesa arááꞌo máráántemba Maníkó miyá úmai sáwífa-tantaaꞌa timíníye. Miyáumaimo tíméntemba Maníkó miyá íníye Ísu siyáiye.
LUK.6.39	Ísu simátimena waéꞌmai-aai séna moórá aúgafitawi moórá aúgafitawimba ayáán-toꞌmaesarai ímba kanaaꞌá kóyááfo miyámó ésaraimo ésarai maipímbá tanaambá fáyááye. 
LUK.6.40	Iyámpóímo ésa uwáítáíꞌ-on-kwáásí ímba íyáákanaafo miwí táái ísámaesa íyantemba ónááwe Ísu siyáiye.
LUK.6.41	Ísu simátimena séna kentúrampimba iya-arumbó wéraisaꞌo ombá ímbo awánaamba kentí waási tuwánéꞌa enaúrampimba ayaantambá wéraiye wésefo ímba miyá seró. 
LUK.6.42	Kentúrampimbo iya-arumbó ímbo awánaamba nóra séra kentí waási túrampinkemba tiyaantambá maitiyuwánae wéseo. Kaumbo-kaeꞌ-ááíwáráꞌ-wáásín-ofo kentúrampinkemba iya-arumbá maisukéꞌa tuwánéꞌa kentí waási túrampinkemba tiyaantambá kanaaꞌá maitiyuwánááwe Ísu siyáiye.
LUK.6.43	Ísu simátimena séna kawe-táígó ímba sáwí-aramba íyáísana sáwí-taigo ímba kaweꞌ-árámbá wéiyaifo 
LUK.6.44	mintáígón-aramba awánésa sáwí-taiye
LUK.6.44	kawe-táíyé wésewe. Fekómó éna ímba áwíyanda-arankaamba iyáínífo feꞌ-arambá iyáíníye. Antirígó afoꞌafááꞌ-arankaamba ímba iyáínífo antirí-aramba iyáíníye. 
LUK.6.45	Miyáumai kaweꞌ-wáásí kaweꞌ-ímáyááfínkémbá kawe-kísáú máéwasa sáwí-waasi
LUK.6.45	sáwí-imayaafinkemba sáwí-kisau wémaewe. Tirumpin-ímáyááfínkémbá wésewe Ísu siyáiye.
LUK.6.46	Ísu simátimena séna kentáfésa óraako óne sembánifo kemó simátimunda-aai ímba arááíwaꞌmai kaweꞌá wéowe. 
LUK.6.47	Kempáꞌó tésa kesáái isésa
LUK.6.47	kaweꞌ-úmaimo arááíwaiyawi miyán-kwáásímó simátíméndaraꞌa ísáaro. 
LUK.6.48	Naambá ónae sésa marafímbá maiꞌá uꞌmaé kumémesa óntamba kusaafá ésa minkáꞌá naamayáámba múfaimai naambá úmaraiyana aaꞌá téna óraaꞌ-nomba fínana mindámbá ímbo tawisínda fasiꞌámai wéena óntankaꞌ-namba póna úwoi wéíniye. Miyáráán-úmai waásimo kempáꞌó tésa kesáái isésa kaweꞌ-úmaimo arááíwáéwi fasiꞌámai ménaawe. 
LUK.6.49	Énifo kesáái isésamo ímbo kaweꞌ-úmaimo isáíyawi miyán-kwáásímó simátíméndaraꞌa ísáaro. Naambá ónae sésa ímba maiꞌó ukésamo íyamba paákáꞌá úmakaiyana óraaꞌ-aꞌa téna nombá fiyéna mindámbá tawísísuwainana sáwíꞌa íníye. Miyáráán-úmai ímbo kesáái ísámaimo kaweꞌó íyawi ímba fasiꞌámai ménaawe Ísu siyáiye.
LUK.7.1	Ísu mináyáátááꞌ-ááí simátimena Kápaneamu-naopaꞌa kúwana 
LUK.7.2	Rómu-i-waasiti kawáágó wení kísau-waasi aráái tówimba áíꞌa úwana puwíndasafena wéuwana 
LUK.7.3	minkáwáágó Ísumo taméron-aai iséna Yúndaa-oraaꞌ-waasisafena séna Ísumba koáíꞌmae tíyana taasófankaino séna tiꞌmarówasa 
LUK.7.4+LUK.7.5	Ísumpaꞌa óraaka kosésa minkáwáágó Yúndaa-waasisa súwaꞌnai ena kentáásí ámáán-damba úmakaifo kaweꞌ-wáásí po kaweꞌ-úmai koáwaꞌnai ínone suwaná 
LUK.7.6	Ísu iséna miwíséꞌa wéna minkáwáágóní naambá ewaaꞌó wéronkaꞌa kúwana minkáwáágó wení waási simátimena séna Ísumba kosimámeꞌa maará seró. Óraakoo kentáásí kawáágó séna kemá káriꞌ-waasi úmpo emá óraaꞌ-waasi ómpo ifátuwe kesí naaúmpaꞌa ímba iyínone. 
LUK.7.7	Mindásafeꞌa ímba empáꞌá kosimámakaumpo ímba kesí naaúmpaꞌo íyínda úwoi aaí aantemba sinaná kesí kísau-waasi asófáíno. 
LUK.7.8	Kewáráꞌá kawáá-kísáúgóní áwáuma awánáúnda kesí kawáágó sisaꞌá wení kísau maéꞌa kesí i-wáásísáféꞌa súnasa kesí kísau wémaewe. Moóráwigontafe séꞌa waaó súnana wisaꞌá moóráwigontafe séꞌa tiyó súnana tisaꞌá kesí kísau-waasisafeꞌa miyá uwómó súndantemba miyá wéiye siyé. Ísumba kosimáméro súwasa tiꞌmarówi tésa tasimámúwana 
LUK.7.9	Ísu minááí iséna áátafena éna kowaeréna wembó arááíwaꞌmae kun-kwáásísóntáféna séna simátime séꞌa minkwáásí Rómu-waasigo kentáféna súwaꞌnai índa-fasiꞌaemba tokáiye wésifo kesí waási Ísareri-waasifinkene fíꞌon-kwaasifinkene ímba miyán-ááí wésewe Ísu súwasa 
LUK.7.10	tiꞌmarón-kwaasi kouweré tésa taawánomba kísau-waasigo kaweꞌ-úmai mérowasa taawánaraawe.
LUK.7.11	Ísu kárikaꞌa ména tiyuwéna wení kísau-waasiye sáwífaꞌ-waasiye kúmba Néni-naopaꞌa wéna 
LUK.7.12	mindáókoni óntan-kusaigoni ontaráꞌó kúnkaꞌa moórá-ketoꞌ-ininkon-ááninko puwúwasa taawiyaꞌmaésa sáwífaꞌ-waasi anówae wétuwana 
LUK.7.13	Fasiꞌaénkó anówambo awánómba arumbá uwánkena séna ímba ifiꞌá taaó séna 
LUK.7.14	makón-taareraꞌa kotaꞌótorowasa taawiyaꞌmaé tun-kwáásí tamáúwana Ísu séna ifóꞌ-wáásígóo íyáfasinaao súwana 
LUK.7.15	pukómpinkemba íyáfasinena aaí súwana Ísu anówantafena áíꞌmae waaó súwasa 
LUK.7.16	seyaafáꞌnánká táátafesa ésa Maníkón-áwíꞌa mósá marésa sésa káféꞌa Maníkón-aaimo sin-kwáásí óraaꞌ-waasi kentááfímbá paápé iye. Maníkó aiꞌmáráísana wení waásisaamo súwaꞌnai índa-waasisa kúmíye suwaná 
LUK.7.17	minááí Ísuntafesamo sun-ááígó Yúndiyaa-aempaꞌa seyaafáꞌ-áémpá wété uráiye.
LUK.7.18	Minááígó wété úwasa Yónini kísau-waasi isésa Yónimba kosimámúwana wení kísau-waasiyai táántowasarai tuyaná 
LUK.7.19	simátimena séna Ísumba maanááí koáísai okaiyó. Emá kumínonemo siyáawiyaꞌo fíꞌowawa ónómpo kemá kumíndawimba amuꞌmaránaumno siyé. Kosekaiyó Yóni súwasarai isésarai 
LUK.7.20	Ísumpaꞌa tasimámesarai Yóni nombó maitínkáíwai siꞌmáráísakai empáꞌá túye. Yónimo simbá kumínonemo siyáawiyaꞌo fíꞌowawa ónómpo kemá kumíndawimba amuꞌmaránaumno siyé. Ísumba tasimámúyana 
LUK.7.21	minkánááfímbá Ísu sáwífaꞌ-waasi fíꞌo-fiꞌon-tiꞌa ún-kwaasi kaweꞌá uwátinkena sáwí-amutamba tirumpinkémbá wémaitiyuwena túrambo kafíkón-kwaasi túramba awánamai kaweꞌá uwaná 
