GEN.1.1	Do nakapamarswaw ni Āpo Dyos so hanyit kan lobong,
AMO.1.2	Binata ni Amos a kāna,
AMO.1.2	“Komalebkeb kapaychirin ni ĀPO a yapo do Sion a
AMO.1.2	akmay adey timek na do Jerosalem.
AMO.1.2	Do kasoli no Dyos, nagtīkag saw pagpaspastoran saw,
AMO.1.2	kan nahayo saw tamekaw do Tokon a Karmel.”
AMO.1.3	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do idi a Damasko. As dawa, sigorādo a dosāen ko sanchi, ta taywara a makamwamomo karanggas a pinarin da dyirad tawotawowaw do tana a Gilead. 
AMO.1.4	Maynamot do dyaya, ipanamay konchiw palasyowaw a pinatnek ni Āri Hasael,
AMO.1.5	Rakraken konchiw rowangan saw no Damasko. Ipadiman ko sanchiw tawotawo do Payahosongan no Aben kan iyaw mangigpet so baston a iyaw pangōlo no Bet-eden. On, siraw nya tawotawo no Sirya, ki maakaw sanchi do tana a Kir a mabahod.”
AMO.1.6	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do idi a Gasa. As dawa, sigorādo a dosāen ko sanchi, ta inakaw daw tabo tawotawo no asa kanasyon a sibabahod, as nakailāko da sira a tagābo dyirad tawotawowaw do tana a Edom. 
AMO.1.7	Maynamot do dyaya, ipanamay konchi iyaw pinakaahad no Gasa, kan temtemen ko sanchiw kōta na. 
AMO.1.8	Ipadiman konchiw āri do idi a Asdod.
AMO.1.9	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Tiro. As dawa, sigorādo a dosāen ko sanchi, ta inparawat da tabo tawotawo no asa kanasyon a sibabahod, as nakailāko da sira dyirad tawotawo do tana a Edom do nakainonolay daw so tōlag no kapaysisīt. 
AMO.1.10	Maynamot do dyaya, ipanamay konchi iyaw pinakaahad no Tiro, kan temtemen ko sanchiw kōta na.”
AMO.1.11	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Edom.
AMO.1.12	Maynamot do dyaya, ipanamay konchi iyaw idi a Teman, kan temtemen ko sanchiw kōta no Bosrah.”
AMO.1.13	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Ammon. As dawa, sigorādo a dosāen ko sanchi, ta do kapachigobat da a maynamot do kakey da mayāgom so tana no matarek, binochakan da a iniwangan bodek dan mabogi saw a mababakes a myan do Gilead. 
AMO.1.14	Maynamot do dyaya, ipanamay konchi iyaw pinakaahad no idi a Rabbah, kan temtemen ko sanchiw kōta na. Do dāwrinchi a araw no kapaggobat, maychangengengey sanchi, as akmanchi so mayitaw a bagyo iyaw mapasāmak a gobat. 
AMO.1.15	Maakaw sanchiw āri na kontodo opisyalis na a sibabahod, kan maiyangay sanchi do matarek a tana.” Nyaw binata ni ĀPO.
AMO.2.1	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Moab. As dawa, sigorādo a dosāen ko sanchi, ta aba polos anyib da do tohatohang naw no nadimanaw a āri do Edom, ta sinosohan da mandan nayahbek. 
AMO.2.2	Ipanamay konchiw tana a Moab, kan temtemen ko sanchiw kōta no Keryot. Madiman sanchiw tawotawo do Moab do kayan da magariwāwa do gobat, do kadama da maychangengengey no soldādo kan kaitanggoyob no trompita. 
AMO.2.3	Dimanen konchiw magtoray do Moab kontodo opisyalis no nawri a tana.” Nyaw binata ni ĀPO.
AMO.2.4	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Joda. As dawa, sigorādo a dosāen ko sanchi, ta inchipa da saw linteg ko kan tinongpal dabaw bilbilin ko. Napāwaw sa dyirad didyosen
AMO.2.5	Maynamot do dyaya, ipanamay konchi iyaw tana do Joda, kan temtemen ko sanchiw kōta no Jerosalem.”
AMO.2.6	Binata ni ĀPO a kāna, “Nāw da maygaygatos no tawotawo do Israel. As dawa, sigorādo a dosāen ko sanchi, ta ilāko da saw monot saw do kosto kan panādi da so pirak, as siraw mapopobri saw itādi da do asa lang a kapāris no tokap. 
AMO.2.7	Lasalasagan da saw mapopobri, kan tod da sa pawadinen naidadanes saw. Oknoden pan may-āmang asa mabakes, ta dawa, laposan daw masantwan a ngaran ko. 
AMO.2.8	Do tabon logar a pagdaydayāwan da, naypoktadan da saw laylayaw a naisalda dyira.
AMO.2.9	“Do salapen nyo a tawotawo ko, inabo ko saw tawotawo a Amorreo
AMO.2.10	Yaken nangihtot dyinyo do Egipto. Inpangōlwan koynyo do let-ang so apat a poho a katawen kan intoroh ko paw tana daw no Amorreo. 
AMO.2.11	Tinongdo ko saw kadwan a anak nyo a mahahakay a mayparin a propīta, kan kadwan a babbaro nyo a mayparin a Nasireo.
AMO.2.12	“Ki pinaynom nyos palek Nasireo saw, kan binilin nyo saw propītaw a dyi da ibahey inpaltiing ko dyira. 
AMO.2.13	Changori, pakaspyen koynyo a akmas karisonaw a napno so irek. 
AMO.2.14	Aran siraw matataray saw a mayyayo, makadichan sabanchi a polos! Siraw mayiyit saw, ki komapsot sanchi. As kan siraw soldādo, ki maisalākan dabanchiw mismo da inawan. 
AMO.2.15	Siraw magaganay saw a maypāpana, ki pīlit sanchi a magsanod. No matataray saw a mayyayo, ki makaditdit sabanchi. As kan siraw komakabalyowaw, ki maisalākan dabanchiw inawan da. 
AMO.2.16	Aran siraw katotordan a soldādo, ki iwarsi danchiw armas da, as kapayyayo da do dāwrinchi a araw,” binata ni ĀPO.
AMO.3.1	Adngeyen nyo nya chirin ni ĀPO a maikontra dyinyo a tawotawo no Israel. On, nya minsāhi, ki maikontra dyirad intīro a nasyon a inihtot na a yapo do Egipto. 
AMO.3.2	“Yapo do tabo nasyon do hapotayan tana, inyo lang pinidi ko kan inay-aywanan. Dawa, maynamot do tabo a gatogatos nyo, dosāen konchinyo.”
AMO.3.3	Mayrayay sawri a mayam dadwa tawo an dyi sa manma magtōlag? 
AMO.3.4	Mayngerngeroriw lion do kahasan an abo nachichwasan na sangraben na? Mayngerngeroriw bomaro a lion do abab na an abo nahap na? 
AMO.3.5	Masdokoriw manomanok an dya mapawkoy asdok? Mabokchitoriw asdok an dya madyiway? 
AMO.3.6	An maitanggoyob trompita do syodad a mangipakatoneng so gobat, maychamirpirpir sabawriw tawotawo? Aryoriw didigra do asa syodad an dya ipalōbos ni ĀPO? 
AMO.3.7	Masigorādo a panmanmahen aba parinen Āpo a DYOS aran āngo an dyi na manma ipaltiing panggep naw dyirad propīta na sa. 
AMO.3.8	Nakapayngerngeraw no lion, aryoriw dya namo? Nakapaychirinaw ni Āpo a DYOS, sino maskeh a mangipakatoneng so inpaltiing na?
AMO.3.9	Ipakatoneng nyo do tawotawo a myan dyirad kōta saw no idi a Asdod kan tana a Egipto a kon nyo, “Maychichipeh kamo do tokotokonaw do omdibon no idi a Samarya, kan saksyan nyo rakoh a riribok do irahem no nawri a syodad kan kaidadanes a mapariparin daw.” 
AMO.3.10	Binata ni ĀPO a kāna, “Chapatak daba no nya tawotawo mamarin so kosto. Apnopnohen daw kōta da so kinabaknang a yapo do kasamsam kan karanggas da.” 
AMO.3.11	Dawa, nyaw binata ni Āpo a DYOS a kāna, “Myan anchiw kabōsor a mangdibon do tana nyo. Abohen danchiw kayit nyo, as kan samsaman danchiw kōta nyo sa.”
AMO.3.12	Binata ni ĀPO a kāna, “Akmas asa magpaspastor a mangisalākan do dangoy no asa lion so dadwaw lang a kokod no karniro mana bīt danan tadyinya na, komwan anchiw maparin dyirad papere lang a makalāsat a tawotawo no Samarya a maypoypoktad dyirad mapipintasaw a katri da.
AMO.3.13	Mangadngey kamo kan saksyan nyo maikontra do kapotōtan Jakob,” kāna ni Āpo a DYOS a Manakabalin do Tābo. 
AMO.3.14	“Anchan araw a kapangdōsa ko dyirad tawotawo no Israel maynamot dyirad gatogatos da, rarayawen ko sanchiw altar do Betel.
AMO.3.15	Rarayawen konchiw bahay a para do ammyan kan komwan pa do bahay a para do rayon. Siraw bahabahay a nabistyan so sōng saw no elepanti, ki mararayaw sanchi. On, siraw bahabahay dan mabaknang, mararayaw sanchi a tabo.”
AMO.4.1	Adngeyen nyo nya, inyo a mababakes do Samarya a tomaba a akmas siras bāka saw do Basan, inyo a mangidadanes siras mapopobri kan mangtokatokap siras makachitaw, as kan mangbilin siras lallakay nyo saw a iyangayan daynyo so inomen. 
AMO.4.2	Maynamot do kasanto ni Āpo a DYOS, insapata na a kāna, “Masyirto a ītonchiw araw a magorogod kamo do sadyit. On, kāda asa dyinyo, ki akmas amongaw a masayrinan a maikaro. 
AMO.4.3	Igōyod danchinyo a iyangay a derecho do singit no naloyo a ahad, as kaitapwak da dyinyo.”
AMO.4.4	Binata ni ĀPO dyirad tawotawo no Israel a kāna, “Sīgi! Kangay nyo do Betel
AMO.4.5	Mangidāton kamwaya so tināpay a napangayan so yapo
AMO.4.6	“Yaken napaychapteng
AMO.4.7	Pinachimoy kwaba do taywara kachitan mohamoha nyo so ranom. Pinachimoy ko do asa a idi, ki engga do matarek. Nachimoyan asaw a bengkag, ki nayapseng asaw. 
AMO.4.8	Siraw tawotawo, mapāpasyaw sa midibidi do kāda idi a maychichwas so ranom a maynom da, ki alit na dyi sa makanawob. Ki aran komwan, alit na dyi kamo pa a naybidi dyaken,” binata ni ĀPO.
AMO.4.9	“Rinarayaw ko mohamoha nyo do hakawan kan kaobasan so ganyit kan domalangdang a salawsaw a yapod dāya. Inkisap no kabaga tabo bohobohong no kayokayo nyo a igos kan olibo. Aran komwan, alit na dyi kamo pa a naybidi dyaken,” binata ni ĀPO. 
AMO.4.10	“Pinaganyit koynyo a akmas pinarin kwaw do Egipto. Diniman ko saw babbaro nyo do gobat, kan inpayyayo ko saw kabalyo nyo. Nawri danaw mangwangot nyo pinangyobek ko saw a nahta a bangkay do kampo nyo. Ki aran komwan, alit na dyi kamo pa a naybidi dyaken,” binata ni ĀPO.
AMO.4.11	“Rinarayaw ko kadwan dyinyo akmas nakararayaw kwaw so Sodoma kan Gomorra. Inyo a nakalāsat, akma kamwaya so ahotenaw a masososohan a nalnet do apoy. Ki aran komwan, alit na dyi kamo pa a naybidi dyaken,” binata ni ĀPO. 
AMO.4.12	“As dawa, dosāen konchi inyo a tawotawo do Israel. Maynamot ta parinen ko nya dyinyo, saganāan nyo kabayat nyo so kapangokom no Dyos nyo!”
AMO.4.13	No Dyos, iyaw nangpotar so tokotokon
AMO.4.13	kan namarswa so salawsaw.
AMO.4.13	Ipakatoneng naw kapangtokto na do tawotawo.
AMO.4.13	Payparinen na a sari iyaw maraw.
AMO.4.13	Mayam do katotohosan a yanan do tanaya.
AMO.4.13	ĀPO a Dyos a Manakabalin do Tābo iyaw ngaran na!
AMO.5.1	Adngey nyo, inyo a tawotawo do Israel, iyaw pagdongdong-aw kwaya a maynamot dyinyo:
AMO.5.2	“Nabahatog danaw birhin a Israel,
AMO.5.2	kan nakapaybangon paba!
AMO.5.2	Naharaharag dana a nainonolay do tana,
AMO.5.2	kan arabaw mangbangon sya.”
AMO.5.3	Binata ni Āpo a DYOS a kāna, “Iyaw syodad do Israel a manoboy so asa ribo a soldādo a machigobat, ki asa gasot anchi lang makapaybidi. Iyaw asa idi a manoboy so asa gasot a soldādo a machigobat, ki asa poho anchi lang makapaybidi.”
AMO.5.4	Iyaw nyaw binata ni ĀPO dyirad tawotawo do Israel a kāna, “Maybidi kamo dyaken kan mabyay kamo. 
AMO.5.5	May kamo aba do Betel
AMO.5.6	Maybidi kamo di ĀPO kan mabyay kamo, ta angwan dalaposen naw kapotōtan ni Jose
AMO.5.7	Kapakāsi nyo pa, ta dyinido nyo kosto a kapangokom a nayparin a makpad,
AMO.5.8	Si ĀPO, namarswa siras bitohen saya,
AMO.5.8	siraw mayngaranaw so Pliyades kan Orion.
AMO.5.8	Iyaw mapaybadiw so sari a mayparin a sedang,
AMO.5.8	kan mapaybadiw so maraw a mahep.
AMO.5.8	Iyaw manghap so ranom do tāw,
AMO.5.8	as padohen na a akmas chimoy do tana.
AMO.5.8	ĀPO iyaw ngaran na.
AMO.5.9	Apagilap, kararayaw nas mabīleg saw
AMO.5.9	kan kōta da saw.
AMO.5.10	Ipsok nyo mangitēnek so kosto do pangokoman, kan idadanes nyo iyaw mangibaheyaw so oyod. 
AMO.5.11	Linasalasagan nyo mapopobri saw, kan tinakawan nyo sa so trigo. Dawa, aran mapatnek kamo so bahay nyo a bato a mapipintas, polos a dyi kamonchi a makapagyan daw. Aran maraber saw kaobasan a inmoha nyo, polos anchi a dyi nyo a maynom palek da. 
AMO.5.12	Chapatak ko an maypāngo kataywara no kasokir nyo kan maypāngo karahmet no gatos nyo. Lidyalidyaten nyo tawo saw a malinteg do kapangdaw nyos pasoksok, as kan pinenpen nyo kinalinteg dyirad mapopobri saw do pangokoman. 
AMO.5.13	Dawa, iyaw tawo a masīrib, ki maganaganay dana an dya maylilyak, maynamot ta mamarahet dana saw nyaya araw.
AMO.5.14	Nāw nyo chichwasen maganay a dya iyaw marahet tan mabyay kamo. Do dāwri, myan anchi si ĀPO Dyos a Manakabalin do Tābo dyinyo a akmas inbahey nyowaw a maynamot dya. 
AMO.5.15	Ipsok nyo marahet kan chadaw nyo maganay. Pagāryen nyo kinalinteg do pangokoman. Āngonchan si ĀPO a Manakabalin, maāsot kāsi na do tawotawo no nya nasyon dyirad nakalāsat saw a sibibyay pa.
AMO.5.16	Dawa, nyaw binata ni ĀPO a Manakabalin do Tābo a kāna, “Myan anchiw kapagdongdong-aw do kāda plasa, kan myan saw magarimbāngaw do oltimo a liday da do tabo a kalkalsāda do syodadaya. Matawagan sanchiw homakahakaw a machitanyitanyis kan siraw matangtangdanan saw a magdongdong-aw. 
AMO.5.17	Myan kapagdongdong-aw do tabo kaobasan, ta mangay akonchi a midibidi a mangdōsa dyinyo.” Nyaw binata ni ĀPO.
AMO.5.18	Kapakāsi nyo pa a mangahahay so araw a kangay ni ĀPO! Āngo paro maganay a maitoroh na no nawri a araw? Iyanchiw nawri, ki araw no sari a dya sedang. 
AMO.5.19	Akma anchis tawowaw a payayowan naw lion, ki myan sawen mabayat na matarek a maranggas a animal.
AMO.5.20	Iyaw arawaw a kangay ni ĀPO, ki sari lang a abaw soho. Araw anchiw nawri a makalidliday, kan aba polos chinyel no sedang.
AMO.5.21	Binata ni ĀPO a kāna, “Ipsok ko saw sinsinan saw a pista nyo,
AMO.5.22	Aran yangay nyo saw dāton saw a masosohan kan dāton saw a irek, rawaten ko sabanchi. Aran siranchiw pinataba
AMO.5.23	Aryan nyo naw pakalikalyak nyo saya kanta nyo! Chakey kwaba adngeyen toktokar no arpa nyo! 
AMO.5.24	Basbāli, pakono a pagāryen nyo kinalinteg a akmas kawyog naw no ranom do oksong, kan kalinteg a akmas rakohaw a oksong a dya polos a mayachan.
AMO.5.25	“Inyo a tawotawo do Israel, taywaran nangyangay kamo so dāton saw a masosohan dyaken kan siraw dāton saw a mapaychachapya do apat a poho a katawen do kayan nyo do let-ang? 
AMO.5.26	Ki sichangori, maykatkat kamo siras dadwa saw a didyosen
AMO.5.27	Dawa, payamen koynyo a sibabahod a akawen do labes no Damasko a syodad.” Nyaw binata ni ĀPO, iyaw Dyos a Manakabalin do Tābo.
AMO.6.1	Kapakāsi nyo pa, inyo a maydamnay dana so kabibyay do Sion kan inyo a omyan do Samarya a maimas danas kayayan. On, kapakāsi nyo pa, inyo a mabigbigbig a pangpangōlo do dyaya a mabīleg a nasyon a napidi kan kwanan da no tawotawo do Israel an makachita sa so sidong. 
AMO.6.2	Mangay nyo a chiban syodad no Kalne, as kapaypakwan nyo do mabīleg a syodad no Hamat, kan maypawsok kamo pa do Gat a syodad dan Pilisteo. Maganaganayoriw pagāryan da kan iyaw pagāryan Joda kan Israel? Maraharahawawriw tana da kan tana nyo? 
AMO.6.3	Chaskeh nyo a rawaten iyaw ītonchi a kayan didigra. Ki maynamot do kaparin nyo, paypasngenen nyo paw kangay no nawri a araw no kinaranggas. 
AMO.6.4	Kapakāsi nyo pa inyo a maylolonat do mangingīna a paydisnan, kan michaychan so karni a nadām a orbon no karniro kan bāka. 
AMO.6.5	Chadaw nyo mamarin so kanta, kanta a akmas pinarin ni Dabid do kaychowa, kan tokaran nyo so arpa. 
AMO.6.6	Minom kamo so sinabasabak a palek, kan magosar kamo so kangingināan naw a bangbanglo, ki pinagmamayo nyo abaw kararayaw no Israel. 
AMO.6.7	Dawa, inyonchiw manma maakaw kan maiyangay do matarek a tana. Machipandanchi iyaw pista kan pasken nyo.
AMO.6.8	Si Āpo DYOS a Manakabalin do Tābo, nangisapata syay do mismo a kinadyos na a kāna, “Ipsok ko kapangas da no tawotawo no Israel kan siraw mangingīna a palasyo
AMO.6.9	An asa poho a mahahakay nabidin do asa pamilya, madiman pa sanchi. 
AMO.6.10	An mawaraw kabagyan naw a myan so rebbeng a mangihtot so bangkay saw a yangay na sosohan, kan manahes do nakalāsataw do bahay an myan paw tomayotayo daw a kāna, “Ariwriw rarayay mo?”
AMO.6.10	Atbayen nanchi a kāna, “Aba!”
AMO.6.10	Do dāwri, batahen no kabagyan naw a kāna, “Maylilyak kaba! Machita dyi ta ichirin ngaran ni ĀPO.”
AMO.6.11	Anchan magmandar si ĀPO, rakraken na sanchiw rarakohaw a bahay, kan homhomken na sanchiw dēdekey saw. 
AMO.6.12	Makapayyayo sawriw kabalyo do rarakoh a bato? Ariwriw magarado a bāka do tāw? Aba! Ki pinayparin nyo a binīno iyaw kinalinteg, kan pinayparin nyo a kosto iyaw maddi!
AMO.6.13	Chasoyot nyo nakasākop nyo so idi no Lodebar.
AMO.6.14	Si ĀPO Dyos a Manakabalin do Tābo, makabata sya a kāna, “Inyo a tawotawo a Israel, manoboy akonchi so gan-ganaet a nasyon a mangsākop so nasyon nyo. Lidyalidyaten danchinyo a yapo do asdepan do Hamat do ammyānan a manda do dēkeyaw a oksong no Arabah do abagātan.”
AMO.7.1	Nyaw parmata a inpaboya dyaken ni Āpo a DYOS. Naboya ko nakaisagāna na siras kabaga saw do katayoka no kapagparaspas so bīnglay ni āri kan tomohos danaw somaronwaw. 
AMO.7.2	Do parmata ko, naboya ko an maypāngo nakapatawos da no kabagaw so tabo a naimoha do tana. Do dāwri, binata ko a kon ko, “Āpo a DYOS, pakawanen mo pa saw tawotawo mo a Israel! Maypāngo pa sa mabyay? Dēkey dana sa kan apabaw ayit da!”
AMO.7.3	Naāsot kāsi ni ĀPO do pinanggep naw, kan binata na a kāna, “Sīgi! Maparin pabanchiw nya.”
AMO.7.4	Myan paw matarek a parmata inpaboya dyaken ni Āpo a DYOS. Naboya ko nakapagsagāna na a mangdosa so tawotawo na maynamot do apoy. Nasosohan iyaw marahemaw a tāw do irahem no tanaya
AMO.7.5	Binata ko a kon ko, “Āpo a DYOS, machikakaāsi ako dyimo a magsardeng ka na! Maypāngo pa sa mabyay tawotawo mo a Israel? Dēkey dana sa kan apabaw ayit da!”
AMO.7.6	Naāsot danaw kāsi ni Āpo a DYOS do pinanggep naw, kan binata na a kāna, “Sīgi! Aran iyaw nya, ki maparin pabanchi.”
AMO.7.7	Myan paw matarek a parmata dyaken ĀPO. Naboya ko a myan a mayteytēnek si ĀPO do bīt no asa ahad a napatnek a naosar pindōla. Myan na ig-igpet pindōlaw. 
AMO.7.8	Inyahes na dyaken a kāna, “Āngo naboya mom Amos?”
AMO.7.8	“Asa a pindōla,” initbay ko.
AMO.7.8	Do dāwri, binata na a kāna, “Osaren ko nya a pangipaboya a mayārig tawotawo ko do asa ahad a napatnek a dya nawnotan iyaw pindōla. Magbaliw pabaw kapangtokto ko a mirwa do kadōsa ko sira. 
AMO.7.9	Mararayaw sanchiw logar saw a nagdaydayāwan kapotōtan saw ni Isaak. Marakrak sanchiw masantwan saw a yanan do Israel. Abohen konchi iyaw kapagtoray no pampamilya ni Āri Jeroboam.”
AMO.7.10	Si Amasyas a pādi do Betel, ki nangirapit so dāmag di Jeroboam a āri do Israel, kan binata na a kāna, “Myanaw si Amos a propīta dyirad tawotawo do Israel a mangipangta so maikontra dyimo. Ay! Mararayaw logar taya do ibahebahey na saya. 
AMO.7.11	Nyaw binata na a kāna, ‘Madiman anchi si Jeroboam do paggogobatan. Maakaw sanchi a sigorādo tawotawowaw do Israel a maikaro do sīgod a tana da.’”
AMO.7.12	Do dāwri, binata ni Amasyas di Amos a kāna, “Naw danam propīta! Maybidi ka na do Joda, kan dawriw pangipadtwan mo a magpabāyad. 
AMO.7.13	Mangipadto ka paba do Betelaya, ta do dyaw logar a pagdaydayāwan āri
AMO.7.14	Tominbay si Amos a kāna, “Taywaran yaken propītaw a magpabāyad an mangipadto ako? Yaken asa magpaspastor, kan mangay-aywan so kayokayo a sikamoro. 
AMO.7.15	Ki tinawagan na yaken ĀPO a komaro do kapagpaspastor ko, kan inbilin na dyaken a mangipadto dyirad tawotawo na a Israel. 
AMO.7.16	Changori, adngeyen mo minishi naya ni ĀPO. Batahen mo a magsardeng ako a mangipadto a maikontra dyirad tawotawo do Israel. 
AMO.7.17	Dawa, mo Amasyas, nyaw binata ni ĀPO dyimo a kāna, ‘Mayparin anchis baket mo a maglaklāko so asi na do syodadaya. Madiman sanchiw pōtot mo do paggogobatan. Paychakarwan danchi no kompormi iyaw tana mo, as madiman kanchi do gan-ganaet a tana a dya mangbigbig si ĀPO Dyos. Maakaw sanchi a sigorādo tawotawowaw a Israel a maikaro do sīgod a tana da.’”
AMO.8.1	Myan paw matarek a parmata dyaken ni Āpo a DYOS. Nakaboya ako so asa kaalat a naynoy a asin kayo. 
AMO.8.2	Inyahes ni ĀPO a kāna, “Amos, āngo naboya mo?
AMO.8.2	“Asaya kaalat a naynoy a asin kayo”, initbay ko.
AMO.8.2	Do dāwri, binata ni ĀPO dyaken a kāna, “Īto danaw chimpo a pachipandan
AMO.8.3	Kan do dāwrinchi a araw, siranchiw kankanta do palasyo, ki mayparin anchi a kapagdongdong-aw. Maychaharaharag sanchi a madiman do kāda yanan. Maipoha sanchi a sioolimek.”
AMO.8.4	Adngeyen nyo nya, inyo a manglasalasag siras makachita kan magpanggep a mangabo siras mapopobryaya do dya tana. 
AMO.8.5	No bata nyo do inawan nyo a kon nyo, “Malisto pakono a komabos ibidang daya a masantwan a araw
AMO.8.6	Kangināen namen pangilakwan namen so mahopes a irek. Maychichwas kaminchi so mapobri a tawo a dya makabāyad so ōtang na, kan gatāngen namen pobryaw so balor lang no asa kapāris a tokap a payparinen a adipen.”
AMO.8.7	Nagsapata si ĀPO a Dyos no Israel, “Polos anchi a dyi ko a mawayakan mararahet a kaparin da. 
AMO.8.8	Magin-gined anchiw tanaya maynamot do dyaya, kan magdongdong-aw sanchiw tabo tawotawo do tanaya. Magalloallon anchiw tābo tanaya a akmas oksongaw a Nile do Egipto.”
AMO.8.9	Binata ni Āpo a DYOS a kāna, “Do dāwrinchi a araw, pasdepen konchiw araw an mayegen, kan paysaryen ko tanaya an māraw. 
AMO.8.10	Payparinen konchiw pispista nyo a dongdong-aw. Payparinen konchiw mararagsak a kankanta nyo a katanyis. Ipalaylay konchi inyo so makekersang saw a laylay, kan ipachischis konchiw oho nyo. Payparinen konchi inyo a akma siras inyaynyapwan saw a magmamayo do kadiman no moyboh a mahakay a anak da. As kan do dāwrinchi a araw, ki mayparin a makpad a nāw na malidyat a manda do tawsan na.”
AMO.8.11	Binata ni Āpo a DYOS a kāna, “Īto danaw chimpo a kapangyangay ko so kapaychapteng do tanaya, ki nawri abanchiw paychaptengan daw mākan. Ranom abanchiw kawawan da, an dya iyaw kadngey da so minsahi ko. Yaken si ĀPO a nangibahey syay. 
AMO.8.12	Mapāpasyaw sanchiw tawotawo a midibidi yapo do asa a tāw a komwan do matarek a tāw, kan maypadibon sanchi yapo do ammyānan a maypakwan do dāya a maychichwas so chirin ni ĀPO, ki polos anchi a dyi da madongso. 
AMO.8.13	Do dāwrinchi a araw, siraw mapipintas saw a babbalāsang kan siraw mayiyit saw a babbaro, ki mapleng sa do taywara a kawaw da. 
AMO.8.14	Siraw mangisapataw do didyosen
AMO.9.1	Naboya ko si Āpo a mayteytēnek do bīt naw no altar. Inbilin naw nya a kāna, “Māswen mo totok saya no parey
AMO.9.2	Aran machikolkol sa do yanan no kadiman,
AMO.9.3	Aran tomayo sa do totok no Tokon a Karmel, chichwasen ko sanchi kan tiliwen ko sa. Aran taywan da yaken do irahem no tāw, bilinen konchiw rakohaw a boday
AMO.9.4	Aran ihtot da san kabōsor da a akawen, ibilin konchi a ipadiman da sa do ispāda. Nawrinchiw chichiban ko iyaw kararayaw da, iyabaw kasidong ko sira.”
AMO.9.5	Si Āpo a DYOS a Manakabalin do Tābo,
AMO.9.5	saliden naw tanaya kan malonag,
AMO.9.5	kan magdong-aw tabo a omyan daw.
AMO.9.5	No tābo tanaya, ki magalloallon a akmas oksong a Nile do Egipto.
AMO.9.6	Mapatnek si ĀPO so bahay na do hanyit,
AMO.9.6	kan pangayen naw pondasyon na do tanaya.
AMO.9.6	Tawagan naw ranom do tāw,
AMO.9.6	kan padohen na do hapotayan tana.
AMO.9.6	Si ĀPO ngaran na.
AMO.9.7	Binata ni ĀPO a kāna, “Inyo a tawotawo do Israel, akma kamo siras taga Etiopyaw dyaken. Inihtot ko saw Pilisteo a yapo do Kreta kan siraw taga Siryaw a yapo do Kir a akmas nakaihtot kwaw dyinyo a yapo do Egipto. 
AMO.9.8	Yaken si Āpo a DYOS, mangsipsipot so nya magagatosen a tawotawo do pagāryan no Israel. Rarayawen ko sanchi a abohen do hapotayan tana, ki rarayawen ko abanchi a tabo iyaw kapotōtan Jakob.
AMO.9.9	“Do mandar ko, yokoyoken konchiw tawotawo do Israel. On, yokoyoken ko sanchi a karāman dan tabo saya nasyon tan mapakaro tabo a abo so sirsirbi. 
AMO.9.10	Tabo no magagatosen do tawotawo ko, ki madiman sanchi do ispāda. On, tabon makabata sya a kon da, ‘Abanchiw didigra a mangyoba mana makasngen dyaten.’”
AMO.9.11	Binata ni ĀPO a kāna, “Īto danaw araw a pirwahen ko na bangonen pagāryan ni Dabid a mayarig do asa nalasa a bahay. Paysonongen ko sanchiw ahad na, kan pabidyen konchiw plastar naw. Bangonen kan payparinen konchi a akmas sīgod a kayayan na. 
AMO.9.12	Tan komwan, sakōpen nanchi no tawotawo a Israel nabidin saw a tana no Edom kan tabo a nasyon a dyaken do nakarahan.” Komwan chirin ni ĀPO a mangparin anchi sira syay.
AMO.9.13	Binata ni ĀPO a kāna, “Īto dana saw araw
AMO.9.13	a dyi sa makagaben magranyi do kāro no āpit,
AMO.9.13	kan dya kadasan no maypaypalek so maynoy a obas.
AMO.9.13	Maytetedted sanchiw bayo a palek a yapo do katokotokonan,
AMO.9.13	kan maychawoyog anchi do paytoytokonan.
AMO.9.14	Pabidyen ko sanchiw naakaw saw a tawotawo ko a Israel do tana da.
AMO.9.14	Patneken da sanchi a mirwaw nararayaw saw a syodad da kan omyan dana sa daw.
AMO.9.14	Maymoha sanchi so obas, kan inomen da panchiw palek naw.
AMO.9.14	Homakaw sanchi, kan kanen danchiw maāpit da.
AMO.9.15	Imoha konchiw tawotawo a Israel do tana a intoroh ko dyira,
AMO.9.15	kan mabagot pa sabanchi a mirwa.”
AMO.9.15	Nyaw binata ni ĀPO a Dyos nyo.
OBA.1.1	Nyaw inpaltiing ni ĀPO a Manakabalin do Tābo di Obadyas a maynamot do nasyon a Edom.
OBA.1.1	Tinoboy ni ĀPO iyaw minsahiro naw dyirad nasnasyon saw,
OBA.1.1	kan nadngey namen minsāhi na a kāna,
OBA.1.1	“Magsagāna kamo! Mangay ta machigobat kontra do Edom!”
OBA.1.2	Binata ni ĀPO do Edom a kāna, “Payparinen koymo a sinsinan,
OBA.1.2	as taywara anchiw kaidadanes da dyimo.
OBA.1.3	Inallilaw naymo no kapangas mwaya, imo a machilibeng do kōta a bato.
