MAT.1.1	Lioar sheeloghe Yeesey Creest, mac Ghavid, mac Abraham. 
MAT.18.13	As my she shen dy vel eh dy gheddyn ee, dy firrinagh ta mee gra riu, dy vel eh goaill ny smoo dy voggey jeh’n cheyrrey shen, ny jeh’n chiare-feed as yn nun-jeig, nagh jagh er-shagryn. 
MAT.18.14	Er yn aght cheddin, cha nee aigney nyn Ayr t’ayns niau eh, unnane jeh’n vooinjer veggey shoh dy herraghtyn.
MAT.18.15	Myrgeddin my nee dty vraar aggair dhyt, immee as insh da e oill eddyr shiu hene nyn lomarcan: my eaishtys eh rhyt, t’ou er chosney dty vraar. 
MAT.18.16	Agh mannagh n’eaisht eh rhyt, eisht gow mayrt fer ny jees elley, ayns beeal ghaa ny three dy eanishyn dy vod dy chooilley ockle ve jeant mie. 
MAT.18.17	As mannagh der eh geill dauesyn, insh eh da’n agglish: agh mannagh der eh geill da’n agglish, jeeagh er myr an-chreestee as myr publican. 
MAT.18.18	Dy firrinagh ta mee gra riu, Cre-erbee nee shiuish y chiangley er y thalloo, bee eh kianlt ayns niau: as cre-erbee nee shiu y eaysley er y thalloo, bee eh er ny eaysley ayns niau. 
MAT.18.19	Reesht ta mee gra riu, my nee jees jiuish coardail er y thalloo ’syn un aghin, bee nyn aghin er ny chooilleeney liorish my Ayr t’ayns niau. 
MAT.18.20	Son raad ta ghaa ny three er nyn jaglym cooidjagh ayns m’ennym’s, shen y raad ta mish nyn mastey.
MAT.18.21	Eisht haink Peddyr huggey, as dooyrt eh, Hiarn, cre cha mennick as ta orrym’s leih da my vraar, tra yioym aggair liorish? nee choud as shiaght keayrtyn? 
MAT.18.22	Dooyrt Yeesey rish, Cha vel mish gra rhyt, Choud as shiaght keayrtyn: agh choud as three-feed as jeih keayrtyn shiaght.
MAT.18.23	Shen-y-fa ta reeriaght niau er ny hoylaghey gys ree dy row, baillish coontey rish e harvaantyn. 
MAT.18.24	As tra v’eh er n’yannoo toshiaght dy choontey, haink fer huggey va lhiastyn da jeih thousane talent. 
MAT.18.25	Agh son wheesh as nagh row echey dy eeck, doardee e hiarn eh dy ve creckit, as e ven, as e chloan, as ooilley ny v’echey, as e eeaghyn dy ve eeckit. 
MAT.18.26	Huitt y charvaant er-y-fa shen sheese, as ghuee eh er, gra, Cur daill dou, Hiarn, as nee’m ooilley y eeck dhyt. 
MAT.18.27	Eisht va chiarn y charvaant shen er ny veiyghey lesh chymmey, as ren eh feaysley er, as leih eh da ny ve’h dy lhiastyn. 
MAT.18.28	Agh hie yn charvaant cheddin magh, as hooar eh fer jeh e heshaghyn-sharvaant va lhiastyn keead ping da: as haare eh greme er, as ghow eh eh er y scoarnagh, gra, Eeck shen ny t’ou dy lhiastyn. 
MAT.18.29	As huitt e heshey-harvaant sheese ec e chassyn, as ghuee eh er, gra, Cur daill dou, as nee’m ooilley y eeck dhyt. 
MAT.18.30	Agh cha lhiggagh eh lesh: agh hie eh, as hilg eh eh ayns pryssoon, derrey eeckagh eh ny v’eh dy lhiastyn. 
MAT.18.31	Myr shen tra honnick e heshaghyn-sharvaant kys hie eh er, ghow ad dy feer olk rish, as haink ad, as dinsh ad da nyn jiarn ooilley ny va er daghyrt. 
MAT.18.32	Eisht deïe e hiarn er, as dooyrt eh rish, O ghrogh harvaant, leih mish dhyt’s yn slane lhiastynys shen, er-yn-oyr dy ren oo lheid yn aghin hym: 
MAT.18.33	Nagh lhisagh uss myrgeddin as chymmey er ve ayd er dty heshey-harvaant, eer myr va chymmey aym’s ort’s? 
MAT.18.34	As va e hiarn jymmoosagh, as livrey eh seose eh gys laue y tidoor ny phryssonagh, derrey eeckagh eh ooilley ny v’eh dy lhiastyn. 
MAT.18.35	Er yn aght shoh myrgeddin nee my Ayr flaunyssagh riuish, mannagh leihee shiu veih nyn greeaghyn dy chooilley ghooinney da e vraar e loghtyn.
MAT.19.1	As haink eh gy-kione, erreish da Yeesey v’er loayrt ny goan shoh, dy jimmee eh veih Galilee, as dy daink eh gys ardjyn Yudea, er cheu elley dy Yordan: 
MAT.19.2	As deiyr earrooyn mooarey dy leih er, as ren eh ad y lheihys ayns shen.
MAT.19.3	Haink ny Phariseeyn huggey myrgeddin dy phrowal eh, as dooyrt ad rish, Vel eh lowal da dooinney e ven y chur ersooyl son dy chooilley oyr? 
MAT.19.4	Dreggyr eshyn, as dooyrt eh roo, Nagh vel shiu er lhaih, eshyn chroo ad ec y toshiaght, dy chroo eh ad fyrrynagh as bwoirrynagh? 
MAT.19.5	As dooyrt eh roo, Er-yn-oyr shoh nee dooinney faagail e ayr as e voir, as lhiannee eh gys e ven: as bee ad ny-neesht un eill. 
MAT.19.6	Shen-y-fa cha vel ad ny sodjey jees, agh yn un eill. Cre-erbee er-y-fa shen ta Jee er chur cooidjagh, ny lhig da dooinney erbee y scarrey veih-my-cheilley. 
MAT.19.7	Dooyrt adsyn rish, Cre’n-oyr eisht doardee Moses screeuyn-scarree y choyrt, as y ven y chur ersooyl? 
MAT.19.8	Dooyrt eshyn roo, Kyndagh rish creoghys nyn greeaghyn, lhow Moses diu nyn mraane y chur ersooyl: agh ec y toshiaght cha row eh myr shen. 
MAT.19.9	As ta mish gra riu, Quoi-erbee scarrys rish e ven, cheu-mooie jeh son maarderys, as phoosys ben elley, t’eh brishey-poosey: as quoi-erbee phoosys ish ta scarrit, t’eh brishey poosey.
MAT.19.10	Dooyrt e ostyllyn rish, My she shoh yn chooish eddyr dooinney as e ven, cha vel eh mie dy phoosey. 
MAT.19.11	Agh dooyrt eshyn roo, Cha nee dy chooilley ghooinney oddys shen y ghoaill er 
MAT.19.12	Son ta deiney gennish ayn, rug myr shen veih breïn nyn mayrey: as ta deiney gennish ayn v’er nyn yannoo gennish liorish deiney: as ta deiney gennish ayn, t’er n’yannoo ad hene gennish er graih reeriaght niau. Eshyn oddys shoh y ghoaill er, lhig da ’ghoaill eh.
MAT.19.13	Eisht hug ad lhieu huggey cloan veggey, dy chur e laueyn orroo, as dy vannaghey ad: as hug e ostyllyn oghsan daue. 
MAT.19.14	Agh dooyrt Yeesey, Sur-jee cloan aegey, as ny jean-jee ad y lhiettal dy heet hym’s: son jeh nyn lheid ta reeriaght niau. 
MAT.19.15	As hug eh e laueyn orroo, as jimmee eh veih shen.
MAT.19.16	As cur-my-ner, haink fer huggey, as dooyrt eh rish, Vainshter vie, cre’n obbyr vie lhisins y yannoo dy chosney yn vea veayn? 
MAT.19.17	As dooyrt eshyn rish, Cre’n-fa t’ou genmys mish mie? cha vel ayn ny ta mie, agh unnane, ynrycan Jee: agh my sailts goll stiagh ayns bea, freill ny annaghyn. 
MAT.19.18	Dooyrt eshyn rish, Cre ny annaghyn? Dooyrt Yeesey, Cha jean oo dunverys, Cha brish oo poosey, Cha jean oo geid, Cha n’ymmyrk oo feanish foalsey. 
MAT.19.19	Cur arrym da dty ayr as da dty voir: as, Ver oo graih da dty naboo myr dhyt hene. 
MAT.19.20	Dooyrt y dooinney aeg rish, Ooilley ny annaghyn shoh ta mee er vreayll veih aegid: cre sodjey t’orrym dy yannoo? 
MAT.19.21	Dooyrt Yeesey rish, My sailt ve dy firrinagh mie, immee, as creck, as cur ny t’ayd da ny boghtyn, as bee berchys ayd ayns niau; as tar as eiyr orrym’s. 
MAT.19.22	Agh tra cheayll yn dooinney aeg yn raa shen, hie eh ersooyl dy trimshagh: son va state mooar hallooin echey.
MAT.19.23	Eisht dooyrt Yeesey rish e ostyllyn, Dy firrinagh ta mee gra riu, S’doillee hed dooinney berchagh stiagh ayns reeriaght niau. 
MAT.19.24	As reesht ta mee gra riu, Te ny sassey da camell goll trooid croae snaidey, na da dooiney berchagh dy gholl stiagh ayns reeriaght Yee. 
MAT.19.25	Tra cheayll e ostyllyn shoh, ghow ad yindys erskyn-towse, gra, Quoi eisht oddys ve er ny hauail? 
MAT.19.26	Agh yeeagh Yeesey orroo, as dooyrt eh roo, Gys deiney ta shoh neu-phossible, agh da Jee ta dy chooilley nhee possible.
MAT.19.27	Eisht dreggyr Peddyr, as dooyrt eh rish, Cur-my-ner, ta shinyn er dreigeil ooilley, as er n’eiyrt ort’s; cre yiow mainyn er-y-fa shen. 
MAT.19.28	Dooyrt Yeesey roo, Dy firrinagh ta mee gra riu, ’Sy stayd noa, tra nee Mac y dooinney soie er stoyl-reeoil e ghloyr, dy jean shiuish myrgeddin t’er n’eiyrt orrym’s soie er daa stoyl-reeoil yeig, briwnys daa heeloghe yeig Israel. 
MAT.19.29	As dy chooilley unnane t’er hreigeil thieyn, ny braaraghyn, ny shayraghyn, ny ayr, ny moir, ny ben, ny cloan, ny thalloo, er graih m’ennym’s, yiow ad keead filley, as eiraght ayns y vea veayn. 
MAT.19.30	Agh bee ymmodee jeusyn ta hoshiaght, er-jerrey; as jeusyn ta er-jerrey hoshiaght.
MAT.20.1	Son ta reeriaght niau casley rish dooinney va ny er-thie, hie magh dy moghey dy ailley labreeyn son e gharey-feeney. 
MAT.20.2	As tra v’eh er choardail rish ny labreeyn son ping ’sy laa, hug eh ad stiagh ayns e gharey-feeyney. 
MAT.20.3	As hie eh magh mysh y trass oor, as honnick eh feallagh elley shassoo nyn daaue ’syn ynnyd margee, 
MAT.20.4	As dooyrt eh roo, Immee-jee shiuish myrgeddin gys y gharey-feeyney, as cre-erbee ta cair, shen yiow shiu. As hie ad rhymboo. 
MAT.20.5	Reesht hie eh magh mysh y cheyoo as yn nuyoo oor, as ren eh er yn aght cheddin. 
MAT.20.6	As mysh yn un oor jeig, hie eh magh, as hooar eh feallagh elley shassoo nyn daaue, as dooyrt eh roo, Cre’n-fa ta shiu nyn shassoo ayns shoh fey ny laa nyn daaue? 
MAT.20.7	Dooyrt adsyn rish, Er-yn-oyr nagh vel dooinney erbee er vailley shin. Dooyrt eshyn roo, Immee-jee shiuish myrgeddin gys y gharey-feeney, as yiow shiu cre-erbee ta cair. 
MAT.20.8	Myr shen tra va’n fastyr er jeet, dooyrt chiarn y gharey-feeyney rish y stiurt echey, Eïe er ny labreeyn, as cur daue nyn vaill, goaill toshiaght veih yn vooinjer s’jerree gys y chied eallagh. 
MAT.20.9	As tra haink feallagh yn un oor jeig, hooar ad dagh dooinney jeu ping y pheesh. 
MAT.20.10	Agh tra haink y chied eallagh, heill ad dy voghe ad ny smoo, as hooar adsyn myrgeddin dagh dooinney e phing. 
MAT.20.11	As tra v’ad er ghoaill eh, ren ad tallagh noi yn er-thie, 
MAT.20.12	Gra, Cha vel yn vooinjer s’jerree shoh er n’obbraghey agh un oor, as t’ou er n’yannoo ad corrym rooinyn ta er n’ymmyrkey yn errey as chiass y laa. 
MAT.20.13	Agh dreggyr eshyn fer jeu, gra, Heshey vie, cha vel mish jannoo aggair dhyt: nagh choard uss rhym’s son ping? 
MAT.20.14	Trog shen ny ta lhiat, as immee royd: m’aigney’s eh dy choyrt da’n fer s’jerree shoh, myr ta mee er chur dhyt’s. 
MAT.20.15	Nagh vel eh lowal dou dy yannoo cre saillym rish my chooid hene? vel dty hooill’s olk, er-yn-oyr dy vel mish mie? 
MAT.20.16	Myr shen bee adsyn ta er-jerrey hoshiaght, as adsyn ta hoshiaght er-jerrey: son shimmey t’er nyn eam, agh s’tiark t’er nyn reih.
MAT.20.17	As myr va Yeesey goll seose gys Jerusalem, ghow eh yn daa ostyl yeig dy lhiattee er y raad, as dooyrt eh roo, 
MAT.20.18	Cur-my-ner ta shin goll seose gys Jerusalem, as bee Mac y dooinney er ny vrah gys ny ard-saggyrtyn, as gys ny scrudeyryn, as deyree ad eh gy baase. 
MAT.20.19	As livreyree ad seose eh gys ny Ashoonee, as nee ad faghid er, as eh y scuitchal, as y chrossey: as er y trass laa nee eh girree reesht [veih ny merriu]
MAT.20.20	Eisht haink huggey moir cloan Zebedee, as e mec mâree, cur ooashley da, as shirrey aghin er. 
MAT.20.21	As dooyrt eh r’ee, Cre ta dty yeearree? Dooyrt ish rish, Giall daue shoh my ghaa vac dy hoie, yn derrey yeh er dty laue yesh, as y jeh elley er dty laue hoshtal ayns dty reeriaght. 
MAT.20.22	Agh dreggyr Yeesey as dooyrt eh, Cha vel fys eu hene cre ta shiu dy yeearree. Vod shiu giu jeh’n cappan ta mish giu jeh, as v’er nyn mashtey lesh y bashtey ta mish dy ve bashtit lesh? Dooyrt adsyn rish, Foddee mayd? 
MAT.20.23	As dooyrt eh roo, Iuee shiu dy jarroo jeh my chappan, as bee shiu er nyn mashtey lesh y bashtey ta mish dy ve bashtit lesh: agh dy hoie er my laue yesh, as er my laue hoshtal, cha vel shen lhiam’s dy choyrt, agh ny lomarcan dauesyn er nyn son te kiarit liorish my Ayr. 
MAT.20.24	As tra cheayll yn jeih shoh, v’ad feer jymmoosagh rish y daa vraar. 
MAT.20.25	Agh deïe Yeesey orroo huggey, as dooyrt eh, Ta fys eu dy vel princeyn ny Hashoonee gymmyrkey chiarnys harrystoo, as ta ny ard-gheiney gymmyrkey reill orroo. 
MAT.20.26	Agh cha bee shiuish myr shen: agh quoi-erbee jiuish baillish ve ooasle, lhig da ve nyn shirveishagh. 
MAT.20.27	As quoi-erbee baillish ve yn ard-ghooinney nyn mast’ eu, lhig da ve yn charvaant eu. 
MAT.20.28	Myr nagh daink yn Mac dooinney dy ve shirveishit er, agh dy hirveish, as dy chur e vioys ny lhiassaghey son ymmodee. 
MAT.20.29	As tra v’ad er n’immeeaght veih Jericho deiyr earrooyn mooarey dy leih er.
MAT.20.30	As cur-my-ner, va daa ghooinney doal nyn soie rish oirr yn raad, as tra cheayll ad dy row Yeesey goll shaghey, deïe ad, gra, Jean myghin orrin, O Hiarn, vac Ghavid. 
MAT.20.31	As hooar yn pobble foill daue, ad dy ve nyn dhost: agh deïe adsyn wheesh shen smoo, gra, Jean myghin orrin, O Hiarn, vac Ghavid. 
MAT.20.32	As hass Yeesey, as deïe eh orroo, as dooyrt eh, Cre bailliu mee dy yannoo er ny son eu? 
MAT.20.33	Dooyrt adsyn rish, Hiarn, dy vod ny sooillyn ain v’er nyn vosley. 
MAT.20.34	Myr shen va chymmey ec Yeesey orroo, as venn eh rish ny sooillyn oc: as chelleeragh hooar ny sooillyn oc nyn soilshey, as deiyr ad er.
MAT.21.1	As tra v’ad tayrn er-gerrey da Jerusalem, as dy row ad er jeet gys Bethphage, gys cronk ny Oliveyn, hug Yeesey jees jeh e ostyllyn er chaghteraght, 
MAT.21.2	As dooyrt eh roo, Immee-jee gys y balley-cheerey ta shiu dy akin, as chelleeragh yiow shiu assyl kianlt as lhiy mâree: feayshil-jee as cur-jee lhieu ad hym’s. 
MAT.21.3	As my loayrys dooinney erbee veg riu, abbyr-jee shiuish, Ta feme ec y Chiarn orroo; as chelleeragh lhiggee eh yn raad daue. 
MAT.21.4	Va ooilley shoh jeant, dy voddagh shen ve cooilleenit va loayrit liorish y phadeyr, gra, 
MAT.21.5	Insh-jee da inneen Sion, Cur-my-ner, ta dty ree cheet hood dy imlee, as ny hoie er assyl, as er lhiy sharragh assyl. 
MAT.21.6	As hie adsyn rhymboo, as ren ad myr va Yeesey er n’oardaghey daue. 
MAT.21.7	As hug ad lhieu yn assyl as y lhiy, as hug ad orroo nyn ead-deeyn, as hug ad eshyn ny hoie orroo. 
MAT.21.8	As ren earrooyn mooarey dy leih skeaylley nyn gharmadyn er y raad; yiare feallagh elley banglaneyn jeh ny biljyn, as skeayl ad ad er y raad. 
MAT.21.9	As deïe yn pobble hie roish, as adsyn haink ny yeï gra, 
MAT.21.10	As tra v’eh er jeet gys Jerusalem, va ooilley yn ard-valley ayns anvea, gra, Quoi eh shoh? 
MAT.21.11	Dooyrt y pobble, Shoh Yeesey yn phadeyr, ta veih Nazareth, ayns Galilee. 
MAT.21.12	As hie Yeesey stiagh ayns chiamble Yee, as deiyr eh magh ooilley adsyn va creck as kionnaghey ayns y chiamble, as hilg eh harrish ny buird ocsyn va caghlaa argid, as ny stuill ocsyn va creck calmaneyn. 
MAT.21.13	As dooyrt eh roo, Te scruit, Bee my hie’s enmyssit thie yn phadjer, agh ta shiuish er n’yannoo eh ny ooig dy vaarlee. 
MAT.21.14	As haink ny doail as ny croobee huggey gys y chiamble, as ren eh ad y lheihys. 
MAT.21.15	As tra honnick ny ard-saggyrtyn as ny scrudeyryn ny reddyn yindyssagh v’eh dy yannoo, as ny paitchyn geamagh ayns y chiamble, as gra, Hosanna gys mac Ghavid, v’ad feer chorree. 
MAT.21.16	As dooyrt ad rish, Vel oo clashtyn cre t’ad shoh dy ghra? Dooyrt Yeesey roo, Ta mee; nagh lhaih shiuish rieau, Magh ass beill oikanyn as cloan er y cheeagh t’ou er gheddyn moylley firrinagh? 
MAT.21.17	As daag eh ad, as hie eh magh ass yn ard-valley gys Bethany, as ghow eh aaght ayns shen.
MAT.21.18	Nish ayns y voghrey, myr v’eh goll reesht gys yn ard-valley, v’eh accryssagh. 
MAT.21.19	As tra honnick eh billey-figgagh er y raad, haink eh huggey, as cha dooar eh monney er, agh ynrycan duillagyn, as dooyrt eh rish, Nar aase mess erbee ort’s veih shoh magh er son dy bragh. As chelleeragh ren y billey-figgagh fioghey ersooyl. 
MAT.21.20	As tra honnick e ostyllyn shoh, ghow ad yindyss, gra, Cre cha leah as ta’n billey-figgagh er chreenagh roish? 
MAT.21.21	Dreggyr Yeesey, as dooyrt eh roo, Dy firrinagh ta mee gra riu, My vees shiu credjuagh, as gyn ve fo mee-ourys erbee nee shiu cha nee ynrycan shoh ta jeant rish y villey-figgagh, agh my jir shiu rish y slieau shoh, Bee er dty scughey, as er dty hilgey ayns y cheayn; bee eh er ny yannoo. 
MAT.21.22	As cre-erbee nee shiu geearree ayns padjer, lesh credjue, yiow shiu eh.
MAT.21.23	As tra ve’h er jeet stiagh ayns y chiamble, haink ny ard-saggyrtyn as shanstyr yn phobble huggey myr v’eh gynsaghey, gra, Cre’n phooar t’ayd’s dy yannoo ny reddyn shoh? as quoi hug yn phooar shoh dhyt? 
MAT.21.24	As dreggyr Yeesey as dooyrt eh roo, Fênym’s jiuish un red; as my inshys shiu dou eh, inshym’s myrgeddin diuish, cre’n phooar t’aym dy yannoo ny reddyn shoh? 
MAT.21.25	Bashtey Ean, cre voish ve? veih niau, ny veih deiney? As loayr ad nyn mast’ oc hene, gra, My jir mayd, Veih niau; jir eshyn rooin, Cre’n-fa eisht nagh chred shiu eh? 
MAT.21.26	Agh my jir mayd, Veih deiney; ta aggle orrin roish y pobble; son ta dy chooilley ghooinney goaill Ean son phadeyr. 
MAT.21.27	As dreggyr ad Yeesey, as dooyrt ad, Cha vod mayd ginsh. As dooyrt eh roo, Chamoo ta mish ginsh diuish, cre’n phooar t’aym dy yannoo ny reddyn shoh.
MAT.21.28	Agh cre ta shiu dy smooinaghtyn? Va dooinney dy row as daa vac echey, as haink eh gys er-shinney, as dooyrt eh, Vac, Immee as obbree jiu ayns my gharey-feeyney. 
MAT.21.29	Dreggyr eshyn as dooyrt eh, Cha jem: agh ny lurg shen ghow eh arrys, as hie eh. 
MAT.21.30	As haink eh gys e vac saa, as loayr eh rish myrgeddin. As dreggyr eshyn, as dooyrt eh, Hem, vainshter; as cha jagh eh. 
MAT.21.31	Quoi jeu shoh ny-neesht ren aigney e ayrey? Dooyrt adsyn rish, Yn mac shinney. Dooyrt Yeesey roo, Dy firrinagh ta mee gra riu, dy jed ny publicanee as ny drogh-vraane stiagh ayns reeriaght Yee reue-ish. 
MAT.21.32	Son haink Ean hiuish ayns raad y chairys, as cha chred shiu eh: agh chred ny publicanee as ny drogh-vraane eh. As ga dy vaik shiu shoh, cha ghow shiu arrys ny lurg shen, dy chredjal ayn.
MAT.21.33	Eaisht-jee rish coraa-dorraghey elley: Va fer-thie dy row ren garey-feeyney y hoiaghey, as ren eh cleigh y yannoo mysh, as chleiy eh press-feeyney ayn, as hrog eh toor, as hoie eh eh rish tannys, as hie eh gys cheer foddey. 
MAT.21.34	As tra va earish ny mess tayrn er-gerrey, hug eh e ir-vooinjerey gys y tannys, dy gheddyn jeh’n mess echey. 
MAT.21.35	As ghow yn tannys e ir-vooinjerey, as woaill ad fer, as varr ad fer elley, as chlagh ad fer elley. 
MAT.21.36	Reesht hug eh magh sharvaantyn elley ny s’lhee n’an chied eallagh: as ghell ad roosyn er yn aght cheddin. 
MAT.21.37	Agh er jerrey ooilley hug eh huc e vac, gra, Bee ad arrymagh da my vac. 
MAT.21.38	Agh tra honnick y tannys yn mac, dooyrt ad nyn mast’ oc hene, Shoh’n eirey, tar-jee, lhig dooin eh y varroo, as bee’n eiraght echey lhien hene. 
MAT.21.39	As ghow ad eh, as hilg ad eh magh ass y gharey feeyney, as varr ad eh. 
MAT.21.40	Tra hig er-y-fa shen Chiarn y gharey-feeyney, Cre nee eh rish y tannys shen? 
MAT.21.41	Dooyrt adsyn rish, Stroie-ee eh fegooish myghin ny drogh-gheiney shen, as nee eh soiaghey yn garey-feeyney rish tannys elley, livrey-ys ny messyn da ayns nyn imbagh cooie. 
MAT.21.42	Dooyrt Yeesey roo, Nagh lhaih shiu rieau ayns goo Yee, Yn chlagh ren ny masoonee y vee-lowal, ta’n chlagh cheddin er jeet dy ve yn ard-chlagh chorneilagh: shoh jannoo yn Chiarn, as te yindyssagh ayns ny sooillyn ainyn? 
MAT.21.43	Shen-y-fa ta mish gra riu, Dy bee reeriaght Yee er ny ghoaill veue-ish, as er ny choyrt da ashoon ymmyrkys magh yn mess echey. 
MAT.21.44	As quoi-erbee huittys er y chlagh shen, bee eh er ny vroo: agh er quoi-erbee huittys y chlagh shen, nee ee cha meen as joan jeh. 
MAT.21.45	As tra va ny ard-saggyrtyn as ny Phariseeyn erreish ny coraaghyn-dorraghey echey y chlashtyn, dennee ad dy nee jeusyn v’eh loayrt. 
MAT.21.46	Agh tra v’ad shleeuit er goaill eh, v’ad ayns aggle roish y pobble, er-yn-oyr dy row ad jeeaghyn er dy ve ny adeyr.
MAT.22.1	As dreggyr Yeesey, as loayr eh roo reesht liorish coraaghyn-dorraghey, gra, 
MAT.22.2	Ta reeriaght Yee er ny hoylaghey gys ree dy row, ren bannish son e vac, 
MAT.22.3	As hug eh magh e harvaantyn dy eamagh oroosyn va cuirt gys y vannish: as cha balliu cheet. 
MAT.22.4	Reesht hug eh magh sharvaantyn elley, gra, Abbyr-jee roosyn ta cuirt, Cur-my-ner ta mee er n’aarlaghey my yinnair: ta my ghew as my veiyn beiyht marroo, as dy chooilley nhee ullee; tar-jee gys y vannish. 
MAT.22.5	Agh hoie adsyn beg jeh, as hie ad rhymboo, fer gys e state-hallooin, as fer elley gys e varchantys: 
MAT.22.6	As ghow yn chooid elley ny sharvaantyn echey, as ghell ad dy elgyssagh roo, as varr ad ad. 
MAT.22.7	Agh tra cheayll y ree jeh v’eh feer chorree: as hug eh magh e heshaghtyn-caggee, as stroie eh ny dunveryn shen, as losht eh yn ard-valley oc. 
MAT.22.8	Eisht dooyrt eh rish e harvaantyn, Ta’n vannish aarloo, agh y vooinjer va cuirt cha row ad feeu. 
MAT.22.9	Gow-jee magh er-y-fa shen gys ny raaidyn mooarey, as whilleen as yiow shiu, cuir-jee gys y vannish. 
MAT.22.10	As hie ny sharvaantyn shen magh gys ny raaidyn-mooarey, as ren ad whilleen as haink nyn raad y haglym cooidjagh, chammah sie as mie: as va thie ny banshey er ny lhieeney lesh goaldee.
MAT.22.11	As tra haink y ree stiagh dy akin ny goaldee, honnick eh dooinney ayns shen nagh row garmad-banshey er: 
MAT.22.12	As dooyrt eh rish, Heshey vie, kys haink uss stiagh ayns shoh, fegooish garmad-banshey? As cha row fockle echey dy ghra. 
MAT.22.13	Eisht dooyrt y ree rish ny sharvaantyn, Kiangle-jee eh laue as cass, as gow-jee eh ersooyl, as tilg-jee eh ayns y dorraghys sodjey-mooie: shen-y-raad vees keayney as snaggeraght feeacklyn. 
MAT.22.14	Son shimmey t’er nyn eam, agh s’tiark t’er nyn reih.
MAT.22.15	Eisht hie ny Phariseeyn, as hug ad nyn goyrle dy cheilley, kys dy ghoaill vondeish er ayns e ghoan. 
MAT.22.16	As hug ad magh huggey shiartanse jeusyn v’ad hene er n’ynsaghey marish ny Herodianee, gra, Vainshter, ta fys ain dy vel oo firrinagh, as dy vel oo gynsaghey raad Yee ’syn ynrickys, chamoo t’ou ayns aggle roish dooinney erbee: son cha vel oo soiaghey jeh persoon deiney. 
MAT.22.17	Insh dooin er-y-fa shen, Cre t’ou uss smooinaghtyn, Vel eh lowal keesh y eeck da Cesar mannagh vel? 
MAT.22.18	Agh dennee Yeesey yn foalsaght oc, as dooyrt eh, Cre’n-fa ta shiu shirrey vondeish y ghoaill orrym, shiuish chrauee-oalsey? 
MAT.22.19	Jeeagh-jee dou argid y cheesh: as yeeagh ad ping da. 
MAT.22.20	As dooyrt eh roo, Quoi ta’n jalloo as y screeu shoh cowraghey? 
MAT.22.21	Dooyrt adsyn rish, Cesar. Eisht dooyrt eh roo, Eeck-jee er-y-fa shen da Cesar shen ny ta lesh Cesar: as da Jee, shen ny ta lesh Jee. 
MAT.22.22	Tra cheayll ad shoh ghow ad yindys, as daag ad eh, as hie ad rhymboo. 
MAT.22.23	Yn laa cheddin haink huggey ny Sadduceeyn, ta gra, Nagh vel irree-seose-reesht veih ny merriu dy ve ayn as dênee ad jeh, 
MAT.22.24	Gra, Vainshter, ta Moses er ghra, My ta dooinney geddyn baase gyn cloan, dy vel e vraar dy phoosey yn ven echey, as dy hroggal seose sluight gys e vraar. 
MAT.22.25	Nish va ny mast’ ain shiaght braaraghyn, as phoose y braar shinney, as geddyn baase gyn cloan, daag eh e ven da e nah vraar. 
MAT.22.26	As hooar y nah vraar myrgeddin baase, as y trass, gys y chiaghtoo. 
MAT.22.27	As er-jerrey ooilley hooar y ven baase myrgeddin. 
MAT.22.28	Shen-y-fa ec yn irree-reesht, quoi jeh’n chiaght vees ee echey son ben, son v’ee poost roo ooilley. 
MAT.22.29	Dreggyr Yeesey as dooyrt eh roo, Ta shiu fo marranys, as cha vel toiggal eu jeh goo ny jeh pooar Yee. 
MAT.22.30	Son ec yn irree-reesht, cha vel ad poosey, ny er nyn goyrt ayns poosey; agh t’ad myr ainleyn Yee t’ayns niau. 
MAT.22.31	Agh mychione irree-reesht ny merriu, nagh vel shiu er lhaih shen va loayrit riu liorish Jee, gra, 
MAT.22.32	Mish Jee Abraham, as Jee Isaac, as Jee Yacob? cha vel Jee Jee ny merriu, agh Jee ny bioee. 
MAT.22.33	As tra cheayll y pobble shoh, ghow ad yindys jeh’n ynsaghey echey.
MAT.22.34	Agh tra va ny Phariseeyn er chlashtyn dy row eh er chur ny Sadduceeyn nyn dhost, v’ad er nyn jaglym cooidjagh. 
MAT.22.35	As dênee fer jeu ard-ynsit ’sy leigh, question jeh, dy phrowal eh, gra, 
MAT.22.36	Vainshter, cre yn ard-anney ayns y leigh? 
MAT.22.37	Dooyrt Yeesey rish, Ver oo graih da’n Chiarn dty Yee lesh ooilley dty chree, as lesh ooilley dty annym, as lesh ooilley dty aigney. 
MAT.22.38	Shoh yn chied as yn ard-anney. 
MAT.22.39	As ta’n nah anney casley rish, Ver oo graih da dty naboo myr dhyt hene. 
MAT.22.40	Yn daa anney shoh bun y leigh as ny phadeyryn.
MAT.22.41	Choud as va ny Phariseeyn er nyn jaglym cooidjagh, dênee Yeesey jeu, 
MAT.22.42	Gra, Cre ta nyn smooinaghtyn mychione Creest? quoi da mac eh? Dooyrt adsyn rish, Mac Ghavid. 
MAT.22.43	Dooyrt eshyn roo, Kys eisht dy vel David liorish yn spyrryd genmys eh ny Hiarn, gra, 
MAT.22.44	Dooyrt y Chiarn rish my Hiarn’s, Soie uss er my laue yesh, derrey neem’s dty noidyn stoyl dty choshey? 
MAT.22.45	My ta David eisht genmys eh ny Hiarn, kys t’eh yn mac echey? 
