MAT.1.1	Ísti karakata Jesukristueri sïrukueri, enga Dabidi ka Abrani uájpeka:
LUK.6.41	“¿Andirisï chéti erachini uéjki jarhuatani enga echenharhitini jarhajka, ka nóri eratekorheni kostiasïni engari t'u eskuarhu kámani jaka? 
LUK.6.42	Ka ekari no exekorhejka kostiasïni engari chéti eskuarhu kámani jaka, ¿nénari tekaasïni chéti erachini arhini: ‘Erachi, jurajkukini echenharhikua p'ínharhikuntani?’ ¡K'éri chkuándira! T'u uéna kostiasïni p'ínharhintani, ka ísïri sési exeaka, ka úakari chéti erachini echenharhikua p'ínharhikuntani.”
LUK.6.43	“Nóma ambakiti anhatapu úsïndi no áspiti amanhejchakua jukani, níjtu újki ísku jásï anhatapu áspiti amanhejchakua jukani. 
LUK.6.44	Táchani anhatapu mítenhantasïndi imani jimbo ambe enga jukajka: Karhasïrhu no jígusï p'ikunhantasïndi, níjtu tsïtunirhu uba p'ikunhantajki. 
LUK.6.45	Nema enga sési arhijpetiuaka, sési jásï ambe uandasïndi, jimboka sési jásï ambe mintsitarhu jatanhetixaka, ka nema enga nósesi arhijpetika, nósesi uandasïndi, jimboka nósesi jásï ambe mintsitarhu jatanhetixaka. Jimboka ambe enga xáni mintsitarhu jatanhetini jaka imani ambe uandasïnga.”
LUK.6.46	“¿Andijtsïnisï cha arhijki ‘Jucheti Acha, jucheti Acha’ arhini, ka nójtsï úsïnga engaksïni ji arhijka? 
LUK.6.47	Arhiakaksïni ne engeni jáxeka ima engarini jurhajka andarherani ka kurhani, ka úni ambe engani ji arhiaka: 
LUK.6.48	Méntkueni jáxesti nema jinguni enga k'umanchekua úni jámani urheta kánekua jarhakupka ka enga pítsekua tsakapurhu kújtsïtapka. Enga iurhentpepka ka uinhamu k'umanchekuani andarherapka ka nósani manatani jimboka sési úkata jarhaspka. 
LUK.6.49	Ka ima engarini kurhajka ka no ísï úni eskani ji na arhijka, méntkueni jáxesti ima jinguni enga k'umanchekuani no pítsekua jinguni echerindu úpka ka enga iurhentpepka ka enga k'umanchekuani uinhamu andarherapka, xerendurhintaspti, ka iámu purundurhintani.”
LUK.7.1	Enga na Jesusi k'amarapkia uandaxetspeni, Kafarnaumi niraspti. 
LUK.7.2	P'urhejkuticheri urhejtsïkuri ma jima irekaxapti enga jántspirini ma kámempka enga kánekua xénhchempka, uinhamu p'amenchataxapti ka uarhixaptia. 
LUK.7.3	Ka enga mítepka eska Jesusi jimesï jámaxapka, judiouecheri achamasïchani máru axaaspti eskaksï kómarhipiringa eska nipiringa jántspiri jémbani ambakerantani. 
LUK.7.4	Imaksï Jesusini andarheraspti ka kánekuaksï kómarhispti, arhiparini:
LUK.7.4	–Sési jarhasti eskari indeni p'urhejkuticheri urhejtsïkurini jarhuataaka, 
LUK.7.5	jimboka inde juchari iretani xénhchasïnga ka jimbokajtsïni juchari k'umanchekua tángorhentskuani úcheska.
LUK.7.6	Jesusi imecha jinguni niraxapti, ka enga na k'umanchekuarhu niárani jápkia, p'urhejkuticheri urhejtsïkuri imeri mítekatechani máru axaaspti, eskaksï Jesusini arhipiringa: “Acha, ásï ójkutakorhe, jimbokani ji no nitatarheska eskari t'u jucheni inchaaka; 
LUK.7.7	ísï jimbokinisï no jamberi tekaaka nitsïkorheni jirinhantani. T'u engari uandaska, jucheti jántspiri ambakentaati. 
LUK.7.8	Jimbokajtsïni jíndentu jucheti k'ératicha juramuchesïnga, ka májkueni jíjtuni káasïnga p'urhejkutichani engani ji juramukuajka, Ekani imani ma ísïni, ni jini arhijka, ima nirasïndi; ka ekani arhiaka máteruni eska juuaka, ima jurhasïndi; ka ekani jucheti jántspirini ambe ma úrajka, ima úsïndi.”
LUK.7.9	Jesusi ísku pakareraspti ísï kurharini, ka imechani erauaparini engaksï chúxapani jápka, ísï uandaspti:
LUK.7.9	–Sési jimbo iápuru Israeli nónemani míteska enga xáni jakajkujka eska i acheti na jakakujka.
LUK.7.10	Engaksï ánchperata úricha niántapka, jántspiri t'uíni ambakentasptia.
LUK.7.11	Tátsekua enga na i ambe úkorhepkia, Jesusi iretarhu ma niraspti enga Naini arhinhajka. Jurhengorheri jémbecha jinguni niraxapti ka uánekuateru ninhaxapti. 
LUK.7.12	Enga na iretarhu andamukuerani jápka, erangpespti eska uarhiri ma pánhantaxapka jatsinhantani, ka uarhiriri amamba imantku sapini kámasïrempti ka tsîndispti. Uánekua iretarhu anapuechaksï pámbetapaxapti. 
LUK.7.13	Enga Jesusi exepka, imani uarhitini p'amojkuspti ka arhispti:
LUK.7.13	–Ásï uera.
LUK.7.14	No ióndaspti uarhirini andarherani ka uarhiriri jatantskuani p'árheni, ka ima engaksï pántani jápka p'íngukukorhesptiksï. Jesusi uarhirini arhispti:
LUK.7.14	–Tumbi, t'úngenisï arhijka: ¡Jauara!
LUK.7.15	Ka uarhiri uaxakantaspti ka uénani uandaxentani, ka Jesusi amambani íntskuntaspti. 
LUK.7.16	Ísï exerini, iámendu chérakorhenhaspti ka uénanksï Diósïni k'éri ambe arhini uandaparini:
LUK.7.16	–K'éri Diósïri uandari ma juchantsïni jinguni jámaxati.
LUK.7.16	Ka uandasïremptijtuksï:
LUK.7.16	–Diósï imeri iretani jurhasti jarhuani.
LUK.7.17	Ka imani ambe enga Jesusi úpka iápuru Judea ka iápuru jima uanondani isï mítekorhespti.
LUK.7.18	Juánu itsï atajtsïkpiri iámendu indeni ambe mítespti, jimbokaksï jurhengorheri jémbecha aianguspka. Ka Juánu imani tsimani erakuaspti ka uandajpaani 
LUK.7.19	ka axaaspti, eskaksï Jesusini kurhamarhepiringa: ¿Imespia sési jimbo enga jupiringa, óksï máteruni erokorhepirinki? 
LUK.7.20	Juánueri ánchperata úrichaksï andarheraspti Jesusini ka arhinksï:
LUK.7.20	–Juánu itsï atajtsïkpirijtsïni axasti eskaksïni kurhamarheaka t'úeskia enga juuaka, óchi máteruni erokani jauateru.
LUK.7.21	Jesusi uánekua jimajku ambakerantaaspti ka sési p'ikuastantaani, ka nósesi jásï espirituechani ambe ambakerpentaspti, ka uánekua pátenharhichani eskatarantaaspti. 
LUK.7.22	Ka ánchperata úrichani arhiantaaspti:
LUK.7.22	–Ni je ka Juánuni aianguntsï je ambe engajtsï exejka ka kurhani. Aiangu je eskaksï pátenharhicha exesïnga, eskaksï chkéjchuecha xánharasïnga, eskaksï xúta jukaricha ambakentasïnga, eskaksï kándicha kurhasïnga, eskaksï uarhiricha tsíntasïnga ka eskaksï nómbema jatsikorhericha ambakiti aiangperakua aiangunhantaxakaia. 
LUK.7.23	¡Ka tsípe ima engarini méntku isï mintsikajka!
LUK.7.24	Engaksï Juánueri ánchperata úricha níntapkia, Jesusi uénaspti Juánueri ambe aiangpentani uandaparini: “¿Ambejtsï exeni uéraski jimesï enga nónema irekaka? ¿Sïmba kórheatakatani ma? 
LUK.7.25	Ka enga no ísïka ¿Jiántsï ambe uéraski exeni? ¿Nemani ambakiti ambe xukuparhatini? Chájtsï míteska eska ne engaksï ambakiti ambe xukuparhajka ka ambakiti ambeksï jatsikorheni, eskaksï ima irechecho jarhaska. 
LUK.7.26	Jiáni, ¿ambejtsï uéraski exeni? ¿Diósïri uandarini ma? Jo, ísïstimendu, ka enga Diósïri uandari ma jinguni sánderu k'éri ambeka. 
LUK.7.27	Juánu imesti enga karakatarhu arhijka:
LUK.7.27	Exe, jucheti uandakua párinkini urhetatachepaxaka,
LUK.7.27	engakini xanharini ambantskachentaaka.
LUK.7.28	Aianguxakaksïni eska iámendu parhakpeni anapuechani jinguni, Juánu jinguni nónema sánderu k'ériska; ka ima enga Diósïri irechekuarhu sánderu sapichueka, Juánu jinguni sánderu k'éristi.”
LUK.7.29	Iámendu imechani engaksï Juánuni kurhajchaka, imecha jamberi engaksï Romani tumina tánakujka, Juánu itsï atajtsïkuasti, ísï jámanksï ústi jánhaskani eska Diósïri xanhari sési ambeska; 
LUK.7.30	Enga úka, fariseouecha ka juramukua jurhentpirichaksï no uékasti itsï atajtsïni, ka ísï jámatinksï no jaiapanhentasti imani sési ambe enga Diósï patsakuaatini jápka.
LUK.7.31	“¿Iásï anapuechani ambe jinguni terukutpea? ¿Ambeni jáxenhaski? 
LUK.7.32	Xárhanhasti eska sapicha engaksï kópekuarhu niárajka ch'anani ka uinhachatsperanksï: ‘Kústacheskaksïni ka chájtsï no uarhaska; ka nójtsï ueraska engaksïni kómu járhati pirecheaka’
LUK.7.33	Jimboka Juánu itsï atajtsïkpiri jurhaska enga no arhajka kurhinda ka enga nójtu kauijka, ka chájtsï uandasïnga: ‘Nóambakitini ma kámasïndi.’ 
LUK.7.34	Jimajku acheti Uájpa jurhasti, enga t'irejka ka kauikua itsïmantani, ka chájtsï arhisïnga: ‘Exe je, jukari t'iresïndi ka kauini, ka nósesi úrichani jinguni sési arhijperasïndi engaksï Roma axakua tumina tánajka.’ 
LUK.7.35	Enga úka, Diósïri mímixekua jánguarhu xarhatanhasïndi.”
LUK.7.36	Fariseo ma Jesusini t'ireni p'imarhespti, ka Jesusi imeri k'umanchekuarhu niraspti. Uaxandetixapti t'ireni, 
LUK.7.37	enga imani iretarhu anapu ma uarhiti ísku jándi ma niárapka, ka enga mítepka eska Jesusi niraspka imani fariseouo t'ireni, ambakiti p'untsumekua sési jásï ma tsúntsu mímukukata uiniratini páspti. 
LUK.7.38	Ueparini, Jesusini andandukueraspti ka uekua jimbo úndaspti kuakandurhatani, tátsekua jauiri jimbo kutsundukuntaspti, ka no jurajkuntaspti putindukuni ka p'untsumekua atandukuni. 
LUK.7.39	Ima fariseo enga Jesusini p'imarhepka, ísï exeparini eratsespti: “Enga i tata sési jimbo Diósïri uandaripiringa, mítepirindia eska ísku jándi ma uarhitisï p'árheni jaka.” 
LUK.7.40	Jimajkani Jesusi fariseoni arhispti:
LUK.7.40	–Simoni, ma ambe kámaxaka ka arhiakakini.
LUK.7.40	Fariseo arhispti:
LUK.7.40	–Jurhentpiri, arhirini.
LUK.7.41	Jesusi arhispti:
LUK.7.41	–Tsimanksï acheticha kuánetpirini ma kánguxapti. Ima ma ísï, ma irepeta ka iúmu ekuatse (500) tumina kánguxapti, ka máteru tsimani ekuatse ka témbeni kánguxapti; (50) 
LUK.7.42	ka jimbokaksï no úni jápka íntskuntani, kuánetkorheri kántsperata tsimarheni jurajkukuaspti. Iásïrini arhiia, ¿néndi arhijki eska sánderu xénhchaaka kuánetpirini?
LUK.7.43	Simoni arhispti:
LUK.7.43	–Ji arhijka eska ima acheti enga sánderu kánguni jápka.
LUK.7.43	Ka Jesusi arhispti:
LUK.7.43	–Ísïsti eskari na uandajka.
LUK.7.44	Ka uarhitini erateparini, Jesusi Simonini arhispti:
LUK.7.44	–Íni uarhitiniri exeskia; ji chéti k'umanchekuarhu janoska, ka nórini sáni íntskuska itsï engani jupandutarapiringa; ka inde uarhitirini inderi uekua jimbo jupandukusti, ka inderi jauiri jimborini kutsundukuntasti, 
LUK.7.45	ka t'úrini janorintku, no putinharhikuska, ka inde uarhitirini no jurajkuntaxati xáni putindukuni. 
LUK.7.46	Nórini sáni atajtsïkuska tamari ambe ka inde uarhiti k'órurini p'untsumekua atandukusti. 
LUK.7.47	Indeni ambe jimbokinisï arhijka eska k'amanharhintskuechani púamenhantaskia, jimbokarini kánekua xénhchaska; ka ne enga sáni ambejku púamenhantajka, sántkurini xénhchasïndi.
LUK.7.48	Tátsekua uarhitini arhispti:
LUK.7.48	–T'úri k'amanharhintskuechani púamenhantaskia.
LUK.7.49	Máteruecha engaksï uandajpanhantapka ka engaksï jima jápka kurhamarhperanksï uénaspti:
LUK.7.49	–¿Néski i, enga k'amanharhintskuechani jamberi púatspeantajka?
LUK.7.50	Ka Jesusi uarhitini arhisptiteru:
LUK.7.50	–P'ímutanhantaskaria jimbokarini mintsikaska; sési p'ikuarherapantsï.
LUK.8.1	Tátsekua enga i ambe úkorhepka, Jesusi uánekua ireta k'ératicharhu ka ireta sapirhaticharhu jámaspti, Diósïri irechekua jimbanhe aiangperakuani arhijtsïkpeparini. Ka témbeni tsimani jurhengorherichaksï pámbetapaxapti, 
LUK.8.2	ka ístuksï máru uarhiticha pámbetapaxapti enga ima ambakerantaapka ka máru enga nósesi járhati espirituechani petarhetantaapka. Imani uarhitichani jinguni niraxapti, Magdalena arhikata ka Juanajtuksï jima niraxapti, ima Juana engaksï iúmu tsimani nóambakiticha uérhentapka; 
LUK.8.3	Kúseri témba, ima enga Erodesiri patsaripka ka Susana, ka uánekuateruksï uarhiticha engaksï jatsikorhekua ambe jinguni jarhuatauempka.
LUK.8.4	Uánekua uéakunhaspti iretecharhu Jesusini exeni, ka ísï jámani uánenhantaspti. Jimajkani Jesusi arini uandantskua terukutarantskua aianguaspti: 
LUK.8.5	“Tarheri ma niraspti tríju k'uájpani. Ka tríju k'uájpani jámani, máruksï tríjuecha xanhari andatseraspti ka t'auajchakunhasptiksï ka kuínichaksï ántaspti. 
LUK.8.6	Máteruksï namoni tsakapendu andatseraspti; ka enga na andarapka, itsïksï kueratanchani k'arhispti. 
LUK.8.7	Máteruksï namoni akarheni jinguni andatseraspti; ka jimbokaksï márku andaraspka, akarheni ójchakuraspti. 
LUK.8.8	K'óru máteru namoni tríju ambakiti echerindu andatseraspti; ka k'éraspti, ka ambanharhiksï tríju jukaspti.”
LUK.8.8	Ísï uandaspti Jesusi ka uinhamu uandasptiteru: “¡Ne engaksï kámka kurhangukua, kurhangueksï!”
LUK.8.9	Jurhengorherichaksï kurhamarhespti Jesusini, ima uandantskua terukutarantskua ambe arhikuekasïrempki. 
LUK.8.10	Ima arhiaspti: “Chánksïnksïni Diósï imeri irechekuarhu anapu ambe mítetaraxati enga nótki nema mítejka, ka máteruechani uandantskua terukutarantskuechani jimbojku aianguasïndi, eskaksï ísï jámani no exeaka, náuejkiksï xáni éskani jarhani, ka náuejkiksï xáni kurhani jarhani eskaksï no kurhanguaka.”
LUK.8.11	“Uandantskua terukutarantskua íni ambesï arhikuekajti: Tríju jatsintskua Diósïri uandakuesti; 
LUK.8.12	ima namoni enga xanhari jimbo andatseraka imechani arhikuekaxati engaksï aiangperakuani kurhajka ka jurhasïndi nóambakiti ka mintsitarhu kénditakuasïndi, ásïksï ísï jámani jakajkue ka p'ímutanhantanksï. 
LUK.8.13	Ima namoni tríju enga tsakapendu andatseraka; imechani arhiaxati engaksï aiangperakuani kurhajka ka tsípekua jingunksï jiókorheni, k'óruksï no kánekua sïrangua pásïndi; namoni jurhiajkuksï jakajkusïndi, ka nóksï úsïndi jima engaksï ts'éjkunhajka. 
LUK.8.14	Ima tríju enga akarhenirhu andatseraka imechani arhikuekaaxati engaksï kurhajka, ka engaksï sánhani arhijka uandanheani ka jatsikorhenhchani ka ambeksï kánhchani ka xénhchani, ísï jámanksï no úsïndi ambakiti ambe íntspentani. 
LUK.8.15	Ka ima k'ória tríju engaksï ambakiti echerindu andatseraka, imestiksï engaksï ambakiti mintsita jinguni uékaparini kurhajka ka nóksï ísku kurhani, ka engaksï sési anhaxurhikorhetini ambakiti ambe íntspentajka.”
LUK.8.16	“Nónema erajkutarakua ma étskutini ójchakurasïndi o jískani; sánderu sáni, karhakua pérasïndi eskaksï exeaka ima engaksï inchajka. 
LUK.8.17	Méntkueni, nómbema jarhasti enga no mítekorheaka, ka nójtu ambe ma jarhasti enga sïpatekuarhku patsakata jaka enga no mítekorheaka, ka iámendu ambe k'amak'amasï mítekorheati.”
LUK.8.18	“Ísï jimbo sési kurha je, jimboka ima enga jatsikorheka, sánderu intsïnhaati; ka ima enga nómbema jatsikorheka, imani jamberi euanhaati enga eratseni jaka eska jatsikorheska.”
LUK.8.19	Jesusiri amamba ka erachichaksï jima niáraspti enga ima jápka, ka nóksï úspti andarherani jimboka uánekua janhaspka. 
LUK.8.20	Jesusinksï aianguspti:
LUK.8.20	–Chéti nánde ka chéti erachichaksï uérakua jarhasti, ka uandaxechenksïni uékaxati.
LUK.8.21	Ka ima arhiaspti:
LUK.8.21	–Imaksïsï jucheti nándeti ka jucheti erachini, engaksï Diósïri uandakuani kurhajka ka marhuatanksï; ka nóksï ísku kurhani.
LUK.8.22	Ma xanhari, Jesusiksï imeri jurhengorherichani jinguni teparirhu ma jataspti, ka arhiaspti:
LUK.8.22	–Ju je japundani parhimeni.
LUK.8.22	Ka uérasptiksï nirani, 
LUK.8.23	ka engaksï parhimeni jápka Jesusi k'uíspti. Ka uénaspti uinhamu tarhiameni, ka tepari uénaspti itsï jatani ka uekamexaptiksïa. 
LUK.8.24	Jimajkanksï Jesusini tsínharhitaspti ka arhinksï:
LUK.8.24	–¡Jurhentpiri! ¡Jurhentpiri! ¡Uekamexakachia!
LUK.8.24	Jesusi jauarasti ka tarhiatani ka jenguerakuechani xukaaspti, ka ambajpatespti. 
LUK.8.25	Tátsekua imeri jurhengorherichani arhiaspti:
LUK.8.25	–¿Andichkajtsïnisï no mintsikajki?
LUK.8.25	Ka imaksï chérakorhetini ka ísku pakareratini kurhamarhperani uénaspti:
LUK.8.25	–¿Néxamue i enga tarhiatani ka itsïni juramukujka ka kurhajchasïndiksï?
LUK.8.26	Ka úsptiksï Jerasa niárani, enga japundarhu parhimetini jaka, Galilea erangurhini. 
LUK.8.27	Enga Jesusi kétsepka, iretarhu uéakuspti acheti ma enga nóambakiti incharhetini jápka, ka Jesusini andarheraspti. Ióni patsïkjasï jámasptia, ka k'umanchekua no jatsikorhespti, uarhiri jatsintskatecharhu ísï irekaspti. 
LUK.8.28	Enga exepka Jesusini, tinguixurhikuspti ka uinhachaparini arhispti:
LUK.8.28	–¡Jesusi K'éri Diósï Uájpa, ásïrini inchaakuche! ¡Kómarhixakakini eskarini no nósesi kámaaka!
LUK.8.29	Ísï uandaspti jimboka Jesusi nósesi jásï espirituni juramukuspka eska uérhentapiringa. Nóambakiti mémechani uéntaspti achetini míngorheni; ka náuejki sïndari tiámueri jimbo jójkunhani ka jóndukunhani, ima katsïndurhiasïrempti, ka nóambakiti jimesï pásïrempti enga nónema irekapka. 
LUK.8.30	Jesusi kurhamarhespti:
LUK.8.30	–¿Nári arhikorheski?
LUK.8.30	Ka ima arhispti:
LUK.8.30	–Lejioni arhinhasïnga.
LUK.8.30	Ísï uandaspti jimbokaksï uánespka nóambakiticha engaksï incharhetini jápka, 
LUK.8.31	nósesi járhati espirituechaksï arhispti Jesusini eska no k'éri kauaru uekanhaapiringa. 
LUK.8.32	Imani juátarhuksï uánekua kúchicha jámaxapti, ka nóambakitichaksï kómarhispti eska jiáretaapiringa eskaksï kúchichani incharheapiringa; ka Jesusi jiáretaaspti. 
LUK.8.33	Nóambakitichaksï uérhentaspti achetini ka kúchichanksï incharheaspti, ka imaksï uiriaspti kétsemani japundarhu jamberi ka jimaksï uarhimespti.
LUK.8.34	Ima kúchi eranguticha engaksï exepka néna enga úkorhepka uiriasptiksï sïpakorheni ka iretarhu ka juátarhuksï niraspti uandantani. 
LUK.8.35	Uéranhaspti exenhani ambe enga úkorhepka. Ka engaksï niárapka jima enga Jesusi jápka, exesptiksï eska ima acheti engaksï nóambakiticha uérhentapka uaxandetixaptia Jesusini kurhajchani, xukuparhatini ka sési ambakentatini; ka chérakorhenhaspti. 
LUK.8.36	Ka ima engaksï exepka néna enga úkorhepka, uandantasptiksï na engaksï ambakeranhantapka ima enga nóambakitichani káani jápka. 
LUK.8.37	Iámendu Jerasa isï anapuechaksï jíani uénaspti Jesusini kómarhini eska uéakukuantaapiringa, jimbokaksï kánekua chéxapka. Jimbo, Jesusi jatantaspti icharhutani ka níntaspti. 
LUK.8.38	Ima acheti engaksï nóambakiticha uérhentapka, kómarhispti eska jiáretapiringa imani jinguni nirani, enga úpka, Jesusi juramukuspti eska pakarapiringa, arhispti:
LUK.8.39	–Chénio níntsï ka uandantsï ambe enga t'úngeni jimbo Diósï xáni úka.
LUK.8.39	Ima acheti níntaspti ka iámu iretarhu uandantaspti embe enga Jesusi úkupka.
LUK.8.40	Enga Jesusi japundarhu parhimentapka, tsípekua jinguni eronhantaspti, jimbokaksï iámenduecha erontaxapka. 
LUK.8.41	Jimajku niáraspti ma enga Jáiru arhinhempka, ima enga k'umanchekua tángorhentskuarhu k'érini jápka. Ima acheti, Jesusini kápatsekuspti, ka kómarhispti eska p'urhembepiringa, 
LUK.8.42	jimboka májku nanaka sapichuni kángorhesïrempka, témbeni ka tsimani uéxurhini isï jatiri ma enga uarhini jápkia.
LUK.8.42	Enga Jesusi nirani jápka, katsinhapaxaptiksï jimbokaksï uánekua chúxapaxapka. 
LUK.8.43	Jima niraxapti uarhiti ma enga témbeni tsimani uéxurhini iurhiri késkuparini jámani jápkia, ka enga na k'amajkutapkia eska xáni jatsikorhepka, xáni tsinajpirichani maiamuaani, ka enga nónema úpka ambakerantani. 
LUK.8.44	Ima uarhiti Jesusini tátsepani ísï andarheraspti ka karona jupirhukukuspti, ka iurhiri anhakuatsekuspti. 
LUK.8.45	Jimajkani Jesusi kurhangorhespti:
LUK.8.45	–¿Nérini p'árheski?
LUK.8.45	Ka jimboka nónema jiókorhesïrempka, Pédru ka engaksï márku jápka arhisptiksï:
LUK.8.45	–Jurhentpiri, iápuru ísïksïni katsinhaxati ka p'ákchakuni ka útasïri kurhangorhesïnga: ¿Nérini p'árheski arhini?
LUK.8.46	Ka Jesusi ménderu uandaspti:
LUK.8.46	–Nemarini p'árhesti, jimbokani p'ikuarheraska eskarini uinhapekua uérheska.
LUK.8.47	Ima uarhiti, enga na jánhaskakorhepka eska piáranhaspka, manaraparini niraspti Jesusini tinguixurhikuni. Iámenduechani japarini aianguspti andisï p'árhepi, ka néna enga ambakentapapka enga p'árhepka. 
LUK.8.48	Jesusi arhispti:
LUK.8.48	–Jucheti uátsï, p'ímutanhantaskaria jimbokarini mintsikaska. Sési p'ikuarherapantsï.
LUK.8.49	Jesusi útasï uandaxapti, enga Jáiro anapu uandakua pári ma niárapka, ka arhispti:
LUK.8.49	–Ásteru ójkutani jaia jurhentpirini; chéti nanaka sapichu uarhistia.
LUK.8.50	Enga Jesusi kurhapka, arhispti:
LUK.8.50	–Ásï che; ma mintsita jinguntkurini mintsika, ka chéti nanaka sapichu ambakentaati.
LUK.8.51	Ka eka k'umanchekuarhu niárapka, íchanku jiáretaspti eskaksï ima jinguni inchapiringa: Pédruni ka Santiaguni ka Juánuni, ka nanaka sapichueri tátjemba ka amambani. 
LUK.8.52	Iámenduechaksï nanaka sapichuni uekuxapti ka p'amojkuni, ka Jesusi arhiaspti: “Ásï uera je; nanaka sapichu no uarhirixati, k'uíxati.
LUK.8.53	Iámenduechaksï Jesusini teresmarhuspti, jimbokaksï mítespka eska nanaka sapichu uarhirixapkia. 
LUK.8.54	Ka Jesusi jupijkuspti nanaka sapichuni ka uinhachaspti uandani:
LUK.8.54	–¡Nanaka sapichu, Jauara!
LUK.8.55	Ka ima nanaka sapichu tsíntaspti; ka jauarapaspti, ka Jesusi juramuspti eskaksï t'irerapiringa. 
LUK.8.56	Tátjemba ka amambaksï kánekua ísku pakareraspti, ka Jesusi juramukuaspti eskaksï nónemani aiangupiringa néna engaksï jámapka.”
LUK.9.1	Jesusi imeri témbeni tsimani jurhengorherichani tánaaspti, ka uinhapekua ka juramukua íntsaspti, eskaksï iámendu járhati nóambakitichani úpiringa juramukuani, ka eskajtuksï úpiringa p'amenchakuechani ambakerpentani. 
LUK.9.2	Axaaspti Diósïri irechekuani uandantani ka p'amenchatichani ambakerantaani. 
LUK.9.3	Arhiaspti: Ásï ambe ma pákorhe je:
LUK.9.3	–Tenhexkorhekua ásï pa je, ka sutupujtu ásï pa je, ka t'irekuajtu ásï pa je, ka tuminajtu ásï pa je, ka mórhekuajtu ásï pa je. 
LUK.9.4	Mápurku pakara je k'umanchekuarhu engajtsï niárka, eskajtsï xáni ióni jima jarhajka. 
LUK.9.5	Ekaksïni ma iretarhu no jiókaska, uéakuntsï je ka t'upuri sési uauanduntsï je, eska ísï jámani marhuakuauaka míani jarhani eskaksï aiangukata jarhaspkia.
LUK.9.6	Nirasptiksï ka iámendu iretecharhuksï niáraspti, ambakiti aiangperakuani aiangpepani ka ambakerpentapani.
LUK.9.7	Juramuti Erodesi mítespti ambe enga xáni úkorheni jápka; ka no jánhaskasïrempti andisï ísï úkorheni jápi, jimbokaksï máru uandasïrempka eska Juánu itsï atajtsïkpiri tsíntaspka; 
LUK.9.8	máteruksï uandasïrempti eska Diósïri uandari Eliasïsï xarhantapka; ka máteruksï uandasïrempti, eska ióntki anapu ma Diósïri uandarisï tsíntapka. 
LUK.9.9	Ka Erodesi uandaspti:
LUK.9.9	–Ji juramuspka eskaksï Juánuni kachujchakupiringa. ¿Andi néski ima engajtsïni xáni ambe aianguni jaka?
LUK.9.9	Jimbosï Erodesi jángorhentani jápti Jesusini míteni.
LUK.9.10	Engaksï jurhengorhericha k'uanhatsentapka, Jesusinksï aianguntaspti ambe engaksï úpka. Ima támu páaspti iretarhu ma enga Betsaida arhinhajka. 
LUK.9.11	K'óru enga mítenhapka, chúxapasptiksï, ka Jesusi sési eroaspti, Diósïri irechekueri ambe uandaxekuaspti ka p'amenchatichani ambakerantaaspti.
LUK.9.12	Enga xatinini jápkia, Jesusinksï andarheraspti témbeni tsimani jurhengorhericha ka arhisptiksï:
LUK.9.12	–Axajpentsï iretecharhu engaksï ixu no iauani jaka, mintsikorheni ka t'irekua jirinhani, jimboka ixuesï nómbema akua jarhaska.
LUK.9.13	Jesusi arhiaspti:
LUK.9.13	–Cháchka t'ireraa je.
LUK.9.13	Imaksï arhispti:
LUK.9.13	–Iúmu kurhindajkuchisï kámani jaka ka tsimani kurucha, juchachkani nirania t'irekua p'ikuani.
LUK.9.14	Jimboka iúmu míli (5,000) ísïnhaspka. K'óru Jesusi jurhengorheri jémbechani arhiaspti:
LUK.9.14	–Tsimani ekuatse témbenichani isï uaxastpe je.
LUK.9.15	Imaksï kurhajchaspti ka iámenduechanksï uaxastaaspti. 
LUK.9.16	Jimajku Jesusi iúmu kurhindechani ka tsimani kuruchechani p'íkuaspti, ka auandarhu erancheparini újchakuraaspti, arhukuaspti ka jurhengorheri jémbechani íntsaaspti eskaksï etsakupiringa. 
LUK.9.17	Sési t'irenhaspti uiniarhanhantani, ka pakarataksï témbeni tsimani tsïkiata tánantaspti.
LUK.9.18	Ma jurhiatekua enga Jesusi uandamukukorheni jápka, enga jurhengorheri jémbecha jinguni jámani jápka, kurhamarheaspti:
LUK.9.18	–¿Néna uandanhaxaki, eskani ji néska?
LUK.9.19	Imaksï arhispti:
LUK.9.19	–Máruksï uandasïndi eskari Juánu itsï atajtsïkpiriska, ka máruksï uandasïndi eskari ióntki anapu Diósïri uandari méska enga tsíntaka.
LUK.9.20	Ka kurhamarheaspti:
LUK.9.20	–¿Ka cháia, nénajtsï uandasïnki, eskani ji néska?
LUK.9.20	Ka Pédru arhispti:
LUK.9.20	–T'úrisï Diósïri újchakurakateka.
LUK.9.21	Ka Jesusi uinhamu arhiaspti eskaksï nónemani aiangupiringa. 
LUK.9.22	Ka tátsekua Jesusi arhiaspti:
LUK.9.22	–Acheti Uájpa jatsisti kánekua kómu nitamani, ka achamasïcha ka tátecheri urhejtsïkuricha ka juramukua jurhentpirichaksï no xénhchaati. Uándikuatiksï, k'óru tanimu jurhia jimbo tsíntaati.
LUK.9.23	Tátsekua iámenduechani arhiaspti:
LUK.9.23	–Enga nema uéjka jucheti jurhengorherini, ikimchakorhe, mándani pauani krúsini ichandikorhe ka chúxapuerini. 
LUK.9.24	Jimboka ne enga uékajka tsípekuani patsapatsandakorheni, tsîtakorheati; k'óru ne enga tsípekuani jíndeni jimbo tsîtakorheska, patsakorheati. 
