MAT.1.1	Ɗe'e ngoni inɗe maama'en Yeesu Almasiihu lenyol Dawda, Dawda lenyol Ibraahim.
MAT.14.18	Sey o wi'i, “Ngaddaneeyamɗum ɗo'o.” 
MAT.14.19	O wi'i hawrutuɓe ɓen njooɗoo dow huɗo hecco. O hocci buroodi jowi ɗum e liƴƴi ɗiɗi ɗin, o raari dow, o yetti Allah, o sendi buroodi ɗum o hokki tokkuɓemo, sey tokkuɓemo ngeedani yimɓe hawrutuɓe. 
MAT.14.20	Ɓe fuu ɓe nyaami ɓe kaari. Tokkuɓemo moɓti ko hori ko waɗi kondooje sappo e ɗiɗi. 
MAT.14.21	Nyaamuɓe nyamndu ndun worɓe tan ɓadake 5,000, sukaaɓe e rewɓe limaaka.
MAT.14.22	Ɗon e ɗon Yeesu waɗi tokkuɓemo natta komiwal ɓe artamo huuluki yaaki fongo, kanko boo o jaɓɓitoto kawrutuɓe. 
MAT.14.23	Gaɗa o jaɓɓitake hawrutuɓe ɓen, o ƴenti hocceere kanko tan ngam o waɗa do'aare. Nde futuro waɗi, e mo ton kanko tan. 
MAT.14.24	E carel ngel komiwal ngal e caka mbeela. Geelooɗi ndiyam e piyangal, hendu e haɗaɓe yaadu.
MAT.14.25	Fajiri e mo yaha to maɓɓe, e mo yaha dow ndiyam mbeela ngan. 
MAT.14.26	Ammaa nde ɓe ngi'imo e mo yaha dow ndiyam, ɓe kultori, ɓe mbi'i, “Ɗum ginnol!” Sey ɓe ngulli ngam kulol.
MAT.14.27	Ammaa ɗon e ɗon o metaniɓe, o wi'i, “Pukkinee ɓerɗe mooɗon, ɗum min. To' on kulu.”
MAT.14.28	Sey Biiturus nootii, wi'imo, “Moodibbo, to ɗum an, wi'am mi wara to maaɗa dow ndiyam ɗam.”
MAT.14.29	Yeesu wi'imo, “Woroy.” Sey Biiturus wurtii nder komiwal ngal fuɗɗi yaadu dow ndiyam ɗam yaaki to Yeesu. 
MAT.14.30	Ammaa nde o nani hendu cembindu, sey o hultori, ndiyam ɗam fuɗɗi moɗukimo, sey o wulli, o wi'i, “Moodibbo, hisnam!”
MAT.14.31	Ɗon e ɗon Yeesu forti jungo muuɗum fooɗoyimo, wi'imo, “An gooduɗo hoolaare seɗɗa, ngam ɗume ngaɗuɗaa seko?”
MAT.14.32	E nattuki maɓɓe nder komiwal ngal, hendu ndun darii. 
MAT.14.33	Wonɓe nder komiwal ngal mawnini Yeesu, e mbi'a, “Goonga, an a Ɓiɗɗo Allah.”
MAT.14.34	Nde ɓe kuuli fongo mbeela ngan, ɓe njottii leydi Janisarat. 
MAT.14.35	Nde yimɓe leydi ndin anditi Yeesu, ɓe lili koo toye nder leydi ndin ɗum waddoya fuu nyawɓe to maako. 
MAT.14.36	Ɓe toriimo nyawɓe ɓen meema cilmbi toggoore maako tan. Fuu meemuɓeɗi njamɗiti.
MAT.15.1	Sey woɓɓe Faarisanko'en e moodiɓɓe Attawra ngari to Yeesu daga Urucaliima, ɓe mbi'i, 
MAT.15.2	“Ngam ɗume tokkuɓema tokkataa ndonu maama'en meeɗen? Ngam ɓe lootataa juuɗe maɓɓe ko ɓe puɗɗa nyaamuki nyamndu.”
MAT.15.3	Sey Yeesu nootii, wi'iɓe, “Onon maa, ngam ɗume on tokkataa ko Allah wi'i ngam ndonu mooɗon? 
MAT.15.4	Ngam Allah wi'ii, ‘Hokku nyaako maaɗa e maduujo maaɗa mangu,’ nden, ‘Koo moye huɗi nyaako muuɗum koo maduujo muuɗum doole waree.’
MAT.15.5	Ammaa onon on mbi'a to neɗɗo wi'ii nyaako muuɗum koo maduujo muuɗum, ‘Fuu ko kokkaynomaami, mi hokkiiɗum Allah,’ too, naa' doole neɗɗo on mawnina nyaako maako won ɗon. 
MAT.15.6	Non ngartirɗon Wolde Allah meere ngam ndonu mooɗon. 
MAT.15.7	Onon munaafuki'en! Icaaya wi'ii goonga nde o waɗi annabaaku dow mooɗon wiiki,
MAT.15.8	Allah wi'ii, ‘Ɓen ɗon yimɓe e honduko tan ɓe mawnintayam,
MAT.15.8	ammaa ɓerɗe maɓɓe e ngoɗɗitiiyam.
MAT.15.9	E meere ɓe mawnintayam.
MAT.15.9	E ɓe ekkitina dooka yimɓe bo to am ɗum ƴiwoyi.’ ”
MAT.15.10	Sey Yeesu noddi yimɓe hawrutuɓe, wi'iɓe, “Kettindee, paamon. 
MAT.15.11	Naa' ko nattata neɗɗo e honduko wartirta ɓernde maako nde laaɓaa yeeso Allah, ammaa ko wurtoytoo daga nder honduko maako wartirtamo mo laaɓaa yeeso Allah.”
MAT.15.12	Sey tokkuɓemo ngari to maako, mbi'imo, “A andi Faarisanko'en nanii monnere nde ɓe nani kan ɗon haala ka mbiiɗaa?”
MAT.15.13	Yeesu nootii, wi'i, “Fuu awre nde ɗum aawi, to naa' Nyaako am Mo Dow aawinde, ɗum ɗoofaynde. 
MAT.15.14	Aleeɓe! Ɓe wumɓe ardiiɓe wumɓe. To bumɗo ardake bumɗo, ɓe fuu ɗiɗo ɓe njanay nder ngayka.”
MAT.15.15	Sey Biiturus wi'imo, “Wi'umin ma'ana ɗu'um misaalu.”
MAT.15.16	Yeesu wi'iɓe, “Haa jooni onon maa on paamaayi? 
MAT.15.17	On andaa fuu ko natti nder honduko neɗɗo nder reedu maako ɗum natti, nden ɗum wurtoto? 
MAT.15.18	Ammaa ko wurtoyii nder honduko, daga nder ɓernde ɗum ƴiwoyi. Kanjum wartirta neɗɗo mo laaɓaa yeeso Allah.
MAT.15.19	Ngam daga nder ɓernde neɗɗo nyumo kallungo wurtoytoo, e warhoore, e njeenu, e njeenu hakkunde yimɓe ɓe ngalaa teegal, e nguyka, e ceyda fewre, e wonnuki inde neɗɗo. 
MAT.15.20	Ɗu'um kanjum wartirta neɗɗo mo laaɓaa yeeso Allah, ammaa nyaamuki nyamndu e juuɗe ɗe lootaaka naa' kanjum wartirta neɗɗo mo laaɓaa yeeso Allah.”
MAT.15.21	Yeesu ali ɗon yahi haade gariije Taaya e Sidon. 
MAT.15.22	Sey raa goɗɗo Kan'aaniyankeejo debbo neɗɗo leydi ndin wari noddi sembee, wi'i, “Moodibbo, Ɓii Dawda, yurminanam! Wongol ginnol e torra ɓiɗɗo am surbaajo.”
MAT.15.23	Ammaa Yeesu wi'aayimo goɗɗum. Sey tokkuɓemo ngari toriimo, mbi'i, “Riiwumo, ngam e mo tokki'en e mo wanna'en e wulluki!”
MAT.15.24	Sey o wi'i debbo on, “Mi liloyaaka to woɓɓe, sey to baali majjuɗi ɗi lenyol Israa'iila tan.”
MAT.15.25	Ammaa o wari o diccii yeeso Yeesu, o wi'i, “Moodibbo, wallam!”
MAT.15.26	Yeesu nootii, wi'i, “Ɗum haanaayi ɗum hocca nyamndu ɓikkoy ɗum hubanoondu kutihoy.”
MAT.15.27	O wi'i, “Ee, ɗum non, Moodibbo, ammaa koo kutihoy e nyaama horaano januɗum daga teebur jeyɗokoy.”
MAT.15.28	Sey Yeesu nootii, wi'imo, “Hoolaare maaɗa e ɗuuɗi! Ɗum waɗante no ngiɗɗaa.” Ɗon e ɗon ɓiɗɗo maako yamɗiti.
MAT.15.29	Yeesu ummii, ali ɗon, tokki haade Mbeela Galiili, o ƴenti dow hocceere o jooɗii. 
MAT.15.30	Yimɓe ɗuɗɓe ngari to maako, ɓe ngaddoyi ɓe koyɗe jaraaɗe, e wumɓe, e laƴooɓe, e ɓe mbaawataa metuki, e woɓɓe ɗuɗɓe gooduɓe nyawuuji. Ɓe ndesiɓe yeeso maako, sey o yamɗitiniɓe. 
MAT.15.31	Yimɓe kayɗini nde ngi'i yimɓe ɓe metataa e meta, laƴooɓe e njaha, ɓe koyɗe jaraaɗe e njaaɓa, wumɓe e ngi'a. Sey ɓe manti Allah Israa'iila.
MAT.15.32	Sey Yeesu noddi tokkuɓemo, wi'iɓe, “E mi nana jurumɗum yimɓe ɓe'e ngam hande balɗe maɓɓe tati e ɓe ngondi e am, ammaa ɓe ngalaa ko ɓe nyaamata. Mi yiɗaa ɓe ndillida e weelo, ngam ɗum saɗaa ɓe pekkora dow ɗatal.”
MAT.15.33	Sey tokkuɓemo mbi'imo, “Toye min keɓoyta buroodi nder ladde nde'e keƴayɗum yimɓe ɗuɗɓe ɓe'e?”
MAT.15.34	Yeesu ƴamiɓe wi'i, “Buroodi noye ngooduɗon?”
MAT.15.34	Ɓe mbi'i, “Buroodi joweeɗiɗi e liƴƴi seɗɗa.”
MAT.15.35	Sey o wi'i yimɓe hawrutuɓe ɓen fuu ɓe njooɗoo e leydi. 
MAT.15.36	O hocci buroodi joweeɗiɗi ɗum e liƴƴi ɗin, o yetti Allah, o sendiɗum, o hokki tokkuɓemo, kamɓe boo ɓe ngeedani yimɓe ɓen. 
MAT.15.37	Yimɓe ɓen fuu nyaami kaari. Gaɗa maajum tokkuɓemo moɓti ko horii, ɗum heewi kondooje joweeɗiɗi. 
MAT.15.38	Nyamɓe ɓen worɓe tan ngaɗi 4,000, rewɓe e sukaaɓe limaaka.
MAT.15.39	Gaɗa Yeesu jaɓɓitake hawrutuɓe ɓen, sey o natti komiwal, o dilli leydi Magadan.
MAT.16.1	Faarisanko'en e Saadusanko'en ngari to Yeesu, e ɓe ngiɗi foondukimo, sey ɓe mbi'imo o waɗanaɓe goɗɗum kayɗiniiɗum ƴiwoyɗum to Allah.
MAT.16.2	Yeesu nootii, wi'iɓe, “To naange hiirii, dow woojii, on mbi'a, ‘Jaango njayri wooɗay.’ 
MAT.16.3	Ɗonmaa to subaka waɗii on ngi'ii dow woojii e woodi duule koo toye, on mbi'a, ‘Hande ɗum waɗay iyeende.’ On mbaawi raaruki ko woni e dow andon ko waɗata, ammaa on mbaawataa faamuki ma'ana kuuɗe ɗe ngaɗaymi. 
MAT.16.4	Yimɓe jaamanu ɗu'um kalluɓe ɓe kulataa Allah, e ɓe ngiɗi holleeki goɗɗum kayɗiniiɗum, ammaa walaa ko ɗum hollataɓe sey ni ko heɓuno Annabi Inuusa.”
MAT.16.4	Sey o aliɓe o dilli.
MAT.16.5	Nde tokkuɓemo kuuli fongo mbeela, ɓe ngi'i ɓe ngejjitii ɓe ngardoya e buroodi. 
MAT.16.6	Sey Yeesu wi'iɓe, “Paamee, ngaɗee hakkiilo e ƴuufinirɗum Faarisanko'en e Saadusanko'en.”
MAT.16.7	Sey tokkuɓemo meddi hakkunde maɓɓe, ɓe mbi'i, “O wi'u non ngam en ngaddaayi buroodi.”
MAT.16.8	Nde Yeesu faami ko ɓe mbi'ata, sey o ƴamiɓe, o wi'ii, “Onon gooduɓe hoolaare seɗɗa, ngam ɗume meddoton dow on ngalaa buroodi? 
MAT.16.9	Haa jooni on paamaayi? On ciftoraayi no nyamnirmi yimɓe 5,000 e buroodi jowi, e kondooje sappo e ɗiɗi ɗe ɓoptuɗon e keewi horaano?
MAT.16.10	Ɗonmaa on ciftoraayi no nyamnirmi yimɓe 4,000 e buroodi joweeɗiɗi, e kondooje joweeɗiɗi ɗe ɓoptuɗon e keewi horaano?
MAT.16.11	No ɗum waɗi on paamaayi naa' dow buroodi metaymi? Mi wi'ii paamanee ƴuufinirɗum Faarisanko'en e Saadusanko'en.”
MAT.16.12	Nden tokkuɓemo keɓti naa' e mo metanaɓe ɓe paama dow ƴuufinirɗum gaɗeteeɗum nder buroodi, ammaa ɓe ngaɗa hakkiilo e ekkitinol Faarisanko'en e Saadusanko'en.
MAT.16.13	Nde Yeesu wari leydi Kaysaariya Filibi, sey o ƴami tokkuɓemo, o wi'i, “Moye yimɓe mbi'ata Ɓii Neɗɗo woni?”
MAT.16.14	Sey ɓe mbi'i, “Woɓɓe e mbi'a a Yahaya Gaɗoowo Baptisma. Woɓɓe boo e mbi'a a Annabi Iliya. Nden woɓɓe e mbi'a a Annabi Irmiya koo go'oto nder annabo'en.”
MAT.16.15	O wi'iɓe, “Ammaa onon, moye mbi'otonyam?”
MAT.16.16	Sey Siiman Biiturus nootii, wi'i, “An woni Almasiihu, Ɓiɗɗo Allah mo yonki.”
MAT.16.17	Yeesu nootii wi'imo, “A barkiɗinaaɗo, Siiman ɓii Inuusa, ngam naa' ɗum neɗɗo wi'imaaka, sey ni Nyaako am Mo Dow. 
MAT.16.18	E mi wi'imaa, an woni Biiturus, waato Tafaare. Dow tafaare nden njooɗinaymi tokkuɓeyam. Mayde fuu e bawɗe mayre waawataa jaalooɓe. 
MAT.16.19	Mi hokkete maɓɓitirkoy Laamu Allah, fuu ko kaɗuɗaa e duuniyaaru, Allah Mo Dow jaɓi. Ɗonmaa fuu ko aluɗaa ɗum waɗa e duuniyaaru, Allah Mo Dow jaɓii.”
MAT.16.20	Sey Yeesu haɗi tokkuɓemo to' ɓe mbi'aka koo moye kanko woni Almasiihu.
MAT.16.21	Daga ngel ɗon carel Yeesu fuɗɗi wiiki tokkuɓemo doole o yaha Urucaliima, o yara bone ɗuɗɗum to juuɗe mawɓe yimɓe, e mawɓe ardiiɓe diina, e moodiɓɓe Attawra, nden o waree. Nder nyalnde tatawre boo ɗum umminaymo.
MAT.16.22	Sey Biiturus noddimo wuttudu go'o fuɗɗi haɓankimo, e wi'a, “Allah hoyna, Moodibbo! Non heɓataama haa abadaa!”
MAT.16.23	Ammaa Yeesu waylitii, wi'i Biiturus, “Sendir e am, an Ceyɗan! A kaɗayɗoyam waɗuki ko Allah yiɗi, ngam naa' to Allah nyumo maaɗa ƴiwoyi, iri nyumo yimɓe nyumataa.”
MAT.16.24	Sey Yeesu wi'i tokkuɓemo, “Fuu giɗɗo warta tokkuɗoyam, doole wanya hoore muuɗum, hocca gaafaangal muuɗum, tokkayam.
MAT.16.25	Ngam fuu giɗɗo hisnuki yonki muuɗum o dullayki. Ammaa fuu dullayɗo yonki muuɗum ngam am o heɓayki.
MAT.16.26	Ko ɗum nafanta neɗɗo to o heɓii duuniyaaru fuu, ammaa dullii yonki maako? Koo boo ko neɗɗo waawata hokkuki ngam jaɓtoya yonki muuɗum? 
MAT.16.27	Ngam Ɓii Neɗɗo waray nder teddungal Nyaako muuɗum Mo Dow e malaa'ika'en maako, o waatanay koo moye ko waɗi.
MAT.16.28	E mi wi'a'on goonga, e woodi woɓɓe dariiɓe ɗo'o ɓe maayataa naa ɓe ngi'ii Ɓii Neɗɗo e waroya nder laamu muuɗum.”
MAT.17.1	Gaɗa balɗe joweego'o, sey Yeesu hocci Biiturus e Yaakubu e minyiraawo maako Yahaya, o yaariɓe dow wonde hocceere townde kamɓe tan. 
MAT.17.2	Sey nandi maako wayliti yeeso maɓɓe. Yeeso maako e ɗelkitoo bo naange. Kolte maako ngarti daneeje tar bo jayngol. 
MAT.17.3	Ɗon e ɗon sey Annabi Muusa e Annabi Iliya wanganiɓe e ɓe medda e Yeesu. 
MAT.17.4	Sey Biiturus wi'i Yeesu, “Moodibbo, wonki amin ɗo'o e wooɗi. Al min nyiɓa cuuɗi tati ɗo'o, wo'oyru ndu maaɗa, wo'oyru ndu Muusa, nden wo'oyru ndu Iliya.”
MAT.17.5	E mo nder metuki, sey raa wonga nduula ɗelkitotoonga wari suddiɓe. Ɓe nani hononde Allah daga nder maaga, wi'i, “O'o woni Ɓiɗɗo am mo ngiɗumi. E mi nana belɗum maako naa' seɗɗa. Nanee ko o wi'ata'on!”
MAT.17.6	Nde tokkuɓemo nani hononde nden, kulol mangol nangiɓe ɓe njani e leydi. 
MAT.17.7	Sey Yeesu wari meemiɓe, wi'i, “Ummee, to' on kulu.” 
MAT.17.8	Nde ɓe ƴefti ko'e, ɓe ngi'aayi goɗɗo sey Yeesu tan.
MAT.17.9	E ɓe njippoyoo daga dow hocceere nden, sey Yeesu wagginiɓe, wi'i, “To' on mbi'u goɗɗo ko ngiiɗon naa ɗum ummini Ɓii Neɗɗo daga mayde.”
MAT.17.10	Tokkuɓemo ƴamimo, mbi'i, “Too, ngam ɗume moodiɓɓe Attawra e mbi'a doole Annabi Iliya arta Almasiihu warki?”
MAT.17.11	O nootii, o wi'i, “Goonga Annabi Iliya artay warki, ngam o siryoo koo ɗume. 
MAT.17.12	Ammaa e mi wi'a'on, Iliya yaadake warii, ɓe boo keɓtaayi ɗum kanko, ammaa ɓe ngaɗanimo fuu ko ɓe ngiɗi. Non maa Ɓii Neɗɗo yaray bone e juuɗe maɓɓe.”
MAT.17.13	Nden tokkuɓemo paami e mo metanaɓe dow Yahaya Gaɗoowo Baptisma.
MAT.17.14	Nde ɓe njottii to yimɓe ɗuɗɓe kawriti, sey goɗɗo neɗɗo wari to Yeesu diccii yeeso maako wi'i, 
MAT.17.15	“Moodibbo, yurminan suka am e woodi nyawu paɗɗe, e mo torroo naa' seɗɗa. Nde ɗuɗɗum e mo yana nder hiite e nder ndiyam. 
MAT.17.16	Mi yaariimo to tokkuɓema, ammaa ɓe mbaawaayi yamɗitinkimo.”
MAT.17.17	Sey Yeesu nootii wi'i, “Onon yimɓe jaamanu ɗu'um kalluɗum on koolaakiyam, haa ndeye njooɗodotoomi e mooɗon e mi munyida e mooɗon? Ngaddaneeyam suka on ɗo'o.” 
MAT.17.18	Sey Yeesu haɓani ginnol ngol, ngol wurtii suka on, ɗon e ɗon o yamɗiti.
MAT.17.19	Sey tokkuɓemo ngari to maako kamɓe tan, ɓe ƴamimo ɓe mbi'i, “Ngam ɗume minon min mbaawaayi wurtinki ginnol ngol?”
MAT.17.20	Yeesu nootii wi'iɓe, “Ngam hoolaare mooɗon famɗii. E mi wi'a'on goonga, daa on ngoodi hoolaaki famɗirki bo gabbel mastat, on mbaaway mbi'on hocceere nde'e, ‘Itta daga ɗo'o, yahu ɗaa'e,’ sey nde waɗa ko mbiiɗon. Walaa boo ko salorta'on.
MAT.17.21	[Ammaa iri ngo'ol ginnol ngol wurtataako sey e do'aare e suumaaki.]”
MAT.17.22	Nde Yeesu e tokkuɓemo kawriti e leydi Galiili, sey o wi'iɓe, “Ɗum hokkitiray Ɓii Neɗɗo nder juuɗe yimɓe, 
MAT.17.23	ɓe mbaramo, e nyalnde tatawre ɗum umminaymo.” Sey fii ɗum wanni tokkuɓemo naa' seɗɗa.
MAT.17.24	Nde Yeesu e tokkuɓemo njottii gariiri Kafarnahum, jaɓooɓe ceede ngam Wuro Ceniingo ngari to Biiturus, ɓe mbi'imo, “Moodibbo mooɗon e hokka ceede walluki Wuro Ceniingo?”
MAT.17.25	O wi'i, “Ee, e mo hokka.”
MAT.17.25	Nde Biiturus warti wuro, sey Yeesu arti metankimo, wi'i, “No ngiiɗaa, Biiturus? To ɓeye laamiiɓe duuniyaaru ndu'u njaɓata ceede leydi, to ɓiɓɓe maɓɓe koo to woɓɓe?”
MAT.17.26	Nde Biiturus wi'i, “To woɓɓe,” sey Yeesu wi'i, “Too, ɓiɓɓe maɓɓe njoɓataa won ɗon. 
MAT.17.27	Fuu e non, ngam to' ɓe nana monnere meeɗen, yahu mbeela ngaɗaa nangirɗum liƴƴi maaɗa. Fuu lingu ngu artuɗaa nanguki, maɓɓutu honduko maagu a taway yamnde ajurfaari nder. Hoccunde, kokkaaɓe njoɓaari Wuro Ceniingo ngam min e maaɗa.”
MAT.18.1	E ngel ɗon carel tokkuɓe Yeesu ngari ƴamimo, mbi'i, “Moye ɓuri mangu fuu nder Laamu Allah?”
MAT.18.2	Sey Yeesu noddi wongel sukayel pamarel darningel caka maɓɓe, 
MAT.18.3	wi'i, “E mi wi'a'on goonga, to naa' on lestin ko'e mooɗon ngartuɗon bo sukahoy, on nattataa Laamu Allah koo seɗɗa!
MAT.18.4	Fuu lestinɗo hoore muuɗum bo sukayel pamarel nge'el, kanko woni ɓurɗo mangu nder Laamu Allah. 
MAT.18.5	Nden fuu jaɓuɗo sukayel pamarel bo nge'el nder inde am jaɓiiyam.
MAT.18.6	“Ammaa fuu gaɗuɗo go'oto nder sukaaɓe ɓe'e kooliiɓeyam waɗi hakke, ɗum ɓuranaymo o haɓɓanee kaaƴa namol manga e daande maako ɗum faɗɗamo nder mbeela luggunga. 
MAT.18.7	Duuniyaaru wonii ngam e woodi ko fooɗata yimɓe ngaɗa hakke! Ngam doole ko fooɗata yimɓe ngaɗa hakke wara, fuu e non fooɗuɗo goɗɗo waɗi hakke wonii.
MAT.18.8	“To jungo maaɗa koo koyngal maaɗa e waɗumaa ngaɗaa hakke, too, ittungo paɗɗaango, koo ittungal paɗɗaangal. Ɗum ɓuraniima nattaa wuro Allah e jungo wo'oto koo koyngal go'otal dow ɗum hubomaa nder hiite nge nyifataa haa abadaa e juuɗe ɗiɗi koo koyɗe ɗiɗi.
MAT.18.9	To boo hitere maaɗa e waɗumaa ngaɗaa hakke, ittunde paɗɗaande. Ɗum ɓuraniima nattaa wuro Allah e hitere go'o dow ɗum hubomaa nder wuro hiite e gite ɗiɗi.
MAT.18.10	“Paamee, to' on njawan koo go'oto nder sukahoy pamaroy ko'oy. Ngam e mi wi'a'on, malaa'ika'en maakoy ton dow koo ndeye e ndaara yeeso Nyaako am Mo Dow.
MAT.18.11	[Nden Ɓii Neɗɗo waroyii ngam hisna ko majji.]
MAT.18.12	“Too, ko nyumoton? To neɗɗo e woodi baali 100, sey go'o nder baali ɗin majji, naa' o alay koriiɗi ley hocceere, o dilla ɗaɓɓutuki mbaala majjunga ngan? 
MAT.18.13	E mi wi'a'on goonga, to o heɓtoyiinga, belɗum ɗum o nanata dow maaga ɗum ɓurii ɗum baali koriiɗi ɗin ɗi meeɗaayi majjuki. 
MAT.18.14	Non Nyaako mooɗon Mo Dow yiɗaa koo go'oto nder sukaaɓe pamarɓe ɓe'e halka.
MAT.18.15	“To bandiraawo maaɗa waɗaniima ko wooɗaa, yahu mbi'aamo ko wooɗaa ɗum o waɗanmaa, an e maako tan. To o jaɓii, a wartirii sumpo hakkunde mooɗon won ɗon.
MAT.18.16	Ammaa to o wanyii jaɓuki, sey fuɗɗitaa co''odoɗaa e neɗɗo go'oto koo ɗiɗo to maako, ngam ‘doole ɗum heɓa ceydu'en ɗiɗo koo tato ko ɗum tabbitina haala.’
MAT.18.17	To boo o wanyii ko ɓe mbi'i kamɓe maa, sey mbi'aaka kawtal tokkuɓeyam. Ɗonmaa to o wanyii nanki kawtal tokkuɓeyam, hoccumo bo mo andaa Allah koo gooduɗo hakke ganyuɗo tuuba.
MAT.18.18	“E mi wi'a'on goonga, fuu ko kaɗuɗon e duuniyaaru, Allah Mo Dow jaɓi. Ɗonmaa fuu ko aluɗon ɗum waɗa e duuniyaaru, Allah Mo Dow jaɓi.
MAT.18.19	“Ɗonmaa, e mi wi'a'on, to yimɓe ɗiɗo nder mooɗon kawtii ko'e torake goɗɗum e duuniyaaru, Nyaako am Mo Dow waɗanayɓeɗum. 
MAT.18.20	Ngam to yimɓe ɗiɗo koo tato kawriti nder inde am, e mi wondi e maɓɓe.”
MAT.18.21	Sey Biiturus ɓaddoyii wi'i Yeesu, “Moodibbo, nde noye bandiraawo am e waɗanayam ko wooɗaa e mi yaafanoomo? Nde joweeɗiɗi?”
MAT.18.22	Yeesu nootii wi'imo, “Naa' nde joweeɗiɗi tan, ammaa joweeɗiɗi nde cappanɗe joweeɗiɗi.
MAT.18.23	Ngam non, ɗum nandinay Laamu Allah e goɗɗo laamiiɗo giɗɗo lima jawdi muuɗum ngondi jungo kuwanooɓemo. 
MAT.18.24	Nde o fuɗɗi limukindi, sey ɗum waddanimo goɗɗo mo o tokkata nyamaande ceede ɗe o waawataa yoɓuki haa keerol jonde maako e duuniyaaru. 
MAT.18.25	Nde o tampi yoɓuki, sey laamiiɗo on waɗi ɗum sooramo e debbo maako e ɓiɓɓe maako e koo ɗume ko o woodi ngam ɗum yoɓa ceede ɗen. 
MAT.18.26	Sey maccuɗo on diccii yeeso maako, toriimo, wi'i, ‘Waɗu munyal. Mi yoɓete koo ɗume.’ 
MAT.18.27	Sey laamiiɗo on nani jurumɗum maccuɗo on yaafaniimo nyamaande nden yoofimo.
MAT.18.28	“Ammaa maccuɗo on e wurtaaki maako o tawi goɗɗo mo o huudata mo o tokkata nyamaande ceede ɗe ɗum yoɓata kuwoowo to ngesa lebbi jowi. O ɗeɗɗanimo daande, o wi'imo, ‘Yoɓam ko tokkaymaami!’ 
MAT.18.29	Sey mo o huudata on dicci toriimo, wi'i, ‘Waɗanam munyal mi yoɓete.’ 
MAT.18.30	Ammaa o wanyi, o waɗi ɗum maɓɓimo nder suudu cural sey nde o yoɓimo ko o tokkatamo. 
MAT.18.31	Nde higooɓe kuugal maako ngi'i non, ɓe nganni naa' seɗɗa. Sey ɓe njahi ɓe mbi'ika laamiiɗo on fuu ko waɗi.
MAT.18.32	“Sey laamiiɗo on noddi maccuɗo on, wi'imo, ‘An a maccuɗo kalluɗo! Mi yaafanakema fuu nyamaande nde tokkaymaami ngam a torakeyam. 
MAT.18.33	Too, haanaayi njurminanaa mo kuudataa non no njurminiranmaami?’ 
MAT.18.34	Laamiiɗo on nani monnere naa' seɗɗa, o waɗi ɗum nangimo ɗum waɗa ka torrukimo naa o yoɓii koo ɗume ko ɗum tokkatamo.
MAT.18.35	“Non Nyaako am Mo Dow waɗanta koo moye mooɗon mo yaafanaaki bandiraawo muuɗum e ɓernde go'o.”
MAT.19.1	Nde Yeesu heenyi wiiki fii ɗu'um, sey o ali leydi Galiili o natti leydi Yahuudiya ngondi fongo Caangol Urdun. 
MAT.19.2	Yimɓe ɗuɗɓe tokkimo, o yamɗitini nyawɓe ton.
MAT.19.3	Sey woɓɓe Faarisanko'en ngari to maako ngam ɓe poondamo, ɓe ƴamimo, ɓe mbi'i, “E yiiki maaɗa Attawra alii neɗɗo yoofa
MAT.19.4	O nootii, o wi'i, “Too, on meeɗaayi janguki aayaare biinde taguɗo yimɓe daga fuɗɗoode taguki o tagiiɓe gorko e debbo?
MAT.19.5	O wi'ii, ‘Ngam non neɗɗo alay nyaako muuɗum e maduujo muuɗum takkanoo debbo muuɗum, kamɓe ɗiɗo ɓe ngarta go'o.’
MAT.19.6	Ngam non naa' ɓe ɗiɗo kadin, ammaa ɓe ngartii neɗɗo go'oto. Ngam maajum ko Allah hawti, to' neɗɗo sendaɗum.”
MAT.19.7	Sey ɓe mbi'imo, “Too, ngam ɗume Annabi Muusa wi'i neɗɗo windana debbo muuɗum ɗerewol warki teegal wi'amo o dilla?”
MAT.19.8	Sey Yeesu wi'iɓe, “Ngam ɓerɗe mooɗon ɗe caatuɗe waɗi Muusa ali'on njoofon rewɓe mooɗon, ammaa naa' non ɗum woni daga arande. 
MAT.19.9	E mi wi'a'on, koo moye yoofi debbo muuɗum, to naa' njeenu o waɗi, nden te'i goɗɗo debbo, waɗii njeenu won ɗon.”
MAT.19.10	Sey tokkuɓemo mbi'imo, “To non ɗum woni hakkunde neɗɗo e debbo muuɗum, too, ciya teegal maa ɓurii.”
MAT.19.11	Ammaa o wi'iɓe, “Naa' koo moye waawata jaɓuki haala ka'a, sey ni ɓe Allah wawni. 
MAT.19.12	Ngam e woodi ɓe ɗum danyi ngorgu maɓɓe e waati. E woodi woɓɓe boo ɓe yimɓe tappi. Nden e woodi woɓɓe ɓe te'ataa ngam ɗaɓɓutuki Laamu Allah. Fuu baawayɗo jaɓuki haala ka'a jaɓaka.”
MAT.19.13	Sey ɗum waddani Yeesu sukahoy pamaroy ngam o yowanakoy juuɗe o waɗanakoy do'aare. Ammaa tokkuɓemo kaɓani gaddayɓekoy. 
MAT.19.14	Sey Yeesu wi'iɓe, “Alee sukahoy pamaroy ngara to am. To' on kaɗukoy, ngam gooduɓe ɓerɗe iri ɗe maakoy njeyi Laamu Allah.”
MAT.19.15	Sey o yowanikoy juuɗe maako ngam barkiɗinki, nden o dilli.
MAT.19.16	Sey goɗɗo ɓaddoyii to Yeesu wi'i, “Moodibbo, ɗume fii geetum haani mi waɗa ngam mi heɓa yonki ki re'ataa?”
