GEN.1.1	Owakira itanta-nakari iwitsikan-taitzi, iriitakira Pawa owitsika-kirori inkiti aajatzi kipatsi. 
GEN.22.4	Ari yaniitaki okaratzi mawa kitaitiri, yamina-kotapaa-kiro antó tsika yariityaa. 
GEN.22.5	Ikantakiri impira-tani: “Ari pisaikawaki aka paminiri mora. Nojatawaki naaka nontsipa-tanakyaari notomi. Aririka nomatakiro nompinkathatiri Pawa, ari nompiyajiri.” 
GEN.22.6	Yaakiro Abraham tsitsi impomitan-tyaariri, yanatakaa-nakiri itomi. Yaanakiro irirori paamari, aajatzi kotsiro. Jaitijiitanakini apitiroiti. 
GEN.22.7	Tikira osamaniti isampitakiri Isaac iriri, ikantziri: “Apaa.” Ari yakanaki Abraham, ikantzi: “Ipaita pinintziri notomí.” Ikantzi Isaac: “Tzimatsi tsitsi, paamari, ¿tsikama ayika apira ampomitiri?” 
GEN.22.8	Ikantzi asitariri: “¡Notomí! Iyotzi Pawa tsika yayiri ipira ampomitiri.” Aikiro ijajiitatziini.
GEN.22.9	Ikanta yariitapaaka tsika yookotaki-niri Pawa, iwitsiki ipomi-pirini-minto Abraham, ipiwirika-kiro itsima. Yaakiri itomi yoosotakiri, inaryaakiri pomipirini-minto-tsiki ipiwirika-kiro itsima. 
GEN.22.10	Iro itzinaa-witanakaro kotsiraaniki isataantyaarimi itomi, 
GEN.22.11	ikaima-kotakiri imaninkariti Pawa, ikantziri: “¡Abraham! ¡Abraham!” Akanaki irirori ikantzi: “Ipaitaka, aka nosaiki.” 
GEN.22.12	Ikantzi maninkari: “Airo pisatairi iintsi, noyotakimi oshiki pipinkatha-tziri Pawa, tima ti pinthañaa-pitha-tyaari papintziti pitomi.” 
GEN.22.13	Ari yaminanaki Abraham, iñaatziiri ipiraitari yayiintaka ichiiki incha-maisiki. Yaakitziri, iriitaki impoyii-takariri itomi, kachaaryiinka ikantaka ipomitakiri. 
GEN.22.14	Irootaki ipaitan-tanakarori Abraham irontá otzisi: “Ipantzi Pawa.” Arira ikantapiin-taitanaki: “Impan-tapiintaiti kowityii-motairi itzisiti Pawa.”
GEN.22.15	Ari yapiitakiro imaninkariti Pawa isaikakira inkitiki ikaima-kotajiri Abraham, 
GEN.22.16	ikantziri: “¡Abraham! Okantakaan-tziro ti pinthañiiyaari papintziti pitomi, naaka pinkima-jaanti nopaantiki iroñaaka. Iroka nokantzi: 
GEN.22.17	‘Omapiro nontasonka-wintimi Naaka. Naaka shikyaa-jirini pincharinita-jyaari inkimitajyaari ishikitzi impokiro, inkimitajyaaro oshikitzi impaniki nijaathapyaaki. Iriitaki iitsinampaa-jiri-niri iisaniin-tani. 
GEN.22.18	Iriitaki kantakaa-jyaaroni picharini-payi intasonka-wintantai-tyaariri maaroni nasiyitacha-niri ishininka-tawakaiyaa kipatsiki. Okamintha pikimisan-tajiro awiroka nokantzimiri.’ ”
GEN.23.1	Okaratzi 127 osarintsi añaaki Sara. 
GEN.23.2	Ari okamajiri iroori anta ipaitai-tziro “4 Asitaro Inampitsiti”, irojatzi ipaitai-tziri “Aripiro-taarini” saikatsiri anta Owintiniki. Antaroiti iraako-waitakaro Abraham okamajira Sara.
GEN.24.1	Ari mapirotaka antyasiparitaki Abraham, oshiki itasonka-wintakiri Pawa. 
GEN.24.2	Ikaimakiri antaripiro-taintsiri impira-tani, amininiriri okaratzi tzimimo-tziriri. Ikantakiri: “Pairika-chokitina”. 
GEN.24.3	Pinkantapirotina, pimpairyiiri Pawa Iwawani-taitari inkitiki aajatzi kipatsiki, airo pisinitanari notomi iinantyaaro Owintini-sato saikatsiri aka. 
GEN.24.4	Ontzimatyii pijati nonampii-tiki, pamininiri noshininka naaka iinantyaari.” 
GEN.24.5	Ari yakanakiri impira-tani, ikantziri: “Airorika onintzi ompoki mainaro, ¿tsikama nonkantyaaka? ¿Naanakirima pitomi pinampii-tiki pipoñaaka pairani?” 
GEN.24.6	Ikantzi Abraham: “Airo, okantzi payinari notomi anta. 
GEN.24.7	Tima Pawa, Iwawanitari inkiti-satzi, amajanari pairani iipatsitiki asitanari, iipatsitiki aajatzi nocharini. Ikantakina pairani: ‘Ari nompajiri iroka kipatsi inkarati pincharini-tajyaari.’ Tima irootaki ikasiyakaa-kinari, aritaki intyaan-takimi imaninkariti, tsipatyaa-miniri pamantyaari kooya iinantyaari notomi. 
GEN.24.8	Airorika onintzi oyaatimi kooya, pimonkara-tzimaitakaro nompira-takamiri naaka. Titzimaita noninti payinari notomi anta.” 
GEN.24.9	Imatakiro impira-tani, yairika-chokitakiri Abraham, ikantaki: “¡Omaapiro nowinkatharití! Airo namatawi-tzimi, aritaki nantakiro okaratzi pikantaki-nari.”
GEN.24.10	Ikoyaana-kiro tzimimo-tziriri ompiratariri, irootaki impasitan-tyaari. Yaanaki 10 ipira ikyaakoi-tari, jataki inampitsitiki Nacor ipaitai-tziro Osampanaaki anta Tonkariniki. 
GEN.24.11	Ikanta yarii-tzimataka nampitsiki, imakoryaa-kaapaa-kiri ipira-payi osaiki nijaatinka. Aritaki tsitiniityaaki, irootaintsi intityaa ooryaatsiri opokapiin-tzira kooya-payi ayi nijaa. 
GEN.24.12	Amanapaaki, ikantzi: “Pawa, Iwawani ompiratanari Abraham, awiroka kantakai-yaaro-niri omatantyaari nonintziri, pinisironka-tiri ompiratanari. 
GEN.24.13	Ari nosaikawaki aka ikaapiin-taitzi, tsika opokayitzi awankaropayi ayi nijaa. 
GEN.24.14	Awiroka kantakai-yaaro-niri aririka nonkantakiro aparoni mainaro: ‘Pisinitinaro piyowitziti nirawakiita nijaa.’ Onkantanaki iroori: ‘Pirawaiti. Kantatsi nompiri nijaa ikyaakoi-tari-payi.’ Irootaki mainaro pikowakaa-kiriri pimpira-tani Isaac. Ari noyotiri pitakotari ompiratanari.” 
GEN.24.15	Tikira ithonkiroota yamani, pokapaaki aparoni mainaro anatakiro oyowitziti oshimpaki. Irootaki Rebeca irisinto Betuel. Tima yoka Betuel iriitaki otomi Milca iwaiyan-takaa-kirori Nacor iririntzi Abraham. 
GEN.24.16	Kamiithaanto onatzi Rebeca, titzimaita oyotiri sirampari. Oirinkapaaka nijaatinkaki, okaapaaki nijaa, iro ompiyana-kimi. 
GEN.24.17	Ari isiyasi-tawakaro ompirataari, ikantapaa-kiro: “Pimpina kapichiini nijaa payiri piyowitzitiki nirawa-kiita.” 
GEN.24.18	Okantzi iroori: “Pirawaiti nowinkatharití.” Sintsini owayiitana-kiro oyowitziti, oitakiri nijaa airika-kotaki-niri. 
GEN.24.19	Ithonkakiro iraki nijaa ompirataari, okantana-kiri Rebeca: ‘¡Jiwari! Naawaki pasini nijaa nompiriri ikyaakoi-tari-payi, irojatzi irantakyaa maaroni irirori.” 
GEN.24.20	Intsipayini osiyapainta okai nijaa osakiro yirapiintzi piratsi, oshiki opiyapiyataka, ojaikitaki-niri irajiititiri ikyaakoi-tari-payi. 
GEN.24.21	Ari yaminamintha-takiro ompirataari tikatsi inkantiro, tima ikowatzii iyoti iriirika Pawa kantakaa-rori omatantakari iñaakiri. 
GEN.24.22	Ikanta thonkaka irajiitaki ipira, inosikana-kiri iwitsikai-tziri ooro, pinapiro-tachari. Ithatakiniro okirimasiki. Ipakiro apiti omatyaari akoki, pinapiro-tachari aajatzi. 
GEN.24.23	Ikantana-kiro: “Pinkantina, ¿Ipaitama asitamiri? ¿Antitachama iwanko nomayi-motimi nontsipa-tyaari nokarajiitaki?” 
GEN.24.24	Okantanaki iroori: “Naakataki irisinto Betuel, owaiyan-tani Milca irisinto Nacor. 
GEN.24.25	Tzimatsi tsika pimaajiiti, tzimatsi aajatzi oshiki iyaari pipira-payi.” 
GEN.24.26	Ari ityiirowa-naka ompirataari, ipinkatha-tanakiri Pawa. 
GEN.24.27	Ikantanaki: “Kimosiri-wintaari pinatzi Pawa, Iwawani ompiratanari Abraham, ti pamatawi-tiri pinisironka-tani ompiratanari. Awiroka amakinari aka noñaantaka-rori iwanko ishininka-thori.” 
GEN.24.28	Ti osaikanaki Rebeca, osiya-piro-tanakityaa owankoki osaiki oniro, okamantapaa-kiro.
GEN.24.29	Tzimatsi oyaariri Rebeca ipaita Labán, iriitaki siyanainchari ikaapiin-taitzira nijaa iñiiri atziri. 
GEN.24.30	Tima iñaawakiri othataniki okirimasiki aajatzi omarintsi iwitsikai-tziri ooro omayitakari iritsiro akoki, ikimawakiro aajatzi okamantan-tapaa-ki ikantaki-rori ompirataari. Ikanta yariitapaa-kari Labán impira-tani Abraham isaikakaakiri ipira-payi ikaapiin-taitzira. 
GEN.24.31	Ikantapaa-kiri: “Pimpoki itasonka-wintani Pawá. ¿Ipaitama pisaikantari intyaatsikaini? Tzimatsi tsika pimaapaaki, tzimatsi aajatzi tsika piwapaakiri pipira-payi.”
GEN.24.32	Ari ijatanaki ompirataari anta pankotsiki. Iwayiitaarantawakiri Labán ipira-payi ompirataari, ipakiri iyaari. Ipoñaa yamaitaki-niri nijaa ariitzinka-ripayi inkiwa-kijiityaari. 
GEN.24.33	Ikanta ipaitawa-kiri iwapaakyaari, ikantanaki impira-tani Abraham: “Airo nowitzita airorika nokaman-tzimiro nokowiri.” Ikantanaki Labán: “Intsityaa pimatiro.” 
GEN.24.34	Ikantzi ompirataari: “Naakataki impira-tani Abraham. 
GEN.24.35	Antaroiti itasonka-wintakiri Pawa ompiratanari, oshiki yashaaran-takaa-kari, tzimatsi ipira-payi, iiriikiti, ooro, ikyaakoi-tari-payi, tzimatsi oshiki yatziriti impiratari, tzimatsi aajatzi oshiki kooya-payi. 
GEN.24.36	Ari okimitzi-takari Sara okantawitaka antaro-konataki, owaiyantaji otomi. Iriitaki yasitakaa-jyaari ompiratanari okaratzi tzimimo-tziriri. 
GEN.24.37	Tima inintatzii ompirataka-nari nomonkara-piro-tiniri, ikantaki-nari: ‘Airo pisinitanari notomi iinantyaaro Owintini-sato saikatsiri aka. 
GEN.24.38	Apatziro pijatasitiri ishininka-thori asitanari, pamininiri notomi awankaro noshininka-payi naaka. Tima irootaki kamiitha-tatsiri iinantyaaro.’ 
GEN.24.39	Nokantanaki naaka: ‘¡Nowinkatharití! Aamaasityaa airo onintzi oyaatina mainaro. ¿Tsika nonkantyaaka?’ 
GEN.24.40	Ikantana-kina irirori: ‘Tima kamiitha nokantzimo-takari Pawa, aritaki intyaan-takimi imaninkariti intsipa-tyaami pijati, ari omatakyaa okaratzi nokantaki-miri. Aritaki pamaki kooya iinantyaari notomi, ishininka-thori asitanari. 
GEN.24.41	Airorika inintzi noshininka-thori impimiro irisinto, pimonkara-maitakaro awiroka nompira-takamiri’. 
GEN.24.42	Ikanta nariitaka ikaapiin-taitzi, namanakiri Pawa Iwawani ompiratanari, nokantziri: ‘Omaapiro-rika pinisironkatana pimatakainaro nonintziri aka. 
GEN.24.43	Tima saikakina ikaapiin-taitzi, nonintzi pimatakainaro iroka mainaro pokaintsiri ayi nijaa, aririka nonkantawa-kiro: “Pimpina kapichiini nijaa piyowitzitiki, nirawakiita”, 
GEN.24.44	aririka akanakina, onkantina: “Pirawaki, ari naaki pasini nompiriri pipira-payi irawakiri irirori”, irootaki iroka kooya ikowakaa-kiriri Pawa itomi ompiratanari.’ 
GEN.24.45	Tikira nonthonkiroota namani, noñaawakiro opokaki Rebeca anatakiro oyowitziti oshimpaki. Oirinkapaaka nijaatinkaki, okaapaaki. Ari nokantziro: ‘Pimpina pinijaati nirawakiita.’ 
GEN.24.46	Sintsiini owayiitana-kiro oyowitziti, okantana-kina: ‘Pirawaki, aritaki naaki pasini irawakiri aajatzi pipira-payi.’ Opakina nijaa nirawakiri, opitakari aajatzi nopira-payi. 
GEN.24.47	Ari nosampi-tanakiro, nokantziro: ‘¿Ipaitaka asitamiri?’ Okantzi iroori: ‘Naakataki irisinto Betuel itomi Nacor owaiyani Milca.’ Ari nokyaan-takaa-karo thatanintsi okirimasiki, nomatan-takaro akoki omarintsi-payi. 
GEN.24.48	Ari notyiirowa-nakari nopinkatha-tanakiri Pawa, nopanthaa-wintanakiri Iwawani ompiratanari Abraham, iriitaki amakinari nariitan-takari iwankoki ishininka-thori, namininiri iina itomi. 
GEN.24.49	Nonintzi pinkantina kamiitharika inintziri ompiratanari, tirika onimotimi pinkantina noyotan-tyaari ompaityaa nantiri.” 
GEN.24.50	Ikanta Labán aajatzi iriri Betuel, ikantanaki: “Iriitaki Pawa kantakaa-rori, tikatsi nonkanti naaka. 
GEN.24.51	Jiiroka Rebeca, paanakiro. Irootaki iinantyaari itomi ompiratamiri, irootaki inintakiri Pawa.” 
GEN.24.52	Ikanta ikimawaki impira-tani Abraham, oiyootanaka kipatsiki ityiirowa-naka ipinkatha-tanakiri Pawa. 
GEN.24.53	Imisitowana-kiro yamayitakiri iwitsikai-tziri ooro, kiriiki, kithaarin-tsipayi. Ipakiro maaroni Rebeca. Ipasitakari oyaariri aajatzi oniro. 
GEN.24.54	Owaajiitaka iroñaaka ompirataari, irawaijiitaki itsipatari oyaataki-riri. Maajiitaki. Okanta okitaiti-tamanaki, ipiriin-tamanaja, ikantanaji ompirataari: “¡Jiwarí! Irootaintsi nompiyaji iwankoki ompiratanari.” 
GEN.24.55	Titzimaita inintzi iyaariri Rebeca aajatzi iniro, okantanaki: “Apaata ojatzita niintsiti, nonintatzii omaanaji onkarati 10 kitaitiri. Irojatzi oyaatan-tanakyaamiri.” 
GEN.24.56	Ikantanaki ompirataari: “Airo pisamani-takaana, iriitaki Pawa kantakaa-karo nariitan-takari aka. Ontzimatyii nompiyi iwankoki ompiratanari.” 
GEN.24.57	Ikantajii-tanaki irirori: “Thami ankaimiro iroori, ankimiro tsika okantzi.” 
GEN.24.58	Ikaimai-takiro Rebeca, ari isampitai-takiro, ikantai-tziro: “¿Pinintzima piyaatana-kiri ompirataari?” Akanaki iroori, okantzi: “Jii, nonintzi noyaatana-kiri.” 
GEN.24.59	Ari isinitana-kiro Labán ojati iritsiro Rebeca ontsipa-tanakyaaro aamaakowin-tapiintarori pairani ainiro iintsitapaaki. Oyaatana-kiri impira-tani Abraham itsipatanaari ikaratzi oyaayitaki-riri. 
GEN.24.60	Iwithatawaaro oyaariri, ikantawa-jiro:
GEN.24.60	Pijati chooki,
GEN.24.60	Onkamintha iriniro-tyaami oshiki atziri.
GEN.24.60	Onkamintha yaapitha-tajiri piwaiyani-payi inampi-payi ikisaniin-tani. 
GEN.24.61	Ari okyaako-tanakari Rebeca ipiraitari otsipatanakaro ompira-tanipayi aamaakowin-takarori pairani, oyaatana-kiri impira-tani Abraham. Imatakiro ompirataari yaanakiro Rebeca, piyanaja. 
GEN.24.62	Aritaki ariitzimataja irirori Isaac ipoñaajaro nijaatinkaki ipaitai-tziro “Añaani-tatsiri Ñaakinari”, inampiitiki irirori ipaitai-tziri Piryaariniki. 
GEN.24.63	Iyaatzii irirori yaniiwaitzi tsitinii-tiini. Ari yaminaki antó, iñaatziiri ipokayitaji ipira-payi ikyaakoi-tari. 
GEN.24.64	Ari okimatzi-takari Rebeca aajatzi, aminaki antó oñaakiri Isaac, ayiitanaki. 
GEN.24.65	Osampitana-kiri ompira-taari, okantziri: “¿Itzimika yonta pokaintsiri?” Ikantanaki ompira-taari: “Iriitaki ompiratanari.” Ari aanakiro omanthaki, opasika-poro-pitha-tanakari. 
GEN.24.66	Tima ariitaja ompira-taari, ikamantapa-jiri Isaac okaratzi yantakiri tsika ijataitzi. 
GEN.24.67	Ari yaanakiro Isaac iroka Rebeca owankothaantiki irinironi, iinantakaro. Antaroiti yitakotakaro. Irootaki oimosirinka-pajiriri okamajira iriniro.
GEN.25.7	Tima okaratzi 175 osarintsi yañaaki Abraham. 
GEN.25.8	Kamiitha ikamaji Abraham aakiri yantyasiparinka. 
GEN.25.11	Okanta ikamajira Abraham, itasonka-wintakiri Pawa Isaac. Inampitaaro Isaac ikaapiin-taitzi nijaa ipaitai-tziri “Añaani-tatsiri Ñaakinari.”
GEN.25.21	Tima ti onkanti owaiyanti Rebeca, irootaki yamana-kotantaka-rori Isaac ikowako-tziri Pawa. Ikimakiniri yamanani Pawa, motyaataki Rebeca. 
GEN.25.22	Okanta okimakiri Rebeca yaatzika-wakaa iintsiti omotyaaki, okanta-siritzi: “Tima oshiki nokimaatsitakari iroñaaka, aririka onkantyaari apaata, ¿ipaitama nañaantyaari?” Jatanaki amaniri Pawa onintzi oyoti ipaita antiri. 
GEN.25.23	Ikantziro Pawa:
GEN.25.23	Pimotyaatatziiri apiti shininka-tawakaacha-niri,
GEN.25.23	Apiti oshiki-tatsi-niri maimani-tawakaacha-niri.
GEN.25.23	Sintsi inkantyaa aparoni, iriima pasini airomachiini,
GEN.25.23	Iriitaki ompiratan-tachaniri iyaapitsi, impiratyaari itarori itzimi. 
GEN.25.24	Okanta omonkarataka ontzimanintan-tyaari Rebeca, owaiyan-takiri otsipaa-niriiti. 
GEN.25.25	Itapaaka-rori itzimi kitisirinkari maaroni iwathaki, ithonka iwitzitaki. Irootaki ipaitan-takariri “Witzintzi”. Tima iroka wairontsi Witzintzi, irootaki ikantai-tziri iñaaniki pairani irirori “Esaú”. 
GEN.25.26	Ikanta itzimapaaki yoijatakirira pasini, airika iwakiri iitziki itapaaka-rori itzimi. Irootaki ipaitan-takariri “Airika-kiitzitantaniri”. Tima iroka wairontsi Airika-kiitzitantaniri, irootaki ikantai-tziri iñaaniki pairani irirori “Jacob”. Tima tzimaki 60 isarintsiti Isaac owaiyan-tanta-kari Rebeca.
GEN.25.27	Ikanta apaata antarijiitaki iintsi-payi. Antawairintzi inanaki Esaú, kominthaantzi inaki aajatzi. Iriima Jacob apatziro onimowai-tziri irirori, yasi iwiro isaiki iwankothaantiki iriri.
GEN.25.28	Oshiki yitakotakari Isaac yoka itomi, Esaú, tima oshiki iwakota-tapiinta-kari iyominthani. Irooma Rebeca otakopiro-tani owiri iroori Jacob.
GEN.25.29	Okanta apaata, isaiki Jacob ikotsiwaitzi, ari yariitaari Esaú ipoñaajaro yantawairiki, makotaki. 
GEN.25.30	Ikantapaa-kiri: “¡Iyí! Pimpina kapichiini kityonka-pathari pikotsiri, aatyiina notashi.” (Irootaki owaitakaan-tziriri “Kitisiri” yoka Esaú) 
GEN.25.31	Ari ikantzi Jacob: “Pitawakyaaro awiroka pinkimi-takaan-tina naakami ityaaro-niri nontzimi.” 
GEN.25.32	Ari ikantzi Esaú: “¡Aatyiina notashiwí! Ti nomiraawintiro naaka nitawitakaro notzimaki.” 
GEN.25.33	Aikiro isintsi-tanakitzii Jacob, ikantziri: “Intsityaa pinkanta-pirotina iyí.” Ari inintanaki Esaú inkimi-takai-yaari Jacob iriitakimi ityaaro-niri intzimi, iriitaki ayiro-niri apaata maaroni tzimimo-tziriri iriri. 
GEN.25.34	Irootaki ipantaka-riri Jacob iwariti iririntzi, Esaú, ipitakari aajatzi yatantariri. Ikanta ithonkakiro iwaka Esaú, iranaki imiri. Katziyanaka, jatanaji. Ti imiraawin-tiro okaratzi ijiwawitakara itzimaki. 
GEN.26.2	Ari iñaakaari Pawa Isaac, ikantakiri: “¡Isaac! Airo pikinanaji Apitantoniki. Pinampi-tajyaaro tsika nookotimiro. 
GEN.26.3	Pisaiki aka pinkimi-tyaari kinakina-waitaniri. Tima aritaki ankarati asaiki, ari nontasonka-wintakimi. Aritaki nompakimiro maaroni iroka kipatsi, irootaki yasitajyaari apaata inkarati pincharini-tajyaari. Ari nomonkara-tajirori aka okaratzi nokasiyakaa-kiriri pairani piri Abraham. 
GEN.26.4	Aritaki noshikyaa-kimiri inkarati pincharini-tajyaari, inkimitajyaari ishikitzi impokiro inkitiki. Iriitaki nasitakaa-jyaari maaroni iroka kipatsi. Iriitaki kantakaa-jyaaroni picharini-payi intasonka-wintantai-tyaariri maaroni nasiyitacha-niri ishininka-tawakaiyaa kipatsiki. 
GEN.26.5	Tima imonkara-takiro pairani piri Abraham okaratzi nokantziriri. Ikimisan-takina nompiratariri, imatakiro nokantakaan-tani, nowinkakaan-tani, aajatzi okaratzi noyomitaayi-tziriri.”
GEN.27.1	Aritaki antyasiparitaki Isaac, ti yokichaa-tapaji. Ikaimakiri yantariti itomi, ikantakiri: “¡Notomí!” Ikantzi Esaú: “¿Ipaita Apaá? Aka nosaiki.”
GEN.27.2	Ikantzi Isaac: “¡Notomí! Aritaki antyasipari-takina, aamaasityaa irootaintsi nonkami. 
GEN.27.3	Nonintzi piyati pinkin-taitina posinirintzi. 
GEN.27.4	Pinkotsi-takinari, posini inkantyaa nonintziri, pamakinari nowawakyaata. Ari noyomitaa-najimi tikira nokamana-kiita, onkini intasonka-wintaitimi.”
GEN.27.5	Kimaki iroori Rebeca ikantziriri itomi, Isaac. Ijaminthaitzi Esaú yaminaminatzi posinirintzi impiriri asitariri, 
GEN.27.6	okantakiri Rebeca pasini otomi, okantziri: “¡Notomí! Nokimakiri piri ikinkitha-waitakairi pirintzi Esaú, ikantziri: 
GEN.27.7	‘Pinkin-taitina posinirintzi pinkotsi-tinari, kamiitha imposiniti inkini noyaari, ari noyomitaa-najimi tikira nokamana-kiita onkini intasonka-wintimi Pawa.’ 
GEN.27.8	¡Notomí! Pikimiisa-tina okaratzi nonkantimiri.
GEN.27.9	Pijati pairikaiti apiti awankiri apira, pamakinari, nonkotsi-tiniri piri tsika ikanta iñaamatari irirori. 
GEN.27.10	Awiroka aanakini-rini iwawakyaa. Ari iyomitai-miri tikira ikamanakiita intasonka-wintaiti-miita awiroka.” 
GEN.27.11	Ikantana-kiro Jacob iriniro: “Tima witzintzi inatzii iyi, irooma naaka ti nowitziti. 
GEN.27.12	Aritaki iyotawakina apaa aririka impampi-tawakina, ari inkinkithasiri-takyaa nothainka-tziiri, ampinaa-sityaa iyomita-wityaana intasonka-wintaitina, añaatyii oshiki imishatina.” 
GEN.27.13	Okantana-kiri iriniro: “¡Notomí! Naaka imishati piri. Pantiro awiroka nokantaki-miri, pamakinari apiti apira.” 
GEN.27.14	Jatanaki Jacob ipiyotaka ipira-payi, yamakiniro iriniro. Onkotsi-tawakiri iroori tsika ikanta oyotziro iroori iñaamatari Isaac. 
GEN.27.15	Aakiro iroopirori iithaari antariti otomi iwiro pankotsiki, okithaa-takiri Jacob. 
GEN.27.16	Okyaan-takaa-kari imisina opira irakoki, aajatzi ikintsiki tsika ti iwitziti. 
GEN.27.17	Oyiitakiri onkotsi-takiri, opakiri otomi Jacob otsipataa-kiro yatantyaariri. 
GEN.27.18	Ari yaakotana-kiro Jacob isaikaki iriri, ikantapaa-kiri: “¡Apaá!” Ikantzi Isaac: “¿Tsika pipaitaka awiroka notomi?” 
GEN.27.19	Ikantzi Jacob: “Naakataki Esaú pantariti pitomi. Nomatakiro okaratzi pikantaki-nari. Pimpiriinti, piyaa noyintani, piyomitanaina intasonka-wintantai-tyaanari.”
GEN.27.20	Ikantzi Isaac: “¿Okatzimaitaka pikin-tapaintzi posinirintzi?” Ikantzi Jacob: “Tima ikantakaa-karo Pawa pipinkatha-tapiintziri, irootaki noñaan-tapaintari sintsiini.” 
GEN.27.21	Ari ikantzi Isaac: “Pimpoki okaakiini nompampi-tawakimi, noyotan-tyaamiri awiroka-rika Esaú.” 
GEN.27.22	Pokapaaki okaakiini Jacob impampi-tawakiri. Ikantzi Isaac: “Iriiwaanti-waitaki iñaawaitzi Jacob, irooma irakosampiki Esaú inatzii.” 
GEN.27.23	Ti iyotawakiri, tima iwitzi-pakotatzii iriiwaitaki Esaú. Irootaki iyomitantanaka-riri onkini intasonka-wintaitiri. 
GEN.27.24	Yapiitana-kiri isampitziri, ikantziri: “¿Omapirotatyaa awiroka Esaú?” Ari ikantzi Jacob: “Jii, naakataki.” 
GEN.27.25	Ikantanaki iriri: “¡Notomí! Piyii-tinari piyominthani nowawakyaata, ari noyomitanai-miri onkini intasonka-wintaitimi.” Iyii-takiro Jacob owaritintsi ipakiri iriri. Yamakiniri aajatzi irawakiri. Iwawakaro Isaac, iraki imiri aajatzi. 
GEN.27.26	Ikantzi Isaac: “Pimpoki okaakiini notomi, pintsitokyaana.” 
GEN.27.27	Ikanta itsitoka-paakari Jacob iriri, yasankawakiri iithaariki. Iyomitaa-kiri intasonka-wintaitan-tyaariri, ikantziri:
GEN.27.27	Irootaki isankaani notomi.
GEN.27.27	Okimiwai-takaro osankaani owaantsi itasonka-wintziri Pawa.
GEN.27.28	Inkamintha Pawa owaryaa-piintaji-miro-niri inkani,
GEN.27.28	Irootaki onkithoki-piro-tantajyaari pichochoki-tipayi.
GEN.27.28	Aajatzi onkantajyaa piwanki-ripayi, aajatzi okaratzi pimiritari. 
GEN.27.29	Inkamintha intzimaji pimpira-waitani,
GEN.27.29	Irootaki impinkatha-tantyaamiri poñaayi-tachari pasiniki nampitsi.
GEN.27.29	Pijiwayi-tairi pirintzi-pirotari awiroka,
GEN.27.29	Oshiki impinkathai-taimi irirori.
GEN.27.29	Intzimi-rika mishataji-mini awiroka, aritaki imaitajiri irirori.
GEN.27.29	Iriima inkarati kimosiriwinta-jiitii-mini awiroka, aritaki inkimii-tairi irirori.
GEN.27.30	Ikaratakiro Isaac iyomitaa-kiri itomi Jacob onkini intasonka-wintaitiri. Iro isitowana-kitzii Jacob isaikira iriri, ariitapaaka Esaú ijatzi yamini posinirintzi. 
GEN.27.31	Ikotsitaki aajatzi irirori owaritintsi, yamakiniri iriri, ikantapaa-kiri: “¡Pimpiriinti, Apaá! Piyaa iyintani pitomi, piyomitairi intasonka-wintaitan-tyaariri.” 
GEN.27.32	Ari ikantanaki Isaac: “¿Tsikama pipaitaka awiroka?” Ikantzi: “Naakataki Esaú, pantariti pitomi.” 
GEN.27.33	Antaro oimiraana-kiri Isaac, ikantanaki: “¿Tsikama ipaitaka itakarori ipokaki amakinariri iyintani, nowakari tikira pariityaata awiroka? Noyomitaa-kiri, tasonka-wintaari inanaki irirori.” 
GEN.27.34	Ikanta ikimawakiro Esaú ikantakiri iriri, okatsi-tzimo-niintana-kiri, antaroiti iraawai-tanaka, ikantanaki: “¡Apaá! Piyomitanaina aajatzi naaka, intasonka-wintaiti-naata.” 
GEN.27.35	Ikantanaki Isaac: “Yamatawi-takina pirintzi, noyomitaa-kiri irirori, tima awiroka-witaka intasonka-wintaitimi.” 
GEN.27.36	Yakanaki Esaú, ikantzi: “Irootaki owaitakaan-tziriri Airika-kiitzitantaniri, tima apiti yaapithatakina. Itakaro yayitaki-naro nitantaka-rori notzimi, iroñaaka yayitaki-naro piyomitanai-narimi intasonka-wintaitan-tyaanari. ¿Airoma okantzi piyomitaina naaka?” 
GEN.27.37	Ikantzi Isaac: “Aritaki nomatakiri pirintzi Jacob ijiwataimi, iriitaki ompiratajyaa-ri-niri pincharini-tajyaari awiroka, noshikyaa-jiniri iwankiri, aajatzi imiri-payi. ¿Tikatsi nonkantajimi awiroka notomi?” 
GEN.27.38	Aikiro ikantana-kitzii Esaú: “¡Apaá! ¿Aparonima okaratzi piyomitaanti? Papiitiro, intasonka-wintaiti-naata naaka.” Yapiitana-kiro iiraawaita.
GEN.27.39	Ikantzi Isaac:
GEN.27.39	Pinampi-tajyaaro intaina,
GEN.27.39	Airo pinampi-taaro otsinka-patha-tapajira kipatsi,
GEN.27.39	aajatzi airo pinampi-taaro tsika ti omparyaapaji inkani.
GEN.27.40	Piwisa-minto pimpiya-wintantajyaari.
GEN.27.40	Impira-waitajyaami pirintzi.
GEN.27.40	Irooma aririka piriipirotaji awiroka apaata,
GEN.27.40	Aritaki pisaikasiwai-tajyaa.
GEN.27.41	Ari yitanakaro Esaú ikisaniin-tziri iririntzi, okantakaan-tziro ikaminaa-kiri iriri intasonka-wintaitiri irirori. Ikanta-siri-tanaki: “Aririka inkamaki apaata apaa, aritaki nowajiri iyi.” 
