MAT.1.1	Kitsy re xseety pxusykoltoo Jesucrist. Lo xtiiy David ni lo xtiiy Abraham sëëd Jesús.
MAT.24.38	Xtiemp Noé worñee karty kislo kyo, lyaadzy wagwsye, ni lyaadzy nii kisy meñ, ni kyalwtsiilñasy kuni kik meñ, axte tse nii lëë Noé byo leñ barkw. 
MAT.24.39	Per mer worñee bii pe sinidy kik meñ, lëë kyo bislo aan lëë meñ kwloow. Singo kak tsiñee lëë Crist kiid stub. 
MAT.24.40	Tse nii lëë Crist kiid, deelñee kë chop xaa tsiiñ lo kwaa, lëë xaa koy tu xaa aan lëë xaa ksaan stu xaa. 
MAT.24.41	Singo gak deelñee kë chop kwnaa wëët, lëë xaa koy tu me aan lëë xaa ksaan stu me.
MAT.24.42	’Ligier kol kak, por nandy to pa wor kiid Crist stub. 
MAT.24.43	Nako sinak xpixwan tu yu, deelñee kaknan xaa nii lëë ngbaan sëëb lidzy xaa, kaakesty xaa parñee klaady xaa sëëb ngbaan lidzy xaa. 
MAT.24.44	Ligier kol kak, por lëë Crist kiid mer worñee pe sinidy kik to.
MAT.24.45	’¿Cho xsaan patrón lidzy dyon tsiñee lëë xaa xchoo? ¿Pe lëdy nayak xsaan xaa tu mos nii xsoob tiits, parñee kyaan mos ko kchë meñ nii xkyë tsiiñ lo xaa? 
MAT.24.46	Dichos mos nii xyaani lidzy xpatrón deelñee tsiñee kpikche patrón kan xaa nii lëë mos ko beeñtsyey kchë nii kwnabey xaa. 
MAT.24.47	Xsobaa nii lëë patrón këb lo xaa: “Kop cuidad kchësy nii chaapaa.” 
MAT.24.48	Per deelñee mal mos ko ni nan xaa nii xtse si xpatrón xaa, 
MAT.24.49	lëë xaa xsaksi kchë meñ nii xkyë tsiiñ lo xpatrón xaa ni lëë xaa xsyudzy ksa xaa ngonip, ni chawni xaa ngonip. 
MAT.24.50	Per mer tse nii pe sidy kik xaa, lëë xpatrón xaa ktsiñ. 
MAT.24.51	Aan lëë patrón ksaksi mos ko sinak nii xsaksi xaa mos nii xsoobty tiits. Tsigo lëë mos ko koon ni lëë mos ko kawlay.
MAT.25.1	Lëë gak Jesús chëb:
MAT.25.1	—Nak laañee xñabey Dios sinak nii ptsyool tsii kwnaa yeeñ nii kwëmbës ktsiñ tu xaa nii ktsiilña, parñee tsiktsiil nëz me xaa con bini nii xkyë con aceit. 
MAT.25.2	Per kaayak me nyaani, lëë skaay me koñee pe sinidy kik. 
MAT.25.3	Lëë ksa kaay kwnaa yeeñ nii koñee pe sinidy kik kwseñ xbini, aan biydy me naal aceit. 
MAT.25.4	Per lëë kwnaa yeeñ nii nyaani biy me xbini me ni biy me naal aceit. 
MAT.25.5	Aan como xtsiñdy kaa xaa nii ktsiilña, lëë me kuutkesy ksa me. 
MAT.25.6	Per mer wrol kyool, lëë meñ bislo chuptsyë, xñee: “¡Lëë xaa nii ktsiilña sëëd. Kol tsiktsiil nëz xaa!” 
MAT.25.7	Lëë ksa kwnaa yeeñ go kuxche, aan lëë me bislo xkëë ki me xbini me. 
MAT.25.8	Tsigo lëë ksa kaay kwnaa yeeñ nii koñee pe sinidy kik chëb lo ksa kwnaa yeeñ nii nyaani: “Kol jkady xisy xaceit to loo noo, porque lëë xbinii noo no kyuuy.” 
MAT.25.9	Per lëë kwnaa yeeñ go chëb: “Jkaajty noow, por jkaadyo jkiiñ noo. Masy kol tsisiw laañee xto meño.” 
MAT.25.10	Per mentre lëë kwnaa yeeñ nii noydy naal aceit sisiw, lëë xaa nii ktsiilña ptsiñ. Aan lëë ksa kwnaa yeeñ nii noy naal aceit kwsëëb leñ yu ksa xaa nii ktsiilña, aan lëë chu yu byoogw. 
MAT.25.11	Tsigore lëë ksa kwnaa yeeñ nii kukyub aceit ptsiñ aan lëë me chëb: “¡Xey, pxaly chu yu syëëb noo!” 
MAT.25.12	Per lëë xaa nii ktsiilña chëb: “Nandyaa cho do, xyuumbeydyaa lëë do.”
MAT.25.13	Loxsye bitiits Jesús ngo, lëë xaa chëb:
MAT.25.13	—Ligier kol kwe, por nandy to pa tse o pa woor gaa kiid Crist.
MAT.25.14	’Nak laañee xñabey Dios sinak tu xaa nii no nëz tsi stu tañ. Lëë xaa kwtsyetsy xmos xaa aan lëë xaa chëb: “Kol kap cuidad tumi nii ksanaa lo do.”
MAT.25.15	’Tu lo xaa pteedy xaa kaay bols or, lëë stu lo xaa pteedy xaa chopo, lëë stu lo xaa pteedy xaa tuwo. Loxsye pteedy xaa tumi nii byeñ xaa nii schilo kuuñ tsiiñ catu xmos xaa, lëë xaa si viaj. 
MAT.25.16	Lëë mos nii byaani kaay bols or kwë dilgensy aan lëë xaa ptsiñaa skaay bolso. 
MAT.25.17	Singo gak beeñtsyey mos nii kwaa chop bols or, aan lëë xaa ptsiñaa schop bolso. 
MAT.25.18	Per lëë mos nii byaani tu bols or kwteeñ tu kyeech, aan lëëw kwlolyu xaa.
MAT.25.19	’Xtse kwey xpatrón mos ko aan tsi lëë xaa bikche, lëë xaa kwlii xcuent xmos xaa. 
MAT.25.20	Klo mos nii byaani kaay bols or ptsiñ, aan lëë xaa chëb lo xpatrón xaa: “Xey, kaay bols or psaanoo lon. Per lëën ptsiñaa skaay bolso.” 
MAT.25.21	Tsigo lëë xpatrón xaa chëb: “Nyoo nii beeñ tsiiñoo tumi wiñ nii psanaa lool, ni chanaa nii bueenoo. Lëën knetsy tumi roob kuuñ tsiiñoo. Kwyo leñ yu, por xlen lool.” 
MAT.25.22	Loxsye ngo lëë mos nii byaani chop bols or ptsiñ aan lëë xaa chëb lo xpatrón xaa: “Xey, chop bols or bneetsyoo lon, per lëën ptsiñaa schop bolso.” 
MAT.25.23	Tsigo lëë xpatrón xaa chëb: “Nyoo nii beeñ tsiiñoo tumi wiñ nii psanaa lool, ni chanaa nii bueenoo. Lëën knetsy tumi roob kuuñ tsiiñoo. Kwyo leñ yu por xlen lool.” 
MAT.25.24	Per tsiñee lëë mos nii byaani tu bols or ptsiñ, lëë xaa chëb lo xpatrón xaa: “Xey, nanaa nii tir ntseeboo, ni nanaa nii xkyëël kwlaap laañee kondyoo. 
MAT.25.25	Por ngo ptsyeebaa, aan lëën kwya lo lyu xtumil. Per lëëw syelynin.” 
MAT.25.26	Tsigo lëë xpatrón xaa chëb: “Floojoo ni maaloo, por deelñee nanoo nii ntseebaa ni nanoo nii xkyën kwlaap laañee kondyaa, 
MAT.25.27	¿penak nii kwlootiñdyoo tumi nii psanaa lool parñee nyixiw xiño?” 
MAT.25.28	Tsigo lëë patrón chëb lo xaa nii nche siko: “Kol kla or nii noy xaa, aan kol kteedyo lo xaa nii noy tsii bols or. 
MAT.25.29	Porque lëë xaa nii chuuñ tsiiñ nii ptedyaa jkaarew, per lëë xaa nii chuuñ tsiiñdyo, axte nii wiñ ptedyaa lo xaa go klan. 
MAT.25.30	Kol tsikchon mos nii pa xkiiñdyke lo nguey. Siko koon xaa ni kaw lay xaa.”
MAT.25.31	’Tsiñee lëë Crist kiid kchë xangly, lëë xaa sob par kuñ xaa kyalxtisy. 
MAT.25.32	Aan lëë kchë meñ nii nche lo kislyu kpig lo xaa, aan lëë xaa kwiixso meñ sinak nii kwiixso meñ mëkwxiily lady chiv. 
MAT.25.33	Kwi xaa nëzli kwe meñ buen, lëë meñ mal kwe nëzpeg. 
MAT.25.34	Tsigo lëë xaa këb lo meñ nii nche nëzli: “Kol të tsiin sëëb to laañee xñabey Dios, por destye worñee kwche kislyu psaa xaaw par lëë do. 
MAT.25.35	Por kwyo tse nii kwlaañaa, aan bneetsy to nii tawaa, ni kwyo tse nii kwlaan nis, aan bneetsy to nii kowaa, ni kwëkyubaa posad, aan lëë do bneetsy laa kwlësaa. 
MAT.25.36	Kwyo tse nii bneetsy to ladx kookwaa porñee kindy xabaa, ni kon do naa worñee kwxaaknën, ni biid tedy to lon worñee kwyon skiib.” 
MAT.25.37	Tsigo lëë meñ buen këb: “¿Pa wor ptyon noo nii xlyaañoo, aan bneetsy noo nii taawoo? ¿Ni pa wor ptyon noo nii xlyaal nis, aan bneetsy noo nii kowoo? 
MAT.25.38	¿O pa woor gaa ptyon noo nii këkyuboo posad aan bneetsy noo laañee kwlësoo, ni pa woor gaa ptyon noo nii kindy xaboo aan bneetsy noow? 
MAT.25.39	¿Ni pa wor kwxaaknël aan ptyon noo lii, o pa woor gaa kwyol skiib aan byoteedy noo lool?” 
MAT.25.40	Tsigo lëë Crist këb: “Nli xñen nii kchësy kyalbuen nii beeñtsyey do lo chol meñ, lon beeñtsyey dow.”
MAT.25.41	’Loxsye ngo lëë xaa këb lo meñ nii nche nëzpeg: “Kol kpichee nu, kol kyey lo ki nii chek linfiern, por siko kyey xaatox ni siko kyey kyalbini mal. 
MAT.25.42	Kwyo tse nii kwlaañaa, aan bneesty to nii nyawaa, ni kwlaan nis, aan bneesty to nii nyin. 
MAT.25.43	Ni kwëkyubaa posad aan bneesty to laañee ngwësaa, ni kon do nii kindy xabaa aan bneesty tow. Kwxaaknën ni kwyon skiib aan biid teejty to lon.” 
MAT.25.44	Tsigo lëë meñ mal go këb: “¿Pa wor kwlaañoo, ni pa wor kwlaal nis, ni pa wor kwëkyuboo posad, ni pa wor ptyon noo nii kindy xaboo, ni pa wor kwxaaknël, ni pa wor kwyol skiib, aan beeñdy noo lii yudar?” 
MAT.25.45	Tsigo lëë Crist këb: “Nli xñen nii tsiñee beeñdy to tu meñ mban yudar, naa ngo beeñdy to yudar.” 
MAT.25.46	Kchësy meñ mal kyey lo ki nii chek linfiern, aan lëë meñ buen jkaa kyalmbañ nii xnitylody.
MAT.26.1	Loxsye ngo lëë Jesús chëb lo xpëëdscuel:
MAT.26.2	—Nan do gon nii schopak kpidz chak falt parñee kak paskw, aan lëë meñ jkëë mguiy nii pxaal Dios lo crusy.
MAT.26.3	Leñ tse go gak lëë xaa nii xñabey lo pxosy ni lëë xaa kol nii xñabey lo meñ Israel ptyop chilidzy Caifás. Lëë Caifás nak xaa nii mastre non lo pxosy. 
MAT.26.4	Lëë xaa bitiits dyon xa kñaasy xaa Jesús tsiin kuty xaa xaa. 
MAT.26.5	Per lëë gak xaa chëb:
MAT.26.5	—Kñaasty no xaa na lni parñee kak nxoldy meñ.
MAT.26.6	Lëë Jesús so Betania, aan lëë xaa kwey lidzy Simoñ nii byodz lady. 
MAT.26.7	Lëë Jesús sobyaw tsiñee lëë tu kwnaa ptsiñ noy tu bot aceit nyazh nii xlyaa nex, aan lëë me pchoob aceit xlyaa nex ko lo kik Jesús. 
MAT.26.8	Per lëë xpëëdscuel Jesús blëë, aan lëë xaa chëb:
MAT.26.8	—¿Penak nii lika kwxiñ aceit ke? 
MAT.26.9	Nchilo ndyow par kak meñ prob yudar.
MAT.26.10	Lëë Jesús biñ nii nchenee xaa, aan lëë Jesús chëb:
MAT.26.10	—Klëëdy to lo kwnaa re, por tu buen beeñ me. 
MAT.26.11	Ni tugak kaa kan do meñ prob, per naa lëdy tugak kan do naa. 
MAT.26.12	Lëë kwnaa re kwtëëb aceit nii xlyaa nex ladyaa parñee tsel xixkwaa xcuerpaa tse nii lëën jkyeetsy. 
MAT.26.13	Nli xñen nii kchë laañee kluuy meñ xtiits Dios, lëë meñ kseety nii beeñtsyey kwnaa re, aan singo mod lëë meñ ksaladzy me.
MAT.26.14	Lëë tu xpëëdscuel Jesús nii pcholë Judas Iscariote kukëb lo xaa nii xñabey lo pxosy:
MAT.26.15	—¿Pa lal kizh to naa deelñee jkon Jesús ña do?
MAT.26.15	Lëë xaa xñabey go ptee kalyptsii pes plat. 
MAT.26.16	Aan destye wor go lëë Judas kwëkyub dyon xa jko xaa Jesús ña xaa xñabey.
MAT.26.17	Tse nii chislo lni nii xtyaaw kyaxtily nii xkyëdy levadur, lëë xpëëdscuel Jesús big aan lëë xaa chëb lo Jesús:
MAT.26.17	—¿Pa kyokuuñloo noo nii tyaaw xtsee no na paskw?
MAT.26.18	Lëë Jesús chëb:
MAT.26.18	—Kol tsi lidzy tu xaa nii kxalaa lëë do aan kol këb: “Lëë maestre në nii lëë xwor xaa kutsiñ, aan lëë xaa kiid ksa xpëëdscuel xaa parñee tedy xaa paskw liidzyoo.”
MAT.26.19	Lëë xpëëdscuel Jesús kwey, aan lëë xaa beeñlo nii ktyaaw paskw.
MAT.26.20	Tsiñee lëë lyu pkyey, lëë Jesús kwsob lo mezh ksa xpëëdscuel. 
MAT.26.21	Aan mentre ncheyaw xaa, lëë Jesús chëb:
MAT.26.21	—Nli xñen nii misme tu do kakniladzy naa.
MAT.26.22	Kchësy xpëëdscuel xaa pteenë, aan lëë xaa bislo tuga xaa xñabtiits, xñee xaa:
MAT.26.22	—¿Pe lëdy naaw?
MAT.26.23	Tsigo lëë Jesús chëb:
MAT.26.23	—Xaa nii noyaw leñ tu kyonaa, xaa go kakniladzy naa. 
MAT.26.24	Lëë mguiy nii pxaal Dios te kchë kyalnë nii kë leñ kitsy nii kë xtiits Dios. Per ¡brobsye xaa nii kakniladzy xaa! Masy buen nyi xaa go nyaldy xaa.
MAT.26.25	Tsigo lëë Judas, xaa nii kukëb lo xaa xñabey xa jkaa Jesús chëb:
MAT.26.25	—Maestre, ¿pe lëdy naaw?
MAT.26.25	—Misme chuwoo pchoow —chëb Jesús.
MAT.26.26	Lëë Jesús kwxeñ tu kyaxtily, aan loxsye pteedy xaa skizh lo Dios, lëëw kwtiisy xaa lo xpëëdscuel xaa, chëb xaa:
MAT.26.26	—Kol kaawoo, xcuerpno.
MAT.26.27	Ni lëë xaa kwseñ tu vas nii no viñ, aan loxsye pteedy xaa skizh lo Dios, lëëw pteeso xaa lo xpëëdscuel xaa, chëb xaa:
MAT.26.27	—Kchësy to, kol ki viñ re, 
MAT.26.28	por tu cheñno. Lëëw kxee parñee ktsily Dios xtol meñ. 
MAT.26.29	Ni kidre gaan viñ, sink lëën kwës axte nii klyañ do laañee xñabey Tat Tios tsiin tyow no viñ kub nii no siko.
MAT.26.30	Loxsye biily Jesús ksa xpëëdscuel, lëë xaa si kiy nii lë Olivos. 
MAT.26.31	Siko lëë Jesús chëb:
MAT.26.31	—Kchësy to ksaan naa na kyool. Por leñ kitsy nii kë xtiits Dios xñee nii lëë xaa kuty xaa nii xkyë lo mëkwxiily aan lëë mëkwxiily kchoots klyaal. 
MAT.26.32	Per tsiñee lëën kpañ, kloon ka Galilea lo do.
MAT.26.33	Tsigo lëë Pedre chëb:
MAT.26.33	—Nikxe kchësy xcombañeraa ksaan lii, per naa ksandyaa lii.
MAT.26.34	Lëë Jesús chëb:
MAT.26.34	—Na kyool kazh tson vuelt këëboo nii xyuumbeydyoo naa antes nii jkwetsy nguidy kol.
MAT.26.35	Lëë Pedre chëb:
MAT.26.35	—Nikxe kety no tusyke, këbtyaa nii xyuumbeydyaa lii.
MAT.26.35	Aan kchësy xpëëdscuel xaa chëb singo.
MAT.26.36	Tsiñee lëë Jesús ptsiñ tu laañee lë Getsemaní, lëë xaa chëb lo xpëëdscuel xaa:
MAT.26.36	—Kol sob nu, mentre lëën kakutiitsni Dios.
MAT.26.37	Lëë xaa sini Pedre ni chop xiñ Zebedeo, aan lëë xaa pteenë, 
MAT.26.38	ni lëë xaa chëb:
MAT.26.38	—Mban xtee styoon. Kol kwës nu dyon, aan kol kwena.
MAT.26.39	Lëë Jesús si par kaan, aan loxsye psoxib xaa ni pkiitsy kë xaa lyu lëë xaa chëb:
MAT.26.39	—Tat Tios, pteelaa naa lo kyalnë re, per kuuñtsyeydyoo nii chakladzyaa, sink beeñtsyey nii chakladzyoo.
MAT.26.40	Tsi lëë xaa ptsiñ laañee psaan xaa ksa tson xpëëdscuel xaa nii kuni xaa, lëë xaa nche nixyesy. Por ngo lëë xaa chëb lo Pedre:
MAT.26.40	—¿Pe ni tu wor nawen pchilody ngwena do? 
MAT.26.41	Kol kwena ni kol kutiitsni Dios parñee jkaaldy xaatox to, por ndaan no styoo do, per lëë lady to mban now.
MAT.26.42	Lëë xaa kwey stub, aan lëë xaa chëb:
MAT.26.42	—Tat Tios, deelñee no nii teedyaa lo kyalnë re, beeñtsyey nii klyañ styool.
MAT.26.43	Tsiñee lëë xaa bikche, lëë xpëëdscuel xaa nche nixyesyak, porñee xekwtre xaa mgaal aan lika xtiib lo xaa. 
MAT.26.44	Lëë xaa si stub. Lëë gaaw byon vuelt, aan misme tiits nii chëbak xaa klo chëb xaa lo Dios. 
MAT.26.45	Tsi lëë xaa bikche, lëë xaa chëb lo xpëëdscuel xaa:
MAT.26.45	—¿Pe bii nche nixyesy to nawen ni nche kxiladzy to? Lëëw na, lëë wor kutsiñ nii lëë mguiy nii pxaal Dios jkaa ña meñ ngoptol. 
MAT.26.46	Kol tsische tsiin kyoo no, por lëë xaa nii jko naa ña xaa xñabey sëëd kexle.
MAT.26.47	Lëë Jesús bii nonee tsiñee lëë tu xpëëdscuel xaa nii pcholë Judas ptsiñ ksa tubtsoon meñ nii noy spad ni yag. Lëë xaa nii xñabey lo pxosy ni lëë xaa kol nii xñabey pxaal kchë meñ go. 
MAT.26.48	Lëë Judas chëb kazh lo meñ go:
MAT.26.48	—Xaa nii nagon kawaa tu pxit kwesy, xaa gow. Kol naasy xaa.
MAT.26.49	Lëë Judas pkëëptyux Jesús, ni lëë xaa ptee tu pxit kwesy Jesús. 
MAT.26.50	Loxsye ngo lëë Jesús chëb lo Judas:
MAT.26.50	—Deelñee pe cos tsiiñ sëëdoo, klyëëdyoo beeñtsyeyo.
MAT.26.50	Tsigo lëë meñ kwnaasy Jesús aan lëë meñ biy xaa.
MAT.26.51	Tsiñee kon tu xaa nii no xlad Jesús ngo, lëë xaa kwlii xispad xaa aan lëë xaa pchug tu tyag xmos xaa nii xñabey lo pxosy. 
MAT.26.52	Per lëë Jesús chëb:
MAT.26.52	—Psoob xispaadoo xlugaro. Porque kchësy meñ nii xtily con spad, kety con spad. 
MAT.26.53	¿Pe nandyoo nawen nii deelñee kakladzyaa schilo kñen lo Tat Tios parñee kxaal xaa tub yox xangly xaa kla naa? 
MAT.26.54	Per deelñee kñen lo Tat Tios parñee kteelaa xaa naa, ¿xa kak cumplir xtiits xaa tsigo?
MAT.26.55	Loxsye ngo lëë Jesús chëb lo meñ:
MAT.26.55	—¿Penak nii con spad ni con yag sëëdnaasy to naa nyak xaa ngbaan? Ksatyee tse kwson leñ lidzy Dios beeñ ksedyaa meñ aan penak nii kwnaasty to naa. 
MAT.26.56	Per lëë do chuuñtsyey nrii parñee kuñ do cumplir nii kwnee kchë profet nii biid penaadle.
MAT.26.56	Loxsye ngo so gak Jesús lëë xpëëdscuel xaa pxooñ.
MAT.26.57	Lëë meñ kuni Jesús lidzy pxosy nii mastre non nii lë Caifás. Siko nche mbës maestre ley ni kchë xaa kol nii xñabey. 
MAT.26.58	Lëë Pedre kunal sit sit, per lëë xaa ptsiñ axte lo xley Caifás aan lëë xaa kwsob lady xaa nii xkyënap lidzy Dios parñee kan xaa dyon pe cos kuñ meñ Jesús.
MAT.26.59	Lëë kchë xaa nii xñabey lo pxosy ni lëë xaa non kwëkyub dyon pe cos jkëëkiy xaa Jesús parñee kchilo kñab xaa kety Jesús. 
MAT.26.60	Ndaly meñ kwnee contre Jesús, per ptsyoldy xaa xñabey pe cos nguëëkiy xaa Jesús. 
MAT.26.61	Singo nche xaa tsi lëë schop xaa chëb:
MAT.26.61	—Ptsyon noo kwnee xaa gue nii lëë xaa knitylo lidzy Dios, aan tsonak kpidz me lëëw ksaa xaa stub.
MAT.26.62	Tsigo lëë xaa nii mastre non lo pxosy kuso, aan lëë xaa chëb lo Jesús:
MAT.26.62	—¿Penak nii xñeedyoo? ¿Pe nli kchë nii xkëëkiy meñ re lii?
MAT.26.63	Per koñee kwneedy Jesús. Por ngo lëë xaa nii mastre non lo pxosy chëb:
MAT.26.63	—Pkon Dios loo noo dyon, nii nli lii nak Crist nii no kxaal Dios.
MAT.26.64	Tsigo lëë Jesús chëb:
MAT.26.64	—Nliw, naa nak Crist, ni san gaa to naa tsi lëën soob kwi Dios nëzli, ni san do tsi lëën kchukë lo xkey parñee kyelyaa stub.
MAT.26.65	Tsiñee lëë xaa nii mastre non lo pxosy biñ ngo, lëë xaa pchos xab xaa, porñee singootyee blëë xaa, aan lëë xaa chëb:
MAT.26.65	—Tiits ntseeb kwnee xaa re lo Dios, ni ¿pa jkiiñre gaa no meñ nii jkëëkiy xaa? Misme lëë do biñ kchë tiits ntseeb nii kwnee xaa. 
MAT.26.66	¿Pe në do dyon xa kak xaa?
MAT.26.66	Tsigo lëë meñ chëb:
MAT.26.66	—No nii kety xaa, por no xtol xaa.
MAT.26.67	Wor go kazh lëë meñ pchoo mxeñ lo xaa ni lëë meñ ptee xcheñ xaa. Aan tsi lox ptee meñ xcheñ xaa, 
MAT.26.68	xñee meñ lo xaa:
MAT.26.68	—Deelñee nli lii nak Crist, ¡kwnë dyon cho kwtiñ lii!
MAT.26.69	Lëë Pedre sob lo ley, tsiñee lëë tu kwnaa nii xkyë tsiiñ siko chëb lo xaa:
MAT.26.69	—Wil lë no xlad Jesús Galilea.
MAT.26.70	Per lëë Pedre chëb:
MAT.26.70	—Nandyaa pe xñeel.
MAT.26.71	Loxsye ngo lëë Pedre kwey chu puert nii kë chu nëz, aan lëë stu kwnaa kon xaa aan lëë me chëb lo meñ:
MAT.26.71	—Wi meñ gue no xlad Jesús Nazaret.
MAT.26.72	Per lëë Pedre pkon Dios chëb:
MAT.26.72	—Xyuumbeydyaa xaa gue.
MAT.26.73	Kok xtsedyako, lëë xaa nii nche siko big lo Pedre aan lëë xaa chëb:
MAT.26.73	—Nli gaa na wil lë no xlad Jesús, por si xñeepee xaa xñeel.
MAT.26.74	Tsigo lëë Pedre pkon Dios stub chëb:
MAT.26.74	—Xyuumbeydyaa xaa gue.
MAT.26.74	Aan wor go kazh lëë tu nguidy kol pkwetsy. 
MAT.26.75	Lëë Pedre gaa psaladzy nii lëë Jesús chëb: “Tson vuelt këëboo nii xyuumbeydyoo naa antes nii jkwetsy nguidy kol.” Lëë Pedre pchoo siko aan lëë xaa biiñ.
MAT.27.1	Tsiñee lëë tañ byeñ, lëë kchësy xaa nii xñabey lo pxosy ni lëë xaa kol nii xñabey bitiits dyon xa kuty xaa Jesús. 
MAT.27.2	Loxsye ngo lëë xaa pxituu Jesús aan lëë xaa kuni xaa lo xtisy nii lë Pilat.
MAT.27.3	Tsiñee lëë Judas biñ nii lëë meñ kuty Jesús, lëë xaa pteenë, aan lëë xaa ptikche ksa kalyptsii pes plat nii kozh xaa lo xaa nii xñabey lo pxosy ni lo xaa kol nii xñabey, 
MAT.27.4	chëb xaa:
MAT.27.4	—Nody xtol xaa nii pkon ña do. Deelñee kety xaa xfaltno.
MAT.27.4	Per lëë xaa go chëb lo Judas:
MAT.27.4	—¿Pe xcueent noo ngo? ¡Lii kon!
MAT.27.5	Lëë Judas kuklaal tumi go leñ lidzy Dios. Loxsye ngo lëë xaa sey aan lëë xaa pxiiyañ.
MAT.27.6	Lëë xaa nii xñabey lo pxosy kuktop tumi go aan lëë xaa chëb:
MAT.27.6	—Chilody jkots no tumi re xtumi lidzy Dios, por con tumi re kozh xaa nii kwnaasy tu xaa nii kety.
MAT.27.7	Aan lëë xaa kwxii tublë lyu con tumi go parñee jkeetsy xaa meñ sit loo go. Xkwaa xaa nii xsaa kis lë kwaa go. 
MAT.27.8	Per destye tse go lëë kwaa go pcholë “Laañee pxee cheñ.” 
MAT.27.9	Singo mod lëë nii kwnee profet Jeremías kok cumplir tsiñee chëb xaa: “Kalyptsii pes plat kwaa xaa Israel, 
MAT.27.10	aan con tumi go kwxii xaa lyu nii lë xkwaa xaa nii xsaa kis. Lëë Dios kwnabey nii singo kuuñtsyey xaa.”
MAT.27.11	Tsi lëë Jesús ptsiñ lo xtisy lëë xtisy chëb lo xaa:
MAT.27.11	—¿Pe lii nak xrey meñ Israel?
MAT.27.11	—Misme chuwoo pchoo nii naaw —chëb Jesús.
MAT.27.12	Lëë xaa nii xñabey lo pxosy ni lëë xaa kol bislo pkëëkiy Jesús, per koñee kwneedy Jesús. 
MAT.27.13	Por ngo lëë Pilat chëb lo xaa:
MAT.27.13	—¿Penak nii xñeedyoo? ¿Pe chondyoo nayak blaktre nii xkëëkiy xaa gue lii?
MAT.27.14	Per ni tublan tiits kwneedy Jesús. Por ngo psee xtisy kon xtisy xaa.
MAT.27.15	Nak xcostumbre xtisy nii mer lo lni xlaa xaa tu xaa nii no skiib nii kñab meñ kyedzy. 
MAT.27.16	Aan lëëtyee leñ tse go lëë tu xaa ntseeb nii lë Barrabás no skiib. 
MAT.27.17	Tsi lëë meñ lox ptyop, lëë Pilat chëb:
MAT.27.17	—¿Pe chakladzy to nii klaan Barrabás, ote chakladzy to yak nii klaan Jesús nii xñee do Crist?
MAT.27.18	Singo chëb xaa porñee byeñ xaa nii por kyalmbidy kwnaasy meñ Jesús.
MAT.27.19	Lëë Pilat sob leñ yulyey tsi lëë tsiil xaa pxaal tu meñ nii kukëb lo xaa: “Byeñ gon pe cos kuñoo, por nody xtol meñ gue, ni tir nguidy kwnee xkaalaa tsi kyool por meñ gue.”
MAT.27.20	Per lëë xaa nii xñabey lo pxosy ni lëë xaa kol nii xñabey pkiily meñ parñee kñab meñ laa Barrabás ni kñab meñ kety Jesús. 
MAT.27.21	Lëë xtisy chëb stub:
MAT.27.21	—Kol në dyon cho xaa re klaan.
MAT.27.21	Kchësy meñ chëb:
MAT.27.21	—Blaa Barrabás.
MAT.27.22	Tsigo lëë Pilat chëb lo meñ:
MAT.27.22	—¿Xa kuñaa xaa nii xñee do Crist tsigo?
MAT.27.22	Kchësy meñ chëb:
MAT.27.22	—¡Pkëë xaa lo crusy!
MAT.27.23	Lëë Pilat chëb:
MAT.27.23	—Per kindy xtol xaa.
MAT.27.23	Per lëë meñ chëb stub:
MAT.27.23	—¡Pkëë xaa lo crusy!
MAT.27.24	Tsiñee lëë Pilat kon nii chondy meñ tiits, sink lëë meñ chak nxolyre, lëë Pilat kwnab nis aan xña lo meñ lëë xaa kwtiib ña xaa, chëb xaa:
MAT.27.24	—Lëë xaa gue kety, per lëdy xfaltno, xfalt tow.
MAT.27.25	Tsigo lëë meñ chëb:
MAT.27.25	—¡Nikxe kety xaa, lëë noo ni lëë xiñ noo kizh tol go!
MAT.27.26	Por ngo loxsye blaa Pilat Barrabás lëë xaa kwnabey ptee soldad xcheñ Jesús ni lëë xaa kwnabey nii kwë Jesús lo crusy.
MAT.27.27	Tsi lëë bla soldad ptsiñni Jesús chu yulyey lëë los demasy soldad ptyop kyako kwi Jesús. 
MAT.27.28	Lëë soldad kwlii ladx nii nakw Jesús, aan lëë xaa pkakw xaa tu ladx nixñë, 
MAT.27.29	ni lëë xaa psoob tu coron yakitsy kik xaa, ni lëë xaa kwloo tu var ñali xaa. Loxsye ngo lëë xaa psoxib lo xaa ni lëë xaa kwtsityni xaa, xñee xaa:
MAT.27.29	—¡Byinayk xrey meñ Israel!
MAT.27.30	Ni pchoo mxeñ soldad lo Jesús, aan misme var nii no ña Jesús psob xaa kik Jesús. 
MAT.27.31	Loxsye kwtsityni xaa Jesús, lëë xaa kwlii ladx nixñë go lady xaa aan lëë xaa pkakw xaa mer xab xaa. Tsigo lëë xaa sini xaa par jkëë xaa xaa lo crusy.
MAT.27.32	Tsiñee lëë xaa pchoo chu yulyey lëë xaa ptsyool tu xaa Cirene nii lë Simoñ. Aan lëë soldad pkoy xaa xicrusy Jesús.
MAT.27.33	Lëë soldad kuni Jesús tu laañee lë Gólgota. (Lëë tiits ko nak sinak nii xñee ñe: Laañee nche tsit kik.) 
MAT.27.34	Siko lëë xaa ptee viñ nii nla lo Jesús. Per loxsye pkëë chuw xaaw, kwnëdy xaa nyi xaaw.
