MAT.1.1	Yesu Kristi azakwoyi aye nu nyi, Dauda nugun n Ibrahim yi.
LUK.13.22	Yesu wa zan n azhi dnagmayi n azhi ɓiɓi yi, woi zhin ɓa waʼazi. Amma wo ɓei na wyei ce n Urushelima bwa nu.
LUK.13.23	Zaho wa nya wo ge, “Aza ciwyi nu ɓei pwo ko?”
LUK.13.24+LUK.13.25	 Yesu wa cige, “Abokunmi eshe nya bwa sun ciwyi nu. La hoi yi n nabai ho lo. Gama aza mwa ɓei ye ntuge ɓa lo fi, amma sanu puwa da ɓei gu aba ato ɓei shan aba bwa m. Nsayi oza n wo ɓei gni woi ci ge Dagayi gu mi abaya, Dagayi ɓei ciwo ge, ‘Mi ta kpe hoye lo m.’
LUK.13.26	“Amma fye ɓei cige, ‘Ai yi ɓei ku nyagyi gyi n hoi, har ha wu yi nya n yi a zokwo.’
LUK.13.27	“Amma wo ɓei cige, ‘Mita kpe fyeye lo m. Fye tami fyaɓe ya m, gama fye zhin alaifi danu.’
LUK.13.28	“Fye ɓei ci bwi n mwa fyei gyi anyikna. Gama fye ɓei gye Ibrahim, Ishaku n Yakubu yi n be mi ɓedo n anabi yi vinya. 
LUK.13.29	Gama aza ɓei ɓe n anyi vinya n nabai ɓei sase ɓo. 
LUK.13.30	Ma gna fye gaiciya aza n ɓa ta bwa mwa-mwa lo n sai ye m, ɓa ɓei gwo ko nwyiyi, aza n ɓa bwa mwa-mwa kwa ɓa to ɓei zhin aza mwa-mwa da nu, n shan sun m.”
LUK.13.31	Esafyewyi a Farisiyi ɓa ɓe, ɓa gna Yesu ge, “Hiridus cei pma lo wa gye ho wye. Kwo kamata lo ha busi.”
LUK.13.32	Yesu wa cige, Fyelo fye gna ɓeda yi ge, mi ɓa kun alijenu ya mi zhin aɓo wowo yi, n naiye n su yi har wyigyei kafin mi si aba n mi lo. 
LUK.13.33	Eh, n naiye, nsu, har n wyigyei yi ntu ge koto bmiya lo a wu Shekwoyi anabi m, sai n Urushelima.
LUK.13.34	Oh, Urushelima, Urushelima ezhi nko wu anabi nyi. Ezhi nkwo kni aza kuta n na tnu ɓai n ɓa aba nyi. Miɓa zhin wuna gama mi zhin ma ye ntuge ma ye fye zhi, shi pese zhin kwa ye ekwo aɓi zhi nyi, amma fyeta ye lo m. 
LUK.13.35	To naiye, mila fye puwa yashi fye, Fye ta shan mi wye gye njesun m, akpege fya ci ge, “Sanu n ɓei ga oza n wo ɓe dna Shekwoyi ye nyi.”
LUK.14.1+LUK.14.2	 Nwyihoi n Satiwyi woi dna n Ayahudiyi zadnagmayi puwa a Farisiyi zhi ɓai shi wa wye, ɓa gye kwo wa ka za gna n wo ɓo dna n kpo-kpo nyasan yi nyi.
LUK.14.3	Yesu kwa wa ciɓa ge, “Owa ku da ge a kaza gna n Satiwyi ko kwo to da ma?”
LUK.14.4	To ɓa dna wo ɓe gbe m. Nsayi Yesu wa shi nyasayi n bwa wa kawo gna wa ciwo ge wo lo.
LUK.14.5	Nsayi wa je ɓa nya ge, “Nyika lo n fye n wo ta zhin tnu-tnu n Satiwyi ma?” 
LUK.14.6	To ɓa dna wo ɓe gbe m.
LUK.14.7	Sanu wo ɓei gye aza ye ɓa sase kpe n aba dnagmai n anyagyi ʼba wa gaɓa shawara ye. 
LUK.14.8	“N ʼza yi fye na mula ba, ko to bmiya lo fya sase n aba nɓa gna bmiya m. Ntuge n za ɓe nwo du ho, 
LUK.14.9	to wo ɓei shan ho aba wo tu zayi. Oho kwa hoi lo buzu-buzu n vinyi-kwoyi.
LUK.14.10	“Amma ko bmiya lo n ya ɓe dina ba ha kni akujera nukwoyi ha sase. Sanu mula ɓa gye ho tu lo nu, sai wa ɓe wa gaho akujera manayi. To nsayi nu n ho ɓei lo n mwa-mwa kpe. 
LUK.14.11	Gama zaho-zahoyi n wo cei pma wa mwa wohin, to, aɓa gba wo. Amma zaho-zahoyi nwa gba wohin, to, a ɓa gawo mwa-mwa.” 
LUK.14.12	Nsayi wa ci oza n wa yi aza nyagyi nyi ge, “Sanu ha yi aza nyagyi to yi a nugundo n amado yi n ho abye yi n agyiwye-dayi nu kadai m. Gama ɓa ɓei kaho yi ce.
LUK.14.13	“Maimako ho zhin lo nu, yi aza nu n ɓa to n agyiwyei m, azagmazhi n na wyebuayi. 
LUK.14.14	Nnabai wyi yi n Shekwoyi ɓei ku azafi kala nyi, woi gaho lada ntu aza ɓo n ɓa to mi ɓa gbaho nyi m.”
LUK.14.15	Ozaho n wo ɓei tu woi wo Yesu ɓeda wa ci Yesu ge, “Ai oza wa lo Shekwoyi bemi wo ku saʼa dnagmayi zhin.”
LUK.14.16	Yesu wa gawo amsa n misali yeyi “Oza ho ɓei zhin agmada dnagmai har wa yi aza mwa n na nyagyi ba. 
LUK.14.17	Sanu wo ɓei ku ɓoho-ɓohoi zo zhin, wa tnu owo bara woi gna aza ge esa la si. 
LUK.14.18	Amma ɓa gawo a dalili gbo-gbo. Za knayi wa cige, ‘Mi la ofwasi n ha ye mi cei pma mi gyekwo. Ntuce nu, mi tami ma ɓe anyagyi ba m.’ 
LUK.14.19	Zaho wa cige, ‘Mila anakwo si ngun awo n fwanu ɓo, Mi cei pma mi gye ɓa.’ 
LUK.14.20	Zaho wa cige, woi bwa nyikwo la nu, ntu ce nu wo tami wa ɓe m.
LUK.14.21	“Bara yi wajeze lo wa da nya ɓa gna wo vinya. Owo maigida gyi minagyi wa cige, lo bwaho-bwahoi ho yi a nyaɓai na zabmazhi yi ɓedo na wyebuai. 
LUK.14.22	Amma shi azaye pya ɓei ku ɓe aba dudu ɓa ce. 
LUK.14.23	Nsayi owo maigida ciwo ge, ‘Lo hoi dnawye vinya aba ha gye oza gni ha gna wo ge wo ɓe, n nabai puwa ye kwa nu. 
LUK.14.24	Gama aza ma yiɓa na bye nyi, ɓa tabwa enya n mila shirya ntu ɓa ɓo m.’ ”
LUK.14.25	Aza ɓo viwo n mwa. Wa zegni wa ci ɓa ge: 
LUK.14.26	“Oza wo cei pma wa vimi dole wa yemi n du owo dada, owo ya, owo nyikwo, owo aɓi, owo amaje, owo amapwi, Har ndu wohin wye-wyeyi. Nto lo num, wo ta mi wa vi mi m. 
LUK.14.27	Njesun oza nwo to la wohin zundu wa vi mi m, wo ta mi wa ze emi bara m.
LUK.14.28	“Amma oza wo cei pma wa vi mi, To, sai wa zhin nubo kpa sosai, gama zaho-zahoi wo cei pma wa mi nyakun, wo zhin wa shi wa kpa agyiwye zhi wa gye she kwo ɓa la nsun, kafin wo ya nyakun mi. 
LUK.14.29	Kada wo bwa nyakun nu shi kawai, nsayi agyiwye zowo har ha gye aza ɓai mawo san. 
LUK.14.30	Ɓo cige, ‘Fye gye zayi n wo nu, wo to mi woi zo nyakun mi m, ntuge agyiwye ku wo zo.’
LUK.14.31	“Ko kwa kni esu yi nu ɓa lo okun, to woi zhin shawara n wa azai ko owo asoa 10,000, ɓa mi ɓa sukun n azai 20,000?
LUK.14.32	“Nwo tamin, sai wa tnu na zai ɓa gyi esu deyi wye, tunyi woye nyin nkpayi, kadawo ɓe wa wu owo aza vinya. 
LUK.14.33	Ntuce nu zaho-zaho ta mi wa ze mi bara m, akpege wa shi wa zhin nubo kpa, wa gye wahala n wo ɓa sin n anabarka yi n wo ɓa gwo, n sayi wa gye kwo wo ɓa mi wa vi mi.
LUK.14.34	“Sankpegye n ampani yi, kvoi la dada gmiya? 
LUK.14.35	Sankpegye nkwo to da m, ko to n ampani hoi m, atalni a zhin taki n koi ma. Azhin a ze koya aza kpe ko apita kawai. Fye kna tnubua sosai ngye fye cei pma fya gane nɓei n mi da nyi.”
LUK.15.1	A gadu gwo yi n ɓa to n gaici yai nyi m, ɓedo n alaifida hoi ɓei zhin ɓa ɓe ntuge ɓa wo ɓeda. 
LUK.15.2	Amma kwo to ɓei da a Farisiyi tukwoda m, ntuge Yesu ɓei zhin woi dami n laifi dai har ma woi gyi nyagyi n ɓai. 
LUK.15.3+LUK.15.4	 Ntucenu Yesu wa gaɓa misali ye, “Oza n wo n anai lo tagyi, amma gmanyi kwa bwi, wo ta fa adeyi zhi vinya wa lo wo dna deyi wye har wa gye kwo m? 
LUK.15.5	Nsayi wa ɓe nkoi na gmadai n api n kwoi tu nwo bwapa m. 
LUK.15.6	Sanu wa si api kwa wo ɓa yi owo anugundo n wo azaje yi ɓa dagma gama wola ena gmanyi gye n kwa bwi nyi.
LUK.15.7	“To, konyi lonu n She, Gama agmada lo n mwa n she ntu zaknayi ɓo n wa ga gaiciya ndu aza n ɓa shin Yesu viyi zhin lo nyi.
LUK.15.8	“Ko kwa misali nyikwoza ho n zinariyai fi ngun awo. Ngmanyi a bwi wo, sai wa dna fitila na wa fin abaya vinya, woi zankwo zanyi ntuge wa gye kwo. 
LUK.15.9	N a ko bwa wa yi owo anugundo n wo azaje yi ntuge ɓa dagma. 
LUK.15.10	To, kwo wu lo nu. Ammalaika n she zhin ɓa dagma ntu laifida ɓo gmanyi n wa ga gaiciya.”
LUK.15.11	Wa je ba misli ho gna ge, “Oza ho ɓei na ɓi ngun aba. 
LUK.15.12	Oza nawyi da wa gna owo dada ge, ‘Mi yelo ha gna yi oho gado n naiye, kafin ho fi.’ Owo dada kwa wa ye. 
LUK.15.13	Nsayi oɓi yi wa ku owo akaya wa lo ezhi ho nkpayi. Wa gyi agyiwye yi vinya. Wo si nyagyi ga aza laɓa, woi ce wo gyi a karuwa. 
LUK.15.14	Sanu agyiwye ɓwi ku wo zo, mikun kwa gmi n ezhi yi har to azai bwa nygyi m. 
LUK.15.15	Wa nya zaho n nabai wa gawo aburutu wa kna ɓa. 
LUK.15.16	Mikun ɓei zhin ko gun wo ce sosai, har ma ai wo wo ngye wo gyi aburutu nya gyi, amma to ai ga wo m.
LUK.15.17	“Sanu wo ɓei zhin anyi ɓo nubo, nsayi wa cige, Ai n yi puwa ko abara ma ɓa n nyagyi lo sosai. Amma mi gninyi ya mikun ɓamiya. 
LUK.15.18	Miɓa jeze lo omi dada ba mi ciwo ge, ‘Dada miku laifi zhin Shekwoyi ɓedo n hoi. 
LUK.15.19	Mito kunce lo ha yi mi ge eho ɓi n shansun. Mi cei pma ma ze ho fyenu.’
LUK.15.20	“Nsayi wa laka wa lo api da owo dada. Sanu wo ɓei ye ɓe n kpai owo dada gye wo. Wa busi lo wa zhin wo amabe har wa Shekma wo.
LUK.15.21	“Eɓi yi waciwo ge, Mi ku laifi zhin ho ɓedo n Shekwoyi. Mito kunce lo m, ayi mi ge oho ɓi m.
LUK.15.22	“Amma owo dada ci abara ge, ‘Fye ɓe n eje manayi fya kpe wo. Fye ɓe n bwai-nyai fya dnawo, fya ɓe na buadayi njesun. 
LUK.15.23	Fya ɓe n nakwo yi yawu ko, Tile ya zhin agmada sosai nya. 
LUK.15.24	Gama emi ɓi ye ɓei la fi, amma wola jeze ɓe. Wo ɓei la bwi amma ala wo gye.’ Sai n agmada yi nu sayi.
LUK.15.25	“To, owo dnagma ɓei bwi nfwa woi zhin tnu-tnu; shi wo ɓei zhi wa wo ai gyi agaga nɓa puwa. 
LUK.15.26	Wa nya bara ho nya kwo zhin. 
LUK.15.27	Bara ho wa gna woge, ai oho mado nu la zhi. Oho dada kwa, woi la nakwo manayi wu wo, woi zhin agmada dnagmai ntu nwo ɓeɓe ɓo.
LUK.15.28	“Wa gyi minagyi nsayi, har wa ma, to wa lodna n mi m. Owo dada wa ɓe wa ɓawo. 
LUK.15.29	Amma wa ci wo dada ge, esala mwa mi zhin ho tnu-tnu, har mi vi ho ɓo vinya. Amma ho to shin ena wu ntu mi ɓo m, ntuge ha zhin agmada deye pya m. 
LUK.15.30	Amma sanu n oho ɓi deye wa zhi, woi ku oho agyiwye zo wu n akaruwa laɓa hoi la nakwo manayi wuwo.
LUK.15.31	“Owo dada ciwo ge, Emi ɓi yeye yi, ai ho kun sun lo n mi n saho-sahoyi, nya mi cei vinya oho nya nu. 
LUK.15.32	Amma kwo bmiya lo ya dagma. Gama wo zhin oho mado nu wo ɓei la fi amma wo la jeze ɓe. Wo ɓei la bwi amma a lawo gye wye.”
LUK.16.1	Nsayi Yesu w gna owa bara Nabari ye, “Gyiwyeda ho ɓei la zaho n nabai wa zhin wo manaja, esa fyewyi waya nabari nukwoyi wo tu nu tukwo.
LUK.16.2	“Wa yi wo manaja waciwo ge, ‘Kni nu zhin hoi wyi mi agyiwyeʼa? To lo ho zhin shiri anyai vinya, gama miɓa gmi ho ya.’
LUK.16.3	“Nsayi manaja yi wa zhin nubo wa cige, ‘Miɓa zhin wuna?’ Emi tnu-tnu ku zo ya mi-i ta mi ma nu ofwa m, mi ta ye-ge ma ze nyaɓayi m. 
LUK.16.4	To mi kpe ɓoye lo n mi ɓa zhin n nabai mi bwa anugundo n mwa ntu ge ɓei bma mi zhin.”
LUK.16.5+LUK.16.6	 “Nsayi wa yi aza ɓe n cei n ɓa ɓei na ta shi owo maigida nyi, wa ci zaknayi ge, ‘Ho cei shi akniya?’ Zayi wa ciwo ge a galon 850 zaitun mi nya Manaja yi wa ciwo ge mila ce ho zunya. Ho ɓa gba tokunyi nu kawai.”
LUK.16.7	“Wa je zado nya ge, ‘ho cei shi akniya?’ Zayi wa ciwo ge, ‘Mudu 1,000 alkama nya. Manaja ciwo ge to ho ɓa gba 800 nu kawai.
LUK.16.8	“Owo maigida cige, ‘Lalle mana ja ye cecei lo sosai.’ To, kwo bwawu lo nu a shetan da gna cecei n laifi zhin afa aza ɓa fi n buzangna nyi. 
LUK.16.9	Amma mi ɓa cifye ge fye zhin ngye wo n nabai fya bwa anugundo n gyifi dna? Deye ɓa lo n fyei n api nyalo-nyalo nya n she? 
LUK.16.10	Awo! Gama oza wo to n ɓefyecei lo n anya ɓi-ɓiyi m, wo tami wa zhin ɓefyece n anya dnagmayi m. 
LUK.16.11	Njesun n fye to zhin ɓefyece n aɓo anyi ya m, nyikado ɓei ga fye gaiciya ntu arziki eshe nya ɓoʼa?
LUK.16.12	“Nfye to zhin ɓefyece n aza agyiwyei fye ɓa zhin ɓefyece n wuna n fya gyiwyeʼa?
LUK.16.13	“Gama zaho-zahoi to lo n wo ɓa mi wa bwa a maigida ngun aba m. Ko ha ye zaknayi to ha ye zadeyi m, ko kwa ha ye zadeye to ha ye zadeyi m. Ho ta mi ha vi Shekwoyi ɓedo n agyiwyei n esa gmanyi m.”
LUK.16.14	A Farisiyi ɓei zhin agyewye yei nu sosai. Ntuce nu ɓa gyi minagyi n woi.
LUK.16.15	Nsayi Yesu wa ciɓa ge, Fye zhin aɓo ngye aza manayi, har ai ga fye mwa-mwa, amma Shekwoyi kpe fya bugba nukwoyiye lo. Ntu ge oɓo nkwo zhin ngye ɓemanayi nna zaba kwo zhin laifi nu n Shekwoyi aba. 
LUK.16.16	Kafin Yohanna wo ya waʼazi zhin n batisma yi, Musa owa, nu ɓei zhin fye zokwo ɓedo n waʼazi n anabi gbo-gbo ɓei zhin anyi. Amma Yohanna wa ɓe fye n nabari maayi nge Shekwoyi bemi la ga ɓe. To aza zhi nyi n mwa ɓai ye. 
LUK.16.17	Amma deye ta wu ge Musa owa to n ampanyi lo m. Ata mi a shan kwo do ngye ʼShe nkniyi.
LUK.16.18	Ntuce oza n wa gmi owo nyikwo ya, wa la nyikwo do, wo ku anagbai zhin. Njesun oza wa la nyikwo n na la kwo gmiya to, wo ku anagbai zhin ce.
LUK.16.19	Yesu wa cige, ozaho ɓei nyi n agyiwye yi sosai. Wo ɓei na je yi n mwa har woi dagma n saho-sahoi. 
LUK.16.20	Nwyihoi zaho ai yi wo ge Liazuru n wo ɓei zhin nyaɓai nu, n na ci kpe laɓa, a wo shi n Nyabwayi yi puwa. 
LUK.16.21	Sanu wo ɓei shi woi pmi nyagyi kwa kaya, n agyiwyeda yi ɓei zhin woi gyi nyi, a mwi ɓei zhin ɓai nyi wo aci. 
LUK.16.22	Nwyihoi Liazuru wa fi, amalaika lawo ɓa lo woi n Ibrahim aba. Nwyihoi gyiwyeda yi wa fi ce, Har a wo bi. 
LUK.16.23	Amma owo wyewyeyi kwa lo anapi, n ɓo wa gye Liazuru ngnisun n Ibrahim yi.
LUK.16.24	“Wa cige, ‘Dada Ibrahim gye mi sun-sun, ha tnu n Liazuru yi n nabai wa dna owo bwai n nuwan, wa lice mi. Gama mi sin wahala lo n mwa.’
LUK.16.25	“Amma Ibrahim wa ciwo ge ‘Eɓi pa sanu n ho ɓei dna n anyi ho ɓei nyaho-nyahoi n ho ɓei cei pma. Amma Liazuru to ɓei nya hoi m. Amma n saiye a zhin wo atna lo amma ho dna lo n wahala. 
LUK.16.26	Amma bokun dnalo n mwa, n ya tan-tasin n hoi ntuge oza wo cei pma wa piya lo fya ba, wo ta mi m. Zahonyin ta mi wa piya ɓe eya ba m.’
LUK.16.27	“Nsayi nyabwayi wa ciwo ge ‘O dada Ibrahim suku-suku ha tnu n woi n mi dada puwa, 
LUK.16.28	Gama emi azaje lo ngun atnu, n nabai wo gnaɓa wahala ye ɓo, kada ɓaye ɓe ya ce ɓai ku fi.’
LUK.16.29	“Amma Ibrahim wa ciwo ge, ‘Ai litafi ku gna ɓa. Oha maje ɓami ɓa ba litafi ndai gye ɓa ce pma lo.’
LUK.16.30	“Arziki dayi wa ciwo ge, ‘Aʼa Dada Ibrahim ɓa ta gye ɓa nuwan ɓa ba m. Amma ndai zaho wa lo woi gmi n naku, ɓa ɓa fa oɓa laifi.’
LUK.16.31	“Amma Ibrahim wa ciwo ge, ‘Ngye ɓa ta wo Musa ɓeda ɓedo n anabi yi m, To ɓa ta wo m, ko ozai laka n vingwo m.’ ”
LUK.17.1	Nwyihoi Yesu wa ci owa bara ge, aza ɓa bwa jaraba cici ntuge ɓa lofi n laifi. Amma aya n oza aba n wo zhin jarabaye nyi. 
LUK.17.2+LUK.17.3	 Nna she ozaya dna n la n kuta dagmai pa dna n begye ko ɓa wo du afa wahala n wo ɓa sin ntuge wa zhin aɓi anawyi ɓei zhin laifi nyi. Mi ku pmafye gna, “Gnakni ohozado, n wa zhin laifi, zhin wo gafara njesun n wa ɓa gafara.
LUK.17.4	“Ko wa zhin ho laifi abwa ngun tnaba nu, nyipyeyi gmanyi woi ɓa ho gafara, sai ha zhin wo.”
LUK.17.5	Nwyihoi Yesu abara ɓa ciwo ge, “Yi ye gaiciya ga lo n mwa. Yi ɓa bwa kwo n wuna?”
LUK.17.6	Yesu wa ciɓa ge, “Nfya bwa gaiciya ga ye n bwa sun ciwyi, ngye musta byegye (Musta wu ngye fulu nu.) Ko ɓa mi kwa shi shinwan dnagmai ya har kwa shekwoya dna n la. Nfya ga gbe, koɓa ze lo nu.
LUK.17.7+LUK.17.8+LUK.17.9	 “Ndai fyenu wa zhi ofwa, ko wa zhi akni kna, wo to zhin wa sase shi wa ce wa gyi nyagyin, sai wo la wo puwada nya zhin, wa ga wo wa ku gyi kpa, n navun wa kpe wohin nya gyi. Zahoi ta sa wo ami ko wa zhin wo godiya n, ntu ge wo zhin wo tnu-tnu nu.
LUK.17.10	“Ko wu lonu n fya vi mi ɓo, fye ta gna ge a ci fye m, ntu ge fye zhin efye tnu-tnu nu.”
LUK.17.11	Sanu n ɓa ɓei gyi abye n zan-zan yi ɓai lo Urushelima ɓa si anyajegna ba n kwo gna Samariya aje n Galili yi nyi. 
LUK.17.12	Sanu ɓa ɓei lo ezhi ho, akuturu ɓa kune ngun awo ɓa ku zhi n kpai. 
LUK.17.13	Ɓa cige, “Yesu, Dagayi gye yi sun-sun.”
LUK.17.14	Yesu wa shi ɓa wye wa cige, “Fyelo prist aba fyei gna wo ge fye la kagna.” Sanu ɓa ɓei lo n zokwo kwa ɓa kagna.
LUK.17.15	Zaknayi n ɓami wa jeze ɓe woi ci ge, “Fye ga Shekwoyi mwa-mwa gama mila kagna.” 
LUK.17.16	Wa miyazhi n Yesu aba woi zhin wo godiya, ntuge ɓo Yesu ɓo zhin wo nyi. Zeye kwa ɓei zhin Samariya za nu.
LUK.17.17	Yesu wa nya wo ge, “Mi to kafye gna ofye awo nu m? Azaje zhi n na? 
LUK.17.18	Zeye nu na bwa jeze ɓe n wo zhin Samariya za nyi, woi zhin Shekwoyi godiya?”
LUK.17.19	Nsayi Yesu wa ciwo ge, “Laka ha lo ho nya oho gaiciya ga la ho ka gna.”
LUK.17.20	Nwyihoi a Farisiyi ɓa nya Yesu ge, “Shekwoyi be gyi ɓei ya n knisai ya?” Yesu wa ciɓa ge, “Shekwoyi be mi ta ɓe ai gyekwo wye nu m. 
LUK.17.21	Fye tami fya cige, ko la la n zhi ye m. Kwo kwa n zhi yi m. Gama Shekwoyi bemi dna lo nfye.”
LUK.17.22	Nsahoi wa daɓo n wa barai n ko tukwo wa cige, esa ɓelo n fye ɓei ye fya gye mi n nabai fya kunsun n mi, ko n nyipyei gmanyi, amma fye to ɓei gye mi wye m. 
LUK.17.23	Fye ɓei wo ge mi la jeze ɓe, nge mi gnilo n ya ko kwa n bwai, fye to ɓei ye m, ko kwa fyei lo ge fye zan mi shin. 
LUK.17.24	Gama sanu mi ɓei jezee fye ɓei kpe sosai. Ko ɓei wu n gye ogma bmiya nu. N kwo zhin kwa bmiya n she nyi. 
LUK.17.25	Amma dole me sin wahala kpa har to a shan mi ye m.
LUK.17.26	Sanu mi ɓei jezeɓe nyi, anyi ɓei wu ngye Nuhu sa nu. 
LUK.17.27	Gamaɓa ɓei sin ɓai gyi har ɓai ku anyikwo. Ɓa ɓei dagma har sanu Nuhu ɓei lo dna n ya nuwan ɓe aza bwi vinya.
LUK.17.28	Njesun anyi ɓei wu ngye Lot sa nu: gama aza ɓei gyi, ɓai sin, ɓai si ɓai knu, ɓai nu fwa, ɓai mi anyaknu 
LUK.17.29	Har wyi Lot ɓo fa Sodoma nyi. Nsayi ena kun n she kwa gyi ɓa vinya. 
LUK.17.30	Eh, aza ɓei laɓa lonu nu, har esa mi ɓa jezeɓe n cei nyi.
LUK.17.31	Aza nɓa to bei fi n napi m, to ɓato ɓei jeze ɓe m. Aza n ɓa kpelo nfwa, ɓa to ɓo ɓe zhi mi m. 
LUK.17.32	Fye pa nya ko ɓei zhin Lot nyikwo nyi. 
LUK.17.33	Zaho-zaho wa wo wye-wyeyi shi kam-kam wo ta bwa ko m. Amma oza wa wo wye-wyeyi ya to, wonu ɓa bwa kwo. 
LUK.17.34	Nwyiyi aza ɓei fi ngu aba ɓai wan gye, ai la gmanyi o ce gmanyi ya. 
LUK.17.35+LUK.17.36	 Anyikwoza ngun aba ɓei zhi ɓai zhin tnu-tnu ai la gmanyi o ce gmanyi ya. Kwo ɓei jewu lo nu na zai ɓai kpe n fwa.
LUK.17.37	Owo abara ɓa nya wo ge, “Dagayi aɓoye ɓei zhin n kni wyi ya?” Yesu wa ciɓa ge, “Aba zafi shi agulu zhin ɓa she laɓa ɓo nu.”
LUK.18.1	Nwyihoi Yesu wa gna owa bara nabari ho n nabai wa wuɓa ge ɓa zhin aduwa cici. Har ɓa bwa amsa.
LUK.18.2	Wacige, “Alkali ho ɓei nyi n ezhi ho, To woi kpe Shekwoyi ye m, njesun to woi gye oza ntukwoi tu m. 
LUK.18.3	Nyigbayi ho wa gna wo gna-gna ntuge wa dawo wa n zahoi n wo ɓei gyi wo fi. 
LUK.18.4+LUK.18.5	 To Alkali yi wa gye wo ngye nya ho m. Amma nyikwoza yi woi ɓe cici. N sayi Alkali yi wa cige Koda shike niita wo Shekwoyi dna m, ko gbagyi za m. Dole ma da nyikwoye wa dai-dai gama wola gna mi gna-gna.
LUK.18.6+LUK.18.7	 “Nsayi Yesu wa ciɓa ge, ngye alkaliye pya ɓa zhin lai, fye ta kpe ge Shekwoyi ɓa zhin owo aɓi daidai, nɓa gyi wo wye n sukwoyi ɓedo n nyipyeyi ko? 
LUK.18.8	Eh, wo ɓa woɓa aduwa npye-pyeyi, amma sanu mi (oza nugun) ɓei jezeɓe mi ɓei gye aza nyi n gaiciya ga yi nsun na (ɓai zhin aduwa?)” 
LUK.18.9	Nsayi wa gna azaho nabari ye, nɓa ɓei zhi ɓai zhin aɓoko ge, ɓa zhin aza gyi-gyi-yi nu.
LUK.18.10	“Wa cige, aza ngun aba ɓei lo aduwa nyakun, ntuge ɓo zhin aduwa. Zaknayi ɓei zhin Farisiyi nu, oza bayi kwa ɓei zhin godu goyi nu.
LUK.18.11	“Farisiyi aɓokwo da wacige, ‘Ma gode n hoi Shekwoyi ntuge mi to zhin laifi da nu ngye godu goyi ye m. Gama mitagyi oza fi m, mi ta zhin anyikwo ɓo m. 
LUK.18.12	Mi zhin azumi abwa ngun aba dna n mako. Njesun mi zhin ma ga Shekwoyi zakka.’
LUK.18.13	“Amma godu gwoyi wa gni n kpayi, to wa ye ge wa zhin aɓokwo m. Amma wa lu agu n bugbawun yi, wa cige, ‘Shekwoyi, gye mi sun-sun gama mi zhin laifi da nu.’ 
LUK.18.14	To, ma gnafye laifi da yi ɓei la lo api n gafara yi, amma Farisiyi to ɓei bwa m. Gama oza n wo zhin aɓoko a ɓa gba wo amma oza n wo gba wohin aɓa gawo mwa-mwa.”
LUK.18.15	Nwyihoi azaho ɓa ɓe n aɓi yi n Yesu aba, ntu ge wa pe ɓa bwa wa tu ɓa anabarka. Amma Yesu abara ɓa ci azayi ge ɓa la kuka.
LUK.18.16+LUK.18.17	 Nsayi Yesu wa yi aɓi yi nge ɓa ɓe. Wa ci owo abara ge, “Fye fa aɓi nawyi ɓa ɓe mi aba. Fye to nyaɓaya m. Gama Shekwoyi ebemi zhin aza nya nu n ɓa gaiciya ngye aɓi nyi. Ozaho-zahoi n wo to ga gaiciya ngye aɓi ye m, wo ta lo Shekwoyi ebemi m.”
LUK.18.18	Nsayi a Yahudiyi malami ho wa nya Yesu ge, “Malami manayi, miɓa zhin wuna ntuge ma bwa wye-wyeyi nyalo-nyalo nya?”
LUK.18.19	Yesu waci malami yi ge, “Kni nu zhin hoi yi mi ge, oza manayiʼa? Ai oza to lo n wo zhin oza manayi m, sai Shekwoyi. 
LUK.18.20	Ho kpe awyidna ye lo: ‘To zhin anagba yi m, to wu oza m. To wyi evi m, to ce akata m, Ga oho dada mwa-mwa ɓedo n oho ya yj.’ ” 
LUK.18.21	Malami yi wa ci Yesu ge, “Tunyi mi ye bwasun ciwyi miku awyidna ye vi vinya.”
LUK.18.22	Sanu Yesu ɓei wo lonu wa ci malami ye ge, “Enya ye hoi celo gmanyi. Lo hoi kun anya vinya n ho cei lo, ha ku agyiwye ga anyamwa yi, hoɓa bwa dukiya n eshe mi nsayi haɓe ha vimi.”
LUK.18.23	Amma she malei yi ɓei wo lonu, bugba kwa wo wun gama wo ɓei zhin gyiwye da nu. 
LUK.18.24	Sanu Yesu ɓe gye bugba la malemi yi wun, wa cige, “Ai kwo dnaɓo n mwa gyiwyeda wa lo Shekwoyi bemi. 
LUK.18.25	Ko ɓa gna wo fafa Rakumi kwa lo aci bwo a ya cige gyiwye da wo lo Shekwoyi ebe mi.”
LUK.18.26	Aza nɓa ɓei wo ɓedaye ɓa cige, “To, nyikado nu ɓa pwoʼa?”
LUK.18.27	Yesu wa ciɓa ge, “Enya n ko dna gbagyiza nyikwoci ɓo ge wa zhin kwo ta dna Shekwoyi ɓo m.”
LUK.18.28	Nsayi Bitrus wa cige, “To, yiku eyi apuwa fa ntuge ya vi ho.”
LUK.18.29	Yesu wa ɓa ge, “Miɓa gnafye gaiciya ozaho-zahoi wa fa wo puwa owoʼya, owo dada, owo amaje, kwo kwa owo ai ntu Shekwoyi bemi ɓo.
LUK.18.30	“Wo ɓa bwa anabarka n mwa n anyi ye, njesun wo ɓa bwa wye-wyeyi nyalo-nyalo nya, n anyi de yi n ɓa ɓelo nyi.”
