MAT.1.1	Jesukristo mräkä känekäne jrei Davikri amne Abrahamkri abko nere:
LUK.7.30	Akwa nitre bariseo btä Kukwe Biani Ngöbökwe Moiséye dirikätre namani yete Jesu kukwei nuen arato amne kukwe mikanintbe Ngöbökwe ni diantarikrä diribare Juankwe, ye abko niaratre namani mike ngwarbe jae, ñobtä ñan angwane ñan ja mikani ngökadre ñöte kwetre Juanye, ñobtä ñan angwane nin namani moto ulire kukwe kämekämenbtä aisete. 
LUK.7.31	Ni jökrä käkwe töbikabare ñakare ja kwrere Juanbtä kore, abtä Jesukwe niebareta ietre:
LUK.7.31	Ne mdenbtä abko ni nünanka kä ne näire abko ti bike bä mike krörö: Kä jändrän rürümoinkrä jutate, känti ngäbäkre tä nebe täkänintbe temen, käta ñäke krikri mräkä mda mdaye, yebtä ti bike ni nünanka kä ne näire bä mike krörö: 
LUK.7.32	Ngäbäkre tä niere mräkäye: Nunkwe nörä jürü tärä mikakrä munye, akwa mun ñan tö nibi tärä mikai. Abtä ka ni moto mikakrä ulire abko nunkwe nini mda, akwa munkwe müaniri ñakare arato abko ngäbäkreta niere. Ye mden kwrere munta niere Juanbtä amne tibtä, aisete tita nitre ye bä mike kore, 
LUK.7.33	ñobtä ñan angwane Juan Bautista nükani angwane, üai käme tä btä, aisete ñan tä mröre kri amne ñan tä dö ñaen, munta niere rüere. 
LUK.7.34	Yebti ti, Ni Kä Nebtä Ngobo rükaba mda angwane, ti abko mröre büle krikri amne ti dö ñaen krübäte munta niere tibtä. Mdakäre abko, ti ja getaka ni diän diän ben amne nitre jändrän ütiä käräkä gobran romanobokrä tä tuen käme munye abko ben tita ja gete, abtä munta ñäke ti rüere arato. Ye mdenbtä abko mun ngäbäkre kwrere tita niere. 
LUK.7.35	Akwa ni nüne töbtä era metre Ngöbö diebti nun kwrere, yebtä abko nun abko ni jen Ngöbökwe era metre abko nunta bä mike. Abko kore se, niebare Jesukwe.
LUK.7.36	Nebti bati, bariseo kädian nämane Simón käkwe Jesu ngwiani mröre ja gwiriete. Erere Jesu nikani, namani täkänintbe mesabtä Simón juete angwane, 
LUK.7.37	meri bti kä ngwarbe nämane nüne juta ne arabe känti abko Jesu nükani mröre Simón gwiriete gani kwe. Angwane ñö rä bäne ütiäte kri kädian nämane nardo nämane jä bä ngwen kädianta alabastro dätebare boteare te, ye jänükani kwe Jesu känti. 
LUK.7.38	Müare kwärä nikani ngitiekä Jesu ngotobtä temen, kä nikani Jesu ngoto bätete ni klabore kwrere, akwa ja okwä ñöibti bätäninte kwe. Jesu ngoto bätäninte ünän kwe, bti rötaninta kwe ja dokwä drüenbti, ngoto demainbare kwe, bti ñö rä bäne kekani kwe Jesu ngotobti, namani Jesu tarere kri mikakäre tuare ie. 
LUK.7.39	Ye abko nakaninkä Simón, Jesu nübaikä mröre ja känti ye okwäbti. Abtä Simón namani töbike krörö mda Jesubtä: ¡Jo! Ni noko Ngöbö kukwei niekä bkänä ne ngwane, ni ño tä nuenbtä ngotobtä gadre kwe. Amne meri se bti kä ngwarbe ni jökrä tä kädriere kämekäme rükadre gare btä ie arato bä amarebti se, Simón namani nütüre kore Jesubtä. Ne Jesukwe gani Simónbtä, 
LUK.7.40	abtä niebare mda kwe bariseo yeye:
LUK.7.40	Simón, ti tö kukwe ngwiaintari kwati mae, niebare Jesukwe ie.
LUK.7.40	Simón käkwe niebare mda Jesuye:
LUK.7.40	¿Abko dre? niebare kwe ie.
LUK.7.41	Ne btäräbe, Jesu nikaninbe kukwe bä mike meri yebtä Simónye:
LUK.7.41	Bati ni nämane iti abko ngwian bkäne kri. Ni ye abko nämane ngwian bien ütiädre ni mda mdaye. Ni ye abko, ie ni nibu käkwe ngwian käräbare ütiädre ie. Ni iti, bti rürümon ütiä nämane siento krärike jire amne ni mda abko, bti rürümon ütiä nämane gre ketarike. 
LUK.7.42	Rürümon ütiä nämane krörö ni nibubti, akwa nin ngwian namani kwenta jire ietre biandreta ja ütiäreta. Abtä ngwian bkänkä käkwe niebare ietre: Tikwe ngwian bianba ütiädre munye, akwa ngwian ñakare munye biandreta ja ütiäre tie, aisete ti bike rürümon ütiä munbti ye käikwitekä jabti jökrä, niebare kore kwe ni nibu yeye. ¿Ni nibu ne mdenkwe ni ngwian bkänkä taredi bäri ruen mae? niebare Jesukwe Simónye.
LUK.7.43	Simónkwe niebare mda Jesuye:
LUK.7.43	Ni bti bäri rürümon ütiä kri käikwitaninkä jabti ngwian bkänkäkwe, ni ye abko käta ngwian bkänkä tarere bäri raba ruen tie, niebare kwe Jesuye.
LUK.7.44	Bti meri ye nükani Jesu ngoto bätete, ye Jesukwe mikani ñäräre, käkwe niebare Simónye:
LUK.7.44	Simón, ti nü gwi ma känti nete, makwe ti miri ngwarbe jae, käkwe nin ñö bini jire chi tie ja ngoto bätätekrä ti kakrä ngäbti, akwa meri ne nü, käkwe ti ngoto bätrite ja okwä ñöibti, bti rütüta kwe ja dokwä drüenbti, mike ñäräre makwe, btä makwe töbika. 
LUK.7.45	Erere arato, ti ki gwäkäre mae angwane, nin makwe ti demainiri jire ti kakrä ngäbti kuin, akwa ti ki gwäkäre amne, meri ne nikirabe ti demaine ngotobtä abti kä nüke nere. 
LUK.7.46	Mdakäre abko, ti nü amne nin makwe olibo köi ütiä brai kiri ti dokwäbti ti kakrä ngäbti kuin, akwa meri ne abko käkwe ñö rä bäne ütiäte kri kiri ti ngotobti. 
LUK.7.47	Era metre meri ne käkwe ja mikani ngite kabre Ngöbö rüere bkänä akwa, tikwe niara ngite dininkä jire jökrä btä. Mdenbtä abko tä ti tarere bäri makrä bä mirita kore kwe, ni bti ngwian ütiä käikwitaninkä jabti ngwian bkänkäkwe ye kwrere abko ti tö nibi niei mae Simón, ñobtä ñan angwane ni ngite ñakare bökän diankata nibtä, ni ye abko ñan tä ni tarere dikaro. Abko kore se, niebare Jesukwe Simónye.
LUK.7.48	Bti Jesukwe niebare mda meri yeye:
LUK.7.48	Ma ngite kukwe kämekämenbtä, ye tikwe dininkä jökrä mabtä, niebare Jesukwe ie.
LUK.7.49	Abtä ni mda mda nämane siba yete, ye namani niere krörö jae kwärikwäri:
LUK.7.49	¿Ni noko nire amarebti tä ni ngite denkä nibtä tä niere sere? namanintre niere kore Jesubtä.
LUK.7.50	Akwa Jesu abko nikani niere janknu krörö meri yeye:
LUK.7.50	Ma nibi tödeke kwatibe tibti, köböire kukwe kämekäme btä ma ngite, ye tikwe dininkä mabtä, aisete nänta jäme, niebare Jesukwe ie.
LUK.8.1	Nebti Ngöbö jatanina nüke gobrane nibti abko kukwe kuin Jesu nikani niere juta krikrite amne juta kiakiate kä Galileate ta temen. Ye ngwane, nitre ja töitikaka Jesube ni jätäbti nibu nämane näin siba ben. 
LUK.8.2	Erere arato, ni merire merire bren bren mikaninta kuinta Jesukwe, ruäre abko btä üai käme juanintari kwe, ye abko nämane näin ruäre. Ni merire nämane näin siba Jesube abko nere: María Magdalabo, María ne mdenbtä Jesukwe üai käme krä kükü juanintari mento. 
LUK.8.3	Arato Juana nämane näin siba. Juana ne abko ni iti kädian nämane Chuza merie. Chuza abko ju ngibiabtikä jrei Herodes Antipas kräke. Arato Susana nämane näin siba. Ye ngwane meri mda mda nämane näin kwati siba abko jändrän nämane kwekwe, erere bti nämane Jesu btä nitre ja töitikaka ben die mike.
LUK.8.4	Ne ngwane bati ni nünanka juta ketareketare Galilea temen namani nüke ja ükekrö kwati ja tuakäre Jesube abko ie Jesukwe kukwe bä mikani krörö: 
LUK.8.5	Bati ni nikani iti nura metekä. Nura metaninkä kwe angwane, nura ruäre nikani mate ji ngrabare temen. Nura ye abko ni jatani, käkwe rätäbare jökräbti. Bärire mda abko nukwä jatani, käkwe kwetani jökrä kän. 
LUK.8.6	Nura ruäre abko nikani mate jäkwatabti temen abko nükani mure, akwa dobo nötare dikaro, aisete ngrötaninkä jökrä. 
LUK.8.7	Nura ruäre abko nikani mate kökrä tukwätetukwäte ngätäite, ye abko nükani mure arato, akwa kökrä ye abko rirabare bäri jötrö nura mu yebti ta, käkwe kämikani. 
LUK.8.8	Akwa nura nikani mate dobo kuinte, ye abko nükani mure amne rirabare tuärebe, bti ngwä nikani nebe btä btä amne datire datire ngwä namani gre ketarike. Ne abko nakaninkä kore, niebare Jesukwe ni kwatiye kore.
LUK.8.8	Ye btäräbe, Jesukwe ñäkäbare jume ja dibti krörö mda ni kwati yeye:
LUK.8.8	Nire nire käta ti kukwei nuen, ye abko olo tärä ne ngwane, ti kukwei ne ketate ja olote kwe, kukwe ne rükadre gare kuin munye abkokäre. Abko kore se, niebare Jesukwe.
LUK.8.9	Jesukwe kukwe bä mikani kore ne ñan nükani gare nitre ja töitikaka benye, käkwe niebare ie:
LUK.8.9	Makwe kukwe bä miri, ye abko dre bä miri kore makwe yere, niebare kwetre Jesuye.
LUK.8.10	Abtä Jesukwe niebare mda ietre:
LUK.8.10	Ngöbö rükadre gobrane ño nibti abko tä tiebe, akwa Ngöböta mike gare munye, akwa ni mda mda abko ie Ngöböta mike gare ñakare, aisete tita kukwe bä mike kore, Ngöbö Kukwei tä tikani krörö rabadre bare abkokäre:
LUK.8.10	Nebtä nikradre bäri kwetre, akwa kukwe ño ñan jatadre metre ietre amne ni kukwei nuadre bäri kwetre akwa, ñan rükadre gare ietre, 
LUK.8.10	abkokäre tita kukwe bä mike kore ietre, Ngöbö kukwei niekä kirakira käkwe niebare ni nebtä ye kwrere.
LUK.8.11	Kukwe nini tikwe ye abko tä kukwe krörö bä mike: Ngöbö Kukwei abko nura kwrere. 
LUK.8.12	Amne nura nikani ngitiekä ji ngrabare temen, ye abko ni ruäre tä Ngöbö Kukwei nuen akwa, diablu tä kite, käta Ngöbö Kukwei ye denkä jökrä töite, ni ye käkwe ñan Ngöbö Kukwei mikadre era amne ñan rabadre dianintari abkokäre, mden nini tikwe ye. 
LUK.8.13	Amne ni ruäre abko käta Ngöbö Kukwei nuen amne käta nebe nuäre btä kare ngäbti. Ni ye abko nura nikani mate jäkwatabti ye kwrere, ñobtä ñan angwane nura nikani mate jäkwatabti abko ngätri ñan nämane bökän, ye kwrere jire ni ruäre tä Ngöbö Kukwei kaen ngäbti, bti bä jötrö tä tödeke Ngöböbti. Tädre niken ja tare nike tödekabtä Ngöböbti amne käta Ngöbö Kukwei kiteta temen, bti tä nikenta ja jiebti. 
LUK.8.14	Amne ni ruäre abko tä Ngöbö Kukwei nuen, akwa tä nakwen bäri jändrän kä nebtä jiebti amne, tä ngwian tarere bäri amne jändrän nuäre nuäre kä nebtä yebtä tä ja kite, ye abko käta ngökö. Ne aisete ni ye abko nura nikani mate kökrä tukwätetukwäte ngätäite amne ngatani, ye tä nakenkä ni yebtä, aisete nura ngatani ngwä namani ñakare, ye kwrere jire ni ye tä sribi nuene ñakare Ngöbökrä. 
LUK.8.15	Akwa nura nikani ngitiekä dobo kuinte, ye abko ni töi kuin amne tä biare, käta Ngöbö Kukwei nuen angwane, tä ketete dime jabtä amne tä nünenkä dite btä. Ni ye abko nura ngwäta neme kuin ötata kabre, ye kwrere jire ni yeta jändrän kuin nuene Ngöbökrä. Abko kore se, niebare Jesukwe ietre.
LUK.8.16	Jesukwe niebareta:
LUK.8.16	Ni ñakare jire iti käta ñotra jutra mike abti tä jue miketa kaja täni. Erere arato, ñan tä mike jän täni jae, akwa ñotra jutra mikata angwane, mikata üräbtä käin trä rabadre ngitie jökrä gwita temen, ni jökrä gwi, ie kä rabadre tuen abkokäre. 
LUK.8.17	Ye kwrere arato, tita kukwe jire jökrä dirire kaibe tiebe munye mtare, akwa batira jire munkwe mikadi gare ni jökräye. Erere arato, kukwe diribare tiebe tikwe, batira jire rabadi gare metre ja ngwärekri jökrä. 
LUK.8.18	Ne aisete olo ketete kuin ti kukweiye munkwe, ñobtä ñan angwane nire nire ie Ngöbö Kukwei nüke gare, ye abko ie Ngöbökwe ja Kukwei biandi bäri mda; akwa nire nire ie Ngöbö Kukwei gare ñakare, ye abko ie Ngöbö Kukwei gare kiakia abko Ngöbökwe diandikä jökrä kän. Abko kore se, niebare Jesukwe nitre ja töitikaka benye.
LUK.8.19	Ye ngwane, Jesu meye amne etbakantre abko nikani jiebti ja tuakäre ben angwane, ni nämane kwati Jesu bäre temen, aisete niaratre ñan namani nebe Jesu känti. 
LUK.8.20	Angwane ni iti käkwe niebare Jesuye:
LUK.8.20	Ma meye amne ma etbakantre tä ju bäre nokote abko tö nibi blitai mabe, niebare kwe ie.
LUK.8.21	Jesukwe niebare ni jökräye:
LUK.8.21	Nire nire tä Ngöbö Kukwei nuen, erere tä mike täte, ni ye abko ti meye tikwe amne ti etbakantre tikwe era metre, niebare kwe.
LUK.8.22	Abti bati Ñö Okwä Kri Galilea känti Jesu nakwani rute, käkwe niebare nitre ja töitikaka benye:
LUK.8.22	Brän ñö okwä kwärä sekri, niebare kwe.
LUK.8.22	Ye erere nikanintre. 
LUK.8.23	Nikanintre ñöbti angwane, Jesu nikani kibien. Batibe müre jatani mate ribi krübäte ñö okwä ye känti, ye abko namani ñö kite jökrä rute, aisete ru jatani niken ñöte nguse se kwrere. 
LUK.8.24	Yebtä abko nitre ja töitikaka ben nikani gaenkrö, käkwe niebare ie:
LUK.8.24	¡Dirikä, ni kite niken ñöte nguse! niebare kwetre Jesuye.
LUK.8.24	Angwane Jesu nükaninta krö, käkwe ñäkäbare müreye amne ñöye. Ye btäräbe, müre amne ñö namani kwekbe jökrä. 
LUK.8.25	Bti Jesukwe niebare nitre ja töitikaka benye:
LUK.8.25	¿Munta tödeke kwatibe Ngöböbti ya ño yere? niebare kwe ietre.
LUK.8.25	Akwa niaratre abko namani nekwetekä krübäte amne töi ñan namani krütare, kä namani niere jae kwärikwäri:
LUK.8.25	¿Ni ne abko ni ño amarebti tä ñäke müreye amne ñöye amne, tä niara kukwei mike täte se? namani niere jae kwärikwäri.
LUK.8.26	Nebti niaratre nikani janknu rute ñöbti nebe käkä Gadarete Ñö Okwä Kri Galilea kwäräkri. 
LUK.8.27	Jesu nämane rute, nikani jate angwane, juta yete ni nämane iti abko btä üai käme nämane abko jatani Jesu ngäbti. Raire abko ni ye nämane dän kite ñakare jabtä amne nämane nüne ñakare gwi, akwa nämane nüne rökabti. 
LUK.8.28	Jesu jatabare ie angwane, nikani ngitiekä ngukudokwäbti temen Jesu ngwärekri, käkwe ngratebare kri krörö:
LUK.8.28	Jesu, Ngöbö Kri Kä Käinbti Odei, ¿ye ñobtä ma kite ti nike nete ye? Makwe ñan ti mika ja tare nike abko ti tö nibi ribei mae, namani niere Jesuye.
LUK.8.29	Üai käme rikadre mento btä abko Jesukwe niebarera ie, aisete namani ñäke krikri kore. Batire batire üai käme nämane niken ni yebtä angwane, ñan gitiadre künken, abkokäre kise amne ngotokwä mäkäte nämane jökrä ie kadenanbti, akwa nämane kadena ötöte jökrä angwane, üai käme nämane niken ngwena kä kaibete. 
LUK.8.30	Ni ye abko ie Jesukwe niebare:
LUK.8.30	¿Ma kä ño? niebare kwe ie.
LUK.8.30	Angwane üai kämentre käkwe niebare mda ie:
LUK.8.30	Ti kä Kabre, niebare kwetre.
LUK.8.30	(Ja kä Kabre, niebare kwe, ñobtä ñan angwane üai käme nämane kabre btä aisete.)
LUK.8.31	Ye mden käkwe ñan ja juamna kä ja tare nikakrä te Kä Timonbti Jesuye. 
LUK.8.32	Ye känti abko mtü nämane kabre krübäte mröre bä känime ngudrebtäta, aisete üai kämenkwe ja juamna mtü yebtä Jesuye, erere Jesukwe juani mtübtä. 
LUK.8.33	Üai käme nämane nibtä, ye abko nikani mento btä, bti nikani mda mtü kabre yebtä. Ye btäräbe mtü kabre ye nikani betekä jökrä ja jiebti kä btä motokwäre, nikani ngitiekä jökrä ñöte, känti müre neketani jökrä.
LUK.8.34	Nitre mtü ngibiaka abko okwäbti kukwe nakaninkä kore. Yebtä abko niaratre nikani betekä ngitie, kä nikani kukwe ye niere jökrä juta ngrabare temen amne juta bäre mento arato. 
LUK.8.35	Abtä kukwe nakaninkä ño abko ni kwati nükani tuen, känti nikanintre nebe Jesu känti angwane, ni btä üai käme nämane abko nikani mento, ni ye abko käkwe dän kitani jabtä amne kä namani ruenta kuin bti nämane täkänintbe Jesu ken, btä namanintre angwane, kä jürä namani kri btätre. 
LUK.8.36	Angwane ni btä üai käme nämane ye abko namaninta kuinta ño abko nitre tuakatuaka namani niere jökrä ni mda mdaye. 
LUK.8.37	Yebtä abko, Jesu di kri krübäte gani kwetre, aisete kä jürä namani kri nitre Gadarabobtä, aisete jötrö ngwarbe Jesu rikadre kä mdabti abko namanintre ribere ie. Ye erere Jesu nakwaninta rute nitre ja töitikaka benbe, bti nikaninta.
LUK.8.38	Akwa Jesu ngämi nikenta, känenkri ni btä üai käme nikani mento ye abko Jesu rikadre ngwena jabe abko namani ribere Jesuye, akwa niara rabadre jirekäbe yete, Jesukwe niebare ie. Angwane Jesukwe niebare krörö mda ie:
LUK.8.39	Nänta jirekäbe ja gwiriete amne Ngöbökwe dre nuni makrä, ye erere makwe nie jökrä ni mda mdaye. Abko kore se, niebare Jesukwe ie.
LUK.8.39	Ye erere bkänä, Jesukwe dre nuenbare niara kräke, erere nikani niere jökrä juta ngrabare temen.
LUK.8.40	Yebti Jesu nikani nebeta Ñö Okwä Kri Galilea kwäräkri mda angwane, ni nämane kwati ngibiare ngäbti, aisete kä namani nuäre btätre Jesu kare ngäbtita. 
LUK.8.41	Ye btäräbe ni kädian nämane Jairo nükani Jesu känti. Jairo abko nämane sinagoga dänkiene juta yete abko jatani, nikaninbe ngitiekä ngukudokwäbti temen Jesu ngotobtä ja mikakäre bobre btä, kä namani Jesu ngwen kisere nebe ja gwiriete. 
LUK.8.42	Ngänkän itibe kwe abko ie kä kwä jätäbti kubu abko jatani krüte kän, aisete namani Jesu ngwen ja känti. Ye erere Jesu nikani angwane, ni nikani kwati krübäte ben, kä namani kete dime ja ngätäite, namani ruen ie.
LUK.8.43	Angwane nitre nikani kwati Jesube, ye ngätäite meri nämane näin iti siba abko kä kwä jätäbti kubura nämane bren dbä tibiere abko kisete nämane ja tare nike amne, ngwian nämane kwe, erere ganinte jökrä kwe kräkäbtä jakrä akwa, ñakare namani nökröta nitre kräkä biankaye. 
LUK.8.44	Te meri ye abko nikani, käkwe krötabare ja ken Jesu trökri, käkwe dän Jesubtä nuaninbtä tiebe köräbtä. Ye btäräbe namaninta kuinta batibe se kwrere. 
LUK.8.45	Angwane Jesukwe niebare:
LUK.8.45	¿Nirekwe dänkä nuribtä tibtä ye? niebare kwe.
LUK.8.45	Akwa ni jökrä namani ja rükente. Abtä Pedrokwe niebare Jesuye:
LUK.8.45	Dirikä, ni kwati nibi ma kete dime ja ngätäite, kä nibi ma kitekä nekwäre, sekwäre. ¿Ye ñobtä abko nirekwe ma nuribtä ma nibi niere yere? niebare Pedrokwe ie.
LUK.8.46	Akwa Jesukwe niebareta mda:
LUK.8.46	Ni iti käkwe ti nuribtä tikwe gari, ñobtä ñan angwane Ngöbö di tä tibtä abko niki ruäre mento tibtä, nibi ruen tie, niebare kwe.
LUK.8.47	Angwane meri ye käkwe ja rükandrete ño mda ñan namani nüke gare ie, akwa kä jürä namani btä. Abtä namani grükekä jökrä ngrabare, nikani, namani ngukudokwäbti temen Jesu ngotobtä ja mikakäre bobre btä angwane, ñobtä Jesu nuaninbtä kwe amne namaninta kuinta ño abko niebare jökrä kwe ni jökrä ngwärekri Jesuye. 
LUK.8.48	Angwane Jesukwe niebare mda ie:
LUK.8.48	Ti mräkä, makwe tödiri kwatibe tibti, köböire ma nibirate kuinta, aisete nänta jäme, niebare kwe meri yeye.
LUK.8.49	Jesu nämane blite kore angwane, sinagoga dänkien ye jiebti ni mdara jire nükani kukwe ngwena, käkwe niebare ie:
LUK.8.49	Ma ngänkän kürera makän. Makwe ñan dirikä nika mda, niebare kwe ie.
LUK.8.50	Blitabare kore kwe, ye jarabare Jesuye angwane, Jesukwe niebare:
LUK.8.50	Ma ñan rekwetaka ngäbäkre jiebti jakän, akwa makwe tödeka kwatibe janknu tibti angwane, ma ngänkän rabadita kuinta, niebare kwe ie.
LUK.8.51	Yebti nikanintre nebe gwi angwane, Jesukwe Pedro, Santiago, Juan amne meri bati ye rün amne meye aibe tuanimetre niken nebe gwi jabe. 
LUK.8.52	Angwane ni jökrä nämane meri bati krütani ye uliere amne müaire krikri be gwi, btä Jesu namani. Akwa niarakwe niebare ietre:
LUK.8.52	Ngäbäkre merire ye kürera munta nütüre, akwa tä kibien, aisete munkwe ñan müai mda, niebare kwe ietre.
LUK.8.53	Akwa meri ye krütani bkänä namani gare ietre, aisete namanintre Jesu kötaire jökrä. 
LUK.8.54	Akwa Jesu nikani, käkwe meri ngwäkä ye kani küdebti, bti ñäkäbare krörö kwe ie:
LUK.8.54	Ti ngänkän, ¡Näin krö! niebare Jesukwe ie.
LUK.8.55	Ye btäräbe üai nükanintabe btä, aisete nükanintabe nire angwane, nükaninbe täkänintbeta krö, bti Jesukwe bukamna mräkäye. 
LUK.8.56	Meri bati mikaninta nire kore Jesukwe, yebtä abko rün amne meye ñan töi namani krütare mda. Akwa kukwe nakaninkä ño, ye abko ñan kädriedre jire kwetre ni mda mdabe, Jesukwe niebare ietre.
LUK.9.1	Yebti Jesukwe nitre ja töitikaka ben ni jätäbti nibu ükaninkrö, bti Ngöbö die biani kwe ietre üai käme bätäkä ngwarbe juantarikrä mento amne ni bren bren mikakräta kuinta arato. 
LUK.9.2	Bti Ngöböta gobrane ni ngätäite kädriedre kwetre amne ni bren bren mikadreta kuinta kwetre, abkokäre Jesukwe juani, 
LUK.9.3	käkwe niebare krörö ietre:
LUK.9.3	Mun ñan rika tribe ngwena jire chi mda jabtä ji ngrabarekäre abko krörö: Mun ñan rika mökän amne kra ngwena jae. Erere arato, mun ñan rika mrö, ngwian amne dän mda ngwena jae, ñobtä ñan angwane munkwe tödekadre Ngöböbti, ie ti tö aisete. 
LUK.9.4	Ju mdente mun raba nünentbe, ye aibe känti mun raba. Mun ñan rika ju kwatirekwatire te, akwa mun raba ju kwatibe te, abti mun rikata. 
LUK.9.5	Akwa juta känti mun ñan ka tö raba ngäbti ni mdakwe, ye känti munkwe kä mikaka, akwa munkwe dobro mnü ngrükate ja ngotobtä, nitre ye ara jire ngite Ngöböye ja töi jenbti bä mikakrä ietre, niebare Jesukwe ietre.
LUK.9.6	Ye erere nitre ja töitikaka Jesube nikani juta kwatirekwatire kä ngrabare temen kukwe kuin Jesubtä ye kädriere amne, nikani ni bren bren miketa kuinta arato.
LUK.9.7	Kukwe namani nakenkä kore Jesu köböire, ye gani Herodekwe angwane, nire köböire nämane nakenkä ñan namani nüke gare ie, ñobtä ñan angwane Ngöbökwe Juan Bautista mikaninta nire abko ni ruäre namani niere Jesubtä. 
LUK.9.8	Akwa Ngöbö kukwei niekä kira kädian nämane Elías abko nükaninta ni ruäre namani niere. Mdakäre abko, Ngöbö kukwei niekä kira mda abko nükaninta nire, ni mda namani niere Jesubtä. 
LUK.9.9	Abtä Herodekwe niebare:
LUK.9.9	¿Tikwe Juan dokwä tikakamna, aisete ni ye ñakare Juan amarebti nire abko btä blitata krübäte dikaro kore ne? niebare Herodekwe.
LUK.9.9	Yebtä abko Herodes tö namani ja tuai Jesube.
LUK.9.10	Abti nitre juani ja kukwei ngwianka Jesukwe ye nükaninta jökrä Jesu känti angwane, dre dre nuenbare kwetre, ye erere niebare jökrä kwetre Jesuye. Abti Jesukwe käräbare jenena angwane, nikani ngwena kä kaibete juta Betsaidate. 
LUK.9.11	Akwa Jesu nikani ye abko ni kwati käkwe gani angwane, nikani niaratre jiebti amne, Jesukwe kani ngäbti kuin, bti Ngöböta gobrane ni ngätäite, yebtä Jesukwe blitabare bentre amne ni bren bren abko mikaninta kuinta kwe. 
LUK.9.12	Yebti kä jatanina dere angwane, nitre ja töitikaka Jesube ni jätäbti nibu nikani, käkwe niebare ie:
LUK.9.12	Nita kä kaibete nete, jändrän ñakare kwetadre, aisete nitre se juenta jökrä jadüke amne mrö känene jae juta käntikänti sete kä ngrabare temen, niebare kwetre Jesuye.
LUK.9.13	Abtä Jesukwe niebare mda ietre:
LUK.9.13	Niaratre buka munkwe, niebare kwe ietre.
LUK.9.13	Abtä niebare kwetre ie:
LUK.9.13	¿Banta kunrikebe amne gwata krobube nikwe, se abko biandre ño ietre? ¿Ni kwati se kräke, ni rikadre mrö kökö ya? niebare kwetre mda Jesuye.
LUK.9.14	Ye ngwane abko, ni brare aibe nämane mili krärike jire, akwa Jesukwe niebare mda nitre ja töitikaka benye:
LUK.9.14	Nitre ye mika täkänintbe gre ketebu bti ni jätä jätä ja täritäri, niebare kwe ietre.
LUK.9.15	Ye erere Jesu kukwei mikani täte kwetre, käkwe nitre mikani täkänintbe jökrä temen temen. 
LUK.9.16	Bti Jesukwe ban kunrike amne gwa krobu diani kisete, käkwe nikrabare kä käinbti, kuin niebare kwe btä Ngöböye, bti ñäkänintbe kiakia kwe, bti biani kwe nitre ja töitikaka ben yeye dräidre ni kwati yebti. 
LUK.9.17	Angwane ni jökrä käkwe mröbare, namani trinetrine, bti ban amne gwa oto namaninte abko ükaninkrö kutia kwä jätäbti kubu jire.
LUK.9.18	Yebti bati Jesu nämane blite kaibe Ngöböbe angwane, nitre ja töitikaka ben nämane yete ben abko ie niebare krörö kwe:
LUK.9.18	¿Ti ne abko nire nieta ni mda mdakwe tibtä? niebare kwe.
LUK.9.19	Angwane nitre ja töitikaka ben käkwe niebare ie:
LUK.9.19	Ma abko Juan Bautista nükaninta nire nieta ni ruärekwe amne ni mda abko käta ma Elías nükaninta niere mabtä. Akwa ni mda abko tä niere Ngöbö kukwei niekä kirakira mda mda abko nükaninta nire nieta kwe mabtä, niebare kwetre ie.
LUK.9.20	Jesukwe niebare mda ietre:
LUK.9.20	¿Amne mun abko käta ti nire niere tibtä? niebare kwe ietre.
LUK.9.20	Angwane Pedro abko käkwe niebare Jesuye:
LUK.9.20	Ma abko Ni Dianinkä Ngöbökwe ara, niebare kwe ie.
LUK.9.21	Pedrokwe niebare kore, abtä Jesukwe niebare mda ietre:
LUK.9.21	Akwa kukwe ye abko ñan niedre jire kwetre ni mda mdaye, niebare kwe ietre.
LUK.9.22	Bti Jesukwe niebare krörö ietre:
LUK.9.22	Nitre unbre ji dokwäte, nitre blitaka Ngöböbe ni mda mda diäre dänkien amne Kukwe Biani Ngöbökwe Moiséye dirikätre, käkwe ti Ni Kä Nebtä Ngobo ne mikadi ja tare nike kri amne trö kwitadi kwetre tie, käkwe ti müre ketadi, akwa köbömäkäre angwane, ti rükadita nire, niebare kwe nitre ja töitikaka benye.
LUK.9.23	Yebti Jesukwe niebare ni jökrä nämane yete yeye:
LUK.9.23	Nire nire tö ja töi mikai kwatibe nänkrä tibe, ni ye abko tö dreye jakrä abko raba käikwitekä jabti amne, köbö kwatirekwatire ja kwata raba ruentari tare ñakare ie nünakäre tikrä abko jata ti jiebti, 
LUK.9.24	ñobtä ñan angwane nire nire tö ja kwata ngibiai jen jakrä abko krütadi kärekäre, erere rabadi kärekäre Ngöbö okwä bäre mento. Akwa nire nire krütadi ti dokwäre abko rabadi dianintari nünakäre kärekäre Ngöböbe. 
LUK.9.25	Ye abko, ni rabadre jändrän jökrä bkäne kabre kä nebtä, akwa ni krütadre angwane nikwe ñan nünandre mda Ngöböbe, ne ütiäre abko dre rükadre nie. 
LUK.9.26	Ne aisete, nire nire käta ti rükente amne kukwe dirita tikwe ne rükente angwane, ti Ni Kä Nebtä Ngobo ne jatadita angwane, tikwe ni ye rükandite arato. Ti jatadita angwane, ti jatadita ja di kri bä nuärebti amne Ngöbö di kri bä nuärebti, erere arato angele deme Ngöbökwe bä nuärebti. 
