GEN.1.1	Sintinoo ga, Irkoy na beenaa nda gandaa taka. 
EXO.40.24	A na fitilla canboo daŋ cere kubayyan hukkumoo ra, a ga taabaloo tenje, Irkoy hugoo gurma kaboo here. 
EXO.40.25	A na fitillawey daŋ Abadantaa jine sanda takaa kaŋ nda Abadantaa na Musa yaamar. 
EXO.40.26	A na wura sargari tonadogoo daŋ cere kubayyan hukkumoo ra, ridowoo jinoo ra. 
EXO.40.27	A na dugu hew kaanaa dullandi a ga, sanda takaa kaŋ nda Abadantaa na Musa yaamar. 
EXO.40.28	A na ridowoo daŋ hugoo miɲoo ga. 
EXO.40.29	A na 
EXO.40.30	A na taasa beeroo daŋ cere kubayyan hukkumoo nda sargari tonadogoo game, a na hari daŋ a ra ka alwala. 
EXO.40.31	Musa, nda Haruna nda nga izʼarey na ngi kabey nda ngi cewey ɲumay a ra. 
EXO.40.32	Waati kaŋ i ga huru cere kubayyan hukkumoo ra, nda waati kaŋ i ga too sargari tonadogoo do, i ga ɲumay, sanda takaa kaŋ nda Abadantaa na Musa yaamar. 
EXO.40.33	A na batumaa cin ka hukkumoo nda sargari tonadogoo kuubi kʼa bere, a na ridowoo daŋ batumaa miɲoo ga. Takaa woo nda Musa na goyoo tee kʼa benandi.
EXO.40.34	Duulaa na cere kubayyan hukkumoo gum, de Abadantaa daržaa na hugoo too. 
EXO.40.35	Musa mana hin ka huru cere kubayyan hukkumoo ra, zama duulaa cindi a ga, de Abadantaa daržaa na hugoo too.
EXO.40.36	Waati kaŋ duulaa tun hugoo boŋ, nga no Izirayel izey ga koy jine ngi naarumaa ra. I ga koy nongu nda nongu. 
EXO.40.37	Nda duulaa mana tun, i si koy hala han kaŋ a tun. 
EXO.40.38	Zama zaari here Abadantaa duulaa goo hugoo boŋ, cijin here nuune ga dii duulaa ra, Izirayel hugoo kul jine, woo teendi ngi naarumaa kul ra, nongu ka koy nongu.
LEV.1.1	Abadantaa na Musa cee cere kubayyan hukkumoo do ka šelaŋ a se ka nee: 
LEV.1.2	«Šelaŋ Izirayel izey se, nee i se: ‹Nda boro foo war ra ga baa nga ma adabba tee sargari Abadantaa maaɲoo ga, a mʼa kaa alman beerey wala ibuuney ra.
LEV.1.3	Nda hayaa kaŋ a gʼa kaa manʼti kala haw-ize 
LEV.1.4	A ma nga kaboo fur sargari kukurantaa almanoo boŋoo ga, Abadantaa gʼa taa, ka nga zunubey tuusu. 
LEV.1.5	A ma haw-izoo koosu Abadantaa jine. Haruna izʼarey, 
LEV.1.6	Boraa ma hawoo fooru kʼa dunbu-dunbu. 
LEV.1.7	Sargari juwalkaa Haruna izʼarey ma nuune daŋ sargari tonadogoo boŋ ka tuuri kanandi nuunaa boŋ. 
LEV.1.8	Haruna izʼarey, sargari juwalkey ma ham dunbu-dunbantey, nda boŋoo, nda maanoo kanandi tuurey boŋ nuunaa ga kaŋ goo sargari tonadogoo boŋ. 
LEV.1.9	A ma teeley nda kobsey ɲumay nda hari, sargari juwalkaa mʼi kul dullandi sargari tonadogoo boŋ. Sargari kukurante no, 
LEV.1.10	Nda nga sargaroo si hun kala alman buuney ra ka tee sargari kukurante, a ma tee feeji wala hancin, aru kaŋ ga malal sii. 
LEV.1.11	A mʼa koosu sargari tonadogoo hawsa caraa here hukkumoo tenje Abadantaa jine. Haruna izʼarey, sargari juwalkey ma kuroo say-say sargari tonadogoo carawey bande. 
LEV.1.12	A mʼa dunbu-dunbu, boŋoo nda maanoo goo a ra. Sargari juwalkaa mʼi kanandi tuurey boŋ nuunaa ga kaŋ goo sargari tonadogoo boŋ. 
LEV.1.13	A ma teeley nda kobsey ɲumay nda hari. Sargari juwalkaa mʼi kul dullandi kʼi sarga sargari tonadogoo boŋ. Sargari kukurante no, sargari tonante kaŋ sunnaaraa ga kan Abadantaa se.
LEV.1.14	Nda nga sargaroo si hun kala cirawey ra ka tee sargari kukurante Abadantaa se, a ma tee gubaguba wala tuuzun-ize. 
LEV.1.15	Sargari juwalkaa mʼa sarga sargari tonadogoo boŋ, a ma boŋoo kaa kʼa dullandi sargari tonadogoo boŋ, de kuroo ma doorandi sargari tonadogoo caraa ga. 
LEV.1.16	A ma zunduroo dogu, nga nda hayey kaŋ goo a ra
LEV.1.17	A ma fatawey nda cere game kottu bila i ma hun cere ga. Sargari juwalkaa mʼa dullandi sargari tonadogoo tuuroo boŋ kaŋ goo nuunaa ra. Sargari kukurante no, sargari tonante kaŋ sunnaaraa ga kan Abadantaa se.›»
LEV.2.1	«‹Nda boro ga baa ma 
LEV.2.2	A mʼa ka koy Haruna izʼarey se kaŋ ti 
LEV.2.3	Taasu sargaroo cindoo, Haruna nda nga izʼarey ma duu a. Baa no kaŋ ga hanse ka henan, zama a mana hun kala sargari tonantey ra Abadantaa maaɲoo ga.
LEV.2.4	Nda nʼga baa ma taasu sargari kaa kaŋ tonandi alforon ra, a ma tee farin hamni baana, wijilayaŋ kaŋ loobandi nda jii bila dolobiri nda furmeyaŋ kaŋ yonandi nda jii bila dolobiri. 
LEV.2.5	Nda ni taasu sargaroo mma tonandi guuru boŋ, a ma tee farin hamni baana kaŋ loobandi nda jii bila dolobiri. 
LEV.2.6	Mʼa dunbu-dunbu ka jii doori a boŋ. Woo ti taasu sargari. 
LEV.2.7	Nda ni taasu sargaroo mma tonandi pol ra, a ma tee nda farin hamni baana nda jii. 
LEV.2.8	Ma koy nda taasu sargaroo kaŋ hansandi hayey wey ra Abadantaa do, i mʼa noo sargari juwalkaa se, a ma koy nda a sargari tonadogoo ra. 
LEV.2.9	Sargari juwalkaa ma hayaa kaa sargaroo ra kaŋ ga tee hongandihaya, a mʼa dullandi sargari tonadogoo boŋ. Sargari tonante no kaŋ sunnaaraa ga kan Abadantaa se. 
LEV.2.10	Taasu sargaroo cindoo, Haruna nda nga izʼarey ma duu a. Baa no kaŋ ga hanse ka henan, zama a mana hun kala sargari tonantey ra Abadantaa maaɲoo ga.
LEV.2.11	Taasu sargari kul kaŋ war gʼa tee Abadantaa maaɲoo ga, dolobiri si hima ka huru a ra. Abada dolobiri dumi kul wala yuu dumi kul masi huru war sargari tonantey ra Abadantaa maaɲoo ga. 
LEV.2.12	Dumaray-ize jina-jinawey, war mʼi tee sargari Abadantaa maaɲoo ga, amma i masi tonandi sargari tonadogoo boŋ sanda sunnaara kaana.
LEV.2.13	Taasu sargari kul, ma ciiri fur a boŋ. Masi naŋ ciiroo ma kuma, zama ciiri ti 
LEV.2.14	Nda nʼga baa ma dumari-ize jina-jinawey tee sargari Abadantaa maaɲoo ga, mʼa tee nda jeeniyaŋ kaŋ kukurandi nuune ra, ma taasoo tutubu kʼa kaa, a ma tee ni dumaray-ize jina-jinawey taasu sargari. 
LEV.2.15	Ma jii doori a boŋ ka dugu fur a ga. Woo ti taasu sargari. 
LEV.2.16	Sargari juwalkaa ma taasu tutubantaa jere foo, nda jii, nda dugoo kul dullandi sanda hongandihaya. Sargari tonante no Abadantaa maaɲoo ga.›»
LEV.3.1	«‹Nda boro sargaroo si hun kala hawey ra ka tee 
LEV.3.2	A ma nga kaboo fur nga sargaroo boŋoo ga kʼa koosu cere kubayyan hukkumoo miɲoo ga. Haruna izʼarey, 
LEV.3.3	Alaafiya teendi sargaroo woo ra a ma nonguyaŋ kaa Abadantaa maaɲoo ga kʼi tee 
LEV.3.4	nda dumay-ɲaa-guuri hinkaa, nda maanoo kaŋ gʼi daabu kaŋ ga koy hala caraa ga, nda tasa-izoo kaŋ goo tasaa ga, a mʼa kaa dumay-ɲaa-guurey bande. 
LEV.3.5	Haruna izʼarey mʼi dullandi sargari tonadogoo boŋ nda 
LEV.3.6	Nda nga sargaroo si hun kala alman buuney ra ka tee alaafiya teendi sargaroo Abadantaa maaɲoo ga, aru no wala woy, a ma tee alman kaŋ ga malal sii. 
LEV.3.7	Nda boraa sargaroo ti feeji, a mʼa ka koy Abadantaa jine. 
LEV.3.8	A ma nga kaboo fur sargaroo boŋoo ga kʼa koosu cere kubayyan hukkumoo jine. Haruna izʼarey ma kuroo say-say sargari tonadogoo carawey bande. 
LEV.3.9	Alaafiya teendi sargaroo woo ra a ma maanoo nonguyaŋ kaa Abadantaa maaɲoo ga kʼi tee sargari tonante. Nongey ti: šuwalaa timmantaa, a mʼa kaa hala birigaaroo ga, nda maanoo kaŋ ga teeley daabu, nda teeley maanoo kul, 
LEV.3.10	nda dumay-ɲaa-guuri hinkaa, nda maanoo kaŋ gʼi daabu kaŋ ga koy hala caraa ga, nda tasa-izoo kaŋ goo tasaa ga, a mʼa kaa dumay-ɲaa-guurey bande. 
LEV.3.11	Sargari juwalkaa mʼi dullandi sargari tonadogoo boŋ. Ŋaayan no kaŋ tee sargari tonante Abadantaa maaɲoo ga.
LEV.3.12	Nda nga sargaroo ti hancin, boraa mʼa ka koy Abadantaa jine. 
LEV.3.13	A ma nga kaboo fur almanoo boŋoo ga kʼa koosu cere kubayyan hukkumoo jine. Haruna izʼarey ma kuroo say-say sargari tonadogoo carawey bande. 
LEV.3.14	Sargaroo woo ra a ma nonguyaŋ kaa Abadantaa maaɲoo ga kʼi tee sargari tonante. Nongey ti: maanoo kaŋ ga teeley daabu, nda teeley maanoo kul, 
LEV.3.15	nda dumay-ɲaa-guuri hinkaa, nda maanoo kaŋ gʼi daabu kaŋ ga koy hala caraa ga, nda tasa-izoo kaŋ goo tasaa ga, a mʼa kaa dumay-ɲaa-guurey bande. 
LEV.3.16	Sargari juwalkaa mʼi dullandi sargari tonadogoo boŋ. Ŋaayan no kaŋ tee sargari tonante kaŋ sunnaaraa ga kan. Maanoo kul ti Abadantaa wane.
LEV.3.17	Hantum kaŋ si tun ne war zamaney se, nongu kul kaŋ ra war goro: war masi maani kul ŋaa, war masi kuri kul ŋaa.›»
LEV.4.1	Abadantaa šelaŋ Musa se ka nee: 
LEV.4.2	«Šelaŋ Izirayel izey se ka nee: ‹Nda boro firka ka zunubu tee ka yaamarey kul kaŋ ga bara affoo hoo kaŋ Abadantaa nʼa gay a masʼa tee, amma a na affoo hoo i ra, 
LEV.4.3	nda 
LEV.4.4	A ma yaaroo ka koy cere kubayyan hukkumoo miɲoo ga Abadantaa jine. A ma nga kaboo fur yaaroo boŋoo ga, a mʼa koosu Abadantaa jine. 
LEV.4.5	Sargari juwalkaa kaŋ yonandi
LEV.4.6	A ma nga kabe-izoo sufa kuroo ra kʼa say-say cee iyye Abadantaa jine, nongu henanantaa ridowoo jine. 
LEV.4.7	A ma zaa kuroo ra kʼa daŋ dugu hew kaaney diinandidogoo hilley ga kaŋ goo Abadantaa jine, cere kubayyan hukkumoo ra. A ma yaaroo kuroo cindoo kul doori 
LEV.4.8	A ma zunubu sargaroo yaaroo maanoo kul kaa, maanoo kaŋ ga teeley daabu nda maanoo kul kaŋ goo teeley ga, 
LEV.4.9	nda dumay-ɲaa-guuri hinkaa, nda maanoo kaŋ gʼi daabu kaŋ ga koy hala caraa ga, nda tasa-izoo kaŋ goo tasaa ga, a mʼa kaa dumay-ɲaa-guurey bande, 
LEV.4.10	sanda takaa kaŋ nda i gʼi kaa 
LEV.4.11	Amma yaaroo kuuroo, nda nga bašoo kul, nda boŋoo, nda kobsey, nda teeley nda ngi žiiboo, 
LEV.4.12	yaaru timmantaa, a mʼa ka koy jamaa kaloo se taray nongu henanante kaŋ ra i ga boosey mun, de a mʼa ton tuuri nuune boŋ, nongoo kaŋ ra i ga boosey mun ra a ga tonandi.›»
LEV.4.13	«‹Nda Izirayel jamaa kul firka ka zunubu tee bila nda i ma bay, de i na yaamarey kul kaŋ ga bara affoo hoo kaŋ Abadantaa nʼi gay i masʼa tee, i duu zunubu. 
LEV.4.14	Waati kaŋ zunuboo kaŋ i nʼa tee ka yaamaroo hoo bayrandi, jamaa ma yaaru kaa 
LEV.4.15	Jamaa boro beerey ma ngi kabey fur yaaroo boŋoo ga Abadantaa jine, de affoo i ra mʼa koosu jinoo ra. 
LEV.4.16	 kaŋ yonandi
LEV.4.17	A ma nga kabe-izoo sufa kuroo ra kʼa say-say cee iyye Abadantaa jine, ridowoo ga. 
LEV.4.18	A ma zaa kuroo ra kʼa daŋ sargari tonadogoo hilley ga Abadantaa jine, cere kubayyan hukkumoo ra. A ma kuroo cindoo kul doori 
LEV.4.19	A ma maanoo kul kaa kʼa dullandi sargari tonadogoo boŋ. 
LEV.4.20	A ma yaaroo tee sanda takaa kaŋ a nʼa tee zunubu sargaroo yaaroo se. Woo no a mʼa tee a se. Sargari juwalkaa ma zunubu tuusuyanoo tee i se, de i ga yaafandi. 
LEV.4.21	A ma yaaroo ka fatta ka koy jamaa kaloo se taray kʼa ton sanda takaa kaŋ nda a na ijinaa ton. Zunubu sargari no jamaa se.›»
LEV.4.22	«‹Nda boŋkoyni na zunubu tee ka firka ka yaamarey kul kaŋ ga bara affoo hoo kaŋ Abadantaa, nga Koyoo nʼa gay a masʼa tee, a duu zunubu. 
LEV.4.23	Nda a bay zunuboo ga kaŋ nga nʼa tee, a ma hancin kaa sargari, aru kaŋ ga malal sii. 
LEV.4.24	A ma nga kaboo fur hancinoo boŋoo ga, a mʼa koosu nongoo kaŋ ra i ga 
LEV.4.25	 ma nga kabe-izoo ka zaa zunubu sargaroo kuroo ra, a mʼa daŋ sargari kukurantey tonadogoo hilley ga, a ma kuroo cindoo doori sargari kukurantey tonadogoo gandahere. 
LEV.4.26	A ma maanoo kul dullandi sargari tonadogoo boŋ sanda 
LEV.4.27	«‹Nda gandaa ra, jamaa boro foo na zunubu tee ka firka ka yaamarey affoo hoo kaŋ Abadantaa nʼa gay a masʼa tee, a duu zunubu. 
LEV.4.28	Nda a bay nga zunuboo ga kaŋ nga nʼa tee, a ma hancin woy kaŋ ga malal sii kaa sargari nga zunubu kaŋ a nʼa tee se. 
LEV.4.29	A ma nga kaboo fur 
LEV.4.30	 ma nga kabe-izoo ka zaa kuroo ra, a mʼa daŋ sargari kukurantey tonadogoo hilley ga, a ma kuroo cindoo kul doori sargari tonadogoo gandahere. 
LEV.4.31	A ma maanoo kul kaa, sanda takaa kaŋ nda i ga 
LEV.4.32	Nda feeji no a kate a ma tee zunubu sargari, a ma tee woy kaŋ ga malal sii. 
LEV.4.33	A ma nga kaboo fur zunubu sargaroo almanoo boŋoo ga, a mʼa koosu kʼa tee zunubu sargari, nongoo kaŋ ra i ga sargari kukurantey almaney koosu. 
LEV.4.34	Sargari juwalkaa ma nga kabe-izoo zaa zunubu sargaroo kuroo ra, a mʼa daŋ sargari kukurantey tonadogoo hilley ga, a ma kuroo cindoo kul doori sargari tonadogoo gandahere. 
LEV.4.35	A ma maanoo kul kaa, sanda takaa kaŋ nda i ga alaafiya teendi sargaroo feejoo maanoo kaa, a mʼa dullandi sargari tonadogoo boŋ 
LEV.5.1	«‹Nda boro maa dangayan, a dii hayaa kaŋ se dangayanoo teendi wala a bay, a ga tee seede, nda a wanji kʼa har, a na zunubu tee, a ga nga layboo zaa. 
LEV.5.2	Boro kaŋ tuku haya kul kaŋ no ga kaŋ ga harram, a ma tee hooga jifa harramante, wala adabba biirante jifa harramante, wala gandako jifa harramante, ba nda a mana bay, boraa hunday žiibi, a duu zunubu. 
LEV.5.3	Wala mo boro, nda a tuku adamize žiibi ga, a ma tee žiibi dumi kul kaŋ no kaŋ ga boro žiibandi, ba nda a mana bay, nda a kaa ka bay, a duu zunubu. 
LEV.5.4	Boro kaŋ goo ma šelaŋ bila nda lakkal hala a žee, haya kul kaŋ ga no, a ma tee ihenna wala ifutu, ba nda a mana bay, nda a kaa ka bay, a duu zunubey wey affoo.
LEV.5.5	Boro kaŋ duu zunubey wey affoo, a ma hayaa har kaŋ zunuboo no a nʼa tee. 
LEV.5.6	Woo banda ga, a ma nga 
LEV.5.7	«‹Nda boro hinoo si too alman buuna kʼa sarga zunuboo kaŋ a nʼa tee se, a ma kate gubaguba hinka wala tuuzun-ize hinka Abadantaa maaɲoo ga kʼi tee tooɲe sargari, affoo ma tee 
LEV.5.8	A ma kate ey 
LEV.5.9	Sargari juwalkaa ma zaa zunubu sargaroo ciraa kuroo ra kʼa say-say sargari tonadogoo caraa ga, de kuroo cindoo ma doorandi sargari tonadogoo gandahere, zunubu sargari no. 
LEV.5.10	Ciraw hinkantoo, a mʼa tee sargari kukurante sanda takaa kaŋ nda fondaa nʼa har. Sargari juwalkaa ma zunubu tuusuyanoo tee a se nga zunuboo se kaŋ a nʼa tee, de a ga yaafandi.
LEV.5.11	Nda boraa kaŋ na zunubu tee hinoo si too gubaguba hinka wala tuuzun-ize hinka, a ma farin hamni baana kilo hinza sarga, a ma tee zunubu sargari. A masi jii doori a boŋ, a masi dugu fur a ga, zama zunubu sargari no. 
LEV.5.12	A mʼa ka koy sargari juwalkaa do, sargari juwalkaa ma nga kaboo too zanboo ra kaŋ ga tee 
LEV.5.13	Sargari juwalkaa ma zunubu tuusuyanoo tee a se nga zunuboo se kaŋ a nʼa tee ka yaamarey wey affoo hoo, de a ga yaafandi. Woo kaŋ cindi, sargari juwalkaa ma duu a sanda 
LEV.5.14	Abadantaa šelaŋ Musa se ka nee: 
LEV.5.15	«Nda boro firka ka tooɲe ka zunubu tee ka hayey kaŋ jisandi Abadantaa maaɲoo ga dii, a ma 
LEV.5.16	Tooɲaa kaŋ a nʼa tee nongu henanantaa se, a mʼa hanse ka hayaa yeeti ka affoo tonton igguu foo kul ga, a mʼa noo 
LEV.5.17	Nda boro kaŋ na zunubu tee ka yaamarey kul kaŋ ga bara affoo hoo kaŋ Abadantaa nʼa gay a masʼa tee bila nda a ma bay, a duu zunubu, de a ga nga layboo zaa. 
LEV.5.18	A ma gaaru kaŋ ga malal sii zaa alman buuney ra kaŋ nga alkadaroo kaŋ kayandi ga too, a ma tooɲe sargari tee kʼa ka koy sargari juwalkaa do. Sargari juwalkaa ma firkayanoo kaŋ boraa nʼa tee bila nda a ma bay zunubu tuusuyanoo tee a se, de a ga yaafandi. 
LEV.5.19	Tooɲe sargari no, zama boraa din, šikka sii a duu zunubu Abadantaa do.»
LEV.5.20	Abadantaa šelaŋ Musa se ka nee: 
LEV.5.21	«Boro kaŋ na zunubu tee ka Abadantaa tooɲe ka nga gandaa boro zanba jinay jisante ga, a nka nondi a se wala zaytaray jinay no, wala a nka nga gandaa boro kom, 
LEV.5.22	wala a na haya kurma kaŋ dere, de a na yankar, wala a žee taari ga, zunubey kul kaŋ adamize gʼi tee, affoo ga, 
LEV.5.23	waati kaŋ boraa na zunuboo woo tee, a tooɲe, a ma jinaa kaŋ a nʼa zay, wala a nʼa kom, wala jinay no kaŋ i nʼa talfi a ga, wala a nka haya derante kurma, a mʼa yeeti. 
LEV.5.24	Wala mo a ma tee haya kul kaŋ ga a taari ka žee. A mʼa yeeti a ga timme, ka affoo tonton igguu foo kul ga kʼa noo koyoo se, zaaroo kaŋ ra a ga tooɲe sargaroo kaa. 
LEV.5.25	Woo banda ga, a ma kate nga tooɲe sargaroo Abadantaa maaɲoo ga: a ma koy nda sargari juwalkaa se gaaru kaŋ ga malal sii kaŋ nga alkadaroo ga too, a ma tee tooɲe sargari, a mʼa kaa alman buuney ra. 
LEV.5.26	Sargari juwalkaa ma zunubu tuusuyanoo tee a se Abadantaa jine, de tooɲe dumi kul kaŋ no a nʼa tee ka duu zunubu ga yaafandi.»
LEV.6.1	Abadantaa šelaŋ Musa se ka nee: 
LEV.6.2	«Haruna nda nga izʼarey yaamar ka nee: ‹
LEV.6.3	Woo banda ga, 
LEV.6.4	Woo banda ga, a ma nga darbawey kaa ka darbay fooyaŋ daŋ. A ma boosoo ka koy jamaa kaloo se taray nongu ra kaŋ ga henan. 
LEV.6.5	Nuunaa ma cindi ka dii sargari tonadogoo boŋ, a masi buu. Sargari juwalkaa ma tuurey diinandi a boŋ, subbaahi kul ka sargari kukurantaa hanse, ka 
LEV.6.6	Nuunaa ga hima ka dii sargari tonadogoo boŋ alwaati kul, a masi buu.
LEV.6.8	A ma nga kaboo too taasu sargaroo hamni baanaa ra, nda nga jiyoo ra, nda dugoo kul kaŋ goo taasu sargaroo ga. A mʼa dullandi sargari tonadogoo boŋ. Sargari no kaŋ sunnaaraa ga kan, nga 
LEV.6.9	Woo kaŋ ga cindi a ra, Haruna nda nga izʼarey mʼa ŋaa, a ma ŋandi bila dolobiri, nongu henanante ra. I mʼa ŋaa cere kubayyan hukkumoo batumaa ra. 
LEV.6.10	A masi hinandi nda dolobiri. Ngi bagaa no kaŋ ay nʼa noo i se 
LEV.6.11	Aru kul kaŋ goo Haruna izey ra mʼa ŋaa. Yaamar kaŋ si tun no war zamaney se, sargari tonantey here Abadantaa maaɲoo ga. Haya kul kaŋ tuku a ga, ga yeetandi jere ga Irkoy se.›»
LEV.6.12	Abadantaa yee ka šelaŋ Musa se ka nee: 
LEV.6.13	«Sargaroo ne kaŋ Haruna nda nga izʼarey mʼa kaa Abadantaa maaɲoo ga hanoo kaŋ i gʼa yon
LEV.6.14	Hamnoo ma hansandi guuru boŋ nda jii. Ma kate a, a ɲaami nda jii. Ma taasu sargaroo kaa a ma tee dunbu-dunbante kaŋ sunnaaraa ga kan Abadantaa se.
LEV.6.15	Haruna izʼarey ra, 
LEV.6.16	Sargari juwalkaw taasu sargaroo kul ma tonandi hala a ma ben, a masi ŋandi.»
LEV.6.17	Abadantaa yee ka šelaŋ Musa se ka nee: 
LEV.6.18	«Šelaŋ Haruna nda nga izʼarey se ka nee: ‹
LEV.6.19	 kaŋ ga sargaroo kaa zunuboo se mʼa ŋaa, nongu henanante ra a ma ŋandi, cere kubayyan hukkumoo batumaa ra. 
LEV.6.20	Haya kul kaŋ tuku hamoo ga, ga henan. Nda kuroo ra haya say darbay ga, hayaa kaŋ ga a say mʼa ɲumandi nongu henanante ra. 
LEV.6.21	Labu kusoo kaŋ ra a hinandi ma kayrandi. Nda alhan kusu ra a hinandi, a ma žiirandi ka leelandi nda hari. 
LEV.6.22	Aru kul kaŋ goo sargari juwalkey hugey borey ra mʼa ŋaa. Haya no kaŋ ga hanse ka henan. 
LEV.6.23	Amma zunubu sargari kul kaŋ kuroo ra haya katandi cere kubayyan hukkumoo ra nongu henanantaa ra zunubu tuusuyanoo se masi ŋandi. A ma tonandi nuune ra ka tee boosu.›»
LEV.7.1	«‹
LEV.7.2	Nongoo kaŋ ra i ga 
LEV.7.3	 ma maanoo kul sarga, nda šuwalaa, nda maanoo kaŋ ga teeley daabu, 
LEV.7.4	nda dumay-ɲaa-guuri hinkaa, nda maanoo kaŋ gʼi daabu kaŋ ga koy hala caraa ga, nda tasa-izoo kaŋ goo tasaa ga, a mʼa kaa dumay-ɲaa-guurey bande. 
LEV.7.5	Sargari juwalkaa mʼi dullandi sargari tonadogoo boŋ sanda 
LEV.7.6	Aru kul kaŋ goo sargari juwalkey hugey borey ra mʼa ŋaa. Nongu henanante ra a ma ŋandi. Haya no kaŋ ga hanse ka henan. 
LEV.7.7	Takaa kaŋ ti 
LEV.7.8	Sargari juwalkaa kaŋ na boro sargari kukurantaa tee, sargari kukurantaa kaŋ a nʼa kaa kuuroo, sargari juwalkaa no ma duu a, nga wane nda a. 
LEV.7.9	 kul kaŋ ga hinandi alforon ra wala haya kul kaŋ ga hansandi pol ra wala guuru boŋ, sargari juwalkaa kaŋ gʼa tee, nga no ma duu a. 
LEV.7.10	Taasu sargari kul kaŋ loobandi nda jii wala bila jii, Haruna izʼarey, ngi no ma duu a, i kul ma sawa a ra.›»
LEV.7.11	«‹
LEV.7.12	nda boro nʼa kaa 
LEV.7.13	Nga albarka daŋyan sargaroo bande a ma furme tunanteyaŋ kaa alaafiya teendi sargaroo. 
LEV.7.14	Sargarey wey ra, dumi foo kul nongu foo ga hun Abadantaa maaɲoo ga, 
LEV.7.15	Nga albarka daŋyanoo kaŋ ti alaafiya teendi sargaroo hamoo ma ŋandi hanoo hunday kaŋ a nʼa kaa, haya kul masi cindi hala suba subbaahoo ra.
LEV.7.16	Nda boraa sargaroo manʼti kala meefur wala sargari kaŋ a gʼa kaa nda nga boŋ, nga sargaroo ma ŋandi zaaroo kaŋ a gʼa kaa, woo kaŋ ga cindi a ra ma ŋandi subaa ra. 
LEV.7.17	Woo kaŋ ga cindi sargaroo hamoo ra jirbi hinzantoo hane ma tonandi nuune ra ka tee boosu. 
LEV.7.18	Nda alaafiya teendi sargaroo hamoo ra haya ŋandi jirbi hinzantoo hane, sargaroo si taandi, boraa kaŋ nʼa kaa, a si duu nga nafaa, haya hasarante no, boro kaŋ nʼa ŋaa ga nga layboo zaa. 
LEV.7.19	Hamoo kaŋ too haya do kaŋ ga harram masi ŋandi, a ma tonandi nuune ra ka tee boosu. Hamoo hunday, boro kul kaŋ ga henan gʼa ŋaa. 
LEV.7.20	Amma boro kaŋ na alaafiya teendi sargaroo hamoo ŋaa kaŋ ti Abadantaa wane, nga žiiboo goo a ga, boraa din ga hun nga jamaa ra. 
LEV.7.21	Nda boro tuku haya kul kaŋ no ga kaŋ ga harram, adamize žiibi, wala alman harramante, wala haya wangante kul kaŋ ga harram, de a na alaafiya teendi sargaroo hamoo ŋaa kaŋ ti Abadantaa wane, boraa din ga hun nga jamaa ra.›»
LEV.7.22	Abadantaa šelaŋ Musa se ka nee: 
LEV.7.23	«Šelaŋ Izirayel izey se ka nee: ‹War masi haw, wala feeji, wala hancin kul maanoo ŋaa. 
LEV.7.24	Jifa wala adabba kaŋ hooga nʼa wii maanoo ga hin ka yantasu hanse, amma war masʼa ŋaa kul. 
LEV.7.25	Zama boro kul kaŋ na alman maanoo ŋaa kaŋ ga tee 
LEV.7.26	War masi kuri kul ŋaa, nongu kul kaŋ ra war goro, a ma tee ciraw kuri wala alman kuri. 
LEV.7.27	Boro kul kaŋ na kuri kul kaŋ no ŋaa, boraa din ga hun nga jamaa ra.›»
LEV.7.28	Abadantaa yee ka šelaŋ Musa se ka nee: 
LEV.7.29	«Šelaŋ Izirayel izey se ka nee: ‹Boro kaŋ na nga alaafiya teendi sargaroo daŋ Abadantaa jine, a ma Abadantaa bagaa kaŋ nda a ga hima kaa nga alaafiya teendi sargaroo ra. 
LEV.7.30	Nga kaboo ma kate sargari tonantey Abadantaa maaɲoo ga. A ma kate maanoo nda caraa kʼa zinji sanda 
LEV.7.31	Sargari juwalkaa ma maanoo dullandi sargari tonadogoo boŋ. Caraa, Haruna nda nga izʼarey ma duu a. 
LEV.7.32	War alaafiya teendi sargarey ra, war ma almanoo cee hennaa noo sargari juwalkaa se. 
LEV.7.33	Haruna izʼarey ra, boro kaŋ ga alaafiya teendi sargaroo kuroo nda maanoo sarga no ma duu almanoo cee hennaa sanda nga bagaa. 
LEV.7.34	Gandoo kaŋ hun sargari zinji-zinjantaa ra nda cewoo kaŋ hun sargaroo ra kaŋ i nʼa kaa, ay nʼi zaa Izirayel izey do kʼi noo sargari juwalkaa Haruna nda nga izʼarey se sanda yaamar kaŋ si tun.›»
LEV.7.35	Woo ti bagaa kaŋ Haruna nda nga izʼarey ga duu a ngi yonyanoo se sargari tonantey ra Abadantaa maaɲoo ga, za hanoo kaŋ i ga man ka ngi sargari juwalyan goyoo tee Abadantaa maaɲoo ga. 
LEV.7.36	Hayaa no kaŋ Abadantaa nʼa zaa Izirayel izey do kʼi yaamar hanoo kaŋ ra a nʼi yon. Hantum kaŋ si tun no ngi zamaney se.
LEV.7.37	Woo ti 
LEV.7.38	kaŋ Abadantaa na Musa yaamar Sinay tondi hondoo boŋ, Sinay saajoo ra hanoo kaŋ ra a na Izirayel izey yaamar i ma sargariyaŋ kaa nga maaɲoo ga.
LEV.8.1	Abadantaa šelaŋ Musa se ka nee: 
LEV.8.2	«Haruna zaa, nga nda nga izʼarey, nda darbawey, nda yonyan jiyoo, nda 
LEV.8.3	Ma alžamaa kul cee cere kubayyan hukkumoo miɲoo ga.» 
