MAT.1.1	Gyoo Defidi na Aberaham be naanabii Yesu Kristo duuluŋ man balaŋ yaa.
LUK.18.9	Yesu besewɔ gyɔ dudu kei fa balaŋ baŋ bɛɛ kɛɛ ba wose gyɔ konɔɔ nyi be gbɛɛneŋ tenɛɛ Wurubuarɛ siaman, te bɔɔ na mo walaŋ kamasɛ yɛɛ kolo ya nɛ nyiaa! 
LUK.18.10	“Baala bala baale gyuu Wurubuarɛ ɔsom deni dinaa keŋ man be kaa fane. Ŋolo yɛɛ Farasii baale e te ŋolo mɔ yɛɛ lempoolɛɛre e. 
LUK.18.11	Farasii baale ŋon korowɔ seŋ te ɔ fanewɔ kɛlɛɛ ɔ wose nyiaa, ‘Wurubuarɛ mɛɛ fa neŋ karaŋ nyi ma te yɛɛ nombiakumɛɛyɛɛre e ŋgba balaŋ akaŋ baŋ nɛ ya. Mɔɔ yɛɛ ŋgba ŋmɛɛlatena na balaŋ kumɛɛ na kafoŋtena yaa ŋgba lempoolɛɛre kei nɛ ya. 
LUK.18.12	Mɛɛ bake me nɔɔ betabola weeya nyetooro kamasɛ man, te mɛɛ kpase ma kpene kamasɛ keŋ mee nyim nɛ akpeŋ kufu na me ta mo dekpeŋ dokoloŋ fa nyaŋ Wurubuarɛ.’ 
LUK.18.13	Mɔna lempoolɛɛre ŋon dɔɔ, ŋon gyuuwɔ ka seŋ yenaŋ keŋ nyi ɔ te gyina ɔ sia kɛɛ adido gba ya te ɔ moo ɔ nyiŋmaase gyakaa ɔ konɔɔ dɔɔ waraŋase man yako nyiaa, ‘Wurubuarɛ, wii maŋ nombiakumɛɛyɛɛre kei waraŋase.’ ” 
LUK.18.14	Keŋte Yesu yakowɔ nyiaa, “Mɛɛ yako ŋon ɛ ke nyii nyi ba ke fane taŋ nɛ, lempoolɛɛre ŋon te Wurubuarɛ lɛɛwɔ do nyi ɔ gbɛɛneŋ tenɛɛ ŋon Wurubuarɛ siaman. Nawolo nyi walaŋ kamasɛ ŋon ɔ gyina ɔ wose adido na Wurubuarɛ waa yɔkɔse e, te walaŋ kamasɛ ŋon ɔ yɔkɔse ɔ wose na Wurubuarɛ waa gyina e adido.”
LUK.18.15	Wee daale balaŋ baale moo be bia kɔŋ nyi Yesu waa mo ɔ nyiŋmaa gyakaa be dɔɔ na waa hiraa wɔ. Ɔ kaseela baŋ kena mena nɛ, be ŋmanyaŋ balaŋ baŋ. 
LUK.18.16	Keŋte Yesu baake bia baŋ kɔŋ ɔ gyaŋ te ɔ yakowɔ nyiaa, “Ɛ yela bia baŋ kekɔŋ me gyaŋ, ɛ na tɔ wɔ gbɛɛ ya. Nawolo nyi Wurubuarɛ gyoori keŋ yɛɛ balaŋ baŋ bɛɛ yɔkɔse ba wose ŋgba bia kɛwɔ dinɔɔ nɛ wui. 
LUK.18.17	Ampaŋ yaa mɛɛ yako ŋon nyiaa, walaŋ kamasɛ ŋon ɔ te yɔkɔse ɔ wose do Wurubuarɛ tɛɛ ŋgba biikyaa e ya nɛ, ɔ be gyae waa gyoo Wurubuarɛ gyoori keŋ man korakora ya.”
LUK.18.18	Wee daale nɛ Gyudatena siamante ŋolo kaa bɔɔse Yesu nyiaa “De Gbeŋgyoo kpaakpaa, woŋ te maa yɛɛ na maa nyiŋ nyeedoŋ kekpaa keŋ?” 
LUK.18.19	Botɔɔ te Yesu bɔɔse e nyiaa, “Woŋ dɔɔ te n ne baake maŋ walaŋ kpaakpaa? Lee Wurubuarɛ wɔle nɛ walaŋ kamasɛ be kyaa keŋ ɔ yɛɛ walaŋ kpaakpaate e ya.” 
LUK.18.20	Ŋgba n gyeŋ Wurubuarɛ mmaraase ŋan ne yako nyi, “Na lee n baale yaa n wɛɛle wɔle ya, na ko walaŋ ya na ŋmɛɛle ya, na kara n dɔɔ nɔɔ ya. Bu n kya na n naa nɛ?” 
LUK.18.21	Keŋte balee ŋon mɔ tiranɔɔ nyiaa “Me wulaa mee di mmaraase kɛŋa pou dɔɔ leenaŋ me biatɛɛ” 
LUK.18.22	Yesu ke nyii ɔ nɔɔwoya ŋan nɛ ɔ yako e nyiaa, “Ta bese ka neŋ kolo dokoloŋ kooŋ n ke yɛɛ. Gyu ke yɔɔ nya abɔɔ ŋan pou n dana nɛ na n ka mo kɔba keŋ kpɛlɛɛ ayematena na n ke kɔŋ kaa sila maŋ. N yɛɛ mena na n ke nyiŋ abɔɔ kpaakpaa see n wose Wurubuarɛ gyaŋ adido.” 
LUK.18.23	Balee ŋon ke nyii nombia kɛŋa nɛ, takaa e nideli nawolo nyi ɔ dana abɔɔ burum. 
LUK.18.24	Keŋte Yesu gɛɛsewɔ kɛɛ e te ɔ yakowɔ nyiaa, “Gyae ke yɛɛ doŋ fa baŋ be dana kɔba nɛ nyi baa gyoo Wurubuarɛ gyoori keŋ man. 
LUK.18.25	Mɛɛ yako ŋon ɛ ke nyii nyiaa, gyae ke yɛɛ doŋ fa baŋ be dana kɔba nɛ nyi baa gyoo Wurubuarɛ gyoori keŋ man, kela nyi kurumɔɔ ka gyoo ŋarale bɔɔ man lee.”
LUK.18.26	Balaŋ baŋ ke nyii nombia kɛŋa nɛ be bɔɔse e nyiaa, “Nyi nnɛ te doo na, amɔte ne gyae la waa nyiŋ nyeekelɛɛ baa?”
LUK.18.27	Keŋte Yesu tiranɔɔ nyiaa, “Kpene keŋ deniwalaŋ be gyae waa tale yɛɛ ya nɛ, Wurubuarɛ dɔɔ waa tale yɛɛ.” 
LUK.18.28	Botɔɔ te Pita yakowɔ nyiaa, “De gbeŋgyoo, daa dɔɔ de te tina kpene kamasɛ keŋ de dana nɛ yela, te de dɔŋɛɛ de silana neŋ.” 
LUK.18.29	Keŋte Yesu yako wɔ nyiaa, “Mɛɛ yako ŋon ɛ ke nyii nyiaa, walaŋ kamasɛ ŋon ɔ be tina ɔ dekpaŋalaŋ yaa ɔ wɛɛle yaa ɔ naabia yaa ɔ kya na ɔ naa yaa ɔ bia yela lee Wurubuarɛ gyoori keŋ dɔɔ nɛ, 
LUK.18.30	waa bese nyiŋ ŋa burum kpu gyɛŋ weeya kɛŋa man, na waa bese nyiŋ nyeedoŋ kekpaa wee daale.”
LUK.18.31	Wee daale nɛ Yesu baake ɔ kaseela kufu bala baŋ lee yenaŋ te ɔ yako wɔ nyiaa, “Dee gyu Gyerusalɛm donɔɔ man baa, te kpene kamasɛ keŋ Wurubuarɛ akpeŋkpeŋgyɔɔra be ŋmarase lee maŋ Deniwalaŋ Bu ŋon wose man nɛ, gyae ke kɔŋ mena. 
LUK.18.32	Baa mo maŋ do balaŋ baŋ ba te yɛɛ Gyudatenawɔ ya nɛ nyiŋmaa man, na baa kulu maŋ na baa tee maŋ na baa tɔ nɔɔloŋ woli maŋ na baa tuku maŋ na baa ko maŋ. 
LUK.18.33	Mɔna weeya atoorote keŋ nɛ, Wurubuarɛ waa gyuusu maŋ lee yeŋ man.”
LUK.18.34	Yesu kaseela baŋ te nyii nombia kɛŋa man ya, nawolo nyi Wurubuarɛ ta lese ŋe man wola wɔ ya mena dɔɔ be te nyii ŋe man dokoloŋ man ya.
LUK.18.35	Yesu kɛɛ benaa Gyeriko donɔɔ man nɛ, na siayɛlɛɛsate ŋolo kyaa gbɛɛnaa man ɔ na solee abɔɔ. 
LUK.18.36	Ɔ ke nyii balaŋ burum baŋ kɛɛ lam nɛ, ɔ bɔɔse wɔ nyi woŋ kɔŋala? 
LUK.18.37	Keŋte balaŋ baŋ yako e nyiaa “Yesu Nasarɛte baale ŋon ne laŋa laa.” 
LUK.18.38	Botɔɔ te ɔ gyinaa ɔ nɔɔ baake nyiaa, “Yesu, Defidi ɔ naanabii! Wii me waraŋase!” 
LUK.18.39	Balaŋ baŋ be dɔŋɛɛ siaman nɛ ŋmanyaŋ e nyi waa wu ɔ nɔɔ. Mɔna nɛnɛɛ gba te ɔ desinaa fae yeesa nedoŋ nyiaa, “Defidi ɔ naanabii! Wii me waraŋase.” 
LUK.18.40	Mena dɔɔ Yesu seŋawɔ te ɔ yakowɔ nyi baa mo siayɛlɛɛsate ŋon kɔŋ ɔ gyaŋ. Ɔ ka benaa e nɛ, Yesu bɔɔse e nyiaa, 
LUK.18.41	“Woŋ te n ne gyae nyi maa yɛɛ fa neŋ?” Keŋte siayɛlɛɛsate ŋon tiranɔɔ nyiaa, “Me Gbeŋgyoo, mɛɛ gyae me sia ke gyuusu.” 
LUK.18.42	Keŋte Yesu yako e nyiaa, “N sia dee gyuusu na n kena. N ke lɛɛ maŋ di dɔɔ te n nyiŋa kawee kekyɔ.” 
LUK.18.43	Debokenaŋ man te ɔ sia gyuusuwɔ, te ɔ naawɔ te ɔ sila Yesu na ɔ na lese Wurubuarɛ yele. Balaŋ dikpii keŋ pou kena nɛ, baŋ mɔ lese Wurubuarɛ yele.
LUK.19.1	Yesu ke gyu ka gyoo Gyeriko donɔɔ man ɔ ne lam nɛ, 
LUK.19.2	na balee ŋolo kyaa botɔɔ keŋ ɔ yele yɛna Sakio. Ɔ yɛɛ lempoolɛɛra kegyia e te ɔ dana kɔba mɔ nideli. 
LUK.19.3	Sakio kei gyaewɔ nyi waa naa Yesu mɔna ɔ yɛɛ walaŋ duguŋte e dɔɔ ɔ te tale naa e ya, nawolo nyi balaŋ baŋ boe. 
LUK.19.4	Mena dɔɔ ɔ kyaŋa gbɛɛ gyu siaman ka gyeŋ daŋ daale, na waa nyiŋ naa e nawolo nyi botɔɔ te Yesu waa kaa mo. 
LUK.19.5	Yesu kelii daŋ keŋ tɛɛ nɛ ɔ gyinaa ɔ sia kɛɛ adido te ɔ naa Sakio te ɔ baake e nyiaa, “Sakio tisi kɔŋ bileŋ, nawolo nyi gyɛŋ n dɛɛ te maa soo.” 
LUK.19.6	Mena dɔɔ Sakio mɔ tisiwɔ bileŋ kɔŋ te ɔ lɛɛ Yesu gyoŋ man. 
LUK.19.7	Balaŋ baŋ pou bɔɔ naa nɛ fiasɛɛ bɛɛ ŋorokotee nyi, “Balee kei ne gyu ɔ kaa soo nombiakumɛɛyɛɛre kei.” 
LUK.19.8	Be ke gyu ka gyoo Sakio dɛɛ nɛ, ɔ korowɔ kaa seŋ balaŋ baŋ siaman te ɔ yako Yesu nyiaa, “De Gbeŋgyoo kɛɛ, maa kpase ma abɔɔ ŋan pou me dana nɛ yaale fa ayematena. Te akpaa me te sisii ŋolo na maa tɔ e betabonaara kpu” 
LUK.19.9	Keŋte Yesu yako Sakio nyiaa, “Gyɛŋ Wurubuarɛ te lɛɛ ɛmɛɛ na n dekpaŋalaŋmantena pou nyee, nawolo nyi nyaŋ mɔ n yɛɛ Aberaham ɔ naanabii e. 
LUK.19.10	Nawolo nyi maŋ Deniwalaŋ Bu kɔŋae me kaa kɛo na maa lɛɛ baŋ bɔɔ yoo nɛ nyee.”
LUK.19.11	Balaŋ baŋ kee tei mena nombia kɛŋa nɛ, Yesu besewɔ gyɔ dudu fa wɔ nawolo nyi bɛɛ benaa Gyerusalɛm donɔɔ man, na balaŋ gyeŋ nyi Wurubuarɛ gyoori keŋ gyae ke bɛɛ lee debokenaŋ man. 
LUK.19.12	Mena dɔɔ Yesu yakowɔ nyiaa, “Balee ŋolo kyaawɔ keŋ ɔ yɛɛ gyooro bu e, te ɔ korowɔ gyu tɛɛle daale dɔɔ lemlem ɔ kaa di gyoori na waa bese kɔŋ. 
LUK.19.13	Debaŋ keŋ ɔ ne gyae waa gyu nɛ ɔ baake ɔ tewulɛɛ kufu baale te ɔ faa wɔ kɔba kyɛɛkyɛɛ te ɔ yako wɔ nyiaa, ‘Ɛ mo kɔba kei besena ɛ wose kelii debaŋ keŋ maa bese kɔŋ.’ 
LUK.19.14	Mɔna ɔ dɛɛtena baŋ bɛɛ gyae ɔ nombia ya, mena dɔɔ be kpila balaŋ gyu keyako donɔɔ keŋ man ɔ ne gyu nɛ kegyiise nyiaa, ‘De bɛɛ gyae balee kei kaa bese de gyoo ya.’ 
LUK.19.15	Mɔna kegyiise baŋ see balee ŋon gyoo te ɔ besewɔ kɔŋ ɔ dɛɛ. Ɔ ka bese kɔŋ nɛ ɔ kpilawɔ baake ɔ tewulɛɛ baŋ ɔ be fa wɔ kɔba nɛ nyi baa kɔŋ, na waa kɛɛ kpene keŋ bɔɔ nyim gyakaa be kɔbase ŋan dɔɔ. 
LUK.19.16	Ɔ tobaale gyaŋgbate ŋon kɔŋawɔ kaa yako e nyiaa, ‘Me gbeŋgyoo, kɔba keŋ n ba mo fa maŋ nɛ ta lola kufu kpu na bene keŋ.’ 
LUK.19.17	Keŋte ɔ gbeŋgyoo ŋon yako e nyiaa, ‘Nyaŋ na keyɛɛ, n yɛɛ tobaale kpaakpaate e! Mena keŋ n be di anokoare abɔɔ peperee kɛŋa man dɔɔ nɛ, maa yela n ke kɛɛ donɔɔse kufu dɔɔ fa maŋ.’ 
LUK.19.18	Ɔ tobaale balate ŋon mɔ kɔŋawɔ kaa yako e nyiaa, ‘Me gbeŋgyoo, n kɔba keŋ n ba mo fa maŋ nɛ ta lola anoŋ kpu na bene keŋ.’ ” 
LUK.19.19	Botɔɔ te ɔ yako e nyiaa, “Nyaŋ mɔ n ke kɛɛ donɔɔse anoŋ dɔɔ fa maŋ.” 
LUK.19.20	Keŋte ɔ tobaale ŋolo mɔ kɔŋawɔ kaa yako e nyiaa, “Me gbeŋgyoo, n kɔba keŋ n ba mo fa maŋ nɛ yaa, ma moo ke kpaŋ na kakyeŋgbelaa ka weese. 
LUK.19.21	Nawolo nyi na mee yee neŋ nyi n nombia dana doŋ. N na mo kpene keŋ te yɛɛ n wui ya, te n ne kɔ abɔɔ ŋan n te duu ya nɛ mɔ.” 
LUK.19.22	Keŋte ɔ gbeŋgyoo ŋon yako e nyiaa, “N yɛɛ tobaale kum e, nyaŋ gbagba n nɔɔwoya te maa mo bu neŋ fɔɔ. N gyeŋ nyi me nombia dana doŋ te mɛɛ mo kpene keŋ te yɛɛ me wui ya, te mɛɛ kɔ abɔɔ ŋan me te duu ya na, 
LUK.19.23	woŋ dɔɔ te n ta mo me kɔba keŋ ka do kɔba dɛɛsee man na me kɔŋ na, me kaa lɛɛ keŋ na ka loŋ keŋ ya?” 
LUK.19.24	Botɔɔ te be gbeŋgyoo ŋon yako baŋ ba seŋɛɛ botɔɔ nɛ nyiaa, “Ɛ lɛo kɔba keŋ lee ɔ gyaŋ na ɛ ka mo fa walaŋ ŋon ɔ kɔba ba lola kufu kpu nɛ.”
LUK.19.25	Keŋte ɔ tewulɛɛ baŋ yako e nyiaa, “De gbeŋgyoo, ŋgba ŋon wulaa ɔ dana kɔba burum?”
LUK.19.26	Botɔɔ te be gbeŋgyoo ŋon tiranɔɔ fa wɔ nyiaa, “Mɛɛ yako ŋon ɛ ke nyii nyi walaŋ kamasɛ ŋon ɔ wulaa ɔ dana abɔɔ burum nɛ baa mo ŋaale kpu e bela. Te walaŋ kamasɛ ŋon ɔ betaŋ ya nɛ, kyomii keŋ gba ɔ dana koraŋ nɛ baa lɛo ke lee ɔ nyiŋmaa man. 
LUK.19.27	Te me kɔlala baŋ ba te gyae nyi maa di gyoori be dɔɔ ya nɛ, ɛ mo wɔ kɔŋ na ɛ kaa koe wɔ me siaman kɛbo.”
LUK.19.28	Yesu keyako nombia kɛŋa taŋ nɛ, ɔ tɛɛwɔ balaŋ baŋ siaman te ba moo ba nyee baŋ bee gyu Gyerusalɛm donɔɔ man. 
LUK.19.29	Ɔ kɛɛ benaa Bɛtifagi na Bɛtani donɔɔse ŋan kyaa oliifi bula keŋ teŋa man nɛ, ɔ kpila ɔ kaseela baŋ man balaŋ bala 
LUK.19.30	nyiaa, “Ɛ gyu akuraa keŋ kyaa ɛ siaman nɛ man. Ɛ betaa ɛ na gyoo ke man pɛ nɛ, ɛ kena afurum bu ŋolo kpaŋɛɛ keŋ walaŋ na walaŋ te kyaa ta ɔ dɔɔ see ya. Ɛ booli e na ɛ ka mo e kɔna maŋ kɛbo. 
LUK.19.31	Akpaa ŋolo de bɔɔse ŋon nyi, ‘Weera dɔɔ te ɛ ne booli e?’ na ‘Ɛ yako e nyi de Gbeŋgyoo Yesu ne gyae na e.’ ” 
LUK.19.32	Keŋte baŋ Yesu be kpili nɛ gyuuwɔ kena afurum bu ŋon kpaŋɛɛ ŋgba mena keŋ ɔ be yako wɔ nɛ. 
LUK.19.33	Be kee booli afurum bu ŋon nɛ ɔ gbeŋgyoo bɔɔse wɔ nyiaa, “Weera dɔɔ te ɛ ne booli ma afurum bu ŋon?” 
LUK.19.34	Keŋte be tiranɔɔ fa e nyiaa, “De Gbeŋgyoo Yesu ne gyae na e.”
LUK.19.35	Te ba moo afurum bu ŋon kɔna Yesu. Botɔɔ te ɔ kaseela baŋ moo be kanyaŋse gyakaa afurum bu ŋon dɔɔ te be gate Yesu gyakaa ɔ dɔɔ. 
LUK.19.36	Yesu kekyaa ɔ dɔɔ ɔ ne gyuu nɛ, baale fɛlɛɛ be kanyaŋse lɔ gbɛɛnaa man fa e.
LUK.19.37	Yesu kɛɛ gyoo Gyerusalɛm donɔɔ man, te ɔ ka benaa na botɔɔ keŋ gbɛɛ keŋ be tisi lee oliifi bula keŋ nyee man ne kɔŋ ka teŋa man nɛ, ɔ silala burum baŋ pou sia gyeewɔ te be fiasɛɛ bɛɛ fae yeesa lese Wurubuarɛ yele gyoŋ man lee nombia dinaana na gyakoloŋ nombia ŋan bɔɔ naa nɛ dɔɔ. 
LUK.19.38	Be fae yeesa yako nyiaa,
LUK.19.38	“Ɛ fa dɛɛ lese gyoo ŋon ɔ ne kɔŋ
LUK.19.38	de Gbeŋgyoo Wurubuarɛ yele man nɛ yele.
LUK.19.38	Wosefɛɛreŋ dɛɛ kyaa adido,
LUK.19.38	te Wurubuarɛ ŋon ɔ kyaa adido mɔ nɛ
LUK.19.38	gyoorobiiri dɛɛ kaboena e.”
LUK.19.39	Na Farasiitena baale kpuɛ na balaŋ baŋ be silana e nɛ te be yako Yesu nyiaa, “De Gbeŋgyoo, tɔ n silala baŋ nyi baa wu be nɔɔ.” 
LUK.19.40	Keŋte Yesu yako wɔ nyiaa, “Akpaa balaŋ kɛwɔ de wu be nɔɔ koraŋ nɛ, boya gyae ke fae yeesa lese Wurubuarɛ yele.”
LUK.19.41	Yesu ka benaa Gyerusalɛm donɔɔ te ɔ kena ke nɛ, ɔ wiiwɔ fa ke, 
LUK.19.42	keŋte ɔ yakowɔ nyiaa, “Nafɔ akpaa ɛmɛɛ Gyerusalɛmtena deŋ gyeŋ kpene keŋ gyae ke fa ŋon wosefɛɛreŋ gyɛŋ wee kei nɛ, nafɔ na dei. Mɔna ɛ ba gyeŋ ke ya! 
LUK.19.43	Te weeya ŋaale gyae kekɔŋ keŋ ɛ kɔlala baa kilisi ŋon, na baa tɔ ŋon do lee yenaŋ kamasɛ. 
LUK.19.44	Na baa wɔlɛɛ ɛmɛɛ na ɛ donɔɔ keŋ pou keŋ nyi boe na boe be gyae ke gyakaa ke dɔɔ dɔɔ ya, nawolo nyi debaŋ keŋ Wurubuarɛ be kɔŋ nyi ɔ kaa lɛɛ ŋon nɛ ɛ bɛɛ e bo.”
LUK.19.45	Keŋte Yesu gyuuwɔ ka gyoo Wurubuarɛ ɔsom deni dinaa keŋ dekpaŋalaŋ man. Na balaŋ ne yɔɔ abɔɔ botɔɔ te ɔ gegi wɔ, 
LUK.19.46	te ɔ yako wɔ nyiaa, “Wurubuarɛ nombia aŋmaraseŋ see ne yako nyi Wurubuarɛ kpa,
LUK.19.46	‘Me deni dinaa keŋ gyae ke yɛɛ botɔɔ keŋ baa fane.
LUK.19.46	Mɔna ɛmɛɛ ta besena ke yɛɛ ŋmɛɛlatena dɛɛgyaŋee!’ ”
LUK.19.47	Wee na wee na Yesu ne kyaa wola balaŋ Wurubuarɛ nombia Wurubuarɛ ɔsom deni dinaa keŋ man. Te saese kegyiise na Gyudatena mmaraa wolala na donɔɔ kegyiise baŋ gyae gbɛɛ nyi baa ko e. 
LUK.19.48	Mɔna be ta gyeŋ gbɛɛ keŋ baa mo kyaŋ e ya, nawolo nyi na balaŋ baŋ pou ne tei ɔ nombia ŋan ɔ na wolo nɛ nideli keŋ bɔɔ ne gyae ŋa ke laŋ wɔ ya.
LUK.20.1	Wee daale Yesu ke kyaa Wurubuarɛ ɔsom deni dinaa keŋ man ɔ na wola balaŋ nombia te ɔ ne kolosi Wurubuarɛ nombia kpaakpaa ŋan fa wɔ nɛ, saese kegyiise na Gyudatena mmaraa wolala na donɔɔ kegyiise kɔŋawɔ ɔ gyaŋ 
LUK.20.2	kaa bɔɔse e nyiaa, “Yako daa, doŋ woŋti yaa n dana n ne yɛɛ mena abɔɔ kɛŋa pou? Amɔte faa na neŋ mena doŋ kenaŋ?” 
LUK.20.3	Botɔɔ te Yesu tiranɔɔ fa wɔ nyiaa, “Maŋ mɔ ne gyae maa bɔɔse ŋon nombii dokoloŋ. 
LUK.20.4	Gyɔn Wurubuarɛ loŋkesɔ keŋ ɔ be sɔ balaŋ nɛ, lee Wurubuarɛ gyaŋ yaa balaŋ gyaŋ?” 
LUK.20.5	Botɔɔ te be lɛɛ aŋmaareŋ na dɔŋa nyiaa, “Woŋ te dɛɛ yako? Akpaa de yako nyi ka lee Wurubuarɛ gyaŋ na, waa bɔɔse daa nyi woŋ dɔɔ te da te lɛɛ Gyɔn nombia ŋan di ya? 
LUK.20.6	Te akpaa de yako nyi ka lee balaŋ gyaŋ na, balaŋ dikpii kɛwɔ pou baa fuŋii daa boya. Nawolo nyi bɛɛ lɛɛ di nideli nyi Gyɔn yɛɛ Wurubuarɛ dekpeŋkpeŋgyɔɔre e.” 
LUK.20.7	Mena dɔɔ be tiranɔɔ fa Yesu nyiaa “Dɔɔ gyeŋ botɔɔ keŋ kɔɔ lee ya.” 
LUK.20.8	Keŋte Yesu mɔ yako wɔ nyiaa, “Akpaa mena na, maŋ mɔ ba wola ŋon me doŋ keŋ da lee ya.”
LUK.20.9	Botɔɔ te Yesu gyɔɔ dudu kei fa balaŋ baŋ nyiaa, “Wɔɔfarale ŋolo fara wɔɔ te ɔ duu daasebia ŋaale ŋan ŋe yɛɛ ŋgba akutuse te bɛɛ baake ŋa nyi gerepo nɛ, te ɔ moo ŋa do paasetena baale nyiŋmaa man nyi baa kɛɛ ŋe dɔɔ, te ɔ korowɔ gyu tɛɛle wɔle daale man lemlem ke kyaa botɔɔ kyare. 
LUK.20.10	Debaŋ kelii nyi bɛɛ kɔ daasebia ŋan nɛ, ɔ kpila ɔ tobaale ŋolo gyu paasetena baŋ gyaŋ nyi baa fa e ɔ wui nɔɔ. Botɔɔ te paasetena baŋ tuku tobaale ŋon, te be tina e yela ɔ laŋawɔ nawɔɔ kufu nyiŋmaase kufu. 
LUK.20.11	Wɔɔte ŋon besewɔ kpila tobaale wɔle bela, mɔna be tuku ŋon mɔ do e desɛŋ te be yela e ɔ laŋawɔ nawɔɔ kufu nyiŋmaase kufu. 
LUK.20.12	Botɔɔ te ɔ besewɔ kpila tobaale batoorote, mɔna be tuku ŋon mɔ do e gyamɛɛ te be gegi e lee wɔɔ keŋ man.”
LUK.20.13	Keŋte wɔɔte ŋon yakowɔ nyiaa, “Woŋ te maa yɛɛ? Maa kpila maŋ gbagba me tɔɔman lolo bu, mberem ŋon na baa bu e.”
LUK.20.14	Mɔna paasetena baŋ kena bu ŋon nɛ be yako dɔŋa nyiaa, “Kei yɛna bu ŋon waa di ɔ kya abɔɔ ŋan. Ɛ yela dɛɛ ko e na wa abɔɔ ŋan ka bese de wui.” 
LUK.20.15	Mena dɔɔ be wɔŋee e lee wɔɔ keŋ man ka ko.
LUK.20.15	Keŋte Yesu bɔɔse wɔ nyiaa, “Woŋ te ɛ ne lɛɛdi nyi wɔɔte ŋon waa yɛɛ paasetena baŋ?” 
LUK.20.16	“Waa kɔŋ na ɔ kaa ko paasetena benaŋ, na waa mo wɔɔ keŋ do balaŋ wɔlɛɛ nyiŋmaa man.”
LUK.20.16	Debaŋ keŋ balaŋ baŋ be nyii nombia kɛŋa nɛ be yakowɔ nyiaa, “Wurubuarɛ na yeli kekɔŋ mena ya.” 
LUK.20.17	Keŋte Yesu kɛɛ wɔ te ɔ bɔɔse wɔ nyiaa,
LUK.20.17	“Nyi akpaa mena na,
LUK.20.17	sena te ɛ ne nyii Wurubuarɛ nombia kɛŋa asɛɛ?
LUK.20.17	‘Boe keŋ deni maara baŋ be bɛɛ nɛ,
LUK.20.17	ta bese mokɔɔ kasee boe keŋ ne yeli deni keŋ ne yɛɛ doŋ.’
LUK.20.18	Walaŋ kamasɛ ŋon ɔ yale boe kei dɔɔ na,
LUK.20.18	ke gyae ke keretii e kpetekpetekpete.
LUK.20.18	Te nyaŋ walaŋ kamasɛ ŋon mɔ boe keŋ de yale n dɔɔ na,
LUK.20.18	nyaŋ ke pɛtɛɛ.”
LUK.20.19	Botɔɔ na saese kegyiise na Gyudatena mmaraa wolala baŋ gyae gbɛɛ baa kyaŋ Yesu debokenaŋ man. Nawolo nyi ba gyeŋ nyi baŋ yaa ɔ gyɔɔ dudu keŋ, mɔna na bee yee balaŋ baŋ. 
LUK.20.20	Keŋ dɔɔ ba moo be sia gyakaa ɔ dɔɔ. Botɔɔ te kegyiise baŋ gyae kɔba fa balaŋ te be kpila wɔ nyi baa yɛɛ ba wose ŋgba be yɛɛ balaŋ kpaakpaawɔ nɛ na baa deke Yesu, na be kaa teese ɔ nɔɔman na baa nyiŋ lese e fa gyoo dinaa ŋon ɔ ne di be dɔɔ nɛ. 
LUK.20.21	Keŋte balaŋ baŋ gyuuwɔ ke bɔɔse e nyiaa, “De Gbeŋgyoo, da gyeŋ nyi kpene keŋ n ne yako te n na wolo mɔ nɛ yɛɛ ampaŋ. Da gyeŋ nyi n bɛɛ kɛɛ walaŋ siaman ya, mɔna n na wola balaŋ Wurubuarɛ gbɛɛneŋ kpaakpaa ŋan bo na anokoare. 
LUK.20.22	Dei nyi dɛɛ tɔ lempoo fa Romantena gyoo dinaa ŋon yaa de na tɔɔ ya?” 
LUK.20.23	Yesu kena ba adao ŋan bee dii nɛ ɔ yako wɔ nyiaa, 
LUK.20.24	“Ɛ mo kɔbabii keŋ daale kɔŋ maa kɛɛ. Amɔte nyee na ɔ yele gyakaa la ke dɔɔ?” Botɔɔ te be tiranɔɔ nyi “Romantena gyoo dinaa ŋon.” 
LUK.20.25	Mena dɔɔ Yesu yako wɔ nyiaa, “Mena na kpene keŋ yɛɛ Gyoo dinaa ŋon wui na ɛ mo fa e, te kpene keŋ yɛɛ Wurubuarɛ mɔ wui na ɛ mo fa e.” 
LUK.20.26	Kpene keŋ ɔ be yako nɛ dɔɔ ba te tale mo ɔ nɔɔwoya ŋan kyaŋ e balaŋ baŋ siaman ya. Mena dɔɔ ɔ nɔɔwoya yɛɛ wɔ gyakoloŋ te be wuu be nɔɔse.
LUK.20.27	Keŋte Sadukiitena baŋ bɛɛ yako nyi yeŋ wɔle kefoŋ be kyaa ya nɛ man baale kɔŋawɔ Yesu gyaŋ kaa bɔɔse e nyiaa, 
LUK.20.28	“De Gbeŋgyoo, de naana Mosesi ŋmarase mmaraa kei fa daa nyi, ‘Akpaa walaŋ ŋolo ɔ kegyia yaa ɔ naabu da yem tina ɔ wɛɛle yela te be ta lola bia ya na, kaboena nyi ŋon ɔ kyaa nɛ waa mo lialo ŋon yala na baa lola bia yere ŋon yele man.’ 
LUK.20.29	Kɔŋawɔ nyi baala nyetooro baale kyaawɔ te be kegyia ŋon yala alo te ɔ yeŋawɔ keŋ ɔ ta lola bia ya. 
LUK.20.30	Botɔɔ te balate ŋon mɔ yala alo ŋon, 
