MAT.1.1	Yeezu, a Mɛzaaya
MRK.12.42	Pɔgekɔ-nandaana kaŋ meŋ da wa eŋ la warbie ayi naŋ lantaa e kobo. 
MRK.12.43	Lɛ la ka a Yeezu da boɔle O potuuribo, a yeli ko ba, “Yelmeŋɛ ka N yele korɔ yɛ, a pɔgekɔ-nandaana ŋa eŋ gaŋ la banaŋ zaa naŋ eŋnɛ a ba libie. 
MRK.12.44	Bonso, ba zaa bondaanoŋ poɔ la ka ba da tere, kyɛ a pɔgekoɔre ŋa ne o nandaanoŋ zaa, tere la o bondiraa zaa ane bonzaa o naŋ da taa.”
MRK.13.1	A Yeezu naŋ da wa yi a Naaŋmen die poɔ, a O potuuro kaŋ da yeli ko O la, “Wulwullo, nyɛ a kubo naŋ waa bɛrɛ seŋ lɛ, ka a yie meŋ waa kponni seŋ!” 
MRK.13.2	Lɛ la ka a Yeezu soore o, “Fo nyɛ la a yibɛrɛ ama? Ba koŋ bare kusi-yenaa zaa ka o dɔgle o tɔ zu; a zaa pabo ka ba na daa lɔɔ.”
MRK.13.3	A Yeezu naŋ da wa zeŋ a Oliva Taŋzu a tori a Naaŋmen die la ka Piita, Gyimisi, Gyɔɔn ane Anduru yoŋ da wa O zie a wa soore O: 
MRK.13.4	“Yeli ko te, boŋ saŋ la ka a ama na e, ane boŋ yelmannaa la ka te na nyɛ kyɛ baŋ ka a ama zaa waana la ka a e?” 
MRK.13.5	Lɛ la ka a Yeezu piili yele korɔ ba, “Yɛ gu yɛmenne velaa ka neɛzaa ta wa bɛlle yɛ. 
MRK.13.6	Noba yaga na wa la N yuori eŋɛ a wa yele, ‘Maa la O!’ Kyɛ bɛlle noba yaga ka ba bɔre. 
MRK.13.7	Ka yɛnee wa wono zɔɔre yɛlɛ ane zɔɔre yɛlɛ ba naŋ hunno yele, yɛ ta wa vɛŋ ka dabeɛ̃ kpɛ yɛ. A ferɛɛ la ka a ama zaa e, kyɛ ka a teŋɛ naŋ koŋ baare sɛre. 
MRK.13.8	Bonso, paaloŋ na iri zɔɔrɔ ne la o tɔ paaloŋ, ka naaloŋ ŋa noba iri zɔɔrɔ ne naaloŋ kaŋ noba. A teŋɛ na gbigri la ziiri yaga, kyɛ ka kɔŋkpoŋ le. Kyɛ a ama zaa na waa seŋ ŋa pɔg-poɔ naŋ ta dɔgebo ka a o poɔ piili beɛrɛ.”
MRK.13.9	“Kyɛ yɛnee, yɛ gu yɛmenne velaa, bonso, ba na de yɛ la ko a sɛrediribe; ba na ŋmɛ yɛ la a puoruuderi pooreŋ; kyɛ taa yɛ gaa ne a gɔbena ane namine niŋesogɔ N zuiŋ, ka a e danseɛ ba zie. 
MRK.13.10	Kyɛ a ferɛɛ la ka ba daŋ moɔle a Ŋmen-yelnoore a tenne zaa poore. 
MRK.13.11	Ka ba naŋ wa taa yɛ gaa ne sɛrɛɛdiibu zie, yɛ ta vɛŋ ka a ferɛ yɛ ne bonna yɛ naŋ na yeli; kyɛ yɛ yeli yɛlɛ na zaa ba naŋ na ko yɛ a saŋ na poɔ, bonso, a ba e ka yɛnee la na yele a yɛlɛ, kyɛ a Vooroŋ Soŋ la. 
MRK.13.12	Yɔɔ na maŋ iri la o yɔɔ tere ka ba ko, ka saa iri o bie tere ka ba ko. Biiri na kyiiri la ba dɔgreba a vɛŋ ka ba ko ba. 
MRK.13.13	A noba zaa na kyiiri yɛ la N zuiŋ. Kyɛ soba na zaa naŋ na di kannyiri te ta a baaroo saŋ, na nyɛ la faabo.”
MRK.13.14	“Kyɛ ka yɛnee wa nyɛ a kyiiruŋ kpoŋ kpoŋ ka o be a Naaŋmen die zisoŋ poɔ kyɛ ka a ba seŋ ka o bebe, (vɛŋ ka a neɛ naŋ sɔrɔ a gane baŋ a tɛgɛ), a ferɛɛ la ka banaŋ naŋ be Gyudiya paaloŋ zo kpɛ a tanne poore. 
MRK.13.15	Soba na zaa naŋ be peɛzu ta la leɛ sigi bee a kpɛ die poɔ ka o de bonzaa yi ne. 
MRK.13.16	Soba na zaa naŋ be weɛ poɔ ta wa leɛ kulo ka o te de kparoo. 
MRK.13.17	Pɔgpoore ane banaŋ naŋ taa biiri ka ba ɛnnɛ a bebie na poɔ yuori la we! 
MRK.13.18	Yɛ puoro ka a ta wa erɛ a sakyɔre saŋ. 
MRK.13.19	Bonso, a beri na poɔ dɔgɛɛ ba naŋ daŋ ba nyɛ o tɔ a yi a tendaa piiluu Naaŋmen naŋ da iri a wa ta zenɛ, bee a daŋ na la nyɛ a dɔgɛɛ ŋa tɔ, na wa la. 
MRK.13.20	Ka a Daana da ba ŋmaa a bebie ama kyɛlɛɛ bare, nensaala zaa da kontoɔ̃ nyɛ faabo. Kyɛ a noba na O naŋ kaa-iri zuiŋ, O ŋmaa la a bebie ama mine bare. 
MRK.13.21	Kyɛ ka neɛzaa wa yeli ko yɛ a saŋ na poɔ, ‘Nyɛ! A Mɛzaaya
MRK.13.22	Kaŋwaa mɛzaaya mine ane kaŋwaa Ŋmen-yelmanneba na wa la, a erɛ yelwulii kyɛ tonɔ toŋkpeɛne ka ba bɛlle noba ka ba tuli, ka ba naŋ na toɔ̃, ba na e la ka a neŋkaa-irri meŋ gba tuli. 
MRK.13.23	Kyɛ yɛ gu yɛmenne velaa, N daŋ yeli la a yɛlɛ zaa ko yɛ.”
MRK.13.24	“Kyɛ a beri na poɔ, a dɔgɛɛ ŋa puoriŋ,
MRK.13.24	a ŋmenaa na ligi la,
MRK.13.24	ka a kyuu meŋ veɛloŋ koŋ kyaane,
MRK.13.25	ka a ŋmarbie na yire sazu pɔrɔ lere,
MRK.13.25	kyɛ ka ba na zɛŋ a sazu boŋkpeɛne zaa.
MRK.13.26	Ba pãã na nyɛ la ‘a Nensaala Bie ka O yi a sagama poɔ waana’ ne kpeɛ̃õ ane puubu. 
MRK.13.27	O pãã na toŋ la O malekere a teŋɛzu lamboe anaare zaa ane a teŋɛ pare te tɔ a sazu baaroo zie, ka ba te boɔle O neŋkaa-irri zaa lantaa.”
MRK.13.28	“Yɛ zanne yɛŋ yi a kaŋkanteɛ sekpɔgre poɔ: ka o ulli-pɔrɔ wa te bɔrɔ vaare yɛ maŋ baŋ ka sẽɛ kpeɛrɛ la. 
MRK.13.29	A lɛ ne o zu, ka yɛnee wa nyɛ a yɛlɛ ama ka a erɛ yɛ baŋ ka a Nensaala Bie waabo saŋ peɛlɛɛ la, a gba be a dendɔreŋ. 
MRK.13.30	Yelmeŋɛ zaa ka N yele korɔ yɛ, a zenɛ noba boorɔ ŋa koŋ kpi baare sɛre kyɛ ka a yɛlɛ ama zaa e. 
MRK.13.31	Sazu ne teŋɛ na wa tɔle gaa la, kyɛ a N yelbie koŋ baŋ tɔle gaa togitogi.”
MRK.13.32	“Kyɛ neɛzaa ba baŋ a bebiri bee a saŋ a Nensaala Bie naŋ na wa. A tenvelaa
MRK.13.33	Yɛ gu yɛmenne velaa, a ta gbire; bonso, yɛ ba baŋ a wagre na a saŋ naŋ na ta. 
MRK.13.34	A waa seŋ ŋa dɔɔ naŋ yi ka o tu sori, a pãã de o yiri zu kaabo eŋ o gbaŋgbaare nuuriŋ, ka kanzaa taa o toma. Kyɛ ka o yeli ko a dendɔ-guuro, guuro a dendɔre velaa. 
MRK.13.35	Azuiŋ, yɛ ta wa gbire, bonso, yɛ ba baŋ daare na a yidandɔɔ naŋ na wa, ka zimaane la bee, ka tensogpozentaa la bee, ka nɔdaa kommo saŋ la bee, ka zinyaane la, 
MRK.13.36	ka lɛ naane o na uri wa nyɛ yɛ la ka yɛ gbire. 
MRK.13.37	Kyɛ a yɛlɛ N naŋ yeli ko yɛ, a ne a zu la ka N yeli ko ba zaa: Yɛ ta gbire.”
MRK.14.1	A da kyɛre la bebie ayi kyɛ ka a Ista tigri ane a Boroboro Dambo tigri na ta. A Naaŋmen bagmaalkare ane a Naaŋmen bege wulwulibo da boɔrɔ la sori ka ba nyɔge a Yeezu ko; 
MRK.14.2	bonso, ba da yelee la, “A ba seŋ ka a e a lɛ a tigri bebie ama poɔ, ka lɛ naane dɔɔne na dɔ̃ɔ̃ la a noba poɔ.”
MRK.14.3	A Yeezu naŋ da naŋ be a Saamon naŋ e kɔŋkɔŋ yiri a Bɛtani teŋɛ poɔ, a da zeŋ dire diibu la ka pɔge kaŋ da taa turaali mine daaroŋ naŋ ba wono wa ne, a wa nyɔge a kããkolee ŋmɛre kyɛ de a kãã pore waare a Yeezu zu. 
MRK.14.4	Kyɛ a noba mine naŋ da be a be da yele ne la suuri korɔ taa, “A saamo ŋa tɛgɛ la boŋ? 
MRK.14.5	Ba da na toɔ̃ koɔre la a turaali ŋa ka a yi bebie kɔɔraata san-yɔɔ, ka ba de a libie ko nembaalba.” Lɛ la ka ba da nyare a pɔge zu. 
MRK.14.6	Kyɛ ka a Yeezu da yeli, “Yɛ bare a pɔge lɛ; bonso ka yɛ dɔɔnɔ o? O toŋ la tonsoŋ ko ma. 
MRK.14.7	Bonso, nembaalba na maŋ be la yɛ zie tegitegilɛ, ka yɛ na toɔ̃ soŋ ba saŋ na zaa yɛ naŋ boɔrɔ; kyɛ maa koŋ be yɛ zie tegitegilɛ. 
MRK.14.8	A pɔge ŋa e la yeli o naŋ na toɔ̃ e; o daŋ sɔ la N eŋɛ a kããsoŋ a gu ne o ũũmu. 
MRK.14.9	Yelmeŋɛ ka N yele korɔ yɛ, zie na zaa ba naŋ na manne a Ŋmen-yelnoore ŋa a tendaa zaa poɔ, ba na yeli la bonna a pɔge ŋa naŋ e, ka ba leɛ-teɛre o yɛlɛ.”
MRK.14.10	Lɛ la ka Gyudase Ezekarɔte, naŋ da waa a potuuribo pie ne bayi na kaŋ, da gaa a Naaŋmen bagmaalkare zie ka ba te bɔ lɛ o naŋ na e a iri a Yeezu ko ba. 
MRK.14.11	Ba naŋ da woŋ a lɛ, ba poore da pɛlɛɛ la yaga, ka ba eŋ noɔre ka ba na ko o la libie. Ka a Gyudase pãã da piili boɔrɔ vuo ka o iri a Yeezu tere.
MRK.14.12	A Boroboro Dambo tigri bebi-dɛndɛŋ, a daare na ba naŋ maŋ ko a Ista tigri pilee, a O potuuribo da soore O la, “Yeŋ la ka fo boɔrɔ ka te gaa nare ka fo wa di a Ista tigri?” 
MRK.14.13	Lɛ la ka a Yeezu toŋ a O potuuribo bayi, a yeli ko ba, “Yɛ gaa a teŋkpoŋ poɔ, yɛ na tuori la dɔɔ kaŋ naŋ tuo koɔ̃ ne yuori; yɛ tuuro o, 
MRK.14.14	zie na zaa o naŋ wa te kpɛ, yɛ yeli ko a yidandɔɔ, ‘A Wulwullo soorɔ la, yeŋ ka N saama die be ka N ne N potuuribo na wa di a Ista tigri?’ 
MRK.14.15	O na wuli yɛ la peɛzu die kaŋ naŋ e yɛloŋ ka bonzaa bebe, yɛ nare a be kyɛllɛ ne te.” 
MRK.14.16	Lɛ la ka a potuuribo da gaa a teŋkpoŋ poɔ, a te nyɛ a yɛlɛ zaa ka a e seŋ a lɛ a Yeezu naŋ da yeli ko ba; ka ba da nare a Ista tigri bondirii a be.
MRK.14.17	Zie naŋ da wa maa a Yeezu ne a O potuuribo pie ne bayi da waɛ la. 
MRK.14.18	Ba naŋ da wa zeŋ ba zenziiri baare a dire, a Yeezu da yelee la, “Yelmeŋɛ zaa ka N yele korɔ yɛ, a yɛ kaŋ naŋ laŋ dire ne ma na yi la N puori, a iri ma tere.” 
MRK.14.19	Posãã-kpoŋ da piili kpɛ la a potuuribo ka ba kanzaa da soorɔ, “Serɛzaa, kyɛ maa eŋ naane wɛ?” 
MRK.14.20	Ka a Yeezu yeli ko ba, “A soba waa la a pie ne bayi kaŋ, a onaŋ naŋ laŋ tonɔ a o nu a laa poɔ ne ma la. 
MRK.14.21	A Nensaala Bie erɛɛ yɛlɛ seŋ lɛ ba naŋ sɛge kyaare ne O, kyɛ soba na naŋ na iri a Nensaala Bie tere yuori la we! Ka ba naŋ da ba dɔge o soba gba anaŋ da seɛ.”
MRK.14.22	Ba naŋ da naŋ dire, a Yeezu da de la boroboro, a maale kyɛ nyɔge ŋmaa a de ko a O potuuribo, kyɛ yeli, “Yɛ de; a N eŋɛ la aŋa.” 
MRK.14.23	Lɛ la ka O da la de ŋmanlee, a puori Naaŋmen bareka baare, kyɛ de ko ba, ka ba zaa da de nyu. 
MRK.14.24	O da yeli ko ba la, “A N nɔpaalaa zẽẽ la ama naŋ kyiri yaare neŋyaga zuiŋ. 
MRK.14.25	Yelmeŋɛ ka N yele korɔ yɛ, N daŋ koŋ la nyu a tewɔmɔ dãã, kyɛ te ta a daare na te zaa naŋ na laŋ nyu a dããpaala a Naaŋmen naaloŋ poɔ.” 
MRK.14.26	Ba naŋ da wa yieli a puubu yieluŋ baare, ba da yi gaa la a Oliva Taŋzu.
MRK.14.27	A Yeezu da yeli ko ba la, “Yɛ zaa na zo yaare la a seŋ lɛ ba naŋ da sɛge,
MRK.14.27	‘N na ŋmɛ la a pekyeenɛ,
MRK.14.27	ka a peere zaa zo yaare.’
MRK.14.28	Kyɛ ka maa wa leɛ-iri, N na de la yɛ weɛ gaa Galili.” 
MRK.14.29	Ka Piita yeli ko O, “Haali ka ba zaa na zo yaare, kyɛ maa eŋ koŋ zo.” 
MRK.14.30	Ka a Yeezu yeli ko o, “Yelmeŋɛ ka N yele korɔ fo, a zenɛ tensogɔ ŋa, nɔdaa koŋ koŋ gbɛre boyi sɛre, kyɛ ka fo kyiiri ka fo ba baŋ ma gbɛre bota.” 
MRK.14.31	Ka a Piita leɛ yeli kpeɛŋaa zaa, “Ka anaŋ na e feroo ka maa ne fo laŋ kpi gba, kyɛ N koŋ zagre fo bare.” Ka ba zaa yeli a lɛ ne o zu.
MRK.14.32	Ba da gaa la zie kaŋ ba naŋ boɔlɔ Gɛsamane; ka a Yeezu da yeli ko a O potuuribo, “Yɛ zeŋ a kyɛ, kyɛ ka N gaa te puori.” 
MRK.14.33	O da taa la Piita, Gyimisi ane Gyɔɔn gaa ne, ka posãã-kpoŋ da piili kpɛ O, ka O da nyɔgrɔ O meŋɛ faana. 
MRK.14.34	O da yeli ko ba la, “N poɔ sããɛ la yaga ka N te tɔgle kũũ; yɛ zeŋ kyɛ a ta wa gbire.” 
MRK.14.35	A Yeezu naŋ da wa kyɛŋ gaa nimitɔɔre belaa, O da le vɔgle la teŋɛ a puoro yele, ka anaŋ da na taa eebo, vɛŋ ka a gogo ŋa wa pare ma bare. 
MRK.14.36	O da yelee la, “N Ba, N Saa, yɛlɛ zaa na toɔ̃ nyɛ la eebo fo zie, de a zuŋmanekoɔ̃ ŋa yi N zie, ka a ta e seŋ lɛ maa naŋ boɔrɔ, kyɛ e seŋ fõõ naŋ boɔrɔ lɛ.” 
MRK.14.37	O da leɛ wa nyɛ ba la ka ba gbire; ka O soore Piita, “Saamon, yɛ gbire la? Ka lɛ yɛ kontoɔ̃ bare goɔŋ gogo yeni? 
MRK.14.38	Yɛ ta gbire, yɛ puoro ka yɛ ta wa kpɛ enyaabo poɔ; a seɛ eŋ sereŋ boɔrɔ la, kyɛ ka a eŋɛ ba taa faŋ.” 
MRK.14.39	O da laboreŋ leɛ gaaɛ la a te puoro, a yele a yelbie na ne a zu. 
MRK.14.40	O da leɛ wa nyɛ ba la ka ba da gbire, bonso ba nimie da pa ne la goɔŋ; ka ba da ba baŋ bon ba naŋ na yeli ko O. 
MRK.14.41	A Yeezu da leɛ wa la a gbɛre bota poɔ a wa soore ba, “Yɛ mɔɔ naŋ gbire la a pɛnnɛ? A seŋɛɛ la! A saŋ taɛ la, ka ba na iri a Nensaala Bie eŋ a yelbe-erebɛ nuuriŋ. 
MRK.14.42	Yɛ iri ka te gaa. Yɛ nyɛ, a soba na naŋ na iri ma tere peɛlɛɛ la.”
MRK.14.43	A daadaalɛ, Yeezu naŋ da naŋ kyɛnɛ yele a yɛlɛ la ka Gyudase, a potuuribo pie ne bayi na kaŋ wa ta, ka nembeɛoŋ naŋ taa zɔɔzɔɔ-sɔre ane dabɔlɔ tuuro o. A Naaŋmen bagmaalkare ane a Naaŋmen bege wulwulibo ane a nembɛrɛ la da toŋ ba. 
MRK.14.44	A soba na naŋ da iri a Yeezu tere da ko ba la yelwulaa kaŋ, a yele, “A soba na N naŋ na te nyɔge moore la a lɛ, yɛ nyɔge O a gu O velaa gɛrɛ ne.” 
MRK.14.45	Azuiŋ a Gyudase naŋ da wa ta, o da gaa la a Yeezu zie daadaalɛ a te boɔle O, “Wulwullo!” kyɛ nyɔge O moore. 
MRK.14.46	Lɛ la ka a noba pãã da ŋmore nyɔge O. 
MRK.14.47	Kyɛ a neɛ kaŋ naŋ da are a be da voɔ la o zɔɔzɔɔ-soɔ a kyɛ ne a Naaŋmen bagmaalkare neŋkpoŋ gbaŋgbaa toori kpɛlle. 
MRK.14.48	Lɛ la ka a Yeezu soore ba, “Yɛ yie la wa ka yɛ nyɔge ma ne zɔɔzɔɔ-sɔre ane dabɔlɔ aŋa ka fafaara kaŋ la ma, bee wola? 
MRK.14.49	Bie la bie zaa ka maa ne yɛ da maŋ be a Naaŋmen die poɔ ka N kanna noba, kyɛ ka yɛ da ba nyɔge ma. Kyɛ a seŋ ka a Naaŋmen gane yɛlɛ tu a tuubu.” 
MRK.14.50	A potuuribo zaa da bare O la kyɛ zo.
MRK.14.51	Pɔlbile kaŋ da tuuro O la a vaare wagyɛ yoŋ. Ba da nyɔge o la, 
MRK.14.52	ka o da fuori a wagyɛ eŋ ba nuuri poɔ kyɛ zo ne eŋkpoŋkpoli.
MRK.14.53	Ba da taa la a Yeezu gaa ne a Naaŋmen bagmaalkare neŋkpoŋ zie, ka a Naaŋmen bagmaalkare zaa ane a teŋɛ nembɛrɛ ane a Naaŋmen bege wulwulibo da lantaa a be. 
MRK.14.54	Piita da be la tɔɔre zaa a tuuro a Yeezu, a te kpɛ a Naaŋmen bagmaalkare neŋkpoŋ davoro poɔ; ka o ne a guguribo te laŋ zeŋ uoro vũũ. 
MRK.14.55	A Naaŋmen bagmaalkare ane a sɛrediribe zaa da boɔrɔ la yelsaanaa ka ba tuo a Yeezu ka ba e lɛ a ko O; kyɛ ba da ba nyɛ saanaa zaa. 
MRK.14.56	Noba yaga da di la danse-zirii a kyaare ne a Yeezu kyɛ a ba danseɛ da ba maŋ tutaa. 
MRK.14.57	Ka ba mine da iri are kyɛ di danse-zirii a kyaare a Yeezu, a yele: 
MRK.14.58	“Te da woŋee la ka O yeli, ‘N na ŋmore la a Naaŋmen die ŋa ba naŋ mɛ ne nuuri, kyɛ a beri ata poɔ ka N leɛ mɛ o tɔ, ba naŋ koŋ de nuuri mɛ ne.’ ” 
MRK.14.59	Kyɛ a saŋ ŋa poɔ gba, a ba danseɛ da ba tutaa. 
MRK.14.60	Lɛ la ka a Naaŋmen bagmaalkare neŋkpoŋ da iri are ba niŋesogɔŋ kyɛ soore a Yeezu, “Fo ba taa noɔre iruu zaa be? Boŋ yɛlɛ la ama ba naŋ yele kyaare ne fo?” 
MRK.14.61	Kyɛ a Yeezu da taŋ la O noɔre a ba yeli yelzaa sɔge. Ka a Naaŋmen bagmaalkare neŋkpoŋ laboreŋ soore O, “Fõõ la a Mɛzaaya,
MRK.14.62	Ka a Yeezu yeli, “Maa la; kyɛ:
MRK.14.62	‘yɛ na nyɛ la a Nensaala Bie
MRK.14.62	ka o zeŋ a Kpeɛ̃õ Zaa Daana nuduluŋ seŋ,’
MRK.14.62	a ‘waana ne a sazu zunzugri.’ ”
MRK.14.63	Lɛ la ka a Naaŋmen bagmaalkare neŋkpoŋ deɛ tage o bonsuuri kyeɛre kyɛ yeli, “Boŋ danseɛ la ka te naŋ kyɛnɛ boɔrɔ? 
MRK.14.64	Yɛ woŋ la a zone O naŋ to Naaŋmen! Wola ka yɛ teɛre?” Ka ba zaa yeli ka O lee la a seŋ ne kũũ. 
MRK.14.65	Ka ba mine piili toorɔ nentaare waara O, a leŋ O niŋe pɔge, a kyɛ maŋ ŋmɛ O, a yele korɔ O, “Baŋna baŋna, aŋ la ŋmɛ fo!” A guguribo meŋ da tuori nyɔge O la a ŋmɛ.
MRK.14.66	Piita naŋ da naŋ kyɛnɛ sigi be a davoro poɔ la ka pɔgsarlee kaŋ naŋ da waa a Naaŋmen bagmaalkare neŋkpoŋ tontonɔ wa tɔlɔ. 
MRK.14.67	O naŋ da wa nyɛ a Piita ka o uoro vũũ, o da vɔ la nimie eŋ o kyɛ yeli, “Fo meŋ da be la a Yeezu zie, a dɔɔ na naŋ yi a Naazɛrɛ.” 
MRK.14.68	Ka a Piita da kyiiri, a yele, “N ba baŋ bonna fo naŋ yeli bee a baŋ a tɛgɛ.” O pãã da iri yi la yeŋ. Lɛ la ka a nɔdaa deɛ koŋ. 
MRK.14.69	Ka a pɔgsarlee naŋ da waa a Naaŋmen bagmaalkare neŋkpoŋ tontonɔ, naŋ da wa nyɛ o, ka o laboreŋ piili yele korɔ a noba mine naŋ are a be, “A dɔɔ ŋa meŋ da waa la ba kaŋ.” 
MRK.14.70	Ka a Piita laboreŋ kyiiri. Lɛ la ka a da la e belaa ka a ba mine naŋ da are a be laboreŋ yeli ko a Piita, “Serɛzaa fo meŋ waa la ba kaŋ; bonso, fo waa la Galili neɛ.” 
MRK.14.71	A Piita da piili kaara eŋnɛ la o meŋɛ kyɛ poɔrɔ yele, “Maa ba baŋ a dɔɔ ŋa yɛlɛ yɛ naŋ yele.” 
MRK.14.72	A lɛ poɔ la ka a nɔdaa da koŋ a boyi soba. Lɛ la ka a Piita da leɛ-teɛre a yɛlɛ na Yeezu naŋ da yeli ko o, “Nɔdaa koŋ koŋ gbɛre boyi sɛre kyɛ ka fo kyiiri gbɛre bota ka fo ba baŋ ma.” Ka a Piita da ŋma nentaŋ yaga zaa.
MRK.15.1	Zie naŋ deɛ da wa te nyaa, a Naaŋmen bagmaalkare ane a teŋɛ nembɛrɛ ane a Naaŋmen bege wulwulibo ane a sɛrediribe zaa da laŋ la taa a bo. Ba da leŋ la a Yeezu a taa O te ko Pilato. 
MRK.15.2	A Pilato da soore O la, “Fõõ la a Gyuumine Naa be?” Ka a Yeezu yeli sɔge o, “Fõõ la yeli a lɛ.” 
MRK.15.3	Lɛ la ka a Naaŋmen bagmaalkare da de yelsaane yaga dɔgle O. 
MRK.15.4	Ka a Pilato laboreŋ soore O, “Fo ba taa yelzaa na yeli be? Nyɛ yelsaane yaga ba naŋ de dɔgle fo seŋ lɛ.” 
MRK.15.5	Kyɛ a Yeezu da ba la yeli yelzaa sɔge o, ka a Pilato noɔre da maa.
MRK.15.6	A Gyuumine tigri saŋ a Pilato da maŋ iri la a noba ba naŋ pɔge kaŋ bare. Soba na zaa a noba poɔ naŋ pɛle ne la ka o maŋ iri bare. 
MRK.15.7	Dɔɔ kaŋ ba naŋ da boɔlɔ Baraba da be la a nempagdie poɔ ane neŋkooreba mine naŋ da ko noba a saŋ na ba naŋ da dɔ̃ɔ̃ a teŋɛ. 
MRK.15.8	Lɛ la ka a noba da wa piili yele korɔ Pilato ka o e ko ba lɛ o naŋ da maŋ e a tigri saŋ. 
MRK.15.9	Lɛ la ka a Pilato soore ba, “Yɛ boɔrɔ la ka N bare a Gyuumine Naa be?” 
MRK.15.10	Bonso, o da baŋ ka nyuuri la so ka a Naaŋmen bagmaalkare taa a Yeezu wa ko o. 
MRK.15.11	Kyɛ a Naaŋmen bagmaalkare pãã da tɔ la a noba eŋ ka ba sɔre a Pilato ka o iri Baraba ko ba. 
MRK.15.12	Ka a Pilato laboreŋ soore ba, “Ka lɛ boŋ ka yɛ boɔrɔ ka N e ne a neɛ na yɛ naŋ boɔlɔ a Gyuumine Naa?” 
MRK.15.13	Ka a noba kyeere, “Kpa O dagaraa zu!” 
MRK.15.14	Ka a Pilato soore ba, “Wola, boŋ yelfaa la ka O e?” Kyɛ a noba da maaleŋ kyeere ne la kɔkɔkpeɛne yaga zaa, “Kpa O dagaraa zu!” 
MRK.15.15	A Pilato naŋ da boɔrɔ ka o pɛle a noba poɔ zuiŋ, o da iri la a Baraba ko ba, kyɛ e ka ba feɛ a Yeezu yaga, kyɛ pãã da de O ko ba ka ba te kpa a dagaraa zu.
MRK.15.16	Lɛ la ka a sogyɛre da taa a Yeezu te kpɛ ne a naa yiri davoro poɔ (a be da waa la a gɔbena yikpoŋ), kyɛ pãã da boɔle ba taaba zaa lantaa. 
MRK.15.17	Ba pãã da de la kpareze-kpoŋ kaŋ su a Yeezu, kyɛ de goore ŋmeɛle maale ne zupili a vɔgle O. 
MRK.15.18	Ba pãã da piili erɛ O la laara, “Yaane, Gyuumine Naa!” 
MRK.15.19	Ba da de la mupilaa va ne o zu, a toorɔ nentaare waara O, kyɛ gbi dumo O niŋe a puori O ne seɛ. 
MRK.15.20	Ba naŋ da wa e O la baare, ba da la nyɔge la a kpareze-kpoŋ yage kyɛ de O meŋɛ kparoo leɛ su O. Ba pãã da taa O la yi ne ka ba te kpa a dagaraa zu.
MRK.15.21	Ba da tuori la dɔɔ kaŋ ka o da yi weɛ waana ka ba da fere o ka o tuo a Yeezu dagaraa. A dɔɔ ŋa da e la Saarin teŋɛ neɛ, ka o yuori da di Saamon. Ona da la Alɛzanda ane Urufuse saa. 
MRK.15.22	Lɛ la ka ba da taa a Yeezu gaa ne zie kaŋ ba naŋ boɔlɔ Golgota (a Golgota tɛgɛ la zukoɔre zie). 
MRK.15.23	Ba da de la tẽẽ naŋ na e ka O eŋɛ dare a pulli ne dãã ko a Yeezu ka O nyu, kyɛ O da ba nyu. 
MRK.15.24	Ba da kpa O la a dagaraa zu, kyɛ de O bonsuuri a ŋmɛ gbaŋ, a poŋ taa. Ba da ŋmɛ la a gbaŋ ka ba nyɛ bonna kanzaa naŋ na de.
MRK.15.25	A da e la baguo gbelli awae saŋ ba naŋ da kpa a Yeezu a dagaraa zu. 
MRK.15.26	A O yelsaanaa ba naŋ da sɛge la, “A Gyuumine Naa.” 
MRK.15.27	Ba da laŋ kpa la fafareba mine bayi ne a Yeezu, kaŋ O duluŋ seŋ, kaŋ meŋ O gɔɔ seŋ. 
MRK.15.28	Lɛ ka a gansoŋ yelbie tu a tuubu, “Ba da sɔre O la eŋ yelbe-erebɛ poɔ.”] 
MRK.15.29	Noba naŋ da waana tɔlɔ da toorɔ O la kyɛ gɔgrɔ ba zuri, kyɛ yele, “Ahaa! Fõõ naane da yeli ka fo na toɔ̃ ŋmore la a Naaŋmen die kyɛ leɛ mɛ o beri ata poɔ, 
MRK.15.30	faa fo meŋɛ, a wa sigi a dagaraa zu wɛ!” 
MRK.15.31	A lɛ ne o zu ka a Naaŋmen bagmaalkare ane a Naaŋmen bege wulwulibo meŋ da erɛ O laara, kyɛ yele, “O faa la ba mine kyɛ kontoɔ̃ faa O meŋɛ. 
MRK.15.32	Vɛŋ ka a Mɛzaaya,
MRK.15.33	A ŋmenaa naŋ da wa te pozentaa saŋ, ligruŋ da luri pɔge la a tendaa zaa, a te ta ŋmenaa gbelli ata saŋ. 
MRK.15.34	A ŋmenaa gbelli ata saŋ, a Yeezu da ŋmɛ la kpɛlle yaga zaa, a yele, “Eloi, Eloi, lema sabatani?” A yeluu ŋa a Hiburu kɔkɔre poɔ tɛgɛ la, “N Naaŋmen, N Naaŋmen, bonso, ka fo gyɛ ma bare?” 
MRK.15.35	A noba mine naŋ da are a be a woŋ a lɛ, da yelee la, “Yɛ kyɛllɛ, O boɔlɔ la Elaagya.” 
MRK.15.36	Ka neɛ kaŋ da zo te de lɔrɔ toŋ ne dããmiiruŋ poɔ ka o paale o zaa a de daa kyage ne a de teɛ ko a Yeezu ka O nyu, kyɛ yele, “Te kyɛllɛ la ka a Elaagya na wa yage O la sigi a dagaraa zu bee?” 
