GEN.1.1	Makasososan Manetualain nakadadadik lalai no dae-inak.
MAT.5.31	“Ei bubuluk baꞌi Musa hohoro-lalanen ena nae, ‘Hatahori mana namaketu no sao inan, na, ana muste fee inak naa susura nemeketuk.’
MAT.5.32	Tehuu Au afada talo ia: mete ma hambu hatahori namaketu no sao inan, naa te sao inan bei ta laꞌok sala nita no touk laen, boe ma inak naa sao seluk, na, naa sama leo sao touk makasososan, ndia tao inak naa hohongge-lelena. Mete ma hambu touk sao nala inak esa fo saon elan ena, na, dua sara oo hohongge-lelena naa ena boe.”
MAT.5.33	“Ei bubuluk baꞌi Musa hohoro-lalanen ena fo ana nafada neu ita bei-baꞌin nara nae, ‘Mete ma o soꞌuk hehelu-bartaak pake sumba-sook no Manetualain naden, na, o makaesa mua hehelu-bartaak naa ena.’
MAT.5.34	Tehuu Au afada talo ia: mete ma o soꞌuk hehelu-bartaak, na, boso pake sumba-sook. Boso sumba-soo pake nusa tetuk do inggu temak naden, nahuu nusa tetuk do inggu temak naa, Manetualain mamana leleon.
MAT.5.35	Boso sumba-soo pake dae-inak naden, nahuu dae-inak naa Manetualain ei tatabun. Ma boso sumba-soo pake Yerusalem naden, nahuu Yerusalem naa, Mane Ina-huuk kotan.
MAT.5.36	Boso sumba-soo pake ei langgam. Te ei ta maena koasa fo parenda ei langga bulu doom esa fo bisa dadi nggeok do mutik. 
MAT.5.37	Dadi mete ma ei mae soꞌuk hehelu-bartaak mae, ‘hou’, na, mafada mae, ‘hou’ a leo. Tehuu mete ma ‘taa’, na, mae, ‘taa’ a leo. Mete ma ei kokolak lenak numa naa mai, na, naa naoka nai nitu dale ena.”
MAT.5.38	“Ei bubuluk baꞌi Musa hohoro-lalanen ena nae, ‘Mete ma hatahori tao nakalutu o matam, na, balan tao makalutu matan boe. Mete ma hambu hatahori tao namoꞌu heni o nisim, na, balan tao mamoꞌu heni nisin boe.’
MAT.5.39	Tehuu Au afada talo ia: boso bala manggarauk no manggarauk. Mete ma hatahori famba o nasum seri, na, elan numa naa fo ana famba o nasum seri bali. 
MAT.5.40	Mete ma hambu hatahori nae nadedeꞌa no o, fo nae haꞌi nala o badum, na, fee o jeket neun bali. 
MAT.5.41	Mete ma soldadu esa nakasetik o fo luꞌa-lemba ndia bua-baꞌun laꞌok kilo esa, na, lemba malan makandoo losa kilo dua. 
MAT.5.42	Mete ma hambu hatahori noke o buam hata a mesan, na, feen neu leo. Ma mete ma hatahori nae pindan o buam hata a mesan, na, feen neu leo.”
MAT.5.43	“Ei mamanene hatahorir rae, ‘Sue-lai neu o toranoom, ma mburuk neu hatahori mana mburuk neu o.’
MAT.5.44	Tehuu Au afada talo ia: o muste sue-lai neu hatahori mana mburuk neu o. Ma moke-hule fo Manetualain fee babaꞌe-babatik soa-neu hatahori mana tao doidosok neu o. 
MAT.5.45	Mete ma o tao talo naa, na, o matudu mae, o ia, Amak manai nusa tetuk do inggu temak anan. Huu Ana tao ledo nasaꞌa soa-neu hatahori neulauk, ma Ana oo tao ledo nasaꞌa soa-neu hatahori manggarauk boe. Ana oo nakonda udan soa-neu hatahori mana tao tungga Ndia parendan, sama-sama ro hatahori mana laban Ndia parendan boe. 
MAT.5.46	Dadi mete ma o sue neu kada hatahori mana sue o, na, o duꞌa mae, Manetualain muste balan no fee o babaꞌe-babatik, do? Taa! Te hatahori manggarauk oo sue sira nonoon mana sue neu sara boe. 
MAT.5.47	Mete ma o kada kokolak soda-molek neu o nonoom, na, lenan hata? Te hatahori ta kamaherek neu Manetualain oo tao talo naa boe. 
MAT.5.48	Dadi masaneda, ee! O Amam manai nusa tetuk do inggu temak sue-lai neu basa hatahorir. Huu naa de o muste tao tungga talo naa boe!”
MAT.6.1	Yesus fee nenorik nakandoo nae, “Masaneda, ee! Boso tungga doꞌo-doꞌo mia anggama hohoro-lalanen, fo kada nau sangga hatahorir koa ei. Te mete ma ei tao talo naa, na, ei Amam manai nusa tetuk do inggu temak, ta fee ei seseba-babaek hata esa boe na.
MAT.6.2	Mete ma ei nau tulu-fali hatahori kasian nara, na, boso miu tui leli-belak kana nai bee a mesan. Te mete ma ei tao talo naa, na, ei sama leo hatahori mana kokolak laen, tao laen ena. Ara soa reu laꞌo-laꞌo nai uma huhule-haradoik, mita fo hatahorir koa sara rae, ‘Awii, hatahori ia, ta hohoꞌak!’ Au kokolang ia ndia tetebes! Huu no hambu kokoak talo naa, ara simbo rala sira seseba-babaen ena. 
MAT.6.3	Dadi mete ma ei mae tulu-fali hatahori kasian nara, na, boso mafada see a mesan, ee! 
MAT.6.4	No dalak naa, hatahori manai dae-bafok ia ta bubuluk. Tehuu ei Amam manai nusa tetuk do inggu temak ndia bubuluk hata fo ei taon no neneek naa. Neu ko Ana bala ei menik babaꞌe-babatik noꞌun seli.”
MAT.6.5	“Neu ei hule-haradoi, na, boso tao aom mara sama leo hatahori mana kokolak laen, tao laen. Ara soa reu laꞌo-laꞌo nai dala rame, ma rambariik rai uma huhule-haradoik, mita fo hatahori noꞌuk kara mete-rita ma koa sara rae, ‘Awii! Sira iar, hatahori malalaok!’ Tehuu nenene, ee! Huu no hambu kokoak talo naa, de ara simbo rala sira seseba-babaen ena.
MAT.6.6	Tehuu ei ta bole talo naa. Mete ma ei hule-haradoi, na, maso meni kama dale miu dei. Basa naa, nggoe lelesu, dei fo ei hule-haradoi mbali ei Amam no neneek. Leo mae hatahori laen ta mete-rita, tehuu ei Amam mete-nita. Neu ko Ana bala ei no babaꞌe-babatik noꞌun seli.
MAT.6.7	Mete ma ei hule-haradoi, na, boso kokolak maputak miu-mai. Hatahori ta mana malela Manetualain oo bisa hule-haradoi talo naa boe. Ara duꞌa rae, Manetualain hii nenene huhule-haradoin nara fo mana lolola naruk naa. 
MAT.6.8	Boso tao tungga sama leo sira, ee! Te mae ei bei ta moke hata-hata neu Amak manai nusa tetuk do inggu temak, tehuu Ana bubuluk memak hata fo ei toꞌak ena. 
MAT.6.9	Dadi mete ma hule-haradoi, na, pake netuduk talo ia:
MAT.6.9	‘Amak manai nusa tetuk do inggu temak! Amak naden malalaok mateꞌen.
MAT.6.9	Naa fo basa hatahorir rakadedemak Amak naden ta neni babanggak.
MAT.6.10	Naa fo Amak dadi Manek soa-neu basa hatahorir!
MAT.6.10	Naa fo basa hatahorir tao tungga Amak parendan nai dae-bafok ia,
MAT.6.10	sama leo Amak atan nara tao tungga Amak parendan nai nusa tetuk do inggu temak.
MAT.6.11	Amak tulun fee ai nanaꞌak mana daik tungga faik.
MAT.6.12	Ai moke-hule Amak koka heni ai sala-singgon nara,
MAT.6.12	sama leo ai oo lilii heni basa hatahorir salan fo ara tao neu ai boe.
MAT.6.13	Amak, manea fo ai ta tao manggarauk.
MAT.6.13	Ma tao masoi-masoda ai numa nitu koasan mai.
MAT.6.13	[Huu Amak ndia, Manek mana maena koasa mateꞌen ma ta neni babanggak.
MAT.6.13	Amak mana toꞌu parenda seku neu.
MAT.6.13	Ai huhule-haradoin talo kada naa, Amak. Amin.]’
MAT.6.14	Tehuu masaneda, ee! Mete ma ei lilii heni hatahori salan neu ei, neu ko ei Amam manai nusa tetuk do inggu temak oo koka heni ei sala-singgom mara boe. 
MAT.6.15	Tehuu mete ma ei ta nau lilii heni hatahorir salan neu ei, neu ko ei Amam oo ta koka heni ei sala-singgom mara boe.”
MAT.6.16	“Mete ma ei hule-haradoi ma puasa, na, boso tao idu-matam mara mana sunda-lukak sama leo hatahori mana kokolak laen, tao laen. Ara tao talo naa, mita fo hatahorir koa sara rae, ‘Awii! Sira iar, hatahori malalaok!’ Tehuu nenene, ee! Huu no hambu kokoak talo naa, de ara simbo rala sira seseba-babaen ena. 
MAT.6.17	Mete ma ei puasa, na, marou idu-matam mara lao-laok, ma sau malole langga bulum mara! 
MAT.6.18	Dadi, neu ko hatahorir mete-rita ei, ara ta bubuluk rae, ei puasa. Tehuu ei Amam ndia bubuluk. Neu ko Ana bala fee ei babaꞌe-babatik noꞌun seli.”
MAT.6.19	“Boso maue-osa fafandek lima-eim mara fo maduduru hata-heto noꞌun seli nai dae-bafok ia. Te fufuk no rutu raꞌa heni sara. Ma naꞌo manu-meo oo mai ofe uma fo baꞌu neni sara boe.
MAT.6.20	Tehuu malole lenak maue-osa fafandek lima-eim mara fo maduduru hata-heto noꞌun seli nai nusa tetuk do inggu temak. Te nai naa fufuk no rutu ta bisa rakalulutu sara. Ma naꞌo manu-meo oo ta bisa mai ofe uma fo baꞌu neni sara boe. 
MAT.6.21	Ei mbeda hata-hetom nai bee, neu ko ei dalem mara oo rakadite nai naa boe.”
MAT.6.22	“Hatahori matan, sama leo lambu tao nanggaledo ndia dalen. Mete ma matan manggaledok, na, ana tungga eno-dala masoda malole, sama leo hatahori laꞌok nai manggaledok dale. 
MAT.6.23	Tehuu mete ma ndia matan kiu-habu, na, ana ta tungga eno-dala malole, sama leo hatahori laꞌok nafaroroe a nai makiuk dale. Dadi mete ma manggaledok manai ei dalem naa dadi makiuk ena, na, ei oo leo-laꞌo nai makiuk dale boe.”
MAT.6.24	“Hatahori ta bisa naue-osa tebe-tebe soa-neu malanggan dua, nahuu neu ko ana hii malanggan esa, lena heni malanggan laen. Boe ma ana bisa tungga malanggan esa, tehuu ana ta tao matak neu malanggan laen. Huu naa de o ta bisa kokolak mae, ‘Lamatuak naa, ndia naena haak fo parenda au,’ mete ma o tao doik dadi neu o malanggam ena.
MAT.6.25	Huu naa de Au afada talo ia: boso masambute mia duduꞌak, au ae asoda talo bee, au ae uꞌa hata, inu hata, pake hata? Ei duꞌa mae, masodak naa, kada ndia naꞌa-ninuk mesa kana, do? Ma ao-inak naa, kada soa-neu pake bua-loꞌas mesa kana, do? Ta talo naa. 
MAT.6.26	Mete sudik mbuik mana lambuk kara rai lalai naa. Ara ta rasambute sele-tande do ketu-koru fo rahinda nanaꞌak nai soka-pole. Tehuu ei Amam manai nusa tetuk do inggu temak nakaboi-nasamao sara rakandoo. Neu ko Ana bisa nakaboi-nasamao ei lena heni basa mbuik kara raa. Dadi duꞌa matalolole dei. Ana timba-tai ei lena heni mbuik kara raa. 
MAT.6.27	Mete ma hatahori nambariik nai titiro matan, boe ma ana nasambute no ao heli-helin, ana bisa tao nadema ao-inan, do? Ta bisa! 
MAT.6.28	Mete ma taa, na, tao hata de ei masambute fo duduꞌa laꞌe-neu bua-loꞌas bali? Miu mete sudik bungga bakung manai mook. Ara ta lolo abas, ma ta tenu temak.
MAT.6.29	Tehuu nenene matalolole, ee! Manek Soleman bua-loꞌan mana mandela-masaꞌa lenak oo, ta bisa laban bungga raa lolen nara boe.
MAT.6.30	Manetualain dalen susuri-memete neu bungga fo nasoda kada faik ia, boe ma beꞌe-mai maten de hatahori nggarin neni aꞌi dale neu. Mete ma Ana tao talo naa, neu ko Ana oo heti ei lena heni bungga raa boe. Dadi ei muste mamahere tebe-tebe neun. 
MAT.6.31	Huu naa de hae masambute duduꞌa mae, ‘Ai mae miꞌa hata?’ do, ‘Minu hata?’ do, ‘Pake hata?’ 
MAT.6.32	Hatahorir ta mana ramahere neu Manetualain, ara raue-osa fafandek lima-ein nara fo rae soba hambu basa naar lalaꞌen. Tehuu ei boso talo naa, huu ei Amam manai nusa tetuk do inggu temak bubuluk basa hata fo ei toꞌak kara ena. 
MAT.6.33	Tehuu ei muste makalalaꞌok makahuluk Ndia uen dei, ma muste tungga Ndia parendan dei, basa naa neu ko Ana fee tamba basa hata fo ei toꞌak. 
MAT.6.34	Dadi boso masambute duduꞌa mia hata fo ei toꞌak beꞌe-mai. Huu beꞌe-mai hambu ndia totoꞌan laen bali. Faik ia susa-sonan mesa kana dai ena.”
MAT.7.1	“Ei boso makasasaꞌek salak neu hatahori, mita fo Manetualain ta nakasasaꞌek salak neu ei. 
MAT.7.2	Ei timba-tai hatahori talo bee, na, neu ko Manetualain oo timba-tai ei talo naa boe. Ei uku-sudi hatahori laen salan talo bee, neu ko Manetualain oo uku-sudi ei talo naa boe.
MAT.7.3	O hii tanda hatahori sala kadiꞌi anan, tehuu o sala moꞌom, o taon leo bali ta maena salak. Naa, sama leo o mete-mita uꞌuk esa nai o nonoom matan, naa te hambu balo moꞌok natabaa nala o matam, tehuu o ta mameda sana. 
MAT.7.4	Talo bee de o mambarani kokolak mae, ‘Tia-laik! Mai fo au nggai heni uꞌuk numa o mata deꞌem mai dei.’ Naa te o mesa ngga ta bisa mete-mita hata-hata, huu hambu balok natabaa nala o matam, na. 
MAT.7.5	Woi! O ia, memak hatahori mana dea-matak tebe-tebe! Tulun dei! Piru heni balok naa numa o mata heli-helim mai, dei fo o bisa mete-mita, de tulu-fali mala o nonoom fo nggai heni uꞌuk numa o nonoom naa matan mai.
MAT.7.6	Boso fee nenorik dedeꞌa malalaok laꞌe-neu Manetualain, fee hatahori mana makatitiik. Te sira raa, sama leo busa kakikik fo neu ko ara fali mai fo kiki ei. Sira oo nggoa bebek kara, sama leo bafi boe. Mete ma hatahori feen poemata mabeli, na, ana ta mbali sana. Ana kada roroo-tatabun.”
MAT.7.7	“Mete ma ei hule-haradoi,
MAT.7.7	moke makandoo neu Manetualain;
MAT.7.7	neu ko Ana fee.
MAT.7.7	Mete ma ei sangga makandoo,
MAT.7.7	neu ko Ana natudu dalak.
MAT.7.7	Mete ma ei manggou makandoo;
MAT.7.7	neu ko Ana soi lelesu.
MAT.7.8	Huu basa hatahorir fo mana roke rakandoo neu Manetualain,
MAT.7.8	neu ko ara simbo.
MAT.7.8	Mana sangga rakandoo,
MAT.7.8	neu ko ara hambu.
MAT.7.8	Mana ranggou rakandoo,
MAT.7.8	neu ko Ana soi lelesu.
MAT.7.9	Ei duꞌa sudik kana! Mete ma hambu kakanak fo noke roti, neu ko aman ta feen batu, hetu? 
MAT.7.10	Do, noke iꞌak, aman ta feen mengge! 
MAT.7.11	Ei Amam manai nusa tetuk do inggu temak naa, memak neulaun seli. Dadi mete ma hatahori dae-bafok manggarauk matak leo ei ia, hii fee hata fo neulauk soa-neu ei anam mara, hata-bali ei Amam! Neu ko Ana fee hata fo ei mokek.
MAT.7.12	Dadi hata fo o nau hatahori laen taon fee o, na, o muste tao talo naa soa-neun boe. Huu dedeꞌak ia dadi neu oka-huuk numa basa hata fo baꞌi Musa no Manetualain mana toꞌu dedeꞌa laen nara fee nenorik memak kasa numa lele uluk mai ena.”
MAT.7.13	“Mete ma hatahori nae maso neni nusa tetuk do inggu temak neu, na, ana muste maso tungga lelesu makabiꞌak. Hambu dala mudak no lelesun loak boe, fo hatahori noꞌuk kara hii tunggan. Tehuu besa-besa, ee! Dalak leo naak ndia neni hatahori reni mamana aꞌi mbila ta kala matek reu, fo ara rabinggak ruma Manetualain mai. 
MAT.7.14	Hatahori mana nae maso neni nusa tetuk do inggu temak neu, muste tungga dala manggataꞌak naa, ma maso lelesu makabiꞌak naa. Leo mae kada hatahori hidak ka laꞌok resik naa, tehuu dala makabiꞌak leo naak, neni hatahori reni Manetualain reu.”
MAT.7.15	“Besa-besa mia mana pepeko-lelekok fo soꞌuk aon nara rae, sira iar Manetualain mana toꞌu dedeꞌan. Ara tao aon nara malole nok bali bibi lombo. Naa te sira raa manggarauk, nok bali busa fuir mana mai raꞌa bibi lombo. 
MAT.7.16	Talo bee fo ei bisa malela hatahori mana dea-matak kara raa? Mete neu kada hata fo ara taok. Sama leo hatahori mete-rita ai boak, de ralela ai boak naa huun. Ai boa neulauk, ta dadi numa ai huuk ta neulauk mai. 
MAT.7.17	Ai huu neulauk naboa neulauk. Tehuu ai huu ta neulauk naboa ta neulauk. 
MAT.7.18	Ta hambu ai huu neulauk, naboa ta neulauk. Ma ta hambu ai huu ta neulauk naboa neulauk. 
MAT.7.19	Ai huu mana naboa ta neulauk, neu ko ara mai hungga henin fo nggarin neni aꞌi dale neu.
MAT.7.20	Leo naak oo, no mana toꞌu dedeꞌak mana dea-matak kara raa boe. Ei bisa malela sara numa sira tatao-nonoꞌin nara mai.”
MAT.7.21	“Neu ko hambu hatahorir ranggou Au rae, ‘Lamatuak!’, fo mana maena haak parenda neu sara. Tehuu sira iar, raseseik nai kada bifi doon nara. Neu ko Manetualain manai nusa tetuk do inggu temak piru-nggari heni sara. Kada hatahori mana tungga no tebe-tebe Manetualain hihii-nanaun, ndia Ana simbok kana dadi neu Ndia hatahorin. 
MAT.7.22	Neu dae-bafok fai mateꞌen, hatahori noꞌuk ka manaku rae, Au ia ndia aena haak parenda neu sara. Ara kokoe Au rae, ‘Lamatuak, ee! Ai miu tui-bengga tao matanggela Lamatuak nenorin ena. Ai oo husi nitur pake Lamatuak naden boe. Ma ai tao tanda heran mata-matak kara pake Lamatuak koasan.’
MAT.7.23	Leo mae ara kada kokoe Au talo naa, tehuu neu ko Au aselu sara ae, ‘Eir ia, see? Au ta alela ei, ei ta leo-laꞌo tungga Manetualain hihii-nanaun. Dadi malai heok laꞌo ela ia leo!’ ”
MAT.7.24	“Hatahori mana mai nenene Au, boe ma tao tungga Au kokolang, ndia naa sama leo hatahori malelak, fo nambaririik uman nai batu fanderen lain. 
MAT.7.25	Doo-doo boe ma uda moꞌok konda losa faa lala mai. Ani makarumbuk oo, mai fumbu babalik uma naa boe. Tehuu uma naa ta ndefa heni sana, nahuu nambariik nai batu fanderen matea lain.
MAT.7.26	Hatahori mana mai nenene Au, tehuu ana ta tao tungga Au kokolang, ndia naa sama leo hatahori nggoa bebek fo nambaririik uman nai sarakaek lain. 
MAT.7.27	Doo-doo boe ma uda moꞌok konda losa faa lala mai. Ani makarumbuk oo, mai fumbu babalik uma naa boe. De uma naa ndefa henin losa nakalulutu.”
MAT.7.28	Yesus kokolak basa talo naa, boe ma basa hatahorir heran bali-bali ramanene Ndia nenorin, 
MAT.7.29	huu Ana bubuluk tebe-tebe nenorik naa isin. Ndia fefee nenorin naa, ta sama no sira meser anggaman nara.
MAT.8.1	Yesus konda numa letek mai, boe ma hatahori noꞌuk ka rame-rame reu fo tunggan. 
MAT.8.2	Medak neu ma, hambu hatahori hedi kusta esa mai nasare mbalin. Ana sendek luu-langgan fo noke tulu-falik neu Yesus nae, “Lamatuak, ee! Tulu-fali au dei! Mete ma Lamatuak nau, na, Lamatuak bisa mamopo au heding ia, mita fo hatahori boso nunute au bali, boe ma au bisa hule-haradoi seluk nai uma huhule-haradoik dale.”
MAT.8.3	Yesus namanene nala naa, boe ma Ana loo liman de nafaroe neu hatahori kusta naa, ma kokolak nae, “Au nau a mesan! O hai leo!” Medak neu ma, hatahori naa hedin mopon tutik ka. 
MAT.8.4	Boe ma Yesus nafadan nae, “Masaneda, ee! O hai ena, tehuu ta bole mafada esa boe na. O muste tungga baꞌi Musa hohoro-lalanen dei. Dadi muni malangga anggama muu fo ana parisa o ao-inam, mita fo ana bubuluk o hedim mopon tebe-tebe ena, do beik. Boe ma o muste muni o fefeem tanda makasi fo basa hatahorir bubuluk rae, o hai tebe-tebe ena.”
MAT.8.5	Basa boe ma Yesus maso neni nggorok Kapernaum neu. Nai naa, hambu komedan soldadu Roma esa mai noke tulu-falik nae, 
MAT.8.6	“Papa, ee! Au ana mana maue-osang esa namahedi berak nai uma. Ana ta bisa nambadeik laꞌo ela mamana susunggun, de ana doidoso nalan seli.”
MAT.8.7	Yesus naselu nae, “Malole! Dei fo Au uu tao ahain.”
MAT.8.8	Tehuu komedan naa nae, “Papa! Papa hae makamamangguk aom fo mai bali, huu au ta andaa simbok Papa nai au umang. Sadi Papa kada kokolak numa ia mai leo, neu ko au ana mana maue-osang naa, hai tutik kana. 
MAT.8.9	Au bubuluk dalak ia, nahuu au malanggang naena koasa fo parenda au. Ma au oo aena koasa fo parenda au soldadung nggara boe. Mete ma au parenda au ana nuning ae, ‘Muni naa muu!’ Neu ko ana neu. Mete ma au ae, ‘Ia mai!’ Neu ko ana mai boe. Mete ma adenu au hatahori mana maue-osang ae, ‘Tao ia!’ Neu ko ana tao talo naa. De sadi Papa kada kokolak, neu ko au ana mana maue-osang naa, hai tutik kana.”
MAT.8.10	Yesus namanene nala naa, boe ma Ana heran. Ana kokolak neu hatahori noꞌuk kara mana tunggan nae, “Heran, ee! Doo basa ia, Au bei ta atonggo ita hatahori Yahudi esa boe na, fo nemeheheren matea sama leo hatahori Roma ia! 
MAT.8.11	Nenene, ee! Neu ko hambu hatahori feꞌek noꞌuk ka sama leo hatahori Roma ia ruma dulu mai, ma ruma muri mai. Ara mai fo ranggatuuk raꞌa feta sama-sama ro baꞌi Abraham, baꞌi Isak ma baꞌi Yakob nai Manetualain uman nai nusa tetuk do inggu temak.
MAT.8.12	Leo mae Manetualain here nala hatahori Yahudir fo dadi reu Ndia hatahorin, tehuu hambu noꞌuk ka ta tao matak neu sana. Neu ko Ana timba heni sara reni mamana makiu-makahatuk dale reu. Nai naa, ara buꞌi rakarereu ma doidoso ralan seli.”
MAT.8.13	Yesus kokolak basa talo naa, boe ma nafada komedan naa nae, “Ama fali leo. Huu ama ana mana maue-osan naa hai ena, sama leo ama nemeheheren.” Ndaa no hatematak naa, kanak naa hai tutik kana.
MAT.8.14	Laꞌe esa, Yesus neni Petrus uman neu. Ana mete-nita Petrus ari-inan sunggu nai mamana susungguk lain, huu ana sumai. 
MAT.8.15	Yesus toꞌu nala liman, boe ma ina lasik sumain mopon tutik ka. De ana nambadeik neu nalalau Yesus asa.
MAT.8.16	Neu ledo sangga tesa, boe ma hatahorir mai reni sira hatahorin fo nitu saꞌek kara. De Yesus parenda nitur raa nae, “Weeh, nitu! Malai heok laꞌo ela hatahorir ia leo!” Boe ma nitur raa ralai tutik ka. Ana oo tao nahai basa hatahori hedis sara boe. 
MAT.8.17	Ana tao basa iar, tungga hata fo Manetualain mana toꞌu dedeꞌan Yesaya surak memak kana nae,
MAT.8.17	“Ana tao nahai ita hedin nara.
MAT.8.17	Ma Ana nasaa nala ita doidoson.”
MAT.8.18	Basa naa, Yesus mete-nita hatahori noꞌuk ka mai eko ralan. Boe ma Ana nadenu ana nunin nara nae, “Mai fo ita saꞌe ofak teni dano boboan seri teu.”
MAT.8.19	Boe ma hambu meser anggama esa mai kokolak nae, “Papa Meser! Papa neni bee neu a mesan, na, au ae tungga akandoo ua Papa!”
MAT.8.20	Tehuu Yesus naselu nae, “Malole, boe! Tehuu masaneda talo ia. Basa hatahorir ma banda-manur kamamana leleo-luluꞌuk mesan. Busa fui fali neni ndia bolo luluꞌun neu. Mbuik fali neni ndia ndunun neu. Tehuu Au, Hatahori Dae-bafo Isi-isik ia, ta aena uma heli-heling fo fali uni naa uu. Mamana ndae langgak neu oo, ta hambu boe.”
MAT.8.21	Boe ma hatahori laen esa bali, fo mana tungga-tungga no Yesus mai noke nae, “Lamatuak! Au nau tungga Lamatuak, tehuu elan fo au fali fo faduli ina-amang nggara dei. Mete ma au amang maten ena, na, dei fo au tungga.”
MAT.8.22	Boe ma Yesus kokolak nae, “Talo ia! Elan numa naa fo hatahorir ta mana ramahere neu Manetualain, ara rafafaꞌu sira hatahori mana maten. Tehuu mete ma o mae tungga Au, na, o muste tungga no tebe-tebe!”
MAT.8.23	Basa boe ma Yesus hene neni ofak lain neu sama-sama no Ndia ana nunin nara. 
MAT.8.24	Neu ara saꞌe ofak reni dano boboan seri reu, boe ma Yesus sunggu. Ta dook ka boe ma ani makarumbuk mai. Rii tufa reu-mai, de oe lala neni ofak dale neu. 
MAT.8.25	Yesus ana nunin nara mete-rita naa, boe ma ara fafaen rae, “Lamatuak! Lamatuak, ee! Mambadeik fo fali mala ai dei! Te ita sangga molo mate ia ena!”
MAT.8.26	Boe ma Yesus naselu nae, “Heeh, tao hata de ei mamataꞌu!? Ei ta mamahere Au, do?” Boe ma Ana nambadeik. De Ana kaꞌi anin ma rii naa nae, “Hahae leo!” Boe ma rii no anin lende tutik kana leo.
MAT.8.27	Yesus ana nunin nara heran. Ara kokolak rae, “Awii! Ndia ia see, ee? Talo bee de Ana bisa parenda anin no rii fo tungga Ndia hihii-nanaun?”
MAT.8.28	Ta dook ka boe ma, ara losa dano tatain seri nai hatahori Gadara
MAT.8.29	boe ma ara eki rae, “Wooi, Manetualain Anan! Tao hata de O mai pode-ura babalik ai? Leo mae fain fo sangga huku-doki ai bei ta losa, tehuu O mae tuni-ndeni ai ena.”
MAT.8.30	Deka-deka no mamanak naa, hambu bafi noꞌuk ka sosoka dae sangga nanaꞌak. 
MAT.8.31	Boe ma nitur raa roke-hule neu Yesus rae, “Mete ma O nau husi ai, na, madenu ai maso meni kada bafir raa dale miu!”
MAT.8.32	De Yesus parenda sara nae, “Miu leo!” Basa naa, nitur raa kalua laꞌo ela hatahori kaduak kara raa, de maso reni bafir raa dale reu. Bafir raa ralaik ralenggu-pikok, boe ma ara tuda tungga mbiak tatain reni dano dale reu. De basa sara mate rasamele.
MAT.8.33	Mana manea bafir mete-rita mandadik naa, boe ma ara ralaik fali reni nggorok reu, de ara tui basa-basan. 
MAT.8.34	Hatahori noꞌuk kara ramanene rala tutuik naa, boe ma ara kalua reni mamanak naa reu. Ara ratonggo ro Yesus, de ara kokoen nakandoo fo Ana laꞌo ela sira mamanan.
MAT.9.1	Basa naa, Yesus asa saꞌe falik ofak fo reni dano boboan seri reu, de ara losa kota Kapernaum, Ndia mamana leleon. 
MAT.9.2	Numa naa, hambu hatahorir ndoro reni sira nonoon keko-luꞌuk neni Yesus neu. Yesus mete-nita naa, boe ma Ana bubuluk ara ramahere reu Ndia rae, Ndia bisa tao nahai sira nonoon naa. Huu naa de Ana kokolak neu hatahori keko-luꞌuk naa nae, “Ana nggee! Matetea o dalem dei! Au koka heni o sala-singgom mara ena.”
MAT.9.3	Tehuu hambu meser anggama Yahudir hida ruma naa, ara ramanene Yesus kokolan naa. Boe ma dalen nara rakasuka tutik kana. De ara rakokola aok rae, “Hatahori ia nambarani nalan seli kokolak talo naa! Kada Manetualain mesa kana bisa fee ambon hatahori sala-singgon. Tehuu hatahori ia kokolan naa, tao aon sama leo ndia ia, Manetualain. Ana nakadadaek naa ena!”
MAT.9.4	Tehuu Yesus bubuluk dale kuru-eron nara. De Ana kokolak nae, “Tao hata de ei duꞌa mae, Au ia kokolak akadadaek? 
MAT.9.5	Bee ndia mudan lenak? Mete ma Au afada hatahori keko-luꞌuk ia ae, ‘O sala-singgom hambu ambon ena,’ do, Au ae, ‘Mambadeik leo, fo fali muu ngga.’ 
MAT.9.6	Mete ma ana nambadeik tutik kana, dei fo ei mete-mita bukti mae, Au ia, Hatahori Dae-bafo Isi-isik. Au aena haak fo fee ambon neu hatahori sala-singgon.”
MAT.9.6	Boe ma Yesus parenda hatahori keko-luꞌuk naa nae, “Mambadeik leo! Luꞌa mala o lalanggam fo laꞌok fali muu ngga leo!”
MAT.9.7	Boe ma hatahori keko-luꞌuk naa nambadeik, de ana laꞌok fali neu ngga. 
MAT.9.8	Neu basa hatahorir mete-rita naa, boe ma ara heran. De ara rakadedemak Manetualain naden rae, “Manetualain naa, ta neni babanggak! Ana fee koasa moꞌok talo ia neu hatahori dae-bafok ena.”
MAT.9.9	Basa naa, Yesus laꞌo numa naa mai, boe ma Ana mete-nita hatahori mana susu bea esa, tao ues nai uma sususu bea. Naden Mateos. De Yesus noke nalan nae, “Mai fo tungga Au!” Mateos namanene nala naa, boe ma ana nambadeik fo tunggan tutik kana.
MAT.9.10	Basa de Mateos noke Yesus fo mai naꞌa nai ndia uman. Ana oo noke ndia nonoo mana susu bean nara, ma fuik laen nara boe, fo mai raꞌa sama-sama roo sara.
MAT.9.11	Tehuu hambu hatahori hida ruma partei Farisi mai unggu-remu reu Yesus ana nunin nara rae, “Tao hata de ei mesem nanggatuuk naꞌa sama-sama no hatahori papake taak kara, sama leo mana susu bear raa, ma sira nonoo manggaraun nara?”
