MAT.1.3	Yúda mú byâ Farɛs bá Zára, nyɔɔŋgʉ́ wáŋ wə́ Tamar. Farɛs mú byâ Ɛsrom. Ɛsrom byâ Aram. 
MRK.15.31	Milúlúú myâ ofada nə *Oyɨ́ɨ́gʉli ɔ́ mə́cɛ̧ɛ̧ bwə́ mú nə́mə́ ŋgə cágʉlə nyə, bwə́ ŋgə́ cɨ bwə́mɛ́ nə bwə́mɛ́ nə́: «Nyə á dʉ cʉg buud oshús, njɨ a káád cʉgʉ́lə nyə́mɛ́fwó. 
MRK.15.32	Yé *Krîst Njwú-buud á *Izʉrəyɛ̂l! shuləg shí kɨ́kɨdɨ́ga, sə́ dʉ́gʉ́g ná, sə́ ka *búgʉla wo». Tɛɛm bə búúd bə́nɔ́ŋ bwə́ á bə íkwolós dɨ́ wá, bwə́ á ŋgə nə́mə́ lwîy nyə.
MRK.15.34	Mə́wəla məlɔ́ɔl dɨ́, Yésus músə kɨ̂m nə ŋkulû nə́: 
MRK.15.35	Ja bɔ́ɔ́l búúd bwə́ á bə cínɔŋg wá bwə́ á gwág ntɔ́ yí, bwə́ nə́: «Gwágá, a ŋgə jɔ̂w Eli.» 
MRK.15.36	Ŋgwɔ́l múúd mú tɨ́ kʉ́lə́, kə ŋwa eponzh, juwo mə́lwəg mə́ ábibyɛnzhʉ̂ dɨ́, a fɛɛn shwóg lʉ́ lɨ́ɨ́d. A mú kənd nə́ Yésus ŋgúlʉg. Nyə nə́: «Bwándʉ́gá! shé fwógá ná dʉ́g jínɨ, ŋkí Eli nyə é zə shul nyə shí.» 
MRK.15.37	Yésus mú ntâg kɨ̂m nə ŋkulû, a mú jímal. 
MRK.15.38	Seegya nə́ məmá *sanda í á dʉ kalʉwo *Mpáánzə́ Zɛmbî yí í mú sɛɛl tʉ́tám nə́ cáŋ wú gwɔ̂w wɔ́ɔ́s shí. 
MRK.15.39	Lúlúú ízɨmbɨ í á bə Yésus dɨ́ shwóg yí mú dʉ́g mbií Yésus nyə á jímal yí, nyə nə́: «Bʉ́bə́lɛ́, muud ɛ́ga nyə á bə *Mwân mə́ Zɛmbî.» 
MRK.15.40	Bɔ́ɔ́lʉ́gá búdá bwə́ á bə cínɔŋg bwə́ tə́l shwóg-shwóg ka dʉ dʉ́g. Maríya á Magʉdála, nə Maríya nyɔɔŋgʉ́ mə́ Yózɛs bá Zhâk á ntombú, zə kɛɛl Salúma, bwə́ á bə gwooŋg búdá jɔɔŋg dɨ̂. 
MRK.15.41	Budá bɔɔŋgʉ́ bwə́ á dʉ sɛ̂y nə Yésus ja nyə á bə Galilê yí. Bɔ́ɔ́lʉ́gá búdá ŋkí bulya bə́nɔ́ŋ bwə́ á bád zə Yurʉ́səlɛm wá, bwə́ á bə nə́mə́ cínɔŋg.
MRK.15.42+MRK.15.43	Ŋgwɔ́l múúd nə jínə́ nə́ Yósɛb, muud á Arimatê, nyə á bə nə́mə́ gwooŋg mílúlúú myâ lɔɔm dɨ̂. Nyə á dʉ bwánd Faan mə́ Zɛmbî. Jwɔ̂w dɔɔŋgʉ́, kugʉ́ í mú ŋgə bii shí, baan bwə́ dʉ kwísha ísâ yâ Sábaad
MRK.15.44	Njɨ Pilât nyə á gwág nə́ Yésus mə́ lɛɛlʉ́ yə yí, a mú bul bɨ̂. A mú jɔ̂w lúlúú ízɨmbɨ, zə wámbʉlə ŋkí Yésus mə́ ŋwá bwey yə. 
MRK.15.45	Ja á mə́ shîn gwág mpɛ̧sá mə́ lúlúú ízɨmbɨ yí, a mú magʉlə nə́ Yósɛb kə́g ŋwa mbimbə. 
MRK.15.46	Yósɛb mú kə kusə ndómbó áfufumə́, nyə kə shul mbimbə shí, wɔ́ɔlə wo ndómbó wɔɔŋgʉ́d, kə dʉl shwôŋ dɨ̂. Bwə́ á lúmə shwoŋ nyɔɔŋgʉ́ fifim mə́kwóógʉ́d. A mú bíŋgal məma kwóógʉ́, juwal shwoŋ. 
MRK.15.47	Maríya á Magʉdála bá Maríya nyɔɔŋgʉ́ mə Zhâk, bwə́ mú ŋgə mpu dʉ́g kʉ́l bwə́ á dʉl nyə yí.
MRK.16.1	Ja Sábaad mə́ shîn yí, mpwó-kugʉ́ shí, Maríya á Magʉdála, nə Salúma, nə Maríya nyɔɔŋgʉ́ mə́ Zhâk, bwə́ mú kə kusə ólabínda nə́ bwə́ bá kə gwáágʉlə mbimbə mə Yésus. 
MRK.16.2	Nə́ ndɛɛ́, jwɔ̂w shwɛ́ndɛ mə́ dʉ́ tɛ́ɛ́d yí, bwə́ mú kə wɔ́ɔ́s shwoŋ dɨ́ ná nə́mə́ mpʉ́mán mpʉ́mán, lúú jwɔ̂w í ŋgə́ kúnɔw cwɨ́ɨl. 
MRK.16.3	Bwə́ mú ŋgə jî bwə́mɛ́ nə bwə́mɛ́ nə́: «Zə́ nyə é kə bíŋgal shé kwóógʉ́ dʉ́sə́ shwoŋ dɨ́ yí?» 
MRK.16.4	Bwə́ ka bʉ̂n mísh, bwə́ mú dʉ́g məma kwóógʉ́ nɨ í mbwúg koogʉ́.
MRK.16.5	Bwə́ mú nyíi shwoŋ dɨ́, kə kwey wúl shwanzə́ í njúl njínjilî, kɔ́ɔ́mb á mbwə̂ məncwûm, nyə nə mikáándə́ mí áfufumə́. Bwə́ mú bul gwág ifwaas. 
MRK.16.6	Shwanzə́ nɨ mú cɨ nə bwo nə́: «Kúgá fúndə! Bɨ́ ŋgə sɔ̧́ Yésus, muud á Nazarɛ̂t bwə́ á bwambʉlə kwolós dɨ́ yɛ́! A cúgɛ́ wa, a mə́ gwûm. Dʉgá kʉ́l bwə́ á bwɨ́ɨ́g nyə yí. 
MRK.16.7	Nə́ ndɛɛ́, lɛɛlʉgá kə, kə jaaw *ómpwíín bɛ́ nə Pyɛ̂r nə́ a mə́ kə shwóg, kə bwánd bɨ́ Galilê. Nûŋ wə́ bɨ́nɔ́ŋ bɨ́ é dʉ́gya yɛ́, nə́mə́ nda nyə á bwiiŋg bɨ́ nə́.» 
MRK.16.8	Ntɔ́, bwə́ mú wɛɛnzh wú shwoŋ dɨ́ bwə́ ŋgə́ lilya, milám kú bə nə́ shɛɛ; í mú sá nə́ bwə́ nda jaaw tɔɔ muud.
MRK.16.10	Mudá wɔɔŋgʉ̂ mú kə jaaw buud ɔ́ gwooŋg ɔ Yésus sâ jɔɔŋgʉ̂, nəcé bwə́ á bə nə məcɛy mílámʉ́d, bwə́ ka ŋgə jɨɨ. 
MRK.16.11	A mú ka jaaw bwo nə́ Yésus mə́ gwûm, nyə shí nə́mə́ dʉ́g nyə nə mísh mɛ́. Njɨ, nyə á tɛɛm jaaw bwo ntɔ́, bwə́ á shígɛ́ magʉlə.
MRK.16.12	Mpʉ́sə na, bɔ́ɔ́l ómpwíín bɛ́ óbá, bwə́ ŋgə́ kə bwə́dɨ́ kwáádə́, nyə mú lwóya bwo nyúúl nyɛ́ wúl mbií shús. 
MRK.16.13	Buud obá bɔɔŋgʉ́ bwə́ mú nyiŋgə nə mpʉ́sə, kə jaaw bɔɔŋgʉ́ ómpwíín bwə́ á lʉ́gə Yurʉ́səlɛm wá, bâŋ nə́mə́ njɨ məshwán.
MRK.16.14	Gúl ja shús, Yésus mú nyiŋgə lwóya nyúúl nyɛ́ ómpwíín wûm nə ŋgwúd dɨ̂, bwə́ ŋgə də. Cínɔŋg a mú jum bwo nəcé bwə́ á shígɛ́ *magʉlə kɛ́ɛl búúd bwə́ á jaaw bwo nə́ a mə́ gwûm shwoŋ dɨ́ yí. Bwə́ á bə ŋkí lal mílâm. 
MRK.16.15	Nə́ ndɛɛ́, a mú cɨ nə bwo nə́: «Kəgá shí ga nyɛ̂sh, bɨ kə́g cúndə Jɔ̧jɔ̧ Kɛ́ɛl, muud yɛ̂sh gwágʉ́g. 
MRK.16.16	Nyɔɔŋg mə́ bá *búgʉla, bwə́ juwo nyə yɛ́, nyə wə́ mə́ bá *dʉ́g cʉg yɛ́. Nyɔɔŋg mə bá bə kú búgʉla yɛ́, nyə bá bwəma nə intʉ́gʉ́lí yâ kandʉgə. 
MRK.16.17	Ntɔ́, bɔɔŋg bwə́ bá búgʉla wá, bwə́ bá dʉ sá *mə́shimbá: bwə́ bá dʉ yîl búúd məjamb jínə́ dáámʉd, bwə́ lás mə́kə̂l məshús, 
MRK.16.18	bwə́ bii ónywâ nə məbwə̂. Ŋkí bwə́ də́ gwoog, sâ kú sá bwo. Bwə́ kɛɛl mimbə̂l mə́bwə̂, mimbə̂l myɔɔŋgʉ́ mí yâl.»
MRK.16.20	Nə́ ndɛɛ́, *ompwíín bɛ́ bwə́ mú nyiŋgə, kə ŋgə cúndə Jɔ̧jɔ̧ Kɛ́ɛl ikʉ́l byɛ̂sh. Cwámba Yésus nyə á dʉ yə bwo ŋkul ísɛ́y byáŋʉ́d. A lwágʉlə nə́ minjɨ́ɨ́gʉ́lá myáŋ mí á bə tʉ́təlí nəcé bwə́ á dʉ sá mə́shimbá.]
LUK.1.1	Yé Tyofîl lwám múúd, zhwog buud bwə́ á mə́ ŋgə she cilə ŋkúmba lâŋ á isâ í á sɨ̂y wa sə́dɨ́ yí. 
LUK.1.2	Bwə́ á ŋgə jaaw isâ nə́mə́ nda búúd bwə́ á dʉ́g byo tɛ́ɛ́d mə́tɛ́ɛ́dʉ́léd wá bwə́ á bwiiŋg sə́ nə́. Buud bɔɔŋgʉ́ wə́ bwə́ ŋgə́ sá isɛ́y í bwiiŋgʉ́lə mílə́sʉ́ mí Zɛmbî. 
LUK.1.3	Nə́ ndɛɛ́ mə mə́ ka nə́mə́ kwey nə́ mə́ jə́lá nə cilə wo isâ byɔɔŋgʉ̂ téégyá nda í á ŋgə sɨ̂y nə́. Mə zə́ cilə na mə mə́ fwo mpu wámbʉlə sʉ́sʉ́sá jɛ̂sh tɛ́ɛ́d mə́tɛ́ɛ́dʉ́léd. 
LUK.1.4	Mə́ jɨɨ nə́ wo mpúg nə́ minjɨ́ɨ́gʉ́lá wó á ŋwa myá mí bə́lɛ́ bə bʉ́bə́lɛ́.
LUK.1.6	Bɛ̂sh obá nə mudûm nə mudá bwə́ á bə otʉ́təlí ɔ búúd mísh mə́ Zɛmbî dɨ̂, bwə́ dʉ́gə́ mpu sâ Zɛmbî məgwág, dʉ bɛ̧ ísâ byɛ̂sh Cwámba ŋgə́ cɨ nə́ í bə́g yí nə məcɛ̧ɛ̧ mɛ́ mɛ̂sh mbií á kú nə sâ á jumʉ́g. 
LUK.1.7	Njɨ bwə́ áshígɛ́ bə nə mwân nəcé Ilísabet nyə á bə kundú, bɛ̂sh obá bwə́ á bə ntâg bwə́ mú icwúcwúúl.
LUK.1.8	Dúlʉ́gá jwɔ̂w dɨ ɨɨ́, Zakarî nyə á ŋgə sá isɛ́y í fada byé nda í á bə jwaŋga á gwooŋg jáŋ nə́. 
LUK.1.9	Ofada bwə́ á dʉ wusə mpaambə́ nə́ bwə́ fɛ́ɛ́sh nyɔɔŋg kə́g nyíi *Mpáánzə́ Zɛmbî yɛ́. Bwə́ á ka nə́mə́ wusə jínɨ jaá, mpaambə́ mú fɛ́ɛ́sh Zakarî nə́ nyə wə́ kə́g nyíi kə jígal *cáá.
LUK.1.10	Wəla lʉ jígálʉ́lə cáá nɨ dɨ, buud ɔ kúl búúd bɛ̂sh bwə́ á bə tɔ́ɔ́n bwə́ ŋgə́ jəgʉla nə Zɛmbî 
LUK.1.11	Ŋgwɔ́l *éŋgəles mə́ Yawé mú zə lwóya nyúúl wə́ Zakarî, zə tɔ̂w nyə ŋgɛɛ mbwə̂ məncwûm, *alatâr bwə́ dʉ jígal cáá yɛ́ dɨ́ koogʉ́. 
LUK.1.12	Mitə́dʉ́gá mí á búbulə Zakarî lúúd nə dʉ́gʉ́lə nyə á dʉ́g éŋgəles yí, a mú bul bə nə ifwaas. 
LUK.1.13	Njɨ, éŋgəles mú cɨ nə nyə nə́: «Zakarî, kú bɛɛg fúndə, nəcé Zɛmbî mə́ ŋwa mə́jəgʉla mwô. Mudá woó mə bá byá wo mwámudûm, wo bá gwiid nyə nə́ Yuánɛs. 
LUK.1.14	Wo bá bul kɔɔs nə məshusʉg, ncúlyá buud bwə́ bá nə́mə́ bə nə məshusʉg nə byɛ́lʉ́lə mwân wɔɔŋg mə bá byɛ̂l yí. 
LUK.1.15	Nəcé a bá bə fwámɛ́ múúd mísh mə́ Zɛmbî dɨ̂. Nyə abʉ́lɛ́ bwɛlɛ́ ŋgul mə́lwəg kú ŋgul gúl sâ ányinyaanə̂. A bá bwey bə lwándʉ́lá nə Ŋkɛ̧́ŋkɛ̧̂ Shíshim a njúl ná mwɔ̧ mə nyɔ́ɔ́ŋgʉ́d. 
LUK.1.16	A bá nə́mə́ sá nə́ bɔ́ɔ́l búúd wâ bag ɔ *Izʉrəyɛ̂l bwə́ nyíŋgəg zə wə́ Zɛmbî wáŋ Yawé. 
LUK.1.17	A bá zə nə lâŋ mə́ Zɛmbî nə *shíshim nə ŋkul Eli nyə á bə nə ndɨ̂ yí. A bá zə sá ŋkwambʉlə mpə́dʉ́gá osɔ́ɔ́ŋgʉ́ bə́nɔ̂ŋ bwân. A bá nə́mə́ sá nə́ bɔɔŋg bwə́ á dʉ bə nə məlwə̂ wá bwə́ cɛ́ndʉ́g kuú njɔɔnd, bwə́ bə nə fʉg á otʉ́təlí ɔ búúd. Ntɔ́, a bá kwəmʉsa Cwámba kúl búúd í njúl nyə fwámɛ́ kwééshá.» 
LUK.1.18	Zakarî mú cɨ nə éŋgəles nə́: «Mə músə cwúcwúúl, mudá waamə́ mə́ nə́mə́ jaas; mə e bá wámbʉlə sâ wó ŋgə́ cɨ nɨ ntʉdɛlɛ̂?» 
LUK.1.19	Eŋgəles mú bɛ̧sa nə nyə nə́: «Mə wə́ Gabryɛ̂l, mə jɨ mísh mə́ Zɛmbî dɨ̂, mə ŋgə sɛ̂y nə nyə. Nyə ámə ntɨ́ mə nə́ mə zə́g lésha nə wo, zə jaaw wo jɔ̧jɔ̧ mə́kə́l mə́nɨ. 
LUK.1.20	Njɨ, nda wó mə́ ka bə kú *magʉlə íciyá byâm nə́, wo é bə fífî. Wo bá ji kú lás kə wɔ́ɔ́s jwɔ̂w ísâ mə́ ámə zə jaaw wo ínɨ í bá bwəma yí. Nəcé byáá í bá bwəma dáŋ wəlad.»
LUK.1.21	Í á bə na, kúl búúd jâŋ í ŋgə́ bwánd Zakarî. Buud bwə́ mú ŋgə káam nə́ a mə́ bul bwey nûŋ Mpáánzə́ Zɛmbî dɨ́ cwû.
LUK.1.22	Ja Zakarî nyə á ka cúwo tɔ́ɔ́n yí, nyə á bə kú ná nə ŋkul mə lésha nə buud. Bwə́ mú mpu nə́ a shí dʉ́g gúl sâ nûŋ fúm á ci dɨ́. Nyə á ŋgə fufə njɨ məbwə̂. Nyə á shwal bə fífî. 
LUK.1.23	Ja nyə á shínal mɛ́ mwɔ̂w mə́ ísɛ́y yâ Mpáánzə́ Zɛmbî yí, nyə á ka nyiŋgə kə bwə́dɨ́.
LUK.1.24	Fwála mú cɔ̧́, mudá yé Ilísabet músə bə nə bum. A mú shwaaw tâŋ oŋkwoond otɔ́ɔn kú lwóya nyúul, a ŋgə́ cɨ nə́: 
LUK.1.25	«Sâ Cwámba mə́ sá mə wə́ ga. A mə́ ntɨ mísh mɛ́ mə́dɨ́ zə yîl mə shwôn mə́ á bə nə ndɨ̂ búúd bâm dɨ́ yí.»
LUK.1.26	Ja bum mə́ wɔ́ɔ́s Ilísabet ŋkwoond saman dɨ́ yí, Zɛmbî mú kənd *éŋgəles Gabryɛ̂l ŋgwə́la á Galilê bwə́ dʉ jɔ̂w nə́ Nazarɛ̂t yí. 
LUK.1.27	Nyə á kənd nyə nə́ a kə́g lésha nə ncwíyɛ̂ sás lʉ́ múdá í á bə wu nə́ Maríya yí. Sás dɔɔŋg í á bə nə cɛ̧ɛ̧lá bá nə Yósɛb, muud á bag ɔ *Dávid. 
LUK.1.28	Eŋgəles mú nyíi Maríya njɔ́w cɨ nə nyə nə́: «Mə báág nə wo, Yawé jɨ nə wo, a mə́ sá mpaam nə jɔ̧ lâm.» 
LUK.1.29	Iciyá ínɨ í mú sá Maríya mitə́dʉ́gá búbulə lúúd. A mú ŋgə jî lámʉ́d nə́ wâŋ mbií mə́bə́dá í kə́ nə́ jɨ. 
LUK.1.30	Eŋgəles mú cɨ nə nyə nə́: «Maríya, kú bɛɛg fúndə. Nəcé wo mə́ bwəma nə ocúncɛ́sh ɔ́ Zɛmbî. 
LUK.1.31	Dʉgɨ́, wo zə́ bə nə bum, wo bá byá mwámudûm, wo gwiid nyə nə́ Yésus. 
LUK.1.32	A bá bə fwámɛ́ múúd. Bwə́ bá dʉ jɔ̂w nyə nə́ *Mwân mə́ Zɛmbî a gwɔ́w-gwɔ̂w. Zɛmbî wúsʉ́ Yawé mə bá yə nyə ijwûga í mpáámbə́ jé Dávid. 
LUK.1.33	A bá jwú nə bag ɔ *Yákwab kandʉgə á kandʉgə, ijwûga byé í ábʉ́lɛ́ bə nə məshíné.» 
LUK.1.34	Maríya mú cɨ nə éŋgəles nə́: «Jâŋ í bá bə ntʉdɛlɛ́, mɛɛ kú fwo mpu múdûm?» 
LUK.1.35	Eŋgəles mú bɛ̧sa nə nyə nə «Ŋkɛ̧́ŋkɛ̧̂ Shíshim mə bá zə wódɨ́, ŋkul mə́ Zɛmbî a gwɔ́w-gwɔ̂w í mú búdal wo nda gúgʉ́wá í dʉ búdal múúd nə́. Gwə́ wə́ í bá sá nə́ mwân wó bá byá yɛ́ mə́ bá bə fééshá, bwə́ dʉ jɔ̂w nyə nə́ Mwân mə́ Zɛmbî. 
LUK.1.36	Dʉgɨ́, mbyɛ̂l wô Ilísabet mə́ zə bə nə bum ícwúúlʉ́d. A bá nə́mə́ byá mwámudûm. Nyə muud bwə́ á dʉ cɨ nə́ a jɨ kundú yɛ́, bum mú nyə ŋkwoond saman dɨ̂. 
LUK.1.37	Mpug nə́ sâ cúgɛ́ nə ŋkul bwɛlɛ́ ntɔ̧ Zɛmbî.» 
LUK.1.38	Maríya mú cɨ nə́: «Mə jɨ sɔ́ɔl məsáal mə Yawé. A sáág mə nda wó mə́ cɨ nə́.» Eŋgəles mú kyey.
LUK.1.39	Nə́mə́ fwála dɔɔŋgʉ́ dɨ, Maríya mú ŋwa zhɨ́ɨ́ lɛɛlʉ́lə kə ŋgwə́la á kɔ́ɔ́mb Yudéa jísə́ mímbʉ́ŋ mimbʉ́ŋ yí. 
LUK.1.40	A mú kə nyíi Zakarî dɨ́ njɔ́w, bə́da Ilísabet. 
LUK.1.41	Ja Ilísabet nyə á gwág məbə́dá mə́ Maríya yí, mwân nyə á lugʉsa nyə mwɔ̧̂ dɨ̂, Ilísabet músə lwánd nə Ŋkɛ̧́ŋkɛ̧̂ Shíshim nə́ cwɔ́ɔ́. 
LUK.1.42	A mú kɨ̂m məma ŋkwiimbyê, nyə nə́: «Wo jɨ nə ibwádán ntɔ̧ bɔ́ɔ́lʉ́gá búdá bɛ̂sh, mwân jɨ́ wo mwô dɨ́ yɛ́ jɨ nə́mə́ nə ibwádán. 
LUK.1.43	Jɨ́ í mpú sâ nə́ nyɔɔŋgʉ́ mə Cwámba waamə́ zə́g mə́dɨ́ yí. 
LUK.1.44	Nəcé dʉgɨ́, njɨ mə́lwə̂ mâm mə́ ámə gwág mə́bə́dá mwɔ̧̂ yí, mwân nyə ámə lugʉsa mə nə məshusʉg mwô dɨ̂. 
LUK.1.45	Wɛɛ mə́ jəla, wɛɛ muud mə́ *búgʉla nə́ sâ jɛ̂sh Cwámba mə́ sá nə́ bwə́ jááwʉg wo yí í é bwəma yɛ́.»
LUK.1.46	Zɛmbî waam, wo jɨ məma Zɛmbî.
LUK.1.47	Shíshim wâm í ŋgə kɔɔs nə məshusʉg
LUK.1.47	nəcé cʉgye waamə́ Zɛmbî.
LUK.1.48	Nəcé a mə́ bə́lɛ ntɨ mísh dʉ́g zhizhe lwaá dɛ́ ámudâ.
LUK.1.48	Haaw! Tɛ́ɛ́d fwála gaád buud wâ ikala byɛ̂sh bwə́ bá dʉ cɨ nə́: «mɛɛ mə́ jəla».
LUK.1.49	Nəcé Zɛmbî á ŋkul nyɛ̂sh mə́ sá mə məma ísâ.
LUK.1.49	Jínə́ dɛ́ dʉ́sə nə gúmə́ ntɔ̧ sâ jɛ̂sh.
LUK.1.50	shú búúd bwə́ ŋwá nyə nə fúndʉ́gʉ́ wá kə wɔ́ɔ́s íkala ikala.
LUK.1.51	A mə́ sá nə́ buud bwə́ dʉ ŋkɛ̂ny mə́nyúúl wá bwə́ cɨ́ɨ́magʉ́.
LUK.1.52	a bʉ̂n ózhizhe ɔ búúd gwɔ̂w.
LUK.1.53	a nyiŋg búúd ɔ́ tɔɔm məbwə̂ ocwûd.
LUK.1.54	a mə́ tə́dʉga lâm mə́cɛy yé,
LUK.1.55	nda nyə á kaag impáámbə́ bísʉ́
LUK.1.55	shú mə́ *Abʉraham bə́nɔ̂ŋ mpwoŋ buud nyɛ́ kandʉgə á kandʉgə nə́.
LUK.1.56	Maríya bá Ilísabet bwə́ á já je bə óŋkwoond olɔ́ɔl nə́ ndɛɛ́ Maríya músə nyiŋgə kə bwə́dɨ́.
LUK.1.57	Wəla lʉ byɛyí í á ka wɔ́ɔ́s Ilísabet. A mú byá mwámudûm. 
LUK.1.58	Nə buud bə́nɔ́ŋ bwə́ á bə jáŋ baŋ wá, nə mimbyɛ̂l myɛ́ bwə́ mú gwág nə́ Yawé mə́ bul gwág nyə cɛy lámʉ́d. Bə́nɔ́ŋ bwə́ mú ka zə taag.
LUK.1.60	Njɨ nyɔɔŋgʉ́ mú cɨ nə́: «Mbɔ̂! Jínə́ dɛ́ wə́ Yuánɛs.» 
LUK.1.61	Bwə́ mú cɨ nə nyə nə́: «Muud ŋgwúd nə ŋgwúd cugɛ́ nə jínə́ lʉ́ Yuánɛs njɔ́w búúd wʉ́n wɛ̂sh dɨ̂.» 
LUK.1.62	Bwə́ mú dʉ lésha nə sɔ́ɔ́ŋgʉ́ mwân dʉ fufə njɨ məbwə̂ jílə nyə jínə́ á cɛ́ɛ́l gwiid mwân yí. 
LUK.1.63	Sɔ́ɔ́ŋgʉ́ mwân mú gwáámb nə́ bwə́ yə́g nyə kwóógʉ́ nə́ a zə́g cilə cínɔŋg. A mú cilə nə́: «Jínə́ dɛ́ wə́ Yuánɛs.» Buud bɛ̂sh bwə́ mú bul káam. 
LUK.1.64	Seegya ntâg nə́ Zakarî mpu mə́ bâŋ, jûm mú nyə fʉlî nə́ a je lás. A mú shwal bʉ̂n kə́l ŋgə yə Zɛmbî məshwúmb. 
LUK.1.65	Buud ɔ́ baŋ bɛ́ bwə́ mú bə nə fúndʉ́gʉ́. Nə́ ndɛɛ́ buud bwə́ mú ŋgə bwiiŋg lâŋ á isâ í á sɨ̂y ínɨ shí Yudéa á mimbʉ́ŋ nyɛ̂sh. 
LUK.1.66	Buud bɛ̂sh bwə́ á gwág lâŋ wɔɔŋg wá bwə́ á bə kú bwɛlɛ yîl lâm cínɔŋg. Bwə́ mú dʉ jî nə́: «Múmwán jɔɔŋg í bá bə jɨ́ e? Bʉ́bə́lɛ́, ŋkul mə́ Yawé í á ŋgə nyîn cʉg mə mwân wɔɔŋgʉ́d.»
LUK.1.67	Mwân sɔ́ɔ́ŋgʉ́ yé Zakarî mú lwánd nə Ŋkɛ̧́ŋkɛ̧̂ Shíshim nə́ cwɔ́ɔ́, a mú cúndə cúndə́ mə́ Zɛmbî, nyə nə́:
LUK.1.68	nəcé a mə́ kwiid kúl búúd jé, yîl bwo mənyámád.
LUK.1.69	mpwoŋ buud mə́ sɔ́ɔl məsáal yé *Dávid dɨ̂.
LUK.1.70	*buud ɔ mícúndə́ bɛ́ nyə á fɛ́ɛ́sh yág wá dʉ jaaw.
LUK.1.71	a yîl sə́ məbwə̂ mə́ bɔɔŋg bwə́ ŋgə́ mpii sə́ wád.
LUK.1.72	a mə́ tə́dʉga sɔ̧ nyə á sá nə bwo yí.
LUK.1.74	sə́ mə́ bá dʉ yə nyə gúmə́ kú nə ifwaas,
LUK.1.75	sə́ ŋgə́ lwóya nə́ sə́ bʉ́sə buud bɛ́,
LUK.1.75	sə́ ŋgə́ cʉgə tʉ́təlí nyə́dɨ́ míshʉ́d,
LUK.1.75	ŋgə cʉgə nda búúd ɔ kúl jé bwə́ jə́lá nə cʉgə nə́,
LUK.1.75	sə́ bə ntɔ́ mwɔ̂w mə́ cʉg mə́sʉ́ mɛ̂sh.
LUK.1.76	Nəcé wo bá kə́ Cwámba shwóg, kə kwambʉlə nyə zhɨɨ́
LUK.1.77	juu bwo nə *misə́m myáŋ.
LUK.1.78	A mə́ ntɨ sə́ məŋkɛnya mə́ ŋgə́ zhu gwɔ̂w
LUK.1.78	nda mɔɔŋg mə jwɔ̂w ja í dʉ cúwo yí,
LUK.1.79	mə́ zə́g sá nə́ sə́ cʉ́gəgí nə́ shɛɛ.
LUK.1.80	Mwân nyə á ka nə́mə́ ŋgə wɨ̂y, *shíshim yé ŋgə́ ŋwa ŋkul. Nyə á dʉ ji mə́shí mâ shwééshá nə́ ndɛɛ́ kə wɔ́ɔ́s jwɔ̂w nyə á kə lwóya nyúúl kúl búúd jé dɨ́ yí.
LUK.2.1	Í á zə bə mə́nɨ mwɔ̂w dɨ, *Káázɛl Ogust nyə á cilə nə́ buud ɔ shí mishwun bɛ̂sh bwə́ kə́g cilya ílâŋ dɨ̂. 
LUK.2.2	Ilâŋ bwɛlɛ́lə sɨ̂y wə́ cɨ́. Í á bə Kirínus njúl ŋgwə́mʉna á faan lʉ́ Sirî. 
LUK.2.3	Ntɔ́ buud bɛ̂sh bwə́ á ka kə ŋgə cilya, muud kə ŋgwə́la í dʉ́gyá nə bɛɛnd jé yííd. 
LUK.2.4	Yósɛb mú nə́mə́ tɨ́ Nazarɛ̂t faan lʉ́ Galilê, bád kə Betʉlehɛm, ŋgwə́la mə *Dávid faan lʉ́ Yudéa, nəcé nyə á bə mwân á njɔ́w búúd mə Dávid. 
LUK.2.5	Nyə á ŋgə kə ílâŋ dɨ́, bá Maríya, mudá í á bə nə́ bá bwə́ zə́ béya yɛ́, Maríya wɔɔŋg njúl nə bum.
LUK.2.6	Í á ka bə, bwə́ njúl nûŋ, fwála lʉ byɛyí mú wɔ́ɔ́s Maríya. 
LUK.2.7	A mú byá mwân yé acúmbâ, mwámudûm. A mú wá nyə bwə́mád a bwɨ́ɨ́g nyə kʉ́l bwə́ á dʉ wá itɔw idʉ̂w nə́ í dʉ́g də yí, nəcé bwə́ áshígɛ́ bə nə bwágə́ njɔ́w ójôŋ.
LUK.2.8	Obaagʉlə ɔ́ itɔw bwə́ á bə shí nyɔɔŋgʉ́d bwə́ ŋgə́ ji mifum tɔ́ɔ́n íbugád ŋgə́ baagʉlə itɔw byáŋ. 
LUK.2.9	Ŋgwɔ́l *éŋgəles mə Yawé mú zə wɔ́ɔ́s bwo na, məŋkənʉwa mə Cwámba mə́ mú lyɛ̧ bwo nə məŋkɛnya nə́ kɛsh. Ifwaas í músə jág bií bwo. 
LUK.2.10	Njɨ, éŋgəles mú cɨ nə bwo nə́: «Kúgá fúndə, nəcé mə ŋgə zə bɨ́ nə jɔ̧jɔ̧ kɛ́ɛl í é sá kúl búúd jɛ̂sh məma mə́shusʉg yí. 
LUK.2.11	Cʉgye mə́ byɛ̂l bɨ́ múús ŋgwə́la mə *Dávid. Nyə wə́ *Krîst Cwámba. 
LUK.2.12	Bɨ é yag nyə nə məyɨɨgyé mə́ga: bɨ é kwey kʉ́kény í mbwúg bwə́mád kʉ́l bwə́ dʉ wá itɔw idʉ̂w nə́ í dʉ́g də yí.»
