MAT.1.1	Ọkwukwo osnusno ọmumu Jizọsi Karaịsi, nnwọ Devidi, nnwọ Ebereham.
MAT.27.46	N'ọtnu-ige ke ẹto, Jizọsi jiri okne nkọli siwama, kaa, “Ẹloi, Ẹloi, lama sabatanị,” ke bụ, “Chiokike m, Chiokike m, kịni mernu ị ghasarụ m?”
MAT.27.47	Agwna ele gwuzo ndụndu nụrnu a, be kaa, “O noosukwu Ẹlaija.”
MAT.27.48	Ngangam, otu badnụ gba ẹso gweru spọnji gbajite a nụ manya gbarụ ọka, tụkwasi a n'olu isisi, nyee a ma ọ nwọ. 
MAT.27.49	Ele berere kaa, “Gharụ a, a lesi ma Ẹlaija jaava ọ znọhia a.”
MAT.27.50	Nga Jizọsi jiri okne nkọli si okokoba berere, o nwebime inwe.
MAT.27.51	Ige wam ikpe obnosni ke Ọro Nsọ Chiokike gbawarụ ibekala lawụru hite n'olu dụ n'ẹli. Ẹli otne enye dnarnụ, agịda rugwu gbawarụ. 
MAT.27.52	Ilili kpumernu, agịda ele nsọ hiri n'ẹnwu lizọ, 
MAT.27.53	be whụya nụ rime ilili. Nga Jizọsi hiri n'ẹnwu lizọ, be bnazne nụ rime ẹli-ọhna nsọ, gesi agịda ele badnụ ẹhni be.
MAT.27.54	Nga nye nẹechi otu riwhu ele ọgwnu nụ ele ọgwnu a zị neese Jizọsi whnụrnu ẹli otne enye nụ kpakara nhne mernu, be tụ ogwnu k'agịda, be kaa, “N'ezi, nyerukna ka bụri Nnwọ Chiokike.” 
MAT.27.55	Agịda ele rinya zị masị hne zị ikere neelekiri, ele hi nụ Galili snornu Jizọsi va, neeznenu a izi. 
MAT.27.56	N'esilawụru be bụ Meri Magịdalini, nụ Meri nne Jemisi nụ Josefu, nụ nne rụmu Zebidi.
MAT.27.57	Nga ogbednachi, otu nye eze be kwu Josefu, nye Arimatiya, nye sno apna Jizọsi, 
MAT.27.58	znekwnusiri Paịleti, rịo a iznu Jizọsi. Paịleti nyernu iwu be vute a iznu Jizọsi. 
MAT.27.59	Josefu vuru iznu wam, whụ a n'ikpe abọchna marnụ mma, 
MAT.27.60	zne lite a nụ rime ilili ikne ke aka a, ke o gwuwaru nụ rime rugwu. O vuru otu rugwu hna ezi kpusni ọnu-mgbo ilili wam. 
MAT.27.61	Meri Magịdalini nụ Meri kịyari zị ndụndu, kete ruwhnu n'ilili wam.
MAT.27.62	N'ekile a, ke bụ ọbochi ke sno ọbochi ojiknernu, ele risi arịohna, nụ ele Farisi gbakọru znekwnusi Paịleti, 
MAT.27.63	kaa, “Nda-aị-kwu, a chenwanyarnụ nụ nye nduwhu wam karụ nga ọ zị bụdnu, ‘Nga ọbochi ẹto whemernu, m jeehi n'ẹnwu lizọ.’ 
MAT.27.64	Kam kpayarụ, nyee iwu ma be mesni ilili wam rikne dụ ọbochi ẹto, ma ele sno apna a gharụ o znurnu a n'abalị, kanụ ele badnụ nụ o hiri n'ẹnwu lizọ. Aghalaghala ke ipne-aznụ jaakakwo ke mbọm.”
MAT.27.65	Paịleti kanụ be, “Anụ zne, gweru ele ọgwnu, be se, anụ mesni ilili wam rikne kpa anụ nwernu rikne o mee a.” 
MAT.27.66	Be zne, mesni ilili rikne, kasị ilili a akara n'olu akaworugwu, bịta masị ele nse.
MAT.28.1	Nga Ọbochi Ozukwa Inwe whemernu, nga chị nọobo n'ọbochi mbọm n'ikwezu, Meri Magịdalini, nụ Meri kịyari varụ lekasi ilili. 
MAT.28.2	Ngangam, ẹli tnernu enye, enine izi Nyenwe aị hiri n'oligwe hiedna, vume akaworugwu wam, dazịri ẹli n'olu a. 
MAT.28.3	Ruwhnu a nụ lele amụma, iwo a naachna lele mkpụru-mini. 
MAT.28.4	Ogwnu tụru ele nse wam, be ma ririri dna n'ẹli lele ele nwụrnu ọnwu.
MAT.28.5	Enine izi wam kanụ ele rinya wam, “Ogwnu tụ́ anụ, m maam nụ anụ noopio Jizọsi, nye be kpọgidnernu n'ọgba. 
MAT.28.6	Ọ zị́la hna, kwnornu nụ o hilem n'ẹnwu lizọ, lele kpa o kwuru. Anụ va whnụ hne be liru a. 
MAT.28.7	Anụ zne wara wara kanụ ele sno apna a, nụ o hilem n'ẹnwu lizọ, o belem anụ ọsno neezne Galili, anụ jọowhnu a pịi. Le, m bele m ọsno kanụ anụ.” 
MAT.28.8	Be gweru ẹso, gweru izne hi n'ilili wam gbawhu, be nọotu ogwnu, mkpọma nọoso masị be n'ọnu k'agịda. Be zne kanụ ele sno apna a.
MAT.28.9	Jizọsi kwnusiri be kpa be neezne n'apna, ọ kanụ be, “M bekwulem anụ.” Be bna a n'ọchi lawụru, kpọnu a risi ẹli. 
MAT.28.10	Jizọsi kanụ be, “Ogwnu tụ́ko anụ, anụ zne kanụ rụmu nda m, be zne Galili, ọ hne be jọowhnu m.”
MAT.28.11	Kpa ele rinya wam naala, agwna ele ọgwnu wam neese ilili znernu n'ẹli-ọhna kanụ ele risi arịohna kpakara nhne mernu. 
MAT.28.12	Ele risi arịohna nụ ele okno badnụ gba iznuznu, be kwụ be agịda ịwai. 
MAT.28.13	Be kaa, “Anụ kaa, ‘Ele sno apna a varụ n'abalị nga a neezni anyarna znurnu iznu a.’ 
MAT.28.14	Ọ bụru nụ nye nẹechi ẹchi nụ a, a jeeme o kweru nụ ikpe mána anụ, anụ jáabna nụ mmekpẹhni.”
MAT.28.15	Ele ọgwnu wam gweru ịwai wam mee nhne ele risi arịohna nụ ele okno badnụ karụ be mee. Be wheke ọtnutnu ka kpakara n'esilawụru ele Ju dụ tna.
MAT.28.16	Ele sno apna a nri nụ otu wam zne nụ Galili n'olu rugwu lele kpa Jizọsi kanụ be. 
MAT.28.17	Nga be whnụrnu a, be kpọnu a risi ẹli, kọvu agwna be nwernu mkpọma lawụru. 
MAT.28.18	Jizọsi vakwnusi be, kaa, “Be nyernu m kpakara rikne ke zị n'oligwe ma n'ọwa. 
MAT.28.19	Anụ zne nụ kpakara ọwa mee ele badnụ be bụru ele sno apna m, nọowu be mini nụ rẹwhna ke Nda, nụ ke Nnwọ nụ ke Enine Nsọ. 
MAT.28.20	Anụ zni be bịta kpakara nhne me nyernu anụ n'iwu. N'ezi, me nụ anụ zị kpakara ige dụ ọkwnukokwnu.”
MRK.1.1	Ọpanizo izi ọma Jizọsi Karaịsi, Nnwọ Chiokike. 
MRK.1.2	Lele kpa Azaya nye ọwhnurninya gbarụ a n'ọkwukwo, Chiokike karụ,
MRK.1.2	“Bno nsnị, le, m neezizne nye izi m nụ ruwhnu ị,
MRK.1.2	nye jeemekwata apna ị.
MRK.1.3	Akpịri otu badnụ nọokpo okwo n'ẹli-ịkpa, naakaa,
MRK.1.3	‘Anụ mekwata apna Nyenwe aị,
MRK.1.3	anụ mee ma apna a snịrni asnị.’ ”
MRK.1.4	Jọni Nye Wụ Mini bụ nye wam whụyaru iwhne n'ẹli-ịkpa nọokpo okwo naakaa ele badnụ tụhnasna mkpọma ma be wụ be mini, ma Chiokike gbarụnu be mmehie. 
MRK.1.5	Kpakara ele zị nụ mgbu Judiya nụ ẹli Jerusẹlem whọkwnusiri a. Ọ wụ be mini n'Osimini Jọdani, be nookwuhịa mmehie be.
MRK.1.6	Jọni wogwu iwo rịjni akpụkpo anọhia be kwu kamẹli. Ajnị ọ snụ n'ikwnu bụ akpụkpo anọhia. Wiri a bụ igwurube nụ mọno ebeka ọhia. 
MRK.1.7	Ọ nọokpo okwo naakaa, “Nye kakwo m rikne vawa n'aznụ m, nye me kwésile o whudnahie ẹli tọma eriri okoro-ọchi a lawụru. 
MRK.1.8	M ji m mini wụ anụ mini, kọvu nụ nye wam jeeji Enine Nsọ nọowu anụ mini.”
MRK.1.9	N'ige wam, Jizọsi hiri nụ Nazarẹti ke zị n'ẹli Galili va, Jọni wụ a mini nụ rime Osimini Jọdani. 
MRK.1.10	Ngangam Jizọsi hiri nụ mini nọowhuya, ọ whnụrnu oligwe hne o kpumernu, ọ whnụ Enine Nsọ hne o neewhekwasi a lele nduru. 
MRK.1.11	Otu akpịri hiri n'oligwe kaa, “Jị bụ Nnwọ m me whnụrnu n'anya, nhne ị masịri m.”
MRK.1.12	Ngangam Enine Nsọ wam duru a bna ẹli-ịkpa. 
MRK.1.13	Ọ zị n'ẹli-ịkpa nri ọbochi ẹno. Ekwensu naarna a ọrnurna, ya nụ rụmu anọhia zị. Kọvu nụ ele enine izi neeznenu a izi.
MRK.1.14	Nga be yisiri Jọni n'ikelu, Jizọsi znernu Galili neezni izi ọma Chiokike gweyarụ. 
MRK.1.15	Ọ naakaa, “Ige zulem, ẹli-eze Chiokike zị ndụndu, anụ tụhnasna mkpọma kweru izi ọma.”
MRK.1.16	Nga o znernu nụ ngeri Osimini Galili, ọ whnụ Saịmoni nụ Anduru nwene a rukna hne be zị nọowu ịgbo nụ rime osimini, kwnornu nụ be bụ ele noogbu aznụ. 
MRK.1.17	Jizọsi kanụ be, “Anụ va sno m n'aznụ, m jeeme anụ bụru ele jọokwnuhia ele badnụ lele kpa anụ noogbu aznụ.” 
MRK.1.18	Ngangam be sịgbasi ịgbo be, sno a.
MRK.1.19	O zne nụ ruwhnu matị, ọ whnụ Jemisi nnwọ Zebidi nụ Jọni nwene a rukna zị n'ọgbo berere, neemekwata ịgbo be. 
MRK.1.20	O sukwu be, ngangam be gharụ Zebidi nda be n'ọgbo, ya nụ ele be gnornu ẹrnu, snornu a.
MRK.1.21	Be nụ Jizọsi zne n'ẹli-ọhna Kapanọm bna n'ọro ọgbako ele Ju n'Ọbochi Ozukwa Inwe neezni nhne. 
MRK.1.22	Nhne o neezni duru be ẹhni, kwnornu nụ o znirni nhne lele nye nwernu rikne, ọ bụ́o lele ele zni iwu ele Ju.
MRK.1.23	Otu nwerukna rẹnwu ọjo nwụgwu bnanyarnụ nụ rime ọro ọgbako be, siwama, 
MRK.1.24	“Kịni bụ nhne aị nụ jị nwekọgwu, Jizọsi nye Nazarẹti? Ị varụ ma i gbumekwo aị? M maam nye ị bụ, ị bụ nye nsọ ke Chiokike.”
MRK.1.25	Jizọsi bigbọru a, kaa, “Kpusnime ọnu ị, hi nụ rime a whụya.”
MRK.1.26	Rẹnwu ọjo wam dọsiri a rikne. O gweru okne nkọli si okokoba, hi nụ rime a whụya. 
MRK.1.27	O duru kpakara be ẹhni ke mernu be bete nẹesikwarita ẹhni be, “Ka bụ kịni? Ọ bụ o zni nhne ikne sa? O nwernu rikne ke o ji nọotunu rẹnwu ọjo ọka, be bnotenu a nsnị.”
MRK.1.28	Be tnụsi ọtnutnu a nụ kpakara ẹli Galili.
MRK.1.29	Nga Jizọsi hiri n'ọro ọgbako ele Ju wam whụya, ya nụ Jemisi nụ Jọni, be bna n'ọro Saịmoni nụ Anduru. 
MRK.1.30	Ige wam nne nnwerne Saịmoni dnanyị naarịa ẹhni orne bẹkwnu, ngangam be kanụ Jizọsi nhne gbasịri nwerinya wam. 
MRK.1.31	O znekwnusi a, jiri a n'aka, dọlizo a olu. Ngangam ẹhni orne bẹkwnu wam sịgbasi a, o bete neeznenu be izi.
MRK.1.32	N'ogbednachi, nga ẹhnam dnarnụ, be kwuyanụ Jizọsi kpakara ele nrịria, nụ ele rẹnwu ọjo nwụgwu. 
MRK.1.33	Kpakara ele zị n'ẹli wam gbakọru n'ọnu-mgbo neelekiri. 
MRK.1.34	Ọ gwọru agịda ele nrịria zị ọdo n'ọdo, ọ chịmarnu agịda rẹnwu ọjo. O kwéle rẹnwu ọjo kwu ọka, kwnornu nụ be magwụ nye ọ bụ.
MRK.1.35	N'ọnu ọsisi, nga chi yọ́obochnage, o lizọ zne hne kọru owu, neekpe okpukpe. 
MRK.1.36	Saịmoni nụ ele ya nụ be zị noopio a. 
MRK.1.37	Nga be piohịaru a, be kanụ a, “Kpakara ele badnụ noopio ị.”
MRK.1.38	Kọvu Jizọsi kanụ be, “A jeezne n'ẹli ele ke berere ma m zni m be izi ọma, kwnornu ka bụ nhne me kwnornu va.”
MRK.1.39	O zne nụ rime kpakara ọro ọgbako ele Ju zị nụ kpakara Galili neezni izi ọma, chịhala masị rẹnwu ọjo.
MRK.1.40	Otu nye naarịa nchnịchna vakwnusiri a, rịasno a, gbunu a mpnerne ọchi, kaa, “Ọ bụru nụ i pioru, i nwernu rikne mee m zịri rịchna.”
MRK.1.41	Jizọsi dọnu a obirizi, dọsnima aka a, kpatụ a, kaa, “M pioru m, zịri rịchna.” 
MRK.1.42	Ngangam be gwọru a nchnịchna wam, ọ zịri rịchna.
MRK.1.43	Jizọsi dọru a aka nụ nsnị k'agịda chịhala a. 
MRK.1.44	Ọ kanụ a, “Ọ zá nye ọbula ị kanụ, kọvu la, gweru ẹhni ị gesi nye ọkwa arịohna, gweru masị nhne Mozizi nyernu n'iwu kwa arịohna ma ọ bụru nhne akebne nyee be nụ ị zị rịchna.” 
MRK.1.45	Kọvu ọ whọgaru bete nọotnunu ele badnụ, neewheke ọka wam, ke kpahịaru nụ Jizọsi nwéma rikne berere ọ bna nụ rime ẹli-ọhna hne ele badnụ jọowhnu a, kọvu o znernu hne kọru owu, ele badnụ neehi penupe ọbula naavakwnusi a.
MRK.2.1	Nga Jizọsi lahnarnụ n'ẹli Kapanọm, kpa ọbochi ele nụ ele whemernu, agịda ele badnụ nụrnu nụ ọ zị n'ọro. 
MRK.2.2	Agịda ele badnụ varụ jipịya kpa ọ zị́ma oghere zị, ma n'ọnu-mgbo. Ọ zị masị nookwunu be ikwu-ọnu Chiokike. 
MRK.2.3	Be vakwnusi a, vuyanu a otu nye ngeri ẹhni a dọnwurnu ọdonwu, badnụ ẹno vu a. 
MRK.2.4	Nga be nwée rikne dụ a ẹhni kwnornu nụ agịda ele badnụ wam, be kọma olu ọro hne ọ zị. Nga be dọkamarnu a, be vudna ọkpata ke nye ngeri ẹhni a wam dọnwurnu ọdonwu danyị. 
MRK.2.5	Nga Jizọsi whnụrnu ọkwnata ovu be, ọ kanụ nye wam ngeri ẹhni a nwụrnu ọnwu, “Nnwọ m, be gbarụnam jị kpakara mmehie i.”
MRK.2.6	Kọvu nụ agwna ele zni iwu ele Ju dazị ẹli pịi, zị nẹesikwa nụ mkpọma be, 
MRK.2.7	“Kịni mernu nwerukna ka jiri kwu ọka kpa? O kwululem Chiokike. Ndaa nye nwernu rikne ọ gbarụ mmehie hne ọ bụ́o Chiokike kpọi?”
MRK.2.8	Ngangam, Jizọsi mahịaru nụ rime enine a nụ be zị naarị ọka wam nụ rime mkpọma be, ọ sịkwa be, “Kịni kpahịaru anụ naarị ọriri ka nụ mkpọma anụ? 
MRK.2.9	Ndaa ke zị ewheke, ọ kanụ nye ngeri ẹhni a dọnwurnu ọdonwu, ‘Be gbarụnam jị kpakara mmehie i,’ mọbu ọ kaa, ‘Lizọ, chịri etere i, zne izne.’ 
MRK.2.10	M pioru m anụ mahịa nụ Nnwọ ke Badnụ nwernu rikne n'ọwa ọ gbarụ mmehie.” Jizọsi kanụ nye wam ngeri ẹhni a dọnwurnu ọdonwu, 
MRK.2.11	“M ka m ji, lizọ, chịri etere i, la ọro ị.”
MRK.2.12	Ngangam, o lizọ, chịri etere a, whọga nụ ruwhnu kpakara be, o du kpakara be ẹhni, be znarnị Chiokike, naakaa, “A whnụ́lele nhne nụ kpa.”
MRK.2.13	Jizọsi whọga kwno berere nụ ngeri Osimini Galili, agịda ele badnụ vakwnusiri a. O bete neezni be nhne. 
MRK.2.14	Nga o neewhe, ọ whnụ Livaị nnwọ Alịfayosi, hne ọ dazị n'ọro ntụ. Ọ kanụ a, “Sno m.” O lizọ snornu a.
MRK.2.15	Ọ dụ nga Jizọsi dazị neeri wiri n'ọro Livaị, agịda ele ọna ntụ nụ ele mmehie snornu Jizọsi nụ ele sno apna a neeri wiri. Ige wam, ele sno a zị agịda. 
MRK.2.16	Nga ele zni iwu ele Ju ele bụ ele Farisi whnụrnu nụ ele mmehie nụ ele ọna ntụ sno a neeri wiri, be sịkwa ele sno apna a, “Kịni mernu o noosno ele ọna ntụ nụ ele mmehie neeri wiri?”
MRK.2.17	Nga Jizọsi nụrnu a, ọ kanụ be, “Mkpa dibịa zị́ko naakpa ele ẹhni bụru ọma, okwolem ele nrịria. M váge m o sukwu ele ọma, okwolem ele mmehie.”
MRK.2.18	Ọ dụ nga ele sno Jọni nụ ele Farisi noovu ọnu, agwna ele badnụ vakwnusi Jizọsi sịkwa a, “Kịni mernu ele sno Jọni nụ ele sno ele Farisi noovu ọnu, kọvu ele sno apna ị zá noovu ọnu.”
MRK.2.19	Jizọsi sarụ be, “Ele varụ hne be nọolu nnwerne ikne be joovu ọnu hne nyerukna wam nọolu nnwerne ikne nụ be zị? Kpakara ige ke be nụ nye nọolu nnwerne ikne zị, be jóovu ọnu. 
MRK.2.20	Kọvu ọbochi vawa nga be jaanahọru be nye nọolu nnwerne ikne. Ọbochi wam be joovu ọnu.
MRK.2.21	“Ọ zá nye jeegweru mkpekele ikpe ikne dnụsni n'iwo ọknani. O mene kpam, iwo ke ikne jọodokahala nhne n'ẹhni ke ọknani. Ọ jọodoka ke kakwo agịda. 
MRK.2.22	Ọ zị́ masị nye jeegweru manya ikne gbasị n'olori akpụkpo ọknani. O mene kpam, manya wam jaagbawama, manya nụ olori akpụkpo whume etekne. Kọvu be gbasị manya ikne n'olori akpụkpo ikne.”
MRK.2.23	Ọ dụ n'otu Ọbochi Ozukwa Inwe, Jizọsi nụ ele sno apna a naagawhe n'esilawụru ẹkwu ịkpa. Ele sno apna a bete ọ ghọ ịkpa kpa be znezne. 
MRK.2.24	Ele Farisi kanụ a, “Le, kịni mernu be neeme nhne kwésile o mee n'Ọbochi Ozukwa Inwe?”
MRK.2.25	Jizọsi sarụ be, “Anụ gwnụ́na nhne Devidi mernu nga ọ zị nụ mmekpẹhni, nga wiri gwnụrnu a, ya nụ ele snogwu a? 
MRK.2.26	O bnaznernu n'ọro nsọ Chiokike, nga Abịata bụ nye risi arịohna, o ri brẹdi be bịtaru nụ ruwhnu Chiokike ke kwésile n'iwu o ri, okwolem ele ọkwa arịohna bụ ele kwesiri n'iwu o ri a, o nyee masị ele nụ ya snogwu.”
MRK.2.27	Ọ kanụ be, “Chiokike mernu Ọbochi Ozukwa Inwe kwnornu badnụ, be méne badnụ kwnornu Ọbochi Ozukwa Inwe. 
MRK.2.28	Ọ nhne kpahịaru Nnwọ ke Badnụ jiri bụru masị Nyenwe Ọbochi Ozukwa Inwe.”
MRK.3.1	Jizọsi bna kwno berere n'ọro ọgbako ele Ju, otu nwerukna aka dọnwurnu ọdonwu zị pịi. 
MRK.3.2	Ele Farisi zị neese a, ma ọ jọogwo a n'Ọbochi Ozukwa Inwe, ma be bno a nhne. 
MRK.3.3	Ọ kanụ nyerukna wam aka a dọnwurnu ọdonwu, “Lizọ, gwuzoru nụ ruwhnu kpakara ele badnụ.” 
MRK.3.4	Ọ sịkwa be, “Ọ bụru ọma n'iwu o mee nhne ọma, mọbu o mee nhne bụ́o ọma n'Ọbochi Ozukwa Inwe? Ọ znọhia bụdnu mọbu o gbu ogbu?”
MRK.3.4	Kọvu be nyasimernu bidim. 
MRK.3.5	Nga o lekparụ anya ngaramanga o we ẹhni, o nwe ovu ọjo kwnornu nụ mkpọma ọjo be. Ọ kanụ nyerukna wam, “Dọsnima aka ị.” Ọ dọsnima aka a, aka a bụru ọma lele kpa ọ zị nụ mbọm. 
MRK.3.6	Ele Farisi whọga, ngangam be nụ ele dagwụnu Erọdu zne gbagidne a iznuznu, kpa be joogbu a.
MRK.3.7	Jizọsi nụ ele sno apna a whọgaru zne ngeri Osimini Galili. Agịda ele badnụ hi n'ẹli Galili snornu a, ma ele hi nụ Judiya, 
MRK.3.8	ma ele hi n'ẹli Jerusẹlem, nụ ẹli Idumiya, ma n'ọbosi ẹhnam ke Osimini Jọdani nụ gburugburu Taya nụ Saịdoni, vakwnusiri Jizọsi nga be nụrnu kpakara nhne o mernu. 
MRK.3.9	Ọ kanụ ele sno apna a be mee kpa otu ọgbo matị jaazịri a ndụndu kwnornu agịda ele badnụ wam, ọ zị be kpagbu a. 
MRK.3.10	Ige wam, Jizọsi gwọru agịda ele nrịria, ke kpahịaru agịda ele nrịria ọjo zị ọdo n'ọdo nọokpu n'ẹhni a ma be kpatụ a aka. 
MRK.3.11	Nga ọbula ele rẹnwu ọjo whnụrnu a, be dna n'ẹli nụ ruwhnu a, siwama, kaa, “Jịwa bụ Nnwọ Chiokike.”
MRK.3.12	Jizọsi dọ be aka nụ nsnị be mékọ ele badnụ mahịa nye ọ bụ.
MRK.3.13	Jizọsi pnezne n'olu rugwu, sukwu ele o pioru. Be znekwnusi a. 
MRK.3.14	Ọ họru ele rukna nri nụ ẹbo ma ya nụ be dazịri, kwu be ele izi, ma o zihala be zne kpọ okwo izi ọma, 
MRK.3.15	o nyernu be rikne ọ chịhala rẹnwu ọjo.
MRK.3.16	Ka bụ nri nụ badnụ lawụru wam ọ họruru, Saịmoni, nye Jizọsi jịri rẹwhna Pita, 
MRK.3.17	nụ Jemisi nnwọ Zebidi, nụ Jọni nwene Jemisi, ọ jị kwno be rẹwhna Banajisi, ke bụ rụmu egbe oligwe, 
MRK.3.18	nụ Anduru, nụ Filipu, nụ Batolomi, nụ Matiyu, nụ Tọmosi, nụ Jemisi nnwọ Alịfayosi, nụ Tadịyosi nụ Saịmoni nye zị n'esilawụru ele noonwu bẹkwnu nụ mkpọma, 
MRK.3.19	nụ Judasị Isikarịoti, nye reru a.
MRK.3.20	Jizọsi bna n'otu ọro, agịda ele badnụ jipịya kwno berere, ke kpayarụ o nwée oghere ri wiri. 
MRK.3.21	Nga rụmu nne a nụrnu a, be whọga ma be nwụgwu a, kwnornu nụ be karụ, “Mkpọma a zúle ozu.”
MRK.3.22	Agwna ele zni iwu ele Ju hiri nụ Jerusẹlem va, kaa, “O nwernu Bẹlizibolu, o ji rikne nye risi rẹnwu ọjo naachịhala rẹnwu ọjo.”
MRK.3.23	Jizọsi sukwukọta be, tnụnu be elulu zị ọdo n'ọdo, “Setani ọ jaachịhalali Setani? 
MRK.3.24	Ọ bụru nụ ẹli-eze kewama megidne ẹhni a, ẹli-eze wam jóogwuzoli. 
MRK.3.25	Ọ bụru masị nụ ezi-nụ-ọro kewama megidne ẹhni a, ezi-nụ-ọro wam jóogwuzoli. 
MRK.3.26	Ọ bụru masị nụ Setani lizọru megidne ẹhni a, kewama, o jóogwuzoli, ẹnwu a valẹm.
MRK.3.27	“Ọ zá nye jaabnali n'ọro nye dikne, naahọru a kpakara nhne a, ọ bụru nụ o béle ọsno kne dikne wam eriri. Ige wam o jeenwe rikne naahọru a nhne zị n'ọro a.
MRK.3.28	“Owe! M naakanụ anụ ezi ọka, Chiokike jaagbarụnu rụmu badnụ kpakara arụru-ẹli be rụru nụ ọka ọjo be nookwu, 
MRK.3.29	Kọvu nye ọbula ke kwuru kwugidne Enine Nsọ jéenwe ọgbarunu tim tọm. Kwnornu nụ nye wam rụlam arụru-ẹli nwée ọgbarunu ọkwnukokwnu.” 
MRK.3.30	Jizọsi kwuru ka kwnornu nụ be naakaa nụ o nwernu rẹnwu ọjo.
MRK.3.31	Nne Jizọsi nụ rụmu nne a varụ, be gwuzoru n'ederezi, ziznenu a izi, noosukwu a. 
MRK.3.32	Agịda ele badnụ wam zị a gburugburu kanụ a, “Le, nne i nụ rụmu nne i zị n'ederezi noopio i.”
MRK.3.33	Jizọsi sịkwaru be, “Nyele bụ nne m nụ rụmu nne m?” 
MRK.3.34	O lehnata anya ele dazị a gburugburu, kanụ be, “Anụ le nne m nụ rụmu nne m. 
MRK.3.35	Nye ọbula ke neeme nhne Chiokike noopio, nye wam bụ nwene m rukna nụ nwene m rinya nụ nne m.”
MRK.4.1	Jizọsi panịzo neezni kwno nhne nụ ngeri osimini. Agịda ele badnụ jihịaru hne ọ zị, ke kpayarụ ọ bnazne n'ọgbo, dazịri ẹli. Kpakara igbudu badnụ wam gwuzoru nụ mkpomkpo ẹli. 
MRK.4.2	O ji elulu neezni be agịda nhne zị ọdo n'ọdo. Nụ nhne o neezni, ọ kaa,
MRK.4.3	“Anụ bnote nsnị, otu nye ẹrnu ẹkwu znernu agha mkpụru. 
MRK.4.4	Ọ dụ nga ọ naagha mkpụru, agwna mkpụru dnarnụ nụ ngeri apna. Rụmu ọnunu tụturu be ta. 
MRK.4.5	Agwna mkpụru dnarnụ n'ẹli rugwu hne be nwée agịda rịzna, ngangam mkpụru wam fuhịaru, kwnornu nụ be nwée agịda rịzna. 
MRK.4.6	Kọvu nga ẹhnam wasịri, be chnanwụ, kwnornu nụ be nwée ẹgwnugwnu. 
MRK.4.7	Agwna mkpụru berere dnarnụ n'esilawụru igwnu, igwnu wam sohịa, kpagbu a, ọ mị́nyage mkpụru. 
MRK.4.8	Agwna mkpụru berere dnarnụ n'ẹli bụru ọma, fuhịa, nooso, naaba, mịhia nri mkpụru ẹto, berere nri isunu, berere otu riwhu.”
MRK.4.9	Ọ kanụ be, “Nye nwernu nsnị o ji ọ nụ nhne, ọ nụrnu.”
MRK.4.10	Nga Jizọsi nụ ele sno apna a nri nụ badnụ lawụru wam zị, nụ agwna ele berere, be sịkwaru a nhne gbasịri agịda elulu. 
MRK.4.11	Ọ kanụ be, “Be mernu anụ mahịa nhne tugwaru otugwa ke ẹli-eze Chiokike, kọvu ele zị n'ederezi, be naakanụ be kpakara nhne n'elulu, 
MRK.4.12	ma
MRK.4.12	‘Be neele anya kpọi, gharụ ọ whnụ,
MRK.4.12	nọonu nụ nsnị, gharụ ọ ghọhia,
MRK.4.12	ọ zị be tụhnasna mkpọma hne Chiokike zị,
MRK.4.12	nwehịa ọgbaru.’ ”
MRK.4.13	Jizọsi sịkwa be, “Anụ ghọ́hiage elulu ka? Ndaa kpa anụ jeeji ghọhia kpakara elulu? 
MRK.4.14	Nye ẹrnu ẹkwu naagha mkpụru ghasịri ikwu-ọnu Chiokike. 
MRK.4.15	Mkpụru ele ke dnarnụ nụ ngeri apna nụ lele ele ke nụrnu ikwu-ọnu wam, kọvu nga be nụrnu a, ngangam Ekwensu varụ gweme ọka wam nụ mkpọma. 
MRK.4.16	Mkpụru ke be ghasịri nụ hne rugwu zị nụ lele ele ke nụrnu ikwu-ọnu wam, ngangam be gweru snarnịma gweru a. 
MRK.4.17	Kọvu nụ be nwée ẹgwnugwnu, be dazị ige matị, omekwo, nga mmekpẹhni mọbu awhnụwhnu varụ kwnornu nụ ikwu-ọnu wam, ngangam be dnahnala aznụ. 
MRK.4.18	Mkpụru ke be ghasịri n'esilawụru igwnu nụ lele ele ke nụrnu ikwu-ọnu wam, 
MRK.4.19	kọvu mmekpẹhni ke ọwa ka, nụ aghịgho ọ whnụ ẹkwnu n'anya, nụ nkọli ke nhne berere, bnanyarnụ, kpagbu ikwu-ọnu wam. Ọ ghọ nhne mị́na mkpụru. 
MRK.4.20	Mkpụru ke be ghasịri n'ẹli bụru ọma nụ lele ele ke nụrnu ikwu-ọnu wam, be narnụ a, ọ mịpiya nri mkpụru ẹto, berere nri isunu, berere otu riwhu.”
MRK.4.21	Jizọsi kanụ be, “Anụ neegweya tọnji bịta a nụ mkpururu nkịta, mọbu nụ mkpururu ọkpata? Ọ bụ́o n'olu nhne be bịta tọnji? 
MRK.4.22	Kwnornu nụ ọ zá nhne be bịgwaru abịgwa, ke be jéeme ọ whụya iwhne, be jookpume kpakara nhne be kpusnirni okpusni. 
MRK.4.23	Ọ bụru nụ nye nwernu nsnị o jị ọ nụ nhne, ọ nụrnu.”
MRK.4.24	Ọ kanụ be, “Anụ bnote nsnị nkarị nkarị nhne anụ nọonu. Nhne anụ jiri tụnu nye berere bụ nhne be jeeji tụnu anụ, be jeenye anụ karụkwo. 
