GEN.1.1	Anns an toiseach
GEN.37.33	Agus dh’aithnich e e, agus thubhairt e, Còta mo mhic; chuir droch bhèist as dha
GEN.37.34	Agus reub Iàcob a aodach, agus chuir e aodach‐saic air a leasraidh
GEN.37.35	Agus dh’èirich a mhic uile agus a nigheanan uile suas, a thoirt sòlais dha
GEN.37.36	Agus reic na Midianaich e anns an Èiphit ri Potiphar, oifigeach le Phàraoh, ceannard an fhreiceadain.
GEN.38.1	Agus anns an àm sin fhèin chaidh Iùdah sìos o a bhràithrean, agus thionndaidh e a‑steach a dh’ionnsaigh Adulamaich àraidh, dom b’ainm Hirah.
GEN.38.2	Agus chunnaic Iùdah an sin nighean Canàanaich àraidh, dom b’ainm Suah: agus ghabh e i, agus chaidh e a‑steach da h‑ionnsaigh.
GEN.38.3	Agus dh’fhàs i torrach, agus rug i mac: agus thug e Er mar ainm air.
GEN.38.4	Agus dh’fhàs i torrach a‑rìs, agus rug i mac; agus thug i Onan mar ainm air.
GEN.38.5	Agus dh’fhàs i torrach fhathast, agus rug i mac; agus thug i Selah mar ainm air: agus bha esan ann an Chedsib, nuair a rug i e.
GEN.38.6	Agus ghabh Iùdah bean do Er a chiad‐ghin, dom b’ainm Tàmar.
GEN.38.7	Agus bha Er, ciad‐ghin Iùdah, aingidh ann an sealladh an Tighearna
GEN.38.8	Agus thubhairt Iùdah ri Onan, Falbh a‑steach a dh’ionnsaigh bean do bhràthar
GEN.38.9	Agus bha fhios aig Onan nach b’ann leis fhèin a bhiodh an sliochd; agus nuair a chaidh e a‑steach a dh’ionnsaigh bean a bhràthar, dhòirt e air a’ bhlàr e, a‑chum nach tugadh e sliochd da bhràthair.
GEN.38.10	Agus bha an nì a rinn e olc ann an sealladh an Tighearna: uime sin mharbh e esan mar an ceudna.
GEN.38.11	An sin thubhairt Iùdah ri Tàmar, bean a mhic, Fan ad bhantraich ann an taigh d’athar, gus am fàs mo mhac Selah suas; oir thubhairt e, Air eagal gum faigheadh esan bàs mar an ceudna mar a fhuair a bhràithrean. Agus dh’fhalbh Tàmar, agus dh’fhan i ann an taigh a h‑athar.
GEN.38.12	Agus ùine fhada an dèidh sin fhuair nighean Shuah, bean Iùdah, bàs: agus thog Iùdah a mhisneach, agus chaidh e suas a dh’ionnsaigh luchd‐lomairt a chaorach, e fhèin agus a charaid Hirah an t‑Adulamach, gu Timnat.
GEN.38.13	Agus dh’innseadh do Thàmar, ag ràdh, Feuch, tha d’athair‐cèile a’ dol suas gu Timnat
GEN.38.14	Agus chuir i a culaidh‐bantraich dhith, agus chòmhdaich i i fhèin le gnùis‐bhrat, agus phaisg i i fhèin, agus shuidh i ann an
GEN.38.15	Nuair a chunnaic Iùdah i, shaoil e gum bu strìopach i, a chionn gun do chòmhdaich i a h‑aodann.
GEN.38.16	Agus thionndaidh e da h‑ionnsaigh air an t‑slighe, agus thubhairt e, Leig leam, guidheam ort, teachd a‑steach ad ionnsaigh; oir cha robh fhios aige gum b’i bean a mhic i: agus thubhairt i, Ciod a bheir thu dhomh, a‑chum is gun tig thu a‑steach am ionnsaigh?
GEN.38.17	Agus thubhairt esan, Cuiridh mi meann
GEN.38.18	Agus thubhairt e, Ciod an geall a bheir mi dhut? Agus thubhairt ise, Do sheula
GEN.38.19	Agus dh’èirich i, agus dh’fhalbh i roimhpe, agus chuir i seachad a gnùis‐bhrat uaipe, agus chuir i a culaidh‐bantraich oirre
GEN.38.20	Agus chuir Iùdah am meann le làimh a charaid an t‑Adulamach, a‑chum is gum faigheadh e an geall o làimh na mnà: ach cha d’fhuair e i.
GEN.38.21	An sin dh’fheòraich e de dhaoine an àite sin, ag ràdh, Càit a bheil an strìopach a bha gu follaiseach ri taobh na slighe? Agus thubhairt iadsan, Cha robh strìopach sam bith an seo.
GEN.38.22	Agus thill e a dh’ionnsaigh Iùdah, agus thubhairt e, Cha d’fhuair mi i: agus mar an ceudna thubhairt daoine an àite, Cha robh strìopach sam bith an seo.
GEN.38.23	Agus thubhairt Iùdah, Gabhadh i dhi fhèin e, air eagal gum maslaichear sinn
GEN.38.24	Agus beul ri trì mìosan an dèidh sin, dh’innseadh do Iùdah, ag ràdh, Rinn Tàmar, bean do mhic, strìopachas
GEN.38.25	Nuair a thugadh a‑mach i, chuir i fios a dh’ionnsaigh a h‑athar‐cèile, ag ràdh, Aig an fhear dom buin iad sin tha mise leatromach: agus thubhairt i, Faic
GEN.38.26	Agus ghabh Iùdah riu, agus thubhairt e, Bha i na bu cheirte na mise
GEN.38.27	Agus nuair a bha i ri saothair chloinne, feuch, bha leth‐aona na bolg.
GEN.38.28	Agus nuair a bha i ri saothair, chuir aon dhiubh a‑mach a làmh: agus rug a’ bhean‐ghlùine air a làimh, agus cheangail i snàthainn sgàrlaid oirre, ag ràdh, Thàinig e seo a‑mach an toiseach.
GEN.38.29	Agus nuair a tharraing e a làmh air ais, feuch, thàinig a bhràthair a‑mach; agus thubhairt ise, Cionnas a bhris thu a‑mach
GEN.38.30	Agus an dèidh sin thàinig a bhràthair a‑mach, aig an robh an snàthainn sgàrlaid air a làimh; agus thugadh Sàrah mar ainm air.
GEN.39.1	Agus thugadh Iòseph sìos don Èiphit; agus cheannaich Potiphar
GEN.39.2	Agus bha an Tighearna maille ri Iòseph
GEN.39.3	Agus chunnaic a mhaighistir gu robh an Tighearna maille ris, agus gun tug an Tighearna air gach nì a rinn e soirbheachadh na làimh
GEN.39.4	Agus fhuair Iòseph deagh‐ghean na shealladh
GEN.39.5	Agus on àm sin fhèin anns an do rinn e e na fhear‐riaghlaidh air a thaigh, agus air gach nì a bha aige, bheannaich an Tighearna taigh an Èiphitich air sgàth Iòseiph
GEN.39.6	Agus dh’fhàg e gach nì a bha aige an làimh Iòseiph, agus cha b’fhios dha aon nì a bha aige, saor on aran a bha e ag ithe. Agus bha Iòseph na dhuine maiseach
GEN.39.7	Agus an dèidh nan nithean sin leag bean a mhaighistir a sùilean air Iòseph
GEN.39.8	Agus dhiùlt esan
GEN.39.9	Chan eil neach anns an taigh seo as mò na mise; agus cha do chùm e uam nì sam bith ach thusa, a chionn gur tu a bhean: cionnas uime sin a nì mise an t‑olc mòr seo
GEN.39.10	Agus thachair e, nuair a labhair i ri Iòseph o là gu là
GEN.39.11	Agus thachair e, air là àraidh, gun deachaidh esan a‑steach don taigh a dhèanamh a obrach fhèin, agus cha robh aon de dhaoine an taighe an sin a‑staigh.
GEN.39.12	Agus rug i air air a aodach‐uachdair
GEN.39.13	Agus nuair a chunnaic ise gun d’fhàg e a aodach‐uachdair na làimh, agus gun do theich e a‑mach,
GEN.39.14	An sin ghairm i air daoine a taighe, agus labhair i riu, ag ràdh, Faicibh, thug e a‑steach dar n‑ionnsaigh Eabhraidheach gar maslachadh
GEN.39.15	Agus nuair a chuala e gun do thog mi suas mo ghuth, agus gun do ghlaodh mi, an sin dh’fhàg e a aodach‐uachdair maille rium, agus theich e, agus chaidh e a‑mach.
GEN.39.16	Agus thaisg i a aodach‐uachdair làimh rithe, gus an tàinig a thighearna dhachaigh.
GEN.39.17	Agus labhair i ris a rèir nam briathran seo
GEN.39.18	Agus nuair a thog mise suas mo ghuth agus a ghlaodh mi, an sin dh’fhàg e a aodach‐uachdair maille rium, agus theich e a‑mach.
GEN.39.19	Agus nuair a chuala a mhaighistir briathran a mhnà a labhair i ris, ag ràdh, Air an dòigh seo rinn do sheirbhiseach orm; an sin las a fhearg suas
GEN.39.20	Agus ghabh maighistir Iòseiph e, agus chuir e anns a’ phrìosan e
GEN.39.21	Ach bha an Tighearna maille ri Iòseph, agus nochd e tròcair
GEN.39.22	Agus chuir fear‐gleidhidh a’ phrìosain fo làimh Iòseiph na prìosanaich uile a bha anns a’ phrìosan; agus gach nì a rinn iad an sin, b’esan a rinn e.
GEN.39.23	Cha d’amhairc fear‐gleidhidh a’ phrìosain air nì sam bith a bha fo a làimh, a chionn gu robh an Tighearna maille ris; agus an nì sin a rinn e thug an Tighearna air soirbheachadh leis
GEN.40.1	Agus an dèidh nan nithean sin, chuir buidealair
GEN.40.2	Agus bha corraich mhòr
GEN.40.3	Agus chuir e an làimh iad ann an taigh ceannard an fhreiceadain anns a’ phrìosan, far an robh Iòseph ceangailte
GEN.40.4	Agus chuir ceannard an fhreiceadain an cùram air Iòseph, agus fhritheil e dhaibh; agus dh’fhan iad tamall ann an làimh.
GEN.40.5	Agus chunnaic iad aisling le chèile, gach fear aca a aisling fhèin
GEN.40.6	Agus thàinig Iòseph a‑steach dan ionnsaigh anns a’ mhadainn, agus dh’amhairc e orra, agus, feuch, bha iad dubhach
GEN.40.7	Agus dh’fheòraich e de sheirbhisich Phàraoh, a bha an làimh maille ris ann an taigh a thighearna, ag ràdh, Carson a tha ur gnùis cho muladach
GEN.40.8	Agus thubhairt iad ris, Chunnaic sinn aisling, agus chan eil neach againn a dh’eadar‐mhìnicheas i
GEN.40.9	Agus dh’innis an t‑àrd‐bhuidealair a aisling do Iòseph, agus thubhairt e ris, Am aisling‐sa, feuch
GEN.40.10	Agus air an fhìonain bha trì meanglain; agus bha i mar gum biodh i a’ briseadh a‑mach, agus thàinig i fo làn bhlàth; agus thug a bagaidean dearcan abaich uapa.
GEN.40.11	Agus bha cupan Phàraoh am làimh; agus ghabh mi na fìon‐dhearcan, agus dh’fhàisg mi iad ann an cupan Phàraoh, agus thug mi an cupan do làimh Phàraoh.
GEN.40.12	Agus thubhairt Iòseph ris, Is e seo a h‑eadar‐mhìneachadh
GEN.40.13	Eadhon an ceann trì làithean togaidh Phàraoh suas do cheann
GEN.40.14	Ach cuimhnich thusa ormsa nuair a dh’èireas gu math dhut, agus dèan, guidheam ort, coibhneas dhomh
GEN.40.15	Oir, gu deimhinn, ghoideadh air falbh mi à tìr nan Eabhraidheach, agus, mar an ceudna, an seo cha do rinn mi nì sam bith
GEN.40.16	Nuair a chunnaic an t‑àrd‐fhuineadair gun d’eadar‐mhìnich e gu math, thubhairt e ri Iòseph, Bha mise mar an ceudna am aisling, agus, feuch, bha trì basgaidean geala
GEN.40.17	Agus anns a’ bhasgaid a b’àirde bha de gach seòrsa bìdh airson Phàraoh de dheasachadh an fhuineadair; agus dh’ith an eunlaith iad a‑mach as a’ bhasgaid air mo cheann.
GEN.40.18	Agus fhreagair Iòseph, agus thubhairt e, Is e seo a h‑eadar‐mhìneachadh: Na trì basgaidean, is trì làithean iad
GEN.40.19	An ceann trì làithean
GEN.40.20	Agus air an treas là, co‑ainm là‑breithe Phàraoh
GEN.40.21	Agus thug e an t‑àrd‐bhuidealair a‑chum a bhuidealaireachd a‑rìs; agus thug e an cupan do làimh Phàraoh
GEN.40.22	Ach chroch e an t‑àrd‐fhuineadair, mar a dh’eadar‐mhìnich Iòseph dhaibh
GEN.40.23	Gidheadh, cha do chuimhnich an t‑àrd‐bhuidealair air Iòseph, ach dhìochuimhnich e e
GEN.41.1	Agus an ceann dà bhliadhna iomlan chunnaic Phàraoh aisling
GEN.41.2	Agus, feuch, thàinig a‑nìos as an abhainn seachd bà, sgiamhach rim faicinn, agus reamhar ann am feòil; agus bha iad ag ionaltradh ann am mìn‐fheur,
GEN.41.3	Agus, feuch, thàinig seachd bà eile a‑nìos nan dèidh as an abhainn, grànda rim faicinn, agus caol nam feòil: agus sheas iad làimh ris na bà eile, air bruaich na h‑aibhne.
GEN.41.4	Agus dh’ith na bà a bha grànda rim faicinn, agus caol nam feòil, suas na seachd bà sgiamhach agus reamhar. Mar sin dhùisg Phàraoh.
GEN.41.5	Agus chaidil e, agus chunnaic e aisling an dara uair: agus, feuch, dh’èirich suas seachd diasan arbhair air aon choinnlein, reachdmhor
GEN.41.6	Agus, feuch, dh’fhàs suas nan dèidh seachd diasan caola, agus air an seargadh leis a’ ghaoith an ear.
GEN.41.7	Agus shluig na seachd diasan caola suas na seachd diasan reachdmhor agus làn: agus dhùisg Phàraoh, agus, feuch, b’aisling a bha ann.
GEN.41.8	Agus anns a’ mhadainn bha a spiorad air a bhuaireadh
GEN.41.9	An sin labhair an t‑àrd‐bhuidealair ri Phàraoh, ag ràdh, An‑diugh tha mise a’ cuimhneachadh mo lochdan:
GEN.41.10	Bha fearg air Phàraoh ra sheirbhisich
GEN.41.11	Agus chunnaic sinn aisling anns an aon oidhche, mise agus esan: chunnaic gach fear againn aisling a rèir eadar‐mhìneachadh a aislinge
GEN.41.12	Agus bha an sin maille rinn òganach Eabhraidheach, seirbhiseach do cheannard an fhreiceadain; agus dh’innis sinn dha, agus dh’eadar‐mhìnich e dhuinn ar n‑aislingean: do gach fear againn a rèir a aislinge dh’eadar‐mhìnich e.
GEN.41.13	Agus mar a dh’eadar‐mhìnich e dhuinn, mar sin bha e: mise chuir e a‑rìs ann am àite, agus esan chroch e.
GEN.41.14	Agus chuir Phàraoh teachdaire uaithe, agus ghairm e Iòseph, agus thug iad le cabhaig a‑mach as an t‑sloc e
GEN.41.15	Agus thubhairt Phàraoh ri Iòseph, Chunnaic mi aisling, agus chan eil neach ann a dh’eadar‐mhìnicheas i: agus chuala mi air a ràdh mud thimcheall‐sa, nuair a chluinneas tu aisling, gur aithne dhut a h‑eadar‐mhìneachadh
GEN.41.16	Agus fhreagair Iòseph Phàraoh, ag ràdh, Chan eil e annamsa: bheir Dia freagradh sìthe do Phàraoh
GEN.41.17	Agus thubhairt Phàraoh ri Iòseph, Ann am aisling, feuch, sheas mi air bruaich na h‑aibhne
GEN.41.18	Agus, feuch, thàinig a‑nìos as an abhainn seachd bà, reamhar am feòil, agus sgiamhach ann an cruth; agus bha iad ag ionaltradh ann am mìn‐fheur;
GEN.41.19	Agus, feuch, thàinig seachd bà eile a‑nìos nan dèidh, bochd agus ro‑ghrànda, agus caol ann am feòil: chan fhaca mi an samhail riamh ann an uile thìr na h‑Èiphit air olcas:
GEN.41.20	Agus dh’ith na bà caola agus grànda suas na ciad seachd bà reamhar:
GEN.41.21	Agus nuair a dh’ith iad suas iad
GEN.41.22	Agus chunnaic mi am aisling; agus, feuch, thàinig a‑nìos seachd diasan air aon choinnlein, làn agus math:
GEN.41.23	Agus, feuch, dh’fhàs suas nan dèidh seachd diasan, air an crìonadh, caol, agus seargte leis a’ ghaoith an ear;
GEN.41.24	Agus shluig na diasan caola suas na seachd diasan matha: agus dh’innis mi seo do na draoidhean
GEN.41.25	Agus thubhairt Iòseph ri Phàraoh, Aisling Phàraoh, is aon i: an nì sin a tha Dia gus a dhèanamh, dh’fhoillsich e do Phàraoh
GEN.41.26	Na seachd bà matha, is seachd bliadhna iad; agus na seachd diasan matha, is seachd bliadhna iad: is aon an aisling.
GEN.41.27	Agus na seachd bà caola agus grànda a thàinig a‑nìos nan dèidh, is seachd bliadhna iad; agus na seachd diasan fàs, seargte leis a’ ghaoith an ear, bidh iad nan seachd bliadhna gorta
GEN.41.28	Seo an nì a thubhairt mi ri Phàraoh: An nì a tha Dia gus a dhèanamh, nochd e do Phàraoh.
GEN.41.29	Feuch, tha seachd bliadhna mòr‐phailteis a’ teachd
GEN.41.30	Agus èiridh seachd bliadhna gorta suas nan dèidh
GEN.41.31	Agus chan aithnichear am pailteas anns an tìr, airson na gorta a leanas, oir bidh i ro‑throm.
GEN.41.32	Agus a‑thaobh gun do dhùblaicheadh an aisling do Phàraoh dà uair, tha sin a chionn gu bheil an nì air a shuidheachadh le Dia
GEN.41.33	A‑nis uime sin, amhairceadh Phàraoh a‑mach airson duine a tha tuigseach agus glic, agus cuireadh e os cionn tìr na h‑Èiphit e.
GEN.41.34	Dèanadh Phàraoh seo, agus òrdaicheadh e luchd‐riaghlaidh os cionn na tìre, agus togadh iad an còigeamh cuid de thoradh tìr na h‑Èiphit anns na seachd bliadhna pailteis
GEN.41.35	Agus cruinnicheadh iad uile bhiadh nam bliadhnachan matha sin ri teachd, agus taisgeadh iad suas arbhar fo làimh Phàraoh, agus gleidheadh iad biadh anns na bailtean.
GEN.41.36	Agus bidh am biadh sin na thaisgeach don tìr, fa chomhair nan seachd bliadhna gorta a bhios ann an tìr na h‑Èiphit; a‑chum is nach tèid as don tìr leis a’ ghorta.
GEN.41.37	Agus bha a’ chomhairle math ann an sùilean Phàraoh
GEN.41.38	Agus thubhairt Phàraoh ra sheirbhisich, A bheil e an comas dhuinn a leithid seo de dhuine fhaotainn, anns a bheil spiorad Dhè
GEN.41.39	Agus thubhairt Phàraoh ri Iòseph, A‑thaobh gun d’fhoillsich Dia seo uile dhut, chan eil neach ann cho tuigseach agus cho glic riut fhèin:
GEN.41.40	Bidh tu os cionn mo thaighe‐sa
GEN.41.41	Agus thubhairt Phàraoh ri Iòseph, Faic, chuir mi thu os cionn uile thìr na h‑Èiphit
GEN.41.42	Agus thug Phàraoh a fhàinne
GEN.41.43	Agus thug e air marcachd anns an dara carbad a bha aige fhèin; agus ghlaodh iad roimhe, Lùbaibh an glùn; agus rinn e e na uachdaran air tìr na h‑Èiphit uile
GEN.41.44	Agus thubhairt Phàraoh ri Iòseph, Is mise Phàraoh, agus as d’eugmhais‐sa cha tog duine suas a làmh no a chas ann an tìr na h‑Èiphit uile.
GEN.41.45	Agus thug Phàraoh Saphnat‐paaneah
GEN.41.46	Agus bha Iòseph deich‐bliadhna‑fichead a dh’aois nuair a sheas e am fianais Phàraoh
GEN.41.47	Agus thug an talamh a‑mach anns na seachd bliadhna pailteis na ghlacaidean.
GEN.41.48	Agus chruinnich e ri chèile uile bhiadh nan seachd bliadhna, a bha ann an tìr na h‑Èiphit; agus thaisg e suas biadh anns na bailtean: biadh fearann gach baile, a bha mun cuairt air, thaisg e suas ann.
GEN.41.49	Agus chuir Iòseph ri chèile sìol mar ghaineamh na fairge
GEN.41.50	Agus do Iòseph rugadh dithis mhac
GEN.41.51	Agus thug Iòseph Manaseh
GEN.41.52	Agus air an dara mac thug e Ephraim
GEN.41.53	Agus chrìochnaicheadh seachd bliadhna a’ phailteis a bha ann an tìr na h‑Èiphit.
GEN.41.54	Agus thòisich seachd bliadhna na gorta ri teachd, mar a thubhairt Iòseph
GEN.41.55	Agus nuair a bha tìr na h‑Èiphit uile ann an uireasbhaidh
GEN.41.56	Agus bha a’ ghorta air aghaidh na talmhainn uile: agus dh’fhosgail Iòseph na taighean‐taisge uile, agus reic e ris na h‑Èiphitich
GEN.41.57	Agus thàinig gach dùthaich don Èiphit a dh’ionnsaigh Iòseiph a cheannach bìdh; oir bhuadhaich a’ ghorta anns gach dùthaich.
GEN.42.1	A‑nis nuair a chunnaic Iàcob gu robh sìol anns an Èiphit
GEN.42.2	Agus thubhairt e, Feuch, chuala mi gu bheil sìol anns an Èiphit; rachaibh sìos an sin, agus ceannaichibh dhuinn as a sin, a‑chum is gum bi sinn beò, agus nach faigh sinn bàs
GEN.42.3	Agus chaidh deichnear bhràithrean Iòseiph sìos a cheannach sìl anns an Èiphit.
GEN.42.4	Ach cha do chuir Iàcob Beniàmin, bràthair Iòseiph, maille ra bhràithrean: oir thubhairt e, Air eagal gun èirich olc dha
GEN.42.5	Agus thàinig mic Israeil a cheannach sìl am measg na muinntir a thàinig: oir bha a’ ghorta ann an tìr Chanàain.
GEN.42.6	Agus bha Iòseph na uachdaran air an tìr
GEN.42.7	Agus chunnaic Iòseph a bhràithrean, agus dh’aithnich e iad, ach rinn e e fhèin na choigreach dhaibh, agus labhair e gu coimheach riu
GEN.42.8	Agus dh’aithnich Iòseph a bhràithrean, ach cha d’aithnich iadsan esan.
GEN.42.9	Agus chuimhnich Iòseph air na h‑aislingean a chunnaic e man timcheall
GEN.42.10	Agus thubhairt iad ris, Chan eadh, mo thighearna, ach is ann a thàinig do sheirbhisich a cheannach bìdh:
GEN.42.11	Is mic aon duine sinne uile, is daoine fìrinneach sinn; cha luchd‐brathaidh do sheirbhisich.
GEN.42.12	Agus thubhairt esan riu, Chan eadh, ach is ann a dh’fhaicinn lomnochdas na tìre a thàinig sibh.
GEN.42.13	Agus thubhairt iad, Is dà‑bhràthair‐dheug do sheirbhisich, mic aon duine ann an tìr Chanàain; agus, feuch, tha am fear as òige an‑diugh maille ri ar n‑athair, agus tha aon nach maireann
GEN.42.14	Agus thubhairt Iòseph riu, Seo an nì a thubhairt mi ribh, ag ràdh, Is luchd‐brathaidh sibh:
GEN.42.15	Mar seo dearbhar sibh; mar as beò Phàraoh
GEN.42.16	Cuiribh uaibh fear agaibh, agus thugadh e leis ur bràthair, agus gleidhear
GEN.42.17	Agus chuir e am prìosan iad uile rè trì làithean.
GEN.42.18	Agus thubhairt Iòseph riu air an treas là, Dèanaibh seo, agus bithibh beò: oir tha eagal Dhè ormsa
GEN.42.19	Mas daoine fìrinneach sibh, fàgar aon de ur bràithrean ceangailte ann an taigh ur prìosain: agus imichibh‐se, thugaibh leibh sìol airson gorta ur teaghlaichean:
GEN.42.20	Ach thugaibh ur bràthair as òige am ionnsaigh‐sa
GEN.42.21	Agus thubhairt iad ri chèile. Tha sinn gu deimhinn ciontach
GEN.42.22	Agus fhreagair Reuben iad, ag ràdh, Nach do labhair mise ribh, ag ràdh
GEN.42.23	Agus cha robh fhios acasan gu robh Iòseph gan tuigsinn; oir bha eadar‐theangair eatorra.
GEN.42.24	Agus thionndaidh e e fhèin uapa, agus ghuil e; agus thill e a‑rìs dan ionnsaigh, agus labhair e riu, agus thug e Simeon uapa, agus cheangail e e fa chomhair an sùl.
GEN.42.25	An sin dh’àithn Iòseph an saic a lìonadh le sìol, agus airgead gach duine a chur air ais na shac, agus biadh a thoirt dhaibh airson na slighe
GEN.42.26	Agus thog iad an sìol air an asail, agus dh’imich iad a sin.
GEN.42.27	Agus nuair a dh’fhosgail fear dhiubh a shac
GEN.42.28	Agus thubhairt e ra bhràithrean, Thugadh air ais m’airgead‐sa; agus, feuch, tha e eadhon am shac. Agus dh’fhàilnich an cridhe
GEN.42.29	Agus thàinig iad a‑chum Iàcoib an athair, do thìr Chanàain, agus dh’innis iad dha gach nì a thachair dhaibh, ag ràdh,
GEN.42.30	Labhair an duine a tha na uachdaran air an tìr rinn gu coimheach
GEN.42.31	Agus thubhairt sinn ris, Is daoine fìrinneach sinne; cha luchd‐brathaidh idir sinn:
GEN.42.32	Is dà‑bhràthair‐dheug sinn, mic ar n‑athar; tha aon mhac nach maireann, agus tha am mac as òige an‑diugh maille ri ar n‑athair ann an tìr Chanàain.
GEN.42.33	Agus thubhairt an duine, uachdaran na tìre, rinn, Mar seo aithnichidh mi gur daoine fìrinneach sibh; fàgaibh aon de ur bràithrean maille riumsa, agus gabhaibh biadh airson gorta ur teaghlaichean, agus bithibh ag imeachd.
GEN.42.34	Agus thugaibh ur bràthair as òige am ionnsaigh‐sa; an sin bidh fhios agam nach luchd‐brathaidh sibh, ach gur daoine fìrinneach sibh: mar sin bheir mise ur bràthair dhuibh, agus nì sibh ceannachd anns an tìr
GEN.42.35	Agus nuair a thaom iad an saic, feuch, bha ceanglachan airgid gach duine na shac fhèin
GEN.42.36	Agus thubhairt Iàcob an athair riu, Thug sibh uamsa mo chlann
GEN.42.37	Agus labhair Reuben ra athair, ag ràdh, Cuir gu bàs mo dhithis mhac, mura toir mi ad ionnsaigh e: thoir thairis dom làimh‐sa e, agus bheir mise ad ionnsaigh a‑rìs e.
GEN.42.38	Agus thubhairt e, Cha tèid mo mhac sìos maille ribh; oir tha a bhràthair marbh
GEN.43.1	Agus bha a’ ghorta ro‑mhòr anns an tìr
GEN.43.2	Agus nuair a dh’ith iad suas an sìol a thug iad as an Èiphit, thubhairt an athair riu, Rachaibh a‑rìs, ceannaichibh dhuinn beagan bìdh.
GEN.43.3	Agus labhair Iùdah ris, ag ràdh, Thug an duine dearbh‐chinnt dhuinn ag ràdh, Chan fhaic sibh mo ghnùis‐sa mura bi ur bràthair maille ribh.
GEN.43.4	Ma chuireas tu ar bràthair maille rinn, thèid sinn sìos, agus ceannaichidh sinn biadh dhut;
GEN.43.5	Ach mura cuir thu leinn e, cha tèid sinn sìos: oir thubhairt an duine rinn, Chan fhaic sibh mo ghnùis, mura bi ur bràthair maille ribh.
GEN.43.6	Agus thubhairt Israel, Carson a bhuin sibh cho olc rium, agus gun d’innis sibh don duine gu robh bràthair tuilleadh agaibh?
GEN.43.7	Agus thubhairt iad, Dh’fhiosraich an duine dhinn gu teann mar timcheall fhèin, agus mu thimcheall ar càirdean, ag ràdh, A bheil ur n‑athair fhathast beò? A bheil bràthair eile agaibh? Agus dh’innis sinne dha a rèir brìgh nam briathar sin: am b’urrainn sinne fhios a bhith againn gu cinnteach gun abradh e, Thugaibh ur bràthair a‑nuas?
GEN.43.8	Agus thubhairt Iùdah ri Israel a athair, Cuir an t‑òganach maille riumsa, agus èiridh sinn, agus imichidh sinn, a‑chum is gum bi sinn beò agus nach faigh sinn bàs, araon sinne, agus thu fhèin, agus mar an ceudna ar clann bheag.
GEN.43.9	Bidh mise am urras air a shon
GEN.43.10	Oir mura bitheamaid air dèanamh moille, gu cinnteach bha sinn a‑nis air tilleadh air ar n‑ais an dara uair seo.
GEN.43.11	Agus thubhairt Israel an athair riu, Ma dh’fheumas a’ chùis a bhith mar sin a‑nis, dèanaibh seo; gabhaibh den toradh as fheàrr anns an tìr nur soithichean, agus thugaibh sìos tìodhlac don duine
GEN.43.12	Agus thugaibh leibh airgead dùbailte nur làimh, agus an t‑airgead a thugadh air ais am beul ur sac
GEN.43.13	Gabhaibh mar an ceudna ur bràthair; agus èiribh, rachaibh a‑rìs a dh’ionnsaigh an duine:
GEN.43.14	Agus gun tugadh Dia Uile‐chumhachdach tròcair dhuibh an làthair an duine
GEN.43.15	Agus ghabh na daoine an tìodhlac sin, agus thug iad leo airgead dùbailte nan làimh, agus Beniàmin; agus dh’èirich iad, agus chaidh iad sìos don Èiphit, agus sheas iad an làthair Iòseiph.
GEN.43.16	Agus nuair a chunnaic Iòseph Beniàmin maille riu, thubhairt e ri fear‐riaghlaidh a thaighe
GEN.43.17	Agus rinn an duine mar a dh’iarr Iòseph; agus thug e na daoine do thaigh Iòseiph.
GEN.43.18	Agus bha eagal air na daoine, a chionn gun tugadh iad do thaigh Iòseiph, agus thubhairt iad, Is ann airson an airgid, a chuireadh air ais nar saic a’ chiad uair, a thugadh a‑steach sinn; a‑chum gum faigh e cion‐fàth
GEN.43.19	Agus thàinig iad am fagas do fhear‐riaghlaidh taigh Iòseiph, agus labhair iad ris aig doras an taighe,
GEN.43.20	Agus thubhairt iad, O mo thighearna, thàinig sinn da‑rìribh a‑nuas an toiseach a cheannach bìdh:
GEN.43.21	Agus nuair a thàinig sinn don taigh‐òsda, agus a dh’fhosgail sinn ar saic, feuch, bha airgead gach fir am beul a shaic, ar n‑airgead na làn chothrom: agus thug sinn air ais leinn e nar làimh.
GEN.43.22	Agus airgead eile thug sinn a‑nuas leinn nar làimh a cheannach bìdh: chan eil fhios againn cò a chuir ar n‑airgead nar saic.
GEN.43.23	Agus thubhairt e, Sìth gu robh dhuibh
GEN.43.24	Agus thug an duine na daoine a‑steach do thaigh Iòseiph, agus thug e uisge dhaibh
GEN.43.25	Agus dh’ullaich iad an tìodhlac
GEN.43.26	Agus nuair a thàinig Iòseph dhachaigh thug iad da ionnsaigh an tìodhlac, a bha nan làimh, don taigh: agus chrom iad iad fhèin dha gu làr
GEN.43.27	Agus dh’fheòraich e an robh iad gu math, agus thubhairt e, A bheil ur n‑athair, an seann duine mun do labhair sibh
GEN.43.28	Agus thubhairt iadsan, Tha do sheirbhiseach ar n‑athair gu math; tha e fhathast beò. Agus chrom iad iad fhèin sìos, agus rinn iad ùmhlachd.
GEN.43.29	Agus thog e suas a shùilean, agus chunnaic e Beniàmin a bhràthair, mac a mhàthar
GEN.43.30	Agus rinn Iòseph cabhag, oir bha a chridhe a’ tiomachadh
GEN.43.31	Agus nigh e a aodann, agus chaidh e a‑mach, agus chùm e air fhèin, agus thubhairt e, Cuiribh sìos aran.
