MAT.1.1	Tô môɲ wo Jésu wo na *kuŋga kelma Dabid wo na kuŋga *Abraham a men hen a na: 
LUK.2.20	Menba, bay abê gamgê belji hô iɲ naɲ kebé kurôŋ ayê kibi naɲ heramê Emen wô kwôli aŋga ciré toy men, ciré gel a men hen wô wo ré biɲ naɲ kwôlo *mana wo derômaraŋ a na ré kôlji hen.
LUK.2.21	Wulê jurgem cêgi yêri a menba, kiriɲa sa waliɲ kema bi wo hen keŋ nêm menba, bay uwôgeri Jésu mega wo mana wo derômaraŋ a na uwôgiɲni pa dema bay na ré yiɲ kwoyri tô hen iyôŋ.
LUK.2.22	Kiriɲa wulê wo si Josêp naɲ Mari ré lôɲiɲ yirji nêm mega wo tôô to *Moyis na kôliɲ hen iyôŋ menba, bay ôriɲ naɲ Jésu Jérusalêm a ciré erê geliɲ Kelma
LUK.2.23	Mega wo liɲ bô magtubu tôô to Kelma kôl iyôŋ ba: «Kema iba wo yôŋ yôŋ wo na yê kalmare na, a yé gay biɲ Kelma» 
LUK.2.24	men, wô biɲ kwôbe mega wo tôô to Kelma kôliɲ iyôŋ ba ré na «biɲjalo wôô réba kam derare ré na wôô men hen.»
LUK.2.25	Kiriɲ bay ka hen na, gawra wo pôni mô Jérusalêm a ya hini na Siméɲôn. Na kwôni woɲ derôre men, li tôô Emen dô a men. Ôbi mô gem bi ɗiré gelé kwo ré gôliɲ naɲ *Israyêl hen aɲ Tunu toɲ hendi bô bôrê ba naɲ ɗi. 
LUK.2.26	Tunu toɲ hendi bô bôrê kôli ôbi ré ma ré kwôy wo ôbi ré geliɲ Krist wo Kelma Emen dôri aɲ jori hen. 
LUK.2.27	Tunu toɲ hendi bô bôrê jubu tô bôri menba, ôbi era bô *iyéy Emen a menba, kiriɲa balê Jésu eraɲ naɲ ɗi ciré liɲ gengiɲ sari aŋga tôô kôl ré liɲ hen menba, 
LUK.2.28	ôbi ayri kabrêri a aɲ ay kibi Emen kôl iyôŋ ba:
LUK.2.29	«Haw hen Kelma ɗi mana wom ô naɲ bô jalê hari niɲ
LUK.2.29	wôsa ju li tôm to na ju ay hen niɲ,
LUK.2.30	wôsa en gel gelê wom bi naɲ tun niɲ.
LUK.2.31	Gelê bi wo na ju ɓu sa têêri tu ɓiɲé a kêm hen.
LUK.2.32	Ôbi na kiriɲ ka peraŋgi ka a lê aɲ
LUK.2.32	ɓiɲé ka sa terare a na kêm ka na Jubɲê ré hen a hônem men,
LUK.2.32	ôbi a yé hini emê wo Israyêl ɓiɲé kari a men.»
LUK.2.33	Kiriɲ bay ka hen na, balê kema na tiniji ge kay sa kwôlo Siméɲôn kôl gengiɲ sari hen. 
LUK.2.34	Siméɲôn tô kibri sarji a aɲ kôliɲ Mari yo kema na iyôŋ ba: «Sa kibi kema bi wo Emen dôri hen na, ɓiɲé kwône Israyêl a a heriɲ men, ka a hena ta. Ôbi a yé aŋgaɲ gelé ka Emen ka ɓiɲé a kaɲê. 
LUK.2.35	Na ôbi a lê bi ermé wo uwôbe bô ɓiɲé hen réé hôniɲ. Kworé mini Mari ba, ma geliɲ gusiɲ môɲ yebere a réé wayê kabrêrê iyôŋ.»
LUK.2.36	Kiriɲ bay ka hen na, hendi kibi Emen to pôni hene na Aan mô ya, hende na môni Panuwêl wo tô yê wo Asêr. Hende na iyore to haal gaɲ niɲ. Hende na gô iyére elê jurgem naɲ kurôre woɲ ôbi biyêre. 
LUK.2.37	Menba, hende mô mamare aɲ elêre na, tôre marge kibi pôrbu. Hende ba erê bô iyéy Emen a sa pôn né kwôy yoyre naɲ tu tare men, hende tebe Emen men, jôriɲ bôre kurôŋ men, uwôli a men. 
LUK.2.38	Hende sa ya têj kiriɲa balê Jésu eraɲ naɲ ɗi wô geliɲ Emen hen menba, hende liɲ Emen dosé aɲ dô kwôli kema bi wo hen biɲ ɓiɲé kêm ka mô gem wo Emen né dô Jérusalêm kôbi Rômêɲê a hen.
LUK.2.39	Kiriɲa Jésu naɲ balêri liji tôô to Kelma hende to hen kô niɲ menba, bay belji hô sa iyérji a Najarêt a bô emê wo Galilé. 
LUK.2.40	Jésu ɗebu men, ibéri gese men, tu melênê wôn bôri men, bô derê wo Emen baa naɲ ɗi a men.
LUK.2.41	Naɲ elê elê ba balê Jésu ô Jérusalêm a kwôy kwôy wô lê geserê *Pak. 
LUK.2.42	Jésu elêri na môj kibi wôô niɲ menba, bay ôriɲ naɲ ɗi mega wo hara woji kôl hen iyôŋ. 
LUK.2.43	Kiriɲa bay li geserê bi wo hen kô niɲ menba, balê Jésu bul hô Najarêt a menba, ôbi baa tôŋ Jérusalêm a menba, bay hôn né. 
LUK.2.44	Bay kôl yaŋ ba ôbi ré ô aɲê perê ɓiɲé ka bay uwo ɓem hen ya ya, aɲ bay ô kwôy li wulê pôn geré. Menba, bay ay tô wogéri perê milɲérji a men, perê balêrji a a men. 
LUK.2.45	Niɲba, bay uwôɲni ré. Menba, bay wogeri kwôy hôriɲ Jérusalêm a. 
LUK.2.46	Bay wogeri hen iyôŋ kwôy sa subu dema bay ré ô uɲéri mô tôŋ bô iyéy Emen a perê bay geliɲare ɓiɲé tôô to Emen a. Ôbi toy kwôlo bay kôl hen men, ôbi eŋgeriji kwôlê sara men. 
LUK.2.47	Ɓiɲé kêm ka toy kwôlo ôbi kôl hen men, tu melênê wori men, kwôlo ôbi uwôlji sara hen a men na, tiniji ge kay. 
LUK.2.48	Kiriɲa balêri gili kiriɲ bay ka hen a ná, tiniji ge kay aɲ yori kôli iyôŋ ba: «Keman, wô mi a jeré lêni aŋga hen iyôŋ ba? Nibay naɲ ibam nini sun kwôlem gaɲ aɲ nini wogem kebiɲ kiriɲ.» 
LUK.2.49	Menba, Jésu uwôlji sara iyôŋ ba: «Wô mi a kené wogen ba? Ken hôn mega wo enéé cibé tun tô aŋga Iban a iyôŋ né ba?» 
LUK.2.50	Niɲba, bay hôn bô kwôlo ôbi kôlji hen né kwôy.
LUK.2.51	Ôbi bul hô naɲ ci Najarêt a. Men, ôbi biji kwôlê sa are kêm a a men. Yori gem are bay ka kêm hen bôre a dô. 
LUK.2.52	Jésu ɗebu men, tu melênê wori kôba erê tumô tumô men, ôbi dé tu Emen men, tu gawrê a men.
LUK.3.1	Bô elê môj kibi bay wo emê iyére to Tibêr *Sésar kelma wo dami wo Rômêɲê hen na, Pos *Pilat wo Sésar na ɗiri ôm iyére to Judé men, *Hérôd na na kelma sa terare to Galilé men, yêni Pilip na na kelma sa terare to Ituré men, to Trakwonitid a men, Lisaniya na na kelma sa terare to Abilên a a men. 
LUK.3.2	Si Aan naɲ Kayib ná damné ka damné kaɲ bay bê kwôbe. Bô elê bi wo hen a ná, Emen biɲ Ja kema Jakari kwôli a kibri a derô gwôlê. 
LUK.3.3	Menba, Ja hena ô gôr sa iyére kêm to yi têm têm kibi cér wo Jurdê hen. Aɲ kôl iyôŋ ba: «Beléŋge cêgerŋge biɲ têriɲ aɲ ken li batêm aɲ bi Emen né ɗiɲ bôri jalê sa têriɲ toŋge a.» 
LUK.3.4	Ôbi a, kwôlo *ôbi kibi Emen *Esay na kôl bô magtubu tori a hen ré ô ya têj têj hen. Ôbi na kôl iyôŋ ba:
LUK.3.4	«Bay toy tôô kwôni wo uwôl gura derô gwôlê kôl iyôŋ ba:
LUK.3.4	‹Ɲanêŋge geré wo Kelma men,
LUK.3.4	ɲanêŋge kam geré kari bi ô derôre a men.
LUK.3.5	Tu ɗogé kêm a ligiɲ men,
LUK.3.5	keram naɲ sa gôserew a hera némiɲ naɲ sa terare men,
LUK.3.5	geré wo kwôŋgi a yé derôre men,
LUK.3.5	geré wo yi jerew ba ɲaniɲ némiɲ a men.
LUK.3.6	Aɲ ɓiɲé kêm a gelé gelê wo Emen biɲ ɓiɲé hen
LUK.3.7	Ja kôliɲ kwônê ɓiɲé ka era bi ôbi ré liji batêm hen iyôŋ ba: «Kenbay ka ken yi môɲ jênêre iyôŋ hen, na i a geléŋge bi kené geriɲ uwoŋge wo Emen wo a era hen ba? 
LUK.3.8	Bi jé lêreŋge gel wo kené bul cêgerŋge biɲ têriɲ toŋge, aɲ ken ɗi kelê ‹*Abraham na ibarni, Abraham na ibarni› hen baa niɲ, wôsa en kelêŋge, jerew wo yi hen na, Emen a nêmê belé liɲ kamrê biɲ Abraham. 
LUK.3.9	Haw hen na, tigre yi tô gurô pôn pôn niɲ aɲ gurô wo yôŋ yôŋ wo yêri dô ré ba, a diɲ jôriɲ aɲ uwôliɲ tare a.»
LUK.3.10	Kwônê ɓiɲé eŋgere Ja iyôŋ ba: «Na mi a niné lê ba?» 
LUK.3.11	Menba, ôbi uwôlji sara iyôŋ ba: «Hena kwôni ré naɲ bargay wôô ba, bi biɲ kwo ôriɲ né hen pôn men, kwo ôriɲ aŋgaɲ emê ba, bi biɲ kwo naɲni hen men.» 
LUK.3.12	*Bay eŋgé wôgê kôba era sa li batêm men, aɲ eŋgeriɲji Ja iyôŋ ba: «Rabi, na mi a niné lê ba?» 
LUK.3.13	Menba, ôbi kôlji iyôŋ ba: «Wôgê bi wo bay genge hen a kené eŋgé, ɗiba ken eŋge ani kani a sara ré.» 
LUK.3.14	Asgarɲê kôba era sa eŋgeriri iyôŋ ba: «A nibay ba, niné li iyeŋ ba?» Menba, ôbi uwôlji sara iyôŋ ba: «Eŋgéŋge gursu kôbi kwôni a naɲ kabrê iyêrê ré men, piyêŋge kwôlê ɗiɲ kwôni sari a wô uwôɲiɲ gursu toni ré a men. Niɲba, ken cebe turŋge a sa sa kôbreŋge wo bay têbêŋge hen mera.»
LUK.3.15	Ɓiɲé mô gem aɲ i ba erem bôri a kôl iyôŋ ba: «Ôbi a na *Krist, kwo Emen dôri hen ba?» 
LUK.3.16	Menba, Ja uwôlji sara kêm kôl iyôŋ ba: «Nôbi ba, en lêŋge batêm na naɲ kam, niɲba, ôbi wo era hen na, na kwo nééri ɗê kuɲê aɲ en nêm beseré gaŋgi garbê kaɲ têri ré. Ôbi a lêŋge batêm naɲ Tunu toɲ hendi bô bôrê men, naɲ tare a men. 
LUK.3.17	Ôbi ɓu gwore toɲ péé kaw kôbri a wô labiɲ kiriɲ kaɲ péé kaw kari ya, aɲ a pera kaw kari eraɲ bê a bô béér a. Kurmérji ba, ôbi a uwoyé aɲ bô tare to eŋge bariɲ né yôd hen.» 
LUK.3.18	Na hen iyôŋ men, naɲ gelé kwôlo ɗaŋgi a men, a Ja ré uwôliɲ béré Kwôlo Dôri biɲ ɓiɲé. 
LUK.3.19	Men, ôbi na nay kelma Hérôd wô *Hérodiyad toɲ tami yêni to ôbi na eŋge hen men, wô aŋga habiɲ kêm ka ôbi li hen a men. 
LUK.3.20	Wôsa nôm a sa têriɲ tori hende to kêm hen na, Hérôd bi bay ɓu Ja uwôli daŋgay a a sôŋ.
LUK.3.21	Kiriɲa Ja na liɲ ɓiɲé kwône batêm hen na, Jésu kôba li batêm men. Ôbi uwôl Emen menba, kiriɲ bay ka hen, derômaraŋ bôliɲ, 
LUK.3.22	aɲ Tunu toɲ hendi bô bôrê herbo mega derare iyôŋ sari a aɲ tô kwôni hena derômaraŋ a kôl iyôŋ ba: «Ju na Keman, en purem damaŋ men, en li yi derê wô sam damaŋ a men.»
LUK.3.23	Kiriɲa Jésu ayiɲ tô lê jé wori hen na, elêri na tôre subu ley. Ɓiɲé kêm erem wo ôbi ré na kema Josêp wo tô môɲ wori a nà hen: Josêp woɲ kema Éli, 
LUK.3.24	kema Matat, kema Lébi, kema Mêlki, kema Iyanay, kema Josêp, 
LUK.3.25	kema Matatiyas, kema Amôs, kema Nayum, kema Êsli, kema Nagay, 
LUK.3.26	kema Maat, kema Matatiyas, kema Séméyin, kema Iyôsêk, kema Iyôda, 
LUK.3.27	kema Iyôwanan, kema Résa, kema Jorobabêl, kema Salatiyêl, kema Néri, 
LUK.3.28	kema Mêlki, kema Adi, kema Kwosam, kema Êlmadam, kema Er, 
LUK.3.29	kema Jésu, kema Eliyêsêr, kema Iyôrim, kema Matat, kema Lébi, 
LUK.3.30	kema Siméɲôn, kema Juda, kema Josêp, kema Iyônam, kema Eliyakim, 
LUK.3.31	kema Méléya, kema Ména, kema Matata, kema Natan, kema Dabid, 
LUK.3.32	kema Jesé, kema Obêd, kema Bohoj, kema Sala, kema Nasôn, 
LUK.3.33	kema Aminadab, kema Admin, kema Arni, kema Esrôm, kema Parês, kema Juda, 
LUK.3.34	kema Jakwôb, kema Isak, kema Abraham, kema Tara, kema Nakôr, 
LUK.3.35	kema Séruk, kema Rago, kema Palêk, kema Ebêr, kema Sala, 
LUK.3.36	kema Kaynam, kema Arpasad, kema Sêm, kema Nowé, kema Lamêk, 
LUK.3.37	kema Matusala, kema Énôk, kema Iyarêt, Maléléyêl, kema Kaynam, 
LUK.3.38	kema Enôs, kema Sêt, kema Adam, kema Emen.
LUK.4.1	Tunu wôn bô Jésu menba, ôbi hena kibi cér wo Jurdê a bulo hera. Hende ôriɲ naɲ ɗi derô gwôlê. 
LUK.4.2	Sidan séli wulê tôre pôrbu, wulê bi wo hen na, ôbi ôm ani ré kwôy aɲ kiriɲa wulê bi wo tôre pôrbu hen kô niɲ, menba, kurôŋ liri. 
LUK.4.3	Kiriɲ bay ka hen na, Sidan kôliɲ Jésu iyôŋ ba: «Hena jeré na Kema Emen ba, ju kôliɲ jerew wo yi hen ré beliɲ kwô.» 
LUK.4.4	Menba, Jésu uwôli sara iyôŋ ba: «Liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Na kwô mera a gawra ré emê gôliɲ né
LUK.4.5	Menba, Sidan ôriɲ naɲ ɗi sa keram a ta aɲ turna to nana kôliɲ na menba, ôbi gili emê iyére to sa terare a nà kêm. 
LUK.4.6	Aɲ kôli iyôŋ ba: «Na bem néé woɲ emê iyére hende to hen naɲ hini emê wo yi ya hen wôsa bay na ben na nôbi aɲ na biɲ kwôni wo bôn gey. 
LUK.4.7	Iyôŋ ba, hena jeré jubu gubam tumôn a ba, na bem kêm.» 
LUK.4.8	Menba, Jésu uwôli sara iyôŋ ba: «Liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Kelma woɲ Emen wom pôn nêŋ hari a jeré jebé gubam tumôri a men, na ôbi a jeré tibéri a men
LUK.4.9	Menba, Sidan hô ôriɲ ɗi Jérusalêm a aɲ ayri ɗiri ta yeŋ sa *iyéy Emen a aɲ kôli iyôŋ ba: «Hena jeré na Kema Emen ba ju deraɲ kuriɲ tôŋ na gelé, 
LUK.4.10	wôsa na liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Ôbi a ayê tôô biɲ *manê ka derômaraŋ a gengiɲ sam bi bay ré sa gemem› 
LUK.4.11	men, ‹Bay a ayem kôbriji a bi têm ré di keram wôni ré
LUK.4.12	Menba, Jésu uwôli sara iyôŋ ba: «Na liɲ bô magtubu to Emen a kôl iyôŋ ba: ‹Kelma Emen wom na, já séléri ré
LUK.4.13	Kiriɲa gwosore to ɗiré séliɲ Jésu naɲ niɲ menba, Sidan dô yiri yi Jésu a kwôy gemiɲ wulê wo ɗaŋgi.
LUK.4.14	Jésu bulo hera Galilé naɲ néé wo Tunu aɲ hini emê wori ôm gôriɲ kiriɲ kêm sa ira. 
LUK.4.15	Ôbi geliɲ ɓiɲé are bô *iyéy daɲare a naɲ sa iyére iyére aɲ bay kêm ay kibri.
LUK.4.16	Jésu hera Najarêt kiriɲ ka ôbi na iyêriɲ ya hen, menba, mega wo ôbi lêrê gaŋ gaŋ hen iyôŋ na, ôbi ô bô iyéy daɲare a naɲ sa *sa merê ta aɲ hena ta wô dêŋse magtubu tôô to Emen. 
LUK.4.17	Bay biri magtubu to lêgeriɲ to *Esay *ôbi kibi Emen, kiriɲa ôbi bôl menba, uwoɲ kiriɲ ka bay na li kôl iyôŋ ba: 
LUK.4.18	«Tini Kelma yi san a wôsa ôbi a dôren bi ené uwôliɲ béré Kwôlo Dôri biɲ bay nimré men, wô kôliɲ daŋgayɲê kwôli bêreji ta men, kôliɲ bay tu tiɲ ré geléji kiriɲ hôriɲ men, ka bay geliɲ tirji gusiɲ hen kôba kwôli derêji bô gusiɲ men, 
LUK.4.19	ulê béré kwôli elê woɲ bô derê wo Kelma biɲ gawrê hen a men
LUK.4.20	Jésu lêgere magtubu hende to hen ta aɲ biɲ ôbi jé wo pôni aɲ mô tôŋ ɓiɲé kêm ka bô iyéy daɲare a hen na, tirji yi sari a. 
LUK.4.21	Menba, ôbi kôlji iyôŋ ba: «Kemnêŋ na, kwôlê bi wo en dêŋse aɲ ken toy hen na, ariri liɲ béŋge niɲ.» 
LUK.4.22	Ɓiɲé kêm ka mô ya hen na, kôl kwôli dô men, tiniji ge kay sa kwôli bô derê wo ôbi kôlji hen aɲ bay kôl iyôŋ ba: «Ôbi na kema Josêp ré ba?» 
LUK.4.23	Menba, ôbi kôlji iyôŋ ba: «En hôn kena kôlen gwosoy kwôlo kôl iyôŋ ba: ‹Dôktôr berare yem pa dem.› Ka kelê iyôŋ ba: ‹Bay kelêni kwôli aŋga ju li Kapêrnayôm a. A iyôŋ ba, ju li sa iyére tom a hen iyôŋ men.› » 
LUK.4.24	Menba, ôbi uwôlji sara iyôŋ ba: «Na tu kwôlê a ené kelêŋge hen, kwôni wo na ôbi kibi Emen na, sa iyére tori a na, bay a geyé kwôlê wori ré. 
LUK.4.25	Na tu kwôlê a ené ena kelêŋge hen, yébé kaɲ mamê na kwône sa iyé *Israyêl bô wulê *Eli a. Bô elê bi wo hen a na, emen uwôŋge ré li elê subu naɲ geserê jii aɲ kurôŋ wo dami li ɓiɲé sa ira kêm
LUK.4.26	Hen iyôŋ hari kôba Emen jé Eli uɲé yébé bay ka hen né kwôy, niɲba, ôbi jéri ligi mamne to pôni to mô Sérêpta, emê iyére to Sidôn a hen ɗi
LUK.4.27	Menba, ɓiɲé kaɲ bay *terbare na kwône sa Israyêl bô wulê wo ôbi kibi Emen Elijé a, niɲba, kwôni pôn perêrji a hen kôba berare ré, niɲba, na Nama wo Siri hen a Elijé ré berari ɗi
LUK.4.28	Kiriɲa bay toy kwôlê bi wo hen iyôŋ na, bay kêm bô iyéy daɲare bôrji tarji. 
LUK.4.29	Menba, bay hena naɲ bô tarê ɓu Jésu siɲ naɲ ɗi nô wolé sa ira aɲ. Bay ôriɲ naɲ ɗi kwôy ta sa keram wo bay na ɗiɲ tô sa iyére toji ya hen bi ciré nôgêri kuré aɲ tôŋ. 
LUK.4.30	Niɲba, ôbi wuɲ perêrji aɲ ô erê wori.
LUK.4.31	Jésu ô Kapêrnayôm a to na iyére to ɗaŋgi sa terare to Galilé. Ôbi geliɲ ɓiɲé are naɲ sa sa merê ta. 
LUK.4.32	Ɓiɲé ka mô ya toy kwôlê kibri a hen na, tiniji ge kay sa derê kwôlê wori bi wo hen, wôsa ôbi iyêl mega kwôni wo ôriɲ naɲ tôô iyôŋ men, naɲ néé iyôŋ a men. 
LUK.4.33	Bô iyéy daɲare hende to hen na, gawra wo pôni wo tunu to habiɲ yi bôri a hen mô ya. Ôbi kôl naɲ tôri to dami kaŋ a ta kôl iyôŋ ba: 
LUK.4.34	«Wuge! ju gey na mi yirni a ba, Jésu wo Najarêt? Ju era na wô mênêni ba? En hôn ju na i ba, ju na kwôni wo yi naɲ jeŋgêri gay wo Emen a jori.» 
LUK.4.35	Jésu ône kôl iyôŋ ba: «Wôm tôŋ aɲ mu séɲ bô gawra bi wo hen a.» Tunu to habiɲ hende to hen dô gawra na ku tôŋ perêrji a aɲ séɲ bôri a niɲba, liri ani ka habiɲ né. 
LUK.4.36	Tini ɓiɲé kêm ge kay aɲ bay kôliɲ perêrji a kôl iyôŋ ba: «Kwôlo na ba, na kwo yôŋ sôŋ ba? Ôbi ône tunu to habiɲ naɲ néé menba, hende séɲ a men.» 
LUK.4.37	Menba, hini emê wori ôm naɲ kiriɲ kiriɲ kêm gôriɲ sa iyére to méér Kapêrnayôm ta hen.
LUK.4.38	Jésu hena bô iyéy daɲare a era iyé Simô a. Yi mari Simô uwoy damaŋ aɲ hende yi tôŋ menba, bay uwôli ré bô tu ɲa tore men. 
LUK.4.39	Ôbi deŋge sara aɲ ône yi uwoyé bi wo hen, menba, hende berare aɲ hena kerêd li aŋgaɲ emê biji.
LUK.4.40	Kiriɲa tare kuriɲ niɲ menba, ɓiɲé kêm ka ôriɲ naɲ bay ômɲare to gay gay iyére toji a hen na, bay eraɲ naɲ ci biri. Ôbi uwôl kôbri sarji a aɲ berareji. 
LUK.4.41	Tunu to habiɲ séɲ bô ɓiɲé kwône aɲ kiriɲa bay séɲ bô ɓiɲé hen iyôŋ menba, bay kôl kaŋ a ta iyôŋ ba: «Ju na Kema Emen.» Niɲba, Jésu ôneji bi bay ré wôm tôŋ, wôsa bay hôn wo ôbi ré na *Krist kwo Emen dôri hen.
LUK.4.42	Kiriɲa kiriɲ wôl menba, Jésu si ô wolé derô gwôlê. Kwônê ɓiɲé wogeri aɲ kiriɲa bay uwôɲni niɲ menba, bay gey bi ôbi ré ɗebu naɲ ci wô wo ôbi ma ré erê aɲê sôŋ. 
LUK.4.43	Niɲba, ôbi kôlji iyôŋ ba: «Yi gengiɲ san bi ené ô ulê béré Kwôlo Dôri wo *emê iyére to Emen sa iyére to ɗaŋgi a wôsa na wô bi wo hen a, Emen né joon hen.» 
LUK.4.44	Aɲ ôbi ô ulê béré bô iyéy daɲare a sa terare to Judé.
LUK.5.1	Wulê wo pôni kiriɲa Jésu ɗibiɲ kibi cér wo dami wo Génésarêt a menba, ɓiɲé nôgeriɲ yirji si ligiri wô toyiɲ kwôlo Emen. 
LUK.5.2	Menba, ôbi gel bato wôô yi kibi cér wo dami bi wo hen na. Bay uré ka li jé bô a hen herbe tôŋ wô ɲanê bura toji. 
LUK.5.3	Bato bi wo wôô hen na, kwo pôni na kwo Simô. Jésu ɗay mô bô aɲ kôli ôbi ré ôriɲ naɲ ɗi dê iyôŋ si bô cér. Menba, ôbi mô tôŋ bô bato bi wo hen a aɲ geliɲ kwônê ɓiɲé Kwôlo Dôri.
LUK.5.4	Kiriɲa ôbi dôriɲ kwônê ɓiɲé kwôlo Emen kô niɲ na, ôbi kôliɲ Simô iyôŋ ba: «Ôriɲ naɲ bato dê iyôŋ a bô ɗogé cér a aɲ ken bi bura toŋge bô kam a uriɲ.»
LUK.5.5	Simô uwôli sara iyôŋ ba: «*Rabi, nini ur kwôy kiriɲ wôl sarni a aɲ nini ɓu ani ré niɲba, na jôbi a kelê hen na, na hô bê bura kam a gelé sôŋ.»
LUK.5.6	Kiriɲa bay bi bura kam a menba, bay pô kuyê wôn ɓerêj aɲ yêgerê bura toji hende to hen. 
LUK.5.7	Bay liɲ megêrji ka bô bato wo pôni a hen kôbriji ré era sa li naɲ ci men. Bay pô kuyê wôn bato bi wo wôô hen ɓerêj ɓerêj aɲ li wo bato ɗa dermiɲ. 
LUK.5.8	Kiriɲa Simô Piyêr gel hen iyôŋ na, ôbi kuriɲ tôŋ cubu gubari tumô Jésu a aɲ kôl iyôŋ ba: «Kelma, dô tôm aɲ yen a wôsa ena ôbi têriɲ.»
LUK.5.9	Ôbi kôl hen iyôŋ wôsa bay naɲ megêri tiniji ge kay aɲ harê liji sa uré woɲ geɲê ka bay ur a hen. 
LUK.5.10	Si *Jak naɲ Ja kam Jébédé kaɲ megêri bay uré hen kôba, tiniji ge kay aɲ harê liji men. Menba, Jésu kôliɲ Simô iyôŋ ba: «Hare ré wôsa ayiɲ tôri kemnêŋ na, na gawrê a jeré uré niɲ.»
LUK.5.11	Bay heraɲ naɲ bato sa haarê tôŋ kibi cér men, bay ɗi aŋgaji kêm aɲ a men aɲ ôrji tô Jésu.
LUK.5.12	Wulê wo pôni kiriɲa Jésu ô sa iyére to ɗaŋgi menba, gawra wo pôni wo *terbare elemné yiri kêm so. Kiriɲa ôbi gel Jésu menba, bôy meremne tumôri a aɲ uwôli kôl iyôŋ ba: «Kelma, hena jeré gey ba, já beraren.»
LUK.5.13	Jésu jé kôbri hebiɲni aɲ kôl iyôŋ ba: «Ew, en gey bi terbare tom hende to hen ré dôriɲ sam a.» Kiriɲ bay ka hen na, terbare naɲ yiri a. 
LUK.5.14	Jésu kôli iyôŋ ba: «Kôliɲ kwôni ré pa pa. Niɲba, ô ju ô gelé yem tumô ôbi bê kwôbe a aɲ ju li sarga naɲ tôô to *Moyis na ay hen aɲ bi bay ré gel wo jeré na kwo séli tumô Emen a.»
LUK.5.15	Bay kôl kwôli Jésu naɲ kiriɲ kiriɲ men, ɓiɲé kwône era wô toyé kwôlê wori men, ka era bi ôbi ré berareji men. 
LUK.5.16	Niɲba, ôbi ba, dô yiri wolé kwôy kwôy derô gwôlê aɲ uwôl Emen.
LUK.5.17	Wulê wo pôni Jésu mô wô geliɲ ɓiɲé are menba, *Parisiɲêɲê naɲ *bay derê tô tôô to Emen kôba mô ya men. Bay hena sa iyé Galilé a kêm men, sa iyé Judé a kêm naɲ sa iyé Jérusalêm a kêm a men. Aɲ néé wo Kelma baa naɲ ɗi aɲ ôbi berare ɓiɲé. 
LUK.5.18	Ɓiɲé ka pôni aya gawra sa jaare a soɲ, na gawra woɲ ôbi merayê, bay woge ciré siɲ naɲ ɗi kiriɲ ka Jésu môriɲ ya hen aɲ uwôli tumôri a. 
LUK.5.19	Niɲba, bay uwoɲ geré ré sa kibi kwônê ɓiɲé. Bay ɗayiɲ naɲ ɗi ta sa ira aɲ kergeji sa iyére hende to hen aɲ herbiɲni naɲ jaare tori hende hen ɗéɲ tumô Jésu a kiriɲ ka ôbi môriɲ ya hen. 
LUK.5.20	Kiriɲa Jésu gel wo bay bi bôrji sari a hen iyôŋ menba, ôbi kôl iyôŋ ba: «Melaɲnen, têriɲ tom dôriɲ sam a.»
LUK.5.21	Bay derê tô tôô to Emen naɲ Parisiɲêɲê erem bôrji a kôl iyôŋ ba: «Na i bi a tiiré Emen hen iyôŋ ba? Hena ré na Emen mera ré ba, i wo ɗaŋgi a na ôbi derê têriɲ sa gawra ba?»
LUK.5.22	Jésu hôn ermé woji menba, uwôlji sara iyôŋ ba: «Wô mi a kené erem kwôlo hen iyôŋ bôrŋge a ba? 
LUK.5.23	Kelê iyôŋ ba: ‹Têriɲ tom dôriɲ sam a› a derê kelê lew, laba kelê ‹Hena ta ju ô› a derê kelê lew ɗi ba? 
LUK.5.24	Haw hen ka henê wo nôbi *Kema Gawra ené ôriɲ naɲ néé sa terare a nà wô dôriɲ têriɲ sa ɓiɲé.» Menba, ôbi kôliɲ ôbi merayê na iyôŋ ba: «En kôlem, hena ta ay jaare tom ôriɲ iɲ.»
LUK.5.25	Kiriɲ bay ka hen na, ôbi hena tu ɓiɲé kêm aɲ ay jaare tori ôriɲ iɲ aɲ ayiɲ kibi Emen. 
LUK.5.26	Ɓiɲé kêm tiniji ge kay. Menba, bay heram Emen naɲ harê aɲ bay ɲamniɲ kôl iyôŋ ba: «Naa gel aŋgaɲ geɲê kemnêŋ.»
LUK.5.27	Cêgeri wori menba, Jésu si ô menba, gel gawra wo pôni wo bay uwôgeri Lébi ôbi eŋgé wôgê hen mô kini eŋgé wôgê wori a. Menba, Jésu kôli iyôŋ ba: «Era tôn a.»
LUK.5.28	Menba, ôbi ɗéɲ aŋgari kêm aɲ hena ô tôri a.
LUK.5.29	Ôbi li emê wo mêy uwôgiɲ Jésu iyére tori a men, *bay eŋgé wôgê kêm men, ɓiɲé ka ɗaŋgi kôba sa ômji are naɲ ci a men. 
LUK.5.30	Menba, Parisiɲêɲê naɲ bay derê tô tôô to Emen kaji ɲamniɲ aɲ kôliɲ bay tô Jésu iyôŋ ba: «Wô mi a kené ôm men, yi men naɲ bay eŋgé wôgê men, bay têriɲ men ba?»
