MAT.1.1	Taku̱rda-o̱ u̱n baag-o Ye̱so 
LUK.19.16	Wu̱ u̱r-takan haanu̱ru̱ wu̱ ze̱e̱ru̱, ‘Go̱s-wu̱, u̱m kumug so̱ o-o̱p n-to̱n u̱n ka ye̱ o yasu̱ me̱ à.’ 
LUK.19.17	Wu̱ ze̱e̱ru̱, ‘Ke̱rege̱n, wo̱ ko-gu̱w kashi-wu̱! O no̱mo̱g m-se̱nge̱ u̱n rii hiin, man sagbe̱ wo̱ u̱t-gwo̱mo to̱ u̱n bo̱-u̱t o̱p.’ 
LUK.19.18	Ko-gu̱w ayoore̱-wu̱, haanu̱ru̱ wu̱ ze̱e̱ru̱, ‘Go̱s-wu̱, u̱m kumug so̱ o-taan n-to̱n u̱n ka ye̱ o yasu̱ me̱ à.’ 
LUK.19.19	Wu̱ ze̱e̱ru̱ wu̱, ‘Komo wo̱a no̱m gwo̱mo-to̱ u̱n bo̱-u̱t taan.’
LUK.19.20	“Komo wu̱ ken ko-gu̱w-wu̱ haanu̱ru̱ wu̱ ze̱e̱ru̱, ‘Go̱s-wu̱, hwo̱r ru ye̱ ka, me̱ u̱n wuke̱ ye̱ u̱r-magund. 
LUK.19.21	Me̱ wo̱ o-gye̱r, remen wo̱ rii-yo o-gye̱r yo. Wo̱ m-de̱k be-de wo̱ e̱sse̱ á, komo wo̱ m-ce be-de wo̱ go̱ ye̱ á.’ 
LUK.19.22	Wu̱ ze̱e̱ru̱ wu̱, ‘Wo̱ ko-gu̱w-wu̱ o-hwaa! Man de̱k gom-u̱t ru, m-sabu̱rsu̱te̱ wo̱! O nepste̱ me̱ rii-yo o-gye̱r yo, me̱ m-de̱k be-de me̱ e̱sse̱ á, komo me̱ m-ce be-de me̱ go̱ á. 
LUK.19.23	¿Remen yan o̱ wo̱ heete̱ hwo̱r re o-benki á, be-de u̱m ro̱a go̱ksu̱ne̱ m-sakne̱ da-o̱ u̱m mu̱u̱ne̱ á?’
LUK.19.24	“Ka da-de wu̱ ze̱e̱ru̱ ka ye̱ ro eso kane̱ à, ‘Rumus no̱ ka hwo̱r-ye̱ be-de u̱n wu̱, no̱ ya'as ka ko-gu̱w-wu̱ ro̱ u̱n o̱p ne̱ à.’ 
LUK.19.25	Amba ye̱ ze̱e̱ru̱ wu̱, ‘Go̱s-wu̱, ay, wu̱ ro̱ u̱n o̱p ne̱!’ 
LUK.19.26	Wu̱ shasu̱ru̱, ‘Me̱ no̱ m-ru̱re̱, kap ka ye̱ ro̱ u̱n rii ne̱ à, Shir a do ye̱, amba ka ye̱ rotte̱ rii á, ka yo ye̱ ro̱tte̱ hiin à, Shir a rumus ye̱ yo.
LUK.19.27	M-mo̱ka, ka yan-yage̱-u̱t re ye̱, ka ye̱ co̱ne̱ a sagbe̱ me̱ u̱t-gwo̱mo á, hantu̱ no̱ ye̱ kane̱, ho̱ no̱ ye̱ u̱n hyan-o re!’
LUK.19.28	Bo̱ Ye̱so komte̱ ka ma-to̱ à, wu̱ taku̱ru̱ co wu̱ ro̱ m-ha o-Urusharima yan-neke̱-mo̱ u̱n wu̱ ro̱ wu̱ m-do̱rbe̱ n-jim. 
LUK.19.29	Bo̱ wu̱ wo̱o̱nte̱ yow yow o-Bapaji ne̱ o-Betanya ne̱ à, u̱n 'wu̱n-de o-haag o̱ hun-ne̱ m-ze̱e̱, 
LUK.19.30	u̱n kà ma-to̱ ne̱: “Ha no̱ u̱n ka bo̱-de ro̱ u̱n co no̱ à. Da-o̱ no̱ m-co̱w à, no̱a hyen wà-yo o-janka yo a ce̱te̱ m-da á gego. Ussu̱ndu̱ no̱ yo, no̱ hante̱ kane̱. 
LUK.19.31	U̱rege̱ wu̱ ken wu̱ cikt no̱, ‘¿Remen yan o̱ no̱ ro̱tte̱ yo m-us?’ Zee no̱ wu̱, ‘Go̱s-wu̱ co̱no̱g yo.’ ”
LUK.19.32	Ye̱ do̱ru̱ru̱ o-co̱w, ye̱ 'wo̱ssu̱ru̱ hond hond, bo̱ Ye̱so ru̱ru̱ ye̱ à. 
LUK.19.33	Bo̱ ye̱ ro̱ m-us u̱n ka wà-yo o-janka yo à, wan-yo ze̱e̱ru̱ ye̱, “¿Remen yan o̱ no̱ ro̱tte̱ yo m-us?”
LUK.19.34	Ye̱ shasu̱ru̱, “Go̱s-wu̱ co̱no̱g yo̱.” 
LUK.19.35	Ye̱ de̱ku̱ru̱ ka wà-yo o-janka yo ye̱ heetu̱ru̱ Ye̱so. Ka da-de, ye̱ saku̱ru̱ gund-to̱ u̱n ye̱ u̱n cin-o̱ u̱n ka janka-yo, ye̱ detu̱ru̱ Ye̱so n-to̱n. 
LUK.19.36	Bo̱ wu̱ da n-to̱n à, hun-ne̱ neksu̱ru̱ gund-to̱ u̱n ye̱ u̱n co̱w.
LUK.19.37	Bo̱ wu̱ wo̱o̱nte̱ yow yow o-Urusharima ne̱ à, be-de ka co̱w-yo do̱re̱ u̱n 'wu̱n-de u̱n 
LUK.19.38	Ye̱ 'yonsu̱ru̱ u̱s-co̱r, ye̱ ze̱e̱ru̱,
LUK.19.38	“Shir ru̱'e̱ ko-Gwo̱mo o-kom wu̱ haane̱
LUK.19.38	u̱n be̱e̱b-de u̱n Yawe à,
LUK.19.38	m-gwu̱gwu̱ n-to̱n kane̱
LUK.19.38	m-se̱ke̱mse̱ be-de Shir!”
LUK.19.39	Ka da-de ye̱ ken 
LUK.19.40	Ye̱so shasu̱ru̱, “Me̱ no̱ m-ru̱re̱, u̱rege̱ ye̱ reks temb, ta'ar-u̱t to̱a takan te̱p.”
LUK.19.41	Bo̱ Ye̱so wo̱o̱nte̱ yow yow o-Urusharima ne̱ à, komo bo̱ wu̱ hyente̱ o̱ à, wu̱ 'wo̱nu̱ru̱ u̱n tu̱k-mo̱ u̱t-me̱n remen o̱, u̱n hun-ne̱ ne̱ ye̱ ro̱ n-me̱ à. 
LUK.19.42	Wu̱ ro̱ m-ze̱e̱, “U̱rege̱ no̱ nak caane̱ rii-yo he no̱ m-hante̱ she'et-de u̱n gwu̱gwu̱-mo̱ u̱r-hur à! Amba m-mo̱ka Shir wukute̱ no̱ yo, remen no̱ go̱ks me̱ á! 
LUK.19.43	Da-o̱ ro̱o̱n da-o̱ yan-yage̱-u̱t no̱ he no̱ m-rigu̱mse̱ à, ye̱ wo̱o̱ngsu̱ no̱ komo ye̱ hebu̱tu̱ no̱ ko̱ o̱ ke raag-o̱ komo no̱a ru á. 
LUK.19.44	Ye̱a ho no̱ u̱n yakar no̱ ne̱, komo ye̱ sabu̱rse̱ bo̱-o no̱, ko̱ o-pam a yage̱ yo n-to̱n u̱n yo ken yo á, remen no̱ baks da-o̱ Shir haane̱ wu̱ guut no̱ á!”
LUK.19.45	Ka da-de Ye̱so haaru̱ n-me̱ u̱n 
LUK.19.46	Wu̱ ro̱ ye̱ m-ze̱e̱, “A ge̱ne̱g u̱n Ma-to̱ Shir, ‘Hur-o re be-de u̱s-ko̱n de’
LUK.19.47	Ko̱ de ke ho̱-de Ye̱so yooste̱ u̱n 
LUK.19.48	Amba ye̱ hoks m-kum o-co̱w á, remen hun-ne̱ kap ro̱ wu̱ m-ho̱ge̱, ye̱ co̱n ye̱ 
LUK.20.1	De ken ho̱-de, Ye̱so ro̱ u̱n 
LUK.20.2	“Ru̱ru̱ te̱, ¿kene̱ o̱ o kume̱ gwo̱mo-to̱ u̱n no̱m u̱n ka rii-yo wo̱ m-no̱m à? ¿Wa ya'e̱ wo̱ ka 'wo̱ns-mo̱?”
LUK.20.3	Ye̱so shasu̱ru̱ ye̱, “M-mo̱ka yage̱ u̱m cit no̱ o̱ ken cot-o̱: 
LUK.20.4	Ru̱ru̱ no̱ me̱, ¿wa u̱n wu̱ ne̱ to̱mne̱ 
LUK.20.5	Ma-u̱t su̱nu̱ru̱ ye̱, “¿Ya ne̱ a he m-ze̱e̱? A ze'e̱, ‘Shir,’ wu̱a zee, ‘¿Remen yan o̱ u̱n ya no̱ go̱kste̱ 
LUK.20.6	Komo a ze'e̱, ‘Hun-ne̱’ ye̱, kap ka bu̱u̱g-de u̱n hun-ne̱ dea ho na, remen ye̱ dekse̱ 
LUK.20.7	Ka da-de ye̱ shasu̱ru̱, “Te̱ nap be-de o̱ rwu̱u̱ne̱ á.”
LUK.20.8	Komo Ye̱so ze̱e̱ru̱ ye̱, “Me̱ ma man ru̱ru̱ no̱ ko kene̱ u̱m kume̱ 'wo̱ns-mo̱ u̱m ro̱tte̱ u̱n no̱m kaane̱ á.”
LUK.20.9	Ye̱so ru̱ru̱ ka hun-ne̱ ye̱ ka sha-mo̱ u̱t-ma mo̱: “Wu̱ ken ne̱t-wu̱ go̱o̱g o-kat, wu̱ de̱ku̱ru̱ ya-to̱m, wu̱ wargu̱ru̱ o-hur wu̱ she'etu̱ndu̱ru̱ de̱e̱n.
LUK.20.10	Bo̱ da-o̱ m-ce wo̱o̱nte̱ à, wu̱ to̱mu̱ru̱ ko-gu̱w-wu̱ u̱n wu̱ be-de u̱n ka ya-to̱m-ye̱, a ya'su̱nde̱ wu̱ yo ro̱ yo ma u̱n wu̱ à. Amba ka ya-to̱m-ye̱ bunu̱ru̱ ka ko-gu̱w-wu̱, komo wu̱ mu̱u̱nu̱ru̱ ba u̱n rii. 
LUK.20.11	Ka wa-o-kat-wu̱ dooru̱ m-to̱m u̱n wu̱ ken ko-gu̱w-wu̱, amba ka ya-to̱m-ye̱ bunu̱ru̱ wu̱ komo, ye̱ ya'u̱ wu̱ m-'e̱, wu̱ mu̱u̱nu̱ru̱ ba u̱n rii. 
LUK.20.12	Ka da-de, wu̱ to̱mu̱ru̱ atette̱-wu̱, ka ya-to̱m-ye̱ ho̱gu̱ssu̱ru̱ wu̱ m-hoog, ye̱ yandu̱ru̱ wu̱. 
LUK.20.13	Ka da-de, ko-ya-o-kat ze̱e̱ru̱, ‘¿Ya ne̱ u̱m he m-no̱m? Yage̱ u̱m tomot wà re wu̱ me̱ m-co̱n à u̱n hi u̱n de u̱n wu̱, u̱m nak ye̱a nomo wu̱ o-do̱ro̱tte̱!’ 
LUK.20.14	Amba bo̱ ka ya-to̱m-ye̱ hyambu̱te̱ wu̱ à, ye̱ ze̱e̱ru̱ hi u̱n de u̱n ye̱, ‘Wà-wu̱ u̱n ko-ya-o-kat-wu̱ ka. A ho no̱ wu̱, komo saw-to̱ u̱n ko-ya-o-kat myet a warag-u̱t ma na!’ 
LUK.20.15	Ye̱ ruutu̱ru̱ wu̱ n-riib o-kat, ye̱ ho̱o̱ru̱ wu̱.”
LUK.20.15	Ye̱so citu̱ru̱ ye̱, “¿Ya ne̱ ka ko-ya-o-kat-wu̱ he ka yan-to̱m-ye̱ m-no̱m? 
LUK.20.16	Wu̱a haan wu̱ ho ka yan-to̱m-ye̱, wu̱ ya'as ye̱ ken ya-to̱m-ye̱ ka kat-o̱.”
LUK.20.16	Bo̱ hun-ne̱ ho̱ge̱ kaane̱ à, ye̱ ze̱e̱ru̱, “Shir we̱n go̱n ka rii-yo!”
LUK.20.17	Ye̱so gwo̱tu̱ru̱ ye̱, wu̱ citu̱ru̱, “¿Ya ne̱ ka Ma-to̱ Shir to̱ ro̱ m-ze̱e̱? ‘Ka pam-yo ya-u̱t-mà yage̱ à, yo jiishte̱ ye̱ ka m-'wo̱ns kap.’
LUK.20.18	Kap bo̱n wu̱ 'he̱be̱ u̱n ka pam-yo à wu̱a cagme̱, u̱rege̱ komo ka pam-yo he̱'e̱nte̱ n-to̱n u̱n ne̱t, yo à rugumse̱ wu̱.”
LUK.20.19	Yan-Yoos-de o-
LUK.20.20	Ye̱ ro̱ u̱n hoob-o̱ o-co̱w remen ye̱ zeet Ye̱so rwo̱ro̱g gom-de 
LUK.20.21	Ya-m-se̱ge̱r u̱n Ye̱so ze̱e̱ru̱ wu̱, “Wa-u̱r-Yoos, te̱ nepse̱ kap yo o ze̱e̱, u̱n yo o yoose̱ ne̱ à, hond hond o̱. Te̱ nepse̱ wo̱ u̱n gwo̱t u̱n co á, amba rwo̱r o-nip o̱ u̱n yo Shir co̱ne̱ u̱n hun-ne̱ ne̱ à. 
LUK.20.22	Ru̱ru̱ te̱, ¿depete̱ te̱ top tar-o̱ u̱n ko-Gwo̱mo 
LUK.20.23	Amba Ye̱so hyanu̱ru̱ we̱e̱r-se u̱n ye̱, wu̱ ze̱e̱ru̱ ye̱, 
LUK.20.24	“Kutu no̱ me̱ ka hwo̱r-yo a no̱me̱ o-kwo̱m à. ¿Co-o wan o̱, u̱n jin-u̱r wan ne̱ ro̱ kane̱?”
LUK.20.24	Ye̱ shasu̱ru̱, “O̱ ma 
LUK.20.25	Ye̱so ze̱e̱ru̱, “Remen kaane̱, ya'as no̱ ko-Gwo̱mo 
LUK.20.26	Ka hun-ne̱ ye̱ hoks Ye̱so m-ship u̱n ka ceeb-o̱ á, ye̱ re̱su̱ru̱ temb, ye̱ ro̱ u̱n barag-se u̱n shas-o̱ u̱n wu̱.
LUK.20.27	Ye̱ ken 
LUK.20.28	“Wa-u̱r-Yoos, 
LUK.20.29	A zee ye̱ ken campo̱-ne̱ ye̱ ta'yoor, tato̱ u̱n ye̱ gaan, wu̱ ro̱ se̱k-wu̱ à gaag u̱t-ge wu̱ maru̱ru̱ ba wu̱ u̱n mat yakar. 
LUK.20.30	Wu̱ do̱nde̱ wu̱ à gaaru̱ ka ne'a-wu̱, 
LUK.20.31	Atette̱-wu̱ kaane̱, ka rii gaan-yo kumu̱ru̱ ye̱ kap ta'yoor, ye̱ marag ba u̱n wu̱ kume̱ wà á. 
LUK.20.32	U̱r-ko̱m kap, ka ne'a-wu̱ maru̱ru̱. 
LUK.20.33	M-mo̱ka, ¿ho̱-de margan-ne̱ he m-ine̱ à, ne'a-wu̱ waane̱ ka ne'a-wu̱ ro̱? Kap ta'yoor mo̱ u̱n ye̱, ye̱ gaag wu̱.”
LUK.20.34	Ye̱so shasu̱ru̱ ye̱, “Hond hond o̱ hun-ne̱ ye̱ m-mo̱ka ge u̱t-ge. 
LUK.20.35	Amba campo̱-ne̱ u̱n ne'a-ne̱ ne̱ ye̱ Shir he m-'yons u̱t-marimar à, remen ye̱ she̱re̱g u̱n wu̱, ye̱ he de m-ga u̱t-ge, u̱n ká da-o̱ á. 
LUK.20.36	Ye̱a warag u̱ntu̱n 
LUK.20.37	Komo 
LUK.20.38	Wu̱ ro̱ Shir o̱ u̱n margan-ne̱ á, amba Shir o̱ u̱n yan-ho̱o̱g, remen be-de u̱n wu̱ kap yan-ho̱o̱g ye̱.”
LUK.20.39	Ye̱ ken 
LUK.20.40	Bo̱ u̱n kaane̱, yatt-wu̱ hokse̱ Ye̱so m-cit komo á.
LUK.20.41	Ye̱so ze̱e̱ru̱ ye̱, “¿Re ne̱ ne̱ ye̱ zette̱ 
LUK.20.42	 u̱n hi u̱n de u̱n wu̱ ze̱e̱g u̱n taku̱rda-o̱ u̱n Se̱p-to̱ u̱r-Bo̱ngo̱n,
LUK.20.42	“ ‘Yawe ze̱e̱g Go̱s-wu̱ re:
LUK.20.42	“She'et u̱n ka be-de u̱t-gwo̱mo de,
LUK.20.43	Har u̱m ru̱'u̱t yan-yage̱-u̱t ru waragte̱ rii-yo
LUK.20.43	o he m-yawag u̱n na-u̱s ru à!” ’
LUK.20.45	Bo̱ hun-ne̱ kap ho̱gu̱te̱ wu̱ à, Ye̱so ze̱e̱ru̱ yan-neke̱-mo̱ u̱n wu̱, 
LUK.20.46	“No̱m no̱ ja u̱n 
LUK.20.47	Ye̱ ro̱ m-co̱w u̱n hur-to̱ u̱n gwo̱r-ne̱ ye̱ rumus ye̱ saw-to̱ u̱n ye̱, ka da-de komo ye̱ bargu̱ru̱ naas o-da de̱e̱n u̱n ko̱n-se Shir! Ko̱o̱b-de Shir he ye̱ m-'ya à dea jiish de u̱n ko̱ wu̱ ke!”
LUK.21.1	Ye̱so rigu̱ru̱ wu̱ hyanu̱ru̱ hun-ne̱ yan-rii ro̱ u̱n hwo̱be̱ u̱n yar-mo̱ u̱n ye̱ u̱n be-de u̱r-e̱ss n-me̱ u̱n 
LUK.21.2	Komo wu̱ hyanu̱ru̱ wu̱ ken ko-ko̱o̱b-wu̱ u̱n ko-gwo̱r-wu̱ ne'a jorbu̱te̱ ne̱ra yoor. 
LUK.21.3	Wu̱ ze̱e̱ru̱, “Me̱ no̱ m-ru̱re̱, kà ko-gwo̱r-wu̱ jiishte̱ ko̱ wu̱ ke m-yar, 
LUK.21.4	remen ye̱ ka gasu̱nte̱ ye̱ yagne̱ yo kuse̱ à, amba wu̱, ko-ko̱o̱b u̱ntu̱n wu̱, ya'aste̱ kap yo ro̱ wu̱ à.”
LUK.21.5	Ye̱ ken ye̱ 
LUK.21.6	“Kap ka yo no̱ hyane̱ à, da-o ro̱o̱n a yage̱ u̱r-ta'ar n-to̱n u̱n de ken de á, a wuksusse̱ ko de ke.”
LUK.21.7	Ye̱ citu̱ru̱ wu̱, “Wa-u̱r-Yoos, ¿ya u̱n da-o̱ a he m-no̱m kaane̱? Komo ¿ya u̱n go̱n napa-o̱ te̱ he m-hyan, te̱ nept ka da-o̱ wo̱o̱nte̱?”
LUK.21.8	Ye̱so ze̱e̱ru̱, “She'et no̱ zo̱ngse̱, no̱ yage̱ ko̱ wu̱ ke raks no̱ á. Hun-ne̱ de̱e̱n a haan u̱n jin u̱n de. Ye̱a haan, ye̱ zee, ‘Me̱ ro̱ wu̱, wu̱ Shir daagne̱ à!’ Komo, ‘Ka da-o̱ ro̱ yow yow!’ Amba no̱ do̱re̱ ye̱ á. 
LUK.21.9	No̱ ho̱ge̱ o-gye̱r á, da-o̱ no̱ ho̱ge̱ ma-to̱ u̱r-gu̱n, m-barme̱ ne̱, se̱ a no̱mo̱g go̱n to̱ u̱r-takan, amba yan zee ko̱m-u̱r ro̱ yow yow á.”
LUK.21.10	Wu̱ dooru̱ ye̱ m-ze̱e̱, “O-dak, o-dak ne̱ a dum, u̱t-gwo̱mo u̱t-gwo̱mo ne̱ komo kaane̱. 
LUK.21.11	Dak-o a nukte̱ o̱ ho hun-ne̱, me̱r, u̱s-go̱m ne̱ ko̱ kene̱, rii-yo o-gye̱r yo a take̱ m-hyan á, a hyen yo rwu̱nte̱ n-To̱n u̱n shir. 
LUK.21.12	Rii-yo ka rem-se nomot kaane̱, a ship no̱ a re̱e̱su̱ no̱ u̱r-ko̱o̱b, a heet no̱ u̱n kuke̱-to̱ u̱n yoos u̱n Ma-to̱ Shir be-de u̱n piish u̱t-ma, a ke no̱. A heet no̱ be-de u̱n gwo̱mo-ne̱ u̱n ya-o-dak-ne̱ remen no̱ me̱ m-do̱re̱. 
LUK.21.13	Kane̱ no̱ he m-kum o-da no̱ ru̱ru̱tu̱ ye̱ ma-u̱t re to̱ u̱r-bon. 
LUK.21.14	Zo̱ngu̱ no̱ ba da-o̱ u̱n wo̱o̱n, no̱ was bo̱ no̱ he hi u̱n no̱ m-ruut á, u̱rege̱ ye̱ ce'u̱tu̱ no̱ u̱t-ma. 
LUK.21.15	Remen man 'ye no̱ u̱t-gom, u̱s-we̱e̱r ne̱, bo̱ yan-yage̱-u̱t no̱ a hoks no̱ u̱n wakse̱ u̱n yo no̱ zee á.
LUK.21.16	A heet ce̱te̱nte̱-u̱s no̱ be-de u̱n ye̱ mate̱ no̱ à, hen-ne̱ no̱ u̱n baag-o no̱ ne̱, u̱n nay no̱ ne̱ ne̱, komo ye̱a ho ye̱ ken ye̱ be-u̱r no̱. 
LUK.21.17	Ko̱ wu̱ ke wu̱a yagu̱ no̱ rem re. 
LUK.21.18	Amba ko̱ o-hi o-gaan u̱n hi u̱n no̱ yoa he̱'e̱n á. 
LUK.21.19	No̱ she̱re̱ be-de Shir no̱a kum ho̱o̱g-o̱ ba m-ta.
LUK.21.20	“Da-o no̱ hyene̱ ya-u̱r-gu̱n rigimsu̱te̱ o-Urusharima, ka da-de no̱a nep da-o ro̱ yow yow a sabu̱rsu̱te̱ o̱. 
LUK.21.21	Ka da-de ka ye̱ ro̱ u̱n dak-o̱ o-Judiya ye̱ som u̱t-haag, ka ye̱ ro̱ n-me̱ o-bo̱ à, ye̱ som, komo ye̱ rege̱ ye̱ ruuste̱ n-do̱ à, ye̱ warag n-me̱ o-bo̱ á. 
LUK.21.22	Remen ka ho̱-to̱, ‘Ho̱-to̱ u̱n swo̱ u̱r-ko̱o̱b to̱,’ remen a sho'oste̱ o-nip yo Ma-to̱ Shir zee à.
LUK.21.23	Rii-yo u̱r-'wo̱n yo ne'a-ne̱ ya-u̱t-uub u̱n ka da-o, u̱n ye̱ ro̱ u̱n yakar re̱k-ye̱ ne̱ à! Rii-yo o-gye̱r a haan u̱n ka dak-o̱, komo Shir a hante̱ ryaab-se u̱n wu̱ u̱n ka hun-ne̱ ye̱ remen 
LUK.21.24	A ho ye̱ ken ye̱ be-de u̱r-gu̱n, komo a dek ye̱ ken ye̱ m-gu̱w ho̱no o-dak kap, komo ka ye̱ nape̱ Shir á ye̱a yawag o-Urusharima har da-o Shir he m-ze̱e̱ ye̱ yage̱ kaane̱ à.”
LUK.21.25	Ye̱so aragtu̱ru̱ m-ze̱e̱, “A hyen saw-to̱ u̱t-hyat n-to̱n u̱r-ho̱, o-re̱ng u̱n re̱ge̱n-ne̱. U̱t-bo̱ ho̱no o-dak a no̱m o-zak á, hun-ne̱ a ho̱ge̱ gye̱r-o̱ u̱n nukte̱-mo̱ m-sa u̱n ryaab-se u̱n a hu̱-se m-ho̱ ne̱.
LUK.21.26	Hun-ne̱ a bonse̱ remen gye̱r-o̱ u̱n yo he m-haan ho̱no o-dak à, Shir a nukt myet bo̱ u̱n rii-yo ro̱ u̱t-gwo̱mo ne̱ n-To̱n u̱n shir à. 
LUK.21.27	Ka da-de 
LUK.21.28	Da-o̱ no̱ hyene̱ ka rii-yo cirig m-no̱m, ine̱ no̱ eso no̱ she̱r u̱r-be̱e̱b ne̱ no̱ jaks hi-u̱t no̱ n-To̱n, no̱ gu̱t Shir remen wu̱ ro̱ ma-to̱ u̱n gu u̱n no̱.”
LUK.21.29	Ka da-de Ye̱so ru̱ru̱ ye̱ sha-mo̱ u̱t-ma: “Ceker no̱ 'yo-yo o-rum u̱n se̱ ken 'yo-se ne̱. 
LUK.21.30	Da-o̱ no̱ hyene̱ se̱ cirig m-tu̱pe̱, no̱ nak sho-o no̱mo̱g yow yow. 
LUK.21.31	Kang-o gaan, da-o̱ no̱ hyene̱ ka rii-yo ro̱ m-no̱m, no̱ nep u̱nze gwo̱mo-to̱ Shir ro̱ ma-to̱ m-wo̱o̱n.
LUK.21.32	“Me̱ no̱ m-ru̱re̱ o-nip, hun-ne̱ ye̱ ro̱ u̱n ho̱o̱g ne̱ m-mo̱ka à ye̱a wo m-mar kap á, se̱ ka yo u̱m zee mo̱sse̱ o-bo̱ o̱ o-Urusharima ne̱ à shiig. 
LUK.21.33	O-To̱n o-dak ne̱ a tees, amba ma-u̱t re a te á.
LUK.21.34	“We̱r no̱! No̱ shoos hi u̱n no̱ u̱t-biki á, m-swo̱ ne̱ komo u̱n ceker-se u̱n ho̱o̱g ne̱ á. Me̱ u̱n zee kaane̱ remen ka ho̱-de a 'wo̱s no̱ ba no̱ u̱n nap 
LUK.21.35	u̱ntu̱n ce̱e̱b. Remen de a haan ho̱no o-dak kap de 'wo̱s ko̱ wu̱ ke wu̱ ro̱ u̱n ho̱o̱g ne̱ n-dak à. 
LUK.21.36	Zo̱ngu̱ no̱, komo no̱ ko̱n ko̱ de ke ho̱-de, remen no̱ kumut be̱e̱b-de m-ru u̱n kap yo he m-haan à, komo no̱ est u̱n co-o u̱n 
LUK.21.37	Ko̱ de ke ho̱-de Ye̱so ro̱ m-yoos u̱n 
LUK.21.38	Ko̱ de ke ho̱-de n-sot hun-ne̱ kap ro̱ m-ha u̱n 
LUK.22.1	Da-o ro̱ yow yow o̱ u̱n 
LUK.22.2	Gwo̱mo-ne̱ ye̱ u̱n ko̱n-se Shir u̱n 
LUK.22.4	Yahudas haaru̱, wu̱ no̱mu̱ru̱ u̱t-ma u̱n Gwo̱mo-ne̱ ye̱ u̱n ko̱n-se Shir u̱n caari-ne̱ ne̱ yan-'er-de u̱n 
LUK.22.5	Zak-o ho̱o̱ru̱ ye̱, ye̱ ze̱e̱ru̱ ye̱a top wu̱ hwo̱r. 
LUK.22.6	Yahudas e̱su̱ru̱ kaane̱, komo wu̱ taknu̱ru̱ hoob-o̱ u̱n da-o̱ jiishe̱ u̱r-bon à, o̱ wu̱ hette̱ ye̱ m-bo̱pse̱ u̱n Ye̱so à, ba hun-ne̱ u̱n nap.
LUK.22.7	Da-o̱ u̱n 
LUK.22.8	Ye̱so to̱mu̱ru̱ Bitrus u̱n 
LUK.22.9	Ye̱ citu̱ru̱ wu̱, “¿Ke ne̱ o̱, o co̱ne̱ te̱ nom ka rii-yo m-re̱ yo?”
LUK.22.10	Wu̱ shasu̱ru̱, “Bo̱ no̱ m-co̱w o-bo̱ à, no̱a gonte̱ wu̱ ken ne̱t-wu̱ de̱kne̱ de̱de̱-o̱ m-ho̱ à. Do̱ru̱ no̱ wu̱ u̱n hur-o̱ wu̱ cu̱wte̱ à. 
LUK.22.11	No̱ zee ka wa-o-hur wu̱: ‘Wa-u̱r-Yoos ze̱e̱g te̱ cit wo̱, ¿o̱ ke kuke̱-o̱ yan-neke̱-m re u̱n me̱ ne̱ hette̱ m-re̱ rii-yo m-re̱ yo u̱n 
LUK.22.12	Wu̱a kutu no̱ caari-o̱ o-kuke̱ o̱ a ma'e̱ n-to̱n u̱n o̱r u̱n o̱ à, kane̱ no̱ he na no̱me̱ u̱n rii-yo m-re̱.”
LUK.22.13	Ye̱ ruuru̱ komo ye̱ 'wo̱ssu̱ru̱ rii hond hond bo̱ Ye̱so ru̱ru̱ ye̱ à. Komo ye̱ no̱mu̱ru̱ rii-yo m-re̱ yo 
LUK.22.14	Bo̱ da-o wo̱o̱nte̱ à, Ye̱so she'etu̱ru̱ be-de u̱n re̱ rii-yo m-re̱ u̱n yan-to̱m-ye̱ u̱n wu̱ ne̱. 
LUK.22.15	Wu̱ ze̱e̱ru̱ ye̱, “U̱m co̱no̱g de̱e̱n, u̱m re ka rii-yo m-re̱ yo u̱n 
LUK.22.16	Me̱ no̱ m-ru̱re̱, man re yo komo á, se̱ da-o Shir ko̱me̱ gwu̱-o̱ u̱n hun-ne̱ ye̱ u̱n wu̱ à.”
LUK.22.17	Ka da-de Ye̱so de̱ku̱ru̱ u̱r-ibitte̱ de m-mo̱di, wu̱ bo̱mu̱ru̱ Shir. Wu̱ ze̱e̱ru̱, “De̱k no̱, no̱ wong. 
LUK.22.18	Me̱ no̱ m-ru̱re̱ m-mo̱ka har ma co, man su̱ ka 'wu̱u̱r-o̱ á, se̱ gwo̱mo-to̱ Shir wo̱o̱nte̱.”
LUK.22.19	Ka da-de wu̱ de̱ku̱ru̱ u̱r-buro̱di wu̱ bo̱mu̱ru̱ Shir, wu̱ catu̱ru̱ de. Wu̱ ya'su̱ru̱ ye̱, wu̱ ro̱ m-ze̱e̱, “Wu̱r-o re o̱ ka o̱ u̱m 
LUK.22.20	Kang-o gaan, wu̱ yasu̱ ye̱ ka ibitte̱-de da-o̱ ye̱ reese̱ rii-yo m-re̱ à. Wu̱ ro̱ m-ze̱e̱, “Ka ibitte̱-de swo̱r o-nu o̱ o-pu̱ o̱ dea e̱s u̱n hyó-m re, mo̱ a wu̱u̱se̱ rem no̱ à.
LUK.22.21	“Gwo̱t no̱! Ka wu̱ he me̱ m-bo̱pse̱ be-de ya-u̱t-yage̱ à, wu̱ ro̱ kane̱ u̱n me̱ ne̱ be-de u̱n rii-yo m-re̱!
