MAT.1.1	Kalara
MRK.13.29	Dzam dëda, mfa waan, eyòṅ miayi yen e mam mala mëyenëṅan, miyëmë na (Mòn mod) antëlë ya a mbè. 
MRK.13.30	Makad mina bëbëla na, e ngongo bod nyi yayi ki wu së na e mam mala mëyenëban. 
MRK.13.31	Yob ai si biayi lod, bibug biama biangalod ki.
MRK.13.32	Mfa awola te ai amos te, mod ayëyëm dò, tò benglès ya yob, tò mòn; hë Tara etam ṅnyè ayëm. 
MRK.13.33	Boan okala, tòbëgan evie, amu miayëm ki abog. 
MRK.13.34	Anë anë mod ya angakë a dulu, aligi nda dzie ai bod bisye boe, avë bò ngul, anë mod esye dzie, abende nnòni na abò evie. 
MRK.13.35	Tòbëgan hm evie; amu miayëm ki abog nti dzal ayi sò, tò ngongogële, tò ai zaṅ, tò ai ndib, tò ai mëlende më kidi, 
MRK.13.36	amu, eyòṅ ayi sò mbumlëna, ayean ki mina kòb oyò. 
MRK.13.37	Ndò fë e dzam madzo di anë asu mod osë: tòbëgan a ngomzëna.
MRK.14.1	Hala Paska
MRK.14.2	Amu bëdzoo na: Së hm ki a abog ete mu, enyënyam eza bò a zaṅ bod.
MRK.14.3	Ndò hm, atoa a Betania, a nda Simun man nzëzam, atoa na adi, ndò mininga ziṅan gasò, abëlë ndëg mbòn alabinda, otoa mfaṅ ai dia, ndò aboe e ndëg nyi, angasoe nyè wò a nlo. 
MRK.14.4	Bod bëziṅ bëngalaṅëdan a minnëm ha na: A dze hm fò abim endaman alabinda di? 
MRK.14.5	Amu bëhë bë dzam kuan ai mbòn hi alodo minsaṅ mi mòni mintèd milè, bëvëë mimbubua. Bëngasòg nyè. 
MRK.14.6	Ndò Yesus adzo na: Dzogan nyè. Dze miayi ai nyè abe? Abò ma mbëmbë esye. 
MRK.14.7	Amu mimbubua minë ai mina kòm esë, ndò minë bò dzam bò mbëṅ abog asë, mfa wama, masëki ai mina kòm esë. 
MRK.14.8	Abò abim ahë bëlë ngul. Atari ma waba mbòn a nyòl asu edzëb-mbim dzama. 
MRK.14.9	Makad mina bëbëla na, e hom osë bëngâbende mbëmbë foe a si esë, e dzam e mininga nyò abò layi lèèban, bëtsogo nyè.
MRK.14.10	Ndò Yudas Iskariot, mbòg ya b'awom ai bëbè, angakë a bëfada bënen asu yë na akuan ai bò nyè. 
MRK.14.11	A bëngawog nala, bëngasan ai mintag, ndò bakag nyè na bayi nyè vë mòni.
MRK.14.12	Ndò, amos osu ya abog mbaṅëla të ai saṅ, abog bakad tuni Paska, ndò bëyègè boe badzo ai nyè na: Wayi na bikë wa komëzan e hom wadi Paska ve? 
MRK.14.13	Ndò alom bëyègè boe bëbè, nyè ai bò na: Kaṅan a tisòn, miayi toban ai fam
MRK.14.14	e hom ayi nyian, mikad mod nda ya ete na: ṅyëgëlë asili na: Eyë etun-nda bëyëṅ
MRK.14.15	Abog te ayi mina lëdë mod etun-nda a nda-yob atoa nkoman. Eyë komëzan bia abog ete. 
MRK.14.16	Ndò bëyègè bëngakë, bënyian a tisòn, bëkòbò anë angakad bò, bëkomëzan Paska. 
MRK.14.17	Eyòṅ ngoge engavin, ndò azu ai b'awom ai bëbè. 
MRK.14.18	Ndò bayëm bitoa, bëngadi, ndò Yesus adzo na: Makad mina bëbëla na mod mbòg ya abë mina ya adi ai ma, ayi kuan ai ma. 
MRK.14.19	Bëntoa mëlunga, bëngakë basilan bò bò ha na: Yë ma ana nga? 
MRK.14.20	Ndò akad bò na: Mbòg ya b'awom bëbè, a ayi du ai ma wò a esoa eyòṅ. 
MRK.14.21	Amu mòn mod akë fò anë bëngatil asu die, hë dzam da, amala ai e mod mòn mod akuan a mò moe! Lëntoa mbëṅ asu die ngë mod te abò të byali.
MRK.14.22	A bëdzaa ha, ndò anòṅ mbaṅëla, avëë ngaṅ, abëgë, akalan bò, nyè na: Nòṅan, e dzi enë nyòl dzama. 
MRK.14.23	Ndò fë anòṅ kòb, avëë ngaṅ, akalan bò, ndò bësë bënganyu ete. 
MRK.14.24	Ndò adzo ai bò na: E dzi enë mëki mama ya mkpamaṅ elad, mayi soeban asu abui bod. 
MRK.14.25	Makad mina bëbëla na mayi ki bad nyu ebuma ya ndig wayn akëlë kui amos ya mayi nyu mkpamaṅ wayn a ayòṅ Zamba. 
MRK.14.26	Ndò bëngayia bia bi oyëṅ
MRK.14.27	Ndò Yesus adzo ai bò na: Bod bësë bayi ma wog osòn, amu anë ntilan na: Mayi bimi nnòni, mintomba misë mimana tsaman
MRK.14.28	Dzam da, a mvus yë na mëkui ya sòṅ, mayi mina kë osu a Galilea. 
MRK.14.29	Ndò Petrus adzo ai nyè na: Tò fò bod bësë bëwog wa osòn, mfa wama, tègè ai nala. 
MRK.14.30	Ndò Yesus adzo ai nyè na: Makad wa bëbëla na, e wamen nyò, alu ben di, osusua yë na nnom kub alòṅ biyòṅ bibè, wayi ma sie biyòṅ bilè. 
MRK.14.31	Hë nyè afëdan dzo na: Tò mayean wu ai wa, mangasie ki wa. Bò bësë bëngakòbò hë dzam dëda.
MRK.14.32	Ndò bakë a mod afub atoa dzoe na Getsemani, ndò adzo ai bëyègè boe na: Tòbëgan ha, ntye makë kogëlan. 
MRK.14.33	Ndò anòṅ Petrus ai Yakob ai Yohannes, akèè na asaṅan eyëgan, ai mëlunga abui, 
MRK.14.34	ndò adzo ai bò na: Nnëm wama onë a mëlunga akui a awu. Tòbëgan ha, bibò evie. 
MRK.14.35	Ndò akë osu man ntye, akuu a si, angakogëlan na, ngë anë ebugbu awola te asaala nyè, 
MRK.14.36	angadzo na: Abba, a Tara, onë bò mesë. Vaagi ma e kòb nyi, dzam da sëki anë mbol mayi, abòò anë mbol wayi. 
MRK.14.37	Ndò azu bò koe bëkëlë oyò, nyè ai Petrus na: A Simun, dze yë wakë oyò? Wandzëki bi ngul ya atòbò evie tò hë awola da nga? 
MRK.14.38	Tòbëgan evie, mikogëlan, asu yë na të miaku a mëbobëla; amu nsisim onë ngul, nyòl etoa ntëgan. 
MRK.14.39	Ndò adugan kë, angakogëlan hë dzam dëda. 
MRK.14.40	Ndò adugan bò sòṅ koe bëkëlë oyò, amu mis mëngabë bò adid, bò ha të yëm e dzam bakad nyè. 
MRK.14.41	Ndò akë eyòṅ lala, nyè ai bò na: Kaṅan oyò eyòṅ dzili, miwaè: Nala wayean. Awola asò ya, yënan sik, mòn mod azu kuan a mò bësëm. 
MRK.14.42	Tëbëgan, nkaṅan. E mod akuan ai ma nyòlò azu.
MRK.14.43	Angënë akòbògò nala, ndò Yudas (mbòg ya b'awom ai bëbè) asò, anë ha ai nkunda bod ya bëfada bënen ai bësaṅa bëkalara ai bënyia-bod-mvia bëngalom, bëbëlë bënyamëla, ai këg. 
MRK.14.44	E mod akuan ai nyè angakui ai bò kiṅ na: E mod mayi wuban ai nyè, ṅnyè nyòlò, bian nyè, mitoan kë ai nyè. 
MRK.14.45	Ndò asubu nyè babi, nyè ai nyè na: Rabbi, awuban ai nyè. 
MRK.14.46	Ndò e bod ba bafudi nyè mò a nyòl, bëbii nyè. 
MRK.14.47	Mod mbòg ya e ba bëngabë bëtëlë hala atye fò nyamëla, abaa man olò fada nen, atsigi nyè alò. 
MRK.14.48	Ndò Yesus adzo ai bò na: Dze yë misò ma bi anë ezilgan, ai akëṅ, ai këg nga? 
MRK.14.49	Mëngabë ai mina amos osë a tempel, mëyëgëlë, mina tègè ma bi. Abòban nala, asu yë na ntilan odzalëban. 
MRK.14.50	Ndò bëngalig nyè, bò bësë bëmana tub. 
MRK.14.51	Man ndoman ziṅ
MRK.14.52	Ndò angalig sanda atubu nsò.
MRK.14.53	Ndò bakë ai Yesus abë fada nen, ndò bëfada bënen bësë ai bënyia-bod-mvia ai bësaṅa bëkalara bakoan. 
MRK.14.54	Petrus azu abye nyè ha man ntye, akui a nsëṅ abaa fada nen, ndò atòbò a si ha ai bod bisye, angawòbò ndoan. 
MRK.14.55	Bëfada bënen ai ekoan nnam bëngadzëṅ akalëga abë Yesus asu yë na bëwoe nyè, hë da, të yen. 
MRK.14.56	Amu abui bëzaa nyè tsig mbë mvaa, dzam da mbòlan waban të toban kiṅ. 
MRK.14.57	Ndò bod bëziṅ bëngatëbë hala, bëngatsig nyè mbë mvaa, bò na: 
MRK.14.58	Bingawog e mod nyò adzo na: Mënë dzam bug e tempel anë nloṅan ai mò më bod nyò, mëdugan loṅ mfë, së a ki ai mò më bod, a mvus mëlu mëlè, 
MRK.14.59	dzam da tò mbòòlan waban te të toban. 
MRK.14.60	Ndò fada nen angatëbë a ezezaṅ, ndò asili Yesus na: Wafèd ki e mësòman ma nga? 
MRK.14.61	Nyè hë evol, të yalan tò dzom. Ndò fada nen adugan nyè sili na: Yë wa onë Kristus, mòn e nyò anë ai olugu
MRK.14.62	Yesus nyè na: Owe, ndò fë miayi yen mòn mod atoa a mbo-nnomo ngul, azaa fë a minkut a yob
MRK.14.63	Ndò fada nen angatonde biwòman bie nyè na: Dze fë bingëne yaṅan ai bësòman? 
MRK.14.64	Miwog ebyandi! Miayen dò ya? Bò bësë bëngatsig na ayean ai awu. 
MRK.14.65	Ndò bëvòg bëziṅ batari na batui nyè mëtè bëbudigi nyè asu, bëbimiṅi nyè, bò na: Bò mvigi; Tò bod bisye bëbimiṅi nyè a mëmaṅ.
MRK.14.66	Petrus atoa osinkiè abaa ha, ndò man mininga ziṅ, mbò bisye fada nen asò 
MRK.14.67	ndò ayen Petrus awòbògò ndoan, ndò atoan nyè bëbë, nyè na: Wa wazu ya fë watòbò ai Yesus man Nazaret. 
MRK.14.68	Ndò asie na: Mayëm ki, ndò fë mawog wog ki e dzam wadzo. Ndò akë osu efas ya nsëṅ, ndò nnom kub alòṅ. 
MRK.14.69	Ndò man mininga ayen nyè, adugan kèè na akad e bod bëmbë tëlë hala na: E mod nyò anë mbòg ya abë bò. 
MRK.14.70	Hë nyè asiege. Eban të kog, ndò e bod bëmbë tëlë hala badzo ai Petrus na: Onë fò mbòg ya abë bò totoe, amu onë man Galilea. 
MRK.14.71	Ndò akèè na akag, akanëṅi sòṅ nyè na: Mayëm ki e mod miadzo nyòlò. 
MRK.14.72	Etye etye te, ndò nnom kub alòṅ eyòṅ bèè. Petrus adugan tsog ebug ya Yesus angadzo ai nyè na: Osusua yë na nnom kub alòṅ biyòṅ bibè, wayi ma sie biyòṅ bilè. Atsogo angatsog dò, aboe yon.
MRK.15.1	Kikidigi ai ndib, ndò bëfada bënen ai bënyia-bod-mvia ai bësaṅa bëkalara ai ekoan nnam esë babò ekoan, bëfaṅa Yesus ngadag, bëkë nyè vë Pilatus. 
MRK.15.2	Ndò Pilatus asili nyè na: Yë onë nkukuma Yuden? Ndò ayalan nyè na: Ndò wadzo dili. 
MRK.15.3	Bëfada bënen bëngasòman nyè abui. 
MRK.15.4	Ndò Pilatus adugan nyè sili: Wayalan ki tò dzom nga? Vogolo abim basòman wa. 
MRK.15.5	Yesus atoa të yalan tò dzam, e kan yë na Pilatus angakam.
MRK.15.6	A abog Paska asë, akarëga bò suu e man mimbog bëdzaa nyè. 
MRK.15.7	Mod ziṅ hala angabë dzoe na Barabbas, atoa a mimbog ai bod bëkarkara ya bëngawoe mod a endudugëlan ziṅ. 
MRK.15.8	Ndò bod bëngabed, bëtari na basili nyè na abò bò anë fulu engabë nyè. 
MRK.15.9	Ndò Pilatus ayalan bò na: Yë miayi na mësoe mina nkukuma Yuden? 
MRK.15.10	Ayëmë të na bëfada bënen bëngakuan ai nyè a mbë nnëm. 
MRK.15.11	Bëfada bënen bëngabòlan bod na Barabbas ṅnyè asuu bò. 
MRK.15.12	Ndò Pilatus adugan bò yalan, nyè na: Dze hm miayi na mëbò ai e nyò mialoe na nkukuma Yuden? 
MRK.15.13	Ndò bafëdan yëdan a yob ete na: Bomo nyè a klos. 
MRK.15.14	Pilatus nyè ai bò na: Dze adaṅ abò a enë abe? Bò ha hë bëyedëgan a yob na: Bomo nyè a klos. 
MRK.15.15	Mbol Pilatus angabë ayi na bod bëtòbò mintag, ndò asuu bò Barabbas, avë na bëyid Yesus, bëbomo nyè a klos.
MRK.15.16	Ndò bëzimbi bëngakui ai nyè a nsëṅ abaa, a nda ngòmëna, bëloe esamba bëzimbi esë, 
MRK.15.17	ndò babòdò nyè eyie eviege, bëtiṅi ekada biyò, bëbede nyè dzò a nlo. 
MRK.15.18	Bëkèè hm na basug nyè: Ovuma, a nkukuma Yuden. 
MRK.15.19	Bëngabimi nyè a nlo ai engëṅ, bëtuigi nyè mëtè, bëkudu nyè mëbòṅ osu na balugu nyè. 
MRK.15.20	Eyòṅ bëngamana nyè kpëlë, bësòdi nyè evëlë eyie, bëdugan nyè bòdi biyie bie. Mbò bakë ai nyè ba na bakë nyè bomo a klos.
MRK.15.21	Ndò banòdi Simun man Sirena
MRK.15.22	Ndò bakë ai nyè a Golgota, nala watyan na, Hom Ekogolo nlo. 
MRK.15.23	Ndò bavë nyè mëyòg më saṅ. Abënë nyu. 
MRK.15.24	Ndò babomo nyè a klos, bëkaban biwòman bie, bëdoa abia. 
MRK.15.25	Engabë awola lala, eyòṅ bëbomo nyè a klos. 
MRK.15.26	Etòm awu die engabë ntilan na: Nkukuma Yuden. 
MRK.15.27	Bëngabome fë bizilngan bibè ai nyè ha, mbòg a mbo-nnomo, e nyò mbòg a mbo-ngala.
MRK.15.29	E bod bëlodo hala bëngakpëlë nyè, bëluugu minlo bëdzo na: Bòs, a e mod wabug tempel, odugan nyè loṅ a mvus mëlu mëlè, 
MRK.15.30	susu a klos, onyii wamen. 
MRK.15.31	Dzam dëda fë, bëfada bënen ai bësaṅa bëkalara bëngakpëlë nyè a zaṅ bò a bò ha, bò na: Angakode bod bëfë, asëki dzam kode hë emen! 
MRK.15.32	Kristus, nkukuma Israel atam hm sus a klos na, biyen, biyëbë fë. E bod bëmbë mboman a klos ai nyè ha bëngakpëlë nyè.
MRK.15.33	Eyòṅ awola samëna angakui, ndò dibi angabò akui a awola ebulu. 
MRK.15.34	A awola ebulu, ndò Yesus angakòbò a yob ete na: Eloi, Eloi, lema sabaktani
MRK.15.35	Bod bëziṅ ya bëngabë tëlë hala bëngayi wog, bò na: Yënë, aloe Elias! 
MRK.15.36	Mod ziṅ hala atye mbil, akë du anya a saṅ wayn, akëlë a akòṅ, anyuu nyè, nyè na: Dzogan, biyen ngë Elias ayi nyè suu a si. 
MRK.15.37	Yesus adugan vë kiṅa yob ete, ndò asuu ṅhëbë. 
MRK.15.38	Ndò mod eye ndòmbò ya tempel angatondëban a zaṅ, atarigi a yob, akui a si. 
MRK.15.39	Ndzoe ntèd bëzimbi angabë tëlë nyè osu; e kan Yesus angasuu ṅhëbë, mod te nyè na: Bëbëla, e mod nyò ahë bë mòn Zamba. 
MRK.15.40	Bininga bëngabë bëtëlë hala oyab, bëbëbëgë, bëtoa na: Maria Magdalena ai Maria nyia Yakob mòngò ai Yoset, ai Saloma, 
MRK.15.41	mbò bëzaa batoṅ nyè eyòṅ angabë a Galilea, bësye nyè, ai abui bininga afë a bëngabed ai nyè a Yerusalem.
MRK.15.42	Abog ngoge ekëlë vin hali, mbol angabë okuli abog, nala onë na osusua sabbat, 
MRK.15.43	ndò Yosef ya Arimatea, mfaṅ mod ya ekoan nnam, nyè fë angabë ayanga ayòṅ Zamba, ndò angabi azombo, akëlë abë Pilatus, adzaè nyè mbim Yesus. 
MRK.15.44	Pilatus angakam na Yesus awu ya ki, ndò aloe ndzoe ntèd bëzimbi, asili nyè ngë hala awu ya eban. 
MRK.15.45	Eyòṅ angayëm ai e kan ndzoe bëzimbi angakad nyè, ndò avë Yosef mbim. 
MRK.15.46	Akusu ndòmbò eye, asuu nyè a si, awogo nyè a ndòmbò te, aboe nyè a sòṅ ya bëngabog a akòg, bëfudi ngòg a mbè sòṅ. 
MRK.15.47	Maria Magdalena ai Maria nyia Yoset bëyënë të e hom bëngafudi nyè.
MRK.16.1	Sabbat angayi lod, Maria Magdalena ai Maria nyia Yakob ai Saloma bëkusu mimbòn na bakë nyè miè wòbò
MRK.16.2	Ndò hm ai ndib kidi, ngë sabbat alod anë angoge, ndò bakë a sòṅ, hala nlo-dzobo akui ya. 
MRK.16.3	Bëzaa basilan bò a bò na: Za amvaa bia ngòg a mbè sòṅ an a? 
MRK.16.4	A batye mis na babëbë, bëntala na ngòg engavaaban; dzò engabë hm eyëgan anen. 
MRK.16.5	Ndò banyian a sòṅ, bëyënë ndoman mod etoa efas ya mbo-nnomo, abëgë mfum ewòman, bëngakòn wòṅ a bui. 
MRK.16.6	Ndò adzo ai bò na: Mibë mbara: Yesus man Nazaret ya angabomban a klos ṅnyè miadzëṅ, së nala a? Atëbë a sòṅ, asëki ha. E hom bëngaboe nyè hi. 
MRK.16.7	Mfa waan, kaṅan kad bëyègè boe ai Petrus na akë mina osu a Galilea. Awe ngò miayi nyè yen, e kan angakad mina. 
MRK.16.8	Yë bëngayi kui a nsëṅ, ndò batub mimbil a sòṅ, amu bëngabë nyaman kam ai wòṅ osë. Ndò bandzëki kad mod tò dzom ai e wòṅ bëmbarëga. 
MRK.16.9	Ntëban angatëbë a sòṅ ai ndib kidi a amos osu ngë sabbat alod anë angoge, ndò angayene Maria Magdalena ya angakuli bëbe minsisim zamgbal a nyòl. 
MRK.16.10	E Maria nyò akë kad e ba bëngabë bëmvoe boe, bò ha hë mëlunga, hë miṅyon. 
MRK.16.11	Ṅnyie anë bëngayi wog na atala, ai na Maria angayen nyè, bëngasoo.
MRK.16.12	A mvus ya hala, ndò ayene bëbè ya abë bò bëkëlë bawulu, atoa nyòl kan fë, awulugu a mvus nnam. 
MRK.16.13	Ndò bakë kad e ba bëvòg. Tò nala bò të bò yëbë.
MRK.16.14	Ndò hm ladugan bò na, bëtoa na badi, ndò ayene b'awom ai mbòg, akòṅan ai bò asu bisoo biaban ai alèd-nnëm daban, amu bandzëki ṅyëbë e bod bëngayen nyè hala atëbë ya a sòṅ. 
MRK.16.15	Nyè ai bò na, kaṅan a si esë, miyedan ekokoma esë mbëmbë foe. 
MRK.16.16	E mod ayi yëbë, aduban fë, ayi kodeban; e nyò ayi ki yëbë, ayi ku a nkad. 
MRK.16.17	E ba bayi ṅyëbë bayi bò e mësimba ma: Bayi tsidan bëbë minsisim a dzoe dama, bayi kòbò minkòbò mifë, 
MRK.16.18	bayi bi nyò ai mò, ndò fë tò bënyu ngul nsul, wayi ki bò bò tò dzom, bayi bede minkokòn mò, mingabò mvoè.
MRK.16.19	Eyòṅ hm Nti Yesus angamana lèè ai bò nala, ndò anganòṅëban a yob, atòbò a mbo-nnomo Zamba. 
MRK.16.20	Bò bëtye hm na bakë bayedan mbëmbë foe hom osë, Nti asye ai bò, ebug dzò elada minkaṅa i mësimba mëbòban ete. Amen.
LUK.1.1	Mbol abui bod bëdzo 
LUK.1.2	e kan e bod bëngayen ai mis ai e ba bëngavëṅan bësye bë Ebugu bëngalig ai bia dò, 
LUK.1.3	ndò hm ma mëyen na anë mbëṅ na mëbie mam mëte mësë a zut atarigi a mëkèè mbëṅ mbëṅ ai evag esë, mëtil wa, a ndindiṅ Teofil
LUK.1.4	asu yë na oyëm na e mam ongayègè mënë etere.
LUK.1.5	Angabò na
LUK.1.6	Bò bësë bëbè bëngabë sosoo a mis më Zamba, bëbaala mëmvende mësë, tègè ai atòn a mam më mvende. 
LUK.1.7	Bëngabë tègè ai mòn, mbol Elisabet angabë nkokom, bò bësë bëbè bëntoa ya fë ban mimbu. 
LUK.1.8	Ndò fò labò na, eyòṅ angabë na abò esye fada dzie a mis më Zamba eyòṅ angakui na nsamba woe wasye, 
LUK.1.9	e kan tum bëfada yayi, ndò batòb nyè na atum otu a nda Zamba
LUK.1.10	nkunda bod osë okogëlan a nsëṅ a awola mëtunëṅa. 
LUK.1.11	Ndò englès Nti ayene nyè, englès atëlë a wò mbo-nnomo alatar mëtunëṅa, 
LUK.1.12	Zakarias asigan ai ṅyënan angayen nyè, wòṅ oku nyè a nyòl. 
LUK.1.13	Englès nyè ai nyè na: Të wambara, a Zakarias, amu ngogëlan dzoe ewogëban, ndò nyò ngal Elisabet ayi wa bye mòn, wayi nyè yole na Yohannes. 
LUK.1.14	Ayi bò mintag mie ai mëfon moe, ndò fë abui dzam layi tag ai abyali die. 
LUK.1.15	Ayi bò mfaṅ a mis më Nti, ndò fë ayi ki nyu mëyòg tò bilam, ndò fë ayi dzie ai Mfufub Nsisim atarigi a abum nyia, 
LUK.1.16	ayi vëṅan abui bòn bë Israel abë Nti Zamba waban. 
LUK.1.17	Nti Zamba ayi nyè wulu osu ai nsisim ai ngul Elias, ayi vëṅan minnëm besya abë bòn, e ba bënë mëlò a mbindan sosoo, akomëzan Nti ayòṅ lënë a ngomëzan. 
LUK.1.18	Zakarias nyè ai englès na: Mayi yëm e mam ma ai dze? Amu ma ha, mënë nnom, ndò fë ngal wama antoa ya mimbu
LUK.1.19	Englès nyè ai nyè na: Mënë Gabriel; ma makad tëbë Zamba osu, ndò mënë nloman na mëzu wa kad, mëbende fë wa e mam ma. 
LUK.1.20	Ndò hm wayi ku mvug, tègè dzam kòbò akui amos mam mëte mayi yenan, etòm ya na waandzëki ṅyëbë bibug biama ya biayi toban a abog daban. 
LUK.1.21	Bod bëngayanga Zakarias ha, bëngakam na alaṅan abim kòm te a nda Zamba. 
LUK.1.22	Akui angakui, tègè dzam kòbò ai bò
LUK.1.23	Eyòṅ mëlu më esye moe mëngatoban, ndò angadugan a nda dzie. 
LUK.1.24	A mvus mëlu mëte, ndò ngal woe Elisabet anòṅ abum, asòbò a nda ete ngòn etan nyè na: 
LUK.1.25	Nti abò e kan nyi e mëlu abëbë ma ndò avaè ma osòn a bod
LUK.1.26	A ngòn samëna, ndò Zamba angalom englès Gabriel a tisòn ya Galilea dzoe na Nazaret 
LUK.1.27	abë ntud ngòn otoa mëtiṅ më alug ai fam dzoe na Yosef, mod ya nda bod David; dzoe e ngòn mininga nyi angabë na Maria. 
LUK.1.28	Ndò azu abë nyè, nyè na: Ovuma, wa ya ongadzie ya ai maa
LUK.1.29	Angakam e bibug bi, angasili na e kan mësugan nyi endzò yatyan ya! 
LUK.1.30	Englès nyè ai nyè na: Të wambara a Maria, amu oyen maa abë Nti. 
LUK.1.31	Ndò wayi nòṅ abum, obye mòn, oyole nyè dzoe na Yesus. 
LUK.1.32	Ayi bò mfaṅ, bayi nyè loe na mòn mëdaṅa-yobo, ndò Nti Zamba ayi nyè vë etoa nkukuma esya woe David, 
LUK.1.33	ayi dzoe a nda Yakob a kòm anë nkukuma, ndò fë edzoe dzie yayi bò tègè ai amana. 
LUK.1.34	Maria nyè ai englès na: Nala wayi bò ya, ṅnyie anë ma tègè yëm fam? 
LUK.1.35	Ndò englès adzo ai nyè na, Mfufub Nsisim ayi sus abë wa, ngul mëdaṅa-yobo ekubu wa a nyòl. Asu te, e dzi yayi byali mfufub yayi loeban na mòn Zamba. 
LUK.1.36	Ndò ki yënë, manyòṅ Elisabet nyè fë anë abum a ayom die, e ngòn samëna nyi asu die, ṅnyè hm baloe na nkokom. 
LUK.1.37	Amu dzom ziṅ yasë ki dzam bò të bòban abë Zamba. 
LUK.1.38	Maria nyè na: Yënë etuga Nti, abò ai ma anë wadzo
LUK.1.39	Mëlu mëte, ndò Maria angakodo a si, akëlë a minkol avol avol, a tisòn Yuda, 
LUK.1.40	ndò anyian a nda Zakarias, asugu Elisabet. 
LUK.1.41	Ndò hm, ṅnyie anë Elisabet angawog mësugan më Maria, mòn angafoṅan
LUK.1.42	abede kiṅa yob nyè na: Olugu ai wa a zaṅ bininga, ndò fë olugu ai ebuma ya abum doe. 
LUK.1.43	Mambë ai dò he na nyia Nti wama azu abë ma? 
LUK.1.44	Yënë na, etye etye ya mësugan moe mëkui ma a mëlò, mòn angafoṅan ma ai mintag a abum. 
LUK.1.45	Ndò fë, mvòm ai e nyò ayëbë na e mam Nti akad nyè mayi toban. 
LUK.1.46	Maria nyè na
LUK.1.47	Nnëm wama walugu Nti,
LUK.1.47	ndò fë nsisim wama wafon abë Zamba nkode wama.
LUK.1.48	Amu abëbë edzòdi-nyòl etuga dzie,
LUK.1.48	atarigi etoa dzi ngongo bod esë yayi ma taman na mënë mvòm.
LUK.1.49	Amu Ngungul abò ma mam mënen,
LUK.1.49	dzoe die anë mfufub;
LUK.1.50	ndò fë ngòl dzie enë a ngongo bod esë
LUK.1.50	asu e ba bakam nyè.
LUK.1.51	Angabò ngul ai enam dzie,
LUK.1.51	amana tsam e ba bënë mëbun a minnëm miaban.
LUK.1.52	Mingungul, avaè a bitoa mintomba;
LUK.1.52	abede e ba bënë edzòdi-nyòl;
LUK.1.53	adzala e ba bënë zie ai e byem binë mbëṅ,
LUK.1.53	asoe minkukuma mò mò.
LUK.1.54	Angavòli mbò-esye woe Israel,
LUK.1.54	adugan tsog ngòl dzie,
LUK.1.55	akyaè angakòbò ai bëtara,
LUK.1.55	ai Abraham ai mvòṅ dzie a kòm ya kòm.
LUK.1.56	Maria angatòbò ai nyè dzam bò ngòn elè, ndò angadugan a nda dzie.
LUK.1.57	Eyòṅ abog abye angakui asu Elisabet, ndò angabye mòn fam. 
LUK.1.58	Bod bë ngòdò ai bivuvuman bie bëwogo na Nti angabulu nyè wog ngòl, bëngatag ai nyè. 
LUK.1.59	Ndò a amos lala ha, bëngakë na bakele mòn ndò bayole nyè esya Zakarias. 
LUK.1.60	Nyia nyè na: Kokoa, anë dzoe na Yohannes
LUK.1.61	Bò ai nyè na: Mod ziṅ ya bivuvuman bie asëki dzoe nala. 
LUK.1.62	Ndò hm basili esya mbol ayi na bëloe nyè. 
LUK.1.63	Ndò adzaè akòg, atili na: Dzoe die anë na Yohannes. Bò bësë bëngakam. 
LUK.1.64	Ndò anyu angayaaban nyè etye etye ai oyëm woe, angakòbò, ataman Zamba. 
LUK.1.65	Wòṅ okuu e ba bësë bëngabë a ngòdò hala a nyòl, e mam ma mëngalèèban a minkol mi Yudea misë, 
LUK.1.66	e ba bësë bëwogo mò bëngabaala mò a minnëm miaban, bò na: Dze yayi yenan ai e mòn nyò? Amu wò Nti ongabë ai nyè.
LUK.1.67	Ndò esya woe Zakarias angadzie ai Mfufub
LUK.1.67	Nsisim, ndò akòbò anë profèt, nyè na
LUK.1.68	Olugu ai Nti, Zamba Israel,
LUK.1.68	mbol asò yen, akode fë ayòṅ die.
LUK.1.69	Angatele tòṅ
LUK.1.69	a nda mbò-esye woe David,
LUK.1.70	anë mbol angakad a anyu mimfufub bëprofèt boe atarigi kòm ana,
LUK.1.71	na akode bia a minziziṅ mian ai a mò e ba basiṅ bia;
LUK.1.72	na ayen bëtara ngòl, adugan tsog mfufub amvoe woe,
LUK.1.73	e sòṅ an gakani Abraham esya waan, na ayi bia vë 
LUK.1.74	na tègè fë ai wòṅ, ṅnyie anë akode ya
LUK.1.74	bia a mò minziziṅ mian na bisye nyè,
LUK.1.75	ai wòṅ a i sosoo, a mis moe, mëlu mësë ya enyiṅ dzan.
LUK.1.76	Mfa woe, a mòngò, wayi loeban na profèt mëdaṅa-yobo,
LUK.1.76	amu wayi kë Nti osu na wakom nyè mëzen,
LUK.1.77	na ovë ayòṅ die ṅyëman akode, a evaè minsëm miaban,
LUK.1.78	asu ngòl Zamba waan, a Mëkui më kidi
LUK.1.79	afyè e ba bëtoa a evovoe ai a awu, na atele mëkol man a zen mvoè.
LUK.1.80	Mòngò anganaṅ, angawon a nsisim, atoa a nkod-nnam
LUK.2.1	Ndò fò angabò na, mëlu mëte, ndò abende Kaiser Augustus
LUK.2.2	E dzili te engabë elaṅa osu ebòban hala Kirinus abëlë edzoe a Siria. 
LUK.2.3	Bod bësë bëngakë tilban, anë mod, a tisòn abyali dzie. 
