MAT.1.1	In e nhag rɨp Yesu Kristo
LUK.1.7	Mərɨg jiriu rɨrkək meinai Elisabet ror siə kɨn ror hanə, mɨnəpiahuaru, kɨni Sekaraea mɨn rɨnəhuaru.
LUK.1.8	Kɨni ruauə atuatuk ye nɨpɨg yame Sekaraea mɨne kwhen kafan kasor wok kapəriə ye Nimə Ehuə kape Kughen. 
LUK.1.9	Khamə tuksəm-ru mə pa nhagɨn tukrauru-pən ye Nimə Kape Kughen mɨvaan insens nəmiovɨn rapien huvə mamvən tuk Kughen. Kɨni ye norien kape pris mɨnə kape nɨrpenien yermamə yame tukrɨvən imə, kɨmnharai-pən nhagriə ye kwaji kapier kɨrik mhawhan. Kɨmnhawhan, kapier yame kɨmnharai-pən nhag Sekaraea iran rukreikɨn haktə.
LUK.1.10	Məkneikɨn rɨməpəh narmamə khapsaah iruə kasofugɨn masəhuak, kɨni rɨmauru-pən imə mɨvaan insens.
LUK.1.11	Məkneikɨn agelo kɨrik kape Kughen Yermaru rɨtərhav-pə marer ye nɨkar tebol matuk ye kwənmhaan yame rɨvaan insens ikɨn. 
LUK.1.12	Kɨni Sekaraea rəm rakur, mɨgɨn pɨk. 
LUK.1.13	Mərɨg agelo a rɨni-pən tukun mɨmə, “Sekaraea, pəh nɨgɨnien, meinai Kughen rɨmnərɨg kafam nəhuakien. Kafam piahwaru Elisabet tukrɨrəh tɨni kɨrik yerman. Kɨni takaməkeikei mhen-pən nhagɨn mə Jon. 
LUK.1.14	Kɨni takərɨg rhuvə, magien tukun, kɨni narmamə khapsaah tuksagien tuk nɨmraghien kafan, 
LUK.1.15	meinai in tukruə yamehuə kɨrik ye nɨmrɨ Kughen Yermaru. Kɨni to in rɨpəh nɨnɨmien waen, mɨne nɨnɨmien skai mɨnə
LUK.1.16	Kɨni in tukrɨvi-pə nəmə Isrel khapsaah kharerɨg-pə tuk Yermaru kapəriə e Kughen. 
LUK.1.17	Kɨni in tukruə məkupən kɨn Yermaru ye nanmɨn mɨne nəsanɨnien kape Elaeja kupən, mə in tukrukreikɨn rɨki tatə mɨnə khrerɨg-pən mɨn tuk kapəriə kwajikovə mɨnə; kɨni in tukrukreikɨn mɨn narmamə yamə mɨne kasəsɨk nəkwai Kughen khauə mɨn ye nɨrkunien kape nəmə atuatuk mɨnə. Ye norien a, in tukror apnəpeinə ye nɨmraghien kape narmamə tuk nuəyen kape Yermaru.”
LUK.1.18	Məkneikɨn, Sekaraea rɨni-pən tuk agelo mɨmə, “?Jakhawor pən iran mɨne mɨrkun mə nar e tukruə mor nəfrakɨsien kɨn? Meinai yo yaknəhuaru ta; kɨni kafak piraovɨn rɨnəpiəhuaru mɨn.”
LUK.1.19	Mərɨg agelo a rɨni-pən tukun mɨmə, “Yo, nhagɨk e Gabriel, kɨni yo yakamərer ye nɨmrɨ Kughen ye nɨpɨg m-fam. Kɨni In rɨmnher-pə kɨn yo mə jakuə məgkiar kɨmik, mɨni-pre nəvsaoyen huvə e.
LUK.1.20	!Ǝtərɨg-ru! Neramɨm tukrərpəvɨn kɨni takeinein nəgkiarien meriaji nɨpɨg takəm nɨprai nəgkiarien e, meinai nɨmɨpəh nɨniyen nəfrakɨsien ye kafak nəgkiarien. In tukruə mor nəfrakɨsien kɨn ye nɨpɨg atuatuk kafan.”
LUK.1.21	Kɨni ye nɨpɨg a, narmamə kɨmɨseito kɨn Sekaraea, mɨsərɨg mə rhawor ramor məkna tan pən ye nəkwai Nimə kape Kughen. 
LUK.1.22	Kɨni rɨmatərhav-pə, meinein nəgkiarien. Ror məkneikɨn iriə kɨmnharkun mə in rɨmnəm nəmrərhavyen kɨrik imə. Raməgkiar əmə kɨn kwermɨn mamvən, neramən rɨmnarpəvɨn.
LUK.1.23	Kɨni nɨpɨg rɨmnor infamien ye wok kape pris ye nəkwai Nimə kape Kughen, in rɨrerɨg-pən yerkwanu. 
LUK.1.24	Kɨni rɨpəh norien tu, kafan piahwaru ror tɨpɨn, mamerkwaig əmə yerkwanu meriaji makuə kɨrkɨrɨp, 
LUK.1.25	mamni mɨmə, “Nar e Kughen Yermaru rɨmnor ruə irak. Apa kupən, narɨk rɨrkək, yakaurɨs. Mərɨg taktəkun ai, Kughen rɨmnor rhuvə-pə kɨmi yo, kɨni rɨkik ragien mə jakrəh kwajikovə kɨrik, mɨpəh mɨn naurɨsien kɨn nɨmrɨ jir.”
LUK.1.26	Kɨni nɨpɨg Elisabet ror tɨpɨn mɨvəh makuə sikis, Kughen rɨmnher-pə kɨn agelo kɨrik kafan, nhagɨn e Gabriel, rɨvən apa yerkwanu kɨrik nhagɨn e Nasaret, ye provins e Galili. 
LUK.1.27	In mɨvəh nəgkiarien kɨrik mamvən kɨmi piraovɨn kɨrik nhagɨn e Meri. Yerman rɨpəh hanə nɨvənien tukun, mərɨg kɨmɨrpen ta kɨmə tukɨkɨr pən kɨmi kwən kɨrik, nhagɨn e Josef, yame in kwənərəus kɨrik kape King Deved.
LUK.1.28	Kɨni agelo a raji-ərhav pən tukun, mɨni-pən tukun mɨmə, “Rhuvə, Meri. Kughen rɨmnərəhu kafan nɨhuvəyen kɨmik, kɨni mamarə kɨmiru min.”
LUK.1.29	Mərɨg tɨpɨr ramuh Meri tuk nɨprai nəgkiarien a, mɨmə, “?Rhawor e mamni vi vi məkneikɨn yo?”
LUK.1.30	Mərɨg agelo a rɨni-pən tukun mɨmə, “Takpəh nɨgɨnien, Meri, meinai Kughen rɨmɨrpen mə tukrautə-pre kɨn kafan nɨhuvəyen kɨmik. 
LUK.1.31	Ror məkneikɨn, takaməkeikei mor tɨpɨm. Takaməkeikei mɨrəh kwaji kɨrik yerman, mhen-pən nhagɨn mə Yesu
LUK.1.32	In tukruə mamor yemə huvə pɨk kɨn. Tukaməkeikei kokrən kɨn In kɨmə In Ji Kughen Yerpɨrɨg. Kɨni Kughen Yermaru tukror In ruə king rəmhen əmə kɨn rɨpni kupən e Deved. 
LUK.1.33	Kɨni In tukramarmaru ye kwənərəus yamə mɨne khasɨ-pən ye Jekob, kɨni kafan narmaruyen tukramarə kape rerɨn.”
LUK.1.34	Kɨni Meri rɨni-pən tuk agelo mɨmə, “?Jakhawor-pən iran mɨne mɨrəh kwajikovə kɨrik tukmə yakpəh nəri-pən-hanəyen yerman?”
LUK.1.35	Mərɨg agelo rɨni-pən tukun mɨmə, “Nanmɨn kape Kughen tukrurə marə iram, kɨni nəsanɨnien kape Kughen Yerpɨrɨg tukrhen ik. Kɨni in e kwajikovə yame takrəh, in ratuatuk pɨk, tukamokrən kɨn In kɨmə Ji Kughen. 
LUK.1.36	Kɨni, əmru, kuhum e Elisabet rɨnəpiəhuaru pawk, mərɨg rɨnor ta tɨpɨn kɨn kwaji yerman kɨrik. Kɨmɨni in kɨmə piahwaru yame ror siə kɨn, mərɨg taktəkun ai rɨnor tɨpɨn mɨvəh makuə sikis. 
LUK.1.37	Narɨmnar mɨnə e kashajoun-pən mə nar kɨrik rɨpəh norien neineinien tuk Kughen.”
LUK.1.38	Məkneikɨn Meri rɨni-pən tukun mɨmə, “Ǝwəh. Yo yorwok əmə kape Kughen Yermaru. Pəh In tukror naha nhagɨn kɨmi yo yame ik nakamni.” Kɨni agelo rəta iran, mamvən.
LUK.1.39	Kwasɨg ikɨn ye narɨmnar mɨnə a, rɨpəh norien tu, Meri rɨmnarar iman ikɨn, mhai mɨren nar mɨvən apa yerkwanu kɨrik ye nɨkar tukwas mɨnə ye provins e Judia, 
LUK.1.40	mauru-pən imei Sekaraea mɨne Elisabet. Magien tuk Elisabet, 
LUK.1.41	kɨni nɨpɨg Elisabet rərɨg Meri raməgkiar, məknakɨn kwajikovə a ye tɨpɨn rakur mɨkiu; kɨni Nanmɨn kape Kughen rɨmnor Elisabet 
LUK.1.42	rok-rapomh mɨmə, “!Kughen ramor rhuvə-pre kɨmik rapita nɨpiraovɨn mɨnə fam, kɨni In tukror huvə-pən kɨmi kwaji yerman yame takrəh! 
LUK.1.43	Mərɨg yakpəh nɨrkunien mə rhawor e Kughen ramor huvə pə məkneikɨn kɨmi yo mə nɨsɨn Yermaru kafak tukruə məm yo. 
LUK.1.44	Yakamni məkneikɨn meinai nɨpɨg yɨmnərɨg kafam nəgkiarien, kwajikovə e yame raməmɨr e ye tɨpɨk ramagien mamkiu. 
LUK.1.45	Kɨni Kughen tukror rhuvə pre kɨmik meinai nɨmɨni nəfrakɨsien ye nəgkiarien yame Kughen Yermaru rɨmɨni-pre tuk ik.”
LUK.1.46	Məkneikɨn Meri rɨmə,
LUK.1.46	“Ye nɨmraghien mɨnə fam kafak, yakaməgnəgɨn Kughen Yermaru,
LUK.1.47	kɨni rɨkik ramagien pɨk tuk Kughen kafak yame ravəh mɨragh yo,
LUK.1.48	meinai yo yorwok əmə kafan yame yo yermamə apnapɨg əmə, mərɨg rɨkin raməsɨk yo.
LUK.1.48	Kɨni taktəkun ai mamvən, narmamə m-fam tukhani mə Kughen rɨmnor huvə pə kɨmi yo.
LUK.1.49	Meinai Kughen e nəsanɨnien kafan in rehuə,
LUK.1.49	In rɨmnor narɨmnar rehuə kɨmi yo.
LUK.1.49	Kɨni nhagɨn ramərhakə.
LUK.1.50	Kɨni rɨkin rehuə tuk narmamə yamə mɨne kamhasiai In, iriə e narmamə yamə mɨne kɨmɨsəkupən mɨsarə mɨne yamə mɨne tukpihauə kwasɨg ikɨn.
LUK.1.51	In rɨmnor nar apsɨpɨs mɨnə ye nəsanɨnien ye kwermɨn.
LUK.1.51	Mher yerhav kɨn narmamə yamə mɨne kɨsausit ye nətərɨgien kapəriə.
LUK.1.52	Mɨvəh-si-əhu namehuə mɨnə ye kapəriə neihuəyen,
LUK.1.52	kɨni mɨvəhsi-haktə narmamə yamə mɨne kapəriə nətərɨgien reiwaiyu.
LUK.1.53	Narmamə yamə mɨne nɨkumhə raməs əriə, In raməvɨgɨn əriə kɨn nəvɨgɨnien yame rhuvə,
LUK.1.53	kɨni narmamə yamə mɨne kapəriə nautə rehuə, In rɨmnher yerhav kɨn əriə, nar rɨmɨrkək tuk əriə.
LUK.1.54	In rɨmnasitu ye kwənərəus kape Isrel, iriə e yorwok mɨnə kafan. Rɨkin raməsɨk mə rɨkin tukraməkeikei mamehuə tuk əriə,
LUK.1.55	rɨrikakun ye Ebraham kupən mɨne kwənərəus kafan, mamvən kape rerɨn, rəri-pən nəgkiarien yame rɨmɨni-pən ta tuk kaha mɨnə kapətawə.”
LUK.1.56	Kɨni Meri ramarə iriu Elisabet mɨvəh makuə kɨsisər, kɨni ai, mɨpirerɨg-pən iman ikɨn.
LUK.1.57	Kɨni nɨpɨg atuatuk kape Elisabet rɨmauə mə tukreimək iran, kɨni rɨmɨrəh tɨni yerman. 
LUK.1.58	Kɨni narmamə yamə mɨne kasarə ipakə tukun mɨne kafan kwənərəus mɨnə kɨmɨsərɨg nəvsaoyen a mə Kughen Yermaru rɨkin rehuə tukun mor rhuvə pən məknakɨn kɨmin, kɨni iriə kɨmnhauə mɨsor kɨrikianə iriə min mə tuksagien kwis.
LUK.1.59	Kɨni nɨpɨg pɨkwarien a rɨmɨvəh nɨpɨg eit, kɨni iriə khauə mhavəh nao kɨm in. Kɨni ipakə əmə kɨshen-pən nhagɨn mə nɨfnhag rɨmni e Sekaraea,
LUK.1.60	mərɨg nɨsɨni rɨmɨni-pən mɨmə, “Nɨkam. Pəh kɨshen-pən nhagɨn mə Jon.”
LUK.1.61	Mərɨg iriə khani-pən tukun mhamə, “?Rhawor? Ye kwənərəus kapəmiru, nhag e Jon rɨrkək iran.” 
LUK.1.62	Kɨni masəgkiar kɨn kwermɨriə mɨsaiyoh-pən Sekaraea mhamə in rorkeikei mə tukshen-pən nhagɨn mə pa.
LUK.1.63	Kɨni in raiyoh-pən əriə mə tukharəh-sipən nar kɨrik pəh tukrɨrai-pən nəgkiarien kɨrik aikɨn, mɨrai-pən mɨmə, “Nhagɨn e Jon.” Kɨsəm kɨsakur pɨk kɨn. 
LUK.1.64	Məkneikɨn, neramɨn rɨhuatuk, məgkiar mamni vi vi Kughen.
LUK.1.65	Kɨni narmamə m-fam yamə mɨne kɨsarə ipakə tukun kɨsakur kɨn. Kɨni narmamə kɨmnhani narɨmnar mɨnə a rarkurao ikɨn mɨnə fam ye nɨkar tukwas mɨnə ye provins e Judia. 
LUK.1.66	Kɨni narmamə mɨfam yamə mɨne kɨmnhavəh nəvsaoyen a, mɨsətərɨg kɨn, mɨsaiyoh əriə mɨnə mhamə, “Man. ?Keinein mə kwajikovə e tukreihuə mor naha?” Kɨmnhani məknaikɨn meinai kɨmɨsəm mə nəsanɨnien kape Kughen Yermaru ramarə iran.
LUK.1.67	Məkneikɨn Nanmɨn kape Kughen rɨmnor rɨki Sekaraea, ramni-ərhav nəgkiarien yame Kughen rɨmɨvəhsi-pən kɨmin mɨmə,
LUK.1.68	“Pəh khani vi vi Yermaru, In Kughen kape nəmə Isrel,
LUK.1.68	meinai In rɨmauə mə tukrasitu ye kafan narmamə mɨnə,
LUK.1.68	kɨni mɨpɨk ta əriə ye kwermɨ tɨkmɨr mɨnə kapəriə.
LUK.1.69	In rɨmɨvəh-si haktə yemə əsanɨn yame ravəh mɨragh ətawə, yame ramsɨ-pən ye kwənərəus kape yorwok kafan e Deved kupən
LUK.1.70	raməri-pən əmə nəgkiarien yame rɨmɨvəhsi-pən kɨmi kafan profet kupən mɨnə mɨmə 
LUK.1.71	tukrɨvəhsita ətawə tuk tɨkmɨr mɨnə kapətawə mɨne tuk kwermɨ narmamə mɨfam yamə mɨne kasəməkɨn ətawə.
LUK.1.72	Kɨni mɨmə rɨkin tukreihuə tuk rɨptawə mɨnə,
LUK.1.72	kɨni rɨkin tukraməsɨk promes atuatuk
LUK.1.73	yame In rɨmɨni-pən ta tuk rɨptawə e Ebraham mɨmə
LUK.1.74	tukrɨrəh-si ta ətawə ye kwermɨ tɨkmɨr mɨnə kapətawə,
LUK.1.74	mə nɨpɨg mɨfam ye nɨmraghien kapətawə, kɨtawə tukharkun nɨsorien wok kafan ye nɨmrɨ Kughen, mhapəh nhagɨnien, 
LUK.1.75	kɨtawə kɨsəmərhakə mɨsatuatuk ye nɨpɨg mɨfam.”
LUK.1.76	Kɨni Sekaraea rarar mɨni-pən tuk tɨni mɨmə,
LUK.1.76	“Kɨni ik, narɨk, tukokrən kɨn ik kɨmə ik pris kape Kughen Yerpɨrɨg;
LUK.1.76	meinai Ik takəkupən kɨn Yermaru mor apnəpeinə ye swatuk kafan,
LUK.1.77	mamni-ərhav tuk kafan narmamə mɨnə mə Kughen tukrəspir ta təvhagə has kapəriə, mɨvəh mɨragh əriə.
LUK.1.78	In tukraməkeikei mor məknakɨn meinai rɨkin rehuə tuk ətawə, mamor huvə pə kɨmi ətawə.
LUK.1.78	Rɨkin rehuə tuk ətawə, Kristo tukruə tuk ətawə rəmhen əmə kɨn yame mɨrh ramhaktə mamvən ye neai
LUK.1.79	mɨsia-pen ətawə yamə mɨne kasarə ye nəpɨgnapien mɨne apa ikɨn nəsanɨnien kape nɨmhəyen ramhen narmamə ikɨn,
LUK.1.79	kɨni mamkɨr-pən nɨhutawə ye swatuk kape nəmərinuyen.”
LUK.1.80	Kɨni pɨkwarien a nɨpran ramehuə, kɨni mamehuə mɨn ye nanmɨn kape Kughen. Kɨni nɨpɨg mɨfam in ramarə apa ye tɨpəvsɨk mameito kɨn nɨpɨg atuatuk yame tukrɨrikakun wok iran ye nɨmrɨ nəmə Isrel.
LUK.2.1	Ye nɨpɨg a, yemə Rom kɨrik, nhagɨn e Sisa Ogastas, in ramarmaru ye tanə mɨnə fam kape Rom. In mamərəhu loa kɨrik mɨmə tukəvheikɨn fam narmamə yamə mɨne kɨsarə aikɨn a. 
LUK.2.2	(In e nəvheikɨnien narmamə yame kɨmnəkupən kor. Ye nɨpɨg a, kwən e Kwaerinias in gavman kɨrik kape provins e Siria). 
LUK.2.3	Kaməvheikɨn narmamə, narmamə tukasəkeikei mharerɨg-pən mhavən hanə iməriə mɨnə ikɨn mə tukəvheikɨn əriə. 
LUK.2.4	Ror pən kwən a Josef mɨn rɨtərhav yerkwanu e Nasaret ye provins e Galili, mɨvən apa provins a Judia, yerkwanu kɨrik kamni kɨmə Betlehem, imei King Deved kupən. Rɨmavən aikɨn a meinai in kwənərəus kɨrik kape King Deved. 
LUK.2.5	Kwerpen ta Josef mɨne pian e Meri mə tukwarkurək; kɨni Meri natukreimək kɨn kwajikovə. Kɨni iriu kɨmɨravən apa Betlehem mə tukəvheikɨn mɨn əriu. 
LUK.2.6+LUK.2.7	Kɨni kratərhav Betlehem, mɨrapəh nɨwəmien kwənmhan tukwapɨr ikɨn, mwarə ye nimə kape nar mɨragh. Mwarə hanə apaikɨn, kɨni rɨnor nɨpɨg kape kwajikovə tukrarha, kɨni reimək kɨn nɨmrɨn nupan kafan, yerman. Muvrɨg kɨn neipən, mərəhu-pən əmə in ye tɨkirao yame nar mɨragh mɨnə kasəvɨgɨn-pən iran.
LUK.2.8	Kɨni ipakə əmə tuk yerkwanu e Betlehem, narmamə yamə mɨne kasəvɨgɨn sipsip mɨnə kasarə yerki mənvhirɨk masarha tuk sipsip mɨnə yenpɨg. 
LUK.2.9	Məkneikɨn agelo kɨrik kape Kughen Yermaru rɨtərhav-pə tuk əriə, nɨkhakien kape Kughen Yermaru rɨsia-pen əriə, khagɨn pɨk. 
LUK.2.10	Mərɨg agelo a rɨmɨni-pən tuk əriə mɨmə, “Hapəh nhagɨnien. Meinai yo yakwauə mə jakni-pre nəvsaoyen huvə tuk əmiə, yame tukror rɨki narmamə ragien pɨk. Kɨni Nəvsaoyen a ramvən tuk narmamə mɨfam. 
LUK.2.11	Taktəkun əmə, yermamə kɨrik rɨmnarha-pə ye taon kape King Deved. In ravəh mɨragh narmamə, kɨni In Kristo yame Kughen rɨmɨni-ta kupən mə tukrher-pə kɨn tuk əmiə. Kɨni In Yermaru. 
LUK.2.12	Kɨni taksəm kwajikovə en kɨmuvrɨg kɨn neipən, kərəhu-pən ye tikirao, ror nɨmtətien kɨmi əmiə mə kwajikovə a in a yakməni.”
LUK.2.13	Məkneikɨn, agelo mɨnə khapsaah khatərhav-pə masərer iriə min, masəgnəgɨn Kughen, mhani mhamə,
LUK.2.14	“Pəh khani vi vi Kughen apa yerpɨrɨg ye neai.
LUK.2.14	Kɨni narmamə ye tokrei tanə yamə mɨne rɨki Kughen ramagien tuk əriə, pəh kɨsarə ye nəmərinuyen.”
LUK.2.15	Məkneikɨn agelo mɨnə kɨmɨsəta ye yorwok ye sipsip mɨnə, mharerɨg-pən apa ye rao ye neai, kɨni yorwok ye sipsip mɨnə kɨmnhani tuk əriə mɨnə mhamə, “Pəh khavən apa Betlehem, mɨsəm-ru nar e Kughen Yermaru rɨmɨni-pə tuk ətawə.”
LUK.2.16	Kɨshai mɨren mhavən mɨsəm Meri mɨne Josef mɨne kwajikovə yame ramapɨr-pən ye tikirao. 
LUK.2.17	Nɨpɨg kɨmɨsəm, kɨmnhani ərhav nəgkiarien yame agelo rɨmɨni ye kwajikovə, 
LUK.2.18	kɨni narmamə mɨfam yamə mɨne kɨmɨsərɨg nəgkiarien yame yorwok ye sipsip mɨnə kɨmnhani-pən tuk əriə, kɨsakur pɨk kɨn. 
LUK.2.19	Mərɨg Meri rɨmnətərɨg əmə kɨn narɨmnar mɨnə e, markut tuk nərɨgien nɨpran.
LUK.2.20	Mərɨg yorwok ye sipsip mɨnə kɨmnharerɨg, mhavəhsi-haktə nhag Kughen, mhani vi vi In tuk narɨmnar m-fam yamə mɨne kɨmɨsəm mɨsərɨg; rəmhen əmə kɨn yame agelo rɨmɨni-ta tuk əriə.
LUK.2.21	Kwajikovə a rɨmnarha, mɨvəh nɨpɨg eit, kɨni kɨmɨvəh nao kɨmin rəri-pən əmə loa kapəriə, kɨni khen-pən nhagɨn kɨmə Yesu, nhag yame agelo rɨmɨni-pən ta tuk Meri nɨpɨg in rɨmnor tɨpɨn.
LUK.2.22+LUK.2.23+LUK.2.24	Ye nɨpɨg a, tukmə kwajikovə kɨrik rarha, rɨmni mɨne nɨsɨni tukawəkeikei mwor sakrefaes kape nəspirien mamə, rəri-pən Loa kape Moses,
LUK.2.22+LUK.2.23+LUK.2.24	Kɨni kɨmɨravəhsi-pən kwajikovə a kɨmi Kughen Yermaru. Nar a raməri-pən Nəgkiarien kape Kughen yame ramni mɨmə,
LUK.2.22+LUK.2.23+LUK.2.24	“Nɨmrɨn nupan mɨnə yerman, tukaməkeikei kɨvəhsi-pən əriə kɨmi Kughen Yermaru mə kafan mɨnə.” 
LUK.2.25	Kɨni huaru kɨrik ramarə apa Jerusalem, nhagɨn e Simeon. Kafan nɨmraghien in ratuatuk huvə, kɨni nɨpɨg mɨfam in raməri-pən nəgkiarien kape Kughen. Kɨni in rameito kɨn nuəyen kape Kristo yame In tukruə mɨvəh mɨragh nəmə Isrel. Kɨni Nanmɨn kape Kughen ruə mɨkuar yerkin. 
LUK.2.26	Nanmɨn kape Kughen ruɨni-pən ta tukun mɨmə tukrɨpəh nɨmhəyen meriaji tukrəm Kristo yame Kughen Yermaru rɨmɨni mə tukrher-pə kɨn. 
LUK.2.27	Kɨni Nanmɨn kape Kughen rɨmnor rɨkin mə tukrauru-pən ye Nimə Ehuə kape Kughen. Kɨni Josef mɨne Meri kɨmɨrərəh Yesu mwaru-pən ye Nimə kape Kughen mə iriu tukwor narɨmnar fam yame Loa kape Moses ramni. 
LUK.2.28	Məkneikɨn Simeon rɨmnəm Yesu, kɨni mɨrəh kɨn kwermɨn, kɨni mamni vi vi Kughen mamni-pən tukun mɨmə,
LUK.2.29	“Kughen Yermaru, promes yame Ik nɨmɨni tuk yo, naknor əfrakɨs.
LUK.2.29	Kɨni taktəkun ai, eighaan kɨn yo, yorwok e kafam, pəh yakmhə ye nəmərinuyen,
LUK.2.30	meinai yaknəm kwajikovə e kɨn nɨmrɨk yame tukrɨwəh mɨragh narmamə.
LUK.2.31	Ik nɨmnor apnəpeinə mə In tukrɨvəh mɨragh narmamə,
LUK.2.31	kɨni narmamə m-fam tukharkun nar a.
LUK.2.32	In tukruə rəmhen kɨn laet, mhajoun swatuk kɨn nəmə ye kantri pɨsɨn pɨsɨn mɨnə,
LUK.2.32	Kɨni narmamə tukhavəhsi-haktə nəmə Isrel tukun.”
LUK.2.33	Kɨni rɨm kwajikovə a mɨne nɨsɨni kwakur pɨk kɨn nəgkiarien yame Simeon rɨmɨni iran. 
LUK.2.34	Kɨni Simeon rəhuak mɨmə, “Pəh nɨhuvəyen kape Kughen tukrurə tuk əmiru.” Kɨni mɨni-pən tuk Meri, nɨsɨn kwajikovə a, mɨmə,
LUK.2.34	“!Ǝrɨg-ru! Kughen rɨmɨrpen ta kwajikovə e mə tukror nəmə Isrel khapsaah tukhamɨr,
LUK.2.34	kɨni mə tukror mɨn əriə khapsaah khavəh nɨmraghien.
LUK.2.34	Kughen rɨmɨrpen pawk In mə In ror nɨmtətien kɨrik, mərɨg narmamə tukhani hah In.
LUK.2.35	Ror pən tukəm əpu nərɨgien has kape narmamə khapsaah.
LUK.2.35	Kɨni, Meri, rɨkim tukrəmhə tukun rəmhen kɨn yame yermamə kɨrik ramhai rɨkim kɨn nau nisə.”
LUK.2.36	Kɨni piahwaru kɨrik ramarə aikɨn, nhagɨn e Ana. In profet kɨrik. In ji Fanuel, kwənərəus kape Aser kupən. Rɨnəpiahuaru əgkəp. Nɨpɨg rɨmnamətamaruə əmə, məri-pən kafan yerman. Mwarə kwis kape newk seven əmə, kwən a rɨmhə. 
LUK.2.37	Rɨmnarə pɨsɨn əmə məknakɨn meriaji mɨpiəhuaru. Kɨni taktəkun ai kafan newk eiti fo. Nɨpɨg mɨfam in raməmɨr ye Nimə kape Ehuə Kughen maməhuak, yenpɨg mɨne yeraan. Matuakəm mɨpəh nəvɨgɨnien mə tukrəhuak kɨmi Kughen. 
LUK.2.38	Kɨni in rɨmauə atuatuk ye nɨpɨg yame Simeon raməgkiar kɨn kwajikovə a. Kɨni piahwaru ai rɨmɨni vi vi Kughen tukun, kɨni maməgkiar ye kwajikovə e kɨmi narmamə mɨfam yamə mɨne kamhawhin mə Kristo tukrɨrɨsɨn nəmə Jerusalem.
LUK.2.39	Kɨni Josef mɨne Meri kɨmɨwor narɨmnar fam yame Loa kape Kughen Yermaru ramni, kɨni mərhɨrerɨg-pən imərisɨr ikɨn Nasaret ye provins e Galili.
LUK.2.40	Kwajikovə a rɨnehuə muɨskai, muɨrkun huvə nar, kɨni nɨpɨg m-fam nɨhuvəyen kape Kughen rukwar ye kafan nɨmraghien.
LUK.2.41	Ye newk mɨnə fam, rɨm Yesu mɨne nɨsɨni kɨmɨravən apa Jerusalem mə tukwor lafet kape Pasova.
LUK.2.42	Kɨni nɨpɨg Yesu rɨmɨvəh newk twelef, kɨmɨwor norien yame kawor hanə, kɨni Yesu rɨkwasɨg kɨn əriu mɨrhɨvən apa faktə ye lafet a. 
LUK.2.43	Kɨni lafet rɨnor infamien, kɨni kafan mɨnə kɨmnharerɨg mhavən iməriə ikɨn; mərɨg tamaruə Yesu In rɨpəh nɨkwasɨgien kɨn rɨmni mɨne nɨsɨni, maməmɨr əmə apa Jerusalem. Kɨni iriu kweinein. 
LUK.2.44	Krəmə-ta mə ramkwasɨg kɨn əriə. Kɨni kɨmɨsəriwək mamhavən tuk nɨpɨg piəpiə kɨrik. Mɨpirərikakun mwarha-kɨn yerki kwənərəus kapəriu mɨne iriu mɨnə tɨksɨn. 
LUK.2.45	Mərɨg kɨrapəh nɨwəmien In, mwarha-kɨn, mɨrarerɨg mɨravən Jerusalem. 
LUK.2.46	Kwarha-kɨn In nɨpɨg kɨsisər, kɨni mɨpiwəm apa ye Nimə Ehuə kape Kughen. Ramkwətə iriə nəmhajoun mɨnə, mamətərɨg kɨn əriə. Kɨni mamaiyoh əriə kɨn narɨmnar tɨksɨn. 
LUK.2.47	Kɨni narmamə mɨfam kɨmɨsərɨg In, kɨsakur tuk kafan nɨrkunien mɨne nhorpɨnien nəgkiarien mɨnə kafan. 
LUK.2.48	Kɨni rɨmni mɨne nɨsɨni kɨmɨwəm In, kwakur pɨk kɨn. Kɨni nɨsɨni rɨmɨni-pən tukun mɨmə, “Narɨk. ?Nɨmnhawor mor məkneikɨn irəmru? !Ǝrɨg-ru! !Kɨmru rɨmɨm, rɨkimru rəmhə pɨk tuk ik, kɨni yakwarha-kɨn pɨk ik!”
LUK.2.49	Mərɨg In rɨni-pən tuk əriu mɨmə, “?Nakawarha-kɨn Yo tuk naha? Tukmə ror nakrapəh nɨrarkunien mə Yo jakaməkeikei maməmɨr ye Nimə kape Rɨmɨk.” 
LUK.2.50	Mərɨg iriu kɨrəpəh nɨrarkunien nɨprai nəgkiarien yame rɨmɨni-pən tuk əriu.
LUK.2.51	Kɨni In rɨkwasɨg kɨn əriu, mɨrheiwaiyu mɨrhɨvən apa Nasaret. Kɨni In rɨmɨsiai əriu mamor nəkwairiu. Mərɨg nɨpɨg mɨfam nɨsɨni ramətərɨg kɨn narɨmnar mɨnə fam a.
LUK.2.52	Kɨni Yesu nɨpran ramehuə, kɨni kafan nɨrkunien ramhaktə pɨk. Kɨni ye nɨpɨg mɨfam, Kughen mɨne narmamə, rɨkiriə ragien əmə tukun.
