GEN.1.3	 Da sa Gud: «Det skal bli lys!» Og det ble lys. 
1KI.18.40	 Elia sa til dem: «Grip Baal-profetene! La ikke én av dem slippe unna!» Da grep de Baals profeter, og Elia førte dem ned til Kisjon-bekken og drepte dem der.
1KI.18.41	Siden sa Elia til Ahab: «Nå kan du gå opp og spise og drikke; for jeg hører lyden av styrtregn.» 
1KI.18.42	Da gikk Ahab opp for å spise og drikke. Og Elia gikk opp på toppen av Karmel og bøyde seg mot jorden med ansiktet mellom knærne. 
1KI.18.43	Så sa han til tjeneren sin: «Gå opp og se ut mot havet!» Gutten gikk opp og så utover, men sa: «Det er ingenting å se.» Sju ganger sa Elia: «Gå opp igjen!» 
1KI.18.44	Den sjuende gangen sa gutten: «Jeg ser en liten sky, ikke større enn en menneskehånd, stige opp av havet.» Da sa Elia: «Gå og si til Ahab at han må spenne for og kjøre ned, så regnet ikke skal hefte ham.» 
1KI.18.45	 I mellomtiden mørknet himmelen til med skyer og vind, og det begynte å striregne. Ahab steg opp i vognen og kjørte til Jisreel. 
1KI.18.46	Men 
1KI.19.2	Da sendte hun en mann til Elia med dette bud: «Måtte gudene la det gå meg ille både nå og siden om jeg ikke i morgen på denne tid lar det gå med ditt liv slik det gikk med profetenes.» 
1KI.19.3	Da ble Elia redd og skyndte seg av sted for å berge livet. Han kom til Beer-Sjeba, som ligger i Juda. Der lot han tjenestegutten sin bli igjen. 
1KI.19.4	 Selv gikk han en dagsreise ut i ørkenen. Han kom til en gyvelbusk, satte seg under den og ba om å få dø. «Nå er det nok, 
1KI.19.5	Så la han seg ned og sovnet under gyvelbusken. I det samme rørte en engel ved ham og sa: «Stå opp og spis!» 
1KI.19.6	Og da han så seg om, fikk han øye på en brødleiv, bakt på glødende steiner, og en krukke med vann ved hodet sitt. Han spiste og drakk og la seg igjen. 
1KI.19.7	Men 
1KI.19.8	 Da sto han opp og spiste og drakk. Og styrket av maten gikk han førti dager og førti netter til han kom til Guds fjell, Horeb. 
1KI.19.9	 Der gikk han inn i en hule og sov der om natten.
1KI.19.9	Da kom 
1KI.19.10	 Han svarte: «Jeg har vist brennende iver for 
1KI.19.11	 Da sa 
1KI.19.12	 Etter jordskjelvet en ild, men 
1KI.19.13	 Da Elia hørte den, dro han kappen for ansiktet, gikk ut og stilte seg i huleåpningen.
1KI.19.13	Da lød det en stemme som sa: «Hvorfor er du her, Elia?» 
1KI.19.14	Han svarte: «Jeg har vist brennende iver for 
1KI.19.15	 Da sa 
1KI.19.16	 Jehu, sønn av Nimsji, skal du salve til konge over Israel, og Elisja, sønn av Sjafat fra Abel-Mehola, skal du salve til profet etter deg. 
1KI.19.17	Det skal gå slik at den som slipper unna Hasaels sverd, skal Jehu drepe; og den som slipper unna Jehus sverd, skal Elisja drepe. 
1KI.19.18	 Men jeg vil la sju tusen bli igjen i Israel, alle som ikke har bøyd kne for Baal og ikke har kysset ham med sin munn.»
1KI.19.19	Elia dro bort fra Horeb og fant Elisja, sønn av Sjafat, som holdt på med å pløye. Tolv par okser gikk foran ham, og selv fulgte han det tolvte paret. Med det samme Elia gikk forbi, kastet han kappen sin over ham. 
1KI.19.20	 Da forlot Elisja oksene, sprang etter Elia og sa: «La meg først få kysse min far og min mor til avskjed, så skal jeg følge deg.» Elia svarte: «Gå og kom så tilbake igjen! For du vet vel hva jeg har gjort med deg?» 
1KI.19.21	Da vendte Elisja seg fra ham. Han tok de to oksene og slaktet dem, og med åket som brensel kokte han kjøttet. Det ga han til folket, og de spiste. Så reiste han seg og fulgte Elia som hans tjener.
1KI.20.1	Arameerkongen Ben-Hadad samlet hele hæren sin. Trettito konger fulgte ham med hester og vogner. Han dro opp, omringet Samaria og gikk til angrep på byen. 
1KI.20.2	Han sendte bud inn i byen til Ahab, kongen i Israel, 
1KI.20.3	med denne meldingen: «Så sier Ben-Hadad: Sølvet og gullet ditt er mitt, og de vakreste av konene og barna dine er mine.» 
1KI.20.4	Israels konge svarte: «Det skal være som du sier, herre konge. Jeg og alt jeg eier, er ditt.»
1KI.20.5	Sendebudene kom igjen og sa: «Så sier Ben-Hadad: Jeg sendte bud til deg og sa: Du skal gi meg sølvet og gullet og konene og barna dine. 
1KI.20.6	I morgen på denne tiden sender jeg folkene mine til deg. De skal ransake både slottet ditt og husene til dine menn. Alt som dine øyne gleder seg over, skal de ta med seg.» 
1KI.20.7	Da kalte Israels konge sammen alle de eldste i landet og sa: «Nå kan dere klart se at denne mannen bare har ondt i sinne. Da han sendte bud til meg etter konene og barna mine, sølvet og gullet mitt, nektet jeg ham det ikke.» 
1KI.20.8	Alle de eldste og hele folket sa da til ham: «Ikke hør på ham, ikke gi etter!» 
1KI.20.9	Ahab sa til sendebudene fra Ben-Hadad: «Si til min herre kongen: Alt det du første gangen sendte bud til din tjener om, det skal jeg gjøre. Men dette kan jeg ikke gjøre.» Sendebudene dro bort og bar svaret fram.
1KI.20.10	Enda en gang sendte Ben-Hadad bud til ham og sa: «Måtte gudene la det gå meg ille både nå og siden dersom det blir nok støv igjen av Samaria til at folket som følger meg, kan få en håndfull hver.» 
1KI.20.11	Israels konge svarte: «Si til ham at den som binder sverdet om seg, ikke må skryte slik den gjør som tar det av seg.» 
1KI.20.12	 Ben-Hadad fikk denne meldingen mens han og de andre kongene satt og drakk i Sukkot. Han sa da til mennene sine: «Still dere opp!» De stilte seg opp for å storme byen.
1KI.20.13	Da trådte en profet fram for Ahab, kongen i Israel, og sa:
1KI.20.13	«Så sier 
1KI.20.13	Ser du denne store flokken?
1KI.20.13	I dag gir jeg den 
1KI.20.13	og du skal vite 
1KI.20.14	«Hvem skal gjøre dette?» spurte Ahab. Profeten svarte: «Så sier 
1KI.20.15	Ahab mønstret fogdenes menn. De var to hundre og trettito i tallet. Siden mønstret han hele hæren, alle israelittene; det var sju tusen mann. 
1KI.20.16	De rykket ut ved middagstid mens Ben-Hadad satt i Sukkot og drakk seg full sammen med de trettito kongene som støttet opp om ham. 
1KI.20.17	Fogdenes menn dro først ut. Ben-Hadad hadde sendt ut folk, og de kom og meldte at noen menn hadde dratt ut fra Samaria. 
1KI.20.18	Da sa han: «Har de rykket ut i fredelig ærend, så ta dem levende. Har de rykket ut for å kjempe, så ta dem levende da også.»
1KI.20.19	Så dro de ut av byen, både fogdenes menn og hæren som fulgte dem. 
1KI.20.20	De hogg ned hver sin mann. Arameerne flyktet, og israelittene forfulgte dem. Arameerkongen Ben-Hadad slapp unna til hest sammen med noen ryttere. 
1KI.20.21	Siden dro Israels konge selv ut og tok hestene og vognene deres. Slik påførte han arameerne et stort nederlag.
1KI.20.22	Da trådte profeten fram for Israels konge og sa til ham: «Gå og rust deg til strid! Tenk nøye etter hva du skal gjøre. For ved årsskiftet vil arameerkongen dra opp mot deg igjen.»
1KI.20.23	Arameerkongens menn sa til sin konge: «Deres Gud er en fjellgud. Derfor vant de over oss. Men kjemper vi mot dem på sletten, vinner vi over dem. 
1KI.20.24	Dette skal du gjøre: Avsett alle disse kongene og sett stattholdere i deres sted! 
1KI.20.25	Du skal mønstre en hær som er like stor som den du mistet, med like mange hester og vogner. La oss så kjempe mot dem på flat mark. Da vil vi sikkert slå dem.» Kongen lyttet til rådet og gjorde som de sa.
1KI.20.27	Israelittene ble også mønstret og fikk utstyr. De dro ut mot arameerne og leiret seg midt imot dem som to små geiteflokker, mens arameerhæren fylte hele landet. 
1KI.20.28	Da trådte gudsmannen fram for Israels konge og sa til ham: «Så sier 
1KI.20.29	I sju dager lå hærene midt imot hverandre. Den sjuende dagen begynte krigen. Israelittene felte på én dag hundre tusen mann av fotfolket til arameerne. 
1KI.20.30	De som var igjen, flyktet til byen Afek. Men bymuren falt ned over de 27 000 mann som var igjen.
1KI.20.30	Ben-Hadad flyktet også. Han flyktet inn i byen og sprang fra rom til rom. 
1KI.20.31	 Da sa mennene hans til ham: «Vi har hørt at kongene av Israels hus er forsonlige. La oss ta sekkestrie om hoftene og legge tau om hodet og så gå ut til Israels konge. Kanskje han vil spare ditt liv.» 
1KI.20.32	Så bandt de sekkestrie om hoftene og tau om hodene, og da de kom til Israels konge, sa de: «Din tjener Ben-Hadad ber om at du må spare hans liv.» Ahab svarte: «Er han ennå i live? Han er min bror.» 
1KI.20.33	Mennene syntes dette var et godt varsel. De tok ham straks på ordet og sa: «Ja, Ben-Hadad er din bror.» Da sa Ahab: «Gå og hent ham!» Ben-Hadad kom ut til ham, og Ahab lot ham stige opp i vognen sin. 
1KI.20.34	Da sa Ben-Hadad til ham: «De byene som min far tok fra din far, gir jeg deg tilbake. Og du kan anlegge basargater i Damaskus, slik min far gjorde i Samaria.» Ahab svarte: «På det vilkåret slipper jeg deg fri.» Så sluttet han en pakt med Ben-Hadad og slapp ham fri.
1KI.20.35	En av profetdisiplene sa på 
1KI.20.36	 Da sa profeten til ham: «Fordi du ikke ville adlyde 
1KI.20.37	Så møtte profeten en annen mann og sa: «Slå til meg!» Mannen slo til ham og ga ham et sår. 
1KI.20.38	Profeten gikk og stilte seg opp på veien for å vente på kongen. Han hadde knyttet et bind for øynene så ingen kunne kjenne ham igjen. 
1KI.20.39	Da kongen kom forbi, ropte profeten til ham: «Din tjener dro ut i den verste striden. Midt i striden kom det en bort til meg med en mann og sa: Pass på denne karen! Slipper han unna, må du bøte for det med ditt eget liv eller betale en talent sølv. 
1KI.20.40	 Men da din tjener hadde det travelt med både det ene og det andre, ble mannen borte.» Israels konge svarte: «Dermed har du felt din egen dom.» 
1KI.20.41	Da rev profeten bindet fra øynene sine, og kongen kjente ham igjen som en av profetene. 
1KI.20.42	 Profeten sa til ham: «Så sier 
1KI.20.43	 Så dro Israels konge hjem. Motløs og bitter kom han til Samaria.
1KI.21.2	Ahab snakket med Nabot og sa: «La meg få vingården din! Jeg vil ha den til grønnsakhage, for den ligger like ved huset mitt. Jeg skal gi deg en bedre vingård i stedet, eller om du så vil, skal jeg gi deg det den er verdt i penger.» 
1KI.21.3	 Men Nabot svarte Ahab: «
1KI.21.4	Så gikk Ahab hjem, motløs og bitter fordi Nabot fra Jisreel hadde svart ham slik og sagt: «Jeg gir deg ikke fedrearven min.» Han kastet seg på sengen, vendte ansiktet bort og ville ikke spise.
1KI.21.5	Da kom hans kone Jesabel inn og spurte: «Hvorfor er du så motløs og smaker ikke mat?» 
1KI.21.6	Han svarte henne: «Jeg snakket med Nabot fra Jisreel og sa til ham: Selg meg vingården din for penger, eller om du vil, bytt med meg i en annen vingård. Men han svarte: Jeg vil ikke gi deg vingården min.» 
1KI.21.7	Da sa hans kone Jesabel til ham: «Nå får du vise at det er du som er konge i Israel! Stå opp, få deg mat og vær ved godt mot! Jeg skal sørge for at du får vingården til Nabot fra Jisreel.»
1KI.21.8	Så skrev Jesabel brev i Ahabs navn, satte hans segl på og sendte dem til de eldste og stormennene som bodde i samme by som Nabot. 
1KI.21.9	 I brevet skrev hun: «Rop ut en faste, og la Nabot sitte øverst blant folket! 
1KI.21.10	Sett to ondsinnede menn midt imot ham, så de kan vitne mot ham og si: Du har forbannet Gud og kongen. Før ham så ut og stein ham til døde!»
1KI.21.12	De ropte ut en faste og lot Nabot sitte øverst blant folket. 
1KI.21.13	 Da kom de to ondsinnede mennene inn og satte seg midt imot ham. De vitnet mot ham så folket hørte det, og sa: «Nabot har forbannet Gud og kongen.» Og de førte ham ut av byen og steinet ham til døde. 
1KI.21.14	Så sendte de bud til Jesabel og sa: «Nabot er blitt steinet. Han er død.»
1KI.21.15	Så snart Jesabel fikk høre at Nabot var blitt steinet til døde, sa hun til Ahab: «Nå kan du gå og ta over vingården til Nabot fra Jisreel, den som han nektet å selge deg for penger! For Nabot lever ikke lenger; han er død.» 
1KI.21.16	Da Ahab hørte at Nabot var død, gikk han straks ned til vingården for å overta den.
1KI.21.17	Da kom 
1KI.21.18	«Gå ned med det samme og møt Ahab, Israels konge, som bor i Samaria! Nå er han i Nabots vingård; han er nettopp gått dit ned for å overta den. 
1KI.21.19	 Tal til ham og si: Så sier 
1KI.21.20	Ahab sa da til Elia: «Har du funnet meg nå, min uvenn?» Han svarte: «Ja, jeg har funnet deg. Fordi du har solgt deg til å gjøre det som er ondt i 
1KI.21.21	 fører jeg nå ulykke over deg. Jeg vil feie deg ut og utrydde alle mannfolk i Ahabs ætt i Israel, både fange og fri. 
1KI.21.22	 Jeg vil gjøre med din ætt som jeg gjorde med ætten til Jeroboam, sønn av Nebat, og med ætten til Basja, sønn av Ahia. For du har gjort meg rasende og fått Israel til å synde. 
1KI.21.23	 Og om Jesabel har 
1KI.21.24	 Den av Ahabs ætt som dør i byen, skal hundene ete opp; og den som dør ute på marken, skal fuglene under himmelen ete opp.»
1KI.21.25	Aldri har det vært en slik konge som Ahab. Han solgte seg til å gjøre det som var ondt i 
1KI.21.26	Men det mest avskyelige var at han fulgte avgudene, akkurat som amorittene hadde gjort, de som 
1KI.21.28	Da kom 
1KI.21.29	 «Har du sett at Ahab har ydmyket seg for meg? Fordi han har ydmyket seg, vil jeg ikke la ulykken komme i hans tid. Men i hans sønns tid vil jeg la ulykken komme over hans hus.»
1KI.22.1	Arameerne og israelittene holdt seg nå i ro i tre år; det var ingen krig mellom dem. 
1KI.22.2	 Det tredje året dro Josjafat, kongen i Juda, ned til kongen i Israel. 
1KI.22.3	 Da sa Israels konge til mennene sine: «Dere vet vel at Ramot i Gilead tilhører oss? Og så gjør vi ingenting for å ta byen tilbake fra arameerkongen!» 
1KI.22.4	 Og til Josjafat sa han: «Vil du gå med meg i krig mot Ramot i Gilead?» Josjafat svarte: «Jeg som du, mitt folk som ditt folk, mine hester som dine hester.»
1KI.22.6	Da samlet Israels konge profetene, omkring fire hundre mann, og spurte dem: «Skal jeg dra i krig mot Ramot i Gilead, eller skal jeg la det være?» De svarte: «Dra opp! Herren vil gi byen i kongens hender.» 
1KI.22.7	Men Josjafat sa: «Er det ingen annen av 
1KI.22.8	Israels konge svarte: «Det finnes enda en som vi kunne få til å spørre 
1KI.22.9	Da ropte Israels konge på en av hoffmennene og sa: «Skynd deg og hent Mika, sønn av Jimla!»
1KI.22.10	Kongen i Israel og Josjafat, kongen i Juda, satt i kongelig skrud på hver sin trone, på en treskeplass ved byporten i Samaria, og alle profetene sto foran dem og profeterte. 
1KI.22.11	Sidkia, sønn av Kenaana, laget seg da horn av jern og sa: «Så sier 
1KI.22.12	Alle profetene profeterte likedan og sa: «Dra opp mot Ramot i Gilead, så skal du ha lykken med deg. 
1KI.22.13	Sendebudet som var gått for å hente Mika, sa til ham: «Hør her! De andre profetene profeterer med én munn at det skal gå kongen vel. La nå dine ord være som deres og spå godt, du også!» 
1KI.22.14	 Men Mika svarte: «Så sant 
1KI.22.15	Da han kom fram, sa kongen til ham: «Mika, skal vi dra i krig mot Ramot i Gilead, eller skal vi la det være?» Han svarte: «Dra opp dit, så skal du ha lykken med deg! 
1KI.22.16	Men kongen sa til ham: «Hvor mange ganger skal jeg la deg sverge på at du ikke sier meg annet enn sannheten i 
1KI.22.18	Da sa Israels konge til Josjafat: «Var det ikke det jeg sa til deg? Han profeterer aldri noe godt om meg, bare vondt.»
1KI.22.20	Da spurte 
1KI.22.21	Da gikk en ånd fram, stilte seg foran 
1KI.22.22	Den svarte: «Jeg vil dra av sted og være en løgnens ånd i munnen på alle hans profeter.» Da sa Herren: «Ja, du skal lokke ham, og det skal også lykkes for deg. Dra av sted og gjør det!» 
1KI.22.23	Så har da 
1KI.22.24	Da gikk Sidkia, sønn av Kenaana, bort og slo Mika på kinnet og sa: «Hvordan er 
1KI.22.25	Mika svarte: «Det skal du få se den dagen du flykter fra rom til rom for å gjemme deg.» 
1KI.22.26	Da sa Israels konge: «Ta Mika og før ham bort til byhøvdingen Amon og kongssønnen Joasj 
1KI.22.27	 og si: Så sier kongen: Sett denne mannen i fengsel! La ham bare få små rasjoner med brød og vann til jeg kommer uskadd hjem igjen.» 
1KI.22.28	Mika sa: «Kommer du uskadd hjem igjen, så har ikke 
1KI.22.30	Israels konge sa til Josjafat: «Jeg vil forkle meg før jeg drar i krigen. Men du kan ha på dine vanlige klær.» Så forkledde Israels konge seg og dro ut i krigen. 
1KI.22.31	 Arameerkongen hadde gitt denne ordren til sine trettito kommandanter for stridsvognene: «Dere skal ikke kjempe mot hvem som helst, verken høy eller lav, men bare mot Israels konge.» 
1KI.22.32	Da vognkommandantene fikk øye på Josjafat, sa de: «Dette må være kongen i Israel.» Så vendte de seg mot ham og gikk til angrep. Da satte Josjafat i å rope høyt. 
1KI.22.33	Da vognkommandantene skjønte at det ikke var Israels konge, vendte de seg fra ham.
1KI.22.34	Men en mann spente buen og skjøt på måfå. Han traff Israels konge mellom brynjeplatene. Da sa kongen til vognføreren sin: «Snu og kjør meg vekk fra slaget! Jeg er såret.» 
1KI.22.35	 Kampen ble hardere og hardere utover dagen, og kongen ble støttet opp i vognen sin under striden mot arameerne. Men da kvelden kom, døde han. Og blodet fra såret rant ned i bunnen av vognen. 
1KI.22.36	Ved solnedgang lød det et rop gjennom leiren: «Hver mann hjem til sin by og sitt land!» 
1KI.22.37	Slik døde kongen, og de førte ham til Samaria og gravla ham der. 
1KI.22.38	 Og da de skylte vognen ved Samaria-dammen, slikket hundene blodet hans mens de prostituerte kvinnene badet der. Det gikk som 
1KI.22.40	Så gikk Ahab til hvile hos sine fedre, og hans sønn Ahasja ble konge etter ham.
1KI.22.41	Da Ahab hadde vært konge i Israel i fire år, ble Josjafat, sønn av Asa, konge i Juda. 
1KI.22.42	Han var trettifem år gammel da han ble konge, og han regjerte i Jerusalem i tjuefem år. Hans mor het Asuba og var datter av Sjilhi. 
1KI.22.43	Josjafat fulgte i ett og alt i sin far Asas fotspor og vek ikke av fra dem, men gjorde det som var rett i 
1KI.22.44	 Men offerhaugene forsvant ikke, og folket fortsatte å ofre og brenne røkelse på haugene. 
1KI.22.45	Josjafat holdt fred med kongen i Israel.
1KI.22.46	Det som ellers er å fortelle om Josjafat, om de storverk han gjorde og om krigene han førte, står skrevet i Juda-kongenes krønike. 
1KI.22.47	Resten av de mannlige tempelprostituerte, de som var igjen fra hans far Asas tid, jaget han ut av landet.
1KI.22.48	Den gang var det ingen konge i Edom. En stattholder styrte der.
1KI.22.50	 Den gang foreslo Ahasja, sønn av Ahab, for Josjafat: «La mine folk seile sammen med dine på skipene.» Men det ville ikke Josjafat.
1KI.22.51	Så gikk Josjafat til hvile hos sine fedre. Han ble gravlagt i fedregraven i sin far Davids by, og hans sønn Joram ble konge etter ham.
1KI.22.52	Da Josjafat hadde vært konge i Juda i sytten år, ble Ahasja, sønn av Ahab, konge over Israel i Samaria. Han regjerte i Israel i to år. 
1KI.22.53	Ahasja gjorde det som var ondt i 
1KI.22.54	Han dyrket Baal og tilba ham og gjorde 
2KI.1.3	 Men 
2KI.1.4	 Derfor sier 
2KI.1.5	Sendebudene vendte da tilbake til kongen. «Hvorfor kommer dere alt tilbake?» spurte han. 
2KI.1.6	De svarte: «Det kom en mann imot oss, og han sa til oss: Gå tilbake til kongen som sendte dere, og si til ham: Så sier 
2KI.1.7	Kongen spurte dem: «Hvordan så han ut, den mannen som kom imot dere og snakket slik til dere?» 
2KI.1.8	 De svarte: «Det var en hårete mann med et skinnklede bundet om livet.» Da sa han: «Det var Elia fra Tisjbe!»
2KI.1.9	Nå sendte kongen en femtimannsfører med sine menn av sted til Elia. Da han nådde toppen av berget hvor Elia satt, sa han til ham: «Gudsmann, kongen sier: Kom ned!» 
2KI.1.10	 Elia svarte: «Så sant jeg er en gudsmann: Ild skal fare ned fra himmelen og fortære deg og dine femti menn!» Og ild fór ned fra himmelen og fortærte føreren og hans femti menn.
2KI.1.11	Så sendte kongen en annen femtimannsfører og hans menn, og han sa til Elia: «Gudsmann, så sier kongen: Skynd deg og kom ned!» 
2KI.1.12	Men Elia svarte: «Så sant jeg er en gudsmann, skal ild fare ned fra himmelen og fortære deg og dine femti menn!» Og Guds ild fór ned fra himmelen og fortærte ham og hans menn.
2KI.1.13	For tredje gang sendte kongen en femtimannsfører og hans menn til ham. Da denne tredje føreren var kommet opp, falt han på kne foran Elia og bønnfalt ham: «Gudsmann», sa han, «tenk på hvor dyrebart livet er for meg og disse femti tjenerne dine. 
2KI.1.14	Ild fór ned fra himmelen og fortærte de to forrige førerne og deres menn. Nå må mitt liv være dyrebart i dine øyne!»
2KI.1.16	og sa til ham: «Så sier 
2KI.1.17	 Og Ahasja døde, slik som 
2KI.1.18	Det som ellers er å fortelle om Ahasja og det han utrettet, står skrevet i Israels-kongenes krønike.
2KI.2.2	Elia sa til Elisja: «Bli her! For 
2KI.2.3	Profetdisiplene i Betel kom ut til Elisja og sa til ham: «Vet du at 
2KI.2.4	Så sa Elia til ham: «Bli her, Elisja. For 
2KI.2.5	Profetdisiplene der i byen kom bort til Elisja og sa til ham: «Vet du at 
2KI.2.6	Nå sa Elia til ham: «Bli her! For 
2KI.2.7	Femti av profetdisiplene fulgte etter dem. De ble stående langt borte, midt imot Elia og Elisja, mens de to stilte seg opp ved Jordan.
2KI.2.9	 Mens de gikk over, sa Elia til Elisja: «Si meg, hva kan jeg gjøre for deg før jeg blir tatt fra deg?» Elisja sa: «La meg da få din ånd i dobbelt mål!» 
2KI.2.10	Elia svarte: «Det er vanskelig, det du ber om. Men hvis du ser meg når jeg blir tatt bort fra deg, skal du få det, ellers ikke.»
2KI.2.12	 Da Elisja så dette, ropte han: «Min far, min far! Israels vogner og hester!» Da han ikke kunne se ham lenger, tok han tak i klærne sine og rev dem i to stykker. 
2KI.2.13	 Så tok han opp Elias kappe, som var falt av ham. Han gikk tilbake og stilte seg ved bredden av Jordan. 
2KI.2.14	Der tok han kappen som var falt av Elia, slo på vannet og sa: «Hvor er 
2KI.2.15	Profetdisiplene fra Jeriko som sto midt imot ham, så dette og sa: «Elias ånd hviler over Elisja.» Og de kom imot ham og kastet seg til jorden for ham. 
2KI.2.16	Så sa de: «Det er femti sterke menn her hos dine tjenere. La dem gå av sted og lete etter din mester. Kanskje 
2KI.2.17	Men de tryglet ham helt til han ga etter og sa: «Så send dem ut!» Så sendte de ut femti menn, som lette etter Elia i tre dager; men de fant ham ikke. 
2KI.2.18	De kom tilbake til Elisja, som var blitt igjen i Jeriko. Og han sa til dem: «Var det ikke det jeg sa, at dere ikke skulle gå?»
2KI.2.20	Da sa han: «Hent et nytt fat til meg og ha salt opp i det!» De gjorde det. 
2KI.2.21	Og så gikk han ut til stedet hvor vannet vellet fram, kastet salt nedi og sa: «Så sier 
2KI.2.22	Siden har vannet vært friskt, helt til denne dag. Det gikk som Elisja hadde sagt.
2KI.2.23	Fra Jeriko dro profeten opp til Betel. Mens han var på veien, kom noen smågutter ut av byen. De gjorde narr av ham og ropte: «Kom deg vekk, din flintskalle! Kom deg vekk, din flintskalle!» 
2KI.2.24	Da han snudde seg og fikk se dem, forbannet han dem i 
2KI.2.25	Fra Betel dro Elisja til Karmelfjellet, og så vendte han tilbake til Samaria.
2KI.3.2	 Han gjorde det som var ondt i 
2KI.3.3	Men han holdt fast ved de syndene som Jeroboam, sønn av Nebat, hadde fått israelittene med på. Dem vendte han seg ikke bort fra.
2KI.3.4	Mesja, kongen i Moab, drev med saueavl. Han pleide å betale Israels konge hundre tusen lam og ull av hundre tusen værer i skatt. 
2KI.3.5	Men da Ahab døde, gjorde kongen i Moab opprør mot kongen i Israel. 
2KI.3.6	Straks dro kong Joram ut fra Samaria og mønstret hele Israel. 
2KI.3.7	 Så sendte han bud til Juda-kongen Josjafat og sa: «Kongen i Moab har gjort opprør mot meg. Vil du gå i krig mot Moab sammen med meg?» Han svarte: «Ja, det vil jeg; jeg som du, mitt folk som ditt folk, mine hester som dine hester.» 
2KI.3.8	«Hvilken vei skal vi ta?» spurte Joram. Josjafat svarte: «Veien gjennom ødemarken i Edom.»
2KI.3.10	Da utbrøt Israels konge: «
2KI.3.11	 Men Josjafat sa: «Finnes det ikke en 
2KI.3.12	Josjafat sa: «Ja, hos ham er 
2KI.3.14	Da sa Elisja: «Så sant hærskarenes 
2KI.3.15	 Men hent nå en som kan spille for meg!» Mens han spilte, kom 
2KI.3.16	Og han sa: «Så sier 
2KI.3.17	For så sier 
2KI.3.18	Men dette er ikke nok i 
2KI.3.19	Dere skal innta hver befestet by og hver utvalgt by, hugge hvert frukttre og tette hver vannkilde. Og hvert fruktbart jordstykke skal dere ødelegge med stein.» 
2KI.3.20	 Neste morgen, på den tid grødeofferet blir båret fram, kom vannet strømmende fra den kanten hvor Edom ligger, og landet ble fylt med vann.
2KI.3.21	Nå fikk moabittene høre at kongene var kommet for å kjempe mot dem. Alle våpenføre menn, unge som gamle, ble kalt sammen og tok oppstilling langs grensen. 
2KI.3.22	Da moabittene sto opp tidlig neste morgen, skinte solen på vannet, og det så ut for dem som vannet var rødt av blod. 
2KI.3.23	«Det er blod!» ropte de. «Kongene har kjempet med sverd og slått hverandre i hjel. Moabitter, nå skal vi ta bytte!» 
2KI.3.24	Men da de kom til Israels leir, gjorde israelittene motstand og slo moabittene så de flyktet for dem. Israelittene trengte inn i Moabs land mens de fortsatte å slå dem ned.
2KI.3.26	Da kongen i Moab så at striden ble for hard for ham, tok han med seg sju hundre våpenføre menn, for å bryte igjennom og nå bort til kongen i Edom. Men de greide det ikke. 
2KI.3.27	Da tok kongen sin eldste sønn, som skulle bli konge etter ham, og ofret ham som brennoffer på bymuren. Og det kom så stor harme over israelittene at de brøt opp og vendte tilbake til sitt eget land.
2KI.4.1	En kvinne som var enke etter en av profetdisiplene, ropte en gang til Elisja: «Din tjener, som var min mann, er død. Og du vet at din tjener fryktet 
2KI.4.2	 Elisja sa til henne: «Hva kan jeg gjøre for deg? Fortell meg hva du har i huset.» Hun svarte: «Din tjenestekvinne har ikke annet i huset enn en liten krukke med olje.» 
2KI.4.3	Da sa han: «Gå ut til alle naboene dine og be om å få låne kar, så mange tomme kar som du kan få tak i. 
2KI.4.4	Så skal du gå inn og stenge døren etter deg og sønnene dine. Hell olje opp i alle disse karene, og sett dem bort når de er fulle!»
2KI.4.5	Kvinnen gikk fra ham, og hun stengte døren etter seg og sønnene sine. De rakte henne karene, og hun helte i. 
2KI.4.6	Da karene var fulle, sa hun til en av sønnene: «Rekk meg et kar til!» «Det er ikke flere», svarte han. Da sluttet oljen å renne. 
2KI.4.7	 Hun gikk og fortalte dette til gudsmannen. Han sa: «Gå og selg oljen, og betal gjelden din! Så kan du og sønnene dine leve av det som blir igjen.»
2KI.4.9	En gang sa hun til mannen sin: «Hør her! Jeg vet at han som stadig kommer innom oss, er en hellig gudsmann. 
2KI.4.10	La oss lage et lite takkammer til ham og sette inn en seng, et bord, en stol og en lysestake. Så kan han ta inn der når han kommer til oss.»
2KI.4.11	En dag profeten kom dit, tok han inn i takkammeret og la seg der. 
2KI.4.12	Så sa han til Gehasi, tjeneren sin: «Rop på denne Sjunem-kvinnen!» Tjeneren ropte på henne, og hun kom bort til ham. 
2KI.4.13	Elisja sa til ham: «Si til henne: Hør, du har hatt mye bry for vår skyld. Hva kan vi gjøre for deg? Kan vi tale din sak for kongen eller hærføreren?» Men hun svarte: «Jeg bor jo midt iblant mitt eget folk.» 
2KI.4.14	«Hva kan jeg da gjøre for henne?» spurte profeten. Gehasi svarte: «Hun har jo ingen sønn, og mannen hennes er gammel.» 
2KI.4.15	Da sa Elisja: «Rop på henne!» Han ropte på henne, og hun kom og ble stående i døråpningen. 
2KI.4.16	 Profeten sa: «Når tiden er inne, skal du ha en sønn i armene.» Men hun svarte: «Nei, herre, du som er en gudsmann, må ikke lyve for din tjenestekvinne!»
2KI.4.17	Kvinnen ble med barn, og da tiden var inne, fikk hun en sønn, slik Elisja hadde sagt til henne. 
2KI.4.18	Gutten vokste opp, og en dag gikk han ut til faren sin og onnefolket. 
