GEN.1.4	Gud så lyset, at det var godt. Og Gud skilte lyset fra mørket.
NUM.26.23	Jissakars sønner ut fra sine slekter var: tolaittenes slekt fra Tola, puvvaittenes slekt fra Puvva
NUM.26.24	jasjubittenes slekt fra Jasjub
NUM.26.25	Dette er Jissakars slekter ut fra dem som ble mønstret av dem, 64 300.
NUM.26.27	Dette er sebulonittenes slekter ut fra dem som ble mønstret av dem, 60 500.
NUM.26.30	Dette er Gileads sønner: jeserittenes slekt fra Jeser
NUM.26.31	asrielittenes slekt fra Asriel, sikemittenes slekt fra Sikem,
NUM.26.32	sjemidaittenes slekt fra Sjemida, heferittenes slekt fra Hefer.
NUM.26.34	Dette er Manasses slekter. De som ble mønstret av dem, var 52 700.
NUM.26.35	Dette er Efraims sønner ut fra sine slek-ter: sjutelakittenes slekter fra Sjutelak, bakrittenes slekter fra Beker
NUM.26.36	Dette er Sjutelaks sønner: eranittenes slekt fra Eran.
NUM.26.37	Dette er slektene til Efraims sønner, de som ble mønstret av dem, 32 500. Dette er Josefs sønner ut fra sine slekter.
NUM.26.38	Benjamins sønner ut fra sine slekter var: belaittenes slekt fra Bela, asjbelittenes slekt fra Asjbel, ahiramittenes slekt fra Ahiram,
NUM.26.39	sjufamittenes slekt fra Sjufam
NUM.26.40	Belas sønner var Ard
NUM.26.41	Dette er Benjamins sønner ut fra sine slekter. De som ble mønstret av dem, var 45 600.
NUM.26.42	Dette er Dans sønner ut fra sine slekter: sjuhamittenes slekt fra Sjuham
NUM.26.43	Alle sjuhamittenes slekter, ut fra dem som ble mønstret, var 64 400.
NUM.26.45	fra Berias sønner: heberittenes slekt fra Heber, malkielittenes slekt fra Malkiel.
NUM.26.46	Navnet til Asjers datter var Sera.
NUM.26.47	Dette er slektene til Asjers sønner, ut fra dem som ble mønstret, 53 400.
NUM.26.48	Naftalis sønner ut fra sine slekter var: jakse’elittenes slekt fra Jahse’el
NUM.26.50	Dette er Naftalis slekter ut fra sine slekter. De som ble mønstret, var 45 400.
NUM.26.52	Så talte Herren til Moses og sa:
NUM.26.55	Men landet skal fordeles ved loddkasting. Ut fra navnene på sine fedres stammer skal de arve.
NUM.26.56	Ut fra loddkastingen skal arven fordeles mellom de større og de mindre.»
NUM.26.57	Dette er dem som ble mønstret av levittene ut fra sine slekter: gersjonittenes slekt fra Gersjon, kehatittenes slekt fra Kehat, merarittenes slekt fra Merari.
NUM.26.58	Dette er levittenes slekter: libnittenes slekt, hebronittenes slekt, maklittenes slekt, musjittenes slekt, og korahittenes slekt. Kehat ble far til Amram.
NUM.26.60	Aron fikk Nadab og Abihu, Elasar og Itamar.
NUM.26.62	De som ble mønstret
NUM.26.63	Dette er dem som ble mønstret av Moses og presten Elasar, de som mønstret Israels barn på Moabslettene ved Jordan, rett overfor Jeriko.
NUM.26.64	Men av disse var det ikke en eneste mann som ble mønstret av Moses og presten Aron den gangen de mønstret Israels barn i Sinaiørkenen.
NUM.26.65	For Herren hadde sagt til dem: «De skal sannelig dø i ørkenen.» Derfor var det ikke en eneste mann igjen av dem, bortsett fra Kaleb, Jefunnes sønn, og Josva, Nuns sønn.
NUM.27.2	De stilte seg foran Moses, foran pres-ten Elasar og foran høvdingene og hele menigheten, ved døren til Åpenbarings-teltet, og de sa:
NUM.27.6	Og Herren talte til Moses og sa:
NUM.27.8	Du skal tale til Israels barn og si: Hvis en mann dør og ikke har noen sønn, da skal dere gi arven hans videre til hans datter.
NUM.27.9	Hvis han ikke har noen datter, skal dere gi arven hans til hans brødre.
NUM.27.10	Hvis han ikke har brødre, skal dere gi arven hans til hans fars brødre.
NUM.27.15	Da talte Moses til Herren og sa:
NUM.27.19	Still ham fram for presten Elasar og foran hele menigheten og innsett ham i tjenesten foran øynene deres!
NUM.27.21	Han skal stå foran presten Elasar, som for Herrens ansikt skal spørre om dommen fra urim for ham. På hans ord skal de gå ut, og på hans ord skal de komme inn, både han og alle Israels barn, hele menigheten.»
NUM.27.22	Så gjorde Moses som Herren hadde befalt ham. Han tok Josva og stilte ham fram for presten Elasar og hele menigheten.
NUM.28.1	Herren talte til Moses og sa:
NUM.28.4	Det ene lammet skal du ofre om morgenen, og det andre lammet skal dere ofre mellom de to aftenstunder,
NUM.28.5	sammen med en tiendedel av en efa fint mel som grødeoffer, blandet med en fjerdedel hin presset olje.
NUM.28.7	Drikkofferet skal være en fjerdedel hin for hvert lam. På det hellige stedet skal du helle ut drikkofferet av sterk drikk for Herren.
NUM.28.9	På sabbatsdagen skal du ofre to årsgamle lam uten feil og to tiendedeler av en efa fint mel som grødeoffer, blandet med olje, sammen med drikkofferet som hører til.
NUM.28.10	Dette er brennofferet for hver sabbat, foruten det vedvarende brennofferet og drikkofferet som hører til.
NUM.28.11	I begynnelsen
NUM.28.12	Til hver okse skal det være tre tiendedeler av en efa fint mel som grødeoffer blandet med olje. Til den ene væren skal det være to tiendedeler av en efa fint mel som grødeoffer blandet med olje.
NUM.28.13	Til hvert lam skal det være en tiende-del av en efa fint mel blandet med olje, som grødeoffer. Dette skal være et brenn-offer til velbehagelig duft, et matoffer til Herren.
NUM.28.14	Drikkofferet deres skal være en halv hin vin for en okse, en tredjedel av en hin til væren og en fjerdedel av en hin til hvert lam. Dette er brennofferet for hver måned i alle månedene i året.
NUM.28.16	På den fjortende dagen i den første måneden er det påske for Herren.
NUM.28.17	Og på den femtende dagen i denne måneden er det høytid. I sju dager skal det spises usyret brød.
NUM.28.19	Dere skal komme fram med et matoffer som brennoffer til Herren: to unge okser, en vær og sju årsgamle lam. De skal være uten feil.
NUM.28.20	Grødeofferet som hører til, skal være av fint mel blandet med olje. Tre tiende-deler av en efa skal dere ofre for oksen, og to tiendedeler for væren.
NUM.28.21	Dere skal ofre en tiendedel av en efa for hvert av de sju lammene.
NUM.28.22	Dere skal også ofre en geitebukk som syndoffer
NUM.28.23	Dette skal dere ofre i tillegg til brenn-offeret om morgenen, som er et vedvar-ende brennoffer.
NUM.28.24	I sju dager skal dere slik hver dag ofre maten til matofferet, til en velbehagelig duft for Herren. Det skal ofres ved siden av det vedvarende brennofferet og drikkofferet som hører til.
NUM.28.25	På den sjuende dagen skal dere ha en hellig samling. Dere skal ikke gjøre noe ordinært arbeid.
NUM.28.26	Også på førstegrødens dag, når dere kommer fram med et offer av nytt korn til Herren på ukenes høytid, skal dere ha en hellig samling. Dere skal ikke gjøre noe ordinært arbeid.
NUM.28.28	Dessuten skal dere komme fram med grødeoffer av fint mel, blandet med olje: tre tiendedeler av en efa for hver okse, to tiendedeler for hver enkelt vær
NUM.28.29	og en tiendedel for hvert av de sju lammene.
NUM.28.30	Dere skal også komme fram med en geitebukk for å gjøre soning
NUM.28.31	De skal være uten feil. Dere skal komme fram med dem sammen med drikkofrene som hører til, i tillegg til det vedvarende brennofferet og grødeofferet som hører til.
NUM.29.1	I den sjuende måneden, på den første dagen i måneden, skal dere ha en hellig samling. Dere skal ikke gjøre noe ordinært arbeid. Dette er en dag for dere til å gi et støt i basunene.
NUM.29.2	Dere skal ofre et brennoffer til en velbehagelig duft for Herren: en ung okse, en vær og sju årsgamle lam uten feil.
NUM.29.3	Grødeofferet deres skal være fint mel blandet med olje, tre tiendedeler av en efa til oksen, to tiendedeler til væren
NUM.29.4	og en tiendedel til hvert av de sju lammene.
NUM.29.5	Dere skal også ofre en geitebukk som syndoffer
NUM.29.9	Grødeofrene som hører med, skal være av fint mel blandet med olje, tre tiendedeler av en efa for oksen, to tiende-deler for den ene væren
NUM.29.10	og en tiendedel for hvert av de sju lammene.
NUM.29.14	Grødeofferet skal være av fint mel blandet med olje, tre tiendedeler av en efa for hver av de tretten oksene, to tiendedeler for hver av de to værene
NUM.29.15	og en tiendedel for hvert av de fjorten lammene.
NUM.29.16	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.29.18	og de grødeofrene og de drikkofrene som hører med for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.19	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofrene som hører til.
NUM.29.20	På den tredje dagen skal dere komme fram med elleve okser, to værer og 14 årsgamle lam uten feil
NUM.29.21	og grødeofrene og drikkofrene som hører med for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.22	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.29.23	På den fjerde dagen skal dere komme fram med ti okser, to værer og 14 årsgamle lam uten feil
NUM.29.24	og grødeofrene og drikkofrene som hører med for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.25	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.29.26	På den femte dagen skal dere komme fram med ni okser, to værer og 14 årsgamle lam uten feil
NUM.29.27	og grødeofrene og drikkofrene som hører til for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.28	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.29.29	På den sjette dagen skal dere komme fram med åtte okser, to værer og 14 årsgamle lam uten feil
NUM.29.30	og grødeofrene og drikkofrene som hører til for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.31	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grøde-offeret og drikkofferet som hører til.
NUM.29.32	På den sjuende dagen skal dere komme fram med sju okser, to værer, og 14 årsgamle lam uten feil
NUM.29.33	og grødeofrene og drikkofrene som hører til for oksene, værene og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.34	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.29.36	Dere skal komme fram med et brenn-offer, et matoffer til en velbehagelig duft for Herren: en okse, en vær, sju årsgamle lam uten feil
NUM.29.37	og grødeofrene og drikkofrene som hører til for oksen, væren og lammene, ut fra hvor mange de er, etter forskriften.
NUM.29.38	Dere skal også komme fram med en geitebukk som syndoffer, i tillegg til det vedvarende brennofferet med grødeofferet og drikkofferet som hører til.
NUM.30.1	Moses sa alt dette til Israels barn slik som Herren hadde befalt ham.
NUM.30.4	Eller om en kvinne avlegger et løfte til Herren og binder seg til en forpliktelse mens hun ennå er som ungdom i sin fars hus,
NUM.30.5	og hennes far hører løftet og forpliktelsen hun har bundet seg til, og hennes far tier
NUM.30.6	Men hvis hennes far nekter henne det den dagen han hører det, da skal ingen av løftene hennes eller forpliktelsene hun har bundet seg til, stå fast. Herren skal tilgi henne, fordi hennes far har nektet henne det.
NUM.30.7	Hvis hun tar en ektemann mens hun er bundet av sine løfter, eller hun har bundet seg
NUM.30.8	og hennes ektemann hører det, og han ikke sier noe til henne den dagen han hører det, da skal løftene hennes stå fast. Forpliktelsene hennes som hun har bundet seg til, skal også stå fast.
NUM.30.10	Ethvert løfte som en enke eller en skilt kvinne har bundet seg
NUM.30.11	Hvis hun har avlagt et løfte i sin manns hus eller har bundet seg til en forpliktelse med en ed,
NUM.30.12	og hennes mann hørte det, og han ikke sa noe til henne og ikke nektet henne det, da skal alle løftene hennes og hver forpliktelse hun har bundet seg til, stå fast.
NUM.30.13	Men hvis hennes mann virkelig gjorde dem ugyldige den dagen han hørte dem, da skal ikke noe av alt det som gikk over hennes lepper om løftene hennes eller om forpliktelsen som binder henne, stå fast. Hennes mann har gjort dem ugyldige, og Herren skal tilgi henne.
NUM.30.14	Hvert løfte og hver bindende ed om å legge bånd på seg
NUM.30.15	Hvis hennes mann virkelig ikke sier noe til henne i dagene som følger, da stadfester han alle løftene hennes eller alle avtalene som binder henne. Han stadfester dem, for han har ikke sagt noe til henne på den dagen han hørte dem.
NUM.30.16	Men hvis han gjør dem ugyldige etter at han har hørt dem, da skal han bære hennes skyld.»
NUM.30.17	Dette er de lovene som Herren befalte Moses, og som gjelder mellom en mann og hans kone, og mellom en far og hans datter som i sin ungdom ennå er i sin fars hus.
NUM.31.1	Herren talte til Moses og sa:
NUM.31.4	Tusen fra hver stamme av alle Israels stammer skal dere sende ut i krigen.»
NUM.31.5	Fra hver av Israels avdelinger
NUM.31.7	De kjempet mot midjanittene, slik Herren hadde befalt Moses, og de drepte alle av hankjønn.
NUM.31.9	Israels barn tok kvinnene i Midjan til fange, sammen med alle småbarna deres, og de tok hele buskapen, alt småfeet deres og alt de eide, som bytte.
NUM.31.10	Alle byene der de bodde, og alle teltleirene deres brente de opp med ild.
NUM.31.11	De tok med seg alt byttet og alt hærfanget, både mennesker og dyr.
NUM.31.12	Så kom de med fangene, hærfanget og byttet til Moses, til presten Elasar og menigheten av Israels barn, til leiren på Moabslettene ved Jordan, rett overfor Jeriko.
NUM.31.13	Moses, presten Elasar og alle høvding-ene for menigheten gikk ut for å møte dem utenfor leiren.
NUM.31.14	Men Moses ble rasende på befalingsmennene for hæren, på førerne for 1000 og førerne for 100, som hadde kommet fra slaget i striden.
NUM.31.15	Moses sa til dem: «Har dere latt alle kvinnene være i live?
NUM.31.20	Dere skal rense hvert klesplagg, alt av lær, alt som er vevd av geitehår, og alt som er lagd av tre.»
NUM.31.21	Da sa presten Elasar til hærmennene som hadde gått ut i slaget: «Dette er en forskrift i loven som Herren har befalt Moses:
NUM.31.22	Bare gullet, sølvet, bronsen
NUM.31.25	Herren talte til Moses og sa:
NUM.31.26	«Du og presten Elasar, sammen med overhodene for fedrene i menigheten, skal ta opptelling av byttet som ble tatt
NUM.31.29	Ta dette fra stridsmennenes halvpart og gi det til presten Elasar som en gave til Herren.
NUM.31.31	Så gjorde Moses og presten Elasar som Herren hadde befalt Moses.
NUM.31.32	Alt byttet som var igjen av hærfanget, som hærstyrken hadde tatt, var 675 000 sauer,
NUM.31.33	72 000 storfe,
NUM.31.34	61 000 esler
NUM.31.35	og 32 000 mennesker
NUM.31.36	Den halvparten, den delen som tilfalt dem som hadde gått ut i krigen, var 337 500 sauer.
NUM.31.37	Skatten Herren skulle ha av sauene, var 675.
NUM.31.38	Storfeet var 36 000 i antall, og av dem var skatten til Herren 72.
NUM.31.39	Eslene var 30 500 i antall, og av dem var skatten til Herren 61.
NUM.31.40	Menneskene
NUM.31.42	Den halvparten som tilfalt Israels barn, den som Moses hadde skilt ut fra mennene som hadde gått i krigen,
NUM.31.43	den halvparten som tilfalt menigheten, var 337 500 sauer,
NUM.31.44	36 000 storfe,
NUM.31.45	30 500 esler
NUM.31.46	og 16 000 mennesker.
NUM.31.48	Da kom befalingsmennene over 1000 i hæren, førerne over 1000 og førerne over 100 fram til Moses.
NUM.31.49	De sa til Moses: «Dine tjenere har tatt opptelling over de stridsmennene som er under vår kommando, og det mangler ikke en eneste mann av oss.
NUM.31.51	Så tok Moses og presten Elasar imot gullet fra dem, alle de kunstferdig utførte smykkene.
NUM.31.52	Hele gaven av gull som de satte til side for Herren, fra førerne for 1000 og førerne for 100, var 16 750 sjekel.
NUM.32.2	kom Gads barn og Rubens barn og talte med Moses, presten Elasar og alle høvdingene for menigheten. De sa:
NUM.32.5	Derfor sa de: «Hvis vi har funnet nåde i dine øyne, så la dette landet bli gitt dine tjenere til eiendom. Før oss ikke over Jordan!»
NUM.32.6	Moses sa til Gads barn og til Rubens barn: «Skal deres brødre gå ut i striden mens dere blir igjen her?
NUM.32.7	Hvorfor vil dere ta motet fra Israels barns hjerter, så de ikke drar over og inn i det landet som Herren har gitt dem?
NUM.32.13	Slik ble Herrens vrede opptent mot Israel, og Han lot dem flakke omkring i ørkenen i 40 år, helt til hele den slekten som hadde gjort ondt i Herrens øyne, var borte.
NUM.32.16	Da gikk de bort til ham og sa: «Vi vil gjerne bygge kveer til buskapen vår her, og byer til våre barn.
NUM.32.17	Men selv vil vi være bevæpnet og skynde oss å dra over foran Israels barn, helt til vi har ført dem til deres sted. Men våre barn skal bo i de befestede byene, borte fra dem som bor i landet.
NUM.32.18	Vi vil ikke vende tilbake til våre hjem før hver eneste en av Israels barn har fått sin arv.
NUM.32.20	Da sa Moses til dem: «Hvis dere gjør dette, hvis dere væpner dere til strid for Herrens ansikt,
NUM.32.21	og alle deres væpnede menn går over Jordan for Herrens ansikt, helt til Han har drevet sine fiender bort fra sitt ansikt,
NUM.32.22	og landet blir underlagt Herren, da kan dere vende tilbake etterpå og være uten skyld både for Herren og for Israel. Og dette landet skal være deres eiendom for Herrens ansikt.
NUM.32.25	Gads barn og Rubens barn talte til Moses og sa: «Dine tjenere vil gjøre som min herre befaler.
NUM.32.26	Våre barn, våre koner, småfeet og storfeet og hele buskapen vår skal bli værende der i Gileads byer.
NUM.32.29	Moses sa til dem: «Hvis Gads barn og Rubens barn går over Jordan sammen med dere, og hver mann er væpnet til strid for Herrens ansikt, og landet blir underlagt dere, da skal dere gi dem Gilead landet til eiendom.
NUM.32.30	Men hvis de ikke drar væpnet over sammen med dere, da skal de få sine eiendommer blant dere i Kanaans land.»
NUM.32.31	Da svarte Gads barn og Rubens barn og sa: «Som Herren har sagt til dine tjenere, slik vil vi gjøre.
NUM.32.32	Vi vil dra væpnet over for Herrens ansikt inn i Kanaans land, men den arven som skal være vår eiendom, skal være på denne siden av Jordan.»
NUM.32.34	Gads barn bygde opp Dibon, Atarot og Aroer,
NUM.32.36	Bet-Nimra og Bet-Haran, de befestede byene og sauekveene.
NUM.32.41	Også Ja’ir, Manasses sønn, dro av sted og inntok teltbyene der, og han kalte dem Ja’irs teltbyer.
NUM.32.42	Så dro Nobah av sted og inntok Kenat og landsbyene der, og han kalte det Nobah etter sitt eget navn.
NUM.33.2	Etter Herrens befaling skrev Moses ned alle stedene der de begynte reisene sine fra. Dette er reisestrekningene deres, ut fra stedene der de begynte reisene:
NUM.33.8	De brøt opp fra Pi-Hakirot og gikk gjennom havet og ut i ørkenen. De dro tre dagsreiser ut i Etam ørkenen og slo leir i Mara.
NUM.33.10	De brøt opp fra Elim og slo leir ved Sivhavet
NUM.33.11	De brøt opp fra Sivhavet og slo leir i Sinørkenen.
NUM.33.12	De brøt opp fra Sinørkenen og slo leir i Dofka.
NUM.33.13	De brøt opp fra Dofka og slo leir i Alusj.
NUM.33.14	De brøt opp fra Alusj og slo leir i Refidim, der det ikke var vann som folket kunne drikke.
NUM.33.15	De brøt opp fra Refidim og slo leir i Sinaiørkenen.
NUM.33.17	De brøt opp fra Kibrot-Hatta’ava og slo leir i Haserot.
NUM.33.19	De brøt opp fra Ritma og slo leir i Rimmon-Peres.
NUM.33.20	De brøt opp fra Rimmon-Peres og slo leir i Libna.
NUM.33.21	De brøt opp fra Libna og slo leir i Rissa.
NUM.33.22	De brøt opp fra Rissa og slo leir i Kehelata.
NUM.33.23	De brøt opp fra Kehelata og slo leir ved Sjeferfjellet.
NUM.33.24	De brøt opp fra Sjeferfjellet og slo leir i Harada.
NUM.33.25	De brøt opp fra Harada og slo leir i Makhelot.
NUM.33.26	De brøt opp fra Makhelot og slo leir i Tahat
NUM.33.27	De brøt opp fra Tahat og slo leir i Terah
NUM.33.28	De brøt opp fra Terah og slo leir i Mitka.
NUM.33.29	De brøt opp fra Mitka og slo leir i Hasmona.
NUM.33.31	De brøt opp fra Moserot og slo leir i Bene-Ja’akan.
NUM.33.32	De brøt opp fra Bene-Ja’akan og slo leir i Hor-Hagidgad.
NUM.33.33	De brøt opp fra Hor-Hagidgad og slo leir i Jotbata.
NUM.33.34	De brøt opp fra Jotbata og slo leir i Abrona.
NUM.33.35	De brøt opp fra Abrona og slo leir i Esjon-Geber.
NUM.33.38	Etter Herrens befaling gikk presten Aron opp på fjellet Hor, og han døde der i det førtiende året etter at Israels barn hadde kommet ut av landet Egypt, på den første dagen i den femte måneden.
NUM.33.39	Aron var 123 år gammel da han døde på fjellet Hor.
NUM.33.41	Så brøt de opp fra fjellet Hor og slo leir i Salmona.
NUM.33.42	De brøt opp fra Salmona og slo leir i Punon.
NUM.33.46	De brøt opp fra Dibon-Gad og slo leir i Almon-Diblatajim.
NUM.33.49	De slo leir ved Jordan, fra Bet-Jesjimot og helt til Abel Sjittim
NUM.33.50	På Moabslettene ved Jordan, rett overfor Jeriko, talte Herren til Moses og sa:
NUM.33.52	da skal dere drive alle dem som bor i landet bort, fra dere, ødelegge alle steinbildene og alle de støpte bildene deres og rive ned og ødelegge alle de høye stedene
NUM.33.53	Dere skal ta landet i eie og bosette dere i det, for Jeg har gitt dere landet til eiendom.
NUM.33.56	Da skal det skje: Det Jeg hadde tenkt å gjøre med dem, skal Jeg gjøre med dere.»
NUM.34.1	Så talte Herren til Moses og sa:
NUM.34.6	Som grense mot vest skal dere ha Storhavet som grense. Dette skal være vestgrensen deres.
NUM.34.8	Fra fjellet Hor skal dere merke ut grenselinjen til Lebo-Hamat. Så skal grensen gå ut til Sedad.
NUM.34.9	Grensen skal fortsette til Sifron, og den skal ende i Hasar-Enan. Dette skal være nordgrensen deres.
NUM.34.10	Østgrensen deres skal dere merke ut fra Hasar-Enan til Sjefam.
NUM.34.12	Grensen skal gå nedover langs Jordan, og den skal ende ved Saltsjøen. Dette skal være landet deres med grensene rundt.»
NUM.34.14	For stammen til Rubens barn, med alle deres fedres hus, og stammen til Gads barn, med alle deres fedres hus, har allerede fått sin arv. Halvparten av Manasses stamme har også fått sin arv.
NUM.34.15	De to stammene og den halve stammen har fått sin arv på denne siden av Jordan, rett overfor Jeriko, på østsiden mot soloppgangen.»
NUM.34.16	Herren talte til Moses og sa:
NUM.34.17	«Dette er navnene på de mennene som skal skifte landet som arv blant dere: Presten Elasar og Josva, Nuns sønn.
NUM.34.19	Dette er navnene på mennene: fra Juda stamme, Kaleb, Jefunnes sønn,
NUM.34.20	fra Simeons barns stamme: Samuel, Ammihuds sønn,
NUM.34.21	fra Benjamins stamme: Elidad, Kislons sønn,
NUM.34.22	en høvding fra Dans barns stamme: Bukki, Joglis sønn,
NUM.34.23	fra Josefs sønner: en høvding fra Manasses barns stamme: Hanniel, Efods sønn,
NUM.34.24	og en høvding fra Efraims barns stamme: Kemuel, Sjiftans sønn,
NUM.34.25	en høvding fra Sebulons barns stamme: Elisafan, Parnaks sønn,
NUM.34.26	en høvding fra Jissakars barns stamme: Paltiel, Assans sønn,
NUM.34.27	en høvding fra Asjers barns stamme: Akihud, Sjelomis sønn,
NUM.34.28	og en høvding fra Naftalis barns stamme: Pedael, Ammihuds sønn.»
NUM.34.29	Dette er dem som Herren befalte skulle skifte arven mellom Israels barn i Kanaans land.
NUM.35.1	Herren talte til Moses på Moabslettene ved Jordan, rett overfor Jeriko, og sa:
NUM.35.3	De skal ha byene til å bo i. Fellesarealet deres skal være for kveget, buskapen og for alle dyrene deres.
NUM.35.4	Fellesarealet rundt byene, som dere skal gi til levittene, skal strekke seg fra bymuren og 1000 alen utover hele veien rundt.
NUM.35.5	Utenfor byen skal dere måle 2000 alen på østsiden, 2000 alen på sørsiden, 2000 alen på vestsiden og 2000 alen på nordsiden. Byen skal ligge i midten. Dette skal tilhøre dem som fellesareal for byene.
NUM.35.9	Så talte Herren til Moses og sa:
NUM.35.10	«Tal til Israels barn og si til dem: Når dere har gått over Jordan og inn i Kanaans land,
NUM.35.12	Disse skal være tilfluktsbyene deres fra blodhevneren, så drapsmannen ikke skal bli drept før han har blitt stilt for retten foran menigheten.
NUM.35.13	Av de byene dere gir, skal seks være tilfluktsbyer for dere.
NUM.35.14	Dere skal gi tre byer på denne siden av Jordan, og dere skal gi tre byer i Kanaans land, som skal være tilfluktsbyer.
NUM.35.15	Disse seks byene skal være en tilflukt både for Israels barn, for den fremmede, og for den som bor som gjest blant dem, så den som farer vill og slår et menneske i hjel, kan flykte dit.
NUM.35.17	Hvis noen slår en annen med en stein i hånden, en stein stor nok til å drepe med, så den andre dør, da er han en morder. Morderen skal sannelig dø.
NUM.35.18	Eller om noen slår en annen med et redskap av tre, sterkt nok til å drepe med, så den andre dør, da er han en morder. Morderen skal sannelig dø.
NUM.35.21	eller han slår ham med neven på grunn av fiendskap så han dør, da skal den som slo ham, sannelig dø. Han er en morder. Blodhevneren kan drepe morderen når han treffer ham.
NUM.35.22	Men dersom noen plutselig dytter til en annen uten at det er av fiendskap, eller kaster noe på en annen uten å ligge på lur,
NUM.35.23	eller bruker en stein som er stor nok til å drepe en mann, og den faller på ham uten at han ser ham på forhånd, så han dør, men uten at han var hans fiende eller søkte å skade ham,
NUM.35.26	Men dersom drapsmannen noen gang skulle komme utenfor grensene til til-fluktsbyen som han har flyktet til,
NUM.35.27	og blodhevneren finner ham utenfor grensene til tilfluktsbyen, og blodhevneren dreper drapsmannen, da får han ikke blodskyld
NUM.35.28	For han skulle ha blitt i tilfluktsbyen helt til øverstepresten var død. Men etter øversteprestens død kan drapsmannen vende tilbake til jorden som er hans eiendom.
NUM.35.30	Den som slår et menneske
NUM.35.31	Men dere skal ikke ta imot løsepenger for livet til en morder som er skyldig til døden; han skal sannelig dø.
NUM.35.32	Dere skal heller ikke ta imot løsepenger for en som har flyktet til tilfluktsbyen sin, så han kan vende tilbake og bo i landet før presten er død.
NUM.35.34	Landet der dere bor, skal du ikke gjøre urent, der Jeg bor i dets midte. For Jeg, Herren, bor midt iblant Israels barn.»
NUM.36.1	Overhodene for fedrene til slek-tene til Gileads barn, han som var sønn av Makir, Manasses sønn, fra slektene til Josefs sønner, kom nå fram og talte foran Moses og høvdingene, overhodene for Israels barn.
NUM.36.3	Hvis de blir gitt som koner til noen av sønnene fra de andre stammene av Israels barn, da vil arven deres bli tatt bort fra arven til våre fedre, og den blir lagt til arven til den stammen de vil tilhøre. Slik vil den bli tatt bort fra den delen som er vår arv.
NUM.36.5	Da befalte Moses Israels barn etter Herrens Ord og sa: «Det er rett som stammen til Josefs sønner sier.
NUM.36.7	for at arven til Israels barn ikke skal skifte eier fra en stamme til en annen stamme, for alle Israels barn skal holde fast på arven til sine fedres stamme.
NUM.36.9	På denne måten skal ingen arv skifte eier fra den ene stammen til en annen. For hver av Israels barns stammer skal beholde sin egen arv.’»
NUM.36.10	Som Herren hadde befalt Moses, slik gjorde Selofhads døtre.
NUM.36.12	De ble gitt som koner i slektene til barna til Manasse, Josefs sønn, og arven deres ble værende i stammen til deres fars slekt.
NUM.36.13	Dette er de budene og rettsreglene som Herren ved Moses’ hånd befalte Israels barn på Moabslettene ved Jordan, rett overfor Jeriko.
DEU.1.3	I det førtiende året, i den ellevte måned-en, på den første dagen i måneden, skjedde det: Moses talte til Israels barn alt det Herren hadde befalt om dem,
DEU.1.5	På den andre siden av Jordan, i Moabs land, begynte Moses å utlegge denne loven og sa:
DEU.1.7	Snu og dra mot amorittenes fjell, til alle stedene som ligger omkring på sletten,
DEU.1.11	Må Herren, deres fedres Gud, gjøre dere tusen ganger mer tallrike enn dere nå er, og velsigne dere slik Han har lovt dere!
DEU.1.13	Ta ut fra stammene deres noen vise forstandige og innsiktsfulle menn, og jeg skal sette dem til overhoder
DEU.1.14	Dere svarte meg og sa: ‘Det du har sagt vi skal gjøre, er godt.’
DEU.1.18	På den tiden befalte jeg dere alt det dere skulle gjøre.
DEU.1.20	Jeg sa til dere: ‘Dere har kommet til amorittenes fjell, som Herren vår Gud gir oss.
DEU.1.22	Da kom dere alle fram til meg og sa: ‘La oss sende noen menn i forveien, så de kan utforske landet for oss. Når de kommer tilbake, kan de gi oss melding om hvilken vei vi skal dra opp dit, og om de byene vi kommer til.’
DEU.1.24	De la ut og dro opp i fjellene og kom til Esjkoldalen, og de speidet på landet.
DEU.1.25	I hendene tok de med seg av landets frukt ned til oss. De hadde melding med tilbake til oss og sa: ‘Det er et godt land som Herren vår Gud gir oss.’
DEU.1.29	Da sa jeg til dere: ‘Vær ikke skrekkslagne eller redde for dem!
