MAT.1.1	Aanna Yisuu Kirisiinna oyaiya kuavai. Aaparahaamooya Davuitiiya oyaivakidiri Yisuuva diiteeravai.
LUK.1.14	Fai itaino i ausaivo yoketainai a sirigainaravai. Fai kaayau gioonna kiaapuuyaatama inna mmatoovaara fai sirigakiaaravai. 
LUK.1.15	Fai ivo Udaanga Anutuuqaa avuuvau nnoonna vaidivai varinaravai. Sa tino too ivo vuaina nnooriivaata kapikarai nnooriivaatama nnaivee. Ari mmatai suaivakidiri Mmannasa Yoketaivo fai inna aakiaivaki varioo suvuainaravai. 
LUK.1.16	Fai ivo gioonna kiaapu Isarairaiya tinai rikiada fai kaayau saiyaano hanigiada Udaanga Anutuuqaa kuaivaa keenaa rikiaaravai. 
LUK.1.17	Fai ivo Udaangaivaa tauraa vioo nnaaruaa vaidi forofetaa Irayaanna roosiima fai yaagueeqama varinaravai. Fai ngiari kookiaiya voovau varikiai ngiari mmaapuuya voovau varikiai fai yapooma ivoono iya tinai teeda mmuaavau yoketaama variaaravai. Gioonna kiaapuuya Anutuuqaa kuaivaa rikiadaata yaatareeraiya fai ivo iya tinai hanigiada safuuma variaiya tinni yoketaira aataruuvau nnaasu variaaravai. Ivo gioonna kiaapuuya tinai iya ngiari Udaangaivo nninaraivaara teerakiaaravaivee, tiravai.
LUK.1.18	Tuduu rikioo Sakariaaso tunoo: Dataama na i kuaivaa rikino kutaavai vainarannee? Na ngiaabai kiauko ni naataivo yotera kiainoo, 
LUK.1.19	tuduu rikioo ivo inna sai tunoo: Ni nnutuuvo Gavirieerovee. Na Anutuuqaa avuuvau diaunoo. Ivoono ni titaikiai tiee aa na kua kiau mmayaaya yoketaa aavaa i kiaa i mminara tummuauvai. 
LUK.1.20	Hama a ni kua aavaara kutaavaivee kiannanoo. Anutuuqo mmataama kiai suaivaki fai ni kuaivaa kaanaivo vainaravai. A hama ni kuaivaara kutaavaivee kiannaivaara fai hama a kua tinaravai. Fai a kua seemuaa varieennanna fai na i kiaa i mmiau kuaivo kutaavai vainai rikiee fai a kava kua tinaravaivee, tiravai.
LUK.1.21	Gioonna kiaapuuya mmaanai Sakariaasaara faannaida varida ivo hokoba suai nuunaira nnau pinaivaki varuuvaara yaata utida varuduu 
LUK.1.22	ivo mmaanai tuoo hama iyaata kua tira kua seemuaa varuduu iya yaata utida tunoo: Vaa ivo mmannasa ari vookaraivaa nuunaira nnau pinaivaki taivaivee, tuduu rikioo ivo hama yopeema iya kua sai tirainno mmanna yaakuuvaadiri iya vita vitairavai.
LUK.1.23	Vita vitauduu yapooma nuunaira nnau pinaivaki ari mmoori varoovo taikooduu rikioo ari nnauvakira viravai. 
LUK.1.24	Vioo vioo oro hara kioo varududuu nnaagiai ari nnaataivo Irisaveeto nnaakara sunnainno yaaku sai kuraagavai ari nnauvaki nnaasu hara kioo variravai. 
LUK.1.25	Hara kioo varioo tunoo: Udaanga Anutuuqoono niiyara yoketaavaivee kiaa kioo nnaakaraivaa ni mikiai hama na gioonna kiaapuuya avuuvau mmannammanna mmamma maisakiauvai. Vaa taika kiaivaivee. Irisaveeto itaa kua tiravai.
LUK.1.26	Irisaveeto kuraaga yaaku saivai sainaidiri mmuaa kuraagavai nnaakara sunnainno varuduu Anutuuqo aangeraivaa nnutuuvo Gavirieeraa titooduu ivo tuoo mmata Karirayaa vau yoosinna Nasareeta ivakira viravai. 
LUK.1.27	Vioo kiaatanna hama vaidi tasipama varuuvaa Anutuuqaa kuaivaa kiaa mminara viravai. Davuitiinna oyaivakidiri diitoo ngiaammuauvaa nnutuuvo Yoosiipo ii kiaatanna ivaa varaanara kuaivaa kiaa teerama kieeravai. Ii kiaatanna ivaa nnutuuvo Mariaavavee. 
LUK.1.28	Aangeraivoono numa inna tunoo: A yoketaamainna variannannee? Udaanga Anutuuqo i too kaayauma aiyara yoketainoo. Ivo i tasipama varinoo, 
LUK.1.29	tuduu rikioo Mariaava aangeraivo tuu kuaivaara ari vo vuayaatavai utuoo oyaivaara kaayauma yaata utiravai. 
LUK.1.30	Yaata utuduu rikioo aangeraivo Mariaanna tunoo: Mariaa-o, sa aatuukianee. Anutuuqo a variannaivaa too kaayauma aiyara yoketainoo. 
LUK.1.31	Fai yapooma a nnaakara sunnainna mmaapuvai mmata kiee inna nnutuuvaa Yisuuvavee kianee. 
LUK.1.32	Fai ivo kieetavai varinai gioonna kiaapu mmatayaiya innara kiaara: Anutuuqo mmuakiaa mminnamminnaavai yaataraivaa Mmaapuvovee, kiaaravai. Udaanga Anutuuqo tino fai ivo ari nnaakunna Davuitiinna mmaataivau kieetavai varinaravai. 
LUK.1.33	Fai ivo tupatupaa Yakoopaa uru nnaakaraiyara dinaravai. Dioo vainono fai hama inna diraivo taikaanaravaivee, tiravai.
LUK.1.34	Tuduu rikioo Mariaava aangeraivaa tunoo: Na kiaatannavai variee hama na vaati varauvai. Na dataama kiee nnaakara sunnainarannee? 
LUK.1.35	tuduu rikioo aangeraivo inna sai tunoo: Mmannasa Yoketaivoota Anutuuqo mmuakiaa mminnamminnaavai yaataraivaa yaagueeqaivootama i rummua apinaravai. Itaama vaikiai a nnaakara sunnaakiannaivaara gioonna kiaapuuya i nnaakaraivaara kiaara: Ivo yoketaa tuanaa ari vookaraivai. Ivo Anutuuqaa Mmaapuvaivee, kiaaravai. 
LUK.1.36	Ai nnayaanna Irisaveetaara yaata utuee rikiaanee. Ivo hama nnaakara mmatainoo kiaavo ivo yoteravai varioo vaa nnaakara sunnainoo. Inna kuraagaivo yaaku saivai sainaidiri mmuaavai vaa taikainoo. 
LUK.1.37	Anutuuqo inna mmuakiaa mmoori aataruvai iira nakaaraivo fai ivo iinaree kiaa kioo fai aikiooma iinaravaivee, 
LUK.1.38	tuduu rikioo Mariaava inna sai tunoo: Na Udaanga Anutuuqaa mmoori varau kiaatannavaivee. Kii ivo a kianna kuaivaa ni iikiaivee, tuduu rikioo aangeraivo inna pikioo viravai.
LUK.1.39	Vuduu nnaagiai kiisa suaivo taika kiooduu Mariaava diitoo taapi suvuau yoosinnaivakira akiairauduu vioo vioo oto Yutayaa mmataivaki vau yoosinna kiisa voovakira viravai. 
LUK.1.40	Vioo vioo oro Sakariaasaa nnauvaki vioo tooduu Irisaveeto ivaki varuduu too inna tunoo: A yoketaamainna variannannee? 
LUK.1.41	tuduu rikioo Irisaveeto Mariaanna kuaivaa rikioo saivaata inna nnaakaraivo inna ausaivaki korokorooravai. Korokorooduu Mmannasa Yoketaivo inna yaagueeqama tasipama varuduu 
LUK.1.42	ivo pinaa kuavai tioo inna tunoo: Anutuuqo aiyara yoketairaivo mmuakiaa gioonnaiyara yoketairaivaa yaataraivai. Ii i nnaakara a mmataanara ivaara Anutuuqaa yoketainoo. 
LUK.1.43	A ni Udaangaivaa kaano variannaikua aaniira a niiyara yaata utuee niisi ngiannano ni yoketainnee? 
LUK.1.44	A niisi ngiee niiyara yoketaavee kiannani na rikiau saivaata ni nnaakaraivo inna yoketaikio korokoroonoo. 
LUK.1.45	Anutuuqo i kiaa i mmuu kuaivaa kutaa iinaravee kiannaivaara Anutuuqo aiyara yoketaikiai a yoketaakiannanoo, tiravai.
LUK.1.46	Tuduu Mariaava tunoo:
LUK.1.46	Ni Udaangaivaara kaayauma ni yoketainoo.
LUK.1.47	Anutuuqo aataru maisaivakidiri
LUK.1.47	ni vitaanaraivaara ni yoketainoo.
LUK.1.48+LUK.1.49	Na mmanna kiaatannavai variee
LUK.1.48+LUK.1.49	inna mmoori varee variauvaara
LUK.1.48+LUK.1.49	niiyara yaata utiivaara ni yoketainoo.
LUK.1.48+LUK.1.49	Anutuuqo yaagueeqama variivoono
LUK.1.48+LUK.1.49	ari vookarai aataruuvaa niiyara iivaara
LUK.1.48+LUK.1.49	mmuakiaa gioonna kiaapu aa ta variaunnaiyaata
LUK.1.48+LUK.1.49	nnaagiai variaaraiyaatama
LUK.1.48+LUK.1.49	niiyara yoketaavaivee kiaaravai.
LUK.1.48+LUK.1.49	Anutuuqaa nnutuuvo yoketaa tuanaa
LUK.1.48+LUK.1.49	ari vookaraivai vaivai.
LUK.1.50	Nnaaru varuuyaatama
LUK.1.50	aanna makee ta variaunnaiyaata
LUK.1.50	nnaagiai variaaraiyaatama
LUK.1.50	Anutuuqaara mmuduuya rikio
LUK.1.50	fai Anutuuqo iyara boo tinaravai.
LUK.1.51	Gioonna kiaapuuya ngiariiyara mannaka tida
LUK.1.51	ngiariiyara nnaasu yaata utuuya
LUK.1.51	Anutuuqo yaagueeqama iya titooduu
LUK.1.51	vida raubiriida variravai.
LUK.1.52	Anutuuqo vaidi kieeta yaagueeqauya
LUK.1.52	vitoo aduoo yapeeravai.
LUK.1.52	Vaidi kumina aduoo varuuya
LUK.1.52	vitoo aruoo yapeeravai.
LUK.1.53	Gioonna kiaapu yeenna rauya
LUK.1.53	ivo yeennaiyauvaa iya mmuduu iya suvuairavai.
LUK.1.53	Gioonna kiaapu hoona suvuauya
LUK.1.53	ivo titooduu kuminaya viravai.
LUK.1.54	Ari kua kutaivaa nnaaru ti taato nnaakukiaiya
LUK.1.54	kiaa mmuuvaa iinno
LUK.1.54	ari mmoori vareera gioonna kiaapu
LUK.1.54	Isarairaiya tasipama varuduu
LUK.1.54	iya yoketaama variravai.
LUK.1.55	Ivo Aaparahaamaaraata
LUK.1.55	ari uru nnaakaraiyaraatama
LUK.1.55	hama taunniravai.
LUK.1.55	Iyara tupatupaa boo tiravaivee.
LUK.1.56	Mariaava itaa kua kiaa taika kioo Irisaveetaa tasipama varioonnonno taaravooma kuraaga taa kioo ari yoosinnara viravai.
LUK.1.57	Mariaava vuduu Irisaveeto nnaakara mmataanara suaivo vainima nnuduu mmaapuvai mmateeravai. 
LUK.1.58	Mmata kiooduu mmuaa yoosinna varuuyaata ari seena tuanaiyaatama Anutuuqo innara kaayauma boo tuduu nnaakaraivaa mmata kioo kuaivaa rikiada inna tasipama sirigairavai.
LUK.1.59	Sirigama kiooduu varududuu suaivo yaaku saivai sainaidiri taaravooma suaivo nnuduu rikiada gioonna kiaapuuya nnaakaraivaa mmammaivaa hatokaara nnida ari koonna nnutuuvaa Sakariaaso innara kiaara uuduu 
LUK.1.60	ari kaanoono ooqoo tioo tunoo: Sa itaa kua kiatee. Inna nnutuuvo Yuvuaanovee, 
LUK.1.61	tuduu rikiada inna tunoo: Hama i seena voovoono aa nnutu aavaa varaivaivee, 
LUK.1.62	kiaa kiada iya ngiari yaakuuyauvaadiri koova inna nnutuuvaa kiaiveera mmata mmatairavai. 
LUK.1.63	Mmata mmatauduu too Sakariaaso yanaivau fafaara raanaraivaara tuduu oro varada inna mmuduu fafaara roo tunoo: Inna nnutuuvo Yuvuaanovee, tuduu rikiada mmuakiaaya kaayauma nnikiarairavai. 
LUK.1.64	Iya nnikiarau saivaata Sakariaasaa mmaakiriivo korooduu kava kua tioo Anutuuqaara kua yoketaivaa tiravai. 
LUK.1.65	Tuduu inna seena mmuakiaaya nnikiaraida aatuuda variravai. Varuduu mmuakiaa gioonna kiaapu Yutayaa mmataivau kaayau taapi suvuauvaki varuuya ii mmayaaya ivaa rikiada kaayau kua tiravai. 
LUK.1.66	Kua tida ngiari yaata tinniyaa vau kuaivaa yaata utida tunoo: Aa nnaakara aavo yokeenno fai dee mmoorivai iinarannee? kiaa kiada Udaanga Anutuuqo inna tasipama varuuvaa rikiada itaa kua tiravai.
LUK.1.67	Nnaakaraivaa koonna Sakariaasaa aakiaivaki Mmannasa Yoketaivo suvuai kiooduu iva nnaagiai varinaraivaara kuaivaa kiaa kookieema kioo tunoo:
LUK.1.68	Kii ta gioonna kiaapu Isarairaiya
LUK.1.68	Udaanga Anutuuqaara kiaara:
LUK.1.68	Yoketaavaivee, kiaaravee.
LUK.1.68	Ivo ari gioonna kiaapuuya ti tasipama iinno
LUK.1.68	ti mminnamminnaa maisaiyauvaa
LUK.1.68	irisaivaa yapaivaara ta innara kiaara:
LUK.1.68	Yoketaavaivee, kiaaravee.
LUK.1.69	Vaa ivo ari mmoori vareera vaidiivaa Davuitiinna
LUK.1.69	oyaivakidiri vaidi voovai vita yapa kiaikio
LUK.1.69	fai ivoono yaagueeqama varioo ti vitoo
LUK.1.69	aataru yoketaivau ti yapaanaravai.
LUK.1.70	Ivaara Anutuuqo nnaaruaa vaidi
LUK.1.70	forofetaa yoketaa tuanaiya
LUK.1.70	ari kua kutaivaa kiaa mmioo tunoo:
LUK.1.71	Na ngii nnammutuaiya yaataree
LUK.1.71	mmuakiaa gioonna kiaapuuya
LUK.1.71	hama ngiiiyara mmuduuya ruaiya yaataraanaravaivee, 
LUK.1.72	kiaa kioo tunoo:
LUK.1.72	Na ngii taato nnaakukiaiyara boo kiaivaara
LUK.1.72	na kua kiaa teerama kiaivaa fai na iinaravaivee.
LUK.1.72	Na kua yoketaa tuanaivaa yeena rau kioovaa
LUK.1.72	iya kiaa mmuuvaa hama taunnukiaanaravaivee,
LUK.1.73+LUK.1.74+LUK.1.75	kiaa kioo ti nnaakunna Aaparahaamaa
LUK.1.73+LUK.1.74+LUK.1.75	ari kua kutaivaa tiiyara tunoo:
LUK.1.73+LUK.1.74+LUK.1.75	Na iya nnammutuaiya yaataree
LUK.1.73+LUK.1.74+LUK.1.75	yoosinna yoketaivaki iya yapa kinai
LUK.1.73+LUK.1.74+LUK.1.75	mmuakiaaya ngiari varira suaivaki
LUK.1.73+LUK.1.74+LUK.1.75	iya ni mmooriivaa varada
LUK.1.73+LUK.1.74+LUK.1.75	hama aatuuda variaaravai.
LUK.1.73+LUK.1.74+LUK.1.75	Iya yoketaama safuuma ni avuuvau variaaravaivee.
LUK.1.73+LUK.1.74+LUK.1.75	Anutuuqo itaa kua tiravai.
LUK.1.76	Sakariaaso itaa kua kiaa kioo ari mmaapuuvaa tunoo:
LUK.1.76	Ni maapu-o, eenoo Udaangaivaa tauraa viee
LUK.1.76	innani aataruuvaa teerama kinai
LUK.1.76	fai gioonna kiaapuuya aiyara kiaara:
LUK.1.76	Anutuuqo mmuakiaa mminnamminnaavai
LUK.1.76	yaataraivaa forofetaakuavee, 
LUK.1.77	tikiai
LUK.1.77	a gioonna kiaapuuya kiaa mmiee tinara:
LUK.1.77	Ngiingii mminnamminnaa maisaiyauvaa
LUK.1.77	Anutuuqaa kiaa kookieema kikio
LUK.1.77	fai ivo ngii mminnamminnaa maisaiyauvaa
LUK.1.77	ruga kioo ngii vita yoketaivau
LUK.1.77	yapaanaravaivee, tinaravaivee.
LUK.1.78	Ivo ngiau aapuuvakidiri
LUK.1.78	mmeekia tai vaidiivaa titano tuoo
LUK.1.78	mmuakiaaya tiiyaa taanaravai.
LUK.1.79	Gioonna kiaapu vooya upisiivaki varida
LUK.1.79	putiraivaara aatuukiaiyayaa
LUK.1.79	taiveeraivaara titano tiinaravai.
LUK.1.79	Ivoono fai ti vitoo
LUK.1.79	ausa nuufa tasipama varira aataruuvaa
LUK.1.79	ti vitaakiaiveera titano tiinaravaivee.
LUK.1.79	Sakariaaso itaa kua tiravai.
LUK.1.80	Itaa kua kiaa kioo varuduu ari mmaapuuvo varioonnonno yokeema kiooduu rikioo inna mmuduuya riraivo pinaama Anutuuqaara vauduu ivo koo mmuyai gaanga yoosinnaivaki varioonnonno gioonna kiaapu Isarairaiya avuuvau kooyaa nninara suaivaara faannairavai.
LUK.2.1	Ii Yuvuaanaa mmatoo suai ivaki yoosinna Rooma diaa vaidi kieeta pinaa voovai nnutuuvo Akusuuva gioonna kiaapu mmuakiaa yoosinnaiyauvaki varuuya nnutuuyauvaa raateeraivaara ari ngiaammuauya titooduu inna kuaivaa varada nuairavai. 
LUK.2.2	Ii toosa hara kioo nnutuuyauvaa reera suai ivaki vaidi voovai nnutuuvo Kuriniaaso yoosinna Suriaa gioonna kiaapuuyara diravai. 
LUK.2.3	Duduu gioonna kiaapuuya ngiari diitada nnuu yoosinnaiyauvakira vida ngiari nnutuuyauvaa raateeraivaara viravai.
LUK.2.4	Vuduu Yoosiipo Karirayaa vau yoosinna kiisaivaa nnutuuvo Nasareeta ivakidiri pikioo Yutayaa vau yoosinna kiisaivaa nnutuuvo Pitiriheema ivakira viravai. Ii yoosinna ivakidiri nnaaruaa vaidi kieeta Davuitiinna kaano inna mmateeravai. Yoosiipo Davuitiinna oyaivakidiri diitoovaara ivakira viravai. 
LUK.2.5	Yoosiipo ari nnaata kua kiaa kioovaa nnutuuvo Mariaava vaa nnaakara sunnauvaatama vitoo ngiari nnutuuvaitana raateeraivaara viravai. 
LUK.2.6+LUK.2.7	Vidada oro Pitiriheema variaaraivaara tooduu vaa vida nnida vaira nnauvo suvuai kiooduu taaravaitana puaraiya yeenna nneera nnauvaki variravai. Varuduu Mariaava nnaakaraivaa mmataanara suaivo nnuduu ari mmaapu ngarunna mmata kioo too buruqaivaadiri rurauma kioo puaraiya yeenna nneeraivaki yapeeravai.
LUK.2.8	Iqii yoosinna ivaa tooyaivaki puara sipisiipara haitatuuraiya heenaki mmuyau koovau puara sipisiipaiyara haitatuuda variravai. 
LUK.2.9	Haitatuuda varuduu Udaangaivaa aangeraivo iyasi tuuduu Udaangaivaa mmeekiaivo iyayaa ruvuaahooduu teeda pinaama aatuuravai. 
LUK.2.10	Aatuuda varuduu aangeraivo iya tunoo: Sa aatuukiatee. Rikiaatee. Na aapi tiee kua yoketaivaa mmuakiaa gioonna kiaapuuya kiaa mminai rikiada ivaara sirigakiateeraivaara ngiiisi tummuauvaivee. 
LUK.2.11	Aa heena aavaki Davuitiinna yoosinnaivaki gioonna voovoono nnaagiai ngii vitaanara vaidiivaa vaa mmataivai. Vaidiivaa Anutuuqo mmataama kioovaa nnutuuvo Udaanga Yisuu Kirisiinna ngiiini mmataivai. 
LUK.2.12	Fai ngia ni kuaivaara taara yaata utida ngiengieenoo oro taatee. Teekio vaa nnaakaraivaa buruqaivaadiri rurauma kioo puaraiya yeenna nneeraivaki yapa kiaikio vaivaa teeda fai ngia kiaara: Kua kutaavaivee, kiaaravaivee.
LUK.2.13	Aangeraivo itaa kua tuu saivaata kaayau aangeraa vooyaata tiida inna tasipama iida varida Anutuuqaara kua yoketaivaa tida tunoo:
LUK.2.14	Anutuuqo mmuakiaa mminnamminnaavai
LUK.2.14	yaataraivaa oyai ari vookaraivo vainoo.
LUK.2.14	Gioonna kiaapu mmatayaa variaiya
LUK.2.14	Anutuuqo iyara yoketaiya
LUK.2.14	inna ausa nuufaivo iya tasipama vakiaivee, tiravai.
LUK.2.15	Kiaa kiada iya pikiada ngiau aapu vuduu teeda puara sipisiipara haitatuura vaidiiya ngiari kiaa mmi ngiari kiaa mmiida tunoo: Vikiai ta oro Pitiriheema ivaki Udaangaivo aangeraivaa tikio tuma ti kiaa ti mmii mminnaivaa taara kuaaravee, 
LUK.2.16	kiaa kiada akiairauduu oro tooduu Mariaaya Yoosiipooya hara kiada varuduu nnaakaraivo puaraiya yeenna nneeraivaki vairavai. 
LUK.2.17	Vauduu teeda nnaakaraivaara aangeraivo iya kiaa mmuu kuaivaa gioonna kiaapuuya kiaa mmiravai. 
LUK.2.18	Kiaa mmuduu rikiada mmuakiaa gioonna kiaapuuya puara sipisiipara haitatuura vaidiiya tuu kuaivaara pinaama yaata utiravai. 
LUK.2.19	Yaata utuduu Mariaava iya tuu kua mmuakiaavai mmannammanna yaata utu kioo nnaasu variravai. Hama taunniravai. 
LUK.2.20	Puara sipisiipara haitatuura vaidiiya kava vara ranada vida aangeraivo iya tuu kuaivaa kaanaivaa toovaaraata mmuakiaa kuavai ivaara tuuvaa rikioovaaraatama kua yoketaivaa Anutuuqaara kiaa rada viravai.
LUK.2.21	Yaaku saivai sainaidiri taaravooma suaivo taika kiooduu rikiada iya nnaakaraivaa mmammaivaa hatokada inna nnutuuvaa tunoo: Yisuuvavee, tiravai. Nnaakaraivo kaanaa ausaivaki hama varuu suaivaki inna nnutuuvaa aangeraivo itaa kua tiravai.
LUK.2.22	Gioonnaiya vaa nnaakaraiya mmata kiada kabaa nnauvaa pikiada kava vara ranada ngiari nnauvaki nnida yoketaama varuuvaara Udaanga Anutuuqaa mmaanna tuu kua voovai vairavai. Yoosiipooya Mariaaya ii mmaanna tuu kua ivaa iikiaara suaivo nnuduu rikiada Yerusareema vida ngiari nnaakaraivaa Udaangaivaa mmiaara viravai. 
LUK.2.23	Ii mmaanna tuu kua ivo tunoo: Ngia mmuakiaaya ngiingii mmaapu ngaruuyauvaa vitada ni mi kiada kiatee: Inna ainiyauvaivee, kiaa kiada niini yapaatee, tiravai. 
LUK.2.24	Yoosiipooya Mariaaya Anutuuqaa mmaanna tuu kua voovai vauvaa iikiaara vida ngiaamma mirunna taaramannee vuaheenna roosuu nnaakaraivaitana varada hudaara viravai.
LUK.2.25	Vuduu vaidi yoketaa voovai yoosinna Yerusareema varuuvaa nnutuuvo Simioono ivo Anutuuqaa mmayaayaivaara yaagueeqainno Isarairaiya vitaanara vaidiivaara faannainno varuduu Mmannasa Yoketaivoono inna tasipama variravai. 
LUK.2.26	Vaa tauraa Mmannasa Yoketaivo inna kiaa mmioo tunoo: Fai hama a putirainna mmannammanna hara kiee variee Isarairaiyara Anutuuqo mmataama kioo vaidiivaa tee nnaagiai putinaravaivee, tiravai. 
LUK.2.27	Nnaagiai Mmannasa Yoketaivo Simioonaa yaagueeqama tasipooduu rikioo ivo nuunaira nnau pinaivaki oro hara kioo varuduu Isarairaa gioonna kiaapuuya tupatupaa mmaanna tuu aataruuvaa iirayaama Yisuunna kaano koovaitana iikiaara inna vitada nnuduu 
LUK.2.28	Simioono Yisuunna sootu pabaanama tu kioo vainno Anutuuqaara kua yoketaivaa tioo tunoo:
LUK.2.29	Udaanga-o, a nnaaru kua kutaa tunnaivaa
LUK.2.29	aanna vaa na taunoo.
LUK.2.29	Fai na i mmoori vareera vaidiivo
LUK.2.29	ausa nuufa tasipama putinaravai.
LUK.2.30	Ivo ti vitoo yoketaivau yapaanaraivaa
LUK.2.30	vaa na ni avuuvaadiri taunoo.
LUK.2.31	Eenoo mmuakiaa gioonna kiaapuuyani
LUK.2.31	inna teerama kiaannaivo tiivaa
LUK.2.31	makee na tauko nninoo.
LUK.2.32	Ivo mmeekia taivaa roosiima
LUK.2.32	gioonna kiaapu ngiari voopinnaiya
LUK.2.32	yoketaa aataruuvaa kooyaa vitainaravai.
LUK.2.32	Vitaama kinai ii gioonna kiaapu Isarairaa
LUK.2.32	iyakidiri diitaivaara
LUK.2.32	mmuakiaa gioonna kiaapuuyaano
LUK.2.32	iyara kua yoketaivaa kiaaravaivee.
LUK.2.32	Simioono itaa kua tiravai.
LUK.2.33	Tuduu Yisuunna kaano koovaitana Simioono tuu kuaivaara nnikiarauduu 
LUK.2.34	Simioono kua yoketaivaa iya kiaa mmi kioo nnaakaraivaa kaanaa Mariaanna tunoo: Aa nnaakara aavaa Anutuuqoono mmataama kiai aavaara gioonna kiaapu Isarairaiya fai vooya inna mmooka hanigia mmikiai vooya innara yoketaakiaaravai. Anutuuqo innaadiri atau roosiima yapa kinai fai gioonna kiaapuuya innara maisa kua tikio rikioo 
LUK.2.35	fai ngiari yaatana vai kuaivo kooyaa vainaravai. Paipaivo avaikaraivaa roosiima fai mmuaararaivo i aakiaivaki nninaravaivee. Simioono itaa kua tiravai.
LUK.2.36	Gioonna forofetaa voovai nnutuuvo Anaava ivo Asereenna oyaivakidiri diitoo varuuvaa koonna nnutuuvo Panueerovee. Ivo vaatiivaa varoo inna tasipama varuu nuanuuvo yaaku saivai karasaidiri taaravaitana taika kiooduu vaatiivo putiravai. 
LUK.2.37	Putuduu too muaadavai hara kioo varududuu kaayau nuanu (84) taika kiooduu ivo yotera kieeravai. Yotera kioo hama ivo nuunaira nnau pinaivaa pikieerama kioo ivo heenaivaa pataivaa nuunama kioo Anutuuqaa ari ausa mmuduuyaivaa mmioo vo suai vo suai yeennaivaa pikioo kati varioo Anutuuqaara yaaku vareeravai. 
LUK.2.38	Simioono kuaivaa kiaa taika kioo suaivaki ivo ngioo nnaakaraivaara Anutuuqaata kua yoketaivaa kiaa kioo innara gioonna kiaapuuya kiaa mmiravai. Anutuuqo titano tuoo Yerusareemaiya yookaama kioo vitoo yoketaivau yapaanara vaidiivaara mmuakiaa gioonna kiaapu innara faannauya ivo nnaakaraivaara kiaa mmiravai.
LUK.2.39	Kiaa mmuduu Yoosiipooya Mariaaya Udaanga Anutuuqaa mmaanna tuu aataruuvaa iima taika kiada kava vara ranada ngiari yoosinna Karirayaa vau yoosinna kiisaivaa nnutuuvo Nasareeta viravai. 
LUK.2.40	Oto ivaki varuduu nnaakaraivo yokeenno pinaa kiooduu inna tinniivo ari vookarauduu Anutuuqo innara kaayauma mmuduuya ruoo innara yoketairavai.
LUK.2.41	Vo nuanu vo nuanu Yisuunna kaano koovaitana Yerusareema vida buusaivaa nnutuuvo Varaigiataivaa nneeravai. 
LUK.2.42	Nnaagiai Yisuunna nuanuuvo yaakuuvaitana yukukidiri taaravaitana taika kiooduu teeda iya vida Yerusareema Varaigiataa buusaivaa ngiari nneerayaama nnaara viravai. 
LUK.2.43	Oro iya varida yeenna nneedada yapooma yeenna nneera suaiyauvo taika kiooduu iya ngiari yooqee kava vara ranada viravai. Vida varuduu ngiaammuau kiisa Yisuuva homo Yerusareema variravai. Varuduu kaano koovaitana hama innara rikieeraida 
LUK.2.44	ivo ngiari seena gioonna kiaapuuya tasipama vaa kuainoo kiaa kiada mmuaa suaivai vidada heenauduu innara buaidada tooduu hama ivo ngiari seenaiyaata ngiari oyaiyaatama tasipama variravai. 
LUK.2.45	Hama iya tasipama varuduu iya kava vara ranada Yerusareema nnida innara buaakiaara nniravai. 
LUK.2.46	Nnida innara buaidada tooduu taaravooma suaivo taika kiooduu ivo iya too vairavai. Vaa ivo nuunaira nnau pinaivaki vaidi Yutayaiya vitaira vaidiiyaatama varioo iya kuaivaa rikioo ivaara iya yaparairavai. 
LUK.2.47	Yaparauduu rikiada mmuakiaaya inna kua rikiooya inna tinni ari vookarauvaudiri iya sai tuuvaara nnikiarairavai. 
LUK.2.48	Nnikiaraida ivau varuduu kaano koovaitana numa inna teeda kaayauma nnikiaraida yaaku vuatavuataida varida kaano tunoo: Ni maapu-o, a aaniira ti pikiee itaama nookiannannee? Rikiaanee. I koovaata neetama pinaama ti ausaivaitana mmuaararaikiai ta pinaama aiyara buaama rada nookiaunnanoo, 
LUK.2.49	tuduu rikioo iva sai tunoo: Mo ngia aaniiraida niiyara buaama rada nookiaannee? Na inna aikiooma ni Napoonna nnauvaki hara kiee variauvaa hama ngia tuqinnama teeda rikiaannee? 
LUK.2.50	tuduu rikiada ivo iya tuu kuaivaa hama iya arinaima rikieeravai.
LUK.2.51	Hama iya rikiooduu Yisuuva iya tasipama vara ranoo vioo Nasareeta varioo iya kuaivaa rikiooduu ari kaanoono inna kuaivaata inna mmooriivaatama ari yaata tinniivaki yapeeravai. 
LUK.2.52	Yisuuva yokeenno varuduu ari tinniivo ari vookarauduu gioonna kiaapuuya innara yoketauduu Anutuuqootama innara yoketairavai.
LUK.3.1	Vaidiivaa nnutuuvo Tiperiaava Roomaaya kieetavai dioo vainno nuanu yaakuuvaitana yuku saivai taika kiooduu homo ivo iya kieetavai diravai. Duduu vaidiivaa nnutu vuaivo Podiiva vuaivo Piratuuso gioonna kiaapu Yutayaiyara duduu Herooto gioonna kiaapu Karirayaiyara diravai. Duduu inna vayaava Piriipo gioonna kiaapu Iturayaiyaraatama mmata pinaivaa nnutuuvo Tarakonitiinga ivaki varuuyaraatama duduu vaidi Rusaniiva gioonna kiaapu Avireneeyara diravai. 
