GEN.1.1	Kechengsi, Arnam sining-heihei lapen pirthe kepinchong ahut, 
1SA.3.2	Ningve isi, Eli, la nonke amek kave asonlo, amethang angdeng amekjang-lo; 
1SA.3.3	Samuel ke kangthir-et kechejok aloh asinduk kedo adimsi amekjang-lo. Theang-e aphrang melur ame karbomlang, 
1SA.3.4	Samuel aphan 
1SA.3.5	lapen Eli along katsi pulo, “Nangli neliphan nangkehangma? Lasi neli kevang-lo.”
1SA.3.5	Bonta Eli thak-lo, “Ne nangphan nanghang longle! Nanghongplang anat chedamthunon.” Lasi ahongplang anat Samuel chedamthulo.
1SA.3.6	Samuel aphan 
1SA.3.7	Lasi la thursi Eli along damlo, lapen pulo, “Nangli nehangma, lasi neli kevang-lo.”
1SA.3.7	Bonta Eli thak-lo, “Ne nangphan hanghe, po! Da, hongplang anat chedamnon.”
1SA.3.8	Batai kethom aphong Samuel aphan 
1SA.3.8	Ansi Eli chinilo, la 
1SA.3.9	lasi la aphan alangli pulo, Hongplang along chedamnon, lapen Alangli nangphan nanghangthu lote thakdunnon,
1SA.3.9	Nethannon, 
1SA.3.11	La aphan 
1SA.3.12	Halaso arni Eli ahemtun aphuthak Ne keputang alam an kecheng pen kejut an pachekok-vekpo. 
1SA.3.13	Ne la aphan putang-lo, la ahemtun aphan Ne aduk-pivekji kaiketa, pima la asomar atum nebe thursi kehingno alam-heihei ningjelo. Latum lahei klemtang-lo pu Eli chini, bonta latum aphan la pangtonkok ke det-lo. 
1SA.3.14	Lasi Ne ahokpet pen Eli ahemtun aphan pathiktang-lo, laso kephere-meme apap ale kechamji aphan jat athok-ajir pen seta pakak un-elo.”
1SA.3.15	Adap anta Samuel hongplang alongsi dolang; anke la thursi 
1SA.3.16	La aphan Eli hang-lo, “Sopo, Samuel!” “Kopilo, akehai,” Samuel thak-lo.
1SA.3.17	“Nangphan 
1SA.3.18	Lasi la aphan kedo-an alamta Samuel than-et-lo; la pen ajat asonta patute det-lo. Lapen la pulo, “La 
1SA.3.19	Samuel thebomsi la along 
1SA.3.20	Lasi Israel atum kedo-an det ehin pen kejut ahin anta Samuel ke 
1SA.3.21	Shiloh along Samuel aphan kecheklang lapen kethan adim 
1SA.4.1	Halaso ahut Philistia atum chingrumpetsi Israel pen ron kechedanjisi damlo, lasi Israel atum halatum pen kechedanjisi barlo. Israel atum Ebenezer pu adimsi mukam chekimlo, lapen Philistia atum ke Aphek pu adimsi chekimlo. 
1SA.4.2	Philistia atum tengkheng-lo lapen ron chedan-o aphi halatum Israel aphan paremdet-lo, lapen ron aklam along bang suriphli amonit pathilo. 
1SA.4.3	Ahin kerenglang atum mukam chevangsi Israel ajalin atum pulo, “Pini 
1SA.4.4	Lasi halatum Shiloh along pherangke toilo, lapen Jakongkethe 
1SA.4.5	Kechejok Asinduk lesi, Israel atum pu-an asekethe pen hang-lo lapen pulo, 
1SA.4.6	“Ibri amukam along kehang ase arjutha! La kopi aphanlo?” 
1SA.4.7	halatum pherelo, lapen pulo, “Inut Arnam halatum along vangtang-lo! Etum kevirlo! Lason etum aphan aphrang plangple-pinlang! 
1SA.4.8	Komatsi la Jakong-kethenei a-Arnam atum pen epajok unpoma? Halahei arnam atum helo kejejangtang ajo Ijip atum aphan kepathi abang-lo! 
1SA.4.9	Nangthin chepathenon Philistia atum! Pinso ason chedannon, kalite latum etum aban keplang ason etum Ibri atum aban plang nangpo; pinso ason chedannon.”
1SA.4.10	Philistia atum kechedan pasikpik-lo, lapen Israel atum aphan paremdetsi ahem pachekat-et-lo. Halaso arni thipik-lo: Bangsuri 30 Israel aron-aso atum thinang-lo. 
1SA.4.11	Arnam kechejok Asinduk ta cheraidet-lo, lapen Eli asomar Hophni lapen Phinehasta thilot-lo.
1SA.4.12	Benjamin akhei pen inut amonit ron aklam pen tovarsoding Shiloh anat nangkat-lo, lapen halabangso arni amat nanglerok-lo. Aningke-oi kechepaklangjisi la ape chingsek-lo lapen aphu athak longle chebat-lo. 
1SA.4.13	Eli, Kechejok Asinduk alam kechiniji ingtung-olo, la tovar akung ingnisi cholangding-lo. Bangso amonit rong adang an birta pachethang-lo, lapen abangphutinta pheresi chirulo. 
1SA.4.14	Kehangjo ase Eli arjulong-lo, lapen arjulo, “Lahei kehangjo athe kopilo?” Bangpo amonit Eli aphan birta kethanjisi la along kat paprap-lo. 
1SA.4.15	(Eli arta non ningkan 98 tang-lo lapen amek checharchepin asonlo.) 
1SA.4.16	Bangso amonit pulo, “Ron pen chepajoksi ne ladak an pini tovarsoding nangkat-lo.”
1SA.4.16	La aphan Eli pulo, “Kopi cheplang-lo asopo!”
1SA.4.17	Pherangke thak-lo, “Philistia atum pen Israel atum kat-et-lo; la etum aphan kepherememe akeremlo! La aparta nanglisomar Hophni lapen Phinehasta thidunlot-lo, lapen Arnam kechejok Asinduk ta pondet-lo!”
1SA.4.18	Pherangke abang Kechejok Asinduk alam kethan ahut eli inghap adung inghoi pen aphi chiruilo. La pu an sarlo lapen akromthelo la klibup-lo lapen achethok ching-loksi thilot-lo. La ningkan 40 Israel atum aphan jalo.
1SA.4.19	Eli amunpi, Phinehas apiso ke aso aphili-lo, lapen oso amahang pathekji dokdok-lo. Arnam kechejok Asinduk pontang-lo lapen bangpi alok-hei lapen apenanta thitang-lo pu arjulong-lok pen bangpi damsi menmen oso amahang pathek-phlot-lo. 
1SA.4.20	Bangpi kethipo pu ahut bangpi aphan kerapdun a-arloso atum bangpi aphan pulo, “Nangthin chepathenon! Sopinso inut long-lo!” Bonta bangpi thangta arjudun long-ledet-lo, lapen thakthedet-lo. 
1SA.4.21	Bangpi oso aphan “Ikabod” pusi amen irlo, lake “Arnam ahir-asang Israel aphan otang-lo.” La kechejok Asinduk kepapon-long lapen alok-hei lapen bangpi apenan kethi aphansi kepudamlo. 
1SA.4.22	“Arnam ahir-asang Israel aphan otang-lo, “ Bangpi pulo, “pima Arnam kechejok Asinduk pontang-lo.”
1SA.5.1	Kechejok Asinduk Philistia atum cheraidet aphi, latum Ebenezer pen halatum arongsopi Ashdod anat la pondet-lo, 
1SA.5.2	lapen halatum a-arnam Dagon ahem arlo pondet-lo, lapen la akumlin arei si la pangnilo. 
1SA.5.3	Puthot adap Ashdod arat atum 
1SA.5.4	Puthot adap ta kechejok Asinduk angno laso akumlin kekrepthor thek-long-lo. Non aphong abang ke aphu lapen la ari hongnita ching-lokpet-lo lapen jakan alongsi tilailo; abangsi dochot-lo. 
1SA.5.5	(Lasi nonputa Dagon akurusar atum lapen la karcho atum Ashdod along la athok athak arkanverlo, lapen laso adim dongdelo.)
1SA.5.6	Ashdod arat aphan 
1SA.5.7	Lahei keplangbom thek-longsi halatum pulo, “Israel atum a-Arnam etum aphan lapen etum a-arnam Dagon aphan adukpilo. Kechejok Asinduk ladak etum along padobom nangnelo.” 
1SA.5.8	Lasi halatum pherangke atum aphan toisi Philistia arecho bangpho pachingrumlo lapen halatum aphan arjulo, “Israel a-Arnam Kechejok Asinduk aphan eli kopi klemnangjima?”
1SA.5.8	La Gath along pondet-non, pusi halatum thak-lo; lasi halatum la Gath along pondet-lo, la Philistia atum akaprek arongsopilo. 
1SA.5.9	Bonta la hadak lerok pen rongsopi asor aphan 
1SA.5.10	Lasi halatum Ekron along kechejok Asinduk thon-damkok-lo, lata Philistia arongsopilo, bonta la hadak lerok pen amat rat atum kechiru hangjolo. “Netum kedo-an aphan kepathijisi latum Israel a-Arnam kechejok Asinduk ladak vanlilo!” 
1SA.5.11	Lasi puthot Philistia arecho kedo-an aphan pahangdamtoisi pulo, “Israel akechejok Asinduk la adimthot voithunon, anke la etum aphan lapen ehemtun aphan epathithelo.” Rongsopi adang an keso hangjolo pima halatum aphan 
1SA.5.12	Lapen kethithe atum seta ingthum akeso long-lo lapen kerap kelongjisi halatum a-arnam aphan rat atum kechiru hangjolo.
1SA.6.1	Philistia atum along 
1SA.6.2	rat atum, kurusar lapen mekbin keklem atum aphan hangpetsi arjulo, “
1SA.6.3	Halatum thak-lo, “Nangtum Israel a-Arnam 
1SA.6.4	La aphan kopi adan pensi thondun nangji? Rat atum arjulo.
1SA.6.4	Halatum thak-lo, “Ingthum asonthot ser angkleng pho lapen jukingso asonthot aser angklengpho, la asitinta abangphutin Philistia arecho apharmanlo. La isinat avur nangtum kedo-an aphan lapen recho bangpho apharman nangtoilo. 
1SA.6.5	Ingthum lapen jukingso asonthot nangtum selam nangji lapen la nangtum adet pavirlo lapen nangtum Israel a-Arnam aphan man pinangji. Lalote nangtum, nang arnam atum, nangdet aputhak la aduk-kepi hamji mene. 
1SA.6.6	Nangtum kopisi Ijip arecho lapen Ijip asor ason ning chepabuklui bomlangma? Israel atum aphan Ijip pa-otoite halatum aphan Arnam chongthuilo, pu nangtum tengnedet-loma? 
1SA.6.7	Lasi hemkonglong ahum kemi siknon, lapen arthangthepin achainong api jonni siknon; lahei hemkonglong parthangnon lapen aso ke aroi toiphitnon. 
1SA.6.8	 kechejok Asinduk ponnon, lapen hemkonglong athak batnon, lapen nangtum apap apharman la aphan dan kepidunjile ser adum-heihei Asindukso Sinduk adungle bidunnon. Hemkonglong la atovar padamra la amethang padamtoinon. 
1SA.6.9	Anke la langdunkrinon. La jongsi Beth Shemesh arong anat damlote la Israel a-Arnamsi laso kepherememe akevir etum aphan etoilo. Bonta jongsi la kali pulote, la le avur nangketoi kali pu chinipo, la ke lapu amatsi keplang-lo.”
1SA.6.10	Latum aphan kopisi kethan loma halatum la klemlo; Halatum chainong api jonni ponsi hemkonglong parthang-lo lapen aroi along aso aphan beng-lo. 
1SA.6.11	Halatum kechejok Asinduk lapen jukingso asonthot aser angkleng lapen ingthum asonthot aser angkleng Asinduk penpen hemkonglong athak batdunlo. 
1SA.6.12	Chainong api tovar kedam pangcheng-lo ha Beth Shemesh anat lapen la anatsi kedam pakengsonlo, la pu pu atovar suisepinlo. Halatum dambom ahut halatum langcharidunlo. Bangpho Philistia arecho atum anta latum aphi phi Beth Shemesh ahoi anta dunlo.
1SA.6.13	Beth Shemesh arat atum arlok along soktipli kerotbom ahut halatum men men angsong cholang-railo, lapen Kechejok Asinduk thek-long-lo. thek-lok pen halatum aning arongpik-lo. 
1SA.6.14	Hemkonglong vangsi Beth- Shemesh along kedo Joshua pu amonit ahidi along arlongpi adung nangsakok-lo. Rat atum Thengpi ahemkonglong pu et-lo lapen chainong api thusi halahei 
1SA.6.15	Levi atum 
1SA.6.16	Philistia arecho bangpho lahei keklem achar pen langdunlo halaso arni amat Ekron chedamjuilo.
1SA.6.17	Philistia atum ingthum ason ser angkleng dumpho 
1SA.6.18	Halatum jukingso ason ser angkleng ta arongsopitin along keparecho a-Philistia paisong arongsopi lapen paikave arong arecho apharman lodunlo. Beth Shemesh along kedo Joshua ahidi a-arlongpi alongsi halatum 
1SA.6.19	Beth Shemesh asor aphan 
1SA.6.20	Lasi Beth Shemesh amonit atum pulo, “Komatsi laso Kangthir Arnam 
1SA.6.21	Kiriath Jearim arat aphan kepapujisi halatum pherangke toilo, “Philistia atum 
1SA.7.1	Lasi Kiriath Jearim arat atum 
1SA.7.2	Penang an arni, ningkan ingkoi anbak 
1SA.7.3	Israel arat aphan Samuel pulo, “Nangtum jongsi nangning aklong pen 
1SA.7.4	Lasi Israel atum halatum Baal lapen Astarte akumlin-heihei chevar-etsi 
1SA.7.5	Anke Israel kedo-an aphan Mizpah along Samuel pachingrum-toilo, lapen pulo, “Nangtum aphan hadak ne Arnam nang ardompipo.” 
1SA.7.6	Lasi halatum kedo-anta Mizpah along chingrumpet-lo. Halatum 
1SA.7.7	Mizpah along Israel atum chingrumtang-lo pu Philistia atum arjulongsi bangpho Philistia arecho halatum aphan ketengkhengjisi amonit cheponpak-lo. Laso alam Israel atum arjulong-lo lapen pherepik-lo, 
1SA.7.8	lapen Samuel aphan pulo, “Philistia atum pen kejokjile etum Arnam 
1SA.7.9	Biresak aloso Samuel thusi la arpum amat 
1SA.7.10	Samuel athok kepi un ahut Philistia atum ketengkhengjisi vang-lo, bonta halaso ahut amat halatum aphan 
1SA.7.11	Israel atum Mizpah pen nangbarsi Philistia atum aphi phi hungdunlo ha Bethkar pu adim an, lapen tovarsoding halatum aphan un an pathilo.
1SA.7.12	Anke Samuel arlong isi ensi Mizpah lapen Shen angbong la elo lapen pulo, “Tovarsoding anta 
1SA.7.13	Lasonsi Philistia atum aphan paremdet-lo, lapen Samuel achethe dotik an Israel alongri ketengkhengji pen 
1SA.7.14	Philistia atum kecherai Ekron pen Gath angbong Israel arong kedo-an Israel aphan voi nang-et-lo, lapen Israel atum la longri kedo-an chelong-et-lo. Lapen Israel pen Kanaan atum angbong ningkangsam dolo.
1SA.7.15	Samuel rengtik an Israel aputhak pangrilo. 
1SA.7.16	Aningkanvang ta Bethel, Gilgal lapen Mizpah anat ephong vurdamverlo, halahei adim la kechedansai alam pangsamlo.
1SA.7.17	Anke la amethang ahem Ramah along chedampo, hadak kangsai-abang akam klemlo. Ramah along 
1SA.8.1	Samuel kesar ahut, la asomar aphan Israel adang kangsai-abang pinchong-lo. 
1SA.8.2	Aso-akleng amen Joel lapen akebi amen ke Abijah; latum Beersheba along kangsai atumlo. 
1SA.8.3	Bonta latum apo atovar damdedet-lo; latum tangka kelongji aphan aninghang-o, lasi latum tangka chodeng chonghulo, lapen ahokpet pen lam ingsaiselo.
1SA.8.4	Anke Israel ajalin atum kedo-an chingrumsi Samuel along Ramah anat damlo, 
1SA.8.5	lapen la aphan pulo, “Langtha, nanglike sarbomlo, seta nanglisomar atum ke nangli tovar en-edet-lo. Lasi recho bat-ra netum aphuthak papangrinang, anke netum inut arecho dopo, ha akaprek adet atum kedo ason.” 
1SA.8.6	Latum inut arecho kehang apot Samuel aning dokdelo, lasi la 
1SA.8.7	lapen 
1SA.8.8	Ne halatum aphan Ijip pen kevan arni pen kaita halatum Ne pen suiver lapen akaprek a-arnam-heihei aphansi archoverlo; lapen Nephan keklem asonthotsi halatum non nangphanta klemlo. 
1SA.8.9	Lasi halatum alam arjunon, bonta pasodak pen halatum aphan pacheretoinon lapen halatum arecho halatum aphan kosonsi kelangponpoma than pajirminon.”
1SA.8.10	Samuel aphan recho nangji pu kehang arat aphan 
1SA.8.11	“Lason helo nangtum arecho nangtum aphan kelangpo, La nanglisomar atum aphan ron-aso pinchongpo, halatum angbong ajehak atum ke ronhemkonglongsi ardonnangpo, akaprek atum loseisi ardonnangpo, lapen akaprek atum ke ron ahemkonglong aphrangsi kat nangpo. 
1SA.8.12	La ajehak atum aphan bang suri aphuthak ahemphu batpo, ajehak atum bang 50 aphuthak ahemphu batpo. La ahidi along nangsomar atum haibai nangpo, asok rotpi nangpo, risim, lapen ronhemkonglong ajohton selamnangpo. 
1SA.8.13	Nangsopimar atum nangpo lapen la antunbang lapen himselambang plang nangpo. 
1SA.8.14	La nang kemenei ahidi nang-enpidetpo, drakha aberi, jit aberi-heihei anta enpo lapen la achakri atum aphan pidetpo. 
1SA.8.15	La nangsok lapen nang drakha phankep pen ephan nang enpidetsi la kangsai atum lapen akaprek achakri atum aphan pidetpo. 
1SA.8.16	Nangban atum aphan lapen kemenei nang chainong , gadha pondetpo lapen la aphan paklemtoipo. 
1SA.8.17	Nangpi ahur pen jonkep angbong ejon pondetpo, lapen nang methangta la aban cheplang nangpo. 
1SA.8.18	Halaso apor kevang ahut, nangtum ninghodak pen khindejopo pima nangtum arecho nangtum kangvaitang abang apot, bonta nangtum kekhinde alam 
1SA.8.19	Rat atum Samuel alam ano chevarvedet-lo, bonta pulo, “Kali! Netum recho inut nangvekji, 
1SA.8.20	la lote netumta bang kaprek adet atum asonpo, netum emethang arecho pen netum aphan pangripo lapen netum aphan ron kechedan aklam-heihei along nejaponpo.” 
1SA.8.21	Halatum kepu athetin Samuel arjulo lapen damsi 
1SA.8.22	 la aphan thak-lo, “Halatum kehang alingle klemnon lapen halatum aphan inut arecho batpinon.” Ansi kedo-an Israel amonit atum aphan Samuel hem pachedam toilo.
1SA.9.1	Benjamin akhei keplang lapen anong kedo inut amonit dolo, alangli men Kish; la Abiel asopo lapen Zeror asupo, Bekorath akur, la Aphiah aro abeng. 
1SA.9.2	Alangli sopo inut do, amen Sol, la ke athok dojot amonit-lo. La kethe-keding lapen athok kedo Israel angbong lason inutnat ta avelang.
1SA.9.3	Kish agadha ajehak ingbodet, lasi la Sol aphan pulo, “Inut aban nangri cheponra gadha ridamtha.” 
1SA.9.4	Latum Ephraim anglong alongri damput-lo lapen Shalishah alongri anta damlo, bonta lahei longledet-lo, lasi halatum Shalim alongri ajo damthulo, seta gadha thek-longledet-lo. Anke Benjamin alongri damlo, tebonseta halatum thek-longledet-lo. 
1SA.9.5	Halatum Zuph alongri nangkelut ahut, Sol amethang aban aphan pulo, “Etum hem chedam lonang, nepo gadha alam bikoksi etum aphan mathathu var-ret tahailo.”
1SA.9.6	Ban abang thak-lo, “Thalang! Laso arong along inut montri kangthir do lapen la aphan man pi-o pima la kepu aling chekok-lo. La along elitum damlonang, lapen gadha kodaksi kelongdamjima alangli etum aphan ethan thek tahaimene.”
1SA.9.7	“Jongsi la along ilidamlote. ili kopi la aphan kepinangji?” Sol arjulo. “Etum abor along ta thangnat a-anta ave, etum kepiji aphan thangnat ta avelo, kalima?”
1SA.9.8	Aban abang thak-lo, “Nelilong rup adumso dolang. La neli la aphan pidetpo, lapen anke kodaksi halahei kelongjima ephan la ethanthekpo.”
1SA.9.9	Sol thak-lo, “Kemesen alamlo! Etum damlonang.” Lasi latum kangthir amonit kedo arong damlo. 
1SA.9.10	Latum rong anglong karlu ahut, lang kesok ajehak a-okarjang chetong-lo. 
1SA.9.11	Okarjang atum aphan latum arjulo, “Sangkelang abang rong doma? (Halaso ahut montri aphan sangkelang abang pusi kehang, lasi mane jongsi pine alam Arnam pen karjuji aninghang pulote, la pupo, ‘Sangkelang along damnang.’)”
1SA.9.12	La abang do, pusi okarjang atum thak-lo. “Alangli nanglitum aphrang nonjonglang kedam. Nanglitum dam paprap lote alangliphan nanglitum chephodunji. alangli pini rong vang-lo, pima inglong angsong rat atum dovan athak kethokji do. 
1SA.9.13	La aphan kepha atum la hadak-le letik ke rat atum kecho cheng-longle, pima athok aputhak la pahirjume paphrangvek nangji. Nanglitum jongsi non amat damlote, la inglong angsong kecho damji aphan arlule aphrang chetongdun unji.” 
1SA.9.14	Lasi Sol lapen la aban rong anat dambomlo lapen latum arlo kelutdam ahut Samuel karcho anat kedamjisi latum anat vang-lo.
1SA.9.15	Non arnisi aphrang Samuel aphan 
1SA.9.16	“Penap laso apor Ne Benjamin akhei pen inut amonit nanglong nangtoipo, la nerat aso Israel aphan kepangrijile aphuthak jangthu patipnon, lapen la halatum aphan Philistia atum pen pajokpo. Nerat aso atum akesung Ne thek-long-lo, lapen halatum kerap kelongjile kehangjo Ne arjulong-lo.”
1SA.9.17	Sol aphan Samuel thek-longsi la aphan 
1SA.9.18	Anke Samuel along Sol damlo, la inghap adung lelo lapen arjulo, “Neliphan neli-thantha, kodaksi sangkelang abang kedoma?”
1SA.9.19	Samuel thak-lo, Neli helo sangkelang abang, karcho adim neliphrang dambomnon. Nanglitum banghinita pini neli pen chorap-rap-lonang. Penap adap nangli karju alam neli thakpo, lapen nanglitum aphan padamlongpo. 
1SA.9.20	Nithom aphrang kangbo agadha aphan mathari, halahei long-et-tang-lo. Bonta komat aphansi Israel arat atum la pu-an aning kehangma? La ke nangli helo lapen nanglipo ahemtun helo.
1SA.9.21	Sol thak-lo, neli ke Benjamin akhei, Israel angbong akebineilo, lapen nelikhei angbong neli hemtun helo anong kavenei lo. Tangte nangli kopisi lapuson neli kepuloma?
1SA.9.22	Ansi Sol lapen la aban aphan angdengthepi along Samuel japonlo, lapen alohi atum kedo-an bang 30 anbak kangni un atebulthepo along latum aphan adim pilo. 
1SA.9.23	Tundang abangphu aphan Samuel pulo, “Ne nangliphan salajong kepabitoi a-ok vannon.” 
1SA.9.24	Lasi tundang-abang kangvaitang a-ok-keng vanpisi Sol angno la bipilo. Samuel pulo, “Langtha! La nangliphan kebipitang a-ok-lo. La cho-iknon. Neli kephatang arat atum kechorap-rapjisi neli la nangliphan panongsi bivet-lo.”
1SA.9.24	Lasi Sol ta Samuel penpen halaso arni chorap-rap-lo. 
1SA.9.25	Karcho adim pen ha rong anat latum nanghirlo lapen Sol aphan isi ahongplang sarnung (aklam asarnung) angsong sikpilo, 
1SA.9.26	lapen alangli hadak amekjang-lo. 
1SA.9.26	Adapprang Sol aphan Samuel ingthurlo, “Thurnon, lapen nangliphan neli nanglitovar nangtoipo” Sol thursi la lapen Samuel tovarpi anat dam rap-rap-lo. 
1SA.9.27	Halatum rong akung nanglesi Sol aphan Samuel pulo, “Nangliban aphan eliphrang padamtoinon.” Ban abang damjuilo lapen Samuel ningjebomlo, “Ladak malomso do iktha lapen Arnam keputang alam neli nangliphan nangthanpo.”
1SA.10.1	Anke Samuel jit ajangthu abong ponlo, lapen Sol aphu athak dung-lo, lapen la aphan ingjup-lo, lapen pulo, “Alangli Israel arat aphuthak kepangriji aphan 
1SA.10.2	Pini neliphan odet aphi, nangli banghini amonit Rachel athiri, Zelzah adung Benjamin alongri chetongji. Nangli keri agadha longtang-lo pu halatum nangthanpo, ansi nangli po halahei aphan ningriredetpo bonta nangliphan la arjubompo, ‘Nesopo aphan ne kopi klem nangpoma?’ 
1SA.10.3	Hadak pen nangli dambomnon ha kangthir athengpi arong Tabor leletik, hadak bang kethom amonit aphan tovar chetongpo, halatum Bethel along Arnam aphan kethokjilo. Halatum angbong inut abang bi jonthom ponpo, akaprek abang him plangthom lapen inut abang drakha ahorlang ajarong ponpo. 
1SA.10.4	Halatum nangliphan ardompo lapen him plangni nangliphan nangpipo, hala nangli chodeng nangpo. 
1SA.10.5	Anke nangli Gibeah along Arnam anglong arludam nangpo, hadak Philistia atum amukam dolo. Rong anghap along esong amontri inglong adim pen nangkehir nangli chetongpo. Latum kum beleng, cheng, pongsi lapen kumbeleng-chongdeng rotpo. Halatum hangsi kanpo. 
1SA.10.6	Menmen amat 
1SA.10.7	Lahei plang-lote nangliphan Arnam nangkeja alingle nangli klemnon. 
1SA.10.8	Gilgal along neli mute nanglisi le paphrangpo, hadak neli nangchetongpo lapen kephrin athok lapen kejalang athok thokpo. Neli vangvetik-ke lapen kopisi keklem nangjima pupetik nangli ni throksi neli inghong nangji.”
1SA.10.9	Samuel aphan Sol ke-ojipu kechetevar ahut Sol aphan Arnam isi a-ot kemi pilo. Lapen halabangso arni Samuel kepu alam an chekok et-lo. 
1SA.10.10	Sol lapen aban Gibeah along kele pen esong amonit atum laphan chetong-lo. Menmen Arnam akarjong la aphan jalo, lapen halatum akekan, akehang along lata chelangdunlo. 
1SA.10.11	La aphan aphrang kechini atum la lahei keklem thek-longsi lahin lahin chepulo, “Kish asopo kopi cheplangdet loma? Sol inut amontri cheplang-loma? 
1SA.10.12	Hadak kedo inut amonit arjulo, ‘Hala akaprek amontri atum kopusonlo-halatum apo komat mat-lo. nethantha?’ Lason si lam chethanseilo, ‘Sol inut amontri plang-loma?’ 
1SA.10.13	Sol chechininepin akeklem lapen akehang pajutsi la inglong angsong dovan along damlo.”
1SA.10.14	Sol a-ong lapen aban aphan thek-lok-lo, lapen alangli latum aphan arjulo, Nangtum konatsi kedamlo?
1SA.10.14	Gadha keridam, pusi Sol thak-lo. “Nelitum lahei longle-ong amat Samuel along damjuilo.”
1SA.10.15	Alangli nangliphan kopisi nangkethanlo? Sol a-ong arjulo.
1SA.10.16	Alangli nelitum aphan neli kethanke, pi-heihei longtang-lo pu, Sol thak-lo bonta amethang arecho keplangnangji alam ke la a-ong aphan chethanthedet-lo.
1SA.10.17	Mizpah along dhorom amei kechingrumpetjisi rat aphan Samuel hang-lo, 
1SA.10.18	lapen halatum aphan pulo, “Israel a-Arnam 
1SA.10.19	Ne nangtum a-Arnamlo, nangtum kepachoi lapen akesung-heihei an pen nangkepajok Abang-lo, bonta nangtum pini Nephan Ne-otang-lo, lapen inut arecho nangtum aphan nangji pusi nehang-lo. Mesen, tangte 
1SA.10.20	Anke Samuel akheitin pavangtoilo, lapen 
1SA.10.21	Anke Samuel Benjamin akhei ahemtun kedo-an pavangtoilo. Matri ahemtun isi pavangpet-toilo lapen Kish asopo Sol aphan ingvailo. Halatum la aphan cholang-lo bonta laphan longledet-lo, 
1SA.10.22	halatum 
1SA.10.23	Lasi halatum katsi Sol aphan rat angbong vandet-lo lapen halatum thek-long-lo, la helo kedo-an angbong ajon kedingnei. 
1SA.10.24	Rat aphan Samuel pulo, “La helo 
1SA.10.24	Kedo-an arat atum hang-lo, “Recho achethe padingnang.”
1SA.10.25	Rat atum aphan recho ajakong lapen keklem nangji arpu alam Samuel thanlo, lapen lahei isi aloh along tokdet-lo, la kangthir adimsi alangli bilo. Ansi kedo-an arat aphan la ahem toirep-lo. 
1SA.10.26	Solta Gibeah anat ahem chedamlo, lapen Arnam aningkeparung ajehak jakongkethenei amonit atum la along dunlo. 
1SA.10.27	Bonta ajehak amokevangve amonit atum pulo, “Kopusonsi laso amonit etum aphan akeme akam eklempi thekpoma?” Halatum Sol aphan pinremlo lapen la aphan thangnat adanta vanpipedet-lo.
1SA.11.1	Chiklo ejon aphi, Ammon arecho Nahash, la amethang aron-aso aphan jasi Gilead alongri Jabesh arong tengkhengsi la cheraidet-lo. Jabesh amonit atum Nahash aphan pulo, “Nelitum pen chepamenon lapen nelitum aphan kepangri abang-lo pu dengpo.”
1SA.11.2	Nahash thak-lo, “Eson alamthe pen ne nanglitum pen chepame aloh chetokji: Nanglitum amek ar-e nanghor-etpo lapen lasonsi Israel kedo-an aphuthak kelangrem vanpo.”
1SA.11.3	Jabesh ajalin atum pulo, “Israel adet adang an pherangke ketoiji aphan ni throksi apor nelipi nangji. Jongsi baduta nelitum aphan kerap abang avelo pulote, nangliphan nelitum chehodai-etpo.”
1SA.11.4	Pherangke atum Sol kedo adim nanglelo, lapen halatum birta arjulong-lok pen rat atum aningdukpik-si chiru pangcheng-lo. 
1SA.11.5	Sol ke achainong penpen ha hidi pen nangchevoichit anchot-lang, lapen la arjulo, “Kopi cheplang-lo? Kopisi anut-tinta kechiru nang-loma?” Jabesh pen kevang apherangke atum pen karjulong atum la aphan than-et-lo. 
1SA.11.6	Sol la arjulong-lok pen Arnam akarjong la aphan jalo. 
1SA.11.7	La chainong ponsi halahei aphan kethu pachet-ilo, lapen ithe nang kepachere alam pen athan tin Israel adet adang an pherangke atum aphan papontoilo. Sol lapen Samuel aphi ron kedunde abangphan halatum achainong aputhak lasonthotsi klempo.
1SA.11.7	Israel arat atum 
1SA.11.8	Bezek along Sol halatum aphan pangrumlo. Israel pen bang suri 300 lapen Judah pen bang suri 30 vang-lo. 
1SA.11.9	Jabesh pen kevang apherangke atum aphan latum pulo, “Nangrat atum aphan punon, penap anerlo chittim aphrang halatum jok-longpo.” Jabesh arat atum laso abirta arjulongsi aning arongpik-lo. 
1SA.11.10	Lapen Nahash aphan pulo, “Penap nanglipen nelitum chedanpo; lapen nanglining kehang alingle nelitum aphan klemnon.”
1SA.11.11	Halaso aningve Sol amonit aphan songthom thak-lo lapen adapprang halatum hotur amukam dam paprapsi Ammon atum aphan tengkheng-lo. Anerlo chitim apor halatum kedo-an aphan latum pathilo. Kerenglang atum pratjamsi amethang kechepajokji aphan kat-lo.
1SA.11.12	Anke Israel arat atum Samuel aphan pulo, “Sol recho chonangnepu kepu atum konat-lo? Nelitum arideng nehodainon, lapen halatum aphan nelitum pathi-etpo!”
1SA.11.13	Bonta Sol pulo, “Pini badu aphanta pathilongle, pima pini arni ke Israel atum aphan 
1SA.11.14	Samuel halatum aphan pulo, “Elitum kedo-an ta Gilgal anat damlonang lapen non ephong Sol helo elitum arecholo pu pachethang-lonang.” 
