MAT.1.1	Tcgãyas Jeso Krestem dis qhàòs di sa, Dafitem ka tsgõose-coa ba, Abrahamam ka tsgõose-coa ba.
MRK.12.16	Xu mari ba máà Me, Me bìrí xu a máá: “Dìín dis tcúú sa ncẽe sa, naka gatàa dìín cg'õèa ncẽe e?” témé. Xu máá: “Kaesaram di si i,” témé.
MRK.12.17	Me Jeso ba bìrí xu a máá: “Eẽ Kaesaram di ii sa Kaesara ba máà, naka ẽe Nqarim di ii sa Nqari ba máà,” témé. Xu kò kaisase are Me.
MRK.12.18	Xu kò Saduke xu, ncẽe kò ko máá, x'ooan koe tẽe sa káà si i, témé xu hàà cgae Me, a hàà tẽè Me, a máá: 
MRK.12.19	“Xgaa-xgaa-kg'ao Tseè, Moshe ba xg'ao x'áèan koe góá a máá, ncẽè khóèm kò káà cóáse khóè sa x'óóa guu, ne méém gam ka qõese ba ẽes dxàe-ntcõa sa séè, naka baà gam ka káímkhoe ba cóán ábà máá. 
MRK.12.20	Xu kò 7 xu khóè qõeku xu hàna. Me kò kg'áíaka di ba khóè sa séè a cóán úú tamase x'óó. 
MRK.12.21	Me kò cám̀ di ba gaas dxàe-ntcõa sa séè, a gataga cóán úú tamase x'óó. I kò nqoana dim ka gataga cúí ga thẽé ii. 
MRK.12.22	Xu kò wèéa xu ẽe 7 xu ga cóá úú tamase x'óó. Si kò khóès ga sa thẽé kháóka x'óó. 
MRK.12.23	Eẽ i ko x'ooan koe tẽeè ka sa gha gaxu ka ndakam di saà? Ncẽe wèéa xu 7 xu xg'ao séè sia hãa ka?” ta xu ma tẽè Me.
MRK.12.24	Me Jeso ba xo̱a xu a máá: “Dùús domka xao tsa̱a hãa? 
MRK.12.25	Eẽ ne ko khóè ne x'ooan koe tẽe ka ne séèa hãa tite, a ne a séèkuan kgoara mááèa hãa tite, igaba ne gha nqarikg'ai di moengelean khama ii. 
MRK.12.26	A ẽe x'óóa hãa ne ko x'ooan koe ghùiès ka xao gáé qanega Moshem dis Tcgãyas koe nxárá ta ga hãa, hìis di tchõàn dim xg'aekum koem kò Nqari ba nta gam ka méé sa a máá: ‘Tíí Ra Abrahamam dir Nqari Ra a, a Isakam dir Nqari Ra a, a Jakobem dir Nqari Ra a,’ tam mééa koe? 
MRK.12.27	Eẽ x'óóa hãa ne dim Nqarim tama Me e, igabagam ẽe kg'õèa hãa ne di Me e; khama xao kaisase tsa̱a hãa,” tam méé.
MRK.12.28	Me kò c'ẽem x'áè xgaa-xgaa-kg'ao ba hàà, a kóḿ xu xu hãa a ko ntcoeku. Me ẽem ko Jeso ba qãèm xo̱a ba máà xua hãa sa bóòa q'ãa ka tẽè Me a máá: “Ndakam x'áè-kg'áḿ ba wèé xu ka tc'ãà di baa?” témé.
MRK.12.29	Me Jeso ba xo̱a me a máá: “Wèé xu x'áè-kg'áḿ xu ka tc'ãà di ba ncẽe me e:
MRK.12.29	‘Oo, Iseraeleè, komsana,
MRK.12.29	gatá dim X'aigam Nqari ba,
MRK.12.29	X'aigam Nqari ba cúí Me e,
MRK.12.30	naka tsia gha X'aigam tsarim Nqari ba
MRK.12.30	wèé tcáóa tsi cgoa hẽé,
MRK.12.30	wèé kg'õèa tsi cgoa hẽé,
MRK.12.30	wèé tc'ẽea tsi cgoa hẽé,
MRK.12.30	naka wèé qaria tsi cgoa hẽéthẽé ncàm̀,’
MRK.12.30	témé,
MRK.12.31	me ko cám̀ di ba máá:
MRK.12.31	‘Eẽ tsi ma ncàm̀sea hãa khamaga ma
MRK.12.31	méé tsi tsáá ka c'ẽe ba ncàm̀,’
MRK.12.31	témé. C'ẽe x'áè-kg'áḿ ga káà a, ncẽem x'áè-kg'áḿ ka kaia a,” tam méé.
MRK.12.32	Me kò x'áè xgaa-xgaa-kg'ao ba bìrí Me a máá: “Xgaa-xgaa-kg'ao Tseè, tseegu Tsi ko, c'ẽean ga káà a, igaba gaam cúí Me e, 
MRK.12.33	gataga i cgáé e, Nqari ba tsi ga wèé tcáóa tsi cgoa hẽé, naka wèé kóḿa q'ãa tsi cgoa hẽé, naka wèé qaria tsi cgoa hẽéthẽé ncàm̀ sa, naka ẽe tsi ma ncàm̀sea hãa khamaga ma tsáá ka c'ẽe ba ncàm̀an hẽéthẽé e. A wèé zi dàòa-mááku zi hẽé naka qhàea-mááku zi ka hẽéthẽé cgáé e,” témé.
MRK.12.34	Eẽm ko Jeso ba bóò, tc'ẽegasem ncãa xo̱a sa kam kò bìrí me a máá: “Nqarim di x'aian ka tsi nqúù tama,” témé. I kò gaa koe guus ka khóèan bèe, c'ẽe tẽè ga i gha tẽè Me sa.
MRK.12.35	Eẽm Jeso ba tempelem q'oo koe hãa a ko xgaa-xgaa kam kò tẽè ne a máá: “Nta hẽés ka xu ko x'áè xgaa-xgaa-kg'ao xu máá, Kreste ba Dafitem ka Tsgõose-coa Me e, témé? 
MRK.12.36	Dafitem tc'áró-tc'aroa kò Tcom-tcomsam Tc'ẽem ka kg'uikaguè, a máá:
MRK.12.36	‘X'aiga ba ko Tirim X'aiga ba bìrí a máá:
MRK.12.36	‘Kg'áò x'õàa Te xòè za ntcõó
MRK.12.36	nakar nxãakg'aiga síí Tsari cg'õo-kg'aoan
MRK.12.36	nqàrè-kg'ama Tsi koe tòó,’
MRK.12.36	témé.’ 
MRK.12.37	Dafitem ga ba ko ‘X'aiga’ ta ma tcii Me, ka ba gha nxãaska ntama gam ka Tsgõose-coa ba ii?” témé.
MRK.12.37	Si kò kaias xg'ae sa qãè-tcaoan cgoa komsana Me.
MRK.12.38	Eẽm ko xgaa-xgaa kam kò Jeso ba máá: “X'áè xgaa-xgaa-kg'ao xu koe méé tu q'õésea hãa, ncẽe ko qáò qgáí-dxooan hã̱a, a x'ámágu di zi qgáì zi koe tsgám̀kagukuan qaa xu, 
MRK.12.39	a ko kaia zi ntcõó-q'oo zi còrè-nquu xu koe qaa xu, naka tcom-tcomsa zi ntcõó-q'oo zi hẽéthẽé e kõ̱èan di zi qgáì zi koe. 
MRK.12.40	Ncẽe ko dxàe-ntcõa zi di nquuan tc'õóa xgãá, a ko x'áíse xu gha ka qáòse còrè xu. Eẽta ii khóèa ne gha kaisase thõòkase xgàraè,” tam méé.
MRK.12.41	Me kò Jeso ba aban ko tòóèm qgáì ba q'óá-kg'ama hãase ntcõó, a ntcõó a ko xg'aes ko ma gaas di marian tempelean di ma tcãà sa bóò. Ne kòo káí ne khóè ne qguùa hãa ne káí marian tcãà. 
MRK.12.42	Si kò dxàua hãas dxàe-ntcõa sa hàà cám̀ qano mari tsara ncemea tcãà, xg'ae-q'ooa tsara kòo thebe dim mari ba kúrú tsara.
MRK.12.43	Me kò Gam di xu xgaa-xgaase-kg'ao xu Gam koe tciia óá, a bìrí xu a máá: “Tseegua ner ko bìrí xao o: Ncẽes dxàe-ntcõas dxàua hãa sa ncãa wèé ne khóè ne nqáéa hãase aban ko tòóèm qgáìm koe marian tcana. 
MRK.12.44	Wèé ne khóè nea kò gane di qguùan koe guu a tcg'òó, igabas kò gaa sa gas di dxàuan koe guu a wèéan ẽes kò úúa hãa ga tcg'òó khama,” témé.
MRK.13.1	Eẽm ko Jeso ba tempelem koe guu a tcg'oa, kam ko Gam di xu xgaa-xgaase-kg'ao xu ka c'ẽe ba bìrí Me a máá: “Xgaa-xgaa-kg'ao Tseè, tsóágase t'õè xu nxõ̱á xu hẽé naka nquu xu hẽéthẽéa gáé ncẽe e,” témé.
MRK.13.2	Me Jeso ba bìrí me a máá: “Ncẽe xu nquu xu kaia xu tsi ko bóò? Cuiskagas ncẽe koe cúís nxõ̱ás ga sa c'ẽes tc'amkg'ai koe guuèa hãa tite, wèéa zi ga gha xòóa qàrìè,” témé.
MRK.13.3	Me ẽem kò qanega Olife dim xàbìm tc'amkg'ai koe q'ábà ntcõe, a tempele ba q'óá-kg'ama hãa, ka xu ko Petere ba hẽé, Jakobo ba hẽé, Johane ba hẽé naka Anterea ba hẽéthẽé xu dxùukg'ai koe tẽè Me a máá: 
MRK.13.4	“Bìrí xae e, n-cáḿa i gha ncẽe gúùan kúrúse sa, naka gataga ncẽe gúùan wèé ga gha hàà kúrúse dis x'áís gha dùú sa ii sa thẽé?” témé.
MRK.13.5	Me Jeso ba tshoa-tshoa a kg'ui cgoa xu a máá: “Q'ãa xao, naka i táá cúí khóè ga ho̱àkagu xao o guu. 
MRK.13.6	Káí ne gha Tíí cg'õè ka hàà a gha máá, ganea Tíí ga Ra a, témé, a ne a gha káí khóèan ho̱àkagu. 
MRK.13.7	Naka ẽe tu kòo ncõoan hẽé naka gaan di nxàean hẽéthẽé kóḿ ne méé tu táá q'ae guu. Ncẽe gúùa ne gha kúrúse, igaba i qanega chõò-q'ooan hàà tama ke. 
MRK.13.8	 qhàò zi gha c'ẽe zi qhàò zi cgoa x'ãàku, i gha x'aian x'aian cgoa x'ãàku. Me gha nqõó ba gataga cgùru tãáka zi qgáì zi koe, xàbà ne gha nqõómkg'ai koe tcãà. Zi gha ncẽe zi gúù zi ábàn di thõòan di zi tshoa-tshoase-q'oo zi khamaga xám̀.
MRK.13.9	“Igabaga méé tu gatu q'õése, séèè tu gha a qhàìs cookg'ai koe úúè, a tu a gha síí còrè-nquuan koe qoaè, a gha Tíí domka tc'ãà còo-kg'ao xu hẽé naka x'aiga xu hẽéthẽé cookg'ai koe tòóè. Gatà hẽéan ka tu gha Tíí ka nxàea tseegukagu. 
MRK.13.10	Kg'aia méé i qãè tchõàn 
MRK.13.11	Naka ẽe xu kòo séè a ko qhàìs cookg'ai koe úú tu u ne, táá ẽe tu ga kg'ui kg'oana hãas gúùs ka q'áò guu, igaba tu wèés gúùs ẽe tu gha ẽem x'aèm ka máàè sa kg'ui. Gatu tama tu u ẽe gha ko kg'ui tu ke, igaba Tcom-tcomsam Tc'ẽe Me e gha ii.
MRK.13.12	“Khóè ba gha qõese ba x'oos koe tcãà, me gha xõò ba gam dim cóám ka gataga hẽé, i gha cóán gaan di xõòan ntcoe, a gha cg'õo o. 
MRK.13.13	Tu gha Tiri cg'õèan domka wèé khóèan ka hòreè. Igaba gaam ẽe gha qarika téé a chõò-q'oos koe síí ba gha kgoaraè.
MRK.13.14	“Igaba ẽe tu ko q'áò-q'aosas gúù sa bóò si ẽes ga kò téé tama qgáì koe tẽe (ẽe ko nxárá ba méém kóḿa q'ãa!), ne méé ne nxãaska ẽe Jutea koe hàna ne xàbìan koe qgóéa síí, 
MRK.13.15	nakam ẽe nquuan tco̱be koe hãa ba táá xõa, naka gam dim nquum q'oo koe tcãà guu, naka síí gaa koe hãa sa séè, 
MRK.13.16	nakam ẽe xháràn koe hãa ba táá ka̱bise naka síí gam di qgáían séè guu. 
MRK.13.17	Haò, cg'ãè i gha ii, ẽe zi cáḿ zi ka ẽe ncãàa zi koe cóán úúa zi khóè zi ka hẽé naka ẽe gha ko comkagu zi ka hẽéthẽé e. 
MRK.13.18	Ke tu còrè naka i gha táá saò di x'aè ka kúrúse guu. 
MRK.13.19	Eẽ xu cáḿ xu ka i gha gatà ii xgàrakuan hãa, ncẽe nqõóm dis tshoa-tshoases koe guu a qanega hãa tama a, ncẽem kò Nqari ba kúrú ba, ncẽes noose ga, a i a gaicara hãa tite. 
MRK.13.20	A ncẽè X'aigam 
MRK.13.21	“A ncẽè ẽem x'aèm kam kò c'ẽem khóè ba bìrí tu u a ko máá: ‘Bóò, ncẽe ga Me e Kreste ba,’ kana ko máá: ‘Bóò, ẽe gam síí hãa,’ témé ne méé tu táá dtcòm̀ m guu. 
MRK.13.22	Tshúù-ntcõan di xu Kreste xu hẽé naka tshúù-ntcõan di xu porofiti xu hẽéthẽéa gha x'áíse, a gha x'áí zi hẽé naka are-aresa zi gúù zi hẽéthẽé kúrú, ẽe nxárá tcg'òóèa ne xu gha ho̱àkagu ka, kgoanase i kòo ne. 
MRK.13.23	Ke méé tu gatu q'õésea hãa, x'aèan cookg'ai koer kò bìrí tu ua hãa ke.
MRK.13.24	“Igabagas gha ẽe xu cáḿ xu di xgàrakuan qãá q'oo koe
MRK.13.24	‘cáḿ sa ntcùú-ntcuuè,
MRK.13.24	me nxoe ba x'áà tite,
MRK.13.25	tco̱nò zi gha nqarikg'ai koe guu a tcheè,
MRK.13.25	i gha nqarikg'aian di qarian ntcãa-ntcãaè.’
MRK.13.26	Ne gha ẽe x'aè ka Khóèm dim Cóá ba bóò, Me túú-c'õòan q'oo koe guu a ko hàà, kaia qarian hẽé naka x'áàn hẽéthẽé cgoa. 
MRK.13.27	Me gha nxãaska moengele xu tsééa tcg'òó, a ba a gha Gam di ne ẽe nxárá tcg'òóèa hãa ne wèé xòèan ẽe tc'ãán ko guu za xg'ae-xg'ae, a ba a gha nqõóm di chõò-q'ooan koe guu a síí nqarikg'ai di chõò-q'ooan ko chõò koe guu a Nqarim di ne ẽe nxárá tcg'òóèa hãa ne xg'ae-xg'ae.
MRK.13.28	“Ke tu faia dis hìis koe xgaa-xgaase: Eẽ i ko gas di nxã̱àn tshoa-tshoa a ko tso̱m, i ko to̱ara sa tso̱m, ne tu q'ana hãa qhóóa ne tcana hãa sa. 
MRK.13.29	Gataga ẽe tu kòo ncẽe zi gúù zi bóò zi ko kúrúse, ne tu q'ana hãa cúù me e sa, a nquu-kg'áḿan koe hãa sa. 
MRK.13.30	Tseegukar ko bìrí tu u a ko máá: Ncẽes qhàò sa kaà tite, ncẽe gúùan wèé ga kúrúse tamas cookg'ai koe. 
MRK.13.31	Nqarikg'aian hẽé naka nqõókg'aian hẽéthẽéa gha chõò, igaba i Tiri kg'uian chõò tite.
MRK.13.32	“Igabaga i cúí khóè ga ẽem cáḿ ba, kana ẽem x'aèm gabá q'ãa tama, moengele xu nqarikg'ai koe hàna xua ga igaba, kana Cóásem ga igaba, Xõòm cúím ka oose. 
MRK.13.33	Q'õésea méé tu hãa, naka kókòa hãa, c'úùa tu hãa n-cámám gha ẽem x'aè ba hàà sa ke. 
MRK.13.34	Khóèm x'áéa ba koe ko guu a tãám nqõóm koe dàram khama i gha ii: gam dim nquu ba ko guu a qãà xu qarian máà ba, a wèém khóè ba gam di tsééan máà, a ba a nquu-kg'áḿ ba ko kòre ba x'áè, q'õé mem gha sa.
MRK.13.35	“Gaa domka méé tu kòresea hãa, n-cámám ko nquum ka q'õòse ba hàà sa tu c'úùa hãa ke, dqòa kaa, kana ntcùú nqáé kaa, kana ghòròan ko kg'ae x'aè kaa, kana ntcùúkg'ai cgoaa. 
MRK.13.36	A ncẽè qháésem kòo hàà ne méém táá hàà sao-xg'ae tu u, naka tu x'óm̀a hãa guu. 
MRK.13.37	Ncẽer ko bìrí xao o sar ko wèéa tu ga bìrí a ko máá: ‘Q'õése méé tu!’ témé.”
MRK.14.1	I kò ncẽeska cám̀ cáḿan qaùa hãa Pasekan hẽé naka péré gãé-gãe úú tamas pérés dis kõ̱è sa hẽéthẽé gha kúrúès cookg'ai koe, xu kò kaia xu peresiti xu hẽé naka x'áè xgaa-xgaa-kg'ao xu hẽéthẽé kàan qaa, Jeso ba xu gha qgóó a cg'õo di i, 
MRK.14.2	a xu a kò máá: “Kõ̱ès di x'aè ka tamase, nxãaskas gha kaias xg'ore sa khóè ne xg'aeku koe hãa khama,” ta xu méé.
MRK.14.3	Jeso ba kò Betania koe hãa, Simonem ncẽe kò lepero dis tcìì sa úúa hãam dim nquum koe. Eẽm gaa koe hãa a ntcõó a ko tc'õó koes kò khóès alabasetere di nxõ̱án cgoa kúrúèam ts'óó-c'õám koe kò qãè hm̀m xg'ãòm tshãám, kaisa marian di ba qgóóa hãa sa hàà, a hàà alabasetere di nxõ̱án cgoa kúrúèam ts'óó-c'õá ba óè, a 
MRK.14.4	Ne kò c'ẽe ne khóè ne ẽe kò gaa koe hãa ne xgóà a máá: “Dùús domka ba koáé ncẽem tshãá ba ncẽeta ma kõ̱è cgoaèa máá? 
MRK.14.5	Ncẽe tshãá nea ga kò x'ámáguèa, kurim di marian di tc'ãò-tc'ãoan cgoa, i ga kò gaan di marian dxàua ne khóè ne máàèa hãa,” ta ne méé. A ne a kaisase mẽé si.
MRK.14.6	Igabam kò Jeso ba máá: “Guu si tu, dùús ka tu ko xgáè sia máá? T'õès tséé sas Tíí koe kúrúa hãa. 
MRK.14.7	Dxàua ne khóè ne cgoa tu wèé x'aè ka hãa, a tu a gha ẽe tu ko tc'ẽe x'aè ka qãè zi gúù zi kúrúa máá a, igaba tu wèé x'aè ka Tíí cgoa hãa tite. 
MRK.14.8	Eẽs ga kò kúrúa sas kúrúa hãa. Kg'ónòè tamar hãas cookg'ai koes tc'áróa Te tshãán cgoa ntcã̱á hãa khama. 
MRK.14.9	Tseegukar ko bìrí tu a ko máá: Wèém nqõóm ẽe i ko ncẽe qãè tchõàn xgaa-xgaaèm koe, i gha ẽes kúrúa hãa gúùan nxàeè, tc'ẽe-tc'ẽeseès gha ka,” tam méé.
MRK.14.10	Me kò nxãaska Jutase Isekariote ba, 12 xu ka c'ẽe ba, kaia xu peresiti xu koe síí, nxãasegam gha síí 
MRK.14.11	Eẽ xu ko ẽe sa kóḿ ka xu ko kaisase qãè-tcao, a bìrí me mari xu gha máà me sa. Me nxãaska qãèm x'aè ba qaa, Jeso bam gha tshàu q'ooa xu koe tcãà di ba.
MRK.14.12	Tc'ãà dim cáḿ péré gãé-gãe úú tamas pérés di kõ̱èan dim ka, ẽe xu ko ghùu-coam Paseka di ba cg'õo, ka xu ko Gam di xu xgaa-xgaase-kg'ao xu bìrí Me a máá: “Nda koe xae gha kg'ónòa máá Tsi, naka Tsi síí gaa koe Paseka di tc'õoan tc'õó sa Tsi ko tc'ẽe?” témé.
MRK.14.13	Me Gam di xu xgaa-xgaase-kg'ao xu koe cám̀ tsara tsééa tcg'òó a bìrí tsara a, a máá: “Qõò naka x'áé-dxoom koe síí, c'ẽem khóèm tshàa gàba ba qgóóa hãa ba tsao gha xg'ae cgoa. Xùri me, 
MRK.14.14	naka ẽem kòo nquum ka q'õòse ba tcãà ne bìrí me naka máá: ‘Xgaa-xgaa-kg'ao ba ko máá, cg'áè-nquum Tiri xu xgaa-xgaase-kg'ao xu cgoar gha hàà Paseka di tc'õoan tc'õó ba nda hãa sa?’ témé. 
MRK.14.15	Me gha tc'amaka hãam nquum kaia, a wèé zi gúù zi tc'ẽeseko zi úúa hãam, nxãakamaga kg'ónòa xg'araèa ba x'áí tsao o, gaa koe tsao kg'ónòa máá xae e,” témé.
MRK.14.16	Tsara kò xgaa-xgaase-kg'ao tsara tcg'oa a x'áé-dxoom koe qõò, a síí ẽem kò ma bìrí tsara a hãa khamaga ma sao-xg'ae i ii, tsara ko Pasekan kg'ónòa máá Me.
MRK.14.17	Eẽ i ko dqòa kam kò 12 xu cgoa hàà. 
MRK.14.18	Eẽ xu hãa a ko tc'õó kam ko Jeso ba máá: “Tseegukar ko bìrí xao o, gaxao ka c'ẽe ba gha khóè ne tshàu q'oo koe tcãà Te, ncẽe 
MRK.14.19	Xu tshoa-tshoa a tshúù-tcaoa, a wèéa xu cúí mana cúí tẽè Me a máá: “A tíí tama raa?” témé. 
MRK.14.20	Me xo̱a xu a máá: “Eẽ gaxao 12 xao ka c'ẽe me e, ncẽe ko Tíí cgoa gàbas koe péréan tcguù-tcguu ba. 
MRK.14.21	Eẽ i ma Khóèm dim Cóám ka ma góásea khamaga i gha ii, igaba haò, cg'ãè i gha ii, ẽe ko Khóèm dim Cóá ba khóè ne tshàu q'oo koe tcãàm ka! Qãèa i ga kò máá mea hãa, táám ga kò ábàèa hãa sa,” tam méé.
MRK.14.22	Eẽ xu hãa a ko tc'õó, kam ko Jeso ba péré sa séè, a ts'ee-ts'eekg'ai si, a khõá q'aa si, a máà xu si, a ba a máá: “Séè, ncẽea Tirim cgàa me e,” témé.
MRK.14.23	A ba a kubi sa séè, a ts'ee-ts'eekg'ai si, a máà xu si, xu wèé xu ga gaas q'oo koe kg'áà. 
MRK.14.24	Me bìrí xu a máá: “Ncẽe nea Tiri c'áò o, qáé-xg'aes di i, ncẽe ko káí ne khóè ne di iise ntcã̱águè e. 
MRK.14.25	Tseegua ner ko bìrí xao a ko máá: Cuiskaga Ra gaicara kg'om dis hìis di gõéan kg'áàa hãa tite, me gha nxãakg'aiga síí ẽem cáḿ Nqarim di x'aian di ba tcãà, gaicara Ra gha ka̱base kg'áà a di ba,” tam méé.
MRK.14.26	Eẽ xu ko cii ba nxáèa xg'ara, ka xu ko tcg'oa a Olife dim xàbìm koe qõò.
MRK.14.27	Me Jeso ba bìrí xu a máá: “Wèéa xao ga gha khuùagu Te, góásea i hãa a ko máá:
MRK.14.27	‘Kòre-kg'ao bar gha xg'áḿ,
MRK.14.27	si gha ghùuan dis xg'ae sa qgóéa q'aa,’
MRK.14.27	téméè khama. 
MRK.14.28	Igaba ẽer ko x'ooan koe ghùièa xg'ara ner gha tc'ãà-cookg'ai xao o, a Galilea koe qõò,” témé.
MRK.14.29	Me Petere ba bìrí Me a máá: “Eẽta xu ga ko ma wèéa xu ga khuùagu Tsi, igabar tíí cuiskaga gatà hẽé tite,” témé. 
MRK.14.30	Me Jeso ba bìrí me a máá: “Tseegukar ko bìrí tsi: Ncẽem ntcùúm ka, qanegam ghòrò ba cám̀ q'oro kg'ae tamas cookg'ai koe tsi gha nqoana q'oro xo̱ase Te,” témé. 
MRK.14.31	Igabam kò Petere tcana hãa tcáó cgoa kg'ui a máá: “Tsáá cgoar ga ko x'óó igabagar cuiskaga xo̱ase Tsia hãa tite,” témé. Xu kò wèé xu gatà méé.
MRK.14.32	Xu Getesemane ta ko ma tciièm qgáìm koe qõò. 
MRK.14.33	Kam ko Petere ba hẽé, naka Jakobo ba hẽé, naka Johane ba hẽéthẽé xu séè, si kò tshoa-tshoa a kaisas tshúù-tcao sa hẽé nakas nxùrù-tcao sa hẽéthẽé tcãà Me. 
MRK.14.34	Me bìrí xu a máá: “Tc'ẽea Tea kaisase thõòan xám̀a hãa, x'óór ga khama noose. Ncẽe koe xao qaù naka q'õé,” témé.
MRK.14.35	Me cg'árése còoka síí a góḿankg'ai koe cg'áé, a ba a còrè, ncẽè kgoanase i kò nem ga ẽem x'aè ba nqáé Me sa, 
MRK.14.36	a ba a máá: “Aboè, Tiri Tsi Xõò Tseè, wèé zi gúù zia Tsáá koe tàà tama, ncẽes kubis 
MRK.14.37	A ba a ka̱bise a síí cgae xu, a síí sao-xg'ae xu xu x'óm̀a hãa, Me Petere ba bìrí a máá: “Simoneè, x'óm̀a tsi gáé hãa? Táá tsi gáé ga kò kg'ama cúím aoaram ga ba kókòa ntcõó a q'õé? 
MRK.14.38	Q'õésea méé xao hãa naka còrè, naka xaoa gha nxãasega táá kúrúa bóòkuan koe tcãà guu. Tc'ẽe ba 
MRK.14.39	Me gaicara ka̱bise a qõò, a síí ẽem ncãa ko ma còrè khamaga ma còrè.
MRK.14.40	Eẽm ko gaicara ka̱bise a ko hàà kam kò sao-xg'ae xu xu x'óm̀a hãa, tcgáía xu kò ntcàma hãa khama. Xu kò táá q'ãa nta xu gha ma xo̱a Me sa.
MRK.14.41	Me gaicara nqoana dis ka hàà, a máá: “Qanega xao gáé x'óm̀a hãa, a ko sãa? Ncãa i tc'ãò ncẽeska, x'aè ba ncãa hàà. Bóò, Khóèm dim Cóá ba ko hàà chìbi-kg'ao ne tshàu q'oo koe tcãàè. 
MRK.14.42	Tẽe xao, naka xae qõò. Eẽ khóè ne tshàu q'oo koe tcãà Team khóè ba cúùse hàna ke,” tam méé.
MRK.14.43	Eẽm Jeso ba qanega hãa a ko kg'ui kam ko kúúga Jutase ba hàà, 12 xu ka c'ẽe ba, a káí xu khóè xu cgoa hãa, ntcàuan hẽé naka dxòman hẽéthẽé kò qgóóa hãa xu, a kaia xu peresiti xu koe hẽé, naka x'áè xgaa-xgaa-kg'ao xu koe hẽé naka 
MRK.14.44	Me kò nxãaska ẽe kò khóè ne tshàu q'oo koe tcãà Me ba x'áí sa máà xua hãa a ko máá: “Eẽr gha ko x'obè ba Gaam ga Me e, ke xao qgóó Me naka xaoa q'õé Mea hãase úúa tcg'òó Me,” témé. 
MRK.14.45	Me Jutase ẽem ko hàà ka gaa x'aè kaga Jesom koe síí a máá: “Xgaa-xgaa-kg'ao Tseè,” témé. A x'obè Me.
MRK.14.46	Xu khóè xu Jeso ba séè a qgóó Me.
MRK.14.47	Igabam kò ẽe kò cúùse tẽe xu ka c'ẽe ba gam dim ntcàu ba tsgúùa tcg'òó, a kaiam peresitim dim qãàm dim tcee ba xg'aoa qhòm.
MRK.14.48	Me Jeso ba bìrí xu a máá: “Ts'ãà-kg'ao ba tsãá hààraa khama xao gáé ntcàuan hẽé naka dxòman hẽéthẽé cgoa hààraa, hàà xao gha qgóó Te ka? 
MRK.14.49	Wèé cáḿ kar kò tempelem koe gaxao cgoa hãa a ko xgaa-xgaa, igaba xao kò gaa koe síí táá qgóó Te. Igaba méés 
MRK.14.50	Xu kò nxãaska wèé xu 
MRK.14.51	Me c'ẽem qárí-kg'ao-coa ba xùri Me, gúù ga kò hã̱a tama, a kò q'úúm qgáím cgoa tcáḿsea hãa ba, xu ntcàù me ka hẽé, igabam tshàu q'ooa xu koe nxàia tcg'oa, 
MRK.14.52	a qgáí ba tshàu q'ooa xu koe qaù, a ba a hã̱a tamase qgóé.
MRK.14.53	Ka xu kò Jeso ba kaiam peresitim koe úú. Xu kò nxãaska wèé xu kaia xu peresiti xu hẽé, naka 
MRK.14.54	Me Petere ba kháóka téé a còò Me, a síí nxãakg'aiga kaiam peresitim dim xhàrom q'oo koe tcãà, a ba a síí kòre-kg'ao xu cgoa c'ees-kg'áḿ koe ntcõó a kùru-kuruse.
MRK.14.55	Xu kò kaia xu peresiti xu hẽé naka wèé xu tc'ãà-cookg'ai xu hẽéthẽé Jeso ba xu gha chìbi-chibi a cg'õom dàò ba qaa, igaba xu kò táá hòò kòm̀ Me. 
MRK.14.56	Káí xu khóè xu kò ko Gam ka tshúù-ntcõan nxàea tseegukagu khama, igaba zi kò ẽe xu ko nxàe zi gúù zi táá qõòa mááku. 
MRK.14.57	Tsara c'ẽe tsara tẽea-téé a tshúù-ntcõan Gam ka nxàe a máá: 
MRK.14.58	“Sitsama kò kóḿ Mea Me ko máá: ‘Tíí Ra gha ncẽem tempelem 
MRK.14.59	Igabagas kò ẽe tsara ko nxàea tcg'òó sa táá qõòa mááku.
MRK.14.60	Me kaiam peresiti ba hàà a gaxu xg'aeku koe téé, a Jeso ba tẽè a máá: “C'ẽe gúù ga Tsi gáé xo̱a tama? Ncẽe tsara khóè tsara ko Tsáá ka nxàe sa gáé dùú saà?” témé. 
MRK.14.61	Igabam kò nqoo a táá cúím tẽèm ga ba xo̱a.
MRK.14.61	Me gaicara kaiam peresiti ba tẽè Me a máá: “Kreste Tsi Tsia, Gam ncẽe ts'ee-ts'eekg'aièa hãam di Tsi Cóá Tsi?” témé. 
MRK.14.62	Me Jeso ba máá: “Tíí ga Ra a. Khóèm dim Cóá ba tu gha bóò, Me Gaam ẽe wèé qarian úúa hãam dim kg'áòm x'õàm xòè za ntcõóa-ntcõe, a ko nqarikg'ai di túú-c'õòan cgoa xõa,” témé.
MRK.14.63	Me kaiam peresiti ba qgáía ba tòàra q'aa a máá: “Dùú di nxàea tseegukagu-kg'ao xae gáé ko qanega qaa? 
MRK.14.64	Ncãa xao kóḿ kaisas cóèkus ncẽe sa! Gaxaoa ko ntama ma tc'ẽe?” témé.
MRK.14.64	Xu wèéa xu ga xgàra Me a máá, x'oos kam kg'anoèa, témé.
MRK.14.65	Xu c'ẽea xu tshoa-tshoa a tcg'ae cgae Me, a qáé tcgáí Me, a xu a xg'áḿku cgoa Me, a bìrí Me a máá: “Porofita 
