MAT.1.1	'Crɩɛn ‑bʋ, ‑Yusu 'Klɩsʋ a ‑tɩ ɛ nɛ ‑mɔ lɛ. ‑Yusu 
LUK.20.17	‑Yusu bʋ ta 'ʋ ꞊nʋ ‑mɔ lɛ ‑tata, ‑ɛ ‑bɩ ɛ wɛn: «'A ‑tɩ, ‑tɩ ‑bʋ, ʋ 'crɩɩ la 'lɩ Nyɩsʋacrɩɛn 'kwli, dɛ ‑mʋ', ɛ ꞊hɛn 'nyrɛ, ba ‑hie꞊e 'lu ‑mɔ lɛ. ‑Tɩ a 'mʋ, ɛ nɔ‑ ‑bʋ:
LUK.20.17	'Katuo ‑mʋ', 'kayupʋnyʋ 'yɛ nɩ ‑hʋa la bʋ nu la ‑kʋan 'yri,
LUK.20.17	ʋ pʋ la 'kɩbɩa kɩ,
LUK.20.17	ɛ nɔ‑ ‑hɛ 'kayu a 'mʋ a 'katuo gbagbʋ.»
LUK.20.18	‑Ɛ ‑bɩ kɛ‑ ɛ pɩ de, ɛ wɛn: «Nyiblo 'bʋ ꞊gbɛ 'katuo a 'mʋ yɩ, ɛ kɔ bʋ ‑yɩyrɛ lɛ, mɔ, nyiblo, 'katuo a 'mʋ, 'bʋ bi꞊e kɩ, ɛ di wʋwa꞊a lɛ.»
LUK.20.19	'Tɩ‑ ‑Yusu 'mʋ ‑yrɛ mɔ mu, ‑ɛ ‑bɩ Nyɩsʋa a 
LUK.20.20	Kɛɛ ‑ɛ ‑bɩ ʋ ‑tʋa ‑Yusu a ‑gbɛɛlɛ. Ɛ nɔ‑ nu꞊o, 'ʋ tɛ nyibli bʋ, 'kɩ 'ʋ꞊ʋ 'hʋɩ, ʋ 'mʋ nyibli ‑mʋ', ‑ʋ kɔ 'ʋ꞊tuulɛ a ŋmlɩ lɛ nu, ʋ 'mʋ꞊ʋ lɛ 'bɛti ‑nɩ, ‑ɛ di꞊e nu, 'kɩ 'lɩ 'a klɛ‑hɩhɩawin 'kwli, ʋ 'mʋ 'lɩ ‑naa ‑nɩ, ʋ 'mʋ꞊ʋ ‑tɩ ‑yɛɛ ‑nɩ, ʋ 'mʋ꞊ʋ klɔ a ‑tɩ, ʋ 'mʋ꞊ʋ Romakʋɛ a ‑gʋlʋnʋma ‑jɩ' pʋ, ɛ 'mʋ꞊ʋ ‑bati lɛ ‑pʋʋ ‑nɩ. 
LUK.20.21	‑Tɛ ʋ nyre 'kɩ 'ʋ꞊ʋ 'hʋɩ, ‑ɛ ‑bɩ ʋ wɛn: «Tɔɔnyɔ o, ‑a yi꞊e nɩ, ‑ɛ mɔ, ‑hlɛ ‑tɩ a ‑tɛɛ, 'tɩ‑ ꞊nɩ tʋɛ ꞊nɛ nyibli. 'Bʋ mɔ, ꞊nɩ yɩ꞊ɩ nɩ hlɛ, ‑tonyibli a 'lulɛ‑hihie a hʋannʋ 'nɩ ‑nu꞊o lɩ ‑mʋ, 'ye ꞊bɩɩ ɛ mɔ nyiblo gbagbʋ. ‑Na ‑tɩ a ‑tɛɛ nɩ ‑do a 'mʋ, ɛ nɔ‑ ‑tʋɛ ‑nɩ, 'kɩ 'ʋ dɛ ‑mʋ', Nyɩsʋa ‑hʋɛ a ‑ta'. 
LUK.20.22	'A ‑tɩ o, lee nɛ ‑a mʋ, ꞊bɩ Nyɩsʋa a 
LUK.20.23	Kɛɛ, ‑Yusu yru 'waa ꞊yrɛ a 'mʋ nɩ, ɛ wɛn: 
LUK.20.24	«Ba tɔɔ 'mʋ 'wliyɔkɔ a 'yɛ nɩ ‑do yɩ.» ‑Tɛ ʋ ‑nyi ꞊nɛ꞊ɛ, ‑ɛ ‑bɩ ɛ wɛn: «Nyiblo a 'dɩ ‑bɩ, ‑ɛ kɔ yigbakla ‑nɩ 'ʋ꞊ʋ kɩ 'lɩ? Nyiblo a 'dɩ ‑bɩ, ‑ɛ kɔ 'nyrɛ ʋ 'crɩɩ 'ʋ ‑wɛ 'lɩ?» ‑Ɛ ‑bɩ ʋ wɛn: «Romakʋɛ a 'kɩɩn gbagbʋ ꞊nɩɔ.» 
LUK.20.25	‑Ɛ ‑bɩ kɛ‑ ‑Yusu pɩ 'kɩ ꞊nʋ yɩ, ɛ wɛn: «'A ‑tɩ o, dɛ ‑bʋ, ‑ɛ blɛɛ 'kɩɩn gbagbʋ yɩ, ba ‑nyi ꞊nɛ꞊ɛ, ɛ kɔ, dɛ ‑bʋ, ‑ɛ blɛɛ Nyɩsʋa yɩ, ba ‑nyi ꞊nɛ꞊ɛ ‑wɛ.» 
LUK.20.26	Ɛ ꞊hɛn 'nyrɛ, ‑Yusu 'yɩ ꞊dedede klɛ ‑hɩhɩa ‑nɩ, 'kɩ 'ʋ nyibli ye', ‑ɛ kɔ 'kwli 'a yraanyibli di 'lɩ ‑naa ‑nɩ, ʋ 'mʋ꞊ʋ ‑tɩ ‑yɛɛ ‑nɩ. Kɛɛ, ‑tɩ a 'mʋ, ‑Yusu ‑hɩhɩa ꞊nʋ klɛ, ɛ kɛɛ 'waa ꞊wlɩ lɛ. 'A ‑tɩ, ʋ 'yɩ 'kɩ ‑tɩ ꞊dʋ ‑hla de.
LUK.20.27	'Kɩ 'lɩ Jrusrɛdɩɔ 'kwli, ɛ kɔ la ꞊tumu ꞊dʋ. 'A 'nyrɛ mɔ Sadusɩ꞊tumu*. Ʋ nʋ‑ hlɛ꞊ɛ, ‑ɛ mɔ, 'bʋ mɔ, nyiblo 'bʋ 'kʋ, ɛ 'yɩ 'kɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ ‑hɔn 'lɩ 'kʋkʋnyibli 'nyɩ, bʋ 'hrɩ 'klɔ, 'kɩ 'lɩ Nyɩsʋa yɩ. Ʋ nʋ‑ kɔ nyibli ‑mu 'ʋ ‑Yusu 'hʋɩ, ‑ɛ di꞊e nu, ʋ 'mʋ꞊ʋ lɛ 'bɛti ‑nɩ. ‑Tɛ ʋ nyre 'kɩ 'ʋ꞊ʋ 'hʋɩ, ‑ɛ ‑bɩ kɛ‑ ʋ pɩ꞊ɩ yɩ, ʋ wɛn: 
LUK.20.28	«Tɔɔnyɔ o, Nyɩsʋa a winwlɔn‑hanyɔ* 
LUK.20.29	Ʋ wɛn 'nɩ de: «Ɛ kɔ la 'dɩayɩ nyɩbɛpʋ nɩ ꞊hlon'hʋɛn, 'waa yɩ‑hɛnyiblo, nɔ‑ kɔ la nʋgba, 'ɛ 'yɩ 'yu bʋ ‑hie, 'ɛ 'kʋ, 
LUK.20.30	'hʋɛn a nyiblo 'ɛ kɔ꞊ɔ, 'a 'mumu, 'ɛ 'yɩ 'yu bʋ ‑hie, 'ɛ 'kʋ ‑wɛ. 
LUK.20.31	Dɛ nɩ ‑do a 'mʋ, ɛ nɔ‑ nu ta a nyiblo. Dɛ a 'mʋ, ɛ nɔ‑ mu 'lu ‑mɔ ‑mumu, ꞊hlon'hʋɛn a nyiblo 'ɛ kɔ꞊ɔ ‑wɛ, 'kɩ ɛ 'yɩ 'yu bʋ ‑hie, 'ɛ 'kʋ. 
LUK.20.32	‑Tɛ 'waa pɛpɛ, ʋ 'kʋ 'kɩ, ‑ɛ ‑bɩ nʋgba a 'mʋ, ɛ 'kʋ nɩ ‑wɛ. 
LUK.20.33	Nɔ‑ mɔ ‑tɩ, ‑a di ‑mʋ 'bɛti mɔ, ꞊mʋ ‑a mʋ klɛ ‑hɩhɩa ‑nɩ. ‑Nyrɔwɔ ‑kɔ 'kwli nyibli di 'lɩ 'kʋkʋnyibli 'nyɩ ‑hɔn, ʋ di 'klɔ 'hrɩ, 'kɩ 'lɩ Nyɩsʋa yɩ, nyiblo a 'dɩ ‑bɩ ‑di 'kɩ nʋgba a 'mʋ kɔ 'lɩ, ‑ɛ nu꞊o, ‑tɛ ʋ nɩ la 'nɛ‑ ‑tʋtʋ kɩ, nyibli nɩ ꞊hlon'hʋɛn a pɛpɛ a 'mʋ, ʋ kɔ la꞊a nɩ.» 
LUK.20.34	‑Ɛ ‑bɩ ‑Yusu ꞊tu ꞊nʋ ꞊wɔn, ɛ wɛn: «Nʋgbɩ kɔ nyɩbɛpʋ 'hʋɛn‑, ‑ʋ nɩ 'klɔ, ʋ nʋ‑ yɩ ‑kʋkɔ ‑nɩ. 
LUK.20.35	Kɛɛ, 'bʋ ‑hɔn 'lɩ 'kʋkʋnyibli 'nyɩ, 'bʋ 'hrɩ 'klɔ, 'kɩ 'lɩ Nyɩsʋa a 'klɔ yrayrʋ 'kwli, nyibli a 'mʋ, ʋ 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ bʋ kʋkɔ ‑nɩ. 
LUK.20.36	Ʋ 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ 'kʋ 'kɩ de. Kɛɛ, ‑tɛ Nyɩsʋa a 
LUK.20.37	Dɛ ‑bʋ, ‑ɛ mɔ nyibli bʋ di 'lɩ 'kʋkʋnyibli 'nyɩ ‑hɔn, bʋ di 'klɔ 'hrɩ, Nyɩsʋa a winwlɔn‑hanyɔ Moise, nɔ‑ 'crɩ la 'a ‑tɩ. Dɛ ‑mʋ', Nyɩsʋa lee ꞊nɛ, ɛ nɔ‑ ɛ 'crɩ la. ‑Tɛ Nyɩsʋa a 'mʋ, ɛ nɩ la 'lɩ ‑gbakuo, ‑ɛ yɩ la wlɩn 'kwli, 'kɩ ɛ hlee la 'lɩ Moise ‑mɔ. 'Kɩ 'lɩ 'crɩɛnkʋtɩɔ a 'mʋ 'kwli, ‑tɛ Moise yɩ la Kʋkɔnyɔ nɩ dɛ, ‑ɛ ‑bɩ kɛ‑ ɛ pɩ la: 'Mɔ mɔ Nyɩsʋa ‑bʋ, 
LUK.20.38	Ɛ 'wɩ yɩ, ti ‑mʋ' ‑kɔ 'yri Nyɩsʋa yɩ la 'lɩ Moise ‑mɔ ‑hlee ‑nɩ, Abrahamʋ kɔ Yisakɩ kɔ Sakɔbʋ 'hʋɛn‑, ʋ 'kʋ la nɩ see la. Kɛɛ, ‑a yi꞊e nɩ, ‑ɛ mɔ, ɛ 'yɩ 'kʋkʋnyibli 'pa‑, ʋ 'nɩ ‑da꞊a lɩ Nyɩsʋa, kɛɛ, 'klɔnɩnyibli, ʋ nʋ‑ dɛ꞊ɛ. Nyibli ‑mʋ', ‑ʋ nɩ 'lɩ Nyɩsʋa a 'klɔ yrayrʋ 'kwli, ʋ 'yɩ 'kʋ, kɛɛ, ʋ nɩ 'klɔ.» 
LUK.20.39	‑Ɛ ‑bɩ 
LUK.20.40	Bʋ pʋ 'kɩ lɛ, nyibli ‑mʋ', ‑ʋ nɩ 'ʋ, ʋ yɩ pie hʋannʋ, 'kɩ bʋ 'bɛti꞊e lɛ de.
LUK.20.41	‑Ɛ ‑bɩ kɛ‑ ‑Yusu pɩ ꞊nʋ yɩ, ɛ wɛn: «Ɛ kɔ nyibli, 'ʋ pɩ lɛ: Wanyɔ ‑mʋ', Nyɩsʋa pʋ la lɛ, ɛ di la ya, Wanyɔ a 'mʋ, ɛ nɔ‑ mɔ bodɩɔ Dafidɩ a 'yonʋ a 'Yu. 'A mʋ 'n yɩ 'kɩ 'bɛti ‑nɩ: Dɛ‑ kɔ ‑tɩ 'ʋ hlɛ꞊ɛ 'lɩ? 
LUK.20.42	Dafidɩ a 'mumu, ɛ hla꞊a nɩ, 'kɩ 'lɩ Nyɩsʋa a ‑wlablecrɩɛn* 'kwli, ‑ɛ mɔ:
LUK.20.42	Kʋkɔnyɔ Nyɩsʋa lee 'na Kʋkɔnyɔ nɩ,
LUK.20.42	‑ɛ mɔ: Nɩ mɔ 'na diidɛkɩbɩa kɩ bʋ,
LUK.20.42	‑kɔ 'mʋ 'hʋɛn‑,
LUK.20.43	‑a 'mʋ nyibli win kɩ ‑kɔɔ ‑nɩ,
LUK.20.43	ɛ 'mʋ꞊ʋ gba ‑gbagba, 'mʋ꞊ʋ nu,
LUK.20.43	꞊mʋ ‑na yraanyibli bʋɩ 'lu blɛ ꞊tu.»
LUK.20.44	‑Ɛ ‑bɩ ‑Yusu wɛn 'nɩ de: «‑Tɛ Dafidɩ a 'mʋ, ɛ dɛɛ Wanyɔ a 'mʋ 'a Kʋkɔnyɔ, ‑bɩ' Wanyɔ a 'mʋ, ɛ ‑wɛ 'lɩ bʋ nu 'kɩ Dafidɩ a 'Yu a pʋpa 'lɩ?»
LUK.20.45	Nyibli ‑hʋɔhʋɩ ‑mʋ', ‑ʋ nɩ ‑tuo kɩ, ‑tɩ ‑mʋ', ‑Yusu ‑hla, ʋ pʋ꞊ʋ nʋa yɩ bʋ, ‑Yusu 'ɛ yɩ 'lɩ 'a ‑nagbopʋ* ‑mɔ ‑hlee ‑nɩ, ɛ wɛn: 
LUK.20.46	«Ba ꞊tu 'aan dɩɔnʋ 'yie, 'kɩ 'ʋ tetetɔɔnyʋ ‑mɔ, ʋ 'nɩ ꞊ha 'a mʋ ‑kaa ‑nɩ. Ʋ nʋɛ 'kɩ nyibli bʋ daa ꞊nʋ nyibli gbagbɩ. 'Bʋ yɩ lɛ nɩ nɛ, ʋ pɩ nyibli gbagbɩ a wlawlɩ, ‑ɛ di꞊e nu, nyibli 'mʋ ꞊nʋ 'ye. 'Bʋ yɩ 'ʋ ‑tɩtɛ ꞊dʋ nɩ mi, ‑tɛ nyibli ‑hʋʋ 'ʋ, ‑ɛ ‑bɩ ʋ ‑hʋɛ꞊ɛ nɩ, nyibli bʋ pʋ ꞊nʋ 'wio blɛ, 'kɩ 'ʋ 'waa 'ʋ꞊tuulɛ a ‑ta', 'ʋ nʋɛ ꞊nɛ nɩ ‑wɛ, 'bʋ mu 'lɩ Nyɩsʋa a 
LUK.20.47	Ʋ nɩ ‑do a 'mʋ, ʋ nʋ‑ ‑hɛ ‑tʋgbanʋgbɩ kʋkɔ‑tɛblɩ a pɛpɛ ꞊jrɛ. 'Tɩ‑, tetetɔɔnyʋ a 'mʋ, 'bʋ yɩ Nyɩsʋa nɩ dɛ, 'waa Nyɩsʋa a dɩda hlɔ kɩ bʋ, ‑ɛ di꞊e nu, nyibli 'mʋ lɛ pʋ, ʋ mɔ ꞊haannyibli ꞊nɩɔ. 'N yɩ 'a 'mʋ 'nɩ ‑lee ‑nɩ, ‑ɛ mɔ, ‑bati ‑mʋ', Nyɩsʋa di ꞊nʋ lɛ ‑pʋʋ ‑nɩ, ɛ di nɩ 'klɩ kɩ, ɛ 'mʋ 'ʋ nyibli ‑bɩ a ‑bati 'ʋ ‑hi.»
LUK.21.1	'Kɩ ‑Yusu kɔ ‑nagbopʋ* 'hʋɛn‑, ʋ nɩ 'lɩ Nyɩsʋa a 
LUK.21.2	Kɛɛ, bʋ nɩ 'kɩ 'ʋ bʋ, ‑ɛ ‑bɩ ɛ 'ye ‑tʋgbanʋgba ꞊dʋ, ꞊hɩʋɛn ni. ‑Tɛ nʋgba a 'mʋ, ɛ nyre 'ʋ, ‑ɛ ‑bɩ 'wliyɔ gbi nɩ 'hʋɛn, ‑ɛ 'yɩ 'lɩ ꞊dedede a ‑tʋtɔ ‑wɛ, ɛ nɔ‑ ɛ pʋ 'lɩ. 
LUK.21.3	‑Tɛ ‑Yusu 'ye꞊e, ‑ɛ ‑bɩ ɛ wɛn: «'N yɩ 'a mʋ 'nɩ ‑lee ‑nɩ, ‑ɛ mɔ, 'kɩ 'lɩ Nyɩsʋa 'yi, ꞊hɩʋɛnnʋgba ‑bʋ, ɛ pʋ 'lɩ 'wliyɛ, 'ɛ ‑hi 'ʋ nyibli a pɛpɛ ‑bʋ 'ʋ, 
LUK.21.4	‑ɛ nu꞊o, nyibli ‑bɩ ‑mʋ', 'wliyɛ ‑bʋ, ‑ɛ 'yɩ ‑kʋan ‑kɔ, 'kɩ 'ʋ ꞊nʋ ‑mɔ, ɛ nɔ‑ ʋ pʋ 'lɩ lɛ. Nʋgba ‑bʋ, ɛ nɔ‑ ‑mɔ ‑bɩ, ꞊han‑tɩ ꞊hɩʋɛn 'ɛ ni꞊e, kɛɛ, kɛ‑ ɛ nɩ 'mʋ, 'wliyɛ a pɛpɛ ‑mʋ', ɛ di wɛn nu, ɛ 'mʋ wɛn 'a dɩɔnʋ yɩ ‑wɔn, ɛ nɔ‑ ɛ pʋ 'lɩ.»
LUK.21.5	Nyibli ‑bɩ, nʋ‑ hlɛ la Nyɩsʋa a 
LUK.21.6	«'Kayu ‑bʋ, a yɩ 'ye, ‑nyrɔwɔ di 'ʋ 'nɩ nyre, ‑ɛ kɔ 'kwli ʋ di 'ʋ꞊ʋ 'ʋ 'wlaa ‑nɩ pɛpɛ. 'A 'hɩɔ ꞊dʋ 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ nɩ 'ʋ 'a 'bɩ 'hɩɔ 'lu bʋ.»
LUK.21.7	‑Ɛ ‑bɩ ʋ 'bɛti ‑Yusu nɩ, ʋ wɛn: «Tɔɔnyɔ, lee nɛ ‑a mʋ, ti a 'dɩ ‑bɩ ‑kɔ 'yri ʋ di 'ʋ Nyɩsʋa a 
LUK.21.8	‑Ɛ ‑bɩ ɛ ꞊tu ꞊nʋ ꞊wɔn, ɛ wɛn: «Ba ꞊tu 'aan dɩɔnʋ 'yie, nyiblo ꞊dʋ 'nɩ ꞊ha 'a mʋ ‑kaa ‑nɩ, ‑ɛ nu꞊o, nyibli ‑hʋɔhʋɩ di 'nɩ di, ʋ 'mʋ lɛ pʋ, ʋ nʋ‑ mɔ Wanyɔ ‑mʋ', Nyɩsʋa pʋ la lɛ, ɛ di la ya, ʋ 'mʋ lɛ pʋ ‑wɛ, ti ‑mʋ', ‑ɛ kɔ 'yri Wanyɔ a 'mʋ, ɛ di ya, ɛ 'mʋɛ yrɛ. Kɛɛ, a 'nɩ 'kʋɛɛ 'lɩ ꞊nʋ ꞊wien. 
LUK.21.9	'Ya 'ʋ 'lu de, a di 'nɩ 'wɩn, ‑ɛ mɔ, ʋ ‑wɛn tʋ, 'kɩ 'lɩ 'blʋgbɩ ‑bɩ kɩ, ɛ kɔ, a 'mʋ 'wɩn, ‑ɛ mɔ, ɛ kɔ nyibli ‑bɩ, 'ʋ yɩ 'blʋgbɩ ‑bɩ ꞊gbugblo ‑nɩ. 'Bʋ mɔ, 'ba yɩ nɩ 'wɩn, a 'nɩ 'pie 'lɩ hʋannʋ, ‑ɛ nu꞊o, ‑tɛblɩ a pɛpɛ a 'mʋ, ɛ kɔ bʋ mu 'lu ‑mɔ. Kɛɛ, 'bʋ yɩ 'lu ‑mɔ nɩ mi, ɛ 'yɩ 'nyrɛ ꞊hɛn, ‑ɛ mɔ, ti nɩ ‑do a 'mʋ 'yri, 'kɩ 'klɔ a 'ʋ‑hɔnti di 'ʋ ‑nyree ‑nɩ.»
LUK.21.10	Kɛ‑ ɛ pɩ de: «'Blʋgbɩ di yɩ 'nɩ ‑wʋnwɔn ‑nɩ. 
LUK.21.11	'Kɩ 'lɩ 'blʋgbɩ ‑hʋɔhʋɩ 'kwli, ‑tʋtʋ di 'nɩ 'hɩhlɛ ‑nɩ dɩakɩ, 'kanʋ 'mʋ ꞊tɩ, ꞊tɩtakʋɛ 'mʋ nyibli klɔ. Hʋannʋ‑tɛblɩ 'mʋ 'lɩ yakɔ 'kwli lɛ 'hrɩɩ ‑nɩ.
LUK.21.12	Kɛɛ, 'tɩ‑ ‑tɛblɩ a pɛpɛ a 'mʋ, ɛ 'mʋ 'ʋ nyre, ʋ di 'a mʋ 'nɩ klɔ, ‑tɛ a mɔ 'na nyibli a ‑tɩ, ʋ 'mʋ 'a mʋ ꞊hɩʋɛn ꞊tu, ɛ kɔ, ʋ 'mʋ 'lɩ 'a mʋ Nyɩsʋa a 
LUK.21.13	'Bʋ mɔ, ‑tɛblɩ a 'mʋ, 'bʋ nyre 'ʋ, 'kɩ 'ʋ 'a mʋ ‑mɔ, a di kɔ 'hru, 'kɩ ba hla꞊a, ‑ɛ mɔ, a kuo 'mʋ ꞊wlʋ yɩ. 
LUK.21.14	'A ‑tɩ, 'bʋ pa, 'bʋ yɛɛ nɛ 'a mʋ ‑tɩ, ‑tɩ ‑bʋ, a di hla, 'a ‑tɩ 'nɩ 'yaa 'lɩ 'a mʋ 'kla ‑wliye, 'tɩ‑ ‑tɛblɩ a 'mʋ, ɛ 'mʋ 'ʋ nyre. 
LUK.21.15	'Na ꞊gbɛtʋ, 'mɔ ‑di 'a mʋ ꞊tɔ ‑nyi, a 'mʋ win pʋ. Nyibli ‑mʋ', ‑ʋ yɩ 'a mʋ ‑tɩ ‑yɛɛ ‑nɩ, ʋ 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ nyra 'a mʋ yɩ bʋ, ɛ kɔ, bʋ ꞊tu 'a mʋ ꞊wɔn ‑wɛ. 
LUK.21.16	'Aan 'baɩnʋ, kɔ 'aan 'diinʋ, kɔ 'aan 'dɩayɩnʋ, kɔ 'aan ꞊tugba a nyibli, kɔ 'aan nɩnatumupʋ, ʋ di pʋ 'a mʋ 'blʋgba a naanyʋ ‑jɩ', ʋ 'mʋ ‑ʋ ‑bɩ lɛ 'lɩla ‑nɩ, 'kɩ 'lɩ 'a mʋ 'nyɩ. 
LUK.21.17	Nyibli a pɛpɛ kɔ bʋ yraa nɛ 'a mʋ, ‑tɛ a mɔ 'na nyibli a ‑tɩ. 
LUK.21.18	Kɛɛ, ꞊dedede 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ nyre 'ʋ, 'kɩ 'ʋ 'a mʋ ‑mɔ, mɔ, 'aan 'lunyapli nɩ ‑do 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ 'wan. 
LUK.21.19	A 'nɩ 'saa 'lɩ. Ɛ nɔ‑ di꞊e nu, Nyɩsʋa 'mʋ 'a mʋ 'klɔ yrayrʋ ‑nyi.»
LUK.21.20	Kɛ‑ ‑Yusu pɩ 'a ‑nagbopʋ* yɩ de, ɛ mɔ: «'Bʋ mɔ, 'ba 'ye Jrusrɛdɩɔ, hɩapʋdakɔ ‑bɩ a 'sɛyo 'bʋ ꞊glaa 'lɩ꞊ɩ lɛ, ‑ɛ ‑bɩ ba yi꞊e, ‑ɛ mɔ, Jrusrɛ a mʋ, 'a 'wʋwlati yɩ 'ʋ 'nɩ nyre. 
LUK.21.21	'Ba 'ye ‑tɛblɩ a 'mʋ, ‑ɛ ‑bɩ nyibli ‑mʋ', ‑ʋ nɩ 'lɩ Sudeblʋgba 'kwli, bʋ 'gba ci lɛ, bʋ mu 'lɩ dʋgbɩ 'lu, kɔ, nyibli ‑mʋ', ‑ʋ nɩ 'lɩ Jrusrɛdɩɔ 'kwli, bʋ hlɔ ‑mɔ, kɔ, nyibli ‑mʋ', ‑ʋ nɩ 'lɩ ‑titi, ʋ 'nɩ 'die 'lɩ 'dɩɔ, ʋ 'nɩ ꞊ha ꞊nʋ lɛ 'lɩla ‑nɩ, 
LUK.21.22	‑ɛ nu꞊o, ‑nyrɔwɔ a 'mʋ 'kwli, Nyɩsʋa di ꞊tu 'a dakɔ ꞊hɩʋɛn. Kɛ‑ ‑tɩ a pɛpɛ ‑mʋ', Nyɩsʋa a winwlɔn‑hanyɔ* hla la, 'kɩ 'lɩ Nyɩsʋacrɩɛn 'kwli, ɛ di 'lu a ‑mɔmumuo nu. 
LUK.21.23	Ti a 'mʋ 'yri, nʋgbɩ ‑mʋ', ‑ʋ di 'kwli lɛ nɩ, kɔ 'waa dɛ ‑mʋ', ‑ʋ di 'yonʋ 'nya, ʋ di 'ye ꞊hɩʋɛn dɩakɩ, kɔ, dakɔ 'mʋ ꞊hɩʋɛn 'ye dɩakɩ, Nyɩsʋa 'mʋ 'a dakɔ yrʋ lɛ ‑pʋʋ ‑nɩ. 
LUK.21.24	Ʋ di nu 'plɩɛn, ʋ 'mʋ ‑ʋ ‑bɩ lɛ 'lɩla ‑nɩ, ʋ 'mʋ 'lɩ ‑ʋ ‑bɩ dakɔ ‑mʋ', ‑ʋ 'yɩ Nyɩsʋa ‑yi a 'bli gba, ʋ 'mʋ ꞊kodɛ nu mɔ mu. Dakɔ ‑mʋ', ‑ʋ 'yɩ Nyɩsʋa ‑yi, nʋ‑ di Jrusrɛdɩɔ 'wla, ɛ 'mʋ꞊ʋ gba ‑gbagba, 'waa ‑nɛ ti 'mʋ 'lɩ ‑wɛ.»
LUK.21.25	Kɛ‑ ‑Yusu pɩ de, ɛ wɛn: «꞊Hɩʋɛn'yeti a 'mʋ, 'bʋ nyre 'ʋ, hʋannʋ‑tɛblɩ di mu 'lu ‑mɔ, 'kɩ 'lɩ 'yrʋ 'yi, kɔ 'kɩ 'lɩ ꞊hɔnpʋ kɔ nyahroyɔ 'hʋɛn‑ 'yi. 'Kɩ 'nɛ‑ ‑tʋtʋ ‑bʋ kɩ, dakɔ a pɛpɛ di nɩ 'lɩ hʋannʋ 'kwli, 'kɩ 'ʋ 'yru kɔ 'a 'dʋɩ 'hʋɛn‑ a ‑cici a ‑ta'. Dɛ bʋ di 'lu ‑mɔ lɛ ‑hie, ʋ 'yɩ 'lɩ꞊ɩ 'lɩ ‑wɛ, bʋ yi꞊e. 
LUK.21.26	‑Tɛblɩ ‑di 'nɛ‑ ‑tʋtʋ kɩ 'lu ‑mɔ ‑muu ‑nɩ, nyibli 'bʋ yɩ 'a ‑tɩ 'lu ‑mɔ lɛ nɩ ‑hie, 'a hʋannʋ, nɔ‑ di ꞊nʋ lɛ 'lɩla ‑nɩ. ‑Tɛblɩ a pɛpɛ, ‑ɛ nɩ 'lɩ yakɔ 'kwli, ɛ di ‑hɔn ‑ta' lɛ. 
LUK.21.27	Ti nɩ ‑do a 'mʋ 'yri, 'mɔ ‑bʋ, ‑ɛ mɔ ‑tonyibli a pɛpɛ a Nyiblo, 'kɩ ʋ di 'ʋ 'mʋ 'yee ‑nɩ. 'N kɔ ꞊bʋ di, 'kɩ 'lɩ 'na 'klɩkɩnɩnɩɩ a pɛpɛ 'kwli, kɔ 'kɩ 'lɩ 'na ‑tɩ a 'yi'bʋbʋa 'kwli. 'Bʋ mɔ, 'nɩ yɩ nɩ di, 'kɩ 'n di 'lɩ 'nuŋmɩ 'nyɩ nɩ. 
LUK.21.28	Ti ‑mʋ' ‑kɔ 'yri ‑tɛblɩ a 'mʋ, ɛ di ‑wlu ꞊tu, ba 'hrɩ 'lɩ lɛ, ɛ kɔ, ba ‑ha 'lɩ 'lu ‑wlu, ‑ɛ nu꞊o, ‑nyrɔwɔ, Nyɩsʋa di 'ʋ 'a mʋ ꞊gblɛɛ ‑nɩ, ɛ 'mʋɛ yrɛ.»
LUK.21.29	‑Yusu bʋ pʋ 'kɩ lɛ, ‑ɛ ‑bɩ ɛ pʋ ꞊nʋ 'ledʋ ‑bɩ yɩ, ɛ wɛn: «Ba 'ye tugbɛ ‑mʋ', ʋ dɛɛ 
LUK.21.30	'Bʋ mɔ, 'ba yɩ ꞊nʋ nɩ 'ye, 'bʋ yɩ hawi yrayrɩ nɩ pɩ, ‑ɛ ‑bɩ a yi꞊e nɩ, ‑ɛ mɔ, ‑ci‑nyrɛ 'mʋɛ yrɛ. 
LUK.21.31	‑Tɛblɩ a pɛpɛ ‑bʋ, ‑kɔtɩ 'n hla wɛn, 'bʋ yɩ 'lu ‑mɔ nɩ mi, ‑ɛ ‑bɩ ba kɔ 'a yiyie, ‑ɛ mɔ, ti ‑mʋ' ‑kɔ 'yri Nyɩsʋa di 'ʋ nyibli win kɩ ‑kɔɔ ‑nɩ pɛpɛ, ɛ 'mʋɛ yrɛ. 
