GEN.1.1	Talfut kese ding dim bakate, Sunbin-Got e abiil so kawin so mesesem alik alik be kilkese kale. 
MAT.5.47	Beemdiw, Isalael kawtiw im ibik biliw kawtiw bikati ikalem awkunum kumel ilo yetemeko, ‘Nakunum a! Belew yako!’, yangbiliw te. Fein, be fian eisneng bate! 
MAT.5.48	Kate, yukalem ete diwkuw diwkuw abiil tikin alakabe Kalew beem ken atin kiol kuw kukuw emdiw kemoliwka!”, yangse kale.
MAT.6.1	Yangeko, Yesus e iti weng mak bokoyemomele: “Mali yu ibolow fukuniwete: ‘Nu kunum waneng im kiin dim e kukuw ken so kunum waneng kebuluw kasike, i nulo yetemeko, nulo yamsulbomi, num wiin kuw daoyemboliwka!’, angbiliw kate, yu kilelbi boliwka! Yu beemdiw angbiw tewe, yom abiil tikin katem alakabe Kalew be iti yan ken makso mak nam duyemoke te.
MAT.6.2	Yu ibolow fukuneko, mesesem eisneng sukum kebiliw kawtiw ilo ‘Mesesem mak duyemum o!’, angiw tewe, yu kanelom kawtiw alik alik im kiin dim kel mesesem mak dukayembokoliw te! Kate, yu awkol awkol okiw dako, tal kel dukayemboliwka! Nimtew angom? Fimdi famde kekabiliw kawtiw ite kuw kawtiw im wensankabiliw am dim so, deiwkim mutuk kel so, ka kel mali ilo dukuyemeko, ibolow fukunomeliw: ‘Kame mesesem eisneng mak dukayemuw tewe, alik alik i num kanekabuluw be atemeko, num wiin daoyem kemoliwka!’, angbiliw kawtiw ite te. Kate, yu kililina! Fimdi famde kawtiw bi ikalem yan kulusiliw kasike, Sunbin-Got e ilo yan mak so nam duyemoke te. 
MAT.6.3	Yu ibolow fukuneko, mesesem eisneng mak sukum kebiliw kawtiw ilo yemeniw tewe, yu awkol teing tem okiw dako, ilo dukayemboliwka! 
MAT.6.4	Dukayemiwi, yom abiil tikin katem alakabe Kalew bete kuw yom ibolow folok kukuw be atemeko, fein kal kebe kasike, e yulo akati ibolow folok keyemeko, yan ken mak duyemoke te.”, yangse kale.
MAT.6.5	Yangeko, Yesus e iti weng mak bokoyemomele: “Yom Sunbin-Got eso weng bakameliw ding dim e, yu kanelom fimdi famde kemin kukuw gelewbokoliw te! Fimdi famde kawtiw i kunum waneng im wensankabiliw am dim so, deiw gen gen dim so, ka kel moko, kunum waneng alik alik im kiin dim e Sunbin-Got eso weng bakabiliw kaiske, kawtiw bi kanekabiliw kawtiw biim wiin daokabiliw kasike. Kate, yu kililina! Fimdi famde kawtiw bi ikalem yan kulusiliw kasike, Sunbin-Got e ilo yan mak so nam duyemoke te.
MAT.6.6	Kaneko kasike, yu ibolow fukuneko, ‘Sunbin-Got eso weng bokoluma!’, angiw tewe, yu uneko, kawtiw banim dim kel yomikel kuw kesomi, abiil tikin alakabe yukalem kiin so nam atemiw Kalew eso weng bakamoliwka! Kaneliw tewe, okmobe eisneng alik kilele kal kebe Kalew be yom dakalakabiliw beem yan e fein dukayemboke te. 
MAT.6.7	Yukalem Sunbin-Got eso weng bakabiliw ding dim e, yu kanelom sak weng tiaktiak bingbom bakamokoliw te! Nimtew angom? Sunbin-Got elo kal kelinba kawtiw ite kuw weng tiaktiak bakabiliw kasike. I fukunomeliw: ‘Nu weng tiaktiak bingom bakaluw tewe, e nulo kiliyemoke sako!’, angenkabiliw kate,
MAT.6.8	yukati kanelom im kukuw be gelewemokoliw te! Nimtew angom? Yom sukum kebiliw beem dulum elote elo dakalalinba kebiliw ding dim kabalak e, esik yom sukum biliw eisneng be kilele kal kebe kasike.
MAT.6.9	Feinka! Yu Sunbin-Got eso weng kaleemdiw bokolewomeliw:
MAT.6.9	‘Aatim a! Ku abiil tikin katem belew te.
MAT.6.9	Kunum waneng alik alik i kom wiin ete kuw wangweng wiin kelewboliwka!
MAT.6.10	Kom ^gawman ding dim be fongate akate kaim dim fitewoke te!
MAT.6.10	Abiil katiw im alakabiliw imdiw kawin dim kale buluw kawtiw nukati kom afak kel kebomi, kom ibolow fukunin ete kuw gelewbuluwka!
MAT.6.11	Kaleem ding kale, num ki keyemoke wanin nulo dukayembolewka!
MAT.6.12	Num mali kawtiw im nulo sili sili keyemsiliw kukuw be sak misim kuw kulu koyemkabuluw atew
MAT.6.12	kusik num sili sili ibolow akati sak misim kuw kulu koyem kemolewka!
MAT.6.13	Ku kanelom nulo kak koyemomin em deiw kalo mo koyemokolew te!
MAT.6.13	Kate, Seten-Ataanim em nulo kak keyemoke ding dim kabalak e, ku nulo dokoyem kemolewka!’,
MAT.6.13	dangeko, eso weng bakamoliwka!
MAT.6.14	Yu kililina! Yusik mali kawtiw im yulo sili sili kukuw keyemsiliw kukuw be sak misim kuw kulu koyemiw tewe, yom abiil katem alakabe Kalew akati yom sili sili ibolow be sak misim kuw kulu koyemoke te.
MAT.6.15	Koyemoke kate, yu mali kawtiw im sili sili kukuyemsiliw kukuw be sak misim kuw kulu koyeminba keliw tewe, yom Kalew akati yom sili sili ibolow be nam sak misim kuw kulu koyemoke te.”, yangse kale.
MAT.6.16	Yangeko, Yesus e iti weng mak bokoyemomele: “Nimin kunum waneng ite mak ibolow fukuneko, ‘Sunbin-Got eso weng bakam unumo!’, angiw tewe, i kanelom fimdi famde kawtiw imdiw kemokoliw te! Nimtew angom? I wanin tokoko, kiinguen amu angeko, bokolomeliw: ‘Kiw tabil mutum fasu keluw tewe, mali kawtiw i nulo yetemeko, kal keliwete: ‘Kiol kunum kai!’, yangboliwka!’, angbomi, kanekabiliw kasike. Kate yu kilele kililina! Fimdi famde kawtiw bi ikalem yan kulusiliw kasike, Sunbin-Got e ilo yan mak so nam duyemoke te.
MAT.6.17	Kasike, nimin kunum waneng ite mak ibolow fukuneko, ‘Sunbin-Got eso Weng bakamumo!’, angeko, wanin tokoko, koliw tewe, mali kunum waneng bi kiinguen katket filat angeko, kak kon fiteloliwka! 
MAT.6.18	Keko beli, mali kawtiw i yom wanin tokoko, Sunbin-Got eso weng bokoliw kukuw be kal kelinba kelokoliw te. Kate, yukalem okmobin dim alakabe Kalew be yom okiw dako, kanelokoliw kukuw be kilele kal kebe kasike, e yulo kanelokoliw beem yan ken be fein duyemoke te.”, yangse kale.
MAT.6.19	Yangeko, Yesus e iti bokoyemomele: “Yu kanelom kawin kaleem on kisol eisneng kubul aluw kemokoliw te! Nimtew angom? Yu kaneliw tewe, kawin dim kaleem yakut kunum i yom am dakalko, on kisol ken beem anung mak kuluyemiwi, mali beem anung be musmus kubuli, mali e sisil kow tabilei, alik banimokoliw kasike.
MAT.6.20	Kate abiil tikin em ken kuw sunsun boke on kisol be nam kiloneko, sisil kow kubulei, banime kasike, yu abiil tikin beem on kisol be dubuluw memen keko, bonggu duku kemoliwka!
MAT.6.21	Yu kilele kililina! Yukalem dukubiliw on kisol be katiw kel be tewe, yukalem ibolow fukunin akati katiw elo kuw fewtokoko, boke te. Kate, yukalem on kisol be kawin dim kale kel be tewe, yukalem ibolow fukunin akati kawin dim kale kuw fewtokoko, boke te.”, yangse kale.
MAT.6.22	Yangeko, Yesus e bisil ibolow em fakam weng mak bokoyemomele: “Ibolow mutuk em kiin e yongom dong emdiw aileko, be tewe, kal so dem so alik alik bakati ken kuw boke te. 
MAT.6.23	Kate, kiin e ailinba kebomi, wa keko, mililiw kuw ange tewe, kal so dem so bakati mililiw mutuk keko, wa keboke te.
MAT.6.23	Yu kililina! Yom ibolow mutuk beem ailbin e mililiw kuw kele tewe, yom ibolow mutuk beem mililiw be atin kuw mililiw kuw keloke te.”, yangse kale.
MAT.6.24	Yangeko, bokoyemomele: “Yu kilele ibolow fukunina! Sak weng afak kunum waneng i kamok alew keko, alew biim sak aulyembamin kunum keyembokoliw a? Babo! Nimtew angom? I kak kunum alew im afak keliw tewe, i mak kamok beelo ibolow kelinba keleweko, em weng sakalaw keko, weng bo bo kelokoliw kate, mali kamok beelo ibolow fian keleweko, akalem weng ete kuw gelewemokoliw kasike. Yu kanelom ki keko, Sunbin-Got so on kisol em mamow so aso makuw biim sak weng afak kunum waneng keyemokoliw te!
MAT.6.25	Yu kilele kililina! Yu kanelom kal dim em wanbin eisneng so, ilim minggilomin eisneng so, mesesem eisneng beem dulum elote ibolow tiaktiak kemokoliw te! Nimtew angom? Wanbin eisneng so, minggilomin eisneng beso, kal dim em mesesem be finik so bin em afak kuw kebe kasike.
MAT.6.26	Yu awon im kukuw be diw atemoliwka! I wanin musun kailinba kesomi, wanin kulu duku kemin am bakal gelinba kekabiliw kate, yom abiil tikin alakabe Kalew be bikati wanin yemenkabe te. Yu kilele ibolow fukunemoliwka! Kalew beem kiin dim e kunum waneng yom yan e awon im yan e bakilewkabe kasike.
MAT.6.27	Feinka! Yom ibolow fukunin tiaktiak beem mongom ete yu ki keko, yukalem kawin dim kale kakabiliw ding beem dulum elote fong gel ding makso mak nam duliw te. 
MAT.6.28	Nimtew angom ete yu kal dim em minggimin eisneng beelo ibolow fukunin tiaktiak kekabiliw a? Yu kut em ais bokbok weit atite ati atemeko, ibolow fukunemoliwka! I bukeko, sok wilinba kekabiliw kate, 
MAT.6.29	yu nem weng kale kiliko, kal keloliwka! Kalew em ais bokbok biilo duyemse kait be emisk kamok fian Solomon em kait atite be atin kuw bakilewkabe te.
MAT.6.30	Fein ibolow fong gel so kunum waneng yu sang gel kale diw atebamoliwka! Sunbin-Got e sukum ding kuw alakabe musun beem balasal be kait ken so minggikabe kate, kawtiw i balasal be sak goto kelewko, ais dakabiliw te. Feinka! Sunbin-Got e balasal beelo kilele atebe kasike, e kunum waneng yulo atin kuw fein kuw yetemoke te! 
MAT.6.31	Keko kasike, yu kanelom bokolomeliw: ‘Ibo! Num wanin e nu nal kel kulamokoluw a? Ok e, nu nal kel kuluko, wanbokoluw a? Kal musun beem ilim e nal kel de telesomi, num kal kasi kolew kemokoluw a?’, angeko, sakik kemokoliw te! 
MAT.6.32	Nimtew angom? Kawin dim kaleem kunum waneng i beem eisneng elo ibolow tiaktiak kekabiliw kate, yom abiil tikin alakabe Kalew be yom sukumeko, kulomin ibolow eisneng beelo kilele kal kekabe kasike.
MAT.6.33	Yu kitil keko, abiil tikin em ^gawman ding dim em mesesem eisneng beelo fenbomi, akalem ibolow fukunin kiol kuw bete kuw gelewbiliw tewe, e kawin dim kaleem sukum kebiliw eisneng be yulo akati sak misim kuw dukayemboke te.
MAT.6.34	Dukayemboke kasike, yu kanelom sow kutim em mesesem eisneng beem ibolow elo ibolow fukunin tiaktiak kemokoliw te! Babo! Kate mak ding mak em sakik ilum be bakalem ding kuw kasike, yu kanelom sow kutim em kulomin em sakik beelo kame ibolow tiaktiak kemokoliw te!”, yangse kale.
MAT.7.1	Yangeko, Yesus e iti weng mak bokoyemomele: “Yu kanelom mali kawtiw ilo geeyembokoliw te! Yu ilo geeyembiw tewe, Sunbin-Got e yukati geeyemboke kasike.
MAT.7.2	Yu kilele kililina! Sunbin-Got e yulo yukalem mali kawtiw ilo geeyembiliw kukuw beemdiw bakati geeyemboke kasike. Yu nomin sawa weng mak kuluko, kitil kuw kebomi, mali kawtiw ilo geeyemiw tewe, Sunbin-Got akati sawa weng be kuluko, kitil kebomi, yulo bakalem ki akate geeyemoke te.
MAT.7.3	Yutaka! Kukun atew mak yom kawkunum kusel im kiin be net keyembe tewe, yu kukun be fein atebiliw kate, yukalem kiin dim em am mili sel atew eisneng kiin kasi koyemkabe be yu ibolow fukuninba kebiliw a? 
MAT.7.4	Fimdi famde kawtiw yutaka! Yu yom kawkunum kumel biilo bokoyemomeliw: ‘Nakunum kumel yutaka! Nu yom kiin net kasiyembe ais kukun be kulu kolewokoluw te!’, yangbiliw kate, am mili eisneng atew yukalem kiin kasi koyembe be yu nam atemiw te! 
MAT.7.5	Feinka! Emisik e, yu yukalem kiin dim em am mili be kulu kolewsomi, iti kiin ken boliwka! Beemteben e, yu uneko, yom kawkunum kumel biim ais kukun bakati kulu koyemoliwka!
MAT.7.6	Yu kilelbi boliw te! Mesesem eisneng mak Sunbin-Got e akalem wiin so amkose eisneng mak yu kanelom wiin banim atew keleweko, kut mian atul nam ilo dukalewbokoliw te! Mesik isik i famdes teleko, yulo yen wanokoliw kasike. Beemdiw, yu kanelom bonang on kisol mak kaing biim biliw dim elo duyemoliwka! Kaneliw tewe, i sak deit san san keleweko, kawtol kawtol kelokoliw kasike.”, yangse kale.
MAT.7.7	Yangeko, Yesus e iti weng mak bokoyemomele: “Yu mesesem mesesem eisneng mak Sunbin-Got elo dakalaliw tewe, e fein kiliko, yulo dukayemboke te. Beemdiw, yu mesesem mesesem eisneng mak fenemiw tewe, yu mesesem be fein atebamokoliw te. Yu abisom dim kel gogo keemiw tewe, Sunbin-Got e am yal be busuyemoke te.
MAT.7.8	Nimtew angom? Mali kawtiw mak mesesem mesesem eisneng mak Sunbin-Got elo dakalaliw tewe, e ilo fein dukayemboke kasike. Beemdiw, mali kawtiw mak mesesem mak fenemiw tewe, i mesesem be fein atemokoliw te. Iti beemdiw, mali kawtiw mak abisom dim gogo keemiw tewe, Sunbin-Got e am yal be fein busuyemoke kasike.
MAT.7.9	Auk so alew so yutaka! Yom muluwel i yulo bokoyemomeliw: ‘Yemen mak duyemew kano, nu wanuma!’, yangeko, yulo dakalaliw tewe, yu ilo nam tum mak duyemeko, ‘Wanina!’ yangbokoliw te. 
MAT.7.10	Beemdiw, yom muluwel i yulo bokoyemomeliw: ‘Takam mak duyemew kano, nu wanuma!’, angeko, dakalaliw tewe, yu ilo nam ambew mak duyemeko, ‘Wanina!’, yangbokoliw te. 
MAT.7.11	Auk kumel aliwol yu sili sili nam kawtiw kate, yu yom muluwel ilo ken eisneng duyemkabiliw kasike, yukal kilele kal kemoliwka! Yom abiil tikin alakabe sen banim so Kalew be kalfongsomi, yulo ken eisneng fein dukayemkabe te.
MAT.7.12	Yu kililina! Yu ibolow tem kel fukunomeliw: ‘Kawtiw i nulo kukuw ken kuw kukuyemoliwka!’, angbiliw kasike, yukati mali ilo yukalem ibolow fukunin bakatetew keyemboliwka! Kaneliw tewe, yu Moses em kukuyemin weng beem mongom so, Sunbin-Got em bontem dim bakamin kunum biim yangsiliw weng beem mongom so, alik alik be ki kelewokoliw te.”, yangse kale.
MAT.7.13	Yangeko, Yesus e iti fakam weng mak bokoyemomele: “Yu abisom fong gel beem kawtem unomin bukeko, gulas matem unoliwka! Kate, kawtiw banso i abisom fian kawtem uneko, weing dong tem unekabiliw deiw fian sel beelo gelewkabiliw te. 
MAT.7.14	Gelewkabiliw kate, finik so bin deiw so finik so bin em abisom so be atin fong gel kuw kasike, kunum waneng banban i abisom so deiw so be ateminba kekabiliw te.”, yangse kale.
MAT.7.15	Yangeko, Yesus e iti fakam weng mak bokoyemomele: “Yu dasuw selew selew kunum im funum funum keyembiliw kukuw be kilelbiko, boliwka! I kom mit teleko, kal dim kel ken kuw kelokoliw kate, biim ibolow mutuk kawyak e, i kut mian atul nam atew kesomi, yulo yen wanokoliw kasike.
MAT.7.16	Kate yu biim kukuw be kilele diw atebamoliwka! Beem dulum elote, yu fakam weng be ibolow fukunina! Ais daon e nam ki keko, seil gilaloke te. Beemdiw, ais be nam ki keko, sum gilaloke te.
MAT.7.17+MAT.7.18	Yu kililina! Ais ken mak dem ken kuw gilaloke kate, e ki keko, wa dem mak nam gilaloke te. Beemdiw, wa ais mak dem wa kuw gilaloke kate, e ki keko, dem ken kuw nam gilaloke 
MAT.7.19	kasike, kawtiw i dem ken gilalinbakabe ais beelo sek so okileweko, ful ais dalokoliw te.
MAT.7.20	Feinka! Yu kawtiw im kanekabiliw kukuw beem dem e diw atemeko, kal kesomi, bokolomeliw: ‘Kawtiw biim dem e wa kasike, i dasuw funum kawtiw kuw ite te!’, angokoliw te. Angeko, mali kunum waneng im dem bakati diw atemeko, ‘Ite fein kunum waneng kebiliw te!’, angeko, kal kelokoliw te.
MAT.7.21	Yu kilelbiko, boliwka! Mali kawtiw i nelo ‘Kamok Fian o! Kamok Fian o!’, nangbiliw kate, i abiil katem alakabe Aatim beem ibolow fukunin gelewinba keliw tewe, i abiil tikin em ^gawman ding keloke dim em wati tak nam uneko, ka biw te.
MAT.7.22	Feinka! Sunbin-Got em kunum waneng alik alik ilo diweko geeyemoke ding dim e, mali kawtiw banban i nelo bokonemomeliw: ‘Kamok Fian a! Kamok Fian a! Kom wiin dim ete nu oktakak kunum keko, aneng matil anbakalako, kitil eisneng fian mak aluwkabuluw kasike, ku nulo kom ken abiw dim beelo yemde unolewka!’, nangokoliw te. 
MAT.7.23	Nangokoliw kate, beem ding dim bakate, ne yan weng mak kaim filel bokoyemomeli: ‘Ne yulo itel gel so mak akokow te. Yu atin kuw ibolow sili sili nam min kasike, fongate akate nem mit kale asinina!’, yangoki te.”, yangse kale.
MAT.7.24	Yangesomelei, Yesus e iti fakam weng mak bokoyemomele: “Nem weng be kiliko, fein gelewbiliw kawtiw i kaneko kawtiw ite te? I kunum ibolow fukunin ken so kunum bakatetew kebiliw te. Kunum be ilkul mak kuluko, kawin dim moko, am kun kitil nam kawin mutuk diw kabalak elo mose te. 
MAT.7.25	Mose kasike, suuk inim fian so ok so dakiko, toloke kate, am be nam fokfok angoke te. Nimew angom? Kunum be am be am kun kitil nam so kawin diw kabalak elo moko, gese kasike. 
MAT.7.26	Kate, nem bokoyemsi weng be kililiw kate, kilele gelewinba kebiliw kawtiw i ibolow fukunin banim kunum bakatetew kebiliw te. Kunum be ok ais am kun kuw kuluko, kawin tikin kayak kuw moko, am gese te. 
MAT.7.27	Gese kasike, suuk inim fian tele ding dim e, am be duneng duneng keko, atin kuw fokfok mit daloke te.”, yangse kale.
MAT.7.28	Yangei, ka biliw kunum waneng banban bi Yesus em kukuyemse weng be kiliko, yol angsiliw kale. 
MAT.7.29	Nimtew angom? Em bokoyemse weng be Sunbin-Got em kukuyemin weng kalem aulewko, kukyemkabiliw kunum im weng emdiw ba kate, “Yesus em weng be auk so weng kele kai!”, angsiliw kasike.
MAT.8.1	Beli, Yesus em kawin muk kang tikin be iti malak talse ding kabalak e, kunum waneng banban bi elo gelewsiliw kale. 
MAT.8.2	Keko beli, ^bulul abung fian so kunum mak teleko, Yesus em mit mewso katin bukbuk teinsomelei, elo bokolewomele: “Kamok Fian kutaka! Ku auk so kunum kasike, ku kukalem ibolow kuw gelewewko, nelo ken kenemsomi, nelo Sunbin-Got em kiin dim e kais ati kuw kenemolewka!”, dangse kale. 
MAT.8.3	Dangei, Yesus e akalem teing deeko, kunum beem kal dim dukuko, bokolewomele: “Dokokemoki te! Kame kais ati kuw kela!”, dangei, fein, fongate kuw abung bulul fian kunum beem kal dim be atin kuw okmino kolei, banimse kale. 
MAT.8.4	Keko beli, Yesus e beelo kitil weng mak bokolewomele: “Ku kanelom nem kanekemi sang be mali kawtiw ilo bokoyemokolew te! Komikel kuw Sunbin-Got em am yol kunum ayem beem afak kunum biim mit mewso uneko, kom iti kais kese kal be ilo kukuyemolewka! Kukuyemsomelewi, ku Moses em iti kal kais kemin em kukuyemse weng be gelewolewka! Kanelew tewe, i nem kal kais kekemse kitil be kilele atemsomeliwi, nem kitil fian be kilele kal kelokoliw kasike.”, dangse kale.
MAT.8.5	Dangeko, em Kafelneam abiw mutuk fian kalo unse ding dim kabalak e, Ulom abiw mutuk fian em wonuk so kunum im kak kunum mak Yesus em mit mewso teleko, kitil kesomi, elo bokolewomele: 
MAT.8.6	“Kamok Fian kutaka! Nem weng afak kunum mak e wakamin fian so, betbet fian so mak kuluko, yout nam kebomi, am kel kuw akalbe te.”, dangse kale. 
MAT.8.7	Dangei, Yesus e yan weng bokolewomele: “Ne teleko, elo kilelewii, e kenoke te.”, dangse kale. 
MAT.8.8	Dangei, e yan weng bokolewomele: “Kunum kamok fian kutaka! Ne kawin kaleem kukuw wa so kunum nete kuw te. Nimtew angom ete ku ‘Kom am toloki te!’, nangbelew a? Kanemok! Ku nem am nam telew te. Ku weng kuw bokolew kano, nem weng afak kunum beem wakamin be sak ken keloke te. 
MAT.8.9	Feinka! Nem kak kunum mak nelo kitil weng mak bokoneme tewe, ne em nange weng be fein kiliko, gelewoki te. Beemdiw, nem afak biliw wonuk so kunum ikati nem kitil weng kiliko, geleweko, nem afak kuw kekabiliw te. Kasike, ne wonuk so kunum mak ilo bokoyemomeli: ‘Yu yuk teing dulum mani awan teing dulum elo unina!’, yangi tewe, i nem yangbi weng be fein kiliko, kalo unokoliw te. Iti nem weng afak kunum mak elo bokolewomeli: ‘Ku teleko, nem aluwbamin mak aluwa!’, dangi tewe, e nem weng be fein kiliko, aluwboke te.”, dangse kale.
MAT.8.10	Dangei, Yesus e em weng be kiliko, yol angeko, eso kakabiliw kunum waneng banso biilo bokoyemomele: “Feinka! Isalael kawtiw kunum waneng yom mutuk kale, ne nelo ‘Fein!’, nangakabe kunum makmak Ulom kunum beem kanele emdiw mak ateminbakabi te. 
MAT.8.11	Yu kililina! Abiil tikin em ^gawman ding em kaim dim fitewoke ding dim kabalak e, yom ibik biliw kawtiw i ataan talbe dulum so, ataan unbe dulum so, alik alik aneng aneng angom be kolewko, teleko, yom awalik kumel Abalakam so, Aisak so, Sekow so, iso makuw wanin wanbokoliw te.
MAT.8.12	Bókoliw kate, mali Isalael kawtiw yu kilelbi boliwka! Nimtew angom? Emisik ding dim bakate, Sunbin-Got e yulo em wiin so amko koyemeko, akalem angin keyemse kate kame, e yulo koyemoke kasike. Koyemei, i yulo yenbakalaliwi, mali biim biliw dim beem kut kel bokoliw te. Ka kel bomeliwi, amebomeliwi, yukalem kal dim teing feiwbomi, teing bulung gilkabomi, bókoliw te.”, yangse kale.
MAT.8.13	Yangei, Yesus e wonuk so kunum im kak kunum beelo bokolewomele: “Kame ku iti am una! Kom nelo ‘Fein!’, nangew ibolow beem fukunin beemdiw nakati kom weng afak kunum beelo kilelewsi kasike.”, dangse kale. Dangei, beem ding dim bakate, weng afak kunum be atin kuw fein ken kese kale.
MAT.8.14	Beli, deiw mak ding mak, Yesus e Fita em am kalo unse kale. Unomete, e Fita em kalel um auk u kal mamin wakamin fian so abin kon tem akalbului, watemse kale. 
MAT.8.15	Watemsomi, um teing woluei, wakamin be ulo koumei, u ken kesomi, baba teineko, wanin fulewsu kale.
MAT.8.16	Beli, ataan tem dokong ange dim e, kunum waneng i kawtiw aneng matil im dim biliw kawtiw banban yemde teliwi, e im dim teinbiliw aneng matil biilo “Takala koyemeko, unina!”, yangeko, wakamin kal wanin kawtiw banso akal okmino koyemse kale. 
MAT.8.17	Kanese eisneng beem dulum elote sua kel akate, Sunbin-Got em bontem dim bakamin kunum Aisaya e weng be bokoko, fut bose weng be kame dem gilaleko, fein ki kelewse kasike. E Kulais em dulum elo bokoyemeko, bolomele:
MAT.8.17	“E nukalem wakamin kuluko, nulo iti ken keyemoke te.
MAT.8.17	Ken keyemeko, nukalem kal betbet keyembe be gis keyemeko, banimoke te.”,
MAT.8.17	angse kale.
MAT.8.18	Beli, Yesus em elo falal kolewbiliw kunum waneng banban yetemse ding dim kabalak e, e akalem gelewkabiliw kunum ilo bokoyemomele: “Nu okmun be dikeko, ok mail elo unuma!”, yangse kale. 
MAT.8.19	Yangse ding dim bakate, Sunbin-Got em kukuyemin weng kalem aulewko, kukuyemkabiliw kunum mak teleko, bokolewomele: “Kom aneng aneng mak kakamokolew be, neso makuw kakamokoluw te.”, dangse kale. 
MAT.8.20	Dangei, Yesus e elo bokolewomele: “Kut mian i am e ais mit kel te. Awon ikati am so kesomi, aim tem akalkabiliw te. Kate, Kawtiw Aul nete kuw akalkemin am mak banim te. Kak dukuko, kilele akalomin dim akal banim te.”, dangse kale.
MAT.8.21	Dangei, iti gelewkabe kunum mak Yesus elo bokolewomele: “Kamok Fian kutaka! Ne uneko, aatim fom dawkusomelii, iti teleko, kulo kenggelewoki te!”, dangse kale.
MAT.8.22	Dangei, Yesus e kunum beelo bokolewomele: “Kanemoka! Ibolow kuansiliw atew kebiliw kawtiw i ikalem akate ikalem ilo fom dukukemoliwka! Kate ku teleko, nelo nenggelemolewka!”, dangse kale.
MAT.8.23	Dangei, Yesus so, akalem gelewkabiliw kunum iso, i makuw ^kunuw dim kawtem uneko, 
MAT.8.24	okmun beem mutuk dim unsiliw kale. Unbiliw dim bakate, Yesus e akalse kale. Akal unbelei, fongate akate suuk inim inkal so mak teleko, ok fok fok matem alelem teleko, kunuw dim unbiliw dim ka talse kale.
MAT.8.25	Keko beli, Yesus em gelewkabiliw kunum i Yesus elo dawkalfoleko, weng fian kuw gaaneko, bokolewomeliw: “Kamok Fian a! Ku dokoyema! Ok tom yenei, alik kuanomin kis kemuwka o!”, gaaneko, olsiliw kale. 
MAT.8.26	Olemiwi, Yesus e ilo dakalalomele: “Yutaka! Nimtew angom ete yu finganbiliw a? Yom nelo “Fein!”, nangbiliw ibolow be sukum gel sako?”, yangse kale. Yangeko, baba teineko, suuk inim fian so okmun so biilo weng sakalal yangei, i sin tew kame tew kanebiliw be gato gato angeko, daking malmal banim kesiliw kale.
MAT.8.27	Keliwi, i fein em kanele kitil be atemeko, yol angeko, ikalem akate bokolew bokolew kesomi, bokolomeliw: “Yakai! Kalakanebe kunum kale nomin kunum kate? Suuk inim so, okmun so, alik bi beem kitil weng be kiliko, fein gelewbiliw kasike!”, angsiliw kale.
MAT.8.28	Angeko beli, Yesus eso, akalem gelewkabiliw kunum iso, i okmun be fokoko, mali Gadala abiw mutuk beem aneng kalo talsiliw kale. Teliwi, kunum aneng matil im dim teinbiliw kunum alew mak im mit mewso talsiliw kale. Aso i fomkamin dim kuw akal kebomi, alakabiliw kale. Biliwi, kawtiw aneng ka biliw kawtiw alik alik angom bi aso biim kitil so mamtel kebiliw ibolow beelo finganeko, deiw kalo uninba kemaliw kale. 
MAT.8.29	Keko beli, kame, aso i teleko, weng kitil weng mak gaanomeliw: “Sunbin-Got em Min kutaka! Ku nulo nono keyemomin talbelew a? Sunbin-Got em sua kel dukuse geeyemomin ding kamelo kebele akate, ku teleko, nulo kal betbet wa mak duyemomin telew a?”, dangsiliw kale.
MAT.8.30+MAT.8.31	Aso biim dangbiliw ding dim bakate, mewso ka kel kaing yamgel mak wanbiliwi, alenaliw kasike, kunum alew biim mutuk dim teinbiliw aneng matil bi Yesus elo dakalalomeliw: “Ku ki keko, nulo kaing kulin mutuk tem elo yemdalolewka!”, dangsiliw kale. 
MAT.8.32	Dangiwi, Yesus e yan weng bokoyemomele: “Kenka! Kaing mutuk tem unina!”, yangei, i kunum alew biim mutuk teinsiliw dim be koyemeko, fonsangin uneko, kaing kulin tem elo ba unsiliw kale. Uniwi, kaing banban bi sikal fokoko, genem fukuko, gulili yako uneko, fes dok dim mak bulbulun mit uneko, okmun tem keko, ok kunileko, alik alik i kuansiliw kale. 
MAT.8.33	Kaneliw ding bakate, kaing biim yetebiliw kawtiw i kanele eisneng be atemeko, yol angeko, fon uneko, abiw mutuk elo kunum aneng matil im dim teinbiliw kunum alew biim kanesiliw sang beso, kanese sang alik alik beso, bakamyem de unsiliw kale. 
MAT.8.34	De uniwi, abiw mutuk kayak i kaing yetebin kawtiw biim weng kal be kiliko, abiw mutuk koleweko, Yesus em fukun unesomi, elo kitil weng mak bokolewomeliw: “Ku num aneng kale koleweko, nanew aneng elo unolewka!”, dangsiliw kale.
MAT.9.1	Dangiwi, fein, Yesus so akalem gelewkabiliw kunum iso i iti ^kunuw tem kawtem teineko, okmun be dikesomi, iti akalem am dim Kafelneam abiw mutuk fian kalo unsiliw kale.
