MAT.1.1	Abraham tapa David, tapa Jesu Krist khangthu bu.
MRK.1.42	Hihthu agen khitkhit in, phak in amah a nusiapai a, ahung siangthouta hi. 
MRK.1.43	Jesu`n khauhtak a khamna tawh amah a sawlkhiata hi. 
MRK.1.44	“Kuamah kiang ah bangmah genlou dingin pilvang in. Hinanleh Siampu kiang ah vakilak inla, na kisiansuahna dingin Mosi-in sil a sehte lan in, a theihchet na ding un,” achi hi. 
MRK.1.45	Hinanleh amah a paikhia a tua thu mipi lak ah a genjakta hi. Tuabang ahihman in Jesu a langtang in khuapi ah a lutthei takei a, gamdai kuamah omlouhna ah a omjawta hi. Hinapi`n munteng a pat in a kiangah mite a hungpaijel uhi.
MRK.2.1	Ni bangjah hiam nungin Jesu Kapernaum khua ah ahung lutkik a; tualeh inn ah a om chih mipite`n athei uhi. 
MRK.2.2	Tuachi`n kongkhak kim tanpha a omna ding omlou khop in mi tampi ahung kikhawmpai ua, Aman akiang uah thu agen a. 
MRK.2.3	Mijeng khat mi li in hungjong in a kiangah ahung paipih ua. 
MRK.2.4	Tualeh mi tamjiak a Jesu kiangnai a ahung paitheihlouh tak un, a omna inntung ahong ua; aphehvang zoh un mi jengpa alupna tawh a khaikhia suk uhi. 
MRK.2.5	Jesu`n aginna uh amuhtak in jeng a damloupa kiangah, “Tapa na khialhnate ngaihdam ahita,” achi hi.
MRK.2.6	Hinanleh laigelhmite khenkhat huamun a tou aom ua; a lungsim un, 
MRK.2.7	“Bangding a hihpa`n Pasian gensia a hichibang thu gen ahia? Pasian chihlouh kua ahia khialhna ngaidamthei!” chi`n a ngaihtuah uhi.
MRK.2.8	Hinanleh Jesu`n a lungsim un huachibang in a ngaihtuah uh chih akha-in athei a. Aman akiang uah, “Hichibang bangding a na lungsim ua ngaihtuah nahi ua? 
MRK.2.9	Mijeng kiangah, ‘Na khialhnate ngaihdam ahita,’ chih leh, ‘Thou inla na lupna la inla paita in, chih khoi a baihlam jaw ei’? 
MRK.2.10	Hinanleh mihing Tapa in leitung ah na khialhnate uh ngaihdam theihna anei chih natheihna ding un,” mijeng kiang ah, 
MRK.2.11	“Thou inla, na lupna la inla na innlam ah paita in kungchi ahi!” achi hi.
MRK.2.12	Amah a thoupai a, alupna la-in aun ua amitmuh un a pawtdokta hi. Tuachi`n aun un lamdang asa ua, “Hichibang mawng mawng i mungai naikei uh!” chi`n Pasian aphatta uhi.
MRK.2.13	Tuachi`n amah tuipigei ah apaikhia kik a, tualeh mipi jousiah a kiangah a hungpai ua, aman thu anahilh hi. 
MRK.2.14	Tuachia apailai in Alphai tapa Levi siah donna zum 
MRK.2.15	Tualeh hichi ahung hi a, Jesu`n Levi inn ah an a im a, siah dongmi leh mikhial tampite`n Jesu leh a nungjuite a impihchiat ua. Tampi ahi ua, a nung ajui uhi. 
MRK.2.16	Tualeh Laigelhmite leh Pharisaite`n siah dongmite leh mikhialte tawh an anekkhawm uh amuhtak un, amau`n a nungjuite kiang ah, “Bang-chidan ahia siah dongmite leh mikhialte tawh anek a, adawn?” achi ua.
MRK.2.17	Jesu`n hih ajaktak in, akiang uah, “Mi chidamte`n daktor a poimohkei ua, hinanleh mi chinate`n a poimohjaw uh; mi diktakte sam ding a hungpai ka hikei a, mikhialte kisiksak ding a hungpai ka hijaw hi,” achi hi.
MRK.2.18	Johan nungjuite leh Pharisaite`n an a ngawljel ua. Tuachi`n a hungpai ua a kiangah, “Bangding a Johan nungjuite leh Pharisaite`n an ngawl uh a, na nungjuite`n an a ngawllouh uh?” achi ua.
MRK.2.19	Tualeh Jesu`n a kiang uah, “Mou neipa akiang ua a om laiin Mou neipa lawmte`n an a ngawl ngai uh maw? Mou neipa amauh tawh akiang ua a omsawt laisiah an a ngawlkei ding uhi! 
MRK.2.20	Hinanleh Mouneipa akiang ua kipan a puakmang ni a hungtung ding a, tuachi`n huani chiangin a ngawl ding uhi.
MRK.2.21	“Mi kuaman puanlui puanthak them in a phawhngai kei, phawh nanle uh, a phawhna pen in aluipen a kaikek ding a, asiajaw sem ding hi. 
MRK.2.22	Tualeh mi kuaman uain thak savun thawl luiah athunngai kei, thuntale uh uain thak in savun thawl lui aphukek ding a, uain akibua ding a amangthang ding hi. Uain thak savun thawlthak a thun ding ahijaw hi,” achi hi.
MRK.2.23	Tualeh hichi ahi a, khawlni in Jesu buhleilak ah apaisuak a. A paikawm un a nungjuite`n buhvuite ajut ua. 
MRK.2.24	Tuachi`n Pharisaite`n a kiangah, “En in, bangding a amau`n khawlni a bawl sianglou bawl uh ahia!” achi ua.
MRK.2.25	Aman akiang uah, “David leh a lawite a taksap ua, a gilkiallai ua a silbawl uh simkhalou nahi umaw? 
MRK.2.26	Abiathar siampi ahih lai a, Pasian inn a lut a Siampute chihlouh nek sianglou tangkou sehtuam anek a, alawite kiang a zong apiak thute,” achi hi. 
MRK.2.27	Tualeh aman akiang uah, “Khawlni mihing a ding a siam ahi a, mihing khawlni a ding a siam hilou hi. 
MRK.2.28	Tuajiakin Mihing Tapa ahihleh khawlni Toupa ahi.”
MRK.3.1	Tuachi`n kikhopna inn ah a lutkik a, huasan ah khutjeng mikhat a om hi. 
MRK.3.2	Tualeh mi pawlkhat in amah a hektheihna ding un khawlni-in a damsak leh damsaklouh adap-et ua. 
MRK.3.3	Jesu`n khut jengpa kiangah, “Mipi maiah ding in,” achi a, 
MRK.3.4	Tuachi`n Jesu`n amauhte kiang ah, “Khawlni a silhoih bawl maw asiang, silsia maw? Hundamna maw asiang, hihlup maw?” chi in adong hi.
MRK.3.4	Hinanleh amauh a daidide ua. 
MRK.3.5	A lungtang uh atakjiak a lungkham leh hehkawm a amauhte a et kawikawi nung in, “Khut jengpa kiangah na khut jan in,” achi a. Aman a jankhia a, tuachi`n a langkhat bangin ahung damsiangta hi. 
MRK.3.6	Tuachi`n Pharisaite a pawtkhia ua Jesu thah ding dan Herod pawl a mite tawh a kikum uhi.
MRK.3.7	Hinanleh Jesu a nungjuite tawh dil lam ah apaita ua; Galili gam a kipan mipi tamtak in anung ajui ua, 
MRK.3.8	a silbawl thupidan ajak un, Judea gam a kipan, Jerusalem khua a kipan, Idumai gam a kipan, Jordan gal a kipan Tura leh Sidon khuakim a kipan in, mipi tamtak a kiangah a hungpai ua. 
MRK.3.9	Mipite jiakin amah a ding a gunkuang neu khat mansa a koih ding in a nungjuite thu ahilh a, atuachih keileh ahung nehgawp ding uh, achi hi. 
MRK.3.10	Aman mi tampi ana damsakta a, tuachi`n natna nei jousiahin amah a khoihkhak theihna ding un abawh lutlut uhi. 
MRK.3.11	Kha giloute`n amah amuhtak un amai a puk in, “Nang Pasian Tapa nahi chi in a kikoujel uhi!”
MRK.3.12	Hinanleh aman amah kua hihiam chih gendoklou dingin khauhtak in akham hi.
MRK.3.13	Jesu mualtung lam ah a kahtou a, adeihtuamte a sam a, amau a kiangah avapai ua. 
MRK.3.14	“Tualeh a kiang a om ding leh a thupuak gen a asawl ding in sawmlehnihte a namdet a, 
MRK.3.15	tualeh damloute damsak theihna leh, dawite nohdok theihna thuneihna nei ding in.”
MRK.3.16	Ama seh sawnlehnihte hihte ahi uh: Simon (Peter chia amin aphuak pa); 
MRK.3.17	Zebedi tapa Jakob leh a sanggampa Johan, (Aman Bonerges a sa, “Huapen van ging tapa chihna ahi”); 
MRK.3.18	Tualeh Andru, Philip, Bartholomai, Mathai, Thoma, Alphai tapa Jakob, Thaddai, Kananmi Simon, 
MRK.3.19	tualeh a mansakpa Juda Iskariot zong ahi uh; Tuachi`n amauhte innsung ah alut uhi.
MRK.3.20	Tualeh amauhte an na-ngawn netheilou khop in mipi ahung kikhawm kik ua. 
MRK.3.21	A inkuanpihte`n hihthu ajaktak un, “A lungsim venglou ahita chi in pummat asawm uhi.”
MRK.3.22	Tualeh Laigelhmite Jerusalem a pat a hungpaisukte`n, “Beelzebul pai ahi, dawimangpa jiakin ahi dawite adelhdok achi ua.” 
MRK.3.23	Tuachi`n Jesu`n amauhte asam a akiang uah gentehna in thu agen a, “Bangchi`n Setan in Setan adelhdok diai? 
MRK.3.24	Gamkhat kilangkhen in kidouleh agam ading thei kei ding. 
MRK.3.25	Tualeh innsung khat kilangkhen in kidouleh, hua inkuan zong adingdok kei ding hi. 
MRK.3.26	Setan zong amah leh amah kidou in kilangkhen leh adingdok jou kei ding a, a mangthang jaw ding hi.
MRK.3.27	“Mi kuaman mihatpa ka`n masa loupi in mihatpa inn a lut in avan a hihsiatsak ngaikei, a ka`ntawm jawh chiangin ahihsiatsak thei pan ding hi.
MRK.3.28	“Adiktak in kung hilh ahi, mihing tate akhialhna jousiah uh leh Pasian gensiatna lam a a gensiatna jousiahte uh ngaihdam ahi ding ua. 
MRK.3.29	Hinanleh kuapeuh khasiangthou gensia bangchiktan in ngaihdam ahikei ding a, tangtawn khialhna a lauhhuai ah aomjaw ding,” achi hi. 
MRK.3.30	“Dawinin-pai ahi achihjiak ua hihthu agen ahi.”
MRK.3.31	Tuanung in anu leh a sanggamte a hungpai ua, inn Pualam a dingin amah sam dingin mi asawl uhi. 
MRK.3.32	Tualeh akim ah mipi atou diamduam ua, a kiangah, “Inn pualam ah nanu leh na sanggamte`n ahung jong uh,” achi ua.
MRK.3.33	Tualeh aman akiang uah, “Ka nu leh ka sanggamte kuate ahia?” achi a. 
MRK.3.34	Tuachi`n akim a toute a en kawikawi a, “En un! Ka nu leh ka sanggamte! achi hi. 
MRK.3.35	Kuapeuh Pasian deihlam bawl taphot ka sanggampa, ka sanggamnu leh kanu ahi,” achi hi.
MRK.4.1	Tualeh aman tuipi piau ah thuhilh apan kik a, tualeh mipi tamtak a kiangah ahung kikhawm ua, tuachi`n tuipi tung a gunkuang sungah alut a, atou a, tualeh mipi jousiah tuipilam nga in tuipi piau ah leitak ah aom uhi. 
MRK.4.2	Tuachi`n aman gentehna zang in thu tampi amauhte ahilh a:
MRK.4.3	“Ngaikhia unla! En un, khaichithehpa khaichi theh ding in a kuan a. 
MRK.4.4	Tualeh hichi ahung hi a, athehlai in, khenkhat lamsik ah atu a; tungleng vasate hungpaiin anejouta uhi. 
MRK.4.5	Khenkhat suangsilei, lei tamlouhna lak ah atu a; lei asahlouh jiakin a poupai a. 
MRK.4.6	Hinanleh ni ahungsan in ahaivul a; tualeh jung aneihlouh jiakin a gawsiangta hi. 
MRK.4.7	Tualeh khenkhat ling lak ah atu a; alingte hung khang in adepmangta a, gah aneikei uhi. 
MRK.4.8	Hinanleh khenkhat leihoihlak ah atu a, apou a, hungkhang in gah anei a, aleh sawmthum, aleh sawm guk tualeh jakhat bang in ahung pungta hi,” achi hi.
MRK.4.9	Tualeh aman akiang uah, “Jakna ding bilnei jousiahin ja hen!” achi hi.
MRK.4.10	Hinanleh amah guak a a omlai in, Sawm leh nihte tawh akiang a omten gentehna thu adongchian ua. 
MRK.4.11	Tualeh aman akiang uah, “Nou kiangah Pasian gam thugu`k piak ahi a, hinanleh pualam mite a ding in pen, bangkim gentehna a gen ahi, 
MRK.4.12	tuachi`n,
MRK.4.12	‘Muh jaw a muthei ua,
MRK.4.12	a theisiam kei ding uh;
MRK.4.12	ja jaw ajathei ua,
MRK.4.12	angaihna a theikei ding uh.
MRK.4.12	Ahuachih keileh denchiah ahung kiheikik kha ding ua,
MRK.4.12	a khialhnate uh ngaihdam ahi kha ding uh,’ ”
MRK.4.12	achi hi. 
MRK.4.13	Tualeh aman akiang uah, “Hih gentehna thu theisiamlou nahi uh maw? A tuachih leh bangchi`n gentehna thudang tengteng na theisiamta ding uale? 
MRK.4.14	Buhchithehpa`n thu atheh ahi. 
MRK.4.15	Tualeh lamgei a thu athehte hichibang ahi, thu ajaktak un manlang takin Setan hung paiin a lungtangte ua thute a laksakpai hi. 
MRK.4.16	Tualeh tuachimah bang in suangsilei a thehte hihte ahi uh; amau`n thu ajaktak un kipaktak in a sangpai uhi. 
MRK.4.17	Hinanleh a mauh ah jung aneikei ua, tomnou khat sung a om uhi. Tuanung in thu jiak a gimthuakna hiam, vuakna hiam ahung om chiangin akipuk pai uhi. 
MRK.4.18	Tualeh ling lak a kithehte hihte ahi uh, amau`n thu aja ua, 
MRK.4.19	leitung hinkhua ngaihsutnate, hauhsak utna khemnate, leh sil dangdang deihgohnate hunglut in thu adep a, gahtheilou in a omta hi. 
MRK.4.20	Hinanleh leihoihlak a thehte hihte ahi uhi. Thu ja a, sa`ng a, aleh sowmthum bang, aleh sawmguk bang tualeh jakhat bang in agah uhi,” achi hi.
MRK.4.21	Aman akiang uah a genkik a, “Meivak akoihna a koihlou a, lawhnuai hiam, lupna nuai hiam a koihding in kuan a hungtawi ngai a? 
MRK.4.22	Thanglou ding a im bangmah a omngai kei a, langlou ding a phual bangmah a omngai kei. 
MRK.4.23	Kuapeuh jakna ding a bilnei jousiahin ja uhen!”
MRK.4.24	Tuachi`n aman akiang uah, bang ahia najak uh pilvang un; natehna ngaimah un ahung tehsak ding ua, tualeh nou a ngaikhiate kiang ah, ahung piak behlap ding uh atamjaw piak in na om ding uhi. 
MRK.4.25	“Kuapeuh anei kiangah piakbeh ahi ding a; hinanleh kuapeuh aneilou kiangah aneihsun zong laksak ahi ding,” achi hi. 
MRK.4.26	Tualeh aman, “Pasian gam pen min lei a khaichi atuh tawhbang ahi; 
MRK.4.27	Janchiah a ihmu a, sunchiah athoujel a, khaichi anapou in, anakhang a, hinanleh bangchi a pou a, bangchi a khang ahia chih a theikei. 
MRK.4.28	Leiin amah in gah ahung suahjel a; amasan anah tuazohchiah avui, tuazohchiah avui a atang. 
MRK.4.29	Hinanleh agah ahungmin chiangin buhlak ahuntak man in Kawite in a at paita hi, achi hi.” 
MRK.4.30	Tuachi`n aman, “Pasian gam bang tawh itehkak tadiai?” Ahihkeileh “Bangtawh tehkhin a gen ding ita ua? 
MRK.4.31	Ankam chi tangkhat leia akituh chiang, lei a khaichitang tengteng sang in neupen nanleh. 
MRK.4.32	Atuhkhit nung un a hungpou a, Loupa jousiah sang in ahung lianjaw a, ba lianpipi a hungnei a, tuachi`n tungleng vasate alim ah agiak uhi, huachibang mah ahi,” achi hi.
MRK.4.33	Tualeh hichibang gentehna thu tampi in a jaktheih khomkhom un, thu akiang uah agen jel hi. 
MRK.4.34	Hinanleh aman gentehna louin akiang uah thu agenngai kei. Tualeh amauh guak a aom chiang un a nungjuite kiangah sil bangkim a hilhchian jel hi.
MRK.4.35	Tuani mah in, nitaklam a hunghih in, aman akiang uah, “Galkhat lam ah igalkah ding uh,” achi a, 
MRK.4.36	Amau`n mipite a paisan zoh un, gunkuang a aom bangbang in amah a paipihta ua. Tualeh akiang uah gunkuang neu dang zong aom hi. 
MRK.4.37	Tualeh huihpi hattak ahunglang a, tui kihotte, gunkuang sung ah a hunglut juajua a; tuachi`n gunkuang a hungdim phialta hi. 
MRK.4.38	Hinanleh amah gunkuang mawng langkhat lam ah tangkham kham in ihmu in a om a. Tualeh a phong ua, a kiangah, “Siapa, ka manthai ding uh khawk salou nahi maw?” achi ua.
MRK.4.39	Tuachi`n amah ahungthou a, huih atai a, tualeh tuipi kiangah, “Dai in! Om khinkhian in!” achi a. Tuachi`n huih a tawpta a, a sipdideta hi. 
MRK.4.40	Hinanleh aman a kiang uah, “Bangding a hichilau nahi ua? Ginna himhim na neihlouh uh bang chidan ahia?” achi hi.
MRK.4.41	Tualeh amauh lau chihtak in alauta ua, “Hihpa bang chibang mi ahia? Huih leh tuipi nangawn in athu aman uh!” chi in khat leh khat a kichituah uhi.
MRK.5.1	Tuachi`n tuipi gal Garasin mite gam a hungtung ua. 
MRK.5.2	Tualeh gunkuang a pat ahung pawtkhiattak in, mi khat han a pat a hungpawt in amah anatuak pai a. 
MRK.5.3	Amah hanlak a teng ahi a; tualeh kuaman sikkhau nangawn in a hentheikei uhi. 
MRK.5.4	Kol bulh in sikkhau in anakanta ua; hinanleh sikkhaute a bottan a, kolte a botsia jel a, kuamah in a thujohkei uhi. 
MRK.5.5	Tualeh sun leh jan in mualte leh hante ah omjing in akikou a, suang in aki-at jel hi.
MRK.5.6	Aman gamla tak a pat Jesu amuh tak in, tai in, a vabiata a, 
MRK.5.7	tualeh amah aw ngaihtak in a kikou a, “Jesu Pasian tungnung pen Tapa! nang leh ken bang ahia bawlding kaneih? Hung gimsak lou dingin Pasian min in kung ngen hi!” achi hi. 
MRK.5.8	Aman a kiangah, “Nang kha-nin, hihpa sung a pan hungpawt in!” ana chita a.
MRK.5.9	Tuachi`n aman, “Na min bang ahia?” chi in adong a.
MRK.5.9	Tualeh aman a kiangah, “Ka min ahihleh ‘Nuai ahi,’ tampi ka hihjiak un!” achi a. 
MRK.5.10	Hua gam a kipan amauh sawlmanglou dingin a kiangah angen ngutngut a.
MRK.5.11	Tualeh huasan ah mual pang ah vok tampi a om a. 
MRK.5.12	Tuachi`n dawininte jousiahin, “Vok sungah hungsawl in asung ua ka luttheihna ding un,” chi in a kiangah a ngen ua. 
MRK.5.13	Tuachi`n Jesu`n amauh thu apia a, tuachi`n Dawininte a pawtkhia ua, vok sungah alut ua; tualeh vokhonte sangnih bang ahi ua, vokhonte ken a pat in tuipilam juan in hahtai in a hungtai ua; tuilak ah a kialumta uhi.
MRK.5.14	Tuachi`n vok chingte atai ua, hihthu khuapi leh gam teng ah ahilhta uhi. Tualeh bang sil hungtung ata chia en ding in mipite ahung taikhawm uhi. 
MRK.5.15	Tuachi`n amauhte Jesu kiang ah a hungpai ua, dawi-mat nuai khat paipa puan silh a, lungsim ngaina pua a anatou ahung mu ua; tuatakin alauta uhi. 
MRK.5.16	Tualeh amauhte`n dawimatpa tung a sil tundan leh vok omtan amauh anahilh ua.
MRK.5.17	Tuachi`n amah tawh agam ua pat a pawtkhia dingin a ngenta uhi.
MRK.5.18	Tualeh amah gunkuang sung a aluttak in, dawinin paipa in, “Nang tawh pai ka ut!” chi in a kianga om dingin a ngen a.
MRK.5.19	Hinanleh Jesu`n a phalkei a, a kiangah, “Na inn ah, na lawite kiangah pai inla, Toupa`n nang a ding a silthupi ahung bawlsak dante leh, nang ahung hehpih dante vahilh in,” a chijawta hi.
MRK.5.20	Tuachi`n a pai a, Jesu`n amah a ding a sil thupi a bawlsak dante Dekapoli khua ah a tangkoupih ta a, mi jousiahin lamdang asa mahmah uhi.
MRK.5.21	Jesu gunkuang a galkhat lam ahung tunkik takin mipi tamtak akiang ah ahung paikhawm ua, tualeh amah tuipi gei ah a om a. 
MRK.5.22	Tualeh ngaiin, kikhopna inn a vaihawmte lak a mikhat amin Jaira kichi a hungpai a, Jesu amuh takin a kengbul ah akhupbok a. 
MRK.5.23	“Ka tanu naupang nou asi dekdek a, ahung dam a, a hintheihna dingin, hungpai a atung a nakhut nga ding in kungngen hi!” chi`n, chitaktak in a ngen hi.
MRK.5.24	Tuachi`n Jesu amah tawh apaita a, mipi tampi in ajui ua, aboh lutlut uhi.
MRK.5.25	Tualeh Numei khat kum sawmlehnih sipawt a damlou aom a, 
MRK.5.26	Daktor tampi lak a pan sil tampi a nathuak in, aneih jousiah ana jangjouta a, hinanleh bangmah a phatuamkei a, a khawk jawsem a. 
MRK.5.27	Aman Jesu tanchin ajaktak in, anung ah mipi lak ah a hungpai a, apuan a khoih a. 
MRK.5.28	“Apuan maimai khoihkha lengzong ka dam ding hi,” chi`n a ngaihsun hi.
MRK.5.29	Thakhat in asipawt pen akangta a; anatna adamta hi chih ataksa tungah akithei hi. 
MRK.5.30	Tualeh Jesu`n a sung a kipan in silbawltheihna apawt chih atheipai a, mipilak ah akihei kawikawi a, “Kua ahia ka puan khoih?” achi a.
MRK.5.31	Hinanleh a nungjuite`n a kiangah, mipi in ahung phuk lutlut na mu vele, kua ahia hung khoih nachih, achi ua.
MRK.5.32	Tualeh aman hua sil bawlnu muh sawm in adak kawikawi a. 
MRK.5.33	Hinanleh numeinu in atung a sil kibawl athei a, lau leh chitun kawm in a hungpai a, a maiah khupbok in, a kiangah thudik jousiah ahilhta hi. 
MRK.5.34	Tualeh aman amahnu kiang ah, “Tanu, na ginna in ahung damsakta hi, pai inla, na natna a kipan na dam tawntungta in,” achi hi.
MRK.5.35	Aman hihbang a thu agen laiin, kikhopna inn a vaihawmpa inn a kipan mi a hungpai ua, “Na tanu asita ve, bangding a siapa buaisak nalai nahia?” a hungchi ua.
MRK.5.36	Jesu`n hih thu ajaktak in, kikhopna inn a vaihawmpa kiang ah, “Lauken gingta mai in,” achi hi. 
MRK.5.37	Tualeh aman Peter leh Jakob leh Jakob sanggampa Johan chihlouh in amah ajuih uh aphal kei. 
MRK.5.38	Tuachi`n amah kikhopna inn a vaihawmpa inn ah a hungtung a, ana buai vengvung leh kap a na mau vengvungte amu a. 
MRK.5.39	A valut a akiang uah, “Bangding a kap a mau vengvung nahi ua? Naupangnu asi ahikei, a ihmu ahi!” achi hi.
MRK.5.40	Tualeh amauhte`n amah a nuihsan ua, ahihhang in aman aun un a notkhia a, naupangnu nu leh pa leh a jawhpihte a paipih a, naupangnu omna ah alut ua. 
MRK.5.41	Tuachi`n aman naupang akhut in akai a akiang ah, “Talitha kumi,” achi a. Tuapen, “Nungaknou, thouin, kungchi hi!” chihna ahi.
MRK.5.42	Tuachi`n Numei naupang a thoua a paipai ngal a, (amahnu kum sawmlehnih mi ahita a), tuatakin a mau`n lamdang asa mahmah uhi. 
MRK.5.43	Hinanleh aman akiang uah, hih kuamah in theikei heh achi tinten a, “Tualeh nek ding banghiam pia ding in, thu apia hi.”
MRK.6.1	Tuachi`n hua a kipan in apawt a, ama tenna gam ah a hungpai a, tualeh a nungjuite`n amah ajui ua. 
MRK.6.2	Tualeh khawlni a hunghih in, kikhopna inn ah thuhilh apanta a, tualeh mi tampi athu zate`n “Hipa`n hih thute khoia pan a amuh ahia? A kiang a pilna kipia bangpilna ahia? Akhut in hijahta a silthupi abawl bang chidan ahia? 
MRK.6.3	Hihpa Mari tapa Jakob, Jos, Juda leh Simon sanggampa, sing nasep sempa hilou amaw? A sanggamnute zong hihsan a ikiang ua om hilou ahi uh maw?” achi ua. Tuachi`n atung ah alungkim takei uhi.
MRK.6.4	Hinanleh Jesu`n a kiang uah, “Jawlnei jaw ama gamsung leh ama inkuante lak leh ama insung ah chihlouh jahbawllouh in a omngai kei hi,” achi hi. 
MRK.6.5	Mi damlou tamloute tung a akhut nga a adamsak chihlouh ngal hih gam ah sillamdang a bawlthei kei hi. 
MRK.6.6	Tualeh a gintatlouh jiak un lamdang asa mahmah hi. Tuachi`n khuate ah thu hilh in avak kawikawi hi.
MRK.6.7	Tualeh aman sawmlehnihte a kiangah a samkhawm a, nihnih in asawlkhia a, tualeh Dawininte tung a thuneihna zong apia hi. 
MRK.6.8	“Tualeh a khualjinna uah chiangkhut chihlouh bangmah, thungpite, tanghoute, leh akawng a dangka pualou ding in thu apia hi. 
MRK.6.9	Hinanleh khedap bulh unla, puan-ak nih keng kei un,” achi hi. 
MRK.6.10	Aman akiang uah, “Inn khatpeuh a na lutchiang un, huamun a na pawtkhiat masiah uh tua inn ah tung kinken un. 
MRK.6.11	Tualeh kuapeuhin ahung tunsaklouh ua, nathu uh zong a ngaihnuam kei uleh, tua a pan na pawtchiang un, amauh mawhpaihna dingin na kengtaw ua leivui thingkhia un. Adiktak in kung hilh ahi, vaihawmni chiangin tua khua thuak ding sang in Sodom leh Gomorrah thuak ding adan a omjaw ding!” achi hi. 
MRK.6.12	Tuachi`n amauh a pawtkhia ua mite kisik dingin thu ahilh uhi. 
MRK.6.13	Tualeh amauhte`n dawi tampi a notdok ua, damlou tampi sathau nuh in a damsak uhi. 
MRK.6.14	Tualeh kumpi Herod in anaja a, amin athanta`k jiakin, “Baptispa Johan misi lak a kipan-a hung thoukik a! Huajiakin hih silbawltheihnate`n amah ah sem ahive,” achi hi. 
MRK.6.15	Adangte`n, “Elijah ahi achi ua,”
MRK.6.15	Midangte`n, “Jawlnei ahi, Jawlneite lak a khat ahi,” achi ua.
MRK.6.16	Hinanleh Herod in hihte ajaktak in, “Alu ka tansakpa Johan ahi ve! Misi lak a pan hung thoukik ahi!” achi hi. 
MRK.6.17	Herod in a sanggampa Philip zi Herodia a kitenpih tak jiakin Herodia jiakin mi asawl a, Johan a mansak a, ka`n in thong ah akhumta hi. 
MRK.6.18	Ajiak Johan in Herod kiangah, “Na sanggampa zi na kitenpih dan ngaina ahikei!” anachi hi.
MRK.6.19	Tuajiakin Herodia in amah a mudah a thah a ut a, hinanleh a thatthei kei hi. 
MRK.6.20	Herod in Johan hi midiktat leh Siangthoutak ahi chih atheih jiakin a lau a, amah ana humhum a; athu ajak in a lungkham a, hinanleh kipaktak in a ngaikhia jel hi.
MRK.6.21	Tuachi`n Herod in a pian ni-in ami thupite, galkap lamkai liante, Galili gam a miliante a ding a jahna ankuang aluilai in hun lemtang a hung omta a. 
MRK.6.22	Tualeh Herodia tanu a hunglut a, alam a, tualeh Herod leh a kiang a toute a kipaksakta a, kumpipa`n numei naupangnu kiangah, “Na deihdeih hung ngen in? Kung piading,” achi a. 
MRK.6.23	“Bang khatpeuh nung nget taphot, kungpia ding, ka gam kimkhat tan in zong chi in amahnu kiangah a kichiam hial hi!”
MRK.6.24	Tuachi`n amahnu vapawt khia in anu kiangah, “Bang ka ngen dia?” chi`n ava dong a.
MRK.6.24	Tualeh amahnu`n, “Baptispa Johan lutang,” anachi hi.
MRK.6.25	Kintakin kumpipa kiang ah hunglut in a kiangah, “Tu leh tuin Baptispa Johan lutang kuang khat in hungpia lechin ka ut!” chi-in a ngen a.
MRK.6.26	Tuachi`n kumpipa a lungkham mahmah a, hinanleh a chiamsa ahihman in leh a kiang a toute jiakin a nial nuam kei a. 
MRK.6.27	Tuachi`n kumpipa`n athat ding in mikhat a sawlpai a, amah paiin thong sung a alu a vatanta a; 
MRK.6.28	a lutang kuang khat in a hungtawi a, numei naupang kiang ah apia a; tualeh numei naupangnu`n anu kiangah a piata hi. 
MRK.6.29	A nungjuite`n ajaktak un aluang avala ua, han ah avuita uhi.
MRK.6.30	Tuachi`n sawltakte Jesu kiangah ahung kikhawm ua, a silbawlte jousiah uleh a thuhilhnate uh a hunghilh ua. 
MRK.6.31	Tualeh aman akiang uah, “Noumau guak in hungpai unla, munsip ah tomkhat hung khawlphot un,” achi a. Ajiak atung akuan ki phamat den ahihman in an nekna ding hun nasan amukei uhi. 
MRK.6.32	Tuachi`n amauhte gunkuang in munsip ah atuampai ta uhi.
MRK.6.33	Hinanleh mipite`n apailai uh amu ua, mi tampi in amah athei ua, khuapite a pan keng in a hungtai ua, ana makhelh in a kiangah ahung paikhawm ua. 
MRK.6.34	Tualeh Jesu ahung pawtkhiat takin, mipi tampitak a muta a, chingtu bei belam bang ahihjiak un a hehpih mahmah a; tuachi`n thu ahilh panta hi. 
MRK.6.35	Sun hun tamjaw ahung manzoh tak un, a nungjuite hungpaiin a kiangah, “Hih gamdai mun ahi a, hunlah a jekaita a; 
MRK.6.36	I kim a gamte leh khuate a vapai a nek ding aki leitheihna ding un amauhte sawlkhia in, tanghou nek ding bangmah lah aneingal kei ua,” achi ua.
MRK.6.37	Hinanleh aman akiang uah, “Nou nek ding pia un,” chi`n adawng a.
MRK.6.37	Tualeh amauhte`n a kiang ah, “Tanghou makhai zanih man kava lei un nek ding ka pia ding uh maw?” achi ua.
MRK.6.38	Hinanleh aman akiang uah, “Tanghou phel bangjah nanei ua? Pai unla va en un,” achi a.
MRK.6.38	Tualeh amau`n atheihtak un, “Phel nga leh ngasa nih,” achi ua.
MRK.6.39	Tuachi`n aman akiang uah, mipite loupa tung a apawl pawl a tousak dingin amauhte thu apia hi. 
MRK.6.40	Tuachi`n amauh agual gual in jakhat khat bang sawmnga nga bangin atouta ua. 
