GEN.1.1	En el comienzo de todo, Dios creó
NUM.4.20	Así ellos no tendrán que entrar en ningún momento
NUM.4.21	El Señor se dirigió a Moisés y le dijo:
NUM.4.22	“Haz también un censo, por orden de clanes y familias, de los descendientes de Guersón 
NUM.4.23	que estén entre los treinta y los cincuenta años de edad, y que sean aptos para el servicio de la tienda del encuentro.
NUM.4.24	“El trabajo de los descendientes de Guersón será este: 
NUM.4.25	Transportarán las cortinas del santuario, o sea la tienda del encuentro, la cubierta de pieles finas que se le pone encima, la cortina de la entrada a la tienda del encuentro, 
NUM.4.26	las cortinas del atrio, la cortina de la entrada del atrio que rodea el santuario y el altar, las cuerdas correspondientes y todos los utensilios que necesitan para su oficio y para su trabajo. 
NUM.4.27	Aarón y sus hijos dirigirán a los descendientes de Guersón en los trabajos que han de hacer y en las cosas que han de transportar. Vosotros los haréis responsables de lo que ellos hayan de hacer. 
NUM.4.28	Este es el servicio que los clanes de los descendientes de Guersón han de prestar en la tienda del encuentro, bajo la dirección de Itamar, hijo del sacerdote Aarón.
NUM.4.29	“Haz también un censo de los descendientes de Merarí, por orden de clanes y familias. 
NUM.4.30	Registra a todos los que tengan entre treinta y cincuenta años de edad, es decir, los que sean aptos para el servicio de la tienda del encuentro. 
NUM.4.31	Su trabajo en relación con la tienda del encuentro será transportar las tablas del santuario, los travesaños, los postes, las bases, 
NUM.4.32	los postes del atrio que rodea el santuario, con sus bases, estacas y cuerdas y todo lo que necesitan para su trabajo. Tú dirás a cada uno exactamente qué cosas ha de transportar. 
NUM.4.33	Este es el trabajo que, en relación con la tienda del encuentro, estará a cargo de los clanes descendientes de Merarí y que se hará bajo la dirección de Itamar, hijo del sacerdote Aarón.”
NUM.4.34	Moisés, Aarón y los jefes del pueblo hicieron el censo, por orden de clanes y familias, de los descendientes de Quehat 
NUM.4.35	que estaban entre los treinta y los cincuenta años de edad, y que eran aptos para el servicio de la tienda del encuentro; 
NUM.4.36	y los hombres registrados fueron dos mil setecientos cincuenta en total. 
NUM.4.37	Este fue el número de los descendientes de Quehat que podían prestar servicio en la tienda del encuentro, según el censo que hicieron Moisés y Aarón y conforme a la orden que el Señor había dado a Moisés.
NUM.4.38	Los descendientes de Guersón, por orden de clanes y familias, 
NUM.4.39	que estaban entre los treinta y los cincuenta años de edad y que eran aptos para el servicio de la tienda del encuentro, 
NUM.4.40	fueron dos mil seiscientos treinta. 
NUM.4.41	Este fue el número de los descendientes de Guersón que podían prestar servicio en la tienda del encuentro, según el censo que hicieron Moisés y Aarón por orden del Señor.
NUM.4.42	Los descendientes de Merarí, por orden de clanes y familias, 
NUM.4.43	que estaban entre los treinta y los cincuenta años de edad y que eran aptos para el servicio de la tienda del encuentro, 
NUM.4.44	fueron tres mil doscientos. 
NUM.4.45	Este fue el número de los descendientes de Merarí que podían prestar servicio en la tienda del encuentro, según el censo que hicieron Moisés y Aarón y conforme a la orden que el Señor había dado a Moisés.
NUM.4.46	El número total de levitas contados por Moisés, Aarón y los jefes de Israel, por orden de clanes y familias, 
NUM.4.47	que estaban entre los treinta y los cincuenta años de edad y que eran aptos para el servicio de la tienda del encuentro, 
NUM.4.48	fue de ocho mil quinientos ochenta. 
NUM.4.49	Este censo se hizo según la orden que el Señor había dado a Moisés, y a cada uno se le dijo lo que tenía que hacer y lo que le tocaba llevar, tal como el Señor se lo había ordenado a Moisés.
NUM.5.1	El Señor se dirigió a Moisés y le dijo:
NUM.5.2	“Ordena a los israelitas que saquen fuera del campamento a todas las personas que tengan lepra,
NUM.5.3	Que los saquen fuera del campamento, sean hombres o mujeres. Así no harán impuro el campamento, donde yo vivo en medio de ellos.”
NUM.5.4	Los israelitas obedecieron la orden que el Señor dio a Moisés y sacaron fuera del campamento a aquellas personas.
NUM.5.5	El Señor se dirigió a Moisés y le dijo:
NUM.5.6	“Diles esto a los israelitas: Cuando un hombre o una mujer es infiel al Señor y causa algún perjuicio a otra persona, comete un pecado, 
NUM.5.7	y deberá reconocerlo. Además deberá dar a la persona perjudicada, como compensación, el equivalente al daño causado más una quinta parte. 
NUM.5.8	Si la persona perjudicada ya ha muerto y no hay ningún pariente cercano a quien darle la compensación, esta será para el Señor y en beneficio del sacerdote, además del carnero que el sacerdote deberá ofrecer para obtener el perdón por el pecado de esa persona.
NUM.5.9	“Toda contribución y ofrenda que los israelitas consagren al Señor y lleven ante el sacerdote, será para el sacerdote. 
NUM.5.10	Todo lo que se consagre al Señor y se lleve al sacerdote, será para el sacerdote.”
NUM.5.11	El Señor se dirigió a Moisés y le dijo:
NUM.5.12	“Diles esto a los israelitas: Puede darse el caso de que una mujer sea infiel a su marido 
NUM.5.13	y tenga relaciones con otro hombre sin que su marido lo sepa, y que, aunque ella cometa este acto que la hace impura, no haya pruebas de ello y la cosa quede oculta por no haber sido sorprendida en el acto mismo. 
NUM.5.14	En ese caso, puede suceder que el marido se ponga celoso por causa de su mujer. Pero también puede darse el caso de que el marido se ponga celoso aun cuando su mujer sea inocente. 
NUM.5.15	En ambos casos, el marido llevará a su mujer ante el sacerdote, y presentará como ofrenda por ella dos kilos de harina de cebada. Pero no derramará aceite ni incienso sobre la harina, pues es una ofrenda por causa de celos, una ofrenda para poner al descubierto un pecado.
NUM.5.16	“El sacerdote hará que la mujer se acerque, y la presentará al Señor. 
NUM.5.17	Luego tomará un poco de agua sagrada en una vasija de barro y mezclará con ella un poco de polvo del suelo del santuario. 
NUM.5.18	Hará asimismo que la mujer se coloque delante del Señor, le soltará el pelo
NUM.5.19	Entonces tomará juramento a la mujer, y le dirá: ‘Si no has tenido relaciones con otro hombre, ni has sido infiel a tu marido, ni has cometido con otro hombre un acto que te haga impura, que no te pase nada al beber esta agua amarga que trae maldición. 
NUM.5.20	Pero si has sido infiel a tu marido, si has tenido relaciones con otro hombre y has cometido así un acto que te hace impura, 
NUM.5.21	que el Señor te convierta en ejemplo de maldición ante el pueblo, y haga que el vientre se te hinche y que tu criatura se malogre.
NUM.5.22	Ese castigo te vendrá al beber esta agua que trae maldición.’ Y la mujer responderá: ‘Amén.’
NUM.5.23	“Entonces el sacerdote pondrá esta maldición por escrito y la borrará con el agua amarga. 
NUM.5.24	Después hará que la mujer beba esa agua, para que le provoque amargura dentro de sí, 
NUM.5.25	y recibirá de manos de ella la ofrenda por causa de celos para presentarla ante el Señor; luego colocará la ofrenda sobre el altar, 
NUM.5.26	y en seguida tomará un puñado de la ofrenda de cereales y lo quemará en el altar como ofrenda de memorial.
NUM.5.26	“Después que el sacerdote haya hecho beber a la mujer el agua amarga, 
NUM.5.27	si ella ha sido infiel a su marido, esta agua que trae maldición provocará amargor dentro de ella, y hará que el vientre se le hinche y que la criatura se malogre, y la mujer se convertirá en ejemplo de maldición entre su pueblo. 
NUM.5.28	Pero si la mujer es inocente, no le pasará nada y podrá tener hijos.
NUM.5.29	“Esta es la ley para los casos en que una mujer sea infiel a su marido y él se ponga celoso, 
NUM.5.30	o en los que simplemente se ponga celoso el marido por causa de su mujer. El marido presentará a su mujer ante el Señor, y el sacerdote hará con ella lo que manda esta ley. 
NUM.5.31	El marido no será considerado culpable; pero si la mujer es culpable, ella sufrirá su castigo.”
NUM.6.1	El Señor se dirigió a Moisés y le dijo:
NUM.6.2	“Diles esto a los israelitas: Si un hombre o una mujer hace la promesa de consagrarse al Señor como nazareo,
NUM.6.3	no podrá beber vino ni licor, ni vinagre hecho de vino o de licor, ni zumo de uva; tampoco podrá comer uvas ni pasas.
NUM.6.4	Mientras dure su promesa no podrá comer nada de lo que produce la vid, sea lo que sea. 
NUM.6.5	Tampoco podrá cortarse el cabello, sino que se lo dejará crecer hasta que termine el plazo fijado a su promesa, pues debe mantenerse consagrado al Señor. 
NUM.6.6	Durante ese tiempo tampoco podrá acercarse a un cadáver, 
NUM.6.7	ni siquiera en el caso de que muera su padre, su madre, o algún hermano o hermana, para no quedar impuro, pues está obligado a mantenerse consagrado al Señor. 
NUM.6.8	Todo el tiempo que dure su promesa, estará consagrado al Señor.
NUM.6.9	“Si alguien muere de repente junto a él y le contamina así el cabello, que él tenía consagrado al Señor, deberá raparse la cabeza siete días más tarde, es decir, el día señalado para su purificación. 
NUM.6.10	El octavo día llevará al sacerdote dos tórtolas o dos pichones a la entrada de la tienda del encuentro. 
NUM.6.11	El sacerdote ofrecerá uno de ellos como sacrificio por el pecado y el otro como holocausto, y celebrará el rito para obtener el perdón por el pecado cometido al tocar el cadáver. Ese día volverá a consagrar su cabello al Señor, 
NUM.6.12	y comenzará un nuevo periodo de consagración al Señor. El tiempo anterior no se tomará en cuenta, porque el cabello que había consagrado quedó impuro. También llevará al Señor un cordero de un año, como sacrificio por la culpa.
NUM.6.13	“Cuando termine el plazo de su consagración, el nazareo irá a la entrada de la tienda del encuentro 
NUM.6.14	y ofrecerá al Señor un cordero de un año, sin ningún defecto, como holocausto; una oveja de un año, sin ningún defecto, como sacrificio por el pecado, y un carnero, sin ningún defecto, como sacrificio de reconciliación. 
NUM.6.15	También ofrecerá un canastillo de panes hechos de la mejor harina, sin levadura y amasados con aceite; hojuelas sin levadura rociadas con aceite, junto con sus correspondientes ofrendas de cereales y de vino. 
NUM.6.16	El sacerdote ofrecerá ante el Señor el sacrificio por el pecado y el holocausto,
NUM.6.17	y ofrecerá el carnero como sacrificio de reconciliación,
NUM.6.18	El nazareo se rapará la cabeza a la entrada de la tienda del encuentro, y tomará el cabello que había consagrado y lo echará al fuego que arde bajo el sacrificio de reconciliación. 
NUM.6.19	El sacerdote tomará la espaldilla del carnero, ya cocida, un pan sin levadura del canastillo y una hojuela sin levadura, y lo pondrá todo en manos del nazareo, después que éste se haya rapado la cabeza. 
NUM.6.20	Entonces el sacerdote celebrará el rito de presentación ante el Señor. El pecho del animal con que se celebra el rito de presentación
NUM.6.21	“Esta es la ley para el que hace la promesa de consagrarse al Señor como nazareo, y estas son las ofrendas que le debe presentar, sin contar cualquier otra cosa que esté en condiciones de ofrecer. Deberá cumplir lo prometido, de acuerdo con lo establecido para estos casos.”
NUM.6.22	El Señor se dirigió a Moisés y le dijo:
NUM.6.23	“Diles a Aarón y a sus hijos que cuando bendigan a los israelitas lo hagan de esta manera:
NUM.6.24	‘Que el Señor te bendiga y te proteja;
NUM.6.25	que el Señor te mire con agrado
NUM.6.25	y te muestre su bondad;
NUM.6.26	que el Señor te mire con amor
NUM.6.26	y te conceda la paz.’
NUM.6.27	“Así ellos pronunciarán mi nombre sobre los israelitas, y yo los bendeciré.”
NUM.7.1	El día en que Moisés terminó de construir el santuario,
NUM.7.2	Luego los jefes de las tribus, los que habían ayudado a hacer el censo, fueron 
NUM.7.3	y presentaron al Señor como ofrenda seis carretas cubiertas y doce bueyes, es decir, una carreta por cada dos jefes y un buey por cada uno. Todo esto lo pusieron delante del santuario.
NUM.7.4	Entonces el Señor dijo a Moisés: 
NUM.7.5	“Recibe de ellos las carretas y los bueyes, y dáselos a los levitas para que los usen en los trabajos relacionados con la tienda del encuentro, según el trabajo que cada uno deba realizar.”
NUM.7.6	Moisés recibió las carretas y los bueyes, y los repartió entre los levitas. 
NUM.7.7	A los descendientes de Guersón les dio dos carretas y cuatro bueyes, que era lo que necesitaban para sus trabajos. 
NUM.7.8	A los descendientes de Merarí les dio cuatro carretas y ocho bueyes, que era lo que necesitaban para realizar su trabajo bajo la dirección de Itamar, hijo del sacerdote Aarón. 
NUM.7.9	En cambio, a los descendientes de Quehat no les dio carretas ni bueyes, porque las cosas sagradas que ellos tenían que transportar debían llevarlas a hombros.
NUM.7.10	Cuando se consagró el altar, los jefes de las tribus llevaron sus ofrendas y las pusieron delante del altar. 
NUM.7.11	Entonces el Señor dijo a Moisés: “Cada día será un jefe de tribu distinto el que lleve su ofrenda para la consagración del altar.”
NUM.7.12	El primer día llevó su ofrenda Nahasón, hijo de Aminadab, de la tribu de Judá. 
NUM.7.13	Su ofrenda consistía en una bandeja de plata que pesaba mil cuatrocientos treinta gramos y un tazón de plata que pesaba setecientos setenta gramos (según el peso oficial del santuario), ambos llenos de la mejor harina, amasada con aceite, para la ofrenda de cereales; 
NUM.7.14	además, un cucharón de oro que pesaba ciento diez gramos, lleno de incienso, 
NUM.7.15	un becerro, un carnero, un cordero de un año para ofrecerlo como holocausto, 
NUM.7.16	un chivo para el sacrificio por el pecado, 
NUM.7.17	y por último, para el sacrificio de reconciliación, dos toros, cinco carneros, cinco chivos y cinco corderos de un año. Esta fue la ofrenda de Nahasón, hijo de Aminadab.
NUM.7.18	El segundo día llevó su ofrenda Natanael, hijo de Suar, jefe de la tribu de Isacar, 
NUM.7.19+NUM.7.20+NUM.7.21+NUM.7.22+NUM.7.23	y ofrendó lo mismo que Nahasón.
NUM.7.24	El tercer día llevó su ofrenda Eliab, hijo de Helón, jefe de la tribu de Zabulón, 
NUM.7.25+NUM.7.26+NUM.7.27+NUM.7.28+NUM.7.29	y ofrendó lo mismo que los anteriores.
NUM.7.30	El cuarto día llevó su ofrenda Elisur, hijo de Sedeúr, jefe de la tribu de Rubén, 
NUM.7.31+NUM.7.32+NUM.7.33+NUM.7.34+NUM.7.35	y ofrendó lo mismo que los anteriores.
NUM.7.36	El quinto día llevó su ofrenda Selumiel, hijo de Surisadai, jefe de la tribu de Simeón, 
NUM.7.37+NUM.7.38+NUM.7.39+NUM.7.40+NUM.7.41	y ofrendó lo mismo que los anteriores.
NUM.7.42	El sexto día llevó su ofrenda Eliasaf, hijo de Reuel,
NUM.7.43+NUM.7.44+NUM.7.45+NUM.7.46+NUM.7.47	y ofrendó lo mismo que los anteriores.
NUM.7.48	El séptimo día llevó su ofrenda Elisamá, hijo de Amihud, jefe de la tribu de Efraín, 
NUM.7.49+NUM.7.50+NUM.7.51+NUM.7.52+NUM.7.53	y ofrendó lo mismo que los anteriores.
NUM.7.54	El octavo día llevó su ofrenda Gamaliel, hijo de Pedasur, jefe de la tribu de Manasés, 
NUM.7.55+NUM.7.56+NUM.7.57+NUM.7.58+NUM.7.59	y ofrendó lo mismo que los anteriores.
NUM.7.60	El noveno día llevó su ofrenda Abidán, hijo de Guidoní, jefe de la tribu de Benjamín, 
NUM.7.61+NUM.7.62+NUM.7.63+NUM.7.64+NUM.7.65	y ofrendó lo mismo que los anteriores.
NUM.7.66	El décimo día llevó su ofrenda Ahiézer, hijo de Amisadai, jefe de la tribu de Dan, 
NUM.7.67+NUM.7.68+NUM.7.69+NUM.7.70+NUM.7.71	y ofrendó lo mismo que los anteriores.
NUM.7.72	El día once llevó su ofrenda Paguiel, hijo de Ocrán, jefe de la tribu de Aser, 
NUM.7.73+NUM.7.74+NUM.7.75+NUM.7.76+NUM.7.77	y ofrendó lo mismo que los anteriores.
NUM.7.78	El día doce llevó su ofrenda Ahirá, hijo de Enán, jefe de la tribu de Neftalí, 
NUM.7.79+NUM.7.80+NUM.7.81+NUM.7.82+NUM.7.83	y ofrendó lo mismo que los anteriores.
NUM.7.84	Así pues, cuando se consagró el altar, los jefes de las tribus de Israel ofrecieron doce bandejas de plata, doce tazones de plata y doce cucharones de oro. 
NUM.7.85	Cada bandeja de plata pesaba mil cuatrocientos treinta gramos, y cada tazón, setecientos setenta gramos. En total, la plata de todas las bandejas y de todos los tazones pesaba veintiséis mil cuatrocientos gramos, según el peso oficial del santuario. 
NUM.7.86	Había también doce cucharones de oro llenos de incienso, que pesaban ciento diez gramos cada uno, según el peso oficial del santuario. El oro de todos los cucharones pesaba en total mil trescientos veinte gramos.
NUM.7.87	Los animales para el holocausto fueron en total doce becerros, doce carneros, doce corderos de un año, con sus correspondientes ofrendas de cereales, y doce chivos para el sacrificio por el pecado. 
NUM.7.88	Los animales para el sacrificio de reconciliación fueron en total veinticuatro becerros, sesenta carneros, sesenta chivos y sesenta corderos de un año. Estas fueron las ofrendas para la dedicación del altar, después de su consagración.
NUM.7.89	Cuando Moisés entró en la tienda del encuentro para hablar con el Señor, oyó que el Señor le hablaba desde encima de la tapa del arca del pacto, de entre los dos seres alados.
NUM.8.1	El Señor se dirigió a Moisés y le dijo: 
NUM.8.2	“Dile a Aarón que, cuando encienda las lámparas, haga que su luz dé hacia el frente del candelabro.” 
NUM.8.3	Aarón cumplió lo que el Señor ordenó a Moisés, y dispuso las lámparas de modo que alumbraran hacia el frente del candelabro. 
NUM.8.4	El candelabro estaba hecho de oro labrado a martillo desde su base hasta la punta de sus pétalos. Moisés hizo el candelabro según el modelo que el Señor le había mostrado.
NUM.8.5	El Señor se dirigió a Moisés y le dijo:
NUM.8.6	“Aparta a los levitas de entre los demás israelitas, y purifícalos.
NUM.8.7	El rito para la purificación será el siguiente: Tú los rociarás con el agua de la purificación,
NUM.8.8	Luego tomarán un becerro y un poco de la mejor harina, amasada con aceite, para hacer la ofrenda de cereales correspondiente, además de otro becerro para el sacrificio por el pecado. 
NUM.8.9	Tú harás que los levitas se acerquen a la tienda del encuentro y que todos los israelitas se reúnan. 
NUM.8.10	En seguida harás que los levitas se presenten delante de mí y que los israelitas les vayan poniendo las manos sobre la cabeza. 
NUM.8.11	Aarón celebrará ante mí el rito de presentación de los levitas
NUM.8.12	Después los levitas pondrán las manos sobre la cabeza de los becerros, y uno de los becerros será ofrecido como sacrificio por el pecado y el otro como holocausto para purificar a los levitas. 
NUM.8.13	Luego tú los colocarás ante Aarón y sus hijos, y celebrarás el rito de presentación, para dedicármelos; 
NUM.8.14	así apartarás a los levitas de entre los demás israelitas, para que sean míos. 
NUM.8.15	Después irán ellos a prestar su servicio en la tienda del encuentro. Deberás purificarlos y presentármelos como una ofrenda especial, 
NUM.8.16	porque, de entre todos los israelitas, ellos están dedicados a mí. Yo los he aceptado a cambio de todos los primogénitos de los israelitas, 
NUM.8.17	porque a mí me pertenecen todos los primogénitos de los israelitas, así como las primeras crías de sus animales. Cuando hice morir a los primogénitos de los egipcios, reservé para mí a los primogénitos de los israelitas.
NUM.8.18	Pero a cambio de ellos acepté a los levitas. 
NUM.8.19	Yo escogí a los levitas de entre los demás israelitas, y se los entregué a Aarón y a sus hijos, para que, en nombre de los israelitas, se encarguen del servicio en la tienda del encuentro y obtengan el perdón del Señor para los israelitas. Así los israelitas no tendrán que acercarse al santuario, y no les pasará nada malo.”
NUM.8.20	Moisés, Aarón y todo el pueblo de Israel cumplieron lo que el Señor ordenó a Moisés respecto a los levitas. 
NUM.8.21	Los levitas se purificaron y lavaron su ropa, y Aarón los presentó como ofrenda especial ante el Señor, celebrando el rito de purificación por ellos. 
NUM.8.22	Después de todo esto, los levitas fueron a cumplir con sus deberes en la tienda del encuentro, bajo la vigilancia de Aarón y sus hijos. Tal como el Señor se lo ordenó a Moisés, así se hizo con los levitas.
NUM.8.23	El Señor se dirigió a Moisés y le dijo:
NUM.8.24	“Los levitas comenzarán a prestar sus servicios en la tienda del encuentro a los veinticinco años de edad,
NUM.8.25	y se retirarán de su servicio a los cincuenta. 
NUM.8.26	Después de esa edad podrán ayudar a sus compañeros en sus oficios en la tienda del encuentro, pero no prestar servicio regular. Así organizarás el servicio de los levitas.”
NUM.9.1	Un año después de haber salido de Egipto los israelitas, en el primer mes del año,
NUM.9.2	“Los israelitas deben celebrar la fiesta de la Pascua en la fecha señalada, 
NUM.9.3	es decir, el día catorce de este mes, al atardecer, siguiendo al pie de la letra todas las instrucciones que he dado para su celebración.”
NUM.9.4	Entonces Moisés ordenó a los israelitas que celebraran la Pascua, 
NUM.9.5	y ellos lo hicieron así el día catorce de aquel mes, al atardecer, en el desierto de Sinaí, haciendo todo tal como el Señor se lo había ordenado a Moisés.
NUM.9.6	Pero había unos hombres que estaban impuros por haber tocado un cadáver,
NUM.9.7	y dijeron a Moisés:
NUM.9.7	–Nosotros hemos tocado un cadáver, y por lo tanto estamos impuros. ¿Acaso no se nos va a permitir presentar al Señor la ofrenda en la fecha señalada, junto con los demás israelitas?
NUM.9.8	Moisés les respondió:
NUM.9.8	–Esperad a que yo reciba instrucciones del Señor acerca de vosotros.
NUM.9.9	El Señor se dirigió a Moisés y le dijo:
NUM.9.9	“Diles esto a los israelitas: 
NUM.9.10	Todos vosotros y vuestros descendientes celebraréis la Pascua en mi honor. Los que estén impuros por haber tocado un cadáver, o los que se encuentren lejos, de viaje, 
NUM.9.11	la celebrarán el día catorce del mes segundo, al atardecer. Comerán el cordero con hierbas amargas y pan sin levadura, 
NUM.9.12	y no dejarán nada para el día siguiente, ni le quebrarán ningún hueso.
NUM.9.13	Pero el que deje de celebrar la Pascua a pesar de estar puro y no encontrarse de viaje, será eliminado de entre su gente. Y puesto que no presentó al Señor la ofrenda en la fecha señalada, recibirá el castigo por su pecado.
NUM.9.14	“Los extranjeros que vivan entre vosotros celebrarán la Pascua en mi honor conforme a todas las instrucciones que he dado. Las mismas normas valdrán tanto para los extranjeros como para los nacidos en el país.”
NUM.9.15	El día en que montaron el santuario,
NUM.9.16	Así sucedía siempre: de día, la nube cubría la tienda, y de noche se veía una especie de fuego.
NUM.9.17	Cuando la nube se levantaba de sobre la tienda, los israelitas se ponían en camino; y en el lugar donde la nube se detenía, allí acampaban. 
NUM.9.18	Cuando el Señor lo ordenaba, los israelitas se ponían en camino, o acampaban y permanecían acampados durante el tiempo que la nube permanecía sobre el santuario. 
NUM.9.19	Si la nube se quedaba mucho tiempo sobre el santuario, los israelitas detenían su marcha para ocuparse del servicio del Señor; 
NUM.9.20	si la nube se quedaba solo unos cuantos días sobre el santuario, a una orden del Señor se ponían en camino, y a otra orden suya se detenían. 
NUM.9.21	A veces la nube se quedaba solo por la noche, y por la mañana se levantaba; entonces ellos se ponían en camino. Lo mismo de día que de noche, cuando la nube se levantaba, ellos se ponían en camino. 
NUM.9.22	Y si la nube se detenía sobre el santuario un par de días, un mes o un año, los israelitas acampaban y no seguían adelante. Pero en cuanto la nube se levantaba, ellos seguían su viaje. 
NUM.9.23	A una orden del Señor acampaban, y a otra orden suya se ponían en camino. Mientras tanto, se ocupaban del servicio del Señor, como él lo había ordenado por medio de Moisés.
NUM.10.1	El Señor se dirigió a Moisés y le dijo:
NUM.10.2	“Haz dos trompetas de plata
NUM.10.3	Cuando se toquen las dos trompetas, todo el pueblo se reunirá ante ti, a la entrada de la tienda del encuentro con Dios. 
NUM.10.4	Pero cuando se toque una sola, se reunirán solamente los principales jefes de tribu. 
NUM.10.5	Cuando el toque de trompetas vaya acompañado de fuertes gritos, se pondrán en camino los que estén acampados en el lado este, 
NUM.10.6	y al segundo toque se pondrán en camino los que estén acampados en el lado sur. El toque de trompetas acompañado de gritos será la señal de partida. 
NUM.10.7	El simple toque de trompetas será la señal para que se reúna la gente. 
NUM.10.8	Los encargados de tocar las trompetas serán los sacerdotes, los descendientes de Aarón. Esta será para vosotros una ley permanente.
NUM.10.9	“Cuando un enemigo os ataque
NUM.10.10	Tocad también las trompetas en días alegres, como los días de fiesta o de luna nueva, cuando ofrecéis holocaustos
NUM.10.11	El día veinte del mes segundo del segundo año,
NUM.10.12	Los israelitas se pusieron en marcha, partiendo del desierto de Sinaí. La nube se detuvo en el desierto de Parán.
NUM.10.13	Tal como el Señor lo había ordenado por medio de Moisés,
NUM.10.14	en primer lugar iban los ejércitos que marchaban bajo la bandera de Judá, y que tenían como jefe a Nahasón, hijo de Aminadab. 
NUM.10.15	Al frente del ejército de la tribu de Isacar estaba Natanael, hijo de Suar. 
NUM.10.16	Al frente del ejército de la tribu de Zabulón estaba Eliab, hijo de Helón. 
NUM.10.17	Entonces desmontaron el santuario, y los descendientes de Guersón y de Merarí, que eran los encargados de transportarlo, se pusieron en camino.
NUM.10.18	En seguida iban los ejércitos que marchaban bajo la bandera de Rubén, y que tenían como jefe a Elisur, hijo de Sedeúr. 
NUM.10.19	Al frente del ejército de la tribu de Simeón estaba Selumiel, hijo de Surisadai. 
NUM.10.20	Al frente del ejército de la tribu de Gad estaba Eliasaf, hijo de Reuel.
NUM.10.21	En seguida iban los descendientes de Quehat, que llevaban los utensilios sagrados. Cuando ellos llegaban, ya encontraban montado el santuario.
NUM.10.22	Después seguían los ejércitos que marchaban bajo la bandera de Efraín, y que tenían como jefe a Elisamá, hijo de Amihud. 
NUM.10.23	Al frente del ejército de la tribu de Manasés estaba Gamaliel, hijo de Pedasur. 
NUM.10.24	Al frente del ejército de la tribu de Benjamín estaba Abidán, hijo de Guidoní.
NUM.10.25	Por último, detrás de los otros ejércitos, seguían los que marchaban bajo la bandera de Dan, y que tenían como jefe a Ahiézer, hijo de Amisadai. 
NUM.10.26	Al frente del ejército de la tribu de Aser estaba Paguiel, hijo de Ocrán. 
NUM.10.27	Al frente del ejército de la tribu de Neftalí estaba Ahirá, hijo de Enán.
NUM.10.28	Este era el orden que seguían los ejércitos israelitas cuando se ponían en camino.
NUM.10.29	Un día Moisés dijo a su cuñado Hobab, hijo de Reuel el madianita:
NUM.10.29	–Nosotros nos vamos al país que el Señor ha prometido darnos. Ven con nosotros y te trataremos bien, pues el Señor ha prometido tratar con bondad a Israel.
NUM.10.30	Pero Hobab le contestó:
NUM.10.30	–No, yo prefiero volver a mi tierra, donde están mis parientes.
NUM.10.31	–No te vayas –insistió Moisés–. Tú conoces bien los lugares donde se puede acampar en el desierto, y puedes servirnos de guía. 
NUM.10.32	Si vienes con nosotros, compartiremos contigo todo lo bueno que el Señor nos conceda.
NUM.10.33	Así pues, se fueron del monte del Señor y caminaron durante tres días. El arca del pacto del Señor iba delante de ellos, buscándoles un lugar donde descansar. 
NUM.10.34	Durante el día, apenas se ponían en camino, la nube del Señor iba sobre ellos.
NUM.10.35	En cuanto el arca se ponía en marcha, Moisés decía:
NUM.10.35	“¡Levántate, Señor!
NUM.10.35	¡Que se dispersen tus enemigos!
NUM.10.35	¡Que al verte huyan los que te odian!”
NUM.10.36	Pero cuando el arca se detenía, decía Moisés:
NUM.10.36	“¡Vuelve ahora, Señor,
NUM.10.36	a los incontables ejércitos de Israel!”
NUM.11.1	Un día los israelitas comenzaron a murmurar
NUM.11.2	El pueblo gritó pidiendo ayuda a Moisés, y Moisés rogó al Señor por ellos. Entonces el fuego se apagó. 
NUM.11.3	Por eso aquel lugar se llamó Taberá,
NUM.11.4	Entre los israelitas se había mezclado gente de toda clase,
NUM.11.5	¡Cómo nos viene a la memoria el pescado que comíamos de balde en Egipto! Y también comíamos pepinos, melones, puerros, cebollas y ajos. 
NUM.11.6	Pero ahora nos estamos muriendo de hambre y no se ve otra cosa que maná.”
NUM.11.7	(El maná era parecido a la semilla del cilantro; tenía un color amarillento, como el de la resina, 
NUM.11.8	y sabía a tortas de harina con aceite. La gente salía a recogerlo, y luego lo molían o machacaban, y lo cocinaban o lo preparaban en forma de panes. 
NUM.11.9	Por la noche, cuando caía el rocío sobre el campamento, caía también el maná.)
NUM.11.10	Moisés oyó que los israelitas y sus familiares lloraban a la entrada de sus tiendas. El Señor estaba lleno de ira. Y Moisés también se disgustó, 
NUM.11.11	y dijo al Señor:
NUM.11.11	–¿Por qué me tratas mal a mí, que soy tu siervo? ¿Qué tienes contra mí, que me has hecho cargar con este pueblo? 
NUM.11.12	¿Acaso soy yo su padre o su madre para que me pidas que los lleve en brazos, como a niños de pecho, hasta el país que prometiste a sus antepasados? 
NUM.11.13	¿De dónde voy a sacar carne para dar de comer a toda esta gente? Vienen llorando a decirme: ‘Danos carne para comer.’ 
NUM.11.14	Yo solo no puedo seguir encargándome de llevar a todo este pueblo; es una carga demasiado pesada para mí. 
NUM.11.15	Si vas a seguir tratándome así, mejor será que me quites la vida, si es que de veras me estimas. Así no tendré que verme en tantas dificultades.
NUM.11.16	Pero el Señor le contestó:
NUM.11.16	–Reúneme a setenta ancianos israelitas, de los que sepas que tienen autoridad entre el pueblo, y tráelos a la tienda del encuentro, y que esperen allí contigo.
