MAT.1.1	Issá Masih, 
MRK.13.32	Hechkasa nazánt ke á róch o sáhat kadén sara rasit, na ásmánay 
MRK.13.33	“Tayár o hozzhár bét! Chiá ke nazánét á wahd o damán kadéna kayt. 
MRK.13.34	Mani per tarragay mesál, hamé dhawlá ent ke mardé dur o drájén saparéá berawt, roksat kanagay wahdá, sajjahén hezmatkáráni kár o bárán sar o sój bekant o negahpáná hokm bedant: ‘Sár o hozzhár bay!’ 
MRK.13.35	Shomá nazánét ke lógay hodábond kojám róch o che wahdá kayt; bégáhá, shapnémá, bámgwáhá yá sabáhay wahd o jáwará? Paméshká sár o hozzhár bét. 
MRK.13.36	Chosh mabit ke hodábond anágat
MRK.13.37	Anchosh ke man shomárá gwashagá án, sajjahénána gwashán: Hozzhár bét!”
MRK.14.2	Bale gwashtesh: “Aiday róchán na, chosh mabit ke mardom áshóp bekanant.”
MRK.14.3	Issá, Bayt-Anyáyá hamá Shamunay lógá mehmán at ke cha jozámay nádráhiá dráh butagat. Hamódá, yak janéné gón sengmarmarén atrdánéá Issáay gwará átk, atrdáná sombolay
MRK.14.4	Ódá, lahtén neshtagén mardom cha é kárá wati delá nawassh but o gwashtesh: “Chiá é atr zawál kanag but? 
MRK.14.5	É atr, cha sésad dinárá géshterá bahá butagat o zarr, garib o nézgárán dayag butagatant.” Paméshká, nun á janéná mayárig kanagá atant. 
MRK.14.6	Bale Issáyá gwasht: “Belléti, shomá pa ché eshiá ranjénagá ét? É janéná gón man nékié kortag. 
MRK.14.7	Garib o nézgár, modám shomay kerrá hast o shomá harwahd ke belóthét gón áyán néki korta kanét, bale man harwahd gón shomá gón naán. 
MRK.14.8	Áiá pa mani kabr kanagay tayáriá, wati hezmat sarjam kort o mani sará atr chandhet. 
MRK.14.9	Shomárá rásténa gwashán, sajjahén 
MRK.14.10	Yahudá Eskaryuti, ke cha Issáay dwázdahén moridán yakké at, mazanén dini péshwáyáni kerrá shot tánke Issáyá bedróhit o áyáni dastá bedant. 
MRK.14.11	Á cha Yahudáay habaray eshkonagá báz wassh butant o labzesh kort áiá chizé zarr bedayant. Nun, Yahudá gwam o gégén wahd o móhéay shóházá at ke Issáyá áyáni dastá bedant.
MRK.14.13	Gorhá, Issáyá cha moridán do kas dém dát o gwashti: “Shahrá berawét, ódá mardé gendét ke ápi kunzagé gón enti, áiay randá berawét. 
MRK.14.14	Hamá lógá ke á rawt, shomá ham berawét o lógay wáhondá begwashét: ‘Ostád josta kant: Mehmánhánah kojá ent ke man gón wati moridán Sargwazay shámá hamódá bwarán?’ 
MRK.14.15	Á mard, shomárá wati lógay sarborá, práhén bán o diwánjáhé pésha dárit ke ódá har chiz hast o tayár ent, shámay tayáriá hamódá bekanét.” 
MRK.14.16	Doén morid shot o shahrá rasetant. Ódá, áyán har chiz hamá paymá dist ke Issáyá gwashtagat. Sargwazay shámesh hamódá tayár kort.
MRK.14.17	Bégáh ke but, Issá gón dwázdahén moridán hamódá átk. 
MRK.14.18	Wahdé parzónagay sará neshtagatant o shám waragá atant, gwashti: “Báwar kanét, cha shomá yakké ke annun gón man neshtag o shám waragá ent, maná dróhit o dozhmenáni dastá dant.” 
MRK.14.19	Morid paréshán o deltaparkah
MRK.14.20	Issáyá passaw dát: “Cha shomá dwázdahénán yakké, hamá ke annun gón man hamkásag ent.” 
MRK.14.21	Chiá ke hamá dhawlá ke nebisag butag, 
MRK.14.22	Wahdé shám waragá atant, Issáyá nagané zort, shogri gept, chondh chondh kort o moridáná dáti. Gwashti: “Bezurét! É mani jesm ent.” 
MRK.14.23	Padá jámé zorti, Hodáay shogri gept, moridáná dáti o sajjahénán cha á jámá nóshet. 
MRK.14.24	Nun gwashti: “É mani nókén ahd o karáray hón ent ke pa bázénéá réchaga bit. 
MRK.14.25	Shomárá rásténa gwashán, nun dega baré anguray dahl o samará nanóshán tán hamá róchá ke 
MRK.14.26	Hodáay sepat o sanáyá
MRK.14.27	Issáyá gón moridán gwasht: “Shomá sajjahén thagala warét o maná yalaha kanét. Chiá ke nebisag butag: 
MRK.14.28	Bale zendag bayag o jáh janagá rand, cha shomá pésar 
MRK.14.29	Petrosá darráént: “Agan sajjahén thagal bwarant o tará yalah bedayant, man hechbar thagala nawarán.” 
MRK.14.30	Issáyá gwasht: “Tará rásténa gwashán, hamé maróchi, haw enshapi, taw, tai jend, cha korósay domi bángá pésar, mani pajjáh áragá say randá enkára kanay o namannay.” 
MRK.14.31	Petrosá pa deljami gwasht: “Agan gón taw mani sar ham berawt, cha tai pajjárá hechbara nabajján.” É dega sajjahén moridán ham anchosh gwasht.
MRK.14.32	Issá o áiay morid, Jetsimáni námén jágahéá shotant. Gón áyán gwashti: “Hamedá bedárét, mana rawán o dwá kanán.” 
MRK.14.33	Petros, Ákub o Yuhannái wati hamráh kortant. Anágat, yak mazanén andóh o bétáhirié
MRK.14.34	Gón áyán gwashti: “Sakk paréshán án, gam o andóhán maná markig kortag, shomá edá bedárét, mawapsét o ágáh o hozzhár bét.” 
MRK.14.35	Cha ódá kammé démterá shot, dém pa chér kapt o dwá kanán gwashti: “Oo mani Pet! Agan buta kant, é sakkén sáhatá cha mani sará bethagalén.” 
MRK.14.36	Padá gwashti: “Abbá, oo mani Pet! Tai dastá har chiz buta kant, é sakkiáni jám o pyálahá cha man dur kan o bethagalén. Bale á dhawlá na ke mana lóthán, hamá dhawlá ke taw lóthay.” 
MRK.14.37	Wahdé Issá per tarret, disti ke á wáb ant. Gorhá gón Shamun Petrosá gwashti: “Shamun! Wáb ay? Nabut yak sáhaté ham ágáh bemánay? 
MRK.14.38	Hozzhár bét o dwá kanét tánke ázmáesh o chakkásá makapét. Ruh, tayár o morádig ent, bale jesm nezór o nátwán.” 
MRK.14.39	Yak baré padá pa dwá kanagá shot o hamá dwái kort. 
MRK.14.40	Wahdé per tarret, disti padá wáb ant. Áyáni chamm rohézag o wábénag atant o nazántesh áiá ché passaw bedayant. 
MRK.14.41	Saymi randá, padá moridáni kerrá átk o gwashti: “Angat ham waptag o árám kanagá ét? Bass ent! Á wahd o sáhat rasetag. Nun 
MRK.14.42	Pád áét berawén! Á ke maná dróhit, pédák ent.”
MRK.14.43	Issá angat habará at ke cha dwázdahén moridán yakké, bezán Yahudá, átk o raset. Áiá rombé mardom hamráh at ke zahm o latthesh gón at. É romb, cha mazanén dini péshwá, 
MRK.14.44	Yahudáyá áyáná é nesháni dátagat: “Hamáiá ke mana chokkán, Issá hamá ent. Áiá dazgir kanét o gón mohr o mohkamén negahpánié bebarét.”
MRK.14.45	Gorhá, Yahudá tachkátachk Issáay kerrá átk o gwashti: “Oo ostád!” Randá, Issái chokket. 
MRK.14.46	Yahudáay hamráhán Issá gept o dazgir kort. 
MRK.14.47	Cha Issáay hamráhán yakkéá wati zahm kasshet o 
MRK.14.48	Issáyá gón hamá mardomán ke áiay dazgir kanagá átkagatant, gwasht: “Záná, man yági o rahzané án ke gón zahm o latthán pa mani geragá átkagét? 
MRK.14.49	Man har róch, shomay démá 
MRK.14.50	Á wahdi, moridán á yalah dát o jestant. 
MRK.14.51	Warnáé ke jámagé gwará ati o bass, Issáay randá gón kapt, áesh ham gept. 
MRK.14.52	Bale dazgir kanagay wahdá, áiay jámag lakosht o jándará tatk.
MRK.14.53	Issáay dazgir kanókán, Issá zort o 
MRK.14.54	Petros ham dur durá Issáay randá rawán at, masterén dini péshwáay lógay péshjáhá potert o gón hezmatkárán ásay kerrá nesht o dastáni tápagá lagget. 
MRK.14.55	Mazanén dini péshwá o sarókáni diwánay sajjahén básk,
MRK.14.56	Bázénéá, drógén sháhedi dát, bale áyáni habar gón yakdomiá yakk o hamdap naatant. 
MRK.14.57	Dega lahtén, pa drógén sháhedi dayagá pád átk o gwashtesh: 
MRK.14.58	“Má eshkotag ke é mardá gwashtag: ‘Man ensánay addh kortagén é 
MRK.14.59	Bale á sháhedáni habar ham yak dhawlá naatant. 
MRK.14.60	Masterén dini péshwá pád átk o sajjahénáni démá cha Issáyá josti kort: “Tai bárawá chónén sháhedi dayagá ant? Esháni hech passawa nadayay?” 
MRK.14.61	Bale Issá bétawár at o hech passawé nadáti. Masterén dini péshwáyá padá cha áiá jost kort o gwashti: “Bárén, taw hamá 
MRK.14.62	Issáyá passaw dát: 
MRK.14.63	Masterén dini péshwáyá wati gwaray jámag dert o gwashti: “Angat ham márá sháhed pakár ent? 
MRK.14.64	Shomá wat eshiay kopr eshkot. Nun shomay shawr o saláh chi ent?” Sajjahénán darráént: “Eshiay sezá mark ent.” 
MRK.14.65	Cha áyán lahténá, Issáay démá toh kort,
MRK.14.66	Á wahdá ke Petros, jahlá, péshjáhá neshtagat, cha 
MRK.14.67	Petrosi dist ke ásay démá neshtag o watá garm kanagá ent. Áiay némagá rogurogu cháret o gwashti: “Taw ham Issá Náseriay hamráh butagay!” 
MRK.14.68	Bale áiá namannet o gwashti: “Na, mana nazánán o sarpada nabán ke taw ché gwashagá ay.” Gón é habará, dém pa darwázagá rahádag but. Hamé damán o dargatá, korósá báng sar dát. 
MRK.14.69	Á móledá yak baré padá Petros dist o gón áyán ke ódá óshtátagatant, gwashti: “É mard ham cha hamáyán ent!” 
MRK.14.70	Bale Petrosá padá namannet. Kammé randterá, á ke ódá óshtátagatant, padá gón Petrosá gwashtesh: “Allamá taw cha hamáyán ay, chiá ke taw ham 
MRK.14.71	Bale Petrosá sawgand wárt o gwasht: “Mani sará Hodáay nálat bát agan dróg bebandán. É mardá ke shomá gwashét, mana nazánán.” 
MRK.14.72	Hamé dargatá, korósá domi báng sar dát. Nun Petros, Issáay hamá habaray yát o tránagá kapt ke gwashtagati: “Cha korósay domi bángá pésar, say randá mani pajjáh áragá enkára kanay.” Nun delranj but o sakk gréti.
MRK.15.1	Sabáhá paggáh,
MRK.15.2	Pilátusá cha áiá jost kort: “Taw Yahudiáni bádsháh ay?” Issáyá passaw dát: “Taw wat gwashagá ay.” 
MRK.15.3	Mazanén dini péshwá áiay sará bázén bohtám janagá atant. 
MRK.15.4	Pilátusá padá jost kort: “Pa ché passawa nadayay? Bechár tai sará chinchok beddh o bohtám janagá ant.” 
MRK.15.5	Issáyá hech passaw nadát. Pilátus hayrán mant.
MRK.15.6	Pilátusá, har sál aiday wahdá, cha Yahudi bandigán yakké, hamá ke mardomán belóthetén, ázáta kort. 
MRK.15.7	Bandigáni tahá Bárábás námén mardé hastat. Gón hamá áshópián gerag butagat ke shóreshay wahdá hón o kóshesh kortagat. 
MRK.15.8	Mahluk, Pilátusay kerrá átk, dazbandiesh kort o gwashtesh: “Har dábá ke gwastagén sálánet kortag, embari ham hamá dábá bekan.” 
MRK.15.9	 jost kort: “Lóthét Yahudiáni bádsháhá pa shomá ázát bekanán?” 
MRK.15.10	Áiá zántagat ke dini péshwáyán, Issá pa hasadd o konnat áiay dastá dátag. Paméshká chosh gwashti. 
MRK.15.11	Bale dini péshwáyán mardom shórént o áshopéntant
MRK.15.12	Pilátusá padá jost kort: “Gorhá é mardá ke shomá áiá Yahudiáni bádsháha gwashét, chón kanán?” 
MRK.15.13	Mardomán kukkár kort: “
MRK.15.14	Pilátusá jost kort: “Chiá bárén? Mayári chi ent?” Bale áyán géshter kukkár kort: “Salibi kassh!” 
MRK.15.15	Gorhá Pilátusá ke lóthet mardomán cha wat razá bekant, Bárábás ázát kort o Issá, shallák janáént o dáti ke áiá salibay sará bedranjant.
MRK.15.16	Sepáhigán, Issá wáliay kóth o márhiay péshjáhá bort o sepáhigáni sajjahén lashkar lóthet o mocch kort. 
MRK.15.17	Áyán, bádsháhi jamurangén kabáhé Issáay gwará dát, cha dhangar o konthagán tájé jórhént o áiay sará ér kort. 
MRK.15.18	Gón kalág o rishkandé, sharap o ezzat dát o gwashtesh: “Drud o drahbát,
MRK.15.19	Latthesh sará jat, démá toh kort o sojdahesh kort. 
MRK.15.20	Wahdé kalág o malandhesh hallént, gwaray jamurangén kabáhesh kasshet o áiay jenday godesh padá gwará dátant. Randá, dém pa 
MRK.15.21	Hamá wahdá, Keriniay shahray
MRK.15.22	Áyán, Issá hamá jágahá áwort ke námi “Joljotá” bezán “Kámpól” ent. 
MRK.15.23	Gorhá, sharábesh 
MRK.15.24	Nun salibay sará dratkesh, pocch o póshákesh watmánwatá bahr kortant o pál jatesh ke bárén kayá ché rasit.
MRK.15.25	Sohbay wahd at
MRK.15.26	Mayárnámagay sará pa áiay jorm o mayárá chosh nebeshtagat: “Yahudiáni bádsháh.” 
MRK.15.27	Issáay hamráhiá do yági o dozzesh ham salibay sará dratk, yakké rástén o domi chappén némagá. 
MRK.15.28	É dhawlá, Pákén Ketábay hamá péshgói sarjam but ke gwashit: 
MRK.15.29	Rahgwazán dozhmán dayán, wati sar chandhént o gwashtesh: “Oo 
MRK.15.30	Nun watá berakkén o cha salibá ér á!”
MRK.15.31	Hamé paymá mazanén dini péshwá o 
MRK.15.32	Bell ke 
MRK.15.33	Némróchá beger tán bégáhay sayá,
MRK.15.34	Bégáhay sáhat sayá,
MRK.15.35	Ódá nazziká, lahtén óshtátagén mardomá wahdé eshkot, gwashtesh: “Bechárét, 
MRK.15.36	Cha áyán yakké tacháná shot, espanjé zort o tropshén sharábá missénti. Espanj, dáréay sará bast o pa chussagá Issáay némagá shahárt o gwashti: “Sabr o wadár kanét, bechárén bárén Elyás áiay rakkénagá kayt yá na?” 
MRK.15.37	Gorhá, Issáyá borzén tawáréá chihál kasshet o sáh dát. 
MRK.15.38	Hamé wahdá, 
MRK.15.39	Hamá pawji apsar ke Issáay dém pa démá óshtátagat, wahdé disti ke áiá chónaká sáh dát, gorhá gwashti: “Béshakk é mard 
MRK.15.40	Lahtén janén dur óshtátag o cháragá at, gón áyán, Maryam Majdaliah, kasánén Ákub o Yusháay mát Maryam o Sálumah gón atant. 
MRK.15.41	Wahdé Issá 
MRK.15.42	Á róch, Jomahay róch at o mardom, pa 
MRK.15.43	Issop námén mardé ke Arimátiáay shahray nendók at, sarókáni diwánay ezzatmandén báské at o wat ham 
MRK.15.44	Wahdé 
MRK.15.45	Pawjiáni masteray sajjahén hál o habaráni eshkonagá rand, Issáay jónay baragay ejázati dát. 
MRK.15.46	Issopá, godé bahá gept o áwort, áiay jón cha 
MRK.15.47	Maryam Majdaliah o Yusháay mát Maryam, har doénán dist ke áesh kojá kall kort.
MRK.16.1	Wahdé 
MRK.16.2	Yakshambehay
MRK.16.3	Ráhá, watmánwat habar kanagá atant ke: “bárén, kabray dapay dhóká, kay pa má léthénit o dura kant?” 
MRK.16.4	Bale wahdé nazzik rasetant distesh dhók, ke sakk mazan at, léthénag butag. 
MRK.16.5	Kabrá ke potertant, distesh ke rástén némagá yak espétpóshén warnáé neshtag. Cha áiay gendagá, sakk hayrán o habakkah mantant. 
MRK.16.6	Warnáyá gwasht: “Matorsét, shomá Issá Náseriay shóházá ét ke 
MRK.16.7	Nun shomá berawét, Petros o á dega moridán sahig kanét ke Issá cha shomá pésar, 
MRK.16.8	Janén dar átk o cha kabray sará jestant. Á cha torsá larzag o drahagá atant. Paméshká, gón hechkasá habaresh nakort.
MRK.16.9	Yakshambehay sabáhá máhallah, cha wati jáh janagá rand, Issá cha sajjahénán pésar, Maryam Majdaliahay démá paddar but. É hamá Maryam ent ke Issáyá cha áiá hapt 
MRK.16.10	Á shot o Issáay gréwán o paréshánén moridi 
MRK.16.11	Bale é habar ke Issá zendag butag o Maryamá distag, áyán báwar nakort.
MRK.16.12	Randá, Issá dega shekl o dróshoméá, do moriday démá záher but ke dém pa yak kallagéá rawagá atant. 
MRK.16.13	Á, padá átkant o é dega moridesh hál dátant, bale áyán ham báwar nakort.
MRK.16.14	Randá, á wati yázdahén moridáni démá, hamá wahdá átk o záher but ke á warák waragá atant. Issáyá, pa áyáni kambáwari o sengdeliá, á mayárig kortant chiá ke áyán á mardománi habar báwar nakortagat ke Issáesh cha jáh janagá rand distagat. 
MRK.16.15	Gón áyán gwashti: “Shomá 
MRK.16.16	Harkas ke mani sará báwara kant o 
MRK.16.17	, é nesháni góna bant: mani námay sará, 
MRK.16.18	márán pa dasta gerant o agan zahrnákén chiz ham bwarant, áyán hech parwáha nabit. Gón báwarmandáni dast per moshagá, nádráh wassh o dráha bant.”
MRK.16.19	Anchosh ke 
MRK.16.20	Morid, pa áiay 
LUK.1.1+LUK.1.2+LUK.1.3	Sharapdárén wájah Tiupilos! Anchén sargwast may nyámá
LUK.1.4	tán hamá tálim ke taw geptagant, áyáni rástiay bárawá tai báwar mohr o mohkamter bebit.
LUK.1.6	Á, har doén, Hodáay chamm o nezará nék o pahrézkár atant o 
LUK.1.7	Bale chokkesh néstat, chiá ke Elizábet santh o béchokk at o doénáni omr ham mazan at.
LUK.1.8	Yak randé ke hezmatkáriay bárig pa Zakariáay thóliá kapt o á, Hodáay bárgáhá dini péshwái kanagá at, 
LUK.1.9	gón dini péshwáiay rahbandáni randgiriá, Zakariá pálay
LUK.1.10	Wahdé Zakariá sóchoki dut dayagá at, é dega sajjahén mardom dhanná dwá kanagá atant.
LUK.1.11	Anágat,
LUK.1.12	Gón préshtagay gendagá, Zakariá bah mant
LUK.1.13	Bale préshtagá gón áiá gwasht: “Oo Zakariá! Mators. Tai dwá mannag but, tai jan Elizábet mardénchokkéay sará chellaga bit o báyad ent taw áiay námá Yahyá bekanay. 
LUK.1.14	Á, pa taw shádehi o wasshia kárit o cha áiay butená bázéné ham shádána bit, 
LUK.1.15	chiá ke á, Hodáwanday chammá mazanén mardomé bit. Nabáyad ent sharáb o dega hanósh o bésár kanókén chizán dap per bekant o bwárt. Á, mátay lápá cha 
LUK.1.16	Bázén 
LUK.1.17	Á, gón 
LUK.1.18	Zakariáyá cha 
LUK.1.19	Préshtagá passaw
LUK.1.20	É wahdá, nun taw lell o gonga bay o tán á róchá ke é habaráni rásti allama bit, habar korta nakanay. Chiá ke taw, mani é habar ke kawl dátagén wahdá rást o paddara
LUK.1.21	Hamé wahdá, mardom dhanná Zakariáay entezár o wadárá atant. Hayrán atant ke á chiá 
LUK.1.22	Wahdé Zakariá dhanná dar átk, áiá gón mardomán habar kort nakort. Gorhá zántesh áiá parasteshgáhá elhámé rasetag o shobéné distagi. Chiá ke áiá gón mardomán esháraha kort o habar kanagay wáki néstat.
LUK.1.23	Zakariá cha hezmatkáriay halásiá rand, wati lógá per tarret. 
LUK.1.24	Chizé wahdá rand, áiay jan, Elizábetá chokkéay ométwári but o tán panch máhá, démgir but o cha lógá dara nakapt. 
LUK.1.25	Áiá gón wat gwasht: “
LUK.1.26+LUK.1.27	Shashomi máhá, Hodáyá wati 
LUK.1.28	Préshtag, Maryamay kerrá átk o gwashti: “Gal o shádán bay ke Hodáay nékén wáhagay sáhegá ay o 
LUK.1.29	Cha é habaray eshkonagá, Maryam báz paréshán but o delá gwashti: “Bárén, é dhawlén hál o hawál kanagay máná chi ent?!” 
LUK.1.30	Préshtagá gwasht: “Oo Maryam! Mators, chiá ke Hodáay mehr o 
LUK.1.31	Nun taw pa chokká ométwára bay o tará mardénchokké bit, ke báyad ent áiay námá Issá bekanay. 
LUK.1.32	Á, mazanén mardomé bit o borzén arshay 
LUK.1.33	Á, Ákubay padréchay sará modám bádsháhia kant o áiay bádsháhi hechbara nakotthit.” 
LUK.1.34	Maryamá cha préshtagá jost kort: “É chón buta kant ke man taningah sur nakortag o janénchokké án?!” 
LUK.1.35	Préshtagá passaw dát: “
LUK.1.36	Elizábet ham ke tai syád ent, piránsariá pa mardénchokkéá ométwár ent. Hamá ke gwashtagatesh santh o bérand ent, nun shash máh ent ke lápi porr ent. 
LUK.1.37	Chiá ke pa Hodáyá, hech káré nabuteni naent.” 
LUK.1.38	Maryamá gwasht: “Man Hodáwanday móled án, hamé dhawlá ke taw gwashtag, anchosh bát.” Randá préshtag cha áiay kerrá shot.
LUK.1.39	Hamá róchán, Maryam eshtápiá sar gept o 
LUK.1.40	Ódá Zakariáay lógá shot o Elizábeti hál o hawál kort. 
LUK.1.41	Anchosh ke Maryamay tawár Elizábetay góshán kapt, áiay lápá, chokká serr bast o Elizábet cha 
LUK.1.42	Gón borzén tawáré gwashti: “Taw, janénáni nyámá bahtáwar ay! Bahtáwar ent hamá chokk ke tai lápá ent. 
LUK.1.43	Man kay án ke mani 
LUK.1.44	Wahdé tai tayárjórhiay tawár mani góshán kapt, chokk cha galá lápay tahá soret. 
LUK.1.45	Bahtáwar ay taw ke báwaret kortag, chiá ke Hodáwanday hamá habar ke gón taw gwashag butagant, sarjama bant.”
LUK.1.46	Maryamá, áiay passawá gwasht:
LUK.1.46	“Mani sáh o ján, 
LUK.1.47	Mani ruh gal o bál ent, ke Hodá mani rakkénók
LUK.1.48	Chiá ke wati móleday nezórii cháretag.
LUK.1.48	Cha ed o rand, sajjahén nasl o padréch maná bahtáwara zánant.
LUK.1.49	Chiá ke á Páknámén Zóráká pa man mazanén kár kortag.
LUK.1.50	Áiay mehr o 
LUK.1.50	ke áiay torsesh delá hastent.
LUK.1.51	Áiá gón wati zórákén báská, mazanén kár o kerd pésh dáshtag o
LUK.1.51	hamá ke wati delá bázén pahresh
LUK.1.52	Áiá, hokmrán cha wati tahtán sarshakun o
LUK.1.52	garib, borz o sarperáz kortagant.
LUK.1.53	Shodig, gón wasshén chizán sérláp o
LUK.1.53	séréni dast hórk o hálig rahádag kortagant.
LUK.1.54	Á wati mehr o 
LUK.1.54	pa wati hezmatkárén 
LUK.1.55	bezán pa Ebráhém o áiay chokk o óbádagán abadi mehri bakshetag,
LUK.1.55	hamá paymá ke gón may pet o pirokán labzi kortagat.”
LUK.1.56	Maryam, say máhay kesásá Elizábetay lógá mant o randá per tarret o wati lógá shot.
LUK.1.57	Wahdé Elizábetay máh o róch sarjam butant, áiá mardénchokké but. 
LUK.1.58	Áiay chellagiay hál ke syád o hamsáhegán sar but o eshkotesh 
LUK.1.59	Wahdé nonnoká hasht róch but, pa áiay 
LUK.1.60	Bale nonnokay mátá gwasht: “Na, áiay nám báyad ent Yahyá bebit.” 
LUK.1.61	Mardomán gwasht: “Tai kothom o hándáná, é námén mardom kass nabutag.” 
LUK.1.62	Gorhá áyán chokkay pet, Zakariá pa eshárah jost kort ke á wati chokká chónén námé pera bandit? 
LUK.1.63	Zakariáyá nebisagi dártahtagé lóthet o áiay sará nebeshti: “Chokkay nám Yahyá ent.” Gorhá sajjahén mardom hayrán butant. 
LUK.1.64	Hamá damáná Zakariáay gongén zobán pach but o habará lagget o Hodáay satá o sanái bongéj kort. 
LUK.1.65	Cha é habará, hamsáhegán tors delá kapt o 
LUK.1.66	Harkasá ke é hál eshkot wati del o hayálá chosh gwashti: “Bárén, é chokk chónén mardomé bit?” Chiá ke 
LUK.1.67	Gorhá, Yahyáay pet Zakariá, cha 
LUK.1.68	“
LUK.1.68	chiá ke pa wati kawmay madat kanagá átkag o kawmi rakkéntag.
LUK.1.69	Áiá cha wati hezmatkárén 
LUK.1.69	kánthé
LUK.1.70	anchosh ke áiá bázén wahdéá pésar,
LUK.1.70	cha wati pákén nabiáni zobáná kawl dátag.
LUK.1.71	Áiá, cha may sajjahén dozhmen o badwáhán ke cha má naprata kanant,
LUK.1.71	márá rakkéntag,
LUK.1.72	may pet o pirokáni sará mehr o 
LUK.1.72	wati pákén hamá ahd o karáray yát o tránagi dáshtag.
LUK.1.73	Gón may pet Ebráhémá sawgandi ham kortagat,
LUK.1.74	ke márá cha dozhmenáni dastá berakkénit,
LUK.1.74	tánke bé tors o bimmá pa áiá hezmat bekanén o
LUK.1.75	áiay chamm o nezará wati sarjamén zendá
LUK.1.75	nék o pák bebén.
LUK.1.76	Taw, oo mani chokk!
LUK.1.76	Borzén arshay Hodáay nabi zánaga bay,
LUK.1.76	chiá ke taw cha 
LUK.1.76	áiay ráh o keshká tachk o tayára kanay.
LUK.1.77	Taw áiay kawmá é zántá dayay
LUK.1.77	ke gón áyáni gonáháni pahelliá,
LUK.1.77	Hodá áyána rakkénit.
LUK.1.78	Chiá ke may Hodá mehrabán ent o
LUK.1.78	cha áiay békesásén
LUK.1.78	may zendmáná sara kasshit,
LUK.1.79	tán pa áyán ke taháróki o markay sáhegá neshtagant,
LUK.1.79	rozhnái bebakshit o
LUK.1.79	márá dém pa sohl o ásudagiay ráhá rahshóni bekant.”
LUK.1.80	Á chokk, rodán o mán 
LUK.2.1	Hamá róchán, Rumay bádsháh 
LUK.2.2	É awali mardomshomári at o á wahdá, Kwirinius Suriahay wáli at. 
LUK.2.3	Harkas pa wati námay nebeshtah kanáénagá, wati pet o piroki shahrá shot.
LUK.2.4	Issop ham cha 
LUK.2.5	Issopá, wati deshtár, Maryam ham gón at ke á, pa chokkéá ométwár at.
LUK.2.6	Hamé wahdá ke á Bayt-Lahemá atant, Maryamay chellag bayagay máh o róch sarjam butant o 
LUK.2.7	mardénchokkéay sará chellag but ke áiay awali chokk at. Maryamá wati nonnok godéá pétk o káhdánéay tahá wápént, chiá ke pa áyán mehmánjáhá jágah néstat.
LUK.2.8	Hamá hand o damagá, lahtén shopánk hastat ke shapá gyábáná wati ramagesh negahpánia kort. 
LUK.2.9	Á shapá, anágat 
LUK.2.10	Bale préshtagá gwasht: “Matorsét, maná 
LUK.2.11	Á esh ent ke 
LUK.2.12	Eshiay pajjáh áragay nesháni esh ent ke shomá káhdánéay tahá, mán godéá pétkagén nonnoké gendét.”
LUK.2.13	Anágat, cha ásmáni 
LUK.2.14	“Shán o shawkat borzén arshay Hodáyá bát o
LUK.2.14	zeminay sará sohl o ásudagi
LUK.2.14	pa hamá mardomán bát
LUK.2.14	ke Hodá cha áyán wassh o washnód ent.”
LUK.2.15	Wahdé 
LUK.2.16	Gorhá á, pa eshtápi sar gept o hamódá shotant, Issop o Maryamesh dar gétkant o nonnokesh káhdánay tahá dist. 
LUK.2.17	Nonnokay gendagá rand, shopánkán é chokkay bárawá harché ke cha préshtagán eshkotagat, mardom sahig kortant. 
LUK.2.18	Á mardomán ke shopánkáni habar eshkot, hayrán o habakkah mantant. 
LUK.2.19	Bale Maryamá é sajjahén habar, wati delá dáshtant o esháni sará báz pegr o hayáli kort. 
LUK.2.20	Shopánkán, harché ke eshkotag o distagat, pa áyán Hodáyá sepat o saná kanán per tarretant, chiá ke é sajjahén hamá dhawlá atant ke gón áyán gwashag butagat.
LUK.2.21	Hashtomi róchá, wahdé nonnokay 
LUK.2.22	Wahdé mát o chokkay chellagshódiay wahd halás but, Mussáay 
LUK.2.23	anchosh ke Hodáwanday Sharyata gwashit: 
LUK.2.24	Pa korbánig kanagá ham átkant, tán hamá dhawlá ke Hodáwanday Sharyata gwashit, “jopté shántol
LUK.2.25	Hamá wahdá 
LUK.2.26	Pákén Ruhá 
LUK.2.27	Cha Pákén Ruhay elhám o shobénagá, 
LUK.2.28	Shamuná Issá zort, dastáni delá dásht, Hodá saná o satá kort o gwashti:
LUK.2.29	“Oo zórákén 
LUK.2.29	cha é jaháná pa wasshi o salámati chest kan o wati gwará bebar,
LUK.2.30	chiá ke man gón wati chammán cha tai némagá
LUK.2.30	é neját o rakkénag distag
LUK.2.31	ke taw sajjahén kawmáni démá paddar kort.
LUK.2.32	Á pa dega kawmán Hodáay bárawá sarpad kanókén rozhné bit o
LUK.2.32	pa tai 
LUK.2.33	Wahdé Issáay pet o mátá áiay bárawá Shamunay é habar eshkotant, hayrán butant. 
LUK.2.34	Shamuná pa áyán nékén dwá kort o gón chokkay mát, Maryamá gwashti: “Hodáyá é chokk, pa bázén 
LUK.2.35	Hamé paymá á, bázénéay deláni rázán páshka kant. Oo Maryam! Taw wati zendá mazanén gam o andóhé genday ke á gam, zahmay dhawlá tai delá kappa kant.”
