GEN.1.1	O konmansman, Bondye ti kree lesyel ek later. 
EXO.34.19	Tou premye ne en manman i pour mwan, enkli tou mal premye ne dan ou troupo: Bef, mouton, kabri. 
EXO.34.20	Ou ava reaste premye ne en bourik kont en mouton. Si ou pa reaste li, ou ava kas son likou. Ou ava reaste tou premye ne parmi ou bann zanfan. Personn pa vin dan mon sanktyer lanmen vid.
EXO.34.21	Pandan sis zour ou ava travay, me setyenm zour, ou ava repoze. Ou ava fer saba menm pandan letan ki ou labour later e pandan larekolt.
EXO.34.22	Ou ava selebre lafet Lapannkot; lafet premye rekolt lorz e lafet larekolt alafen lannen. 
EXO.34.23	Trwa fwa par an, tou popilasyon mal ava prezant li devan SENYER, Bondye Izrael. 
EXO.34.24	Mon pou sas tou bann nasyon devan ou e mon pou agrandi ou teritwar; personn pa pou esey pran ou later ler ou ava al prezant ou devan SENYER ou Bondye trwa fwa par an.
EXO.34.25	Ou pa pou ofer disan en sakrifis avek lelven e ou pa pou les lavyann sakrifis lapannkot reste ziska lannmen bomaten.
EXO.34.26	Ou ava anmenn premye fri larekolt dan demer SENYER, ou Bondye. Ou pa pou kwi en pti kabri dan dile son manman.
EXO.34.27	SENYER ti dir Moiz, “Ekri sa bann parol, akoz zot form labaz sa lalyans ki mon pou fer avek ou e avek Izrael.”
EXO.34.28	Moiz ti reste avek SENYER pandan 40 zour, 40 nwit san manze, ni bwar. I ti ekri lo bann plak ros, bann parol lalyans: Dis komannman.
EXO.34.29	Moiz ti desann, sorti lo montanny Sinai. Ler i ti desann sorti lo montanny, sa de plak ros temwannyaz dan son lanmen, i pa ti remarke ki lapo son figir ki klate, akoz i ti pe koz avek Bondye. 
EXO.34.30	Ler Aaron avek tou bann Izraelit ti get Moiz, zot ti war ki lapo son figir ti briye; zot ti per pour apros li. 
EXO.34.31	Moiz ti apel zot. Aaron ek tou bann responsab lakominote ti retourn kot li e i ti koz avek zot. 
EXO.34.32	Apre, tou pep Izrael ti aprose e i ti fer zot konn tou bann komannman ki SENYER ti'n donn li lo montanny Sinai.
EXO.34.33	Kan Moiz ti'n fini koz avek zot, i ti met en vwal lo son figir. 
EXO.34.34	Me kan Moiz ti al devan SENYER pour koz avek li, i ti tir sa vwal, ziska ki i ti retournen. Kan i ti retournen, e dir pep Izrael sa ki i ti ganny lord fer, 
EXO.34.35	bann Izraelit ti war figir Moiz ki ti pe briye. Moiz ti remet sa vwal lo son figir ziska ki i ti retourn koz avek SENYER.
EXO.35.1	Moiz ti rasanble pep Izrael antye. I ti dir zot, “La sa ki SENYER in donn lord fer: 
EXO.35.2	Travay ava ganny fer pandan sis zour; me setyenm zour pou en zour sakre, en saba, en zour repo pour SENYER. Sa enn ki travay sa zour pou ganny touye. 
EXO.35.3	Zour saba, zot pa pou alim okenn dife kot zot reste.”
EXO.35.4	Moiz ti dir avek kominote Izrael antye: La sa ki SENYER in ordonnen: 
EXO.35.5	Fer en kontribisyon pour SENYER lo sa ki zot annan. Tou dimoun ki annan en leker zenere, ava anmenn son don pour SENYER: Lor, larzan ek bronz; 
EXO.35.6	lalenn ki'n tenn kouler ble, rouz, rouz fonse, latwal linenn fen ek pwal kabri; 
EXO.35.7	lapo bouk tenn an rouz ek kwir fen; dibwa akasya; 
EXO.35.8	delwil pour klere, bann lesans parfimen pour delwil lonksyon e pour lansan aromatize; 
EXO.35.9	bann pyer korlalin ek lezot pyer presye pour garni lefod ek pektoral.
EXO.35.10	Tou bann artizan ki annan talan parmi zot, ava vin fer tou sa ki SENYER in komande: 
EXO.35.11	Sanktyer avek son latant ek son kouvertir, son bann zagraf, plan, travers, kolonn ek fondasyon; 
EXO.35.12	Kof Lalyans, son bann bar, kouvertir Kof Lalyans, ek rido separasyon; 
EXO.35.13	latab, son bann bar, tou son bann akseswar ek dipen pour lofrann; 
EXO.35.14	portlanp, son bann akseswar pour klere, bann lalanp ek delwil; 
EXO.35.15	lotel lansan avek son bann bar; delwil lonksyon, lansan aromatize; rido pour lantre Latant Rankont 
EXO.35.16	lotel pour sakrifis konplet, son griyaz an bronz, son bann bar ek tou bann akseswar; basen pirifikasyon avek son sipor; 
EXO.35.17	bann rido pour lakour, son bann kolonn, son bann bar ek rido laport lakour; 
EXO.35.18	bann pike sanktyer ek pike lakour avek zot lakord, 
EXO.35.19	bann labiyman spesyal pour servi dan sanktyer, bann labiyman sakre pour pret Aaron e bann lenz ki son bann garson ava mete pour zot egzers zot minister.
EXO.35.20	Kominote Izrael antye ti sorti devan Moiz. 
EXO.35.21	Sa bann ki ti annan leker byen dispoze e lespri zenere, ti vin anmenn zot kontribisyon pour SENYER, pour bann travay dan Latant Rankont, pour tou lezot servis e pour bann lenz sakre. 
EXO.35.22	Zonm ek fanm ti vini; tou bann ki ti annan en leker zenere, ti anmenn swa bag nennen, zanno, bag, diferan lobze annor. Bann zonm ti ofer SENYER lor koman lofrann dapre bann rityel prezantasyon.
EXO.35.23	Tou dimoun ti anmenn sa ki zot ti annan: Lalenn kouler ble, rouz, rouz fonse, linenn fen, lalenn pwal kabri, lapo bouk ek lapo kabri, lapo mouton tenn an rouz ek kwir fen. 
EXO.35.24	Sa ki ti'n fer en lofrann larzan oubyen bronz, ti osi anmenn son lofrann devan SENYER. Sa enn ki ti annan dibwa akasya ti anmennen pour fer tou bann travay. 
EXO.35.25	Tou bann fanm abil ti fer difil avek zot lanmen; zot ti anmenn sa difil ki zot ti'n fer e ki zot ti'n tenn kouler vyolet, rouz, rouz fonse, ansanm avek latwal linenn fen. 
EXO.35.26	Bann fanm avek talan, ti fer difil avek pwal kabri. 
EXO.35.27	Bann sef dan kominote ti anmenn bann pyer onyks ek lezot kalite pyer presye pour garni lefod ek pektoral. 
EXO.35.28	Zot ti osi anmenn bann parfen aromatik avek delwil pour lalanp, pour lonksyon e pour lansan parfimen.
EXO.35.29	Tou zonm ek fanm ki ti annan en leker zenere pour kontribye dan tou bann travay ki SENYER ti'n ordonnen par lentermedyer Moiz, tou sa bann Izraelit, ti anmenn zot bann lofrann volonter pour SENYER.
EXO.35.30	Moiz ti dir avek pep Izrael: SENYER in swazir Besalel, garson Ouri, garson Hour, ki sorti dan tribi Zida. 
EXO.35.31	In ranpli li avek lespri Bondye e i'n donn li lasazes, disernman, konnesans pour fer tou kalite travay artizanal, 
EXO.35.32	pour fer bann plan, pour travay avek lor, larzan ek bronz; 
EXO.35.33	pour tay bann pyer pour bann ornman, skilpte dibwa e toudsort travay artizanal. 
EXO.35.34	SENYER ti osi met dan leker Oholiab, garson Ahisamak sorti dan tribi Dann, talan pour ansennyen. 
EXO.35.35	In rann zot abil pour fer toudsort travay skilptir artizanal, brodri e tenn zot kouler ble, mov ek vyole, linenn fen e fer toudsort kalite travay.
EXO.36.1	Besalel, Oholiab e tou bann zonm ki SENYER ti'n donn lasazes ek disernman neseser pour zot kapab fer tou bann travay pour servis dan sanktyer, ti egzekit bann travay egzakteman parey SENYER ti'n ordonnen.
EXO.36.2	Moiz ti fer apel Besalel, Oholiab ek lezot artizan kalifye ki SENYER ti'n donn lentelizans, e ki leker ti dispoze pour fer sa bann travay lo en baz volonter. 
EXO.36.3	Moiz ti remet avek zot tou bann kontribisyon ki bann Izraelit ti'n donnen pour konstriksyon sanktyer. Me tou le bomaten, dimoun ti kontinyen donn Moiz zot lofrann volonter. 
EXO.36.4	Alor, bann artizan kalifye ki ti pe fer tou bann travay lo sanktyer ti kit zot travay. 
EXO.36.5	Zot ti al dir Moiz, “Lepep pe anmenn plis ki fodre pour fer travay ki SENYER in ordonnen.”
EXO.36.6	Alor, Moiz ti donn lord pour fer sa proklanmasyon partou dan kan: Personn, zonm oubyen fanm, pa devre anmenn ankor kontribisyon pour sanktyer.
EXO.36.6	Alor, lepep ti aret anmenn bann don pour sanktyer. 
EXO.36.7	Bann lobze ki zot ti'n anmennen ti ase pour fini tou travay ki ti annan.
EXO.36.8	Tou bann zonm avek talan ti konstri sanktyer avek dis roulo latwal an linenn trese, kouler ble, rouz kler e rouz fonse, avek bann seriben brode artistikman lo la. 
EXO.36.9	Sak rido ti mezir 14 met lo de met. Sa ti parey pour tou lezot rido. 
EXO.36.10	Senk rido ti ganny atase ansanm; lezot senk rido osi. 
EXO.36.11	Zot ti fer bann rozet kouler ble obor premye rido, dan bout premye lasanblaz; zot ti osi met bann rozet lo premye rido dan dezyenm lasanblaz. 
EXO.36.12	Zot ti fer 50 rozet lo premye rido; 50 rozet lo bor latwal dan bout dezyenm lasanblaz; tou sa bann rozet ti parey kanmarad. 
EXO.36.13	Zot ti fer 50 zagraf annor ki ti atas avek bann rido, enn apre lot. Konmsa, sanktyer ti fer en sel pyes.
EXO.36.14	Zot ti fer bann rido avek pwal kabri, ki ti vin koman en latant par lao sanktyer. An tou, ti annan 11 rido. 
EXO.36.15	Sak rido ti menm dimansyon: 15 met lo 2 met. 
EXO.36.16	Zot ti atas senk rido ansanm, e lezot sis ansanm, separeman. 
EXO.36.17	Zot ti fer 50 rozet obor premye rido dan bout premye lasanblaz, e 50 rozet obor latwal dezyenm lasanblaz. 
EXO.36.18	Zot ti fer 50 zagraf an bronz pour fer lasanblaz latant, pour li fer en tou. 
EXO.36.19	Zot ti fer pour latant, en kouvertir fer avek lapo bann bouk, tenn an rouz, e en lot kouvertir fer avek kwir fen par lao.
EXO.36.20	Zot ti fer bann kad avek dibwa akasya, ki zot ti met debout. 
EXO.36.21	Sak kad ti mezir 5 met lo 75 santimet. 
EXO.36.22	Sak kad ti annan de pike paralel, pour atas zot ansanm. Sa ti parey pour tou bann kad dan sanktyer. 
EXO.36.23	Zot ti fer 20 kad pour sanktyer lo kote Sid, dan direksyon Sid. 
EXO.36.24	Zot ti fer 40 bar annarzan ki zot ti plas anba sa 20 kad, de pour sak kad e pour son de pike. 
EXO.36.25	Zot ti fer 20 kad pour dezyenm kote sanktyer, tournen dan direksyon Nor, 
EXO.36.26	avek zot 40 bar annarzan, de bar anba sak kad. 
EXO.36.27	Zot ti fer sis kad pour met dan fon sanktyer, kote Was. 
EXO.36.28	Zot ti fer de kad pour bann kwen dan fon, dan sanktyer; 
EXO.36.29	zot ti separe anba, me atase anler depi premye bag; zot ti fer parey pour tou le de ki ti'n ganny plase dan de kwen. 
EXO.36.30	An tou, ti annan wit kad avek zot bar annarzan; sa ti fer 16 bar, de pour sak kad.
EXO.36.31	Zot ti fer senk treng avek dibwa akasya pour bann kad lo en kote sanktyer; 
EXO.36.32	senk bag pour bann kad ki lo lot kote sanktyer e senk bar pour bann kad ki lo kote sanktyer ki fer son fon, lo kote Was. 
EXO.36.33	Bar santral ti pas atraver bann kad, dan milye, lo tou zot longer. 
EXO.36.34	Zot ti kouver bann kad avek lor, bann bag annor ki pou tenir bann bar ki ava osi ganny kouver avek lor.
EXO.36.35	Zot ti fer rido kouler ble, rouz kler e rouz fonse, e trese avek difil latwal linenn trese, avek bann seriben brode ladan avek bokou swen. 
EXO.36.36	Zot ti fer kat kolonn avek dibwa akasya, kouver avek lor, ansanm avek zot krose annor, poze lo kat bar annarzan. 
EXO.36.37	Zot ti fer en rido kouler ble, rouz kler e rouz fonse, avek latwal linenn fen, trese pour lantre latant. Sa travay ti ganny fer par bann brodez. 
EXO.36.38	Zot ti fer son senk kolonn avek zot bann krose, e kouver latet bann kolonn ek bann treng avek lor; son bann senk bar ti an bronz.
EXO.37.1	Besalel ti fer Kof lalyans avek dibwa akasya. I ti mezir 125 santimet longer, 75 santimet larzer e 65 santimet oter. 
EXO.37.2	I ti kouver li avek lor pir anndan deor e donn li en bordir annor toultour.
EXO.37.3	I ti fer fonn kat bag annor ki i ti fikse dan son kat kwen: De lo en kote e de lo lot kote. 
EXO.37.4	I ti fer bann bar avek dibwa akasya rekouver avek lor. 
EXO.37.5	I ti met bann bar dan bann bag lo bann kote Kof pour kapab transport Kof. 
EXO.37.6	I ti fer kouvertir Kof Lalyans annor pir, 125 santimet longer e 75 santimet larzer.
EXO.37.7	I ti fer de seriben annor forze ki i ti plas lo sak kote kouvertir Kof Lalyans: 
EXO.37.8	Enn lo en bout, lot lo lot bout. I ti fer bann seriben en sel pyes avek kouvertir Kof, plase lo son de bout. 
EXO.37.9	Bann seriben ti fas a fas avek lezel anler pour protez kouvertir Kof Lalyans; bann seriben ti pe get dan direksyon kouvertir Kof Lalyans.
EXO.37.10	I ti osi fer en latab avek dibwa akasya, en met longer, 50 santimet larzer e 75 santimet oter. 
EXO.37.11	I ti kouver li avek lor pir e i ti fer en bordir annor toultour. 
EXO.37.12	I ti fer en kad wit santimet larzer, ki ti osi annan en bordir annor. 
EXO.37.13	I ti fer fonn kat bag annor ki i ti plas lo kat kwen ki al avek son kat lapat. 
EXO.37.14	Bann bag ki tenir bann bar ki ti servi pour transport latab, ti pros avek son bor. 
EXO.37.15	I ti fer bann bar avek dibwa akasya, plake annor. Sa ti servi pour transport latab. 
EXO.37.16	I ti fer tou bann istansil ki ti pou al lo latab, annor pir: Pla, lakoup, bol, potao pour servi delo pour pirifikasyon.
EXO.37.17	I ti osi fer en portlanp annor pir. Lipye ek montan sa portlanp ti ganny travay avek marto. Bann lakoup, bouton ek bann fler ti form en sel pyes. 
EXO.37.18	Sis brans ti sorti dan bann kote: Trwa lo en kote e trwa lo lot kote portlanp. 
EXO.37.19	Lo sak brans, ti annan trwa lakoup an form fler zamann avek bann bouton ek bann fler; parey lo lot brans: Trwa lakoup an form fler zamann, avek bann bouton ek bann fler. Sa ti parey pour bann sis brans ki sorti depi portlanp.
EXO.37.20	Lo portlanp li menm, ti annan kat lakoup an form fler zamann avek zot bouton ek zot fler. 
EXO.37.21	Ti annan en bouton anba son de premye brans, en bouton lo son de brans swivan, en bouton anba de dernyen brans. Sa ti parey lo sa sis brans ki sorti depi kot portlanp. 
EXO.37.22	Zot bann bouton ek zot bann brans ti en sel pyes; tou ti ganny plake avek lor pir.
EXO.37.23	Besalel ti fer sa bann lalanp, set an tou zot bobes ek zot bann sandriye; tou avek lor pir. 
EXO.37.24	I ti pran 30 kilo lor pir pour fer sa portlanp avek son bann akseswar.
EXO.37.25	Besalel ti fer lotel lansan avek dibwa akasya. I ti kare: 50 santimet longer, 50 santimet larzer e en met oter. Son bann kwen ti form en sel pyes avek lotel. 
EXO.37.26	I ti kouver li avek lor pir: Lao, son bann klwazon ek son bann kwen toultour; i ti fer en bordir annor toultour. 
EXO.37.27	I ti fer de bag annor par anba sa bordir, lo tou le de kote, pour met bann bar ki servi pour transport sa latab. 
EXO.37.28	I ti fer bann bar avek dibwa akasya ki i ti kouver avek lor.
EXO.37.29	I ti fer delwil pour lonksyon sakre avek lansan aromatik pir. Sa ti louvraz en parfimer.
EXO.38.1	Besalel ti fer lotel pour sakrifis konplet avek dibwa akasya; i ti kare e mezir de met edmi lo sak kote e en met edmi oter. 
EXO.38.2	I ti fer bann kwen en sel pyes pour son kat kwen e kouver li avek bronz. 
EXO.38.3	I ti fer tou bann istansil pour lotel: Bann basen, lapel, kalis, bol, fourset ek pti kastrol; tou sa bann istansil ti an bronz. 
EXO.38.4	I ti fer en griyaz an bronz pour lotel, en kalite paswar ki i ti met anba rebor lotel, depi anba, ziska lanmwatye oter lotel. 
EXO.38.5	I ti fer fonn kat bag ki i ti met lo kat kote sa griyaz an bronz, pour met bann bar. 
EXO.38.6	I ti fer bann bar avek dibwa akasya e kouver avek bronz. 
EXO.38.7	I ti met bann bar atraver bann bag lo bann kote lotel, pour transport lotel kan fodre. I ti fer li vid anndan avek bann plans.
EXO.38.8	I ti fer basen an bronz avek son sipor an bronz, bann laglas pour bann fanm ki ti fer zot servis devan lantre Latant Rankont.
EXO.38.9	I ti fer lakour: Pour kote Sid, ti annan bann rido an linenn fen trese, lo en longer 50 met, 
EXO.38.10	avek zot 20 kolonn e 20 baz an bronz; bann krose pour bann kolonn ek zot bann treng ti annarzan.
EXO.38.11	Lo kote Nor, ti annan bann rido 50 met longer avek zot 20 kolonn ek zot 20 baz an bronz; bann krose, bann kolonn ek zot bann treng ti annarzan.
EXO.38.12	Lo kote Was, ti annan 25 met rido fikse avek 10 kolonn lo 10 baz; bann krose bann kolonn ek bann treng ti annarzan.
EXO.38.13	Lo kote Les, kot soley i leve, ti annan 25 met larzer.
EXO.38.14	Ti annan bann rido set met edmi lo en kote avek trwa kolonn ek trwa sipor. 
EXO.38.15	Pour lot kote lantre, ti annan bann rido set met edmi lo lot kote avek zot trwa kolonn ek trwa sipor. 
EXO.38.16	Tou bann rido ki ti antour lakour ti fer avek latwal linenn fen, trese. 
EXO.38.17	Tou bann sipor pour bann kolonn ti an bronz; bann krose bann kolonn ek zot treng ti annarzan e latet bann kolonn ti kouver avek larzan. Tou bann kolonn lakour ti zwenn ansanm par bann treng annarzan. 
EXO.38.18	Rido laport lakour ti ganny brode par en artizan. I ti kouler ble, rouz e rouz fonse, fer avek latwal linenn fen, trese: Dis met longer lo de met larzer lo sak kote, e de met edmi oter, parey larzer bann rido lakour. 
EXO.38.19	Sa kat kolonn avek zot kat sipor ti an bronz; bann krose ek zot bann treng ti annarzan; latet bann kolonn ti kouver avek larzan. 
EXO.38.20	Tou bann pike pour lakour sanktyer e pour lakour toultour ti an bronz.
EXO.38.21	La lalis bann depans pour sanktyer, demer temwannyaz, ki ti ganny etabli lo lord Moiz, par bann levit, anba direksyon Itamar, garson pret Aaron. 
EXO.38.22	Besalel, garson Ouri, garson Hour, sorti dan tribi Zida, ti fer tou sa ki SENYER ti'n ordonn Moiz. 
EXO.38.23	Avek li, ti annan Oholiab, garson Ahisamak, sorti dan tribi Dann, en skilpter e artis ki ti osi fer bann rido kouler ble, rouz, rouz fonse ek latwal linenn fen.
EXO.38.24	Kantite lor ki ti'n ganny ofer dapre rityel, e ki ti ganny servi pour tou bann travay dan sanktyer, ti 877 kilo e 300 granm dapre valer sanktyer. 
EXO.38.25	Kantite larzan sorti kot bann manm kominote ki ti'n ganny konte dan resansman ti 3,017 kilo e 750 granm, dapre valer sanktyer. 
EXO.38.26	An tou, 603,550 zonm ki ti ganny konte dan resansman, aze 20 an e plis, ti donn sakenn 5 granm larzan, dapre valer sanktyer. 
EXO.38.27	An tou, 300 kilo larzan ti ganny fonn pour fer bann sipor sanktyer e baz bann rido. Sa i fer 30 kilo par sipor. 
EXO.38.28	17 kilo e 750 granm ti servi pour fer bann krose ek bann treng pour bann kolonn e pour kouver bann latet. 
EXO.38.29	An tou 2,124 kilo bronz ti sorti dan bann lofrann rityel. 
EXO.38.30	Sa bronz ti servi pour fer bann baz pour lantre Latant Rankont, lotel an bronz ek son griyaz an bronz, e tou bann istansil pour lotel, 
EXO.38.31	bann sipor pour toultour lakour, e pour laport lakour, tou bann pike pour Latant Rankont e pour toultour lakour.
EXO.39.1	Bann labiyman spesyal pour servis dan sanktyer ti ganny fer avek lalenn ble, rouz e rouz fonse. Bann labiyman sakre ti ganny fer pour Aaron, parey SENYER ti'n ordonn Moiz. 
EXO.39.2	Bann artizan ti fer lefod kouler lor, avek latwal linenn, melanze avek lalenn ble, rouz e rouz fonse. 
EXO.39.3	Bann fey annor tre fen, ti ganny dekoupe e bann artizan ti trese avek lalenn ble, rouz e rouz fonse avek bann difil linenn. 
EXO.39.4	Bann bretel ti ganny atase lo de kote. 
EXO.39.5	Sentir ki atas avek lefod ti fer avek en sel pyes, dan en sel pyes e dan menm fason avek lor, lalenn ble, rouz e rouz fonse e latwal linenn fen, trese, parey SENYER ti'n ordonn Moiz.
EXO.39.6	Bann pyer onyks ti ganny prepare, fikse dan bann montan annor. Non bann zanfan Izrael ti ganny grave ladan parey en sele. 
EXO.39.7	Zot ti ganny met lo bann bretel lefod koman en memoryal an faver bann zanfan Izrael, parey SENYER ti'n ordonn Moiz.
EXO.39.8	Bann artizan ti fer pektoral, en louvraz par bann artizan, parey lefod, avek menm materyo: Lor, difil linenn trese, lalenn kouler ble, rouz e rouz fonse. 
EXO.39.9	Pektoral ti kare e double; i ti 25 santimet lo sak kote. 
EXO.39.10	I ti ganny garni avek kat ranze pyer presye. Premye ranze: Ribi, topaz, emerod; 
EXO.39.11	dezyenm ranze: En pyer rouz fonse, en safir, en dyanman; 
EXO.39.12	Trwazyenm ranze: Opal, agat, ametis; 
EXO.39.13	katriyenm ranze: Krizolit, korlalin, zasp. 
EXO.39.14	Ti annan 12 pyer presye kot non bann zanfan tribi Izrael ti ganny grave lo sak pyer presye, parey en sele. 
EXO.39.15	Lo pektoral, ti annan bann sennon annor pir, dan laform bann lakord trese. 
EXO.39.16	Ti annan de montan annor avek de bag annor. Sa de bag ti ganny met dan de bout pektoral. 
EXO.39.17	Sa de lakord annor ti ganny met dan sa de bag lo bann bout pektoral. 
EXO.39.18	Sa de lot bout sa de lakord ki ganny met avek sa de montan ki ti par devan, lo bann zepolet lefod. 
EXO.39.19	Ti annan ankor de bag annor ki ti ganny met lo de bout pektoral, lo bor anndan, kont lefod. 
EXO.39.20	De lot bag annor ti ganny fer e ti ganny met anba sa de zepolet devan lo lefod, pre kot zot zwenn, par lao sentir lefod. 
EXO.39.21	Pektoral ti ganny fikse avek en kordon lalenn kouler ble, rouz, rouz fonse, par son bann bag, avek lefod. Konmsa, pektoral ti reste lo sentir lefod e i pa ti kapab bouze lo lefod, parey SENYER ti'n ordonn Moiz.
EXO.39.22	Besalel ti osi fer rob lefod, en travay par bann artizan, kouler ble. 
EXO.39.23	Sa rob ti ouver dan milye, parey louvertir en lenz an kwir trese; ti annan en lourle toultour, pour anpes sa rob desire. 
EXO.39.24	Dan lourle sa rob, ti annan bann grenad kouler ble, rouz, rouz fonse avek difil linenn trese. 
EXO.39.25	Bann pti laklos annor pir ti ganny mete ant bann grenad toultour, anba rob, ant bann grenad: 
EXO.39.26	En pti laklos, en grenad, en pti laklos, en grenad, anba rob, pour ki i ganny servi parey SENYER ti'n ordonn Moiz.
EXO.39.27	Bann artizan ti fer bann ornman rob avek latwal linenn fen, pour Aaron ek son bann garson. 
EXO.39.28	Zot ti osi fer bann tirban an linenn fen, bann bonnen avek latwal linenn fen; bann kannset avek latwal linenn fen, trese; 
EXO.39.29	sentir brode an linenn fen, trese, kouler ble, rouz, rouz fonse. Sa ti en louvraz brodri, parey SENYER ti'n ordonn Moiz. 
EXO.39.30	Zot ti fer rozet pour kouronn sakre annor pir, e zot ti grav en lenskripsyon parey en sele: Konsakre pour SENYER. 
EXO.39.31	Zot ti fikse sa kouronn avek en kordon ble par anler tirban, parey SENYER ti'n donn lord Moiz.
EXO.39.32	Konmsa ki tou bann travay pour sanktyer, Latant Rankont ti ganny fer. Bann Izraelit ti fer tou egzakteman parey SENYER ti'n ordonn Moiz. 
EXO.39.33	Zot ti anmenn sanktyer kot Moiz: Latant avek tou son bann akseswar: Krose, kad, treng, kolonn ek sipor; 
EXO.39.34	kouvertir fer avek lapo bann bouk, penn an rouz; kouvertir fer avek kwir fen ek vwal ki servi koman en rido; 
EXO.39.35	Kof temwannyaz, son bann bar ek son kouvertir; 
EXO.39.36	latab, tou bann istansil avek dipen pour lofrann; 
EXO.39.37	portlanp annor pir, son bann lalanp, bann ranze lalanp, tou bann istansil avek delwil pour bann lalanp; 
EXO.39.38	lotel annor, delwil pour lonksyon ek lansan parfimen, avek rido pour lantre latant; 
EXO.39.39	lotel an bronz, son griyaz an bronz, son bann bar ek tou son bann istansil, son basen ek son sipor; 
EXO.39.40	bann rido pour lakour, bann kolonn, bann sipor, rido laport lakour, son bann kordaz, pike ek tou bann istansil pour servi dan sanktyer, pour Latant Rankont; 
EXO.39.41	bann labiyman spesyal pour bann ki servi dan sanktyer, bann labiyman sakre pour pret Aaron, ek bann labiyman ki son bann garson i mete pour egzers zot servis. 
EXO.39.42	Bann Izraelit ti fer tou sa travay egzakteman parey SENYER ti'n ordonn Moiz.
EXO.39.43	Kan Moiz ti war ki zot ti'n fer tou sa travay parey SENYER ti ordonnen, i ti beni zot.
EXO.40.1	SENYER ti ordonn Moiz:
EXO.40.2	Premye zour, premye mwan, ou ava mont sanktyer Latant Rankont. 
EXO.40.3	Ou ava met Kof Temwannyaz ladan e ou ava kouver li avek rido separasyon. 
EXO.40.4	Ou ava anmenn latab e depoz bann lofrann dipen. Ou ava anmenn portlanp e aranz son bann lalanp. 
EXO.40.5	Ou ava met lotel annor pour lansan devan Kof Temwannyaz e ou ava plas rido devan lantre sanktyer. 
EXO.40.6	Ou ava met lotel pour sakrifis devan lantre sanktyer Latant Rankont. 
EXO.40.7	Ou ava met basen ant Latant Rankont ek lotel e ranpli li avek delo. 
EXO.40.8	Ou ava aranz lakour toultour e met rido avek laport lakour. 
EXO.40.9	Ou ava pran delwil pour lonksyon e konsakre sanktyer avek tou sa ki ladan; ou ava konsakre sanktyer avek tou son bann istansil. Konmsa, i ava vin sakre. 
EXO.40.10	Ou ava fer lonksyon lo lotel sakrifis avek tou bann istansil; ou ava konsakre lotel. Konmsa, lotel ava vin tre sakre. 
EXO.40.11	Ou ava fer lonksyon lo basen avek son sipor e i ava ganny konsakre.
EXO.40.12	Ou ava prezant Aaron avek son bann garson devan lantre Latant Rankont e ou ava lav zot dan delo. 
EXO.40.13	Ou ava met bann labiyman sakre lo Aaron e donn li lonksyon; ou ava konsakre li e i ava servi mwan koman en pret. 
EXO.40.14	Ou ava prezant son bann garson e met zot, zot labiyman. 
EXO.40.15	Ou ava donn zot lonksyon parey ou ti fer anver zot papa; zot ava servi mwan koman pret. Sa lonksyon avek delwil ava fer zot pret pour touzour atraver tou bann zenerasyon. 
EXO.40.16	Moiz ti fer egzakteman tou sa ki SENYER ti'n ordonn li.
EXO.40.17	Sanktyer ti ganny monte premye zour, premye mwan, dezyenm lannen. 
EXO.40.18	Moiz ti mont sanktyer; i ti prepar son bann baz, plas bann kad, met bann bar e lev bann kolonn. 
EXO.40.19	I ti tal latant lo sanktyer e met kouvertir latant lo la, parey SENYER ti'n ordonn Moiz.
EXO.40.20	I ti pran plak ros lalyans e met dan Kof Lalyans; i ti met bann bar lo Kof e plas kouvertir lo Kof Lalyans. 
EXO.40.21	I ti anmenn Kof dan sanktyer; i ti plas rido separasyon e kouver Kof Temwannyaz parey SENYER ti'n ordonn Moiz. 
EXO.40.22	I ti met latab dan Latant Rankont, lo kote Nor avek sanktyer, an deor rido separasyon. 
EXO.40.23	I ti depoz dipen devan SENYER, parey SENYER ti'n ordonn Moiz.
EXO.40.24	I ti met portlanp dan Latant Rankont, anfas avek latab, lo kote Sid sanktyer; 
EXO.40.25	I ti aranz bann lalanp devan SENYER, parey SENYER ti'n ordonn Moiz.
EXO.40.26	I ti plas lotel annor dan Latant Rankont, devan rido separasyon. 
EXO.40.27	I ti bril lansan parfimen, parey SENYER ti'n ordonn Moiz.
EXO.40.28	I ti met rido devan lantre sanktyer. 
EXO.40.29	I ti plas lotel sakrifis dan lantre sanktyer, Latant Rankont, e ofer sakrifis konplet ek lofrann vezetal, parey SENYER ti'n ordonn Moiz.
EXO.40.30	I ti plas basen ant Latant Rankont ek lotel e vers delo pour pirifikasyon rityel. 
EXO.40.31	Moiz, Aaron ek son bann garson ti servi pour lav zot lanmen ek zot lipye. 
EXO.40.32	Ler zot ti antre dan Latant Rankont e ler zot ti apros lotel, zot ti lav zot, parey SENYER ti'n ordonn Moiz.
EXO.40.33	I ti aranz lakour otour sanktyer ek lotel, e met rido devan laport lakour. Konmsa ki Moiz ti konplet bann travay.
EXO.40.34	Alor, en nyaz ti vin kouver Latant Rankont e laglwar SENYER ti ranpli sanktyer. 
EXO.40.35	Moiz pa ti kapab antre dan Latant Rankont, akoz nyaz ti reste lo la e laglwar SENYER ti ranpli sanktyer. 
EXO.40.36	Kan nyaz ti leve par lao sanktyer, bann Izraelit ti met zot anrout pour en nouvo letap zot vwayaz. 
EXO.40.37	Si nyaz pa ti leve, zot ti reste la, ziska lizour ti fer. 
