MAT.1.1	Jesucristo e-dadgan-siki ilekwaa-danikid e-garda. Jesucristo, David-e-wagwa, degi, Abraham-e-wagwabar.
MAT.14.26	Jesús-sapingan, dule mata-dummad-birgi-dani dakarmargua, dobe-ito nadmalad, dobedba binnasur gotemalad, sogdemalad:
MAT.14.26	—¡Sergan anmargi dani!
MAT.14.27	Degisoggu, a-ular Jesús yog e-sapinganse gotesun, ega sogdesun:
MAT.14.27	—¡Be gandik imakmar, ani an gudii, mer be dobgumar!
MAT.14.28	Geb degi Pedro, abin-sogde:
MAT.14.28	—Dummad, ar be gudiile, an bese mata-dummad-birgi ganna-ganna daged be an-imakdo.
MAT.14.29	Jesús Pedroga sogde:
MAT.14.29	—Be dagdena.
MAT.14.29	Pedro urgi-siid mata-dummadgi aidesgu, mata-birgi ganna-ganna Jesússe nade-gusad. 
MAT.14.30	Pedro burwa-binnasur-gormai dakdegu, dobe-ito naded. Geb degi matagi dogdegu, binnasur gote, sogde:
MAT.14.30	—¡Dummad, an-bendake!
MAT.14.31	Geb degi Jesús argangi Pedro-gasgu, Pedroga sogded:
MAT.14.31	—Be an-bengued-duled, ar ¿ibiga be an-bengusa?
MAT.14.32	Ar Jesús, Pedro-ebo urgi nakwismargu, burwa bogidik naded. 
MAT.14.33	Degine, urgi-bukwamaladi daksamargu, Jesús-nug odummodmarsun, igi Bab-Dummad-nug odummole-damogadyob, Jesúsga sogdemar:
MAT.14.33	—Ar nue be Bab-Dummad-Machi-sunnadye.
MAT.14.34	Geb degi Jesús na e-sapinganmala mata-dummad obaksamargua, Genesaret-yarse nonimarsun. 
MAT.14.35	Dulemar-a-neggweburginmalad mag daksamargu, we Jesús gudiiye, gaya-burba mimmidmar, neggwebur-dikarba nanaidse. Degine, bela dulemar-uelemalad Jesússe senonimar. 
MAT.14.36	Jesúsgi wilenagus-damalad: “Unnila be mor-dukubi wis ebuged be anmar-imakye.” Ar bela e-mor-duku-ebusmalad, bela nugusmalad.
MAT.15.1	Geb degi escribamar, degi, Fariseomar Jerusaléngi-danimalad Jesússe nonimargu, Jesúsga sogdemar:
MAT.15.2	—¿Ibiga be-sapingan dadgan-igar-maidgi-wede yoledimala? ¿Ar ibiga be-sapingan argan enuksurmala mas-gunned-iduar?
MAT.15.3	Jesús, abin-imakdegu, sogde:
MAT.15.3	—¿Ar ibiga bemarmo Bab-Dummad-igar-maidgi yoledimarmosunna, bemar dadgan-igar-maidba daed-ular? 
MAT.15.4	Ar Bab Dummad sogsad:
MAT.15.4	Be-bab-nug, degi, be-nan-nug,
MAT.15.4	be odummogoye.
MAT.15.4	Ex. 20:12; Dt. 5:16
MAT.15.4	Degine:
MAT.15.4	Dule-gwensak babgi, igi, nangin-dibe
MAT.15.4	gaya-ichakwa sunmaksale,
MAT.15.4	a-dule oburgwemaloye.
MAT.15.4	Ex. 21:17; Lv. 20:9
MAT.15.5	Ar emigindi bemar-Fariseomardi soggu: ‘Ar doa-dule e-babga, degi, e-nanga sog-dibe: Geg an be-bendaked, ar bela-an-ibmar-nikadi bato Bab Dummadga an uksad. 
MAT.15.6	Ar degisoggu, a-dule e-bab, degi, e-nan bar bendaksulir, gwen akarsulid.’ Ar weyob bemar dulemar-odurdakedba Bab-Dummad-igar-maidgi yoledimardo, be-dadgan-igar-maidba daed-ular. 
MAT.15.7	¡Bemar wagar-darbo-damalad! Ar nabir Isaías, Bab-Dummad-gaya-burba-berbeged, epenne bemar-nik sogsa-gusad, deun Bab Dummad sogye sogsa-gusgu:
MAT.15.8	We-neggwebur unnila askinbi an-nug odummomalad,
MAT.15.8	ar e-gwage-ulubgindi angi gwen binsasurmalad.
MAT.15.9	Ar binsa askinbi amar anse gordimalad,
MAT.15.9	an-nug odummomalagar.
MAT.15.9	E-igar-maid odurdakeddi,
MAT.15.9	dulemar-igar-mesisadba bur odurdakmalad.
MAT.15.9	Is. 29:13
MAT.15.10	Degi Jesús dulemar-yogsarmaladse gotegu, amarga sogded:
MAT.15.10	—Nue bela bemar an-itomalo: 
MAT.15.11	Ar mas-gunned dule-ichosulid, ar dule galagwensuli-sunmakerdi, adi dule-ichodo.
MAT.15.12	Geb degi e-sapingan Jesússe-walik gunonigua, ega sogdemar:
MAT.15.12	—¿Be wisi, emi Fariseomar sae-itodmalad, weyob be-ibmar-soge itoarmargu?
MAT.15.13	Jesús, abin-imakdegu, sogde:
MAT.15.13	—Ar an-Bab-nibneggi-maid sapi digsasulid, a-sapi gannar ungoed. 
MAT.15.14	Mer geger be Fariseomar-dakmala, ar ibya-suliyob gudidimalad, amar aku-atakmalad-iduedmalad. Ar dule-ibya-sulid, dule-ibya-sulid-idumaile, ebobela neg-gullu-dummadgi argwanmaloed.
MAT.15.15	Pedro, abin-imakdegu, Jesúsga sogde:
MAT.15.15	—Anmarga be oduloge, we be-ibmar-burbar-soged mas-gunned dule-ichosulid, we ibu obare.
MAT.15.16	Jesús, abin-sogde:
MAT.15.16	—¿Ar bemarmo amba aku-itomarmoga? 
MAT.15.17	¿Ar bemar aku-itoge, bela mas-gunned, unnila sabanse ubod-daed, degi, geb gannar miled-dabalid? 
MAT.15.18	Ar dule-galagwensuli-sunmakeddi, adi gwagegi-bukwa ainiar-daed, degisoggu, amardi dule-ichosundo. 
MAT.15.19	Ar dule-gwagegi binsaed-iskanamar ainiar-daed, na iblomalad, na ome-dikarba, degi, sui-dikarba yolemalad, na abirgunagwarsuli neg-sichigi nanamalad, ibmar-atursamalad, gakansaar aimar-barsoged, Bab-Dummad-nuggi dodomalad. 
MAT.15.20	Ar we-ibmarmardi dule-ichomaladdo, ar dule argan-enuksuli mas-gunneddi, dule-ichogedsulid.
MAT.15.21	Jesús Genesaretgi-gudiid nade-gus, Tiro, degi, Sidón-yarse. 
MAT.15.22	Agi ome-wargwen, Judiosulid, Cananeagined, a-yalaganba-danikid, binnasur Jesússe gordani, sogdani-gusad:
MAT.15.22	—¡Dummad, be David-Wagwa, wile be an-dake! An-bunagwa sabsur niasamaid.
MAT.15.23	Ar Jesúsdi gwen abin-imaksasulid. Geb degi e-sapingan Jesússe warmaknonimargu, egi wilenagusmalad, ega sogdemalad:
MAT.15.23	—We-ome be barmide, ar anmar-sorba wede ee gordanikid.
MAT.15.24	Jesús, abin-imakdegu, sogde:
MAT.15.24	—An barmilealidi, dulemar-baiganse an barmilearsulid, unnila Israel-dulemar-sibad-wawaadyob-yoggus-gudimaladse an barmilealid.
MAT.15.25	Degi, ome Jesús-abin yokorgi signonikid, ega sognonikid:
MAT.15.25	—¡Dummad, be an-bendake, anga an-bunolo be nudake!
MAT.15.26	Jesús, abin-imakdegu, sogde:
MAT.15.26	—Be Judiosursoggu, an be-bendakele, mimmigan-mas achuga uknaiyob an imako-itole, degisoggu, igar-maisulid mimmigan-mas achuga be ukoye.
MAT.15.27	Ome, Jesús-abin sogde:
MAT.15.27	—Dummad, nabir be sogendo, ar degi-inigwele, achumarse-bakar sunna mimmigan-mas mesa-urba-batemamaid gunmogad.
MAT.15.28	Geb Jesús, ome-abin imakdegu, sogde:
MAT.15.28	—Ome, ibibayobi be an-bensuli bega sunna be-bunolo an nudakoed, degisoggu, deyob bega gusun.
MAT.15.28	Ar a-wachigi yog e-bunolo nuguar-naded.
MAT.15.29	Tiro-yargi, degi, Sidón-yargi Jesús bangudgua, Galilea-mata-dummad-naidse nonikid. Geb degi Jesús yar-birse nakwisgu, agi sigidapid. 
MAT.15.30	Agi dulemar-bukidar Jesússe nonimalad, ese senonimalad, dulemar-muya-muya-nanamalad, dulemar-ibya-surmalad, dulemar-geg-sunmakmalad, dulemar-sakwa-sikarmalad, degi, bukidar dulemar-galagwensuli-uelemalad Jesús-nag-naba mesnonimalad. Jesús amar bela nudaksa-gusad.
MAT.15.31	Degisoggu, dulemar-bukmalad geger dakdemalad, dulemar-geg-sunmakmalad sunmak imasgu, dulemar-sakwa-sikarmalad nudaksagu, dulemar-muya-muya-nanamalad nabir-nanae imaksagu, dulemar-ibya-surmalad mag-daksa imasgu. Degisoggu, Israel-Bab-Dummad-nug ogannodmarsun.
MAT.15.32	Degi Jesús na e-sapinganse gochagua, amarga sogde:
MAT.15.32	—We-dulemar nue-wile an daked, ar ibapaagus anmarba bipirmakdimalad, mas-gunned sate gudimalad. Degisoggu, dulemar mas-gunsuli an barmidele, abakalegi igarba negoedamalale.
MAT.15.33	Geb degi e-sapingan, abin-sogdemar:
MAT.15.33	—¿Ar bia wede anmar neg-dule-sulidgangi mas-ichesur amimalosunna, we-dulemar-ichesulid masgi ogunnegar?
MAT.15.34	Jesús na e-sapinganga sogde:
MAT.15.34	—¿Madu-bigwa bemar nikmarsunna?
MAT.15.34	E-sapingan, abin-sogde:
MAT.15.34	—Madu walagugle anmar nikmalad, degi, ua anmar wis nikmarbalid.
MAT.15.35	Degi, Jesús dulemar-bukidarmalad napagi-sigega imaksad. 
MAT.15.36	Jesús madu-walagugled susgua, degi, uamar susbargua, Bab Dummadga dog-nuedye sogsa-gusad. A-sorba, madu, degi, ua biske-biske imaksagu, e-sapinganga ukded. Geb degi e-sapingan dulemarga ukdemogad. 
MAT.15.37	Dulemar-bergwapa madu, degi, ua-guchamargu, nue immelesmalad. Jesús-e-sapingan e-gwabgusad bela wesmargu, garba-gwagugle enosmalad. 
MAT.15.38	Bela madu, degi, ua-guchamalad, macherganbi milibake-mergu daklealid. Omegan, degi, mimmigandi gwen obarilesulid. 
MAT.15.39	Degi, Jesús dulemar-barmisgu, Jesús urgi nakwissun, geb degi Magdala-yalaganse nonisunnad.
MAT.16.1	Fariseomar, degi, Saduceomar, Jesússe nonimar, yamo Jesús-wilubdakegar. Jesúsga sogdemar:
MAT.16.1	—Be anmarga Bab-Dummad-ganguedba, ibmar-wilubgan-dakledisulid anmar-wagab be imake, adi anmar mag be-dakoed, be Bab-Dummad-nuggi nue danikid.
MAT.16.2	Jesús amar-abin imakdegu, sogde:
MAT.16.2	“Wegi anmar-yargi neg-sedodele, bemar sogmardo: ‘Mogir, ber ginnidikid, degisoggu, neg-yolasaila guoed.’ 
MAT.16.3	Degine, neg-wagdar bemar sogmarbardo: ‘Emi mogir ber ginnidikid, degine, gutumar yaisurbalid, degisoggu, dii burwaba mesa wioed.’ ¡Bemar wagar-darbo-damalad-dulemar! Ar di-wioeddi magar bemar dakmalad, degite, bemar-abargi ibmar-gunaiddi aku bemar dakmalad.
MAT.16.4	“Dulemar galagwensuli-damalad, degi, neg-sichigi-galagwensuli-yolemaladyob Bab-Dummad-sogedba-ibsasurmalad, amardi ega ibmar-wilubgan-dakledisurmalad oyobi abedamalad. Ar we-wilubgan ega oyolegosurmalad, unnila ega oyolegoedi, Bab-Dummad-gaya-burba-berbeged, Jonás, a-gusadyob a-wilubgan ega oyolegoed, adi wisgumalagar an doa-dule gue.”
MAT.16.4	Jesús degi-sogsagu, emargi bangudsun.
MAT.16.5	Jesús na e-sapinganmala mata-dummad-gaka-obakar mosgua, e-sapingan dakarmar madu na iesmala. 
MAT.16.6	Jesús na e-sapinganga sogdesun:
MAT.16.6	—Nue salakarmar, Fariseomar, degi, Saduceomar-madubur-inagi.
MAT.16.7	Jesús-sapingan na dukin ulubgi binsadmalad, sogdemalad:
MAT.16.7	—Jesús weyob anmarga soger-gebed, anmar madu searsulidbar.
MAT.16.8	Jesús mag daksagu e-sapingan madu-senonisulidgi sunmakmalad, amarga sogdesun:
MAT.16.8	“¿Ar ibiga bemar sogmarsunna, anmar madu searsurye? ¿Ar amba be an-benmarde? 
MAT.16.9	¿Ar amba bemar nue-akusunna itomala, degine, be insasurmarsi, madu-gwaataledgi dulemar-miliatar madu guchamalad? ¿Agi madu-obichad garba-gwaambe-gakabo-mergu bemar wesmarbarsursi? 
MAT.16.10	Deginbali, ¿amba bemar insasurmarbali, madu-gwagugledgine dule-milibake madu guchamalad? ¿Agi madu-obichad, garba-gwagugle bemar wesmarbarsursi? 
MAT.16.11	¿Ar ibiga bemar nue-akusunna itomala, madu-ular an bemarga sogsasulid, bemar nue salakarmarye, Fariseomar, degi, Saduceomar-madubur-inagi?”
MAT.16.12	Geb degi Jesús-sapingan nue mag itosmalad, ega sogsad, madubur-inagi nue salakarmarye, nue madubur-ina-sunnadgi ega sogsulid. Ega soged, Fariseomar, degi, Saduceomar-ibmar-odurdakedgi nue salakarmarye.
MAT.16.13	Jesús Cesarea-de-Filipos-yarse nonigu, agi e-sapinganse egichialid, ega sogded:
MAT.16.13	—¿Ani Dule-Machi, wede doaye an-nik dulemar sogmala?
MAT.16.14	E-sapingan abin-sogdemar:
MAT.16.14	—Gwenna-gwenna Juan-Bautistaye, be-nik sogmalad. Baigandi sogmalad, be Bab-Dummad-gaya-burba-berbeged Elías-nugadye. Agi baigan sogmarbalid, be Jeremíasye, ar a sulile, baigan sogmarbalid, be Bab-Dummad-gaya-burba-berbeged epenne-gudigusad-wargwenye.
MAT.16.15	Jesús na e-sapinganga sogde:
MAT.16.15	—¿Bemardina, doaye an-nik sogmarmosunna?
MAT.16.16	Simón-Pedro Jesús-abin sogde:
MAT.16.16	—Be Cristo, Bab-Dummad-dule-wargwen-barmidagoye-sogsad-dule, Bab-Dummad-Dula-Maid-E-Machi-sunnad.
MAT.16.17	Geb degi Jesús, abin-imakdemogad:
MAT.16.17	—Simón, be Jonás-machi, begi nued binsalesad, ar dule we-ibmar bega sogsasulid, bega-sogsadi, an-Bab-nibneggi-maid, a bega we osanalos, an Cristoye, Bab-Dummad-Machi-sunnadye. 
MAT.16.18	Ani an bega sogsun; be Simónye-nugad, Pedroye be-nuggubaloed. We-akwa-birgi anba-nanaimalad an na omelomai an imakoed, burgweddi gwen egi nakosulid. 
MAT.16.19	Degine, ani an Bab-Dummad-neg-dakmaid-yabi an bega ukoed, ar bela we-napneggi be-ibmar-sogsadba galenonikile, nibneggi bela galenonimogoed. Ar we-napneggi be-ibmar-sogsadba igar-egasale, nibneggi bela deyob igar-egalemogoed.
MAT.16.20	Geb degi Jesús na e-sapinganga sabsur sogdesun: “Melle dulemar-baiganga bipisaar sogoye, ede Jesúsye, Cristoye, Bab-Dummad-dule-wargwen-barmidagoye-sogsad-dule-sunnadye.”
MAT.16.21	A-iba-onodedgi Jesús na e-sapinganga e-burgoedgine sunmakded, ede Jerusalénse naer-gebye, Judiomar-girmar-dummaganse nue odurdaklegoye, dule-irwa-Bab-Dummadse-gormalad-e-dummaganse nue wilegoye, degine, escribamarse wilebaloye, ede amarse oburgwilegoye, geb degi ede ibapaagi gannar durguoye.
MAT.16.22	Pedro, deyob-Jesús-sogsad itosgu, bachik Jesús-sesad, Jesúsga sabsur ibmar sogded:
MAT.16.22	—Dummad, na be dukin wile na be dake, ar bela we-ibmar-be-sogsadi mer deyob bega guena-gadin.
MAT.16.23	Ar Jesús Pedrosik aibiris imaksagu, Pedroga sogde:
MAT.16.23	—¡Nia-saila-Satanás, be angi bangusun! Bedi igar-iskanagi an-egwanbi-gudiid. Pedro, ar be-binsaedi, Bab-Dummad-sunnaa be binsasulid, unnila dulemar-sunnaa be binsaed.
MAT.16.24	Geb degi Jesús na e-sapinganga sogde: “Ar dule-wargwen an-sapinga gubiele, na dukin san ieger-gebed, nakrus-semaiyob nanaer-gebed, bato burgwenadapidyob, geb a-dule anba dagodo, geb a an-sapinga guodo.
MAT.16.25	“Ar dule-wargwen anba-naid-ular burgwebisulir, e-san-burba ei yogguodo. Ar anba-naid-ular burgwenonikirdi, adi na e-san-burba yogguosurdo. 
MAT.16.26	¿Ar ibi-nuedga dule-wargwenga gusar be insae, ar dule napneg-naid bela egadga imaksar, ar e-san-burbadi yoggusar? Deginbali, ¿dule-gwensak e-san-burba-ular, ibi na uksar be insae, adi e-san-burba mer ei yogguegar? Ibmar-sated san-burba-ular ogwaed.
MAT.16.27	“Ar Dule-Machi na E-Bab-ganguedgi, degi, yeer-daklegedgi na e-angermar-abargi we-napnegse danikir, geb degi bela wala-walagwen dulemarga ibmar uknonikoed, na e-ibmar-imaksamaladba. 
MAT.16.28	Napira an bemarga soged, gwenna-gwenna wegi-bemar-bukmalad, burgosulid, amba dula gudii Dule-Machi-neg-dakmai-gued bemar dakedsemalad.”
MAT.17.1	A-iba-nergwad-sorbali, Jesús, bachik Pedro, Santiago, degine, Santiago-urba Juan, amar bachik yar-bir-matusulidse sesad. 
MAT.17.2	Amar-asabin yar-birgi-gwichi Jesús-e-san-dakleged gwagde-gusad, na e-wagar dad-ibeler-gaeyobi gade-gusad, degine, e-mormar bela ise-sipumakar, bela dagudik, gwallubayobi dakle-naded. 
MAT.17.3	Geb agi Jesús-sapingan-warbaagwad dakdemalad, dulemar epenne-dula-gudigusmalad, Moisés, degi, Elías, amar Jesúsmala sunmakgwichi.
MAT.17.4	Geb degi Pedro Jesúsga sogdesun:
MAT.17.4	—Dummad, we nueddo wegi anmar gudigu. Ar be abegele, anmar wegi obunnoged-neg-gwapaa sobmalodo: Gwagwen bega, baid Moisésga, geb baid Elíasgarmo.
MAT.17.5	Ar amba Pedro sunmakgwichi, mogir mee emar-birgi nagunonikid. Geb agi mogir-imbaba gaka-burba gollalid, sogded: “We An-Machi-sabedi gued, we-machigi yeer an itoged. A-Machi nue be itomar.”
MAT.17.6	Ar Jesús-sapingan degi-gaya-burba itosmargua, yog napase askun sindigar sigidmalad, bela nue-dobe-ito nadmalad. 
MAT.17.7	Geb degi Jesús na e-sapingan-walik nonisunnad, e-argangi ebunonikid, emarga sogded:
MAT.17.7	—Be gwisgumar, mer be dobgumar.
MAT.17.8	E-sapingan nono-onakwidmargu, dakdemalad, unnila bato Jesúsbi walagwen gwichi.
MAT.17.9	Jesús na e-sapingan-warbaagwadmala yar-birgi-gwichi aidearmargu, na e-sapinganga ise-sabsur sogded:
MAT.17.9	—Mer bipisaar an-san-gwagsad bemar daksamaladi dulemarga sogmaloye, geb Dule-Machi burgwisar gannar durgusad-sorba, geb be sogmaloye.
MAT.17.10	Geb degi e-sapingan Jesússe egichiarmarsun, ega sogdemar:
MAT.17.10	—¿Ibiga degite, escribamar sogmarsunna, Bab-Dummad-dule-wargwen-barmidagoye-sogsad-dule-nonikoed-idu, Elías-inse nonigweloye?
MAT.17.11	Jesús, abin-imakdegu, sogded:
MAT.17.11	—Ar napiragwad, Elías-inse bina nonikoed, bela-dulemar Bab-Dummad-igargi-binsaega nudaknonikoed. 
MAT.17.12	Ar andi an bemarga soged, Elías bato nonikid. Nonigu, aku-daksa-gusmalad, ar igi na imakbi-gusmala, deyob Elías-imaksa-gusmalad. Amba deyob ani Dule-Machi, amarse odurdaklemogoed.
MAT.17.13	Geb degi e-sapingan mag itosmalad, Juan-Bautista-nik ega ibmar soged.
MAT.17.14	Jesús na-e-sapingan-warbaagwadmala dulemar-bukidar-bukmaladse aidenonimargu, dule-wargwen Jesússe nonikid, yokorgi sindigar abin signonikid, ega sognoni:
MAT.17.15	—Dummad, an-machi wile be dake, an-machi burwa-saar-daed, degine, ani nue odurdaklediid, imbagwenar soogi argwate-daed, imbagwenar digi argwate-daed. 
MAT.17.16	Ar be-sapinganga an-machi an senonikinad, be-sapingan anga gwen nudaksasurmalad.
MAT.17.17	Jesús, abin-imakdegu, sogde:
MAT.17.17	—¡Bemar Babgi-bengumalad-dulemar, bemar Bab-igar-oakalogedmar! ¿Sanase bemar-abargi an gudiguosunna, bemar mer an-bengumalagar? ¿Sanase mag be itomaloe? Budar an bemar-daked danikid. Machigwa anse be sedamar.
MAT.17.18	Geb degi machigwa Jesússe senonimargu, Jesús niaga binnasur ibmar sokar, geb agi nia-machigwagi-maid nodsun, geb agi machigwa nugussunnad.
MAT.17.19	Geb e-sapingan Jesússe bachikii nonigu, ega sokarmalad:
MAT.17.19	—¿Ar ibiga anmardi geg niaburba-onogusmala?
MAT.17.20	Jesús abin-sogde:
MAT.17.20	—Ar bemar ulubgi amba angi benmarsoggu, a-ular geg niaburba bemar onogusmalad, ar napiraa an bemarga soged, ar bemar wismalad igi mostaza-gwag bur-bipigwa. Ayob-dungu bemar angi bensulir, sunna we-yarga be sogsamalaled: ‘Wegi-siid be weba ainir,’ ar yar ainirisaled. Ar ibmar bela be imakedbiirdo. 
MAT.17.21	An-emis-nia-onosadgiid, geg dule onoged, unnila mas-gunsuli Bab-Dummadse-goledgi geb bemar sunna wegiid-niamar-onoged.
MAT.17.22	Jesús Galilea-yargi bipirmakdimaladgi, na e-sapinganga sokalid:
MAT.17.22	—Ani Dule-Machi, dulemarse uklegoed. 
MAT.17.23	Geb agi dulemar an-oburgwemaloed. Ar degite, ibapaagi gannar an durguoed.
MAT.17.23	E-sapingan Jesús-deyob-ega-soge itoarmargu, nue wile-itodmalad.
MAT.17.24	Jesús na e-sapinganmala Capernaumse modapmalad, dulemar-Bab-Dummadse-goled-negga-mani-wemalad Pedrose nonimalad, ega sognonimalad:
MAT.17.24	—¿Bemar-odurdaked-saila, we Bab-Dummadse-goled-negga-mani-weleged bennuksuli?
MAT.17.25	Pedro, abin-sogde:
MAT.17.25	—Anmar-odurdaked-saila bennuke.
MAT.17.25	Negse Pedro dogdegua, Jesús-inse ega sunmakalid, ega sogded:
MAT.17.25	—Simón, be dakegua, reymar-we-napnegginmalad ¿doamargi we mani ga-damar be insae? ¿E-sordamargine, igi, dulemar-baigangine?
MAT.17.26	Pedro, abin-sogde:
MAT.17.26	—E-sordasurmaladgi mani galeged.
MAT.17.26	Jesús Pedroga sogdesun:
MAT.17.26	—Degisoggu, e-sordamardi geg bennuksundo. 
MAT.17.27	Ar degi-inigwele, dulemar mer anmargi urwemalagala, mata-dummadse be nae, be ua-sona. Ua gebe-be-sooedi, e-gaya be egaoed, a-e-gaya-yaba be mani-amioed. A-manigi bega, degi, anga, be mani-galeged bennukoed.
MAT.18.1	A-ibagangi, deun Jesús-e-sapingan Jesússe nonimalad, ega sognonimalad:
MAT.18.1	—¿Bab-Dummad-neg-dakmaidgi doa bur-dule-dummadi?
MAT.18.2	Jesús machi-bipigwad-wargwense gochagua, emar-abargi ogwichisgu, 
MAT.18.3	sogde:
MAT.18.3	“Napira an bemarga sogmalad, ar bemar machi-bipigwa-daedyob gusulile, Bab-Dummad-neg-dakmaidse geg be dogmalad. 
MAT.18.4	Ar degisoggu, doa-dule na san bipii we-mimmigwayob na imakele, ar a-dule Bab-Dummad-neg-dakmaidgi dule-dummaddo. 
MAT.18.5	Ar doa-dule an-nuggine we-mimmigwayobid-wargwen ber nue-weligwar abingaele, ar an-abinganaiyob gunaido.”
MAT.18.6	Jesús sogdebar: “Ar dule-wargwen akwamu-dummad e-dukargi-nai demar-wilase metemalar, we-dule nue-dummad-wilegoed, ar burgoed. Aba bur-bule, dule nue-dummad-wilegoed, dule-wargwen we-mimmi-burwiganayob angi-bensur-gudidiid iskuega imaksar. Degisoggu, dule-ichoged-iduar, we-dulega bur-nuedirdo akwamu-dummad dukargi-nai burgwed. 
MAT.18.7	Ibibayobi dulemar we-napneggi-bukmaladga iskana, ibmar dulemar gwage-ichomalad nikagu, degite, ibmar-dule-ichomalad nue abelebalid, degi-inigwele, ¡ar dule emar-gwage-ichodiiddina, adi nue-dummad-wilegodo!
MAT.18.8	“Degisoggu, ar be-argan, igi, be-nag-dibe, be-gwage-ichogega be-imak-dibe, bur be siked nabirid, begi-dikasur-meted be imake, ar bur-nabirsursi, dula gudigued nag-wargwen, igi, argan-wargwen-nika dula gudigued, bur argan-warbo be nikad, igi, mali-warbo be nikad, be soo-saila-geg-berguedse bur melleder. 
MAT.18.9	Ar be-ibya be-gwage-ichogega be-imak-dibe, bur ibya be onoge, begi-dikasur-meted be imake, ar bur-nabirsursi, ibya-gwagwen-nika dula gudigued, gwendi, ibya-gwabo-nika bur soo-saila-geg-berguedse melleder.”
MAT.18.10	Jesús sogdebar: “Nue be salakarmar, mer ibgwensur we-burwigana be dakmalo, ar napira an bemarga soged, ar nibneggi e-angermar an-Bab-nibneggi-maid-walik gudigumalad. 
MAT.18.11	Ar ani, Dule-Machi, an nonigu, dulemar-yoggus-gudimalad abonogega an nonikid.
MAT.18.12	“Bemar itogua, ar dule-wargwen dulatar-na-sibad-wawaad-nikad ei wargwen yoggusale, ¿ar dulabake-gakambe-gakabakebakad-obes nadsulir be insae, sibad-wawaad-wargwen-ei-yoggusad, sapurba aminaegar? Aminadele.
MAT.18.13	“Napira an bemarga soged, ar na amisale, we sibad-wawaad-wargwenadba bur-weligwar itosaled, sibad-wawaad-dulabake-gakambe-gakabakebak yoggussulidba. 
MAT.18.14	Degisoggu, be-Bab-nibneggi-maid, sibad-wawaadyob we-bipigana-wargwensaar ei yoggubisur abemaid.”
MAT.18.15	Jesús sogdebar: “Degisoggu, be-gwenad begi nosale, ese be nae, unnila bebo-apinni siidgi nue ega be soge, nue be angi nosye. Ar be-gwenad nabir be-itosale, na be-gwenad be-aiga gannar gunonikoed.
MAT.18.16	“Ar be-gwenad be-itosulile, dule-wargwen, igi, dule-warbo-dibe beba be nide, adi bela be-ibmar-sogoed, amar-wagab be sogegar.
MAT.18.17	“Ar amar-wagab be-gwenad be-itosulile, bela na Bab-Jesúsba-nanaimalad-danar-ambikunoni-damalad-abargi be ega ibmar soge, ar amar-abargi amba be-gwenad be-itosulile, dule-Bab-Dummad-wichurmaladyob be we-gwenad-daksunnoed, degine, Roma-dummadga-mani-gaedgi-arbamaladyob be we-dule-dakbaloed.
MAT.18.18	“Napira an bega soged, ar bela we napneggi be-ibmar-sogsadba galenonikile, nibneggi bela galenonimogoed, ar bela we-napneggi be-ibmar-sogsadba igar-egasale, nibneggi bela deyob igar-egalemogoed.
MAT.18.19	“Gannar an bemarga soged, ar bemar-warbo we-napneggi na be-emarbi-binsae Bab Dummadse ibmar egichidele, ar ibu be egisbimala, an-Bab-nibneggi-maid a-ibmar bemarga imakoed. 
MAT.18.20	Ar bia bemar-warbo, igi, warbaa an-nuggi ambikunonimalale, an bato bemar-abargi siid.”
MAT.18.21	Geb degi Pedro Jesússe walikaa gunonikid, ega sognonikid:
MAT.18.21	—Dummad, An-gwenad-angi-nosadga, ¿ilabigwa angi nossulidyob an dakoe? ¿Ilagugledsega?
MAT.18.22	Jesús abin-sogde:
MAT.18.22	—Unnila ilagugleye an bega sogsulid, an bega soged, dulapaagwad-gakambe-ilagugle be-gwenad begi nossulidyob be dakoed.
MAT.18.23	Jesús sogdebar: “A-ulale, Bab-Dummad-neg-dakmaiddi, ar rey-wargwen e-maimar-egi-mani-ganikid-ebo igar-nabirogega ese gocha-gusadyobdo. 
MAT.18.24	Wargwen-egi-mani-ganikid ese nonigu, dakleardo, talento-mili-ambe egi ganiki. 
MAT.18.25	Ar we-dule mani-satedsoggu, geg e-dummad bennuked. A-ular e-dummad ega sogdesun, ‘Be-ome, degi, be-mimmimar, degi, bela be-ibmar-nikad be manigi ukna, adi agi be an-bennukoed.’
MAT.18.26	“Dakargu, a-maide, yokorgi e-dummad-asabin sindigar sii, egi wilenagusad, ega sognagualid: ‘Dummad, mer doga-doga be an-imako. Bela an be-bennukoed.’ 
MAT.18.27	Ar we-mai-e-dummad, wile na e-mai-dakdegu, a e-maiga sogdesun: ‘Be angi bar mani ganisurdo.’
MAT.18.28	“Ar we-mai, e-dummad-walik-siid nodgu, dule-ebo-arbaed, egi denario-dulatar-mani-ganikid abingualid. A-dule gammuyagi gasgu, ega sogded: ‘Angi be-mani-ganikid, be an-bennuk.’
MAT.18.29	“Geb agi na-ebo-arbaed, egi wilenagusad, ega sogded: ‘Mer doga-doga be an-imak. Bela an be-bennukoed.’
MAT.18.30	“Ar we-dule-ebo-arbaed gwen itobi gussulid. Nade-gusad, eskaryase dule-egi-mani-ganikid-metedapid, bela-egi-mani-ganikid bela e-bennukedse. 
