GEN.1.1	Naãrãed̶a Ãcõrẽba bajãda idjab̶a naʌ̃ ẽjũãda osia. 
GEN.20.7	Jãʌ̃be idjira Abrahaʌ̃a jẽda diadua. Abrahaʌ̃ra mʌ̃neba bed̶eabaria. Idjia mʌ̃́a iwid̶ida b̶ʌa bʌ beurãmãrẽã. Baribʌrʌ bʌa jẽda diaẽ́bʌrʌ, bʌra bʌ ẽberãrã sid̶a ab̶ed̶a jũma quininia.–
GEN.20.8	Nurẽma diaped̶a Abimelera pirab̶ariped̶a idjiare dji droma b̶eara jũma trʌ̃sia. Maʌ̃be Ãcõrẽba jarad̶ara ãdjirãa jũma jarasia. Maʌ̃ bed̶ea ũrĩbʌdad̶e ãdjirãra bio dauperasid̶aa. 
GEN.20.9	Mãwãnacarea Abimeleba Abrahaʌ̃ra trʌ̃ped̶a jarasia:
GEN.20.9	–¡Bʌa mʌ̃ra, mʌ̃ druad̶ebemarã sid̶a Ãcõrẽ quĩrãpita bed̶ead̶e b̶ʌsia! Mʌ̃a bʌra biẽ́ oẽ́ basía. Baribʌrʌ bʌa mʌ̃ ume osia mĩã oiẽ́ b̶ʌda. 
GEN.20.10	Bʌa ¿cãrẽ crĩchad̶eba jãwã osi?–
GEN.20.11	Maʌ̃ne Abrahaʌ̃ba panusia:
GEN.20.11	–Mʌ̃a crĩchasia namabemarãba Ãcõrẽra wayad̶acada. Maʌ̃ bẽrã crĩchasia mʌ̃ra bead̶ida mʌ̃ quima edad̶i carea. 
GEN.20.12	Idjira wãrãda mʌ̃ djabawẽrãa mʌ̃ zeza cau bẽrã, baribʌrʌ mʌ̃ papa cauẽ́a. Maʌ̃ bẽrã mʌ̃a edasia. 
GEN.20.13	Ãcõrẽba mʌ̃ra mʌ̃ zeza diguid̶abemada ãyã wãbisid̶e mʌ̃a mʌ̃ quimaa nãwã jarasia: “Bʌa wãrãda mʌ̃da quĩrĩã b̶ʌbʌrʌ, dadji wãbʌdama ẽberãrãa jaradua mʌ̃ra bʌ djabada.”–
GEN.20.14	Maʌ̃be Abimeleba Abrahaʌ̃ quima Sarara jẽda diasia. Idjab̶a ovejada, pacada, nezoca umaquĩrãda, nezoca wẽrã sid̶a zocãrã diacuasia. 
GEN.20.15	Diacuaped̶a jarasia:
GEN.20.15	–Acʌdua, mʌ̃ druara b̶ʌa. Bʌdjia ẽjũã awuabʌrʌmaa b̶ad̶e wãdua.–
GEN.20.16	Maʌ̃ne Abimeleba Saraa jarasia:
GEN.20.16	–Mʌ̃a bʌ djabamanaa parata torroda mil diasia bʌ ume b̶eaba cawad̶amãrẽã bʌra daunemaẽ́ basida. Bʌra bed̶ead̶e b̶ʌẽ́a.–
GEN.20.17+GEN.20.18	Abimeleba Abrahaʌ̃ quima Sara edai basid̶e Ãcõrẽba wẽrãrã Abimele ded̶e panabadada idu b̶iogoabigaẽ́ basía. Maʌ̃ carea Abrahaʌ̃ba Ãcõrẽa iwid̶isia. Maʌ̃be Ãcõrẽba Abimele cacua biẽ́ b̶ad̶ada biabisia. Maʌ̃ awara dji quimada, nezocawẽrãrã sid̶a biabisia warra ununamãrẽã.
GEN.21.1	Mãwãnacarea Ãcõrẽba Sarara carebasia idjia wãrãneba jarad̶a quĩrãca. 
GEN.21.2	Abrahaʌ̃ra bio drõãda b̶ʌmĩna Sarara b̶iogoa b̶eped̶a Ãcõrẽba jarad̶a ewarid̶e warrada tosia.
GEN.21.3	Saraba warra tod̶ara Abrahaʌ̃ba trʌ̃ b̶ʌsia Isa.
GEN.21.4	Idji warra Isa ocho ewari b̶ʌd̶e Abrahaʌ̃ba Isa cacuara wẽãgosia Ãcõrẽba jara b̶ʌd̶a quĩrãca. 
GEN.21.5	Abrahaʌ̃ra cien poa b̶asia idji warra Isa tosid̶ad̶e. 
GEN.21.6	Maʌ̃ne Saraba crĩchasia: “Ãcõrẽba mʌ̃ra ipid̶abi b̶ʌa. Bariduaba mʌ̃ warra tod̶ad̶ebemada ũrĩnibʌrʌ mʌ̃ carea b̶ʌsrid̶aba ipid̶ad̶ia.” 
GEN.21.7	Idjab̶a jarasia: “Ni ab̶aʌba crĩchad̶aca basía mʌ̃ra warra toida. Abrahaʌ̃ra drõãda b̶ʌmĩna mʌ̃a idjía warrada to diasia.”
GEN.21.8	Ãdji warra Isara warisia. Ju amasid̶e Abrahaʌ̃ba b̶ʌsrid̶a ewari waib̶ʌada osia. 
GEN.21.9	Mama b̶asia Ismael, Egiptod̶ebema nezocawẽrã Agara warrada. Mãwã b̶ʌd̶e Saraba unusia Ismaelba idji warra Isara biẽ́ ipid̶a jara b̶ʌda.
GEN.21.10	Maʌ̃ carea Saraba Abrahaʌ̃a jarasia:
GEN.21.10	–Jãʌ̃ nezocawẽrãra, idji warra sid̶a jʌretadua. Bʌ beud̶acarea bʌa erob̶ʌd̶ebemara jãʌ̃ Ismaelba mʌ̃ warra ume edaiẽ́ b̶ʌa.–
GEN.21.11	Maʌ̃ bed̶ea ũrĩbʌrʌd̶e Abrahaʌ̃ra bio sopua b̶esia Ismael sid̶a idji warra bẽrã. 
GEN.21.12	Maʌ̃ carea Ãcõrẽba Abrahaʌ̃a jarasia:
GEN.21.12	–Bʌ warra Ismael carea, bʌ nezocawẽrã carea bid̶a sopuarãdua. Saraba jara b̶ʌra jũma odua, mʌ̃a warrarã diai jarad̶ara Isad̶ebabʌrʌ zed̶i bẽrã. 
GEN.21.13	Baribʌrʌ bʌ nezocawẽrã warrad̶eba mʌ̃a puru dromada yõbiya, idjira bʌ warra bẽrã.–
GEN.21.14	Nurẽma diaped̶ed̶a Abrahaʌ̃ra pirab̶arisia. Maʌ̃be baidoda animarã e od̶ad̶e tʌped̶a maʌ̃ baidora paʌ̃ sid̶a Agaraa diasia. Agara equiad̶e b̶ʌped̶a dji warra Ismael sid̶a diasia. Maʌ̃bebʌrʌ ãdjira wãbisia. Maʌ̃ wãbʌdad̶e baridua nĩbasid̶aa Beersebá ẽjũã ewaraga b̶ʌd̶e. 
GEN.21.15	Mãwã nĩnane ãdji baidora jõsia. Maʌ̃ carea Agaraba idji warrara bacuru zaque edrecare b̶eesia. 
GEN.21.16	Nãwã crĩchasia: “Mʌ̃a unu quĩrĩãẽ́ b̶ʌa mʌ̃ warrara beubʌrʌda.” Maʌ̃ bẽrã tʌmʌa arid̶e chũmane wãsia. Mama chũmʌne idji warrara jĩgua jĩã nũmesia.
GEN.21.17	Mãwã b̶ʌd̶e Ãcõrẽba dji warrara jĩã b̶ʌda ũrĩsia. Maʌ̃ne bajãneba Ãcõrẽ nezocaba Agarada trʌ̃ jarasia:
GEN.21.17	–Agara, ¿sãwãsi? Wayarãdua. Ãcõrẽba bʌ warra jĩã b̶ʌda ũrĩ b̶ʌa. 
GEN.21.18	Piradrʌdua. Bʌ warrara piradrʌ edaped̶a sobiabidua. Mʌ̃a idjid̶eba puru dromada yõbiya.–
GEN.21.19	Maʌ̃be Ãcõrẽba Agaraa unubisia egorod̶eba baidoda ʌ̃taa bogadrʌ nũmʌda. Ara maʌ̃da wãped̶a animarã e od̶ara bira tʌ edasia. Maʌ̃be Ismaelea dawasia.
GEN.21.20	Ãcõrẽba Ismaelera carebabadjia. Maʌ̃ba Ismaelera wariped̶a bio cha drʌ cawa b̶esia idjab̶a ẽjũã põãsa ewaraga b̶ʌd̶e b̶abadjia. 
GEN.21.21	Maʌ̃ ẽjũãra Paraʌ̃ abadjid̶aa. Mãwã b̶ʌd̶e dji papaba Egiptod̶ebema wẽrãda diasia idji quima bamãrẽã.
GEN.21.22	Maʌ̃ ewarid̶e Abimelera idji djõbadarã boro Picol ume wãsia Abrahaʌ̃ ume bed̶ead̶e. Abimeleba Abrahaʌ̃a jarasia:
GEN.21.22	–Bʌa ne jũma obʌrʌza Ãcõrẽba bʌra carebabaria. 
GEN.21.23	Maʌ̃ carea mʌ̃a quĩrĩã b̶ʌa bʌa Ãcõrẽ quĩrãpita wãrãneba jaraida bʌa mʌ̃ra, mʌ̃ warrarãra, ãdjirãneba yõbʌdarã sid̶a cũrũgaẽ́da. Bʌra drua ãĩbemamĩna mʌ̃a bʌra bia o b̶ʌa. Maʌ̃ bẽrã wãrãneba jaradua bʌa bid̶a mʌ̃ra idjab̶a mʌ̃ druad̶ebemarã sid̶a bia o b̶aida.–
GEN.21.24	Abrahaʌ̃ba panusia:
GEN.21.24	–Mʌ̃a wãrãneba jaraya bãrãra bia o b̶aida.–
GEN.21.25	Maʌ̃ ewarid̶e Abrahaʌ̃ba baido juebada uriada coro erob̶asia. Baribʌrʌ maʌ̃gʌra Abimele nezocarãba jãrĩsid̶aa. Maʌ̃nebemada Abrahaʌ̃ba Abimelea jarasia. 
GEN.21.26	Maʌ̃ne Abimeleba panusia:
GEN.21.26	–Mʌ̃a adua b̶ʌa caiba mãwã osida. Id̶ibe mʌ̃a maʌ̃nebemada ũrĩbʌrʌa, bʌa mʌ̃́a jaraẽ́ b̶ad̶a bẽrã.–
GEN.21.27	Maʌ̃ ewarid̶e ãdji umérãba bed̶ea b̶ʌsid̶aa. Maʌ̃ne Abrahaʌ̃ba ovejada, paca sid̶a zocãrã eneped̶a Abimelea diasia. 
GEN.21.28	Maʌ̃be oveja wẽrãda siete awara b̶ʌsia. 
GEN.21.29	Maʌ̃ carea Abimeleba Abrahaʌ̃a iwid̶isia:
GEN.21.29	–¿Cãrẽ cãrẽã za panʌ oveja wẽrãra siete awara b̶ʌsi?–
GEN.21.30	Abrahaʌ̃ba panusia:
GEN.21.30	–Naʌ̃ siete oveja mʌ̃a diabʌrʌda bʌa edaibʌrʌ, cawabiya mʌ̃abʌrʌ maʌ̃ baido juebada uriara corosida.–
GEN.21.31	Umérãba bed̶ea b̶ʌped̶ad̶a bẽrã maʌ̃ baido juebada uria trʌ̃ra Beersebá b̶esia.
GEN.21.32	Beersebád̶e bed̶ea b̶ʌped̶ad̶acarea Abimelera idji djõbadarã boro Picol ume jẽda wãsid̶aa ãdji panabadamaa pilisteorã druad̶e. 
GEN.21.33	Maʌ̃be Beersebád̶e Abrahaʌ̃ba tamarisco bacuruda u b̶ʌsia. Mama Ãcõrẽ beucaa ewari iwid̶isia. 
GEN.21.34	Abrahaʌ̃ra pilisteorã druad̶e dãrã b̶esia.
GEN.22.1	Mãwãnacarea Ãcõrẽba nãwã osia Abrahaʌ̃ba wãrãda ĩjã b̶ʌ cawaya. Idjia Abrahaʌ̃ra trʌ̃ jarasia:
GEN.22.1	–¡Abrahaʌ̃!–
GEN.22.1	Abrahaʌ̃ba panusia:
GEN.22.1	–¡Mʌ̃ra nama b̶ʌa!–
GEN.22.2	Maʌ̃ne Ãcõrẽba jarasia:
GEN.22.2	–Bʌ warra Isa ab̶abe quiruda bio quĩrĩã erob̶ʌda edaped̶a wãdua Moria druad̶aa. Mama mʌ̃a bʌ́a eyada jaradiaya. Maʌ̃ eyad̶e bʌa Isara mʌ̃́a babue diadua.–
GEN.22.3	Ara maʌ̃da Abrahaʌ̃ra diaped̶ed̶a pirab̶ariped̶a idjia edeida b̶ʌra burro ʌ̃rʌ̃ jʌ̃cuasia. Tʌbʌda b̶ʌasia idji warrara Ãcõrẽa babue diai carea. Maʌ̃be idji warra Isara, nezocarã sid̶a umé edesia Ãcõrẽba jarad̶a eyad̶aa.
GEN.22.4	Ewari ũbea babʌrʌd̶e Abrahaʌ̃ba dji eyara tʌmʌba unusia. 
GEN.22.5	Maʌ̃ne idji nezocarãa jarasia:
GEN.22.5	–Nama panenadua. Burro sid̶a eropanenadua. Mʌ̃ra mʌ̃ warra ume awuá nocod̶aa wãnia Ãcõrẽa bia bed̶ead̶i carea. Mãwãnacarea bãrãmaa waya zed̶ia.–
GEN.22.6	Maʌ̃be Abrahaʌ̃ba dji tʌbʌra edaped̶a idji warra Isa equiad̶e cob̶ʌsia. Necoda, tʌbʌdau sid̶a edasia. Maʌ̃be umena ãbaa wãsid̶aa Ãcõrẽa ne babue diad̶i carea. 
GEN.22.7	Wãbʌdad̶e Isaba Abrahaʌ̃a jarasia:
GEN.22.7	–¡Zeza!–
GEN.22.7	Abrahaʌ̃ba panusia:
GEN.22.7	–¿Cãrẽ, warra?–
GEN.22.7	Isaba iwid̶isia:
GEN.22.7	–Nama dadjia tʌbʌda, tʌbʌdau sid̶a eropanʌa baribʌrʌ ¿sãma b̶ʌ oveja zaque Ãcõrẽa babue diad̶ira?–
GEN.22.8	Abrahaʌ̃ba panusia:
GEN.22.8	–Warra, Ãcõrẽbʌrʌ oveja zaquera diaya babue diad̶i carea.–
GEN.22.8	Maʌ̃be nocod̶aa wãsid̶aa. 
GEN.22.9	Ãcõrẽba jarad̶a eyad̶e jũẽnaped̶a Abrahaʌ̃ba mõgarada pã buesia Ãcõrẽa babue diabadada oi carea. Maʌ̃ ʌ̃rʌ̃ tʌbʌra cajẽrãped̶a idji warra Isara cabʌrá jʌ̃ped̶a tʌbʌ ʌ̃rʌ̃ cob̶ʌsia. 
GEN.22.10	Maʌ̃be Abrahaʌ̃ba necora jʌwad̶e edasia idji warra beai carea. 
GEN.22.11	Baribʌrʌ Ãcõrẽ nezocaba bajãneba trʌ̃ jarasia:
GEN.22.11	–¡Abrahaʌ̃, Abrahaʌ̃!–
GEN.22.11	Abrahaʌ̃ba panusia:
GEN.22.11	–Mʌ̃ra nama b̶ʌa.–
GEN.22.12	Maʌ̃ne bajãnebema nezocaba jarasia:
GEN.22.12	–Bʌ warrara bearãdua. Idjira ni maãrĩ biẽ́ orãdua. Bʌa id̶ibʌrʌ mʌ̃́a cawabisia bʌa Ãcõrẽra wãrãda waya b̶ʌda, bʌ warra ab̶abe quiruda Ãcõrẽa wãgaẽ́ diai bad̶a bẽrã.–
GEN.22.13	Abrahaʌ̃ba jẽda acʌbʌrʌd̶e oveja umaquĩrãda unusia. Maʌ̃ oveja cachura bacuru zaque jʌwated̶e jũẽ nũmasia. Ara maʌ̃da Abrahaʌ̃ra wãped̶a maʌ̃ ovejara jidasia. Maʌ̃drʌ Ãcõrẽa babue diasia idji warra cacuabari. 
GEN.22.14	Maʌ̃ carea Abrahaʌ̃ba dji eyara trʌ̃ b̶ʌsia “Ãcõrẽba diabaria.” Maʌ̃ bẽrã hebreorãba wad̶ibid̶a jarabadaa: “Ãcõrẽba idji eyad̶e diabaria.”
GEN.22.15	Maʌ̃ne Ãcõrẽ nezocaba wayacusa bajãneba Abrahaʌ̃ra trʌ̃ jarasia. 
GEN.22.16+GEN.22.17	Nãwã jarasia:
GEN.22.16+GEN.22.17	–Ãcõrẽba nãwã jara b̶ʌa: “Bʌ warra ab̶abe quiruda wãgaẽ́ diai bad̶a bẽrã, ara mʌ̃dji trʌ̃neba mʌ̃a wãrãneba jarabʌrʌa bʌra careba b̶aida. Mʌ̃a bʌd̶eba zocãrã yõbiya chĩdau zocãrã panʌ quĩrãca, pusa icawa ĩbʌ pichi zocãrã baraa quĩrãca. Maʌ̃ awara bʌd̶eba yõbʌdaba ãdji dji quĩrũ puru b̶eara jãrĩnia. 
GEN.22.18	Bʌa mʌ̃ bed̶eara ĩjã od̶a bẽrã mʌ̃a bʌd̶eba yõbʌrʌd̶eba naʌ̃ ẽjũãne b̶ea purura jũma carebaya.”–
GEN.22.19	Mãwãnacarea Abrahaʌ̃ra jẽda wãsia idji nezocarã amenamaa. Mamaʌba ãbaa wãsid̶aa Beersebád̶aa. Mama Abrahaʌ̃ra b̶esia.
GEN.22.20	Mãwãnacarea Abrahaʌ̃ba ũrĩsia idji djaba Nacoba dji quima Milca ume warrarãda unusid̶ada. 
GEN.22.21	Dji nabema warrara Uz abadjid̶aa. Maʌ̃are dji djaba Buzuda b̶asia. Buzuare Quemuelda b̶asia. Quemuelera Araʌ̃ zeza basía. 
GEN.22.22	Idjab̶a Milcaba tosia Queseda, Hazoda, Pildáda, Jidlada, Betuel sid̶a. 
GEN.22.23	Betuelera Rebeca zeza basía. Milcaba maʌ̃ ocho warrarãra Abrahaʌ̃ djaba Nacoa to diasia. 
GEN.22.24	Nacoba dewara wẽrãda Reuma abadada erob̶asia. Reumaba tosia Tebada, Gahaʌ̃da, Tahada, Maacá sid̶a.
GEN.23.1	Abrahaʌ̃ quima Sarara 127 poa b̶asia. 
GEN.23.2	Maʌ̃ne Arbá purud̶e Canaaʌ̃ druad̶e jaid̶asia. Arbá purura idjab̶a Hebroʌ̃ abadaa. Abrahaʌ̃ra Sara carea jĩã b̶ʌba sopua ewarira wagasia.
GEN.23.3	Mãwã b̶ʌd̶e Abrahaʌ̃ra idji quima jaid̶ad̶amaʌba hititarãmaa bed̶ead̶e wãsia. Ãdjirãa nãwã jarasia:
GEN.23.4	–Mʌ̃ra drua ãĩbema bẽrã bãrã tãẽna ẽjũã neẽ́ b̶ʌa. Mʌ̃a quĩrĩã b̶ʌa bãrãba mʌ̃́a ẽjũãda nẽdobued̶ida mʌ̃ quima tʌb̶ari carea.–
GEN.23.5	Maʌ̃ne hititarãba Abrahaʌ̃a panusid̶aa:
GEN.23.6	–Dai boro, ũrĩdua dai bed̶eara. Ãcõrẽba bʌra dairã tãẽna dji dromada b̶ʌsia. Maʌ̃ bẽrã bʌ quimara tʌb̶aridua daiba coro eropanʌ uria dji biara b̶ʌd̶e. Dairãba wãgad̶aẽ́a.–
GEN.23.7	Maʌ̃ne Abrahaʌ̃ra ʌ̃ta nũmeped̶a quĩrã ed̶aa b̶arrusia hititarã quĩrãpita bia quiruad̶a ai carea. 
GEN.23.8	Maʌ̃be jarasia:
GEN.23.8	–Bãrãmaa mʌ̃ quimara nama tʌb̶arida wãrãda bia b̶ʌbʌrʌ, mʌ̃ djuburia Zohar warra Eproʌ̃ ume bed̶ead̶adua. 
GEN.23.9	Iwid̶id̶adua bẽwãrã joubada uria Macpela abadara mʌ̃́a nẽdobuemãrẽã. Maʌ̃ uriara idji ẽjũã icawa b̶ʌa. Maʌ̃ uria carea mʌ̃a diaya idjia iwid̶ibʌrʌ quĩrãca. Mãwãra naʌ̃ druad̶e ẽjũãda erob̶aya mʌ̃ ẽberãrã tʌb̶ari carea.–
GEN.23.10	Maʌ̃ Eproʌ̃ra hitita basía. Idjira arima chũmasia. Maʌ̃ne idji ẽberãrã quĩrãpita, purud̶e ed̶a wãbʌdarã quĩrãpita bid̶a idjia Abrahaʌ̃a nãwã jĩgua jarasia:
GEN.23.11	–Mãwãẽ́a, mʌ̃ boro, ũrĩdua. Mʌ̃ ẽberãrã quĩrãpita mʌ̃a maʌ̃ ẽjũãra dji uria sid̶a bari diaya bʌ quima tʌb̶arimãrẽã.–
GEN.23.12	Maʌ̃ne Abrahaʌ̃ra hititarã quĩrãpita waya quĩrã ed̶aa b̶arrusia. 
GEN.23.13	B̸arruped̶a jũmarã quĩrãpita Eproʌ̃a nãwã jĩgua jarasia:
GEN.23.13	–Mʌ̃ quĩrã djuburia waya ũrĩdua. Dji ẽjũãbari bʌa parata iwid̶ibʌrʌ quĩrãca mʌ̃a diaya. Mʌ̃a jara b̶ʌra ĩjãdua. Mãwãbʌrʌ mʌ̃ quimara maʌ̃ ẽjũãne tʌb̶ariya.–
GEN.23.14	Eproʌ̃ba panusia:
GEN.23.15	–Mʌ̃ boro, ũrĩdua. Dji ẽjũãra nẽdobueida b̶ʌa cuatrociento parata torrobari, baribʌrʌ ¿dadjimaarã maʌ̃da parataca? Bʌ quimara tʌb̶aridua.–
GEN.23.16	Eproʌ̃ba jarad̶ara Abrahaʌ̃ba bia ũrĩsia. Ara maʌ̃da hititarã quĩrãpita cuatrociento parata torroda juachaped̶a Eproʌ̃a jũma daucha diasia. 
GEN.23.17+GEN.23.18	Maʌ̃ juachad̶ara hititarãba, purud̶e ed̶a wãbʌdarã bid̶a unusid̶aa. Mãwã cawasid̶aa Abrahaʌ̃ba Eproʌ̃ ẽjũã Macpela abadara nẽdosida. Maʌ̃ ẽjũãra Mamred̶eba ʌ̃mãdau odjabariare b̶ʌa. Abrahaʌ̃ba nẽdosia dji ẽjũãra, dji joubada uriara, bacuru dji ẽjũãne b̶ea sid̶a.
GEN.23.19	Mãwãnacarea Abrahaʌ̃ba idji quima Sarara idjia nẽdod̶a uriad̶e tʌb̶arisia. Maʌ̃ uriara ẽjũã Macpela abadad̶e b̶ʌa. Maʌ̃ ẽjũãra Mamred̶eba ʌ̃mãdau odjabariare b̶ʌa. Mamrera idjab̶a Hebroʌ̃ abadaa. Hebroʌ̃ra Canaaʌ̃ druad̶e b̶ʌa. 
GEN.23.20	Mãwã Macpela ẽjũã, dji uria sid̶a hititarãne bad̶ada Abrahaʌ̃ba jũma edasia.
GEN.24.1	Abrahaʌ̃ra bio drõãda b̶asia idjab̶a Ãcõrẽba idjira ne jũmane careba b̶asia. 
GEN.24.2	Ewari ab̶a Abrahaʌ̃ba idji nezoca dji dromada trʌ̃sia. Abrahaʌ̃ba ne erob̶ʌra maʌ̃ nezocaba jũma wagabadjia. Abrahaʌ̃ba idjía jarasia:
GEN.24.2	–Bʌ jʌwara mʌ̃ b̶acara edre b̶ʌdua mʌ̃́a wãrãneba jarai carea. 
GEN.24.3	Maʌ̃be bajãne idjab̶a naʌ̃ ẽjũãne b̶ʌ Ãcõrẽ quĩrãpita mʌ̃́a jaradua bʌa mʌ̃ warra itea naʌ̃ Canaaʌ̃ druad̶ebema wẽrãda jʌrʌẽ́da. 
GEN.24.4	Ãtebʌrʌ wãdua mʌ̃ b̶ad̶a druad̶aa mʌ̃ ẽberãrãmaa. Wãrãneba jaradua mamabema wẽrãda mʌ̃ warra Isa itea eneida.–
GEN.24.5	Maʌ̃ne dji nezocaba panusia:
GEN.24.5	–Baribʌrʌ dji wẽrãda mʌ̃ ume naʌ̃ druad̶aa ze quĩrĩãẽ́bʌrʌ ¿mʌ̃a bʌ warrara bʌ b̶ad̶a druad̶aa edeica?–
GEN.24.6	Abrahaʌ̃ba panusia:
GEN.24.6	–¡Mʌ̃ warrara jãmaa ederãdua! 
GEN.24.7	Ãcõrẽ bajãne b̶ʌba mʌ̃ra nama enesia mʌ̃ zeza ded̶ebemada, mʌ̃ ẽberãrã druad̶ebemada. Ãcõrẽba mʌ̃́a wãrãneba jarasia idjia mʌ̃ warrarãa naʌ̃gʌ druada diaida. Ara maʌ̃ Ãcõrẽba idji bajãnebema nezocada bʌ na diabueya bʌa mʌ̃ warra itea mamabema wẽrãda enemãrẽã. 
GEN.24.8	Dji wẽrãda bʌ ume ze quĩrĩãẽ́bʌrʌ, bʌra naʌ̃ wãrãneba jarad̶ad̶ebemada ẽdrʌya. Baribʌrʌ mʌ̃ warrara jãmaa ederãdua.–
GEN.24.9	Ara maʌ̃da dji nezocaba idji jʌwara Abrahaʌ̃ b̶acara edre b̶ʌsia. Maʌ̃ne wãrãneba jarasia Abrahaʌ̃ba jarad̶ara idjia oida. 
GEN.24.10	Maʌ̃be dji nezocaba Abrahaʌ̃ nebiad̶ebemada quĩrãtanoa pesia dji wẽrã ẽberãrãa diai carea. Idjab̶a Abrahaʌ̃ cameyoda die edaped̶a Naco purud̶aa wãsia Mesopotamia druad̶e.
GEN.24.11	Wãbʌrʌd̶e Naco puru caita baido juebada uria corod̶ama jũẽne wãsia. Quewara jũẽna bẽrã dji nezocaba cameyora ʌ̃nãũnamãrẽã egode chũmebigasia. Maʌ̃ne wẽrãrãra baido jued̶e zesesid̶aa ãdjia ewariza obada quĩrãca. 
GEN.24.12	Mãwã b̶ʌd̶e dji nezocaba Ãcõrẽa jarasia:
GEN.24.12	–Mʌ̃ Ãcõrẽ, mʌ̃ boro Abrahaʌ̃ Ãcõrẽ, mʌ̃a bʌ́a bed̶ea djuburiaya nane bʌa quĩrĩãneba mʌ̃ boro Abrahaʌ̃ra quĩrã djuburiamãrẽã idjab̶a mʌ̃ sid̶a carebamãrẽã. 
GEN.24.13	Mʌ̃ra naʌ̃ baidoma b̶ʌa. Naʌ̃ purud̶ebema awẽrãra namaa baido jued̶e zebadaa. 
GEN.24.14	Mʌ̃a ab̶aʌ awẽrãa jaraya: “Mʌ̃ quĩrã djuburia bʌ zocora egode b̶ʌped̶a mʌ̃́a baidoda diadua.” Maʌ̃ne dji awẽrãba mʌ̃́a doduad̶a aibʌrʌ, idjab̶a bʌ cameyoa bid̶a baidora diayad̶a aibʌrʌ, mʌ̃a cawaya bʌa maʌ̃ awẽrãra bʌ nezoca Isa itea erob̶ʌda. Mãwãbʌrʌ mʌ̃a cawaya bʌa mʌ̃ borora quĩrĩãneba careba b̶ʌda.–
GEN.24.15	Wad̶i Ãcõrẽa iwid̶i b̶ʌd̶e unusia awẽrãda zebʌrʌda. Idjia zocoda equiad̶e erob̶asia. Maʌ̃ awẽrãra Rebeca abadjid̶aa. Idjira Betuel cau basía. Betuelera Abrahaʌ̃ djaba Naco warra basía. Betuel papara Milca basía. 
GEN.24.16	Rebecara bio quĩrãwãrẽã b̶asia idjab̶a wad̶i umaquĩrã adua b̶asia. Idjira baido juebada uriama jũẽsia. Maʌ̃be idji zocod̶e baidora tʌped̶a diguid̶aa wãbʌrʌ basía. 
GEN.24.17	Maʌ̃ne Abrahaʌ̃ nezocara Rebecamaa pira wãped̶a jarasia:
GEN.24.17	–Mʌ̃ quĩrã djuburia, bʌ zocod̶ebema baidoda mʌ̃́a maãrĩ diadua.–
GEN.24.18	Maʌ̃ne Rebecaba jarasia:
GEN.24.18	–Dodua, mʌ̃ boro.–
GEN.24.18	Ara maʌ̃da idji zocora ed̶a edaped̶a idji jʌwad̶e erob̶ʌd̶e Abrahaʌ̃ nezocaa dobisia. 
GEN.24.19	Dobid̶acarea jarasia:
GEN.24.19	–Bʌ cameyo itea bid̶a mʌ̃a baidoda jueya ãdjia do quĩrĩãbʌda quĩrãca dod̶amãrẽã.–
GEN.24.20	Ara maʌ̃da baido idji zocod̶e b̶ʌra animarãba dobadad̶e weasia. Weaped̶a b̶arima zocãrã baidora juesia jũmarã cameyoba dod̶amãrẽã. 
GEN.24.21	Mãwã jue b̶ʌd̶e Abrahaʌ̃ nezocaba chupea acʌ b̶esia Ãcõrẽba maʌ̃ awẽrãra Isa itea wãrãda erob̶ʌ cawaya.
GEN.24.22	Cameyo baido doped̶ad̶acarea dji nezocaba Rebecaa pĩrũ oro od̶a bio nẽbʌa b̶ʌda quẽbʌd̶e jʌ̃mãrẽã diasia. Idjab̶a mania oro od̶a nẽbʌa b̶eada bio zʌgʌa b̶eada umé diasia. 
GEN.24.23	Maʌ̃ne iwid̶isia:
GEN.24.23	–¿Bʌra cai cau? Mʌ̃ djuburia jaradua, ¿bʌ zeza dera bari b̶ʌca dai cãĩni carea?–
GEN.24.24	Rebecaba panusia:
GEN.24.24	–Mʌ̃ra Betuel caua. Betuelera Naco warraa. Idji papara Milcaa. 
GEN.24.25	Dai dera bari b̶ʌa bãrã cãĩnamãrẽã, idjab̶a bʌ cameyoba cod̶amãrẽã baraa.–
GEN.24.26	Maʌ̃ carea dji nezocara chĩrãborod̶e cob̶eped̶a Ãcõrẽa bia bed̶easia. 
GEN.24.27	Nãwã jarasia:
GEN.24.27	–Bia quirua Ãcõrẽ, mʌ̃ boro Abrahaʌ̃ Ãcõrẽ. Bʌa mʌ̃ boro Abrahaʌ̃ra quĩrã djuburiad̶eba wãrãda careba b̶ʌa. Mʌ̃ra od̶e jipa enesia idji ẽberãrãmaa.–
GEN.24.28	Maʌ̃ne Rebecara dji papa diguid̶aa pira wãsia. Jũẽped̶a Abrahaʌ̃ nezocaba jarad̶ara jũma nẽbʌrʌsia. 
