MAT.1.1	Atzin te lu'n atzin tajlal t-xe'chil Jesucrist, a tzajnin ti'j qtzan David ex ti'j qtzan Abraham:
LUK.1.14	Okx ktzalajilxa ti'j, ex nya o'kxa; qu'n nimx txqantl ktzalajil ti'j, aj tul itz'je. 
LUK.1.15	Qu'n nimx k-ajb'ila tk'wala te Dios. Nya tx'ujtinel,
LUK.1.16	Nimx aj Judiy k'wel kyb'inchin kyten twutz Dios tu'n. 
LUK.1.17	A k'wel nej twutzjo Kolil tuk'a nim tipin ex tuk'a Xewb'aj Xjan, tze'nkuj Elías, a yolil Tyol Dios ojtxe, tu'n tkub' kyxmoxin manb'aj kyib' kyuk'a k'walb'aj, ex ikyqex k'walb'aj kyuk'a manb'aj;
LUK.1.18	Xi tq'ma'n Zakariy te angel: ¿Ti'n ktzajil tq'o'n we'y tu'n t-xi niminji'y tyola? Qu'n noq ta'ẍqinla ex ikyx nxu'jilji'y, ¿Exsin tu'n tul jun nk'wala ja'lin?
LUK.1.19	Xi ttzaq'win angel te: ¡Ayi'n Gabriel! Nchin ajb'i'n te Dios.
LUK.1.20	Me tu'n mina xi tniminjiy a xi nq'ma'n tey, mina b'antl tyoli'n ja'lin, tzmaxi ajxi tjapin tq'ijjo, a ma txi nq'ma'n tey.
LUK.1.21	Me ayetzi'n jni' xjal nchi b'aj na'ntaq Dios pe'n otaq chi b'aj jaw qanlaj kyxolile, qu'n tu'n nq'altex n-etztaq Zakariy toj ja te na'b'l Dios. 
LUK.1.22	Atzaj te' tetz, mix b'antil tyolin kyuk'a jni' xjal, noq tq'ob'qe i xi tyekin, tu'n tyek'inte jun ti'. Tu'ntzi'n ikyjo, b'e'x el kyniky'jo jni' xjal te, qa attaq jun otaq tli, qu'n kukx xa'ye mix b'antil tyolin.
LUK.1.23	Te' kyjapin b'ajjo q'ij tu'n taq'nin tojjo nim ja te na'b'l Dios, b'e'x aj tja.
LUK.1.24	Tb'ajlinxi' ikyjo, n-okku tz'aq taljo t-xu'jil. Te' tok tz'aq tal, ex jwe' xjaw mix etz b'ete toj tja, ex tq'ma: 
LUK.1.25	Ma q'aq'in tk'u'j Dios wi'ja ja'lin, tu'n mina chi yolb'ine xjal wi'ja, tu'n nti'x jun wala otaq tzul, chi Lisabetjo.
LUK.1.26	Tb'ajlinxi' qaq xjaw toklin tz'aq tal Lisabet, te' t-xi tchq'o'n Dios angel Gabriel tzma Nazaret, jun tnam toj tx'otx' te Galiley, 
LUK.1.27	tu'n t-xi' yolil tuk'a jun txin, a na'mtaq tlonte jun ichin. Atzin txin, Mariy tb'i.
LUK.1.28	Te' tkanin Gabriel, xi tq'ma'n te' txin: Ma chin tzaja q'olb'il tey, Mariy. Ax Dios tuk'iy ex ky'iwlinxixa tu'n.
LUK.1.29	Te' tb'inte tyol angel ikyjo, noq el kyim tu'n, exsin kub' tb'isin tiqu'nil xi tq'ma'n angeljo te ikyjo.
LUK.1.30	Xi tq'ma'n angel te: Mina ja xob'a Mariy. Ntzalaj Dios ti'ja, 
LUK.1.31	ex k-okil tz'aq jun tala ja'lin. Ex ajtzin tul itz'je, k-okil tq'o'n tb'i Jesús.
LUK.1.32	Tb'anil ichinx ex k-okil q'o'n tb'i te Tk'waljo Dios nimx toklin. Ex ax Dios k-okil q'onte te kawil, tze'nku qtzan t-xe'chil, a David, 
LUK.1.33	tu'n tkawin kyib'aj aj Judiy te jun majx, qu'n a tkawb'il nlay b'ajx.
LUK.1.34	Xi ttzaq'win Mariy te angel: ¿Tze'n tten tu'n tok tz'aq wala, ex b'ajxi chin kub' kẍeyiy tuk'a jun ichin? chi'.
LUK.1.35	Xi tq'ma'n angel te: A t-xlekemil Xewb'aj Xjan k'wel tib'aja tze'n t-xlekemil muj, ex noq tu'n tipin Dios, a nimxix toklin, k-okil tz'aq tala. Tu'ntzi'n ikyjo, a tala tzul itz'je xjanxix ex k-okil tb'i te Tk'wal Dios. 
LUK.1.36	Ex ikyxjo t-xjalila Lisabet, nti'taql b'isin tu'n, tu'n tul jun tal, qu'n noq tijl. Me atzin ja'lin, tzul itz'je jun tal, qu'n o b'ant qaq xjaw toklin tz'aq, 
LUK.1.37	qu'n nti'x te Dios nlayit b'ant tu'n.
LUK.1.38	Xi tq'ma'n Mariy: Noq b'i'nku we wu'n tze'n taj Dios wuk'iy. Qa ikyjo tze'n ma tq'may, b'a'nla.
LUK.1.38	Ex b'e'x xi' angel.
LUK.1.39	Tb'ajlinxi' ikyjo, xi tajqelin Mariy tib', tu'n t-xi' toj jun tnam attaq txol wutz te Judey. 
LUK.1.40	Te' tkanin, okx toj tja Zakariy, ex q'olb'in te Lisabet. 
LUK.1.41+LUK.1.42	Te' tb'i'nte Lisabet te' tq'olb'in Mariy te, atzi'n tal b'e'x jaw yekj toj tk'u'j. Ex nojnin tanmin Lisabet tu'n Xewb'aj Xjan, ex xi tq'ma'n kuj wen te Mariy: A te ky'iwlinxix kyxol jni' qya twutz tx'otx', ex ikyxjo tala tzul itz'je. 
LUK.1.43	Ex atzin we noq jun tal qyaqinxi'y, ¿Exsin tu'n wul q'olb'aja tu'n tnana Klol we'y? 
LUK.1.44	Qu'n noqx te' xq'olb'in we'y, b'e'x xjaw yekjo wala tu'n tzaljb'il toj nk'u'ja. 
LUK.1.45	Ky'iwlinxix te, tu'n xi tnimi'n qa tu'n tb'ajjo jni' saj tq'ma'n Dios, a tAjaw Tkyaqil, tey.
LUK.1.46	Tq'ma Mariy:
LUK.1.46	Kjawil nnimsi'n tuk'a tkyaqil wanmi'n tb'i wAjawa.
LUK.1.47	Ex tzunx ntzalajx wanmi'n ti'j Dios, a Klol we'y.
LUK.1.48	Nti'xtaq wokli'n, me atzi'n ja'lin, ma chin tzaj tka'yi'n Dios.
LUK.1.48	O'kqinxa nimxix wokli'n kyxoljo jni' xjal ja'lin.
LUK.1.49	Qu'n a Dios nimxix toklin, tb'anilx ma tzaj tq'o'n we'y. Xjanxixjo tb'i.
LUK.1.50	Atx te Dios tq'aq'b'il tk'u'j kyi'jjo nchi kub' niminte.
LUK.1.51	Tuk'a tkyaqil tipin, nchi el ti'n nimsil kyib' toj kytx'ixew, ex n-ok tyupi'n kyb'is.
LUK.1.52	N-el ti'n kyoklin nmaq kawil,
LUK.1.52	ex nxi tq'o'n kye a nti' kyoklin.
LUK.1.53	Ayetzi'n at wa'yaj kyi'j, nxi tq'o'n kywa.
LUK.1.53	Ex n-el ti'n kye' a noqx nb'aj kyyajin.
LUK.1.54	Mi ẍi el najjo aj Judiy toj tk'u'j.
LUK.1.54	Ma chi tzaj tmojin tuk'a tq'aq'b'il tk'u'j.
LUK.1.55	Ikytzin tq'ma ojtxe kye qtzan qyajil Abraham ex kye txqantl kchi ul itz'je.
LUK.1.56	Kyij Mariy oxe xjaw tja Lisabet. Te' kyb'ajjo oxe xjaw, b'e'x aj tja.
LUK.1.57	Te' tjapin q'ij tu'n tkub' tz'aq Lisabet, ul jun kyal q'a. 
LUK.1.58	Te' tok kyb'i'n jni' t-xjalil, ex jni' xjal, a at ite'ke te, i xta'j q'olb'ilte, qu'n otaq q'aq'in tk'u'j Dios ti'j.
LUK.1.59	Te' tb'aj wajxaq q'ij tulin itz'je, ul aq'b'aj techiljo q'a,
LUK.1.60	Me mix ttziye tnana, qu'n Juan tb'i k-okilch.
LUK.1.61	Xi kyq'ma'n xjal te: ¿Tiqu'n ikyjo? ¿Ma attzin jun kye' iky tb'i? chi chi'.
LUK.1.62	Xi kyqanin noq tuk'a techil te ttata ti'taq tb'i tu'n tok. 
LUK.1.63	Xi tqanin ttata jun tz'lan, ja' tu'n tkub' tz'ib'ite tb'i. Atzaj te' tzaj ttzyu'n, kub' ttz'ib'in, Juan tb'i. Te' tok kyb'i'n jni' xjal ikyjo, jotx b'e'x i b'aj jaw ka'ylaj.
LUK.1.64	Ex tb'ajlinxi' ikyjo, b'e'x b'antl tyolin Zakariy, exsin ok ten nimsil tb'i Dios.
LUK.1.65	Jotxjo jni' xjal antza, junx kyuk'a tkyaqiljo najleqe tojjo jni' najb'il kyxol wutz te Judey, i b'aj jaw ka'ylaj ti'jjo jni' otaq b'aj. 
LUK.1.66	Tkyaqilxjo jni' otaq b'aj b'inte ikyjo, b'aj jaw yolin toj kyanmin ex kyq'ma: ¿Titzila kb'antil tu'n k'wal? Qu'n nimx toklin ma tzaj tq'o'n Dios, a tAjaw Tkyaqil.
LUK.1.67	Zakariy, a ttata ne'ẍ, noj tanmin tu'n Xewb'aj Xjan, ex ok ten yolil tu'n, ex chi' kyjalu'n:
LUK.1.68	Ky'iwlinxixjo tb'i Dios te Israel, a tAjaw Tkyaqil,
LUK.1.68	qu'n ma tzul klol te' Ttanim.
LUK.1.69	Ma tzaj tq'o'n jun Klolqe, a nimx toklin,
LUK.1.69	tzajnin ti'j tyajiljo qtzan nmaq kawil David, a kub' niminte.
LUK.1.70	Atzi'n lu'n a q'umj ojtxe kyu'n xjan yolil Tyol Dios, tej kyq'ma:
LUK.1.71	A tu'n tel klonqe kye qajq'oj ex kye aye kyky'e'x qi'j;
LUK.1.72	tu'n ttzaj q'aq'in tk'u'j kyi'jjo qyajil,
LUK.1.72	ex tu'n mina tz'el naje toj tk'u'j, a tumil xjanxix b'ant ti'j tu'n;
LUK.1.72	tu'n kykyij Ttanim toj wen tuk'a.
LUK.1.73	Ex atzi'n b'ant ti'j tu'n, ex tq'ma te Abraham, a qxe'chil kyjalu'n,
LUK.1.74	tu'n qel tklo'n kye qajq'oj,
LUK.1.74	ex tu'n qajb'in te tuk'a tkyaqil qanmin;
LUK.1.75	tu'n tkub' qb'inchin qten jikyinxix toj tkyaqil qchwinqil twutz.
LUK.1.76	Atzi'n te, mil: Yolil Tyol Dios te' tb'i k-okil,
LUK.1.76	a Dios nimxix toklin.
LUK.1.76	Qu'n ay k'wel nej twutzjo Kolil q'malte tu'n tkub' kyb'inchinxjal kyib' twutz.
LUK.1.77	K'wel tnajsin Dios kyila,
LUK.1.77	ex kchi kletila tu'n, chkujiy kye.
LUK.1.78	Qu'n a Dios tuk'a tq'aq'b'il tk'u'j qi'j, ktzajil tq'o'n jun tzaj toj kya'j tze'nku tqan q'ij,
LUK.1.79	tu'n tk'ant toj kychwinqiljo
LUK.1.79	aye' nchi b'et toj najin,
LUK.1.79	ex tu'n tkub' nej qwutz toj tb'eyil b'a'n.
LUK.1.80	Atzi'n k'wal nch'iyxixtaq twe' ex tnab'l, exsin najan tojjo najb'il, ja' mixtaq a'l najle toj, tzmaxi tpon q'ij, ja' tu'n tkub' tyek'ine tib' kyxol aj Judiy.
LUK.2.1	Kyojtzi'n q'ij aye', tq'ma nmaq kawil toj Rom, Augusto tb'i, tu'n tjaw ajlet kyb'ajjo jni' xjal tkyaqil twutz tx'otx', ex tu'n kyb'aj tz'ib'it. 
LUK.2.2	Ajo tajlal lo tnejil maj tu'n tel tqanil jni' xjal at twutz tx'otx'. Ataq Sirenio toktaq te kawil toj Siria. 
LUK.2.3	Jotxjo jni' xjal ok il kyi'j tu'n kyxi' tz'ib'il kyb'i tojjo kytanim.
LUK.2.4	Tu'ntzi'n, b'e'x etz Jse tojjo tnam te Nazaret toj ttx'otx' Galiley, tu'n t-xi' tzma Belén toj tx'otx' te Judey, ja' itz'je qtzan nmaq kawil David, qu'n ti'j tyajil David tzajnin. 
LUK.2.5	Xi' tz'ib'il tb'i junx tuk'a Mariy, a tu'n tmejetaq tuk'a, ex ch'ixtaq tul tal.
LUK.2.6	Ite'xtaq Belén, te' tjapin kani'n q'ij, ja' tu'n tkub' tz'aqe Mariy, 
LUK.2.7	ex antza itz'je tnejil tal. Te' tulku itz'je, b'aj tptzo'n toj tan, exsin kub' tkuẍb'in toj twab'l chej, qu'n nti'taq jun ja, ja' tu'n tkub'e tkuẍb'ine.
LUK.2.8	Me nqayin tk'atz Belén, ite'taq junjun kyik'lel nchi b'aj xq'uqintaq kyi'j kyrit qniky'in. 
LUK.2.9	Nti'kux toj kynab'l, te' tkub' qoptz'aj kyi'jile tu'n tspiky'emil tipin Dios, exsin pon jun t-angel Dios kyk'atz. Tu'n ikyjo, b'e'x i xob'xjo kyik'lel.
LUK.2.10	Me xi tq'ma'n angel kye: Mina chi tzaj xob'a we'y, qu'n atx jun tqanil ma chin tzaja q'malte kye'y, me a tb'anilx wen, ex te tzaljb'ilx te tkyaqilx xjal. 
LUK.2.11	Tojjo ttanim David, ma tz'itz'je jun Kolil ja'lin, a Crist, ex a tAjaw Tkyaqil. 
LUK.2.12	Tu'n tel kyniky'a te, ok kjyetil jun ne'ẍ kyu'n ptzo'nkux toj tan ex kuẍleku toj twab'l chej toj jun kyja alu'mj.
LUK.2.13	Tzunxtaq nyolinjo angel, te' kyul nimku angel kyk'atz; nchi b'aj nimsintaq tb'i Dios kyjalu'n:
LUK.2.14	Noqit nk'ant tqoptz'ajiyil Dios toj kya'j,
LUK.2.14	ex jun tzaljb'il kyxolxjal toj tkyaqil twutz tx'otx',
LUK.2.14	a nkub' kyb'inchin taj Dios.
LUK.2.15	Te' kyaj angel toj kya'j, ayetzi'n kyik'lel i b'aj jaw yolin kyxolile ex kyq'ma: Qo'qe Belén lol te' ma b'aj, a ma tzaj tq'ma'n Dios qe.
LUK.2.16	B'e'xsin i xi'. Atzaj te' kykanin, attaq Mariy exsin Jse, tuk'a ne'ẍ kuẍlekutaq toj twab'l chej. 
LUK.2.17	Te' kylonte, i ok ten q'malte tkyaqiljo jni' tq'ma angel kye. 
LUK.2.18	Jotqexjo aye nchi b'aj b'intaq, b'e'x i el kyim tu'n kyq'ma kyik'lel.
LUK.2.19	Ante Mariy mix jaw yoline; noq kub' tb'isin tkyaqiljo nkyq'ma'ntaq. 
LUK.2.20	Ayetzin kye kyik'lel, ox chi tzalajx, exsin nchi b'aj nimsintaq tb'i Dios te' kyajtz, qu'n otaq kyb'i ex kyli a tzaj q'ma'n kye.
LUK.2.21	Atzaj te' tb'aj wajxaq q'ij titz'jlin ne'ẍ, b'e'x ul aq'b'aj techil ti'j, tze'nkuxtaqjo ntene,
LUK.2.22	Tb'ajlinxi' ikyjo, tjapin kanin q'ij, ja' tu'n kyxi'ye txjol ti'j nana, tu'n tsaqix tu'n titz'jlin ne'ẍ, tze'nku ntenetaq toj tkawb'il Dios. Ex xi kyi'n ne'ẍ tzma Jerusalén, tu'n t-xi kyq'o'n toj tq'ob' Dios.
LUK.2.23	Kub' kyb'inchi'n ikyjo qu'n ikyxtaqjo tz'ib'in toj tkawb'il Dios: Tkyaqiljo tnejil k'wal qa q'a, il ti'j tu'n t-xi kyq'o'n toj tq'ob' Dios.
LUK.2.24	I xta'j q'ol chjonte te Dios tuk'a jun oyaj tze'nku ntq'ma'n tkawb'il Dios; jun muj xluk'ek' mo kab'e tal palomj.
LUK.2.25	Kyojjo q'ij anetzi'n, najletaq jun ichin Jerusalén, Simeón tb'i, nna'ntaq Dios ex nyo'ntaq ti'jjo Klolkye aj Judiy tu'n tul, ex attaq Xewb'aj Xjan tuk'a. 
LUK.2.26	Atzi'n Xewb'aj Xjan q'ma'nte te Simeón, tu'n tzmaxitaq tu'n tkyimjo, aj tlon te' Kolil, a Crist, a tu'ntaq tul tsma'n Dios. 
LUK.2.27	Ax Xewb'aj Xjan xi q'inte Simeón tojjo tnejil ja te na'b'l Dios, ja' ite'taq Jse ex Mariy tuk'axjo kyne'ẍ, tu'n tjapin kyu'n a tz'ib'in toj tkawb'il Dios. 
LUK.2.28	Tzaj tchle'n Simeón tal ne'ẍ, exsin jaw na'n Dios:
LUK.2.29	WAjaw, a tzaj tq'may ma b'ajx ja'lin.
LUK.2.29	B'a'n tu'n nkyim we' ja'lin tuk'a tzaljb'il, chi'.
LUK.2.30	Qu'n ma nli weji'y Kolil,
LUK.2.31	a kkolil kyi'jjo jni' xjal chi xel niminte tkyaqil twutz tx'otx'.
LUK.2.32	Ajo ne'ẍ lo jun tzaj kk'antil toj kychwinqiljo jni' xjal,
LUK.2.32	aye mina nxi kynimin Tyola, tu'n tel kyniky' ti'ja.
LUK.2.32	Ex a k-okil te nimsb'il tb'iy kyxol tkyaqil aj Israel.
LUK.2.33	Te' kyb'inte Jse ex Mariy a tq'ma Simeón, noq i el kyim, 
LUK.2.34	exsin i xi tky'iwlin Simeón kyoxelx.
LUK.2.34	Xi tq'ma'n te tnana Jesús: Atzi'n ne'ẍ lu'n ma tzaj tq'o'n Dios kyxol aj Judiy, tu'n tel wen junjun ex junjun mina. A k-ajb'il te techiljo a taj Dios kyuk'axjal, me nya tkyaqilx kxel niminte. 
LUK.2.35	Ex antza k-elile tniky'tzajil tb'is tanmin junjun, qu'n junjun kchi xel lipe ti'j ex junjun mina. Me te tey, nana, jun ky'ixb'ajil te tanmi'n tu'n b'isb'ajil, aj tok tka'yi'n, aj tel iky'in kyu'nxjal.
LUK.2.36	Ex attaq jun tal b'i'ẍ antza, Ana tb'i, tk'waltaq Fanuel tzajnin ti'j qtzan Aser, nyolintaq ti'j tb'i Dios. Txinxtaq wen, te' tok meje tuk'a tchmil, ex noq wuq ab'q'e i ten junx, te' tkyij meb'e, qu'n b'e'x kyim tchmil. 
LUK.2.37	Kyaje toj jwe' k'al
LUK.2.38	Ikyxjo te' t-xta'j aq'b'ajjo tal ne'ẍ Jesús toj nim ja te na'b'l Dios, ex b'e'x xta'j q'ol chjonte te Dios, ex yolil ti'jjo ne'ẍ kye jni' xjal aj Jerusalén, aye' nchi b'aj yontaq ti'jjo Kolil.
LUK.2.39	Te' tb'aj b'ant kyu'n tze'ntaqjo ntq'ma'n tkawb'il Dios, b'e'x i meltz'aj juntl majl tojxjo kytanim, a Nazaret te Galiley.
LUK.2.40	Atzi'n k'wal nch'iyxixe twe' ex nch'iyxixe tnab'l, qu'n nimtaq tq'aq'b'il tk'u'j Dios tuk'a.
LUK.2.41	Ayetzi'n ttata Jesús nche'xtaq tkyaqil ab'q'e Jerusalén iky'sil te' nintz q'ij, a nkub' kyiky'sintaq aj Judiy, te' kyetz toj Egipto.
LUK.2.42	Te' tel Jesús kab'lajaj ab'q'e, i xta'j kykyaqilx Jerusalén tze'nxtaq ntene kyu'n. 
LUK.2.43	Te' kyb'ajjo q'ij anetzi'n, b'e'x i b'aj ajtz kyja. Ante Jesús mix iwle kyu'n ttata, te' tkyij Jerusalén. 
LUK.2.44	Ikyla te kye qa ajintaq Jesús lipchek kyi'j kyxoljo jni' xjal. Me atzaj te' tok kyka'yin, ex tb'aj kyjyo'n kyxoljo jni' xjal ex kyxoljo jni' aye kyojtzqi'ntaq, nti'l; exsin jun q'ij otaq txi kyb'etin. 
LUK.2.45	Te' mix ja jyete kyu'n, b'e'x i meltz'aj jyolte tzma Jerusalén. 
LUK.2.46	Otaqxi b'ant oxe q'ij kyjoyb'in ti'j, te' tjyet kyu'n, tokxtaq tojjo tnejil ja te na'b'l Dios, kyxoljo jni' xnaq'tzil ti'j ojtxe kawb'il nb'intaq ti'jjo jni' kyyol, ex nb'aj xi tqanintaq junjun ti' kye. Ex ikyqextaqjo xnaq'tzil ti'j ojtxe kawb'il ex nb'aj xi kyqanintaq junjun ti' te. 
LUK.2.47	Ayetzi'n nchi b'aj b'intaq ti'j, noq i b'ajel kyim, qu'n tb'anilxtaq tumil toj twutz tu'n ttzaq'win a jni' nb'aj xi kyqanintaq nmaq xnaq'tzil ti'j ojtxe kawb'il te.
LUK.2.48	Te' tiwle tu'n Jse ex Mariy, noq i jaw ka'ylaj ti'j, ex xi tq'ma'n tnana te: ¡Wal! ¿Tiqu'n tu'n qi'ja ikyjo? Loqo'y tzunx nqo b'isin wen ti'ja tu'n tjyete.
LUK.2.49	I xi ttzaq'win Jesús.
LUK.2.49	¿Tiqu'n nchi jyon wi'ja? ¿Ma nya b'i'n kyu'n qa ilxix ti'j tu'n nte'n toj taq'in nMa'n? 
LUK.2.50	Me mix oke kyb'i'ne Jse ex Mariyjo ikyjo. 
LUK.2.51	B'e'x aj kyk'le'n, ex i kub' tnimin. B'e'x xi' kyuk'a tzma Nazaret, qu'n antza najleqetaq, ex atzi'n tnana nb'isintaq tjunalx toj tanmin ti'jjo ikyjo. 
LUK.2.52	Me ante Jesús nch'iyxixe twe' ex tnab'l. Ntzalajtaq Dios ti'j ex jni' xjal.
LUK.3.1	Nkawintaq te Poncio Pilat toj tx'otx' te Judey tojjo jwe'lajaj ab'q'e tjaq' tkawb'iljo nmaq kawil toj Rom, Tiberio tb'i. Atzinte Herodes tzuntaq nkawin te' toj Galiley; atzi'n titz'in, a Lip tb'i, tzuntaq nkawin te' kyoj tx'otx' te Iturey ex toj Traconit. Ex kawiltaq te' Lisanias toj Abilinia. 
LUK.3.2	Ayetaqtzi'n kye Anás tuk'a Caifás nmaq paleqetaq kye' kyxol aj Judiy. Tojjo amb'il anetzi'n ex tojjo jun tx'otx' ja' nti'yetaq kynajb'ilxjal, kub' toqxenin Dios Tyol te Juan, a tk'wal Zakariy.
LUK.3.3	Tu'npetzi'n, ate Juan iky' te' kyojile jni' najb'il, a ite'taq nqayin tk'atzjo nim a' Jordán tb'i, ex tq'ma kyexjal qa iltaq ti'j tu'n tajtz ti'j kyanmin toj tkyaqil nya b'a'n toj kychwinqil, ex tu'n kyku'x toj a' te jawsb'il a', te jun yek'b'il qa otaq najsit kyil tu'n Dios. 
LUK.3.4	Iky b'ajjo tze'nkuxjo otaq ttz'ib'e qtzan Isaías, a yolil Tyol Dios ojtxe. Chi' kyjalu'n:
LUK.3.4	Ex b'ijte tq'ajq'ojil twi' jun a'la kujxix wen toj tzqij tx'otx', ja' nti' kynajb'ilxjal toj, a xi tq'ma'n kyjalu'n:
LUK.3.4	Kyb'inchim kyte'n twutz qAjaw; kyq'o'nx kyanmi'n te' jikyinxix wen.
LUK.3.5	Tkyaqiljo a nya b'a'n toj kychwinqila, il ti'j tu'n ttx'ixpit;
LUK.3.5	ikyxjo tze'nku jun b'e, a tu'n tjikyimixjo, a ma txlaẍ ta'ye,
LUK.3.5	ex tu'n tnojsitjo jni' jul at toj,
LUK.3.5	ex tu'n tb'aj jaw pixk'itjo ma tij jawnin, aj tul jun nimx toklin.
LUK.3.5	Ikytzi'n, il ti'j tu'n qb'inchinte tkyaqil, tu'ntzin b'antnin qten, aj tul qAjaw.
LUK.3.6	Qu'n kykyaqilx kyexjal kchi ka'yil ti'jjo tkolb'il qMan Dios, a ktzajil tsma'n.
LUK.3.7	Atzaj te' kyetzxjal tu'n kyku'x toj a' te jawsb'il a' tu'n Juan, xi tq'ma'n kye kyjalu'n:
LUK.3.7	Nti'x kye' kyajb'in, ikyqexjiy tze'nku jun ch'uq ma' kan.
LUK.3.8	Qu'n ojtzqi'n kyu'n kykyaqilxjal, qa axjo kyb'inchb'i'n nyek'inte qa na'm tajtz ti'j kyanmi'n. ¿Tze'ntzin tten nkub' kyximi'n kyxola, qa aku chi kleta noq tu'n Judiyqi'y, a tyajil qtzan Abraham,
LUK.3.9	Tu'npetzi'n, ch'ix tul tkawb'il Dios kujxix kyib'aj kykyaqiljo, aye' kyky'e' tu'n tajtz ti'j kyanmin, ikyxjo tze'nku tajaw jun wi' tze kjawil ttx'emin, qa nti' twutz n-el. Ex a tze, a nti' tajb'in, k-okix toj q'aq'; ikyxsin kchi tenb'ilaji'y qa mi s-ajtz ti'j kyanmi'n.
LUK.3.10	Ayetzin kyej xjaltz antza xi kyqanin te kyjalu'n: ¿Ti'tzin aku kub' qb'inchintza?
LUK.3.11	Xitzin ttzaq'win Juantz: Ankye te' at kab'e t-xb'alin, il ti'j tu'n t-xi tq'o'n jun te' a nti' at te; ex ankye te' at twa, il ti'j tu'n t-xi tq'o'n ch'in te' a nti'.
LUK.3.12	Ex i tzaj laq'e junjun kyej xjal, tu'n kyku'x toj a' te jawsb'il a'. Ayetzin xjal anetzi'n, a peyil pwaqqetaq toj tkawb'il Rom.
LUK.3.13	Xitzin ttzaq'win Juan: Mi tz'el kypeyin ch'intla tib'ajjo q'ma'ntz kye'y, chi'.
LUK.3.14	Ex ite' junjuntl xo'l q'aq' i xi qaninte te kyjalu'n: ¿Yajtzin qetza? ¿Ti'n qe' k'wel qb'inchin?
LUK.3.14	Xi tq'ma'n kye kyjalu'n: Ikyxjo kye', mina tz'ok kyxob'tzin jun a'la, ex mina txi kypati'n jun a'la, a nti' tb'inchb'in nya b'a'n, ex mina tz'el kyi'n jun ti' te jun a'la; qala' qe kyk'u'ja ti'jjo twi' kyk'u'ja n-etz.
LUK.3.15	Jotqex kyej xjal tzuntaq chi ayon kye', ex tzuntaq chi ximin kye' toj kynab'l, qa ataq te Juan a Crist, a Kolil, a otaq tzaj q'o'n toklin tu'nx Dios. 
LUK.3.16	Me atzin te Juan xi q'mante kye kyjalu'n: Me metzin we', nchi kux nq'o'n xjol toj a' te jawsb'il a', te jun yek'b'il qa ma tz'ajtz ti'j kyanmin. Me ante tzul wi'jxiy nya noq o'kx tu'n kyku'xxjal tu'n toj a', qala' kxel tq'o'n Xewb'aj Xjan toj kyanmin te jun majx te patb'il jni' il toj. Qu'n at nimxixtl tipin tze'nku we', ex nti' we woklin nipe tu'n woka te taq'nil. 
LUK.3.17	Qu'n lu' Kawil kkawil kyib'aj xjal tze'nku jun aj triyil, a q'i'n ma nim tze toj tq'ob' te xtulb'il triy. Ex k-elix tpa'n kykyaqilxjal wen kyxoljo nya wen, ikyxjo tze'nku jun xjal, aj t-xtulin triy, ex k-elil tpa'n paj ti'j. Ex kchi xel tk'le'n nimil toj kya'j tze'nku tu'n tkux tk'u'n triy toj ttx'utx'. Me ayetzin nya nimil, ikyxjo tze'nku paj, ok kchi k'wel tpatin tuk'a q'aq', a mixla k-yupjilx.
LUK.3.18	Nimku tumil b'aj tq'ma'n Juan kyexjal, tej tq'metj Tb'anil Tqanil. 
LUK.3.19	Ex majxpe te' aj kawil, Herodes tb'i, xi tmiyo'n Juan, a Jawsil A', qu'n tu'n otaq tz'ok t-xu'jlin Herodías, a t-xu'jil Lip, a titz'in. 
LUK.3.20	Nya wen ele ikyjo toj twutz Herodes; b'e'x xi tq'ma'n tu'n tkux jpet Juan toj tze.
LUK.3.21	Ikytzin b'ajjo, tej na'mxtaq tu'n tku'x Juan toj tze. Tej nchi ku'xtaq tq'o'n Juan xjal toj a' te jawsb'il a', ikyxl te Jesús b'e'x ku'x toj a' tu'n, te jawsb'il a'. Ex tzuntaqtzin nna'nxi Jesús Dios, jun paqx xi jaqpajjo kya'j, 
LUK.3.22	ex atzi'n Xewb'aj Xjan k'ul kanin tib'aj, ex iky ka'yi'n tze'nku jun palom. Ex q'ajq'ojin jun yol toj kya'j, ex tq'ma: Axixpen te nk'wala, k'u'jlinxix wu'n, a o jaw nsk'o'n.
LUK.3.23	B'alaqa lajaj toj ka'wnaq
LUK.3.24	Ataqtzin te' Elí, k'walb'ajtaq te' te Matat, a tk'waltaq Leví, a tk'waltaq Melkí, a tk'waltaq Jana, a tk'waltaq Jse. 
LUK.3.25	Atzin te Jse tk'waltaql te Matatías, a tk'waltaq Amós, a tk'waltaq Nahum, a tk'waltaq Esli, a tk'waltaq Nagai. 
LUK.3.26	Ataqtzin te Nagai k'walb'ajtaq te' te Maat, a tk'waltaq Matatías, a tk'waltaq Semei, a tk'waltaq Josec, a tk'waltaq Judá. 
LUK.3.27	Ataqtzin te Judá k'walb'ajtaq te' te Joanán, a tk'waltaq Resa, a tk'waltaq Zorobabel, a tk'waltaq Salatiel, a tk'waltaq Neri. 
LUK.3.28	Ataqtzin te Neri k'walb'ajtaql te' te Melkí, a tk'waltaq Adi, a tk'waltaq Cosam, a tk'waltaq Elmadam, a tk'waltaq Er. 
LUK.3.29	Ataqtzin te Er k'walb'ajtaqtzinl te' te Josué, a tk'waltaq Eliezer, a tk'waltaq Jorim, a tk'waltaq Matat, 
