GEN.1.1	Mugaeai mugaeai tau, Deo ikado bubur ga tano ga iuot. 
EXO.31.2	“Ega, gau nasio eaba ede ieda Besalel. Ei Uri inat ga Ur itub ngan lum pan Iuda. 
EXO.31.3	Be gau nadol Tautaudig Tutui ga idio pan ta nakado ga ele oatainga kapei ga ilolo iuatai ngan kadonga naurata imata ede ga ede. 
EXO.31.4	Ta ei ga irangrang ngan ikado mosi ngan gol ga silva ga bras. 
EXO.31.5	Be ele oatainga kapei ngan ketnga gid pat toa aea olnga kapei toman ngan ipu ad kisinga gol. Ga ele oatainga kapei ngan sapnga gid abei pade. Ta ei ga irangrang ngan ikado naurata imata ede ga ede. 
EXO.31.6	Be ega, gau nasio eaba ede pade ngan luanga ei, ieda Ooliap. Ei Aisamak inat ngan lum pan Dan. Be gau nabada oatainga kapei pagid panua naurata ad padengada ngan kadonga danga toa ngada ne mambe nakeo pago ngan. 
EXO.31.7	Ta gid ga tikado leg palata, ga korol apu aea toman ngan ipao toa sing isamum kadonga sasat ngan ga lolog itarui mulian. Ta gid ga tikado palata aea danga sisid padengada ga bedane: 
EXO.31.8	popou bret aea toman ngan aea danga sisid, ga lam iae gol toman ngan aea danga sisid, ga popou nabene aea, 
EXO.31.9	ga popou tenainga aea toman ngan aea danga sisid toa ngada oa, ga tabla eau aea toman ngan aea popou, 
EXO.31.10	ga sogonga tutui tenainga aea ton Aron ga ele gergeu arangaranga, 
EXO.31.11	ga bude iman kilala ngan danga sisid togau, ga nabene ngan kadonga basu iuad kemi leg palata iloleai ngan tibur toa aea ul kapei tede. Manta tikado danga toa ngada ne lalaede mambe nakeo pago ngan.”
EXO.31.13	“Eao manta keo pagid Israel ga bedane, ‘Somisomi gimi manta aearagimi ngan Ado Earainga aea. Gau nadol Ado Earainga aea toa ne ga iman kilala rabu ngan gau ga gimi ga lemi gergeu ga tibutibumi tiuotot muriai. Toa bedaoa ta gimi ga aoatai kemi mambe gau eine 
EXO.31.14	“‘Be gau nadol ul pade ngan Ado Earainga aea. Tota gimi manta aearagimi ngan. Oangga sai ilolon ngan Ado Earainga aea toa ne mao, manta arau ei ga imate. Be oangga sai ikado naurata ngan ado toaiua, manta asuk ei ga ila aluai ngan gid ele panua. 
EXO.31.15	Gimi ga akado lemi naurata irangrang ngan ado lima ga ede. Be ado lima ga rua aea, eine Ado Earainga aea toa gau 
EXO.31.16	Gimi Israel toman ngan lemi gergeu ga tibutibumi tiuotot muriai, manta aearagimi ngan Ado Earainga aea. Ngansa eine posanga tautaunga ede narau toman ngan gimi, ta eine ga ienono ga ilalala ga ila. 
EXO.31.17	Ado Earainga aea toa ne iman kilala rabu ngan gau ga gimi Israel somisomi. Ngansa ngan ado toa lima ga ede oa mugaeai, gau 
EXO.31.18	Io, 
EXO.32.2	Io, Aron ikoli led posanga bedane, “Atil tangami aea pato gol ienono adadaoami ga lemi gergeu tangadeai, ta abada ga inam pagau.” 
EXO.32.3	Tota gid panua tibada tangad aea pato gol ga ila pan. 
EXO.32.4	Ta Aron ibada ta inono ngan dinga ga ila maraka, ta itok ga idudunga ngan baba ede toa ital ianun ngan mambe bulmakao daenga pau. Ta ibada didi ta ipenpen ngan bulmakao aea namer toa oa. Ga kus ta gid panua tikeo, “Gimi Israel alongo. Danga toa ne, eine gita ada deo toa ibada gita ta tatnan Isip ga tanam.”
EXO.32.5	Be Aron igera toa bedaoa ta ipagun popou tenainga aea boloma ngan bulmakao aea namer toa oa. Ta ikeo, “Sabale takado eaneannga kapei ngan soanga 
EXO.32.6	Io, gaisala rumaruma ngan ado sae, gid panua tibada gid masilau tenainga aea, ta edengada tidol ga idae dingaeai ngan dinga inono ga imomout ga kus. Be masilau padengada iman tenainga eaneannga aea ngan lolod kelede. Idio ta timamado ngan eaneannga ga ununnga, ga kus ta tidae ga tila tititiau.
EXO.32.7	Idio ta 
EXO.32.8	Tipul murid manmanae tau ngan gau ta titnan edap toa nakeo ga tinasi. Be tikado deo ede pade aea namer gol ga imata mambe bulmakao, ta tikor aed ngan ga tirau gid masilau ga iman led tenainga ga ila pan. Ta tikeo, ‘Gimi Israel alongo. Danga toa ne, eine gita ada deo toa ibada gita ga tatnan Isip ga tanam.’”
EXO.32.9	Ta 
EXO.32.10	Gau lolog bake tau. Eao dio ge, ta napamukuru gid. Be gau ga nakado ga eao lem gergeu ga tibutibum tiuot alu kapei tau.”
EXO.32.12	Oangga eao pamukuru gid, eine gid Isip ga tikeo, ‘Deo ilolo paeamao ngan ele panua ta ibada gid ga tila lusiai, ngansa iuangga ipamukuru gid.’ Be manta pul lolom mulian ta tnan lem kadonga lolo bake aea ta paeabu ngan lem panua padam. 
EXO.32.13	Matam nanan lem paeaeanga Abraam ga Aisak ga Iakop. Mugaeai eao posa tautaunga pagid ta keo bedane, ‘Ngan gau edag naposa tautaunga, gau ga nakado ga lemi gergeu ga tibutibumi tiuot busa mambe gigima mariambai.’ Be eao posa tautaunga pagid pade ngan pannga tano ga iman ad, ta eao keo ga mulmulid ga timamado toa eoa somisomi.” 
EXO.32.14	Moses iraring bedaoa ga kus ta 
EXO.32.15	Idio ta Moses ibada pat apu aea toa rua oa ta isorir lusiai ga isulug. Pat apu aea toa rua oa, Deo ibode apu ga idae ngan imata ga idibe. 
EXO.32.16	Deo kekelen ikado pat toa rua oa ga iuot, ta ibode posanga ga idae ngan.
EXO.32.17	Be Iosua ilongo panua arerengad ga tingangar, ta ikeo pan Moses bedane, “Panua arerengad mambe paraunga ede iuot saupuiai.”
EXO.32.18	Be Moses ikeo,
EXO.32.18	“Eine mao. Arerengad oa mambe panua tiasal paraunga mao.
EXO.32.18	Be eine mambe panua ad miri itamatama tiasal gid mao pade.
EXO.32.18	Be nalongo ad gagal mambe panua tibaubau.”
EXO.32.19	Io, Moses ila boloma saupuiai ta igera bulmakao aea namer ga panua titoltol alele, ta ilolo bake ta itado pat apu aea toa rua oa ga isulug ta timapmapoga lusi ipuiai.
EXO.32.20	Idio ta ibada bulmakao aea namer toa oa ta itado ga idae dingaeai ga inono. Ga kus ta itut ga ila gereirei mambe kangkanga, ta isiran ga isulug eauiai, ta ikado ga gid Israel tiun eau toa oa.
EXO.32.21	Idio ta ikeo pan Aron, “Gid panua toa ne tikado mado ngan eao, ta eao muga ngan gid ngan kadonga sat kapei toa bedane?”
EXO.32.22	Ta Aron ikeo, “Eaba kapei, eao malmal padam. Eao oatai, gid panua toa ne tiparpar tau ngan kadonga sasat. 
EXO.32.23	Tikeo pagau bedane, ‘Kado amai deo etangada ta timuga ngan gai ngan lemai edap. Ngansa Moses, eaba toa ibada gita ta tatnan Isip ga tanam, gai aoatai ngan saoa danga iuot ngan ei mao.’ 
EXO.32.24	Tota nakeo pagid, ‘Oangga sai ele sogonga gol, manta itil ta ibada ga inam pagau.’ Tota tibada led gol ga inam pagau, ta natado ga idae dingaeai. Be mole mao bulmakao aea namer toa ne iuot sapaean.”
EXO.32.25	Io, Moses igera mambe panua tiladlado alele, be Aron irangrang ngan ipakoko gid mao. Tota Moses ikeo iloleai bedane, “Kado ta amai miri itamatama tigera ta tinging paeamao ngan gai.” 
EXO.32.26	Tota ila imadid saupu aea edap iaoai ta ibaba kapei bedane, “Oangga sai ikeo ga inasi 
EXO.32.27	Ta Moses ikeo pagid, “
EXO.32.28	Io, tota gid Livai tila tikado mambe Moses ikeo pagid ngan. Be ngan ado toaiua, panua bunoringring tol timate. 
EXO.32.29	Ga kus ta Moses ikeo pagid Livai bedane, “Labone gimi arau ami kapeipei ga kakakau ga lemi gergeu ga timate, ngansa tikado kadonga sat kapei. Tota labone 
EXO.32.30	Io, ngan ado sae Moses ikeo pagid panua bedane, “Gimi akado kadonga sat kapei tau. Be gau ga nadae ga nala lusiai pan 
EXO.32.31	Tota Moses iluai mulian ga ila pan 
EXO.32.32	Be gau nabeta eao, oangga eao kim, samum led kadonga sat. Be oangga eao tinim ngan mao, tota samum gau edag ngan laulau toa eao bode na.”
EXO.32.33	Ta 
EXO.32.34	Be eao la. La muga ngan gid panua ta bada gid ga tila ngan tibur toa nakeo pago ngan. Ega, gau leg anggelo ga ila imuga ngan gimi. Be muriai, gau ga nanam ta napanas gid ngan led kadonga sasat tutui ngan ado panasnga aea.”
EXO.32.35	Idio ta 
EXO.33.2	Be gau ga nasula leg anggelo, ta ei ga imuga ngan gimi ta isere gid Kenan ga Amor ga It ga Peres ga Ivi ga Iebus. 
EXO.33.3	Tota ala ngan tano kemi toa oa. Tano toa oa imona kapei ta bon isul ga bulmakao itud isul iuotot ngan. Be gau ga nala toman ngan gimi mao. Ngansa gimi panua tanga balbal ami tau. Ngan kado ta nala toman ngan gimi, ta napaeabu ngan gimi edapeai.”
EXO.33.4	Gid panua tilongo ato paeamao toa ne ta lolod isat ta tidoldol led sogonga gol mao. 
EXO.33.5	Be 
EXO.33.6	Tota gid Israel titil led sogonga gol lusi Orep ipuiai ta tidol sogonga toa oa pade mao.
EXO.33.7	Somisomi oangga gid Israel tirau saupu ngan tibur ede, Moses ipagun palata ede boloma tede ngan saupu, ta iuato palata toa oa ieda “Palata Luplupnga aea toman ngan Deo.” Be oangga sai ikeo ga iuatai ngan 
EXO.33.8	Somisomi oangga Moses itnan saupu ta ila ngan palata toa oa, gid panua tidae timadid led palata iaoai ta tigeragera Moses ila idudunga ngan palata toa oa. 
EXO.33.9	Be oangga Moses idudunga palatai, tota laulau mamarae isulug ga ila imadid boloma palata iaoai, ta Deo iposaposa toman ngan Moses. 
EXO.33.10	Be oangga gid panua tigera laulau mamarae toa oa isulug ga imadid palata iaoai, gid toa ngada oa tidae ta tikor aed toa led palata iaoai. 
EXO.33.11	Be somisomi 
EXO.33.12	Idio ta Moses ikeo pan 
EXO.33.13	Be oangga lolom marum ngan gau, paoatai gau ngan lem edap, ta gau ga naoatai kemi ngan eao ta nanasi kadonga mambe eao kim. Ga pade, nakim eao matam nanan alu toa ne, gid eao lem panua.”
EXO.33.14	Ta Deo ikoli ele posanga bedane, “Gau ga nala toman ngan eao ta naearan go kemi.”
EXO.33.15	Ta Moses ikeo pan pade bedane, “Oangga eao nam toman ngan gai mao, kemi ngan gai atnan tibur toa ne mao. 
EXO.33.16	Be oangga eao nam toman ngan gai mao, panua padengada ga tiuatai madongan mambe lolom marum ngan gau ga lem panua toa ne? Be oangga eao nam toman ngan gai, eine gid alu padengada tanoeai ga tikakrik ngan gai alu toa ne ede pade tau ngan gid.”
EXO.33.17	Ta 
EXO.33.18	Ta Moses ikeo, “Pasolan gau ngan lem taranga.”
EXO.33.20	Be irangrang ngan eao gera matag mao. Ngansa oangga sai igera matag, ei ga imate.”
EXO.33.21	Ta 
EXO.33.22	Tota oangga leg taranga inam boloma, gau ga nadol go ga dudunga ngan pat toa ne aea baba, ta napamumul go ngan bageg ga irangrang ngan nasapir ngan go ga nala. 
EXO.33.23	Ga kus ta nasoa bageg ga idae pade, ta eao ga gera murig. Be irangrang ngan eao gera matag mao.”
EXO.34.2	Sabale gaisala, eao manta bada pat toa rua ne ta dae ga nam pagau lusi ilaborai ta madmadid nene. 
EXO.34.3	Be irangrang ngan eaba eta inam toman ngan eao mao. Be tinig ngan nagera eaba eta pade ilalala alele lusiai mao pade. Be gid bulmakao ga sipsip, tirangrang ngan tian purup lusi ipuiai mao pade.”
EXO.34.4	Io, tota Moses iket pat rua pade lalaede mambe mugaeai aea, ta gaisala rumaruma ibada pat toa rua oa ta idae ga ila lusi Sainai, mambe 
EXO.34.5	Be 
EXO.34.6	Be 
EXO.34.7	Somisomi lolog ikimkim gid panua bunoringring busa ta nasamum led kadonga sasat ga kadonga tanga balbal aea imata ede ga ede. Be gid panua toa led idil paeamao, irangrang ngan natnan gid ga tidio kemi mao. Gid ga tibada ad panasnga. Oangga sapadua tinasnasi kadonga papaeamao, gau ga napanas gid ga led gergeu ga tibutibud ga led sasasa pade.”
EXO.34.8	Deo iposaposa bedaoa, be manmanae Moses ikor iae ta idol ilabora ga isulug tanoeai. 
EXO.34.9	Ta ikeo, “O Maron, oangga lolom marum ngan gau tautaunga, tota nakim eao nam toman ngan gai. Tautaunga, gid panua toa ne tanga balbal ad tau, be nakim eao samum lemai kadonga sasat ga lemai idil papaeamao, ta bada gai ga aman lem panua tautaunga.”
EXO.34.10	Idio ta Deo ikeo, “Ega, labone narau posanga toman ngan gimi ta loloda kelede. Ngan gimi matami, gau ga nakado uisinga kapeipei mambe gid alu padengada tigera mugaeai ga inama ne mao. Be gid panua timamado boloma pagimi, eine ga tigera danga imata ede ga ede nakado ngan luanga gimi, ta gid ga timataud. 
EXO.34.11	Be manta gimi anasnasi leg apu toa nabada pago labone. Be ega, gau ga namuga ngan gimi ta nasere gid Amor ga Kenan ga It ga Peres ga Ivi ga Iebus. 
EXO.34.12	Be manta agabit kemi. Ngan kado ta arau posanga toman ngan gid panua timamado ngan tibur toa gimi ala ngan oa, ta lolomi kelede. Oangga akado bedaoa, eine paeamao ngan gimi mambe adae kas ngan pitpit. 
EXO.34.13	Be gimi manta arepe led popou tenainga aea, ga agoro led pat kilala aea ga irumrum, ga aged ad deo taine Asera aea namer ga tisulug. 
EXO.34.14	Irangrang ngan gimi asoa deo eta pade ieda mao. Ngansa gau 
EXO.34.15	“Be agabit kemi. Irangrang ngan gimi arau posanga toman ngan gid panua ngan tano toa oa mao. Ngansa gid ga tisoa ad deo edad ngan led kadonga arala, ta tirau masilau iman led tenainga ga ila pagid. Be oangga tikado bedaoa, eine ga tidada gimi ga ala toman ngan gid, ta aeanean led annga tenainga aea. 
EXO.34.16	Be oangga apaoai lemi gergeu arangaranga ngan gid led gergeu taine, eine ga tisoa ad deo edad ngan led kadonga arala, ta tikado ga lemi gergeu arangaranga tinasi gid pade.
EXO.34.20	Be manta atenai sipsip ede ngan patutuinga lemi donki ele gergeu lautabe aea ul. Be oangga tinimi ngan tenainga sipsip ngan patutuinga donki toa oa aea ul mao, manta akor igagal. Be manta akado tenainga ede pade ngan patutuinga lemi gergeu lautabtabe arangaranga ad ul.
EXO.34.20	“Irangrang ngan bagemi sapaean ga anam pagau mao. Manta anam toman ngan lemi tenainga.
EXO.34.23	Be patol ngan rai ga rai, manta gimi arangaranga toa ngada ne anam pagau ta asoa gau edag. Gau 
EXO.34.24	Be gid alu toa labone timamado ngan tano togimi, gau ga nasere gid ga tila aluai ngan gimi. Be gau ga nasarung ami tano aea but ta ila kapei. Be patol ngan rai ga rai, oangga atnan lemi tuanga ta anam aluplup pagau 
EXO.34.26	“Irangrang ngan anono meme daenga pau eta ngan ulo toman ngan itna itud isul mao.”
EXO.34.27	Idio ta 
EXO.34.28	Io, Moses idio imamado toman ngan 
EXO.34.30	Be Aron ga gid panua Israel tigera Moses imata mil ga mil tau, ta timataud ngan langa boloma pan. 
EXO.34.31	Be Moses ibaba ga ila pagid, tota Aron ga gid madidnga toa ngada oa tila boloma pan pade, ta Moses iposaposa pagid. 
EXO.34.32	Idio ta gid Israel toa ngada oa tila boloma pan, ta iposa pagid ngan apu toa ngada oa 
EXO.34.33	Moses iposa pagid ga kus, ta ipamumul imata ngan malo kakauede.
EXO.34.34	Be somisomi oangga Moses idudunga 
EXO.34.35	eine tigera imata mil ga mil tau. Tota somisomi Moses ibada malo kakauede toa oa ta ipamumul ngan imata ga irangrang ngan ila iposa toman ngan ei pade.
EXO.35.1	Idio ta Moses ibaba gid panua Israel toa ngada oa ta tinam tiluplup pan, ta ikeo pagid, “
EXO.35.2	Irangrang ngan ado lima ga ede, gimi ga akado lemi naurata, be 
EXO.35.3	Be ngan Ado Earainga aea, irangrang ngan gimi apaisi dinga lemi lumaeai mao pade.”
EXO.35.4	Idio ta Moses ikeo pagid panua Israel toa ngada oa bedane, “
EXO.35.5	Ikeo ga kemi ngan gimi abada lemi danga sisid etangada ga ila pan. Panua kelede kelede toa tikim badanga led danga etangada ga ila pan 
EXO.35.6	ga sipsip ilaun toa tisama ngan pulo singsingia ga singsingia tede ga bil, ga gid malo kemikemi, ga malo tikado ngan meme ilaun, 
EXO.35.7	ga sipsip arangaranga tinid kukul toa tisama ngan pulo singsingia, ga rui tinid kukul, ga abei akas ikatinge etangada. 
EXO.35.8	Ga pade, kemi ngan tibada bude lam aea ga danga iuad kemikemi ngan bulnga toman ngan bude samanga aea toa iman kilala ngan gid danga sisid ton Deo. Ga pade, kemi ngan tibada danga iuad kemikemi ngan bulnga toman ngan nabene ngan kadonga basu iuad kemi. 
EXO.35.9	Ga pade, kemi ngan tibada pat oniks ga pat imata ede ga ede toa aea olnga kapei tau, ta muriai tipatoi gid ga tidae ngan madidnga kapei tenainga aea irabu aea malo, ga tipatoi etangada pade ga idae ngan igogo aea malo kakauede.”
EXO.35.10	Moses ikeo pade bedane, “Oangga sapadua timamado rabu ngan gimi be led oatainga kapei ngan naurata imata ede ga ede, manta tinam ta tikado danga toa ngada ne 
EXO.35.11	Deo ele palata toman ngan aea malo, ga aea lingau, ga didnga ituatua, ga palata aea lapinga, ga gid kadanga toman ngan ad kadanga ipu, 
EXO.35.12	ga korol apu aea toman ngan aea sig, ga korol ipao toa sing ipatarui Deo ilolo ngan, ga malo kapei toa ipoga palata ilolo ga iman rua. 
EXO.35.13	Ga pade, manta tikado bret tenainga aea toman ngan aea popou, ga popou aea sig, ga danga padengada ngan dolnga bret tenainga aea ga ienono Deo imatai, 
EXO.35.14	ga lam iae toman ngan aea lam, ga aea danga sisid padengada iman palata ilolo aea taranga, ga lam aea bude, 
EXO.35.15	ga popou nabene aea toman ngan aea sig, ga bude iman kilala ngan danga sisid ton Deo, ga nabene ikado basu iuad kemi, ga malo kapei iman palata iaoa aea pakalanga, 
EXO.35.16	ga popou tenainga aea toman ngan aea kakari bras, ga popou aea sig, ga aea danga sisid padengada, ga tabla bras iman eau aea toman ngan aea popou, 
EXO.35.17	ga gid malo silasila aea toman ngan ad kadanga ga gid kadanga ipu, ga malo kapei ipakala silasila iaoa, 
EXO.35.18	ga gid oaro palata aea ga silasila aea, ga gid kisinga gereirei bras toa tigin ga idudunga tanoeai ngan kisinga gid oaro toa oa, 
EXO.35.19	ga gid sogonga tutui tenainga aea ton Aron ga ele gergeu arangaranga ngan kadonga led naurata tenainga aea Deo ele palata iloleai ngan tibur toa aea ul kapei tede.”
EXO.35.20	Gid panua Israel toa ngada oa titnan Moses ga tila. 
EXO.35.21	Be Moses ele posanga ipul gid panua busa lolod, ta gid kelede kelede toa tikim badanga led danga edengada ga ila pan 
EXO.35.22	Be gid panua kelede kelede arangaranga ga taine toa tikim badanga led danga sisid edengada ga ila pan, tota tibada led sogonga gol imata ede ga ede ga bedane: danga gol gereirei tikapin ga idae ngan led pononga, ga tangad aea pato gol, ga baged igonga aea pato gol, ga gid sogonga gol padengada. Sogonga gol toa ngada oa, tisoa ngan baged ga idae ta tipatambolembole 
EXO.35.23	Be panua padengada tibada led oaro salumu aea singsingia ga singsingia tede ga bil toa tikado ngan sipsip ilaun, ga meme ilaun, ga malo kemikemi, ga sipsip arangaranga tinid kukul toa tisama ngan pulo singsingia, ga rui tinid kukul. 
EXO.35.24	Be panua padengada tibada led silva ga bras iman led tenainga ga ila pan 
EXO.35.25	Be gid taine edengada led oatainga kapei ngan loinga oaro salumu aea. Gid tibada led oaro salumu aea singsingia ga singsingia tede ga bil, ga led malo kemikemi. 
EXO.35.26	Be taine padengada tikim badanga led danga sisid ga inam. Gid led oatainga kapei ngan kadonga oaro salumu aea ngan meme ilaun ta tibada ga inam. 
EXO.35.27	Be gid madidnga tibada led pat oniks ga gid pat padengada toa aea olnga kapei ga inam ngan patoinga ga idae ngan madidnga kapei tenainga aea irabu aea malo ga igogo aea malo kakauede. 
EXO.35.28	Ga pade, tibada danga imata ede ga ede iuad kemikemi, ga bude oliv aea iman lam aea, ga bude iman kilala ngan danga sisid ton Deo, ga bude ngan bulnga toman ngan nabene ngan kadonga basu iuad kemi. 
EXO.35.29	Tota gid Israel busa toa tikim badanga led danga sisid ga iman 
EXO.35.30	Idio ta Moses ikeo pagid Israel bedane, “Ega, 
EXO.35.31	Be Deo idol Itautau Tutui ga idio pan eaba toa oa ta ikado ga ele oatainga kapei ga ilolo iuatai ngan kadonga naurata imata ede ga ede. 
EXO.35.32	Ta ei ga irangrang ngan ikado mosi ngan gol ga silva ga bras. 
EXO.35.33	Be ele oatainga kapei ngan ketnga gid pat toa aea olnga kapei toman ngan ipu ad kisinga gol. Ga ele oatainga kapei ngan sapnga gid abei pade. Ta ei ga irangrang ngan ikado naurata mosi aea imata ede ga ede. 
EXO.35.34	Ga pade, Deo ibada oatainga kapei pan Ooliap toa Aisamak inat, ngan lum pan Dan. Ta ikado ga gisirua lolod ikim ngan paoatainga panua padengada naurata ad. 
EXO.35.35	Be ei ibada oatainga pagid ngan kadonga naurata imata ede ga ede ga bedane: Tirangrang ngan tiketket pat mil ga mil, ga tirangrang ngan tikado mosi imata ede ga ede, ga tirangrang ngan oaoainga malo kemikemi ga tisaisai sogonga kemikemi ngan oaro salumu aea singsingia ga singsingia tede ga bil. Be tirangrang ngan tikado mosi imata ede ga ede.
EXO.36.1	“
EXO.36.2	Idio ta Moses ibaba Besalel, ga Ooliap, ga panua padengada toa 
EXO.36.3	Tota Moses ibada danga sisid toa ngada oa gid Israel tipaluplup ngan kadonga naurata tenainga aea toa oa, ta idol ga idae gid panua naurata ad bagedeai. Be gaisala ngan ado ga ado, gid panua tibabada led danga sisid ga iman led tenainga ga ila pan Deo. Be tikaput ngan danga sisid aea badanga mao. 
EXO.36.4	Tota gid panua naurata ad tigera danga sisid toa ngada oa, ta titnan led naurata ga idio, 
EXO.36.5	ta tila tikeo pan Moses bedane, “Gid panua tibada danga sisid busa tau, ta imata karanga ngan naurata toa 
EXO.36.6	Idio ta Moses ikado posanga matua ga ila pagid panua saupuiai ga bedane, “Irangrang ngan eaba eta pade ibada ele danga eta ngan kadonga palata toa ne mao.” Tota tikaput ngan badanga danga sisid pade ga inam, 
EXO.36.7	ngansa danga sisid toa tipaluplup oa, iuot busa tau ga imata karanga ngan kadonga naurata toa ngada oa. Be tigera mambe danga sisid ilia ga idio sapaean.
EXO.36.8	Idio ta gid panua naurata ad toa led oatainga kapei tikado Deo ele palata ngan malo kemikemi sangaul. Be tipasogo gid malo toa oa ngan oaro salumu aea singsingia ga singsingia tede ga bil. Be eaba ede mosi aea isaisai gid kerubim anunud ga idae ngan gid malo toa oa. 
EXO.36.9	Gid malo toa ngada oa tiuot lalaede. Ad mamarae iuot leoa lima leoa rua. Be ad babanga iuot leoa ede. 
EXO.36.10	Eaba ede mosi aea isaisai malo lima ga tila tiluplup ta ila mamarae. Be ikado toa bedaoa pade ngan gid malo lima pade. 
EXO.36.11	Be ibada malo ilialia bil ta isaisai gid koea, ta iman malo kapeipei toa rua oa ad saunnga, ta tila tiluplup. Isaisai gid koea toa oa ga tidae ngan malo kapeipei toa rua oa ngan matad iadag kelede. 
EXO.36.12	Isaisai koea sangalima ngan malo kapei imata ede, be isaisai koea sangalima pade ngan malo kapei ede pade imata iadag. 
EXO.36.13	Ga pade, ikado lingau gol sangalima ta iman malo kapeipei toa rua oa ad saunnga, ta ila iuot mambe malo kapitnami kelede.
EXO.36.14	Ga pade, ikado malo sangaul igegea ede ngan meme ilaun ta iman Deo ele palata aea robinga. 
EXO.36.15	Gid malo toa sangaul igegea ede oa tiuot lalaede mon. Ad mamarae iuot leoa lima leoa rua aea mana. Be ad babanga iuot leoa ede. 
EXO.36.16	Isaisai malo lima ga tila tiluplup ta iuot mambe malo mamarae kelede. Be isaisai gid malo toa lima ga ede ienono maitne, ta tila tiluplup pade toa bedaoa, ta tiuot mambe malo mamarae ede pade, be ikatinge lima ga ede. 
EXO.36.17	Ga pade, isaisai malo aea koea sangalima ngan malo kapeipei toa rua oa matad. 
EXO.36.18	Ga pade, ikado lingau bras sangalima ta isaun ngan gid koea, ta iman malo kapeipei toa rua oa ad paluplupnga. Toa bedaoa ta iuot mambe malo kapitnami kelede. 
EXO.36.19	Be ikado danga rua pade ngan robinga Deo ele palata. Robinga ede, ikado ngan sipsip arangaranga tinid kukul toa tisama ngan pulo singsingia. Be gadae ngan robinga toa oa, ikado robinga ede pade ngan rui tinid kukul.
EXO.36.20	Ga pade, ikado palata aea kadanga arangaranga ngan abei akas, be rabu ngan gid kadanga arangaranga ruangada, ipatoto gid tabalanga, ta ikado ga gid kadanga arangaranga ruangada tiuot mambe pagirigiri. Toa bedaoa ta gid kadanga arangaranga ruangada toman ngan ad tabalanga timan didnga ituatua ikatinge kelede kelede. 
EXO.36.21	Kadanga arangaranga kelede kelede ad mamarae iuot leoa rua aea mana. Be gid tabalanga rabu ngan gid kadanga arangaranga kelede kelede ad mamarae iluai baidai. 
EXO.36.22	Be isap kadanga arangaranga toa ngada oa matad ila mamarae tede, ngan tila tidudunga ngan gid kadanga ipu silva ad baba ta timadid ngan. 
EXO.36.23	Be ngan palata ikarkare pan saut, ikado didnga ituatua ikatinge sangaul rua toa bedaoa. 
EXO.36.24	Ga pade, ikado kadanga ipu silva sangaul pange ta timan gid didnga ituatua ad pagunnga. Be ngan gid didnga ituatua ikatinge kelede kelede, idol kadanga ipu silva ruangada. 
EXO.36.25+EXO.36.26	Ikado lalaede toa bedaoa pade ngan palata ikarkare iadag pan not. 
EXO.36.27	Be ngan palata imur aea talele, ikado didnga ituatua ikatinge lima ga ede toa bedaoa. 
EXO.36.28	Ga pade, ikado didnga ituatua ikatinge rua pade, ngan paluplupnga palata ikarkare ga aea talele toa palata imuriai oa, ta tila tung ngan palata igal. 
EXO.36.29	Ngan palata imur igal toa rua oa, isaun gid didnga ituatua ikatinge toa oa ngan gid koea ga lingau, pan ipu ga ila gadae. Isaun palata imur igal toa rua oa bedaoa. 
EXO.36.30	Toa bedaoa ta palata imur aea talele ituatua ikatinge tiuot lima ga tol toman ngan ad kadanga ipu silva sangaul ede igegea lima ga ede. Gadio ngan gid didnga ituatua ikatinge kelede kelede, idol kadanga ipu silva ruangada.
EXO.36.31+EXO.36.32	Ga pade, ibada abei akas ta ikado palata aea lapinga tol, ede gadae, ede rabu, ga ede pade gadio. Ikado gid lapinga toa oa ta tidae ngan palata ikarkare toa rua oa ga aea talele pan imur. Be iket gid lapinga gadae aea ga gadio aea, ga idio rabu ga iman rua. 
EXO.36.33	Be ikado lapinga rabu aea ngan abei mamarae kelede, ta inasi palata aea mamarae ngan palata isal toa tol oa. 
EXO.36.34	Be imol gid didnga ituatua toa ngada oa ngan gol ikatinge babanga. Be ngan gid didnga ituatua ikatinge kelede kelede pan gaot, ikado gid koea gol iman gid lapinga ad sabunnga. Be imol gid lapinga pade ngan gol ikatinge babanga.
EXO.36.35	Ga pade, ikado malo kemi ede ta ipakantutu palata iloleai, ta ipoga palata ilolo ga iman rua. Ipasogo malo toa oa ngan oaro salumu aea singsingia ga singsingia tede ga bil. Be eaba ede mosi aea isaisai gid kerubim anunud ga idae ngan. 
EXO.36.36	Ga kus ta ibada abei akas ta ikado malo toa oa aea kadanga mamarae pange. Imol kadanga toa pange oa ngan gol ikatinge babanga, ga kus ta ipagun gid ga timadid ngan ad kadanga ipu silva. Ga kus ta ipatoi gid lingau gol ga tidae ngan gid kadanga toa oa, ta malo kapei idae itututu ngan. 
EXO.36.37	Be ikado malo kemi ede pade ta iman Deo ele palata iaoa aea pakalanga. Be ipasogo malo toa oa ngan oaro salumu aea singsingia ga singsingia tede ga bil. Be eaba ede mosi aea isaisai gid sogonga kemikemi ga idae ngan. 
EXO.36.38	Be ikado malo toa oa aea kadanga lima, ta ipatoi gid lingau ga tidae ngan, ta iman malo kapei toa oa aea tutunga. Ga kus ta ibada gol ikatinge babanga ta imol ngan gid kadanga laborad ga gid tabalanga. Be ikado gid kadanga toa lima oa toman ngan ad ipu bras.
