MAT.1.1	Ay niy de dawét i de katufua Jesu Kristo, sani ségétéwe séfu Datu Dabide séfu Abraham. 
MAT.21.17	Tidéw béno, ténagak Jesuse bero atin méntékédan dob Jerusalem mangéy dob ingéde Betania. Diyo ménbati bé no kélungonon.
MAT.21.18	Bé géfuwéne de, bé lala ne séfule mangéy Jerusalem, ménlayaf i Jesuse. 
MAT.21.19	Atin énggito noy sébaane kayéw féndawét igos dob doror i aguwone. Mélaw fénggédéto no inok médot bé onok ne. Endob amun séménléd de, énda i énggito no onokén saliyu bé de dau no. Tidéw béno, ménbéréh dob kayéwe ni mano, “Endaén damén mégonok go!” Sonom béno ménlaay i kayéwe ni.
MAT.21.20	I de kuyugén, amun énggito roy ni, ménggaif ro. Atin ménénginsa ro maro, “Sedek ménagad ménlaay i kayéwo no?”
MAT.21.21	Atin séménumbul i Jesuse mano, “Béréhé ku begom i toowe, amuk tintu gom munur brab énda ruwo-ruwoy fédéw gome, gérigono kom i loowe bé rénigo guwe dob kayéwe. Atin békén saén i ni, non gébérého kom dob tudukey ni makom, ‘Angéy go dob dogote’, atin mérigo ba. 
MAT.21.22	Non amuk munur gom, gédoté kom i ati ongoté kome ké démasal gom dob Tuluse.”
MAT.21.23	Tidéw béno, ménangéy man i Jesuse dob lawi i Tuluse, atin diyo téménoro. Atin i de odoroy de fadi brab de odoroy de Judio ménangéy ro dob Jesuse atin ménénginsa ro maro, “Ati atura muwe rémigo bé de ni? Ati ménirayane Beem kuwagib bé ni?”
MAT.21.24	Séménumbul i Jesuse mano, “Sémuliu ménginsaan begom. Amuk sumbulo kom Begén, sumbulo ku so begom ké ati kuwagib guwe rémigo bé de ni. 
MAT.21.25	Ati séménugue bé Juane inok mautis, Tulus loo ké étéw saén?”
MAT.21.25	Atin séédél ro maro, “Amuk béréh tom ‘Tidéw dob Tuluso’, fénginsaa no betom sedek énda fénéngintoowo tom i Juane. 
MAT.21.26	Endob buluk béréhé tom, ‘Tidéw dob étéwe,’ kéluhanay de ni étéw mékérit ro betom.” Ménggilak ro bé de étéw non ménunur i de ménlimud bé Juaney ségétéwe sénarigoy Tuluse. 
MAT.21.27	Mélaw séménumbul ro dob Jesuse maro, “Enda gétiga key de.”
MAT.21.27	Atin mélaw bénréh Jesus mano, “Enda so béréhé ku dob begome ké ati kuwagib guwe rémigo bé de ni rigoné ku.”
MAT.21.28	Tidéw béno, nuret Jesusey sébaane binuwaya mano, “Fégitung gom i fantage bé ni. Wén i ségétéwe lagéy wén i ruwo gétéw ngaén lagéy. Ménangéy dob ofoe de atin ménbéréh mano, ‘Adu, agéw go mangéy dob safade gémalbék béni.’ 
MAT.21.29	Endob i ni nga ménbéréh mano, ‘Mikau.’ Endob énda mérugayén tidéw béno, ménagéw non ménfégalin i fédéw ne. 
MAT.21.30	Atin ménangéy soy boh ne dob tuwaréye bé de ngaén. Atin ménbéréh mano, ‘Adu, angéy go galbék dob safade béleewe ni.’ Atin bang i ni nga, ‘Hoo, magéwu.’ Endob énda fo ménagéwén. 
MAT.21.31	Na, ati karang gome de, ati isuwe bé de ngaén i ménodorone bé kétayay boh ruwe?”
MAT.21.31	Séménumbul ro maro, “I ofoe de.”
MAT.21.31	Atin bang Jesuse man, “Hoo, atin béréhé ku begom i toowe, i de ménsala étéw loo bé de lémiful do kémubra buwis brab de sundal géahur dob kéféguléw i Tuluse géétah na begom. 
MAT.21.32	Non i Juan Bautistawe ménangéy dob begome fégétiga no begom i métintuwe aguwon, éndob énda ménunur gom de. Endob i de lémiful kémubra buwis brab de sundal énggésénule ro ménunur ro de. Atin fiyon fo ké énggito gom i kégésénule ruwe, énda fo gésénule gom taloo no munur gom de.”
MAT.21.33	Atin ménbéréh man i Jesuse mano, “Fégélingo gom nay ni ségiyo binuwaya. Wén i ségétéwe étéw wén i safadén nohoko no do ubas. Atin fénlangkatén i lémiwéte de, atin kénalutén i fédongo nuwe bé fégékérése bé de onokén. Atin réménigo so tambala. Tidéw béno, féntalimaén bé de ségiyo étéw. Tidéw béno, ménagéw mangéy dob mérayue ingéd. 
MAT.21.34	Amun énggumah i gaiy kékétéwe de, sénuguén i de sugu-sugué no inok doté roy kaane de baad bé de onokén. 
MAT.21.35	Endob i de témalima bé safade, génamak roy de ni sugu-suguén. Atin lénubag roy ségétéwe de, atin fénléhu roy ségétéwe de, atin nibéro ro batéw i gétéléwe de taman ménléhu. 
MAT.21.36	Tidéw béno, i gefee bé safade ni, sénuguén man i de ségiyo do sugu-sugué no éndob mas na médoo. Endob i de témalima bé safade, ségiléw soy rénigo ruwe dob berowe. 
MAT.21.37	Tidéw béno, i gefee bé safade ni, sénuguén i tintuwe ngaén non fénggitungén mano, ‘Fégadata roy nga guwe.’ 
MAT.21.38	Endob amun énggitoy de témalima bé safad ne, ménsébéréh-béréh ro maro, ‘Been i niy nga i gefee bé ni safad. Féléhué tom inok gékatom i ni safad.’ 
MAT.21.39	Mélaw génamak ro, atin fénsut ro dob liyuy safade. Tidéw béno, fénléhu ro.”
MAT.21.40	Atin féntaus Jesusey kébéréh ne mano, “Amuk gégumah i gefee bé safade ni, ati rigoné nuwe dob de téménalima bé safad ne?”
MAT.21.41	Séménumbul ro maro, “Angéyé no féléhuén i de ni tete étéw. Tidéw béno, irayén man dob ségiyowe témalima inok iray ro dey kaane baad bé de nohok ké gégumah i kékétéwe de.”
MAT.21.42	Atin ménbéréh i Jesuse dob berowe mano, “Aw énda séna énggébasana kom i Ménsulate Kébéréh i Tuluse mano, ‘I batéwe nikaay de réménigo bé lawie, been i ménwaléye toow na fo balilaga fiyo batéw. I ni rénigoy Kadnane ula-ula, atin mégaif tom de.’ ”
MAT.21.43	Atin féntaus Jesusey kébéréh ne mano, “Mélaw béréhé ku begom i Tuluse éndaén sarigé noy safad ne dob begome. Yamula sarigé no dob de ségiyo étéw rigoné roy kétaya nuwe. I atag i ni, éndaén féguléwoy Tuluse begom. Yamula féguléwo noy de ségiyo étéw munur dob Beene. 
MAT.21.44	Atin atiy mélawue dob nan batéw toow fo mébinasa. Brab buluk i batéwe ni mélawu dob de étéw, rénahé no bero maak bubuk sébuwan.”
MAT.21.45	I de odoroy de fadi brab de Fariseo, énggélingoo roy de ni binuwaya nuret Jesuse. Atin gétiga ro beroy bénrého nuwe fantag bé de ni. 
MAT.21.46	Mélaw ténlama ro kénéfo i Jesuse, éndob énda gagané ro de non ménggilak ro bé de médoo do ménlimud do étéw diyo. Non i de ni étéw kénarang roy Jesuse ségétéw sénarigoy Tuluse muret bé kébéréh ne.
MAT.22.1	Atin ménuret man i Jesuse binuwaya dob de étéw. 
MAT.22.2	Ménbéréh mano, “I kéféguléw i Tuluse loo bé ni. Wén i ségétéwe datu réménigo karagiya dob uyot i nga ne lagéy fébawagén. 
MAT.22.3	Amun énggumah i gaiwe, sénuguén i de sugu-sugué no mangéy témawag bé de étéw sénéngkat ro brab émbéréh dob berowe bé énggumahén i gaiy uyote brab fatut magéw ro mangéy dob lawi ne. Endob ménika ro magéw. 
MAT.22.4	Mélaw i datue ni sénuguén man i de ségiyo sugu-sugué no mangéy méréh dob de ni do étéw sénéngkat ro mano, ‘Méntafayén i karagiyae béleewe ni. Ménsumbalién i de bobo ayam atin méntogohén i kéluhanane. Enggomén, angéy gomén dob uyote ni.’ 
MAT.22.5	Endob i de étéw sénéngkat ro, énda fo nifat ro de brab énda fo ménangéy ro dob uyote ni. Yamula i ségétéwe de ménangéy dob safad ne, atin i ségétéwe de ménangéy dob daganga nuwe. 
MAT.22.6	Atin i de dumo bé de ni étéw sénéngkat ro génamak roy de sugu-suguéy datue ni. Atin lénubag ro brab fénléhu ro bero. 
MAT.22.7	Mélaw i datue ni toow fo ménkérit. Mélaw sénuguén i de sundalo no atin fénléhu roy de ni étéw ménméléhu, atin ténuwég roy ingéd ruwe. 
MAT.22.8	Tidéw béno, ménbéréh dob de sugu-suguén mano, ‘Méntafayén i uyote, éndob i de sungu do étéw sénéngkat gu énda fo médait ro mangéy dini. 
MAT.22.9	Agéw gom mangéy dob de dakél aguwon atin séngkat gom médoo do étéw taman atiy gito gome de.’ 
MAT.22.10	Mélaw i de sugu-suguén ménagéw ro dob de aguwon atin lénimud roy de médoo do étéw, sani kéluhanay de énggito ro do fiyo étéw brab do tete étéw. Atin mélaw i gonoy uyote ni toow fo ménféno bé étéwe. 
MAT.22.11	Endob amun ménahur i datue inok téngténgé noy de kana, énggito noy ségétéwe lagéy énda kéménégalén loo bé fatute dob uyote. 
MAT.22.12	Atin ménénginsa i datue mano, ‘Adih, sedek ménahur go dob ni uyot énda kéménégal go loo bé fatute?’ Endob énda séménumbul i lagéye ni. 
MAT.22.13	Tidéw béno, bénréh i datue dob de sugu-sugué no mano, ‘Ikét gom i de kémérén brab de sékéyén, atin ibér gom dob liyuy lawie ni mangéy dob délémone. Diyo kémérew brab kémigét i de kifé no.’ ”
MAT.22.14	Atin fénggilid Jesusey binuwayae ni mano, “Non fiyon fo ké médooy de étéw sénéngkat i Tuluse, kloh saén i méfémilie de waléy do étéwén.”
MAT.22.15	I de Fariseo, ménangéy ro sélimud sébero-bero saén. Atin ménsébéréh-béréh ro fantag bé ati kéténgkad ro bé Jesuse inok gébéréh bé békéne damén katabuwan. 
MAT.22.16	Tidéw béno, sénugu roy de dumo bé de kuyug ro brab de dumo bé de kuyug Datu Herod mangéy ménginsa dob Jesuse. Atin ménbéréh i de ni étéw dob Jesuse maro, “Maistéro, gétiga key toow i kétoro me. Brab métintu go, énda i isu ramigo mo bé de étéw. Yamula toroé moy toowe fantag bé kétayay Tuluse toow. 
MAT.22.17	Mélaw béréhém begey, ati karang me de, aw fatut gey ba mayad buwis dob Sesare, sani datue dob Roma taloo no énda?”
MAT.22.18	Endob i Jesuse énggétiga noy tetee kétaya ro brab bénréhén bero mano, “I de begom do ubo-ubo gom saén méngintulus. Sedek télamané kom Begén fagakaran? 
MAT.22.19	Féténgténg gom Begén i félatahe kurta fégébuwis.”
MAT.22.19	Amun niraya ro de, 
MAT.22.20	ménénginsa i Jesuse dob berowe mano, “Ati gefee dawét brab falas gito gom dob nan?”
MAT.22.21	Séménumbul ro maro, “Ka Sesar.”
MAT.22.21	Tidéw béno, bénréh Jesuse mano, “Iray gom dob Sesarey ka Sesare. Brab iray gom dob Tulusey kay Tuluse.”
MAT.22.22	Amun énggélingoo roy ni, ménggaif ro bé késumbul Jesuse. Atin ménagéw ro ténagak roy Jesuse.
MAT.22.23	Bé no so térésang, wén i de Saduseo ménangéy ro dob Jesuse. (Been i berowey de énda méngintoow bé kéfétébule i Tuluse bé de étéw moso.) 
MAT.22.24	Ménbéréh ro dob Jesuse maro, “Maistéro, bénréh Moisese bé buluk i ofo i ménléhue, brab énggéféledo noy bawag ne, énda i nga ro, fatut bawagéy tuwaréy ne inok wén i séfu i ni étéw bé tuwaréy ne. 
MAT.22.25	Na, wén i fitéw gétéw sétuwaréy falan lagéy ménbati dini Brab i ofoe de ménawag. Tidéw béno, ménléhu énda i nga ro. Tidéw béno, i gétunduge de bénawagén soy bawage fénled i ofo ne. 
MAT.22.26	Atin ménléhu so énda i nga ro. Atin i gétéléwe de bénawagén so taman dob géfitéw ruwe. Endob ménléhu ro kéluhanan énda i nga ro. 
MAT.22.27	Tidéw béno, ménléhu soy ni libun. 
MAT.22.28	Mélaw bé gaiy kétébulee moso, ati isuwe bawag i ni libun bé de ni fitéw gétéw sétiman idéng? Non énggébawaga no bero kéluhanan bé méuyag ro de séna.”
MAT.22.29	Séménumbul i Jesuse mano, “Tintu békén katabuwan i kéfégitung gome. Non énda gétiga kom i Ménsulate Kébéréh i Tuluse taloo noy barakat ne. 
MAT.22.30	Non amuk tébule i de étéw, ségiléw ro bé de télaki dob lawayo atin énda sébawag ro. 
MAT.22.31	Atin fantag bé kétébulee, aw énda séna énggébasana kom i Ménsulate Kébéréh i Tuluse dob begome? 
MAT.22.32	Fiyon fo ké ménléhu i ro Abrahame, Isak, brab Jakob, bang i Tuluse, ‘Begéney Tuluse féngadafé Abrahame, Isake, brab Jakobe.’ I atag i ni, i Tuluse féngadaféy de méuyag do étéw, békén i de ménléhu.”
MAT.22.33	Atin amun énggélingooy de étéw i ni kétoro Jesuse, ménggaif ro.
MAT.22.34	I de Fariseo, amun énggélingoo roy fantage bé kéféantés Jesuse bé de Saduseo, ménsélimud ro. 
MAT.22.35	Atin i ségétéwe bero témoro bé kitabe, ténéngkadén i Jesuse inok énda damén katabuwan i késumbul ne. 
MAT.22.36	Ménénginsa mano, “Maistéro, ati isuwe toow fo gérotor bé de sugu dob kukumay Tuluse?”
MAT.22.37	Séménumbul i Jesuse mano, “Féimu go bé Kadnane Tulusém bé kéluhanay fédéw me, brab kéluhanay kamatu me, brab kéluhanay itunga muwe. 
MAT.22.38	Been i niy toowe fo gérotor sugu. 
MAT.22.39	I géruwowe toow fo gérotor sugu ringon so bé sunguwe de. Féimu go bé dumo muwe ringon so bé kéimu me bé kaame lowoh. 
MAT.22.40	I toowe atag i kéluhanay de kukuman niray Moisese betom tidéw dob ni ruwo timan sugu. Tidéw so dob niy kéluhanay ténoro i de sénarigoy Tuluse muret bé kébéréh ne.”
MAT.22.41	Amun ménlimud sénay de Fariseo, ménénginsa i Jesuse dob berowe mano, 
MAT.22.42	“Ati antaf gom bé Kristowe? Ati katufua nuwe?”
MAT.22.42	Séménubul i de Fariseo maro, “Dabid i katufua Kristowe.”
MAT.22.43	Ménbéréh man i Jesuse mano, “Amuk loo, ati kéfanu-fanu nuwe ké fénbéréh i Rémogor i Tuluse bé Dabide bé fédawétén i Kristowe ‘Kadnan?’ Non ménbéréh i Dabide mano, 
MAT.22.44	‘I Kadnane ménbéréh dob Kadna kuwe, sar go dob kuwono kuwe taman témabanu bé de sébanil Beem.’ 
MAT.22.45	Amuk féndawét Dabidey Kristowe ‘Kadnan’, ati kéfanu-fanu nuwe ké i Kristowe séfu Dabide saén?”
MAT.22.46	Endob énda i ségétéw bero énggésumbul, ménantés ro. Atin tidéw bé no gai, éndaén i étéw émbaraw ménginsa dob Jesuse.
MAT.23.1	Tidéw béno, ménbéréh i Jesuse dob de ménsélimud étéw brab dob de kuyugén mano, 
MAT.23.2	“I de témoro bé kitabe brab de Fariseo, beroy de étéw sénarigon témoro bé kitabé niray Moisese. 
MAT.23.3	Mélaw fatut odoro kom démoyun i kéluhanay kétoro ruwe begom. Endob kagom iringén i de rigoné ro non énda modor ro bé karowe kétoro. 
MAT.23.4	Sugué roy de étéw bé médoowe, maak féobo ro beroy de toow fo émbégat do obo, éndob énda témabang ro de. 
MAT.23.5	Fédayéw-dayéw ro saén dob téngaangay de étéw. Féndakél roy de fédongo ro bé Ménsulate Kébéréh i Tuluse ténaléy ro bé de kémér ro inok gitoy de étéw. Atin féntaah roy de kégal ro maak do tintu fo méngintulus. 
MAT.23.6	Atin méuyot ro mésar dob de fiyo saran dob kandulie brab dob de lawi féngadafan. 
MAT.23.7	Atin méuyot ro fégadatan ségifaén dob de fadiyan brab fédawét i de étéw bero ‘Maistéro.’ 
MAT.23.8	Endob kagom fédayaén i de étéw fédawét ro begom ‘Maistéro’, non fantay-fantay gom sédumon atin ségétéw saén i Maistéro gome. 
MAT.23.9	Atin kagom fédawét i de étéw dob duniyae ni ‘Abay’, non ségétéw saén i Abay gome sani Tuluse dob lawayo. 
MAT.23.10	Atin kagom so fédayaén i de étéw fédawét ro begom ‘Uléw’, non ségétéw saén i Uléw gome sani Begéne, Kristo. 
MAT.23.11	I toowe na fo gérotor dob begome fatut waléy sugu-suguén. 
MAT.23.12	Atiy étéwe téfégérotor, fégérifantadén. Atin i étéwe térifantad, fégérotorén.
MAT.23.13	“I begome do Fariseo brab do témoro bé kitabé, mékukum gom fo toow. Ubo-ubo saén i kéféngintulus gome. Alangé kom i de étéw méuyot mahur dob kéféguléw i Tuluse. Mika gom mahur atin alangé kom i de étéw méuyot mahur. 
MAT.23.14	Mékukum gom fo toow do témoro bé kitabe brab begome so do Fariseo. Ubo-ubo saén i kéféngintulus gome. Lafisé kom i de libun baléw inok afasé kom i de lawi ro. Tidéw béno, démasal gom bé de métaah kédasal dob téngaangay de étéw non makom ké médirung i de ni tete rigoné kom. Sabaf bé ni toow na fo gétimal ké mékukum gom moso.
MAT.23.15	“Mékukum gom fo toow do témoro bé kitabe brab begome do Fariseo. Ubo-ubo saén i kéféngintulus gome. Mégéror gom magéw émféunur bé ségétéwe étéw dob Tuluse. Endob amuk munur, féwaléyé kom toow na fo tete bé begome, funa no toow na fo fatut mangéy dob uleono emferno.
MAT.23.16	“Mékukum gom fo toow. Maak do langafén gom éndob araké kom i de ségiyo étéw. Ténoro gom bé fiyon fo ké wén i étéw sémafa bé lawi i Tuluse, ulanden ké énda métuma no. Endob amuk wén i rémigo safa bé de bélowon dob lawi i Tuluse, béréhé kom tintu fo fatut tumané noy fasad ne. 
MAT.23.17	Dufang gom brab maak langafén gom. Ati isuwe toow na fo gérotor, i de bélowon dob lawi i Tuluse look i mékétéfuwe lawi i Tuluse funay de bélowon mékétéfu? Toow na fo balilaga i lawi i Tuluse. 
MAT.23.18	Atin témoro gom so bé amuk sémafa i étéwe dob ahayane tulakan dob lawi i Tuluse, ulanden ké métuman i fasad ne. Endob amuk sémafa bé atiy tulake diyo dob no tulakan béréhé kom dob beene bé tintu fo fatut tumané noy fasad ne. 
MAT.23.19	Toow gom fo maak do langafén! Ati isuwe toow na fo gérotor, i tulake look i mékétéfuwe tulakan funay tulake mékétéfu? Mas gérotor i ahayane tulakan. 
MAT.23.20	Mélaw amuk sémafa i ségétéwe étéw dob ahayane tulakan, énda saén sémafaén dob nan, yamula sémafa so dob kéluhanay de tulak féndiyo dob ahayane. 
MAT.23.21	Atin amuk sémafa i ségétéwe étéw dob lawi i Tuluse, énda sémafaén saén dob nan, yamula sémafa so dob Tuluse bati diyo. 
MAT.23.22	Atin amuk sémafa i ségétéwe étéw bé lawayo, sémafa so dob saray Tuluse brab dob Tuluse mésaran de.
MAT.23.23	“Mékukum gom fo toow do témoro bé kitabé brab de begom do Fariseo. Ubo-ubo saén i kéféngintulus gome. Iray gom dob Tulusey géfoloe bé kéluhanay languntama kome fiyon i faninue nohok gom, éndob dénigur gom i de gérotor sugu dob kitabe loo bé kétintuwe, brab kégédawe, brab gésarigone adat. I de ni niray gom fatut rigoné kom éndob kagom digurén i de dumo de. 
MAT.23.24	Maak do langafén gom marak bé ségiyowe étéw! Modor gom bé de kloh do sugu éndob félisé kom i de gérotor do sugu. Ségiléw gom bé ségétéwe étéw kédané noy liféte tidéw dob wayége inémé no, éndob inémé noy dakéle ayam.
MAT.23.25	“Mékukum gom fo toow do témoro bé kitabe brab begome do Fariseo. Ubo-ubo gom saén métintu éndob i de fédéw gom toow fo tete. Non toow gom fo arumén brab lémiful. Ségiléw gom bé ségétéwe étéw urahé noy tabue look biléwe fingé fuweh saén éndob dungisan fo toow dob bukag ne. 
MAT.23.26	Maak do langafén gom, begom do Fariseo, non énda gito gom i toowe. Féfiyo gom i de fédéw gom loo bé ségétéwe murah bé bukag i tabue. Tidéw béno, tintu gom fiyo, brab métintuy adat gome so.
MAT.23.27	“Mékukum gom fo toow do témoro bé kitabe brab de begom do Fariseo. Ubo-ubo gom saén fiyo éndob tete i de adat gom. Ségiléw gom bé de lébéng fiyoy de falas ro dob liyuwe, éndob dob bukage wén i do bukal de brab do mérénah do bangkay. 
MAT.23.28	Non ubo-ubo gom saén métintu inok i de étéw karangé ro begom do fiyo étéw. Endob i de fédéw gom méféno bé tugie brab sala.
MAT.23.29	“Mékukum gom fo toow do témoro bé kitabe brab de begom do Fariseo. Ubo-ubo saén i kéféngintulus gome. Rémigo gom do fiyo lawi lébéngon kay de sénarigoy Tuluse, brab rémigo gom fiyo do lébéngon kay de métintu étéw ménrugayén ménléhu. 
MAT.23.30	Atin béréhé kom makom, ‘Amuk méuyag gey bé gaiwe méuyag i de ni sénarigoy Tuluse muret bé kébéréh ne, énda mamung gey bé de katufua key méméléhu bero.’ 
MAT.23.31	Endob bé nan kébéréh gom, fégito gom bé begom i de séfu i de ménméléhu bé de ni sénarigoy Tuluse. 
MAT.23.32	Mélaw fatut fétaus gom i de tete rénigoy de katufua kom. 
MAT.23.33	Maak do ulé gom non i de katufua kom maak do ulé ro. Mélaw kagom karangén de ké géséliya gom bé kékukume begom mangéy dob uleono emferno. 
MAT.23.34	Mélaw sugué kuy de sénarigoy Tuluse muret, brab de gétigan étéw, brab de témoro mangéy dob begome. Endob féléhué kom i de dumo bero, brab féléhué kom i de dumo bero dob de krus, brab badasé kom i de dumo bero dob de lawi féngadafan, brab fégétaé kom i de dumo bero dob de ségiyo-giyo ingéd. 
MAT.23.35	Mélaw mékukum gom bé sala i de étéw bé kéféléhu ruwe bé de métintu étéw, tidéw dob sunguwe métintu étéw ménléhu féndawét Abel taman dob Sekariase sani nga Barakiase. Fénléhu dob lawi i Tuluse dob élét i ahayane tulakan brab mékétéfuwe sibéy. 
MAT.23.36	Béréhé ku begom i toowe, i de begom do étéw méuyag béni mékukum gom sabaf bé de ni sala bé kéféléhue bé kéluhanay de ni.”
MAT.23.37	Tidéw béno, ménbéréh i Jesuse fantag bé adat i de étéw dob Jerusalem mano, “I Begome do étéw dob Jerusalem, tete i fédéw guwe fantag bé begome. Non fénléhu gom i de sénarigoy Tuluse muret brab nibéro kom batéw i de sénugu dob begome taman ménléhu ro. Firoy gule i kétaya kuwe témimu begom loo bé kétimu i méritone manok télikub-kubo noy de fiyakén bé de fafakén? Endob ménika gom de. 
MAT.23.38	I lawi gome métagak brab mébinasa moso. 
MAT.23.39	Atin béréhé ku begom, tidéw béleewe ni, éndaén gito gom Begén taman énda émbéréh gom moso, ‘Féfiyonéy Tuluse damén i gégumahe tidéw dob Kadnane.’ ”
MAT.24.1	I lala Jesuse magéw tidéw dob lawi i Tuluse, i de kuyugén ménfégédét ro dob Beene toroé roy de fiyo falasén do lawi bé lawi i Tuluse. 
MAT.24.2	Endob ménbéréh i Jesuse mano, “Gito gom i de ni? Béréhé ku begom i toowe, i kéluhanay de ni mébinasa, brab fiyon i de batéw fénggérigo de émbéragar ro.”
MAT.24.3	Amun ménsar i Jesuse dob tuduke féndawét Olibo, ménangéy i de kuyugén dob Beene sébero-bero saén. Atin ménbéréh ro maro, “Béréhém begey kédiron mérigoy de ni. Brab ati fégélolonone de ké gédétén gégumah i késéfule me brab tamfaday de gai?”
MAT.24.4	Séménumbul i Jesuse mano, “Ingat gom inok énda méfagakaran gom. 
MAT.24.5	Non médoo mosoy de étéw gégumah usaré roy dawét guwe, brab béréhé ro maro, ‘Begéney Kristowe.’ Atin médooy de géfagakara ro. 
MAT.24.6	Atin gélingoo kom i kébéréh i sétibohe brab gélingoo kom soy fantage bé de gira. Endob kagom mégilak de. I de ni kailangan mérigo éndob békén sénay ni tamana nuwe. 
MAT.24.7	I de ingéd sétiboh ro bé de ségiyo ingéd. Brab i de sakuf fangangaturan sétiboh ro bé de ségiyo. Atin wén mosoy lénggob brab do luba dob de séségiyo-giyo do ingéd. 
MAT.24.8	Endob i de ni féganaya no saén loo bé kéféganay i kékédawétay ségétéwe libun obor gédétén mégénga.
MAT.24.9	“Atin i kéluhanay de étéw mérarék ro begom sabaf bé kéunur gome Begén. Atin mélaw kéfoén gom inok férasayé ro begom brab féléhué ro begom. 
MAT.24.10	Atin bé béno, wén i médoo do étéw témérén munur. Atin sékéfo ro brab mésérarék ro. 
MAT.24.11	Tidéw béno, médooy de ubo-ubo sarigoy Tuluse muret bé kébéréh ne gégumah brab fégakara roy de médoo do étéw. 
MAT.24.12	Atin sabaf bé kélégéb i tetee, éndaén ségédaw i de étéw. 
MAT.24.13	Endob ati géfédaydaye munur taman dob tamfadane, méfukas ro. 
MAT.24.14	Atin i ni Fiyo Uret fantag bé kéféguléw i Tuluse uretén dob kéluhanay de ingéd dob duniyae ni inok gétigay kéluhanay de étéw. Tidéw béno, gégumah i tamanane.
MAT.24.15	“Atin gito gom i ‘Mékésirang-sirange Surga’ bénréh i sénarigoy Tuluse féndawét Daniel bé do gétah. Atin témindég dob mékétéfuwe gonon.” (Fégésobutéy masawe.) 
MAT.24.16	Atin féntaus Jesusey kébéréh ne mano, “Bé béno gai, i de étéw bati dob Judea fatut méraréy ro dob de tuduk. 
MAT.24.17	Atin i étéwe dob liyuy lawi ne, békénén fatut mahur dob lawi ne inok angéyé noy insod ne. Fatut magayasén méraréy. 
MAT.24.18	Atin i étéwe diyo dob safad ne, békénén fatut séfule dob lawi ne inok angéyé noy géruwowe lafin kégalén. 
MAT.24.19	Bé do no do gai, toow fo mékégédaw-gédaw i de libun obor brab de mériton do idéng. 
MAT.24.20	Dasal gom dob Tuluse brab ongot gom dob Beene inok dob gaiwe kailanga kom i méraréye bé de gai mélégénéy taloo no gai kétérén. 
MAT.24.21	Non toow na fo gétimal i kérégéy ni bé kéluhanay de ségiyo do kérégénon dob ségiyowe gai tidéw bé kélimbag i Tuluse bé duniyae taman so béleewe ni. Atin éndaén i kérégénon loo bé ni tidéw bé béno gai. 
MAT.24.22	Endob i Tuluse fénfokoén i do no gai. Amuk énda rénigo noy ni, énda i ségétéw méuyag. Féfokoé noy de gai non ménuray i na nuwe bé de fénémilién étéw.
MAT.24.23	“Bé béno gai, amuk wén i émbéréh dob begome mano, ‘Téngténg gom, ay niy Kristowe,’ taloo no ‘Diyoo, ay nan,’ kagom munur de. 
MAT.24.24	Non gégumah i de émbéréh, ‘Begén i Kristowe,’ brab do ubo-ubo sénarigoy Tuluse. Atin gérigono roy de dakél mékégaif inok géfagakara roy de fénémili i Tuluse, amuk fakay. 
MAT.24.25	Fétuntay gom i de ni. Béréhé ku dob begome lokut énda séna mérigo no.
MAT.24.26	“Atin amuk wén i émbéréh dob begome mano, ‘Téngténg gom, diyo i Kristowe dob gonone énda i étéw de bati,’ kagom mangéy diyo. Look amuk émbéréh ro maro, ‘Téngténg gom, ay diyoo ménrékunéy,’ kagom munur de. 
MAT.24.27	Non i Nga i Kéilawane, sani Begéne, giton i késéfule guwe ségiléw bé kégitone bé kilote réméndaw tidéw sébangan mangéy élédon.
MAT.24.28	“Fiyon atiy gonoy de ménléhu, diyo soy de uwak sétimu.
MAT.24.29	“Enda mérugayén tidéw bé de mérégén do gai, i térésange waléy délémon, brab i térésang kélungonone éndaén réméndawén, brab i de gitoon mélawu ro tidéw dob lawayo brab i de éntingayén dob lawayo mékuyung. 
MAT.24.30	Tidéw béno, giton dob lawayoy fégélolonone bé kégumah guwe, sani Nga i Kéilawane. Atin i kéluhanay de étéw dob duniyae ni kémérew ro bé kégilak ruwe. Tidéw béno, gito ro Begén dob rawéne gégumah tidéw dob lawayo barakatan brab réméndaw. 
MAT.24.31	Atin dob métanuge béréh i témburiwe, sugué kuy de télaki gu mangéy dob séngae gonon dob duniyae ni. Atin timué roy de fénémilién étéw gu tidéw dob kéluhanay de ingéd.”
MAT.24.32	Tidéw béno, nuret Jesusey sébaane binuwaya mano, “Fétuntay gom i ni ufama fantag bé kayéwe. Dini dob betome ni, sonom lémbud i de fongo no brab émféantu daun, gétiga kom gédétén i basa médufe. 
MAT.24.33	Ségiléw so bé béno gai. Amuk gito gomén mérigoy de ni bénréh gu, gétiga kom gédétén i késéfule guwe. 
MAT.24.34	Atin béréhé ku begom i toowe, i de étéw méuyag béni, énda méléhu ro taman mérigoy de ni. 
MAT.24.35	I lawayo diyo brab duniyae ni méalfa, éndob i kébéréh guwe énda méalfaén.
MAT.24.36	“Endob énda i ségétéw gétigan bé gaiy kégumah i no gai séfuleu. I de télaki dob lawayo énda gétiga ro de, brab fiyon i Begéne, sani Nga i Tuluse, énda so gétiga ku de. I Abay guwe saén Tulus i gétigane bé nan gai. 
