MAT.1.1	Nigaj ijkuilijtoꞌ ito̱ka̱mej yej iyikyapatajwe̱wejmej Jesucristo,
MRK.2.19	Jesús kijtoj:
MRK.2.19	—¿Ix wel amo matakua̱ka̱n te‑ikni̱wa̱n ka̱n mona̱miktilo kua̱ꞌ chokotzi̱n yej mona̱miktiá onoꞌ iwa̱mej? Siga ompa onoꞌ chokotzi̱n, awel mamayuna̱ro̱ka̱n. 
MRK.2.20	Eꞌ yawi asítisan kua̱ꞌ kiwi̱gaskej chokotzi̱n, íkua̱ꞌ kena, mayuna̱ro̱skej.
MRK.2.21	’Iwá̱n ayagaj kitamaniá se̱ tzotzolsósol iga tzotzoltájkol yej mokówagoꞌ; iga yej mokówagoꞌ a̱kuis, iwá̱n má̱j weyi kitzaya̱nas tzotzolsósol. 
MRK.2.22	Ipan ikyapakuetaxtekon
MRK.2.23	Se̱ día kua̱ꞌ mose̱wilo, Jesús pano̱tia̱ya mi̱lijtiꞌ, iwá̱n idisci̱polojmej pe̱ꞌ iga kitejtektiajkij trigo. 
MRK.2.24	Fariseojmej kijtojkej:
MRK.2.24	—Taꞌ xikita, ¿te iga modisci̱polojmej kichi̱waj tekipáno̱l yej aye̱kti mamochi̱wa ipan día kua̱ꞌ mose̱wilo?
MRK.2.25	Eꞌ Jesús kijtoj:
MRK.2.25	—¿Ix ayí̱ꞌ ankilee̱rojkej yej ikya kichij David iwá̱n yej íwa̱n nemiáj kua̱ꞌ cholojtinemiáj, iwá̱n maya̱nakej? 
MRK.2.26	David kalaꞌ tio̱pan, íkua̱ꞌ Abiatar katka kimanda̱rowa̱ya sacerdo̱tejmej. Iwá̱n David, kikuaj pa̱mej yej itátkipa Dios, yej wel kikua̱ya petz sacerdo̱tejmej, iwá̱n kimáꞌ no̱ yej íwa̱n nemiáj.
MRK.2.27	Iwá̱n Jesús no̱ kijtoj:
MRK.2.27	—Dios achto kichij ta̱gaꞌ, después kitekimáꞌ iga mamose̱wi se̱ día; inó̱n kijto̱jneki iga ta̱gaꞌ má̱j importante que día kua̱ꞌ mose̱wilo. 
MRK.2.28	Nej yej iPiltzi̱n Ta̱gaꞌ wel nitatekimaka te̱ wel mamochi̱wa ipan día kua̱ꞌ mose̱wilo.
MRK.3.1	Jesús yajki sej ipan itio̱pamej israeli̱tajmej, iwá̱n ompa onoya se̱ ta̱gaꞌ yej ma̱takua̱wayaxtoꞌ. 
MRK.3.2	Iwá̱n kipi̱pixtoyaj Jesús iga makitaka̱n siga kachitialti̱j ipan día kua̱ꞌ mose̱wilo, ka̱nsan wel makite̱lwi̱ka̱n. 
MRK.3.3	Jesús kijlij yej ma̱takua̱wayaxtoꞌ:
MRK.3.3	—Ximoketza iwá̱n xiwi̱ki tatajkoya̱n.
MRK.3.4	Jesús kitajtan yej ompa onoyaj:
MRK.3.4	—¿Kén te̱ wel mochi̱wa ipan día kua̱ꞌ mose̱wilo; yej ye̱kti, o yej aye̱kti? ¿Mamoachitialti agaj o mamomikti?
MRK.3.4	Eꞌ yejemej atajtojkej. 
MRK.3.5	Jesús kitachi̱lij ino̱mej; kikuesowílijpa, iwá̱n moyo̱lmiktij iga ino̱mej yo̱ltakuaktikej. Jesús kijlij inó̱n yej ma̱takua̱wayaxtoꞌ:
MRK.3.5	—Xikmela̱wa moma̱ꞌ.
MRK.3.5	Iwá̱n inó̱n ta̱gaꞌ kimelaj ima̱ꞌ, iwá̱n ye̱ktiaꞌya. 
MRK.3.6	Iwá̱n ino̱mej fariseojmej ki̱skej; yajkij motajto̱lti̱toj iwá̱n sekin yej kitokaj rey Herodes,
MRK.3.7	Iwá̱n Jesús yajki ipan lagu̱najte̱n iwá̱n idisci̱polojmej, iwá̱n kitogaꞌ komati gente de Galilea. 
MRK.3.8	Kua̱ꞌ kimatikej iga Jesús kichi̱waya kuajkuantas yej ayi̱ꞌpa mo‑ita, ki̱skej gente de Judea, de Jerusalén, de Idumea, yej icha̱mej iyi̱ka̱n we̱ya̱ꞌ Jordán, de Tiro iwá̱n Sidón, iwá̱n yej najna̱ꞌsan icha̱mej iga yajkij kitatoj Jesús. 
MRK.3.9	Inó̱n íga Jesús kijlij idisci̱polojmej iga makite̱mowili̱ka̱n se̱ á̱ka̱l iga ompa matejkawi, iga amo makipi̱pitzko̱ka̱n. 
MRK.3.10	Iga kachitialtij komati iwá̱n miaꞌ yej we̱titoyaj, este mopi̱lowa̱yaj iga kichijchimisnekiáj Jesús. 
MRK.3.11	Kua̱ꞌ yej kipiayaj ma̱lespi̱ritojmej kitayaj Jesús, motankua̱ketzayaj iyi̱xtaj, iwá̱n tzajtziáj:
MRK.3.11	—¡Tej iPiltzi̱n Dios!
MRK.3.12	Eꞌ Jesús kitekimáꞌ iga amo nokta makijto̱ka̱n a̱ꞌyéj in yéj.
MRK.3.13	Iwá̱n Jesús tejkaj ipan se̱ tepe̱ꞌ iwá̱n ompa kino̱tzaꞌ yej yéjsan kitapejpen; iwá̱n yajkij ka̱n onoꞌ Jesús. 
MRK.3.14	Iwá̱n kitapejpen doce de yejemej iga íwa̱n manemika̱n iwá̱n iga makipowaka̱n itájto̱l Dios. 
MRK.3.15	Iwá̱n kijlijkej iga wel mataachitialti̱ka̱n iwá̱n iga wel makiki̱xti̱ka̱n ma̱lespi̱ritojmej. 
MRK.3.16	Ijkí̱n ito̱ka̱mej inó̱n doce yej kitapejpen Jesús: Simón, yej no̱ kito̱ka̱wij Pedro; 
MRK.3.17	Jacobo iwá̱n iyikni̱n yej ito̱ka̱ꞌ Juan, yej ipilówa̱mpa Zebedeo, Jesús kijlia̱ya Boanerges, yej kijto̱jneki “tajta̱gaꞌ yej nimaní̱n kuejkuesiwij.”
MRK.3.18	Kitapejpenkej Andrés, Felipe, Bartolomé, Mateo, Tomás, Jacobo yej ipiltzi̱n Alfeo, Tadeo iwá̱n Simón yej iparti̱doj nacionalista.
MRK.3.19	Iwá̱n Judas Iscariote, yej má̱j má̱j kinamáꞌ Jesús.
MRK.3.19	Iwá̱n Jesús kalaꞌ iwá̱n idisci̱polojmej ipan se̱ kajli. 
MRK.3.20	Iwá̱n sej poxsan monechko̱lo̱ꞌ, este Jesús iwá̱n idisci̱polojmej ayoꞌ wel takua̱yaj. 
MRK.3.21	Kua̱ꞌ kimatikej yej Jesús iparie̱ntejmej, wa̱lkej ka̱n onoꞌ iga makiwi̱gaka̱n, porque kijtowa̱yaj iga ayoꞌ ye̱ꞌtajla̱ntoꞌ.
MRK.3.22	No̱ yej tamachtiáj ipan la ley yej wa̱lkej Jerusalén, kijtojkej:
MRK.3.22	—Iní̱n ta̱gaꞌ nemi wa̱n Tzitzimiꞌ
MRK.3.23	Iwá̱n Jesús kino̱tzaꞌ la gente, iwá̱n kipowilijkej se̱ ka̱n mami̱xkui̱tilo, kijtoj:
MRK.3.23	—¿Kén wel Tzitzimiꞌ makiki̱xti Tzitzimiꞌ? 
MRK.3.24	Siga se̱ país mochi̱wa o̱me grupo iga mosenkuejkuesowaj, inó̱n país awel wejka̱was. 
MRK.3.25	Iwá̱n siga se̱ familia mose̱pankuejkuesowaj, awel wejka̱was iga mase̱titoka̱n. 
MRK.3.26	Siga Tzitzimiꞌ igá̱najsan kiki̱xtiá ma̱lespi̱ritojmej, yej yéjpasan itatki, awel wejka̱was, iwá̱n ompa tamis ipode̱r.
MRK.3.27	’Ayagaj wel kalaki cha̱n se̱ ta̱gaꞌ yej tajpalej iga makikui̱li yej itatki, siga ayá̱ꞌ achto kilpiá; ijkó̱n sí wel kitakuijkui̱li̱j.
MRK.3.28	’Nimitznojma‑ijliáj, iga Dios nochi wel ke̱lka̱wiliá yej kichi̱waj yej aye̱kti, iwá̱n nochi yej makijto̱ka̱n yej aye̱kti. 
MRK.3.29	Eꞌ yej mama̱ltajto iga iyEspí̱ritoj Dios, ayoꞌ wel nike̱man moe̱lka̱wili̱j, nochipa Dios kejla̱mikilijtos.
MRK.3.30	Ijkó̱n kijtoj Jesús iga kijlijtoyaj iga kipiaya ma̱lespí̱ritoj.
MRK.3.31	Mie̱j ómpaoꞌ onoya Jesús, asiꞌ iye̱ꞌ iwá̱n iyokichikni̱wa̱n, eꞌ kajkej fuera, iwá̱n tati̱tankej iga makino̱tzatij Jesús. 
MRK.3.32	Yej eje̱watoyaj iwá̱n kiyawalojtoyaj Jesús, kijtojkej:
MRK.3.32	—Moye̱ꞌ iwá̱n mookichikni̱wa̱n onokej fuera iga mitzte̱mowaj.
MRK.3.33	Jesús kijtoj:
MRK.3.33	—¿A̱ꞌyéj noye̱ꞌ iwá̱n nookichikni̱wa̱n?
MRK.3.34	Kitachi̱lij yej kiyawalojtokej, iwá̱n kijtoj:
MRK.3.34	—Iní̱mejwaꞌ in noye̱ꞌ iwá̱n nokni̱wa̱n. 
MRK.3.35	Yej kichi̱wa ken Dios kineki, ino̱nwaꞌ in nookichikni̱n, nosiwa‑ikni̱n iwá̱n noye̱ꞌ.
MRK.4.1	Jesús pe̱waꞌ sej tamachtij ipan lagu̱najte̱n, iwá̱n monechkoj komati gente ka̱n yéj onoya. Póxsanya katka komatimej, este Jesús tejkaj ipan se̱ weyi á̱ka̱l yej onoya ipan laguna, iwá̱n ompa mota̱lij iga tamachtij. Nochi gente onoya ipan a̱te̱n. 
MRK.4.2	Iwá̱n pe̱waꞌ tamachtij ipan miaꞌ ka̱n wel mami̱xkui̱tilo; iwá̱n kua̱ꞌ tamachtijtoya, kijtowa̱ya:
MRK.4.3	—Xikakika̱n iní̱n: Se̱ ta̱gaꞌ yajki to̱kato. 
MRK.4.4	Kua̱ꞌ nemi kipa̱pata̱naltiá íyo̱l trigo,
MRK.4.5	Onoꞌ yej wetzitoj tetza̱la̱n, ka̱n onoꞌ ajalí̱n ta̱jli. Iwá̱n inó̱n íyo̱l trigo ixwaꞌ nimaní̱n iga ta̱jli ayá̱ꞌ pox tilaktiꞌ. 
MRK.4.6	Eꞌ kua̱ꞌ to̱natiki̱saꞌ, pili̱niꞌ, iwá̱n wa̱guiꞌ iga ayá̱ꞌ monelwatij. 
MRK.4.7	Onoꞌ yej wetzito ipan witzyoj; witzyoj wejweyakej iwá̱n kijiyo̱miktij tato̱ꞌ iwá̱n ayá̱ꞌ ta̱guiꞌ. 
MRK.4.8	Eꞌ onoꞌ yej wetzito ka̱n yé̱ꞌta̱l. Ixwakej iwá̱n wejweyakej, iwá̱n pox mochij. Ipan sejsé̱ imia̱wayo kita̱lilij treinta, iwá̱n sekin kita̱lilij sesenta, iwá̱n sekin kita̱lilij cien.
MRK.4.9	Jesús kijtoj:
MRK.4.9	—Yej annakasyojkej, xine̱ye̱ꞌkakika̱n.
MRK.4.10	Kua̱ꞌ Jesús ká̱wiꞌya ise̱lti, yej onoyaj ite̱noj iwá̱n los doce disci̱polojmej kitajtankej te̱ kijto̱jneki o̱n ka̱n mami̱xkui̱tilo. 
MRK.4.11	Jesús kijtoj:
MRK.4.11	—Amejeme̱n Dios mitzmati̱ltiáj yej aya agaj kimati ken iga yéj reina̱rowa;
MRK.4.12	Ijkó̱n malej iga matachaka̱n, ken tikita ayá̱ꞌ tacháj. Malej iga matakakika̱n eꞌ amo makentende̱ro̱ka̱n nité̱, iga amo mamoyo̱lpataka̱n iwá̱n iga amo make̱lka̱wili̱ka̱n yej kichijkej yej aye̱kti.
MRK.4.13	Kijtoj no̱:
MRK.4.13	—¿Ix ayá̱ꞌ ankentende̱rowaj in iní̱n ka̱n mi̱xkui̱tilo? ¿Kéntaj anyawij ankentende̱ro̱tij sékinoꞌ má̱j ka̱n mami̱xkui̱tilo? 
MRK.4.14	Yej to̱ka, inó̱n ken yej kipowa itájto̱l Dios. 
MRK.4.15	Sekin ken tikita íyo̱l trigo yej wetziꞌ ipan ojti: kikakij itájto̱l Dios, eꞌ kua̱ꞌ kikakíkeja, wi̱ꞌ Tzitzimiꞌ iga ke̱lka̱walti̱kij tájto̱l yej ken kua̱ꞌ to̱ktoya ipan iya̱lmajmej. 
MRK.4.16	Sekin ken íyo̱l trigo yej wetziꞌ ipan teyoj, kikakij itájto̱l Dios iwá̱n kiye̱ꞌitaj. 
MRK.4.17	Eꞌ ken kua̱ꞌ ayá̱ꞌ nelwayojkej iwá̱n ayá̱ꞌ wejka̱waj. Eꞌ kua̱ꞌ panowa yej kiyo̱lmiktiáj o kijiyaj iga ne̱tokaj, mosemákaja. 
MRK.4.18	Iwá̱n sekin ken tikita íyo̱l trigo yej xi̱niꞌ ipan witzyoj; kikakij itájto̱l Dios, 
MRK.4.19	eꞌ kiyo̱ltila̱na nochi yej onoꞌ ipan iní̱n ta̱jli, kineki makipoxpiá tomi̱n iwá̱n ijkó̱n iga mopojpolowa, iwá̱n kuajkuantas kineki makipiá; nochi iní̱n ke̱lka̱waltiá itájto̱l Dios iwá̱n ayá̱ꞌ kichi̱wa yej ye̱kti. 
MRK.4.20	Eꞌ onoꞌ sekin yej kikakij itájto̱l Dios iwá̱n kiye̱ꞌitaj iwá̱n kichi̱waj yej ye̱kti. Sekin ken íyo̱l trigo yej kimáꞌ este treinta iwá̱n sekin ken yej kimáꞌ sesenta iwá̱n sekin ken yej kimáꞌ este cien ita̱kilka.
MRK.4.21	No̱ kijtoj:
MRK.4.21	—¿Ix mota̱liá tiꞌti itampa cajo̱n o itampa tapech? Awel, tiꞌti mota̱liá ajko iga mata̱wi. 
MRK.4.22	Puej inewi yej i̱ya̱ntoꞌ yawi mone̱xti̱ti. Iwá̱n nochi yej mo‑ichtaka‑ijtoj, yawi momatiti. 
MRK.4.23	Yej annakasyojkej, xine̱ye̱ꞌkakika̱n.
MRK.4.24	Iwá̱n no̱ kijtoj:
MRK.4.24	—Xikye̱ꞌkakika̱n yej nimitzijliáj, siga ankiyo̱lmakaj, ankentende̱ro̱skej. Achó̱n ke̱ꞌ agaj ankimakaskej, acho̱nsan no̱ Dios mitzmakaskej. 
MRK.4.25	Yej kipiá, yawij má̱j kimakatij; eꞌ yej akipiá, este yej alí̱n kipiá, yawij kikui̱li̱tij.
MRK.4.26	Jesús kijtoj no̱:
MRK.4.26	—Ken iga reina̱rowa Dios, ken tikita se̱ ta̱gaꞌ yej to̱ka. 
MRK.4.27	Kochi iwá̱n tane̱si moketza; á̱wil seꞌya día, yej kito̱gaꞌ ixwa iwá̱n weyá iwá̱n yéj akimati kén iga ixwaꞌ. 
MRK.4.28	Ta̱jli kixwaltiá; achto pochi̱ni iwá̱n má̱j má̱j ki̱sa imia̱wayo iwá̱n chika̱wayay íyo̱l. 
MRK.4.29	Kua̱ꞌ chika̱ꞌya ita̱kilka, kitékija iwá̱n mosasakay.
MRK.4.30	Kijtoj no̱ Jesús:
MRK.4.30	—Nia nimitzpowili̱tij seꞌ ka̱n mami̱xkui̱tilo iga xikmatika̱n kén iga Dios reina̱rowa. 
MRK.4.31	Ken tikita íyo̱l mostaza yej moto̱ka iwá̱n mochi̱wa weyikuawiꞌ, malej iga má̱j ali̱mpa de nochi semilla yej onoꞌ ipan ta̱jli. 
MRK.4.32	Eꞌ kua̱ꞌ motó̱gaꞌya, weyá má̱j sej que nochi tato̱ꞌmej, majma̱yowi poxsan, este to̱to̱mej wel moxeketiáj ompa iga tasejka̱n.
MRK.4.33	Jesús tamachtia̱ya miaꞌ ka̱n mami̱xkui̱tilo, este ke̱ꞌ yejemej wel kentende̱rowa̱yaj. 
MRK.4.34	Siga ayá̱ꞌ kipowaya ka̱n mami̱xkui̱tilo, ayá̱ꞌ tamachtia̱ya; idisci̱polojmej ka̱n iyokamej kijlia̱yaj te̱ kijto̱jneki inó̱n ka̱n mami̱xkui̱tilo.
MRK.4.35	Ino̱nsan día kua̱ꞌ tayowátiꞌya, Jesús kijlij idisci̱polojmej:
MRK.4.35	—Mati‑a̱pano̱ka̱n.
MRK.4.36	Iwá̱n Jesús kikajtej la gente iwá̱n yajkij iwá̱n idisci̱polojmej ipan ino̱nsan weyi á̱ka̱l ka̱n tamachtijtoya, iwá̱n kitokatiajkij sékinoꞌ má̱j a̱ka̱lmej. 
MRK.4.37	Eꞌ tzi̱ntiꞌ se̱ ejekaꞌ yej pox tajpalej, iwá̱n poxsan mopa̱palakachowa̱ya a̱ꞌti este kajkalakiá ipan á̱ka̱l iwá̱n némiya a̱te̱miá. 
MRK.4.38	Eꞌ Jesús kochtia̱ya itzi̱nkopa á̱ka̱l, mokuajtetontijtia̱ya iga kuajteton. Kixitijkej iwá̱n kijlijkej:
MRK.4.38	—¡Tamachtia̱ni! ¿In tej, atikita iga némiya ti‑a̱wetzij?
MRK.4.39	Jesús moketzaꞌ, kajajwaꞌ ejekaꞌ iwá̱n kijlij a̱ꞌti:
MRK.4.39	—¡Xipachiwi! ¡Xónosan!
MRK.4.39	Iwá̱n inó̱n ejekaꞌ pachiwiꞌ, iwá̱n santaka̱mpolijtika̱wiꞌ. 
MRK.4.40	Iwá̱n Jesús kijlij idisci̱polojmej:
MRK.4.40	—¿Te iga poxsan anmajmawij? ¿Ix áyataj anmoconfia̱rowaj ipan nej?
MRK.4.41	Iwá̱n yejeme̱n poxsan majmatikajkej, iwá̱n yejéme̱nsan mose̱sepantajtaniáj:
MRK.4.41	—¿A̱ꞌtaj yéj a̱n nokta in iní̱n ta̱gaꞌ yej este ejekaꞌ iwá̱n a̱ꞌti kitajto̱lkakij?
MRK.5.1	Asikej iyi̱ka̱mpa laguna, ka̱n ito̱ka̱ꞌ Gadara. 
MRK.5.2	Kua̱ꞌ Jesús temoj ipan á̱ka̱l; ki̱xna̱n se̱ ta̱gaꞌ yej kipiaya ma̱lespí̱ritoj, iwá̱n inó̱n ta̱gaꞌ ki̱saꞌ posa̱ntoj. 
MRK.5.3	Inó̱n ta̱gaꞌ kochá ka̱n moto̱kalo iwá̱n ayagaj wel kilpia̱ya malej iga cadena. 
MRK.5.4	Miaꞌ ve̱j kilpijkaj iga cadena ipan iyikxi iwá̱n ipan imajma̱ꞌ, eꞌ yéj kiko̱koto̱naya, ayagaj nokta wel kidomina̱rowa̱ya. 
MRK.5.5	Nochipa nentinemiá; semilwiꞌ iwá̱n senyówal, tzajtzitinemiá ipan tepe̱yoj iwá̱n ka̱n moto̱kalo, igá̱najsan momagatinemiá iga teꞌti. 
MRK.5.6	Eꞌ kua̱ꞌ kiwejka‑itaꞌ Jesús, motaloj iwá̱n motankua̱ketzato iyi̱xtaj. 
MRK.5.7	Tzajtzité̱waꞌpa iga kijlij:
MRK.5.7	—¿Té̱ tikneki nowa̱n, tej Jesús yej iPiltzi̱n Dios yej onoꞌ pox ajko? Nimitztajtaniliá iga amo xine‑ikno̱chi̱wa.
MRK.5.8	Ijkó̱n kijtoj iga Jesús ijkí̱n kijlijtoya:
MRK.5.8	—¡Ma̱lespí̱ritoj, xiki̱sa ipan iní̱n ta̱gaꞌ!
MRK.5.9	Jesús kitajtan:
MRK.5.9	—¿Té̱ moto̱ka̱ꞌ?
MRK.5.9	Iwá̱n kijtoj:
MRK.5.9	—Noto̱ka̱ꞌ Miaꞌ, iga nipoxkomatimej.
MRK.5.10	Iwá̱n kitekiꞌtajtanilij Jesús iga amo makiti̱tani wejka in ino̱mej ma̱lespi̱ritojmej. 
MRK.5.11	Ompiga onoya miaꞌ koyame̱mej, takuajtinemiáj ipan tepe̱ꞌ. 
MRK.5.12	Ma̱lespi̱ritojmej ijkí̱n kitekiꞌtajtanilijkej Jesús:
MRK.5.12	—Xine̱ti̱tanika̱n iga manikalakika̱n ipan koyame̱mej.
MRK.5.13	Jesús kijlij iga maya̱ka̱n ompiga; iwá̱n ino̱mej ma̱lespi̱ritojmej kijki̱stejkej ipan ta̱gaꞌ, iwá̱n kalakitoj ipan anka dos mil koyame̱mej, iwá̱n ino̱mej momajma̱petzko̱toj ipan barranko iwá̱n wetzitoj lagu̱najijtiꞌ. Iwá̱n ompa a̱mikikej.
MRK.5.14	Yej kicuida̱rojtinemiáj koyame̱mej mo̱ka̱cholojkej iwá̱n yajkij kipowatoj ipan a̱ltepe̱ꞌ iwá̱n ipan ra̱nchojmej iwá̱n yajkij la gente kitatoj te̱ sucede̱roj.
MRK.5.15	Kua̱ꞌ asikej ka̱n onoꞌ Jesús, kitakej inó̱n ta̱gaꞌ yej kipiaya ma̱lespi̱ritojmej, ye̱ꞌtajlá̱ntoꞌya iwá̱n este e̱watoꞌ; iwá̱n majmawikej. 
MRK.5.16	Iwá̱n ino̱mej yej kitakej, kipojkej de inó̱n ta̱gaꞌ yej kipiaya ma̱lespí̱ritoj, iwá̱n de koyame̱mej. 
MRK.5.17	Iwá̱n la gente kitekiꞌijlijkej Jesús iga makí̱saya ipan ita̱lmej.
MRK.5.18	Kua̱ꞌ Jesús nemi tejkawi ipan á̱ka̱l, inó̱n ta̱gaꞌ yej kipiaya ma̱lespí̱ritoj, kitekiꞌijlij iga mayáwiya íwa̱n. 
MRK.5.19	Eꞌ Jesús ayá̱ꞌ kineꞌ, kijlij:
MRK.5.19	—Xaj mocha̱n ka̱n onokej mokni̱wa̱n. Xikpowili̱ka̱n inewi yej toTe̱ko kichij iwá̱n tej, iwá̱n iga mitzikne̱lij.
MRK.5.20	Iwá̱n inó̱n ta̱gaꞌ kipowaꞌ nochi san ken iga kichij Jesús iwá̱n yéj. Kipojtinemiꞌ no̱ya̱n ipan íta̱l diez a̱ltepe̱ꞌ yej kijliáj Decápolis iwá̱n nochi kiye̱ꞌkakikej.
MRK.5.21	Kua̱ꞌ Jesús iwá̱n idisci̱polojmej a̱panojkej ipan á̱ka̱l, pox kipo̱lojkej Jesús; iwá̱n yéj ka̱ꞌ ipan a̱te̱n. 
MRK.5.22	Iwá̱n asiko se̱ ta̱gaꞌ yej manda̱rowa ipan se̱ itio̱pan israeli̱tajmej. Inó̱n ta̱gaꞌ ito̱ka̱ꞌ Jairo; kua̱ꞌ yéj kitaꞌ Jesús, motankua̱ketzaꞌ iyikxite̱noj. 
MRK.5.23	Iwá̱n poxsan kitajtanilij iwá̱n kijlij:
MRK.5.23	—Notaochi̱n némiya miki. Achi xaj xikta̱lili̱ti moma̱ꞌ iga maachitiá iwá̱n amo mamiki.
MRK.5.24	Iwá̱n Jesús yajki íwa̱n. Komati gente kipo̱lojtia̱ya, este mopi̱pitzkojtia̱yaj. 
MRK.5.25	Iwá̱n ompa ya̱ya no̱ se̱ siwa̱ꞌ yej we̱titoya, iga doce años ki̱stoya esti ken imé̱s yej awel pachiwiá. 
MRK.5.26	Iwá̱n miaꞌ médico, awel kipale̱wijkej, ma̱jwaꞌ kikno̱chi̱wayaj inó̱n siwa̱ꞌ, iwá̱n motatámija, eꞌ ayá̱ꞌ achitiáꞌ, ma̱jwaꞌ nemi we̱tiaya. 
MRK.5.27	Kua̱ꞌ kikaguiꞌ iga ompa nemi Jesús, inó̱n siwa̱ꞌ kitechojtiajki itepotztájbapa ka̱n po̱lijtia̱lo; iwá̱n kichijchimilij isota̱ntzótzol. 
MRK.5.28	Ipan iya̱lmaj kijtowa̱ya: “Masa a̱n nikchijchimili̱j itzótzol ni‑achitiás.” 
MRK.5.29	Iwá̱n íkua̱ꞌsan pachiwiꞌ iga kitztoya ken imé̱s; iwá̱n kimachí̱lija iga melaꞌachitiaꞌya nokta. 
MRK.5.30	Iwá̱n Jesús kimatiꞌ iga ipode̱r agaj kachitialtij. Tacháꞌ itepotztajpa ka̱n po̱lijtia̱lo, iwá̱n tatajtan:
MRK.5.30	—¿A̱ꞌyéj ne̱chijchimilij notzótzol?
MRK.5.31	Idisci̱polojmej kijtojkej:
MRK.5.31	—Tikita iga mitzpi̱pitzkojtiawij, iwá̱n titatajtani: “¿A̱ꞌyéj ne̱chijchin?”
MRK.5.32	Eꞌ Jesús ta̱tacháꞌ no̱ya̱n iga makita a̱ꞌyéj in yej kichijchin. 
MRK.5.33	Inó̱n siwa̱ꞌ kuekuechkatoya iga majmatoya iga kichijchimilij itzótzol. Yajki iyi̱xtaj Jesús motankua̱ketzato, iwá̱n kinojma‑ijlij te̱ kichij. 
MRK.5.34	Jesús kijlij:
MRK.5.34	—Nopíj, iga timoconfia̱roj ipan nej, ti‑achitiaꞌya. Iná̱n xaja tamelá̱, ti‑achitiaꞌya.
MRK.5.35	Mie̱j ta̱tapojtóyaoꞌ Jesús, asikej sekin yej wa̱lkej icha̱n Jairo, inó̱n yej manda̱rowa ipan se̱ tio̱pan. Kijtojkej:
MRK.5.35	—¡Mosiwa̱piltzi̱n miꞌya! Ayoꞌ má̱j xikuejkueso toTamachtia̱ni.
MRK.5.36	Eꞌ Jesús akitajto̱lkuiꞌ yej tajtojkej, iwá̱n kijlij Jairo:
MRK.5.36	—Amo ximajmawi. Ximoconfia̱ro ipan nej.
MRK.5.37	Iwá̱n Jesús ayoꞌ kineꞌ iga makitoka nochi, Pé̱dro‑san, Jacobo iwá̱n Juan yej iyikni̱n Jacobo. 
MRK.5.38	Kua̱ꞌ asíkeja cha̱n Jairo, Jesús kitaꞌ iga po̱po̱lijtolo̱ꞌ, pox cho̱katolo̱ꞌ iwá̱n wa̱ꞌtzajtzitolo̱ꞌ. 
MRK.5.39	Kalaꞌ Jesús iwá̱n kijtoj:
MRK.5.39	—¿Te iga poxsan an‑o̱yojtokej iwá̱n anwa̱ꞌtzajtzitokej? Iní̱n takotzi̱n ayá̱ꞌ miktoꞌ, yejwaꞌ kochtoꞌ.
MRK.5.40	Iwá̱n Jesús kiwejwetzkilijkej, eꞌ Jesús kikijki̱xtij inochi̱n. Kájkejsan Jesús iwá̱n yej íwa̱n senemiáj, takotzi̱n itaj iwá̱n iye̱ꞌ ka̱n mejmelajtoꞌ takotzi̱n. 
MRK.5.41	Iwá̱n Jesús kima̱ki̱tzkij takotzi̱n yej miktoꞌ iwá̱n tajtoj ipan itájto̱l, yej hebréojpa, kijtoj:
MRK.5.41	—Talita, cumi —yej kijto̱jneki: Takotzi̱n, nimitzijliá iga ximoketza.
MRK.5.42	Íkua̱ꞌsan in inó̱n takotzi̱n yej kipiaya doce años, moketzaꞌ, iwá̱n néjnenya. Iwá̱n poxsan moyo̱lmajtilo̱ꞌ. 
MRK.5.43	Eꞌ Jesús tatekimáꞌ iga amo mamopowa yej mochij. No̱ tatekimáꞌ iga mamotamákaya takotzi̱n.
MRK.6.1	Jesús ki̱saꞌ ompa iga mokuepaꞌ ipan íta̱l, iwá̱n kitokakej idisci̱polojmej. 
MRK.6.2	Kua̱ꞌ asiꞌ día kua̱ꞌ mose̱wilo, Jesús pe̱waꞌ tamachtij tio̱pan. Yej kikakiáj kén iga tamachtijtoya, san tajtachi̱xtika̱wiáj. Kijtowa̱yaj:
MRK.6.2	—Iní̱n ta̱gaꞌ, ¿ka̱n momachtij iga pox tajto̱lmati? ¿A̱ꞌ ijkó̱n kine̱xtilij? ¡Pox wel kichi̱wa milagro yej ayi̱ꞌpa mo‑ita! 
MRK.6.3	¿Ix ayejtaj el carpintero, inó̱n yej ipiltzi̱n María? Itzo̱yowa̱n ito̱ka̱ꞌ Jacobo, José, Judas iwá̱n Simón. Iwá̱n isiwa‑ikni̱wa̱n nigaj no̱ icha̱mej.
MRK.6.3	Iwá̱n ayá̱ꞌ kitajto̱lkuikej. 
MRK.6.4	Jesús kijtoj:
MRK.6.4	—Se̱ profeta nochi kitajto̱lkui̱liáj; eꞌ ipan iya̱ltepe̱ꞌ iwá̱n icha̱n ayá̱ꞌ kitajto̱lkuij niga iyikni̱wa̱n.
MRK.6.5	Jesús ompa awel kichij ni se̱ milagro; sékinsan kachitialtij, kita̱lílijpa ima̱ꞌ. 
MRK.6.6	Madmira̱dowa̱ya iga ino̱mej ayá̱ꞌ kicre̱dowa̱yaj. Iwá̱n Jesús tamachtijtinemiꞌ ipan a̱ltepe̱mej yej najna̱ꞌsan.
