MAT.1.1	Ni rguixogueꞌn quie ja xuzixtaꞌo Jesucristo. Naca Abraham len rey David xuzixtaꞌo Jesucristo. 
LUK.16.20	Lëscanꞌ uzu tu benꞌ yëchiꞌ gula laonëꞌ Lázaro. Lega dyianëꞌ yedzoꞌ zidzo. Naꞌ rbeꞌnëꞌ layu ruꞌa yuꞌu quie benꞌ uñaꞌa yugu dza. 
LUK.16.21	Biz̃i benꞌ yëchiꞌ rbezëꞌ rnëꞌë chi hueꞌ benꞌ uñaꞌa lëꞌëtiꞌ ta beganꞌ udaohuëꞌ. Naꞌ yaca becoꞌ ubigaꞌyacabaꞌ rlëꞌëyacabaꞌ yedzoꞌ dyianëꞌ. 
LUK.16.22	Biz̃i bdyin dza guti Lázaro. Naꞌra bequiëꞌ yaca ángel lëbëꞌ ta sunëꞌ guibá ganꞌ zu Abraham. Naꞌ lëzi benꞌ uñaꞌa gutinëꞌ pcachiꞌyaquëꞌ lëbëꞌ luꞌu yu. 
LUK.16.23	Naꞌra uyuꞌunëꞌ luꞌu guiꞌ gabila ga redzagalaohuëꞌ. Cati bechisa laonëꞌ rnëꞌë zituꞌ ga zu Abraham len Lázaro. 
LUK.16.24	Naꞌra uredyiyaꞌnëꞌ zidzo unëꞌ: “Xuzaꞌ Abraham, beyëchiꞌlaꞌadyiꞌ nëꞌëdiꞌ, useꞌelaꞌ Lázaro ulaꞌonëꞌ z̃benëꞌ nisa ta guidëꞌ dedzeꞌnëꞌn luꞌu ruꞌa yeyaꞌalaꞌ lëꞌëtiꞌ ganꞌ yuꞌa niga, porque lega tahuala redzagalaohuaꞌ ganꞌ yuꞌa laguiꞌ niga.” 
LUK.16.25	Naꞌra una Abraham gudyinëꞌ lëbëꞌ: “Z̃iꞌinaꞌ, bezaꞌlaꞌadyiꞌ guca dyaꞌa gula quioꞌ dza uzuloꞌ lao yedyi layu. Naꞌ biz̃i Lázaro niga, biguca dyaꞌa quienëꞌ. Lenaꞌ rezilaꞌadyiꞌnëꞌ zunëꞌ niga len nëꞌëdiꞌ. Naꞌ luëꞌ redzagalaoloꞌ ganꞌ yuꞌuloꞌ. 
LUK.16.26	Lëzi zu tu barranca ga nitaꞌndoꞌ niga. Naꞌ bisaqueꞌ guidandoꞌ ga zuloꞌ. Lëzi luëꞌ bisaqueꞌ guidoꞌ niga.” 
LUK.16.27	Naꞌra unë benꞌ uñaꞌa rëbinëꞌ Abraham: “Rnabayëchaꞌ laoloꞌ, xuzaꞌ Abraham, ta iseꞌeloꞌ Lázaro z̃an yuꞌu quie xuzaꞌ 
LUK.16.28	ganꞌ nitaꞌ gaꞌyoꞌ biꞌ bichaꞌ ta yëbinëꞌ leyacabiꞌ canꞌ raca quiaꞌ niga tacuenda biguidayacabiꞌ ganꞌ yuꞌa niga redzagalohuaꞌ.” 
LUK.16.29	Naꞌra una Abraham rëbinëꞌ lëbëꞌ: “Decazi guichi ga yuꞌu xtiꞌidzaꞌ Diuzi ta pcaꞌnnëꞌ lao naꞌa Moisés len yaca los demás benꞌ udixogueꞌ xtiꞌidzëꞌ. Lenaꞌ reyaꞌalaꞌ hueyaquëꞌ bala ulabayaquëꞌn.” 
LUK.16.30	Naꞌra unë benꞌ naꞌ rëbinëꞌ Abraham: “Nacan tali ca naoꞌ, xuzaꞌ Abraham, pero chi tzio tu benꞌ baguti beban tzetixogueꞌnëꞌ leyacabiꞌ, canaꞌ yetzaꞌyacabiꞌ pensari quieyacabiꞌ.” 
LUK.16.31	Naꞌra una Abraham rëbinëꞌ lëbëꞌ: “Chi bihueyacabiꞌ bala cabëꞌ diꞌidzaꞌ yuꞌu lëꞌë guichi laꞌiya quie Diuzi ta pcaꞌnnëꞌ lao naꞌa Moisés, len yaca los demás benꞌ udixogueꞌ xtiꞌidzëꞌ, nica yetzaꞌyacabiꞌ pensari quieyacabiꞌ baꞌalaꞌcazi tzio tu benꞌ baguti beban tzetixogueꞌnëꞌ leyacabiꞌ.”
LUK.17.1	Naꞌ una Jesús rëbinëꞌ yaca benꞌ quiëꞌ:
LUK.17.1	―Birdziogue nu benꞌ udzeꞌyela laguedyi ta inën leyaquëꞌ hueyaquëꞌ tamala. Pero hue Diuzi tu castigo huala gula quie benꞌ udzeꞌyela laguedyi. 
LUK.17.2	Quie nu benꞌ rudzeꞌyela xcuidiꞌ, huacaran huen quienëꞌ chi uquioyaquëꞌ tu yo z̃e lubaꞌnëꞌ, naꞌ uzalayaquëꞌ lëbëꞌ luꞌu yao z̃e gatinëꞌ luꞌu nisa, cala ca castigo hue Diuzi lëbëꞌ. 
LUK.17.3	Ulegapa cuidado cabëꞌ ruele.
LUK.17.3	’Uletila biꞌ bichile chanꞌ uquixibiꞌ bëbiꞌ condre leꞌe. Naꞌ chi betzaꞌbiꞌ pensari quiebiꞌ, uleziꞌz̃e quiebiꞌ.
LUK.17.4	’Baꞌalaꞌcazi baoquixibiꞌ babëbiꞌ condre leꞌe gadyi lasa lao tu dza, baꞌalaꞌcazi gadyi lasa bidabiꞌ unabiꞌ leꞌe: “Uz̃iꞌz̃e quiaꞌ, bira huaꞌ canaꞌ”, uleziꞌz̃e quiebiꞌ.
LUK.17.5	Naꞌ una yaca benꞌ quie Jesús rëbiyaquëꞌ lëbëꞌ:
LUK.17.5	―Gacalaoꞌ nëtoꞌ ta sudyiꞌilëndoꞌ Diuzi dyëꞌëdi.
LUK.17.6	Naꞌ una Jesús rëbinëꞌ leyaquëꞌ:
LUK.17.6	―Chi tali sudyiꞌilële Diuzi, laꞌacazi lëꞌëtiꞌzi, huazaqueꞌ yëbile tu yaga: “Uzaꞌ, uyo yetzuꞌu luꞌu yao z̃e”, naꞌ yaga hualen quiele cabëꞌ yëbilen.
LUK.17.6	Naꞌ una Jesús:
LUK.17.7	―Chi zu tu benꞌ rue dyin z̃an yuꞌu quiele ¿cala tanëro reyaꞌalaꞌ usiñaꞌnëꞌ ta gaole, te naꞌ huazaqueꞌ gaorënëꞌ, baꞌalaꞌcazi babënëꞌ dyin bedu dza? 
LUK.17.8	¿Cala tali naꞌ yëbileyaquëꞌ: “Psiñaꞌ ta gaohuaꞌ, te aodaohuaꞌ bahuaꞌa, natera huazaqueꞌ gaoloꞌ yoꞌoloꞌ”? 
LUK.17.9	¿Cala tali naꞌ biyëbile benꞌ rue dyin z̃an yuꞌu quiele: “Diuxcalele babële ca ta reꞌendaꞌ huele”, como danꞌ ca ta reyaꞌalaꞌ huecaziyaquëꞌ bëyaquëꞌ? 
LUK.17.10	Lëscanꞌ canaꞌ nacarën quie leꞌe. Caora babeyudyi babële yugulu ca una Diuzi leꞌe, naꞌtera reyaꞌalaꞌ yëbile Diuzi: “Nacandoꞌ benꞌ bibi zacaꞌte inaoꞌ nëtoꞌ diuxcalele, como danꞌ ca ta reyaꞌalaꞌcazi huendoꞌ bëndoꞌ.” ―Canaꞌ una Jesús gudyinëꞌ leyaquëꞌ.
LUK.17.11	Naꞌ uzaꞌ Jesús uyuꞌunëꞌ neza ta zionëꞌ ciudad Jerusalén udenëꞌ lao bezaꞌ estado Galilea ga sulao estado Samaria. 
LUK.17.12	Bëꞌ bdyinnëꞌ ganꞌ de tu yedyi, lëganꞌ naꞌ bro chi benꞌ yuꞌu yelaꞌ hueꞌ ca mal de pindo. Begaꞌnyaquëꞌ zituꞌ con ganꞌ zë Jesús. 
LUK.17.13	Naꞌ uredyiyaꞌyaquëꞌ zidzo rëbiyaquëꞌ lëbëꞌ:
LUK.17.13	―¡Jesús, Maestro, yeyëchiꞌlaꞌadyoꞌ nëtoꞌ ca nacandoꞌ!
LUK.17.14	Cati blëꞌë Jesús leyaquëꞌ cabëꞌ nacayaquëꞌ, unëꞌ rëbinëꞌ leyaquëꞌ:
LUK.17.14	―Uletzio uletzeluꞌe cuinle lao pxuzi.
LUK.17.14	Caora naꞌ uzaꞌyaquëꞌ zioyaquëꞌ. Biz̃i tu neza ganꞌ zioyaquëꞌ bez̃i yelaꞌ hueꞌ yuꞌuyaquëꞌ. 
LUK.17.15	Naꞌra bëꞌ blëꞌë tunëꞌ babez̃inëꞌ ca naca yelaꞌ hueꞌ yuꞌunëꞌ, naꞌ bebiꞌnëꞌ zeyonëꞌ ganꞌ zë Jesús unënëꞌ zidzo ruenëꞌ Diuzi benꞌ z̃e. 
LUK.17.16	Naꞌ ureꞌnëꞌ uditzu z̃ibinëꞌ lao Jesús, bdaꞌte laohue layu ta rëbinëꞌ Jesús: “Diuxcaleloꞌ.” Lëbenꞌ naꞌ naquëꞌ benꞌ estado Samaria. 
LUK.17.17	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
LUK.17.17	―¿Cala chi leꞌe beyaca? ¿Ganaz̃i iga yaca benꞌ beyacarë? 
LUK.17.18	Lëbenꞌ niga, benꞌ binaca benꞌ Israel, ¿tuzi lëbëꞌ bebiꞌnëꞌ zezaꞌnëꞌ niga ta ruenëꞌ Diuzi benꞌ z̃e?
LUK.17.19	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
LUK.17.19	―Bezuli, beyo. Danꞌ rzudyiꞌilëloꞌ Diuzi, lenaꞌ babez̃i yelaꞌ hueꞌ yuꞌuloꞌ.
LUK.17.20	Naꞌ bdyin tu dza una yaca benꞌ partido fariseo rëbiyaquëꞌ Jesús:
LUK.17.20	―¿Bata sulao inabëꞌ Diuzi lao yedyi layu?
LUK.17.20	Naꞌ una Jesús rëbinëꞌ leyaquëꞌ:
LUK.17.20	―Bide bi ilëꞌële cati sulao inabëꞌ Diuzi lao yedyi layu. 
LUK.17.21	Bisaqueꞌ yëbile benëꞌ: “Barnabëꞌ Diuzi yedyi niꞌ o “Barnabëꞌ Diuzi yedyi naꞌ” como danꞌ pensari yuꞌu luꞌu guicho laxtaꞌole, lenaꞌ inabëꞌ Diuzi.
LUK.17.22	Naꞌ bezu dza tula una Jesús rëbinëꞌ yaca benꞌ quienëꞌ:
LUK.17.22	―Huadyin dza cati gueꞌenle suliaꞌ leꞌe siquiera itu dzazi, pero bisaqueꞌ. 
LUK.17.23	Lëdza naꞌ ina yaca benëꞌ leꞌe: “Bazunëꞌ ni” o “Bazunëꞌ naꞌ” naꞌ bigalele quieyaquëꞌ. Bitziole inaole leyaquëꞌ ga tzioyaquëꞌ. 
LUK.17.24	Cabëꞌ rlëꞌële quie bdyito hueziuꞌ ratzo rtinan z̃an guibá, canaꞌ ilëꞌële nëꞌëdiꞌ, bichi yugulu benëꞌ, cati idyin dza yeguidaꞌ lao yedyi layu. 
LUK.17.25	Pero ca naca naꞌa, ruen zi yedzagalaotzaguiaꞌ usebiꞌ yaca benꞌ nitaꞌ naꞌa nëꞌëdiꞌ. 
LUK.17.26	Cabëꞌ bë yaca benꞌ unitaꞌ lao yedyi layu tiempote caora uzu Noé, canaꞌ huerë yaca benꞌ initaꞌ lao yedyi layu caora yeguidaꞌ tatula nëꞌëdiꞌ, bichi yugulu benëꞌ. 
LUK.17.27	Riꞌo raoyaquëꞌ, rtzaganaꞌyaquëꞌ, rtzaganaꞌrë z̃iꞌiyaquëꞌ hasta bdyin dza uyuꞌu Noé len familia quienëꞌ luꞌu barco quienëꞌ. Lëcanaꞌ ben yusiuꞌ huala gula, guca juicio quie nisa, guti lao yuguluteyaquëꞌ. 
LUK.17.28	Lëzi canaꞌ bërë yaca benꞌ unitaꞌ lao yedyi layu tiempote caora uzu Lot. Riꞌo raoyaquëꞌ, raꞌo rutiꞌyaquëꞌ, razaraꞌnyaquëꞌ rueyaquëꞌ yuꞌu quieyaquëꞌ. 
LUK.17.29	Pero cati bro Lot ciudad Sodoma, lëcanaꞌ bz̃exo Diuzi juicio guiꞌ, uyëzin z̃an guibá, bëtin yuguluteyaquëꞌ. 
LUK.17.30	Lëzi canaꞌ gacarë quie yaca benëꞌ initaꞌ dza bëꞌ yeguidaꞌ lao yedyi layu nëꞌëdiꞌ, bichi yugulu benëꞌ.
LUK.17.31	’Lëdza bëꞌ yeguidaꞌ tatula, chi initaꞌ yaca benëꞌ laliꞌa, bireyaꞌalaꞌ yeyuꞌuyaquëꞌ luꞌu yuꞌu quieyaquëꞌ ta cuioyaquëꞌ ta de quieyaquëꞌ nun quie danꞌ ruen baguinzi iz̃unoyaquëꞌ. Lëscanꞌ chi ziorëyaquëꞌ layela, bireyaꞌalaꞌ yeyoyaquëꞌ z̃an yuꞌu quieyaquëꞌ nun quie danꞌ ruen baguinzi iz̃unoyaquëꞌ. 
LUK.17.32	Bigalalaꞌadyiꞌle cabëꞌ guca quie z̃gula Lot. 
LUK.17.33	Nu benꞌ rdzebi gati, yelaꞌ naꞌ binaoyaquëꞌ nëꞌëdiꞌ, bigataꞌ yelaꞌ neban quieyaquëꞌ tuzioli. Pero nu yaca benꞌ birdzebi gati, yaca benꞌ nao nëꞌëdiꞌ, huataꞌ yelaꞌ neban quieyaquëꞌ tuzioli.
LUK.17.34	’Cani rniaꞌ leꞌe, lëyela cati yeguidaꞌ tatula, useriaꞌ yaca benꞌ nao nëꞌëdiꞌ, naꞌ iquiëꞌ yaca ángel leyaquëꞌ. Por ejemplo, chi rasi chopa benëꞌ tzaz̃e lao belaga, iquiëꞌ yaca ángel tunëꞌ, naꞌ yegaꞌn itunëꞌ. 
LUK.17.35	Chi zu chopa nigula rutuyaquëꞌ tzaz̃e lao guichi, iquiëꞌ yaca ángel tunëꞌ, naꞌ yegaꞌn itunëꞌ. 
LUK.17.36	Chi zu chopa beꞌmbyu rueyaquëꞌ dyin tzaz̃e layela, iquiëꞌ yaca ángel tunëꞌ, naꞌ yegaꞌn itunëꞌ.
LUK.17.37	Bëꞌ beyaquëꞌ canꞌ unëꞌ, naꞌra unayaquëꞌ rëbiyaquëꞌ lëbëꞌ:
LUK.17.37	―¿Gaz̃i gaca canꞌ baonaoꞌ, Señor?
LUK.17.37	Naꞌra bequëbinëꞌ rëbinëꞌ leyaquëꞌ:
LUK.17.37	―Caora rlëꞌële rëcho yaca bëchi ladza, canaꞌ inezile de ta zigo raoyacabaꞌ. Lëcanaꞌ gaca inezile ganꞌ gaca canꞌ baoniaꞌ.
LUK.18.1	Una Jesús tu diꞌidzaꞌ ni psëdinëꞌ yaca benꞌ quienëꞌ ca ta reyaꞌalaꞌ hueꞌlëyaquëꞌ Diuzi diꞌidzaꞌ yugu dza. Bireyaꞌalaꞌ yeyatiyaquëꞌ, bireyaꞌalaꞌ usanlaꞌadyiꞌyaquëꞌ ulidzayaquëꞌ Diuzi. 
LUK.18.2	Naꞌra unëꞌ rëbinëꞌ leyaquëꞌ:
LUK.18.2	―Biz̃i de tu yedyi ga uzu tu juez birapalaꞌnnëꞌ Diuzi, nica rapalaꞌnnëꞌ benëꞌ. 
LUK.18.3	Lëlao yedyi naꞌ, lëzi uzurë tu nigula, benꞌ baguti xquiuhue. Riotezi rionëꞌ lao juez ta rnabëꞌ huenëꞌ justicia quiëꞌ len quie benꞌ raca dilalënëꞌ. 
LUK.18.4	Baguca zë lasa biguꞌun juez huenëꞌ justicia quie nigula. Biz̃i naꞌra guca juez pensari unëꞌ: “Baꞌalaꞌcazi nunu rdzebaꞌ, nica Diuzi, nica yaca benëꞌ, 
LUK.18.5	por nun quie danꞌ nigula niga rdazi rdëꞌ ruenëꞌ nëꞌëdiꞌ zëdi, tanaꞌ lenaꞌ huacaliaꞌnëꞌ huaꞌ justicia quiëꞌ cuenda bira guidëꞌ hueranëꞌ nëꞌëdiꞌ zëdi. Bardanëꞌëdaꞌ rdazi rdanëꞌ ruenëꞌ nëꞌëdiꞌ zëdi.”
LUK.18.6	Naꞌ una Jesús rëbinëꞌ leyaquëꞌ:
LUK.18.6	―Canaꞌla bë juez mala pensari ca unëꞌ. 
LUK.18.7	Naꞌ niaꞌ leꞌe, ¿biz̃i raquele ca hue Diuzi? ¿Raquele bigacalë Diuzi yaca benꞌ quienëꞌ, benꞌ rulidza lëbëꞌ yugu dza yugu yela? ¿Raquele huadzë Diuzi bigacalënëꞌ yaca benꞌ quienëꞌ? 
LUK.18.8	Rniaꞌ leꞌe, bitzë Diuzi. Labezi gacalënëꞌ yaca benꞌ quiëꞌ. Pero cati yeguidaꞌ nëꞌëdiꞌ, bichi yugulu benëꞌ, ¿huadzeledaꞌ benꞌ rzudyiꞌilë Diuzi, lao yedyi layu?
LUK.18.9	Lëzi itu diꞌidzaꞌ ni una Jesús quie yaca benꞌ rlëꞌë cuine benꞌ dyaꞌa, naꞌ rlëꞌëyaquëꞌ laguedyiyaquëꞌ benꞌ mala. Naꞌ una Jesús:
LUK.18.10	―Uyo chopa benëꞌ luꞌu idaoꞌ rnabëꞌra ta ulidzayaquëꞌ Diuzi. Tunëꞌ naquëꞌ benꞌ partido fariseo. Naꞌ itunëꞌ naquëꞌ benꞌ huequiz̃u pquiz̃unëꞌ benëꞌ mazara ca ta reduꞌulanëꞌ siꞌnëꞌ. 
LUK.18.11	Biz̃i zutezi benꞌ partido fariseo rulidzanëꞌ Diuzi unëꞌ cani: “Xuzaꞌ Diuzi, niaꞌ diuxcaleloꞌ como danꞌ binacaꞌ ca benꞌ uban, binacaꞌ ca benꞌ mala, binacaꞌ ca benꞌ rutilë nigula quie benꞌ tula. Binacaꞌ ca benꞌ huequiz̃u niga. 
LUK.18.12	Nëꞌëdiꞌ ruaꞌ ubasi chopa lasa lao tu xman. Naꞌ runaꞌ tu cueꞌ lao chi cueꞌ ca tu ta ruaꞌ gan.” Canaꞌ unëꞌ gudyinëꞌ Diuzi. 
LUK.18.13	Naꞌ biz̃i benꞌ huequiz̃u, begaꞌnnëꞌ zëꞌ zituꞌla ganꞌ zë benꞌ fariseo. Nica reyaz̃onëꞌ yechisa laonëꞌ ladza. Naꞌ uzulaonëꞌ rcudyinëꞌ ruꞌachuꞌunnëꞌ unëꞌ rëbinëꞌ Diuzi: “Xuzaꞌ Diuzi, beyëchiꞌlaꞌadyiꞌ nëꞌëdiꞌ como danꞌ de dulaꞌ xquia quiaꞌ.” 
LUK.18.14	Naꞌra iniaꞌ leꞌe, beziꞌz̃e Diuzi dulaꞌ xquia de quie benꞌ huequiz̃u, zeyoguëꞌ z̃an yuꞌu quienëꞌ. Biz̃i quie benꞌ partido fariseo nenaocazi dulaꞌ xquia quiëꞌ lëbëꞌ. Rniaꞌ leꞌe, nu benꞌ rue z̃e cuine, huadyin dza hue Diuzi lëbëꞌ benꞌ yubeꞌezi. Naꞌ biz̃i nu benꞌ rue yubeꞌezi cuine, huadyin dza hue Diuzi lëbëꞌ benꞌ z̃e.
LUK.18.15	Naꞌ guca dza bdyin yaca benëꞌ ganꞌ zë Jesús, nequiëꞌyaquëꞌ xcuidiꞌ quieyaquëꞌ ta uquichinëꞌ naꞌanëꞌ ta huelaꞌiyanëꞌ leyacabiꞌ. Naꞌ biz̃i cati blëꞌë yaca benꞌ quie Jesús nequiëꞌyaquëꞌ xcuidiꞌ quieyaquëꞌ, naꞌ udilayaquëꞌ leyaquëꞌ. 
LUK.18.16	Naꞌra guz̃i Jesús yaca benꞌ quienëꞌ rëbinëꞌ leyaquëꞌ:
LUK.18.16	―Biudzunle yaca xcuidiꞌ. Guidagarayacabiꞌ ni como danꞌ ca naca quieyacabiꞌ, rue quieyacabiꞌ quie xuziyacabiꞌ, lëcanaꞌ nacarën quie benꞌ zio rue quie xtiꞌidzaꞌ Diuzi. 
LUK.18.17	Tali ca rniaꞌ leꞌe, chi nu yaca benꞌ birue quieyaquëꞌ xtiꞌidzaꞌ Diuzi ca rue xcuidiꞌ quie xuzibiꞌ, bisaqueꞌ yeyoyaquëꞌ guibá ganꞌ zu Diuzi.
LUK.18.18	Biz̃i bdyin tu benꞌ rnabëꞌ ganꞌ zë Jesús, naꞌ unëꞌ rëbinëꞌ lëbëꞌ:
LUK.18.18	―Maestro, benꞌ huen nacoꞌ. Nainaoꞌ, ¿ca biz̃i reyaꞌalaꞌ huaꞌ ta gataꞌ yelaꞌ neban quiaꞌ tuzioli?
LUK.18.19	Naꞌ una Jesús rëbinëꞌ lëbëꞌ:
LUK.18.19	―¿Bixquienꞌ naoꞌ nacaꞌ benꞌ huen? Tahuencazi naoꞌ canaꞌ, como tuzi Diuzi naquëꞌ benꞌ huen. 
LUK.18.20	Luëꞌ baneziloꞌ ca rna lëꞌë guichi laꞌiya quie Diuzi: “Biutiloꞌ nigula quie benꞌ tula. Bigutioꞌ benëꞌ. Bicuanloꞌ quie benëꞌ. Bisiuꞌ benëꞌ yëꞌ. Lëzi udapalaꞌn xuzoꞌ len z̃naoꞌ.” 
LUK.18.21	Naꞌra unë benꞌ naꞌ rëbinëꞌ Jesús:
LUK.18.21	―Yugulu ca rnaoꞌ, ruequiecazaꞌ len zaꞌcazaꞌ naohuaꞌn desde nacatiaꞌ xcuidiꞌ.
LUK.18.22	Bëꞌ be Jesús canꞌ unëꞌ, naꞌra unëꞌ rëbinëꞌ lëbëꞌ:
LUK.18.22	―De tu ta nerdziogueloꞌ hueloꞌ. Bëtiꞌ yugulu ta de quioꞌ, naꞌ bëꞌn yaca benꞌ yëchiꞌ. Canaꞌ gunra Diuzi taz̃e quioꞌ bëꞌ yedyinloꞌ ganꞌ zunëꞌ guibá. Naꞌ uda unao nëꞌëdiꞌ gacoꞌ benꞌ quiaꞌ.
LUK.18.23	Naꞌ biz̃i bëꞌ be benꞌ naꞌ ca una Jesús, naꞌ begaꞌnnëꞌ guquenëꞌ beyëchiꞌ gula, como danꞌ naquëꞌ benꞌ uñaꞌa huala gula. 
LUK.18.24	Caora blëꞌë Jesús guqueyëchiꞌnëꞌ, naꞌra unëꞌ rëbinëꞌ yaca benëꞌ:
LUK.18.24	―Zëdi gula nacan quie yaca benꞌ uñaꞌa ta yeyoyaquëꞌ guibá ganꞌ zu Diuzi. 
LUK.18.25	Nacaran yalo te tu camello naga yëchiꞌ, cala ca ta yeyuꞌu benꞌ uñaꞌa guibá ganꞌ zu Diuzi.
LUK.18.26	Naꞌ yaca benꞌ be canꞌ unëꞌ, unayaquëꞌ rëbiyaquëꞌ lëbëꞌ:
LUK.18.26	―Chi nacan zëdi gula yeyuꞌu yaca benꞌ uñaꞌa guibá ganꞌ zu Diuzi, ¿ca nuz̃i saqueꞌ yeyuꞌu?
LUK.18.27	Naꞌra una Jesús rëbinëꞌ leyaquëꞌ:
LUK.18.27	―Tu ta bisaqueꞌ hue yaca benëꞌ, Diuzi sí, huazaqueꞌnëꞌ huenëꞌn.
LUK.18.28	Naꞌ biz̃i unë Pedro rëbinëꞌ Jesús:
LUK.18.28	―Señor, nëtoꞌ bapcaꞌnndoꞌ yugulu ta de quiendoꞌ cuenda zaꞌndoꞌ inaondoꞌ luëꞌ.
LUK.18.29	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
LUK.18.29	―Nacan tali canꞌ rniaꞌ leꞌe. Con nutiꞌtezi benꞌ pcaꞌn nu yuꞌu, nu xuzi, nu z̃nëꞌë, nu bichi, nu z̃gule, nu z̃iꞌine tanun quie danꞌ bazionëꞌ naonëꞌ xneza Diuzi, 
LUK.18.30	hueyuꞌera Diuzi taz̃era quienëꞌ dza rdanëꞌ lao yedyi layu cala ca tu ta pcaꞌnnëꞌ. Naꞌ bëꞌ yedyinnëꞌ guibá ganꞌ zu Diuzi, hueꞌnëꞌ lëbëꞌ yelaꞌ neban tuzioli.
LUK.18.31	Naꞌ guz̃i Jesús lao chipchopa benꞌ quienëꞌ ubigaꞌyaquëꞌ tzalaꞌla unëꞌ rëbinëꞌ leyaquëꞌ:
LUK.18.31	―Uletzaꞌ tzioro ciudad Jerusalén ga uzu diꞌidzaꞌ ca diꞌidzaꞌ bzu yaca benꞌ quie Diuzi lëꞌë guichi dza naꞌte. Lëꞌë lëguichi naꞌ rguixogueꞌn cabëꞌ usacaꞌ yaca benëꞌ nëꞌëdiꞌ, bichi yugulu benëꞌ. 
LUK.18.32	Naꞌ yaca benꞌ yedyi quiaꞌ usedyinyaquëꞌ nëꞌëdiꞌ lao naꞌa benꞌ tula ta utituyaquëꞌ utasi unioyaquëꞌ nëꞌëdiꞌ, udaꞌyaquëꞌ z̃enꞌ laohuaꞌ. 
LUK.18.33	Lëzi huaguiyaquëꞌ gutiyaquëꞌ nëꞌëdiꞌ. Biz̃i bëꞌ gaca lao tzona dza, huebanaꞌ yerogaꞌ ganꞌ ucachiꞌyaquëꞌ nëꞌëdiꞌ. 
LUK.18.34	Pero yaca benꞌ quie Jesús biuyoñeꞌeyaquëꞌ cabëꞌ gudyi Jesús leyaquëꞌ. Binacan quieyaquëꞌ ta tzioñeꞌeyaquëꞌ canꞌ unëꞌ.
LUK.18.35	Bagazi idyinyaquëꞌ yedyi Jericó, naꞌ reꞌ tu benꞌ laochula tu neza ganꞌ zioyaquëꞌ rnabëꞌ caridad. 
LUK.18.36	Biz̃i bëꞌ be benꞌ laochula rde yaca benꞌ zë gula, caora naꞌ unabanëꞌ yaca benꞌ binꞌ guca danꞌ rdezi rdeyaquëꞌ. 
LUK.18.37	Naꞌra unayaquëꞌ rëbiyaquëꞌ lëbëꞌ:
LUK.18.37	―Huade Jesús, benꞌ yedyi Nazaret, ganꞌ reꞌloꞌ niga.
LUK.18.38	Quie lenaꞌ unëꞌ zidzo:
LUK.18.38	―¡Jesús, z̃iꞌi suba rey David, beyëchiꞌlaꞌadyiꞌ nëꞌëdiꞌ!
LUK.18.39	Biz̃i yaca benꞌ dyialao laohuëꞌ, rdilayaquëꞌ lëbëꞌ ta bira inënëꞌ, pero unërëꞌ zidzora unëꞌ:
LUK.18.39	―Z̃iꞌi suba rey David, beyëchiꞌlaꞌadyiꞌ nëꞌëdiꞌ.
LUK.18.40	Biz̃i uleza Jesús, bënëꞌ mandado yexiꞌyaquëꞌ benꞌ laochula. Caora bdyinnëꞌ gaꞌalaꞌ ganꞌ zë Jesús, naꞌra unaba Jesús lëbëꞌ:
LUK.18.41	―¿Ca biz̃i reꞌenloꞌ huaꞌ quioꞌ?
LUK.18.41	Naꞌ bequëbi benꞌ laochula nëꞌ:
LUK.18.41	―Señor, reꞌendaꞌ yelëꞌëdaꞌ.
LUK.18.42	Naꞌra una Jesús rëbinëꞌ lëbëꞌ:
LUK.18.42	―Babeyacoꞌ, barelëꞌëloꞌ naꞌa nun quie rzudyiꞌilëloꞌ Diuzi.
LUK.18.43	Ca tu beyudyizi unëꞌ canaꞌ, labelëꞌëte benꞌ laochula, uz̃iꞌnëꞌ zionëꞌ naonëꞌ Jesús ruenëꞌ Diuzi benꞌ z̃e. Lëzi yaca benꞌ blëꞌë canꞌ bënëꞌ quie benꞌ laochula, bëyaquëꞌ Diuzi benꞌ z̃e.
LUK.19.1	Naꞌra bëꞌ bdyin Jesús yedyi Jericó udenëꞌ lao yedyi naꞌ. 
LUK.19.2	Lëlao yedyi naꞌ uzu tu benꞌ uñaꞌa laonëꞌ Zaqueo. Nacanëꞌ xanꞌ benꞌ huequiz̃u. 
LUK.19.3	LëZaqueo reꞌennëꞌ ilëꞌënëꞌ Jesús cuenda huebëꞌnëꞌ lëbëꞌ. Pero birzaqueꞌnëꞌ ilëꞌënëꞌ lëbëꞌ, danꞌ lega bguꞌudiꞌ yaca benꞌ zë gula. Naꞌ lëbëꞌ naquëꞌ benꞌ chaco, binaquëꞌ benꞌ huegoꞌ. 
LUK.19.4	Naꞌra zionëꞌ taria udyialaonëꞌ bdyinnëꞌ ganꞌ zu tu yaga laona sicómoro cuëta neza ganꞌ zio Jesús. Biz̃i naꞌ urënëꞌ lao yaga ta ilëꞌënëꞌ Jesús dyëꞌëdi. 
LUK.19.5	Biz̃i cati bdyin Jesús ganꞌ, bechisa laonëꞌ rnaꞌnëꞌ lao yaga ganꞌ dyia Zaqueo. Naꞌ unëꞌ rëbinëꞌ lëbëꞌ:
