MAT.1.2	Abalaam hako noow Isak, tonde Isak hako Yaakop, tonde Yaakop hako Yuda-so halindin, 
MRK.5.9	Tonde Yesu lingin nambe, “Ohaalem nambe?” Le nêêl nambe, “Sa haalengg nambe Omaaho-maaho, nambe hey ngeeyaata lôôt.” 
MRK.5.10	Tonde kataangg osin niwêêk vu Yesu nambe me-gatiiy sil lana taaku ngo le.
MRK.5.11	Tonde bik ngeeyaata mondaya va daale vahandangga ti ngaaho vu taakuu-ju, 
MRK.5.12	tombe mamu kataangg Yesu nambe, “Gambiing-ambe hey aandukana bik-anju londpayo.” 
MRK.5.13	Om Yesu liinggis-ande mamu nipaya lavuuh omaaho sen-anjuuto de lalukala bik alondpayo, tombe bik pin-anju latup-ambe laluus taaku pake be lalukala betum, tombe lanum bel-ambe layimb valok-ate. Bik-anju ngeeyaata lôôt lohvu 2 taosen.
MRK.5.14	Tonde hil sen danggin bik-ato lapak-ambe lala lanêêl banye vu hil bayêên bop osin bayêên pasi-pasiv pin, be lalaam in nambe lanji vaa-ju. 
MRK.5.15	Om lalaam vu Yesu be layi omaaho sen mamu Omaaho-maaho lahôôvu boyambôôy-ato, ond lukook anivasa lak-ambe havêêh yite tôômb laah-ande nando, tombe layêênin lôôt. 
MRK.5.16	Tombe hil sen layi mend ak vaa-ju ond lala lanêêl va sen Yesu wiing vu omaaho tii-ju osin lanêêl va sen lak bik-ato having. 
MRK.5.17	Tombe sil kataangg Yesu nambe gavuuh silate taakuu-ju de na.
MRK.5.18	Yesu naahen nalakala kaanu, tonde omaaho sen mamu hôôvu bôôy-ato, ond kataangg nambe, “Sana gaving hong-o.” 
MRK.5.19	Le ma de Yesu lonin-ande nêêl vu nambe, “Ganaah gambaam-ambe onaanêêl vu gate hil naambe Omaaho Bop ka pasiv in hong-ambe samu hong lôôt.” 
MRK.5.20	Om omaahôô-ju laah-ambe nêêl vakasin sen Yesu samu yi be nivasa lak-ato langaah vu hil lohvu taaku nomaayuuh sen danêêl nambe Dekapolis-ato, tombe hil pin lavindis lôôt.
MRK.5.21	Lako Yesu lak kaanu be laah betum vaalu yesin, tombe nando hôôk bel nanyendangga, de hil ngeeyaata lasupin lala vu yi. 
MRK.5.22	Tombe yêêv dumb-ate ti, haale nambe Yailus, yi Yesu tombe la hato pataav baambu neep voon hôôk vaha, 
MRK.5.23	de kataangg niwêêk vu yi nambe, “Sa nonggaavêêh nilak bopaata be navu jimb, om ganaam gambe namam jak yi in nambe nivasa dôôk-ambe mando.” 
MRK.5.24	Tombe Yesu la having-ambe yuuh lala, de hil ngeeyaata lambuuh yi vaalu vaalu be lala.
MRK.5.25	Tonde sim vêêh ti ond vêêh-ate nilakin tovu tombe yoo nando bayêên pasiv nalak busin pin lohvu ta nomaayuuh-ambe laam yuuh, 
MRK.5.26	tombe nala vu dokta ngeeyaata in davu samu yi, de navu mone la vu dokta-so boyambôôy-ambe yinêên mone lung la, le ma de me-nivasa nalak e, de yite nilakin tu bopaata. 
MRK.5.27+MRK.5.28	Tombe hangoyin Yesu banye be ka vu nambe, “Sa gambe namangg jak yite lolop amu ond sale sa ningg vasa dôôk.” Om lukala hil lavuun-ambe naale Yesu dami de hambe nama lak yite lolop, 
MRK.5.29	tombe nilakin lung la pavis, de mem hangoyin nambe nivasa lak lung la. 
MRK.5.30	Tombe Yesu lak ni nambe yite niwêêk wiing omaaho ti nivasa lak, om hilin pavis-ambe lingin nambe, “Lati hambe nama lak sate lolop?” 
MRK.5.31	Le yite maanggêêm lanêêl vu nambe, “Gahe hil ngeeyaata lambuuh hong tatup-anjo, le sim galingin nambe lati hambe nama lak hong?” 
MRK.5.32	Tombe me hako hôôk in nambe ji omaaho ti sen hambe nama lak yii-to, 
MRK.5.33	tonde vêêh-anju lak ni nambe Yesu-te niwêêk wiing-ambe nivasa lak om yêênin-ambe hees, tombe hato pataav baambu neep voon hôôk Yesu vaha de nêêl vakasin pin langaah vu yi. 
MRK.5.34	Tonde Yesu nêêl vu nambe, “Nonggaavêêh, gawii-having ondeey ganim vasa lak, om gana osin galompayo ahelavis in gate nilakin lung la valok-ate.”
MRK.5.35	Naahen monanêêl atonde omaaheey vu Yailus ambaan-ambe lato lanêêl vu Yailus nambe, “Nomaavêêh ame yip, om onaanêêl vu yêêv naambe mando de menaam e, jip.” 
MRK.5.36	Tombe Yesu hango sil lavand atombe nêêl vu yêêv dumb-ate nambe, “Game naham jak e, yik gambiing gaving amu.” 
MRK.5.37	Tombe lonin hil pin dando de hako Pita having Jems ayuuh hali Jon-ambe sil lala. 
MRK.5.38	Sil latok lala yêêv dumb-anjôôto baan, le yi de hil dawiing nindaandun bopaata osin dasu lôôt. 
MRK.5.39	Tombe Yesu lukala bayêên alo be nêêl vu sil nambe, “Ham nawiing nindaandun bopaata de ham nasu bopaata lôôt in? Unaavepasiv-ame yimb e, nganjo yoo neep anêên.” 
MRK.5.40	Le sil lanop ak yi, om hatiiy sil lala voon-ande hako unaavepasiv mangganaan ayuuh tangganaan osin yite maanggêêm yaal sen laving yii-to be lalukala bayêên alopayo sen unaavepasiv neep hôôk-ato. 
MRK.5.41	Tombe lôôh hôôk unaavepasiv nama de nêêl vu hôôk sil lavand nambe, “Talita kumi,” dangga nambe “Unaavepasiv, sa naanêêl naambe okandi jak.” 
MRK.5.42	Tombe yik unaavepasiv kandi lak pavis-ambe naale nala. Layi tombe kanund la lôôt. Unaavepasiv-anju yite ta nomaayuuh-ambe laam yuuh. 
MRK.5.43	De Yesu vu kôôvu sil niwêêk nambe me-daanêêl-ambe omaaho ti me-gango vaa-ju banye le, de nêêl vu sil nambe lambu vanôôn-ambe unaavepasiv-anju ja.
MRK.6.1	Yesu kandi vuu-ju be laah baan, tombe yite maanggêêm-aso taamuyin yi be lala. 
MRK.6.2	Huli-la dumb alo hôôk busin sawaasin, tombe wiing tanasin-ambe hil ngeeyaata langoyin-ambe lavindis nambe, “Omaahôô-jo hako tanasin danggakook osin lukook bopaataa-jo vu tana, om sen nawiing taahu taahu osin niwêêk-anjo. 
MRK.6.3	Omaahôô-jo mak yi kaamunda yik Malia noow-anjo, de halindin ond Jems ayuuh Joses de Yudas ayuuh Simon, de vangaandin sen dando having yiiy-anjo.” Tombe sil ahend kalin vu yi. 
MRK.6.4	Le Yesu nêêl vu sil nambe, “Omaaho ti nanêêl Anutu-te vakasin langaah ond hil dako omaahôô-ju haale lak lohvu taaku pin, lemu hil vu yite baan dangga dosin osin hil sen sil dangga ti be sil ambaand ti, ond sil-ame dako yi lak e.” 
MRK.6.5	Tombe Yesu me-lohvu nambe biing taahu taahu ti vu manyinju le, in hil-ame lawii-having yi le, yik hambe nama lak hil anind lakin lavuuti be nind vasa lak. 
MRK.6.6	Yesu vindis in hil-ame lawii-having yi le, tonde la hanjung hôôk bayêên bu ti ti be wiing tanasin vu hil.
MRK.6.8	Tonde nêêl vu sil nambe sil-ame namand dôôk vati be lana mop e, yik sil namand dôôk paatôôn timu, de sil-ame gako vanôôn osin vaahes e, de mone me-dumbaale silate gis e, 
MRK.6.9	lanjop suul amu de me-lanjop lolop yuuh e. 
MRK.6.10	Tonde nêêl vu sil nambe, “Ham anjakana bayêên ti, ond yik ham oo mando lak bayêên tii-ju nivalok-ambe na balup busin sen ham gavuuh sil-ato, le mem ham ana taaku ngo. 
MRK.6.11	Naambe hil vu taaku ti me-gako ham jak e, de me-gango ham lavam e, ond ham gavuuh taakuu-ju na, de ham tatehin kambus sen nando lak ham vaham-ato naah in taato silate nipaya langaah.” 
MRK.6.12	Tonde mem sil lala lawiing tanasin nambe hil langgilin sil alondpayo, 
MRK.6.13	de latiiy mamu ngeeyaata lala in omaahonôôn, de sil kaasêêh hahaanôôn aniluk lak hil anilakin ngeeyaata be sil anind vasa nalak.
MRK.6.15	De hil vaalu lanêêl nambe, “Manyinju Eliya sen nanêêl Anutu-te vakasin bôôy-ato,” de vaalu lanêêl nambe, “Anutu-te omaaho ti lohvu hil sen danêêl Anutu-te vakasin langaah bôôy-ato.” 
MRK.6.16	Tombe Helot hango de lanêêl nambêênju om nêêl nambe, “Jon sen saawiing-ambe omaaho ti katôôv ka laa-to ond yik kandi lak laah-anju.”
MRK.6.17	In bôôy Helot wiing-ambe lala lalôôh Jon-ambe landuuh-ande latung lukala kalaambus. Wiing nambêênju in dangga nambe Helot hali Pilip ond Helot lakin vane Helodias, 
MRK.6.18	le sim Jon nêêl Helot nambe, “Ohako halim vane om me-lohvu le.” 
MRK.6.19	Tombe Helodias ahekalin vu Jon om wiingin nambe nyiis-ambe jimb, le ma de Helot hilin Jon-ambe hako be la hatung hôôk kalaambus. 
MRK.6.20	Helot nayêênin Jon in lak ni nambe omaaho nivalok osin vaambuung ti ondeey hilin. Tombe Helot nango Jon-ate vakasin-ambe ka vasa, lemu ka vaalu vaalu lohvu busin pin.
MRK.6.21	Tombe busin ti Helodias tovu mopaatôôv ti nambe Helot aka vu yite busin sen tangganaan hako yii-to, tombe wiing vanôôn bopaata vu yêêv gaaman-aso pin de yite yêêv ngaamong-ate, osin himbop bop vu Galili pin. 
MRK.6.22	Tombe Helodias nowaavêêh lukala vu sil-ambe
MRK.6.22	nakôômb, tombe Helot-aso hil pin sen daya vanôôn-ato layi be ahend anivasa lôôt vu, om omaaho lulemak Helot nêêl vu vehaavu nambe, “Gawiingin gako vati ond onaanêêl-ambe saambu vu hong. 
MRK.6.23	Sa naanêêl keen baandoni naambe okataangg vati vu sa ond sale aambu vu hong, de naambe gawiingin nambe saambu sate taaku vaalu be ongganggin, ond yik sale aambu vu hong.” 
MRK.6.24	Tombe vehaavu laah-ambe lingin tangganaan nambe, “Sale naanêêl vaati?” Le nêêl nambe, “Okataangg Jon sen nalipis hil-ato lukook.” 
MRK.6.25	Om hatup-ambe lukalaah pavis vu omaaho lulemak-ambe nêêl vu nambe, “Saawiingin nambe gambu Jon sen nalipis hil-ato lukook vu sa. Onggatung hôôk kaambum ti, be gambu vu sa pavis.” 
MRK.6.26	Tombe sim omaaho lulemak Helot lopayo nimeen lôôt, le ma de ka vu nambe me-tatuhin vehaavu le, in taato nama lak baandoni hôôk yêêv-aso pin sen dando having yii-to mend, 
MRK.6.27	om pavis atombe omaaho lulemak nêêl vu hil ngaamong vaha ti nambe na gako Jon alukook naam, om la katôôv ka hôôk bayêên kalaambus alo. 
MRK.6.28	Tombe hatung Jon alukook hôôk kaambum ti le mem hako be laah vu vu vehaavuu-ju, tombe vehaavuu-ju hako be la vu vu tangganaan. 
MRK.6.29	Tonde sim Jon-ate maanggêêm-aso sen davu sapa yii-to lango banye, tombe lala lako ninaavi be lala lambe neep hôôk lavandangga.
MRK.6.31	Tombe nêêl vu sil nambe, “Ham oo anaam-ambe yana mando taaku lundoos ti be ham sawaah daka le.” Nêêl nambêênjo in hil ngeeyaata lalaam-ambe lahilin sil, de me-lalohvu nambe lanja vanôôn e. 
MRK.6.32	Tombe sil lalakala kaanu be sil oo lala taaku lu malis ti, 
MRK.6.33	lemu hil ngeeyaata lalak sil anind lung la be layi nambe dala taaku tii-ju, om hil vu taaku pin latup voon-ambe latok lala taakuu-ju munggin. 
MRK.6.34	Tombe Yesu lakala lonak, le yi de hil ngeeyaata lôôt dando, tombe ka pasiv in sil in nambe sil lalohvu bik sipsip sen heendin lavuuh sil-ato, om nêêl tanasin ngeeyaata vu sil lôôt.
MRK.6.36	om gambiing-ambe sil lana bayêên ti ti sen nando ngaahôô-to, be sil baanggo vanôôn in lanja.” 
MRK.6.37	Le ma de nêêl vu maanggêêm-aso nambe, “Yik ham oo ambu vanôôn vu sil.” Le lanêêl vu nambe, “Om gawiingin nambe hey ana baanggo vanôôn jak mone 200 kina in sil lanja?” 
MRK.6.38	Le sim nêêl vu sil nambe, “Hamate vanôôn nôôn vaaheey naahen nando? Ham ana angge le.” Layi lung la le mem lanêêl vu nambe, “Yik balet namaavaalu having paahuung yuuh neep.” 
MRK.6.39	Om nêêl vu hil pin nambe sil gato mando lu ti ti jak taavêêt alis, 
MRK.6.40	om sil doo-namaavaalu-vaalu dando lak lu ti ti, tonde lu heey lohvu doo-yuyuuh-ambe nomaayuuh. 
MRK.6.41	Tombe mem hako balet namaavaalu de paahuung yuuh-ato be valaah me lak baandoni de lohak, le mem hapok balet-ambe vu vu yite maanggêêm-aso be sil latiiy lohvu hil. Tonde yik kalêêh paahuung yuuh-ato be hatiiy lohvu omaahonôôn pin, 
MRK.6.42	tombe omaahonôôn pin laya be lohvu sil.
MRK.6.43	Laya lung atonde sil lasupin nyengale hôôk jaambang nomaayuuh-ambe laam yuuh-ambe pup. 
MRK.6.44	Hil sen laya vanôôn-ato ond moow ngeeyaata lôôt lohvu 5 taosen.
MRK.6.45	Lung atonde Yesu haanjiihin yite maanggêêm-aso nambe lanjak kaanu be daamunggin-ambe lana taaku Betsaida sen nando betum nanyendangga vaaluu-to, de yoo mando be biing hil lana le.
MRK.6.47	Tombe taaku bus la de kaanu naahen bel lavuun, de Yesu yoo timu nando lonak, 
MRK.6.48	le sim yi nambe sil dataal osin nimeen in vavi nave sil lôôt. Tonde hôôk heendiisin atombe naale nala lak bel baandoni be la vu sil, tombe wiingin nambe kaluuh sil, 
MRK.6.49	lemu layi nambe naale nala lak bel baandoni tombe kand vu nambe mamu ti om langeeyak. 
MRK.6.50	Sil pin oo layi be layêênin lôôt, om nêêl vu sil pavis nambe, “Ham naham aniwêêk, yik saa-jo, om ham-ame anjêênin e.” 
MRK.6.51	Tombe lakala kaanu vu sil atonde vavi tôômin om lavindis lôôt, 
MRK.6.52	in sil-ame kand vu be lalak va sen Yesu wiing ak balet osin niwêêk-ato danggakook ani le, lundkook ma.
MRK.6.53	Sil latok lala betum vaalu vu taaku Genesaalet, tombe sil talu kaanu be nando 
MRK.6.54	de laluus-ambe lala. Tombe hil-anju lalak Yesu ni pavis, 
MRK.6.55	om lala latup hôôk taaku pin-ambe laaku silate hil anilakin lakaneep ak yêênin-ambe lala taaku ti ti sen lango Yesu nandôô-to. 
MRK.6.56	Vu taaku bop-ambe pasiv de bayêên ti ti sen laa-to ond sil latung hil anilakin dando talind, tombe davu kataangg yi nambe gambe namand jak yite lolop anyendaambu mu, tombe mem hil sen lambe namand ak lolop-ato nind vasa lak pin.
MRK.7.1	Palisai osin tanasin dangga heey vu Yelusalem lasupin lala vu Yesu, 
MRK.7.2	tombe layi de yite maanggêêm vaalu laya vanôôn danjeen, de me-lalipis namand e
MRK.7.3	In Palisai osin Yuda pin davu sapa himbop bôôy-ate tanasin nambe sil-ame lanja vanôôn e, lanjipis namand e mem. 
MRK.7.4	Tonde lana maaket-ambe lanaah balup bayêên alo ond lanjipis sil e mem lanja vanôôn. De sil oo davu sapa gambum ngeeyaata having lak va sen dalipis kap ayuuh dêêngg-ambe palêê-to.
MRK.7.5	Tombe Palisai osin tanasin dangga-so lalingin Yesu nambe, “Nambe vaati sen gate maanggêêm-aso davu kalêêh himbop bôôy-ate tanasin om daya vanôôn osin namand anipaya?” 
MRK.7.6	Tombe nêêl vu sil nambe, “Yesaia nêêl Anutu-te vakasin lak ham tatuhin ambu-so bôôy-ato ond yoo nêêl lohvu, yik kaavu neep nambe,
MRK.7.6	‘Hil-anjo dako sa haalengg ak avind malis amu, de londpayo nando diin in sa. 
MRK.7.7	Dalohak malis amu vu sa, tonde davu taahu hil hôôk omaahonôôn oote tanasin nambe sate tanasin keen.’
MRK.7.8	Om manyinjo ham havuuh Anutu-te tanasin la, de ham oo napuvu omaahonôôn-ate tanasin tatin.” 
MRK.7.9	De nêêl vu sil having nambe, “Hamambe ham nawiing va nivasaa-jo? Sen ham naluuh damim vu Anutu-te tanasin de mem ham oo napuvu himbop bôôy-ate tanasin tatin. 
MRK.7.10	Keen, Mose nêêl bôôy nambe, ‘Onggako mom ayuuh tam jak.’
MRK.7.10	De nêêl ango neep having nambe, ‘Omaaho ti naanêêl vakasin anipaya jak mangganaan me tangganaan, ond hil lanyiis-ambe jimb.’ 
MRK.7.11	Nganjo ham ond ham nanêêl nambe omaaho ti naanêêl vu mangganaan me tangganaan naambe bu va na in dôôvu yuuh, le ma de nêêl Anutu haale lak lung la, 
MRK.7.12	ond ham nanêêl nambe lung, omaahôô-ju me-dôôvu mangganaan ayuuh tangganaan e. 
MRK.7.13	Om nambêênja ham oo kawiiy Anutu-te vakasin lak himbop-ate tanasin bôôy sen ham nanêêl tave tavêê-to be natu va malis amu, de ham oo nawiing va ngeeyaata lohvu ham akam.”
MRK.7.14	Yesu teey hil lala vu yesin-ambe nêêl vu sil nambe, “Ham pin gango sa lavangg-ambe ham anjak ni vanuh. 
MRK.7.15	Vanôôn sen lukala omaahonôôn alopayo ond me-lukalaah nambe biing-ambe Anutu ji omaahonôôn naambe nipaya le, malis. Nganjo va sen naale hôôk omaahonôôn alopayo be nalaam-ato ond mem nawiing-ambe Anutu nayi omaahonôôn nambe nipaya. 
MRK.7.16	[Omaaho ti nambe nanye neep ond gangoyin.]”
MRK.7.17	Yesu havuuh sil la de lukala bayêên alo, le mem yite maanggêêm-aso lalingin vakasin pakwesin-anju danggakook vu yi, 
MRK.7.18	tombe nêêl vu sil nambe, “De ham-anjo, ham-ame alak ni having e? Mak ham doosin vanôôn sen nalukala omaahonôôn alopayôô-to ond me-le biingambe Anutu ji omaahonôôn naambe nipaya lak e, 
MRK.7.19	in vanôôn-ame nalukala lopayo keen e, nalukala ahe mu be hato nalukala sov.” Nêêl taato nambêênju in nambe vanôôn vaha vaha pin nivasa vu yiiy. 
MRK.7.20	Nganjo nêêl nambe, “Va sen naale hôôk hil alondpayo be nalaam-ato ond mem nawiing-ambe Anutu nayi omaahonôôn nambe nipaya. 
MRK.7.21	In va sen vu omaahonôôn alondpayo be nalaam-ato, ond kand navu va nipaya, be dawiing danjeen vu vehaavu, dahôôndak va, dayiis omaahonôôn dayimb, 
MRK.7.22	dawiing baayamb, dawiing mend nôôn, dawiing va nipaya vaha vaha, davu tatuhin omaahonôôn, dawiing va nindanjeen lôôt, ahend anipaya vu omaaho ango, danêêl vakasin anipaya lak omaahonôôn, dako sil ak, osin dawiing va danje-danjeen. 
MRK.7.23	Va nipaya pin nambêênja naale hôôk omaahonôôn alondpayo be nalaam langaah, ond mem nawiing-ambe Anutu nayi omaahonôôn nambe nipaya.”
MRK.7.24	Yesu vu manyinju be la taaku sen bayêên Taia yuuh Saidon neep-ato, tombe huli-la nando hôôk bayêên ti be wiingin nambe mando kaatokin de hil-ame lanjak ni le. 
MRK.7.25	Le ma de vêêh ti hangoyin nambe nando, tombe la vu pavis. 
MRK.7.26	Vêêh-anju yi Glik ti, tangganaan hako neep Pinisia vu Silia-te taaku, ond mamu nipaya ti hôôvu vêêh-anju nowaavêêh, om la hato pataav baambu neep voon hôôk Yesu vaha be kataangg nambe gatiiy mamu na in nowaavêêh. 
MRK.7.27	Tombe Yesu nêêl vu nambe, “Yaambu vanôôn vu unoopasiv-ambe lanja vêêl e, de me-lohvu nambe omaaho ti gako unoopasiv-ate vanôôn-ambe gaate na vu voow e
MRK.7.28	Tombe nêêl laah vu nambe, “Êê-e, Omaaho Bop, manyinja ganêêl keen, lemu voow sen daale hôôk pêêt ahendanggaa-to ond daya unoopasiv-ate vanôôn paapu.” 
MRK.7.29	Tombe Yesu nêêl vu nambe, “Ganêêl nambêênjo om lung, de ganaah in mamu nipaya hato la in nomaavêêh.” 
MRK.7.30	Om laah valup baan e yi nambe mamu nipaya hato la de unaavepasiv neep nivasa lak pêêt.
MRK.7.32	Tonde sim lako omaaho ti nanye katôônd osin ka ngangolangin la vu Yesu be sil kataangg yi nambe gambe nama jak. 
MRK.7.33	Hil ngeeyaata dando om Yesu hako be yuuh lala lundoos, le mem lop nama kapis lukala omaahôô-ju nanye vuun vaalu vaalu, tonde wiing avi luk ak nama kapis-ambe hatung lakando omaahôô-ju dalaan, 
MRK.7.34	tonde me lak baandoni be sawaah sêên, tombe nêêl vu nambe, “Epata,” dangga nambe “Nanyem naatok.” 
MRK.7.35	Om nanye tok-ande dalaan ahelavis ak-ambe vakaas nivasa. 
MRK.7.36	Tombe Yesu vu kôôvu sil lôôt nambe me-daanêêl vaa-ju langaah vu omaaho ti le, le ma de sil lanêêl langaah lôôt vu omaahonôôn pin. 
MRK.7.37	Tombe lavindis lôôt-ambe lanêêl nambe, “Wiing va pin nivasa lôôt. Wiing-ambe hil nanyend katôônd dangoyin taaku de kama-so dakaas.”
MRK.8.1	Hil ngeeyaata lasupin yesin laah atombe vanôôn ma, om Yesu teey yite maanggêêm-aso lalaam vu be nêêl vu sil nambe, 
MRK.8.2	“Sa kangg pasiv in hil ngeeyaataa-jo, in dando having sa lohvu busin yaal de silanêênd vanôôn sen lanjaa-to ma. 
MRK.8.3	Naambe saambiing sil lana meep-ambe lanaah baand, ond le sakend nama jak vu mop lavuun, in sil vaalu lalaam vu taaku diin.” 
MRK.8.4	Tombe yite maanggêêm-aso lanêêl laah vu yi nambe, “Yale gako vanôôn vu tana be yambaat hil-anjo? Manyinjo taaku lumbalaamb-anjo.” 
MRK.8.5	Tombe lingin sil nambe, “Hamate vanôôn nôôn vaaheey naahen nando?” Le lanêêl nambe, “Balet namaavaalu be vindak yuuh nando.” 
MRK.8.6	Om nêêl vu hil pin nambe sil gato mando voon, tonde mem hako balet namaavaalu be vindak yuuh-anjuuto be lohak osin pêêlis la vu Anutu, le mem hapok-ambe vu vu yite maanggêêm-aso in nambe sil gatiiy, tombe latiiy lohvu hil pin. 
MRK.8.7	Tonde yite maanggêêm-aso lako paahuung anipasiv heey, tombe yik lohak-ande nêêl-ambe sil latiiy lohvu hil pin having. 
MRK.8.8	Tombe yik laya be lohvu sil. Laya lung atonde lasupin nyengale hôôk jaambang namaavaalu be vindak yuuh-ambe pup. 
MRK.8.9	Omaahonôôn-anju ngeeyaata lôôt lohvu 4 taosen. Yesu wiing hil lala, 
MRK.8.10	de pavis atomb having yite maanggêêm-aso be sil lalakala kaanu ti be lala taaku Dalmanuta.
MRK.8.12	Le Yesu sawaah sêên osin lopayo nimeen-ande nêêl nambe, “Hil pin sen dando gêên-anjo lawiingin nambe lanji taahu taahu in vaati? Sa naanêêl vu ham keenaanôôn naambe same le aambiing taahu taahu be sil lanji le, malis.” 
MRK.8.13	Tonde havuuh sil-ande lak kaanu yesin-ambe la betum vaalu.
MRK.8.14	Yesu-te maanggêêm-aso kand lingin-ande me-lako vanôôn e, yik balet nôôn timu nando hôôk kaanu lopayo. 
MRK.8.15	Tombe Yesu vu kôôvu sil in nambe Palisai osin Helot-ate va nipaya me-na ganggwang sil alondpayo le. Nêêl nambe, “Ond ham gango, ham ganggin ham nivasa in Palisai osin Helot-ate yis balet-ate.” 
MRK.8.16	Tombe sil oo mondanêêl vu sil nambe, “Ke, yame hako balet e, ondeey nêêl nambêênju.” 
MRK.8.17	Le Yesu lak ni om nêêl vu sil nambe, “Nambe vaati sen ham vakaas danjeen nambe ‘Yame hako balet e?’ Ham-ame alak ni le? Mak ham naahen doosin a? Mak ham alompayo niwêêk ak a? 
MRK.8.18	Ham amem neep, le ma de ham-ame ahe le, de ham nanyem neep, le ma de ham-ame hangoyin e. Mak ham akam-ame navu le? 
MRK.8.19	Sa hapok balet namaavaalu be saavu lohvu moow 5 taosen-ato, ond ham asupin nyengale hôôk jaambang vilis-ambe pup?” Le lanêêl vu nambe, “Hey aasupin hôôk nomaayuuh-ambe laam yuuh.” 
MRK.8.20	Tonde yik lingin nambe, “De sa hapok balet namaavaalu be vindak yuuh-ambe saavu lohvu hil
MRK.8.20	4 taosen-ato ond ham asupin nyengale hôôk jaambang vilis-ambe pup?” Le lanêêl vu nambe, “Hey aasupin hôôk namaavaalu be vindak yuuh.” 
MRK.8.21	Tonde nêêl vu sil nambe, “Le sim ham naahen doosin a?”
MRK.8.22	Sil lala taaku Betsaida tombe vaheey lako omaaho mekanu ti be lala vu Yesu, be sil kataangg nambe gambe nama jak omaahôô-ju. 
MRK.8.23	Tombe Yesu laandiiy hôôk omaaho mekanuu-to nama be yuuh lala taaku nanyendangga, le mem kasuv lukala mekaalus-ande hambe nama lak, tonde lingin nambe, “Gahe
MRK.8.23	vaheey a?” 
MRK.8.24	Tombe vêêl mekaalus lak-ambe nêêl nambe, “Sa naahe omaahonôôn nambe haah, lemu daale dala.” 
MRK.8.25	Tombe Yesu hambe nama lak mekaalus yesin tonde mem yi taaku lôôt, de me tum-ambe yi va pin neep langaah. 
MRK.8.26	Tombe Yesu nambe, “Ganaah gambaam de game gandukanaah taaku Betsaidaa-ju le.”
MRK.8.27	Yesu having yite maanggêêm-aso be lala in lana taaku Sisalia Pilipai. Daahen dala tonde Yesu lingin yite maanggêêm-aso nambe, “Hil danêêl nambe sa lati?” 
MRK.8.28	Tombe sil lanêêl vu nambe, “Hil vaalu danêêl hong nambe Jon sen nalipis hil-ato, de vaalu danêêl
MRK.8.28	hong nambe Eliya, de vaalu danêê lhong nambe Anutu-te hil sen danêêl yite vakasin langaah-ato ti.” 
MRK.8.29	Tombe lingin sil nambe, “De ham-ok? Ham nanêêl sa nambe lati?” Le Pita nêêl vu nambe, “Hong omaaho sen Anutu yoo holin hong vulôôt in nambe gandôôvu hey-ato.” 
MRK.8.30	Tombe Yesu vu kôôvu sil nambe me-daanêêl yi langaah vu omaaho ti le.
MRK.8.31	Yesu nêêl taato vu sil nambe, “Omaahonôôn Noow e gako nivaane ngeeyaata. Himbop-aso osin kul vaha sen datung salivangin-ato silate yêêv-aso de tanasin dangga-so, ond sil e nind baya in-ande lanyiis-ambe jimb, tonde busin yaal jung na le mem le kandi jak jesin naah.” 
MRK.8.32	Nêêl langaah nambêênjo om Pita hako yi be yuuh lala daale lundoos, le mem nêêl Yesu. 
MRK.8.33	Le Yesu hilin-ambe yi yite maanggêêm-aso de nêêl Pita nambe, “Saalang, gana vêêl in sa, in gakam-ame navu va lohvu Anutu ka le, nganjo gakam oo navu va lohvu omaahonôôn akand amu.”
MRK.8.35	De omaaho ti yoo wiingin nambe ganggin ninaavi nivasa in mando metumin, ond le jimb-ambe na menama osin nôôn metumin-ate. Le naambe omaaho ti baaku nimeen ak sa haalengg osin Anutu-te banye nivasa be jimb, ond mem le mando metumin danggata. 
MRK.8.36	Le omaaho ti gôôlis va voon-ate pin, de jimb-ambe na menama osin nôôn metumin-ate, ond va voon-ate me-le dôôvu yi le, le nama. 
MRK.8.37	De va voon-ate ti me-neep in nambe omaaho ti me-baanggo kanu jak-ambe mando metumin danggata le, malis. 
MRK.8.38	Hil sen dawiing va nipaya be dando gêên-anjo, ond ti jêênin omaahonôôn-ande nimbaya in sa osin sate vakasin, de me-naanêêl sa haalengg langaah vu hil e, ond busin sen Omaahonôôn Noow nom osin Mangganaan-ate nikaapulis gaving angela vaambuung-asôôto, ond le nimbaya in omaahôô-ju dukanaah.”
MRK.9.2	Busin namaavaalu be vindak ti la vêêl e mem Yesu hako Pita yuuh Jems-ande Jon-ambe sil oo lalak kandu bopaata ti be lala, tombe sil pin-ambe daale, tonde sim Yesu ninaavi ango yoow ak hôôk yaal amend, 
MRK.9.3	tombe yite lolop têêlang nivalôôy lôôt. Omaaho ti me-lohvu nambe jipis lolop-ambe nivalôôy jak naambêênju le. 
MRK.9.4	Tombe sim yaal layi de Eliya yuuh Mose daale having Yesu be yaal dakaas. 
MRK.9.5	Tombe Pita nêêl vu Yesu nambe, “Omaaho Bop, yiiy nandôô-jo nivasa lôôt, om waay andaav numang daka yaal, gate ti, Mose-te ti, de Eliya-te ti.” 
MRK.9.6	Yaal layêênin lôôt om Pita doosin va sen naanêêl-ato ondeey nêêl vakasin-anju. 
MRK.9.7	Tombe sim bayiimb ti vayum sil, tonde lava ti laam hôôk bayiimb-anju lopayo nambe, “Sa noongg-anja. Sahengg having yi lôôt om ham gango lava.” 
