MAT.1.1	A revereve huri retubui Jisas, netui Devet, netui Ebraham.
LUK.12.9	Tare ve ihine mo tahau lo nagora sinobu, ineu, i Netui Tangaloi, nain tahae vage lo nagora engsel noi God.
LUK.12.10	“Tare ve ihine mo veve leo asi goroau, i Netui Tangaloi, vin ladovohogi na bugugi. Nge tare ve ihine mo veve leo asi goro na Vui Gogona, vin he ladovohogi na bugugi lai tea.
LUK.12.11	“Lune rain lei gimiu ve ran ve lehi gimiu lo valei soneana sige lo nagora kavman sige ira lawua, nen mese lado vagatai gitomue ve nein duvire wuraha lune rain veve vovohoi gimiu sige ve nein veve wuraha. 
LUK.12.12	Huri a Vui Gogona vin huhui gimiu lo tarogi hi ve nein veve wuraha.”
LUK.12.13	A tangaloi denire sinobu mo veve lawe Jisas vena, “Huhui, gon veve lawe tueku na wahe na vivilakogi i tamamaru u siregi lawe gamaru.”
LUK.12.14	I Jisas mo duvi lawea vena, “?Tueku, ihine u bete na leo siregi laweau ve nain vevegi, sige nain wahegi na nomiru vivilakogi lawe gimiru? 
LUK.12.15	Siu i Jisas mo veve lawera sinobu doluegi vena, “Nen leohuri! Nen tugoro gimiu sibomiu dena halai lado lawua doluegi. A vevenagi a mwasoana tangaloi he ilo tea lo nona vivilakogi, hate huri tare ve u mwerai homu te mwerehilogo.”
LUK.12.16	Mo rovo, i Jisas mo veve na gato tavalu ngaha lawera vena, “A mwerai homu gatagale a nona tano mo bete na mwasi rivurivu garea. 
LUK.12.17	Siu nge mo tauvuigi mo ladolado sibona vena, “Hate tantanogi ve nain teu na mwasi buleku rivurivu doluegi aie. ?Nain vei mwerehilogo? 
LUK.12.18	Nain vei mwere ngaha. Nain tala vohogi na noku valei mwasi rivurivu ingere ngaha ko nain veire wagineu rain lawua taligu. Siu nain teu na mwasi buleku rivurivu lolona mena gineu gagarea lavasigi vage huri rain eno tabetabegi lolona. 
LUK.12.19	Siu nain veve laweau siboku vena, A tangaroa garea laweau! Ineu nau hakovi na gineu gagarea doluegi nau tarani huri na higao sao. Nain manga, nain gagani, nain inuinu, ko nain rong garea! 
LUK.12.20	Nge God mo veve lawea vena, ‘Iniko a reragi! Lolo bongi ngaha a mwasoamu vin rovo denigo. ?Siu ihine vin lei na vivilakogi ngerehi doluegi gu teu hurigo sibomu?”
LUK.12.21	Ko i Jisas mo tarihougi vena, “Ngaha vin mwereire tangaloi ngerehi ram vusigi na nora vivilakogi hurire sibora, nge lo nagoi God rahe mwerai homu tea.”
LUK.12.22	Siu i Jisas mo veve lawera rorongtagi vena, “Giniehi, nam veve lawe gimiu ve nen mese romasi huri na mwasoamiu, huri hava gineu nen gani, sige huri hava gineu nen saru goro na betumiu ginie. 
LUK.12.23	A mwasoamiu u liu dena hinaga, ko a betumiu dena luqe. 
LUK.12.24	Nen lehi na qiru. Rahe rivu tea, rahe lai na mwasigi tea, rahe hako te vale ve ran tau bubugi na mwasigi lolona. Nge i God mo vanganire. Nge igimiu neu hageliu dena manu. 
LUK.12.25	?Siu ihine tea den gimiu, mo romasi huri na mwasoana, vin vei lei vena toga na mala qaravu? 
LUK.12.26	?Tare ve nen he vai lei tea na gineu biti mwerehi, huri hava gineu nem romasi huri na gineu wagineu ngerehi? 
LUK.12.27	Nen lehi na vire ram mauri mwerehilogo. Rahe tabana tea, rahe redigi tea luqara. Nge nam veve lawe gimiu vena a luqei Solomon, nge u ratahigi liuhage denire tangaloi doluegi, he raka tea mwere na vire mwere ngaha. 
LUK.12.28	?Tare ve i God mo gabugi na labute mwerehi, he eno tea vena ribi, gaqarigi mo labe lolo talu, mavugo rain tulire talolo avi, siu vin he gabugi gimiu tea vena liu denire, gimiu ira ladohogo biti?
LUK.12.29	“Siu ne mese lado asi, ve nein gani sige nein inu na hava gineu, ko ne mese romasi. 
LUK.12.30	Huri a gineu ingere ngaha hi ira haroharo talo ure ngaha ram hike huri. Huri i Tamamiu mo ilo ve nem tarani na gineu ingere ngaha doluegi. 
LUK.12.31	Nge nen lado tomue huri na Ute noi God ko ingeie ve bete na gineu ngere ngaha doluegi lawe gimiu.
LUK.12.32	“Gimiu a noku burigi biti, ne mese matagu. Huri Tamamiu mo havuhevu huri ve vin bete na Ute ta eulu lawe gimiu. 
LUK.12.33	Nen sogagi na nomiu lalaie ko nen bete na homu lawera mahogi. Nen hako na tangai homu vin he mabobo lai tea. Nen hogoni bulutegi nomiu lalaie lo eulu. Aiehi rain he mabobo lai tea, a tangaloi belu vin he ahu lei tea vena balu, ko a bobo vin he gani lei tea 
LUK.12.34	Huri lo tanogi hi a nomiu lalaie ram eno aie, a lolomiu vin eno aiehi vage.
LUK.12.35	“Nen saru na luqemiu, nen bule na nomiu leleo, nen toga vagatai huri tabana, 
LUK.12.36	Mwere ira tangaloi tabanagi ram toga vagatai na nora huqegi ve vin vomai dena lagiana. Lune nge vin vomai taligu ko vin dingdingi, siserigi rain roa na mataivale lawea. 
LUK.12.37	Havuhevu meire tangaloi tabanagi hi, a nora huqegi mo haqera ram toga vagatai lune nge mo vomai! A hogo, nam veve lawe gimiu, nge vin tugu na luqana, vin veve lawera ve ran toga hivo, ko vin bete na hinaga lawera. 
LUK.12.38	Havuhevu meire, tare ve vin vomai lo livugei bongi sige lo toa tarere ko vin haqera ram toga vagatai. 
LUK.12.39	Neu ilo mwerehi. Tare ve a huqei vale u ilo beno ve a tangaloi belu vin vomai lo hava taro, nge vin rada goro, vate vai a tangaloi belu hi vin ahu lolo valena. 
LUK.12.40	Ko igimiu vage, nen toga vagatai, huri ineu, i Netui Tangaloi, nain vomai teligu lo tarogi hi gimiu ne he rarai tea hurie.”
LUK.12.41	I Bita mo veve vena, “?Huqe, gom laqa lo gato tavalu hi lawe gamai sige lawera tangaloi doluegi?”
LUK.12.42	A Huqe mo duvi vena, “?Ihine hi a leogoro a hui garea ko u mataisao? Ingeie hi a huqei vale vin teue vin leogorora tangaloi tabanagi doluegi talo valena, ve vin bete na gara hinaga lawera lo tarogi vovohoi. 
LUK.12.43	Havuhevu mena tangaloi tabanagi hi nona huqe vin haqea mo vai mwerehi lune nge vin mule vomai teligu lo valena! 
LUK.12.44	A hogo, nam veve lawe gimiu vena, nona huqe vin teue vin leogoro vataha na nona lalaie doluegi. 
LUK.12.45	Nge tare ve a tangaloi tabanagi hi mo lado lolo domine sibona vena, ‘A noku huqe vin he vomai tea vena siseri,’ ko mo tauvuigi mo wehire tangaloi tabanagi lavasigi, a mwera ko a vavine, ko mo gagani, mo inuinu, ko mo inu dadavule, 
LUK.12.46	siu nona huqe vin mule vomai teligu lo tarogi nge he lado rarai te hurie ko lo mahoi reni nge he ilo tea. A huqe vin tei vurivurie, vin teue vin vano meire hi rahe ladohogo tea.
LUK.12.47	“Tare ve a tangaloi tabanagi u ilo beno a hava gineu hi a nona huqegi mo tarani, nge he vagataie tea vena vai na gineu hi, vin vivihie vagasaosao. 
LUK.12.48	Nge tare ve a tangaloi tabanagi he ilo tea a hava gineu hi a nona huqegi mo tarani, nge mo vai na gineu esi u tatarise ve rain vivihie hurie, vin vivihie vagavihe tea. Tare ve a tangaloi mo lai na gineu sao, mo eno vin vei na gineu sao. Tare ve rau bete na gineu sao lawe hine, rain tarani ve a tangaloi hi vin vei na gineu sao vage.
LUK.12.49	“!Nam vomai ve nain tau na avi lo ure. Nam tarani garagara ve u gao beno, nge hate tau! 
LUK.12.50	Mo eno laweau ve nain lei na rongogagarasi mwere na halai garuhigogona, ko nam toga romasi teu vin dadari a garuhigogona ngaha vin rovo. 
LUK.12.51	?Segi nem lado ve nau vomai ve nain lai na tamwata siu lo ure? Hatie, tamwata nge a vilewahe. 
LUK.12.52	Den hibagataha, tare ve a tangaloi gailime lo vale gatagale, rain vilewahe, gaitolu den gairue, ko gairue den gaitolu. 
LUK.12.53	A tamagi vin vilewahe den netune, ko netune den tamana, i ide den netune vavine, ko netune vavine den ratahine, bubu den vagabuine, ko vagabuine den tubune.”
LUK.12.54	I Jisas mo veve vage lawera sinobu vena, “Lune nem lehi na dodoi langi mwasaru, siserigi nem veve vena, ‘A uhe vin vomai,’ ko vin uhe. 
LUK.12.55	Lune nem rongo na langi hi a gadue mo here, nem veve vena, ‘A mwamwavie lawua vin vomai,’ ko vin vei mwerehi. 
LUK.12.56	Gimiu ira kaligoro! Gimiu neu ilo vurugegi huri ve nein tovo na taro lune nem lehi na mahoi ure ko a mahava. ?Huri hava gineu gimiu nge he ilo vurugegi tea na gigilegi huri na tarogi hi?
LUK.12.57	“?Huri hava gineu gimiu sibomiu ne he vevegi tea na gineu u vovohoi ve gimiu nen veie? 
LUK.12.58	Tare ve a tangaloi gatagale mo tarani vena laigo ve nero vano lo kot nero vovohoigi na nomiru romasi, gon vai leo ve gon vovohoigi na romasi hi lune gimiru mosigei lo turegi. Tare ve goin he vai te mwere ngaha, nge vin reveigo vano lawe i vevegi, ko i vevegi vin laigo vano lawe na bolis, ko nge vin teugo lo valei vauveu. 
LUK.12.59	A hogo nam veve lawego vena, goin he mwalue lai tea vin dadari goin voli vagasigi na bugumu.”
LUK.13.1	Lo tarogi hi a sinobu lavasigi ingere aiehi, ram veve lawe Jisas hurire ta Kalili hi i Baelat u wehire lune ingere rau hako hage na rugurugu lawe God. 
LUK.13.2	I Jisas mo duvi lawera vena, “?Wa nem lado huri ve ira ta Kalili hi rau galegaleasi liu denire ta Kalili lavasigi vage a vevenagi rau mate mwerehi? 
LUK.13.3	Nam veve lawe gimiu ve hatie. Nge tare ve gimiu ne he ladowenigi tea dena bugumiu, gimiu doluegi nein mate vage mwerehi. 
LUK.13.4	?Nge ngerehi hangavulu domwagi gaiwelu rau mate lune a vale hahale u soi talure a Saeloam, nem lado huri ve ngerehi rau galegaleasi liu denire tangaloi lavasigi vage ram toga a Jerusalem? 
LUK.13.5	Nam veve lawe gimiu ve hatie. Nge tare ve gimiu ne he ladowenigi tea dena bugumiu, gimiu doluegi nein mate vage mwereire.”
LUK.13.6	Siu i Jisas mo veve lawera lo gato tavalu ngaha vena, “A tangaloi gatagale a bulana duledule lolo talune. Nge mo vano mo hikesi na mwasigi lune, nge he haqea tea. 
LUK.13.7	Siu nge mo veve lawe na tangaloi tabanagi lo talu vena, ‘Leo, a higao gaitoligi ngaha nau vomai nam hikesi na mwasigi lo vui duledule ngaha, nge nahe haqea te vohogi. Gon tai vohoginie. ?Huri havai mo labelabe vurogi lolo tano ngaha? 
LUK.13.8	Nge a tangaloi tabanagi lo talu mo duvi vena, ‘Huqe, gon sireginie na labe huri higao gatagale vage. Nain geli dalie, ko nain teu na vagalobu lo vuigi. 
LUK.13.9	Siu, tare ve vin teu mwasigi lo higao tuegi, garea. Tare ve hatie, gom tai vohoginie.’ ”
LUK.13.10	Lo Rani Mangaana gatagale i Jisas mo huhui lo valei soneana. 
LUK.13.11	Aiehi a vavine a vui esi u veie mo sege huri higao hangavulu domwagi gaiwelu. A gaherena u tagege, he vovohoi lai tea. 
LUK.13.12	Lune i Jisas mo lehe, mo warea vena, “Vavine, gon vano tabetabegi dena gamu segeana hi.” 
LUK.13.13	Nge mo tau na limana lune, ko siserigi a vavine hi mo vovohoi ginie sibona, mo waregareagi God.
LUK.13.14	A tangaloi lawua goro na valei soneana mo mero huri Jisas mo vai vagamwasoi lo Rani Mangaana, ko mo laqa lawera sinobu vena, “A rani gaionogi huri ve dain tabana lolona, nge nen vomai lolo rani ngerehi vena vai vagamwasoi gimiu, nge hatie lo Rani Mangaana.”
LUK.13.15	A Huqe mo duvie vena, “Gimiu ira kaligoro! Igimiu doluegi hi nem riqesi na bulemiu bulugi sige a bulemiu dongki dena arara ko nem laire vano nem bete wai lawera lo Rani Mangaana. 
LUK.13.16	?Nge a vavine hi, a duvi Ebraham, i Satan u veuhie huri na higao hangavulu domwagi gaiwelu, siu igimiu nehe lado tea ve u garea ve vin riqe vohogi na gana segeana lo rani mangaana? 
LUK.13.17	Lune mo veve mwerehi, ira nona tavului vuro ram maemae, ko a sinobu ram havuhevu huri vataha na lalakogi garea nge u veie.
LUK.13.18	I Jisas mo hui vena, “?A mwasoana garaqa God mo ratahigi lolona u mwerehilogo? ?Nain mata-mwasaraginie lo hava gato tavalu? 
LUK.13.19	U mwere na toli baka, a tangaloi mo laie mo rivue hivo lolo talune. Mo mauri, mo voragi na gai lawua ko a manu ram tau na mwagunire lolo rangagi.”
LUK.13.20	I Jisas mo hui vage vena, “?Nai matamwasaragi na mwasoana garaqa God mo ratahigi lolona lo hava gato tavalu? 
LUK.13.21	U mwere na isi. A vavine mo laie ko mo kae bubuginie mena flaoa, vin dadari lune vin vuge doluegi.”
LUK.13.22	I Jisas mo dige turu na qatui venue ko a togagi venue ngerehi mo huhui na sinobu, ko mo dige huri na vanue Jerusalem. 
LUK.13.23	A tangaloi gatagale mo huie vena, “?Huqe, wa a buri sinobu biti hogosie rain mwaso?”
LUK.13.23	I Jisas mo duvi lawera vena, 
LUK.13.24	“Nen vai leo ve nen ahu turu na matai ara biti, huri nam veve lawe gimiu ve a tangaloi sao rain vei leo ve ran ahu aie nge rain he vai lei tea. 
LUK.13.25	A huqei vale vin maraga vin gorogoro na mataivale. Siu nein labe varea, nein teuvuigi ve nein dingdingi lo mataivale hi, nein veve vena, ‘Huqe, gon waga na mataivale lawe gamai.’ Ko nge vin duvi lawe gimiu vena, ‘Nahe ilo gimiu tea, ve nem vomai logo.’ 
LUK.13.26	Siu igimiu nein duvi taligu vena, ‘Dau gagani ko dau inuinu bubugi, gu huhui lolo togagi vanuemai.’ 
LUK.13.27	Nge ingeie vin veve taligu vena, ‘Nahe ilo gimiu tea, ve nem vomai logo. Gimiu doluegi ira galegaleasi. Nen vano denieu.’ 
LUK.13.28	Igimiu nein ngara, ko nein gasigesigi na livomiu, lune nein lehi Ebraham, Aesak ko i Jekob, ko ira tangaloi ligoligogi doluegi ram toga lo mwasoana garaqa God mo ratahigi lolona, nge I ingeie vin tuli vohogi gimiu tavarea. 
LUK.13.29	A sinobu rain vomai den vanue a matainaho mo kalo aie ko den vanue a matainaho mo roro aie ko den tavului venue ko a tavului venue, ko rain toga hivo huri na gaganie lo mwasoana garaqa God mo ratahigi lolona. 
LUK.13.30	Siu ingere ram tu tagu siseri ngaha rain tomue, ko ingere ram tomue siseri ngaha rain tu tagu.”
LUK.13.31	Lo tarogi hi ira Varise lavasigi ram vomai lobei Jisas, ram veve lawea vena, “Gon mwalue den tangaha, ko gon vano te tahilogo, huri i Herot mo tarani vena wehigo.”
LUK.13.32	I Jisas mo duvi lawera vena: Nein vano nein veve lawe na wiriu turu he vena, “Ineu nam vuro lue na vui esi ko nam vagamwasoi ra segesege bagataha ko mavugo, nge lo rani gaitoligi nain vei rovonagi na noku lalakogi.” 
LUK.13.33	Nge mo eno laweau ve nan dige bagataha ko mavugo ko waihe. He tatarise tea ve rain wehi na tangaloi ligoligogi lowoute, nge hogosie a Jerusalem.
LUK.13.34	“Jerusalem, Jerusalem! Gimiu nem wehire tangaloi ligoligogi ko nem buguri na tangaloi hora noi God u horara vomai! Nau tarani vagasaosao ve nain koko goro gimiu mwere na toa mo vagalugugi ra netune lo vavai bainhine, ko gimiu nehe tarani tea. 
LUK.13.35	Nge siseri ngaha a vanuemiu vin eno vurogi. Nam veve lawe gimiu vena, gimiu nein he lehieu tea vin dadari lo tarogi nein veve vena, ‘Waregarea ihine mo vomai lo henai Huqe.’ ”
LUK.14.1	Lo Rani Mangaana gatagale i Jisas mo vano mo gagani lo valei Varise gatagale, nge a tangaloi lawua, ko a sinobu ram matagi goro kakarani gi Jisas. 
LUK.14.2	A tangaloi gatagale a dai mateana mo vai na betune mo vomai lobei Jisas, 
LUK.14.3	ko i Jisas mo huire huhui talo Leo hora noi Mosis ko ira Varise vena, “?A noda leo u siregi ve dai vei vagamwasoi na tangaloi lo Rani Mangaana sige hatie?”
LUK.14.4	Nge ingere ra he veve tea havai. Siu i Jisas mo lai na tangaloi hi, mo vagamwasoie dena nona segeana, ko mo horae mo vano taligu. 
LUK.14.5	Siu mo veve lawera vena, “?Tare ve i netumiu gatagale sige a bulemiu bulugi gatagale mo soi talolo walu lo Rani Mangaana, siu ngehi vin vei wuraha? Nam lado ve nein vano nein reve kaloe lo Rani Mangaana hi.”
LUK.14.6	Nge ingere rahe duvi lei na leona tea.
LUK.14.7	I Jisas lehire hala rau vomai lolo vale hi, ram leo wahe na tanoi togatoga rau eno hageliu hurire, giniehi, mo veve na gato tavalu ngehi lawera doluegi, 
LUK.14.8	mo veve vena, “Lune a tangaloi mo warego huri hinagai lagiana, gon mese toga lo tanoi togatoga rau eno hage namawe, vaiteu u ware na tangaloi u lawua taligu denigo huri ve na bulu lo gaganie hi. 
LUK.14.9	A tangaloi hi u ware gimiru vin vomai lobemu, vin veve lawego vena, ‘Gon siregi na tanoi togatoga hi lawe na tangaloi ngaha.’ Aiehi bataha goin maemae goin hivo goin toga lo tanoi togatoga u eno hivo vuine vohogi. 
LUK.14.10	Nge lune a tangaloi vin warego, gon vano gon toga lo tanoi togatoga ngehi u eno hivo vuine, siu a tangaloi hi u warego vin vomai, vin veve lawego vena, ‘Buluana, gon vomai gon toga lo tanoi togatoga ngaha u eno hage namawe! Aiehi vin lei hageginigo lo nagora tangaloi gaganie hi lavasigi. 
LUK.14.11	Huri ihine mo lado hageginie sibona, God vin vei weweuginie, ko ihine mo lado weweuginie sibona, God vin vei hageginie.”
LUK.14.12	Siu i Jisas mo veve lawe na tangaloi hi u warea huri na gaganie vena, “Lune goin vagatai na gaganie lo matainaho tuvovohoi sige lolo revirevi, goin mese warera nomu buluana sige ire tuemu sige ire havamu sige ira mwerai homu kakarani lobemu ve rain vomai rain bulu lo gaganie hi. Mwerehi rain warego taligu ve goin bulu meire. Aiehi goin lei na gaitawe huri hava gineu gu vei lawera. 
LUK.14.13	Lune goin vei vagatai na gaganie, goin warera mahoi tangaloi, ira tangaloi mena huihale, ira karuesi ko ira matadodo rain vomai bubugi huri na gaganie ngaha. 
LUK.14.14	Siu iniko goin havuhevu, huri rain he bete lai na gaitawegi tea lawego. Huri lo rani hi ira tangaloi vovohoi rain maraga dena mateana i God vin bete na gaitawe lawego.”
LUK.14.15	A tangaloi gatagale denire hi ram toga lo tanoi gaganie mo rongo na leo ngaha ko mo veve lawe Jisas vena, “Havuhevu mei rahine hi rain toga lo tanoi gaganie lo mwasoana garaqa God mo ratahigi lolona!”
LUK.14.16	I Jisas mo veve lawea vena, “A tangaloi gatagale mo vai na hinaga lawua, ko nge u warataugi lawe na tangaloi u sao ve rain vomai huri na gaganie hi. 
LUK.14.17	Lune u vagatai na gaganie u rovo, nge mo hora na nona tangaloi tabanagi gatagale vena vano na ware rahine hi u warataugi teu lawera, mo veve vena, ‘Nen vomai, a gineu doluegi u rarai beno.’ 
LUK.14.18	Nge ingere ram tauvuigi ram veve na gaitetugi vatavatahaginire. A muegi mo veve lawe na tangaloi tabanagi hi vena, ‘Nau voli na tano, tau nain vano nain lehe, Siu hahagavi, nain he vanatu lei tea.’ 
LUK.14.19	Tuegi mo veve vena, ‘Nau voli na bulugi hangavulu, siu vena vano na vai lehire. Siu hahagavi, nain he vanatu lei tea. 
LUK.14.20	Gaitoligi mo veve vena, ‘Nam bei legi na vavine garaqa. A vevenagi hi nain he vanatu lei tea.’
LUK.14.21	“A tangaloi tabanagi mo mule mo veve na gineu ingere ngaha doluegi lawe na nona ratahigi. Ko a ratahigi hi mo mero, mo veve lawe na nona tangaloi tabanagi hi vena, ‘Gon vano lo turegi ko lo mahangai turegi vage, gon laire mahoi tangaloi, ira tangaloi mena huihale, ira matadodo ko ira karuesi ran vomai.’ 
LUK.14.22	Siu a nona tangaloi tabanagi hi mo veve lawe na nona ratahigi vena, ‘A gineu ngerehi nau veire, nge a mahogi ram eno tau.’ 
LUK.14.23	A ratahigi hi mo veve lawe na nona tangaloi tabanagi hi vena, ‘Garea, gon vano lo turegi lawua ko lo mwararai turegi tavala varea. Aiehi gon lai na tangaloi ran vomai huri a valeku na horo vurugegi. 
LUK.14.24	Ineu nam veve lawe gimiu vena, denire hi nau warera huri na gaganie, rain he gani tea havai den gaku hinaga.’ ”
LUK.14.25	Sinobu sao ram huri Jisas lo turegi. Nge mo tudori mo veve lawera vena, 
LUK.14.26	“Tare ve ihine tea mo hurieu, vin siregi vohogi tamana ko i ratahine, gahorana ko ire netune, retuana ko i rehaqena, ko ingeie sibona vage. Tare ve hatie, vin he voragi noku rorongtagi lei tea. 
LUK.14.27	Tare ve ihine tea vin he wali na nona gai saroutu tea vena hurieu, vin he voragi noku rorongtagi lei tea.
LUK.14.28	“Tare ve hine tea den gimiu mo tarani vena vutu na vale lawua, nge gitomue vin toga hivo vuine, vin velu bubugi na gaivoli lakolakohigi ve vin waheginie wuraha, vin leo ve a mane vin tatarise huri vin tabana lune vin rovo. 
LUK.14.29	Tare ve hatie, vin teuvuigi na togaibibi vuine, nge lo tagugi hi a vului vale he rovo tea. Ko lune a tangaloi rain lehe, rain sovue. 
LUK.14.30	Rain veve vena, ‘A tangaloi hi mo tauvuigi mo vutu na vale hi, nge vin he vai rovonagi nei lai tea.’
LUK.14.31	“Tare ve a ratahigi gatagale mo vano mena nona tangaloi teri vatu hangavulu, vena qalo mena ratahigi wagineu hi a nona tangaloi u teri vatu ngavulu gairue, gitomuegi a ratahigi hi vin toga hivo, vin leoleo vurugegi ve ingeie u tatarise ve vin qalo mena ratahigi tuegi hi sige hatie. 
LUK.14.32	Tare ve hatie, vin hora na nona gaihora, vin vano vin dadari lobena ratahigi tuegi hi, lune ingeie u vagahao tau, ko nge vin nevu na tamwata denie. 
LUK.14.33	Mwerehi vohogi, ihine den gimiu vin he voragi noku rorongtagi lei tea, tare ve vin he siregi na nona lalaie doluegi tea.
LUK.14.34	“A mavai u garea, nge tare ve mo voragi wai mweda, vin he vai gogona ginie tea lai taligu. 
LUK.14.35	He garea tea mena talu sige ve vin voragi vagalobugi. Nge vin tuli vohogi. Tare ihine qerona, na ronghuri vurugegi!”
LUK.15.1	Lo mahogi gatagale ira tangaloi vilevile takis meire tangaloi galegaleasi ram vomai ve ran rorongtagi Jisas. 
LUK.15.2	Ira Varise ko ira huhui talo Leo hora noi Mosis ram tauvuigi ram lologagasi, ram veve vena, “A tangaloi ngaha mo lai vurugegi ira galegaleasi ko mo gagani bubugi meire.” 
LUK.15.3	Siu i Jisas mo veve na gato tavalu ngaha lawera vena:
LUK.15.4	“?Tare ve gatagale den gimiu a bulana sibsib vudolue ko gatagale denire mo sala, nge vin vei mwerehilogo? Nge vin sireginire ngavulu gaisiwo domwagi gaisiwo lolo ara ko vin vano vin hikesie hi u sala vin dadari lune vin haqea. 
LUK.15.5	Lune nge mo haqea mo havuhevu, mo taue lo siqana, 
LUK.15.6	mo walie mo mule ko mo ware bubugi ira nona buluana ko ira tagivenuana, mo veve lawera vena, ‘Nen havuhevu meieu, huri nau haqe na buleku sibsib hi u sala.’ 
LUK.15.7	Mwerehi vage, nam veve lawe gimiu vena, a havuhevu liu lo eulu huri na tangaloi galegaleasi gatagale mo ladowenigi denire sinobu ngavulu gaisiwo domwagi gaisiwo hi rau vovohoi, ra he tarani na ladowenigi tea.
LUK.15.8	“?Sige tare ve a vavine a nona vatu vudolue nge a vatu hangavulu denire mo sala, nge vin vei mwerehilogo? Nge vin bule na leleo ko vin kiri na valena, vin hike vurugeginie, vin dadari lune vin haqea. 
LUK.15.9	Lune nge mo haqea mo ware bubugi ira nona buluana ko ira tagivenuana, mo veve lawera vena, ‘Nen havuhevu meieu, huri nau haqe na noku mane hi u sala. 
LUK.15.10	Mwerehi vage, nam veve lawe gimiu vena, ira engsel noi God ram havuhevu huri na tangaloi galegaleasi gatagale mo ladowenigi.”
LUK.15.11	I Jisas mo veve vage vena, “A tangaloi gatagale i netune gairue. 
LUK.15.12	A tahigi mo veve lawe tamana vena, ‘Mama, gon bete laweau siseri ngaha na duvi nomu hako gineu ngehi nain lei houginie lune goin mate.’ Siu i tamara mo bete wahe na nona hako gineu lawe re netune gairue. 
LUK.15.13	Lo tagui rani gaivihe goro a tahigi hi mo sogagi vohogi na nona duvi nona vivilakogi ko mo vano lo vanue vagahao mena manegi. Aiehi mo hako vievieragi na nona mane lo matahala rau esi. 
LUK.15.14	Lune a nona hako gineu u rovo, a maro lawua mo vomai lo vanue hi, ko nge mo tauvuigi mo mahogi. 
LUK.15.15	Siu mo vano mo tabana lawe na tangaloi gatagale talo vanue hi, a tangaloi hi mo horae mo vangani na bulana boe. 
LUK.15.16	Nge mo mwaruruhi liu, mo domi vena, ‘Ve mwerehi na gani lei na tagurui hinaga a boe ram ganie nase vai u garea liu.’ Nge a tangaloi gatagale he bete na gineu tea vohogi lawea ve na ganie. 
LUK.15.17	Lo tagugi hi, mo lado dori, a domine mo garea taligu, mo veve vena, ‘A hinaga gai ira tangaloi tabanagi noi tamaku ram gani mo tatarise siu mo eno tau. Nge ineu nam toga tangaha nam mate huri geku. 
LUK.15.18	Nain maraga nain mule taligu lobei tamaku, nain veve lawea vena, Mama, nau galegaleasi lo nagoi God ko lo nagomu vage. 
LUK.15.19	Nahe tatarise tea ve goin wareau gi netumu. Nge gon teueu nai voragi nomu tangaloi tabanagi.’ 
LUK.15.20	Siu mo maraga mo mule taligu lobei tamana.
LUK.15.20	“Lune mo vomai vagahao tau mosigei, i tamana mo lehie.
LUK.15.20	A lolona mo hahagavi liu, ko mo tao, mo rago bibie ko mo sungunie. 
LUK.15.21	Nge mo veve lawe tamana vena, ‘Mama, nau galegaleasi lo nagoi God ko lo nagomu vage. Na he tatarise tea ve goin wareau gi netumu.’ 
LUK.15.22	Nge i tamana mo ware na nona tangaloi tabanagi, mo veve vena, ‘Siseri! Nen lai na luqe garea ko nen saru goroe ginie. Nen tau na ringi lo bisune ko a butu ko karune. 
LUK.15.23	Nen wehi na natui bulugi u damoe ko igide da gagani ladotaligu hurie. 
LUK.15.24	Huri netuku ngaha u mate, ingeie mo mwaso taligu, u sala, nge ineu nam haqea taligu.’ Ko a gaganie mo tauvuigi. 
LUK.15.25	“Nge lo tarogi hi a togagi nge tau mosigei lolo talu. Lune nge mo mule, nge mo kakarani lo vale, nge mo rongo na diloi bue ko a hawana. 
LUK.15.26	Nge mo ware na tangaloi tabanagi gatagale ko mo huie vena, ‘?Hava gineu mo vai?’ 
LUK.15.27	A tangaloi tabanagi hi mo duvi lawea vena, ‘I tuemu u mule taligu ko i tamamu mo wehi na natui bulugi u damoe, a vevenagi u sala ko u haqea taligu mo mwaso tau.’
LUK.15.28	“A togagi hi mo mero, mo rao ahu lolo vale, siu i tamana mo vomai mo warea ve na vano lobera. 
LUK.15.29	Mo duvi lawe tamana vena, ‘Leo, a higao sao nau kea vurogi lawego, nge na he vai liu na leomu tea. ?Nge gu bete na havai laweau? Go he bete na nani tea gatagale laweau ve nain genie mena noku buluana. 
LUK.15.30	Nge i netumu ngaha ingeie he u vearage na nomu vivilakogi doluegi lo vavine masimesinge u sao, ko lune nge mo mule taligu, gu wehi na natui bulugi u damoe hurie.’ 
LUK.15.31	I tamana mo duvi lawea vena, ‘Netuku, iniko gesegi meieu lo vanue ko a hava gineu teri a noku a nomu. 
LUK.15.32	Nge igide dam gagani bubugi ko da havuhevu, huri tuemu u mate, nge u mwaso taligu, u sala, nge dau haqea taligu.’ ”
LUK.16.1	Jisas mo veve lawe na nona rorongtagi vena, “A tangaloi ratahigi gatagale a nona tangaloi lune mo leogoro na nona tabana, ko a leo mo vomai lawe na ratahigi hi vena a tangaloi leogoro tabanagi hi mo hako vurogi na homu noi nona ratahigi. 
