MAT.1.1	Ani sén i dad dagit i gutambul Dyisas Krayst, i bel Harì Dabid, dunan i bel Abraham. 
MAT.21.4	Yé duenan mkel ani du fye gdohò i man Dwata fagu di satu tugadan di munan,
MAT.21.5	“Fgadèam di dad to di Dyérusalém, manam, ‘Neyeyu, du kel i Harìyu di gamu. Toon fdanà i kton, na yé snakayan ngà i dongki.’ ”
MAT.21.6	Na ta mdà dad to dekan ayé, na nimenla i man Dyisas di dale. 
MAT.21.7	Nebela i dongki na i ngàan salu di ku Dyisas, na yé afidla dun i dademe dad klawehla, na ta smakay Dyisas. 
MAT.21.8	Di lamla magu, nun dee dad to mbel i klawehla di bà dalan, na i dademe, nkahla dad fanga kayu du mdà di kdayenla di ku Dyisas. 
MAT.21.9	Nun dad to muna di ku Dyisas na nun dademe tmadol, na tamlo ale, manla, “Dnayento i Bel Dabid! Magdayen i To salu dini di dagit i Dwata! Magdayen i Dwata du too mdatah.”
MAT.21.10	Na kanto kel ale Dyisas di Dyérusalém, too tikeng i dad to déé, na smalek ale, manla, “Simto i to ani?” 
MAT.21.11	Na tmimel i dad to magin, manla, “Dyisas ani, i Tugad Dwata mdà di Nasarét di Galili.”
MAT.21.12	Fusuk Dyisas di Bong Gumnè Gumangamfù di Dwata, na ndalan lamwà i kdee dad to sbayad déé. Na lugadan dad lamisa i dad to sasambì filak na lê man gusudeng i dad to gal fabli dad abun galla dsù. 
MAT.21.13	Na manan di dale, “Ta gsulat di Tnalù Dwata, manan, ‘I Gumnègu ani, yé gukmamu dun gal gudmasal,’ bay ta fanbalingyu gumnè i dad to lmimbung.”
MAT.21.14	Na nun dad butè na dad kimay fdadong di kenen déé di gumnè ayé, na fan-gulêan ale. 
MAT.21.15	Bay baling malbut dad ganlal di kafaglut i dad Dyu na dad to gal tamdò dad uldin Dwata fagu di ku Mosis. Yé duenla malbut du ta teenla dad tnikeng nimòan, na ta lingela i katlo dad ngà di kmanla, “Magdayen i Bel Dabid.” 
MAT.21.16	Na smalek ale di ku Dyisas, manla, “Là lingem kè i man dad ngà ani?” Na tmimel Dyisas, manan, “Hee sa. Sawe là lmenyu masa ani di Tnalù i Dwata, manan, ‘Tdò Dwata dad ngà, balù i dad too malnak, du fye dnayenla kenen.’ ”
MAT.21.17	Na tnagakan ale, na lamwà kenen di syudad du fles ditù di banwe Bétani, na déé gumilèan di kifuh.
MAT.21.18	Di too flafus, ta mdà ale Dyisas samfulê di Dyérusalém. Na di kagun gatù, ta bitil kenen. 
MAT.21.19	Na nun teenan kayu dnagit fig di saféd dalan, na fdadong kenen déé, bay landè benge teenan lo doon. Na man Dyisas di kayu ayé, “Ta là fakay ge menge.” Na di kmanan ayé, tadè mlanas i kayu ayé. 
MAT.21.20	Kite dad to galan tdò ayé, tikeng ale, na smalek ale, manla, “Dét duen i kayu ani too mlal mlanas?” 
MAT.21.21	Na tmimel Dyisas, manan, “Too glut i man-gu di gamu ani, ku ftoo gamu na là lwe nawayu, gaganyu nimò i ta nimògu di kayu ani gine. Na ise ku lo ayé, bay fakayyu man di bulul ani, ‘Magket ge na mgilih ge gatù di talà mahin,’ na gdohò i manyu ayé. 
MAT.21.22	Ku ftoo gamu, balù dét i fniyu di dasalyu, gdawatyu.”
MAT.21.23	Lê samfulê ale Dyisas di lam i Bong Gumnè Gumangamfù di Dwata. Na di laman tamdò, salu di kenen i dad ganlal di kafaglut i dad Dyu, na i dad tua gal mebe i dad Dyu. Na smalek ale, manla, “Dét i ktoom mimò i kdee nimòam dini? Na simto mlé ge glal?” 
MAT.21.24	Na tmimel Dyisas, manan, “Lê nun snalekgu di gamu. Na ku gtimelyu, lêgu tulen di gamu ku dét i ktoogu mimò ani. 
MAT.21.25	Gablà di kbunyag Dyan, nè gumdà i glalan kenen, mdà di Dwata di langit, ku demen mdà di dad to di tah tanà?” Na stulen ale, manla, “Ku yé manto, ‘Mdà di Dwata di langit,’ snalekan gito, na manan, ‘Kan ku là fantooyu Dyan?’ 
MAT.21.26	Bay là fakay ku yé manto, ‘Mdà di dad to,’ du likò ato di dademe dad to du yé man i kdeela na Dyan i satu tugad Dwata.” 
MAT.21.27	Yé duenam man, tmimel ale, manla, “Là gadèmi dun.” Na manan di dale, “Lê là tulenta gamu ku dét ktoogu mimò i dad nimògu.
MAT.21.28	“Dét i fandamyu gablà ani? Nun satu lagi, lwe ngàan. Manan di twege, ‘Tò, mdà ge talbahò di tanàgu.’ 
MAT.21.29	Na tmimel i ngàan, manan, ‘Là mayè agu,’ bay baling matlas i fandaman na mdà kenen talbahò. 
MAT.21.30	Na lê salngad man i lagi di ngàan twali. Na tmimel i ngàan ayé, manan, ‘Hee, Mà,’ bay là nimòan dun. 
MAT.21.31	Di dad lwe ngà ani, simto i mimen di knayè i màla?” Tmimel ale, manla, ‘I twege.’ Na man Dyisas di dale, “Too glut i man-gu di gamu ani, i dad to man nawayu too sasè gambet i dad to mwè bayad i buhis na i dad libun gal mkat lagi, muna ale di gamu gfusuk di Kagot Dwata. 
MAT.21.32	Du Dyan Gal Munyag, yé duenan salu dini du fye fiten di gamu dalan i katluh, bay là fantooyu dun. Baling yé ftoo di manan i dad to mwè bayad i buhis na i dad libun gal mkat lagi. Na balù teenyu i dale kaftoo, knèan là msal gamu na là ftoo gamu di tdòan.
MAT.21.33	“Lê gamu flinge di satu fléd. Nun satu lagi mfun tanà, na mele kenen walad dnagit grép. Lnabatan i dad felen, na makol kenen di bong batu du gumlék i bengen. Na lêan fdak i mdatah gumnè gufanak i to mantay i dad felen ani. Na kafnge ayé, fagotan i dad felen di dademe dad to du salu kenen di satu banwe. 
MAT.21.34	Na kanto kel di bangla mles i bengen, dekan i dad fasakan salu ditù di tanàan du fye nwèla i kenen alel. 
MAT.21.35	Bay i dad to gufagotan i felen, kanfèla dad fasakan. Nfasla satu, fnatila satu, na ndakla batu i satu. 
MAT.21.36	Na lêan dek dademe dad fasakan, ta too ale dee, na lê salngad i nimòla di dale. 
MAT.21.37	Na kanto kel di gusenan, dekan i ngàan salu di dale. Na yé manan di kton, ‘Nafèla sa i ngàgu.’ 
MAT.21.38	Bay kantola teen i ngàan, stulen ale, manla, ‘Ani ngà i to mfun dad fele. Fnatito kenen du fye ku ta mati màan, ta gito gamfun i dad felen.’ 
MAT.21.39	Yé duenam man, kanfèla kenen, na nebela ditù di lwà i tanà gumele grép klola fmati dun.” 
MAT.21.40	Na smalek Dyisas, manan, “Ku ta kel i mfun fele ani, dét kè kibòan i dad to gufagotan i felen?” 
MAT.21.41	Na tmimel ale, manla, “Yé nimòan di dad sasè to ani, fnatin i dad to gufagotan dad felen, na tanlasan ale. Na yé tlasan dunan dad to mayè mlé i kenen alel.” 
MAT.21.42	Na lê talù Dyisas di dale, manan, “Sawe là lmenyu masa i fléd di Tnalù Dwata, manan, ‘Nun gumnè slame batu, na i satu batu déé too mabtas, yé baling knang i dad to fdak gumnè. Blaam, i batu ani, yé gumdàan di Dwata, na too ti gamtikeng.’ 
MAT.21.43	Na yé duenam man, ani man-gu di gamu, lê nawì i Kagot Dwata di gamu na blén di dad to menge fye. 
MAT.21.44	Ku simto gdauf di batu ani, malmo kenen, na ku simto tankan i batu ani, mlunah kenen.”
MAT.21.45	Na kanto linge dad ganlal di kafaglut i dad Dyu na dad Farisi i dad fléd Dyisas ani, gadèla na dale i gugtadèan. 
MAT.21.46	Mngabal ale kfagu kamfè ku Dyisas, bay likò ale di dademe dad to du yé manla na kenen satu tugad Dwata.
MAT.22.1	Na lê talù Dyisas fagu di fléd, manan, 
MAT.22.2	“I Kagot Dwata di langit salngad di satu harì mimò fista di ksong i ngàan lagi. 
MAT.22.3	Dekan dad snaligan du nngéla dad to nlakan, bay là mayè ale. 
MAT.22.4	Na kafnge ayé, ta lêan dek dademe dad snaligan, manan di dale, ‘Tooyu tulen di dale na ta gatlagad i bong knaan. Ta ftatêgu i dad malbang safìgu na lê man i dad ngà safì ta fabùgu. Ta gatlagad i kdee. Tooyu ale fagin gadini.’ 
MAT.22.5	Bay là falningela i dad snaligan ani, na baling ale mdà. I satu salu di tanàan, na i satu di tindan. 
MAT.22.6	Na i dademe, kanfèla dad snaligan, na fatdukla ale, na fnatila ale. 
MAT.22.7	Na too malbut i harì ani. Dekan dad sundalun fmati dad to ani, na mtam i syudad gumnèla. 
MAT.22.8	Na kafnge ayé, ta manan di dad snaligan, ‘Ta gatlagad i knaan di ksong ani, bay i dad to munagu nlak, là gten ale magin. 
MAT.22.9	Gatù gamu di dad dalan, na nlakyu i kdee dad to teenyu.’ 
MAT.22.10	Yé duenam man, ta mdà dad snaligan ani, na salu ale di dad dalan du santifunla i kdee teenla, balù fye to ku demen sasè to, na ta fnò to i gumnè gufista. 
MAT.22.11	Na ta fusuk i harì du dnawatan i dad to salu déé, bay nun teenan satu to là lamsakan klaweh di ksong. 
MAT.22.12	Na manan, ‘E flanek, dét kibò kagfusukam dini du là lamsak ge klaweh di ksong?’ Na là gtalù i to ayé. 
MAT.22.13	Na tlo harì i dad snaligan, manan, ‘Bnakusyu dad sigal na dad blì i to ani, na batyu kenen ditù di lwà di gukmifuhan, dunan di gumngel dad to na gukminggat i kifanla.’ 
MAT.22.14	Na fannge Dyisas i flédan, manan, “Dee dad to nlak, bay là dee i mgalék.”
MAT.22.15	Na kafnge ayé, lamwà dad Farisi du santulenla i kfagula kamfè ku Dyisas fagu di ksalekla kenen. 
MAT.22.16	Dekla dademe dad to galla tdò na lê man dademe dad to gal msen ku Hérod. Na i dad to dekla ayé, yé manla di ku Dyisas, “E Sér, ge satu to too gsalig, na too ti glut i katdòam i dalan Dwata. Là fkaham di nawam i man dad to di ge du là sa mabtas di ge ku dét i glalla. 
MAT.22.17	Dét i fandamam? Fakay kè di uldin Dwata fagu di ku Mosis ku mlé gami bayad i buhis di ku Sisar, i gumdatah di Roma, ku demen là?” 
MAT.22.18	Bay gadè Dyisas i sasè fandamla, taman manan, “Gamu dad to flingu. Kan ku lnimanyu agu? 
MAT.22.19	Fiteyu do i satu filak galyu bayad i buhis di Roma.” Na mwè ale satu filak na fitela ku Dyisas. 
MAT.22.20	Na snalekan ale, manan, “Simto i to teenyu di filak ani, na simto mfun dagit i ta gsulat dini?” 
MAT.22.21	Na tmimel ale, manla, “Ku Sisar.” Na manan di dale, “Ku dét i nfun Sisar, bléyu ku Sisar, na ku dét i nfun Dwata, blêyu di Dwata.” 
MAT.22.22	Na kantola linge i timelan ayé, too ale tikeng. Na yé duenam man, tnagakla kenen na ta mdà ale.
MAT.22.23	Na di du ayé, nun dad Sadusi salu di ku Dyisas. (Dale i dad to man dun na landè mték di fati.) 
MAT.22.24	Na smalek ale, manla, “E Sér, di munan, smulat Mosis, na yé flaun ku nun lagi mati bay landè ngàla, là fakay ku là nwè twalin lagi i libun ayé du fye nun tubad i twegen. 
MAT.22.25	Na di munan kun, nun fitu lagi saflanek. Mwè yaan i twege, bay mati na landè ngàla. Na yé duenam man, lê nwè i twalin. 
MAT.22.26	Salngad ayé i lê mkel di twalin ayé na di galwen na sngé kel di sangal twali. 
MAT.22.27	Na kafnge ayé, ta mati i libun ayé. 
MAT.22.28	Ani i snalekmi. Di kték i dad mati, simto i too yaan i libun ayé di fitu lagi saflanek?”
MAT.22.29	Na tmimel Dyisas, manan, “Too gsalà i fandamyu du là gadèyu i Tnalù Dwata na i kaltulusan. 
MAT.22.30	Ku ta mték i dad mati kadang di fulé du, ta landè swè yaan, balù lagi ku demen libun. Bay yé ta kagkahla salngad ale di dad kasaligan di langit. 
MAT.22.31	Na gablà di kték i dad mati, sawe là lmenyu masa man Dwata ani di gamu, 
MAT.22.32	‘Do i Dwata fnangamfù Abraham, Isaak na Dyékob.’ Na yé kayèan man dini kenen Dwata fnangamfù i dad to mlawil fa, ise ku i dad mati.” 
MAT.22.33	Na kanto linge i kdee dad to ayé, too ale tikeng di katdòan.
MAT.22.34	Na kafnge ayé, ta stifun dad Farisi du ta lingela na ta là gtalù i dad Sadusi du mdà di dad timel Dyisas. 
MAT.22.35	Na nun satu di dale i too gmadè dad uldin Dwata. Tnilewan Dyisas fagu di salek, manan, 
MAT.22.36	“E Sér, di kdee dad uldin Dwata, nè i too mabtas dé?” 
MAT.22.37	Na tmimel Dyisas, manan, “ ‘Kanbongyu nawa i Amuyu Dwata mdà di nawayu, na di fandamyu, na di kaglabatyu.’ 
MAT.22.38	Ani i too mdatah na too mabtas di kdee uldin Dwata. 
MAT.22.39	Na i gamtadol uldin too mabtas, nun gusalngadan di muna, na dunan ani, ‘Kanbongyu nawa i dademe to salngad kalbong nawayu i gamu kto.’ 
MAT.22.40	I lwe uldin ani, yé gumdà i kdee dademe dad uldin Dwata fagu di ku Mosis, na lê man dademe dad tdò i dad tugad Dwata.”
MAT.22.41	Na di tlabo stifun i dad Farisi, snalek Dyisas ale, manan, 
MAT.22.42	“Dét i fandamyu gablà di Mgalék Dwata? Simto gutambulan?” Na tmimel ale, manla, “Kenen i Bel Dabid.” 
MAT.22.43	Na manan di dale, “Ku gambet ayé, kan ku nalak Tulus Dwata Dabid tamlo di kenen ‘Amu’? Ani i manan di munan,
MAT.22.44	‘Man Dwata di Amugu, “Sudeng ge gsen di kwanan-gu, dunan i gufdatahta ge, kel di kafkahgu i dad to muteh ge nawa di dungan falel blìam.’ ”
MAT.22.45	Ku yé katlo Dabid di Mgalék Dwata, ‘Amu,’ kan ku yé katloyu kenen Bel Dabid?” 
MAT.22.46	Na landè gamtimel, na mdà di du ayé, ta landè lê mlas smalek kenen.
MAT.23.1	Na kafnge ayé, talù Dyisas di mlabung dad to, na lê man di dad to galan tdò, manan, 
MAT.23.2	“I dad to gal tamdò dad uldin Dwata fagu di ku Mosis na lê man dad Farisi, dale i nun glal mubad i dad uldin Dwata. 
MAT.23.3	Yé duenam man, là fakay ku là nimenyu i kdee dad uldinla. Bay, nangyu ganbet dad nimòla du là maslalò i nimòla di dad tdòla. 
MAT.23.4	Salngad ku nun blat ftiangla di dad to, bay là ti tnabengla ale mebe, balù tukay. 
MAT.23.5	Toola falbang dad gufkahla i gusmulatla Tnalù Dwata galla batang di ulula na di sigalla. Na ftahàla i fayolla di kilil i klawehla. Yé duenla mimò i kdee ani du lola fite di dad to. 
MAT.23.6	Na yé kayèla ku nafè i dad to ale fagu di kafsudengla dale di gusudeng i dad to mdatah di dad fista na di dad gumnè gal gustifun i dad to. 
MAT.23.7	Na yé toola kanbayan ku nafè i dad to ale di fadyan, na ku yé katlo dale ‘Sér.’ 
MAT.23.8	Bay là fakay ku yé katlo dad to gamu, ‘Sér,’ du saflanek gamu na lo satu i Tamdò gamu. 
MAT.23.9	Na là fakay ku yé katloyu di dademe to ‘Mà,’ du lo satu Màyu, dunan i mnè di tah langit. 
MAT.23.10	Na lê là fakay ku yé katlo dad to gamu, ‘Amu,’ du lo satu Amuyu, dunan i Mgalék Dwata. 
MAT.23.11	Yé too mdatah di kdeeyu, dunan i to fafasak di gamu. 
MAT.23.12	Ku simto fdatah i kton, yé baling mdanà, na ku simto fdanà i kton, yé baling mdatah.”
MAT.23.13	Na man Dyisas, “Magakdo gamu, dad to gal tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam mdà di kaflinguyu. Nsangyu i dalan dad to fusuk di Kagot Dwata di langit. Là mayè gamu fusuk na ku simto i mayè, là ti falohyu dun. 
MAT.23.14	(Magakdo gamu, dad to tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi du too gamu flingu. Lnumìyu dad libun balu du fye gwèyu dad knunla, na flingu gamu mimò fye fagu di tahà dasalyu. Na yé duenam man, too ti sasè i kaflayamyu kadang.) 
MAT.23.15	Magakdo gamu, dad to gal tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam mdà di kaflinguyu. Gal gamu magu di tah tanà na di talà i mahin du fye gamgebe gamu to. Bay ku ta nun gebeyu, matnù fa i ksasèan di gamu, na midul i kagtenan salu ditù di lanaw lifoh. 
MAT.23.16	Magakdo gamu, du salngad gamu di to butè gal malak i dademe to. Ani tdòyu, ‘Ku nun to samdagè, na yé kbagal i sdagèan i Bong Gumnè Gumangamfù di Dwata, balù ku là dnohòan dun. Bay ku yé kbagal i sdagèan i blawen di lam i Bong Gumnè ayé, là fakay ku là dnohòan dun.’ 
MAT.23.17	Salngad gamu di to butè, na landè kaglabatyu. Dét i mabtas, i blawen, ku demen i Bong Gumnè Gumangamfù di Dwata gumdà i blawen matfing? 
MAT.23.18	Na ani i lêyu tdò, ‘Ku nun to samdagè na yé kbagal i sdagèan i gudamsù, balù ku là dnohòan dun. Bay ku yé kbagal i sdagèan i blé ta mlasà di tah i gudamsù ayé, là fakay ku là dnohòan dun.’ 
MAT.23.19	Too gamu butè. Dét i mabtas, i blé mlasà di tah i gudamsù, ku demen i gudamsù gumdàan matfing i blé ayé? 
MAT.23.20	Na yé duenam man, ku simto samdagè fagu di gudamsù, ise ku lo yé fakufan i gudamsù, bay lê man i kdee mlasà di tahan. 
MAT.23.21	Na ku simto samdagè fagu di Bong Gumnè Gumangamfù di Dwata, ise ku lo yé fakufan i Bong Gumnè ayé, bay lê man i Dwata mnè di laman. 
MAT.23.22	Na ku simto samdagè na yé kbagal sdagèan i langit, lêan fakuf i trunu Dwata na lê man i Dwata sudeng di tahan.
MAT.23.23	“Magakdo gamu, dad to gal tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam du mdà di kaflinguyu. Gal gamu mlé gasfalò di Dwata mdà di malnak bol utenyu, bay ta tnagakyu i katluh na i kakdo na i kagsalig. Fye moon ku too gamu tluh, na ku fulung gamu kamdo, na ku gsalig gamu, na lê gamu fadlug di kabléyu di Dwata. 
MAT.23.24	Salngad gamu di to butè gal malak i dademe to. Yé guflingen-gu i nimòyu di satu to ku tnafisan i dad lifat di ninuman, bay flohan i bong lmanaf dnagit kamél. 
MAT.23.25	Magakdo gamu, dad to tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam du mdà di kaflinguyu. Galyu nalob i basù na fligo di kililan, bay ditù di laman, sana kagsikan, du too gamu lmumì na lom gamu. 
MAT.23.26	Too gamu butè, dad Farisi. Yé fye nimòyu, funayu nalob lam i basù na i fligo, na fagu déé lê mlaneb i kililan.
MAT.23.27	“Magakdo gamu dad to gal tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam du mdà di kaflinguyu. Salngad gamu i fantyun gutmusuk i lungun na fninturala bukay du too fye baweh mite dun di lwà, bay ditù di lam fnò tulan i dad to mati na i kdee ta balok. 
MAT.23.28	Na salngad ayé i gamu, du di kite i dad to gamu, too gamu tluh, bay ditù di lam i nawayu too bong i kaflinguyu na too gamu gamsalà.
MAT.23.29	“Magakdo gamu dad to gal tamdò dad uldin Dwata fagu di ku Mosis na dad Farisi. Too gamu falnayam du mdà di kaflinguyu. Yé galyu nimò fandakyu ilè gulambang i dad tugad Dwata, na nkasyu dad lbang i dad muna to too tluh. 
MAT.23.30	Na ani galyu man, ‘Ku lo gami gasalngan moon di dad gutambulto ayé, là sa magin gami fmati dad tugad Dwata.’ 
MAT.23.31	Na fagu di manyu ayé, nfunyu na gamu bel i dad to manò dad tugad Dwata. 
MAT.23.32	Na yé duenam man, fadlugyu snikof i ta tanbù dad gutambulyu.
MAT.23.33	“Salngad gamu dad ulad du yé gutambulyu di dad ulad. Yé man nawayu kè ku gaganyu niwas i lanaw lifoh? 
MAT.23.34	Yé duenam man, dekgu gadéé di gamu i dad tugad Dwata na dad to too fulung na dad to tamdò. Nun dademe di dale, balingyu fnatak di krus, ku demen fnatiyu ale. I dademe, balingyu ale nfas di dad gumnè galyu gustifun, na dluhyu ale balù nè gusalula milah. 
MAT.23.35	Na fagu déé, falnayam Dwata gamu du gagin gamu di galla kfafati i kdee dad to landè gumaslen, mdà di ku Abél na kel di ku Sakaraya, i ngà Barakaya, dunan i bnanòla di bleng i gudamsù na i gumangamfù di Dwata. 
MAT.23.36	Na too glut i man-gu di gamu ani, i kaflayam Dwata i dad to di mdu ani too ti gdohò kadang di fulé du.”
MAT.23.37	“E, dad to di Dyérusalém, gamu i gal fmati dad tugad Dwata, na mdak batu i dad to dek Dwata salu di gamu. Ta dee dulêgu nan mayè samtifun gamu gambet i anuk mliton du lanfanan i dad ngàan. Bay là ti mayè gamu. 
MAT.23.38	Bay neyeyu du ta fan bayà Dwata di gamu i banweyu ani, 
MAT.23.39	na silangyu agu lê teen ku ta kel i bang kmanyu dun, ‘Magdayen i To salu dini di dagit Dwata.’ ”
MAT.24.1	Na lamwà Dyisas di Bong Gumnè Gumangamfù di Dwata, na di kdàan, i dad to galan tdò fdadong ale na tdòla di kenen i dad gumnè glam di Bong Gumnè ayé. 
MAT.24.2	Bay manan di dale, “Fye du teenyu kdee ani. Too glut i man-gu di gamu, nun du kel kadang, landè batu gtagak di guglakatan du sdulê malbà i kdeen.”
MAT.24.3	Na fles Dyisas di Bulul Olib, na sudeng déé. Na fdadong dad to galan tdò di landè dademe to lminge dun, manla, “Begam tulen gami ku kilen kagdohò i manam ayé, na ku dét mkel gugmadèmi kasfulêam na gusen i banwe.” 
MAT.24.4	Na tmimel Dyisas, manan, “Too gamu fgeye du fye là mafgaw gamu. 
MAT.24.5	Du bong dee dad to kel kadang di fulé du, na tamdò ale fagu di dagitgu, ‘Do sa Krayst, dunan i Mgalék Dwata,’ na fagu déé, dee dad to mafgaw. 
MAT.24.6	Nun lingeyu dad kasfati ta kel, na lingeyu i dad santulen gablà di dademe dad kasfati fan kel, bay nang gamu likò. Là fakay ku là funa kel i kdee ayé, bay balù ku ta gdohò ayé, ise ku yé i ta gusenan. 
MAT.24.7	Sfati dad sahal to, na lê man dad malbang banwe. Na mkel i kbitil na dad linol di dee dad banwe. 
MAT.24.8	Bay i kdee ayé lo katbù i dad ilè na ta fan mkel i gusenan salngad di libun maltien ta tamduk i tienan du fan sut i ngàan.
MAT.24.9	“Kafnge ayé, kanfè dad to gamu, na nebela gamu di dad to mukum du falnayamla gamu na fnatila gamu. Na i dad to di kdee dad banwe, knangla gamu nawa du mdà di ksasatuyu di do. 
MAT.24.10	Na di dad du ayé, nun dee dad to kmagol i kaftoola di Dwata. Na dademe, sakal ale, na snang ale nawa. 
MAT.24.11	Na lê nun dee dad to flingu tmugad i Tnalù Dwata na dee dad to mafgaw. 
MAT.24.12	Du ta matnù i kdee dad sasè, yé duenam man, dee dad to, ta tno i kakdola. 
MAT.24.13	Bay ku simto i gamtayud kel di gusenan galwà kenen. 
MAT.24.14	Na funa gatdò i Fye Tulen gablà di Kagot Dwata du fye magtulen i kdee dad to di kdee dad banwe, na yé klon kel i gusenan.
MAT.24.15	“Na nun teenyu too sasè kalnikò gamfalmo tadag di Bong Gumnè Gumangamfù di Dwata, dunan i ta fala man Dwata fagu di ku Danyél, i satu tugadan di munan. Ku simto masa ani, fye ku toon fan-glabat di fandaman. 
MAT.24.16	Na ku teenyu ayé, fye ku milah i kdee dad to di Dyudiya ditù di dad bulul. 
MAT.24.17	Na ku nun to ditù di tah ataf i gumnèan, fye ku ta nang kenen lê tufa du mwè i dad knunan. 
MAT.24.18	Na ku nun to ditù di dnarun, fye ku ta nang mulê du mwè i saulan tahà sigal. 
MAT.24.19	Di du ayé, magakdo i dad libun maltien, na dad libun ftutù ngà. 
MAT.24.20	Taman, too gamu dmasal du fye là kelan di bang ksasè i tanà ku demen di Du Kaftud. 
MAT.24.21	Balù dét ksasè i dad mkel mdà di kagatbù i klamang banwe sngé kel di mdu ani, là gasalngadan i ksasè i mkel ani. 
MAT.24.22	Bay fanfukal Dwata i bang ayé, du ku là fanfukalan dun, ta landè nan gdè to mlawil di tah tanà. Yé duenan famfukal dun du mdà di kalbong nawan di dad to ta mgalékan.
MAT.24.23	“Na di dad du ayé, ku nun to man di gamu, ‘Neyeyu, ta dini Krayst, i Mgalék Dwata,’ ku demen manan, ‘Ta ditù’ nangyu fantoo. 
MAT.24.24	Du msut dee dad to flingu, na manla dale kun Mgalék Dwata, blaam ise. Na yé man dademe na dale kun i dademe dad tugad Dwata, blaam ise. Na mimò ale dad gamtikeng du fan-gawla i dad to, balù i dad to ta mgalék Dwata ku gagan, bay là. 
MAT.24.25	Ani nangyu glifet, ta falagu tulen di gamu i kdee ani di laman là mkel.
MAT.24.26	“Na yé duenam man, ku nun to man di gamu, ‘Ta ditù kenen di banwe landè to mnè ditù,’ nang gamu gatù. Na ku nun man di gamu, ‘Ta dini kenen di lam snifil,’ nangyu fantoo. 
MAT.24.27	I kakel Ngà To, salngad di silà mkal mdà di gusut i du kel di gusdafan. 
MAT.24.28	Na yé satu guflingen-gu dun, ku nè gumlasà i mati, déé gustifun i dad wak du knaanla
MAT.24.29	“Na kafnge i bong klimah ayé, tin tadè kmifuh i du, na ta là mneng i bulen. Na mtatek dad blatik mdà di langit, na gasyat i kdee dad mnè di langit. 
MAT.24.30	Na yé klon msut di langit ilè i kasfulê Ngà To, na sdulê mngel i kdee bung to di tah tanà. Na teenla Ngà To kel fagin di dad labun, na too kenen maltulus na mneng. 
MAT.24.31	Na salngan di bong uni féw dekan i dad kasaliganan gatù di kdee sahal banwe di tah tanà, balù nè gusablàla, du santifunla i dad to ta mgalék Dwata.
MAT.24.32	“Ganbetyu nan i tdògu ani mdà di kayu fig. Ku tmubad i kayu ani na lê dmoon, yé gugmadèyu dun na ta fan kel i minit du. 
MAT.24.33	Gambet ayé, ku ta teenyu ta kel dad ta falagu tulen di gamu, yé gugmadèyu dun na too mdadong nan i kakel Ngà To. 
MAT.24.34	Too glut i man-gu di gamu ani. Là sa sdulê mati kdee dad to di bang ani. Silang ale mati ku ta gdohò i kdee dad tulen-gu. 
MAT.24.35	Matlas i langit na tanà, bay i Tnalùgu là matlasan kel di landè sen.
MAT.24.36	“Landè gmadè i du na i bang kasfulêgu, balù i dad kasaligan di langit, ku demen i Ngà Dwata. Bay lo yé gmadè dun Mà. 
MAT.24.37	I mkel di dad to di bang kasfulê i dnagit Ngà To, salngad di ta mkel di dad to di du Nowa di munan. 
MAT.24.38	Di laman là kel i dunuk, lo yé nimò i dad to kmaan na minum. I dad lagi, mwè ale yaan, na dad libun, nwèla ale yaan kel di kfusuk Nowa di bong aweng. 
MAT.24.39	Na là ti gadèla ku dét i fan mkel. Galì ale tamwan ta kel i bong dunuk na tangalan ale. Gambet ayé kagkahan ku ta samfulê i Ngà To. 
MAT.24.40	Nun lwe lagi di dnaru. Nwè i satu na tagak i satu. 
MAT.24.41	Nun lwe libun gmiling. Nwè i satu na tagak i satu. 
MAT.24.42	Yé duenam man, too gamu fgeye du là ti gadèyu ku dét i du kasfulê i Amuyu. 
MAT.24.43	Fan-glabatyu ani di fandamyu. Ku gadè i to mfun gumnè i bang i to tmaku kel di lam i kifuh, too kenen fgeye moon fye là gfusuk i to tmaku. 
MAT.24.44	Yé duenam man, too gamu fgeye, du do, i dnagit Ngà To, yé kasfulêgu di du i là kfatanyu do.
MAT.24.45	“Simto kè snalig too fduf na too fulung? Dunan i snalig gufagot i amun kdee dademe dad snaligan du fye nalelan dale i knaanla ku ta kel i bang. 
MAT.24.46	Too fye nawa i snalig ku ta kel i amun, na teenan kenen talbahò. 
MAT.24.47	Too glut man-gu di gamu, i snalig ani, kenen gufagot i amun i kdee knunan. 
MAT.24.48	Bay kaflingenta dun, ku sasè balu i snalig ani, na manan di kton, ‘Tay kléét i amugu,’ 
MAT.24.49	na balingan fatduk i dademen dad snalig, na lo tadè kmaan na minum di saféd i dad to flangal, ani mkel di kenen. 
MAT.24.50	Yé kakel i amun di du i là kfatanan, dunan bang i làan lyalo
MAT.24.51	Na ani kibò i amun kenen, toon kenen falnayam, du fnèan kenen di saféd i dad to flingu, dunan di gumngel na gukminggat i kifanla.”
