MAT.1.1	Yayto i ginikanan-na si Jesu-Kristo, i Dadi'-na si David pati' si Abraham:
MAT.12.30	“Bisan say i ga'i mamungyod si ako, anguntra si ako, ngan da'inan may liwat, bisan say i ga'i pahuwang si ako pag'agda a'a nga anutu'o, iya dina i magpawararak si mga aragdahun-ko. 
MAT.12.31	Sanglit sumatan-ta kam, sapasaylu-na si Diyos i dimu'an sala'-na si a'a, bisan pa i paglalabaw si Diyos, pero i pagparapakara'at si arun-na si Espirito Santo, ga'i apasaylo. 
MAT.12.32	Bisan say i mamahalling kuntra si Pinili' A'a, apasaylo iya, pero i magparapahalling kuntra si Espirito Santo, ga'i apasaylo si ina'anto hasta pa si titakkay ro panahon.
MAT.12.33	“Pahalapu-bi pag'ataman si kayo, basi' mahalap may sito i buwa'-na. Pero kon padayon i mara'at pag'ataman-bi sito, sigurado nga mara'at may liwat i buwa'-na. Ngan akilala kon say i mahalap tungod si buwa'-na mga iya. 
MAT.12.34	Mga alisto kam gayod pagpamakunu-kuno! Pinapa'i kam agpakapahalling si bisan ay mahalapa nga lagtok kam si karat'an? Bisan ay i manapwa si inisipan-na si a'a, iya may i sapahalling-na. 
MAT.12.35	Agpagawas-na si mahalap a'a i mga kahalapan kay iya may i sana'an si iya, ngan agpaguwa'-na si mara'at a'a i mga karat'an kay iya may liwat i sana'an si iya. 
MAT.12.36	Sumatan-ta kam nga aniya' baratunun-na si mga a'a si kada allingon sayawit-na nga ma'in angay parahallingon kon anakka na i allaw si paghusgar. 
MAT.12.37	Kay dipindi si mga sayawit-bi kon agpakalibri ba' kam o ma'in ngani' paratukan.”
MAT.12.38	Mangno aniya' si mga Parisiyo pati' mga paragturo' bala'od i maminugad si iya, “Ma'istro, aruyag kami' nga anhimo kaw pangngilalahan si langitnon kasiguruhan.”
MAT.12.39	Anaruman si Jesus, “Kinakulawan gayod i kara'at-na si mga a'a sito panahon nga makihuhuwangon si mga pala'in-la'in diyos, kay sigi hamok paralakuhay si mga pangngilalahan si langitnon kasiguruhan. Pero gana' na purumwanon pa si mga iya pwira si pangngilalahan siray nga nagbuhat si paragsumat Jonas. 
MAT.12.40	Si Jonas mismo i naghimo pangngilalahan si pag'istar-na tallo allaw ngan tallo sangom si battung-na si mahaya daying, ngan pariho si iya, ti'istar may liwat i Pinili' A'a si labbong tallo allaw ngan tallo sangom. 
MAT.12.41	Aniya' titakka allaw nga abanhaw i mga allom pa ina'anto basi' agpakahusgaran. Sinan allaw, abanhaw may liwat i magpangistar siray si syudad Ninibe pagtistigos kuntra si mga allom pa ina'anto kay agpamasol mga iya siray huwang si pagbag'o si pakapakali-na mga iya si nagpasamwak-na si Jonas. Sanglit tungod sinan matadong binuhatan nagpatukan i mga magka'arallom ina'anto tungod si mga buhat-na kay atiya' na i mas labaw pa kuntra si Jonas nga angay lugod dina parakalihan.
MAT.12.42	“Si pariho pa'agi, kon anakkay nan allaw, abanhaw may liwat i Rayna si Sur.
MAT.12.43	“Si papinda-na si mara'at espirito si adda a'a, ag'agi to si mga matuho' gayod lugar ngan sigi anda' si pandidiskansuhan-na. Tungod kay ga'i may aka'anda', 
MAT.12.44	aminugad to si kalugaringun-na, ‘Agbalik ako si inambanan-koy ray.’ Si panakka-na ari, sakatu'anan-na nga day gana' mag'istar, sinilhigan gayod ngan mahamis i dimu'an. 
MAT.12.45	Mangno agbwilta iya pag'agda pa pito' kahuruwangan-na mara'at espirito nga mas mara'at pa kuntra si iya. Pa'ayop to mga iya ari basi' mga sabawa-bawa-na. Sanglit i kamutangan-na si a'a si damuri to mas mara'at pa dina kuntra si primiro. Sanglit da'inan sinan i tinakkahan-na si mga a'a-na sito panahon nga bali pagkara'at.”
MAT.12.46	Sigi pa pahalling si Jesus si mga a'a, anakka may i nana-na pati' i mga bugtu'-na lalla. Agparapanunggo mga iya si gawas kay tipakibagaw mga iya si Jesus. 
MAT.12.47	Aniya' makasumat si iya, “Awiray si gawas agparapanunggo i nana-mo huwang i mga bugtu'-mo, ngan tipakibagaw mga iya si ka'aw.”
MAT.12.48	Pero agtilaw-na dina si Jesus i magsumat si iya, “Sakatu'anan-mo ba' kon say i nanay-ko pati' i mga bugtu'-ko?” 
MAT.12.49	Agturu'-na i mga inadalan-na ngan diritso amahalling, “Atiya' si ka'am i nana-ko pati' i kabugtu'an-ko. 
MAT.12.50	Kay bisan say i magtuman si katuyu'an-na si Tatay-ko ari si langit, mga iya dina i kabugtu'an-ko
MAT.13.1	Mismo siray allaw, paduwa'i si Jesus si ruma' ngan aningkulo' iya si bihing-na si danaw. 
MAT.13.2	Mangno, tungod si kalabbat-na si magpanggubok si iya, pasang'at iya si adda paraw ngan aningkulo'. I mga a'a may dimu'an si bihing agparapanunggo. 
MAT.13.3	Agpadayon iya si pagturo' si mga iya pala'in-la'in pina'agi si mga isturya nga agtukoy si kamatu'uran. Aminugad iya, “Aniya' para'uma nga patakod basi' agsaburak. 
MAT.13.4	Si pagsaburak-na si uma-na, aniya' mga gahi' nga aka'anna' dina si lalan ngan agpamadugok i mga manuk-manok pagtuktok. 
MAT.13.5	Aniya' liwat mga gahi' nga aka'anna' dina si mga malambo bato nga manipis hamok i pitak-na si dyata'. Sanglit tulos to anudok tungod si kanipis-na si pitak. 
MAT.13.6	Pero ngan pamanas-na si allaw, alayong to dayon mga tinanom ngan a'uga tungod kay kulang i kalanga-na si mga gamut-na. 
MAT.13.7	Aniya' liwat mga gahi' nga aka'anna' dina si pitak nga aniya' pa mabilin mga gamut-na si simpot. Sanglit ngan panuduk-na si simpot, agsuputan-na dina si simpot i mga tinanom. 
MAT.13.8	Pero aniya' may liwat mga gahi' nga aka'anna' si mahalap pitak. Sanglit mahalap i pamuwa'-na. Aniya' sito mga mahalap pitak nga i kutsitsa-na ag'addahatos dubli kuntra si nagpasaburak, aniya' may magsaysinta ngan aniya' may magtraynta. 
MAT.13.9	Si mga a'a makapamati', kunta' amati'.”
MAT.13.10	Padugok si iya i mga inadalan-na ngan agpamatilaw, “Ay kay agparagamitan-mo si mga isturya nga agtukoy si kamatu'uran kon makibagaw kaw si mga a'a?”
MAT.13.11	Anaruman iya, “Nagpumwan-na si ka'am i pagsabut-bi nga iya i nagparatago' siray, kon pinapa'i i a'a akasakop si nagpanhadi'an-na si man langit, pero nagparatago' payto si mga iya. 
MAT.13.12	Bisan say i aniya', iya i binuwanan pa basi' anlabbat gayod i tawa'-na; pero bisan say i gana', hasta pa i diki'it tawa'-na, inala' pa tikang si iya. 
MAT.13.13	Yayto i rason kon ay kay agparagamitan-ko mga iya si mga isturya nga agtukoy si kamatu'uran tungod kay
MAT.13.13	sigi mga iya buruslungay, pero gana' mga sakulawan-na.
MAT.13.13	Sigi paramati'ay, pero gana' mga sasabutan-na.
MAT.13.14	Kinakulawan anan si mga iya i katumanan-na si makigpasumat-na si Diyos si Isaias:
MAT.13.14	Sigi hamok mga iya paramati'ay, pero gana' mga sasabutan-na.
MAT.13.14	Sigi hamok buruslungay, pero gana' mga sakulawan-na.
MAT.13.15	Kay yayray mga a'a agparapamakunu-kuno nga mga bulok hasta nga gana' na gayod lugod mga pamurubu'ut-na,
MAT.13.15	agparapakangbungul-bungol ngan agparapakangbuta-buta.
MAT.13.15	Kon ma'in da'inan sinan, amuklat na kunta' i mga mata-na,
MAT.13.15	aka'abrihan i mga talinga-na,
MAT.13.15	akaklaruhan i mga inisipan-na,
MAT.13.15	abawa na kunta' mga iya pagtu'o si ako
MAT.13.15	ngan sapahalap-ko mga iya.
MAT.13.16	Pero mga malipayon kam gayod kay agpakakulaw kam ngan agpakapamati'. 
MAT.13.17	Kay sumatan-ta kam si kamatu'uran, siray mga panahon aniya' malabbat mga paragsumat-na si Diyos pati' mga matadong a'a nga agparapanhandom pag'ikukulaw si mga sakulawan-bi, pero gana' si mga iya magpakakulaw. Malabbat magpanhandom nga agpakapakali si mga sapakalihan-bi, pero ga'i mga iya agpakapakali.
MAT.13.18	“Sanglit amati'a kam nga sasabutan-bi kon ay i karuyag sidngun-na si isturya-koy ray mahi'unong si parasaburak: 
MAT.13.19	I lalan kon singnga aka'anna' dina i gahi', akaparihoy nan kamutangan si makapamati' si allingon kon pinapa'i iya akasakop si nagpanhadi'an-na si man langit ngan ga'i to sasabutan-na. Kon da'inan sinan, anakka si Satanas ngan ag'ala'-na si iya i allingon nga nagpasaburak si inisipan-na. 
MAT.13.20	I mga malambo bato namay nga manipis hamok i pitak-na si dyata', akaparihoy nan kamutangan si makapamati' si allingon nga malipayon dayon pagkarawat sito. 
MAT.13.21	Pero tungod kay mababaw hamok i gamot ato sito a'a, ma'in maliyat i pagti'us-na. Si panakka-na si mga kakurihan o ma'in ngani' si pagpasakit-na si la'in tungod si pagtutu'o si allingon, pa'amban dayon iya si pagtutu'u-na. 
MAT.13.22	I pitak may nga aniya' mga titudok simpot, akaparihoy nan kamutangan si makapamati' pahalap si allingon pero si katapus-tapusan agparasasallod si iya i kabaraka si pagpanginabuhi' pati' i daya'on kalipayan-na si kayamanan. Iyay nan dimu'an i makapugong si pagtubu'-na si allingun-na, sanglit ga'i akabuwa'. 
MAT.13.23	Pero i mahalap pitak, akaparihoy nan kamutangan si makapamati' si allingon ngan sasabutan-na gayod, sanglit mahalap i pagbuwa'-na. Aniya' sito klasi a'a nga i kutsitsa-na si allingon ag'addahatos dubli, aniya' may magsaysinta, ngan aniya' may magtraynta.”
MAT.13.24	Agsumatan-na mga iya gihapon si Jesus adda isturya nga agtukoy si kamatu'uran: “I paghadi'-na si man langit akapariho si a'a nga agsaburak si mahalap gahi' ari si uma-na. 
MAT.13.25	Pero si pakapaturi-na na si dimu'an, anakka may i kuntra-na ngan agpasaburak may si buwa'-na si simpot si nagsaburakan si trigo ngan diritso pa'amban. 
MAT.13.26	Panuduk-na si trigo ngan amurma i mga lawi-na, anudok may liwat i mga simpot.
MAT.13.27	“Padugok i mga rilihugun-na ari si tagtawa' ngan aniya' magsumbong, ‘Amo, ma'in ba' mahalap i gahi' nagpasaburak-mo si uma-moy ray? Singnga may ray tikang magpanubo' ray simpot ari?’
MAT.13.28	“Lingun-na may si amo, ‘Sigurado nga kuntra-ta kam i magbuhat sinan.’
MAT.13.28	“Amatilaw i mga rilihugon si iya, ‘Aruyag ba' kaw nga panrabnot kami' mga simpot ray?’
MAT.13.29	“Anaruman may iya, ‘Dakam, kay tingali si pagpararabnut-bi si mga simpot, abawa dina hasta i mga trigo. 
MAT.13.30	Pata'anin na hamok nga agdungan agtubo' i duwa tubtob si tig'ani. Kon anakka naynan uras, tugunan-ko na hamok i magpangani pagtipon dahulo si mga simpot ngan pakkus-na mga iya basi' agpakabar'ugan. Katapos iya na dina pinasunod i trigo ngan binawa pada'iray si kamalig-ko.’”
MAT.13.31	Agsumatan-na namay mga iya si Jesus la'in isturya nga agtukoy si kamatu'uran: “I paghadi'-na si man langit akapariho si lisu-na si tinanom mustad, 
MAT.13.32	nga iya i pinakamadiki' liso nga satanum-na si a'a si uma-na. Pero kon anubo' to liso, iya i adda pinakamahaya si dimu'an tinanom. Akaparihoy to kahaya si kayo nga pwidi i sanga-na sa'ansalahan-na si mga manuk-manok.”
MAT.13.33	Agsumatan-na gihapon mga iya adda pa isturya nga agtukoy si kamatu'uran: “I paghadi'-na si man langit akapariho si pammatubo' nga nagpasakut-na si parakaran'on danda ari si malabbat harrina hasta nga agsarama si bug'os minasa.”
MAT.13.34	Atubang si kalabbatan nga pirmi aggubok si Jesus, puro hamok isturya nga agtukoy si kamatu'uran i nagpahalling-na. Ga'i gayod iya amahalling si ka'aha'an kon ma'in da'inan sinan. 
MAT.13.35	Tungod sinan, atuman i mga allingun-na si paragsumat-na si Diyos:
MAT.13.35	Ga'i ako amahalling nga ga'i aggamit si isturya nga agtukoy si kamatu'uran.
MAT.13.35	Ako i mamaguwa' si mga tinago' tikang pa siray si paghimo gayod si kalibutan.
MAT.13.36	Katapos pa'amban si Jesus si magpanggubok ngan diritso amanahik pan ruma'. Anunod si iya i mga inadalan-na ngan agpaminugad, “Isplikarin daw kami' si isturya-moy ray hi'unong si magpanudok simpot ari si uma.”
MAT.13.37	Anaruman iya, “I magpasaburak si mahalap gahi', iya i Pinili' A'a. 
MAT.13.38	I uma, iya i kalibutan ngan i mahalap gahi', iya i mga a'a nga sakop si nagpanhadi'an-na. I mga simpot, iya i mga sakup-na si girara'ati, 
MAT.13.39	ngan i kuntra magpasaburak si mga iya, iya si Satanas. I tig'ani, iya i katapusan-na sito panahon, ngan i mga mangngangani, iya i mga anghel.
MAT.13.40	“Kon ay i kamutangan-na si uras si pagpanrabnot si mga simpot ngan pagpabar'og, da'inan may liwat sinan i manakka si katapusan-na sito panahon. 
MAT.13.41	Pabawa-na si Pinili' A'a i mga anghel-na, ngan mga iya i manhawan si dimu'an nga akapa'amban si pagtu'o, si dimu'an nga agparapamuhat si mga mara'at nga awiray akabiyo' si nagpanhadi'an-na. 
MAT.13.42	Tarapukan nan mga a'a ari si mag'arab-arab api, si lugar nga aniya' magparapangaraba pati' magparapanrigot. 
MAT.13.43	Katapos agsiga pariho si allaw i mga matadong nga nagpanhadi'an-na na si Tatay-na mga iya. Si mga a'a makapamati', kunta' amati'.
MAT.13.44	“I paghadi'-na si man langit akapariho si manggad nga naglubluban si uma. Si paka'anda'-na sito si a'a, aglubluban-nay to utro ngan diritso iya padulhog nga bali kalipayan. Mangno agpamaligya'an-na i dimu'an mga inanna'-na basi' sabutung-na i uma.
MAT.13.45	“Adda pa liwat: I kapapaniguru-na si mga mag'isasakop si nagpanhadi'an-na si man langit, akapariho si nigusyanti nga parabiyahi pag'anda' si mga mahalap klasi pirlas. 
MAT.13.46	Ngan paka'anda'-na si adda nga mahaya i balur-na, agpamaligya'an-na dayon i dimu'an mga inanna'-na ngan agbwilta-nay to basi' saballi-na.
MAT.13.47	“I paghadi'-na si man langit pariho liwat si adda pukot nga nagtaktak si danaw ngan akabawa si dimu'an klasi daying. 
MAT.13.48	Si pakapannu'-na sito, nagguyod to si mga paradaying pan bihing. Katapos ag'ararung-arungan-nay to mga iya pagyabyab ngan nagpa'anna' si kanastro i mga mahalap klasi pero nagtapukan i mga mara'at. 
MAT.13.49	Da'inan sinan i kamutangan-na si katapusan-na sito panahon. Pamada'ito i mga anghel pagbulag si mga mara'at binuhatan-na nga akasalakot si mga matadong, 
MAT.13.50	ngan mga iya i mamatapok sinan si mag'arab-arab api, si lugar nga aniya' magparapangaraba pati' magparapanrigot.”
MAT.13.51	Amatilaw si Jesus, “Agpakasabot ba' kam sito dimu'an?”
MAT.13.51	Anaruman may mga iya, “Oho'.”
MAT.13.52	Sanglit agpinugad-na mga iya, “Kon sugad, i kada paragturo' bala'od nga akasakop na si nagpanhadi'an-na si man langit, akapariho si tagruma' nga akakaya pagpa'ambit si mga sapundar-na ma'in hamok i mga kada'an kundi' hasta pa i mga baha'o.”
MAT.13.53	Pakahuman-na si Jesus pagsumat sinan mga isturya nga agtukoy si kamatu'uran, pa'amban iya ari siray lugar, 
MAT.13.54	ngan agbalik iya si tinubu'an-na baryo. Agtikang iya pagturo' si sinaguga-na mga iya ngan bali gayod i mga pag'usa-na si mga a'a ari. Agsipuruparatilaway mga iya, “Singngay to a'a agpara'inala' sito mga kadunong pati' mga pambihira gahom? 
MAT.13.55	Ma'in ba' to i dadi'-na si panday ngan Maria i arun-na si nanay-na? Ma'in ba' iya i bugtu'-na kas Santiago, Joset, Simon, pati' si Judas? 
MAT.13.56	Ngan ma'in ba' atiya' pa liwat ato i mga bugtu'-na danda sinan? Kon sugad, singnga may nan iya agpara'inala' sinan dimu'an?” 
MAT.13.57	Sanglit, agdiri'-na gayod mga iya si Jesus.
MAT.13.57	Pero agpinugad-na mga iya si Jesus, “Nagdayaw gayod si bisan singnga i paragsumat-na si Diyos, pwira na hamok si kalugaringun-na lugar pati' si kalugaringun-na pamilya.” 
MAT.13.58	Sanglit diki'it hamok i mga makagagahom binuhatan i sahimu-na ari tungod si kadiki'it-na si mga a'a magtapod si iya.
MAT.14.1	Siray ka'urason, aka'aning'ing si gubirnador Herodes,
MAT.14.2	Akapinugad dayon iya si mga tinapuran-na, “Sigurado nga iya si Juan Paragbunyag nga abanhaw, sanglit akakaya iya pagpakulaw sinan mga pambihira gahom.”
MAT.14.3+MAT.14.4	Akapinugad iya sinan tungod kay akunsinsya iya. Maliyat na panahon, agparasumatan-na si Juan si Herodes: “Supak si bala'od i pagtig'ub-mo si Herodias.” Sanglit si Herodes mismo i magpadakop si Juan. Agpakadinahan-nay to ngan agpaprisu-na. Agbuhat-nay nan si Herodes tungod si Herodias nga sa'alla-na bisan kon bayaw-nay to. Dati to alla-na si sirari-na nag'arunan Felipe. 
MAT.14.5	Aruyag gayod si Herodes nga pamatay-na si Juan, pero atalaw iya si mga a'a kay paragsumat-na si Diyos i pagkakilala-na sito mga iya.
MAT.14.6	Pero ngan panakka-na si pagsilibrar si kumpli'anyu-na si Herodes, agsayaw i dadi'-na danda si Herodias atubang si mga bisita nga akabuwan gayod kalipayan si Herodes. 
MAT.14.7	Tungod sinan, akasa'ad iya bawa i pagsumpa' nga buwanan-nay to bisan ay i pinalaku-na. 
MAT.14.8	Pina'agi si dikta-na si nanay-na, aminugad i durudangkanda, “Pumwanon si ako ina'anto si adda bandihado i takuluk-na si Juan Paragbunyag!” 
MAT.14.9	Akapabido' to si hadi', pero ga'i iya akadiri' tungod si mga sa'ad-na nga sapamati'an-na si mga bisita. Sanglit agmando' iya nga pinumwan i nagpalaku-na si dadi', 
MAT.14.10	ngan nagpapugutan dayon si Juan ari si prisuhan. 
MAT.14.11	Mangno nagbaway to si bandihado pada'iray si durudangkanda, katapos, iya na i magpumwan sito si nanay-na. 
MAT.14.12	Agpamada'iray i mga inadalan-na si Juan pag'ala' si bangkay-na basi' akalabbungan. Mangno agbagat-na mga iya si Jesus ngan agpanumatan-na.
MAT.14.13	Pakanutisya si Jesus mahi'unong sinan hinabo', amanakay iya si paraw huwang i mga inadalan-na basi' gana' makabaya' si pagpada'iray-na mga iya si adda mamingaw lugar. Pero si pakakatu'an sinan si ka'aha'an, agpamukod to ngan sigi pangagda si mga kaburubungtuhan nagpangagihan-na nga agpamaktas hamok. 
MAT.14.14	Ngan pasalta-na si Jesus si paraw, sakulawan-nay to kalabbatan to magpantarambak nga ari na dina. Alu'oy gayod iya si mga a'a ngan agpamulung-na i mga maburong nga huwang ari.
MAT.14.15	Ngan pagsasaray-na na si allaw, padugok si Jesus i mga inadalan-na ngan agpaminugad, “Kuhap na ngan mamingaw liwat to lugar. Pamalitirahon naynan mga a'a basi' agpakapada'iray na mga iya si mamatapit baryo ato ngan agpakaballi si mga karakanun-na.”
MAT.14.16	Anaruman iya, “Ma'in na kinahanglan nga pama'amban pa mga iya. Ka'am na hamok mamuwan karakanon si mga iya.”
MAT.14.17	Lingun-na may mga iya, “Lima nayto hamok bug'os pan-tay to kam pati' duwa agon.”
MAT.14.18	Agpinugad-na mga iya si Jesus, “Hala, bawahu-bi nan pada'ito.” 
MAT.14.19	Mangno agmandaran-na i mga inadalan-na pagpamalumpagi' si mga a'a si kagabunan. Katapos, ag'ala'-na si Jesus i lima bug'os pan pati' i duwa agon. Anhangad iya ngan agpasalamat si Diyos. Mangno agpanurutabbi'-na ngan agpumwan-nay to si mga inadalan-na pagtaltag si mga a'a. 
MAT.14.20	Agpakakakan i dimu'an ngan agpakagustuhan. Katapos akatipon pa dina i mga inadalan dusi sagad nga puro panno' si tinurutabbi' la'a. 
MAT.14.21	Bisan i mga lalla hamok magpakakakan siray allaw anakka si mga singko mil, pwira pa si mga danda pati' si mga kadadi'-dadi'an.
MAT.14.22	Kata'ud-ta'uran agpasakay-na si Jesus i mga inadalan-na si paraw basi' agpakadahulo mga iya pagbalik pan dambila' myintras nga agparapamalitira pa iya si mga a'a. 
MAT.14.23	Kahuman-na agpamalitira, agsulu-sulo si Jesus pada'iray si adda tagudtod pagpangadyi'. Ngan kasanguman, iya na hamok addangan i sari'i, 
MAT.14.24	pero i paraw siray mga ka'urason matala na dina si hubas ngan nagkurihan to si mga mahaya alon tungod kay sungsong mga iya si bariyo. 
MAT.14.25	Sanglit kamananalungan, bukud-na si Jesus i mga inadalan-na nga aglalangngan hamok si buwahi'. 
MAT.14.26	Pakakulaw-na si mga inadalan-na nga agparalalangngan iya si buwahi', bali gayod i mga katalaw-na. Agpaminugad mga iya, “Kalag may nan!” Ngan agpakaturakaw mga iya tungod si mga kulba-na.
MAT.14.27	Pero aminugad dayon si Jesus, “Dakam atalaw, akoy to! Agsariga kam hamok.”
MAT.14.28	Anaruman may si Pedro, “Paragdalom, kon ka'aw may nan dina, papada'iruhon may daw ako nga aglalangngan si buwahi'.”
MAT.14.29	Lingun-na may si Jesus, “Pada'ituha.”
MAT.14.29	Pahaw'as si Pedro si paraw ngan padugok iya si Jesus nga aglalangngan si buwahi'. 
MAT.14.30	Pero ngan paka'abat-na si makusog bariyo, tinakka iya katalaw ngan ari agtikang iya pagtutullod. Anurakaw iya, “Paragdalom, sagibon ako!”
MAT.14.31	Sa'agaw-na dayon si Jesus i tamburu'-na ngan sa'antanan-nay to. Aminugad iya, “Kulang pa kaw si pagtapod. Ay kay agduda pa kaw?”
MAT.14.32	Pakasang'at-na mga iya si paraw, angalma dayon i bariyo. 
MAT.14.33	Mangno ag'ampu'an-na mga iya si Jesus ngan agpakapinugad, “Ungod gayod nga ka'aw i Dadi'-na si Diyos.”
MAT.14.34	Pakatalabuk-na mga iya si danaw, padu'ong mga iya si adda lugar nga sakop si Genesaret.
MAT.14.35	Ngan pakakilala si Jesus si mga sunsari'i, agpatugon dayon mga iya si bug'os lugar ari. Sanglit sigi barawahay i mga a'a si mga maburung-na pada'iray si iya. 
MAT.14.36	Agparapakimalu'oy mga iya nga kon pwidi agpakasaphid i mga maburong bisan i sidsid-na hamok si badu'-na. Ngan agpanhalap i dimu'an magpakasaphid.
MAT.15.1	Mangno aniya' magpamadugok si Jesus mga Parisiyo pati' mga paragturo' bala'od nga mga man Jerusalem. Agpanriklamoy to si iya, 
MAT.15.2	“Apa'i may kay agsupak-na si mga inadalan-mo i minuklatan-ta kam tuluhu'an? Gana' si mga iya magtuman si tama' pa'agi pagkuso' myintras amangan!”
MAT.15.3	Anaruman dina si Jesus, “Ngan kapa'i may liwat kay agsupak-bi i kasugu'an-na si Diyos para hamok adayaw i mga kabatasanan-bi? 
MAT.15.4	Halimbawa' si mandu'-na si Diyos, ‘Tahurin i tatay-mo pati' i nanay-mo,’
MAT.15.5	Pero agturo' kam dina nga ma'in kinahanglan pagbulig si mga mahanak, ngan kon aniya' inanna'-na si addangan, pwidi iya akapasangil si pagpinugad, ‘Tawa'-nay to si Diyos.’ 
MAT.15.6	Kon da'inan sinan, i karuyag sidngun-bi nga ma'in na kinahanglan nga tahuran-na pa i tatay-na. Kon sugad, agpara'-bi i gahum-na si allingun-na si Diyos para hamok adayaw i kabatasanan-bi. 
MAT.15.7	Mga mahalap kam gayod agparapamakunu-kuno nga mga rilihuso kam! Tama' gayod i makigpasumat-na andang si Diyos si Isaias mahi'unong si ka'am:
MAT.15.8	Yayto mga a'a, agpa'unrahan-na ako pina'agi si mga allingun-na,
MAT.15.8	pero la'in dina i mga sabarawan-na.
MAT.15.9	Gana' gayod kapulsanan-na si mga pag'ampu'-na si ako,
MAT.15.9	kay i mga tuluhu'an nagturu'-na mga iya, mga hinimu-himu-na hamok kasugu'an si a'a.”
MAT.15.10	Mangno agban'u-na si Jesus i magpantarambak ari pagtapit si iya ngan agpanumatan-na, “Amati'a kam ngan sabutu-bi to. 
MAT.15.11	Gana' gayod pasallod si bawa'-na si a'a nga akaparigsok si iya, kundi' i pagawas dina tikang si bawa'-na.”
MAT.15.12	Mangno pamadugok si iya i mga inadalan ngan agpamatilaw, “Akatu'anan ba' kaw nga agka'irinsulto i mga Parisiyo si pakabati'-na mga iya si mga allingun-mo?”
MAT.15.13	Anaruman si Jesus, “I kada tinanom nga ma'in pinatanum-na si langitnon Tatay-ko, rarabnuton. 
MAT.15.14	Pata'ani-bi hamok mga iya, kay mga iya i makapariho si mga paraggiya nga buta. Kon agpatuttot i adda buta si kaparihu-na buta, sigurado agkataralibho' mga iya duwangan.”
MAT.15.15	Pero aminugad dina si Pedro, “Isplikarin daw kami' sinan isturya nga agtukoy si kamatu'uran.”
MAT.15.16	Anaruman si Jesus, “Mga maluya pa kam gayod! Ga'i pa ba' kam gihapon agpakasabot? 
MAT.15.17	Gana' gayod pasallod si bawa'-na si a'a nga akarigsok si iya kay agdiritsoy nan dina pan battung-na ngan pagawas gihapon si puhu'-na. 
MAT.15.18	Pero i pagawas si bawa'-na si a'a agtikang gayod si inisipan-na, sanglit iyay nan i makaparigsok si iya 
MAT.15.19	kay tikang si kina'iya-na i pagbuhat si mga sala' pariho si mga mara'at inisipan, pagmatay, pagbisyo si pagdangallahan
MAT.15.20	Iyay nan i mga makaparigsok si a'a; pero i pagkakan nga ga'i agkuso' si tama' pa'agi, ga'i akaparigsok si iya.”
MAT.15.21	Katapos pa'amban kas Jesus ari siray lugar basi' agpakadiskanso dahulo ari si lugar nga sakup-na si duwa syudad Tiro pati' Sidon. 
MAT.15.22	Pero aniya' danda padugok si iya nga Canaana mag'istar siray lugar. Amahalling to makusog, “Sinyor, Dadi'-na si David, kalu'uyin ako! Nagbawa-bawa si mara'at espirito i dadi'-ko danda ngan bali na gayod ra'at i kamutangan-na.”
MAT.15.23	Ga'i gayod anaruman si Jesus bisan adda allingon. Sanglit pamadugok si iya i mga inadalan-na ngan sigi pamakibagaw, “Tumanin naynan hamok iya kay ga'i may pahuway si katuturakaw si damurihan-ta kam.”
MAT.15.24	Anaruman si Jesus, “Nagpabawa ako pada'ito para hamok pagpanginano si mga a'a-na si Israel nga agkaralilingo.”
MAT.15.25	Tungod sinan, padugok i danda ngan anluhod atubang si iya. Aminugad to, “Sinyor, buligin ako!”
MAT.15.26	Anaruman may si Jesus, “Ma'in tama' pagsiyo si kinakan-na si mga dadi' basi' apatapok hamok si mga ka'idu'an.”
MAT.15.27	“Ungod nan, Sinyor,” lingun-na may si danda. “Pero bisan ngani' i mga ka'idu'an agpakakakan gihapon si mga mu'mo' magkataraktak si lamisa-na si mga amu-na.”
MAT.15.28	Sanglit agsarumanan-na iya si Jesus, “Mana, hugot gayod i pagtu'u-mo! Atuman i maliyat na nag'anduy-mo.” Ngan anhalap dayon i dadi'-na mismo siray uras.
MAT.15.29	Pataliwan kas Jesus ari siray lugar ngan ag'agi mga iya si bihing-na si Danaw Galilea. Katapos, pasagka iya si adda tagudtod ngan ari agparatingkulo'. 
MAT.15.30	Bali labbat i magpanggubok namay si iya ngan aniya' sito nagpamawa-na mga lulid, mga buta, mga kiyod, mga ngula ngan malabbat pa mga maburong. Agpama'anna'-nay to mga iya atubang si Jesus, ngan agpamulung-na. 
MAT.15.31	Ag'usa gayod i mga a'a si pakakulaw-na mga iya nga akayawit i ngula, anhalap i kiyod, akalangngan i lulid ngan akakulaw na i buta. Ngan agdayaw-na dayon mga iya i Diyus-na si mga a'a-na si Israel.
MAT.15.32	Agban'u-na si Jesus i mga inadalan-na ngan aminugad, “Alu'oy ako sito mga a'a, kay tallo allaw na mga iya i pag'istar-na ato paghuwang si kita kam, sanglit akatibusan si mga balun-na. Ga'i ako aruyag nga pamalitira-ko hamok mga iya nga mga linganto, kay sigurado nga aniya' si mga iya magkadirismayo si lalan.”
MAT.15.33	Amatilaw i mga inadalan-na, “Singnga may kita kam anganda' si mga pan nga akahusto pammakakan sinan kalabbat mga a'a ato sito lugar si kamingawan?”
MAT.15.34	“Pira pa bug'os pan-bi nan?” lingun-na si Jesus.
