MAT.1.1	Jesukrístu we̱a̱trí̱ ju̱ áiniawai. Tura ashí naṉkaamas ti uunt we̱a̱t Tawitcha Apraámsha áiniawai. 
MRK.14.69	Nu núwa̱sha Pitrun ataksha wáiniak, shuáran nui̱ pujuinian tímiayi “Jú̱iti ni shuari̱.”
MRK.14.70	Tura ataksha “atsá” tímiayi.
MRK.14.70	Ishichik árusaṉ, shuar nui̱ pujuarmia nu ataksha Pitrun chicharuk “Nekas ni shuarinme. Kariréanmaya̱ shuárchakaitiam. Auya̱ shuara nuní chichaame” tiarmiayi.
MRK.14.71	Tutai Pítrusha kakantar chichaak, “Ju̱ áishmaṉnaka átum tárumna núnaka nékatsjai. Wáitrakuiṉkia Yus íirsati” tímiayi. 
MRK.14.72	Nuya̱ ataksha atash shiniukmiayi. Pítrusha, Jesus nuik timian enentáimmiayi. Iis, Jesus nuik tíchamka “Atash jimiar shiniatsa̱i̱ṉ, ame, núnaka nékatsjai, menaintiu turuttiatme” tíchamka. Pítru nuna enentáimias ti úutmiayi.
MRK.15.1	Tura kashin káshik Patri uuntri̱, Israer-shuara úuntri̱ji̱a̱i̱, Israer-shuara jintinniuri̱ji̱a̱i̱, ashí naamka armia nuja̱i̱ irunturar, chichaman jurusarmiayi. Túrawar Jesusan jiṉkiamun apach kapitián Piratui̱i̱n ejeniarmiayi. 
MRK.15.2	Ejeniarmatai Piratu aniasmiayi “¿Amesha Israer-shuara Uuntri̱nkáitiam?”
MRK.15.2	Tutai Jesussha “Amek tame” tímiayi.
MRK.15.3	Nuyá Patri uuntri̱ ti tsanumprurarmiayi. 
MRK.15.4	Ataksha Piratu aniasmiayi “¿Áimsatin peṉké tujintiamek? Ti untsurí̱ etserturmainiatsuk.” 
MRK.15.5	Tura Jesus nunasha áikchamiayi. Túmakui Piratu ti enentáimpramiayi.
MRK.15.6+MRK.15.7	Shuar ámiayi, ni naari̱ Parapás. Niisha ni shuari̱ji̱a̱i̱ meset ámanum, shuaran maa asamtai sepunam eṉkeamuyayi. Tura námper tsawantai̱ Piratu sepunmaya̱ chikichík shuarnak jí̱i̱ki akupniuyayi, aents seawarmia nuna. 
MRK.15.8	Nui̱sha untsurí̱ shuar Piratun káutkar tiarmiayi “Ame ju̱ námpertin tuke túramna nu túratá. 
MRK.15.9+MRK.15.10	Patri uuntri̱ Jesusan kajeraru ásar surukarmiayi. Piratusha, nuna nekáa chicharainiak “Israer-shuartiram ¿atumí akupniuri̱n ji̱i̱ki akupkattajak? ¿Nu wakerarmek?” tímiayi.
MRK.15.11	Tutai Patri uuntri̱ áentsun chichainiak ““Antsu Parapás jí̱i̱kim akúpkatá” titiarum” tiarmiayi.
MRK.15.12	Tutai Parapásan seawarmatai Piratu ataksha chicharainiak “Jesusnasha, átum ii akupniuri̱ tarumna nuna, ¿itiurkattaja?” tímiayi.
MRK.15.13	Ataksha ni kakantar tiarmiayi “Krúsnum mantamnati.”
MRK.15.14	Piratusha nin tiarmiayi “¿Warí tunaana túriniait?” tímiayi.
MRK.15.14	Takui niisha nú naṉkaamas kakantar tíarmiayi “Krúsnum mantamnati.”
MRK.15.15	Tuma asamtai, aents shiir enentáimprartí tusa, Piratu tunáa shuaran, Parapásan ji̱i̱ki akupkamiayi. Tura Jesusnasha katsumkarum krusnum ajintrurtarum tusa suntaran tsaṉkatkamiayi. 
MRK.15.16	Tiniu asamtai suntar Jesusan jukiar, kapitiáni je̱e̱n awaya̱warmiayi. Nu je̱a̱ naari̱ Piritiúriuiti. Túrawar untsurí̱ suntaran untsukarmiayi. 
MRK.15.17	Ashí káunkar, pushin kapa̱a̱nniun Jesusan áentsrarmiayi. Tawasap jaṉki najanamun etseṉkrumtikiarmiayi. 
MRK.15.18	Nui̱sha Jesusan áujsar “Shíiraitme, Jesusá, Israer-shuara akupniuri̱ya” wishikiainiak tiarmiayi. 
MRK.15.19	Muuknumsha sapapja̱i̱ awatiarmiayi; nuyá usukiawarmiayi, túrawar ántar tikishmatrarmiayi. 
MRK.15.20	Tura Jesusan wishikrar amukar, kapa̱a̱ntin pushin áitkiar, ni pushiri̱n áentsrarmiayi. Túrawar krúsnum ajintrurtai tusar jí̱i̱kiarmiayi. 
MRK.15.21	Semuṉ Serini núṉkanmaya̱ shuárauyayi. Arijantruncha, Rupuncha aparí̱yayi. Semuṉkan takatnumia̱ winian suntar emetawarmiayi, Jesusa krusri̱n yanaki jukiti tusar. 
MRK.15.22	Jesusnasha Kúrkuta náinnium júkiarmiayi. Kúrkuta, shuar chichamja̱i̱nkia, muuka ukunch naint, tutainti.
MRK.15.23	Jeawarmatai, karía, mira kuṉkuinja̱i̱ pachimprar áartaj tusa susarmiayi Jesusan. Túrasha umarchamiayi. 
MRK.15.24+MRK.15.25	Nantu yakí jatemsamtai krúsnum ayapar ajintrurar ikiusarmiayi. Túrawar suntar yaki jukit tusar nakurutaiji̱a̱i̱ nakurusar Jesusa pushiri̱n yaruakarmiayi. 
MRK.15.26	Urukamtai máamuit, ashí aents nuna nekaawarat tusa, ni krúsri̱n ju̱ aarmauyayi: 
MRK.15.27	Nu náinnium jimiará kasa shuaran Niiji̱a̱i̱ máawarmiayi. Chikichik Jesusa untsuuri̱ni̱ krúsnum, chikichik ni menaari̱ni̱ krúsnum máawarmiayi. 
MRK.15.28	Yus-Papinium aarma ana nuja̱i̱ uminkiauyayi. Nui̱ “tunáa shuarja̱i̱ nekapmarmauyayi” tu áarmaiti.
MRK.15.29	Shuar naṉkaamainiak, muuke̱ pearar, Jesusan katsekainiak tiarmiayi “Iisia, amesha, “Yusa Uunt Je̱e̱n yumpuṉtiatjai, tura menaintiú tsawantai̱ ataksha jeamkattajai” tíchakaitiam, tiarmiayi. 
MRK.15.30	Amek krúsnumia̱ akaikim uwemprata.” 
MRK.15.31	Núnisaṉ Patri uuntri̱sha, Israer-shuara jintinniuri̱sha Jesusan wishikrar chicharnaisarmiayi “Chikichan uwemtikraitiat, Niṉki uwempratniun tujintiawai. 
MRK.15.32	Yusa anaikiamuri̱ Krístuashit, ii akupniuri̱niashit, tiarmiayi. Wats, yamái krúsnumia̱ akáikití, iisha nu íisar Yus-shuar ajastai” wishikiainiak ántar nuna tiarmiayi. Jesusja̱i̱ krúsnum ajintruamusha Nin wishikiarmiayi.
MRK.15.33	Tutupin jeamtai ti kiritin ajasmiayi ashí nuṉkanam. Tura, nantu nuṉkaach ajasmatai ataksha tsaapnirmiayi. 
MRK.15.34	Nuiṉ Jesus kakantar untsumuk tímiayi “Iruí, Iruí, rama sapaktani.” Nuka shuar chichamja̱i̱ṉkia, “Yusrú, Yusrú, ¿urukamtai ajapa ikiurkiniam?” tawai. 
MRK.15.35	Shuar nui̱ pujuarmia nu, nu chichaman nékachu ásar, nuna antukar “Eríasan untsúawai” tíarmiayi. 
MRK.15.36	Chikichik shuar churuinian uruchja̱i̱ ajamper, sapapja̱i̱ ijiú mukunati tusa susamiayi. Tura tímiayi “Wajastarum, Erías Nin jukitiaj tusa winishtimpiash. Iistai” tímiayi.
MRK.15.37	Nuiṉkia Jesus kakaram untsumak jakamiayi. 
MRK.15.38	Túramtai Yusa Uunt Je̱e̱n ejamu niṉki ja̱a̱nakmiayi, yakíya̱ nuṉká. 
MRK.15.39	Suntara kapitiántri̱sha Jesusan ayamtus wajamia nu, Jesus kakaram untsumak jaamun iis tímiayi “Nuka ti nekas Yusa Uchiri̱yayi.”
MRK.15.40	Nuwa̱sha arant ii pujuarmiayi. Nu nuwa̱ja̱i̱ Máktara péprunmaya̱ Marí, chíkich Marisha, Sarumáisha pujuarmiayi. Chíkich Marisha uchich Jakupuncha Jusencha nukurí̱yayi. 
MRK.15.41	Nu núwa̱ka, Kariréa nuṉkanam Jesus wekaimia nui̱, Nin nemarsar yáiṉtaitsar wekasarmiayi. Untsurí̱ chíkich nuwa̱sha Jesusja̱i̱ Jerusaréṉnum wear, nu nuwa̱ja̱i̱ arant ii pujuarmiayi.
MRK.15.42	Ki̱atemamtai, ayampratin tsawant jeatsa̱i̱ṉ, námper iwiaratin tsawant asamtai, 
MRK.15.43	Arimiatíanmaya̱ Jusé arantutsuk, kakaram ajas, Piratuí jeá Jesusa aya̱shi̱n seatajtsa utuamiayi. Nu Jusencha ashí irunin ainia nu anturin ármiayi. Niisha Yus ju̱ nuṉkanam akupin ajasat tusa nákasmiayi. 
MRK.15.44	Tura Jesusa aya̱shi̱n seam, Piratusha “wárik jaka” tímiayi. Tuma asa suntara kapitiántri̱n untsurak “¿Nekas jakayik?” tímiayi. 
MRK.15.45	Tutai kapitián “Ee” takui, Jesusa aya̱shi̱n Jusen tsaṉkatkamiayi. 
MRK.15.46	Jusesha puju tarachin péṉkeran sumarak, Jesusa aya̱shi̱n itiar áepas penuarmiayi. Tura yamaram kaya táurmanum ikiusmiayi. Ikius wáitiniam kayan átutmiayi. 
MRK.15.47	Tura Máktaranmaya̱ Marí, Jusé nukurí̱ Mariji̱a̱i̱ ni ikiuamun ii wajarmiayi.
MRK.16.1	Tura ayampratin tsawant naṉkaamasmatai, Máktaranmaya̱ Marisha, Jakupu nukurí̱ Marisha, Sarumáisha, kuṉkuinian Jesusa aya̱shi̱n kuertai tusar sumakarmiayi. 
MRK.16.2	Tura kashin Tumiṉtin, ti káshik, nantu yáma jiiniai, iwiarsamunam jeariarmiayi. 
MRK.16.3	Wésar chichainiak “Iwiarsamu wáitiri̱ kayancha ¿yaki akaṉketramkattajⁱ?” tiarmiayi. 
MRK.16.4	Jear uunt kaya akaṉkekman wáinkiarmiayi. 
MRK.16.5	Iwiarsamunam waya̱war, natsan esaram puju pushin entsar, untsuurnumaani̱ pujan wáinkiar ti ashamkarmiayi. 
MRK.16.6	Túmainiakui natsa tímiayi “Ashamkairap. Nasarétnumia̱ Jesus krúsnum jakama nu é̱a̱rme. Iniantkimiuiti. Jui̱ pujatsui. Wátsek, ju̱ ikiusmanum íistarum. 
MRK.16.7	Túrarum werum Pítrusha, chíkich unuiniamuri̱sha ju̱ ujaktarum. Kariréanam atumin émkiyi. Turammarumna núnisaṉ túruna wáinkiattarme” tímiayi. 
MRK.16.8	Niisha ti ashamainiak purushniarar iwiarsamunmaya̱ tseke̱ wearmiayi. Ti ashamainia ásar, chikichkinkesha ujakcharmiayi.
MRK.16.9	Émkaka Tumiṉtin ti káshik Jesus nantaki, Máktaranmaya̱ Marin wantintiúkmiayi. Nu María enentái̱ya̱ siati iwianchin Jesus yaunchu ajapruyayi. 
MRK.16.10+MRK.16.11	Marisha Jesusa nemari̱ kúntuts uutu matsatainian werí, “Jesus iwiaakui, imia wi wainkiajai” tímiayi. Támaitiat anturkacharmiayi.
MRK.16.12	Tura urum jimiara shuar Jerusarénnumia̱ tsaniṉ weenan, Jesus nusháa iira ajas tarimiayi. 
MRK.16.13	Niisha Jesusan wáinkiar waketkiar, unuiniamuri̱n ujakarmiayi, tura ni chichame̱ncha anturkacharmiayi.
MRK.16.14	Nuya̱sha Jesusa auntse unuiniamuri̱ misanam pekaamkar pujuinian Jesus tarimiayi. “¿Atumí enentái̱ urukamtai kátsuram ainia, urukamtai Winia nekas enentáimtursachuram?” tímiayi. Ni nantakmiari̱n wáinkiaru chichame̱n anturkacharu ásarmatai kakantramiayi. 
MRK.16.15	Nuyá chichaak “Ashí nuṉkanam wetarum. Túrarum ashí shuarnum Yusa shiir chichame̱ etserkatarum. 
MRK.16.16	Shuar anturak imiani uwemprartatui. Shuar antukcharka, tuke sumamawartatui. 
MRK.16.17	Shuar winia náarun pachis, Yúsan nekas enentáimtakka, ju̱na túrawartatui, Yusa kakarmari̱n iniakmastaj tusa: iwianchin ji̱i̱ki akupkartatui; chíkich chichamja̱i̱ chichasarukamtai Winia nekas enentáimturtatui; 
MRK.16.18	napincha achiksha, tseasnasha úmaksha, jaa ajaschartatui. Jaa shuaran ni uweje̱ja̱i̱ antiṉ, nu shuaran péṉker awajsartatui.” Tu tímiayi.
MRK.16.19	Jesus chichas amukmatai, Yus nayaimpiniam jukimiayi. Túruna Yusa untsuuri̱ni̱ pujusmiayi. 
MRK.16.20	Ni unuiniamuri̱sha jíinkiar, ashí nuṉkanam Yus-Chichaman etserkarmiayi. Tura Uunt Yus nin yáiṉmiayi. Tura etserainiakui, ashí aents ni kakarmari̱n nekaawarat tusa, aentsti tujintiamun túratniun susamiayi. Nuke atí.
LUK.1.1	Nekas iiní̱ Jesus túramia nuna “ímiatrusaṉ áartajai” untsurí̱ aents tiarmiayi. 
LUK.1.2	Yámankamtaikniumia̱ṉ íisarmia nú shuar, tura Yus-Chichaman etserkatniun yáinkiarmia nusha in unuitiamprarmia nútiksaraṉ áartinian wakeriarmiayi. 
LUK.1.3	Wisha núnisnak esetsaran enentáimsan, yámankamtaikniumia̱ nuna nekaamjai. Tuma asan túrunamia nuna ímiatrusnak amincha áatratajtsan wakerimjiame, winia úuntur Tiupiru. 
LUK.1.4	Jintintramawarma nú naṉkaamas nekaata tusan wakerakun áatjame.
LUK.1.5	Jutía nuṉkanam uunt akupin Erutis akupkamia nú tsawantin Israer-shuar Yúsnan pujurin ámiayi, ni naari̱ Sakarías. Niisha Aptías weeauyayi. Ni nuwe̱sha Irisapít Aruṉ weeauyayi. Irisapítia úuntri̱sha Israer-shuar Yúsnan pujurin ármiayi. 
LUK.1.6	Yúsja̱i̱sha Sakaríassha Irisapítcha mái-metek péṉker ármiayi. Yus akupkamia nunasha umirin ármiayi. Tuma asamtai peṉkesha chíkich nin yajauch chicharkatin atsuarmiayi. 
LUK.1.7	Yusja̱i̱ péṉker wekainiayat Irisapít júrechuyayi. Túrasha mai úuntach ármiayi.
LUK.1.8+LUK.1.9	Israer-shuar Yúsnan pujurin chíkich weeanmaya̱ nuyá chíkich weeanam, aṉkant aṉkant Yusa je̱e̱n takáu ármiayi. Chíkich tsawant, Sakarías weeá takastin amia nui̱, Sakaríaska kuṉkuinian ekeemaktaj tusa init waya̱tniuyayi. 
LUK.1.10	Init kuṉkuinian ekeemai̱ untsurí̱ aents aani matsamsar Yúsan áujtak pujuarmiayi. 
LUK.1.11	Sakarías init pujai̱ kuṉkuin ekeematainiam untsuurnumaani̱ aya aneachma nayaimpinmaya̱ suntar wajamiayi. 
LUK.1.12	Nuna wajan wáiniak Sakaríaska purushnairmiayi. 
LUK.1.13	Túrasha nayaimpinmaya̱ suntar chicharuk tímiayi “Sapijmiakaip Sakaríasa. Nekaata. Ame seamna nuna Yus anturtamkayi. Tura ame nuwe̱m Irisapít uchin takustatui. Nii akiiniamtai, “Juaṉ” anaikiata. 
LUK.1.14+LUK.1.15	Ame uchiram akiiniattana nuka Yusja̱i̱sha naṉkaamantu átatui. Tuma asamtai akiiniamtai, amesha shiir enentáimsam warastatme. Tura chíkich aents untsurí̱ warasartatui. Ame uchirmesha karía ainia nuna umarchattawai. Tura áetak akiinchanak Yusa Wakaní̱ pimiutkattawai, tímiayi. 
LUK.1.16	Tura ni shuari̱n Israer-shuar áiniana nuna, ii Uuntri̱ Yusja̱i̱ ataksha nawamtikiartatui. 
LUK.1.17	Uunt Yúsai̱ya̱ akatramu átatui. Yaunchu Yúsnan etserin Erías kakaram etserkamia núnisaṉ niisha etserkattawai. Nuja̱i̱ shuaran ni uchirí̱ji̱a̱i̱ nawamtikiartatui. Tura umichu áinia nuna eseer enentáimtikrartatui. Ni Uuntri̱ taakui ni enentái̱ iwiaramu arti tusa etserkattawai” tímiayi nayaimpinmaya̱ suntar.
LUK.1.18	Nuna takui Sakarías nayaimpinmaya̱ suntaran tímiayi “¿Nunasha wariji̱a̱i̱ṉ paant nekaataj? Wisha nua̱rja̱i̱ mái-metek ti úuntchichukaitiaj” tímiayi.
LUK.1.19	Tutai nayaimpinmaya̱ suntar tímiayi “Wikia Kapriiraitjai, Yusa suntari̱ntjai. Nii akatturmatai chichastájam tusan tura nu shiir chichaman ujaktájam tusan tarijme, tímiayi. 
LUK.1.20	Túrasha wi tájamna nu “nekasaiti” tu enentáimprachume. Tura asam uchiram akiintsa̱i̱ṉ muut ajastatme. Chichastin peṉké tujinkiattame. Tura wi tajana nu, tsawant jeamtai túrunattawai.”
LUK.1.21	Nuna tumai̱ Yusa je̱e̱n aani pujusar, Sakaríasan nákas pujuarmiayi. “¿Urukamtaik init we imiá meṉkaka?” tu enentáimprarmiayi. 
LUK.1.22	Nuyá Sakarías jiinkimtai, áujsartaj tukamá tujinkiarmiayi. Sakaríaska, muut ajasu asa, aya úwijmiasaṉ chichamiayi. Túmakui, Sakarías init pujus Yúsai̱ wáimiakun nekaawarmiayi.
LUK.1.23	Yusa je̱e̱n takastin tsawantri̱ amuukamtai Sakaríaska ni je̱e̱n waketkimiayi. 
LUK.1.24	Nuyá ukunam ni nua̱ri̱ Irisapít ajaprukmiayi. Tura seṉku nantutin aya je̱a̱ṉ pujusmiayi. 
LUK.1.25	Je̱á pujus, “Aents wishikruiniakui natsantan jurutkitiaj tusa uchi takustinian Yus tsaṉkatrukai” tu enentáimpramiayi Irisapít.
LUK.1.26	Nu seṉku nantu naṉkaamasmatai Yus ni suntari̱n Kapriiran Nasarét péprunam akupkamiayi. Nu pepru Kariréa nuṉkanam pujawai. 
LUK.1.27	Nasarétnumia̱ nuwa̱n, naari̱ Marí, iyutí tusa akuptukmiayi. Nu núwa̱ka áishmaṉja̱i̱ pujuchuyayi. Niisha Juseja̱i̱ nuatnaikiatsa anajmanair pujumiayi. Juseka uunt Tawit weeauyayi. 
LUK.1.28	Wats, nayaimpinmaya̱ suntar Marí pujamunam wayá tímiayi “Yus péṉker enentáimturma asamtai, ámin winitjiame, Mariya. Yuska ámin nemartamuk ashí nuwa̱ naṉkaamas péṉker awajtamui” tímiayi.
LUK.1.29	Tura Marisha nayaimpinmaya̱ suntaran wáiniak, chichaamun nékatsuk “Urukamtaik tu chicháa” tu enentáimpramiayi. 
LUK.1.30	Nuyá nayaimpinmaya̱ suntar chicharuk tímiayi “Mariya, sapijmiakaip. Yus shiir enentáimturmawai. 
LUK.1.31	Antukta. Amesha ajapruktatme. Túram Uchi takustatme. Nusha “Jesus” anaikiata. 
LUK.1.32+LUK.1.33	Niisha uunt átatui. Nincha “Uunt Naṉkaamaku Yusa Uchiri̱” tiartatui. Tura Uunt Yuska yaunchu Tawitian uunt akupniuri̱ awajsamia núnisaṉ ame Uchirmin ame shuárumin Israer tutain Uunt akupin awajsattawai. Ni akupeamuri̱sha Yus susamu asa peṉké amuukashtiniaiti” tímiayi.
LUK.1.34	Nayaimpinmaya̱ suntar nuna tutai Marí tímiayi “Nusha winia áishur atsai̱sha, ¿itiurak túrunataj?”
LUK.1.35	Tutai nayaimpinmaya̱ suntar Marín tímiayi “Yusa Wakaní̱ tarutramtatui. Tura yuraṉmia núnisaṉ Uunt Yusa kakarmari̱ ijirmattawai. Nu tuma asamtai Uchi akiiniattana nu Yúsai̱ya̱ asamtai, “Yusa Uchirí̱nti” tiartatui, tímiayi. 
LUK.1.36	Tura Irisapít ame kaná kaimia nusha núnisaṉ weamtanam ajaprukai. Iis, “júrechuiti” tiarmia nu, yamaikia sais nantu pujawai ajamtin. 
LUK.1.37	Yúsja̱i̱ṉkia itiurchatka peṉké atsawai” tímiayi.
LUK.1.38	Tutai Marí tímiayi “Yus wakeramun túriniaitjai wikia. Ame tame nuna Yus wakerana nuna túrutati, tajai” tímiayi. Nuna tímiatai nayaimpinmaya̱ suntarka wémiayi.
LUK.1.39+LUK.1.40	Nu tsawant Marí wárikmas muranam Jutía nuṉkanam ni kaná kai̱n Irisapítian iyutaj tusa wémiayi. Sakaríasai̱ jeá, ni je̱e̱n wayá, Irisapítian áujsamiayi.
LUK.1.41	Marí áujeamun antukmatai Irisapítia ampujé̱n uchiri̱ muchitkiamiayi. Tumai̱ Yusa Wakaní̱ ni enentái̱n pimiutkamiayi. 
LUK.1.42	Nuiṉkia kakantar chichaak Marin tímiayi “Yus amincha ti shiir awajtamsaiti. Tura Uchiram akiiniattana nusha Yus shiir awajsamuiti. 
LUK.1.43	Kai̱rua, ame winia Uuntru nukurí̱ áminiṉ, Yus winia ti waitnentra asa, áujsata tusa ámin akuptamkachaik, tímiayi. 
LUK.1.44	Warí, wisha ame áujtamna nuna ántakui ampujrui̱ uchi waras muchitrutkayi. 
LUK.1.45	Amesha Yus turámiania nu umikiu asam shiir pujame. Yus tímia nu túrunattawai auka” tímiayi.
LUK.1.46	Nuna tinia iniaisamtai Marí ju̱na tímiayi:
LUK.1.46	“Wikia tuke enentairja̱i̱ “Yus timiá úuntaiti” tajai. 
LUK.1.47	Tura Uunt Yuska winia Uwemtikruru asamtai ti waraajai. 
LUK.1.48+LUK.1.49	Wisha péejchach aiṉ ni wakeramuri̱n umiktajtsan wakerakui winia enentáimturayi. Tuma asamtai ashí aents, “Marincha Yus shiir awajsaiti” tuke turutiartatui. Yuska imiá peṉker tura imiá kakaram ana nu winia ti uuntan túrutaiti. Tuma asamtai ashí aents “Marincha Yus shiir awajsaiti” turutiartatui. Núnaka yamái naṉkamamunak tuke turutú ajartatui. 
LUK.1.50	Tura Nin umirkatniun wakerana nunasha Yus tuke waitnentrartatui. 
LUK.1.51	Ti itiurchatan páchitsuk túraiti Nii. “Naṉkaamantuitjai” tu enentáimtumainia nuna nupetkaiti. 
LUK.1.52	Ashí akupin ainia nuna awakkaruiti. Tura íksaṉ péejchach ainia nuna uunt awajsaruiti. 
LUK.1.53	Péṉker ana nuna kitiamainiakui Yus péṉkeran súsaruiti. Tura antsu “ashí takakjai” tuinia nuna aya jú̱nik awajsaruiti. 
LUK.1.54	Israer-shuar Niiniu ájinia núnaka waitnentratniun kajinmattsuk yáinmákuitji. 
LUK.1.55	Yaunchu ii Uuntri̱ Apraáman tura ní shuarnasha “túrattajai” timia nuna ímiatrusaṉ tuke túraiti.” Nuní tímiayi Marí.
LUK.1.56	Marikia Irisapítja̱i̱ menaintiú nantu pujus ni je̱e̱n waketkimiayi.
LUK.1.57	Nuya̱sha ni jurertin tsawantri̱ jeamtai Irisapítcha uchin áishmaṉkan takusmiayi. 
LUK.1.58	Tura ni shuari̱sha, ni írutramuri̱sha “Irisapítian Yus ti shiir yáiṉmiayi” tuíniak, nin iyuwearmiayi. Tura mái-metek warasarmiayi.
LUK.1.59	Israer-shuar túrutai jú̱nisaiti: uchi akiiniamuri̱ uchu tsawant jeamtai, shunichiri̱ nuape̱n tsupiktin awai, sirkunsisiún tutai. Yus nuna tú tiniu asamtai tuke túrin ármiayi. Wats, Irisapítia uchiri̱ akiiniamuri̱nia̱ uchu tsawant jeamtai tsupirkatai tusar ni je̱e̱n jearmiayi. Nuiṉkia ni apari̱ naari̱ Sakarías anaikiataitsar wakeriarmiayi. 
LUK.1.60	Tura ni nukurí̱ tímiayi “Atsá. Antsu ni naari̱ Juaṉ átatui.”
LUK.1.61	Tutai tiarmiayi “¿Nusha urukamtia? Amée shuarumsha nu náartincha áwak’ tiarmiayi. 
LUK.1.62	Nuiṉkia uchi aparí̱n “¿Warí anaikiatajtsam wakeram?” tusar aya úweje̱ja̱i̱ṉ iniasarmiayi.
LUK.1.63	Tutai uchí aparí̱sha “Nakash surusta; áartaj tusan wakerajai” tusa aya úweje̱ja̱i̱ṉ iniakmamiayi. Takui nakash susam, ni naari̱ Juáṉkaiti, tu áarmiayi. Nuna wáinkiar “Ayawa̱ urukakuṉ ta” tu enentáimprarmiayi. 
LUK.1.64	Nú chichamaik Sakarías chichatsuk pujamun chichakmiayi. Tura nuiṉ Yusa náari̱ncha shiir awajsamiayi. 
LUK.1.65	Nuiṉkia ni írutramuri̱sha ashamkarmiayi; tura ashí Jutía nuṉka murá amia nui̱ nu túrunamun ujakam ashí nekaawarmiayi. 
LUK.1.66	Nu túrunamun antukar ti enentáimsarmiayi. Tura “ju̱ uchin Yus nekas pujurtsuk. Tuma asamtai uunt ajas ¿urukuk ati?” tu enentáimprarmiayi.
LUK.1.67	Uchí aparí̱ Sakarías, Yusa Wakaní pimiutkam tura Yus jintintiam, ju̱na tímiayi:
LUK.1.68	“Israer-shuartí ii Yusri̱ naari̱ shiir awajsatniuitji. Ii Yúsri̱sha tarutmaitji. Tura uwemtikrampraitji. 
LUK.1.69	Yaunchu ii uuntri̱ Tawit Yusa wakeramuri̱ji̱a̱i̱ uunt akupin áchamkia. Tura ni ukuri̱n ti kakaram Uwemtikkiartinian suramsaitji. 
LUK.1.70+LUK.1.71+LUK.1.72	Yuska ii nemasri̱ya̱ tura in nakitramainiajnia nuyá uwemtikrampratniun enentáimsamia nuna, yaunchu ni etserniuri̱n péṉker armia nuna ujakmiayi. “Winia ti peṉker chichamprun tájana nuna yapaji̱tsuk umirkan tuke wáitnentratajrume” yaunchu ii úuntri̱n tímiania nunasha ni etserniuri̱n ujakarmiayi. Yaunchu nu ujakma yamái iisha wainji. 
LUK.1.73+LUK.1.74+LUK.1.75	Nu ujakman Yuska yámankamtaik imiá yaunchu ii uuntri̱ Apraáman tíchamkia. Apraáman ujakmia nu jú̱iti: “Wi wakeraj nútiksaran, Winia umirtukar péṉker wekainia nuna ni nemasri̱ya̱ uwemtikrattajai. Sapijmiatsuk winia tuke takartusarat tusan túrattajai” Yus tímiayi Apraáman. Iisha ni shuari̱ asakrin, nuna taku incha túramaji. 
LUK.1.76	Tura amincha, uchiru, “Uunt Yusna etserniuiti” turamartatui. Amesha ni tátintri̱ iwiarataj tusam Uuntai̱ émkim wétatme. 
LUK.1.77	Ni shuari̱, ni tunaari̱ tsaṉkurnar uwemprarat tusam túrattame. 
LUK.1.78+LUK.1.79	Yuska ashí shuaran anea asa, incha wáitnentramak ni pujamunmaya̱ ni tsáapnintri̱n suramsaitji. Ni enentái̱n kiritniunam wekainia nuna, mesertinnium jeatemá ásarmatai, ni tsáapnintri̱ jeatⁱ tusa túraiti. Tura ashí incha ii enentái̱n imiatkinchanum wekasarmí tusa túraiti.” Nuní tímiayi Sakarías.
LUK.1.80	Uchisha tsakarmiayi. Tura Yúsan nekaki-nekaki wémiayi. Israer shuarnum etserkatin tsawantri̱ jeatsa̱i̱ṉkia atsamunam pujuyayi.
LUK.2.1	Wats, Juaṉ akiiniamia nú uwitin uunt akupin Akustu ashí nuṉkanam áentsun nekapmarartí tu chichakmiayi. 
LUK.2.2	Nu nekapmartinian yaunchu túrushtain yamái túriarmiayi. Siria nuṉkanam Seriniu akupin pujái̱ túrawarmiayi. 
LUK.2.3	Ni naari̱ áartaj tusa ashí shuar ni nuṉke̱niṉ wétin ármiayi. 
LUK.2.4	Tuma asamtai Jusé Nasarét péprunmaya̱ Kariréa nuṉkanam amia nuyá jiinki Piriṉ péprunam Jutía nuṉkanam amia nui̱ wémiayi. Juseka Tawit weeanam akiinia asa, ni nekas nuṉke̱ṉka Piriṉkauyayi. 
LUK.2.5	Nu asamtai, ni náari̱n áartaj tusa Jusé wémiayi Mariji̱a̱i̱. Marisha Jusé núwe̱yayi. Tura tsaniṉcharuyayi. Túmaitiat Marisha Yusa Wakaní̱ kakarmari̱ji̱a̱i̱ ajamtiniuyayi. 
LUK.2.6	Tura nui̱ Piriṉnum pujuiniai̱ Marí takustintri̱ jeamiayi. 
LUK.2.7	Nui̱ iwia̱i̱ri̱n uchin áishmaṉkan takusmiayi. Tura uchi penutaiji̱a̱i̱ penuar, waaka yurumtainiam áepsamiayi. Írar kanutainiam pujustin aṉkant atsá asamtai túrawarmiayi.
LUK.2.8	Tura Piriṉnum tíjiu̱ch murikiun wáinin kashi murikri̱n wáiniuk pujuarmiayi. 
LUK.2.9	Túmainiai̱ nayaimpinmaya̱ suntar murikiun wáinin matsatainian wantintiukmiayi. Tura Yúsnumia̱ tsáapnin ni matsatainiamunam etsantramiayi. Túrunamtai murikiun wáinniuka ti ashamkarmiayi. 
