GEN.1.1	Jatíbi peokoonontianra, Diossen nai itan mai jonia iki.
GEN.41.12	Jaskara non namánontianra, jainribi nobé preso iká iki, westíora hebreo bakeranon. Ja bakeranonra iká iki, sontárobaon joni koshin ináabainxon yanka yonoai. Jaskáakin namatabo, ja bakeranon non yoiara, jaskara yoii ikábo noa onantiakin jan yoipakea iki.
GEN.41.13	Jatianra jan non namábo noa yoipakexona keskáshamanbo senena iki. Ja namábo noa jan yoia keská senenmakinra min aká iki, eabiribi nokon tee ikatiain jikimaxonbi, ja wetsabiribi jato nishin tenexmaxon paninhanan min jato retemakin —akin aká iki.
GEN.41.14	Jaskáakin yoiatianbi, cárcel meranoa José pikoxon bexonkanti, faraónman jato yoia iki. Ja faraónhiba joti yoikana benxokaakin, Josekan jawen kenibo oroxon, bená chopabo saweyontaanan, joá iki.
GEN.41.15	Ja José moa joketian, faraónman yoia iki, neskáakin: —En namatabora, ea tsonbi ja yoii ikábo onantiakin yoiti atipanyamakanke. Jaskara ikenbira ea yoikanke, namábo mia yoikanketian, jaskara yoii iká riki, ixonbo min jato yoiai —akin.
GEN.41.16	Jaskáakin yoia José iká iki neskati: —Jaskara namábo en onantiakin yoiaibo riki, Diossenbi amaa en akaires; jaskara ixonra, jan amaares min onannon ixon mia en yoiti atipanke —iki.
GEN.41.17	Jaskáketian faraónman aká iki, José neskáakin: —Nokon namá meranra ea iibake, Nilo janeya paro kexá ea chankata.
GEN.41.18	Ja paromeaxa ibake, kanchis waka xoa jakonshamanbo pikoti. Jabo pikotax mapéxonra aibake, ian kexa xoxoai neshan tawa keská xaranmea xobibo pikin.
GEN.41.19	Jatian ja xoashamanbo pekáora iibake, kanchis waka kikinbires jakonma oshishokobo bei. Jaskara wakabora, nin jawetianbi Egipto mainmea en oinyosma iki.
GEN.41.20	Ja oshishoko waka beabaonra aibake, ja jatonpari mapéwana xoa itan jakonshaman kanchis wakabo pikin keyokin.
GEN.41.21	Jaskáakin ja xoashaman jabé wakabo piaxbira iibake, ja oshishoko wakabo piama keskábiresbo ikax, jaskara oshibiresbo. Jaskara oinkin senenhataananra, ea moa jakiribi oxá besoibake,
GEN.41.22	jatian jakiribi moa oxaribixonra en namáribiibake, westíora trigo taxomeaxbicho, kanchis texkan jakonshamani bimiax paniabo.
GEN.41.23	Jainxon ja namá meranribira en oinhibake, westíora trigo taxomeaxbichoribi, kanchis texkan jakonmai bimia. Ja texkanbora ibake, bari pikotaiorikeax xana payataitonin choshia ikax, siwáshokobo.
GEN.41.24	Ja trigo texkan siwáshokobaonra aibake, ja jakonshaman texkanbo pikin keyokin. Jaskarabo namáxon onankaskin, ja onan jonibo kenamaxon en jato yokatabira, ea tsonbi onantiakin yoiti atipanyamakanke —akin aká iki.
GEN.41.25	Jaskáaketian Josekan faraón yoia iki: —Ja rabé keská min namata riki, westíora jawékibicho iti yoii iká. Diossenra jan akí kaai jaweki mia keshanke.
GEN.41.26	Ja kanchis waka xoashamanbo min namata riki, kanchis baritia yoii iká. Jatian ja kanchis trigo texkan jakonshaman min oinna riki, ja kanchis baritia yoii ikáribi.
GEN.41.27	Jainoax kanchis waka jakonma oshishokobo min oinna, itan ja kanchis trigo texkan bari pikotaiorikeax xana payataitonin choshia min oinna riki, kanchis baritia jawékiatinin ikanti yoii iká.
GEN.41.28	Ja jaskara namábo oinmaxonra, Diossenbi ja apo onanmaa iki, jaskara jawékibo janbi imai kaaibo.
GEN.41.29	Jaskara ikenra, ja Egipto main kanchis baritia senen, yoábo kikinbires icha iki kaai.
GEN.41.30	Jatian jaskata pekáora, kanchis baritia senenribi yoábo iamaitian, jawékiatin ikonbiresnoxikanai. Jaskati jawékiatinin iorakinbira, jonibaon onanyamaresti iki, jaskara moatian ikátiimabira, Egipto main iorai jawékiatinin ikí bonoxikanai.
GEN.41.31	Ja Egipto mainmeax ikonbiresi jawékiatinin ititianra, ja moatian icha jawékiati jakátiaibaon moa shinanbenokanti iki.
GEN.41.32	Ja faraónman rabéakin namatara, jaskara iti yoii iká namá rabébires iki. Jaskara itibora, Diossenbi moa basima imati jake.
GEN.41.33	Jaskara iken, jakonkayara iti iki, mia apo ixon westíora onan joni, itan shinanya joni katóanan, nato Egipto main iká jonibo jan jato ikinnon ixon, min koshi jikimati.
GEN.41.34	Jakopíra, mia apo ixonkaya min ati jake neskara: Minra joni koshibo janepakeanan, jato raanti jake, ja Egipto main iká jatíbi jemabaon. Jain kaxonra, ja kanchis baritia senen yoá icha inontian tsinkikana yoábo, pichika tsamáinoa westíorabo jato bichinkanti jake.
GEN.41.35	Jato bichinxon bexonra, jainbicho tsinkianan tsamankanti jake, jainoa jaton apon jaskaakin ati jato yoinon ixon. Jaskáaxonra ja Egipto main iká jemabaon jaa jonibo, jato jawékiamakanti iki.
GEN.41.36	Jaskáaxonra, jato bichina yoábo, ja Egiptonko iká jeman benxoakanti iki. Jatianra ja kanchis baritia yoakan ititian, moa jonibaon ja jawékiakantibo jati iki —akinra aká iki.
GEN.41.37	Jaskáatibo Josekan jato yoia, ja faraón betanbi jawen joni koshibaon shinanna, kikinbires jakon jawéki iká iki.
GEN.41.38	Jaskáakin jawen namá yoia moa onantaanan, faraónman jabé ikábo neskáakin yoia iki: —¿Maton shinanaki, nato bakeranon keskáribi, Diossen shinanman iboaa wetsa joni non merati atipana? —akin.
GEN.41.39	Jatian ja Josébiribi faraónman neskáa iki: —Mia keská Diossen onan shinanya jonira, tsoabi yamake. Miabicho riki, jaskarabiribi iti Diossenbi imaa ikax, jato onanai joni.
GEN.41.40	Rama netenbira, nokon toan ea jain iká palacionko mia joni koshi en imai. Jaskáakin joni koshi en mia imaketianra, jatíbi min yoia joibo, nokon jonibaon mia ninkáxonti iki. Eabichoresa, apo ikax mia xewina joni koshi iti iki.
GEN.41.41	Egipto main iká jatíbi jonibaon koshiribira en mia imai —akin aká iki.
GEN.41.42	Jaskáataanan, jawen metotiainoa jawen janeya meosoti tsekataanan, faraónman José sawemaa iki. Jainxon lino aká chopa kikin kopí itan jakonshamanribi, oro teoti betanbi bexon José sawemakana iki.
GEN.41.43	Jaskáakin senenhataanan, ja apo jan kaai carro pekáo wetsa carro ikátonin, moa apo keska itiribi janea iketian, José nanémaa iki. Ja nanémataanan boí, jabé boai apon joni koshibo ikana iki neskati: Jainra apo kaai, “¡bai xepoyamakanwe!”, ja apo mato ponte winotaitian rabii já bebon chirankookanwe, iki saa iibainkana iki. Jaskataxa Egipto main iká apon koshi jikimaa, José jain baneta iki.
GEN.41.44	Jainxon faraónman José yoiribia iki neskáakin: —Ea riki, Egipto mainmea apo. Jaskara ixon riki, en mia joni koshi jikimaa. Jaskara mia joni koshi iketianra, jawékibo anoxon miapari yokákanti jake —akin.
GEN.41.45	Jainxonribira faraónman, wetsa jane José menia iki. Ja jane menia iká iki, Zafnat-panea. Jaskáakin janetaanan, Potiferanin bake ainbo Asenat awinhanon ixon bimaa iki. Ja Potiferara iká iki, On jemamea sacerdote. Jaskata pekáora, Egipto mainmea jemabotiibi José kaa iki.
GEN.41.46	Joséra kimisha chonka baritiaya iká iki faraónhiba bokanontian. Ja apoibakeax pikótaananra, jatíbi ja Egipto main iká jemabaon kaa iki.
GEN.41.47	Ja José Egiptonko joni koshi inontianra, kanchis baritia senen kikinbiresi banábo jakonshamani xoxoax, ikonbiresi bimia iki.
GEN.41.48	Ja banábo kanchis baritia senen, ikonshamani bimiketian tsinkixonra, Josekan aká iki ja Egipto main iká jemabotiibi ja jawékiati janon ixon, jato benxoamakin.
GEN.41.49	Ja Josekan jato tsinkimaa trigo, tsonbi topontimatii kikinbires icha ikaxa iká iki, aniparo kexá iká mashitiibires.
GEN.41.50	Jatian jawékiatinin iti peokootamatianra, Josekan jawen awin Asenat betan rabé bakeaa iki.
GEN.41.51	Ja reken pikota jawen bakera, Josekan janea iki, Manasés akin. Jaskáakin jawen bake ja janen akira iká iki, neskati: “Diossenbira ake, jatíbi ea onitsapita jawéki en shinanaibo, ea shinanbenomakin. Jainxonribira ake, ja nokon kaibobo onitsapitai en shinanai shinanboribi ea shinanbenomakin”, iki iká iki.
GEN.41.52	Jatian ja jawen wetsa bake pikota, Josekan janea iki, Efraín akin. Ja janeira iká iki José neskati: “Ea onitsapita mainxonra nokon bakebo ea Diossen menia iki”, iki.
GEN.41.53	Jaskata iitira, moa kanchis baritia senenketian, ja icha jawékiati japachoaibo moa keyota iki.
GEN.41.54	Jatian ja icha jawékiati ipachoai keyota pekáobiribi, moa jatíbiain jawékiatinin itibiribi peokoota iki. Jaskati jatíbiain jawékiatinin ikanainbi, Egipto mainbiribi icha jawékiati ja iki.
GEN.41.55	Jaskati ja Egipto main iká wetsa jemabo, moa jaton jawékiati keyoax, jawékiatinin iki peokooti faraónhiba yobeni bokana iki. Jaskati jaiba bokanketian, faraónman jato aká iki: “Joséiba kaxon jan yoia keskábo axontankanwe”, akin.
GEN.41.56	Jatian jaskati moa jatíbi ja Egipto main iká jemabaon jawékiatinin ikanaitian, jain jawékiati benxoaabo jokonhaxon, ja Egipto jonibo Josekan jato maromaa iki. Jaskáakin Josekan jato akinabi, bebonbires jawékiatinin ibotankana iki.
GEN.41.57	Jaskara iketian, jatíbiainoax trigo maroi Egiptonko José ikain bekana iki. Jatíbiainra kikinbiresi jawékiatinin ikana iki.
GEN.42.1	Jatian jaskati jato iká main moa yoábo yama inontianra, Jacobnin ninkata iki, Egipto main icha jawékiatia ikanai. Jaskara ninkáxon, jawen bakebo yoia iki neskáakin: “¿Jaweakikayaki, jawe akímabi manaanani mato neno oinhananreskanai?”
GEN.42.2	Enra ninkáke, Egipto main icha jawékiatia ikanai. Jaskara iken, non ja jawékianon jain boxonpari, trigo marokin bitankanwe; noara pitin retenake, akin jato aká iki.
GEN.42.3	Jaton papan jato jaskáakin yoia, ja chonka Josekan wetsabo bokana iki; Egiptonkonia trigo maroi.
GEN.42.4	Jaskati jawen wetsa bakebo trigo maroi bokanainbi, Jacobnin jawen bake Benjamínbicho jato betan raanyamaa iki; jain kaax jakonma winóti shinankin.
GEN.42.5	Ja trigo maroiribi, wetsankonia jonibo bokanaibo betanra, ja Israelnin bakeboribi bokana iki. Jainra bokana iki, ja jain ikana Canaán main, moa jawe jawékiatibi yamaketian.
GEN.42.6	Jaskarabo inontianra, jainoa joni koshi iti José jikimakana iká iki. Jainoax jaribira iká iki, wetsankoniaxbo trigonin maroi beaibo jato jan maromai. Jaskara iketianra, ja trigo maroi boax Joséiba nokótaanan, jawen wetsabo ja José rabii, ja bebon chirankotaanan, maikibi bekepikana iki.
GEN.42.7	Jaiba nokókanatianbi, jato ointaananbires Josekan jawen wetsabo onanna iki. Jaskáakin jato onanaxbi, ja jawen wetsabo onanama keská José iká iki. Jakopíra, notsinbainhanan yoikin jato aká iki neskáakin: —¿Jaweranoaxki mato bekana? —akin. Jato jaskaa ikana iki neskati: —Noara Canaán mainmeax bekanke trigonin maroi —ikibo.
GEN.42.8	Josekan jato onankebi, jawen wetsabaon ja onanyamakana iki.
GEN.42.9	Jatian jawen wetsabo jaskáketian, Josekan shinanria iki, ja moatian jatokiriakin namáyantana jawéki. Jaskara shinanrixon jato yoia iki neskáakin: —Mato riki, jaweraoxonki non jato peotiki ixon, nato jema paranaxon oinni bekanabo —akin.
GEN.42.10	Jato jaskáa yoikana iki: —Mato jaskáai noa joáma riki. Noa min yonotibo riki, neno trigo icha yoikanai ninkatax, jan maroi bekanares.
GEN.42.11	Noabo riki, westíora jonin bakebicho. Noara ikon jakon jonibo iki. Jaskara ikaxa, jawetianbi paranaxonbo ointaanan, non jato ramiaisma iki —akin akana iki.
GEN.42.12	Jaskáakanabi Josekan jato yoia iki: —Enra jawekeskáaxonbi mato ikonhayamai. Matobo riki, paranax nato jeman weixon, jaoraoxonki non jato ramiatiki ixon, noa oinni bekanabores —akin.
GEN.42.13	Jaskáabi José yoikana iki: —Noa min yonotibo riki, chonka rabé bake; westíora jonin bakebicho. Jainoax noabo riki, Canaán mainmea jonibo. Ja non wetsa chiníbichora, non papa betan jainbi banéke; ikaxbi ja wetsaresa moa yamake —akin.
GEN.42.14	Jaskáakanabi jato yoiribia iki: —Matobo riki, ja moa en mato yoiwana keskábi, paranaxon non jema oinni beabores.
GEN.42.15	Jaskara iken, ja maton ea yoiaboki ikon iki ixon onanoxonra, rama en mato neskáai: Ja faraónbicho riki, neno ikábaon joni koshi. Jakopíra, en mato paranyamakin ikon mato yoiai maton onannon ixon, ja faraón janebainkin en mato yoiai. Ja joyamaa maton wetsa chiní neno beyamaaxa, mato jawekeskataxbi nenoax kayamai.
GEN.42.16	Jaskara iketianra, ja maton wetsa chiní biti, maton westíora raanti jake. Jatian mato neno banetaibobiribira, ja maton wetsa chiní beai kaman, en mato xepoti jake. Jatianparira en mato ikonhati jake, jatíbi maton yoia joibo. Ikaxbi jaskáati en mato yoiabo maton senenhayamaketianra en onantiki, paranaxon non jema oinni mato joáres —akin jato aká iki.
GEN.42.17	Jato jaskáakin yoitaanan, kimisha nete senen, Josekan jato cárcel meran xepoa iki.
GEN.42.18	Jatian jato cárcel meran xepoibata moa kimisha nete senenaitian, Josekan moa jato pikoa iki. Jato pikotaanan yoia iki: —Eara Diossen ratetai joni ikax, jawen keena keskáres axoni jaa joni iki. Jaskara iken, ja maton ea yoia keskábo maton senenhaketianra, en mato jawebi shinanxontima iki.
GEN.42.19	Ikon jakonbo ixonra, maton wetsa westíora, neno cárcel meran maton potabainti jake. Jatian mato jatíribibora, maton itinko banéibatabo jato jawékiati boxoni moa kati jake.
GEN.42.20	Ikaxbi ja maton wetsa chiní baneta maton yoiibatara, jakiribi jokin maton ea bexonti jake. Já maton beketianparira en mato ikonhati iki, ja maton yoia joibo ikon iká. Ikaxbi ja maton yoiabo senenhayamaaxa, mato mawáti jake —akin jato aká. Ikonrake non abánon ja min yoia keská, iki ikana iki.
GEN.42.21	Jaskáakinbo jato yoia, jatonbiribi ikana iki neskati: —Ja non wetsan jaskáatima noa yoiabi, noibayamakin akonbireskin ramiakin onitsapimani ikaxiki, noa jaskaraton ikonbiresi ochaa. Ja non jaskáani kopí riki, ramabiribi noki jaskara jawéki nokota —iki ikana iki.
GEN.42.22	Jatian jaskákanaitian jawen wetsabo, Rubenman jato neskáa iki: —Neskarabo inaketian, ja non wetsa maton retekaskin ramiaitian, atima en mato yoiabi, maton nokon joi ea ninkáxonyamaa iki. Ja maton jaskáani kopí riki, ramatian noabiribi masá tenei, ikonbiresi noa onitsapikanai —akin jato aká iki.
GEN.42.23	Ikaxbi jabaonra onanyamaa iká iki, ja Josekan jaton joi ninkatai. Jaskarara shinankana iki, ja Josekan jato yoyo akin, wetsa joni jato yoimaitian.
GEN.42.24	Jatian jato jaskáai iitibi, jato oinnax onisi, jato jenebaini wetsaori kaax, José winia iki. Ja onisi winii senentaanan, jakiribi joríbaxon, jatíbi ja jain ikábaon jishnonbi, ja Simeón jato yatanmataanan cadenanin axon, cárcel meran jato niamaa iki.
GEN.42.25	Ja Simeón cárcel meran jato niamaa pekáora, Josekan jawen joni koshibo yoia iki, jaton sakobaon jato trigo bochoaxonti. Ja bochoaa pekáo, jan trigo kopíakana koríkiboribi, jaton sacobaon jato niapakexonti jato yoia iki. Jainoax jaton itinko kakin, ja jawékiakantiboribi jato axonkanti yoia iki.
GEN.42.26	Jaskáakin ja trigo saco menikanabo, jaton asnobaon moa petsámankin senenhataanan, ja Josekan wetsabo moa bokana iki.
GEN.42.27	Ja bobóbaiti moa yantan iketian, jain iakexon westíoran aká iki, jawen asno pimanoxon, jawen saco techorokin. Ja techorokin chichó meraa iki, ja trigo bikin jan kopíaibata koríki.
GEN.42.28	Ja koríki meraax ratékin, jawen wetsabo aká iki: —Oinkanwe nato nokon koríki ea banexonkana. Nato nokon saco techórokinra en merake —akin. Jato jaskáakin yoia rateti, jatonbiribibo yoyo iki ikana iki neskati: —¿Jaweatimein noa Diossen jaskáake? —ikibo.
GEN.42.29	Jatian moa jakiribi ja Canaán main kaax nokóxon, jawen bakebaon Jacob yoikana iki, jatíbi jaskara winókana jawékibo. Jaskarabo yoikin, jaton papa akana iki neskáakin:
GEN.42.30	—Ja Egiptonko joni koshi jikimakanaiba kaax, noa nokóketianra noa aibake, non yoyo akabi jakonma koshi joinres noa aboankin. Jaskákin noa aibake matobo riki, paranaxon noa ramianoxon, non jema oinni bekanabo, akin.
GEN.42.31	Jaskáakinbo noa yoiainbira, nonbiribi aibake, noara ikon jakon jonibo iki. Jainoax paranaxonboribira, jawetianbi jato ramianoxonbo jaton jemabo non oinyosma iki.
GEN.42.32	Noabo riki, westíora papabicho; ikaxbi chonka rabé bake. Jatian westíora non wetsaresa, moa nobéma iki. Ikaxbi ja non wetsa chiníshokoresiki, ja non papa betanbi Canaánhin baneta, akin.
GEN.42.33	Non jaskáakin yoiara, ja Egiptonko joni koshi imakanatonin noa aibake neskáakin: ‘Ikon jakon jonibo ixonra, maton wetsa westíora neno maton ea potaxonti jake. Jatian matobiribira, ja maton xobon banetabaon jawékiati, jato boxoni moa kati jake.
GEN.42.34	Ikaxbi jakiribi joríbakinra, ja banéibata maton wetsa chiníshoko, maton ea bexonti jake. Já maton beketianparira en ikonhati iki, ikon jakon jonibo ixon, maton ea paranyamaa. Jatianribira ja neno en mato banenanhibata maton wetsa, en mato pikoxonti iki. Jainoax jatianribira, jakonshamanax neno mato jawékininbo maroti iki, akinra noa aibake’ —akin akana iki.
GEN.42.35	Jaskáakin jaton papa yoikin senenhataanan, jatíxonbi jaton sacobo nasii akin, ja trigo marokin kopíaibata koríkibo, jaton sacon iká merakana iki. Ja koríki pishabo jaton sacon iká meraax, jaton papa betanbi jaskarabo meraax, ikonbiresi ratékana iki.
GEN.42.36	Jatian ratékin, Jacobnin jawen bakebo neskáa iki: —Ja maton wetsabo bokinra akai, maton ea jato keyonanpakebireskin. Ja Josépari maton aká iki, manómakin. Jatian ramabiribi maton ake, Egiptonko ioxon presoakanketian, Simeón potabeirankin. Ja senentiainbi, rama ja Benjamín boribakasi mato iitai. Ja maton wetsabo maton jaskáaitoninra akai, maton jatíbitian ea jakonma imakin —akin.
GEN.42.37	Jaskáketian Rubenman jawen papa yoia iki: —Ja min bake Benjamín iká jawékibo en oinbanon, eki jenewe, papá. Enra mia jakiribi bexoni kaai. Ikaxbi jaskáakin yoixonbi, en Benjamín mia bexonyamaketian, nokon bake rabé ea retenannoxiwe —akin.
GEN.42.38	Jaskáakin yoiabi, Jacobnin jawen bake aká iki: —Ja min wetsa nokon bakera, jawekeskáaxonbi en mato raanxonyamai. Oinwe, ja min wetsa José iki, moa mawata yama. Jatian ja min wetsa Benjamínbicho iki, rama neno ebé jaa. Ja maton wetsa Benjamínribi, maton ioa kaaibi jakonma winóketianki, mato jawe iti iki. Ja nokon bake chiní, maton boxon jaskámaa kopíra, ea yosishoko ikax iti iki, jaskaraton masá shinanni onisi mawákasi —akin aká iki.
GEN.43.1	Jaskarabo inontianra, Canaán main iká jonibo, bebonbires jawékiatinin iki iiboreskana iki.
GEN.43.2	Jatian ja Egiptonkonia trigo beyantankana moa keyotaitianra, Jacobnin jawen bakebo yoia iki: —Jakiribi trigo marokin bii boribatankanwe —akin.
GEN.43.3	Jaskáaketian Judakan jawen papa neskáa iki: —Ja trigo maromataanan raankinra, ja Egiptonkonia joni koshin onantishamanhakin noa yoia iki: ‘Jakiribi jaiba kakin, non wetsa chini boyamaax, moa jaiba noa nokótima’.
GEN.43.4	Jaskara iken, ja non wetsa chini min nobé raanaitianparira, noa jakiribi Egiptonko trigo maroi kati jake.
GEN.43.5	Ikaxbi nobetan ja non wetsa min raanyamaitianra, noa jawekeskataxbi kayamai, papá. Ja jainoa koshinra, noa joaitian ayantanke yoikin: ‘Non wetsa chiní boyamaax, moa jaiba noa nokótima’ —akin aká iki.
GEN.43.6	Jaskáaketian ja jaton papa Israelnin jato aká iki neskáakin: —¿Jaweatikayaki, ja joni koshin mato yokataitian, non wetsa chiníra jake, akin maton aká iki? Jaskaaxonpachora akai, maton ea jakonmabires shinanmakin —akin jato aká iki.
GEN.43.7	Jaton papa jaskáketian neskáakin yoikana iki: —Ja joni koshin meskóakinbo noa yokáketian riki, non jaskáakinbo yoia. Jishaman jaskarabo yokákin noa aká iki: ‘¿Maton papaki japaria? ¿Maton wetsa neno joámaki jaríbaa?’ akinbo. Jatianra nonra onanyamaa iki, jaskáakinbo yokáboxon, ja ‘maton wetsara maton ea bexonti jake’, akin noa ati —akin jaton papa akana iki.
GEN.43.8	Jatian Judakanbiribi, jawen papa aká iki neskáakin: —Moa noa kabatanon, nato bake moa nobé raanwe. Ja bake nobé kaketianra, enbishaman já koiranti jake. Jatianresa mia, noa, itan non bakeboribi mawáyamai japarikanti iki.
GEN.43.9	Ja min bake en boá jawekeskabo winóketianra, ea iti jake ja min bake kopi min ea ramiati. Jakiribi ja min bake mia neno banexonyamaxonra, en ati jake jatíbitian ja ocha kopi masá tenekin.
GEN.43.10	Jaskáyamakin moabi ja bake nobé min raanhibaketianra, moa rabeti kaax noa joríbaa ikeanke —akin.
GEN.43.11	Jaskáketian jawen papan neskáa iki: —Moara wetsa keska shinanbo non ati yamake. Jaskara iken, ramapari mato jaiba kaai joni koshi, maton sacon jawéki axon boxontankanwe. Ja maton boxonaibora iti jake, ja nenonxon non akai kikin jakon jawékibo. Ja maton boxontibora iti iki: Ichama bálsamo, ichama mishkin, meskó inintibo, mirra, castaño bimibo itan almendro bimibo.
GEN.43.12	Jainoax ichachashaman koríkiribira, maton boxonti jake. Jainoax ja maton saco meranoa maton meraibata koríkiribira, boxon maton jabishaman meniti jake. Jawekeska ikaxa, shinan benoxon mato axonabira iki.
GEN.43.13	Jaskara iken, ja joniiba moa botankanwe; kakin atankanwe ja maton wetsa iokin.
GEN.43.14	Ja mato jaiba kaai, joni koshiiba nokóketian, abánon ja koshi shinanya Diossenbi noibataanan onísaxon, mato akinkin. Jainxon abánon, ja cárcel meran iká min wetsa pikotaanan, ja maton ioai maton wetsa Benjamínribi jaweamayamakin. Jatian ea jawekeska bakeoma banéti ikax, ibanon jaskarabiribi ea baneti —akin jato aká iki.
GEN.43.15	Jaskáketian ja Jacobnin bakebaon, ja joni koshi boxonti yoiibata jawékibo moa biax bokana iki. Ja moa bokin, ja ichashaman koríkiabi, jaton wetsa Benjamín iokana iki. Jaskati boax Egiptonko nokótaanan, Joséiba bokana iki.
GEN.43.16	Ja boax jaki nokoti bokanaitian, Benjamín jato betan kaai Josekan meraa iki. Ja meraxon, jawen xobon iká jawen yonoti joni koshi yoia iki: —Nokon xobonko nato jonibo iotanwe. Jain kaxonra, westíora waka min reteti jake; nenoax kaxon bariapan en jato betan pinon —akin.
GEN.43.17	Jatian jawen yonotibaon joni koshin, jan yoiwana keskábo José axona iki; jaskáxon janbishaman jato ioa iki.
GEN.43.18	Jaskáakin jato ioabi, Josekan xobo iketian onanax, ikonbiresi raketi, jatonbiribibo yoyo iibainkana iki neskati: —Paranxon ja xobon noa boí riki. Ja reken trigo maronontian, ja koríki noa banexonkin, non saco meran noa niaxonyantana kopíra ibirai, neno noa iwekana. Iamaxon non yoinayabi noa iboataanan, kikinhakin yankabires yononoxon noa bearibira ibirai —ikibo ikana iki.
GEN.43.19	Jaskáakin jato boá kaxon, jain kaa xobon jikiamatianbi, jan jato ioa Josekan yonotibaon joni koshi betan yoyo ikana iki.
GEN.43.20	Ja yoyo akin akana iki neskáakin: —Oinpariwe ibó, minra moa onanke, noabo riki ja miibakea jawékiati maroi noa beibataboribi.
GEN.43.21	Ja jawékiati min noa menia nenoax noa kanontianra, moa yantan iketian oinnax, moa jain iakea iki. Jain iakexon, ja non boai trigo sacobo techóroxon non oinnara iká iki, koríki pishabo ja meran iká. Ja koríkibora, ja iantanatiibi iki; ja banenoxonra non neno beke.
GEN.43.22	Jainxonra non koríki beke, jakiribi nenoa trigonin maronoxon. Ixonbira non onanyamake, tsonkaya ja non saco meran ja koríkibo noa niaxonaki iantana ixon —akin akana iki.
GEN.43.23	Jaskákanketian, ja Josekan joni koshin jato neskáa iki: —Rakéyamakanwe, jakonreskaya shinankanwe. Jawekeska ixonra, maton Diossen itan maton anibaon Diossenbira, ja koríkibo maton sacobaon mato axonhibake. Ja trigo bikin, maton kopíayantana koríkibora en biantanke —akin jato aká iki. Jato jaskáakin yoitaanan kaxon, ja cárcel meran iká Simeón pikotaanan, jato ikanainko ioa iki.
GEN.43.24	Jaskáa pekáo, moa jatíbi jato Josekan xobonko ioa iki. Jain moa jato ioxon, jan tachokiikanti onpax jato menia iki. Jainxon jaton yoinaboribi jato pimaxona iki.
GEN.43.25	Jatian jabaon moa onanna iká iki, Josekan jawen xobonxon jato betan bariapan pii joai. Jaskara onanxon, ja José menikanti jawékibo benxoakana iki.
GEN.43.26	Ja José moa jato betan jawékiai bariapan joketianra, ja meniti bokana jawékibo moa menikana iki. Ja jawékibo meniamatianbi, ja rabii ja bebon chirankotaanan maikibi bekepikana iki.
GEN.43.27	Jaskákanketian, Josekan jato yokata iki: —¿Matoki jakontani iantana? ¿Ja maton papa yosishoko maton yoiantanaki jaresparia? —akin.
GEN.43.28	Jato jaskáa, joni koshi ikax jato betan senenma iketian, jakiribi já bebon beobainkana iki. Jaskátaanan yoikana iki: —Ja non papa, noa keska noibatishokoribira, jain jakontanibires iki —akin.
GEN.43.29	Jaskáakin yoikana, oken oinbekonkin jain jato betan Benjamín itina Josekan meraa iki. Ja Benjamínra iká iki, jawen tita betanshaman jawen papan bakeaa ikax, jawen wetsabi. Jatianra iká iki José neskati: —¿Natokayarin maton wetsa chiní, já yoikin maton ea ayantana? —iki. Jato jaskáakin yoitaanan, ja Benjamín Josekan neskáa iki: —Mia Diossen noibataanan akinbanon, baké —akin.
GEN.43.30	Jaskáakin yoixon, jawen wetsa ointaanan José ikonbiresi onisa iki. Jaskáakin onisen yatannatianbi, jawen xobon ishtonbires jikiax, José winia iki.
GEN.43.31	Ja winii senentaanan, winia onanti inaketian bechokiitax, joribaxon jato yoia iki: ¡Moa pikánon jato metexonkanwe! akin.
GEN.43.32	Jatianra moa pikin peonoxon, wetsa mesan jawen piti José axonkana iki. Jatian ja Jacobnin bakebobiribi, wetsa mesan axonkana iki. Jainxon ja Egipto jonibobiribi, jatonbiribibo axonkana iki; jaton axé meran, hebreo jonibo betan pitima yoiai iketian.
GEN.43.33	Jatian pikin peoamatianbi, Josekan jawen wetsabo beibanamakin jato yakámaa iki. Jaskáakin jato yasánkin aká iki, jaton rekenhainxon peoxon, jaton wetsa chiní senen jato yakámakin. Jato jaskáakinbo yasánketian ointaanan, ratébainax beísanankana iki.
GEN.43.34	Jato jaskáakin moa yasántaanan, Josekan aká iki, jawen wetsabo yakákana mesanko, jawen yonotibo piti bomakin. Ixonbi ja Benjamínbiribi, jawen wetsabo axona bebonbires icha piti axona iki. Jatian jaskáakin jawen wetsabo betan moa jawékiaax, José raroshaman iká iki.
GEN.44.1	Jaskarabo iká pekáo, jawen yonotibaon joni koshi, Josekan yoia iki: —Nato jonibaon boti senenbopari, jaton sacobaon trigo bochoaxonkanwe. Jainxon jaton saco bemakayanribi, jan kopíakana koríki pishabo jato niaxonkanwe.
GEN.44.2	Jainxon jaton wetsa chinikan sacon niaxonwe, nokon yami kenpo betanbi jan trigo kopíakana koríkiribi —akin.
GEN.44.3	Jatian wetsa nete xabata yamékirishoko, jaton asnoboyabi moa bokanaitian, Josekan jato raana iki.
GEN.44.4	Ja moa bokana pekáo, ochókanamabi Josekan jawen yonoti joni koshi neskáakin yoia iki: —Ja bokanabo ochóira bokanamabipari, jato chibantanwe. Nokoxonra, min jato yoiti jake: ‘¿Jaweatiki nokon Ibon mato jakonhaabi, maton jakonmaabeirana? Matonra jawen plata kenpo yometsokin beke’.
