GEN.1.1	Na počiatku stvoril Boh nebo a zem.
DEU.33.7	a priveď ho k jeho ľudu,
DEU.33.7	aby svojimi rukami bojoval za seba,
DEU.33.7	a pomáhaj mu proti jeho odporcom.“
DEU.33.8	O Lévim povedal:
DEU.33.8	„Nech tvoje tummím a urím
DEU.33.8	patria tvojmu zbožnému mužovi,
DEU.33.8	ktorého si vyskúšal v Masse,
DEU.33.8	s ktorým si mal spor pri vodách Meriby,
DEU.33.9	ktorý povedal o svojom otcovi a svojej matke:
DEU.33.9	‚Neberiem ohľad na nich.‘
DEU.33.9	Svojich bratov nepoznal
DEU.33.9	a o svojich synoch nechcel vedieť,
DEU.33.9	lebo zachovával tvoju reč
DEU.33.9	a dodržiaval tvoju zmluvu.
DEU.33.10	Jákoba budú poúčať o tvojich právach
DEU.33.10	a Izraelitov o tvojom zákone.
DEU.33.10	Budú klásť pred teba kadidlo
DEU.33.10	a celostnú obetu na tvoj oltár.
DEU.33.11	Hospodin, požehnaj jeho silu!
DEU.33.11	Obľúb si dielo jeho rúk!
DEU.33.11	Polám bedrá tým, čo povstávajú proti nemu,
DEU.33.11	aby už nepovstali tí, čo ho nenávidia!“
DEU.33.12	O Benjamínovi povedal:
DEU.33.12	„To je miláčik Hospodina,
DEU.33.12	nech bezpečne býva pri ňom.
DEU.33.12	On ho bude chrániť po všetky dni.
DEU.33.12	Býva medzi jeho úbočiami.“
DEU.33.13	O Jozefovi povedal:
DEU.33.13	„Kiež Hospodin požehná jeho kraj
DEU.33.13	hojnou rosou z neba
DEU.33.13	i z priepastnej hlbiny, čo je dolu,
DEU.33.14	vzácnymi úrodami z darov slnka,
DEU.33.14	bohatými plodmi ročných období,
DEU.33.15	skvelými darmi pradávnych vrchov
DEU.33.15	a vzácnosťami odvekých pahorkov,
DEU.33.16	vzácnosťami krajiny a všetkým, čo je na nej,
DEU.33.16	aj priazňou toho, ktorý býva v kre.
DEU.33.16	To nech zostúpi na Jozefovu hlavu
DEU.33.16	a na temeno zasvätenca medzi bratmi!
DEU.33.17	Je nádherný ako prvorodený býk,
DEU.33.17	rohy má ako divý byvol,
DEU.33.17	ktorými kole všetky národy
DEU.33.17	až do končín zeme.
DEU.33.17	Také nech sú desaťtisíce Efrajima,
DEU.33.17	také nech sú tisíce Menaššeho!“
DEU.33.18	O Zebulúnovi povedal:
DEU.33.18	„Raduj sa, Zebulún, na svojej výprave,
DEU.33.18	raduj sa Jissachár, vo svojich stanoch!
DEU.33.19	Ľudí zvolajú na vrch,
DEU.33.19	kde budú správne prinášať obety.
DEU.33.19	Bohatstvo budú čerpať z mora
DEU.33.19	a poklady ukryté v piesku.“
DEU.33.20	O Gádovi povedal:
DEU.33.20	„Požehnaný, kto Gádovi rozširuje územie!
DEU.33.20	Gád odpočíva ako levica,
DEU.33.20	trhá rameno i temeno.
DEU.33.21	Ako prvý si vyhliadol územie tam,
DEU.33.21	kde bol podiel vodcu!
DEU.33.21	Prišiel s náčelníkmi ľudu
DEU.33.21	a vykonal pre Izrael,
DEU.33.21	čo je pred Hospodinom spravodlivé a správne.“
DEU.33.22	O Dánovi povedal:
DEU.33.22	„Dán je mladé levíča,
DEU.33.22	ktoré vyskočí z Bášanu.“
DEU.33.23	O Naftalim povedal:
DEU.33.23	„Naftali sa nasýti priazne,
DEU.33.23	je plný Hospodinovho požehnania.
DEU.33.23	Ovládne more i južný kraj.“
DEU.33.24	O Ašérovi povedal:
DEU.33.24	„Nad ostatných synov nech je požehnaný Ašér,
DEU.33.24	nech je najobľúbenejší medzi bratmi!
DEU.33.24	Nech si v oleji máča nohu.
DEU.33.25	Nech sú jeho závory zo železa a bronzu!
DEU.33.25	Nech tvoja sila trvá, kým žiješ!
DEU.33.26	Nieto takého, ako je Boh Ješurúnov,
DEU.33.26	po nebesiach sa náhli, aby ti pomohol,
DEU.33.26	na oblakoch sa nesie vo svojej velebe.
DEU.33.27	Útočiskom je Boh odveký,
DEU.33.27	svet je pod jeho ramenami.
DEU.33.27	On vyhnal pred tebou nepriateľa,
DEU.33.27	povedal: ‚Znič ho!‘
DEU.33.28	Izrael býva bezpečne,
DEU.33.28	Jákobov prameň je výnimočný
DEU.33.28	v krajine obilia a muštu.
DEU.33.28	Z jeho nebies padá rosa.
DEU.33.29	Blahoslavený si, Izrael,
DEU.33.29	kto sa ti vyrovná?!
DEU.33.29	Ľud, ktorý zachránil Hospodin;
DEU.33.29	on je tvoj ochranný štít,
DEU.33.29	tvoj slávny meč.
DEU.33.29	Tvoji nepriatelia sa ti budú koriť,
DEU.33.29	ty však pošliapeš ich šije.“
DEU.34.1	Z moábskych stepí vystúpil Mojžiš na vrch Nebó, vrchol Pisgy, naproti Jerichu, a Hospodin mu ukázal celú krajinu: Gileád až po Dán,
DEU.34.2	celý kraj Naftaliho i kraj Efrajima a Menaššeho i celý kraj Júdov až po Západné more,
DEU.34.3	Negev a oblasť údolia Jericha, mesta paliem, až po Coar.
DEU.34.4	Hospodin mu povedal: „Toto je krajina, ktorú som pod prísahou sľúbil Abrahámovi, Izákovi a Jákobovi, keď som povedal: ‚Dám ju tvojmu potomstvu!‘ Dovolil som ti ju uvidieť na vlastné oči, do nej však nevojdeš!“
DEU.34.5	Potom tam, v Moábsku, zomrel Hospodinov služobník Mojžiš, ako povedal Hospodin.
DEU.34.6	Pochoval ho v údolí naproti Bét-Peóru v Moábsku. Dodnes však nikto nevie o jeho hrobe.
DEU.34.7	Mojžiš mal stodvadsať rokov, keď zomrel. Zrak mu nezoslabol a jeho životná sila ho neopustila.
DEU.34.8	Izraeliti oplakávali Mojžiša na moábskych stepiach tridsať dní, kým sa neskončili dni plaču a smútku za ním.
DEU.34.9	Jozua, syn Núna, bol plný ducha múdrosti, lebo Mojžiš naňho položil ruky. Izraeliti ho poslúchali a konali tak, ako Hospodin prikázal Mojžišovi.
DEU.34.10	V Izraeli však už nepovstal prorok ako Mojžiš, ktorému by sa dal Hospodin poznať z tváre do tváre.
DEU.34.11	Nikto iný sa mu nevyrovnal konaním znamení a zázrakov, ktoré ho poslal Hospodin konať v Egypte pred faraónom a pred všetkými jeho služobníkmi a celou jeho krajinou.
DEU.34.12	Nikto iný neprejavil takú moc, aby urobil všetky tie veľké a hrozné skutky, ktoré Mojžiš vykonal pred očami celého Izraela.
JOS.1.1	Po smrti Hospodinovho služobníka Mojžiša oslovil Hospodin Mojžišovho pomocníka Jozuu, syna Núna:
JOS.1.2	„Môj služobník Mojžiš zomrel. Vstaň teda, prejdi cez Jordán, ty i všetok tento ľud, do krajiny, ktorú dávam Izraelitom. 
JOS.1.3	Dal som vám všetko, na čo stúpi vaša noha, ako som to povedal Mojžišovi.
JOS.1.4	Od púšte po Libanon a od Veľrieky, rieky Eufrat, celá krajina Chetitov až po Veľké more na západe slnka bude vaším územím. 
JOS.1.5	Nikto neobstojí pred tebou, kým budeš žiť. Budem s tebou, ako som bol s Mojžišom. Nenechám ťa ani ťa neopustím.
JOS.1.6	Buď silný a odvážny, lebo ty rozdelíš tomuto ľudu do vlastníctva krajinu, ktorú som prísažne sľúbil dať ich otcom.
JOS.1.7	Len buď silný a veľmi odvážny, aby si konal podľa zákona, ktorý ti prikázal môj služobník Mojžiš. Neodboč od neho ani napravo, ani naľavo, aby si si rozumne počínal vo všetkom, čo podnikneš.
JOS.1.8	Nech sa táto kniha zákona nevzdiali od tvojich úst. Rozjímaj však o nej vo dne i v noci, aby si zachovával všetko, čo je v nej napísané, lebo vtedy sa ti zdarí cesta a budeš si počínať rozumne.
JOS.1.9	Prikázal som ti predsa: Buď silný a odvážny, nestrachuj sa a nezúfaj! Veď Hospodin, tvoj Boh, bude s tebou, kamkoľvek pôjdeš.“
JOS.1.10	Jozua potom prikázal hodnostárom ľudu:
JOS.1.11	„Prejdite cez tábor a prikážte ľudu: Nachystajte si potraviny, lebo po troch dňoch prejdete cez Jordán, aby ste vošli do krajiny, ktorú vám teraz dáva do vlastníctva Hospodin, váš Boh, a obsadili ju.“
JOS.1.12	Rúbenovcom, Gádovcom a polovici Menaššeho kmeňa Jozua povedal: 
JOS.1.13	„Pamätajte na to, čo vám prikázal Hospodinov služobník Mojžiš, keď povedal: ‚Hospodin, váš Boh, vám pripraví odpočinok a dá vám túto krajinu.
JOS.1.14	Vaše ženy, deti a dobytok zostanú v krajine, ktorú vám dal Mojžiš za Jordánom, ale vy všetci bojaschopní muži prejdite ozbrojení pred vašimi bratmi a pomáhajte im,
JOS.1.15	kým Hospodin nepripraví odpočinok vašim bratom i vám, kým neobsadia krajinu, ktorú im dáva Hospodin, váš Boh. Potom sa môžete vrátiť do vlastnej krajiny, ktorú vám dal Hospodinov služobník Mojžiš na východe za Jordánom, a budete ju vlastniť.‘“
JOS.1.16	Oni odpovedali Jozuovi: „Urobíme všetko, čo si prikázal. Pôjdeme, kamkoľvek nás pošleš.
JOS.1.17	Ako sme poslúchali Mojžiša, budeme poslúchať aj teba, len nech je Hospodin, tvoj Boh, s tebou, ako bol s Mojžišom.
JOS.1.18	Ktokoľvek by sa sprotivil tvojmu rozkazu a neposlúchol by tvoje slová, nech by si mu rozkázal čokoľvek, nech zomrie. Len buď silný a odvážny!“
JOS.2.1	Jozua, syn Núna, poslal tajne zo Šittímu dvoch vyzvedačov s poverením: „Choďte a obzrite si krajinu i Jericho.“ Oni odišli, vošli do domu neviestky menom Ráchab a tam sa zložili.
JOS.2.2	Kráľovi Jericha oznámili: „Pozor, v noci sem prišli muži spomedzi Izraelitov na výzvedy o krajine!“ 
JOS.2.3	Vtedy kráľ Jericha odkázal Ráchab: „Vyveď mužov, ktorí prišli k tebe a vošli do tvojho domu, lebo prišli na výzvedy o celej krajine.“ 
JOS.2.4	Ona však tých dvoch mužov odviedla a skryla. Potom povedala: „Tí muži naozaj prišli ku mne, no nevedela som, odkiaľ sú.
JOS.2.5	Keď sa zotmelo a mestská brána sa zatvárala, odišli. Neviem, kam odišli. Ponáhľajte sa za nimi, ešte ich dohoníte.“
JOS.2.6	Ona ich však vyviedla na strechu a skryla ich pod ľan, ktorý tam bol rozložený. 
JOS.2.7	Jerišskí muži ich prenasledovali smerom k Jordánu až k brodom. Len čo prenasledovatelia vyšli, bránu za nimi zatvorili. 
JOS.2.8	Vyzvedači sa ešte ani neuložili na spánok, keď Ráchab vyšla k nim na strechu 
JOS.2.9	a povedala: „Viem, že Hospodin vám dal túto krajinu. Zachvátil nás strach pred vami a všetci obyvatelia krajiny stratili pred vami odvahu.
JOS.2.10	Počuli sme totiž, ako Hospodin pred vami vysušil vody Trstinového mora, keď ste vychádzali z Egypta. Počuli sme aj to, čo ste urobili dvom amorejským kráľom za Jordánom, Sichónovi a Ógovi, na ktorých ste vykonali kliatbu.
JOS.2.11	Keď sme to počuli, ochablo nám srdce a stratili sme odvahu pred vami, lebo Hospodin, váš Boh, je Bohom hore na nebesiach i dolu na zemi.
JOS.2.12	Teraz mi však prisahajte na Hospodina, že tak, ako som vám milosrdenstvo preukázala ja, tak aj vy preukážete milosrdenstvo domu môjho otca a dáte mi spoľahlivé znamenie,
JOS.2.13	že pri živote zachováte môjho otca, moju matku, mojich bratov aj moje sestry a všetko, čo im patrí, a zachránite nás pred smrťou.“
JOS.2.14	Muži jej potom povedali: „Vlastným životom ručíme za vás, ak nezradíte našu záležitosť. Keď nám Hospodin dá túto krajinu, preukážeme ti milosrdenstvo a vernosť.“ 
JOS.2.15	Potom ich spustila po povraze cez oblok, lebo dom mala na hradbách. Bývala totiž na hradbách.
JOS.2.16	Povedala im: „Choďte do hôr, aby vás prenasledovatelia nestretli, a skrývajte sa tam tri dni, kým sa oni nevrátia. Potom choďte svojou cestou.“
JOS.2.17	Muži jej povedali: „Budeme oslobodení od tejto prísahy, ktorou si nás zaviazala, 
JOS.2.18	ak pri našom vstupe do krajiny nepriviažeš tento motúz z červených nití na okno, cez ktoré si nás spustila, a nevezmeš k sebe svojho otca, matku, bratov a celú rodinu. 
JOS.2.19	Kto by potom vyšiel z dvier tvojho domu na ulicu, toho krv nech padne na jeho hlavu, my však budeme oslobodení od viny. Ak by však niekomu ublížili v dome, nech padne jeho krv na našu hlavu.
JOS.2.20	Keby si však našu vec zradila, sme oslobodení od prísahy, ktorou si nás zaviazala.“ 
JOS.2.21	Ona odpovedala: „Nech je tak, ako ste vraveli.“ Vtedy ich prepustila a oni odišli. Potom priviazala na okno červený motúz. 
JOS.2.22	Muži odišli, prišli do hôr a ostali tam tri dni, kým sa prenasledovatelia nevrátili. Prenasledovatelia ich hľadali na všetkých cestách, no nenašli ich. 
JOS.2.23	Potom obaja muži zišli z hôr, prišli k Jozuovi, synovi Núna, a vyrozprávali mu všetko, čo sa im prihodilo. 
JOS.2.24	Jozuovi povedali: „Hospodin nám dal celú krajinu do rúk a všetci jej obyvatelia stratili odvahu pred nami.“
JOS.3.1	Jozua vstal skoro ráno a s celým Izraelom sa pohol zo Šittímu. Prišli k Jordánu a prenocovali tam, prv než sa prebrodili.
JOS.3.2	Po troch dňoch prešli hodnostári cez tábor
JOS.3.3	a prikázali ľudu: „Len čo uvidíte archu zmluvy Hospodina, vášho Boha, i léviovských kňazov, ktorí ju ponesú, pohnite sa zo svojho miesta a nasledujte ju.
JOS.3.4	Nech je však medzi vami a ňou vzdialenosť asi dvetisíc lakťov. Nesmiete sa k nej priblížiť, aby ste vedeli, ktorou cestou máte ísť, lebo ešte nikdy predtým ste nešli tou cestou.“ 
JOS.3.5	Potom Jozua povedal ľudu: „Posväťte sa, lebo zajtra vykoná Hospodin medzi vami predivné skutky.“
JOS.3.6	Jozua povedal kňazom: „Zdvihnite archu zmluvy a prejdite popred ľud.“ Zodvihli teda archu zmluvy a kráčali pred ľudom.
JOS.3.7	Nato povedal Hospodin Jozuovi: „Dnes ťa začnem vyvyšovať pred celým Izraelom, aby poznal, že budem s tebou, ako som bol s Mojžišom.
JOS.3.8	Teraz prikáž kňazom, ktorí nesú archu zmluvy: ‚Keď prídete k brehu Jordánu, postavte sa do vody.‘“
JOS.3.9	Potom Jozua povedal Izraelitom: „Pristúpte a vypočujte slová Hospodina, vášho Boha.“ 
JOS.3.10	Jozua ďalej povedal: „Podľa toho poznáme, že je uprostred nás živý Boh a istotne vyženie pred vami Kanaánčanov, Chetitov, Chivvijov, Perizzejcov, Girgašejov, Amorejčanov aj Jebúsejov.
JOS.3.11	Pozrite, archa zmluvy Pána celej zeme prechádza pred vami cez Jordán. 
JOS.3.12	Teraz si vyberte dvanásť mužov z kmeňov Izraela, po jednom z každého kmeňa.
JOS.3.13	Keď sa v jordánskej vode zastavia kňazi, ktorí nesú archu Pána, Hospodina celej zeme, voda Jordánu sa rozdelí a voda tečúca zhora sa postaví ako hrádza.“
JOS.3.14	Keď sa ľud pohol zo svojich stanov, aby prešiel cez Jordán, kňazi niesli archu zmluvy pred ľudom. 
JOS.3.15	Keď tí, čo niesli archu, prišli k Jordánu a kňazi, ktorí niesli archu, vstúpili pri brehu do vody — Jordán totiž po celý čas žatvy preplňoval celé svoje riečisko —, 
JOS.3.16	zastavila sa voda tečúca zhora a postavila sa ako hrádza veľmi ďaleko pri meste Adam, ktoré je pri Caretáne. Voda, čo tiekla smerom k Moru Araba — k Soľnému moru — odtiekla a ľud prešiel riečiskom naproti Jerichu.
JOS.3.17	Vtedy sa kňazi, ktorí niesli archu Hospodinovej zmluvy, pevne postavili na súši uprostred Jordánu a celý Izrael prechádzal po súši, kým všetok ľud neprešiel cez Jordán.
JOS.4.1	Keď všetok ľud prešiel cez Jordán, Hospodin povedal Jozuovi: 
JOS.4.2	„Vyberte si z ľudu dvanásť mužov, z každého kmeňa po jednom,
JOS.4.3	a prikážte im: ‚Vezmite si dvanásť kameňov odtiaľto, zo stredu Jordánu, kde stáli nohy kňazov, preneste ich a zložte na miesto, kde budete tejto noci spať.‘“
JOS.4.4	Potom Jozua zavolal dvanásť mužov, ktorých určil spomedzi Izraelitov, z každého kmeňa po jednom, 
JOS.4.5	a povedal im: „Prejdite popred archu Hospodina, vášho Boha, doprostred Jordánu a nech každý vezme na plece jeden kameň podľa počtu izraelských kmeňov. 
JOS.4.6	Nech to bude znamením medzi vami. Keď sa vaši synovia v budúcnosti spýtajú: ‚Aký význam majú pre vás tieto kamene?‘,
JOS.4.7	odpovedzte im: ‚Keď archa Hospodinovej zmluvy prechádzala cez Jordán, rozdelila sa jeho voda. Tieto kamene budú Izraelitom večnou pamiatkou, že sa voda Jordánu rozdelila.‘“
JOS.4.8	Izraeliti urobili, ako im Jozua prikázal: zdvihli dvanásť kameňov sprostred Jordánu, ako Hospodin povedal Jozuovi, podľa počtu dvanástich izraelských kmeňov, priniesli ich na miesto, kde prenocovali, a tam ich uložili. 
JOS.4.9	Jozua dal postaviť dvanásť kameňov v Jordáne na mieste, kde stáli nohy kňazov, ktorí niesli archu zmluvy. Sú tam až dodnes. 
JOS.4.10	Kňazi, ktorí niesli archu, stáli v Jordáne, kým sa nevykonalo všetko, čo Hospodin prostredníctvom Jozuu prikázal ľudu. Takýto príkaz dal Jozuovi už Mojžiš. Ľud sa ponáhľal prejsť na druhú stranu.
JOS.4.11	Keď prešiel všetok ľud, prešla aj Hospodinova archa i kňazi, čo boli pred ľudom. 
JOS.4.12	Aj Rúbenovci, Gádovci a polovica Menaššeho kmeňa prešli ozbrojení pred Izraelom, ako im povedal Mojžiš.
JOS.4.13	Asi štyridsaťtisíc ozbrojencov tiahlo pred Hospodinom do boja na jerišské stepi. 
JOS.4.14	Toho dňa vyvýšil Hospodin Jozuu pred celým Izraelom. Ctili si ho, ako si ctili Mojžiša po celý jeho život.
JOS.4.15	Hospodin povedal Jozuovi: 
JOS.4.16	„Prikáž kňazom, ktorí nesú archu svedectva, aby vystúpili z Jordánu.“ 
JOS.4.17	Vtedy Jozua rozkázal kňazom: „Vystúpte z Jordánu!“ 
JOS.4.18	Keď kňazi, ktorí niesli archu Hospodinovej zmluvy, vyšli z Jordánu na súš, voda sa vrátila na svoje miesto. Tiekla ako predtým a všade vystúpila z koryta. 
JOS.4.19	V desiaty deň prvého mesiaca ľud vyšiel z Jordánu a utáboril sa v Gilgále na východných hraniciach Jericha.
JOS.4.20	Dvanásť kameňov, ktoré vzali z Jordánu, postavil Jozua v Gilgále. 
JOS.4.21	Povedal Izraelitom: „Keď sa v budúcnosti vaše deti opýtajú otcov: ‚Aký význam majú tieto kamene?‘,
JOS.4.22	povedzte svojim synom: ‚Tu prešiel Izrael po suchu cez Jordán. 
JOS.4.23	Hospodin, váš Boh, vysušil totiž vodu Jordánu pred vami, kým ste neprešli tak, ako Hospodin, váš Boh, urobil s Trstinovým morom, ktoré pred nami vysušil, kým sme neprešli,
JOS.4.24	aby všetky národy zeme poznali, že Hospodinova ruka je mocná, aby ste sa všetci vždy báli Hospodina, vášho Boha.‘“
JOS.5.1	Keď všetci amorejskí králi, ktorí bývali na západe za Jordánom, a všetci kanaánski králi pri mori počuli, ako Hospodin vysušil pred Izraelitmi vody Jordánu, až kým neprešli, zmalomyseľnelo im srdce a stratili pred nimi odvahu.
JOS.5.2	Vtedy povedal Hospodin Jozuovi: „Urob si kamenné nože a znova zaveď obriezku Izraelitov.“
JOS.5.3	Jozua si urobil kamenné nože a obrezal Izraelitov pri pahorku Aralót. 
JOS.5.4	Jozua ich obrezal z toho dôvodu, že všetok ľud, ktorý vyšiel z Egypta, všetci muži, bojovníci, pomreli cestou na púšti pri východe z Egypta. 
JOS.5.5	Všetok ľud, ktorý vyšiel, bol obrezaný, ale nik z ľudu, ktorý sa narodil cestou na púšti pri východe z Egypta, nebol obrezaný. 
JOS.5.6	Izraeliti totiž putovali púšťou štyridsať rokov, kým nevyhynul všetok ľud, bojovníci, ktorí vyšli z Egypta, lebo neposlúchali Hospodinov hlas. Hospodin im totiž prisahal, že neuvidia krajinu, ktorú Hospodin prísažne sľúbil ich otcom, že ju dá nám — krajinu oplývajúcu mliekom a medom.
JOS.5.7	Namiesto nich postavil ich synov a tých Jozua obrezal, lebo boli neobrezaní. Cestou ich totiž neobrezali. 
JOS.5.8	Keď už bol všetok ľud obrezaný, zostali v tábore, kým sa im rana nezahojila. 
JOS.5.9	Potom Hospodin Jozuovi povedal: „Dnes som od vás odvalil egyptskú potupu.“ Preto sa to miesto dodnes volá Gilgál
JOS.5.10	Keď Izraeliti táborili v Gilgále, svätili slávnosť Paschy večer v štrnásty deň toho mesiaca na jerišských stepiach.
JOS.5.11	Na druhý deň po Pasche jedli z úrody zeme: nekvasený chlieb a v ten istý deň aj pražené zrno. 
JOS.5.12	Na ďalší deň, keď jedli z plodov zeme, manna prestala. Keďže Izraeliti už mannu nemali, v tom roku jedli z úrody Kanaánu.
JOS.5.13	Keď bol Jozua pri Jerichu, podíval sa a videl, že oproti nemu stojí niekto s vytaseným mečom v ruke. Jozua podišiel k nemu a prihovoril sa mu: „Patríš k nám alebo k našim nepriateľom?“
JOS.5.14	On odpovedal: „Nie tak. Ja som vodcom Hospodinovho voja. Práve teraz som prišiel.“ Vtedy Jozua padol tvárou na zem, klaňal sa mu a spýtal sa: „Čo chce povedať môj pán svojmu služobníkovi?“
JOS.5.15	Vodca Hospodinovho voja povedal Jozuovi: „Vyzuj si sandále, lebo miesto, na ktorom stojíš, je sväté.“ Jozua tak urobil.
JOS.6.1	Jericho sa pred Izraelitmi dôkladne uzavrelo. Nikto nevychádzal ani nevchádzal. 
JOS.6.2	Vtedy Hospodin povedal Jozuovi: „Pozri, dávam ti do rúk Jericho s jeho kráľom i s udatnými bojovníkmi. 
JOS.6.3	Obkľúčte mesto a nech ho jedenkrát obídu všetci bojovníci. Toto rob šesť dní. 
JOS.6.4	Sedem kňazov nech nesie pred archou sedem trúb z baraních rohov. V siedmy deň obíďte mesto sedemkrát a kňazi nech trúbia. 
JOS.6.5	Keď budú na rohoch zdĺhavo trúbiť a vy budete počuť zvuk trúb, nech všetok ľud spustí mohutný bojový pokrik. Vtedy sa mestské hradby zrútia a ľud vystúpi do mesta, každý rovno vpred.“ 
JOS.6.6	Vtedy Jozua, syn Núna, zvolal kňazov a povedal im: „Zdvihnite archu zmluvy a sedem kňazov nech nesie sedem trúb z baraních rohov pred Hospodinovou archou.“
JOS.6.7	Ľudu povedal: „Choďte a obkľúčte mesto, ozbrojenci nech idú pred Hospodinovou archou.“ 
JOS.6.8	Stalo sa, ako Jozua rozkázal ľudu: sedem kňazov, ktorí niesli pred Hospodinom sedem trúb z baraních rohov, kráčalo a trúbilo, zatiaľ čo archa Hospodinovej zmluvy ich nasledovala. 
JOS.6.9	Ozbrojenci išli pred kňazmi, ktorí trúbili na trúbach, a zadný zástup za stáleho trúbenia kráčal za archou. 
JOS.6.10	Potom Jozua prikázal ľudu: „Nepokrikujte, nech nepočuť váš hlas, z vašich úst nech nevyjde ani slovo až do dňa, kým vám nepoviem: ‚Spustite bojový pokrik!‘ Potom kričte.“ 
JOS.6.11	Potom rozkázal, aby obišli s Hospodinovou archou mesto. Obišli ho jedenkrát, potom prišli do tábora a prenocovali v ňom.
JOS.6.12	Skoro ráno Jozua vstal a kňazi zdvihli Hospodinovu archu. 
JOS.6.13	Sedem kňazov nieslo sedem trúb z baraních rohov pred Hospodinovou archou a cestou neustále trúbilo. Ozbrojenci šli pred nimi a zadný zástup kráčal za stáleho trúbenia za Hospodinovou archou. 
JOS.6.14	Takto aj na druhý deň obišli raz mesto. Potom sa vrátili do tábora. Rovnako to robili šesť dní. 
JOS.6.15	Na siedmy deň včasráno pri východe zorničky vstali a takým istým spôsobom obišli mesto sedemkrát. Iba v tento deň obišli mesto sedemkrát. 
JOS.6.16	Keď ho obchádzali siedmy raz, kňazi zatrúbili a Jozua povedal ľudu: „Spustite bojový pokrik, lebo Hospodin vám vydal toto mesto! 
JOS.6.17	Mesto nech prepadne hubiacej kliatbe. Ono samo so všetkým, čo je v ňom, patrí Hospodinovi. Nažive má ostať len neviestka Ráchab a všetci, čo sú s ňou v dome, lebo ukryla poslov, ktorých sme vyslali.
JOS.6.18	Len sa chráňte toho, čo je pod hubiacou kliatbou, aby ste jej sami neprepadli, ak by ste vzali niečo z toho, čo je pod hubiacou kliatbou. Tým by ste uvalili hubiacu kliatbu na izraelský tábor a uvrhli by ste ho do nešťastia.
JOS.6.19	Všetko striebro, zlato, bronzové a železné predmety sú zasvätené Hospodinovi. Dáte to k Hospodinovmu pokladu.“
JOS.6.20	Ľud skríkol a vtedy zazneli aj trúby. Keď ľud počul zvuk trúb, spustil mohutný bojový pokrik a hradby sa zrútili. Ľud vstúpil do mesta, každý rovno vpred. Takto zaujali mesto.
JOS.6.21	Mečom vykonali hubiacu kliatbu na všetkom, čo bolo v meste, na mužoch i ženách, na mladých i starých, na dobytku, ovciach i osloch.
JOS.6.22	Dvom mužom však, ktorí vyzvedali v krajine, Jozua povedal: „Vojdite do domu neviestky a vyveďte ju odtiaľ so všetkým, čo má, ako ste jej prisahali.“
JOS.6.23	Vyzvedači teda vošli a vyviedli Ráchab, jej otca, matku, bratov a všetko, čo mala, i celú jej rodinu a ubytovali ich za izraelským táborom.
JOS.6.24	Mesto so všetkým, čo bolo v ňom, vypálili. Len striebro, zlato, bronzové a železné predmety vložili do pokladu v Hospodinovom dome. 
JOS.6.25	Jozua nechal žiť neviestku Ráchab, jej rodinu i všetko, čo mala. Tak zostala uprostred Izraelitov dodnes, lebo ukryla poslov, ktorých Jozua vyslal na výzvedy do Jericha.
JOS.6.26	Vtedy Jozua zaviazal ľud touto prísahou:
JOS.6.26	„Prekliaty pred Hospodinom,
JOS.6.26	kto by sa dal do stavby mesta Jericha!
JOS.6.26	Na svojom prvorodenom synovi
JOS.6.26	položí jeho základy,
JOS.6.26	na svojom najmladšom synovi
JOS.6.26	osadí jeho brány.“
JOS.6.27	Hospodin bol s Jozuom a povesť o ňom sa rozšírila po celej krajine.
JOS.7.1	Potom sa Izraeliti previnili porušením kliatby. Achán, syn Karmiho, syna Zabdiho, syna Zeracha z Júdovho kmeňa si totiž vzal niečo z vecí pod kliatbou, a preto vzplanul Hospodinov hnev proti Izraelitom.
JOS.7.2	Potom vyslal Jozua mužov z Jericha do Aja, ktorý leží pri Bét-Avene východne od Bételu, a povedal im: „Vyjdite a preskúmajte tú krajinu.“ Muži teda odišli a preskúmali Aj.
JOS.7.3	Keď sa vrátili k Jozuovi, povedali mu: „Všetok ľud ta nemusí vyjsť, stačí, keď vyjde dvetisíc alebo tritisíc mužov a dobyjú Aj. Neunúvajte všetok ľud; ich je totiž málo.“ 
JOS.7.4	Tak sa vybralo z ľudu asi tritisíc mužov, tí však ušli pred ajskými mužmi. 
JOS.7.5	Ajskí muži zabili z nich asi tridsaťšesť mužov. Prenasledovali ich od brány až po Šebarím
JOS.7.6	Jozua si však roztrhol rúcho a padol tvárou na zem pred Hospodinovou archou. Ležal až do večera spolu so staršími Izraela a sypali si prach na hlavu.
JOS.7.7	Jozua povedal: „Ach, Pane, Hospodin, prečo si previedol tento ľud cez Jordán? Či preto, aby si nás vydal do rúk Amorejčanom, aby nás vyhubili? Radšej sme mohli zostať za Jordánom!
JOS.7.8	Prosím ťa, Pane, čo mám na to povedať, že Izrael zutekal pred svojimi nepriateľmi? 
JOS.7.9	Keď sa to dopočujú Kanaánčania a ostatní obyvatelia krajiny, obkľúčia nás a vyhladia naše meno zo zeme. Čo urobíš pre svoje veľké meno?“
JOS.7.10	Hospodin povedal Jozuovi: „Vstaň! Prečo ležíš tvárou na zemi? 
JOS.7.11	Izrael sa prehrešil, prestúpil zmluvu, ktorú som mu dal ako príkaz. Vzali ešte aj z toho, čo je pod kliatbou. Kradli z toho, zatajili to a schovali medzi svoje veci. 
